alaueillede	|-|-----|-|
asetdoubles q uiln estoitdeu ant.	|--|------|-⌫|-||-----|---⌫--||
tantos tparlaienztotausicome s il	------⌫|--|-----|--|---|---||-|
fu ssentenluminédel a	--⌫----|--------|-|-⌫|
gracedousaint espe rit etco mencie rent aresgarder	----|--|----|----⌫--|-|--⌫------⌫---||--------|
l i unles autres	-⌫|-|--|-----|
carilnesauoient	--|-|-|-------|
don tcel orpooit estreuenu .	---⌫|-|-⌫-|----|----|---||
etneporquantilnauoit	-|---------|-||----|
laienzhomequ i poistparlernedire	-----|---|--⌫|----|-----|-|---|
motd e sa bouchesif ur ent tui t amuigra n tet	--|-⌫|-|-----|-|-⌫--⌫--|---⌫|---|---⌫-⌫|-|
etquantil orent	-|----|-|----|
grantpie cedemoréentel	----|---⌫-|------|-|--|
maniere quenu sd auxn	------|--|--⌫||--||
auo it pooi rde parlerainzs entreresgardoientau tresicomebeste s	---⌫-|----⌫|-|-----|---||----------------|--⌫----|---|-----⌫|
mue s lorsent ra laienz li sainzgraal couer sd	---⌫|---|---⌫-|-----|-|----|----|-----⌫||
mesilni ot onques nul	--|-|||-|-----|--|
q uipoistue oirquile portoit .	-⌫-|----|--⌫--|--|-|------||
sientra par legrant	-|----|--|-|----|
huis doupaleset mai n tenantqu il	---|--|----|-|---⌫-⌫-------|-|
entrezfulipales r a emp li z	-----|-|-|----|-⌫-⌫---⌫--⌫|
de sibonesodorscom e se totes	-|-|----|----|---⌫|-|----|
les e spice sterrienn e s	--|-⌫-----⌫|--------⌫-⌫|
i fussent espa ndues.	|------|----⌫----||
etilalapa rmile pal es to ut	-|-|--|--⌫--|-|---⌫-|--⌫-|
doisd une partet	---||--|---|-|
eins i comei lt res passoitpar deuantles	----⌫|---|-⌫|-⌫---⌫------|--|-----|--|
tabl es estoienteles maintenantr aempliesendroit	----⌫-|-------|---|---------|-⌫-------|------|
chascunsiege de teluiandecomechascun sdesirroit	------|----|-|--|-----|---|-------⌫|--------|
e t quant tuitfu rentse ruietliunetli	-⌫|----|---|--⌫---|--⌫--|-|-|-|-|-|
autrelisainz graax sen partitantost qu e	----|-|----|----||-|----|------|--⌫|
iln e sorentqu e	-|-⌫|-----|--⌫|
ilpo te stredeuenuznene	-|--⌫|-⌫---|------|-|-|
uirentqu el pa rti l	-----|--⌫-|--⌫-|-⌫|
etmaintenan tore ntpooirdeparlercilqui	-|---------⌫|---⌫-|----|-|-----|--|--|
deuantne pooient mot	-----|-|------|--|
si rendiren tgra cesa nostreseignorlipluso r	-|--------⌫|---⌫--||-----|------|-|-----⌫|
dax decequesigran thono r lorauoit	|-|-|-|--|-|----⌫|----⌫|--|----|
fetequ illes auoitrepeuz de la	---|-|-|--|----|-----|-|-|
grace d ou saint uessel .	----|-⌫-|----|-----||
mes sortoz cax	--|--|--|--|
quilaienze stoie ntenf uli	--|-----|-⌫-----⌫-|-|-⌫|-|
ro isart u s	--⌫-|---⌫-⌫|
liezdecequ egreignordebonerete	---|-|-|--⌫|-------|---------|
liauoi t nostre sires	-|----⌫|-----|----|
mostree quea nulroiquid euantlui	------|--||--|--|--|-⌫----|--|
eu stesté .	--⌫-|----||
de c es techosef urent molt	-|-⌫--⌫-|----|-⌫----|---|
liel ipriuéet	--|-⌫|-----|-|
li estr angecarbien	-|----⌫---|--|---|
lo rsemblaque	--⌫|-----|--|
no stre siresnesau oitpasoubliezq uan t illor	--⌫---|----||-|--⌫--|--|------|-⌫---⌫|-|--|
mostroitsi gr antdebon e rete	-------|-|--⌫--|-----⌫-⌫---|
si enp arlerenta ss ez tan t come li	-|-|-⌫-------|-⌫--⌫-|---⌫|---|-|
me ngie rs dura.	--⌫----⌫-|---||
ro ismeismesenco man ca a parleracax	--⌫-|------|-|--⌫---⌫-||-----||--|
pres del uiestoientet	---|-|-⌫-|-------|-|
dist cer te sseignormoltdeuons e stre	---|---⌫--⌫|------|---|-----|-⌫---|
l ieet auoirgranti oiede	-⌫-|-|----|----|-⌫--|-|
cequenost re siresn os amostrésigr antsigne	-|--|----⌫-|----|-⌫-||------|-|--⌫--|----|
damo rqui lde sa gr acenos	|---⌫|-|-⌫|-|-|--⌫--|--|
uoltrepaistrea	---|--------||
io rco mele io r de	--⌫|--⌫-|-|--⌫|-|
lapentecouste.	-|----------||
siref etmes siresgauuai n se nc oreiail autre	---|-⌫-|--|----|------⌫-⌫|-⌫--⌫--|||-|----|
chose que uos nesau ez miecar iln a	----|--|--|-|---⌫-|--|--|-|||
ceanzhomequi	----|---|--|
n a it estéseruiz	|-⌫-|----|-----|
de quanquildemandoitetpensoit.	-|-----|-|--------|-|------||
etce n auintonq ues mesennule cort se	-|-||----|---⌫--|--|-|---|---|-|
nefu chiesleroimehaig nié.	-|-|----|-|--|------⌫---||
me sdetantsontilengignié quilnel	--⌫|-|---|---|-|--------|-|-|-||
porentue oi rapert em en tancois lor enfu couerte	-----|--⌫--⌫|-----⌫--⌫--⌫|-----|--|-|-|------|
lauraiesemb lan ce.	-|----|----⌫---⌫-||
porcoiieendroit moifazorendroit	--|--|-|------|--|--|--------|
q uelemati nsa nzplusa tendreenterrai enlaqueste	-⌫-|-|----⌫|--⌫-|---|-⌫-----|-------|-|-|-----|
ent elmaniereque ielamain tendraiuna n	-|-⌫-|------|--|-|-|----⌫------|-|-⌫|
etunior etencor plus se	-|-|--|-|----|---|-|
mestiersest	-------|--|
nenereuendrai a cort por	-|-|--------||---|--|
cho se qui auiegne deuantqueiel aieueuplus	---⌫-|--|------|--------|-||--|--|---|
aper tement q uilnema ci	----⌫-----|-⌫|-|-|||-|
estédemostrez silpu e t estreennulemaniere	----|--------||-|--⌫-⌫|----|-|---|------|
que iel oupuisseueoirne doie.	--|-|-⌫-|-----|----|-|---||
et silnepuet	-||-|-|---|
estreie m en ret ornerai.	----|-||-|---⌫------||
quant cilde	----|--|-|
latable reon deoirentceste	-|----|----⌫-|-----|----|
paro lesisel euerent	----⌫-|-|-|-⌫------|
tuitde lo r sie geset	---|-|--⌫|---⌫--|-|
fi r enttoutaut re tel ueucom mes s ires gau uainsauoi t	--⌫-⌫--|---|---⌫--⌫--|--|--|--|-⌫---|---⌫----|----⌫|
fetetdistre ntqu il ne fineroientiame sde rrer	--|-|------⌫-|-|-|-|---------|----⌫||-⌫---|
deuant q uil ser oientasis a lahaute t able ou si	------⌫-⌫|-|---⌫----|---||-|----|-⌫---|-|-|
douce u iand e estoi ttoz iorsapr estee comecelequ	----|-⌫----⌫|-----⌫|--|---|---⌫----|---|---|-|
ilauoientilueceu e.	-|------|----|--⌫||
etqu antli roisuitqui l	-|--⌫--|-|---|--|-|-⌫|
auoient fet	------|--|
si enfumo lta	-|-|-|--⌫-||
malesecarbienset qu	-----|--|---|--|-|
ilnes porra pas	-||-|----|--|
retor nerde	-----⌫--|-|
cesteemprise.	----|------||
a monseign orgauuain .	|--|-----⌫-|------||
hagauuain uosm	-|------|--||
auezmortpa r leueu q ue uos	---|---|--⌫|-|--|-⌫-|--|
aue zfetcaruosm	---⌫|--|--|--||
auezci toluelaplusbelecompaignie et	---|-|----|-|---|---|---------|-|
la pl us loial	-|--⌫-|----|
queieonqu estrouasseetce estla compaignie	--|-|----⌫-|-------|-|-|--|-|---------|
de latab lereonde.	-|-|---⌫-|-----||
c arq uanti ldepartirontdemoideque le	-⌫-|-⌫---|-⌫|----------|-|--|-|---⌫-|
ore quecesoit	--|--|-|---|
iesaibien quil nereuendrontia mes t uit	-|--|---|-|-|-|---------|--⌫--|-⌫--|
arriereainzdemorrontli plu sore n	------|---|--------|-|---⌫--|-⌫|
cestequeste	----|-----|
quinefaudr a	--|-|-----⌫|
pas sitostcom uoscuidiez.	--|-|---|--|--|------||
s ine menpoi s e paspetit.	-⌫|-||-|---⌫-⌫|--|----||
c ariel esaiescreuzetaleuezde toutmon	-⌫-|-|-⌫-|-|------|-|-----|-|---|--|
pooir etlesai	----|-|--|-|
toziorsamez et encor elesaimaus icoms	--|---|---|-|-----⌫|--|--|---⌫|--||
ilf uss en tmifilou mifreree t por	-|-⌫---⌫--⌫|-|--|-|-|----|-⌫|--|
ceme sera mult	-|-|---|---|
griezlord epartie	----|--|-⌫------|
car ieauoieapr isa ueoi r	--|-|----|---⌫-||----⌫|
lessouenteta auoirl orcompaignie	--|-----|-||----|-⌫-|---------|
n e puispasenmoi	-⌫|---|--|-|--|
ueoircom enti emenpuis se so ffrir.	----|---⌫--|-⌫||-|----⌫-|--⌫----||
apres ceste pa rolecomenc a	----|----|--⌫---|------⌫|
liroisapenser molt	-|---||-----|---|
dur ementeten celpens e r liuienent	---⌫----|-|-|--|----⌫-⌫|-|------|
leslermesaseulz si que cil	--|-----|-|---|-|--|--|
de laienzsen poren t bie naperceuoir.	-|-----||-|-----⌫|---⌫|---------||
parlasidist sihautquetui tci lde	----|-|---|-|---|--|---⌫|--⌫|-|
l aienz le	-⌫----|-|
porentbie noir gauuai n gauuain m ism	-----|---⌫|--|------⌫|------|-⌫-||
auezlegran tcorrouz	---|-|----⌫|------|
el cuerdontiames	-|---|---|----|
ne me porr ai	-|-|----⌫-|
esbatredeuantqueie s acheueraiementa quelefin	------|--------|-|-⌫---|---------||----|--|
ce stequeste porratorner.	--⌫--|-----|----|-----||
ca rtropai	--⌫|---|-|
grantdo ute	----|--⌫--|
ch arneln enreu iegnentia .	--⌫----||-|---⌫------|-||
siref etl an celotpor dieuqu eest	---|-⌫-|-⌫--⌫----|--|---|--⌫|--|
cequeuos dites	-|--|--|----|
texhonsc omeu os estes ne doit p as conceu oir	--|---|-⌫--|-⌫-|----|-|---|-⌫-|------⌫--|
poor en son c uermes	---|-|--|-⌫--|--|
ius teceethardem ent	---⌫---|-|------⌫--|
et a u oirbone	-|-⌫-⌫--|---|
esperanc e.	--------⌫||
siuosdeuezre co nfortercarcertessenosmorions	-|--|----|--⌫--⌫------|--|-----|-|--|------|
ceste queste i lnosseroit graindreshonors quedemorir	----|-----|-⌫|--|-----|--------|-----|--|-|----|
enautreleu.	-|----|--||
lancelotf etli	-------|-⌫-|-|
roislagrantamorque ieaitoziorsuer s	---|-|----|---|--|-|-|--|---|---⌫|
mefetdir e	-|--|---⌫|
texparoles etcen	--|------|-|-||
es tmiede mer u eillese ie	--⌫|--|-|---⌫-⌫----|-|-|
suicorrou cie zdelordepartement .	--|------⌫---⌫|-|--|----------||
ca r on que sroiscr es tiens n ot a ut ant debo ns che uali ers	--⌫|--⌫---⌫|---|--⌫--⌫----||-|-⌫--⌫--|-|--⌫-|---⌫----⌫--|
ne depr eudomesas ata ble come	-|-|--⌫------||-⌫|--⌫--|---|
iaieu en ces tiorneiamesn aura	|-|-|-|---⌫|--|-|----||---|
q uantilde	-⌫---|-|-|
cidepartiro ntneiamesneseront amatable rasemblé	-|---------⌫-|-|----|-|-----||-|----|--------|
einsicome ilonte ste ́ci	----|---|-|--|-⌫---⌫|-|
e tceest la chosequi	-⌫|-|--|-|----|--|
plus med esco nforte.	---|-|-⌫----⌫-----||
a cestepa role ne	|----|--⌫---|-|
sotmessire sgau uai nsquerespondre c ar	--|--|----⌫|---⌫---⌫-|--|--------|-⌫-|
ilc onoissoit bien queli roi sdisoituoir.	-|-⌫--------|---|--|-|---⌫|-----|---||
repentistuolentiersse ilosast de	--------|---------|-|-|----|-|
quilauoit dite	-|-|----|---|
mescenep o testre	--|-|-|-⌫-⌫|----|
car tropestoit	--|---|-----|
ia pueploiee.	-|--------||
sifumaint enant denonc ié partotesleschambresdela ienz	-|-|-----⌫----|------⌫--|--|----|--|-------|-|--⌫---|
comentla quest e	-----|-|-----⌫|
delsaint gra al e sto it emp riseet	--|----|---⌫-|-⌫---⌫-|---⌫---|-|
separtirontdem ain decort cilquicomp aign onen	-|--------|---⌫--|-|---|--|--|----⌫----⌫-|-|
doiuent estre.	------|----||
si otassezpar	-|-|----|--|
la ienzdet iex	--⌫---|-|-⌫--|
quiplus e nfur entcorro ucie ́queioiantc arparla	--|---|-⌫|---⌫--|-----⌫----⌫|--|-----|-⌫-|--|-|
pro esce descompaign onsde	---⌫---|--|--------⌫--|-|
latablereonde	-|----|-----|
oste xleroiart us	----⌫|-|--|---⌫-|
redoutezsortozautres .	-------|--|--|-----||
quantles damesetles damoisele squiaue c la	----|--|----|-|--|---------⌫|--|---⌫|-|
reinees toie nt ass ises	----|--⌫----⌫-|---⌫---|
es c hambr esau souperoir entceste nouelesi en	-|-⌫-----⌫-|-|-----|---⌫--|----|-----|-|-|
iotass ez dedo lentese tdeco rrouc ieesmeesmeme nt	|-|---⌫-|-|--⌫-----|-⌫|-|--⌫-----⌫---|--------⌫-|
celes quiestoientespou seso amiesascompaignonsde	----|--|-------|-----⌫--||----|-|----------|-|
latablereonde .	-|----|-----||
fumiedeme rue ill e careles e stoien thon orees et	-|--|-|--⌫---⌫---⌫|--|---|-⌫------⌫|---⌫----|-|
chier te nuesparcels	----|--⌫---|--|---|
de quielesdoutoientquilnemoreu ssent en	-|--|---|--------|-|-|-|-----⌫----|-|
sie ncomenciere ntafe retropgra ntduel.	-|-⌫|----------⌫-||--⌫-|---|---⌫-|---||
etl a reinedem andeau	-|-⌫|----|---⌫---|-|
uasletquideuantliest oitdi	-----|--|-----|-|---⌫--|-|
moifetel euasletfustu	--|--|--⌫|-----|--|-|
lao uceste que ste fuacreantee	-|-⌫|----|---⌫--|-|--------|
etmessiresgau uains fet eleet lancelot	-|--|----|---⌫----|--|--|-|-------|
sontilcompai gnon	---|-|------⌫---|
dame certes	---|-----|
m essi r esgauuains lecreantapremier ement et	-⌫-|--⌫-⌫-|-------|-|------|-------⌫----|-|
l ancelotapres et ausifirenttuitliautre qu il	-⌫------|----|-|---|-----|---|-|----|-|-|
nen ianulremesquide l a	|-|||--|----|--|-|-⌫|
table fustcom pain z	----|---|---⌫----⌫|
et q uanteleotce s teparole	-|-⌫---|--|-|--⌫-⌫-|-----|
si est tantdolent eporlance lotquil	-|--|---|------⌫|--|-----⌫--|-|-|
li est bi enauis que eledoiem o rirde duel	-|--|--⌫-|---|--|--|---|-⌫-⌫--|-|---|
nene s empuetten irque	-|-||-|---|---⌫-|--|
l es lermesnel	-⌫-|-----|-||
enuieg n ent a s elz.	-|----⌫-⌫--|-⌫|--||
sires p on t achiefde	-|---⌫-⌫--⌫||----|-|
piecetantdolen te	----|---|-----⌫-|
qu enulep lus certesfetelece	--⌫|---|-⌫--|-----|--|--|-|
estgr anzdo mag es	--|--⌫--|--⌫---⌫-|
ca r sanzla mort dem ai nt preudomene serapas	--⌫|---|-|---|-|-⌫--⌫-|-------|-|---|--|
afinmeneeces teq ues tep u isquetantp reudomelont	|--|----|---⌫-|-⌫---⌫-|-⌫-⌫----|---|-⌫------||--|
si memeru eilmoutcom entmessiresli	-|-|----⌫--|---|---⌫--|--|----|-|
roisquitant p arestsa gesl a	---|--|---|-⌫-|--|--⌫--|||
c a r lameillorpartie desesbaron ss	-⌫-⌫|-|------|-----|-|--|-----⌫||
endepartiraa cestpoint	-|--------||---|----|
simerueilleusementqueliremananzenuaudra poi	-|---------------|--|-|-------|-|-----|--|
etl or scom enca	-|-⌫--⌫|---⌫---|
aplorer molt tendrement	|-----|---|---------|
et ausifir enttoutesles dames et	-|---|---⌫--|-----|--|----|-|
les damoisele squi	--|---------⌫|--|
aueclies toient.	---|-|--⌫-----||
einsifutotela cors troubleepor	----|-|---|-|---|-------|--|
la nouelede caxquipar t irs e n deuoient .	-|-----|-|--|--|---⌫-⌫-||-⌫|-------||
et quantlestab lesfurent leuees	-|----|--|---⌫--|-----|-----|
ou paleseteschambres e tl es damesf urentassemble es	-|----|-|-|-------|-⌫|-⌫-|----|-⌫----|--------⌫-|
cheu a liers lorsco menca lidua lz	----⌫-⌫----|---|--⌫----|-|---⌫-|
tozn ouiax .	--|-⌫----||
c ar chascuneda meoudamois elefust espousee fust ami e	-⌫-|-------|--⌫-|-|------⌫--|---|-------|---|---⌫|
d istason cheualier qu e ele	-⌫--||--|--------|--⌫|--|
iroitauecluienl aque ste	----|---|--|-|-⌫|---⌫--|
siotla ienz	-|-|--⌫---|
detiex qui de leg ier	-|---|--|-|---⌫--|
siacordassentet	||----------|-|
qu ito s t leuousis se ntsenefust	--⌫|--⌫-⌫|-|------⌫--⌫-|-|-|---|
unspreu d omu ielz uestuzderob ede religion quil aienz	--|----⌫-⌫-|-⌫---|-----|-|---⌫|-|-------|--|-⌫----|
entraapressoup er .	----|----|----⌫-||
et qu ant ilu intdeuantl eroi	-|--⌫--|-|-⌫--|-----|-⌫|--|
sip arla si hautque tuit le porentoiret	-|-⌫---|-|---|--|---|-|-----|--|-|
di stoiezse igno rcheua lierdela	--⌫-|---|--⌫----⌫|-----⌫---|-|-|
table re ondequi	----|--⌫---|--|
aue ziuree laques tedelsaintg raal	---⌫|----|-|----⌫-|--|----|-⌫---|
ceuosma ndepar	-|--|--⌫--|--|
moinas cienz	--|---⌫----|
l iherm ites	-⌫|----⌫---|
enc e s te	-|-⌫-⌫-⌫-|
questene main tdam enedamoiselequilnechiee	-----|-|----⌫|---⌫|-|--------|-|-|-|----|
en pe chiemor telnenusn	-|--⌫---|---⌫--|-|--||
ientrequi nes oit	|----|--|-|-⌫--|
confesou qu in ail le	-----|-|--⌫||---⌫-|
a c onfessecarnus	|-⌫------|--|--|
hautseruise ne	---|------|-|
d oit en trerdeu antquil	-⌫--|--⌫---|---⌫----|-|
soit netoiezetes purgi ezdet otesuilani eset	---|------|-|--⌫-----⌫-|-|-⌫---|------⌫-|-|
de tozp echies mortex	-|--|-⌫-----|-----|
car cestequeste nestm ie q ues te de	--|----|-----||--|-⌫-|-⌫---⌫-|-|
terrienn es chose sainzdoite stre li	--------⌫-|-----⌫|---|---|-⌫---|-|
ence rcheme nz desgrans secrez	----⌫------⌫-|--|----|-----|
etdesp riuetez nostre seignoret des g rans	-|--|-⌫------|-----|------|-|--|-⌫---|
repostaill esquel i hauzmestresmo strer aaper tem entau	----------⌫-|--|-⌫|---|------|--⌫-----⌫|----⌫---⌫--|-|
boneu re cheual ierqu ilaesl euasonseriant	-----⌫-|------⌫--|-|-||---⌫-||--|------|
autres che ualiersterri e nsaquiilmostrera	-----|---⌫------|-----⌫-⌫-||--|-|-------|
l esgra nzm eruei llesdousaintgr aaletferaueoir	-⌫-|---⌫-|-⌫-----⌫---|--|----|--⌫--|-|---|----|
ce q uecuer s	-|-⌫-|----⌫|
mor texn eporro it pensernelan gue d ometerr ien	---⌫--|-⌫|-----⌫-|-----|-|---⌫--||--|----⌫--|
parcesteparoleremestqu enus ne	--|----|-----|-----|--⌫|--|-|
menao soine safamene	---||--|-|-|---|-|
et liroisfis tlepreudom e herbergi er	-|-|---|---⌫|-|-------⌫|--------⌫-|
b ien etric hementet lide mandagrantpartiedeson	-⌫--|-|---⌫-----|-|-|--⌫----|----|-----|-|--|
e s tremes	-⌫-⌫--|--|
ill e ndistpe tit carassezpensoit	-||-⌫|---|--⌫--|--|----|------|
aautrechosequeauroi .	|----|----|--|-|--||
etlare in euienta ga laad e tsasietdelez	-|-|--⌫--⌫|----||--⌫---|-⌫||----|----|
si li c omencea	-|-|-⌫-----||
de mander dontil e stetdeque lpaiset	--⌫-----|---|-|-⌫-|-|-|---⌫|---|-|
d eq uel gent .	-⌫|-⌫--|---||
et il len distgrantparti ecome	-|-||-|---|----|-----⌫|---|
cilq uiassezen sauoit	--|-⌫-|----|-|-----|
m esdec e quilfu st fi lzlan celot	-⌫-|-|-⌫|-|-|--⌫-|--⌫-|---⌫----|
ot ilon quesp arl é .	-|-|--⌫---|-⌫---⌫-||
e tne po rqua ntas	-⌫|--⌫--⌫----⌫-|-|
p aroles qu elareineiapris tconut eleueraiement	-⌫-----|--⌫|-|----||-----⌫|----|--|---------|
quilesto it filz	-|-|----⌫-|---|
lanc elotetquilauoit estéenge ndrez en	----⌫---|-|-|-|----|----|----⌫----|-|
la filleleroi	-|----|-|--|
pell es donte l eauoitmaintesfoizo i parle r .	----⌫-|---|-⌫-⌫|----|------|---|-⌫|-----⌫||
et porcequ	-|--|-|-|
eleleuel to iret sau oirde	--|-|---⌫|-⌫-|-|---⌫--|-|
i lonquesp ue test relide man de	-⌫|-----|-⌫--⌫|---⌫-|-|--⌫---⌫-|
elelau eritede son p ere	--|-|-⌫----|-|--|-⌫--|
respo nt quilnesetpas	-----⌫-|-|-|-|--|--|
tresbiencui fi lz il fu.	---|---|--|--⌫-|-|-||
sirefeteleuoslemecele z	---|--|--|--|-|-|----⌫|
por coifaitesuosce	--|--|-----|--|-|
si maitd iex	-||--|-⌫--|
ia deuos treperenomern auroi z	-|-|---⌫--|---|----||-----⌫|
car il e s tliplusbi a x c heualiersdou	--|-|-⌫-⌫|-|---|--⌫-⌫|-⌫--------|--|
mondeet est estre zdet outes parzde rois	----|-|--|-----⌫|-|-⌫----|---|-|---|
etdereine s etdo u	-|-|-----⌫|-|--⌫|
plus hau tligna geque	---|---⌫|-----⌫-|--|
l e n sache	-⌫-⌫|----|
eulelos iu squ e cid estre li mieldrescheualiers	-|-|--|--⌫---⌫|-||----|-|-------|---------|
doum on de parquoiuosdeu riez pa rdroitpass erto z	--|-⌫--⌫-|--|---|--|---⌫---|--⌫|----|----⌫-|--⌫|
caxdelsiecle.	--|--|-----||
et certes uosle res embl ez si m er ueilleu se mentquil	-|-----|--|-|---⌫----⌫-|-|-⌫--⌫-------⌫--⌫---|-|-|
n acea nz homesinicequ ibiennel	||---⌫-|---|-|---|--⌫|---|-||
conoi ssese	-----⌫--|-|
prenoi tgarde.	------⌫|----||
quant ilotceste paroles i de uie nttozhon teus	----|-|-|----|-----|-⌫|--⌫---⌫-|--|---⌫---|
de lauergoignequilena.	-|-|--------|-|-|-|||
sir espont	-|-⌫-----|
maintenantdame fet il puisqueuos	---------|---|--|-|------|--|
leconoissiezsicert aineme nt.	-|---------|-|----⌫------⌫-||
uos l e me poezdire .	--|-⌫|-|---|---||
etseceestcil queie croi	-|-|-|--|--|--|-|---|
qui soitm es pere s.	--|---|-⌫-|----⌫||
ieuos t end rai a	-|--|-⌫---⌫--||
uoir disantetsecenes til ie	---|-----|-|-|-||--⌫|-|-|
nemiporr oiepasacorderporchose	-|||----⌫--|--|------|--|----|
queuo s e n	--|--⌫|-⌫|
anondieufet elepu isqueuosnel	|--|---|--|--|--⌫----|--|-||
uolezdireiele	----|---|-|-|
uos dirai.	--|----||
ci lqui uosengendraanonmes sires lance lotdel	--⌫|--|--|-------||--|--|----|-----⌫--|--|
lacliplus biax	--|-|---|---|
cheualiers et limieldrese tliplus g racieusetli	---------|-|-|-------|-⌫|-|---|-⌫------|-|-|
plusdesirreza ueoirdetout esgenz et	---|-------||----|-|----⌫-|---|-|
lim ielza mezquionquesnasquist a	-|-⌫---|-⌫--|--|-----|-------||
nos ten s.	--|---⌫||
porqoiilme se mblequeuos	--|--|-|-|--⌫---|--|--|
neldeu ezcelerne	-||---⌫-|----|-|
am oinea autre	|-⌫-|-||----|
cardeplus preudomene	--|-|---|-------|-|
deme illor cheu alier nepoissiezuos estreengen drez.	-|--⌫----|----⌫----|-|-------|--|----|-----⌫---||
damefetilpuisqueuoslesauezsibien	---|--|-|------|--|-|----|-|---|
aqu efereleuo sdeisse	|--⌫|---|-|--⌫|-----|
ieassez lesaurale n atens	-|----|-|----|--⌫||---|
lo nguement parlerente ntrela reineetgalaad ettantqu	--⌫-------|--------|-⌫---|-|----|-|-----|-|-----|
il fuauquesanuitié.	-|-|-----|-------||
etqu antil fu hore de d ormir l i	-|--⌫--|-|-|---|-|-⌫----|-⌫|
rois pristgalaa d etlenmenaen	---|----|-----⌫|-||-|---|-|
s ac hambre etle	-⌫|-⌫-----|-|-|
fi st co uc hieren sonlit	--⌫-|--⌫--⌫---|-|--|--|
me ismesou	--⌫----|-|
il sou loit	-|---⌫---|
ge sirporho noret porhautece	--⌫--|--|--⌫--|-|--|------|
e tapress alali rois couchier	-⌫|----||--|-|---|-------|
et lancelot etli autreba rondelai enz .	-|-------|-|-|----|--⌫--|-|---⌫--||
sifu celen uitlir ois	-|-|---|-⌫--|-|-⌫--|
molta malese etmoltp ensizporamor	---||-----|-|---|-⌫----|--|---|
des preudomesdelaienz qu ilauo i t moltamez	--|--------|-|-----|-|-|---⌫-⌫|---|---|
quilendemainse	--||-------|-|
deuoientdeluipa rtiret aler entelleu	-------|-|--|--⌫---|-|---|-|--|--|
cuidoitbi e nq uildemor assentlongue ment.	------|--⌫-⌫|-⌫|-|-----⌫-----|------⌫---||
se illafeis sentne	-|-|-|----⌫---|-|
sesm aiastil	|---⌫----|-|
mes ce lime tgrant duel	--|-|-|--⌫|----|---|
ilpen sebie n	-|---⌫-|---⌫|
e nmorragrant partieen ceste	-⌫|----|----|-----|-|----|
questeetcee stl a chosedo ntil est	-----|-|-|-⌫-|-⌫|----|--⌫-|-|--|
p lu sa malese.	-⌫--⌫||-----||
entelduel etent el ma rtirefure nt tout e la	-|--|---|-|-|-⌫-|--⌫----|----⌫-|----⌫|-|
nuitlihautb aron de laienz etcil	---|-|---|-⌫---|-|-----|-|--|
delrea ume de log res.	--|---⌫--|-|---⌫--||
etquantilplo t	-|----|-|---⌫|
anostreseignor que les teniebr esd e lanuitfurent	|-----|------|--|--|-------⌫-|-⌫|-|---|-----|
abess ieesp or ce qu el aueuedeliorestoit	-----⌫---|-⌫-|-|--⌫|-⌫|---|--|--|-----|
apareuelicheua lierseleuerentt ant ost trestuit ci lqui	------|-|-----⌫---|-|-------|-⌫---⌫--|-------|--⌫|--|
est oientencureeten	---⌫----|-|---|-|-|
penseedecestechosesise uestirentetat ornerent.	-----|-|----|----|-|-|--------|-|--⌫-------||
etquant ilfu bien	-|----|-|-|---|
ai ornéliroisseleua de so nlit.	--⌫----|-|---|-|---|-|--⌫|--||
etquant ilfuapa re illiez	-|----|-|-|---⌫--⌫-----|
siui ntenla	-|--⌫-|-|-|
cham breo ume ssireg auuains etla ncelo testoient qui	----⌫--|-⌫|--⌫|---|-⌫------|-|--⌫-----⌫|-------|--|
auoientgeuensamblelanuit.	------|--|-------|-|---||
iluin tlasitrouaquil	-|---⌫|-|-|----|-|-|
estoient iauestuzeta pare illiépor aler oir messe .	-------|-|-----|-|-⌫----⌫-----|--|---|--|----||
etlirois qui tan t les amoitcome	-|-|---|--|---⌫|--|----|---|
silleseu stdesach a rengendrez	|-|--|--⌫-|-|-|--⌫-⌫|--------|
les sal ua q uantilsefusor	--|---⌫-|-⌫---|-|-|-|--|
ausembatuz	--|------|
etilsed recierentencont re	-|-|-|-⌫--------|------⌫-|
luiet dist ren tque bien fustiluenu z	--|-|----⌫---⌫|--|---|---|-|----⌫|
l es fist rasse oirets	-⌫-|---|-----⌫--|-||
assist auecax .	-----|---|-||
etl orscomencaare sgarder mon	-|-⌫--|------||--⌫------|--|
s eigno r ga uuain etlidist	-⌫-----⌫|--⌫----|-|-|---|
gau uain gauu ain	---⌫---|----⌫--|
uosm aueztrahi	--||---|----|
onquesma cor tn	-----|-|---⌫||
a mendatan t de uos comeeleen	-⌫----|---⌫|-|--|---|--|-|
empoiriee.	--------||
car iamesne sera	--|----|-|---|
honoreedesiha ute compa igniened e	------|-|-|--⌫--|-----⌫----|-|-⌫|
siuaillant comeu osenaue z osteepar	-|-------|---|-⌫-|-|---⌫|----|--|
uost re esmuete	----⌫-|------|
ne suiiepastan tc orrouciezporauscome	-|--|-|--|---⌫|-⌫--------|--|--|---|
ie suipor uosdeus .	-|--|--|--|---||
cardetote la mordonthomeporroitamerautre	--|-|---||-⌫--|---|---|------|---|----|
uosai ie a mez et	--|-|-|-⌫--|-|
nemieorepremierementm es	-|--|--|-----------|-⌫-|
de slors p rim es	--⌫|---|-⌫---⌫-|
