Quenul senblant	--|--|-------|
Siremononcl eestric he roi	---|--|----⌫|--|---⌫-|--|
Lemellorconse ln osdonn ez	-|-----|-----⌫|-⌫-|----⌫-|
Deusi redeceq uoez	--|--⌫-|-|-|-⌫|--|
Etnosferon uosu olentez	-|--|----|--|-⌫------|
S eignor s oiezd e laroïne	-⌫------⌫|---|-⌫|-|-----|
Aspiezlermitech iet en cline	-|---||-----|--⌫--|--⌫----|
De l uipr oierpoi nt ne	-|-⌫-|--⌫---|---⌫-|-|
Quil le sacort	-|-|--⌫|----|
Qa riacor agede folie	--⌫|-|---⌫--|-|----|
Nenauraiie	--|----|-|
pasauostreentente	--||-----|------|
Tristraniormerepente	-------|--|-|------|
laimde boneamor	|--|-|---|---|
Etcomamiss an zd esanor	-|--|---|-⌫--⌫|-⌫-----|
comuned emoncors	-----|-⌫|--|---|
Et i edus uen some s	-|-⌫|-|-⌫--|----⌫|
tuit fors L ermitesl ot parler si plore	---|---||------||-|-----|-|----|
Dece qu il	-|-|-|-|
Deue naou re	--|-⌫|---⌫-|
D e xbeausroi somnipotent	-⌫-⌫|----|---⌫|---------|
Gracespa rmon buencueruos re nt	-----|--⌫|--|---|---|--|--⌫-|
Quiu iuretant mauez	--|-⌫---|---||---|
Quecesdeusgenzdelo r pechié A	--|--|---|---|-|--⌫|------||
moienuindrentconsel	--|-|-------|-----|
Granzgrezuos	----|---|--|
enpuise ier end re	-|----|-|-⌫---⌫-|
Ge iurma creance	-|--|-|------|
Buenco nsel auerezde m oi	---|--⌫---|-----|-|-⌫-|
Tristranententmoiunpeti t	-------|-----|--|-|----⌫|
Cies uenu zamonhabi t	-|-|----⌫||--|----⌫|
Et uos roi ̈ne	-|--|---⌫--|
Entendez nesoiezpasfole	-------|-|----|--|---|
Qa nthomeetfemefont	--⌫-|---|-|---|---|
pec hie ́Saus	---⌫---⌫||--|
sesont priset sontquitié	-|---|---|-|---|------|
uie nenta penitance	---⌫---||--------|
Etaientbone	-|----|---|
repentance	---------|
Dex lor pardone lor	--|--|------|--|
Tantneseroit ori ble etlait	---|-|-----|---⌫--|-|---|
Trist r anroi ̈neorescoutez	-----⌫-⌫-|---⌫--|-|-------|
U n pe tite tsimentendez	-⌫|--⌫----⌫|-||-------|
Por h on te ost eretmalcou rir	--|-⌫--⌫-|---⌫-|-|--|---⌫--|
unpoi parb elment ir	-|--|--|-⌫-|----⌫-|
Qantuosconselm auezrequi s	---|--|-----||---|-----⌫|
G elu osd orrai san zterme mi s	-⌫-|-⌫-|-⌫----|---⌫|----|--⌫|
En parcheminprendrai	-|--------|-------|
Salu z au rael premier chiefA	----⌫|--⌫-|-|------|----||
Lanci ̈enle	-----⌫--|-|
Le roiparb iens alu mandez	-|--|--|-⌫--|-⌫--|-----|
En boisestes olaroi ̈n e	-|---|----||-|---⌫--⌫|
Maiss il uoloitde	---||-|-----|-|
lui saisine	--|------|
Etpardonastsonmautalent	-|--------|--|--------|
uosferïezpo r	--|------|--⌫|
uosen irïezasa	--|-|-----||-|
cortN iauroitf ortsagenelortS	---|||-----|-⌫--|---|-|---||
i lueutdirequen	-⌫|---|---|-|-|
uilan ieE üsiez prise drüerie	-----⌫-|-⌫-----|----|-------|
Siuo sface lirois	-|--⌫|---|-|---|
M arcpendre	-⌫--|-----|
Seuosneuo s poez defend re	-|--|-|--⌫|---|------⌫-|
Tristra nporce t osbien	-------⌫|--|-||-|---|
t roueras to nper	-⌫------|--⌫|--|
Qui gagedoinstencontre toi	--|---|-----|-------|--|
Icest c onsel te doin par f o i	----|-⌫----|-|---|--|-⌫-⌫|
Ce nepu et	-|-|--⌫-|
Qant iluosuou tli u rera mort	---|-|--|---⌫|--⌫-⌫--||---|
Eten feu ardo irparl enain	-|-|--|----⌫-|--|-⌫|---|
Cor toisl e	---⌫---|-⌫|
u i ren te tui lain	-⌫-⌫---⌫|-⌫|--⌫---|
uo loit escoute rpl ait	--⌫---|-------⌫|--⌫--|
Dexuosanotmercifait	--|--|-|-|----|---|
Que diluec fu s teseschapez	--||----|--⌫-⌫--|-------|
Sicomilesto ïas sez	-|--|-|--|-⌫-|--⌫--|
Que sene fus t la	--|-|-|---⌫|-|
Destruitfusiez a deshonor	-------|-----||-------|
Te l sa utfeïstesqu il n	--⌫|--⌫-|-------|-|-||
Coste nti n entresqua	-----⌫---⌫|-------||
le uoi tnena it	-|---⌫||-|-⌫-|
Iluec fui ̈stes	----|---⌫----|
uosrescosistes laro ïneSauez es tépus	--|----------|-|--⌫---||---|--⌫--|--|
engau din e	-|---⌫---⌫|
terreuoslamen a stes	----|--||----⌫-⌫---|
Par mariageli	--|------|-|
Totcefufaitille set	--|-|-|---|-|-|--|
Maluos estoitliéafal lir Olié	--|--|-----|---||---⌫--||---|
uosiste smexfuïrSilueut	-------⌫|--|----||-|---|
pr endreuostre escondit	--⌫----|-----|-------|
Siqe luerrontg ran te t p etit	-|--⌫|------|-⌫---⌫|-⌫|-⌫---|
uoslioffrez	--|-|-----|
a sa cortfaire	|-|---|----|
uenoitauiaire	-----||-----|
Qant uosser ez	---|--|---⌫-|
delui lo iaus	-|--|--⌫---|
Auloementde	-|------|-|
Preïsts a f eme la	------|-⌫|-⌫--|-|
Et s e sauezquelui nenpoise O	-|-⌫|----|--|--||-|----||
luiserezsessoudo iers	--|----|--|-----⌫---|
Se ruirez lemotuolentiers	--⌫-----|-|--|---------|
ilneueutuostr eseruis e	-|-|---|-----⌫|------⌫|
uos passerez lamerde	--|-------|-|--|-|
Iroiz seru iru nautr eroi	----|----⌫-|-⌫|----⌫|--|
Te xertlibrief	--⌫|--|-|----|
E t ielotroi	-⌫|-||----|
Ta nt aitplus m i sbea usire	--⌫-|--|---|-⌫-⌫|---⌫|---|
uostrem erci elpar chemin	-----|-⌫---|-|---⌫-----|
m osen lui fïe r	|-|-|--|----⌫|
De moia fait	-|--||---|
un bancrïer	-|--|-----|
Maisieli priéc omaseignor	---|-|-|----|-⌫-||------|
parbone amo r	--|---|---⌫|
U n autreb riefrefacefaire	-⌫|----|-⌫---|-----|----|
Si face es criretot	||---|--⌫----|--|
son plaire	--|-----|
Rogeanmila	---|---|-|
Pendelebrief sile	----|-|----|-|-|
c onman de	-⌫-----⌫-|
Neliosmander ou i e	-|-|-|-----|-|-⌫|
Gecriem quil	-|----|-|-|
ne meface ennu i	-|-|---|----⌫|
Gec r erai bienquantielaurai	-|-⌫-⌫---|---|----|-||----|
Le brief quant	-|----|----|
q u il u oudr a ferai	-⌫|-|-⌫----⌫|----|
Ma istre monbri efset seele ́	--⌫----|--|---⌫-|--|-----⌫|
queueescriroiz	----|--------|
ual e Aceste foizien	---⌫||----|---|-||
Ogrinslerm itelieuesus	-----||---⌫--|----|--|
Peneetenqueetparc hemi nprist	---|-|----|-|----⌫----⌫|----|
Tot es ces paroles imist	---⌫-|--|------||---|
Qantil ou t	---|-|--⌫|
La pierrepassotelseel	-|-----|-----|-|---|
Se eléest	--⌫---|--|
Tri stran letent	---⌫----|-|---|
Ille reçutmot bone ment	-|-|-----|--|----⌫---|
Quil porteradistli hermites	---|------|---|-|-------|
Gel porterai	--|-------|
Tristrannudites	-------|-|----|
Certes siresiferaibien	-----|---|-|----|---|
B ien sailestred e	-⌫--|--||----|-⌫|
Ogr in uostr emerci	---⌫-|-----⌫|----|
La roï ne remai ndr aci	-|----⌫-|-----⌫---⌫|-|
Et an euoi sentensoscur	-|--⌫----⌫|-|---|----|
Qantliroisdormiras eür	---|-|---|------|-⌫---|
Ge m onteraisormo ndestrie rOmoimerrai	-|-⌫------|--|--⌫|-------⌫||--|-----|
mone scuier	--|-⌫-----|
uile aun pendant	---||-|------|
L ad ecendraisiraiauant	-⌫|-⌫-------||---|----|
Mo ncheu al garderamonmes t re	--⌫|----⌫-|------|--|---⌫-⌫-|
Mellorneuit	-----|-|--|
n elai sne pres tre	-⌫|---⌫|-|----⌫--|
Anu it a p rés solel	---⌫-|-⌫-⌫---|----|
tens p r is taespo isier	---|-⌫-⌫--⌫||----⌫----|
Tr istra n se ntorneau ocson	--⌫-----⌫||-⌫|----|--⌫-|--|
Bien so t tot lepaï set	---|--⌫|--|-|----⌫|-|
Lanci ̈enala	-----⌫--||-|
En sontu enu ta n ton terr e ́	-|---|-⌫--|--⌫-⌫|--⌫|---⌫-⌫|
Ildecentius entreen	-|-----|--|----|-|
Lesgaitescornentameruille	--|-----|------||-------|
Parlefossédedenzauale	--|-|-----|-----|----|
E tuinterranttresque	-⌫|---|-----|------|
Motparestmis	--|--|--|--|
TristranenfortAlafenestr eoulirois	-------|-|---||-|-------⌫|-|-|---|
Enest uenusoueflapeleNauoit	-|--|---|----||----||----|
sondecrïerharele	--|-|-----|-----|
esuelle etditapré s	------|-|--|-----⌫|
qui atel eureues	--||--|---|--|
Astu besoin	-|-|-----|
D i moitonnon	-⌫|--|--|--|
Tristran mapelelon	-------||----||-|
Unbr ief aports il	-|--⌫--|----|-⌫-|
El fenestrierde	-|---------|-|
cesten clus	---|--⌫---|
L onguementnos a	-⌫--------||-||
uos p arle r	--|-⌫----⌫|
Le briefuos laisn os plus ester	-|----|--|---||-|---|----|
liro i ssaut	-|--⌫-⌫|---|
Partroi s foizlapela	--|----⌫|---||----|
D eu beausnie ́s to no ncle	-⌫-|----|---⌫-|--⌫|-⌫---|
Lirois lebrief asa mainprent	-|---|-|----||-|---|----|
Tristrans enuet plusni re maint	-------||-|--|---|||--⌫----|
De so i con duire ne sefaint	-|--⌫|---⌫----|-|-|----|
uientas onmestre quilatent	----||-⌫-|-----|--||----|
Eld estriersautlegierement	-|-⌫------|---|----------|
Gouernaldist	-------|---|
Folquaresploites	--|---|--------|
Alonnos e nlesdestol etes	---|--|-⌫|--|------⌫---|
T anto nterréparle boschage	-⌫--|-⌫-|----|--|-|-------|
Qauioru indrentalermitage	|-|--|-⌫------|||-------|
Ogrins p rioit	-----|-⌫----|
Au roicelestrequa ntq uilpot	-|--|-------|---⌫-|-⌫|-|--|
Tristr andefen dedencon brier	------⌫-|-----⌫-||-----⌫----|
G ouernalsonescuier	-⌫------|--|------|
Qantilleuit es leuos lié	---|-|-|--|-|-|--|---|
S oncriato r a	-⌫-|------⌫||
Iseutnestu etpasdemanderSeleoutpoor	----||----⌫-|--|-------||--|--|---|
d eusencon t rer	|--|-----⌫-⌫--|
Ainzpus lisoirqu	---|--|-|---|-|
ilen issi rent	-|-|----⌫---|
Tresque lermiteete llesuirentN	------||-----|-|-⌫|--|-----||
o ut le seulze s suiez deler mes	-⌫-|--⌫|---|-⌫-⌫----|-|---⌫--|
Motparlisenblal ons	--|--|-|-----|-⌫--|
cis term es	--|----⌫-|
Qa nte lle uituenirlorprie	--⌫-|-⌫|-|--|----|--|---|
Q u il if ist	-⌫|-||-⌫--|
n efupasparo le	-⌫|-|--|----⌫-|
Am i s dimoi se	--⌫-⌫|-|--|-|
De xtanort	--⌫||----|
Fustud onc pu s	--|-|-⌫--|--⌫|
alaroicor t	|-|--|---⌫|
Tris tranl or atotreconté	----⌫---|-⌫-||--|-------|
Conment ilfualacité	------|-|-||-|----|
E t con mento le roi pa rl a	-⌫|---⌫---||-|--|--⌫--⌫|
Comentli roislerapela	-----|-|---|-|-----|
Etdu brié sque	-|-|-----⌫|--|
Etconliro is tro ualescri t	-|--|-|--⌫-|---⌫-||-----⌫|
Ogrin gra ces	----|---⌫--|
Trist ran sac hiez asezbri ment	-----⌫--|---⌫---|---|---⌫---|
Orezno uelesduro	---|--⌫----|-|-|
Tr istran d ecent m etius son arc	--⌫-----|-⌫----|-⌫-|--|--|--|
Orseiornenta l	-|--------|||
Lirois esuellesonbarnage	-|---|------|--|------|
Primes mandalechap elain	-----|----|-|----⌫----|
Lebrief litentqu	-|----|-|---|-|
aen lamain	|-|-|---|
Cilf ra int la	--|-⌫--⌫--|-|
cire etlut lebr ief	---|-|--|-|--⌫--|
Li ro icho isielprem i erchiefA	-|--⌫|---⌫--|-|----⌫-⌫-|----||
Tristranmandoitsa luz	-------|------|--⌫--|
Lesmoz atosttozcon neüz	--|--||---|--|---⌫----|
aditleman dem ent	|--|-|---⌫---⌫--|
L iroisle scoutebonementAgrantmeruel les en	-⌫|---||-⌫-----|-------||----|------⌫-||-|
Qar safeme	--|-|---|
forment amot	------|---|
L iroisesuellesesba rons	-⌫|---|------|--|--⌫---|
Lesplus proisiezmandepar nons	--|---|-------|----|--|---|
fur enttu it uenu	---⌫--|--⌫-|---|
Li roisparlailsont	-|---|----|-|---|
Seig norsunbriefmest	----⌫---|-|----||--|
ci t r ami s	-|-⌫-⌫---⌫|
Roissuisoruosuosmi	---|--|--|--|--|-|
Librie ́s soitliezet soi toïz	-|----⌫-|---|---|-|---⌫|---|
Et q antl izs eraliesc riz	-|-⌫--|-⌫-|-⌫--|-|---⌫--|
Conselliezmen ieluosrequi er	---------||-|--|--|-----⌫-|
uosm endeue z bienconsellier	--||-|----⌫|---|---------|
Dinas sen est leue ́prem ier z	----||-|--|----⌫|----⌫---⌫|
Dista s esp e rs	---||-⌫-|-⌫-⌫-|
Seignorsoie zSor oiezq uene	-------|---⌫||-|---|-⌫-|-|
Nemencreez de	-||-|----|-|
Quime x saura d ire	--|--⌫|----|-⌫--|
Facelebienlestlafo lie	---|-|---|---|-|--⌫--|
Libriefnos estici tramis	-|----|--|--|--|-----|
Nosnesauo ndeqel païs	--|-|----⌫|-|--|----|
libri éspremiereme nt	-|---⌫--|----------⌫-|
Etpussolonclema ndement	-|--|-----|-|--⌫------|
conselsauradoner	-----|----|----|
Se lnosdoinstbuen	--⌫|--|-----|---|
Nelquiercel er	--|----|---⌫-|
droit seignor	----|------|
mesconsell e	----------⌫|
Nepuetfaire	-|---|----|
greig normeruelle	-----⌫--|-------|
A ur oi dïe nt	-⌫|-⌫-|----⌫-|
Cor neualois	---⌫-------|
Din a s a dittro pquecortois	---⌫-⌫||--|---⌫|--|------|
Danchape lain lisie zlebri ef	--|-----⌫---|-----⌫|-|---⌫-|
Oiantnostozde chiefen chief	----|--|--|-|----|-|----|
Leuezs enest l i ch apelains	----||-|--|-⌫|--⌫-------|
L ebriefdeslieoses deusmains	-⌫|----|-----||--|---|----|
E n piez estu t deuant le	-⌫|---|----⌫|-----|-|
Orescou tez	-|-----⌫--|
entendezmoi	-------|--|
T rist ranliniés nostr es eignor	-⌫----⌫--|-|----|-----⌫|-⌫-----|
Saluz man deprime etamor	----|---⌫-|----|-|---|
Au roi etatotson barnage	-|--|-||--|--|------|
sezbienle mariage	--|---|-|------|
Delafillele roid	-|-|----|-|--||
fui iusqu en	--|----|-|
Par m a pr oece la conqu is	--|-⌫|--⌫---|-|-----⌫-|
serpen tcresté oc is	------⌫|------|--⌫-|
Par qoiele mefudone e	--|--|--|-|-|----⌫|
Ame nail aen	---⌫--|-⌫|-|
taco ntree	-|--⌫----|
Rois tulaprei ̈samollie r	---|-|-|----⌫-||------⌫|
S i queuirent	-⌫|--|-----|
ticheualierN	-|--------||
eüsgair es	---|----⌫-|
Qua ntloseng ieren ton rei gne ́	---⌫-|------⌫--|-|--|---⌫---⌫|
Tefirentacroire menço nge	-|-----|------|------⌫--|
Gesuitotpr est qu e gageendo nge	-|--|--|--⌫--|--⌫|---|-|--⌫--|
Quiliuoudroitblasme leuer	--|-|-------|-----|----|
Li éaleg ie rcont re mon	--⌫-|----⌫--⌫|----⌫-|--|
Beau sirea piéou a cheua l	---|---||---|-||-----⌫|
C hascunsait armesetcheual	-⌫------|--|----|-|-----|
Quonques amo rnenoutuers moi	-|-----|---⌫|--|--|---|--|
uerslui parnul desroi	---|--|--|--|-----|
Seienelenpui salegie r	-|-|-||-|---⌫|------⌫|
tacortmoideraisnier	-|---|--|---------|
Ado ncmefaideuantton ost	---⌫-|-|--|-----|--|--|
a qui ieteno stN i a	|--|-||-|-⌫-||||
baronpormoi plaisier	----|--|--|-------|
Nemefacea rdrë	-|-|---|-⌫----|
uossauezbienbeausoncle ssire	--|----|---|----|-----⌫|---|
Nosuosistesardoirenire	--|-------|-----|-|--|
prist grant	----|----|
La roïne par auenture	-|-----|--|-------|
En esc hapa	-|---⌫---|
Ce fudroit ure	-|-|-----⌫--|
Dex mesaut quar a grant tort	--|-|---|---||----|---|
Li uolïezdonerla	-|------|----|-|
mort Genne schapai	---||--|-⌫------|
s ifisunsa ut	-⌫|--|-|--⌫-|
C ontr eual unro chier moth au t	-⌫----⌫---|-|--⌫----|--|-⌫--⌫|
Lorsfudonne el a roïne	---|-|-----⌫|-⌫|-----|
Asmala desen decepline	-|----⌫--|-|--------|
Ge le n portaisi	-||-⌫|-----|-|
Puisaitoz tenso lifuï	---|-|--|---||-|---|
Ne li deuoiepas fal lir	-|-|-----|--|---⌫--|
Q antatortd utpo rmo i m o r ir	-⌫--||---|-⌫-|--⌫|--⌫|-⌫-⌫-⌫-|
P uis aie s té olié	-⌫--|-|-⌫-⌫--||---|
Que i en estoie pasta n t os	--|-⌫||-----|--|--⌫-⌫|-|
osase an plain mostrer	----|-|----|------|
uo s feïstesunb ancrïer A	--⌫|-------|-|-⌫-|-----||
pr endrenos e tauosren dre	--⌫----|--|-⌫||--|---⌫--|
Feïsiez nosa rdoiroupen dre	-------|--|-⌫----|-|---⌫--|
P orcenosestouoit fuïr	-⌫-|-|--|-------|----|
Maissorestoituostre p lesirA	---||-|-----|-----|-⌫----||
Yseutole cler	----||-|---|
uisNauroit baronencest	--||-----|----|-|---|
Plusuosseruistq uei e	---|--|------|-⌫-|-⌫|
u osmete nautreuoie	-⌫-|--|-⌫|----|---|
uuelliezle mienser uise	-------|-|---|---⌫---|
Ge m en ir ai au	-||-|--⌫-|-|
Iamais n or a sdemoi parler	-----||--⌫-⌫|-|--|-----|
Passeraim enoutre	-------||-|----|
Dece qoiezroi prenco nsel	-|-||---|--|---|--⌫---|
Ne puismes soufrir teltr ep el	-|---|--|------|--|--⌫--⌫-|
Ouiem acordera i	-|-||--------⌫|
enmerrai la	-|-----|-|
filleau roi	----|-|--|
Irlandëouie l a pri s	-------|-|-|-⌫|---⌫|
Roïnëe rtde	------|-⌫-|-|
Li ch apelains a au roi dit	-|--⌫-------||-|--|--|
Si rena plus en c est	--⌫-|||---|-|-⌫--|
Libaronoient	-|----|----|
l adem a nd e	-⌫|---⌫-⌫--⌫|
filleau roid	----|-|--||
Tristranuerse usbatalleNia	-------|---|-⌫-|------||||
Cornoualle	---------|
Rois ta feme pren	---|-|---|---|
Onquescilnore ntnul i or	-----|--||---⌫-|--|-⌫-|
Quicedistrentdela roi ̈ne	--|-|-------|-|-|---⌫--|
Dontlaparole estcioïe	---|-|-----|--|-|---|
N etesai pas co nsel don er	-⌫|-|--|--|--⌫---|---⌫-|
Tristr anr emaigne deçam er	------⌫-|-⌫------|----|-⌫-|
Aur icheroiauten	-|-⌫---|--|--|-|
GauoieAqui	-----||--|
liroize scoz ger ro ie	-|---|-⌫---|---⌫--⌫-|
Si seporrala contenir	-|-|----|-|-------|
Ett ant porr ezde lui	-|-⌫--|----⌫-|-|--|
uosma nde rez por	--|--⌫---⌫--|--|
l uiquilui en ge	-⌫-|-|-|--⌫--⌫-|
Nesauon elqel	-|----|-|--|
uoiet ienge	---|-⌫----|
Mandezpar bri ef qu ela	-----|--|---⌫-|--⌫|-|
uosameintciabrief	--|-----|-||----|
Liroissonc hapelain	-|---|--|-⌫-------|
Soi tfait cistbriefomain isneleOïauez	---⌫|---|---|----||---|-----|--|---|
Haste zlebrief mots uides troiz	-----⌫|-|----|--|-⌫-|---⌫----|
Trop amaltraitensaiouent e	---||--|----|-|-|------⌫|
Etquantlibri efertseelez A	-|----|-|---⌫-|--|-----||
Ro gelep endez	--⌫-|-|-⌫----|
Ancor enuitisoitp enduz	----|----||---|-⌫----|
Escri uezi parmois alu z	-----⌫--||--|--|-⌫---⌫|
Qua ntlotlichapela inescritAla	---⌫-||-|-|-------⌫-|-----||-|
Rogele pe ndit	---|-|--⌫---|
Tristran n edormi	-------|-⌫|----|
p as la n uit	-⌫-|-|-⌫--|
Ainz queuenistlamienuit	---|--|-----|-|--|---|
Landeo uttra uersee	----|-⌫-|---⌫-----|
L achar treportes eelee	-⌫|----⌫--|----|-⌫----|
Bie nsoutlestrede	---⌫|---||----|-|
Ogr in il lali	---⌫-|-|-|-|
L ihermitelachartre a	-⌫|------|-|------||
Lutles letresuit lafr an chis e	--|--|-----|--|-|--⌫--⌫----⌫|
Du roiqui pardonne a	-|--|--|-------||
Sonmautalent etque ilue ut	--|--------|-|--|-|--⌫-|
Repen re latant boneme nt	-----⌫-|-|---|------⌫-|
uitleter meda cordement	--|-|---⌫-||-⌫--------|
Iaparlerasicomildoit	-|------|-|--|-|---|
Etc onlihonq ui a	-|-⌫-|-|--|-⌫-||
D eucro it	-⌫-|---⌫-|
Tristranquel ioi etestcr eüe	-------|---|---⌫||--|--⌫---|
Taparoleesttost entendue	-|-----|--|---|-------|
Queli ro isla roïne prent	--|-|--⌫-|-|-----|----|
Loé l io nt to t esagent	---|-⌫|-⌫-|--⌫-⌫|-|---|
Maisneli osentpasloer	---|-|-|----|--|---|
Toi reteni r as ou deier	--|------⌫||-⌫--⌫----|
Mais uaseruir	---|-|-----|
ena u treter re	-|-⌫-⌫--|---⌫-|
Unroia qui onface	-|--||--|-|---|
Unanoudeus	-|-|-|---|
Seliroisu eut	-|-|---|-⌫--|
Reuienaluieta	-----||--|-||
Y s eutDuientierzior sanznul deçoiu re	-⌫-⌫--||-|-|----|--|---|--|-------⌫-|
Es tlirois p restdel iéreçoiure	--⌫|-|---|-⌫---|-|-⌫--|--------|
Es t li plez misde uosetdeus	--⌫|-|---|--|-|--|-||--|
Lalir endroi ziluecertprise	-|-|-⌫------⌫|----|--|----|
C ist briésnoient plusnedeuise	-⌫--|-----|-----|---|-|-----|
T rist ranqueldepartie	-⌫----⌫--|---|-------|
Mote stdol enzquipe rtsami e	--|-⌫-|---⌫--|--|--⌫-||---⌫|
estuetporlasou frete	-----|--|-|---⌫----|
aue zpormoifort	---⌫|--|--|---|
treteN auezmestierdeplus	----||---|------|-|---|
Qant ceuendraau depar tir	---|-|-----|-|-----⌫--|
dorrai madrüerie	-----|-|-------|
Iane serai	-|-|----|
metiengepais	-|-----|---|
Que mesa ge n euosenuoi	--|----⌫-|-⌫|--|----|
Bele amieremand ezmoi	---|---|------⌫-|--|
De to tento tuo strepl esir	-|--⌫|-|--⌫|--⌫---|--⌫---|
Ise ut parla ogran t	---⌫-|----||----⌫|
Tristran ententunpetitet	-------|-----|-|------|
Hu sdent me lesse tonbrachet	--⌫----|-|----|--|------|
A inzbers eret aueneorNert gardée a	-⌫--|----⌫---||-----||--|-----|||
Con cist serabea usdouzami s	--|---|---|---⌫-|---|---⌫|
Q antge luerrai ce m estauis	-⌫--|--⌫|-----|-||--|---|
M enberr amoideuos	-⌫------⌫|--|-|--|
Ia naurai si le cuerdol e nt	-||----|-|-|---|---⌫-⌫-|
Seie l euoinesoie lie	-|-|-⌫|--|-|---|--|
Ainzpui squela	---|---⌫|--|-|
loifuiugi e	--|-|----⌫|
N e fubes tesihe rber gie	-⌫|-|---⌫-|-|--⌫----⌫--|
Ne ensiriche	-|-|-|----|
litcouchie	--|------|
Tristra niai	-------⌫||-|
U niaspeuertaunseel	-⌫|----|---||-|---|
Beau sire porla mo r de	---|---|--||-⌫--⌫|-|
Portezlan ele nuostre doi	-----||--⌫-|-⌫|-----|--|
Et s iluos	-||-|--|
uien t si rea corage	----⌫|--⌫-||-----|
Quememandezr ienparmesage	--|-|-----|-⌫--|--|-----|
Tan tuosdirai	---⌫|--|----|
cesaciez b ien	-|-----|-⌫--|
encroiroier ien	-|-------|-⌫--|
Se cesta nelsire	-|---|-⌫--|---|
Mais pord efensedenul r oi	---|--|-⌫-----|-|--|-⌫-|
l anelne lairaimie	|---|-|-----|--|
sa uoirousoit folie	--⌫---|-|---|----|
Ne facecon	-|---|--|
queil dira	--|-|---|
Qui cestanel map o rtera	--|---|---||--⌫-⌫----|
Por cequilso i t	--|-|-|-|--⌫-⌫|
a nostreanor	|-----|---|
I e uosp r ametpa rfineamo r	-⌫|--|-⌫-⌫---|--⌫|---|---⌫|
A mis dorre zmeu os tel	-⌫--|-----⌫|-|-⌫-|--|
Husdant le baut par	------|-|---|--|
Etil r e s pont	-|-|-⌫-⌫-⌫---|
Lamoieamie	-|---|---|
Husdent u osdoins par drü erie	------|-⌫-|----|--|----⌫---|
Sire ces t la	---||--⌫|-|
uos trem erc i	---⌫--|-⌫---⌫|
auezseis i	---|----⌫|
Tenezlanelde g e rredon	----||---|-|-⌫-⌫-----|
Des ondoiloste	-|-⌫-|--||---|
T ristran enb esel a roi ̈ne	-⌫------|-|-⌫--|-⌫|---⌫--|
Etelelui pa r la sais ine	-|--|--|--⌫|-|----⌫--|
Li he rmites e n uetau	-|--⌫-----|-⌫|--|-|
Porl esr icheces qui l a sont	--|-⌫-|-⌫------|--|-⌫|---|
Assés achateuer etgri s	-----|-----|--|-|---⌫|
Dr asdesoieetde porprebis	--⌫-|-|---|-|-|-----|--|
Es carlate setblancchains i l	--⌫-------⌫|-|----|------⌫-⌫|
Asez pl usblanc queflorde	---|--⌫-|----|--|---|-|
Etpalefroi	-|-------|
souefanblant	----|------|
Bien atornez d orflanboiant	---|------||-|---------|
Ogrins lermite tant a cha te	-----||-----|---|-⌫---⌫-|
acroit ett antba rate	-----|-|-⌫--|--⌫---|
Pai lesuairsetgrise therm ine	---⌫--|----|-|---|-⌫|----⌫--|
Quericheme nt	--|-------⌫-|
uest la roïne	---|-|-----|
Cor nouallefait	---⌫------|---|
Lir oiss acordeasa	-|-⌫--||-----||-|
Iert prisa cordement	---|---|-⌫--------|
denosOïenon tpa r	-|--|--|-|--⌫|--⌫|
totla fameNir emestcheual ierne dam e	--|-|---|||-⌫----|------⌫--|-|---⌫|
Quine uie ngea cel asen b lee	--|-|---⌫--||--|----⌫-⌫--|
La roïneontmot	-|-----|--|--|
Ameeesto i tde	---|----⌫-⌫|-|
Forsdesfelon sque	---|--|-----⌫|--|
Dexcrauen t	--|------⌫|
Tuit qu atre en orent tels	---|--⌫---|-|----|---|
Liduienfurentmort	-|--|-|-----|---|
Liti erzd uneseete	-|--⌫--||--|----|
ocisAduel morurentel païs	---||---|-------|-|----|
Li forestier	-|--------|
quisencusa	---|-----|
Mortcrüele nenrefusa	---|------||-|-----|
Perinis l i fran clibloi sL ocist	------|-⌫|----⌫|-|----⌫||----|
g ibet e lbois	-⌫---|-⌫|---|
Dex lesuengade	--|--|----|-|
Qui uoutlef ierorguelaba tre	--|---|-|-⌫--|-----|---⌫--|
Sei gnorsauior	---⌫----|-|--|
duparleme nt	-|-------⌫-|
Fu liroi s	-|-|---⌫|
motgrantgent	--|----|---|
Laout ten d umaint pauellon	-|--|---⌫-⌫|----|-------|
Etm aintetentedeb aron	-|-⌫----|----|-|-⌫---|
Loin ontporprisla	---|--|------|-|
Tristrancheuau ch ëo samie	-------|------⌫--⌫-|||---|
Tristran cheuauch e	-------|--------⌫|
etuoitlemerc	-|---|-|---|
Sou zs on bliautotson hauberc	---⌫|-⌫-|-----|-|--|------|
Quargran tpoo rauoitde	---|----⌫|---⌫|----|-|
Porcequ iloutmesf ait	--|-|-|-|--|----⌫--|
Choi siles tentes parlapre e	----⌫-|--|-----|--|-|---⌫|
Conut liroi et l	----|-|--|-||
Ise ut apele bonem ent	---⌫-|----|-----⌫--|
Dam e uosretenez	---⌫|--|------|
Deu quelegarde zS onques l	--|--|-|-----⌫||-----||
amastes donclamez	------|---||---|
uezlale roi uostre seig n or Olu ili ho me	--|-|-|--|-----|----⌫-⌫-||--⌫|-|--⌫-|
por ronmaislong ue ment	---⌫--|---|----⌫--⌫---|
deusaparleme nt	---||-------⌫-|
