pe leusiertunsrichesre is	--⌫---|---|--|-----|--⌫-|
meipensezsensaloign e	--|-----|---|------⌫|
uosenestmesperance	--|-|--||--------|
emis conseil ze m	|--|-------⌫|||
atenda nce	------⌫--|
faitladan zele beaus	---|-|---⌫---|----|
sacheizi ena i bien c on seil pri s	------||-|-⌫|---|-⌫--⌫---|---⌫|
anduiseso ntd ellitleué	----|-|--⌫-|-⌫-|--|----|
quariapier t	---|-|----⌫|
u n escrindorprist medea	-⌫|-----||-|----|----|
ueian ti ason	-----⌫|-⌫---|
ledesferm a	-|-------⌫|
sienatrait e une	-|-||-----⌫|--|
fa itep ar arteparconi ure	--⌫--|-⌫-|--||--|----⌫--|
cofaitelporteras otei	-|---|-|-------||--|
quar iote di pardreitefei	---|-|-|-|--|-----|--|
ia tantcome s or t eilauras	-|---|---|-⌫-|-⌫-||----|
en terre ma rcrienbras	-|----|--⌫|--------|
a presli bail leuno ignement	-⌫---|-|----⌫-|-|-⌫-------|
ne saicumfu faiznecom ent	-|--|--|-|---|-|---⌫--|
dicefai tele serasoinz	|--|---⌫|--|----|---|
c ar de c o t estgraind re bosoi nz	-⌫-|-|-⌫||--|------⌫-|-----⌫-|
puisnaurasia	---||----|-|
de feudotan ce	-|--|-----⌫-|
quiaton cor sface	--||--|---⌫|---|
orteb ai lerai	-|-|-⌫--⌫----|
si nenu er rasiamaispl usbel	-||-|-⌫--⌫--|-----|--⌫-|--|
esi s aches bienqu e	|-|-⌫----|---|--⌫|
nepuete streen nul se n plusch iere	-|---|-⌫---|-|--|--⌫|---|--⌫---|
ahome quiseituis	|---|--|---|--|
desquil l aura en sondeit	----|-||---|-|--|---|
quiiap uis crienge	--|-|-⌫--|------|
enchantement	-----------|
fuearmeueninne	--|---|----|-|
poentfairee nconb r er	----|----|-⌫-----⌫-⌫-|
ne eneue nepuetneier	-|-|--|-|---|----|
tantcomlanelauras	---|--||---|----|
mara ura s dote nee sfre i	--|-⌫---⌫|---|-|-⌫----⌫|
encor e ail	-----⌫||-|
au tresuertuz	--⌫---|-----|
se tu neuueusestre ueuz	-|-|-|----|----|---|
l apie rre metdehorsta	-⌫|---⌫--|--|-----|-|
de ceteuueilfaire cert ain	-|-|-|----|----|----⌫--|
queia rien	--|-|---|
equantcoriert quil	|----|-|----|-|-|
te pl aira	-|--⌫---|
aurasdico soing	----||--|----|
cloulapier rededenzton p oi ng	---|-|----⌫-|-----|--|-⌫--⌫-|
ueuzseraslomc ome autre	---|----|--|-⌫--|----|
onques o ctouiens derom e	-----|-⌫-------|-|---⌫|
conquerrecel aueir	--------|--|----|
qui cestpoustcontreualeir	--|---|----|-----------|
lanel fa i te l megar debien	|---|--⌫-⌫|-⌫|-|---⌫-|---|
ai m plusque	--⌫|---|--|
n ule rien	-⌫--|---|
apresli r eba illeunescrit	----|-|-⌫---⌫---|-|-----|
monstré edit	-------||--|
ia sonquantlemouton u erras	--⌫--|----|-|-----|-⌫----|
nefaireiaauant	-|----|-|----|
deciquaie s	-----|---⌫|
sacref iié	------⌫---|
quelideun enseientir i é	--|-|--||-|-----|--⌫-⌫-|
c ri emesereitsinelfaiseies	-⌫--⌫--|-----|-|-||-------|
que chierementleco mparreies	--|---------|-|--⌫--------|
paricoles apai eras	--|--|--|----⌫---|
edementresqu etu f e ras	|-----------⌫|-|-⌫-⌫--|
ce stescritdira sbelement	--⌫-|-----|----⌫|-------|
trei sfeiee sco ntreo rient	----⌫|-----⌫|--⌫---|-⌫----|
seiesa menteuz	----|-⌫------|
orteb ailleraices tegluz	-|-|-⌫-------|---⌫-|---|
partelm anieredestem pree	--|--|-⌫-----|------⌫---|
que i aari enniert adese e	--|-⌫||--⌫-||---|-----⌫|
d o nt iamaisdeseureeseit	-⌫-⌫-|-----|-------|---|
grant aleureuatotdreit	----|-----|-|--|----|
esbochesasbues	-|-----|-|---|
le spant toteq uar	|-⌫----|---|-⌫--|
biente sthues	---||-⌫-|---|
parcol esaur assi c onquis	--|-|-⌫-|---⌫-|-|-⌫-----|
iafeusdelorcorsn	-|---|-|--|---||
ist r a puis	---⌫-⌫|---|
ar er lurferasquat re reies	--⌫-|--|----|----⌫-|----|
maisclout es ieuz que	---|---|-⌫-|---|--|
tune l u eies	-|-||-⌫---|
t o tseurement	-⌫-⌫|--------|
combatrecontrele	-------|-----|-|
