Aiceliorkeladolor fugr ans	|---|--|-|-|----|-|--⌫--|
Acascunc op e nfai tuuidier	|-----|-⌫-|-⌫|---⌫|------|
Ou . uii.ou	-|-⌫---|-|
.uiii.dela	-----|-|-|
geste Maho n.	----|----⌫-|
ocist.nests emeruelle	-----|---|-⌫|-------|
fuie nt com aloe faucon.	----⌫-|--|---|------|
sescriëntAidié ssireMahon	|--------|------⌫|---|----|
Dist Rain ouarsSi fait	---|----⌫----|-|---|
copsont moltbon	--|---|---|--|
Ialibo utersnemia uroit	-|-|--⌫----|-|||-⌫----|
Sen ocioi eaucop	-||-----⌫|-|--|
kunTurcfelon	|-|---|----|
Neprisero iem ontinel unbou ton	-|-------⌫-|-⌫-|----|-|---⌫--|
Mais.ui . ou.uii.o u.uiii. tant est	---|---⌫|-|----|-⌫|-----|---|--|
O tleBertran ssi	-⌫|-|-------⌫|-|
ladita Guion	||--||----|
Aue ́s oïRainouartleba ron	---⌫-|--|--------|-|--⌫--|
Ai ns si fiers mos	--⌫-|-|----|--|
noïdirenus hom .	|--|---|--|---⌫|
--Parfoi distG uisb ien a	-|--|--|---|-⌫--|-⌫--||
euerde l ion.	---|-|-⌫---|
Diexle gari ssekenosnele perdo n.	---|-|----⌫--|-|--|-|-|-----⌫-|
QeronsGuillaume et sile secor on	-----|--------|-|-|-|-----⌫-|
Seil imuert	-|-||----|
moltgrantpe rt e	---|----|--⌫--⌫|
A t ants entornentbrochant	|-⌫--|-⌫-|------|-------|
aespe ron.	|----⌫---|
Qui ilataignen tn enprennentraeu chon	--|-|--------⌫||-|-------|----⌫---|
Leciefli tr e nc entpardese urleme nton.	-|---|-|--⌫-⌫--⌫--|--|----⌫-|-|--⌫----|
Souent escriëntMonio ie laCarl on	-----|--------|-----⌫-|-|----⌫-|
Pa ie ns ochiëntsans nulee spar n ison	--⌫--⌫-|-------|---|---|-⌫----⌫-⌫---|
De uaut le urbrausnenanu sgariso n.	--⌫---|--⌫-|----||-||--⌫|------⌫-|
Gransfu l estoretl icaplesfelon	----|-||----|-|-⌫|-----|----|
Sonent cilg ra ille moltens ontgrant	-----|--|-⌫--⌫---|---|-|-⌫--|----|
Ture etPersantglat isentcomg aignon	---|-|------|----⌫----|--|-⌫-----|
Tel n oi semainentetsiforthu ïson	--|-⌫--⌫-|------|-|-|---|--⌫----|
Etli ceual siflere	-|-|----|-|----|
Tou s liArcha nse nteut ist enuiron	---⌫|-|-----⌫-|-⌫|----⌫--|------|
fors lieues oïrlespeuston.	---|-----|---|--|----|--|
l ii orsetli	-⌫|-⌫--|-|-|
sola usluistele r	----⌫-|----|---⌫|
Etlabatai llefistmoltaredouter.	-|-|-----⌫--|---|---||--------|
E n.cc . lieu siue ïssiéscapl er	-⌫|---⌫|----⌫||--⌫-------|----⌫-|
Corset buisinesetolifans souner	---|-|-------|-|------|-----|
Molthautem entensegnesescrie ̈r	---|------⌫--|-------|------⌫-|
Païnegent etgl atirethuller	-----|---|-|--⌫---|-|-----|
EtsorFrancoisgueneir	-|--|-------|------|
ettrestorner	-|---------|
Eteil uer selsnesdeigne nte sc hiuer	-|--|---⌫|--|--|------⌫-|-⌫--⌫----|
Do ntueïssiésm aint	--⌫-|---------|-⌫---|
ruist ecopdon er	-----⌫|--|---⌫-|
A s b ransd	-⌫|-⌫---||
f e rir et cap l er	-⌫-⌫--|-|---⌫-⌫-|
bras etp iés	---|-|-⌫---|
etpoins coper	-|----|----|
Etcesc eruelesdecestestesuoler	-|--|-⌫------|-|--|-----|----|
E tces entrai llescesboiaustraï ner	-⌫|--|------⌫---|--|-----|-----⌫--|
sorlautretr eb uchi eretuerser	--||----|--⌫--⌫----⌫-|-|-----|
C euausf uïr et	-⌫----|-⌫---|-|
regnest raïner	-----|-⌫------|
Deseur laterr elesancdes corsbeter.	-----|-|----⌫|-|---|--|---|-----|
Kila ch aïainc	-|-|--⌫--|---|
nepo t releuer	-|--⌫|------|
Porce kilfustSarrasinneEscle r.	--|-||-|---|-------|-|-----⌫-|
Lique ns Be rtranslaitleceual	-|---⌫-|--⌫-----|---|-|----|
p ot desousluiran d o ner	-⌫-|-----|--|---⌫-⌫-⌫--|
Brandistlespiéod leferd o utremer	-------||-----|-|-|--||-⌫---|--|
Et uaferirAiquinalencontrer.	-|-|----|-----||----------|
Lesculipercel aubere	|---|-|----||-----|
li faitfauser	-|---|-----|
Par milecorsfaitfer etfustpasser	--|-|-|---|---|--|-|---|-----|
Mortle tr ebucea ins neli l ut	---|-|--⌫----|-⌫--|-|-|-⌫-|
Li .ui i. cousin re sont	-|---⌫-|-----|--⌫---|
aléioster	---|-----|
.uii. roispa ie nsfont morsac ra u ente r.	----|---|--⌫--⌫-|---|---|--⌫--⌫-⌫----⌫-|
Biensec o n tieunentaguise desangl er	---|-|-⌫-⌫-⌫-------||----|-|-----⌫-|
daci erfontpaiensremuër	|---⌫-|---|-----|------|
Deuantleurcoxne puet armed urer.	-----|---|--|-|---|---|-⌫----|
Toutelapressefont part iretse urer.	----|-|-----|---|----⌫-|-|--⌫----|
Ta ntu ont	--⌫-|-⌫--|
G uil lame qu errantli b aeeler	-⌫---⌫---|--⌫-----|-|-⌫-----|
K illetrouerent	|-|-|--------|
a mo nt deu ers lamer.	|--⌫-|---⌫--|-|---|
Bienl econn urent asruistescos doner	---|-⌫|----⌫----|-|------|--|----|
Et au grant cors	-|-|----|---|
espee ne puet armedurer.	----|-|---|---|-----|
Die xdist Be rtra n sOr	---⌫|---|--⌫----⌫-⌫|-|
uo imondesire r.	--⌫|--|------⌫-|
Oncl es G ui llam esehi	----⌫-|-⌫--⌫----⌫-|--|
u o s uientr eu ider	-⌫-⌫|----|-⌫--⌫---|
potdeuosseruir lasser	--|-|--|-----|-----|
C hou estBertrans	-⌫--|--|-------|
kiorseueut	-|-|-|---|
Poru o streamor de	--|-⌫-⌫---|---|-|
Sarrasinsgreuer.	--------|------|
Tousnousafaitsiredesprisoner	---|---||---|---|----------|
Cie xautinel ki tant fait al oer.	---⌫|-|----|-|---|---||-⌫---|
Iou l oï sireRainouar tapeler	--||--|---|--------⌫|-----|
Aincdesa for ce	---|-|-|---⌫-|
noïnulhom par ler.	|--|--|--|---⌫---|
Nelose ate indreS arrasinne Escler	-||--|---⌫----|-⌫------|-|-----|
Turcne Persantdunelan cea biter.	---|-|------|---|---⌫-|-⌫-----|
Et d ist Guil lam es Ihes nslepuis tsauer	-|-⌫--|----⌫---⌫-|----⌫-|-|----⌫|----|
Biausnie ́sBertrans	----|---⌫-|-------|
nest o rlieusdeparl er	---|-⌫|----|-|----⌫-|
Ioun euospuis basier ne	--|-⌫|--|---|-----|-|
Carnauonsmieloisirde re pose r.	--||----|--|-----|-|--⌫----⌫-|
uesdepaienstous	--|-|-----|---|
Alisch ansp eupl er	------⌫--|-⌫----⌫-|
Eteesua leesetcestert resras er	-|--|--⌫---|-|--|----⌫--|---⌫-|
outfaitassambler .	--|---|---------⌫|
Sediexnen pense ian ipo rronsdurer.	-|---||-|----|-|||--⌫----|-----|
ensamblecapl er.	-------|----⌫--|
Mestierlorestn ontsoig deseiorner	------|--|--||--|---|-|-------|
CarSa rrasinnefin ent dauner.	--|--⌫-----|-|---⌫--||-----|
Desramé sfait.x xx. graillessone r	--------⌫|---|--⌫--|-------|----⌫|
.xxx .busin eset	----⌫|-----⌫-|-|
.xxx.cors corner	----|---|-----|
Et bien.m. tromp e s .m.tabo r s	-|---|--|-----⌫-⌫|--|----⌫-⌫|
Toutfont lArchant et Alischans	---|---||------|-|--------|
t r embler	-⌫-⌫-----|
Enlamarin ebargeset n e scroller	-|-|-----⌫|-----|-|-⌫-⌫|------|
Puiskedeterreuautdiex A danformc r	---|-|-|----|---|---|-⌫--|-----⌫|
Neuitoncanptantf esista	-|--|-|---|---|-⌫----||
Se c iex n en	-|-⌫--||-|
pe nsekiselaissap ene r	--⌫--|-|-|-----|-⌫---⌫|
Ensaintecrois	-|-----|----|
p orson pule sauu er	-⌫-|--|---|----⌫-|
Mar uirent	--|-----|
Francainc cel ior	----|---|--|--|
Mienensiëntren enpeus t	---|---------||-|----⌫|
unstor n er	--|---⌫-⌫-|
Q ueparlamort nelconuenistp asser	-⌫-|--|-|---|--|--------|-⌫----|
Se diexue f ust	-|---|-|-⌫--|
e tRaino uarsli ber.	-⌫|-----⌫---|-|---|
Grantful a noi se delap aienegent.	----|-|-⌫|---⌫-|-|-|-⌫----|----|
Gui llamesifie rthardiëm ent	---⌫-----||---⌫-|--------⌫--|
EtAimeris ets i	-|------|-|-⌫|
filensement .	--|--------⌫|
P aiens requ ie rentet menuetsouent	-⌫----|----⌫--⌫---|-|---|-|-----|
Les bransdacie rleurtienent	--|----||----⌫|---|------|
Dausdetrencier furent taint etsangle n t	|--|---------|-----|----|-|------⌫-⌫|
Mais Sarrasinuienentespessement	---|-------|------|----------|
Contre undesnoseni ades	-----|-|--|--|-|||--|
Ne ainsne ui tnushom	-|---|-|--⌫|--|--|
ensig rant g ent .	---|-⌫---|-⌫---⌫|
Esu o usu nroi	-|-⌫-⌫-|-⌫|--|
Margot de Bo cident	-----|-|--⌫-----|
Notsifelondes c iken	|-|-|----|--|-⌫||-|
DestorsdArcaise te noitle	--|---||------|--⌫---|-|
abisme oudesoi u rent liuent.	-----|-|-----⌫-⌫---|-|----|
Illu e c distonkeLucif e r	----⌫-⌫|---|-|-|-----⌫-⌫|
Outrecelre gnenanusabitement	----|--|--⌫--|||--|--------|
ForsSaietaires e tNoituns	---|---------|-⌫|------|
i otunseul grain de	|-|-|---|----|-|
Despice sui uentetd	|------⌫|--⌫---|-||
odourde pieum en t .	----|-|-----⌫--⌫-⌫|
Pardechaestligransa rb res	--|-|--|--|-|----|-⌫--⌫--|
.i i.fois en lanpor raio nisement.	--⌫-|---|-||-|--|----⌫--------|
Margosuen oit m olt	-----|---⌫--|-⌫--|
aïreement	---------|
Not pas destri erains	|-|--|------⌫-|---|
eeuauce iument	------|-----|
Ne le dounast	-|-|------|
l iuresdargent	-⌫----||-----|
Et l unse tl au tr e e stnoi rscom	-||--|-⌫||--⌫--⌫|-⌫-|---⌫-|--|
arreme nt.	------⌫--|
Plustostceui t l ewekeq uarraus	---|---|----⌫||--|-|-⌫------|
cou ertedunpa iledOrient	---⌫---||-|--⌫--||-----|
Blanec omme	----|-⌫---|
noiftr en c hiémen uëment.	---|--⌫--⌫-⌫---|---⌫-------|
Pa r mileblancpert li	--⌫|-|-|----|---|-|
noirs gentement	----|--------|
Tousse sesclos en ralumee tespren t .	---|--⌫|-----|-|-----|-⌫|------⌫-⌫|
Un flai el po rtela	-|----⌫-|--⌫--|-|
ma ceestdorpiment	--⌫-|--||-|-----|
Ettout l i	-|---|-⌫|
estoitenseme nt	-----|------⌫-|
Et lacha ïne	-|-|---⌫---|
batierepent.	------|----|
Plainpoigert grosseetleedu reme nt.	----|---|--|-----|-|--|--⌫----⌫--|
ar mésnedoutearm e uoien t	--⌫---|-|----|---⌫|-----⌫|
Care nuo ls e st dune	--|-⌫---⌫-|-⌫-||--|
pel deserp ent	--|-|----⌫--|
Kinec rient	||-|-⌫----|
arme d acierneferr em ent.	---||----|-|----⌫--⌫---|
Rai n ouartkie rtmais ncl	---⌫-⌫----|---⌫-|---|--|
trueuenoient	-----|-----|
Formentlenpoise s enalecuerdol ent.	------||-|----||-||-|---|---⌫---|
E ntre Fra ncois	-⌫---|---⌫----|
ireeme n t	------⌫-⌫|
D es gen sGui lla umefaitgra utlapidement	-⌫-|---⌫|---⌫---⌫--|---|---⌫-|---------|
Tan t euo cist com luiuie nt	---⌫|-|-⌫---|--|--|---⌫-|
ata le n t.	|--⌫--⌫-⌫-|
D iexdistGuillaum espa ter omnip otent	-⌫--|---|--------⌫-|--⌫--|-----⌫----|
Comcisdiables	--|--|------|
nous ma inemal ement	---|--⌫--|---⌫----|
uit longesden os ertfine ment.	--|-----|-|-⌫-|--|----⌫----|
Lede strier b roeeseli uient esra ument	-|--⌫-----|-⌫---|-|-|----|----⌫----|
Delbrancd ac ierleferi duremen t	--|----||--⌫--|-|---|-------⌫|
so nelmemai s neli u aut	--⌫|---|---⌫|-|-|-⌫--|
pl usketrespas deu ent.	--⌫-|-|------|-|-⌫---|
Margostamors estenpres ent	-----|-|---|--|-|----⌫--|
Iadetondieunaras desfend ement.	-|-|--|---||---|-------⌫-----|
Lefiaiellieueencontre montl estent	-|-----|----|-------|---||-----|
Liq uenslefuitdeterre plain	-|-⌫---|-|---|-|----|----|
N est pas me ruell esil	|--|--|--⌫-----⌫||-|
a c op ne l	|-⌫-|-||
Carli fiaiauspoisemoltdurement	--|-|------|----|---|-------|
A lamesure	|-|-----|
bien d unmuide forment.	---||-|--|-|-------|
Ma r gos lelieuekinotpas	--⌫-⌫--|-|----|-|--|--|
lec uerlent	-|-⌫--|---|
Di reetdedueltout alu me etesprent.	|-⌫-|-|-|---|---|---⌫-|-|-------|
Guil laumealast	----⌫----|----|
ie quitmoltmal emen t	-|---|---|---⌫----⌫|
Q uan t Rainou a r si uintireement.	-⌫---⌫|------⌫-⌫-⌫||---|--------|
Le con teuoitmoltotle euerdol ent	-|---⌫-|---|---|-|-|---|---⌫--|
Keciexdiablesd emenoit siu ieumen t.	-|---|------|-⌫------|-|-⌫------⌫-|
n eprent uengeme nt.	-⌫|----|-------⌫--|
eserieFeltraïtr e pullent	-----|--|-------⌫|------|
Mar le chacastespar lec orssain tuincent	--|-|--------|--|-|-⌫--|----⌫|------|
Letiuellieueparmolt grant maltalen t	-|----|----|--|---|----|--------⌫|
Delen tes ero t tout	-||--⌫---⌫-|-⌫|---|
lecorssullent.	-|---|-------|
Margotferi isitresdurement	-----|---|--|---|-------|
Lelmeli f r oissekert d e	|---|-|-⌫-⌫----||--|-⌫|
quird olifant	---||------|
Kelacerue le trestouteliespant.	-|-|-----⌫-|--------|-|------|
Licosf uroid espargr antue rtud escent	-|--|-⌫|----⌫-|--|--⌫--|--⌫--|-⌫-----|
Toutcrauentaetlu iet	---|-------|-|--⌫|-|
Di stRa i uouars	--⌫-|--⌫-⌫-----|
toncouena nt.	--|------⌫--|
Moltfai t kefouski contre moi	---|---⌫|-|---|-|-----|--|
--uoir dist Guill ames	-|---|---|-----⌫---|
sifetcopsontmoltgent.	-|--|--|---|---|----|
Rai nouars sire.c.m e r ch isuos en	---⌫-----|---|--|-⌫-⌫-⌫--⌫-|--|-|
meust parl emienensiënt	|---|--|-⌫|---|-------|
Ma is diexetuosmenafaitue ngement.	--⌫-|---|-|--|--||---|--⌫-------|
DistRain oua rsuenés se ürement	---|----⌫---⌫-|-----|--⌫-------|
Mort sonpaien	---|--|----|
etliuréatormen t.	-|-----||------⌫-|
Nespar gner ai nefrereneparent.	|-----⌫----⌫-|-|----|-|------|
Mes cousinsertM argosdeBocident.	--|------|--|-⌫----|-|--------|
L orssa baissaa ufiaiel	-⌫--||-⌫-----|-⌫|-----|
Neli conteke ietél	-|-|------|----||
a un arpent	|-|-----|
.ii. Tursamo r s a	---|---||--⌫-⌫||
untre spassemen t	-|---⌫---------⌫|
Car liflaians pesoi t	--|-|------|-----⌫|
moltdure ment.	---|----⌫----|
Paien le uoi ent	----|-|---⌫--|
sis e scrië ntforment	-||-⌫------⌫-|------|
M ahometsir eseeorésuostre gent	-⌫-----|---⌫|-------|-----|---|
QuantSarr asinuoi entmorir	----|----⌫---|---⌫--|----|
Plusde.x.mileui enent	---|-|--|---|--⌫----|
plusk el etrot.	---|-⌫|-⌫|----|
C a scunsportoito u lanc eougauer l ot	-⌫-⌫----|------|-⌫|----⌫|-|-----⌫-⌫-|
Haeedaeier ougrantmac eportoit .	---||----|-|----|---⌫|-------⌫|
Ento rGuillame	----⌫|-------|
ueïs siés gran tcomplot	-----⌫----|----⌫|------|
Ma isRain ouars	--⌫-|----⌫----|
au tinell es desclo t.	-|----|-⌫-|------⌫-|
M oltaoeisd e Tursd e	-⌫--||---|-⌫|---|-⌫|
B oute ntro t	-⌫----⌫----⌫|
Neldoi uent maisFrancois tenirpo rsot	--|---⌫---|---|-------|----|--⌫|--|
me sti er leuro t	--⌫---⌫-|---|-⌫|
a so nmaillot.	|--⌫|-------|
ai daaumie x kilon qespot	--⌫-|-|---⌫||-|--⌫--|--|
Maruirent onqesSarrasinson	--|-----|----|-------|--|
Plu sde.x. mile cel i oren	---⌫|-|--|---|--|-⌫-|-|
ietamor t.	---|---⌫-|
M a lr e samblehomekionqest orchas tpot.	-⌫-⌫|-⌫-⌫-----|---|-|----|-⌫------⌫|---|
Grantful estor slongue mentaduré.	----|-||-----⌫|------⌫---||-----|
Molt ontpaien nosFrancoi s	---|--|----|--|-------⌫|
Tantenontmortne p ot estr eno mbré .	---|-|--|---|-|-⌫-|----⌫|--⌫-----⌫|
Contre undesnossont bien.x xx. maufé	-----|-|--|--|---|---|--⌫--|-----|
Ia fussenttoutFra ncoisdesbareté	-|------|---|---⌫----|---------|
Q uantRai nouarsuint letinelleué.	-⌫---|---⌫-----|---|-|----|-----|
Enlag rant presseam aintgrantcopdone ́	-|-|-⌫---|-----||-⌫---|----|--|----⌫|
Quiilc onsieut	--|-|-⌫------|
molt lat ostafiné.	---|||-⌫--|------|
A .ii iic osena.xx.	|---⌫-|-⌫-|-||---|
Eta .x.au tre s .xl.escer uelé.	-||--|--⌫---⌫|---|-----⌫-----|
abatcomlifausf ai tle pre.	---|--|-|---|-⌫--⌫|-|---|
Plus dunarpentapa iensreculé	---||-|-----||--⌫---|------|
Ainsn io t cel	---|||-⌫|--|
guenchiou torné.	------|-|------|
Rai nouar s ot f orment lecors gre ué	---⌫-----⌫|-|-⌫-----|-|---|---⌫--|
ferir tr a uelliéetlass é.	----|--⌫-⌫------|-|----⌫--|
Nestpasmerueill e	|--|--|--------⌫|
sil o tlecors	|-|-⌫|-|---|
Pl us de.uii.c. p aiensauoittu ë.	--⌫-|-|------|-⌫----|----|--⌫--|
D elapresseist com	-⌫|-|-----|--|--|
g rantfierté	-⌫---|------|
Sontin elaa la terre bouté	--|---⌫-|||-|----|-----|
D eseur s ap oie s i asoncief	-⌫----||--⌫--|-⌫||--|---|
Tant keso nco rs	---|-|--⌫|--⌫-|
aitunpoi ral ené.	--|-|--|---⌫----|
Unpeti te t	-|----⌫--⌫|
adeseurrep osé.	|-----|---⌫----|
Pai e nleuo ie u tgrant ioieen ont mené	---⌫-⌫|-|--⌫--⌫-⌫|----|---|-|--|----|
Nequi dentmais ke ilaitpo ësté.	-|---⌫---|---|-|-|--|--⌫------|
Il s er aliënt	-|-⌫|-⌫------|
sil ontauironné.	-||--|---------|
Plus de. x. mil e	---|-|-⌫-|---⌫|
quit outfurent armé	--|-⌫--|-----|----|
De l oiglil a ncentsilont	-|-⌫--|-|-⌫-⌫----|-||--|
poin tetherse ́.	----⌫|-|-----⌫-|
En.xxx.lieuse ustleeorsn au re ́	-|----|----|-⌫--|-|---|-⌫--⌫--⌫|
Nefustlaubere k il auoit en dossé	-|---||-----||-|----|--⌫-----|
Et l icapiaus k	-|-⌫|------||
dGotoucie ffermé.	-|-|-|---⌫|------|
demortgarandi	-|---|------|
e ttens é.	-⌫|----⌫--|
Bie nsoitdelame	---⌫|---|-||--|
ki silotadoubé	-|-||-|------|
Mais desma uua isi	---|--|--⌫---⌫-||
ot.e.mortg eté.	-|--|---|-⌫----|
Atan tesuos un	|---⌫|-|--|-|
paien Aenré	----|-----|
Not si fel on	|-|-|---⌫-|
desci k e nDur esté	--|-||-⌫|---⌫----|
Ainc nefuhom desigrant	---|-|-|--|-|-|----|
crua uté.	----⌫----|
MaintFrancoisamangié et estrangle ́.	----|-------||------|-|---------⌫-|
Unma ildaci erportegrant enhauté	-|--⌫-||---⌫-|----|----|-------|
Den ostre gent aformentla pidé	-|-⌫----|---||------|--⌫----|
ena aumai ltu e ̈.	-||-|---⌫|--⌫-⌫-|
DistRainouarsOrai	---|--------|-|-|
tr openduré.	--⌫-|-------|
Seplusi sofre	-|---||----|
dont ai eiedahé	---|--⌫|-|----|
ui entle tinelleue ́	--⌫--|-|----|----⌫|
Tantacoruquilataintle maufé.	---||---|-|-|-----|-|------|
Sachiésd euoir ne lapassal u-é	-------|-⌫|---|-|-|--|---⌫---|
Par deder ierelia	--|-|---⌫---|-||
gr autcopdoné	--⌫--|--|----|
Elhatere ll a moltbienassené	-|------⌫|||---|---|------|
Asontine ll atotescerue l é	|--|----⌫|||--|-------⌫-⌫-|
Deua ntses piéslamo r tacrauent é.	----⌫-|--|----|||--⌫-⌫|--------⌫--|
DistRainou ars Or	---|------⌫--|-|
auantAenré	----|-----|
Tu meueïs ia depetitaé	-|-|----|-|-|----|--|
En tel ma niereuo usaieira uisé.	-|--|--⌫----|--⌫-|-|-|--⌫-----|
Marmeueïstes	--|-|-------|
onqu es deme r e ne. --	----⌫-|-|--⌫-⌫|--|-|
Monioieese rie	------|---⌫--|
Gu illaume ia iiosté.	--⌫------||-⌫|------|
Alons asa utres cestuiai afiné.	----|-|-⌫----|-----|-|------|
Micosins iertet	-|-----|---|-|
dem on parenté.	-|-⌫-|--------|
En corai giéun frereTenebré	--⌫--|-|---|-|----|-------|
EsclariaxIamb uet	--------|----⌫|-|
Persagu é	-------⌫-|
Et .uii. auecqueienaipasn om é.	-|----|---|--|-||-|--|-⌫--⌫--|
Mais parlafo i	---|--|-|--⌫|
quei a iGui boureport é	--||-⌫|---⌫----|----⌫-|
Seiesataing d eeeltin elq uarré	-|--|-----|-⌫|--|---⌫-|-⌫-----|
Ian i auragardé fraternit e ́	-|||---|-----|---------⌫-⌫|
Ne amisté neparageconté.	-|------|-|-----|------|
Auois s escr i eIesu i	|---||----⌫-⌫|-|--⌫|
filsDesramé	---|-------|
Bien uoil qu ou loie	---|---|-|-||--|
neuoilquesoitcelé.	-|---|--|---|-----|
nee roitIhesu	-|-⌫---|----|
demaiesté	-|-------|
Iel ocir raidecest tinel qu arré.	-||----⌫--|-|---|----|--⌫-----|
-Dex d istGui llaumespar tasainte bonté	---|-⌫--|---⌫------|--|-|-----|-----|
Garissiésle et lui et son	---------|-|-|--|-|--|
Liquex quefaille	-|---|--|-----|
amortsomestor n é .	|---|----|---⌫-⌫--⌫|
Paiens escrie ̈ nt	----||------⌫-⌫-|
ueé s la lemaufé.	----⌫|-|-|------|
Quilate ndraial aura	--||---⌫---|-||---|
Desramésiretr op aués	-------|---|--⌫-|----|
Telperteas f aite	--|----|-|-⌫---|
iertrecouré	---|-------|
Qu e morti sont.x u.roic oron é	--⌫|---||---|--⌫-|--|-⌫----⌫-|
E t .xxx.m.queP er s antque Es clé.	-⌫|------|--|-⌫--⌫-⌫--|--|--⌫----|
Maracoin tasmesGuillaum eetso nba rné	--|-----⌫-----|--------⌫|-|--⌫|--⌫---|
Etledia blequ il nos a	-|-|---⌫--|-|-|--||
Quia lecors	--||-|---|
issienfa utosme ́	---|----⌫------⌫|
Nec rien tco p d arm eun d e nier	-|-⌫----⌫|--⌫||---⌫|-|-⌫-⌫---|
Parluiser ons	--|--|---⌫--|
mortet desbareté	---|-|---------|
Quilagarramolt	--|-|----|---|
au rabien erré.	--⌫-|---|-----|
P orRainouarts ont siespoonté	-⌫-|--------|-⌫--|-|--------|
Porpoinesouttuitenfuie torné.	--|--|-|---|---|-|---|------|
Rainouarses t de	--------|--⌫|-|
l agrantpres se	-⌫|----|----⌫-|
Moltlonguement s	---|---------||
ie sto it combatus	|-⌫---⌫-|-------|
Asont in el	|--|-⌫--⌫-|
ena. m.e stend us.	-||-⌫-|-⌫-----⌫--|
E umilecamp s estli	-⌫|-|-|---||--|-|
bersares tus	---|----⌫--|
Unpetitets apuiasorsonfust .	-|------||----|--|--|----⌫|
Paienquidie rentqueil fust recreu ̈ s	----|------⌫---|--|-|---|------⌫-⌫|
Sorelicorent siest leuésli h us	---|-|-----|-|--|-----|-|-⌫-|
Plusde.x. m.des cuue rs mesc r e us	---|-|---⌫-|--|----⌫-|----⌫-⌫-⌫-|
Lancentlilancesetiauelos	------|-|-----|-|------|
Dexl egarietla so euert u s	--|-⌫|---|-|-|--⌫|----⌫-⌫|
E t lihaub e rsdontil	-⌫|-|----⌫-⌫-|---|-|
estoituestus.	-----|------|
Dist RainouarsIesuitrop atendus.	---|--------|-|--|---|-------|
Pa rsaintDenisni	--⌫|----|----|||
seraihuim aismus	----|--|-⌫--|--|
Sie rtla batailleet lies torsuaincus.	|--⌫-|-|-------|-|-|--⌫---|-------|
lieue s o rel orest corus	----|-⌫-⌫-|-⌫-|--|----|
.l.en amors	--|-||---|
Cuiilataint morscstetconfondus.	--|-|-----|---|--|-|---------|
Paienreclaiment Mahomet	----|---------|------|
Acesparo l es	|--|----⌫-⌫-|
est Desramésuenus	--|--------|----|
Ensa compaigne .x.	-|-|--------|--|
roiset.iiii.dus.	---|-|-----|---|
Tanti auoit	---||----|
despaiens mesereus	--|-----|-------|
Sosciel nahomequiprisas t le s	--|---|||---|--|------⌫|--⌫|
Laueïssiéstautbons destriersc renus	-|---------|---|---|--------|-⌫----|
Tan tblanc ha uberttant	---⌫|----|--⌫----|---|
uerselmes agus	---|----|---|
Tantes ensaig nes	-----|------⌫--|
Dexpentdesnos	--|---|--|--|
q uiel ciel faituertus	-⌫-|-|---|---|-----|
PaienseslaissentFrans les	----||---------|----|--|
ont r eceus	--|-⌫----|
Alencontrerlesont	||--------|--|--|
mol t bienferus	---⌫|---|----|
Es eorslo rbaignent et lesfers	-|---|--⌫|-------|-|--|---|
et les fus	-|--|--|
A présont traitles	-⌫----|--|----|--|
brans d aeier molus	----||----|----|
Cop entces	---⌫--|--|
hiaumesetfendentc e sescus	------|-|------|-⌫-⌫|----|
descor sfumolt	--|---⌫|-|---|
grant lipal us.	----|-|---⌫--|
Desrame ́suien t poign antt osi ras eu s	-------⌫-|----⌫|-----⌫--|-⌫-|-⌫---⌫--⌫|
Sor l abrehaignequifaitle ssa usmenus	--|-⌫|--------|--|---|--⌫|--⌫-|----|
Bra nd istle spiéq ui	---⌫--⌫--||-⌫----|-⌫-|
de uan tfuagus	--⌫---⌫|-|---|
Etfier t Gaudinqu iaGuillau m eiertdru s.	-|----⌫|-----|--⌫||-------⌫-⌫|---|---⌫-|
Parm ilecorsli est	--|-⌫|-|---|-|--|
lespie ́corus	|-----⌫|----|
N estmiemo rt	|--|--|--⌫-|
mais a terre esteheus .	---||----|--|-----⌫|
DiëntFran coi s	-----|----⌫---⌫|
Gaudinstantm ari fus	------|---|-⌫-||--|
Desrame ́sfuforsetgransetcorsu s	-------⌫-|-|---|-|----|-|-----⌫|
L o nsotlescrinsnoirsestettosche nus	-⌫-⌫-|-|--|----|----|--|-|--|---⌫--|
Espaignen otpaienssi	-------||-|-----|-|
Gau d inlaissa ne saiqu e n	---⌫-⌫-|-----|-|--|-|-⌫|
f ei ̈stp lus .	-⌫--⌫--|-⌫---⌫|
Isnelemen tfu s a chiés libransnu s	---------⌫|-|-⌫-⌫-----|-|----|--⌫|
Ia m osderra lirois sesgr ansuer tus.	-|-⌫------|-|---|--|--⌫--|---⌫---|
A.u.des nosaluéslesch iéstolus.	|--|--|--||----|--|--⌫---|-----|
Au oissescrieGuillaumesestrep us	|-⌫--||-----|---------|--|---⌫-|
Cil au cortnesli cuuersma lostr us	--|-|---|--|-|-----|--⌫-----⌫-|
meshomes o cis	--|----|-⌫--|
etconfond us	-|-------⌫-|
Etenbataille mes	-|-|-------|--|
roismorsetuain cus	---|---|-|----⌫--|
Et m onneueu asesregnestolus.	-|-⌫-|----||--|-----|-----|
Huiestliiorsque	--|--|-|---|--|
l en rendra i	|-|------⌫|
Nigar irane	||---⌫--|-|
iuenesnechenus	-----|-|-----|
Ia deseshomes	-|-|--|----|
neu esehape ranus	|-|-------⌫-|--|
