o tzzempereeur	-⌫|-|--------|
iotescritqui me	|-|-----|--|-|
ferraie treraiia	----|-|-----|-|
lorsdista s es	---|---||-⌫-|
co mpaignons ferraileie	--⌫--------|-----|-|-|
oilsei l uous plest	--|-|-⌫|---|----|
c ilmei ntenant leferi	-⌫-|---⌫------|-|---|
feuettanto st	--|-|-----⌫-|
estaintsirefistl	------|---|---||
ne f istilpe chiecertes	-|-⌫--|-|--⌫---|-----|
dame oil uoirefetele	---|--|----|--|--|
carces p ouresfames y	--|--|-⌫----|----||
p renoientfeudetoute	-⌫-------|--|-|----|
uoirsests iree ncore	----|--|-⌫--|-⌫----|
fis t ilpluscara	---⌫|-|---|--||
deromefist	-|---|---|
il zz hom etresg et éde	-|-|---⌫|-----⌫--⌫-|-|
tenoitunepelote	-----|--|-----|
m a i n eta	-⌫-⌫-⌫|-||
aut respo rtes	---⌫--|--⌫---|
enfistil zzaut retel	-|---|-|-|---⌫----|
s iietoit l iun sal	-⌫|-----|-⌫|--⌫|||
lapeloteausamedi a	-|-----|-|-----||
soir ce fist i l	---|-|---|-⌫|
encorefis til	-----|---⌫|-|
p lus c aril fistp ar	-⌫--|-⌫-|-|---|-⌫-|
nigr o man ce seur z z g rant	----⌫-⌫---⌫-|---|-⌫|-⌫---|
marbre zz mireoir pa rcoi	-----|-|------|--⌫|--|
cildecesteuile	--|-|----|---|
ceulsquiuol oient uenir	----|--|---⌫----|----|
a romepourmalfere	|---|---|--|---|
e ttantost	-⌫|------|
conmeilueoient que	----|-|------|--|
aucuneterr eseuoloi t	-----|----⌫|-|-----⌫|
reuelercontre	------|-----|
mandoient les	--------|--|
quem une sdesuilesenui ro n	----⌫---⌫|--|----|----⌫--⌫|
sarmoi ent puis	|-----⌫--|---|
terre si l a	----|-|-⌫|
de s truio ient	--⌫-⌫-----⌫---|
t a ntque li	-⌫-⌫----|-|
roisdepuille	---|-|-----|
e nfuir iezet quil	-⌫|-|--⌫--|-|-|-|
touzles s ageshonme s de	---|--|-⌫---|-----⌫|-|
qu ilferoitderome	-|-|-----|-|---|
qui ainsin tme toittoute	--|------⌫|--⌫---|----|
amaletquiestoit	|--|-|--|-----|
leursoug iez et	---|----⌫--|-|
treua rome	---||---|
yyba chelersqui	-|--⌫------|--|
f re res estoientliuns d	-⌫--⌫--|-------|-|--||
seleuaetparl aau	-|---|-|----⌫|-|
roi et lidistpar	--|-|-|---|--|
foi sirese	--|---|-|
uousuoliez don erdu	---|-----|---⌫-|-|
uostr ea no usnous	-----⌫||--⌫-|---|
l emireoir derome par	-⌫|------|-|---|--|
foidist li rois	--|---|-|---|
donraiqua nqueuous	-----|---⌫---|---|
deman de roizpour	-----⌫--⌫---|---|
le puis se	-|----⌫-|
uousuol e z	---|---⌫-⌫|
u ile s s e uou s	-⌫---⌫|-⌫|---⌫|
se uous uolezterres il	-|---|----|-----|-|
respondirentnous nous	-----------|---|---|
m etr onsenuostre	-⌫---⌫--|-|-----|
granzme rcizfetli	----|--⌫---|--|-|
liainz nezdistsi reor	-|----⌫--|---|--⌫-|-|
nous fetes	---|----|
emplirdeus	-----|---|
co sterezd or uolentiers	--⌫-----||-|---------|
dit liroi s empli	--|-|---⌫|----|
fis t metreen	---⌫|----|-|
unec harrete fortadeu s	--|-⌫------|---||---⌫|
c heuauspui s	-⌫-----|---⌫|
acue illirentleuruoie	----⌫-------|---|---|
iusquesa rome	------||---|
estoit crassuse mpereeurde	-----|------|-⌫-------|-|
rome qui moultestoit	---|--|----|-----|
couuoiteus il uindrentsi	---------|-|-------|-|
tarta romequil	---||---|-|-|
prirent g arde	------|-⌫---|
enissoi taunedes	-|-----⌫||--|--|
e nfoirent zz de	-⌫-------|-|-|
costerezeta	-------|-||
lautre et puis	|----|-|---|
he ber gierentenl auile	--⌫---⌫------|-|-⌫|---|
fi rentgranzd espens	--⌫---|----|-⌫-----|
aum a tinquantli	-|-⌫-⌫--|----|-|
empe rie resfuleu ezil	----⌫---⌫--|-|---⌫-|-|
uin dr entel	---⌫--⌫--|-|
palese tlesa luere nt	----|-⌫|-|--⌫-----⌫-|
etlidi strent si re nous	-|-|--⌫-----|--⌫-|---|
deuinee ur et trouueeurde	-------⌫-|-|--------|-|
somes uenuz a	----|----||
car nous sa uons bienq ue	--|---|--⌫---|---|-⌫-|
enuostret erreen	-|-----|-⌫---|-|
bie nsoiezuous u enuz	---⌫|----|---|-⌫---|
distliemperieres	---|-|---------|
remeindroizauecmoi sire	----------|---|--|---|
uol en tiersmesnous	---⌫--⌫----|--|---|
auoirla moitiede ce	----|-|-----|-|-|
qu en ou strou ueronset	--⌫|-⌫--⌫|----⌫-----|-|
uous lautre	---||----|
p ar foi dist li	-⌫-|--|---|-|
emper i eresie	-----⌫-⌫---|-|
ipuisie ri ensauoir	|---|-|--⌫--|----|
se paruousnonsire	-|--|---|--|---|
ainzneziesonger ai a n uit	------|-|------⌫-|-⌫-⌫--|
e t demai nuous	-⌫|-----⌫|---|
dirai qu e	----|--⌫|
s ongiéiel otr oi dit	-⌫-----|-||---⌫-|--|
liemper iere si lsen	-|-----⌫----⌫|-⌫||-|
aleurostel et furent	|---|----|-|-----|
mo ultaaisec elenuit	--⌫--||---|-⌫--|---|
etquantc e	-|----|-⌫|
al andemain iluindren t	||-------|-|-------⌫|
emper eeurs ili	-----⌫---|-⌫|-|
ainzn ez sir e ieai	-----⌫-|---⌫|-|-|
songié ordit es coi	------|-|---⌫-|--|
emperieressire	---------|---|
songie ́zzpetit	------⌫|-|----|
de uerspuillealonsy	--⌫---|-----|----||
distli emperie res	---|-|-------⌫--|
u olentiers liemperieresy	-⌫--------|-|---------||
uin t agrantcompai gnie	---⌫||----|------⌫---|
gentau eclu i i lame na	---|--⌫-|--⌫|-⌫|---⌫-|
mineeurssiconmenci erenta	-------|-|--------⌫----||
laou li deuinie rres	-|-|-|-------⌫---|
distquant ilo re nt	---|----|-|-⌫--⌫-|
mine ́ s itrouuer ent zz	----⌫|-⌫|-------⌫--|-|
d es costere zquily	-⌫-|-------⌫|-|-||
m isli emperieresle	-⌫-|-|---------|-|
hor setpuis	---⌫|-|---|
siqueli em perier esen	-|--|-|--⌫------⌫-|-|
o tlamoitieetles	-⌫|-|-----|-|--|
l aut reliemperieresf u	|---⌫-|-|---------|-⌫|
m oul tliezetmoultl e	-⌫---⌫|---|-|----|-⌫|
couuo it a lia utres dist	-----⌫--⌫|-|-⌫----|---|
songer oit ausi	------⌫--|---|
les ienc osteret	-|-⌫--|-⌫------|
emperier e sseloa	--------⌫-⌫|-|--|
de uls parf oiseigneur	|-⌫--|--|-⌫-|-------|
d is tilor	-⌫--⌫|-|-|
bienque uousestes	---|--|---|----|
ilrespondirentce r t es	-|-----------|--⌫-⌫-⌫-|
en auo n sz zs ongiésouz	-|---⌫-⌫|-⌫|-⌫-----|---|
ce lmireo irsi grant	--⌫|-----⌫-|-|----|
que ap ainne s	--||-⌫-----⌫|
p orroien ttrer e touz les	-⌫-------⌫|----⌫|---|--|
q uiso n t	-⌫-|--⌫-⌫|
courtcertesditli	----|-----|--|-|
emp eriere s	---⌫------⌫|
cen euoudroieiea	-|-⌫|-------|-||
nulfuer que ie	--|---|--|-|
mi reoirf eisse	--⌫----|-⌫----|
abatrecarnousyu eons	-----|--|---||-⌫---|
touzceulsquimal	---|----|--|--|
ferea cesteu ilecil	---||----|-⌫--|--|
liresponden tsirede	-|---------⌫|---|-|
naiezgar de	|---|---⌫-|
chi eecarnousle	---⌫-|--|---|-|
depard i eu	-|--|-⌫-⌫-|
distl iemperieresdonques	---|-⌫|---------|------|
lema tinsir e uol entiers	-|--⌫--|---⌫|---⌫------|
ilprirentcon gie ets	-|------|---⌫--|-||
a le rentale urostex	-⌫--⌫---||--⌫-|----|
qua nt uin taumat in il	---⌫-|---⌫|-|---⌫-|-|
uindrentau	-------|-|
mi reoiretcomencierenta	--⌫----|-|-----------||
piquertantquelep ie	-----|------|-|-⌫-|
mire o irfutouz desf oiz	----⌫-⌫-|-|---|----⌫--|
quilnetin t	-|-|-|---⌫|
se ulement	--⌫------|
a zz petit quant	|-|----|----|
uintalan uitils	---||-|-⌫--|-||
en partirent	-|--------|
etliouurierautr esi	-|-|------|----⌫--|
fu mienui til	-|------⌫|-|
apo rterent	---⌫------|
le feuetle	-|--|-|-|
elfondemen tpuisl	-|--------⌫|---||
e s touper ent	-⌫-⌫------⌫--|
enuiron ilardidedenz	------|-|---|-----|
e tquant il ui re ntque	-⌫|----|-|--⌫--⌫-|--|
lefe u fubien espris	-|--⌫|-|---|-----|
si semirent a la	-|-|-----||-|
uoie ilno r e nt	---|-||-⌫-⌫-⌫-|
mie g ran tm entalé quant	--|-⌫---⌫--⌫--|---|----|
lemir eoirc haiet que	-|---⌫---|-⌫--|-|--|
pilersdemarbr e p ecoierent	-----|-|-----⌫|-⌫--------|
parmi il leuirentbien	----|-|-|-----|---|
cheo irsisenalerent	----⌫-|-||-|------|
grantioiefesant	----|---|-----|
aumatinquantliha ut	-|----|----|-|--⌫-|
baronderomeet d	----|-|---|-||
ileque s pres	------⌫|---|
sasam b lerentaumireoir	|----⌫-⌫-----|-|------|
re gardere nt et	--⌫-------⌫-|-|
qu ilestoitch eu zpar	-|-|-----|--⌫--⌫|--|
la couuoi tiselempereeur	-|------⌫---||--------|
emper i eresu intet f u	-----⌫-⌫---|-⌫--|-|-⌫|
moultcourr ouciezde ces te	----|-----⌫-----|-|---⌫-|
mesau entureilfistquerre	-----⌫-----|-|---|-----|
les deuineeursmes	--|---------|--|
n eporentestre	-⌫|-----|----|
s entia dec euz	-⌫---||---⌫--|
si ot m o ult	-|-|-⌫-⌫--|
g rantpo our li	-⌫---|--⌫--|-|
de laterr e li	-|-|----⌫|-|
demanderen tpour	----------⌫|---|
coiil au oitcefet	--|-|--⌫--|-|--|
respo ndre for sque	-----⌫---|---⌫---|
p ourlacouuoitis edel	-⌫--|-|---------⌫|-||
or meinte nant	-|------⌫---|
le prirent	-|------|
mirentzzhuissusle	-----|-|---|--|-|
uentr e pou rlagr antire	-----⌫|---⌫|-|--⌫--|--|
ouilestoient	-|-|-------|
delagra ntpertequ e	-|-|---⌫-|----|--⌫|
il auoientfaitepui s	-|------|----|---⌫|
orfondus ili	-|----|-⌫|-|
coulerentparlabouche	--------|--|-|-----|
e tpar leseulz	-⌫|--|--|---|
etparl esoreilleset	-|--|-⌫-|-------|-|
d ir entor	-⌫--⌫--|-|
couuoitasor aurase t	--------|-|----|-⌫|
orperdras et	-|------|-|
sire ditl em pe reriza	---|--||--⌫--⌫----||
lempere eur	|------⌫--|
morza granthon teet	---||----|---⌫-|-|
parcouuoit iseuoirsest	--|-------⌫--|----|--|
l iem perieres	-⌫|--⌫-------|
po ezsau oir deuerite	--⌫-|---⌫--|-|-----|
ausimorroizuousauoi	---|------|---|---|
dameditliemperi eres	---|--|-|------⌫---|
est ce que uous	--|-|--|---|
sirei euousdiuoir	---|-⌫|---|-|---|
est ce b ie n	--|-|-⌫--⌫|
samblantqueuousestes	-------|--|---|----|
sicouuoiteus	-|---------|
deoiretd ere tenir	-|--|-|-⌫|--⌫----|
lesparol es	--|-----⌫-|
a ces sages	|--|----|
que uousem	--|---|-|
perdr oizenneuret morroi z	-----⌫--|-----|-|------⌫|
ahonteb ienmorroiza	|----|-⌫--|------||
hontequant	----|----|
uousperdroizla coro nn e	---|-------|-|----⌫--⌫|
a uostreuie pourzz	|-----|--|---|-|
p aut onnier	-⌫---⌫-----|
queuousauez n or rique	--|---|---|-⌫--⌫-|--|
uousapelezfilzdahaz	---|-----|---|----|
aitfilz quiquiertle	--|---|--|-----|-|
desher it ementson pere	------⌫--⌫----|--|---|
da medistli	--⌫-|---|-|
emperieres	---------|
or ne uouscourrouciez	-|-|---|----------|
pas carparla	--|--|--|-|
ieuousdoiilneme	-|---|--|-|-|-|
desherit erapas	--------⌫--|--|
ca ri lmorralem atin	--⌫|-⌫|----|-|-⌫---|
certessireneuous	-----|---|-|---|
poistmieie n e	----|--|-|-⌫|
uous encro ipa s	---|-|---⌫|--⌫|
sachiez que sifera	------|--|-|---|
sire die x uous e ndoint	---|---⌫|---|-⌫|----|
bon talentatant	--|-----|----|
lessierent	---------|
iusquesl endemain quil	------||-------|-|-|
fu aiorn él	-|-----⌫-||
emperierese	--------|-|
lespo rte sfurento uuertes	--|--⌫---⌫|-----|-⌫------|
e tli baronas ambléou	-⌫|-|----|--⌫-----|-|
li emperi eresa pelases	-|------⌫---|-⌫---|--|
serset leur	---|-|---|
monfilzet le	--|---|-|-|
d estru isiez s ir e uolentiers	-⌫-----⌫----|-⌫--⌫|---------|
trestrent de	--------|-|
iaol eetlam ener ent	----⌫|-||--⌫----⌫--|
a montelpales	-⌫---|-|----|
p ar deuantlempereeur si	-⌫-|-----||--------|-|
tos tqu e onques n el i	---⌫|--⌫|-----|-⌫|-⌫|
lessierent	---------|
en clin er s onpereil	--⌫----⌫-|-⌫-|---|-|
aualerentles deg rezet	--------|--|---⌫--|-|
entrer ent	------⌫--|
enl ar u e tuit ci l qui	-|-⌫|-⌫-⌫|---|--⌫|--|
le ui rentenorent	-|--⌫---|-|----|
grantp itie	----|-⌫---|
atantesuou s	----|-|---⌫|
mestreuintq u iauoit	-----|---|-⌫-⌫|----|
ci lquifistleliure	--⌫|--|---|-|----|
pour coilien f a ntuont	---|--|-|--⌫-⌫-⌫-|---|
a escoleet sont	|-----|-|---|
enseigniéses	---------|--|
deciples li	-------|-|
qu ant ilu intdeuant	--⌫--|-|-⌫--|-----|
il ot mou lt gra nt pitie	-|-|---⌫-|---⌫-|----|
enme noient	-|--⌫-----|
ainsintsipas s a outre	------|-|---⌫-⌫|----|
moultb one err e	----|-⌫--|---⌫|
etdescendiaupiedu	-|-------|-|--|-|
degredelasaleassez	----|-|-|---|----|
che ual prist	---⌫--|----|
contremontle sdegrezt antqu	---------|--⌫|-----|-⌫----|
uin t deuant	---⌫|-----|
l empereeur	|--------|
s ilesalua et li	-⌫|-|----|-|-|
emperiere s	---------⌫|
lidisth onteet	-|---|-⌫---|-|
menaca etdis t	-----|-|---⌫|
auoie baillié mon filza	----|-------|--|---||
aprendreetu o u s li	-------|-|-⌫-⌫-⌫|-|
toluela par ol e	----|-|---⌫--⌫|
famequ eil uoloit	---|--⌫|-|-----|
prendreaforce	------||----|
parol en ediie mie	-----⌫|-⌫|-|-|--|
perduec arsece	-----|-⌫-|-|-|
quep er due l e ustmalgre	--|-⌫--⌫--||-⌫--|-----|
deuriez sa uoir me s	------|--⌫---|--⌫|
uos tre fame q u il uo st	---⌫--|---|-⌫|-|--⌫-|
pr endreaforce	--⌫----||----|
siconm e eleuousdit	-|----⌫|--|---|--|
etriensneliest	-|----|-|-|--|
uouspour ce	---|---|-|
ledestruis iezsiuous	-|--------⌫--|-|---|
conmeilfist au borgois	----|-|---|-|------|
desapieetco ment	-|-|--|-|--⌫---|
auin til ditli	----⌫|-|--|-|
emper ieres de sap ie par	-----⌫----|-|-|-⌫-|--|
catonsm esdiresn	-----|-⌫-|----||
ua udroitriensseuo st res	--⌫-----|----|-|--⌫--⌫--|
filzest oit	---|---⌫--|
morzmesfetes le	---|--|----|-|
respiti ere tiele uou s	-------⌫-|-⌫|-|-|---⌫|
ielerespiteraitantque	-|-|---------|------|
uous aiezditfe t l i	---|---|--|--⌫|-⌫|
e mperieressireorl	-⌫--------|---|-||
enuoi ezdonquesquerre	-----⌫-|------|-----|
uolenti ers	-------⌫--|
me s age squeurentpour le	--⌫-⌫---⌫|-------|---|-|
uallet ramener il	-----|------|-|
pardeuan tl	--|-----⌫||
emper eeuret	-----⌫---|-|
sonmestresi	--|-----|-|
enclinaetpuis fu	------|-|---|-|
menez e nla	----|-⌫|-|
iao lelors	---⌫-|---|
conmencamestre	-------|-----|
catonsson c onte	-----|--|-⌫---|
enc esteu ilesiredist	-|-⌫---|-⌫--|---|---|
ca to nsotzzbouriois	--⌫--⌫-|-|-|-------|
un e p iequimoultbien	--⌫|-⌫-|--|----|---|
parl oit langu e romai nne et	----⌫--|-----⌫|-----⌫--|-|
borioi sue noitdeho rs la	------⌫|--⌫---|----⌫-|-|
piel idisoitquanque	--|-⌫|-----|------|
ele sauoit	--|-----|
et o oitet ueoitet	-|-⌫--|-|----|-|
souentauenoitq ue la	-----|------|-⌫-|-|
pie di soi tuoir	--|--⌫---⌫|---|
aupreudome quant l i amis	-|-------|----|-⌫|---|
a la dameauoit esté	|-|---|----|----|
il lenc reo itbien	-||-|-⌫---⌫-|---|
tantque lisir esfualez	------|-|---⌫-|-|---|
marcheandisesinere uint	-----------|-|-|--⌫---|
pa scelenuit lada me	--⌫|---|---|-|--⌫-|
sonamilap ie	--|--|-|-⌫-|
en ha utenune	-|--⌫-|-|--|
a uneperche	|--|-----|
lui s et n	|--⌫|-||
osaentr er	--|----⌫-|
dedenzpou r l apiei l	-----|---⌫|-⌫|--|-⌫|
mandaladameeleuint	----|-|---|--|---|
distdameie n ose	---|---|-||--|
entre renz p ourla pie	-----⌫|--|-⌫--|-|--|
quele ne le	-|--|-|-|
uostre seigneur	-----|-------|
uenezfeteleseurement	----|--|--|--------|
carenpe nserai bien	--|-|--⌫-----|---|
d amefet iluolentiers	-⌫--|--|-|---------|
pas sa outre et sen	---⌫-|----|-||-|
entr a en lachambr ela	----⌫|-|-|------⌫|-|
piele regarda	--|-|------|
sileco nnut	-|-|--⌫---|
froiterie li	--------|-|
aucunesfoizsid ist	------|---|-|-⌫--|
hasire qui en la	-|---|--|-|-|
chambre estes repost	------|----|-----|
iuen ez uousqu ant m es	|---⌫-|---|--⌫--|-⌫-|
sires yest atantse	----||--|----|-|
tutetladam es	--|-|-|---⌫||
apensa dun egrant g uil e	-----||--⌫|----|-⌫---⌫|
qu ant ilfu	--⌫--|-|-|
a nui ti éele pri stsa	-⌫---⌫--⌫-|--|---⌫-|-|
chamberieresilib ailla	----------|-|-|-⌫----|
z zg r ant	-⌫|-⌫-⌫--|
d eue etzz	|--|-|-|
cierge t ou t ardant et	-----|-⌫--⌫|-----|-|
defus t quantuint	-|---⌫|----|---|
la mienuitelelafis t	-|------|--|-|---⌫|
suslamesonilec	--|-|----|---|
en droitoula pie	--⌫----|-|-|--|
est oitsi conmenca	---⌫--|-|-------|
durementa feri rsusles	-------||----⌫|--|--|
escengle s qu anteleauoit	--------⌫|--⌫--|--|----|
ferusipre noit le	---|-|---⌫---|-|
ciergeetleb out oitp ar	-----|-|-|-⌫---⌫--|-⌫-|
entre deus	----|---|
escengl esqui d onnoit	-------⌫-|--|-⌫-----|
clartealap ieenm i	-----||-|-⌫-|---⌫|
apresprenoi tl	----|------⌫||
uersoi t sus la pi eitel	------⌫|--|-|--⌫|---|
lime naiusqueau	-|--⌫-|-----|-|
qu antil fu aiorné si	--⌫--|-|-|------|-|
lemaillet e nu nemain	-|------|-⌫|-⌫-|---|
etl ec iergeenl	-|-⌫|-⌫----|-||
autree tliamis	----|-⌫|-|---|
a ladame senala	|-|---||-|--|
nedemor agueresapres	-|-----⌫|-----|----|
ce queli sires	-|--|-|----|
uint il uint tout	---|-|---|---|
etlidema nda amie	-|-|----⌫--|---|
come ntuo usest	----⌫-|--⌫-|--|
huisi reditla	--|--⌫-|--|-|
liamismadamea	-|---|-|---||
an u itesté	--⌫-⌫-|----|
t outenuitceenzetieu	-⌫---|---|----|-|--|
au eclii l na guer es	--⌫-|-|-⌫|||----⌫-|
enparti ie le n ui	-|----|-||-⌫|-|
alerparc i	---|--|-⌫|
rega rdala	----⌫--|-|
damedefelonseulzlors	---|-|-----|---|---|
setornauers	-|----|---|
d istce rte sb eletres	-⌫--|--⌫---⌫|-⌫--|---|
biensiref et	---|---|-⌫-|
ilaa nuittoutenui t	-||-⌫---|----|---⌫|
tonnéetpleuet	-----|-|---|-|
esparz meuenoit de	-----|-|-----|-|
toutesparzenmi	-----|---|---|
les eulz et p ou	--|---|-|-⌫-|
fautqueienai	---|--|-||-|
a nuit esté	-⌫---|----|
mor telisiresrega rd a	---⌫-|-|----|----⌫--⌫|
ladameeteleluipar	-|---|-|--|--|--|
lis ire sila anuit	-|-⌫---⌫|-||----|
fetmoultbelenuitet	--|----|---|---|-|
moult clere	----|----|
certessirefetladame	-----|---|--|-|---|
c e a monune	-⌫||--|--|
ses uois ins	--|----⌫--|
il lidirentautresi nt	-|-|-----|-------⌫-|
ladame uit sonpoint	-|---|--|--|----|
quelep o oitpa rl eret	-|--|-⌫-⌫--|--⌫--⌫-|-|
seigneuroiant	-------|----|
s esuoi si ns	-⌫-|---⌫--⌫-|
o reseig neurorpoez	-⌫-|----⌫---|-|---|
oirdecoim essiresm	--|-|--|-⌫-|----||
at ou ti ourzblamee et	|-⌫--⌫--⌫---|-----|-|
qui cre o it s a piede	--|---⌫-⌫-|-⌫|--|-|
qua n queelelid iso it	---⌫-⌫--|--|-|-⌫---⌫-|
or endro itli	--⌫-----⌫-|-|
disteleque	---|--|--|
auoitanuit touten uit	----|----|----|-⌫--|
ieuauecmoicerte s	--|---|--|-----⌫|
ele men ti autresi	--|---⌫-|------|
conmedu tanslisires	----|-|---|-|----|
quesapieli	--|-|--|-|
auo it men tidutans	---⌫-|---⌫-|-|---|
autresicuid ail	------|----⌫|-|
q ueelel ieustm enti	-⌫-|--|-⌫|---|-⌫---|
desafamelorsuint	-|-|---|---|---|
s ili distparmon	-⌫|-|---|--|--|
chief uous neme	----|---|-|-|
mentiroiziames	--------|----|
si lapristetl i	-|-|----|-|-⌫|
rompi lecolquant il	----|-|--|----|-|
ot cefetsifusi	-|-|--|-|-|-|
esba hizqu ilnesot	----⌫--|-|-|-|--|
que dire l o rsostala	--|---|-⌫-⌫-|---|-|
estoitsiui t les	-----|-|--⌫|--|
escenglesde satireespui s	--------|--⌫-------|---⌫|
esch ielesimontad esus	----⌫---|-|----|-⌫---|
lam eson etuitle	-|-⌫---|-|--|-|
lacham be rierey	-|----⌫--⌫----||
lessiéetu itla cire	------|-|-⌫-|-|---|
suslese sceng les etque	--|--|-⌫-----⌫--|-|--|
lacouuertur efu desatirie e	-|---------⌫|-|---------⌫|
le grantp ertuisparo u	-|----|-⌫-----|--|-⌫|
elea uoit boute ́ le	--|-⌫---|-----⌫|-|
ciergetout	-----|---|
ardantlorssa pensa	-----|---||-⌫----|
latraison quesafame	-|------|--|-|---|
liauoitfe te	-|----|--⌫-|
s i con menca	-⌫|---⌫----|
a feregrant	|---|----|
duelet dist ha las	---|-|---|-|--|
pourc o ic ruiiem a	---|-⌫-⌫|-⌫--|-|-⌫|
famelorsenc h acasa	---|---|---⌫-⌫--|-|
famehorsdesa	---|---|-|-|
meson or esire fet	----|--⌫|---|--|
mes tres catons se ilse	---⌫---|-----|-|-|-|
pourueuzauantil	-------|----|-|
p as sa pie oci seor	-⌫-|-|--|---⌫-|-|
e tfet sonduelora	-⌫|--|--|---|-||
chacieesafame	------|-|---|
auoitocisesap iepar	----|----|-|-⌫-|--|
soncon s eil	--|---⌫-⌫--|
to u t aut resi	--⌫-⌫|---⌫---|
ieet oi quel	-|-|-|--||
empererizsetraueil le	--------|-|-------⌫-|
uostr efilzsoit	-----⌫|---|---|
etse u ouslacr eez	-|-|-⌫--|-|--⌫--|
de cesanzautre conse il	-|-|---|----|-----⌫-|
croiresiuous en	-----|-|---|-|
il ausiconmeilfist	-|---|----|-|---|
auborioisd esa pi e	-|------|-⌫|-|--⌫|
p ar m on chi ef	-⌫-|-⌫-|---⌫-|
dist liemperieresilne	---|-|---------|-|-|
men auenrapasai nsint	|-|-----|--|--⌫----|
si refet caton uous	--⌫-|--|----|---|
fe roiz b ien en	--⌫---|-⌫--|-|
m ie son enfa n tocirr e	-⌫-|--|----⌫-⌫|-----⌫|
pour ledit de sa	---|-|--|-|-|
ma rrastre atant	--⌫------|----|
lessierentesteriusquesle	---------|----|------|-|
soirque lesportes	---|--|--|-----|
furentclos es	-----|----⌫-|
liemperieresuintal	-|---------|---|||
e mpererizele li fist	-⌫-------|--|-|---|
chiereliemperieres la	-----|-|---------|-|
regardaquimoultl	------|--|----||
sili dis t	-|-|---⌫|
damequeauez uous	---|--|---|---|
me dites certessire	-|----|-----|---|
menirailematina	|-|---|-|----||
mes amis eta	--|---|-||
pa r enzcariesui	--⌫-⌫--|--|-|--|
deha utli gna ge	-|--⌫-|--⌫---⌫-|
coi di tesle	--|--⌫--|-|
par foi s ireie sai	--|--|-⌫--|-|--|
bienque uou s seroiz	---|--|---⌫|-----|
des tr uiz	---⌫--⌫--|
part ansc aruous n e	--|-⌫--|-⌫-|---|-⌫|
uole z nulconseilcroire	----⌫|--|------|-----|
etpourceuo usem	-|---|-|--⌫-|-|
p uissei la usintaue nir	-⌫----|-⌫|-⌫----|---⌫--|
conmei l fist	----|-⌫|---|
auro yherodequitant	-|--⌫|-----|--|---|
tintendesp itledi t	---|-|----⌫-|-|--⌫|
pour le con seildesyy	---|-|---⌫---|--|-|
sagesqueilemperdi	----|--|-|-|----|
laueue distl i	-|---|---|-⌫|
emperierescomentce	---------|-----|-|
uoudroie ie	-------|-|
bienoirpourcoile	---|--|---|--|-|
uou sdiroieie u ous n	---⌫|-----|-|-⌫--||
enferiez riens	-|-----|----|
parmo nc hief d ameuous	--|--⌫|-⌫---|-⌫--|---|
lediroizuole ntier ssire	-|-----|----⌫-----⌫|---|
puisquil uousplest	-----|-|---|----|
s ireilotenc este	-⌫--|-|-|-|-⌫---|
ui le zze mpere eur quiot	--⌫-|-|-⌫-----⌫--|--|-|
si auoityy sa ges	-|----|-|--⌫--|
conme i l ia encore	----|-⌫|||-----|
auoientt el coustumem ise	------|-⌫-|-------|-⌫--|
enc es teuileque	-|-⌫--⌫-|---|--|
quiconques so nioitil	---------|--⌫----|-|
uenoit aus yy sages et	-----|--|-|----|-|
l euraportoit	-⌫--|-------|
zz besant d	-|-----||
l idi soien t sonsongeet	-⌫|--⌫-----⌫|--|----|-|
esp onnoientcequil	---⌫-------|-|-|-|
auo it songi é et	---⌫-|-----⌫-|-|
auenir sia uoient t ant	-----|-|-⌫-----|-⌫--|
delor etde	-||-|-|-|
seurm onte ren tl	-----⌫----⌫---⌫||
emperee urderichesceli	-------⌫-|-|-------|-|
en perieresauo it	--⌫-------|---⌫-|
maladi equequantil	------⌫|--|----|-|
cheuauchierhors derome	----------|---|-|---|
ilauugloitnenen	-|-------|-||-|
pooit issir	----|----|
apela le syy	----|--⌫|-|
leurdistzz	---|---|-|
se ign e ur carmedites ce	--⌫---⌫-⌫-|--|-|----|-|
que ieuous demanderai	--|-|---|---------|
ilrespondirent	-|-----------|
u olentierspourcoidist	-⌫--------|---|--|---|
ilmauuglentlioeil	-||-------|-|---|
doi issirhorsde ceste	--|----|---|-|----|
ui lesiredientli sage	--⌫-|---|----|-|---|
decene uoussauons	-|-|-|---|-----|
nous mieres po ndres anz	---|--|---⌫--⌫---|-⌫--|
terme y co uient	----||--⌫----|
il termedi t	-|----|--⌫|
emperieresparfoisire	---------|--|--|---|
i eleuousdoi ng	-⌫|-|---|---⌫-|
a y y iorzsire	|-⌫|---|---|
ser oitpou mes	---⌫--|--|--|
iusq ues ayyd epar	----⌫--||-|-⌫|--|
dieu distli empe rieres	---|---|-|----⌫-----|
s enpartentilne	|-|------|-|-|
uoudrent pasle ssierlonc	-------|--|--⌫----|---|
seiour d ela demande	-----|-⌫|-|------|
em pereeurainzquirent	--⌫------|---|------|
c onse i l	-⌫----⌫-⌫|
a pluseursg enz tantque	|-------|-⌫--|------|
estoi t enlaterre qui	-----⌫|-|-|----|--|
onqueseu pere	-----|-|---|
quirendoit	--|------|
q uanquelenli	-⌫-----|--|-|
demandoi tilissire nt hors	--------⌫|-|------⌫-|---|
