formCico umence	---|-|--⌫-----|
carli deableslesaguaitoitace le heur e .	--|-|------|--|--------||--⌫-|----⌫||
Apaines otcil qilornonç oit	|-----|-|--|-|--|-----⌫--|
saparolefinee qa ntlideables	-|-----|----|--⌫-|-|------|
trebucha lapar oiqeli	-------|-|---⌫-|-|-|
frerefesoientetsi	----|-------|-|-|
ocistun ioene monio tquifiuzestoitaunb on	----|-|----|-----⌫|--|---|-----||-|-⌫-|
Li frerefuren tmout	-|----|-----⌫|---|
dolenz por	-----|--|
lamortdelor fr erenon miepor	-|---|-|--|--⌫--|--|--|--|
ledomache del oroeure .	-|------|-|-⌫-|----||
Me intenantle	--⌫-------|-|
noncie ren taseint	------⌫---⌫||----|
Beneoitto tenplorantet	------|--⌫|-|------|-|
moutgrant doe l demenant.	---|----|---⌫|-------||
SeinzBeneoiz coman dacon liaportastl enfantq i	----|------|-----⌫-||-|-|-------||-----|-⌫|
toz estoit et	--|-----|-|
c omb risiezetmorz .	-⌫---⌫-----|-|---||
Li frerele	-|----|-|
mistrenten un sac car autremen t	-------|-|-|--|--|--------⌫|
neleporent por tercarl es pie rres	-|-|-----|---⌫--|--|-⌫-|---⌫---|
ne l i auoientmiebrisiés	-|-⌫|------|--|-------|
tantseul ementlesmembreseinzli auoient a ussint	---|----⌫----|--|------|---|-|------|-⌫-----|
tozleso s froissiez	--|--|-⌫|--------|
D on tcomandaseinzBeneoiz q	-⌫--⌫|------|----|------||
illemeïssent	-|-|--------|
iusdeuant luiensa	--|-----|--|-|-|
cea ill e ouile stoi tacostumezdeses	---⌫---⌫|-|-|-⌫----⌫|--------|-|--|
oriss ons fere.	-----⌫--|---||
Lif reresi	-|-⌫---|-|
f irent ei nsintetse in z B eneo izl esen	-⌫----|--⌫----|-|--⌫--⌫|-⌫----⌫-|-⌫-|-|
fisttozfors al ersiclostluis m es	---|--|---|--⌫-|-|----||--|-⌫-|
il lorc onmandaeinçois qil ralassenta	-|--|-⌫------|-------||-|--------||
Do ntsecouch a	--⌫-|-|-----⌫|
liseinsho men o rissonspluse nten tiueme nt	-|----|--⌫|-|-⌫------|---|-⌫----⌫------⌫-|
qilneso loit fereenuers	|-|-|--⌫---|---|-----|
nostreSig nor .	-----|---⌫--||
uosoïrchose esmerueillablecar enceleme ïsmesheuref u	--|---|----|-------------|--|-|---|--⌫-----|----|-⌫|
li enfesse inz	-|----|--⌫--|
oeureensambleosesfreres .	----|-------||--|-----||
DontcomençaseinzBene oizaauoirsigrantgrac e	---|-------|----|----⌫--||----|-|----|----⌫|
d enostreSignorqil	-⌫|-----|-----||-|
sauoitmoutde	-----|---|-|
aauenir esto ien t.	|-----|----⌫---⌫||
Costume estoit adoncenlameson seintBen eoitqe	------|-----|----|-|-|----|----|---⌫---|-|
nu s d esfreres n a loit	--⌫|-⌫-|-----||-⌫---|
aautreparlerestrange	|----|-----|-------|
aut re leuqe	---⌫-|--|-|
i abeü st	-⌫|----⌫-|
neneme ngast s i	-|-|--⌫----|-⌫|
reuenistarriere	-------|------|
car nusnaloit fors q i	--|--||----|---|-⌫|
nereuenist alauespree.	-|-------||-|------||
Ce stechose	--⌫--|----|
estoitmoutbi engardee et moutbientenue.	-----|---|--⌫-|-----|-|---|---|----||
qanzfreresalerent enunl euouildem orerentplus	---|-----|------|-|-|-⌫-|-|-|---⌫------|---|
c uid ierentsi compluiseur fo nt encor e.	-⌫---⌫-----|-|--|-------|--⌫-|-----⌫||
Li frer e trestrenta l a	-|----⌫|--------||-⌫|
mesondu ne religieusefemeet	----||-⌫-|---------|---|-|
simengi ere nt puissi	-|-----⌫---⌫-|---|-|
reuindrentmout tosten leurcea i lle	---------|---|---|-|---|---⌫-⌫--|
Qan t ilfure n treuenuziluind rent	---⌫|-|----⌫-⌫|------|-|----⌫---|
ase intBeneoit p orsa	|--⌫--|------|-⌫-|-|
benei ̈çonauo irsi	-----⌫----|---⌫-|-|
comi l auoienta costume.	--|-⌫|------||------||
loruout mie	--|---|--|
donereinzdist Oumen gast esuous	----|---|---|-|---⌫----⌫-|---|
Etil respondirente tsid istrentNulleu .	-|-|-----------|-⌫|-|-⌫------|--|--||
Seinz Bene oiz lord is t Po rqoi menté s	----|----⌫--|--|-⌫--⌫|--⌫|--|------⌫|
uosente lmaniere	--|-|--⌫|------|
Do nt ne fust es	--⌫-|-|----⌫-|
u osa la mesona cele femeet	-⌫-||-|----||---|---|-|
do ntn i eüstesuosteles	--⌫-|||------|--|----|
u iandeset	-⌫-----|-|
beü stesuos	----⌫---|--|
tantesfoiz Qant li frereor entoïceqelor	-----|---|---|-|----|--⌫--|--|-|-|--|
co n toitensilostel	--⌫-⌫---|---||----|
ouilau oientmeng iéet la	-|-|--⌫----|----⌫--|-|-|
manieredesuia nd ese t le nombrede	------|--|---⌫--⌫-|-⌫|-|-----|-|
lo rboiurei lche ïrent	--⌫|-----|-⌫|---⌫-----|
asespiezetsi licon urentt outceq	|--|---|-|-|-|---⌫----|-⌫--|-||
ilauoient fetet	-|------|--|-|
re g ehirentet distrentq iltrespasse ́	--⌫-⌫------|-|-------||-|---------⌫|
auoientsoncou mand ement .	------|--|---⌫----⌫----||
SeinzBeneo izl orpardonae t sipens a	----|-----⌫-|-⌫-|------|-⌫|-|----⌫|
neleferoientsilesassoustetdouna	-|-|-------|-|--|------|-|----|
sabeneïçon .	-|---------||
Une au trefoiz auintqe	--|--⌫--|---|----|-|
uns hom mou t religieusauoit	--|--|---⌫|--------|----|
encost um edelleuouil	-|----⌫--⌫|--|--|-|-|
estoi tmanansuenirenieunes	-----⌫|-----|----|-|-----|
asein t Bene oit porau oir	|----⌫|----⌫--|--|--⌫--|
seso rissons et sa beneïçon	--|-⌫------|-|-|---------|
etporueoir	-|--|----|
un suen frereqim oinesesto it enla	-|---|----|-|-⌫----|----⌫-|-|-|
compaig nieseintBeneoit .	-------⌫--|----|------||
ua lentini ensauoitnondo ntie uos ai	--⌫-------⌫--|----|--|--⌫-|-|--|-|
faitmensiondeua nt.	---|------|----⌫-||
mutporalerlauoieq	--|--|---|-|---||
ilauoitac ostumee .	-|----|--⌫------||
Uns autres	--|-----|
hom sa comp aigna a	--||-⌫----⌫----||
luiqi uiandeportoitp or mengierenlau oie	--|-|-----|------|-⌫-|------|-|-|-⌫--|
Si com ilsenal oientensambl e	-|--|-||-|--⌫----|-------⌫|
et l e uredemeng ier fuaproc hiecil qi	-||-⌫--|-|----⌫--|-|-----⌫--|--|-|
auoit d is taceluiqiaseintBeneoit al oit	----|-⌫--⌫||----|-||----|------|--⌫--|
Beau s frer e uien	----⌫|----⌫|---|
çasimengeronsq e nos ne	--|-|--------|-⌫|--|-|
so ionstroplassezd ela	--⌫---|---|-----|-⌫|-|
lon gu eu o ie pa r f a mine	---⌫--⌫|-⌫-⌫-|--⌫|-⌫-⌫---|
Cilli re spon diAmis nonferai	--|-|--⌫----⌫-|---|--|----|
Ie n emengerai	-|-⌫|-------|
miecariesueltozt ens	--|--|-|---|--|-⌫--|
ieuns ue nir aseint Bene oitnostre per e .	----|--⌫--||----|----⌫--|-----|---⌫||
Qan tlicompein s	---⌫|-|-------⌫|
qilauiande auoit oïceil seteüt	-|-|-----|----|--|-|-|-|----|
adontmesqan tilot	----|--|---⌫|-|-|
grantpieced ela uoieauantaléilrecom ença le	----|----|-⌫|-|---|----|---|-|-----⌫----|-|
preudomea am one sterquilme ng assent	-------||--⌫---⌫---|-|-|--⌫--⌫-----|
Lipreudomqiieunssoloit aler	-|------|-|----|-----|---|
n enuoutriensf ere .	|-|---|----|-⌫--||
Dontaler entgran t pie ce	---|----⌫--|----⌫|---⌫-|
ensa mble tantqil	----⌫---|---||-|
fu moutatarg iéce sembla a	-|---|-----⌫--|-|-----||
celuiquiuolentiers mengast.	----|--|---------|------||
Lors trouerenten milau oie	---|--------|--⌫-|-|-⌫--|
un moutbea u pré et	-|---|---⌫|---|-|
en celpréu nemoutbelef onteinequ im ou t	-|--|---|-⌫-|---|---|-⌫------|--⌫|-⌫--⌫|
estoitclere et de lit able	-----|----|-|--⌫---⌫---|
e t tieuschosessiesto ientmoutpl e sa nz	-⌫|----|-----|-|----⌫---|---|--⌫-⌫--⌫-|
aceusqiestoientlassez.	|---|-|-------|-----||
Don tparl a	---⌫|----⌫|
cilq ia c ostu meauoitdeparlerauantau	--|-⌫||-⌫----⌫-|----|-|-----|----|-|
preud omeso ncompaignon etsilidistueezici	-----⌫--|--⌫|---------|-|-|-|---|---|--|
l epréetl afontein eet	-⌫|---|-|-⌫|-------⌫|-|
leu delitableou nos poons	--|--------|-|--|----|
m eng ieret re poser aprés s iir ons	-⌫---⌫--|-|--⌫----|-----|-⌫|--⌫--|
plushei tiementnostre uoie .	---|---⌫------|-----|---||
Lipreudom qiuit	-|------|-|--|
liu ot roia	--|--⌫---|
ace stetierc e foizq uilmengeroit.	|--⌫--|-----⌫|---|-⌫|-|--------||
Dontme ngierent	---|--⌫-------|
ensambleseu r laf onteineettantala	-------|---⌫|-|-⌫------|-|---|--|
lachose qelipreudom	-|----|-|-|------|
al a al a cea illeseint Bene o i tauu e s pre.	--⌫||-⌫|---⌫---|----|----⌫-⌫-⌫|-|-⌫-⌫-⌫--||
Etqant i lfudeuantl e	-|---|-⌫|-|-----|-⌫|
seintp ereil	----|-⌫--|-|
l ir equis t s or issonet sabe neïçonm es	-⌫|-⌫-----⌫||--⌫----|-|-|--⌫-------|-⌫-|
seinz Beneoiz leb lasma de ceqilauoit	----|------|-|-⌫----|-|-||-|----|
la uoie et	-|---|-|
si lidist Queest	-|-|---|--|--|
cebeausf reres	-|----|-⌫----|
limalignesesperizqu i	-|-------|------|--⌫|
a toipar laenl auoie parton	|--|---⌫-|-|-⌫|---|--|--|
c omp aignonnetepot mie	-⌫---⌫-----|-|-|--|--|
eno rterqetufeïssessa uolentéala	---⌫---|-|-|-------|-|-------||-|
prem ierefoiznealase conde mesa	----⌫---|---|-||-|--⌫----|--||
latier ce sormonta il ace	-|----⌫-|-------|-||-|
qui l u out fer e .	-|-⌫|-⌫--|---⌫||
Dontreconut	---|------|
cilceqilauoitfetsi	--|-||-|----|--|-|
s elessa cheoir	-⌫|----|-----|
seintBeneoi t etcomenc ̧aapl orer etarend re	----|------⌫|-|------⌫-||--⌫---|-||----⌫-|
sacoupe etbien sotqesei nzBeneo iz auoit	-|----|-|---|--|-|---⌫-|-----⌫-|----|
ueu ̈sonme ffetia	---⌫|--|--⌫---|-|
fu stceqiln ieust es téen	--⌫-|-||-|||---|--⌫--|-|
presen ce.	------⌫-||
Einsi sauoi t liseinzho mpar	----|-----⌫|-|----|--⌫|--|
lagracedeDeu lescho sesaussintbience lesou	-|----|-|--|--|---⌫--|------|---|--⌫--|-|
ilnestoitmiecome	-||-----|--|---|
celesou ilestoit.	----|-|-|-----||
Adoncauintq e	----|----|-⌫|
unsrois qiauoitnon Thotila oï parler	--|---|-|----|--|------|--|-----|
de sei nt Beneoi tet	-|---⌫-|------⌫|-|
qi lsauoit	|-⌫|-----|
l eschosesqi a	-⌫-|-----|-||
auenire stoient.	-----|-⌫------||
Sisepensaqiliroitalui ets i	-|-|----||-|----||--|-|-⌫|
e s prou eroitsec eestoitu oi rs	-⌫-⌫----⌫----|-|-⌫|-----|-⌫--⌫-|
Qantiluintp re sdel	---|-|---|-⌫--⌫|-||
abeïe s iarresta	-----|-⌫|------|
e nsusetsimanda a seint Beneoi t	-⌫---|-|-|----||----|------⌫|
qu iluenoit a luiparler	-|-|-----||--|-----|
d e sonafere.	-⌫|--|----||
LiroisauoitunseriantRingoz	-|---|----|-|------|-----|
estoit apelez.	-----|-----||
Celuifis tlirois	----|---⌫|-|---|
uest irderoiausuesteü resetatornerde l tot entot	----⌫-|-|-----|-------⌫--|-|------|--⌫|--|-|--|
ensa guisee tsi licoman da q	-|-|----|-⌫|-|-|-----⌫-||
auseinthomee ns a p erson eetses	-|----|---|-⌫|-⌫|-⌫-----⌫|-|--|
p lus priuezcompaignons	-⌫--|-----|----------|
qiest o ient de sonconseild euant	-|---⌫-⌫---|-|--|------|-⌫----|
tozlesautres enuoiailensamble	--|--|-----|-----|-|-------|
oc eluiason se ruice .	|-⌫---||--|--⌫----||
Liunsdece ztrois	-|--|-|--⌫|----|
co mpaignonsauoitn on	--⌫--------|----|-⌫-|
uultetli autresRudri chetlitierz Blidin.	---|-|-|-----|-----⌫-|-|-|----|-----||
Porce les ienuoialiro isqeseinzBeneoiz	--|-|--||-----|-|--⌫-|-|----|------|
cuidastqecilensembleo	------|-|--|-------||
cuii laloie ntetqi e stoit uestuz	--|-⌫|-----⌫-|-|-|-⌫----|-----|
si nobleme nt	-|-------⌫-|
fu stp roprement	--⌫-|-⌫--------|
le co rsleroi	-|--⌫-|-|--|
caro n qesnel a uoitueüe t	--|-⌫-⌫--|-||-⌫---|---|-⌫|
en sambleenuoia se rianz qiportoientespees siqilsem bl ast	--⌫-----|-----|--⌫----|-|--------|-----|-||-|---⌫--⌫--|
aussibienroisdetotesautreschoses	----|---|---|-|----|-----|-----|
co mdeuesteüres .	--⌫|-|---------||
Einsi cuidoitlirois	----|------|-|---|
deçoiure s eint Beneoit	--------|-⌫---|------|
QantRinggo zfu	---|------⌫|-|
mol t richement	---⌫|--------|
atornezet ilo t e nsembleolu i	------|-|-|-⌫|-⌫------||--⌫|
sescheualiersetsamesnieilalata nt	--|---------|-|-|-----|-|--|--⌫-|
q il uin ta l a beïe.	|-|---⌫|||-⌫----||
L i seinzhomleuituenir deloingq it oz	-⌫|----|--|-|--|----|-|----|-⌫|-⌫-|
coizseseoitne ne semouoit .	---|-|----|-|-|-|-----||
QantRinggoz l ifu	---|------|-⌫|-|
tant aprochiez qeseinz	---|--------|-|----|
Beneoiz sepensa	------|-|----|
qilorroit bien et	|-|-----|---|-|
enten dero itsa	-----⌫----⌫-|-|
paroleil l icomenc ̧aacrier etadire	-----|-|-⌫|------⌫-||----|-||---|
Beausfiuzostece	----|---|---|-|
qetu port escarce n	-|-|----⌫-|--|-||
estmietien	--|--|---|
QantRingg o z	---|-----⌫-⌫|
oïl aparole il	--|-⌫|-----|-|
selessa cheoir	-|----|-----|
ate rresiot	|--⌫--|-|-|
grantpoorpor	----|---|--|
ceqiluolo itp ar sa foliedega ber	-||-|----⌫-|-⌫-|-|----|----⌫--|
si se in t home.	-|--⌫--⌫|---||
Ettuitcilqila	-|---|--|-|-|
est oientassembléoluise lessi er entcheoir a	---⌫----|--------||--|-|-----⌫--⌫--|-----||
te rrep or encline rse intB eneoite tp uissi	--⌫--|-⌫-|-------⌫|--⌫--|-⌫-----|-⌫|-⌫--|-|
senret ornerentq i l ne	|-|---⌫-------||-⌫|-|
loser en t apr oci eret cont erent au	|----⌫--⌫|---⌫---⌫-|-|----⌫----|-|
roipar grantpoorcomtostlis ei nzhom	--|--|----|---|--|---|-|-⌫--⌫-|--|
l es auoi tpriset coneü	-⌫-|----⌫|---|-|-----|
to tlorafer e.	--⌫|--|----⌫||
r oismeïsmes parlu itot	-⌫--|-------|--|--⌫|--|
s eul s anzcompa ignielaouseinzBeneoizs eoittozseus	-⌫--|-⌫--|-----⌫----|-|-|----|------|-⌫---|--|---|
en saceai l leet	-|-|----⌫-⌫-|-|
tantostcomil le	------|--|-|-|
uitn elosai l apro chiere in zse	--|-⌫||--|-⌫|----⌫----|-⌫--⌫|-|
m is taterresi l encl i n a.	-⌫--⌫||----|-||----⌫-⌫-⌫||
Lisei nz h omlidist	-|---⌫-|-⌫-|-|---|
u nefoizetautre q i lse	-⌫-|---|-|----||-⌫|-|
leua stmesonqesliroisnese	----⌫-|--|----|-|---|-|-|
uoutleuertre sq a tantqe	---|----|---⌫-|-⌫---|-|
s ei nz Beneo iz meïsmesuintal ui qi leleua	-⌫--⌫-|-----⌫-|-------|---||-⌫-|-|-|---|
etquimoutleblasma des chosesquil	-|--|---|-|-----|--|-----|-|-|
auoitfet eseta	----|---⌫-|-||
mout pet it	---|---⌫-|
deparoles lidist ceqe aauenir liestoi t	-|------|-|---|-|-||-----|-|-----⌫|
ent el ma niere Roi s t u	-|-⌫-|--⌫----|---⌫|-⌫|
asmoutfetdemaus.	-|---|--|-|---||
Orso iessag estre scest eore en	-|--⌫--|---⌫-|---⌫|----⌫|--|-|
aua nt etsilaiest er	---⌫-|-|-|--|---⌫-|
tesfelo n ies car pechié s est demal f ere.	--|----⌫-⌫--|--|-------⌫|--|-|--|-⌫--||
Sachesbien qe t uiras	-----|---|-|-⌫|---|
enbri e fte rme a Ro me	-|---⌫-⌫|--⌫--||--⌫-|
etap ré s passer as l amer	-|--⌫---⌫|------⌫-|-⌫|--|
por al er enSulie .	--|--⌫-|-|----||
Tuuiuerasencore.	-|------|-----||
tapoestéet enta	-|------|-|-|-|
signor ieetaudisiemean morras	------⌫-|-|-|------|-|-----|
sanz do tanc e .	---|--⌫----⌫||
Qantli rois o ï	---|-|---|-⌫-|
cesifum outes poent ezensoncuer	-|-|-|-⌫--|--⌫-----⌫-|-|--|---|
sanz mostrer	---|------|
Dontre quist	---|--⌫----|
auseinthomeses	-|----|---|--|
orissonsets a b e neïçonsisenr epeir a	-------|-|-⌫|-⌫-⌫-------|-||-|-⌫-----⌫|
Et biensachiezuos qim e sco utezet en tend ezqe	-|---|------|--|-||-⌫---⌫---|-|--⌫----⌫-|-|
tres cei oren au ant	---|-|-⌫-|-|--⌫--|
otenluimeinsdecr uiautéetdefeloni e.	-|-|--|----|-|--⌫------|-|-|------⌫||
Ap r e ́scenede moragueresq e	--⌫-⌫-⌫-|-|-|--⌫---|-----|-⌫|
al aaRom e sicom	--⌫||---⌫|-|--|
se inz Ben eoizliauoitdi t .	--⌫--|---⌫---|-|----|--⌫||
enSulie sipass alamere t	-|----|-|----⌫|-|--|-⌫|
puismoru til	---|----⌫|-|
aud isie me	-|-⌫----⌫-|
a n et issi deceste morteluie .	-⌫|-|---|-|----|-----|--||
Adon ca uoi t enleglisse de Tamisse	----⌫|-⌫---⌫|-||------|-|------|
unpre stre qimout e sto itpre udom	-|---⌫---|-|---|-⌫---⌫-|---⌫---|
etsein zhom.	-|----⌫|--||
Celuia moit moltse intB e neoitporce qil sauoit	----|-⌫---|---|--⌫--|-⌫-⌫----|--|-||-|-----|
bie nqi l estoit	---⌫||-⌫|-----|
dene teuie	-|--⌫-|--|
e t deseinte .	-⌫|-|-----||
Ciluintasei ntBeneoit	--|---||---⌫-|------|
q a n tli roisfud e luip artiz.	-⌫-⌫-⌫|-|---|-|-⌫|--|-⌫----||
SeinzBeneoizli contaet	----|------|-|----|-|
distconmentliroisestoitalui	---|------|-|---|-----||--|
uenuze tcon me ntille	----|-⌫|---⌫--⌫-|-|-|
c uidoitdeçoiure .	-⌫-----|--------||
Liprestresqi totesce zparoles otes coutees	-|-------|-|----|--⌫|------|-|--⌫------|
parlaase intBene oit	----||--⌫--|----⌫--|
et s ilid i st Ceste	-|-⌫|-|-⌫-⌫-|----|
ci tezs era parces troi destruitesi	--⌫--|-⌫--|--|---⌫|--|--------|-|
deltoutento utqilnesera n us	--|---|-|--⌫-||-|-|---|-⌫-|
q ii habite.	-⌫||-----||
Sei nzBeneoizrespondia u pre streetsili dis t Rome	---⌫-|------|-------|-⌫|---⌫---|-|-|-|---⌫|---|
deserteepa r	-------|--⌫|
pa iensneparSarrazinzmes eleanoientirapar tem pestes et	--⌫---|-|--|--------|--|--|---------|--|---⌫-----|-|
p arfoudresetpares cro llemenzdete re.	-⌫-|------|-|--|--⌫---⌫------|-|--⌫-||
Etcestepro ph etiei est	-|----|---⌫--⌫---||--|
mein tenantueüecar le smes o ns	----⌫-----|----|--|--⌫|---⌫-⌫-|
isont abatuesparpluis eursleu s	|---|------|--|-----⌫---|---⌫|
et l es eglissesd estruitesetli edefi	-|-⌫-|-------|-⌫--------|-|-|----|
i u on tanoienten pl uiseurs	|-⌫--⌫||-----|-|--⌫------|
Et cera contentlifrereseint Beneo itqil	-|-|--⌫------|-|----|----|-----⌫-|-||
oïrent qeseinzBe neoiz prophetizae insintcestechose	------|-|----|--⌫----|---------|-⌫-----|----|----|
Encel ten smeïsm es qe li roisThotila	-|--|---⌫|------⌫-|-|-|---|------|
estoit depar tiz	-----|-----⌫--|
d eseintB eneo itsi co mie u os ai deuant	-⌫|----|-⌫----⌫-|-|--⌫|-|-⌫-|-|-----|
ditetcontéiauoit un cler c	--|-|-----||----|-|----⌫|
en l eglis sedAquine nse	-||-----⌫-||------⌫--|
f orsdels ens p a rle deableqi molt	-⌫--|--|-⌫--|-⌫-⌫|-|-----|-|---|
griem e ntl etormen toit .	-----⌫-⌫-|-⌫|------⌫---||
Li prestresde leg li sse q i	-|-------|-||--⌫--⌫--|-⌫|
moutestoitpreudomet	---|-----|------|-|
reli gieusCostances auoitnonlauoite nuoie ́parpluiseursseinz	----⌫----|--------|----|--||----|-⌫-----⌫|--|--------|----|
le usou cors	--⌫-|-|---|
de g lorieu smartyr sreposoie ntporceqe	-|-⌫------⌫|------⌫|--------⌫-|--|-|-|
santé li fustrendu e	-----|-|---|-----⌫|
mes nepo testreqil	--|-|--⌫|----||-|
e üst santé	-⌫---|-----|
ennul leuoulenle	-|--|--|-||-|-|
me nastpor ceqe nostreSires	--⌫---|--|-|-|-----|----|
uoloitparlui	-----|--|--|
demostrer comgr antgraceilauoitd oneeaseintB eneoit	--------|--|--⌫--|----|-|----|-⌫---||----|-⌫-----|
Ilsecoucha aterr e	-|-|-----||----⌫|
se s orissons a nostreSig nor etses proieres	--⌫|-------||-----|---⌫--|-|--|-------|
liclers fu	-|----|-|
deliurésdel deableetgueriz desam ale auentur e	--------|--|-----|-|-----|-|-|-⌫--|-------⌫|
Qa ntliclersfusane z	--⌫-|-|----|-|----⌫|
de sonmeschief seinz	-|--|-------|----|
Be neoizlidistuat en et	--⌫----|-|---|-||-|-|
sigardeqeiamés	-|----|-|-----|
nemeniu cesdechar	-|-----⌫--|-|---|
et s igardeqe	-|-⌫|----|-|
iamésnapro ce saseintesor dresc arbien saces	-----||----⌫--⌫||------|--⌫---|-⌫-|---|----|
setu ordener	-|-|------|
t e fesoiesqetumeintenant	-⌫|------|-|-|---------|
seroi esrencheüzes	-----⌫-|--------|-|
lie nsaudeabl e	---⌫-|-|-----⌫|
ete nlamaleaue ntureqe t uaslonguements o sferte	-|-⌫|-|---|---⌫----|-|-⌫|-|---------|-⌫-⌫-----|
Licl ersli	-|--⌫--|-|
iltendroi t ses	-|-------⌫|--|
comande men z en totesmanieres.	-------⌫---⌫|-|----|-------||
L ors sendepartimeintenants einzeth eitiezetbien	-⌫--||-|------|---------|-⌫---|-|-⌫-----|-|---|
deceqeseinz	-|-|-|----|
Beneoizliauoitcoumandé agar der	------|-|----|--------||---⌫--|
grant tenstantcomillisouin t d ela	----|---|---|--|-|-|-----⌫|-⌫|-|
do leur qilau oit sost enuemes	--⌫---||-|--⌫--|----⌫---|--|
qant lonct ensfut r espassez et	---|---|-⌫--|-|-⌫-⌫-------|-|
ce ste c hos e fu auqesoublieeet	--⌫--|-⌫---⌫|-|----|------|-|
iluitqeliainsnédeluimoroientet	-|--|-|-|------|-|--|-------|-|
limeinsnezest oientess auci ez e tesl e uezaseintes	-|-------|---⌫----|---⌫----⌫-|-⌫|---⌫-⌫--||------|
ordresil ot	-----|-|-|
oubliees les parolesseint Bene o it	-------|--|------|----|----⌫-⌫-|
etarri eremisess ise fist o rdenera prestre et	-|----⌫--|----|-⌫|-|---|-⌫-----||------|-|
tantos tli rentra lideablesel corsqine	------⌫|-|-----|-|------|-|---|-|-|
le deguerpionquestresq at a ntquilot	-|-------|-----|----|--⌫-⌫-|-|-|-|
lame del cors g eteepargrantt rauail	|--|--|---|-⌫---|--|----|-⌫-----|
e t pargrantd ol eur.	-⌫|--|----|-⌫--⌫--||
Une autrefoizauintqeunshauz ho me	--|----|---|----|-|--|---|--⌫-|
The oprobusestoit apelezestoitr enduzen	---⌫------|-----|-----|-----|-⌫----|-|
lameson seint	-|----|----|
Beneo it et mou t	-----⌫-|-|---⌫|
auoit g rant	----|-⌫---|
fianceel seinthom e por ce quil	-----|-|----|---⌫|--|-|-|-|
lesauoitde seinte uie	-|-----|-|-----|--|
CilTheoprobus	--|---------|
entrauni or en l aceailleouliseinz	----|-|-⌫-|-|-⌫|------|-|-|----|
homfesoitses	--|-----|--|
orisson s s iletrou am outdureme ntplora nt.	-------⌫|-⌫|-|----⌫|-⌫--|------⌫-|-----⌫-||
Cil r es garda et	--|-⌫--⌫----|-|
sise te ütgrantpieceporcequil	-|-|--⌫--|----|----|--|-|-|-|
cuidoi tqe lis e inz	------⌫|-|-|-⌫-⌫--|
h o mdeüstl essie rlep lorermes	-⌫-⌫|-----|-⌫-----⌫|-|-⌫----|--|
ilnel a l essa mieadonques tost	-|-|-⌫|-⌫---|--|-------|---|
Theoprobus s	---------||
en esme rueilladurem entcar	-|----⌫------|-----⌫--|--|
seinzBeneoiz	----|------|
n auoitmieacostume	|----|--||------|
qils epleinsisten telm anieredementieresqil	|-|-⌫|--------|-|--|-⌫-----|----------||-|
deuoitfe r e se s	-----|--⌫-⌫|--⌫|
ori sson s.	---⌫----⌫||
Qantilsefues merueilliezassez ilala	---|-|-|-|--⌫----------|----|-|--|
au an tet si lidemandadont ceste dol eu rli	--⌫--⌫|-|-|-|------|---|----|---⌫--⌫|-|
cestepesanc e.	----|------⌫||
S einzBen eoizrespondi isnelemente t si	-⌫---|---⌫---|-------|---------|-⌫|-|
Beausfrere	----|----|
doleurpor ce qeceste abei ̈eqe i e	-----|--|-|-|----|----⌫-|-|-⌫|
ai feteetes tor eee tto te s	-|---|-|--⌫---⌫-|-⌫|--⌫--⌫|
les chosesqu e ie	--|-----|--⌫|-|
a uoiea oe ́smes freresapa reilliesseront tresq	-⌫---||--⌫-|--|-----|---⌫-------|-----|----|
ten s dest ruite s .	---⌫|----⌫-----⌫||
Etparlauolenténos tre	-|--|-|-------|---⌫--|
Signorseront totes	-----|-----|----|
ch osese nce s	--⌫---|-⌫|--⌫|
partiesmises esmeinsde paien se tapoines m	------|----|-|----|-|-----⌫|-⌫||-----||
Siresotroiéet qei e etmifre re	----|------|-|-|-⌫|-|-|---⌫-|
eneschapons.	-|--------||
QantT heoprobusoï ceil	---|-⌫--------|--|-|-|
liuin ta grant merue llemes labeïe	-|---⌫||----|-----⌫--|--||-----|
fudestru ite	-|------⌫--|
aprés parles	-----|--|--|
Longu eb arssi	-----⌫--⌫--|-|
co m nosbienmeïsm essauon scarla nuitmeesmeme nt qe	--⌫|--|---|------⌫-|-----⌫|--|-|---|--------⌫-|-|
seinzBeneo izotdit e ceste parol eentrerentli	----|-----⌫-|-|---⌫|----|-----⌫|--------|-|
Lo nguebarzdedenz	--⌫-------|-----|
labeï eetpristrentqa nq ilpooient	|-----⌫|-|--------|--⌫-|-|------|
trou eret abatirentles	----⌫-|-|--------|--|
mesons e t depe cierent mes onques homen	-----|-⌫|----⌫------|--|-----|---||
ipr is tr en t.	|--⌫--⌫--⌫--⌫||
E insiaemplias e intBeneoitnost re Si res ce q	-⌫---|-----||-⌫-⌫--|------|----⌫-|--⌫--|-||
ill iauoit	-|-⌫|----|
pr omiscee s t qill i garderoitse sfreres	--⌫---|-|-⌫-⌫||-|-⌫|--------|--⌫|-----|
iafustc eqe seschosesfussentdestr uites	-|---|-⌫|-|--|-----|------|-----⌫----|
par paiens.	--|-----||
Et cestechosesi estsemblablea	-|----|----|-|--|--------||
lo eureqe seinzPous fistenla nefou	|-⌫---|-|----|---|---|-|-|--|-|
tot eslesc h o sesperiren t	---⌫-|--|-⌫-⌫-⌫--|-------⌫|
etparluiorentcil	-|--|--|----|--|
