me laisié sporl	-|-------⌫|--||
toutpremi ers	---|-----⌫--|
Etrendusuoshonors uosteresetuosfi é s.	-|-----|--|-----|--|----|-|--|--⌫--⌫-|
-Sire ie ne n	|---|-|--⌫|
osoiep a rles sai nsdes o usielPo r	----|-⌫-⌫|--|---⌫-|---⌫-⌫----|--⌫|
erepou res	--|---⌫--|
nuset mal [a]aisiés.	--|-|--|----------|
CXCI I-Siref ransdamoiseusgra nt	----⌫||---|-⌫---|--------|---⌫-|
folie fessistesQu e uo suostre co nselpremi e rneme	----|--------|--⌫|--⌫|-----|--⌫---|-----⌫-⌫|-|-|
ieh istes. - Sire iene nosoiedist	---⌫-----||---|-|--⌫|----|---|
Aio ls p a rmaui e	---⌫-|-⌫-⌫|-|--⌫|
Quar iestoiesipoure squenauoied ontuiure.	---||-----|-|-----⌫|--||----|-⌫--|-----|
foiLusianeestm olt priu eus macousineOr li	--|------|--|-⌫--|----⌫--|-|------|-|-|
do ronstel	--⌫---|--|
homequimanans soit et riche[s]Queie	---|--|-----|---|-|-------|--|-|
s u ises coussinsmoi	-⌫-⌫|--|-------|--|
n e peutauoir	-⌫|---|----|
distLusianeparta nt	---|------|--|--⌫-|
g arieMa is par celsaintapostlec on	-⌫---|--⌫-|--|--|----|------||-|
requiertenG alise	-------|-|-⌫----|
E ncoream ai se miexq uene	-⌫----|--⌫--⌫-|---|-⌫-|-|
map ar teni sses.	|--⌫--⌫----⌫----|
distlapucel e orseroiegarie Se	---|-|-----⌫|-|-----|----|-|
ie s toie accor deea le	|-⌫-⌫---|-----⌫--||-|
f rancemesc ine. DamoiseledEspaigne	-⌫----|----⌫---|--------||-------|
trop uosa ifa it m arie	---|--|-⌫|--⌫-|-⌫---|
Trop uosaiore ndroit a g rant	---|--|-|---⌫-----||-⌫---|
to rtlaidengieDe	--⌫-|--------|-|
queuousaidit	--|---|-|--|
neuoscorechiésmie.Or enprendésm ondroit	-|--|---------|---|-|-|-------|-⌫-|----|
iensui preste et	|-|--|-----|-|
garnie Q uei eleuosamenc u oiantl a	-----|-⌫-|-⌫|-|--|----|-⌫----|-⌫|
bar onie.Lapucelerespon tqui	---⌫----|-|-----|------⌫|--|
fupreuset nobile	-|----|-|-----|
uouspardoing tout bele quanq ueuosmedesistes.Boine men t	---|-------|---|---|-----⌫-|--|-|--------|-----⌫---⌫|
paramor(s) ettoutsans	--|------|-|---|---|
uilonie. E[s ] lesuosacordees lé s	-------|---⌫|--|--|-------|---⌫|
lés so nt	---|--⌫-|
assisses.Grant ioie ena men e ́la	--------|----|---|-||---⌫-⌫|-|
riche comp a igni e.	----|----⌫-⌫----⌫-|
CXC III Aiol [s]pristMi rabelparle ma in	---⌫--|----⌫--|----|--⌫----|--|-|--⌫-|
blancoiantIl	---------|-|
est uen usal roi selidist	--|---⌫-|-|--|-|-|---|
e nriantFaite sbaptisiersire	-⌫|----|-----⌫|--------|---|
lefilleMibria nt.Ielecon quislautriera	-|----|------⌫--|-|-|---⌫---||------||
l achier e tal	|-----|-⌫|-|
branc. Puis enai eu	-----|---|-|-|-|
paineetanguiseetahan. Et	----|-|------|-|----|-|
respondilirois Ie	-------|-|---|-|
l otriet commanc.Al	|---|-|-------|-|
moustierSai nte	-------|---⌫--|
Croislem enerentnoFr anc.La auoitu ne kuu e	----|-|-⌫------|-|--⌫---|-|----|-⌫-|---⌫|
relu isa ntD aigu e lefontenpliret	----⌫---⌫-||----⌫|-|---|-----|-|
benei resran tSi	-----⌫|-----⌫|-|
fissentlap ucelebaptisier esra umant. La lele ua	------|-|-⌫----|--------|----⌫-----|-|-|--⌫-|
li roi setli	-|---⌫|-|-|
mieus desagentL usia n el a bele	----|-|-|---|-⌫----⌫-⌫|-⌫|---|
algentcorsau enant.	-|---|---|--⌫-----|
Aincsonnonneli u aurentcang ier net ant	---|--|--|-|-|-⌫-----|----⌫--|-|-⌫--|
ne quan t En[la ]	-|----⌫|-|---⌫|
loi cres tianelaleuontconfre mantMirab eus	--|----⌫----|-|-|---|------⌫---|-----⌫--|
ot a noni ssi	-||--|-⌫--|
co mm e deuant.	--⌫--⌫|------|
CXCI uEnsicomelefu en sain tfonsbaptisie[e]	----⌫|---|--|--|-|-|----⌫|---|----------|
enperere deFra nce	-------|-|---⌫--|
lamamoltettint chiere.I II.chitésli	|--|---|-|---|-----|--⌫--|------|-|
donariches de grantma ni ereCest	---|-----|-|----|--⌫--⌫--||--|
[T]reue[s]e tP laissenche	---------|-⌫|-⌫---------|
e t Cremoine latierce .C XCuSirec he dist	-⌫|-------|-|------⌫|-⌫--|---|-⌫-|---|
Aiolsis si	----|--⌫-|
peutil bien estreuousserésm ais	---|-|---|----|---|-----|-⌫--|
sesperessor	--|----|--|
tous homes	---|----|
te rrestre[s]Ie leprendrai a feme si	--⌫---------|-|-|-------||---|-|
me ditesl eterme.	-|----|-⌫|-----|
Et r espondiliroi sIa(n)i	-|-⌫------|-|---⌫|-|---|
meteraiterm eO c taue	------|----⌫|-⌫-⌫---|
Pentecoustelaglorieusef este	----------|-|--------|-⌫---|
Leuous donrai a fe m ea Ai s a	-|---|-----||--⌫-⌫||--⌫||
lacapele.Et Ai olssescri a	-|------|-|--⌫--||-----⌫|
a sa u oisquilotbele	|-|-⌫--|-|-|-|---|
O r mescoutéssignor franccheu al ierhonesteQu i uieut	-⌫||--------|-----|----|----⌫--⌫--|------|--⌫|----|
etargentetpail es d e B itermeEtmulset palefrois	-|-----|-|----⌫-|-⌫|-⌫-----|-|---|-|--------|
d estriersde CasteleDemainuiegne auo ec m oi etboineme nt	-⌫-------|-|------|-----|-----|---⌫-|-⌫-|-|-------⌫-|
serueEtiouiraisa isir meshonor s etme s	----|-|--|---|--⌫---|--|-----⌫|-|--⌫|
teres.CXCuI	-----|----|
respondirentl igen ti l cheualier	-----------|-⌫|---⌫--⌫|--------|
Cuiil auoit d o ne ́l	--|-|----|-⌫-⌫--⌫||
et les deniersLesmulsles palefroiset les	-|--|------|--|---|--|--------|-|--|
destrier s En non	--------⌫|-|--|
Dieu fontil	---|---|-|
s i ren ousirons	-⌫-⌫-|-⌫--|----|
uolentiersEt	---------|-|
deuerstrestoushome suostrehonor calengier	-----|-------|----⌫|-----|----|--------|
Que no uslaq uiteronsse Di euslaotroié Al	--|--⌫-||--⌫-------|-|--⌫--|||------|-|
par son laube	--|--||---|
sesontapar ellie ́ Si uont	-|---|----⌫-----⌫|-|---|
pa rlescont re eset	--⌫|--|----⌫--⌫-|-|
saisirent l esfi és Qu e tenoie ntdE lielegentil	--------|-⌫-|--⌫--|--⌫|------⌫-||-⌫--|-|-----|
che ualier.	---⌫------|
CXCu IITan tontal é	----⌫-|---⌫|--|--⌫-|
qu iluinren t	-|-|------⌫|
al achi tde Nauers.	|-⌫|---⌫|-|------|
Makaire[s] iot misPinart	---------||-|--|-----|
e tPinabelDeus felonstraitors	-⌫|------|---|-----|-------|
orgellou set engre ̀sNelorda igni erentre ndr e	--------⌫|-|-----⌫-|-|--|--⌫----⌫----|--⌫---⌫|
t an t parfurent	-⌫--⌫|--|-----|
dispers.Aiolsles	-------|----|--|
asaississenfistsi grans de ssers	|------||-|---|-|----|--⌫----|
Que.u ii.x x.e nfistpendreenpuisde Montinel	--|--⌫----⌫-|-⌫|---|-----|-|---|-|-------|
Puisamises	---||----|
sesgardes par dede nsle chastel .	--|-----|--|----⌫-|-|-------⌫|
CXCu II IAprè senest uenus aLengres	----⌫--⌫|-----⌫|-|--|----||------|
e nB ourgoinge.	-⌫|-⌫---------|
Cilquifurentdedens leliue urent et don entLes	--|--|-----|-----|-|-|--⌫----|-|---⌫--|--|
chi téliaportent encontreFeuté	---⌫--|-|-------|-------|-----|
liiurerent sideuinre ntsi	-|-------|-|-------⌫-|-|
home.Tout dr oitaBessenchonl iuint liroisencontre	----|---|--⌫--||---------|-⌫|---|-|---|-------|
apeléfierementlarai soneCom ment le	-----|--------||----⌫---|---⌫---|-|
niés-Bi enmerchi	----||--⌫-|-----|
Dieu biausoncles.Conquerrantuoisma	---|----|------|----------|---|-|
terenusnem imetcaloig ne.Qui	---|--|-|||--|------⌫--|--|
c on tr edi timet morirl	-⌫--⌫--⌫---⌫||--|----||
estu[e]tah onte. Or	-------||-⌫----|-|
manderai mon	-------|--|
pere quiluiengnede	---|-|-|------|-|
Gasconge .Il li aenuoiés	--------⌫|-|-||-------|
isn element .iii.contesDor	---⌫------|----|-----||-|
finet darg entbl an cfistc argi er.xii.	--|-||---⌫--|--⌫--⌫|---|-⌫----⌫-|----|
so mesQu enuoiea l	--⌫--|-|-----|||
erm itage droitementalsaint	---⌫----|---------|-|----|
h ome.CXCIXOrs	-⌫---|----|-||
messagequi	------|--|
n elos sent u eerLime ssageslesguie	-⌫||--⌫---|-⌫--|-|--⌫-----|--|---|
auoirot portéC Ai ols[l or]enuoia sicom	----|-|-----||--⌫--|--⌫--|-----|-|--|
oiaués. Tant	-|-----|---|
o ntpa rloriornees	-⌫-|--⌫|--|------|
esploitiéetesréuin rentaMongaiant	---------|-|----|---⌫---||--------|
o nt Elietroué L orfi n	-⌫-|---|-----||-|--⌫|
b lancont almoin e d oné	-⌫---|--|-|----⌫|-⌫---|
Por DieuetporElie	--|---|-|--|---|
fulil ieushonorés.Ilont dit a	-|-|-⌫---|--------|-|--|--||
Sire u ousenuenrésAlroi	---|-⌫--|-|------|-|--|
d edoucheFranche	-⌫|-----|------|
parnousu osa	--|---|-⌫-||
mandés Car	------|--|
iluieutestrea	-|----|----||
uous paissiésetacordés	---|--------|-|-------|
Etuostre fieus uou s mandeAiols l i	-|-----|----|---⌫|----|----|-⌫|
bacelersQ ui est	-------|-⌫-|--|
roide Fran cheacointiéset	--|-|----⌫--|---------|-|
amésSi uosmande parnous q u e	----|-|--|----|--|---|-⌫-⌫|
plusnidemorésC ar	---|||-------|-⌫-|
il arecon quistoutes uosiret e ́s.	-||-----⌫---|-----|--|----⌫-⌫--|
Quantl entendilidus	----||------|-|--|
Dieuenaaou ré( s )Signordont irai	---|-||---⌫----⌫-⌫|-----|---|---|
iou uol entiers	--|---⌫------|
etde g résSor	-|-|-⌫---|--|
.i.bo inpalefroiontfait	--|--⌫-|-------|--|---|
duc monter Quibienleportera e t am bleraassés	--|-----|--|---|-|------|-⌫|--⌫----|-----|
ducoiseleuerentsor	------|-------|--|
.i.mulafeutré. AMoysè slermiteont	--|--|--------||------⌫||-----|--|
congietdem andé	------|---⌫----|
Etcill es com ma ndaa Dieude	-|--|-⌫-|---⌫--⌫--||---|-|
m aiesté.At antontl e p ais	-⌫-------|--⌫--|--|-⌫|-⌫--|
etleres ne passé Ca rlorhe rbergeriene uous	-|-|---⌫-|-----|--⌫|--|--⌫--------|-|---|
sai r aconter	--|-⌫------|
Durem en tmen	-----⌫--⌫||-|
anoieli paisano mmer.	----|-|---||--⌫----|
Tantontpar lor	---|--|--|--|
iorneesesploitietetesre ́Q u	------|---------|-|----⌫|-⌫|
iluinrent aO r liens	-|------||-⌫-⌫----|
la mirable	-|------|
chité.D ech ou fistmolt Eli es	------|-⌫|--⌫-|---|---|---⌫-|
qu ecortoisetqueber	--⌫|------|-|--|--|
Quil uaitaSaint e Crois Dieu pr oier e tourer.	-|-|---||-----⌫|----|---|--⌫---|-⌫|-----|
.iiii. ma rsdorses amis sor	-----|--⌫-||-|--||--|--|
lau t el S ianostresignor	|--⌫-⌫-|-⌫||-----|-----|
durementaho uréDesbiensqueli	-------|---⌫---|--|----|--|-|
afaitparla	|---|--|-|
s oiebo nté.	-⌫--|--⌫----|
Alissirdelm oustier a	||----|--|-⌫------||
le roiencontréQuili	-|--|--------|--|-|
encontr eamoltriche	-------⌫||---|----|
barné.Qu antle uoitL oeys	------|--⌫--|-|---|-⌫---|
ap eléGentiexho n	--⌫---|------|--⌫|
de b oinaire	-|-⌫--|---|
b iensoi ésuos troué	-⌫--|---⌫--|--|-----|
Icilso ient ho n i etdel cors uergondéQui uous	---|--⌫---|--⌫-⌫|-|--|---|--------|--|---|
f i s sentde mo i	-⌫-⌫-⌫---|-|--⌫|
partir etdeseurerEtrespondi	-----|-|-------|-|-------|
Elieslico rtoisetli	----|-|--⌫----|-|-|
ben [e]oiscomdeserui lauésLo eys r es pondi	---⌫-----|--|------||----|--⌫--|-⌫--⌫----|
Siregr anttortaués Car ta ntgran tami fa itmals	---|--⌫--|---|----|--|--⌫-|----⌫|--|--⌫-|---|
deseure r.-Sire che dist	-------⌫-||---|--|---|
Aiolscest f ineue r it é	----||--|-⌫--|--⌫-⌫--⌫-|
Maisorp ri	---|-|-⌫-|
io um onp ere	--⌫|-⌫-|-⌫--|
parfin esamis té [s ]Et ma	--|---⌫-|----⌫---⌫--⌫|-|-|
gente queuousichi	----|--|---|---|
ueés Quiluosprient	----|-|-|--|-----|
pardo nés.Et	-----⌫----|-|
respondiAuisse uol ent ierse tde gré	-------|-----|---⌫---⌫---|-⌫|-|---|
Deuantlespié s sonfreres	-----|--|----⌫|--|----||
est aleeacline r	--|---|------⌫|
releuaentres es	-----|----|-⌫-|
brassoef Dou cheme nt lib a isaet la bo u ceet	---|---|---⌫-----⌫-|-|-⌫-⌫--|-|-|--⌫-⌫-|-|
len ésEt p uis leduc Eliepar	-|-⌫--|-|-⌫--|-|--|---|--|
finesamistés.Puiscor ut	----|--------|---|---⌫-|
la d ucoiseson enfant acoler	-|-⌫-----|--|-----|-----|
Plusde.c. f oislibaiseetla	---|-|--|-⌫--|-|----|-|-|
bouc eetlenés.Aiols afait	----⌫|-|-|----|----||---|
l e roie tsonp ere acorder	-⌫|--|-⌫|--|-⌫--|------|
Maut alentet	----⌫----|-|
iror boinementpar doner.	---|--------|---⌫-----|
Liroisli rent	-|---|-|---|
Etla se nescaudied e	-|-|--⌫--------|-⌫|
trestoutsonr esné Lesco nsausde	-------|--|-⌫----|--|--⌫----|-|
sa cambre liatout comm andésAusicomme	-|-----|-||---|----⌫-----|---|----|
d e uant l irentse s	-⌫-⌫---|-⌫|---|--⌫|
dig nités.Biausfi eus	---⌫------|----|--⌫--|
che distElie[s]moltaués bi en	--|---|------|---|----|--⌫-|
esre ́Quim aue ́s reconquiss es toutes	----⌫|--||---⌫-|----------⌫-|-----|
mesire tés	--|---⌫---|
Ersoir e stoie	-----|-⌫----|
pouresor sui	-----|-|--|
ricesassés.Monceualetmes	----|------|--|----|-|--|
ar mes uo ilor(e ) que	--⌫--|--⌫-|----⌫|--|
merendés Queuos baillaiantanelbos	-|------|--|--|------|----|-|--|
desseurer .-	---------⌫||
Si reched ist Aiol[s]onquesmais noi	--⌫-|--|-⌫--|------|-----|---||-|
Liblan s haubers	-|----⌫|------|
n elelme[s]	-⌫||------|
ne potlonges durerEtl	-|--|-----|----|-||
escu[s] et le lanchefuperdus	------|-|-|-----|-|-----|
alioster EtMar chegaiest	-|-----|-|---⌫-----|--|
morset asafi n alé s	---|-||-|--⌫|----⌫|
Pie chaquelont mengiélicienen.i.	---⌫--|--||--|------|-|---|-|--|
fous séIl nepooit maiscoretousestoitasotés.	----⌫--|-|-|----|---|---|---|-----|-------|
Quantl en tendiEliespor	----||--⌫----|----|--|
n est deruésIlapris	|--|------|-||---|
unb as to n	-|-⌫--⌫--⌫|
parsaru iste fiertéSor e	--|-|--⌫---|------|---⌫|
liestcorusquille	-|--|----|-|-|-|
uoloitt ue rLechier edistlidus marl os sastes	-----|-⌫--⌫|-------⌫|---|-|--|--||--⌫-----|
QueMarchegaifumorsm esdestriers seiornésIamais	--|--------|-|---|-⌫-|--------|--------|-----|
boins ne sera recourés.	----|-|---|---------|
Iss iésforsdema te r eia	---⌫---|---|-|-|--⌫-⌫|-|
pla inpié nentenrés.Cuidi és uos	---⌫-|---||-|-------|-----⌫--|--|
fauslechieresfol glous	---|--------|--|----|
desmesurés Por uo (u )scauces percies etpo uruo sp ains	----------|--|--⌫--⌫-|-----|------|-|--⌫-|--⌫|-⌫---|
sole rsEtporu osblon s	----⌫-|-|--|-⌫-|----⌫|
cauex que faitesco rdou ner uos	----|--|-----|--⌫----⌫--|--|
soi ésr i cheshonet	---⌫--|-⌫-⌫---|--|-|
iemusarsclamésLi barnagesdeFra nces	-|-----|------|-|-------|-|---⌫--||
encommenceagab er	-|-------||---⌫-|
M eismesLoeysenaun	-⌫-----|----|-||-|
risie té.	--|--⌫---|
QuantAi olsuitsonpere	----|--⌫--|--|--|---|
enuers lui	-----|--|
airé I snelemente tt ost	----|-⌫--------|-⌫|-⌫--|
li estalpietaléSire m erc hi	-|--|-|---|---|---|-⌫---⌫-|
porDieuc he	--|---|-⌫-|
distAi ols	---|--⌫--|
berLeceual	--|-|----|
etlesarme suos	-|--|----⌫|--|
quic enc or(e)mos trer.	---|---⌫----|---⌫----|
I l lesfisten laplache	-⌫|--|---|-|-|-----|
trestoutesaporter Aiols les	---------|------|----|--|
f aitesric hement	-⌫----|---⌫-----|
atornerDef inoretdargentrichement	------|-|-⌫-|-|-||-----|--------|
acesmer Seli fistdeuantluiMarchegaiamener .	------|-|-|---|-----|--|--------|------⌫|
Li ceualsestoitcras	-|-----|-----|---|
siotplainslescostésC ar	-|-|-----|--|------|-⌫-|
Aiol sl auoitfaitl ongeme nt seiorner En .ii.	----⌫||----|---|-⌫------⌫-|-------|-|---|
argent liafai t	-----|-||---⌫|
ame ner.Et Eliesenpuingeson herminengoulé	---⌫---|-|----|-------|--|-----|-------|
Leceualapla noielesflans	-|----|----⌫---|--|----|
et lescostés.CC Aio l s	-|--|-------|-|---⌫-⌫|
neuaut te nchierne coser	-|---|--⌫-----|-|----|
aso npereM ar chegaili amainepar	|--⌫|---|-⌫--⌫-----|-|-----|--|
le resne doreeLaube r cetle	-|----|----||----⌫-⌫|-|-|
b lancelmeetlatrench ant	-⌫---|---|-|-|------⌫--|
esp eeLatarg eque onuoitmoltbienenlum in eeEt	---⌫-|-|----⌫|--|-|---|---|---|-----⌫--⌫-|-|
l anceforbi eetmo ltb ienace s meeSireueschiles	-⌫---|-----⌫|-|--⌫-|-⌫--|---⌫-⌫--|---|-----|--|
uosmauésdonees Faites e nt uo	--||----|-----|-----|-⌫-|-|
plaisir et quanqueuo us	------|-|------|--⌫-|
a g ree . - B iausfieusch e	-⌫-⌫---⌫||-⌫---|----|--⌫|
di st Elie squite[s ]uossont	--⌫-|----⌫|-------⌫|--|---|
clame[es] I eferai b ienquerreautrestost	--------|-⌫|----|-⌫--|-----|-----|---|
apreste[es ].Por Di eu	----------⌫-|--|--⌫-|
nefailliésm ienem oine	-|--------|-⌫-|-|-⌫-|-|
uostrem ere.	-----|-⌫---|
- SirechedistAiolsne	|---|--|---|----|-|
plac e aDieumo n pe re	----⌫||---|--⌫|--⌫-|
enmonuiuantne denierne	-|--|-----|-|-----|-|
denreeQue uous	-----|--|---|
ne nsoiés	|-⌫|-----|
eled ame cla mee Ançois uosseruira i comhonsdau tre	--|-⌫--|---⌫--|------|--|-------⌫|--|---||--⌫--|
contre e uostreesttoute late requeiou	------⌫|-----|--|----|-|--⌫-|--|--|
aiconquestee.	-|----------|
Aiols lifieus Eliea sefemeroueeAlfort	----|-|----|---||-|---|----|-|---|
roiLoeyscu i ill	--|----|--⌫|-||
o tc ommandee.D unecambreperine	-⌫|-⌫--------||--|-----|-----|
on a meneeAioie	-|-⌫----||---|
baudorlale io respouse e Larcheuesque d e Rains	-----|||-|--⌫|-------⌫||----------|-⌫|----|
mesecanteeLeior fuMirabie usbeneiteet sacr eeA	---|-----|-|--|-|-------⌫-|------|-|----⌫-||
issir delmoustierl	----|--|-------||
. i.mulleuee.Par desor unemule	-⌫-|--|-----|--|----|--|---|
richementafeutreeSorla san bu e	--------|-------|--|-|---⌫--⌫|
aorfu la dame p ossee	|-|-|-|---|-⌫----|
Et issentdelauile siacoillent	-|-----|-|-|---|-|--------|
l estre[e].	|--------|
Ienesaipas	-|-|--|--|
lecontedeca scuneiorneeMais tantontc e ualcié	-|----|-|--⌫----|-----|---|---|--|-⌫-⌫------|
m atineeC aLengre se n Bo rgoinge	-⌫-----|||------⌫|-⌫|--⌫------|
sontle sn oces	---|--⌫|-⌫---|
CarAiols es toitsir es de	--|----|--⌫---|---⌫-|-|
co ntree .N e u autfaire	--⌫-----⌫|-⌫|-⌫--|----|
sesno c es	--|--⌫-⌫-|
enlegran ttorquarree	-|-|----⌫|--|------|
Nenm aison	|-|-⌫----|
nencha st el	|-|---⌫--⌫-|
neensalepaueeAins	-|-|---|----|---|
lesfi s tdesous Lengres enunelarge	--|--⌫-⌫|-----|------|-|--|----|
pree. La pe usiésuei rmaintea ucubeleueeEt mainteriche	----|-|--⌫-----|---⌫|-----|-⌫----|----|-|-----|----|
e t d arg ent	-⌫||---⌫--|
frese e.Moltsontric esles	-----⌫-|---|---|---⌫-|--|
.xu. iorsontdur ee Maisains quele[s]	---|---|--|---⌫-|---|---|-|-----|
departentser ont	--------|---⌫--|
chiercomperees. Depri sonist	----|---------|-|---⌫--|--|
Makaires li traitresliler es	-------|-|-------|-|---⌫-|
Pa rle conselas	--⌫|-|-----|-|
gardesqu en ontprisgrans	-----|-|-|--|---|----|
Tant a esre ́li gl ousqu	---||----⌫|-|--⌫--|-|
il uint ens acontree	-|---|-|-⌫|------|
deuerslui.iii.chi tésrecoureesLos aneet Osteun et	-----|--|----|---⌫---|--------|---⌫--|-|-----|-|
Cr emoigneleleeMande les sa udoiersdeto utele contree	--⌫------|-|--|----|--|--⌫------|-|--⌫--|-|------|
Moltauoi tgran t tresso rsilordone	---|----⌫|----⌫|------⌫|-|--|---|
saudees. Lonbartet	-------|------|-|
Bor gengo non tgra nt	---⌫-----⌫|--⌫|---⌫-|
ientrec oureeTan tquilsont .xxx .m.	---|---⌫----|---⌫|-|-|---|----⌫--|
cascun s l a testearm eeQui sontue nuaLengres	------⌫|-⌫|----|---⌫-|--|---|--⌫-||------|
matinee M ak aires li	------|-⌫--⌫----|-|
trait res dessendie nla pre ePor	-----⌫--|-------|-⌫|-|---⌫|--|
baronsre quere	-----|--⌫----|
ase gentordeneeIaseruiront	|-|---|------|-|--------|
as neucesal	-|-----|-|
tranchant delespee.	--------|-||-----|
CCISo usLengre senBorgoinge en	--|--⌫-|------⌫|-|--------|-|
.i.brelle tfoil l u(s)Quifu difetdauborc	--|------⌫|----⌫-⌫---|--|-||-|-||-----|
et d oliuier	-||------|
ramusMakaireslitrai tres est	----|-------|-|----⌫---|--|
apié desse ndus.Il a	|---|-----⌫----|-||
asesh omesMoltmes t malauenu	|--|-⌫---|---||--⌫|--|----|
Cil L oeysdeFranchem a	--|-⌫---|-|------|||
mor te tc onfonduTolue m a	---⌫|-⌫|-⌫------|----|||
[ma] t err eautreen	---|-⌫---⌫|----|-|
a reuestu .	|-------⌫|
-Siredient	|---|----|
s ih om eporcoi tesmaiestuuois	-⌫|-⌫--⌫|--|--||------|-|---|
enlortentesbau s etliésetseur[s]	-|--|-----|---⌫|-|----|-|------|
Setupeus A iol	-|-|---|-⌫--|
pre ndre le matinsoit pendus Puiss ailliren tesselles	---⌫---|-|----|---|-----|---|-⌫--------⌫|-|-----|
auferanskernu sIa seruir ont asnocesas	-------|-----⌫|-|------⌫--|-|----|-|
boinsespieusmolus .	----|------|-----⌫|
Maisi lfi ssentque follikaitif	---|-⌫|--⌫----|--|--|-|-----|
malos tr uC ar l enper ere s	-----⌫--⌫|-⌫-||-----⌫---⌫|
ert leiordeuantuenusA.uii.c.cheualiers lesblans	--|-|--|-----|----||------|---------|--|----|
CCIIDede nsle treft endu seiut Ai ol[s]le	---|----⌫-|-|---|-⌫---|-|--|--⌫----|-|
Deiostesa molliersi	------|-|------|-|
comfaired euoit.Mais de chefist li	--|----|-⌫-----|---|-|--|---|-|
berque preusetquecor toisQueilse	--|--|----|-|--|---⌫---|--|-|-|
fistgait i erbiena	---|----⌫-⌫-|---||
.u.c. F rançois.Quantilui r ent les	----|-⌫--------|----|-|--⌫-⌫--|--|
lorsisontengrant	--|-|---|-|----|
e sfroiPordesfendrelorcors se	-⌫----|--|--------|--|---|-|
tindr e n ten conroi.	-----⌫-⌫-⌫|-|------|
Makairesp ointetbroc esiuait ferirIofro iUn	-------|-⌫---|-|----⌫|-|---|----|-----⌫|-|
cheualierqui dOrliens	--------|--||------|
nésestoitMeruelleus co plidone	---|-----|---------|--⌫|-|---|
son escua droitQuillifent	--|---||----|-|-|-|---|
et pe çoie etdela uberc	-|--⌫----|-|-||-⌫----|
plois Par mi legrosde l ceur	----|--|-|-|---|--⌫|---|
lipasele fe rf roitToute	-|---|-|--⌫|-⌫---|----|
plaine salancel abat m ort	-----|-|----||---|-⌫--|
demanois. Moltenfure ntdolant	--------|---|-|----⌫-|-----|
corecietFrançoi sCa rilertsene scau sLoeys	-------|--------⌫|--⌫|-|--|----⌫----⌫|----|
nostreroi(s).	-----|------|
Et L onbart s auan chi[e]r entparfo rce	-|-⌫-----||----⌫-------⌫--|--|--⌫--|
etp a r pooir Lefeu	-|-⌫-⌫|----|-|--|
boutentesl oges siles	------|-|-⌫---|-|--|
fissent ard o irFrançois quide dens	------|---⌫-⌫-|--------|--|--⌫---|
furentenson t f ormentdestroit.	-----|-|---⌫|-⌫-----|--------|
C CIII I ose rans d e Paris	-⌫---|-⌫---⌫---|-⌫|----|
u itmordrirsonpa rent	-⌫-|------|--|--⌫---|
Loraalceur	--||-|---|
telireporpo i dire	--|--|--|--⌫||--|
ne fent .Le	-|----⌫|-|
des trierpoint	---⌫----|----|
et br ochequi	-|--⌫---|--|
neua mielent	-|-|--|---|
Et uaitferir	-|---|----|
Be uond e uiane esraumentQuele scudeson	--⌫--|-⌫|----|--------|--||-⌫--|-|--|
lipeçoieetporfentEt lauberc	-|------|-|------|-||-----|
de s ondoslidesmaille et	-|-⌫-|--|-|--------|-|
desme nt Parmileg rosdel ceursonroitespiel	-----⌫-|--|-|-|-⌫--|--|---|--|---|-----|
Tout e pl ai ne salanche	----⌫|--⌫--⌫-|-|-----|
labat imort s anglent.Manesier[s]q ui	|----⌫|---|-⌫-------|----------|-⌫-|
lesgar d eses frere enfudolentIliur eDameldé	|-----⌫-⌫|--|----|-|-|-----|-|---⌫|-------|
omnipotent Que ia lecomperaIoseranssilaten t . CCIu	---------|--|-|-|------|-------|-||----⌫-⌫|---|
Manesier[s ]point etbrocheparle camptousmarisuait	----------⌫|----|-|-----|----|---|---|----|---|
e nle scuIoserant	-⌫||-⌫--|-------|
d e ParisDe sorla	-⌫|----|--⌫--|-|
bou cled orli a	---⌫--||-|-||
mal misEtlaubercde	---⌫--|-||-----|-|
dess arti(s)Parmioutrelecorssonroit	----⌫------|--|-|----|-|---|--|---|
espie lli mist	-----⌫|-|---|
To ute plaine sala nchelabatim ortsouin	--⌫--|-----|-|--⌫---||----|-⌫--|----|
Puisesc rie	---|---⌫--|
sens engeCheualierf e re ́siCC u	|---⌫---|--------|-⌫-⌫--⌫-||--⌫|
Loeyspoint et	----|----|-|
br ocheli fie x	--⌫---|-|---⌫|
leroi Charlonu aitferirenl escu Oedo n	-|--|------|-⌫--|----|-||---|----⌫|
Borgeng on Desorlab oucl e d or lipeçoie	-------⌫-|----|-|-⌫----⌫||-|-|------|
etco nfont	-|--⌫----|
desondoslidesmailleet desron t Q uetre ́spar	-|--|--|-|--------|-|------⌫|-⌫-|---⌫-|--|
fer etpingon Toutepla inesal ance	--|-|-----|----|---⌫--|-|-⌫---|
arçon.Moltenpessaso nfrereGarin	------|---|-|----|--⌫|----|----|
deMonloonEt	-|------|-|
uaferirler oi en	-|----|-|-⌫-|-|
lescu a lionQue	|---||---|--|
ce ual abati	--⌫--|----|
e n .i .m ont.Loeyssautenpie ́straitl e	-⌫|--⌫|-⌫---|----|---|-|---⌫-|----|-⌫|
sor sonciefson escualionCui	--|--|---|--|---||---|--|
