mes siresainza nthoinesfu	--|---|----|-⌫-------|-|
qu eli de able	--⌫|-|--⌫---|
rasembleren t etui nren ta mo i	-----------⌫|-|--⌫----⌫||--⌫|
tuitensembleo sigrantcl arte	---|-------||-|----|--⌫---|
grantlumierequecen ertsi	----|------|--|-||--|-|
m er uo i lle nons idistrent	-⌫--⌫--⌫-⌫--|--|-⌫|-------|
an thoine s nossonmes uenuz a toi	--⌫------⌫|--|-----|----||--|
demostre rc om	--------⌫|-⌫-|
cl erzetrespl endissantquantie	--⌫--|-|-----⌫--------|----|-|
loroic edire	--|-|-⌫|---|
mes ialz por	--|---|--|
ceque iene	-|--|-|-|
mieregarderla	--|-------|-|
d o diable	-⌫|-----|
coc haiieen	---⌫--|-|-|
or oison sar rie reettantost	--⌫-----⌫|--⌫---⌫-|-|------|
com ioioréfu	--||-|---|-|
cel eclartez	---⌫|------|
este int eapres	----⌫---⌫|----|
ceunpet itde	-|-|---⌫-|-|
ueno ient il deuant moiet	----⌫---|-|-----|--|-|
parloientdesescritures	--------|--|---------|
pasoirne entendrene qunssor z	--|--|-|-------|-||--|---⌫|
etmaintesfoizm	-|------|---||
ilabatumon habitacleet	-|----|--|--------|-|
ereenfermepensee	--|-|----|-----|
etfaisoiean ostr e seigno rm es	-|------||-⌫----⌫|------⌫|-⌫-|
o ro isons etmespro ieresetmaintes	-⌫--⌫----|-|--|---⌫----|-|------|
foizuntilfaitdeuan t moi	---|--|-|---|-----⌫|--|
chiffloise tl orsa uz	--------|-⌫|-⌫-|--⌫-|
buri sseme nzetlornoises et ma intes	----⌫-----⌫-|-|--|-----|-|--⌫----|
foiz les ai	---|--|-|
ieoizplorer	-|--|-----|
etplaindredementiersqueied isoie	-|-------|------------|-|-⌫----|
mespsalmes etsimecroez	--|------|-|-|-|----|
enco rm ibel	----⌫|-⌫|--|
ce queieuos	-|--|-|--|
dirai ie uiqu e li	----|-|-|--⌫|-|
uint unefoiza moigran z de cors	---|--|---||--|----⌫|-|---|
etbia us etsi	-|---⌫-|-|-|
ila uoitlauertudede et	-|-⌫---|-|----|-|-|-|
la prouidenceetpuissi dist	-|---------|-|---|-|---|
tuqu eiete	-|--⌫|-|-|
doins equan t ie li	-----⌫|----⌫|-|-|
dire i eli	---|-⌫|-|
esu ch aiyyfoi z emison uiare	---⌫--⌫-|-|---⌫|--|--|----|
moi losignedela	--|-|----|-|-|
ueraiecroiz et pu is li corusore	-----|----|-|--⌫-|-|---|---|
etil fuinel sisaili	-|-|-|---|-|----|
dentr emesmains sitint sauoie	|----⌫|--|----|-|---|-|---|
tel foi zai ieieuné	--|---⌫|-|-|-----|
moienguisedemoinesim	--|-|----|-|----|-||
ap or toi tpainetm amone sto it	--⌫--⌫---⌫|---|-||-----⌫---⌫-|
que iem enalasse etqueie	--|-||-|-----|-|--|-|
eu ssepitiede	--⌫--|----|-|
m oncorsqui mar	-⌫-|---|--|--|
d isoitdon	-⌫----|--|
homet plains de	--|-|-----|-|
frag ilite	----⌫----|
humainereposetoiunpoidepen an ce	------|-----|--|-|--|-|---⌫--⌫-|
parlo t raua il	--|-|-⌫----⌫-|
nechiec eenmaladie	-|-----⌫|-|------|
oice dire ieloregar da i	-|-|---|-|-|-----⌫--⌫|
uiaires iuitanto st	-----|-⌫|-|-----⌫-|
d eserp ent	-⌫|----⌫--|
totebloieet me rguilliede	---|----|-|--⌫-------|-|
maintenant	---------|
i ec or ua oroi sonsfa ire	-⌫|-⌫--⌫||----⌫---|--⌫--|
si c omiea c os tumel auoie	-|-⌫-|-||-⌫--⌫---||----|
t antostu iie	-⌫-----|-⌫|-|
qu ilsesuanuit	-|-||-------|
par unefen estre	--|--|---⌫----|
ausicom mefu miere	---|---⌫-|--⌫----|
el desertm eismementmetemptali	-|-----|-⌫--------|-|-----|-|
ennemis p ar	------|-⌫-|
ilmecuidadecoiureetsine	-|-|----|-------|-|-|-|
den oipas auo squeli	---⌫-|--||--⌫|--|-|
m aientbatu	|----|---|
maint es foiz	-----⌫-|---|
endementiersquilmebatoient	-------------|-|-|-------|
ie a hau teu oizqueuo s	-||---⌫-|-⌫--|--|--⌫|
porroizde seurerde lacompaignie	------|--⌫-----|-|-|---------|
dei esucrist	-|-⌫--|----|
et q uantilmoioient	-|-⌫---|-||------|
ce dire si	-|---|-|
e tf orsenoient etlorsles	-⌫|-⌫---------|-|---|--|
enchaucoit nostreseignorpar	---------|-----|------|--|
commandementmibelfer e	-----------|-|--|---⌫|
etditotsicomil	-|-|--|-|--|-|
mes tauenu po rce que	|--⌫|----|--⌫|-|--|
diableneespoenteme nzne	-----|-|----------⌫-|-|
lastez uospuist g iterde uoz	-----|--|----|-⌫---|-|--|
proposemenz q ue	----------|-⌫-|
entreprisafaireet qui	--------||----|-|-||
uosensoueigne	--|-|-------|
mie queleschoses	--|--|--|-----|
n e s oientue rais	-⌫|-⌫----|--⌫---|
que ie uos ai dites	--|-|--|-|----|
etsachiez bie nquetel foiz	-|------|---⌫|--|--|---|
hurtaliennemisa luis	----|-|------|||--|
demacelleque	-|-|----|--|
ieissifors s i	-|---|---|-⌫|
u iun homnoiret lai t e t	-⌫|-|--|---|-|---⌫|-⌫|
qui lsembloit que sa	-|-⌫|-------|--|-|
t esteauenistiuques auciel	-⌫---|------|-----|-|---|
ie lidemandaiquiil esto itil	-|-|-------|--|-|----⌫-|-|
res pondiqu ilert	---⌫----|-|-|--|
qui e rs ci etqu i	---⌫-⌫-|-|-|-||
astuafaireil me	-|-||----|-|-|
res pondiporquoimeblas ment	---⌫----|--|---|-|----⌫---|
heentl imoineetporq u oi	----|-⌫|----|-|--|-⌫-⌫-|
memaud i enttuitlipueple de s	-|----⌫-⌫--|---|-|-----|--⌫|
c restiensied i qu	-⌫-------|-|-⌫|-|
droit qua r	----|---⌫|
tunecess esu nques	-|-|----⌫-|-⌫----|
elsguerroierpo relsde struire	--|--------|--⌫|--|--⌫------|
ilme re s po ndi etsi distce	-|-|--⌫-⌫--⌫--|-|-|---|-|
fasie mieai nzfont	--|-|--|--⌫-|---|
il cem eismes ienai	-|-|-⌫-----|-||-|
demorerent err enei e netieng	------|-|-⌫---⌫|-|-⌫|-|----|
citenuleieaiper dumaforce et	---|---|-|-|---⌫-|-|----|-|
toz mesengins	--|--|-----|
qua r li non s deiesuscris t est	---⌫|-|---⌫|-|----|----⌫|--|
reclamezpartotesnacions	-------|--|----|------|
etparto tescontre es	-|--|--⌫--|------⌫-|
et limoine	-|-|----|
maignent esdes erz	-------|-|---⌫--|
abiten te tielorproiquil	------⌫|-⌫|-|--|---|-|-|
memau dients anz	-|---⌫----|-⌫--|
quantieoilenne mi ens iparler ie	----|-|-||----⌫-|---⌫|-----|-|
memerueillai multsili	-|---------|---|-|-|
nes t miep aruerite	|--⌫|--|-⌫-|-----|
toisoit misequaril nenma	--|---|---|---|-||---|
t u asregehi	-⌫|-|-----|
la par oleq ue	-|---⌫--|-⌫-|
tuasdite sansmencon ge	-|-|---|---|------⌫-|
ca rsanz dote c estu oirs q ue	--⌫|---|---||--|-⌫---|-⌫-|
ie su cristac onfondue s	--⌫-|----||-⌫--------⌫|
tes forcesapa inesoi ie ma	--|-----||--⌫---|-|-|-|
paro lep ardit e q uan til s	----⌫-|-⌫-----⌫|-⌫---⌫|-||
d edeuant moi	-⌫|-----|--|
porlen on del	--|-|-⌫-|--|
saua orq u	----⌫-|-⌫|
etu o smi belfrere quel s peors	-|-⌫-⌫|-|--|----|----⌫|----|
porrado renauantentoruos	----|--⌫-------|----|--|
remanoirquiauez oietentenduces	-------|--|---|-|-|------|--|
chosess oie ztuit	-----|-⌫---⌫|---|
s eurem e ntnenepense zmie	-⌫-----⌫-⌫-|-|-|-----⌫|--|
cho sesne dot ez	---⌫--|-|---⌫-|
u nquesque lienemispuisse fai re	-⌫----|--|-|-----|-----|---⌫-|
desco uenue	-----⌫----|
nos tre siresquenusseruo nmes	---⌫--|----|--|--|-----⌫---|
ie rten nos	--⌫-|-|--|
sicom iln osa	-|--|-|-⌫-||
p romis etno sgarderadetozle s	-⌫----|-|--⌫|------|-|--|--⌫|
eng insau dealequarli deables	---⌫--|-|----|---|-|------|
meismesregehi tquilne puet	------|------⌫|-|-|-|---|
nule chosef aire contre lescrestiens	---|----|-⌫---|-----|--|--------|
orm et en t li cr estienetlimo ine	-|-⌫--⌫--⌫|-|--⌫-----|-|-|--⌫--|
ettot esg enzdereligion	-|---⌫-|-⌫--|-|-------|
lorcure san ost reseignorserui rs i	--|----⌫||-⌫---⌫-|------|-----⌫|-⌫|
ilnedoinsent	-|-|-------|
f orceau diable par	-⌫---|-|-----|--|
lesmausqu il	--|---|-|-|
fa cen tquarseli	--⌫---⌫|---|-|-|
en nemisnostroueen mauesses	--⌫----|--|----|-|-------|
pensees iln osasa udra	------|-|-⌫-|---⌫---|
enplusors menieresetse il no s	-|------|-------|-|-|-|--⌫|
pu eentdeco iurelesar mes	--⌫---|----⌫---|--|--⌫--|
l ocomparront	-⌫|---------|
parme nab lementetnos	-----⌫---⌫-----|-|--|
some shaitié	----⌫|------|
nostreseig noreten couoi tise de faire	-----|----⌫--|-|-|-----⌫---|-|----|
bone shue ures ian e	----⌫|---⌫---|-|-⌫|
deab lequin o s	----⌫-|--|-⌫-⌫|
aproismier puisque nos	---------|------|--|
misesnozesperancesennostre seignor	----|--|---------|-|-----|------|
qarbien sachiez	--|---|------|
mibel fre re quel ie nnemiss	-|--|---⌫-|--|-⌫|-⌫-----||
enfui ensus de iopquantil e	----|----|-|--|----||-⌫|
troua siconfermé en n ostre	----|-|--------|-|-⌫----|
seig noret sa ucune	----⌫--|-||-⌫----|
uisiuns nos	------|--|
uientparaue nture	----|--|---⌫----|
de mandez ardi ement	--⌫-----|----⌫----|
qu iel e est	--⌫|--⌫|--|
dontel euient et qu e le uet	---|--⌫|----|-|-|-⌫-|--|
que rantsece est	---⌫---|-|-|--|
sainte chosesienaiezgr ant ioie	-----|----|-|-|---|--⌫--|---|
nen aiezmiep e o r	-||---|--|-⌫-⌫-⌫|
nedotan ceetsec e	-|-----⌫-|-|-|-⌫|
esttemptacions	--|----------|
dediable e lle	-|-----|-⌫--|
seratostesuanuiep arlosigne de	---|---|-------|-⌫-|-|----|-|
lasaintecroiznostre seigno r	-|-----|----|-----|------⌫|
etpar uoz bo nes	-|--|--|--⌫--|
hu eures omibel frere	--⌫----||-|--|----|
or u os souieigne des	-|-⌫-|--------|--|
parol esqueieuoshaiditessi	-----⌫-|--|-|--|--|----|-|
retenez entelmaniere	------|-|--|------|
qu e uosenpeuss oituenirenla	--⌫|--|-|-----⌫--|----|-|-|
gloir e desciexa la destre	-----⌫|--|---||-|-----|
pa rtie nost rese ignoriesucristqui	--⌫---|----⌫-|--⌫----|---|----|--|
pa rmenable ment	--⌫--------⌫---|
quantsaintanthoines	----|----|--------|
otpar léa	-|---⌫--||
sesfreresilse tuit et tres tu it	--|-----|-|-|---|-|----⌫--⌫-|
freresesleescer ent et	----||---------⌫--|-|
esioirent por lesbo n nesparolesqu	--------|--|--|--⌫-⌫--|------|-|
auo i entdosaint	---⌫-⌫--|-|----|
home oiessiqu il	---|---|-|-|-|
enfurentcon fortéet	-|-----|---⌫-----|-|
con fe rmé	---⌫--⌫---|
en lafoi nostre seignorenmaintes	-|-|--|-----|------|-|------|
menieresensicroissoitlauert u	-------|---|--------|-|----⌫|
de bie nfaire achacun parl	-|---⌫|----||-----|--||
a mone steme n ts ai nt	-⌫----⌫-----⌫-⌫|-⌫--⌫-|
ettuitensemble saco rdo ientet	-|---|-------||---⌫---⌫---|-|
conf ermoi e nta ceque	----⌫-----⌫-⌫-||-|--|
doteroientles agaizde l	---------|--|----|-||
e nnem ie t si semeru illoient	-⌫----⌫|-⌫|-|-|----⌫-------|
mult deceque nostresir esauoita	---|-|-|--|-----|---⌫-|----||
sai nt an thoinesi gran t	---⌫-|--⌫-----|-|----⌫|
graice d one e	-----|-⌫---⌫|
montaignedesertauoit	--------|-----|----|
plusorsc ellesquareles	------|-⌫----|---|---|
erentense men testab li escomme	----|----⌫---⌫|-----⌫--⌫-|----|
unepresdelautre	--|---|-||----|
etmult auoit deden zdesainzhome s	-|---|----|-----⌫|-|----|----⌫|
quilisoientetoroient	--|-------|-|------|
etren do ient g raicesanostr e	-|---⌫--⌫---|-⌫-----||-----⌫|
seig noret loen ge set ie un oient	----⌫--|-|----⌫--⌫|-|--⌫--⌫----|
eterent en	-|----|-|
uelles nene	-----|-|-|
pensoi ent a	------⌫--||
autreco uoit ise quea	----|--⌫----⌫--|--||
charite etmi sericorde etqueushom	------|-|--⌫--------|-|----|--|
qu i ueistcele	--⌫|----|---|
c onpa i gnieet esgard astdont	-⌫----⌫-⌫---|-|------⌫--|---|
c h ac unsp ensoitettend oita	-⌫-⌫--⌫--|-⌫-----|-|----⌫--||
bien fa ire	---|--⌫--|
q uineloast	-⌫-|-|----|
gr acia stno streseignorc e ne	--⌫----⌫-|--⌫---|------|-⌫|-|
nus crest iensq ui ennos tre s eignor	--|-----⌫---|-⌫-|-|---⌫--|-⌫-----|
eus tfiance	---⌫|-----|
dementiersque l asainteconpa ignie	------------|-⌫|-----|-----⌫----|
croisoitpluset plus sainz	-------|---|-|---|----|
anthoinesquid espisoitlauanite	--------|--|-⌫-------|-|-----|
decest e presente ui eet	-|----⌫|-------|--⌫|-|
recordoitensoncuerla uie	--------|-|--|---|-|--|
parmenab le sestoittraiezensus	--------⌫-||-----|-----|----|
aut res fre resp or	---⌫--|---⌫--|-⌫-|
traueillierplus	----------|---|
griemen tsoncors	-------⌫|--|---|
aus i co m	---⌫|--⌫|
eu stp et it debien	--⌫-|-⌫--⌫-|-|---|
fai z toz tens	---⌫|--|---|
ca en arr iereetquantt alen t	-|-|---⌫---|-|----|-⌫----⌫|
lipre no itdemengier	-|---⌫--⌫-|-|------|
oude dormir	-|-|-----|
oud eb oiur epo rsoncors	-|-⌫|-⌫----⌫|--⌫|--|---|
soste nir ilenn	-----⌫--|-|--|
auoit gran thon te	----|----⌫|---⌫-|
p orcequesacharsq uisi	-⌫-|-|--|-|----|-⌫-|-|
petit terme	----|----|
auo itadurer	---⌫-||----|
destrai gnoitsarme qui	-------⌫----||---|--|
sireauoitdonnee	---|----|-----|
fra nchise de	---⌫-----|-|
u iur ep armenablement sou ente sfoiz	-⌫---⌫|-⌫------------|---⌫----⌫|---|
auenoitque sai nza nt hoines	------|--|---⌫-|-⌫--⌫-----|
aloitmen gierouec sesfreres q u il	----|---⌫---|---|--|-----|-⌫|-|
gost oit pointde la	----⌫--|----|-|-|
uiande q uil li	-----|-⌫--|-|
estoitdeuant misepor s on cors	-----|-----|---|--|-⌫-|---|
destraind reporcequi len	---------⌫-|--|-|-|-⌫|-|
espiritu eluiandeets ouentes	--------⌫-|-----|-|-⌫------|
foiz mainioit il sels	---|-------|-|---|
so u entesfoiz	--⌫-⌫----|---|
ensemblesesfrer espor	-------|--|----⌫-|--|
e lsconf orte ret	-⌫-|----⌫----⌫|-|
conf ermer e nb onn es ue res	----⌫----|-⌫|-⌫---⌫-|--⌫--|
ete nsa inte s parses	-|-⌫|--⌫----⌫|--|--|
paro les etdement iersq uilde manoit	----⌫--|-|------⌫-----⌫|-|--⌫-----|
disoitilquonne	-----|-|-|-|-|
miedetot locorsoc irec ar	--|-|--|-|---|--⌫--|-⌫-|
seroi t contr e lauolente do criator	-----⌫|-----⌫|-|------|-|------|
neneloudeuo itlen mietant	-|-|--|----⌫-|--|--|---|
rae mplirqu	---⌫----|-|
ilfustsormo ntez	-|---|-----⌫---|
uice e tque l ameenfust menee	---|-⌫|--||--|-|---|----|
enfer etdisoit	----|-|-----|
es toitledenostresei gnor q ui	--⌫---|-|-|-----|---⌫---|-⌫-|
m ieestre gran t cur equenmeni ust	-⌫-|----|----⌫|---⌫|-|-|----⌫--|
ne quelen uesteque	-|--|--|----|--|
siressetbienque detot	----|--|---|--|-|--|
alonbeisonget diso it	|--|------|-|----⌫-|
encoresainz antho in esasesfreresce	-----|----|-----⌫--⌫-||--|-----|-|
estadirequerez	--||---|-----|
p remiersloreigned e deu etsa	-⌫------|-|-----|-⌫|--|-|-|
iusti seettotesces c hoses	-----⌫-|-|----|--|-⌫----|
uosserontde uantmisesne	--|-----|--⌫---|----|-|
aurezde faut enebeso ig ne	----|-|----⌫|-|----⌫--⌫-|
dont i l ne uossecore	---|-⌫|-|--|-----|
adonte nceltempore est oitlagranz	----|-⌫|--|------|---⌫--|-|----|
perse cucionsenalixandre que	-----⌫------|-|--------|--|
mauximi ensliempereres	-------⌫--|-|--------|
sorsainteigl esequa r u os	--|-----|---⌫--|---⌫|-⌫-|
bien oidire que par tot	---|-|---|--|--|--|
ooitparler decrestiensqu	---|-----|-|--------|-|
illes faisoit o c i re	-|--|------|-⌫-⌫-⌫-|
ant hoinesquice sten ouellequenut	---⌫-----|--|--⌫--|-⌫-----|-----|
s ot degu e rp i sa	-⌫-|----⌫-⌫--⌫|-|
ala celepa rtpor re coiure	--|---|--⌫-|--|--⌫-----|
martireetporceq ue ilnese	------|-|--|-|-⌫-|-|-|-|
miede songr e fai re ocir e	--|-|--|--⌫|---⌫-|----⌫|
confor toitilcelsqui	------⌫---|-|---|--|
estoienten	-------|-|
ch a r tres et ceusqu	--⌫-⌫-⌫---|-|---|-|
menoitpordescoleretsilor	-----|--|-------|-|-|--|
diso itconque s porpeorquil	----⌫-||-----⌫|--|---|-|-|
eussentnede noia sse nt nostre	------|-|--⌫----⌫---⌫-|-----|
se ign or l iconselsde lacite	--⌫---⌫-|-⌫|------|-|-|---|
s encorrocamultet fi st	|-|------|---|-|--⌫-|
conman dementet son ban telque	------⌫-----|-|--|--|--|--|
nusm oin e ne	--|-⌫---⌫|-|
demor ast en lauil e	-----⌫--|-|-|---⌫|
tuit sena l erentforssainz	---||-|-⌫-⌫----|---|----|
anthoinesqui sanzpeo retsanzdo te	--------|--|---|---⌫|-|---|--⌫-|
remestet po r	-----|-|--⌫|
lacouoitis equilauoitdo m artire	-|--------⌫|-|-|----|-|-⌫-----|
recoiureneproisailnaient	-------|-|-----|-|-----|
locomman de mentdo	-|------⌫--⌫---|-|
consei lainz	------⌫|---|
montaenunhau t l eudelauile por	----|-|-|---⌫|-⌫-|-|-|---|--|
ilmie lzla	-|---⌫-|-|
peust uoier et esgarder	----|----|-|-------|
etlaenseignoi t ilet	-|-|---------⌫|-|-|
aucrestiens qu	-|--------|-|
il n deuoientmie	-||-------|--|
c remirlormartyre	-⌫----|--|------|
nost resirequineuoloitmie	----⌫-|---|--|-|-----|--|
l isainzh omesqui habitoie nt	-⌫|----|-⌫---|--|--------⌫-|
enla montaignefussen t s a nz	-|-|--------|------⌫|-⌫-⌫-|
gardas ainzanthoines si	----|-⌫---|--------|-|
ne re cumiemortnenefu	-|--⌫-|--|---|-|-|-|
mie misen pri son ne enchartre	--|--|-|---⌫--|-|-|------|
nonporqu antne	--------⌫--|-|
separti ilmiede la	-|----|-|--|-|-|
compaign ie a us sai nzhomesqui	--------⌫-|-⌫-|---⌫-|----|--|
en prisonestoientenzhert	-|-----|-------|--|---|
e nsembleels	-⌫------|--|
gran t cur ee t	----⌫|---⌫|-⌫|
pars igrantchar iteque ses	--|-⌫|----|----⌫--|--|--|
e stoit plus	-⌫----|---|
destr ainzancor	-----⌫---|----|
ilde f orsq ue	-|--⌫-⌫--|-⌫-|
apresquecelepersecucions	-------|---|-----------|
et sainzpierresotreceu	-|----|------|-|----|
m artireetsainte	-⌫-----|-|-----|
i g lesefuauques	-⌫-⌫---|-|-----|
ap a is ies ainzanthoinessen	--⌫-⌫--⌫-|-⌫---|--------||-|
arriereasacell ed on t	------||-|----⌫|-⌫--⌫|
commenca chascuniorama rtirier	-------|------|--||--⌫------|
griesieunes	----|-----|
et paruei lliertotades	-|--|---⌫----|--|---|
u e s toi t lisain z	-⌫-⌫-⌫---⌫|-|----⌫|
apres sacharetunespiau x	----|-|---|-|---|----⌫|
desoretottens	-----|--|---|
al oitdesch auzparl es roc hes etp a r	--⌫--|-----⌫--|--|-⌫-|---⌫--|-|-⌫-⌫|
les m ontaig nesnenesebaign oit	--|-⌫------⌫--|-|-|-|-----⌫--|
un ques ne n e	--⌫---|-|-⌫|
lauoitsespi ezsil	-----|--|--⌫-||-|
trespassastparauenture	----------|--|-------|
aig ueet biensachi ez q ueunquesne	---⌫-|-|---|-----⌫-|-⌫-|-----|-|
ho mnefameneuit	--⌫|-|---|-|--|
soncorsnudeuant ceque la meli	--|---|-|-----|-|--||-⌫-|-|
futpartie del	--|-----|--|
u n ior auint	-⌫|--|----|
adon t e n	----⌫|-⌫|
celtempore	--|------|
martinien squipreuost	---------⌫|--|------|
etha uzhomuint	-|--⌫-|--|---|
a lui s dela	||--⌫|-|-|
sainzanthoine ssi	----|--------⌫|-|
acarele est oitcloselisainzhom	|--|--|---⌫--|----|-|----|--|
s e rt adontsihost ezde	|-⌫-|----|-|----⌫-|-|
humaines compaigniesquilne uoloit	-------|----------|-|-|-|-----|
neluidedenz sa	----|-----|-|
celle recoiure	----|-------|
cil preuostmartiniens	--|------|---------|
multbell efille quili d ia bl e	---|----⌫|----|--|-|-⌫--⌫--⌫|
e st oitel corsentrez p ar	-⌫--⌫--|-|---|-----|-⌫-|
ertmultto rmentee li	--|---|--⌫------|-|
pe re proi ot	--⌫-|----⌫-|
anthoine sdeuant	--------⌫|-----|
lui sde sa ce llequil	|--⌫|-|-|--⌫--|-|-|
issistforsetsiproiastnost re	-----|---|-|-|------|----⌫-|
seignorporsa filiesainzanthoine	------|--|-|----|----|-------|
neuoltluisou rirennu llemaniere	-|---||--|--⌫--|-|--⌫--|------|
ai nzre gardapar desore	--⌫-|--⌫----|--|-----|
hompor quo i me	--|--|---⌫|-|
qu ierzt u	--⌫---|-⌫|
aieie sui morteus	--|-|--|------|
tu essetucroizen	-|-|-|-|----|-|
nostre seig norqui ie ser s	-----|----⌫--|--|-|---⌫|
u atenetsili priepar	-⌫||-|-|-|-|---|--|
cueretparboneueraie	---|-|--|---|-----|
foiporta fillesi	--|--|-|----|-|
cilcrutlapar oledosa int	--|---|-|---⌫--|-|--⌫--|
hommesiapela	----|-|----|
nostresei gn orpar	-----|---⌫--⌫-|--|
bonecrean ce tan tos tfusafille	---|-----⌫-|---⌫---⌫|-|-|----|
garies i l a rem enaarrieretote	----|-⌫|-⌫|---⌫--|------|---|
saineetdeliure	----|-|------|
e tplusors autres	-⌫|------|-----|
gran z m iraclesfist	----⌫|-⌫------|---|
nost resiresporsaintan thoine	----⌫-|----|--|----|--⌫-----|
quardeuantlentreed e sa celle	---|-----||-----|-⌫|-|----|
uenoientlid esuéetli	-------|-|-⌫----|-|-|
siidormoient etla	-||--------|-|-|
garie tamendép ars es proie res	---|-⌫|------|-⌫-|-⌫-|-----⌫--|
quil enfaisoit	-|-|-|------|
anostres ei gnor	|-----|-⌫--⌫---|
tanten uenoient	---|-|-------|
e tdesautresquil	-⌫|--|-----|-|-|
ilneloloase n tpl u s qu	-|-|-|-----⌫-⌫|--⌫-⌫|-|
ilne deuse ntsi seporpensaquil	-|-|-----⌫-|-|-|-------|-|-|
iroi t olt re	----⌫|---⌫-|
l a riuier ede	-⌫|------⌫|-|
nil ounu lne l o	--|-|--⌫|-|-⌫|
c onnoistroit e n	-⌫----------|-⌫|
l agrantdesertine	-⌫|----|--------|
dontmut sainzanthoin eset	---|--|----|-------⌫-|-|
alatantqu il	--|-----|-|
uinten la riui ere de	---|-|-|----⌫--|-|
sisassistsorlariueet a t endo it	-||-----|--|-|---|-|-⌫-⌫----⌫-|
queil ueistaucune nef uenir	--|-|----|-----|--|----|
d equel part	-⌫|---|---|
q ue fust por q uil	-⌫-|---|--|-⌫|-|
peust trespasserla riuiere qui	----|---------|-|------|--|
multert granzetp arfond e si	---|--|----|-|-⌫------⌫|-|
comillatendoi t	--|-||-------⌫|
et ilseporpensoit c omentil	-|-|-|---------|-⌫----|-|
s er oitoltre si uin tlauoz do	-⌫--⌫--|----|-|---⌫|-|--|-|
ci el desorlui quil	--⌫-|----|--|---|
lidis t an t hoine	-|---⌫|--⌫-⌫----|
ouas tuet porqu o i	|--|-|-|--|--⌫-⌫|
degerp istu	------⌫-|-|
tonhe rmitage sainz	--|--⌫------|----|
an thoinesrespondiausiseurement	--⌫------|-------|---|--------|
coms ila qu e neustbi en et	--|||-|--⌫-⌫----|--⌫-|-|
ie menuo is oltre	-||-|--⌫-|----|
riuiereporcequelipuepl ene me	------|--|-|--|-|-----⌫|-|-|
laisse rep oser sime	-----|---⌫---|-|-|
semblebienaf airequarilme	-----|---||-⌫---|---|-|-|
demande ntt e l	-------⌫-|-⌫-⌫|
chosesdontie n	-----|---|-||
mie ue rtu	--|--⌫--|
nefo rc elauoi xli	-|--⌫--⌫|-|---⌫|-|
re spondietsidis t setuuas	--⌫-----|-|-|---⌫|-|-|--|
pen seetui	---⌫--|-||
so ffrerasdoble	--⌫------|----|
painequetun	----|--|-||
s osten ue e t s et u te uielz	-⌫-----⌫-|-⌫|-⌫|-⌫|-|----|
aumaiendeserz	-|----|-----|
saintanthoinedist et quime	----|-------|---|-|--|-|
porrademo streretensignirlo	----|----⌫----|-|-------|-|
leuoulioisel ha b itent i ene	--|-|-|----|--⌫-⌫----|-⌫|-|
saisles es trestanto st	---|--|--⌫---|-----⌫-|
liens igna	-|---⌫---|
lauoi zquiparloit	-|---⌫|--|------|
alui sarr asin qui	|--|----⌫---|--|
s en al oient	|-|--⌫----|
ene gipteenma rchaandise et totades	-|-⌫----|-|--⌫---------|-|--|---|
trespassoientl es	------------|-⌫-|
parcost umeta ntques ai nzanthoinesles	--|----⌫--|--⌫----|-⌫--⌫-|--------|--|
aprochaet silor	------|-|-|--|
qu i lomena ssent eldeser t	-||-|----⌫----|-|-----⌫|
en sembleelx	--⌫-----|--|
nusdels nefu	--||--|-|-|
enc o ntreain zlorecure nt mu lt	---⌫-⌫---|---⌫|-|------⌫-|--⌫-|
benignementen	----------|-|
c ompa i gniedont	-⌫----⌫-⌫---|---|
errere nte n se m bletrois iorz	------⌫-|-⌫-⌫--⌫-⌫--|----|---|
troisnuiz parlo	----|---|--|-|
tantques ai nza nthoinestrouaune	------|-⌫--⌫-|-⌫-------|----|--|
mon taignemu ltgr antau pi e	---⌫-----|--⌫-|--⌫--|-|--⌫|
desozsor doit unemult clere	----|---⌫---|--|---|----|
fo ntainedont lir u isiauscor oit	--⌫-----|---|-|-⌫-⌫-----|---⌫--|
parmiu nemultb ellechampai gne	----|-⌫-|---|-⌫---|-------⌫--|
quant sa i nta nthoine uitce	----|--⌫-⌫-|-⌫------|--|-|
distq uil idemore roittot	---|-⌫|-||------⌫---|--|
ausicommesenostre signorli	---|----|-|-----|-----|-|
mostré etsi auoit	------|-|-|----|
lileusqu il li a uoi t enseignié	-|---|-|-|-|-⌫---⌫|---------|
seoitso rlariuiere	----|--⌫|-|------|
delnildontp r ist co ngie ase s	--|--|---|-⌫-⌫--|--⌫---||--⌫|
compaignons sarr asins ens emb l e	----------|----⌫----|---⌫---⌫-⌫|
uenuzet sipri st de lpaina	----|-|-|---⌫-|--⌫|---||
i lenporto ie nt	-⌫|-|-----⌫--⌫-|
asez sor lor beste porlesgranz	---|--|--|----|--|--|----|
d esertines quilpass o ient	-⌫--------|-|-|----⌫-⌫---|
lisarrazinsedepartirentde	-|-------|-|----------|-|
et sainz an thoinesremest	-|----|--⌫------|-----|
seus enla montaigne et ausi bien	---|-|-|--------|-|---|---|
quenoi ssoitilce lleuet	------⌫----|-|--⌫|--|-|
liestoitauc uer	-|-----|-|-⌫--|
porde morerceli	--|--⌫----|-|-|
se mbloitcommelaplu s pro pre	--⌫-----|----|-|---⌫|---⌫--|
