s eignoursoez chancon	-⌫-------|--|------|
maisnoiteil	---||-|---|
anfant auezcremu	-----|---|----|
del uiuousdoigcongie defareuostr egrei	-|-⌫-|---|---|-----|-|---|-----⌫|---|
uostreauoiraieus i iertgerr edonez	-----|----|-|-|-⌫|---|----⌫-----|
s ir edit l i	-⌫--⌫|--|-⌫|
traitescinc cen z mercisded e i	------|---|---⌫|-----|-|-⌫-⌫|
ch arlesa priscongiesi sanest re tornez	--⌫----||---|-----|-||-|--|--⌫-----|
hugesseretornas a conuoié	----|-|------|||-------|
ou luilesbarru iersqui cuers defelon	-|--|--|-----⌫---|--|----|-|----|
et iur erentsorsainsautraitourhu gon	-|---⌫----|--|----|-|-------|--⌫--|
qu e illiocie ront sonfilat remilon	--⌫|-|-|----⌫---|--|-----⌫-|----|
dela cusin e entand ilorraison	-|-|-----⌫|------⌫|--|-----|
puisuintaladuche sse	---|---||-|-----⌫--|
s elidi t aesco ns	-⌫|-|--⌫||----⌫-|
da me mo rsestmilese concoil n	--⌫-|--⌫-|--|---|-|------||
an prandon	-|------|
il l ocieront demain cre antei lo nt	-||-------|-----|---⌫----||-⌫-|
ladam eanapela	-|---⌫|-|----|
guinemantlebaron	--------|-|----|
matres ditla duchesse	-----|--|-|-------|
iantisf is abar on	-----|-⌫-||---⌫-|
i eu o usdonra icentmarssig ari siezmilon	-⌫|-⌫-⌫-|-----⌫|---|---|-|-⌫---⌫---|----|
demortl ontmenacié	-|---||--|-------|
litr aitor fe lon	-|--⌫----|--⌫--|
d ameditguinemansceque	-⌫--|--|--------|-|--|
u ousplait	-⌫--|----|
sampresamienuit andui	------||------|----|
nousanirons	---|-|----|
sauua ge terreq uenenouss aue ront	-----⌫-|----|-⌫-|-|---|-⌫---⌫---|
etla dame respontadeibenei son	-|-|---|------||--|-----⌫--|
guine ma nzsad ouba	-----⌫--⌫-||--⌫---|
etaueclui milon	-|---|--|----|
andui on t	----|--⌫|
lesespeesassenestresgirons	--|-----|-|--------|-----|
anduim onte i sor	----|-⌫----⌫|--|
lesde striesgascons	--|--⌫-----|------|
etissentde biau uaiz	-|-----|-|----⌫---|
coe ment a larron	---⌫---||-----|
chacun sl escuauc ol	------⌫||---|-|-⌫-|
et lancee tconfenon	-|----|-⌫|-------|
se dame dex nanpa nce quisofri passion	-|----⌫--||-|--⌫--|--|----|------|
il seront ambe duig itié	-|-----|----⌫--|-⌫----|
anlaprison	-|-|-----|
uneespiele	--|----|-|
contea utra itor	----|-⌫|---⌫---|
sire ce ditlespieno ualesuous	---|-|--||----|--⌫----|---|
anu atguinemanss i	-|-⌫-|--------|-⌫|
an moig nemilon	-|----⌫-|----|
seansiuouseschapent litr ait o r fe lon	-|---|---|--------|-|--⌫---⌫-⌫|--⌫--|
bienuousp orontgr euer litraitorfelon	---|---|-⌫----|--⌫---|-|------|----|
uostre te rremetrontafeu e tacharbo n	-----|--⌫--|------||--|-⌫||------⌫|
etquanthugue slantantsiescr iea haut ton	-|----|-----⌫||-----|-|----⌫-||---|--|
orausa rmes faitil	-|--|-⌫---|---|-|
franccheuali erbaron	----|-------⌫-|----|
celquilespoura prend re ie	--|--|--|----|-----⌫-|-|
lidonr aigrant don	-|----⌫-|----|--|
ielidonraimilm arsetun destrier gasc on	-|-|-----|--|-⌫--|-|-|-------|----⌫-|
cilliont respo nduuost replasirf erons	--|-|--|-----⌫--|----⌫-|-----|-⌫----|
lorssan armere nt	---||-|------⌫-|
tuitcoemantala ron	---|------||--⌫--|
ethuguesli	-|-----|-|
tra ites quia	---⌫---|--||
ai nsnideignauest irau b ertne	--⌫-|||-----|----⌫-|--⌫-⌫--|-|
or sarmentan b iauueizli fel o nberruier	-||-----|-|-⌫------|-|---⌫-⌫|-------|
ma ishuguesnideignaonques armes balier	--⌫-|-----|||-----|-----|----|-----|
t ozpremera inss	-⌫-|-------⌫--||
anistarméssorun	-|--|-----|--|-|
aso n c olageti éunescu	|--⌫|-⌫-||----⌫-|-|---|
d e quart ier	-⌫|-----⌫--|
unela nc e am p oignie qui estoit	--|--⌫--⌫|--⌫-⌫-----|--|-----|
de pommier	-|------|
etbarruierl e siugentquileuou drent	-|-------|-⌫|------|--|-|---⌫----|
pardeuant tozles au tr esle traita	--|-----|--|--|--⌫--⌫-|-|----||
iu i nthuguespugna n tparm ilesab lonnier	|-⌫-⌫-|-----|-----⌫-⌫|----⌫|-|---⌫------|
lalune luiso it cler eetc ommence ara ie r	-|---|-----⌫-|----⌫|-|-⌫------||--⌫--⌫|
huguesles achoisi	-----|--||-----|
auntertrepoier	|-|-----|----|
alaualerd un uaul lep and antdun	||-----||-|---|-|-⌫---⌫--||-|
illoraescriésicommence a hu chier	-|--||------|-|-------||--⌫----|
p ar monchie fn	-⌫-|--|----⌫||
an irez fel cu uertlosangier	-|---|--|--⌫---|--------|
uouspandra idemain alacl arier	---|------⌫|-----|||---⌫----|
sisereztrai nécomme	-|----|----⌫--|----|
laronf orc i é	----|-⌫---⌫-⌫-|
etla p utainchatiueferai	-|-|-⌫----|------|----|
ie graal ier	-|-----⌫--|
anunfeuetlesmambrestran chi er	-|-|--|-|--|------|----⌫---⌫-|
quant mil es lantandile san ccuid ec ha ngier	----|---⌫-||------|-|---⌫|----⌫|-⌫--⌫----|
g uinemantan apele	-⌫-------|-|----|
carm e l asiés	--|-⌫|-⌫-----|
torn ercontr ecel aue r cier	----⌫-|-----⌫|--|---⌫-⌫---|
sene lep u i s aba tre me treius doudestrier	-|-|-|-⌫-⌫-⌫|---⌫--|--⌫--|--|--|-------|
nem el a siésiamai san toruous	-|-⌫|-⌫-⌫----|-----⌫|--⌫--|---|
et guine man s re spont pans ez de	-|-----⌫---⌫|--⌫----|----⌫-|-|
l esplot i e r	|------⌫-⌫-⌫|
ne ueez uouscesiansquilo	-|---|---|--|---|--|-|
u eign ent aidier	-⌫----⌫--|-----|
tropiestes ancorione s por tel fais ambraci er	---|-----|----|----⌫|--|--|---|-------⌫-|
or pa nsezd elerr er	-|--⌫---|-⌫||---⌫-|
etdoutotche u auch i er	-|--|--|---⌫-⌫----⌫-⌫-|
car ceilnouspre noent	--|-|-|---|---⌫----|
ni aur oitrec o urier	||---⌫--|---⌫-⌫----|
qu e hug ues	--⌫|---⌫--|
facetousles mambr estranchier	---|---|--|-----⌫-|--------|
hugues istde biauuaizp ancedesperonner	-----|--|-|-------|-⌫---||---------|
etbarruierlesiuguentcui dex	-|-------|-|-------|--|--|
puitcr auanter	---|--⌫------|
can t iluoe ntm ilon	---⌫|-|---⌫-|-⌫---|
pr ennent lia crier	--⌫-----|-||----|
fisaputa in garcons nanpoez	--||----⌫-|------||-|---|
encuiuousferai pandre	----|---|----|-----|
eta forchesleuer	-||------|----|
et uostre putainmer e a rdoir et trai ner	-|-----|-----|---⌫|-⌫----|-|----⌫--|
onques dexne fit home qui lanpuiss e	-----|--|-|--|---|--||-|-----⌫|
et quant mileslantan t	-|----|----||-----⌫|
l esancudedesuer	-⌫|--|---|-----|
guinemansce ditmile sor	--------|-|--|----⌫|-|
mi lasiés a ler	||------|-⌫--|
asse z su ipa rcreuzpo rhugonancontrer	----⌫|--⌫|--⌫-----|--⌫|----|--------|
lou motreiezie puisbienaf ier	--||------|-|---|---|--⌫--|
ie melar ai cheoir et aterre uer ser	-|-|---⌫-|-----|-||----|---⌫--|
alezdistguinemansne uo us puis	---|---|--------|-|--⌫-|---|
destorn er	-------⌫-|
ad onc fu miles lies quanti l l	--⌫--|-|----|---|----|-⌫||
outc reantei	--|-⌫------|
ila brandi la	-||-----|-|
lancesi leuaitancon trer	----|-|-|---|-----⌫---|
oroezdemiloncon	-|--|-|----|--|
ile stpreuz etbers	-|-⌫-|----|-|---|
parteil uertu leuaferi re ta cener	--|---|----|-|-|----⌫|-⌫|-⌫----|
quelescudesoncol l i a fraitet	--||---|-|--|--|-⌫||----|-|
par mile co rs lifaitlafortlance pacer	---⌫-|-|--⌫-|-|---|-|---|----|----|
uosit ounon	----|-|--|
lefait i uscrauanter	-|---|-⌫-|--------|
outreditiltraiteslais ez le ramponne r	----|--|-|------|----⌫-|-|--------⌫|
tr aitelespe equifla mb oeetluit cler	--⌫---||----⌫|--|---⌫--⌫-|-|---|---|
i a litolitlechiefsa nsplusdedemorer	-⌫|-|----|-|----|--⌫-|---|-|------|
quant b erruierl icorentquisuslo nt	----|-⌫------|-⌫|-----|--|--||-⌫-|
et guine mans c ommandemilonaret orner	-|-----⌫---|-⌫------|----||---⌫----|
or sai bien lau ez faitneuous	-|--|---||--⌫-|---|-|---|
bl a sm er	--⌫-⌫--⌫-|
aic e steparole lanueisieztorner	|--⌫-⌫--|-----||-|------|-----|
h ugues les a nchau ca cilpans entdelerrer	-⌫----|--|-⌫-----⌫-|--|----⌫--|-||----|
tant ont faitce llenuitl escheuax	---|--|---|--⌫--|---|-⌫-|-----|
r andonne r	-⌫-------⌫|
queilleso nt p erduquant	--|-|--|-⌫-|-⌫---|----|
e thugues litraitespance d	-⌫|-----|-|------|----||
esperonner	---------|
p lorentlibarruieretpa nsentdelerrer	-⌫-----|-|-------|-|--⌫----|-||----|
hugue sfranscheuali erspou rois en eschaper	-----⌫|----|-------⌫--|---⌫---|-|-------|
si gno ur di tlitraites form ent	--⌫---⌫-|--⌫|-|------|----⌫--|
suiad olez	--|--⌫---|
abiauuaiz l anpor teren tsan plusde	|-------||-|---⌫-----⌫|--|---|-|
l iefurent l iborioisquant l	-⌫-|-----|-⌫|------|----||
oire nt con ter	----⌫-|---⌫--|
quehugueslitraitesest si malatornez	--|-----|-|------|--|-|--|------|
donc aliuns a l	---||-|--|||
au treconcil liéetcontei	--⌫--|------⌫---|-|-----|
preuz iertli damoisaus seilu it parae	----|---|-|--------|-|-|-⌫-|--|-|
l or sfithugues lesmires q u er iret	-⌫--⌫|--|-----|--|----|-⌫-⌫--⌫-|-|
d ema nder	-⌫---⌫---|
tantlor donadousienquan soisu nmois passé	---|--|---|--|---|-|--⌫---|-⌫|---|-----|
lorent amale urgari	|----||----⌫-|---|
etre pas s é	-|--⌫---⌫-⌫-|
hu gonon trepa ssé	--⌫--|--⌫|----⌫---|
li traitorfelon	-|------|----|
etancois outpasséunm ois de	-|-----|--|-----|-|-⌫--|-|
mil ese t guinemans	---⌫-|-⌫|--------|
ch eua uchentaban don	--⌫---⌫-----||---⌫--|
guinemans d itesquellaferons	--------|-⌫---|---|-|-----|
iron s a tesparansdepar tonpereorson	----⌫||--|-----|-|--|--|---|----|
aa lmenneauproucontehuon	|-⌫-----|-|---|----|---|
gybui netantoi gne	-----⌫|-|-----⌫--|
auec luitrouerons	---|--|--------|
sire ceaditmilespar m on losn i	---|-||--|----|--|-⌫-|--|||
anuite nostanroentsepriierles	-|---|--|-------|-|-----|--|
alonsan autresterr e sadeinouscommandons	----|-|-----|----⌫-⌫||--|---|---------|
dexnousconcilleraipar sonsain time non	--|---|----------|--|--|----⌫---|--|
pa r oletorneren tuersbau mont	--⌫-⌫--|--------⌫|---|---⌫---|
et dilec a pa r is ni font	-||---||--⌫-⌫-|||---|
lan demainaumatinp asserentpetitpont	|--⌫-----|-|----|-⌫-------|----|---|
loucheminat ampois	--|-----|--⌫-----|
ale r e nt aban do n	---⌫-⌫-⌫-||---⌫--⌫|
o r les codue	-⌫|--|----|
d exparsaredemption	-⌫-|--|-|---------|
an laci tdeb iauua iz	-|-|--⌫|-|-⌫-----⌫-|
iamaisneranteront	-----|-|--------|
ancois auronttrouuei lo uualant duco rso n	-----|-----|------|--⌫|-----|--|-⌫---⌫|
quiaconnibregist anl a chartrean prison	--||-------|---|-|-⌫|------|-|-----|
et souuantsega mentepargrant	-|------|-|--⌫----|--|----|
dest rucion	----⌫-----|
regrate sam olier etso nanfantmilon	------|-|-⌫----|-|--⌫|-----|----|
or la r ai	-|--⌫-⌫-|
demi l onquis anuaitandelor	-|--⌫-⌫-|--||-|---|-|----|
huguesli ato luet saterreet senor	-----|-||--⌫-|-|-|----|-||---|
dexlan faceuaniancepar	--||-|---|-------|--|
la soe doucor	-|--|-----|
etredirons	-|-------|
dugonlefelont rait or	|---|-|----|-⌫----⌫-|
quiquideretenirla duc hesseatosiors	--|----|------|-|---⌫----||--|---|
maisancoranmora al oidetraitor	---|----|-|---||-⌫-|-|------|
hugues f aitaladame assez de	-----|-⌫--||-|---|----|-|
dexl anface uaniancep arlasoe d oucor	--||-|---|-------|-⌫-|-|--|-⌫----|
etladametintl erb e	-|-|---|---||---⌫|
quita nto tdeualor	--|--⌫-|-⌫|-|----|
quantcuideali	----|----||-|
gesirtoutepert sauigo r	----|----|---|-|----⌫|
nepot a liiesir neacointier samor	-|--||-|----|-|--------||---|
que limambre	--|-|-----|
li f a llentsiesta nteilf ricor	-|-⌫-⌫----|-|--|-⌫|---|-⌫----|
litraite s	-|------⌫|
parnuitetpar ior	--|---|-|--|--|
silaferiausdensta nt par fu plain s	-|-|---|--|---|--⌫-|--|-|-----⌫|
auaul l acleref ace	----|-⌫|----|-⌫--|
li sans uermaus an cor	-|---|------|-|--|
teinsestli o rilleusdesan c et de	----|--|-|-⌫------|-|---⌫|-|-|
eller eclammedei	---|-⌫------|--|
le perecriator	-|---|------|
quel ianuoit uani ancedou felontr aitor	--|-⌫|-----|----⌫---|--|----|--⌫----|
moutsofri de	---|----|-|
grans poinnespor lou ducson	----|------|--|--|--|--|
huguesfuanlachambrelitraites	-----|-|-|-|------|-|------|
laduchessenenefa itce s	-|-------|-|-|--⌫-|--⌫|
nuitbat ueli cuuersmaleis	---|---⌫-|-|-----|-----|
quetotl i fitsanglant	--|--|-⌫|--|-------|
e tlachar etleuix	-⌫|-|---|-|-|--|
dameditli traitesd e	---|--|-|------|-⌫|
ieto us fiz	-|--⌫-|--|
por milonmeh a ezquide	--|----|-|-⌫-⌫-|--|-|
mo iestpartis	--⌫|--|-----|
ormandezuostr e	-|-----|-----⌫|
fils oufates	--||-|----|
charl es l	-----⌫-||
adoube raseda mede xma i t	------⌫-|-|--⌫----⌫||-⌫-⌫|
se iluiaut armes	-|-|----|----|
prend resachiésni	-----⌫-|-------|||
p uetfa l ir	-⌫--|--⌫-⌫-|
mout bon nesl i d onr aido utout as onpl aisir	---|---⌫--|-⌫|-⌫---⌫-|--⌫|---||-⌫-|--⌫----|
etie seraices	-|-|----|--|
me uiaut recolir	-|----|------|
atoutmi lcheualiers queiai	----|--⌫|---------|--||-|
a ma i ntenir	|--⌫-⌫-----|
se li laraibauuaizet t restou t	-|-|----|------|-|-⌫------⌫|
etironsmoi etuous ou r egne	-|----|--|-|---|-|-⌫---|
asezia chatiau s et borset plaseiz	---|||-------⌫|-|---|-|------|
etpar ensetneu e usetco sins	-|---⌫--|-|---⌫-⌫-|-|--⌫---|
etditantrecesdensqueil	-|--|----|--|---|--|-|
da med exle conf o nde lirois deparad ix	--⌫---⌫-|-|----⌫-⌫--|-|---|-|-----⌫-|
ilniertiacheuali ers se i e le	-||---|-|-------⌫--|-|-⌫|-|
ens li f er aila	--|-|-⌫--⌫-|-|
te ste etlesmam brestol ir	--⌫--|-|--|---⌫---|---⌫-|
sireceditla da menai soig	---|-|--|-|--⌫-||-|---|
de uousseruir	-|---|-----|
i es aibien etantanuous le uolez	-⌫|-⌫-|---|-|----|---|-|----|
biensaiqu il	---|--|-|-|
sani r a aucont egibuin	|-|-⌫-⌫|-|----⌫|-----|
monfrerexmlecontepalazin	--|----|-|-|----|------|
cheua lieranferon t	-----⌫---|-|-----⌫|
siloru ientanplasir	||--|-⌫---|-|-----|
a ncor ele uerroissor u ousa ostuenir	-⌫----⌫|-|------|--|-⌫--||--|----|
cope r auousla teste quenip oe zfalir	----⌫-⌫|---|-|----|--|||-⌫--⌫|----|
cuidiezuousautrui terreafor ceretenir	------|---|-----|----||---⌫-|------|
quant hugu es oice li sansliest fois	----|----⌫-|-|-|-|---|-|--|---|
pute dit li t rait esu ousni po ez	---|--|-|-⌫----⌫-|-⌫--|||--⌫-|
sampresu ous ferai pandreardor	------|-⌫--|----|-----|----|
quant hu gues oitla	----|--⌫---|--|-|
dame sifumaltalenti s	---|-|-|----------⌫|
puted itlitr aitesco nsui par	---|-⌫-|-|--⌫----|--⌫|--|--|
uoustrai s	---|----⌫|
anchariémauezdesui	--------||---|-|--|
ie tozf iz	-|--|-⌫-|
nedeuousne d au tru	-|-|---|-||--⌫--|
nepuisestreseruis	-|---|----|-----|
sampres iert	------|---|
uos trecors	---⌫--|---|
trainezet honis	------|-|----|
sir ec edit la	---⌫|-⌫|--|-|
dame poramor dei	---|--|---|--|
ie naian cesteterre nepa ran	-||-|-|----|----|-|--⌫--|
iefun e ed er mine	-|-|-⌫-⌫||--⌫---|
cel estraing epais	--|--------⌫|---|
filleau contehuonet	----|-|----|---|-|
nieceg ibuin	----|-⌫----|
quimedonnere ntors d ebiauuaiza mari	--|-|-------⌫-|--|-⌫|-------||---|
l e fr an cduc deb onnarequisouef me	-⌫|--⌫--⌫|--|---⌫-----|--|----|-|
las set rop maleschangea ian cestuiconq uis	---⌫-|-⌫--|--|-------|-⌫|-|-----|----⌫--|
orm ec oup ezla testepord eu	-|-⌫|-⌫---⌫-|-|----|--|-⌫-|
certesditli traitesnemoroispas ansinc	-----|--|-|------|-|-----|--|-----|
ancois uo us ferai iaiuergond e rethonnir	-----|--⌫-|----|--|-------⌫-⌫|-|-----|
lenexet lesorol lesraonnier et	-|--|-|--|----⌫--|-------|-|
sir edit laduchesseou l	---⌫|--|-|-------|-||
aied es erui	|-|-⌫--⌫---|
ai tué anfan t ne	-|---|-----⌫|-|
mon mari m ortri	--|---|-⌫----|
ditlitraitesancor auezfait	--|-|------|----|---|---|
ilapa ssé	-||--⌫---|
cin c ans etplus	---⌫|--|-|---|
queieuouspris	--|-|---|---|
quepuis lezuo strec or s	--|---|--|--⌫---|-⌫--⌫|
neiune nendormi	-|-|-||------|
certesnon feroi sladame respondi	-----|--|-----⌫|-|---|-------|
que mes com per es	--|--|---⌫---⌫-|
est es b ienlesauezd e fi	---⌫-|-⌫--|-|----|-⌫|-|
etleuatesmilon d essainsfons beneis	-|------|----|-⌫-|----|---|-----|
quant huguesceoipor poi que ne	----|-----|-|-|--|--|--|-|
ilisside lachambre	-|---|-|-|------|
coreciésetmarri s	--------|-|-----⌫|
q uatrecergens apelequ ifurentde	-⌫----|------|----|--⌫|-----|-|
b iaulsigno r	-⌫---|-----⌫|
cedith uguesor oezmon	-|--|-⌫----|-|--|--|
is siezfors d ebi auuaizpar deu ers	--⌫---|---|-⌫|--⌫-----|--|---⌫--|
et fait es une	-|----⌫-|--|
fosse dedis pies etdem i	----|-|--|---|-|---⌫|
siferaianfoirlaputain	||----|-----|-|-----|
quimaanchariié ets i	--|||---------|-|-⌫|
fortmalbaill i	---|--|-----⌫|
q uei e nepu is a uoir	-⌫-|-⌫|-|--⌫-|-⌫---|
nuleioe deli	---|--|-|-|
et ilfirentlafo sselic erracheteis	-|-|-----|-|--⌫--|-|-⌫-|--------|
ethuguesli traites f a it la	-|-----|-|------|-⌫-⌫-|-|
dame uen i r	---|---⌫-⌫|
et g itier anla fosseiusquacent anfoir	-|-⌫----|-|-|----|----||---|-----|
faitgiter a i g ueet escucin	---|----|-⌫-⌫-⌫-|-|------|
oroezla uit allequ	-|--|-|---⌫---|-|
illi liuraitetmit	-|-|------|-|--|
antroisiorsunpai n dor ge	-|----|---|-|---⌫||--⌫-|
lidon n acem etuix	-|---⌫-⌫|-||-|--|
etla d uche sseplore qui ladolor s an t i	-|-|-⌫----⌫--|----|--|-|----|-⌫--⌫-⌫|
reclamedamedeiquionquesnema nt i	------|------|--|-----|-|--⌫--⌫|
que li anuoituaniancedoutraitorfali	--|-|-----|-------|--|------|---|
dexcondolantan	--|--|-----|-|
ho me doupais	--⌫-|--|---|
or a hugues	-||-----|
ladameiu squaceintan fo ie	-|---|--⌫--||----|--⌫--⌫-|
puisanpandiliglos par samale escheri e	---|-|----|-|---|--|-|---|-------⌫|
sic ommance chancons quia ncor nefaut	-|-⌫------|-------|--|-⌫---|-|---|
demilonsonchierfi ld esa ch eual erie	-|----|--|----|--⌫|-⌫|-|--⌫----⌫---|
trouuaorsonan la citde	-----|----|-|-|--|-|
mi le setguinem ansontloruoeac olie	--⌫--⌫|-|------⌫--|--|--|--|--⌫---|
antrecietorliensni	----|-|-|------|||
out regne sachie	--|----|-----|
or sanuaguineman sacoit ed	-||-|-|--------⌫||----⌫||
etsanmoigneauec s ondamoisiaulmilon	-||-|-----|---|-⌫-|---------|----|
pritrentgardelinobileb ar on	-------|----|-|-----|-⌫--⌫-|
si uindr entanberrisans nulle	-|-----⌫--|-|----|---|----|
guinema nsapelap arso n	-------⌫-|----|-⌫-|--⌫|
dro itnonmilo n	---⌫-|--|----⌫|
milesceditli matr estr opfolemant alons	----|-|--|-|----⌫-|--⌫-|-------|----|
nous somm esciantré	---|----⌫-|-|-----|
anlacontreehug on	-|-|------|---⌫-|
s enoussommes p arc eu iaineneschaperons	-⌫|---|-----|-⌫---⌫-|--||-|----------|
biausm a tres cedi t	----|-⌫-⌫---|-|--⌫|
milesc edexplait ciferons	----|-⌫|--|----|-|-----|
ilachatente schap leset	-|-------|-⌫-----⌫--|-|
agusi ezbordons	-----⌫-|------|
biensa mblentpele ri ns qu ia	---|--⌫-----|----⌫--⌫-|--⌫||
saintiaqueuont	----|----|---|
eton tt antcheu auchi é q u e	-|--⌫|-⌫--|----⌫-----⌫-|-⌫-⌫|
abeho rgessont	|----⌫---|---|
il passentlacitei etle	-|------|-|----|-|-|
matredongon	----|-----|
lanuitsehabergerentchiefunost e	-|---|-|----------|----|-|---⌫|
ilauoitnonbaud ri et fu paran shugon	-|----|--|----⌫-|-|-|-----⌫|----|
p reu ozfudouch ateilantor	-⌫---⌫-|-|--|--⌫----|----|
etanu iron	-|---⌫---|
dame dex le	----⌫--|-|
confondeq uisofri pass ion	-------|-⌫-|----|----⌫--|
qu esanprezle s fera giteran	--⌫|------|--⌫|---|----|-|
baudris outnonlioste s	------|--|--|-|----⌫|
qui fuf ause t boisieres	--|-|-⌫--|-⌫|--------|
e tfupreu ozhugonquesiestoitl ichieres	-⌫|-|----⌫-|----|--|-|-----|-⌫-------|
es toi t biausetd eia nt e	--⌫---⌫|----|-|-⌫|--⌫--⌫|
etguinemansprodonsi o utardiechiere	-|--------|-----|-|-⌫-|----|-----|
ue stuo ut anson	--⌫--|-⌫-|-|--|
dosun hermindeb a uier e	--|-|-----|-|-⌫-⌫----⌫|
miles sa nblefranchom e sia	----|--⌫---|----|---⌫|-||
hardi echi ere	-----⌫|---⌫--|
re garda litraitesli chieres	--⌫----|-|------|--⌫------|
siiuredamedeuetlebaronsaintpiere	-|---|------|-|-|----|----|----|
quil n istro nt deprisonen nesune menier e	-|-||-----⌫-|-|-----|-|-----|------⌫|
ainssauradoni l sunt et	---|----|--|-⌫|---|-|
ouuontetque quierent	-|---|-|--|-------|
lors firentil foliequant	---|-----|-|----|----|
ilsiharbergirent	-|||-----------|
lid uibaro n arbergentauirsonanber r i	-|-⌫-|----⌫|--------||-----|-|---⌫-⌫|
chiefunostefe lonqui auoit n onbaudri	----|-|---|--⌫--|--|----|-⌫-|-----|
preuozhugonletraitorfalli	-----|----|-|------|----|
ilregardamilonmoutle uoitescheui	-|------|----|---|-|---|------|
ues tuotun ermin	---⌫-|-|-|----|
an goléaorfin	--⌫----||-|--|
bien sanbleia ntilhome etfila pal azin	---|-----|--⌫---|---|-|--||---⌫---|
lipreuoz fumout	-|-----|-|---|
otambru nchiéle uix	-|-----⌫-----|-|--|
p andantet	-⌫-----|-|
loncdesqua de n sliauint	---|----||--⌫-⌫|-|----|
n oirel abarbe et	-⌫---|-⌫|----|-|
le sgrenons	--⌫|------|
bien samble traitor	---|-----|------|
ethome foiman ti	-|---|------⌫-|
siapelle sa	-|-----|-|
fameaugent cors sig nori	---|-|---|---|---⌫---|
dame dit lipreuoz esco utezqueie	---|--|-|-----|----⌫---|--|-|
ueezuouscel u alet	---|---|--|-⌫---|
queci a cler	--|-||---|
biensamble ian til	---|-----|---⌫--|
h omequedebonleuiss i	-⌫--|--|-|--|--|---⌫|
fil a cont eou	--||----⌫|-|
aducou aunhaut marchis	|--|-||-|---|------|
o nques iciluillarsqu ilaameneici	-⌫----|---|------|--⌫|||-----|-|
ne liapartint	-|-|-------|
o nques parf oile uous afi	-⌫----|--|-⌫-|-|---|--|
etrespontlapr eotep ardeiq ui	-|------|-|--⌫---|-⌫-|--|-⌫-|
iaso nti l	-|--⌫-|-⌫|
palerind e rainsou de sanlis	------|-⌫|----|-|-|-----|
etsiu ontasai ntiaqu elorp echies	-|-|-⌫--||---⌫-|----⌫|--|-⌫-----|
p en e i r	-⌫--⌫-⌫-⌫|
etq uibi en lor	-|-⌫-|--⌫-|--|
serabienluiser ameri	---|---|--|---⌫|---|
harber gi élesauezpor deideparadis	------⌫--⌫-|--|---|--|--|-|------|
si lordonnezhuimais etpain et	-|--|-----|------|-|---|-|
char etuin	---|-|--|
fol editlipreuoz	---⌫|--|-|-----|
quest cequetuasdit	-|--|-|--|-|-|--|
sim aitd exd e glore	-||--|-⌫-|-⌫|----|
naniro ntpasensi	|-|---⌫-|--|---|
lorslesaapel ezlitraites baudris	---|--||----⌫-|-|------|------|
ditess ire uilarsgardezniamenti	----|-⌫--|-----|-----||||----|
quieste zdequelterre etdec onfaitpais	--|----⌫|-|---|----|-|-|-⌫-|---|---|
sire ditguinema nsie fu nezdeparis	---|--|-------⌫-|-|-|--|-|----|
etsachi éscest uas aulaiie l o nc tensn orri	-|-----⌫--|---|---⌫--|-|-|-⌫-⌫-|---|-⌫---|
nantmant ie	|--|---|-|
l a angenui	||------|
a lapotre saintiaq uela	||-----|----|---⌫-|||
uoéetpromis	---|-|-----|
leu oag e etr eua nronsp ar c i	-|-⌫---⌫|-|-⌫---⌫----|-⌫-|-⌫|
uillarsdit	------|--|
lipr eozuous iauezfali	-|--⌫--|---||---|---|
biensaiamblé laue z areinsou a	---|--|-----||---⌫||----|-||
o ufuprisabiauuiaz ou a maance ausi	-⌫|-|---||-------|-||-----|---|
o rlanmenezporuandre tot cesa	-⌫||-|----|--|-----|--|-|-|
s achiezde ueritenan	-⌫-----|-|-----||-|
ir ezpasansi	--⌫-|--|---|
ains sauraiqui uouseste s ou li	---|-----|--|---|----⌫|-|-|
ualesfupris	----|-|---|
guinema nsoitsonoste forment fu e smaiez	-------⌫-|--|--|---|------|-|-⌫-----|
sirepreuozditiltu nos as harbergiez	---|-----|--|-|-|--|-|---------|
seserommesceansc	-|-------|----||
il teplait	-|-|----|
sanscongie	---|-----|
sianiro nsdemainquant	-|-|---⌫-|-----|----|
iorsiert es c larciés	---|---|--⌫-⌫-------|
uilla rs di t	-----⌫-|--⌫|
li preuozdefol i e p ladiez	-|-----|-|---⌫-⌫|-⌫-----|
nem atordrois	-||--------|
de ci de uertei lesac hie z	-|-|-|-----|-|---⌫---⌫|
a insaueraa or lie ns	-⌫--|----||--⌫---⌫-|
mesag es e nuo ie ́	-----⌫-|-⌫---⌫--⌫|
etanq uisa hugonquifors es tetpr isiés	-|---⌫--||----|--|---|--⌫|-|--⌫-----|
sepuis sauoir defique uous	-|---|-----|-|-|--|---|
amblélaiez	-----||---|
uousan serez pandu s ocisetdet ranc hiez	---|-|----|-----⌫|---|-|---⌫----⌫---|
lo r sseleua	--⌫-⌫|-|---|
ligloscies tan piesdrec iés	-|---|-|--⌫|-|---|----⌫---|
guine mantuolts a s ir etgiteracespie s	-----⌫---|---|-⌫-⌫-⌫-|-|----||--|---⌫|
et gu ine mansliprie merc i	-|--⌫---⌫---|-|---|----⌫|
s ire an aiez	-⌫--|-|---|
uous dira ique	---|----⌫|--|
