p uisloradist qu	-⌫--|--||---|-|
san ma nieraica r	|-|--⌫-----|--⌫|
iesu istrop	-|--⌫-|---|
lassésmessi fr er eiac ob	------|--|-|--⌫--⌫|---⌫-|
a cu iiacobarespo ndu	|--⌫|----||-----⌫--|
do nsqueauoir doistu	--⌫-|--|----|---|-|
de monpere la remenance	-|--|---|-|--------|
conapellepremiers	|-|-----|-------|
pr emiers genrance	--⌫-----|-------|
chose au tren est	----|--⌫--||--|
cil q ui rois	--|-⌫-|---|
de fran ce es t	-|----⌫-|--⌫|
a uoityyfilze tli ainsn e z	-⌫---|-|---|-⌫|-|---|-⌫-⌫|
fr anceuandoit auplusmainsne ́	--⌫---|------|-|---|----|--⌫|
liannés france	-|-----|-----|
do itauoir	--⌫-|----|
limainnés	-|-------|
non ainsis est oit	--|-----|---⌫--|
d esan cie nsca rlipremi ers	-⌫-|--⌫---⌫-|--⌫|-|-----⌫--|
plus belad oupetitsaichiés	---|--||-⌫-|----|--------|
p remier sgenranc eapell en tce	-⌫------⌫|-------⌫|-----⌫--⌫|-|
esaurespondi stac e	---|--------⌫-||-⌫|
ie suanmaisqu	|-⌫|--|---|-|
a ie des lentilles	-⌫-|--|--------|
iac obredistdonc	---⌫-|-----|---|
le me iure	-|-|---|
sarai tesmoins es tre uandues	|---|-------|--⌫--|------|
c iliurae t	-⌫-|---|-⌫|
iacob lidonna	----|-|----|
esa u doncmultpouprisa	---⌫|---|---|--|----|
ce qu a son fr er euandu	-|-||--|--⌫--⌫|----|
e thab raham sontensemp lit	-⌫|---⌫----|--|---|---⌫--|
maladesfuet si	------|-|-|-|
fanmin e fu apresgrant ten s	------⌫|-|----|----|---⌫|
nee sust erre puis habraham	--|--|-⌫---|---|-------|
la fanmine	-|------|
quioutesté	--|--|----|
entensde c e luih abrahe	-|---|-|-⌫-⌫--|-⌫-----|
ysaacdonquess	----|------||
aabimalech ten	|---------⌫|-|
nostres s iresli	------|-⌫---|-|
bienliadeffandu	---|-||-------|
que en egipt en ede scende	--|-|-----⌫|-⌫|--⌫-----|
maisenla terr eq uil	---|-|-|----⌫|-⌫|-|
et puislidist outoise rai	-|---|-|---|-|--|--⌫--|
etm abe neiss on	-|-⌫|--⌫-----⌫-|
se mance eta	--⌫----|-||
se sr egionste donr aiuoir	--⌫|-⌫-----|-|----⌫-|---|
queiepromis par	--|-|-----|--|
sair ement	----⌫----|
eta sagent	-||-|---|
ta ligniemulteplierai	-|-----|-----------|
ausisconestoille s delair	----|--|--------⌫|-||--|
ces regions a talignie	--|------||-|-----|
donr aitoutesna nd out e r mie	----⌫-|-----||-⌫|-⌫---⌫-⌫|--|
gensdeces pais	---|-|--|---|
enta se m a nce	-|-|--⌫-⌫-⌫--|
serontbeni	-----|---|
pour cequeo beistami	---|-|--|-⌫----||-|
etam auois	-||-⌫|---|
danshabr aham	---|----⌫---|
fi stet gar da mes mandeman s	--⌫-|-|---⌫-|--|--------⌫|
ysaac donquesdemoura	----|------|------|
longepieceen	----|----|-|
encelle terreasemé	-|----|----||----|
etcentdoublesia	-|---|------|||
enbrief e ntermefu	-|----|-⌫-----|-|
ca rnos tr essireslitramist	--⌫|---⌫--⌫-|----|-|------|
pocession soutde ber bis	---------⌫|--|-|---⌫--|
etdegrossesbestesausi s	-|-|------|-----|----⌫|
et deser iens et d em ainie	-|-|---⌫---|-|-⌫|-⌫----|
enbersab ee	-|------⌫-|
dece leuu ie	-|-|--|-⌫-|
la nostressire sliapert	-|------|----⌫|-|----|
parnuitet d i s tliamessers	--|---|-|-⌫-⌫-⌫|-||--|---|
nedouter mieauectoi sui	-|-----|--|---|--|--|
ettrestoutieaem plirai	-|-------|-|---⌫-----|
quanquenconuentat onpere ai	-----|-|------||-⌫-|---|-|
puisisaacsesiex	---|----|--|--|
perd i s t	----⌫-⌫-⌫|
paraadeuint	--|-|-----|
p uisapelleesauso nfil	-⌫--|-----|---|--⌫|--|
en chanstan	-|----||-|
uabiausf ilz	-|----|-⌫--|
siuachacie retsimapor te	-|-|------⌫|-|-||----⌫-|
ueni son ainsque	----⌫--|------|
morsm emorde	---|-⌫|----|
sit edonr aima beneis son	-|-⌫|----⌫-|-|------⌫--|
esaulorsprant sonarson	---|---|----|--|----|
enchampsen	-|----||-|
uaetbestequiert	-|-|----|-----|
poursonp ered onnermengier	---|--|-⌫--|-⌫----|------|
etrebequeaiaco b uient	-|------||----⌫|----|
biausfi l z faitelleiai oi	----|--⌫-⌫|---|---||-|-|
tonperequi ainsisa	--|---|--|-----||
ton fre reua	--|---⌫-|-|
pourchaciers ima porte	---|------|-⌫||-⌫----|
auc unebesteetuenison	---⌫--|----|-|------|
puistedonraima	---|-|-----|-|
biausfilztesfreresesau	----|---|--|-----|---|
zzloustrestouspelus	-|---|-------|----|
zz cheuroilens bresil p anrons	-|-------|--|-----|-⌫-----|
la pel pa nronsetlamete rons	-|--|--⌫----|-|-|----⌫---|
entourtesmainsl a charcuir ons	-----|--|----|-⌫|---|----⌫--|
deuant tonperel ap orter as	-----|--|---||--⌫-----⌫-|
esau sui se li diras	---|--|-|-|----|
chacié ai	------|-|
peresetcuit	----|-|---|
ce ste potaigecesteuia nde	--⌫--|------|----|---⌫--|
seil biausfilzletede mande	-|-|----|---|-|-|--⌫----|
sa beneisonlor stedonra	-|-------|---⌫|-|----|
aweugles est ianou saura	-------|--|-||-|----|
etseil taterte uouloit	-|-|-|----|-|------|
cuideroit esausesoit	--------|---|-|---|
silm a parsoit maleisson	|-||-⌫------|--------|
medonrapour	-|----|---|
ben eisson	---⌫-----|
lapexue lue b iausfilzuoir	-|--|--⌫--|-⌫---|---|---|
limontraq ueesause soit	-|-----|-⌫-|---|-|---|
puis la mere	---|-|---|
esco rchiéla lapela	----⌫-----|||-|--||
les br as iac obenentourtoi lle	--|--⌫-|---⌫-|-|---------⌫--|
la ch ar cui te li ap aroille	-|--⌫-|---⌫-|-|--⌫------|
pui s deuantlepere	---⌫|-----|-|---|
chasc ié aimengiés biau sdous	-----⌫--|-|-------|----⌫|---|
puis me donnés	---|-|------|
uobenei sson	-|-----⌫---|
e sau sui seli respont	-⌫--|--|-|-|------|
ysaacd ist mult tost reuiens	----|-⌫--|---|---|------|
iacobadistbiau speres miens	----||---|----⌫|----|----|
toutausis t ost co m	---|----|-⌫--|--⌫|
enchampuins	-|----|---|
dieusune besteamoioffrist	----|--|----||--|------|
uien sabiau sfilzs is aue rai	---|-|----⌫|---|-⌫|-⌫---⌫--|
sies esau cil sans	|--|---|--|---|
de so n peresestapro chié s	-|--⌫|---||--|----⌫-----⌫|
puisysaa c	---|----⌫|
q uan t pelu stu ies	-⌫---⌫|----⌫|-|--|
ma is dei ac obestula u o is	--⌫-|-|-⌫--⌫-|-|-|-|-⌫-⌫-|
iemangeraipuis mourraiuoi r	-|-------|---|------|---⌫|
ysaacmania puis benei st	----|----|---|-----⌫-|
iacobeta pa rlé ainsis	----|-||--⌫---|-----|
dieusnostressiresbi au sf ilz	----|------|----|--⌫--⌫|-⌫--|
r ous eedo ucielet	-⌫---⌫-|--⌫|---|-|
soi r et ma in	---⌫|-|--⌫-|
habundamanttrestoutton	----------|-------|--|
etdeterrebien	-|-|----|---|
g rantplante	-⌫---|-----|
et gransf ois onsde	-|----|-⌫---⌫--|-|
trestousbles	-------|---|
etde tesfreres siresso iés	-|-|--|-----|----|--⌫---|
atous io ursmai s atoi	|---|--⌫--|---⌫||--|
enclin ent	------⌫--|
iacob apr es dainqui decline	----|---⌫-||-----|------|
etuoici esau qui	-|--|-|---|--|
chans quiuenisonoutprins	----|--|------|--|----|
cuitl apuislaporte	---|||---||-----|
leuésfai tilleués	-----|---⌫|-|-----|
b iausperes	-⌫---|----|
simang e rés	-|----⌫-⌫---|
puismedonré suobeneisson	---|-|------⌫|-|--------|
ysaacdis tfilzesau	----|---⌫|---|---|
iacob t es freres t	----|-⌫-|-----||
par droit non	--|----|--|
estia cobno nmés	--|--⌫--|--⌫----|
quiua ut autant	--|--⌫-|-----|
con sorpl ante r	--|-----⌫----⌫|
biau sfil zn etai maisquedonner	----⌫|---⌫|-⌫||-|---|--|-----|
cil quif ist	--|--|-⌫--|
laterreet lamer	-|----|-|-|--|
beneissontewoilt donner	--------|-|----|-----|
don cesause std epart is	---⌫|---||-⌫-|-⌫-----⌫-|
deson peretrestous	-|--|---|-------|
esaudeslo rsenhait	---|--|--⌫-|-----|
iacob sonfreree n so n	----|--|----|-⌫|--⌫|
c a rfu storesme sp eresmors	-⌫-⌫|--⌫-|---|--⌫|-⌫---|---|
soccirr oiesonfiliacob	|------⌫--|--|--|----|
cesparol esf urent	--|-----⌫-|-⌫----|
arebeque lormerep ie	|------|--|---|-⌫-|
iacob apelle e t selidi st	----|-----|-⌫|-|-|--⌫-|
entenamoi uien	----||--|---|
sabiausfilz	-|----|---|
tesfreresfilztamenac ié	--|-----|---|||-----⌫--|
quitoccirasansatargier	--||-----|---|-------|
biausfilsdonq uescaro i	----|---|----⌫--|--|-⌫|
a mon la bent anfuis	|--|--⌫--||-----|
etquih abitee t q uidemo re	-|--|-⌫----|-⌫|-⌫-|----⌫-|
enaransansnulled emo re	-|---|---|----|-⌫---⌫-|
qu a t ansques oi t abaiss i é	-|-⌫-⌫--|--|-⌫--⌫|------⌫-⌫-|
tonfrere etobli é	--|----|-|----⌫-|
puisapr es te re no ncerai	---|---⌫-|-|--⌫--⌫-----|
leutera manrai	--|-|--⌫-----|
seraiuesue	----|----|
enzzsoliour	-|-|--|---|
deyyan fanssefais	-|-|--⌫---|-|---|
puis est uenue	---|--|----|
mauie f aitell emanuie	-|--|-⌫--|---⌫||----|
pourcoip our les f illesbethel	---|--|-⌫--|--|-⌫----|-----|
linaiaco best	--||----⌫|--|
fanmecert es ie enmourrai	----|----⌫-|-|-|------|
deliu reanserai	-----⌫-|-|----|
ys aacdo nc ape lerfist	--⌫--|--⌫-|---⌫--|---|
iacobetsila	----|-|-|||
puisliadis t	---|-||---⌫|
biaus filzuat	----|---|-||
aufreretamerelaban	-|----|-|---|----|
quefanmeaies	--|----|---|
dechan a amdesa lign ie	-|----⌫-⌫-|-|-|----⌫-|
etdist quilest rebequefilz	-|---|-|-|--|------|---|
etcellecourranssan	-|----|-------||-|
ason perenonci erl ala	|--|---|-----⌫-||--|
quelifilz dere beq ueuie nt	--|-|---|-|--⌫---⌫-|---⌫-|
e t labanenc on treliu ient	-⌫|----|---⌫--⌫--|-|-⌫---|
ambrace et la baisié	------|-|||------|
ensamaison l	-|-|-----||
et lacauseliaconté	-|-|----|-||-----|
pourcoiilesto it laa lés	---|--|-|----⌫-|-|-⌫---|
doncdistlaban m a	---|---|----|-⌫|
bouchei es	-----|-⌫-|
etmalignien	-|-|-----||
ouwe ilnoier	-|--⌫-|----|
etq uant zzmoisfu	-|-⌫---|-|---|-|
trespa ssés	------⌫----|
si distlabanbiausniesoiés	-|---|----|----|---|----|
ia croipour	-|---|---|
nia ntme seruirr as	---⌫-|-|-------⌫-|
dique lloier dem oipa nras	-|---⌫|----|-|-⌫-|--⌫---|
y y filles	-⌫|-----|
ou tgenrees laban	--⌫|------|----|
rach el auoitnon	----⌫-|----|--|
lamains grans	-|----|----|
lyalaplusgra nsnon	--|-|---|---⌫-|--|
maisch acioused e siexesto it	---|--⌫------|-⌫-⌫|--|----⌫-|
quiformantlaidela faisoit	--|------|----|-|------|
racheles toi t	-----|--⌫---⌫|
belledeface	----|-|---|
et de rega rtmultanmiable	-|-|----⌫-|---|-------|
l a quelle iac obanma	-⌫|-----|---⌫-|---|
p our c equelle auoit noblec o rs	-⌫--|-⌫|-|---|----|----|-⌫-⌫-|
a so no n clea	|--⌫|-⌫-⌫--||
dist ia cob	---|--⌫--|
pour fil l e lapl u s	---|---⌫-⌫|-|--⌫-⌫|
yyanste seruiraim a isquill e	-|--|-|-------|-⌫-⌫---|---⌫|
seram espouse	---||------|
labanrespontm ul tmiexiel	----|------|-⌫--⌫|---|-||
q ueladoinsetoiquautrespert	-⌫-|-|-----|--|-|-----|---|
d emoreauoietmesert	-⌫----|---|-|-|---|
fiablemen ttu l aueres	---------⌫|-||-----|
donques iacobser uitlaban	------|----|---⌫--|----|
pour rac hel	---|---⌫--|
sa fille yy ans	-|----|-|--|
quant liyyansfu rentp a ssé	----|-|-|--|--⌫---|-⌫-⌫---|
safanmealaban	-|----||----|
donn emoi fanme i ai	----⌫|--|----||-|
letens que iete doisseruir	-|---|--|-|-|---|-----|
donclabanmultde	---|----|---|-|
aapelé gransnoces fist	|-----|----|----|---|
etquantce alanuitier	-|----|-|||-------|
que racheldu toul uicou chier	--|-----|--⌫|-|-⌫-|---⌫----|
lya liaonamene e	--|-||-|-----⌫|
quiparz elphan	--|--|-⌫-----|
li fu liuree	-|-|-----|
qui iertsa pucellea laniournee	--|---|-|------|||--------|
a iacobli amre gardee	|----|--⌫-|--⌫-----|
quicouchieestoitou lui	--|------|-----|-|--|
au c uerenou t multgranta nui	-|-⌫--|-|--⌫|---|----|-⌫--|
puis s estle ués	---||--|--⌫---|
e te st esmeus	-⌫|-⌫-|-----|
as onso ire enestuenus	|-⌫-|--⌫--|-|--|----|
pourrachelai	---|-----|-|
etuneautr e	-|--|----⌫|
asmi sles moi	-|--⌫|--|--|
labanresp ontanousnest mie z	----|----⌫--||---||--|---⌫|
quemariens le s	--|------|--⌫|
plus petites	---|------|
maisansoisl es	---|-----|-⌫-|
ou c esteisoiesune	-|-⌫----|----|--|
puistedonrailautre	---|-|-----||----|
ma i s yyan s	--⌫-⌫|-|--⌫|
man reseruiras	|-|---------|
ainsiscon de lyafait	-----|--|-|--|---|
quantl a semai nne	----|-⌫|-----⌫--|
ia co barachelespousee	--⌫--⌫||-----|-------|
plusdelya l auoit anmee	---|-|--||----|----|
nos tre siressanco ur resa	---⌫--|----||-|--⌫--⌫---|
etbrehainn e rachelfaitea	-|--------⌫|-----|----||
etlia fistauoirp lante	-|--|---|----|-⌫----|
d etoutgrantrichete	|-|--|----|------|
lya consust	--|------|
zzanfant queruben nonma	-|-----|--|----|----|
etdistbienmareg ardé	-|---|---|||---⌫----|
q uehunblesui	-⌫-|-----|--|
sicon liplut	-|--|-|---|
ors eraiie multbienanm ee	-|-⌫---|-|---|---|---⌫-|
demon mari e t regardee	-|--|---|-⌫|-------|
puisreconsustetanfanta	---|--------|-|------|
zzfilmasleetpuis parl a	-|--|----|-|---|----⌫|
quedieusa bien	--|----||---|
metient engran t	-|----|-|----⌫|
m aildonnéicestuifi l	||-|-----|------|--⌫|
s ymeonapela ces tei	-⌫----|----|---⌫--|
entiersconsutetanf anta	-|----|-----|-|---⌫---|
etzz autremasleeua	-|-|----|----|-||
e t pui sd istorseconplera	-⌫|---⌫|-⌫--|-|-|-------|
m es m ariset plusm	-⌫-|-⌫---|-|---||
anfans anfa nté ai	-----|----⌫---|-|
pour cecetiersleuidirai	---|-|-|----|---|----|
enquars consut	-|----|-----|
anfanta fil	------|--|
et pui spar oleredi st	-|---⌫|---⌫--|----⌫-|
m aintenantmeconfesserai	-⌫--------|-|----------|
si g noursidirai	--⌫-⌫---|-|----|
queiei udasla pelerai	--|-|-⌫---||-⌫------|
pu iscessa	--⌫-|----|
liaenfanter	--|-------|
et rac helsaa regardé	-|---⌫--|-||-------|
qu estoitbrehainnesio ut	-|-----|--------|-|-⌫-|
s erouretai nsiscri e	-⌫----|-|--⌫---|---⌫|
ason mariiacoblepie	|--|---|----|-|--|
donne moifilzouie	----|--|---|-|-|
suer sseie	----⌫|-|-|
a cuiiacob tr estousp lainsdire	|--|----|--⌫-----|-⌫----||--|
sirespon dist etp rint adire	-|------⌫---|-|-⌫---||---|
suimidieus quitedoin se	--|-|----|--|-|----⌫-|
en ton uentre	-|--|-----|
enfe nsamoinse	----⌫-|------|
nesui mi dieusquaieestoup é	-|--|-|----|-|--|------⌫-|
ton u entre que na ie senfanté	--|-⌫----|--||-⌫--⌫|-------|
etce lledist ieai pucell e	-|--⌫--|---|-|-|------⌫|
quepar nonbalamtuit apellent	--|--|--|----|---|-------|
ouceleigeietq uantdeuer a	-|----|--|-|-⌫---|-----⌫|
anfantauoirsanfantera	-----|----||--------|
sor mes genex etset anra	--|--|----|-|-|-⌫---|
quantnéss era ieno nce rai	----|---|-⌫--|-|--⌫---⌫--|
quellem a idoit	-|---||-⌫----|
eti anf antai	-||---⌫----|
uolcistounone ncelle nuit	------|-|--|-⌫|----|---|
sonmaric elei conduit	--|---|-⌫---|------|
enfent consute tanfanta	-----|-----|-⌫|------|
si conrachelloutdi stpiesa	-|--|-----||--|--⌫-|----|
qu antilfunezmales	--⌫--|-|-|--|----|
et rachel pource lapeloit	-|-----|---|-||------|
danque den édieusliauo it	--|--|---⌫-|----|-|---⌫-|
si c ondisoi t hon teauoit	-|-⌫-|-----⌫|---⌫-|----|
quantnauoi toirs	----||----⌫|---|
pourtel fr autpourceles	---|--|--⌫--|---|-|--|
ces filztousles nonmoit	--|---|---|--|------|
bala consustetranfanta	---|------|-|-------|
zz au tr emalerachel parla	-|--⌫--⌫|---|-----|----|
a masuerma	|-|---|||
dieu sconparee	----⌫|-------|
deyyanfans etanforce e	-|-|-----|-|-------⌫|
pourceled irai	---|-|-|-⌫---|
ne pt ali n	--⌫--⌫---⌫|
qu ilestde	-|-|--|-|
p l usn ou t	-⌫-⌫-||--⌫|
bal aque ces yyfi lz	---⌫|--|--|-|--⌫-|
l y acuidoi tquesas uers	-⌫-⌫|------⌫|--|-|-⌫---|
quianfantaetoutconsu	--|------|-|--|----|
maisquant parsoutque nan out plus	---|----|------|--||-|--|---|
etelle a uoirplusn	-|---|-⌫---|---||
ancui doit	-|---⌫---|
sapuc ellefistcon se uoir	-|---⌫---|---|---⌫--⌫---|
marisou disoit soi	---||-|-----|--|
zelpham est oitcellenonmee	------|---⌫--|----|-----|
refu ampr aignee	---|----⌫-----|
quantout consusiprint adi re	----|--|----|-|----||--⌫-|
bonne auanturemesoit sire	----|-------|-|---|---|
qu a ntilfu néscilenonma	--⌫-⌫-|-|-|---|-|-|----|
quoutd ist	-|--|-⌫--|
auoi t nongaa d	----⌫|--|---⌫|
zelpha puis r ou t	-----|---|-⌫--⌫|
zzautre anfa nt	-|----|----⌫-|
s ireuadisant	-⌫|---|-----|
benoite tou tesme diron t	------|---⌫--|-|-----⌫|
po ur cequesabeneiss on	--⌫-|-|-||-|-------⌫-|
ce distlegarson	-|---|-|-----|
entensq ue onsuet m oisonner	-|---|-⌫-|-|---|-⌫-------|
r ubemala lifillye	-⌫---|--|-|--|--|
enchan s pourmoissonnerfroment	-|----⌫|---|---------|------|
etuatrouuant	-|-|-------|
a sa me re lyel esporte	|-|--⌫-|--|-⌫-|----|
rachel lesoutsiliannoite	-----|-|---|-|-|------|
don n e la	---⌫-⌫|-|
pa rt tonfil	--⌫-|--|--|
des mandegloir es	--|----------⌫-|
que deschansuin t	--|--|----|---⌫|
et lyalirespontai nsis	-|--|-|------|--⌫---|
multpou tesa m b leie lecroi	---|--|-|--⌫-⌫-⌫-|-|-|---|
qu an t maritumes so utr ait	--⌫--⌫|---|-||-|--⌫---⌫--|
setu n asa uec	-|-||-|-⌫--|
lesm and e gloires	--|-⌫---⌫-⌫------|
racheldist	-----|---|
anune etia cob s oit	-|--|-|--⌫--|-⌫--|
en cestenuitauecque toi	-|----|---|------|--|
celleli donne	----|-|----|
iacobreuient	----|------|
desc han s lyacontre luiuient	--|-⌫---⌫|--|-----|--|----|
sili adist iacoborsa	-|-||---|----|-|-|
encestenuit oumoige rras	-|----|---|-|--|--⌫---|
carlouétai et	--|----||-|-|
pour mandegloirequottrouue ́	---|----------|-|-|------⌫|
rubentes filzt	----|--|---||
ai achete ́	-|------⌫|
encellenuitliadorm ist	-|----|---|--|----⌫--|
ouson mari etdieus l	-|--|---|-|----||
si anf antapui sle quintfil	-|---⌫---|---⌫|-|----|--|
etpuissidist dieus a donné	-|---|-|---|----||-----|
mon loier a m oi	--|----||-⌫-|
q u ailiuré	-⌫|-|-----|
mapucelleiacobdonné	-|------|----|-----|
ysacar pourc e lapela	-----|---|-⌫||----|
leseissainme	-|---------|
bienenrech i	---|------⌫|
madi eus iai iuoumonmari	||--⌫--||-|-|-|--|---|
tantqueieai	------|-|-|
zab ulonpourcelapela	---⌫---|---|-||----|
pu i sroutune	--⌫-⌫|---|--|
f illed i na	-⌫---|-⌫-⌫-|
nostr e ssiresse st	-----⌫-⌫|----||-⌫-|
derache lquin aenfanté	-|-----⌫|--|||-------|
de iacobli denazzf il	-|----|-|---|-|-⌫-|
laqu ell e c onsust etpuisdis t	-|--⌫---⌫|-⌫-----|-|---|---⌫|
monreproche madieusoté	--|-------|||----|---|
bre hainne nierep lus	---⌫-----||---|-⌫--|
pour ce iosep	---|-|----|
la ap elé	||--⌫---|
quan tn ez fui osepiacob	----⌫|-⌫-|-|-⌫---|----|
alabansonsoireen tenmi	|----|--|----|--⌫--|-|
laisseme e nmonpa is aler	-----|-|-⌫|--|--⌫-|---|
terredon f uinez	----|--|-⌫-|--|
me sfanme s mesanf ans	--⌫|-----⌫|--|---⌫--|
pou r le quexiet	---⌫|-|---|-||
ai s erui tant	-|-⌫---|---|
irai car tusesbie n	---|--|-|--|---⌫|
coni aia toi serui tr es bien	--||-||--|----|--⌫-|---|
labanrespontie trouuerai	----|------|-|--------|
grantanmour si c on cr oipour toi	----|-----|-|-⌫-|--⌫-|---|--|
bie na iaprins	---⌫|-⌫|-----|
etes proue ́	-|--⌫-----⌫|
quenostres siresm a	--|------|----|||
be neisson p ou r tabon te	--⌫------|-⌫--⌫|-|---⌫-|
establ i quelque	------⌫|------|
queietedoinse ilpaiés	--|-|-|-----|-|-----|
mais que meseruesde rechief	----⌫--|-|-----|--⌫------|
iacobad ist etrespondist	----||-⌫--|-|---------|
tusesbien conie	-|--|---|--|-|
t ais erui	|-|-⌫---|
et quellet u	-|-----|-⌫|
baill asamoi	-----⌫-||--|
tabes te illed epoure	-|---⌫--⌫---|-⌫|----|
ain squeu enisse petites esti ent	---⌫---|-⌫-----|------|----⌫--|
or enie z riches sortoute	-|-|--⌫|-----|--|----|
nostres si ressi tadonné	------|--⌫--|-|||-----|
beneison amonantrer	-------||--|-----|
bon ne choseestetdroite	---⌫-|----|--|-|-----|
q u epo uruoissea mamainie	-⌫-⌫|--⌫-------||-|-----|
donie les puissesoustenir	--|-|--|-----|--------|
car gransfoisonsencroiami	--|----|------|-|---||-|
labanlidist diquel	----|-|---|-|---|
ietedonrairiens n ete quier	-|-|-----|----|-⌫|-|----|
iacobrespontbiaussoires	----|------|----|-----|
f aissequ e te querrai	-⌫--|-|--⌫|-|------|
tesb est es te	--|-⌫---⌫-|-|
re garderai	--⌫-------|
uapa r tou t es	-|--⌫|---⌫-⌫-|
tes berg er ies	--|----⌫--⌫--|
de so iurecellesqui	--⌫--⌫---|-----|--|
leuetsu nttachies	--|-|--⌫-|------|
e tquelqu e chosesera troué	-⌫|------⌫|----|---|-----|
ro us e parpeletmaculé	--⌫--⌫|--|--|-|------|
oudecoulordiu erse iere	-|-|-----|---⌫---|---|
entreb e rb is etentre ch ieu res	----|-⌫-⌫--⌫-|-|----|--⌫---⌫--|
madesertemesloie rs soit	-|------|--|----⌫-|---|
sedroit t e	-|----|-⌫|
et site plai ttu pou rras dir e	-|-|-|----⌫|-|---⌫---|---⌫|
ques aiamb lee s	-|-|-|---⌫---⌫|
etmalmises	-|-------|
labanrespontieweilmultbien	----|------|-|---|---|---|
quil soitainsisco n m ereq uiers	-|-|---|-----|--⌫|-⌫|---⌫----|
etl abandeseure berbi s	-|-⌫---|------|-----⌫|
chieuresetb ousaroisaus is	-------|-|-⌫--|----|---⌫-|
quid iuersecoulour auo i ent	--|-⌫-----|------|---⌫-⌫--|
ettachiesenpel estoient	-|------|-|--|-------|
lautre bergeriequil a	|----|-------|-|-||
quisuntdecoulourenseua nt	--|---|-|------|------⌫-|
quinoir uerréou t o ut blanc	--|---|-----|-|-⌫-⌫-|----|
etacesfilz lesa baillies	-||--|---|--||-------|
queenlor m ains	--|-|--|-⌫---|
lormult eplient	--|----⌫------|
entreicellesquil outliurees	----|------|-|-|--|------|
ace s fil z et iacob	|--⌫|---⌫|-|----|
amisd esp aceetdeterre	|--||---⌫--|-|-|----|
tantcon pourroitenyy io urs querre	---|--|-------|-|-|--⌫--|-----|
quipaissoit lesau tresberbis	--|-------|--|--⌫---|-----|
ainsisloinscon	-----|----|--|
i euos a i dist	-⌫|--|-⌫|---|
iacobzzgrantbaratpansa	----|-|----|----|----|
uergesuersd epouplierprinsa	-----|---|-⌫|-------|----||
amandr iers et	------⌫---|-|
samblanslesf ai t	-------|--|-⌫--⌫|
aces berb is	|--|----⌫-|
enleusdiuers oste	-|---|-----|---|
l e sco rce	|-⌫---⌫--|
et dautrepa rtmie	-||----|--⌫-|--|
qu ant lesc orc eout	--⌫--||---⌫---⌫|--|
endiuers leu se tuar ié	-|-----|---⌫|-⌫|---⌫--|
blancheapar utetdes polié	------|----⌫-|-|---⌫-----|
etc ellesq uientieres furent	-|-⌫----|-⌫-|-------|-----|
uers e t a pp aru rent	---|-⌫|-⌫--⌫---⌫---|
entelmenier e sun tlesuerges	-|--|------⌫|---⌫|--|-----|
ensifaitescoul oursdiuerses	-|-|-----|----⌫---|-------|
iacob lesm istenlafontainne	----|--|-⌫--|-|-|--------|
o u li foisond e laigueuaine	-⌫|-|-----|-⌫||----|----|
quantlesberbis uanront	----|--|-----|------|
pourb oiurelaiguesi aueront	---|-⌫----||----|-|------|
cellesuerge s deuantlesfrons	-----|-----⌫|-----|--|----|
entel menie ref ou onn eront	-|--|-----⌫-|-⌫--⌫---⌫----|
cuml isola usfuhautleu és	--|-⌫|----⌫-|-|---|---⌫--|
etl onbresfupetis	-||-----|-|----|
ett ensestoit	-|-⌫--|-----|
iade uenir	-|-|----|
deabaissieretanounir	-|--------|-|------|
lesberbisuinrent	--|-----|------|
les u erges	--|-⌫----|
u in rentreg arder	-⌫--⌫---|---⌫----|
iaco blesb erbis	----⌫|--|-⌫----|
etlesarois dune	-|--|----||--|
etles uerges	-|--|-----|
mest alor uis	---||--|--|
b lanches etn oireses tientlaban	-⌫------|-|-⌫----|--⌫----|----|
lesautresquiestient	--|-----|--|------|
estientia cobgenrelaban	------|--⌫--|----|----|
donquesquantl imeidisestoit	------|----|-⌫|-----|-----|
iaco blesuerges	----⌫|--|-----|
asiexme toit	-|--|--⌫---|
aspertuis oulaig ue uenoit	-|------|-||---⌫-|-----|
deuantber bis	-----|---⌫--|
deuantaroi s	-----|----⌫|
pourcequ ant les	---|-|--⌫--|--|
uerg esuerro n t	----⌫-|-----⌫-⌫|
e nlorre gar tconceuer o nt	-⌫|--|--⌫---⌫|--------⌫-⌫-|
q ua n tli ue spresestoitbaisiés	-⌫--⌫-⌫|-|--⌫----|-----|-------|
et nui s uenoitpouranuitier	-|---⌫|-----|---|-------|
etles bestesde uient	-|--|-----|--⌫----|
lesuerges iacob n aparoille	--|-----|----||--------|
cel lesqui estient dousoir	---⌫--|--|------|--|---|
es tientlabaniacob	--⌫----|----|----|
c eauma tinconc euoit	-⌫|-|--⌫--|----⌫----|
enrechisfuoutre meniere	-------|-|----|------|
iacob parf raude ente l meni ere	----|--|-⌫----|-|--⌫|----⌫--|
bergerieschamoset	--------|-----|-|
serien s auoi t	------⌫|----⌫|
etdanmoiselles	-|-----------|
lifil la ban	-|--|--⌫--|
uontmurmur ant	---|------⌫--|
queiacobua toutsoustrai h ant	--|----|-|---|--------⌫-⌫--|
quanque auoi tamasséla ban	------|----⌫|------|--⌫--|
quantsout iacob siapela	----|---|----|-|----|
rachel sesfan me set lya	-----|--|---⌫--⌫|-|--|
