etuosseruoi eparchans	-|--|------⌫|--|----|
sirebertrande	---|------|-|
cond uire pen sez	----⌫---|---⌫--|
negardonsleurequenossoions	-|------||---|--|--|-----|
etdit bertrama tot tens iuendrez	-|--|------||--|---||------|
cha rs deuonsore chan ter	---⌫-|-----|--|----⌫--|
quilecharroi deuo i ent bien	--|-|------|----⌫-⌫--|---|
p o rtentcor onesetg ue ulesetb au drez	-⌫-⌫----|---⌫---|-|-⌫--⌫---|-|-⌫--⌫---|
por tentgranzb orses	---⌫---|----|-⌫----|
c ha ng er	-⌫--⌫--⌫-|
cheuauc hent mu ls etsommierstozgastez	-------⌫---|--⌫-|-|-------|--|-----|
s esue issiez encontremonterrer	|-|--⌫-----|-----------|----|
de malegent uos	-|---|---|--|
peustremenbr er	----|-------⌫-|
en cele t erre ne sa ur ont	-|---|-⌫---|-|--⌫--⌫--|
por quil soitiorqu enles	--|-|-|---|--|-|-|--|
puist auiser	----|-----|
p ormarchea ntsoientiare f use ́	-⌫-|-------⌫-|-----|-|--⌫-⌫---⌫|
sor lachauc ie pass ent gardoneag ue	--|-|-----⌫-|----⌫--|------||-⌫-|
etdautrep art he r b ergenten zz pr e	-||----|-⌫--|--⌫-⌫-⌫-----|-|-|--⌫|
deuons de xmchanter	-----|-|-|------|
c o mfe tem antilr ef u atorné	-⌫-⌫|--⌫---⌫--|-|-⌫--⌫|------|
li cuen sxmues t i	-|----⌫|-|---⌫-⌫|
u negonnele	-⌫-|------|
de tel burel comilo ten	-|--|----|--|-|-⌫|-|
e ten ses iambesunesgranzcha ucesparses	-⌫|-|--|-----|---|----|---⌫---|-----|
sollersdebuef	------|-|---|
q uilachauce li	-⌫-|-|-----|-|
cei ntzzbaudrezzborioisde la	---⌫-|-|-----|-|------|-|-|
prentzzcoutelet gaine moltbele	----|-|-----|-|----|---|---|
etcheuaucha	-|--------|
uneiument foieble	--|-----|------|
yyu iez estrie rsot	-|-⌫--|------⌫-|-|
penduasasele	----||-|---|
siesparo ns	-|------⌫-|
nefu r entpas nouele	-|--⌫-⌫--|--|-----|
y yau oit que il porrent	-⌫|--⌫--|--|-|------|
bienes tre	---|--⌫--|
unchapelotdebo net en sa	-|-----|-|-|--⌫--|-|-|
d elezgar don	-⌫---|---⌫--|
cont reualleriuage	----⌫----|-|-----|
il uecle ss e rentyyyy homesaa rmes	--⌫--|--⌫--⌫-⌫---|-|-|----||-⌫---|
dela mesnie x m fierebrace	-|-|-----|-⌫|---------|
toz lesuilains firenti lens ustrair e	--|--|------|-----|-⌫|---⌫-|-----⌫|
decelsqu enou elen	-|---|--⌫|---⌫--||
comfetauoi rferont	--|--|----⌫|-----|
des tonneaustrere	--|-------|----|
plu sd ey y	---⌫|-⌫|-⌫|
yy loraguillons afaitent	-|--|--------|-------|
trenchen tetfiere nt sacuei llentlorui age	--------⌫|-|-----⌫-||-----⌫----|--|--⌫--|
finerentsiuin rent a noce ne	-------|-|---⌫---||----⌫-|
a lauar dioulap ierrefudr o ite	|-----⌫-|-|-|-⌫----|-|--⌫-⌫--|
dontles corn eles	---|--|----⌫---|
denymesfurent fetes	-|----|-----|----|
uil esenuonten lorafaire	---⌫||-|---|-|--|-----|
adont regarden tsi	----|--------⌫|-|
parlentlun alautr e	------||-|||----⌫|
ueni rdem ar cheanz grant masse	----⌫|-|-⌫--⌫-----|----|----|
uoird itli autreonques	---|-⌫-|-|----|-----|
mes neuistale	--|-|--|---|
tantlescoitierentque	---|--|---------|--|
il uinrenta u	-|------|-⌫|
silidemandent	-|-|--------|
quelauo ir fetestrere	---|---⌫-|----|----|
nossyglatonset draspropre se tpa iles	--|--------|-|---|------⌫|-⌫|--⌫---|
e t descarl ate setuertetbrunproi sab le	-⌫||------⌫---⌫|-|---|-|---|----⌫---⌫-|
tranchan z es piez ethaubertetuert eaumes	--------⌫|--⌫---|-|------|-|---|-----|
escuspesanz et espe es	----|-----|-|----⌫-|
quitaillent	--|-------|
di en tpa iensicia grant	--⌫--⌫|--⌫---|--||----|
oralez donquesau mestregui onnage	-|---|------|-|-----|---⌫-----|
tant ontxm che uauchiée terré	---|--|-|---⌫-------|-⌫|----|
uausetmontaigneset te rtre stre spass e ́	---|-|---------|-|--⌫----⌫|---⌫-----⌫-⌫|
qu ilson tuen u an ymes la	-|-|---⌫|---⌫||-⌫---|-|
dedenzlaportefont lor	-----|-|----|---|--|
charr oientrer	-----⌫-|-----|
lun enpresl	|-|-----||
autresicomme	----|-|----|
ilest serré	-|--|-----|
parmilauileenest lecrialé	----|-|---|-|--|-|--|---|
mar cheantriche de	---⌫-----|----|-|
celautreregne	--|----|----|
t el auoirma inn entoncn efu	-⌫-|----|--⌫---⌫--|--|-⌫|-|
mes ent onneausontfettot enserrer	--|-|-⌫------|--|--|--|-------|
li ro is otransqui eno iparl er	-|--⌫-|-----|--|-|-⌫|----⌫-|
il e tharpinsaualentles degrez	-|-⌫|------|------|--|-----|
freres est oient molt sedurentamer	-----|---⌫----|---|-|-----|---|
seig norestoientde	----⌫--|-------|-|
la bone c it e	-|---|-⌫--⌫|
trusqu aumarc hi ene	-----|-|----⌫--⌫|-|
se sont a resté	-|---|-⌫-----|
yy paien sontau eceaus	-|-----⌫|--|--⌫-|---|
seig no r oiezquedieusuosbene ie	----⌫--⌫|---|--|----|--|----⌫-|
liglori euslifiz sainte m arie	-|-----⌫--|-|--|-----|-⌫---|
cestechancon	----|------|
que ge uosuo rraidi re	--|-|--|--⌫---|--⌫-|
ele nestpasdorgueil ne de	--||--|--||------|-|-|
nedemencongeestr aite neenquise	-|-|-------|----⌫---|-|------|
mes depreudomes quiespaigne	--|-|--------|--|-------|
conquistre nt	----------⌫-|
ihesu ontsa loi essaucie	----|--|-|--|-------|
cestecite dontgeuo s chantdenymes	----|---|---|-|--⌫|----|-|----|
es t enla terre	--⌫|-|-|----|
demonseignoraagile	-|--|------|-|---|
desestresde lauile	--|-----|-|-|---|
mes a celeheuren	--||---|----||
eni auoitmi e	-||----|--⌫|
ainziertlaloidela ge ntpaieni e	---|---|-|--|-|-|--⌫-|------⌫|
la ouilprient	-|-|-|-----|
m ahometetsesydres	-⌫-----|-|--|----|
etteruaganq ui lorfu enaie	-|-------|-⌫-|--|-|-|--|
et si tenoientlor plet etlorconcile	-|||-------|--|---|-|--|------|
si assenbloien tdep artotel a	||-----------⌫|-|-⌫-|---|-⌫|
xmu ienttot droi tenmila pl ace	-|-⌫---|--|----⌫|---|-|--⌫--|
pa rroniotent ailliéde	--⌫---||-|---⌫------|-|
uert marbre	---|-----|
lade scendi xmfiereb ra ce	-|--⌫-----|-|------⌫--⌫-|
e tpri st sa borsesesdeni ers endeslace	-⌫|---⌫-|-|----|--|----⌫--|-|------|
p oign ie lesbonsdeniersen sache	-⌫----⌫-|--|---|------|-|----|
celuidemand e	----|------⌫|
quipr entleguionnage	--|--⌫--|-|--------|
ne uelt porrie nsque	-|---|--|---⌫-|--|
il nu lmallor face	-|--⌫|--|--|---|
dientxmiamar	----|-|-|--|
i auro i z gar de	|----⌫-⌫|---⌫-|
iahomedesiriche	||---|-|-|----|
s iluosdisoi t n e	|-|--|-----⌫|-⌫|
orguelneoutrage	-----|-|------|
quen enpen distparla geu leaz z	--||-|---⌫---|--|-|---⌫-||-⌫|
andemantierquilu on tainsi par lant	------------|-|-⌫--⌫|----|---⌫---|
etax mlecont e	-||-⌫|-|----⌫|
p ledoian t	-⌫-------⌫|
atantezuos	----|-|--|
ethar pin eto tr a nt	-|---⌫--|-|-⌫--⌫-⌫-|
ouil dema nden tleprisié	-|-|----⌫----⌫|-|------|
march eant	-----⌫---|
dientxmquileuont esgardant	----|-|--|-|---|--------|
uoslac el pr eudomeaue nant	--|-|-⌫-|--⌫-----|---⌫---|
acelchap elacele	|--|----⌫-||---|
barbegrant	----|----|
q uia cezaut res uet	-⌫-||--|---⌫--|--|
comma nda nt	-----⌫---⌫-|
liroisotrant	-|---|-----|
donte stes uos b ia u s amis	---|-⌫---|--|-⌫--⌫-⌫|---|
m archeant	-⌫-------|
s i renozsommesd angleterrela gran t	-⌫-⌫-|--|-----||---------|-|----⌫|
decantorbi re unecite uaillant	-|--------⌫-|--|---|-------|
au ezu ozfemebiausamisma rcheant	--⌫-|-⌫-|---|----|---|--⌫------|
oi l moltgente etyy enfanz	--⌫|---|----|-|-|-----|
tu itsont petitne n i	--⌫-|---|----||-⌫||
aquey ygranz	|--|-⌫|----|
lunsanombegues et l	|--||--|-----|-||
autre anomsorant	----||--|-----|
ue e zleslase ne mestes	--⌫-⌫|--|-|-|-||----|
endeus lorm os tre guielinet bertran	-----|--|-⌫--⌫--|------|-|------|
sine ueu ierent fiz berna rt de brebant	-|--⌫--|-----|--|-----⌫-|-|------|
uonte sg ardant	---|-⌫--⌫-----|
a grantmerueille	|----|--------|
auezorbi ausenfanz	---|-|--⌫--|-----|
s il seseu ssent	|-|-|---⌫----|
uest i rau enemant	----⌫-⌫|--⌫------|
liroisotranslen apelaerrant	-|---|-----||-|----|-----|
com aueznom	--|---|--|
beausamismarchean t	----|---|--------⌫|
biautresdouzsiref iacre uoirement	---|---|---|---|-⌫----|--------|
dit lix mcestn omde pu tegent	--|-|-⌫||--|-⌫-|-|--⌫-|---|
fiac re frerequel	----⌫-|----|---|
au oiruas m enant	--⌫--|--|-⌫----|
syglatonss i re cende ause tboquera nz	--------|-⌫-⌫-|-----⌫--|-⌫|-------⌫-|
etescarlateetuertetpersuaillant	-|--------|-|---|-|---|-------|
et blanshauberz etforz elmesluis ant	-|----|------|-|---|----|----⌫--|
tra nc hanz esp iezetbons	---⌫--⌫---|---⌫--|-|---|
escu pesant	---|-----|
cleresespeesauponzdo rreluisant	-----|-----|-|---||-⌫|--------|
respont otra ns bienuos	------|----⌫-|---|--|
est ma rcheant	--|--⌫------|
etditx m baronssoffr ez a	-|--|-⌫|-----|-----⌫-||
derriere uiene n tliplus	-------|-----⌫-⌫|-|---|
chiergar nemant	----|---⌫-----|
que e stcedonc	--|-⌫-|-|---|
elpremierchie deuant	-|------|---|-----|
encrese tsoffre sencenzet uisargent	-----|-⌫|------⌫|-----|-|--|-----|
pelete riebazenneetcor doa n t	------⌫--|------|-|---⌫---⌫-⌫|
etp e au x demartr e qu ibones	-|-⌫-⌫--⌫|-|-----⌫|--⌫|----|
s ont en ten s	-⌫--|-|---⌫|
otranslentents isenritbonem ant	-----||-----|-⌫||-|--|-----⌫--|
fir entioiegrant	---⌫--|---|----|
lir oisot ranslenprist	-|-⌫--|--⌫---||-|----|
fiacr ef rer epar	-----⌫|-⌫---⌫|--|
paruozplesirdites	--|--|-----|----|
nozueritez	--|------|
mienescientmol tgrantauoirauez	---|------|---⌫|----|----|---|
quiacharroi l e faitesa mener	--||------|-⌫|-----|-⌫----|
paru ozmercizfe tes nosente ndant	--|-⌫-|-----|--⌫--|--|----⌫----|
ce zau tres	--⌫|--⌫---|
qui so mmesbacheler	--|--⌫---|-------|
preu i auroiz selecheminusez	---||-----|-|-|-----|---|
xm biausi re	-|---|--⌫-|
oruossoffr ez	-|--|-----⌫-|
ge n en istraihuim esdelacite	-||-|-----|--|-⌫-|-|-|---|
iuorraidemo rer	|-----|----⌫--|
ia neuerr oiz de main midi spasser	-|-|----⌫--|--⌫---|----⌫|-----|
u espressonne r ne soleilresco nser	-⌫-----|-----⌫|-|-----|-----⌫---|
demonauoiruosferai	-|--|----|--|----|
tozlipl usf orz	--|-|--⌫-|-⌫--|
i auraqueporter	|---|--|-----|
dientxm m ar chean ttrope sber	----|-|-⌫--⌫-----⌫|---|-⌫|--|
mol tparesl ar gesseulemen t	---⌫|--|-|-⌫--⌫--|--------⌫|
s estes preudon nozle	|----|------|--|-|
s auronsas sez	-⌫-----|--⌫--|
uoi redist i lplusque	---⌫-|---|-⌫|---|--|
uosne creez	--|-|----|
onquesnefui	-----|-|--|
tri cheresne auers	---⌫-----|-|----|
limien sauoirsest tozabandone z	-|----⌫|-----|--|--|--------⌫|
amesamisqu idem oisontpriuez	|--|---|--⌫|-|-⌫-|---|-----|
seshomes alicuensape lé	--|----||-|----|---⌫--|
est ua encore toz mescharroiz e nt rez	--|-|-----|--|--|-------|-⌫--⌫--|
o iluoir sire	-⌫-|---|---|
la merci damede	-|----|-----|
pa rmiles rues lescommenceaguier	--⌫--|--|---|--|-------||----|
e slarges place	-⌫|-----|----|
ezles uo sdesc ombrez	-|--|--⌫|----⌫-----|
neue ult est r ederiensempri sonez	-|--⌫--|---⌫-⌫|-|----|-----⌫----|
saubesoing uientquilsepuistdeli urer	|-|------|----|-|-|-|----|----⌫---|
l u isdu p alesen	|-⌫-|-|-⌫---|-|
ontsiestopé	--|-|------|
quasxmss er egri es	-|-|--|-⌫--⌫|---⌫-|
li roi s otrans	-|---⌫|-----|
lic ommencaa dire	-|-⌫------||---|
fiacrefrer e par lalo i	-----|----⌫|--|-|--⌫|
donttuui ues	---|-|--⌫--|
ouasconquissi	-|-|------|-|
richemenantie	----|-------|
p aisn enque lfie estta	-⌫--||-|---⌫|--|--|-|
etditxmceu os	-|--|-|-|-⌫-|
aigea uq uesco nquiss e	-|-|-⌫--⌫--|--⌫------⌫|
orsim enuo isde	-|-||-|--⌫-|-|
lonbar di e	------⌫--⌫|
et en calabreen puilleetensezille	-|-|------|-|-----|-|-|------|
ena lemaigne	-|-⌫-------|
des iqu enro menie	---⌫--|-|--⌫----|
etencostaneetdi luecen hongrie	-|-|------|-||-⌫---|-|------|
puis m enre uiendecadeu ers gali ce	---||-|--⌫---|-|-|---⌫--|----⌫-|
parmiespaigneune t err egarnie	----|-------|--|-⌫---⌫|-----|
et enpoit eudesie nnormendie	-|-|----⌫-|---|-⌫|--------|
enengle terreenesc oceestma	-|-----⌫----|-|---⌫--|--|-|
desiquengalesnefineraigemie	-----|-|----|-|------|-|--|
tot droitaucra cmen erai monenp ire	--|----|-|---⌫|---⌫---|--|---⌫--|
a u nefoir edegrantanceserie	|-⌫-|----⌫|-|----|--------|
mon changefaizelregne deuenice	--|-----|---|-|----|-|-----|
die nt xmmaintete rreasrequise	---⌫-|-|-----|--⌫--|-|------|
n estpasmerueilleuilains	|--|--|--------|------|
oi ezseignorpord ieudemaies te	--⌫-|------|--|-⌫--|-|-----⌫-|
commentxmfule iorauisé	------|-|-|-|--|-----|
li roisotra nsleprist a regarder	-|---|----⌫-|-|----||-------|
loisifaite m antp arler	|-|-|-----⌫-⌫--|-⌫----|
si aueulabocesorl enes	-||--|-|---|--|-⌫|--|
l orli rem ainbre	-⌫-|-|---⌫-----|
fil aym eridenerbonesormer	--|---⌫--|-|------|--|--|
qu ant il leu ita pou n estfors ené	--⌫--|-|-|-⌫-||--||--|----⌫---|
tr estoz lisancdelcorsl iest muez	--⌫----|-|---|--|---|-⌫|--|---|
lecuerlifa uta	-|---|-|--⌫-||
pouquiln est pasmez	--|-|-||--|-----|
corto i se mantl en a	-----⌫-⌫--⌫---||-||
silenapele comi ao irpo rrez	-||-|----|--|-⌫|-⌫-|--⌫---|
fiacrefrerepar	-----|----|--|
laloiq uetenez	-|--|-⌫-|----|
celegrant boce que auezso r l e nes	---|----|---|--|---|--⌫|-⌫|--|
quilauos fist ga rdeznesoit celé	--|-|--|---|--⌫---|-|---|----|
or me remembredexm aucort nes	-|-|-------|-|-|-|---|--|
fizay meriquitantestredo ute z	--|--⌫---|--|---|--|----⌫---⌫|
o cism onriche paren te	-⌫--|-⌫-|----|-----⌫-|
p leust ad ieuquiestm o n auoé	-⌫----||-⌫--|--|--|-⌫-⌫|----|
et teruaga netsessaint es	-|-------⌫|-|--|-----⌫-|
quele tenisse cadedenz	--|-|------|-|-----|
e n serré	-⌫-⌫-----|
sico m fai suosque geuoicies ter	-|--⌫|---⌫|--|--|-|--|-|--⌫--|
parmahometia sero itaf ol é	--|------|-|----⌫-|--⌫--⌫-|
penduz as forcheset auuent encroez	-----|-|------|-|-|---|------|
en fe uoua honte liu re ́	-|--⌫|-||----|---⌫--⌫|
sia zzr isgité	-||-|-⌫-|----|
sire di ti lenuersmoi	---|--⌫|-⌫|-----|--|
chosequeuoscidemand e z	----|--|--|-|------⌫-⌫|
u os dir ai	-⌫-|---⌫-|
ge uolentierset degre	-|---------|-|-|--|
quant gefui	----|-|--|
iuen es mesc hinset bacheler	----⌫-|----⌫---|-|-------|
sideui ngler resmerueilleus por embler	-|----⌫-|---⌫--|----------|--|-----|
et engig neres on ques ne	-|-----⌫----|--⌫---|-|
ui mon per	-|--|--|
copoieborsesetgu e illesbienfermez	-----|-----|-|--⌫-⌫----|---|-----|
repristrent li	----------|-|
mestrebach eler	-----|----⌫---|
etmarchea nt cui ge auoieenblé	-|-------⌫-|--|-|----|-----|
alor coriaus	|--|------|
mecreuerent	-|--------|
puismelessierentalera	---|-|---------|---||
s i co mmencaicestmestierque	-⌫|--⌫------|---|------|--|
lamercidieut anten a i c onquest é	-|----|---|-⌫--|-|-⌫|-⌫-------⌫-|
com meauozeulzauezciesgardez	---⌫-||--|---|---|-|-------|
molt au ez fet queber	---|--⌫-|--|--|--|
forchesn e doiz estreencro ez	------|-⌫|---|----|-----⌫-|
zzxms enestdiluectornez	-|-||-|--||----|-----|
cilquelcon nois entl apele rent b arre	--|--||---⌫----⌫--||-----⌫---|-⌫---|
senesc hausiert leroide	------⌫---|---|-|--|-|
desoruorra lem engi er	--|-|----|-|-⌫----⌫-|
enla c ui sine por	-|-|-⌫--⌫---|--|
lefeu alu mer	-|--|---⌫--|
luisdelpale strueues iencombre ́	|--|--|----⌫|-----|-⌫|--------⌫|
parnul engingne p otdedenzentr er	--|--|-----|-|-⌫-|-----|----⌫-|
quantille uit apou	----|-|-|--||--|
nestforsené	|--|-------|
ma hometiureia seracom paré	--⌫----|---|-|---|---⌫----|
harpinsilia totconté	-----|-|-||--|-----|
qui sireestoitdel abo necite	--|---|-----|-|-⌫|--⌫-|---|
ilet sonfrere otr a mle desfa ié	-|-|--|----|---⌫-⌫|-|-----⌫--|
cortoisementl ena	-----------||-||
damoiseaussireen uers moi enten d ez	---------|---|--⌫---|--|-----⌫-⌫-|
parmahommmal noze s tencontré	--|-----|--|--|-⌫-⌫|--------|
decel uilain quiceen z estentré	-|--|-----|--|----⌫|--|-----|
delpa les noz asienconbrez	--|--⌫--|--||-|--------|
quelen ni pue t	--|--|||---⌫|
se g en estoiecre uzet	-||-|-----|---⌫-|-|
escou t ez	-----⌫-⌫-|
nozleferonsc orreciéet iré	--|-|-----|-⌫-------|-|---|
ue ez son auoi rqu il a	--⌫-|--|----⌫|-|-||
ci amas s é	-|----⌫-⌫-|
autr uineueltilrien sdon er	----⌫-|-|---|-|----⌫|---⌫-|
qu efete ssiretrestoz	--⌫|----⌫|---|------|
enlacuisine aumengierconraer	-|-|------|-|------|------|
etdistharpinszzgrant mailmaportez	-|---|------|-|----|---||------|
etcilrespontsicomuoscommandez	-|--|------|-|--|--|--------|
l ipau tonnierss enest dilu ec	-⌫|---⌫-------||-|--||---⌫-|
zzmaildefer li	-|---|-|--|-|
ala aporter	--|------|
aluiretorne el	|--|------|-|
ethar pinhauce sia ba ill ettué	-|---⌫--|----|-||--⌫---⌫-|---|
etpuislenel quiestoitparcelez	-|---|----|--|-----|--|----|
cil duies toient li me strelimonnier	--|--|--⌫-----|-|--⌫---|--------|
etescorchierlesfet aubacheler	-|---------|--|--|-|-------|
enla c uisine por lemengierhaster	-|-|-⌫-----|--|-|------|-----|
ses xm sen	--|--⌫|-|
cuidaconraer	----|------|
mesain zquenaientde riensasauoré	--|---⌫--|-|----|-|----|-------|
mienescient serac hiercomparé	---|------|---|-⌫---|-------|
quez zxm a tot	--|-⌫|-||--|
ceesgarde ́	-|-------⌫|
quantilleuitsi	----|-|-|--|-|
lenam o ltpesé	|-||-⌫-⌫-|----|
xm sil iatotconte ́	-|-|-⌫||--|-----⌫|
l oreill eli conseillasoef	|------⌫|-|--------|---|
nelaparcurent xmne escler	-||---------|-|-|-----|
parma foisire mal uos	--|-|--|---|--|--|
estenc ontré	--|---⌫-----|
d e uoz cha rroio ntia yybuestué	-⌫|--|---⌫---|-⌫-|-|-|---|---|
toz lespl usbiausquau ionsamene ́	--|--|--⌫-|----|-|--⌫---|-----⌫|
aupreu domeerent queauiez	-|----⌫---|----|--|----|
enco ntre ́	----⌫----⌫|
elfront d euantles auoit on	-|----|-⌫----|--|----|-|
en cel tonnel sauezquiest	-|--|-----|----|--|--|
cu ens gilebertde faloise sormer	--⌫--|-------|-|------|--|--|
gautierdet ermes et l	------|-|-⌫----|-||
escotguilemer	----|-------|
bertranuoz	------|--|
auoit aguier	----||----|
mauuesementlesauez	----------|--|---|
uos gard ez	--|----⌫-|
mol t be lemantlirespont etsoef	---⌫|--⌫-----|-|------|-|---|
cefetg ar denel	-|--|-⌫--⌫-|-||
bi ausirei amarlemescre rez	--⌫-|---|-⌫|--|-|------⌫--|
c afet harpinle cu uer t pariuré	||--|-----|-|--⌫---⌫|-------|
porquoideableque	--|---|-----|--|
l oradem an d é	-⌫-||---⌫--⌫-⌫-|
nesai biausire parlafoique	-|--|---|---|--|-|--|--|
sien fuair e ́	-|-|-|---⌫-⌫|
etditenb as	-|--|-|-⌫-|
qu ilnefues coutez	-|-|-|-|--⌫-----|
par aadenisquiestmonauoé	--|-|----|--|--|--|----|
encoren cuise ra	----|--⌫--|--⌫-|
chi er comparé	---⌫-|-------|
en tor l ui	--⌫--|-⌫-|
sontxmamassé	---|-|------|
quimoltlegabent	--|---|-|-----|
etlon tata iné	-||--⌫|---⌫---|
liroisharpinslorauoit comm andé	-|---|------|--|----|----⌫----|
quideparoleseuolta lui mesle r	--|-|-----|-|---||--|-----⌫|
il ets es freres	-|-|-⌫-|-----|
agr apart li	---⌫----|-|
oezseignor que deus uosbeneie	--|------|--|---|--|-----|
comfaitemantxmatainerent	--|--------|-|---------|
liroisotransli	-|---|-----|-|
commencaa d ire	-------||-⌫--|
d i uaui lainsda medete	-⌫-⌫-|--⌫----|--⌫---|-|
porquoinaso res tamesnie	--|---||-|-⌫--|-|-----|
ett oi me ismesdune sole pelice	-|-⌫-|--⌫----||--|---|-----|
molt mieus en fu st	---|----|-|--⌫-|
eta m eeetc herie	-|-⌫-⌫-|-|-⌫----|
etdist xmnidorroieunealie	-|---|-|||------|--|---|
aincoisseraarrierereuertie	------|---|------|-------|
a ma moillier	|-|-------|
quim aten t etdes irr e	--||----⌫|-|---⌫---⌫|
degr ant auoirasazeeetga rnie	-|--⌫--|----|-----|-|--⌫---|
quem amain ie soit par	--|-⌫|----⌫-|---|--|
moi reuestie	--|-------|
lir oisotranzliadit pa r la cont rere	-|-⌫--|-----|-||--|--⌫|-|----⌫---|
diuauilains	---|------|
m ah om met malteface	-⌫--⌫--⌫--|--|-|---|
porquo ias or si	--|---⌫|-|-|-|
g ra nt sollersdeuache	-⌫--⌫-|------|-|----|
gonne leetto n	-----⌫-|-|--⌫|
conroisigaste	-----|-|----|
bi en semble s	--⌫-|------⌫|
home qu i i a biennese face	---|--⌫|-⌫|---|-|-|---|
passa auantsilitirela barbe	----|----|-|-|---|-|----|
parzzpetityypeuz	--|-|----|-|---|
ne liestache	-|-|------|
uoi t lexmpa r zzpounen enrage	---⌫|-|-|--⌫|-|--||-|-----|
lors ditxmquene l	---|--|-|--|-||
en ten ditame	--⌫---⌫--|--|
porcesaiore me sgranzsollersde	--|-||-|--|--⌫|----|------|-|
etma gonnele etmonconroi sigaste	-|-|------|-|--|-----|-|----|
si ai genomxmfierebrace	-|-|-|--|-|---------|
fizxm dene rbonel e sage	--|-|-|--⌫----|-⌫|---|
legentil contequitant	-|-----|----|--|---|
cistxmm afai tore	---|-|||---⌫|--|
n e meco nno it	-⌫|-|--⌫---⌫-|
tiralabarbe	---|-|----|
malfubailliepar lapost reaa	--|-|------|--||-----⌫-|-|
xmditenbasare c elee	-|--|-|--||--⌫-⌫---|
por ces a iore	--|-||-⌫|--|
me schauces e nboees	--⌫|------|-⌫-----|
et mag onnel equieste tgr antetlee	-|-|-⌫-----⌫|--|--|-⌫|--⌫--|-|--|
siest poruoirda n xmmon	-|--|--|---|--⌫|-|--|
cildene rbone	--|-|--⌫----|
qu apro escead uree	-||---⌫---|--⌫---|
labarb eastire e	-|----⌫|-|----⌫|
baillieeparl apostrea apere	-------|--||------|-⌫|---|
qu ainz leuespresera chier	-|---|-|-----|---|----|
oi ez sei gnor die usu oscroiss ebonte	--⌫-|---⌫---|---⌫-|-⌫-|------⌫|----|
comfaiteman txm aouré	--|--------⌫|-||----|
quantsongren onsentitq u	----|--|----⌫-|-----|-⌫|
il aplumé	-||-----|
e tdel charroiiot yybue s tué	-⌫|--|------||-|-|---⌫|---|
orpoez croirequemoltf uairé	-|---|-----|--|---|-⌫|----|
s ilneseuengeiase ra	|-|-|-|----|-|--⌫-|
sor zzparron	--|-|-----|
estxm monté	--|-|-----|
asauoiscler ese	|-|---|----⌫|-|
pris ta escrier	----⌫||------|
felonsxmtozuosconfondede	-----|-|--|--|-------|-|
hui e scherniet	--|-⌫------|-|
etmar chea ntet	-|---⌫----⌫-|-|
uilainapelé	-----|-----|
genesuimiem arch eantparuer te	-|-|--|--|-⌫----⌫---|--|---⌫-|
raoldomacrene	---||-----|-|
su i mesapelé	--⌫|--|-----|
que parl apo stre qu enquiertennoiron pre	--|--||---⌫---|-|-|-----|-|-----|--|
encuisa uro iz	----|--⌫---⌫-|
quelauoiri a imené	---|----||-⌫|----|
ettuhar pincu iuersdesm esurez	-|-|---⌫--|--⌫----|----⌫-----|
as mabarbe	-|-|----|
e t mesg u e rnons t i ré	-⌫|--|-⌫-⌫-⌫----|-⌫-⌫--|
sach és deu oirm olten	----⌫--|-|-⌫--|-⌫--|-|
ne sera i mesnesou pé n e	-|----⌫|--|-|---⌫--|-⌫|
t ant quelaurasde	-⌫--|--||----|-|
isn elemantestenestantleué	---⌫------|--|-|-----|----|
lepoing sen estreliae lchie m e llé	-|----|---⌫----|-||-⌫|---|-⌫-⌫---|
uerslu iletiresilauoit	---|--⌫|-|---|-||----|
hauceledestr equ egr os ot etquarré	----|-|-----⌫|--⌫|--⌫-|-|-|------|
p ar telai rlid o nazz coltel	-⌫-|--|--⌫|-|-⌫-⌫-|-|--|--|
l o s de lagueule	|-⌫|-|-|-----|
liapa rmifroé	-||--⌫--|----|
qu eases piezl	--⌫||--|---||
amor t acreuanté	|---⌫|---------|
pa ienleuoien t lesenscui dentdesuer	--⌫--|-|-----⌫|-|---|---⌫---|-----|
a hauteuoiz	|----|---|
commencentacrier	---------||----|
l erres t ra itres	-⌫----|-⌫--⌫----|
nenpoez eschaper	|-|---|-------|
par xmquiest nos treauoe z	--|-|--|--|---⌫--|----⌫|
a grantmartiresera uozcors	|----|------|---|--|---|
pendusou arsetla poudre	-----|-|--|-|-|-----|
marosashui roih arpin adesé	--|---|--|--|-⌫----|-----|
seure licorent n iontplusdemoré	----|-|-----|||--|---|------|
pai ens esc rientma rch eant tuasto rt	---⌫-||---⌫----|--⌫---⌫---|-|-|--⌫-|
por quoias	--|---|-|
harpincimor t	-----|-|---⌫|
ch os edontiana urasconfort	--⌫--⌫|---|-||-⌫---|------|
ia entauie n i eresd ecie sto r s	-|-|-|--||-⌫---|-⌫|-|-⌫---⌫-⌫|
deuantle duc ueissiez	-----|-|--|-------|
maint po in gclos	----|--⌫--⌫|---|
paiencuider entquil	----|------⌫--|-|-|
niaitmes des noz	||--|--|--|--|
licu e nsxmmitasa bouche zz	-|--⌫-⌫-|-|--||-|-----|-|
yyfoizlesoneetengrail leetengros	-|---|-|---|-|-|-----⌫-|-|-|---|
quantoi lalebarnagerepost	----|-|||-|------|-----|
enz es tonneausoui l	--|-|-------|-|-⌫|
erentenclos	----|-----|
