e nhaute scrieou	-⌫|---|-⌫----|-|
grant arpent	----|-----|
ainsquil pa rlas tn ela t inn eroumens	-----|-|--⌫----⌫|-⌫|--⌫-⌫-|-⌫|------|
etlipaie nscuidecert ai nnement	-|-|----⌫-|----|----⌫--⌫------|
que il laitmortet mis	--|-||--|---|-|--|
af ine ment	|-⌫---⌫---|
depasmiso ns	-|-------⌫-|
reuintxmlifrans	-----|-|-|----|
en p iessedressedi eua pelles ouuant	-|-⌫--|-|-----|--⌫-|-⌫----|-⌫-----|
gloriex diexdistilen sos pirant	------|---|---|-|-|---⌫-----|
tantesbatailleafaite en	-----|-------||----|-|
ainsuers home	---|---|---|
netrouuaisipesant	-|------|-|-----|
uerites est sese uent m a inte	------|--|-|--⌫---|-⌫-⌫---|
honslasoiemort	---|-|---|---|
trueuequant uie nten aucun tan s	-----|----|---⌫-|-|----|---⌫|
ne s tnu l sifors qun e soitausi	|-⌫-⌫|--⌫|-|---|-|-⌫|---|---|
sirediexpere distxm liiantis	---|---|---|---|-|-|-----|
a i nsmaisparhomen e fuiiesi aquis	-⌫-⌫-|---|--|---|-⌫|--|-|-|----|
aucunpichiemaici	----|-----|||--|
entre pris	-----⌫---|
tropfi squefox quantie	---|--⌫|--|--|----|-|
nourritmauoitetcheual lierme	------||----|-|------⌫---|-|
sa inte mariequ ece estque iai dit	--⌫---|----|--⌫|-|--|--||-|--|
illa rtmamereel	--|-⌫-|-|---|-|
mostie rdorignis	------⌫||------|
mesoncle s uaut	--|-----⌫|---|
lor gr ant terret olir	--|--⌫--|----|-⌫---|
m onpere uautesci lliereth onnir	-⌫-|---|---|----⌫----|-|-⌫----|
iu qu anpoimaiscei exm ocis	-|-|-|--|---|-|-⌫|-|---|
dieumoiec orpesederien s il	---|---|-⌫---|-|-|----⌫|-|
andemant iersquil segaimentoitsis	--------⌫-----|-|-|---------|--|
lisar rasinsso rlec ol	-|---⌫-----|--⌫|-|-⌫-|
alapro chierqueli paiensfit	||----⌫----|--|-|-----|--|
cesbo nsde stri erstreb uch aetchai	--|--⌫-|--⌫----⌫--|----⌫---⌫|-|---|
et li paien	-|-|----|
enm ilepreti alit	---⌫|-|---|-⌫---|
pl ustost quepote n	--⌫-|---|--|--|-⌫|
estant resai llit	-----|-----⌫---|
uintuersxmet	---|---|-|-|
xmc on treli	-|-⌫--⌫--|-|
gra ns copsse donentsorleshiaumesbrunis	---⌫-|---|-|-----|--|--|------|-----|
les ont en ba rrés et	--|--|--⌫--⌫----|-|
et chas cun s fudedans	-|----⌫---⌫|-|-----|
lecor s bl emis	-|---⌫|--⌫---|
de lsanc delcors furent	--⌫|---|--|---|-----|
auques a qu is	-----|-⌫--⌫-|
li duibaronfurent fors et	-|--|----|-----|---|-|
moltparsefurent	---|--|-|-----|
achasploi ergreu és	|--------⌫-|----⌫--|
licuensxm aleturcapr essét	-|----|-||-|---|---⌫-----|
ayypoins la parmi l	|-|----|||----||
iaumecoubré	----|------|
par droiteforceli	--|-----|----|-|
a del chiefo st ét	|--|----|-⌫--⌫--|
etenapres a l e bran centesét	-|-|----||-⌫|----⌫|-------|
a zzseulcop li	|-|---|--|-|
a lech iefcopét	|-|--⌫--|-----|
pristledestrierq uei llotamenét	----|-|-------|-⌫-|-⌫-|-|------|
lech iefqueilliotco p ét	-|--⌫--|--|-|-|-|--⌫-⌫--|
alagra ntqueu edelcheua ll a	|-|---⌫-|----⌫|--|-----⌫|||
arierretorneenla bonecite	----|------|-|-|---|---|
milsarrasinsen sonte n contrealés	--|--------|-|---|-⌫-⌫-----|----|
be rniermene rentcorsuble	--⌫----|----⌫---|-------|
le chi efdel t urlia	-|---⌫-|--|-⌫-|-||
ilpresentét	-|---------|
etillan abon emen tmerciét	-|-||-||---⌫----⌫|-------|
amis disti l seruit	---|---|-⌫|-----|
m auésagret	|----||---|
etdi stcors ublec restiiens biax a mis	-|--⌫-|----⌫---|-⌫--------|---|-⌫--|
pa r maho meta gretmaué s seru it	--⌫|----⌫--||---||----⌫|----⌫-|
se oruoloiesdemorer auuecmi	-|-|------|------|----|-|
toutmonroiaumete partira iparmi	---|--|------|-|-------⌫|----|
xmneporroit	-|-|------|
maiscemefaitesque uousmaués	---|-|-|-----|--|---||----|
etdistcorsublesi ef eraito n	-|---|--------|-⌫|-⌫---|--⌫|
son se neschal	--|--⌫------|
apellasi lidit	-----|-|-|--|
ua selidone chergiés yym u rs	-|-|-|---|--------|-|-⌫-⌫-|
etyy courant etarrab is	-|-|------|-|-----⌫-|
etf aismonte r dusqu a	-|-⌫--|-----⌫|----||
mil s arr asins	--|-⌫---⌫----|
et cilresponttouta uostr ep laisir	-|--|------|---||-----⌫|-⌫-----|
lespaiensfait a rmer	--|-----|---|-⌫---|
et fe ruesti r	-|--⌫------⌫|
liseneschaxestoitde	-|--------|-----|-|
bien a pris	---|-⌫---|
xmanmaporce quepreutleuit	-|---|--|-|--|----|-|--|
pl us l idonaqueces sire s	--⌫-|-⌫|---|--|--|----⌫|
corsublecestxm d eparti s	-------||--|-|-⌫------⌫|
conuoieliseneschaxi antis	------|-|--------|-⌫----|
a rmé ssarrasin	-⌫----⌫|-------|
iusquasaint	----||----|
g i l en i	-⌫-⌫-⌫|||
otn ul te rm emis	-|-⌫-|--⌫--⌫|--|
ta ntque i luirentla terreetlepais	--⌫----|-⌫|-----|-|----|-|-|---|
h ed iex aidedistxm	-⌫|-⌫--|---|---|-|
ancuiuerrai mamoll ieretmonfil	----|-----|-|----⌫--|-|--|--|
quea sain t	--||----⌫|
gi le lai ssai quant iefuispr is	--⌫-|---⌫---|----|-|---|--⌫-|
less arr asinsapellasi lordi t	--|-⌫---⌫----|-----|-|--|--⌫|
tournésuousent ariere	-------|---|--|-----|
asaint g ile sen	|----|-⌫--||-|
etlipaiensr etornerent ainsis	-|-|-----|-⌫---------|-----|
a son hostel maintenant	|--|-----|---------|
bons hostes moltgran t ioieli	---|-----|---|----⌫|---|-|
x mlape le conia	-⌫||---⌫-|--|-|
porrés oir	------|--|
ditesb iax h ostespordieudeparadis	----|-⌫--|-⌫----|--|---|-|------|
fem e et iuliiense tmesf is	---⌫|-|-------|-⌫|--|-⌫-|
li ho stesl oitpleure	-|--⌫---||--|-----|
de s iexdel	--⌫|--|--|
sire dist il	---|---|-|
uous i aués fail lit	---||----|----⌫--|
la uostr e	-|-----⌫|
femeenme nasauaris	---|----⌫-|------|
aribuemonticel uostrepais	|--------|---|-----|---|
et u ostrefil menerent	-|-⌫----|--|-------|
droi tene spaingnea co rde s lafort cit	----⌫|-|-⌫-------||--⌫---⌫|-|---|--|
sainte mari e	-----|----⌫|
d istxm li	-⌫--|-|-|
nistraidepainn e tan tco n iesoieuis	|-----|-|-----⌫|---⌫|--⌫|-|---|--|
onquesceliornemanian e	-----|--|--|-|----|-⌫|
aumainselieue salalamesseoir	-|---|-|----||--|-|----|--|
siconx missiforsdelmost ier	-|--|-⌫|---|---|--|----⌫--|
t resdeuan tluitrouay y cheualiers	-⌫--|-----⌫|--|----|-⌫|---------|
nusnmsont etpouresnm	--|-|---|-|-----|-|
nontfildedrapan t ier	|--|--|-|---|--⌫-⌫--|
xm lesu oitesprenta	-|--|-⌫--|-|----||
dontes tes	---|--⌫--|
uos s i ngnornelmenoier	--|-⌫-⌫----|-||-|----|
et uwcilrespondentdesainquentin	-|----|---------|-|---|------|
ill a zzanaconplite t	--||-|-|-------|-⌫|
queasai nt gi le ueni mespr oier	--||---⌫-|--⌫-|----⌫--|--⌫---|
etauuec nou szznobileprincier	-|----|---⌫|-|-----|-------|
sacont r ee appel lo it	-|----⌫-⌫-|-----⌫--⌫-|
etpa ie ns uinrentce	-|--⌫--⌫-|------|-|
paise scillier	---|-⌫-------|
lafo rs l e prinrent l ifelonlo sain giers	-|--⌫-|-⌫|-------|-⌫|----|--⌫----⌫----|
etn ousauuec pard ieu led roitu riernm	-|-⌫--|----|--|-⌫--|-|-⌫-----⌫---|-|
pou resnmque nauonmesdenier	---⌫--|-|--||------|-----|
en nocontreeuolonmesrepa irier	-|-|------|-------|----⌫----|
etd ist xmneuous	-|-⌫--|-|-|---|
chautdesmaier	----||------|
cardiexest grans nm siuouspuetbie n	--|---|--|----|-|-|---|---|---⌫|
ason hostel	|--|-----|
les enmena xm	--|-----|-|
a sseslor done a b oireetamaingier	-⌫---|--|---||-⌫---|-||-------|
u wtoutma intenantlor	-⌫----|--⌫-------|--|
fait robetaillier	---|---|-------|
chemi se et brai es etchauces por chaucier	-----⌫-|-|----⌫-|-|------|--|-------|
quantl esotfai tmol t bien	----|-⌫-|-|---⌫|---⌫|---|
a pari llier	-⌫----⌫----|
lizznmdesyy n msle	-|-|-|--|-|-⌫-|-|
azz plaiequi desos luellis iet	|-|----|--|----||--|-|-⌫--|
bienrec ognustc est son	---|---⌫-----||--|--|
sing norxm	----⌫--|-|
uwto t maintenant l i uait le pietbai sier	----⌫|---------|-⌫|---|-|---|---⌫---|
sonconpain gno nen prist aaraisnier	--|-------⌫---⌫|-|----||--------|
uee ́sciconp ains lecortois cheuallier	---⌫-|-|----⌫---|-|------|---------|
x mle co nte qu i	-⌫|-|--⌫--|--⌫|
tantnousau o it	---|---|--⌫-⌫-|
qu antuw cisl ententsi	--⌫--|--⌫--||-----|-|
le cortenbracier	-|---|--------|
grantioiemainnesus	----|---|-----|--|
el p al aisp lai ngnier	-|-⌫--⌫--|-⌫---⌫-----|
maisxm ne pot uw nu sleescier	---|-|-|--|--⌫--⌫|-------|
p orsonenfant quelit urson tbaill i ét	-⌫-|--|-----|--|-|-⌫--|--⌫|-----⌫-⌫--|
al andemai n semist aurep a irrier	||-------⌫|-|---|-|---⌫-⌫-----|
asonbon hoste	|--|--|----|
otdonerbo nl oier	-|----|--⌫|-⌫---|
decesiorneesne	-|--|------|-|
uoussa ia c ointie r	---|--⌫|-⌫-⌫------⌫|
qu an yyi orse streuenus arier	-|-|-|-⌫--|-⌫-|------|----|
bernierscheuauch e con cheuallierdepris	-------|--------⌫|--|---------|-|---|
deces iornees	-|--|------|
ne saic onte tenir	-|--|-⌫---|----|
en sacontreereuint enyydis	-|-|------|-----|-|-|--|
au an t anuoiezzmess a ig equidit	--⌫--⌫|-----|-|----⌫-⌫--⌫|--|--|
qu il reuenoit	-|-|-------|
sainsnmetsausnme tgaris	----|-|-|---|-|-⌫|----|
encontre uontli gran sborioisdepris	-------|---|-|----⌫|------|-|---|
uwtuit l e baisierentnes li	-----|-⌫|---------|--|-|
en fa nspetis	--⌫--⌫-|----|
encon treuientlis i e ns	-----⌫--|----|-|-⌫-⌫-⌫-|
nie rssauaris	---⌫-|------|
xml appellecon ia po rroiso ir	-||------|--|-|--⌫----|-⌫-|
sauaris n i ers se diexet f oistaist	------|-⌫-⌫--|-|---|-|-⌫--||---|
femelabellebiautr is	---|-|----|------⌫-|
mo ltme meruelquantne m euientueir	--⌫-|-|-----|----|-|-⌫|----|---|
onclesdi stilpardieu deparadis	-----|--⌫-|-|--|---|-|------|
qua ntde saintg iler euenimes ici	---⌫-|-|----|-⌫--|-⌫-------|--|
anceste terren ousuin tli sor xm	-|----|----|-⌫--|---⌫|-|--|-|
decesloainges tantamad ame	-|--|-------|---||-|-⌫--|
quillamontasor	-|-|-|----|--|
zzmularrabis	-|--|------|
mene rladustaarras	----⌫|-|---||----|
l afortcit	-⌫|---|--|
dro ite menta paris	---⌫---⌫---||----|
et laliuraauroi desaint	-|-|----|-|--|-|----|
etilla done xm	-|-|-|---|-|
et l ili chierres l	-|-⌫|--⌫-------||
e spousasilaprist	-⌫-----|-|-|----|
xml e ntenttousli senslifre mist	-||-⌫----|---|-|---|-|---⌫---|
diexdistlicuens	---|---|-|----|
parla moie mercit	--|-|---|-----|
netruismaishomene me	-|----|---|---|-|-|
uuelle trair	-----|----|
ma b a illi t li	||-⌫-⌫----⌫|-|
r ic hessorx m	-⌫--⌫--|--|-⌫|
encorliiert moltrichement	----|-|---|---|--------|
h e diexaided istliuass axxm	-⌫|---|---|-⌫--|-|----⌫-|-|
conmentrauraima	------|-----|-|
cortoisemollier	-------|------|
enguis e depaumier	-|----⌫|-|------|
niraomo iseriantne escuier	|--||--⌫|------|-|------|
nem on teraiso rmul	-|-⌫--⌫----|--⌫|--|
n eso rdestrier	-⌫|--⌫|-------|
tantq uesauraise	-----⌫-|-----|-|
aura c hier	---|-⌫---|
ie uousen pro issau ar is biaxdousnie rs	-|---|-|---⌫-|---⌫--⌫-|---|---|---⌫-|
fa itesd es miensyyyyaparillier	--⌫---|-⌫-|----|-|-|---------|
et apres moienpontif cheuauch ier	-|----|--|-|-----|--------⌫--|
quimaideront se ieenai	--||-------|-|-|-|-|
etxm n esiestatargiés	-|-|-⌫|||--|--------|
aireme n t fistbr oiere nzz m ortier	------⌫-⌫|---|--⌫---|-⌫|-|-⌫-----|
etautresher be s	-|-----|---⌫--⌫|
quimoltfonta	--|---|---||
sien a oinsses i anbesetcespie s	-|-||---|--|-⌫----|-|--|---⌫|
ets onu iair e	-|-⌫-|-⌫----⌫|
etsoncol pa rd erier	-|--|--|--⌫|-⌫----|
west u ne witetr ainansdusquesp ies	---|-⌫-|---|--⌫-----|----|-|-⌫--|
c hapeldefautreot	-⌫----|-|-----|-|
son chi ef	--|---⌫-|
et sauaris	-|------|
leprista conuoier	-|----||-------|
dusq uau matinque il	----⌫|-|----|--|-|
fu esclairié s	-|----------⌫|
audeparti ruaitson	-|-------⌫|---|--|
oncl e bai sier	----⌫|---⌫---|
oncledist i lneuous chautd es maier	----|---|-⌫|-|---|----||--⌫----|
nahomequiuous	||---|--|---|
puist entiercier	----|---------|
ne sanbléspasle iosteor	-|-------|--|-|------|
tro bien sanbléstruan s	--|---|-------|-----⌫|
etpautonni er	-|--------⌫-|
atantd epartents ilaissent	----|-⌫-------|-⌫|-------|
lepl aidi er	-|--⌫----⌫-|
a sainquentinuint sauaris	|---|------|---|------|
et x mconmenceaesploitier	-|-⌫|-------||---------|
droituer spontifleg rant	----|---⌫|-----|-|-⌫---|
chem inp laingni er	----⌫-|-⌫-------⌫-|
zzdiem a ingesa nuintasaintr i c hie l	-|----⌫-⌫---||-⌫|---||----|-⌫-⌫-⌫---⌫|
femequiuenoitdel	---|--|-----|--|
ens a c onpaingne yy	-|-⌫|-⌫--------|-|
cheuallier	---------|
cortoisementlasaluaxm	-----------|-|----|-|
cil uouss autdamequ itotpuet	--|---|-⌫--|---|--⌫|--|---|
ellerespontetdiextes autpaum ier	---|------|-|---|-|-⌫--|----⌫--|
d equel partuiensnelmedeués noier	-⌫|---|---|----|-||-|-----|----|
droitdesaintgile	----|-|----|---|
su irepairiés	--⌫|---------|
loit pleur e des ie x del	|--|-----⌫|--|--⌫|--|
pelerinfrere	------|----|
d iexte gartd	-⌫--|-|---||
an co n brier	--⌫--⌫-⌫----|
lo rsli ramenb re d e son	--⌫-|-|------⌫-|-⌫|--|
marip remie r	---|-⌫-----⌫|
ois te so nque spa rlerd	---⌫--⌫|-⌫----⌫|--⌫---||
unc heuallier	-|-⌫--------|
q uansacontreeap elloit	-⌫|-|-|------|--⌫-----|
de me ismesa	-|--⌫----||
celern euou squier	----|-⌫|---⌫|----|
unefoisa auu ec mo i	--|---||---⌫-|--⌫|
e tune foi set	-⌫|--|---⌫|-|
leuétetcouchiét	-----|-|--------|
liroiscorsubles	-|---|--------|
l otenpri son lanciét	|-|-|---⌫--|-------|
sila tenut	-|||----|
zzantrestotanti er	-|-|------|----⌫-|
ior queuou s saideuisier	--|--|---⌫|--|-------|
que lors liuint	--|---|-|---|
zz forsrois aucibier	-|---|---|-------|
xmala contre luichasploi er	-|--|-----|--|--------⌫-|
s ileco nq uistal espeeda cier	-⌫|-|--⌫--⌫---|||----||-⌫---|
liroiscorsu bl es li	-|---|-----⌫--⌫-|-|
adoné tcongiet	|-----⌫|------|
nesaipar uertel	-|--|--|-----|
sasainquentins	||---|------||
ue nus arier	--⌫--|----|
diex dis tla dameq ui tot	---|---⌫|-|---|-⌫-|--|
as aiugier	-||-----|
se u ne nuitteno ie maisxm	-|-⌫-|---|----⌫-|---|-|
nau roiemais	|--⌫---|---|
nemaln e enconbrie r	-|--|-⌫|---------⌫|
dame di til uos	---|--⌫|-|--|
ditesgrant pi chie	----|----|--⌫---|
uousauésciz zmolt bon	---|----|-|-⌫|---|--|
cheu al lier	----⌫--⌫---|
miex conquesne fistxm	---||-----|-|---|-|
e tdistladameuousdit es grant pichie	-⌫|---|-|---|---|---⌫-|----|-----|
n elamero ie po rl esmenbrest rainchier	-⌫||-----⌫-|--⌫|-⌫-|------|-⌫--------|
d i s tx mdamepuisquenelamés	-⌫-⌫-⌫|-⌫|---|------|-||----|
molt memeruel quantonquesle	---|-|-----|----|-----|-|
ladame certesiefuit raie	-|---|-----|-|--|-⌫---|
quan tmessire ot	----⌫|--|---|-|
sa grant gu ere fenie	-|----|--⌫--|----|
sauoieenpri st salames a	-|---|-----⌫-||-----||
iorqu a n lauille	--|-|-⌫|-|----|
medeliu raid	-|-----⌫--||
unbel anf antnobile	-|--|---⌫--|-----|
sesti ulii en s d ontlicors	|--|-⌫----⌫--⌫|-⌫--|-|---|
di eugar ise	--⌫-|---⌫--|
s e diexn anpenceli fixsainte	-⌫|---||-|----|-|--|-----|
neluerr ai maisant restotema uie	-||----⌫-|---|-|-⌫------|-|--|
moilet olir ent	--|-|-⌫----⌫--|
c el egen tpainie	-⌫--⌫|---⌫|-----|
etsauarisalachiere	-|------||-|-----|
men am ena enfrance	|-|--⌫--|-|-----|
m esp eres ala	-⌫-|-⌫---||-|
barbe florie	----|-----|
sime liura auroi de	-|-|----|-|--|-|
saintdenise	----|-----|
quimedona xmcel	--|-|---|-|--|
lepremier iorque i e fuima riee	-|------|--|--|-⌫|--|--⌫---|
siuintzzmie	-|---|-|--|
an il cestecontree	-|--⌫----|------|
u netel eherbem e don aa	-⌫-|---⌫|----|-⌫|---⌫||
n ela donroiepor	-⌫|-|------|--|
lord unecont re e	|-||--|----⌫--⌫|
q uant iela ta insenmaboche	-⌫---|-|-|--⌫--|-|-|----|
dontnai gegardequ es oieu iolee	---||-|-|----|--⌫|-⌫--|-⌫----|
distxm damefoique	---|-|---|--|--|
quell eestliherbequ euousitantamés	-----⌫|--|-|----|--⌫|---|----|----|
etdi st ladame paumiersia n el saurés	-|--⌫-|-|---|-------|-|-⌫||------|
mo rteseroiesexm	--⌫--|-----|-|-|
et distxmiam arendoterés	-|---|-|-|-⌫-|-|-------|
ne li d iroie	-|-|-⌫----|
porestredesmenbrés	--|----|----------|
mais porice leuousai dem andét	---|--|--|-|---|-|---⌫-----|
mecines cuiiesauoir ass e s	------|--|-|-----|---⌫-⌫|
etdi stladame	-|--⌫-|-|---|
paumierdo nqu eslorrés	------|--⌫---⌫-||-----|
q uantu ientlesoirquedois	-⌫---|-⌫---|-|---|--|---|
couchieraler	-------|---|
d edens ma bou chelamestresto t souef	-⌫----|-|---⌫--|-|--|------⌫|----|
iaxmn a ur ap uisu o lente	-|-||-⌫--⌫|-⌫--|-⌫-⌫----|
d ecelle chosedontuousoit	-⌫|----|----|---|---|--|
z zantotplain l aiieainsismenét	-⌫|-|--|----||-|-|-----|-----|
xm lentent s	-||-----||
adec uer sospirét	|-|-⌫--|--------|
puis distenbas	---|---|-|--|
fu esco utés	-|----⌫----|
pere degl oiretu soies a ou rés	---|-|--⌫---|-|----|-⌫--⌫---|
q uantdem afeme nesuipasuer gondés	-⌫---|-|-⌫|---|-|--|--|---⌫------|
orotx m safemeb ien	-|-|-⌫|-|---|-⌫--|
a cespar olesyy	|--|---⌫---|-|
cheuallieriluinre nt	---------|-|-----⌫-|
la da me pre nn entauchierma ntel	-|--⌫-|---⌫--⌫--|-|----|--⌫---|
palaislanmen e rent etguient	-----||-----⌫-⌫---|-|-----|
il prenentet aumaingiers	-|------|-|-|-------||
as ir en t	--⌫--⌫--⌫|
deuantxm aportere nt zzcine	-----|-|--------⌫-|-|---|
laiantildame	-|-----|---|
les emonte t a tise	-|-⌫----|-⌫|-⌫---|
maingiéspaum ierlicorsdieuuousgarise	--------|----⌫--|-|---|---|---|-----|
illirespo nt ianeluous conui en t dire	-|-|-----⌫-|-|-||---|-----⌫--⌫|---|
iemaingerai	-|--------|
quemesc ue rsledesire	--|--|-⌫--⌫-|-|-----|
xmlo it si	-||-⌫-|-|
co nmensa arir e	--⌫-----||---⌫|
puislapell asili	---||-----⌫|-|-|
apris ad ire	|---||-⌫--|
pelerinfrer e cediexte beneie	------|----⌫|-|---|-|-----|
pu isque t u di s q uetu uiens de saint gi le	--⌫----|-⌫|--⌫|-⌫-|-|----|-|----|--⌫-|
a monpellier celle u ille	|---------|----|-⌫---|
oistesains parl erde lamecine	-----|---|----⌫-|-|-|-----|
qu i aidasthomed eceste	--⌫|-----|---|-⌫|----|
et distxmsireporquo il e dites	-|---|-|---|--|---⌫|-⌫|----|
d ist xm ne l e t ecelera i	-⌫--|-|-|-⌫|-⌫|------⌫|
plus adunanqueceste d ame ai	---|||-|-|--|----|-⌫--|-|
ainspu isa li nos charnelc onpaingnie	---|--⌫-||-||-|------|-⌫---------|
nesaiquel ge ntnou sfi rent c onpaing nie	-|--|---|--⌫-|---⌫|--⌫---|-⌫-------⌫--|
xml ente nt damredi euen	-||----⌫-|-------⌫-|-|
et re spondi	-|--⌫-----|
par sen setparboidie	--|---⌫|-|--|-----|
luouscelerai mie	|---|------|--|
a ncor sa i gefontaine	-⌫---|--⌫|-|-------|
qu il nenah omeancet	-|-||-||-⌫--|-|--|
t erri ien	-⌫----⌫--|
cibaigno itzz fois adeliure	||------⌫-|-|---||------|
etauuecluis amollieret	-|----|--|-⌫|------|-|
yy mes iex ilm estrai adeliur e	-|--|--|-|-⌫-----||------⌫|
quan cellenui tferoientfilou	-|-|----|---⌫|-------|--|-|
dist xmpelerins biax	---|-|-------|---|
mim e n rés uosala	||-⌫-⌫-⌫---|--||-|
fon tai neu iue	---⌫---⌫-|-⌫--|
oilbia xsir eetla dam emei s me	--|---⌫|---⌫|-|-|---⌫|---⌫-⌫-|
oit p arpoi n enraigedire	--|-⌫-|--||------||--|
toutmain tenant ahau te uoissescrie	---|----⌫-----||---⌫-|---||-----|
pe lerinfrere	--⌫----|----|
licorsdieutemaudie	-|---|---|-|-----|
malsoit deleureque uenisen lauil le	--|---|-||---|--|----|-|-|---⌫-|
p elerinor ente n s	-⌫-----|-|----⌫-⌫|
delafontainneconm entses	-|-|--------|----⌫--|--|
tu donttant	-|---|---|
distxms ire ielsaiaesciant	---|-|-⌫--|-||--||------|
qu il nanahomeancest	-|-||-||---|-|---|
siecleuiuant	-----|-----|
san lafontainne	|-|-|--------|
sebaingnoit	-|--------|
totau an t	--|--⌫--⌫|
luisam ol lieraucors gen t	--|-|-⌫--⌫---|-|---|---⌫|
yymesiex i mestraiag arant	-|--|--||------||-⌫----|
q uanc e lleferoientzz anf an t	-⌫|-|-⌫-⌫--|-------|-|---⌫--⌫|
etdistx mtot auo str econment	-|---|-⌫|--||--⌫---⌫|------|
ouousirauomoill ierau co rsgen t	|---|--|-|-----⌫--|-|--⌫-|---⌫|
ladameloi t pa r	-|---||--⌫|--⌫|
poin istdeson sen s	--||--|-|--|---⌫|
lai antil dame otmoltle cuerir ié	-|-⌫----|---|-|---|-|---|--⌫--|
deuantli prist	-----|-|----|
zzbastonde	-|-----|-|
pa rmilate steenuautferi r x m	--⌫--|-|--⌫--|-|---|----⌫|-⌫|
quantxmliua itdesp oing ssa ichier	----|-|-|--⌫-|--|-⌫----⌫|--⌫-----|
d amedist i l uous fa itesgrantpich ie	-⌫--|---|-⌫|---|--⌫---|----|----⌫-|
iasauésuo us	-|-----|--⌫-|
no uslauo ns	--⌫-||---⌫-|
herbigiét	---------|
n i auramaldon tle puisse	||---|--|---⌫|-|-----|
dame f u dolente	---|-⌫|------|
to tmai nten ants anissidela	--⌫|---⌫----⌫--||-|---|-|-|
toutmaintenant ensach anbre repaire	---|---------|-|-|--⌫----|------|
ellealus clos	---|||-|---|
etfermen ta labarre	-|------⌫||-|----|
don tcedemante	---⌫|-|------|
commep uc e llegaste	----|-⌫--⌫-⌫--|----|
he xm sirefranscheuallie rsmi rables	-|-|---|----|---------⌫-|--⌫-----|
cis xmesttrop fel et tro p saige	--|-|--|---|--|-|---⌫|----|
cilgi s tamo i queferaiie don t lasse	|-|--⌫-⌫||--⌫|--|----|-|---⌫|----|
ilnellairo it p ornullerienquil	-|-||-----⌫-|-⌫-|----|---|-|-|
fenestreiusdesmurssan	-------|--|--|---||-|
p arle ue rgie r aque ullison uoiaige	-⌫-|-|--⌫----⌫|----⌫---|--|------|
f or sdelauilleaz z pr ioraige	-⌫--⌫|-|-|----||-⌫|--⌫------|
fors de lau illea uoit zz	---|-|-|-⌫---|-⌫---|-|
moi n gnesiot degrant	---⌫-⌫---||-|-|----|
lauint lad ameacourantde	-|---|-|-⌫--|-------|-|
siapellalebonabbetsymon	-|-----|-|--|----|----|
biaxsire a bbes	---|---|-⌫---|
e ntandé s ma raison	-⌫-------⌫|-|-----|
mes sirees t moltf elon	--|---|--⌫|---|-⌫---|
bast ue made fustoudebaston	----⌫-|||-|---|-|-|-----|
menace de plusg ran t	-----|-|---|-⌫---⌫|
mes p ri son	---⌫-⌫--⌫--|
a uospor auoir	|--|--|----|
g ar i son	-⌫--⌫-⌫--|
distl abbes da meuousparlé s	---||----|--⌫-|---|------⌫|
demale estrati on	-|---|-------⌫-|
seiefaisoi e enuers	-|-|------⌫|-----|
lui desraison	--|--------|
neme garroittrestot lor decelmo nt	-|-|------|------||-|-|--|--⌫-|
nemecopastl e	-|-|-----|-⌫|
chiefsor leme nton	----|--|-|--⌫---|
l aprioresseentendila ra ison	-⌫|--------|------|-|--⌫---|
d istal baissiésuo st rerais on	-⌫--|-|--------|--⌫--⌫-|----⌫-|
mesco usinestliuaillansxm	--|--⌫---|--|-|-------|-|
etcestsafe m e	-||--|-|--⌫-⌫|
que def itle set on	--|-|-⌫-|-|--|-|
et nous auo ns te lcelieren parfont	-|---|---⌫-|--⌫|-----|-|------|
estreilporradusqua l ascention	----|-|----|----|||--------|
isauranullege ntse nous	|----|----|--⌫-|-|---|
etdi stl abbe tuostr euolo ir fe ron s	-|--⌫-||----⌫|-----⌫|----⌫-|--⌫---⌫|
sei esauoiexmel pret noi ron	-|-⌫|-----|-|-|---|---⌫--|
ie lima nroieen sa	-|-|--⌫----|-|-|
ma istremaison	--⌫----|-----|
moltparfusaige	---|--|-|----|
cestenonn ain delordre	----|----⌫--|-||----|
distal abetpa rdi e u	---|||---|--⌫|--⌫-⌫|
et parn ostre orde	-|--|-⌫----|---|
icestedame seramoltbienreposte	-----|---|---|---|---|------|
etxmse porq uiert etesforc e	-|-|-|----⌫----|-|------⌫|
commeceluiquicuide f ai renoce	----|----|--|----|-⌫--⌫-|---|
distau paumierihesust aisten	---|-|------|-----||---|-|
sag l o ire	-|-⌫-⌫-⌫--|
porterons nousauuecnous nullec hos e	--------|---|----|---|----|-⌫---⌫|
ne painne uinnenulle	-|---|-|--|-|----|
crostregro sse	------|---⌫--|
etdistxm par	-|---|-|--|
saintpierrelap ostre	----|-----||--⌫----|
pui squ elihons a ladamerepose	---⌫---⌫|-|---||-|---|-----|
m olt uolentiers mainiueb onechose	-⌫--|---------|------|-⌫--|----|
distxm sire	---|-|---|
faites uenirlada me	-----|----|-|--⌫-|
sipa rleron set moi e tli ensanble	-|--⌫------⌫|-|--|-⌫|-|-------|
etxmapellaiul ianne	-|-|-----|---⌫----|
ua tos td istil	-|---⌫|-⌫--|-|
s i apelle ta	-⌫|-----|-|
ellepar tosles sain sdo trante	---|--|--|--|----⌫||-⌫-----|
ellitneanla chanbre	-|--|-|-|-|------|
