#MET A# TextURI	----⌫-|------|
Al exisP RI	--⌫-----⌫-|
Etsapr ouu endeli uaurademand er	-|-|--⌫---⌫---|-|----|------⌫-|
SaDi eupleust	||--⌫-|-----|
queliuausist d o uner.	--|-|------|-⌫-⌫----|
Si uauroitmiés s es	-|------|----|-⌫-|
aumosnesu s er	-------|-⌫-⌫-|
autruid ont	-----|-⌫--|
ilfustencombr és	-|---|-------⌫--|
Sen esteroitplussauls aD amedé	|-|-------|---|----||-⌫-----|
Nensonherbecneuauroitiaest er	|-|--|-----|-|------|-|---⌫-|
Maisça deforsgesir souss ondegré	---|--|-----|----|---|-⌫-|-----|
Puisatendroitlemer ciDamedé	---|--------|-|---⌫-|------|
Etleiu ise qui llia	-|-|--⌫--|-|-⌫|-||
desti né.	-----⌫---|
Desadespoille	-|-|--------|
es ttousa ta pi nés.	--⌫|---|-⌫--⌫--⌫----|
uas entenRoume a son pe ́reparl er.	-||--|-|----||--|--⌫--|----⌫--|
atapineq ueonne	------|-⌫-|-|-|
le counoi sse	-|------⌫--|
Toutela rues	----|-|--||
enestalésenT oiure	-|--|----|-|-⌫----|
Parmilesrues u	----|--|---||
ilfu iabien	-|-|-|---|
Autrepuisautre et sonpérei encontre	----|---|----|-|--|----||-------|
Ensam bleluigra ntmassede	-----⌫--|--|---⌫-|----|-|
ses homes.	--|-----|
Bi enle counut par sondro it non	--⌫-|-|-----|--|--|---⌫-|--|
l en oume.	-⌫|-⌫----|
Sonpe ́re encontreki	--|--⌫--|-------|-|
reuie ntdoris on	-----⌫-||----⌫-|
mérequi letient p ar le poing	----|--|-|----|-⌫-|-|----|
Del moust ieru ienen t	--|-----⌫--|-⌫-----⌫|
s aintP iére	-⌫---|-⌫----|
Amessefurentet apourcessi on	|----|-----|-||---------⌫-|
Delfil par loient maisilnie rtgai res lonc	--|--|---⌫-----|---|-||--⌫-|---⌫--|---|
amisa raison	|--||-----|
[Eufem iens beaus siresricheshom]	------⌫---|----|----|-----|---|
Carmeherberg espourDiu	--|-|-------⌫-|---|--|
[S oust ondegré	--⌫--|-⌫-|-----|
m e fa iun grabat on]	-⌫|--⌫|-|------⌫-||
Enf ers homsuip aismoip ourDiu amo ur	---⌫--|--|--|-⌫--|--|-⌫--|--|---⌫-|
Etp our tonfil qui	-|-⌫--|--|--|--|
Alles sis otn on	-----⌫--|-|-⌫-|
Quiteguerpistdont tuasteldolour	--|-|-------|---|-|-|--|-----|
QueDieus del cielit elta lent	--|----|--|---|--⌫-|--⌫---|
Queil reuiegnea toi enta maison	--|-|-------||--|-|-|-----|
Quantotli pe ́reramenteuoirson fil	----|-|-|--⌫--|----------|--|--|
Pa geu01P241	--⌫--------|
Pl euredesoelsne	--⌫---|--|---|-|
sen p ot astenir	|-|-⌫-|------|
Pour Dieudistiletpour mon	---|---|---|-|-|---|--|
Tott e f eraibons h omçou	--|-⌫|-⌫---|---|-⌫-|---|
Lit etoste l etpa inetcar	--|-|----⌫|-|--⌫-|-|--|
Que Damed iusfaicetous cia us merci	--|-----⌫--|----|---|---⌫-|----|
herbegentpar	--------|--|
es trangepais.	--⌫-----|----|
Disset ans a quede mes	--|--|--||--|-|--|
Elaspecié re nesai s estmorsu	|--|------⌫-|-|--||--|---||
Unsr ic eshom iertl adans Coustent in s	--|-⌫--⌫-|--|---|-⌫|---|--------⌫--⌫|
Etuoitlepe ́re kiherbege le fil .	-|---|-|--⌫--|-|------|-|---⌫|
Lepéreapel e g entement	-|----|----⌫|-⌫-------|
L a i ssié slemoisire	-⌫-⌫-⌫-----⌫|-|--|---|
uostre merci	-----|----|
O moi uenés bi aus sirepel e rins	|--|-----|--⌫--|---|---⌫-⌫---|
Herbeg ié s estess	------⌫---⌫|----||
omoiuolés uenir.	|--|-----|-----|
Emsambl emoiseuou suo lés	-------⌫|--|-|---⌫|--⌫---|
Neu ousf aurane	-|-⌫--|-⌫---|-|
painsne cars ne uins.	----|-|---|-|----|
muirde uousDiexait	---|-|---|---|--|
dem oimer ci	-|-⌫-|---⌫-|
Et uou samen tpar	-|---⌫|----⌫|--|
coipu issiés gar ir	--|--⌫------|---⌫-|
Sire di s tildeDiucinc cens mercis	---|--⌫-⌫|-|-|--|---|---|-----|
D exherbettoi e n	-⌫-|-----|--|-⌫|
H omsuiestranges	-⌫-|--|--------|
daut repais	|---⌫-|---|
Et ostelqui eret	-|----|---⌫-|-|
pourD iuisuimis. ...	---|-⌫-||--|----⌫--|
E t celuil a iss equ eilarecu el li.	-⌫|----|-⌫-⌫---⌫|--⌫|-||----⌫--⌫--|
Et milleur	-|------|
quiert poursoncor smi ex	-----|---|--|---⌫|--⌫-|
Sen cel ui	|-|---⌫-|
muer tprisest amalefin	----⌫|---|--||---|--|
Diu aperduet sonsaint parad is .	--||----|-|--|----|-----⌫--⌫|
Lametenrai	-|-|-----|
up rimiersme sui	|-⌫------|-|--|
QuantonpourDiumi uol ra	----|-|---|--|||---⌫-|
recue llir.	-----⌫----|
mé resila alpére	---⌫-|-|||-|----|
el eiatailos t el	--⌫|-|||-|--⌫-⌫-|
herb egespour Diuet p ou rt onfil.	----⌫---|---|--|-|-⌫--⌫|-⌫-|---|
Damedi s til	---|--⌫-⌫|-|
présen suiet garnis .	----|-|--|-|------⌫|
Otlelamé re	-|-|-|---⌫-|
s irapelasonfil.	-⌫|-----|--|---|
Herbeg iésestesbiaussires pelerins.	------⌫---|----|----|----|--------|
Ensamblemoiuous e m poésuenir	-------|--|---|-⌫|----|----|
Et pourl enfant pourcui	-|---||-----|---|--|
lauésrequis	-----|-----|
Ian a résmal	-||-⌫---|--|
dontuouspuiss iés	---|---|-----⌫---|
Dame distildeDi umoultdemer cis.	---|---|-|-|--⌫|----|-|---⌫---|
Et lesignourkiuous	-|-|------|-|---|
doi tmaintenir.	---⌫|---------|
Pageu 01P242	-----⌫-----|
auiésengenui	-----|------|
Doinst tel coraigequeil pu ist	-----|--|------|--|-|--⌫--|
Ilreu enrapouruoirleuous pleu is.	-|---⌫---|---|---|-|---|----⌫--|
Ot le laméresi len a	-|-|-|----|-||-||
faitenclin	---|-----|
Pleure des	-----|--|
oels et lipé re	---|-|-|---⌫-|
Eufémi en biaussir es ricesber	-------⌫-|----|---⌫-|----|--|
Herbe gié ss ui la merciDa medé .	-----⌫----⌫|-⌫-|-|----|--⌫-----⌫|
Enfershom suisoufraitousdep arler	-----|--|--|----------|-|-⌫----|
Ungrebeton me faisour	-|-------|-|--|---|
tondeg ré	--|---⌫--|
P our celen fantket up ues tantamer .	-⌫--|--|--⌫---|-|-⌫|-⌫--|---|----⌫|
QueDiu sli doin stitelhome	--|---⌫|-|----⌫-|---|---|
alipuisses parler.	|-|------|------|
B on s homd ist	-⌫--⌫|--|-⌫--|
ilpouramorDamedé	-|---|---|------|
Etmonenfan tpour coi lasdemandé	-|--|-----⌫|----⌫--||-|-------|
Herbercaras etpainet	------|---|-|---|-|
E tpuisdel	-⌫|---|--|
uinq u antu ousboiree nuau rés.	--|-⌫-⌫--|-⌫--|----|-⌫|---⌫----|
QueDiusassoill e	--|---|-------⌫|
tout e crestienté	----⌫|----------|
herbetparestrangesostés	-----|--|--------|-----|
Moulta dur cuerquesima	----||--|---|--|-|||
oub li é.	---⌫--⌫--|
Ple urelamére le duel de	---⌫--|-|----|-|---|-|
sonen fant	--|--⌫---|
Q uo tramentoiure dontotle	-⌫|-⌫|----------|---|-|-|
cuer dolant.	---|------|
L ipéreenuasesmainssidetoria nt	-⌫|----|-|-|--|----|-|-------⌫-|
Quealatere en cairentsigant .	--||-|---|-|------|-|----⌫|
Sains Alessinssabaiss e se li rent.	----|-------||------⌫|-|-|----|
EDiusdis t i luraispé re t ous	|---|---⌫|-⌫|----|---⌫-|-⌫--|
Queleamistiée ntrepéreet enfant	----|-------|-⌫---|----|-|-----|
C esfel on nie sque iou lor fa c si gr ans.	-⌫-|---⌫--⌫---⌫|--|--|--|--⌫|-|--⌫---|
Mesontlegi éresses	-|---|----⌫----|--|
trouuer aipesans	-------⌫-|-----|
iuis eme reuenrontdeuant	----⌫|-|--------|-----|
P our pé re e tme ́requi me	-⌫--|---⌫-|-⌫|--⌫--|--|-|
pourmetent tant	---------|---|
Qu esi parfaccoureciésetd o lans.	--⌫|-|--|--|---------|-|-⌫-⌫----|
Ai u eDiex sen sontsidesi rant	--⌫-⌫|---||-|---|-|----⌫---|
Comillesuoitplourersi	--|-|--|---|------|-|
tenremant.	---------|
Iriésenestmaisil n enfait	-----|-|--|---|-||-|---|
s amblant.	-⌫-------|
redoutenel uoise nlra uisant.	------|-||-----⌫-|--⌫------|
P ag eu01P243	-⌫--⌫-------|
misenIe susontalent.	--|-|--⌫-|--|------|
Mi eusaimme Diuke nul homeuiuant.	--⌫--|----|--|-|--|---|------|
Diu sdistli	---⌫|---|-|
pe ́recor eusseunsergant	--⌫--|--|----|-|------|
gar dastt restout	---⌫---|-⌫------|
ason tala nt	|--|----⌫-|
Silestoit se rs ioul efer oiefra nc .	|-|-----|--⌫-|--|-⌫|---⌫--|---⌫--⌫|
i otqu i senpre sen te	|-|--⌫||-|---⌫---⌫-|
ue ́smecisire	--⌫-|-|-|---|
se Y garepar uoco mmant	-||---|--|-|--⌫----|
[Par toieam ou rensoufriraila han.]	---|---|--⌫--⌫|-|--------||-⌫----|
Do nc le menatendroit sous le deg ré	--⌫-|-|----|------|---|-|---⌫--|
Fa itlis on	--⌫-|-|-⌫-|
ilpue treposer	-|---⌫|------|
To utliaporte qanqueb esoinsli es t	--⌫-|-|-----|-----|-⌫-----|-|--⌫|
uers sonseignournes	---|--|-------|-||
en ueutmesal er	-|---|-----⌫-|
Parnul eguisene	--|---⌫|----|-|
lemp u eto mblasmer.	|-|-⌫-⌫-|-⌫|-------|
S ouue ntleuire ntetli pére	-⌫----⌫-|-|----⌫-|-|-|----|
pucelequeil ote spousée	-----|--|-|-|-⌫-------|
Parnulegu iseonquesne	--|---|--⌫--|-----|-|
lra ui séren t.	|--⌫--⌫------⌫-|
l or ditni l nelidemandé rent	-⌫-|--||-⌫|-|-|--------⌫---|
Q ueshomestoi tetde	-⌫--|--|-----⌫|-|-|
quele contrée.	----|--------|
Souue ntesfois	-----⌫---|---|
lo ruit grant duelmen er	--⌫|--|----|---|---⌫-|
Ettoutpour luiet nient	-|---|---|--|-|----|
tout pour el	---|---|-|
Et de lo reussouuentes	-|-|--⌫|--|--------|
f o isplourer.	-⌫-⌫-|-------|
esgarde selme te lconsirer	------|--|--⌫|-⌫|-------|
N a soigque luoiesiest a Diu	||---|--||---|-|--||--|
degr éu gist sour unenate	----⌫-||---|---|--|---|
L ale paist on delreliefde	-⌫|-|----|-|--|-----|-|
Sapouretéd eduist	-|-------|-⌫-----|
agrant barnaige.	|----|--------|
Ilne ueu ltmieque samérele	-|-|---⌫-|--|--|-|----|-|
MielsaimeDi u que tre stoutso nl igna ige.	----|---|--⌫|--|---⌫----|--⌫|-⌫----⌫---|
De l eu iandequidelostelli uient	-|-⌫|-⌫----|--|--|----|-|----|
Tant en reti entqueson corsensoustient	---|-|----⌫--|--|--|---|-|--------|
Lerema nante nrentas prouuen diers	-|----⌫---|-⌫|---|-|-------⌫----|
mugo tpours oncor s	----⌫|---|-⌫-|---⌫|
e ncraissi er	-⌫--------⌫-|
Aspouresgensleredonnea	-|-----|---|-|------||
Ensainteegliseconuerseuolentie rs	-|-----|-----|-------|--------⌫-|
[Ch a scune testesefa i tacomungier	---⌫-⌫----|----|-|--⌫-⌫|---------|
Pageu01P24 4	----------⌫|
Sainteescritureço ertses c onseill ers ]	-----|--------|--|--|--|-⌫-------⌫---⌫|
DeDiu seru i r quil erueueefforcier.	-|--|----⌫-⌫|--|-⌫|----|---------|
Sain s Aless isnes enuoelteslongier.	----⌫|-----⌫-|-||-|----|---------|
degréouilgistet conu ers e	-----|-|-|---|-|----⌫---⌫|
Lal ia po r t ea mangier	-|-⌫|-⌫--⌫-⌫-⌫||------|
Q uil esp ousaet saf em edoit	-⌫|-|---⌫---|-|-|-⌫--⌫|---|
Agrant barna ig e	|----|-----⌫--⌫|
deduitsagrantpouert e.	-----|-|----|------⌫-|
Li serfsonpér equi le maisnie	-|---|--|----⌫|--|-|------|
Léue ntlormainshanaset escueles	-----⌫-|--|----|----|-|-------|
L eslaueuresli	-⌫-|-------|-|
getent sour	-----|---|
Nesencouroucene	-||-|-------|-|
esca rnissents iltie nentporbricon	----⌫-------|-⌫||---⌫---|--|-----|
Laigeli getentetmoillen ts onli ton	|---|-|-----|-|-------⌫|-⌫-|--⌫--|
Nesen co urece icilsaintismesho m	-||-|--⌫----|---|---------|--⌫|
Ai nsprie Diuquetrest out	--⌫-|---|--|--|-----⌫--|
lorpardoinst	--|--------|
P arsa mer ci maisne seuen tq uilfont.	-⌫-|-|---⌫-|---|-|-----⌫|-⌫|-|----|
Paru nef estedesainter ouuis on	--|-⌫-|-⌫---|-|-----|-⌫-----⌫-|
pér etesdegréscontremont.	----⌫|--|------|----------|
Et uis tgesi rs on filel	-|---⌫|----⌫|-⌫-|--|-|
g rab aton.	-⌫---⌫----|
Illap ela silamis	-||--⌫--|-|||--|
Biauscrestien s	----|--------⌫|
nesauons uostre non.	-|-----|-----|---|
Fautuousconroisdecoiaiés	---|---|------|-|--|----|
Siredistil	---|---|-|
Crestiens a ianon.	--------|-⌫||---|
Et trestout cil qui leuésontdesfons.	-|-------|--|--|----|---|--|----|
Qui cestno n ga rdes en	--|---|--⌫|--⌫--||-|
a bon guerred o n	|--|-------⌫-⌫|
Etqu i ne l	-|--⌫|-||
fa i t mortm orians	--⌫-⌫|---|-⌫-----|
Li cors poristlametoute enpert on	-|---|-----||--|----|-|---|-|
Fors de la gard e	---|-|-|----⌫|
nostresignour.	-----|-------|
Pa r mondroitnonsire mauésnoume ́	--⌫|--|----|--|---||----|-----⌫|
Se t a ntsuibons	-|-⌫-⌫-|--|---|
quemenpu issega rder.	--||-|--⌫---|--⌫----|
Ensaintba pt esme enfonsmefut	-|----|--⌫--⌫---|-|---|-|--|
Mai siou l	---⌫|--||
c riem per dr e parmal sieclem en er.	-⌫---|---⌫--⌫|--|--|-----|-⌫--⌫--|
Conr oiaitant quenele puis user.	----⌫-|-|---|--|-|-|---|----|
Celuiem puissegrassiere t	----|-|-----|-------|-⌫|
Page u0 1 P245	----⌫--⌫-⌫---|
Pourcuia m ourl e	---|--|-⌫-⌫--|-⌫|
me fait e sdo nner	-|----⌫-⌫|--⌫---|
IIuousramaintcelui k etant	-|---|------|----|-⌫|---|
Bonshomdistilke	---|--|---|-|-|
meramenteue ́s	-|---------⌫-|
N es tmi e uis qui tant ademoure ́.	|--⌫|--⌫|--|--|---||-------⌫-|
Sa lueene st lamese	--⌫--|-|-⌫-||--|-|
Dieula comman de	---|||------⌫-|
EtDius enp enst	-|---|-|-⌫---|
parsagran tp i eté.	--|-|----⌫|-⌫-⌫----|
Mouta durcuerquisimaoublié.	---||--|---|--|-|||-------|
uas entli pe ́re	-|-⌫--|-|--⌫--|
e tlifi lsestrem e ́ s.	-⌫|-|--⌫-|--|---⌫-⌫-⌫-|
Euous l emérequide scen t	|---|-⌫|----|--|--⌫----⌫|
aldegr é.	-|----⌫--|
E tle pucelelaf illeSignoré	-⌫|-|-----|-|-⌫---|-------|
Çouf u lespo useun mantelaffublé	---|-⌫||----⌫--|-|-----|-------|
D u npaileb rund	|-⌫|----|-⌫--||
un hermineng oule ́.	-|-----|---⌫----⌫-|
Qu antilles	--⌫--|-|--|
uoitsestmout es poentés	---||--|---|--⌫-------|
Quep ar peciéne lor soi tendité.	--|-⌫-|-----|-|--|---⌫|-------|
Quantillesuoitet ueniret	----|-|--|---|-|----|-|
E tuairetgrisetbliaus tra iner	-⌫|---|-|---|-|-----|---⌫---|
Par des orluie tdescendreetmonter	--|---⌫-|--|-⌫|--------|-|-----|
N es t tant	|--⌫|---|
hardisqu es ostaraiso nner	-----|-|-|--|------⌫---|
co unoissen tason roumancparler	--⌫--------⌫||--|------|-----|
Q ue nel rem batent ensel p eciémortel.	-⌫-|-||---⌫-----|--|-|-⌫----|------|
fil leSignoré	---⌫-|-------|
Sau éspucele dont mara	---⌫--|-----|---||--|
moul tpe se ́	----⌫|--⌫--⌫|
Moiestauisci s	--|--|---|--⌫|
p elerins mehet.	-⌫------|-|---|
Mou tlongementao nousc onue rsé	---⌫|--------|||---|-⌫----⌫---|
Conquesnuleeu r enem eua u t	|-----|---|--⌫-⌫|-|-⌫|--⌫-⌫|
malad essiestmoultenfrem és	-----⌫-|-|--|----|------⌫--|
Neui u ragaires car moult	-|--⌫-⌫-|-----|--|----|
est descar nés.	--|------⌫----|
Carli f aisonssesdrapiausr el auer	--|-|-⌫-----|--|-------|-⌫--⌫---|
C ̧o u iertaumosnesi nousensaragré.	-⌫--⌫|---|------|-|---|-|---|----|
S auoiruauroie de	-⌫----|------|-|
quelpaisest nés	---|---|--|---|
Nel saronsmaispuisk il iertdeuie ́s.	--|-----|---|---||-|---|-----⌫--|
puce l eAlons li	----⌫-⌫|----|-|
deman der.	-----⌫---|
Çoudist li méreI oui uoi s	---|---|-|----|-⌫-||---⌫|
moultenuis	----|----|
rega rtmembremoi de	----⌫-|-----|--|-|
Po urunpetitnel	--⌫-|-|----|-||
re samb ledeluis.	--⌫----⌫-|--|---|
Lorsplo ur de s o els ne menpuis astenir	---|---⌫-|--⌫|-⌫--|-||-|---|------|
Ço ue st li de lsdon t me s tora morir.	---⌫|-⌫-|-|--⌫-|---⌫||-⌫-⌫---|-----|
Celepartuint aapel erlepr ist	---|---|---||----⌫-|-|--⌫--|
D ontestes uousbiaussirepelerins	-⌫--|----|---|----|---|-------|
Pa geu01P246	--⌫--------|
Damedist ilp ouramorDieumerci.	---|---|-|-⌫--|---|---|-----|
maladessisui s	------|-|---⌫|
pre ̀sd emafin	---⌫-|-⌫|-|--|
Ienede uroieu ous neautrui	-|-|--⌫----|-⌫--|-|-----|
Carpar menço igne pert onsaintparadi s	--|--|------⌫---|---|-|----|------⌫|
Dui a ti erc	|-||--⌫--|
iourlesarés bien	---|-|-----|---|
Caror aproce al tanset	--|-|-----|-|---|-|
Etauiu iseke ildeuoit	-|-|--⌫--|-|-|-----|
Ma i sains quil	--⌫-⌫|---|-|-|
muir euaurafaireunescrit	----⌫|----|----|-|-----|
toutp a rl etreel parcemi n	---|-⌫-⌫|-⌫---|-|-------⌫|
Si com lisire quibien	-|--|-|---|--|---|
en estgarnis	-|--|-----|
bie nse t etletres	---⌫|--⌫|-|-----|
Aprociés moidisti ldameun petit .	--------|--|---|-⌫|---|-|-----⌫|
El es aproce dus c	--⌫||-----|---⌫|
au lituilgist .	-|--||-|----⌫|
Ils abaissa as piéss e li	-||------|-|----|-⌫|-|
Puisleb aisase	---|-|-⌫---|-|
lic riame rci.	-|-⌫--|--⌫---|
Siredistele quelpar donm auésquis	---|---|--|---|---⌫--||----|---|
Sir edi stelequelpa rdonmeque r és	---⌫|--⌫-|--|---|--⌫---|-|---⌫-⌫--|
Pour m onmalai g e qui c	---|-⌫-|-----⌫-⌫|---⌫|
io uestreenc ombrés.	--⌫|----|---⌫-------|
Siredistele tout uousso it	---|---|--|---|---|--⌫-|
pa rdon né.	--⌫----⌫---|
uostregrantpainneque e u	-----|----|-----|--|-⌫|
Poura mou r Diusi le	---|-⌫---⌫|--|-|-|
mepardon nés.	-|------⌫----|
Etla puc elelesabiene sgardés	-|-|---⌫--|--||---|-⌫-------|
Selipa rd onneelefait	-|-|--⌫--⌫---|--|---|
autret el.	------⌫--|
Eles en tou rne cilestmoult	--||-|---⌫--|--|--|----|
liésremés.	----|------|
I lueccon uerse	-⌫---|---⌫----|
is sidis et	--⌫-|--|-|
recounur ent ne	--------⌫--|-|
liserf nelifr a nc	-|---|-|-|--⌫-⌫-|
Nonquesn u s	|-----|-⌫-⌫|
homnes otde ses haans	--|-|-⌫-|-|--|----|
Forsso llili suil	---|--⌫|-|--⌫||-|
Nepotmuercilf uapar isans.	-|--|---|--|-⌫|----⌫-----|
Dis etsetansaprour endi ersesté	--|-|--|--||-----⌫----⌫--|----|
Et aut ret antenAusi s	-|---⌫---⌫--|-|----⌫|
la cité .	-|-----⌫|
Nebutd euinne decar na	-|--|-⌫|--|-|-|--|||
r eliefquili u int	-⌫----|--|-|-⌫--|
de l os tel	-||--⌫--|
Poienm ania aleuredelsou per	--|-|-⌫---|||---|--|---⌫--|
At outlemains qui ls enp ot consirer.	|-⌫--|-|----|-|-⌫||-|-⌫-|--------|
Quant l isergantlid ounentdelr elief	----|-⌫|------|-|-⌫-----|--|-⌫----|
Pageu01P247	----------|
Toutlemillouren re nt asprouue ndiers	---|-|------|-|--⌫-|-|------⌫-----|
E t lep l uspesmeretienta	-⌫|-|-⌫-⌫-|----|------||
son mangier	--|------|
Dousiors i eun ep u issimaniueaut ierc .	---|---|-⌫---⌫|-⌫-⌫-|-|-----|-|-⌫----⌫|
Oreestfourmentse scors afoibliés	--|--|-------|--⌫|---|---------|
aDiupardonn é ses	|--|-------⌫-|--|
Sa finsaproce sen	-|---|-----||-|
loeDiudelciel .	--|--|--|----⌫|
Trente quatre an sasisonco rspe né	-----|-----|--⌫||-|--|--⌫-|--⌫--|
D exson se ruice liueltguerredonner	-⌫-|--|--⌫----|-|---|-----------|
aproc eke ildoitdeuier	-----⌫|-|-|---|-----|
S e liaDiexses peciéspardonnés	-⌫|-||---|--|------|---------|
Sescors estnés comme	--|---|--|---|----|
a rgen tesmeré s.	-⌫----⌫|-------⌫-|
Moultliagrié ueli	----|-|------⌫-|-|
s oieen fremeté s	-⌫--|--⌫--------⌫|
Et sisetbienqueilsendoit	-|-|--|---|--|-||-|---|
Se n e stmoultliés	|-⌫|-⌫-|----|----|
sen loe Da med é.	|-|--|--⌫---⌫--|
Celsien seri antaa	--|---|----⌫--|||
luia pelé.	--|-⌫-----|
Ostuseriansq ui tant	-|-|------|-⌫-|---|
iourmasserui	---||-|----|
Dius ets a mére	---|-|-⌫|----|
le tepu isse mer ir	-|-|--⌫---|---⌫-|
Pour esho msuine	----⌫-|--⌫|--|-|
q uede pa rti r.	-⌫-|--⌫--⌫---⌫-|
Quier moibiausfrère	----|--|----|-----|
etenc heet	-|---⌫-|-|
penne sifera iun escrit.	----|-|----⌫|-|------|
Nescr is p ieça ormenestt ale ns	|----⌫-|-⌫----|-||-|--|-⌫---⌫-|
E sbatr aimoi pe sanssu idem orir.	-⌫-----⌫-|--|--⌫---|--⌫|-|-⌫----|
AucongiéDiuli	-|------|--|-|
serian srespondi .	------⌫|--------⌫|
ua querre si l i	-|-----|-|-⌫|
a aport é.	|-----⌫--|
Qua nt i ll etintsenl o aDamedé.	---⌫-|-⌫|-⌫|---||-|-⌫-⌫|-------|
Touti escrit qua nquil a	---||-----|---⌫--|-||
Etçoui mi st	-|---||--⌫-|
parensilert	-----|-|--|
Coms e n a laenAusilacité	--||-⌫|-⌫-|-|---|-|----|
Etcom l imaigef istDius p ou r	-|--||-----|-⌫--|---|-⌫--⌫|
lui parl er	--|----⌫-|
Et pourlounourdontleuautencombrer	-|---||-----|---|-|---|--------|
Senrafuien	|-|----|-|
Roume la ci té	----|-|--⌫--|
Senbo in ser iantn	--|--⌫-|---⌫---||
iuautmie oublier	|---|--|------|
Que mie usl ensotquan t tantiourl	--|---⌫-||-|--|----⌫|---|---||
le tint neua u t	-|---|-|--⌫-⌫|
pas demoustrer	--|---------|
counoi ssedusqu i ls	------⌫--|----|-⌫||
en soitale ́s .	-|---|---⌫--⌫|
Carai nc namaloenge	--|--⌫-||--|-----|
Safinaproceli corsestagreués	-|--|-----|-|---|--|-------|
Pageu01P248	----------|
Droit entour none	----|-----|---|
sacoise de parler.	|-----|-|------|
Enes leiourqueildut d euier	-|-|-|---|--|-|--|-⌫----|
Diuconsum ateemprist aapeler.	--|------⌫--|-|----||------|
Onques nushom ne loid	-----|--|--|-||-||
elparler .	-|------⌫|
Enlasemai nne queilsend utaler	-|-|-----⌫--|--|-||-|-⌫-|---|
uintune uois	---|--|---|
troisfo is	----|--⌫-|
e n l acit é	-⌫|-⌫|---⌫-|
For sdel sacrairepar comma nde ment Dé	---⌫|--|-------|--|-----⌫---⌫---|--|
Por sonami	--|--|--|
enuoloitm ener	-|-----|-⌫---|
Presteestlagloir eu il porraentrer.	-----|--|-|-----⌫||-|----|------|
Cel iouraditCar queré s	--|---||--|--|------⌫|
l oumeDé.	|---|---|
Ahauteuoisl ors u intau tre	|----|---|-⌫--|-⌫--|--⌫--|
Que loume Diu	--||---|--|
quiérent q ui gist en Roume.	--------|-⌫-|---|-|-----|
[Silidepreientquelacitésne fonde]	--|-|--------|--|-|-----|-|-----|
l oirentdurementleredoutent.	|-----|-------|-|---------|
SainsInnocensiertadoncapostoile s	----|-------|---|----|---------⌫|
Aluie nuin rentet liriceet lipoure	|--|-⌫|---⌫---|-|-|---|-|-|----|
Requis entlicons e l de cele	------⌫--|-|----⌫-⌫|-|---|
Qu ilontoiequisi	-|-|--|--|--|-|
lesd es con forte	--|-⌫--⌫---⌫----|
Negardentleurequete rrel es encloe.	-|------||---|--|--⌫--|-⌫-|------|
Lia postoil e e t li emper eour	-|-⌫-------⌫|-⌫|-|-----⌫---|
LiunsAc ai reliau tr e	-|--|--⌫--⌫-|-|--⌫--⌫|
Honoireoutnon.	------|--|---|
Et to us lipules par	-|--⌫-|-|----|--|
c ommuneraison	-⌫-----|-----|
DeprientD iu queconsellor	-------|-⌫-|--|-----|--|
Dece lsaint homepar quiil	-|--⌫|----|---|--|--|-|
Trestoutdeprientla	-------|-------|-|
soiepiete ́	---|-----⌫|
Quelorensaint ulepuissen ttroue r.	--|--|------||-|-------⌫|-----⌫-|
uintuneuoisquilo rae ndité	---|--|---|--|--⌫||-⌫-----|
A lemaiso n Eufemienq uerés	|-|-----⌫|-------|-⌫-----|
Car illuecestil uec letrouuerés.	--|-----|--|--⌫--|-|----------|
T osts entournérent sour dantEufemie n	-⌫--||-|----------|---|---|-------⌫|
Al quant leprendent formentablastengier	--⌫----|-|-------|------||----------|
Ices t e cos e deussiezano nc ier	----⌫-⌫|---⌫|-------|---⌫--⌫--|
Atou tlep ule quiertdesconsilliés	|---⌫|-|-⌫--|--|--|-------------|
Tantl ascelémoultiagrantpe cié.	---||-|----|----|||----|--⌫----|
Page u01P249	----⌫------|
IIs esco ndistcom	-||----⌫----|--|
lihomqui nelset	-|--|--|-||--|
Il ne le ncroi ent a	-|-||-⌫|----⌫--||
lherbecsont alé.	|-----|---|----|
Iluadeuant samaison	-|-|-----|-|-----|
faitbie n torcieret	---|---⌫|------|-|
Alapostoile qui	||--------|--|
e nsdeu ai tentrer	-⌫-|---⌫--⌫|-----|
F orment l enquiertatousse smenestrés	-⌫-----||-------||---|--⌫|---------|
respondentquenusd els	---------|--|--||--|
riennenset.	---||-|---|
L iap o stoileet liempereour	-⌫|--⌫-⌫-----|-|-|--------|
Sientenbancetpe nsife t plouros	----|-|---|-|--⌫---|-⌫|------|
Etentouraus li princeetli	-|-----|--|-|-----|-|-|
Deprient Diuqueconsello rendoinst.	-------|--|--|-----|--⌫|-|------|
Decel sainthome p ar cuiilgariron t.	-|--|----|---|-⌫-|--|-|-------⌫-|
End ementiersqueil	---⌫--------|--|-|
o nti luecsis	-⌫-|-⌫---|--|
Desoiurelamedelco rs saintAlessin.	-------||--|--|--⌫-|----|-------|
D ilu ec en	|---⌫-|-|
uatoutdroitemparadis	-|---|----|-|------|
Iaier tentra nsequantl a	-|---⌫|-|---⌫--|----|-⌫|
pucele uint.	-----|----|
Ad ontlesgar de sile uit	--⌫--||-----⌫-|-|-|--|
em p a lir.	--⌫-⌫-⌫---|
