#META#TextURI C leomHas	-----|------|-⌫------|
#META#DEAFhttp//www .deaf-p age.de/fr/b ibl/bib99c.php# CleomHas	-----|---|---------⌫-------⌫-----------⌫---------------⌫-------|
#META#TL Cleom.	-----|-|-----|
#ME TA#F EW	---⌫--|-⌫-|
#META#ARLIMAhttps//www.arlima.net/ad/adenet_le_roi.html#cle	-----|-----|----------------------------------------------|
#META#AuthorAd en etleR oi	-----|-----|--⌫--⌫-|-|-⌫-|
# ME T A#AuthorBorn1240	-⌫--⌫-⌫-|---------|---|
#META# AuthorBo rnAmbc	-----|--------⌫----||
#META#AuthorDied1300	-----|---------|---|
#META# AuthorDi edAmbc	-----|--------⌫----||
#META#AuthorFl1	-----|--------|
#META# AuthorF l2	-----|-------⌫-|
#M ET A #uIAFhttps //uiaf.o rg/uiaf/215956894 /	--⌫--⌫-⌫|---|-----⌫--------⌫-----------------⌫|
#META#TextTitleLirouma ns	-----|--------|-|-----⌫-|
deCléomad ès	-|--------⌫--|
ele moult sageet	--|----|---|-|
Pageu02P047	----------|
Desame scheance me poise.	-|-|--⌫-------|-|-----|
C ertlamai str esse Cla rmondine	|--|-|---⌫---⌫---|---⌫-------|
Quitantertbone	--|---|--|---|
etbele et fine	-|---|-|---|
Ce leLya d ès que iedi.	--⌫-|---⌫-⌫--|--|-|--|
Plusco urtoiseriensnenasqui.	---|--⌫------|----|-|------|
Ellee stmanieced e	---|-⌫-|-|----|-⌫|
Oruousdirai	-|---|----|
seuousuoule z	-|---|-----⌫|
Quelchosedeceüela.	---|----|------||-|
En un efemm esefia	-|--⌫|----⌫|-|--|
Quife mme son cousin	--|--⌫--|--|-----|
Liune la u tremoulta moit.	-|--||-⌫-⌫--|----|-⌫----|
Ensamble or entesténorri es	-------|--⌫--|----|-----⌫-|
C onpai gneser entetamies.	-⌫-----⌫---|--⌫--|-|-----|
Dist limerueilleslidiroit	---|-|---------|-|-----|
Parsik e ncouuentli	--|-||-⌫|------|-|
Qu elen enparleroitauant.	-|--||-|--------|-----|
Etc ele l i iuraerrant	-|-⌫--|-⌫|---|-----|
Quecelise roit bien celé	--|-|-|--⌫---|---|----|
Carmiexuorroitcon	--|---|------||-|
Lesiexquecequeleen	--|--|--|-|-|--|-|
EtlorsLiadèsliconta	-|---|------|-|----|
De chiefenchiefriensn encel a	-|----|-|----|----||-|---⌫|
Coment lac hosees toitalée	-----|-|-⌫---|--⌫---|----|
Q uei euous aici	-⌫-|-⌫|---|-|-|
recordée.	---------|
distI s ien frere	---||-⌫--|----|
Etcil le redistàsa mere	-|--|-|-----|-|-|---|
dist son ba ron	---|--|--⌫--|
Etcilà uns ien conpa ignon	-|--|-|-|-⌫--|-----⌫----|
t antkainsiauint	-⌫--||----|----|
Quelan ou uelefo rs enuint	--|-|-⌫--⌫---|--⌫-|-|---|
Ettantal ademi à ti	-|---|--⌫|-|-|-|-|
uintdusquà Bleopatri	---|----|-|--------|
Quiestfiex Balcabé	--|--|---|-------|
d Arc age.	|---⌫---|
Ce stu nsroiscon tientmoultà	|-⌫-|-⌫-|---||-|----|----|-|
Pageu02P048	----------|
Bleopatrisauoi rdeu oit	---------|----⌫|---⌫--|
Cl armondine.Ot roiez e stoit	--⌫---------|--⌫----|-⌫----|
Limari ag esdepieça.	-|----⌫--⌫-|-|------|
Mais moiestui s fa illi	---|--|--|--⌫|--⌫---|
Carond istqueele	--|-|-⌫--|--|--|
est perdue	--|-----|
Ne maisneserareueüe	-|---|-|---|------|
Nedelui ned	-|-|--|-||
amiqueleait.	--|-|--|---|
Ce distbienchascunsentre sai t	-|---|---|-------|-----⌫---⌫|
Kainspuisnouu elen enoïrent	|---|---|----⌫--||-|------|
Cil dEspaigne q u	--||-------|-⌫|
illa perd ire nt.	-|-|----⌫---⌫--|
Orlare quier t Cléomadès	-|-|--⌫-----⌫|----------|
Par t ouspa ysetloin et pr ès	--|-⌫--|--⌫-|-|---|-|--⌫--|
saienquel par tie	--|-|---|---⌫--|
Larequie r t nen men tirai	-|------⌫-⌫||-|---⌫----|
De ce neuoussaileuoir dire.	-|-|-|---|--|-|---|----|
Mai s Bleopat ris	---⌫|-------⌫--|
De cequeilpe rduauoit	-|-|--|-|--⌫--|----|
ka uoirdeuoit	|-⌫---|-----|
Entel maniere que iai di te	-|--|------|--||-|--⌫-|
Ken sa ter repristà eslite	|-|-|---⌫-|----|-|-----|
Troischeua liersle splusuaillans	----|-----⌫----|--⌫|---|-------|
Etlesplusforsetlesplusg r ans	-|--|---|---|-|--|---|-⌫-⌫--|
Queil on que seslirei	--|-|--⌫---⌫|-----||
Sitostquelanouuele	-|---|--|-|------|
Des troisp uc eles qui ain si	--|----|-⌫--⌫---|--|---⌫-|
Orente sploitéqueiedi	----|-⌫-------|--|-|-|
À Chastel Noble	-|------|----|
enuinttoutdroit	-|---|---|----|
rois C armanse sto it .	---|-⌫-----|-⌫---⌫--⌫|
L e spucelesapeler	-⌫-⌫|------|-----|
Toutestro isetseure l eurmist	-----|---⌫-|-|----|-⌫--|---|
Quefaitau oientt rayson	--|---|--⌫----|-⌫-----|
Etquepar f ausseen tencio n	-|--|--|-⌫----|--⌫------⌫|
L e roiCa rmant trayauoient	-⌫|--|--⌫----|---|------|
P ageu02P 04 9	-⌫-------⌫--⌫|
Et quedeuantle	-|--|-----|-|
coup sauo ient	---|----⌫---|
Qu e Cl éom adèsuen roitlà	--⌫|--⌫----⌫----|---⌫---|--|
elesl orent depieça	---||----|-|-----|
Ar réé.Etleprou ueront	--⌫-----|-|-|----⌫-----|
Quiencontr edire uerront.	--|-------⌫|---|-------|
ÀChaste lNoblelorsestoie	-|------⌫|----|---|-----|
Pourbe soigne que	---|--⌫-----|--|
Àfaireies toieu enus.	-|----||--⌫---|-⌫----|
Mais ien e u ionquesquenus	---|-|-⌫|-⌫|-----|--|--|
Enpresistnesuneà deffendre	--------|-----|-|--------|
Des puceles . Lors	--|-------⌫|---|
lesf ist prendre	--|-⌫--|------|
p risonmener.	-⌫----|-----|
ÀLyadè s alaiparler.	-|------⌫|---|------|
Toute l achose	----|-⌫|----|
Etquantiefauss et én	-|----|-|-----⌫--⌫-||
Pourli deuil a insb las me oster	---|-|-|---⌫-⌫--|-⌫---⌫-|----|
Alaimongag e present e r.	---|--|---⌫|-------⌫-⌫-|
Bataill eenprisàlundes	-------⌫|-----|-||-|--|
Quiestmoultgranset	--|--|----|----|-|
lezetdrois	--|-|----|
Eta ussi sont	-|-⌫---|---|
l iautr edoi .	-⌫|----⌫|---⌫|
C i làcuicombatreme doi	-⌫-⌫|-|--|-------|-|--|
Dont pour ement aaisiezsui	---|----⌫----|------|--|
AànonGadosd e	|-|--|----|-⌫|
Le s a u t resIIuousnom merai	--⌫|-⌫-⌫-⌫--|-|---|---⌫----|
Puisque cestu inomméuousai	------|-----⌫|-----|---|-|
L iuns anons icomme	-⌫|--||--|-⌫|----|
Rodr uarsQui-o nques- ne-rist.	----⌫---|-----⌫------⌫-------|
Tant par est fe lque onquesrire	---|--|--|--⌫|--|-----|---|
Neleuit nuscai oï	-|-|--|--||-|--|
Pour ce lifu	---|-|-|-|
ci s sornons	--⌫|------|
Li tier sa nonBru nsliHardi s.	-|----⌫||--|---⌫-|-|-----⌫-|
Cilnota i ncpaou r c e dis t	--||-|-⌫-⌫-|----⌫|-⌫|---⌫|
Etpourceasi	-|---|-||-|
faitsor non.	---|---⌫---|
À Lya d ès est bi en	-|---⌫-⌫--|--|--⌫-|
Dece que sim e stauenu	-|-|--|-||-⌫-|----|
Pageu 02P050	-----⌫-----|
Car plus u aillan sque ie ne	--|---|-⌫------⌫|--|-|-|
Se comb atras eDiexmeuoie	-|----⌫---|-⌫|---|-|---|
PourLiadèse n	---|------|-⌫|
CeestDur bansqueie	-|--|---⌫---|--|-|
Q ui sa ns requestesobli ia	-⌫-|--⌫-|-------||----⌫-|
q u epour moicombatr a.	-⌫-⌫|---|--|-------⌫-|
Mis maenuoiedesanté	--|||-|---|-|-----|
Car ho nnourma f ai tetbonté	--|--⌫----|||-⌫--⌫|-|-----|
Car biensa ique	--|---|--⌫|--|
deduelmorusse	-|---|------|
ceconfo rtn eüsse	-|-----⌫-||-----|
Car rniex a imcecon fortdelui	--|----|-⌫-|-|---⌫---|-|--|
Simaït Diexqu eden ulu i	-||---|---|--⌫|-|-⌫---⌫|
Fors deuoussans pl us	---|-|---|---|--⌫-|
kai nc nul io u r	|--⌫-|--|--⌫-⌫|
Neuihomedeu o	-|-|---|-|-⌫|
Neldi p aspour uouslosengier	--|-|-⌫-|---|---|--------|
Car b ienlepoons	--|-⌫--|-|----|
tesmoignier	----------|
Durbansparuer ite ́	------|--|---⌫---⌫|
bien e sprouué.	---|-⌫--------|
DistCl éomadèsDiexleuot	---|--⌫--------|---|-|--|
Kainsi auinte tquant	|----|----|-⌫|----|
Cef ulegierech o se	-|-⌫|------|--⌫-⌫-|
Puisque il à	------|-|-|
D ieuuoulo itplaire.	-⌫--|-----⌫-|------|
Etcr oiqueà Die udesplaisoit	-|--⌫-|--|-|---⌫|----------|
Lacou stume	-|---⌫----|
quicontredroi t	--|-----|----⌫|
Ertence chastel	--|-|-|------|
l achoseest a uenue	-⌫|----|--|-⌫----|
Ainsicene fupaspar	----|-|-|-|--|--|
Die x lefistainsicomiecroi.	---⌫|-|---|----|--|-|----|
Maisditesmoidestroispuceles	---|----|--|--|----|------|
S onquespuiso ïstesnouueles	|-----|---|-⌫-----|-------|
mis tsusla trayson	---⌫|--|-|------|
Senusdelor	-|--|-|--|
estraci on	-------⌫-|
Pageu02P051	----------|
Ou delor amistie ́ uenist	-|-|--|-------⌫|-----|
Quipo urelesse	--|--⌫-|---|-|
pouroffrist	----------|
Forsu ous sanspl us. -Sire nenil	---|-⌫--|---|--⌫--|----|----|
Fai t Sartans.M ais e n	---⌫|-------|-⌫--|-⌫|
g rant peril	-⌫---|----|
IIcarde maintegent	-|--|-|-----|---|
Sonthayes.Nes lorparent	---|-----|--|--|-----|
Leshéentpo urceque	--|-----|--⌫-|-|--|
il croient	-|------|
Qu efausses et mauuaise sso i e nt	--⌫|------|-|--------⌫|--⌫-⌫-⌫-|
Et quelatray son faitaient.	-|--|-|----⌫--|---|-----|
Toutensusdeles sisetraient	---|-|--||---|-|-|------|
Que nusaa idi er	--|--|--⌫---⌫-|
nese npr ent.	|-|-⌫---⌫---|
A rsesser ont par	-⌫---|---⌫--|--|
Siln e stqui pou r elesenprende	|-||-⌫-|--|---⌫|---|-------|
lait kaslesd effe ndre.	---|--|--|-⌫----⌫----|
Nouu ele certaine e n o y	----⌫--|-------|-⌫|-⌫|
Huia uiou rsce	--|||---⌫-|-|
Mais enc or	---|---⌫-|
ertàentreprendre	--|-|-----------|
Eles aa idierà deffendre .	---|--⌫----|-|---------⌫|
Neuoiquelesaien t	-|--|-|---|----⌫|
Arsess er on tmaisc i ert	----|-⌫--⌫--⌫|---||-⌫--|
Kainsi mefasseDi expardon	|----|-|----|--⌫-|-----|
Nienten direntsebiennon	||-----⌫-----|-|---|--|
donton leso choisonne	---|-|--|-⌫--------|
Carcha scune ertet sa ge	--|---⌫----|--|-|--⌫-|
QuantCl éomadèsentendu	----|--⌫--------|------|
OtSartan sit rès esmeü	-|-----|-|-⌫---|-----|
Otlecuerde dolour etdire	-|-|---|-|-----|-||--|
Kàp aineslesaroiedire	|-|-⌫----|-|-----|---|
C a r decea oy	-⌫-⌫|-|-||-|
Dont ilnes es e t	---|-|-|-⌫|-⌫-⌫|
co nforter	--⌫------|
En riensq uilpu istpenserne faire.	-|----|-⌫|-|--⌫--|-----|-|-----|
Lorspens a	---|----⌫|
q uilseuor roittr aire	-⌫|-|-|---⌫---|--⌫---|
uersChastelNoblet res to u tdro it	---|------|----|-⌫---⌫--⌫-⌫|---⌫-|
Etpourles puc eles	-|---|--|---⌫---|
P ageu02P0 52	-⌫--------⌫-|
pour elesdeliurer.	---|---|--------|
Lorssecommence à aui ser	---|-|-------|-|---⌫--|
Q ue Sa rtanet Durbandi roit	-⌫-|--⌫---|-|-----|--⌫---|
KàChastel N oblea leruou loit	|-|------|-⌫---|-⌫--|---⌫---|
Et pensequil lormousterra	-|----|-|-|--|--------|
Ce pourquoi	-|---|---|
aler uo u loitlà.	---|--⌫-⌫---|---|
Sarta nfait-iluouset	-----⌫|------|---|-|
moncouuena nt	--|-------⌫-|
uousdiraietde mapens e ́e .	---|----|-|-|-|----⌫-⌫--⌫|
Leiourque reçuil	-|---|--|-----||
Pourestrecheualiersnouu iaus	---|----|---------|----⌫---|
uouai Iueu	----||--|
quimo ul t fu biaus	--|--⌫--⌫|-|----|
Se i elepo uo iefou rnir	-|-⌫|-|--⌫--⌫-|---⌫---|
Maisbiensaique duskau mo r ir	---|---|--|--|---|-|--⌫-⌫-|
Toutmonuiua ntle maintenrai.	---|--|----⌫-|-|----------|
Le ueuquels ile stuousdir ai	-|--|----|-|-⌫-|---|---⌫-|
C estquenes arai damoisele	|--|--|-|-⌫---|--------|
Ne damenulenepucele	-|---|---|-|-----|
Qu iait de maydemestier	--⌫|--|-||---|------|
Kà son be soing ne	|-|--|--⌫----|-|
uoise aidi er	----|----⌫-|
De son droit aidierà d effendre	-|--|----|-----|-|-⌫-------|
Kautrementn	|--------||
i uorroieentendre.	|------|--------|
Etpour ce que	-|---|-|--|
uous tesmoigniez	---|----------|
Queles pu celescecuidiez	--|--|--⌫----|-|------|
Soient àtortochoisonnées	-----|-|---|------------|
Et deui l a in bl asme	-|-|--⌫-⌫-⌫-|--⌫---|
ÀChastelNoblem	-|------|----||
Po urlun e	--⌫-||--⌫|
mongage don rai.	--|---|---⌫---|
Et latiercepui stDiexaidier	-|-|-----|---⌫-|---|-----|
ne sa i c onseillier	-|--⌫|-⌫---------|
Carseconseill i er	--|-|--------⌫-⌫-|
C ertes àenuislifaurroie	-⌫----|-|----|-|-------|
Et s ain siauien t kadrecier	-||---⌫-|-----⌫||-------|
Lipuissefai l lir nel iquier.	-|-----|---⌫-⌫--|-|-⌫|-----|
Pag eu02P053	---⌫-------|
Carambedeus l es aidero ie	--|-------|-⌫-|------⌫-|
Sepo uoi r de ce	-|--⌫---⌫|-|-|
fai re auo ie.	---⌫-|---⌫--|
Etquantcil orent	-|----|--|----|
QueCléomad èsauoitdi t	--|--------⌫--|----|--⌫|
Sa chiez que mou lt lo r	--⌫----|--|---⌫-|--⌫|
fu pl aisans	-|--⌫-----|
Cel eparole et	---⌫|-----|-|
bienséans.	---|------|
Cléomadèsenmercier ent.	----------|-|-------⌫---|
Moultp l us	----|-⌫-⌫-|
que d euant l e	--|-⌫----|-⌫|
prisierent.	----------|
Sartanssi g rantioie enauoit	------|-|-⌫---|---|-|----|
ioie e n Iarmioit.	---|-⌫|--------|
Et Cléomadèsdit	-|----------|--|
Q uele matinmouuoiruorra	-⌫-|-|----|------|----|
Carbon feroittempreueni r	--|--|-----|-----|----⌫|
ÀChas telNoble pour oyr	-|----⌫--|----|---|--|
C ommentles be soignes iroie nt	-⌫-----|--|--⌫------|-----⌫-|
Etse lonc ce sema i n tenroient .	-|--⌫---|-|-|--⌫-⌫-⌫---------⌫|
Cléomadèsot	----------|-|
E n s oncuere t enuolen té	-⌫|-⌫-|---|-⌫|-|-----⌫--|
Quele s pucelesdeffendroit	--|--⌫|------|----------|
Oui ll au iei laisseroit.	-|-⌫|-⌫|-⌫-||----------|
EnsoncuerDi eum o ulte n grac ie	-|--|---|--⌫-|-⌫-⌫--|-⌫-⌫----⌫-|
a l anouue leoye	|-⌫|-----⌫-|--|
àtansuenir	-|---|----|
Cesttousli bons c onforsqu	|--|---|-|---|-⌫-----|-|
Du rb ansdist qu ei l mou ueroit	--⌫--⌫--|---|--⌫|-⌫|---⌫-----|
Simatinque	-|----|--|
illiplairoit	-|-|-------|
Etdi stque il	-|--⌫-|--|-|
De faire doutoutsonplaisi r.	-|----|--|---|--|------⌫-|
À sonp ouoir e ntirement	-|--|-⌫----|-⌫--------|
ueutfairesonc om mandement.	---|----|--|-⌫--⌫---------|
Mouuoirueuta ins	------|---|-⌫--|
laubeesclarcie.	|---|---------|
Et Cl éom adès	-|--⌫----⌫----|
lenmercie.	|-|------|
Pageu02P054	----------|
Durbans sonnonli demanda	------|--|--|-|------|
Et il toutainsi	-|-|---|----|
femme sertno mmez.	----||--|--⌫----|
Si comdeuant oy aue z	-|--|-----|-|---⌫|
DistDurbansbiauschiers	---|------|----|-----|
siresd ous	----|-⌫--|
Etilli distDe France sui	-|-|-|---|-|-----|--|
Maisiai eü	---||-|--|
Ipou dan ui	|--||--⌫-|
i os conuers er.	|-|-------⌫--|
Diexuous uuei l le danu igarder	---|---|----⌫-⌫-||---⌫|-----|
FaitDur banscarie leuorroie	---|---⌫---|--|-|-|------|
Etsei e riens fai repouoie	-|-|-⌫|----|---⌫-|-----|
Qui uouspeüst esleecier	--|---|-----|--------|
Nem enferoiepa spriier.	-||-|-----|--⌫|------|
Sire la uostre grantmerci	---|-|-----|----|----|
Quant i lu ousplaistà direains i	----|-⌫|-⌫--|-----|-|---|----⌫|
Fa it Cle ́oma dès.	--⌫-|---⌫----⌫----|
Leuéqu antassez parléont.	----|--⌫--|----|-----|---|
À Di eu commander ent Sartant.	-|--⌫-|---------⌫--|-------|
s ontpartiàtant.	-⌫--|----|-|----|
DurbansClé omad e ̀sen main e	------|----⌫----⌫-⌫-|--⌫----⌫|
Ensachambreetfo r mentsep aine	-|-|------|-|--⌫-⌫---|-|-⌫---|
Delui seruirethonno rer.	-|--|-----|-|-----⌫---|
Il n ec ouuien tpas demander	-|-⌫|-⌫------⌫|--|-------|
Secel enui t f ufestiiez	-|---⌫|---⌫|-⌫|-------|
Etho nnorezetaaisiez	-|--⌫-----|-|------|
Cléomadèscarde	----------|--|-|
Luiauoitchascuns	--|----|-------|
grantdes ir.	----|---⌫--|
To stfulanouuelese üe	--⌫-|-|-|------|--⌫--|
P arle chast eletespandue	-⌫-|-|-----⌫-|-|-------|
Que lorsiressecomb atr oit	--|--|----|-|----⌫---⌫--|
Po urSartan quibleciez est oit	--⌫-|-----|--|------|---⌫--|
Pageu02 P055	-------⌫---|
Etque cilqui	-|--|--|--|
Àleursei gneursert	-|---|---⌫----||--|
A uoe clui en	-⌫---⌫|--|-|
saconpaignie	-|---------|
Pour les pucelesfa ireaye.	---|--|------|--⌫--|---|
Senfumoultloe z durem ent	|-|-|----|---⌫|-----⌫--|
C léo madèsde	-⌫----⌫-----|-|
main te gent .	----⌫-|----⌫|
Niadaineq ui	|||----|-⌫-|
nelenprise	-||-|----|
Car fait a moult	--|---||----|
courtoiseenpris e	--------|------⌫|
Et tr è s gracieuseetplaisans.	-|--⌫--⌫|--------|-|--------|
Dieuprientquil li	---|-----|-|-|-|
soi taida ns	---⌫|----⌫-|
Etlidoinstet l à e t aillours	-|-|-----|-|-⌫-|-⌫|-------|
Honnour et	------|-|
àtousiours.	-|---|-----|
Lachose uous	-|----|---|
acourcera i	---------⌫|
Etbriement ladeui serai .	-|-------|-|----⌫-----⌫|
Aprèssoupert os tseleuerent.	-----|-----|-⌫--⌫|-|--------|
Qu ant po in s enfucouchieralerent	--⌫--|--⌫--⌫|-|-|-------|------|
DeCléomadès o nt pensé	-|----------|-⌫-|-----|
io ntri ensoublié .	|-⌫-|--⌫--|-------⌫|
Apr èsce quil sefucouchiez	---⌫--|-|-|-|-|-|-------|
Durbansqui	------|--|
mo ultsot cesac hie z	--⌫--|--|-|---⌫---⌫|
Dec ec o n	-|-⌫||-⌫|
doitl ai s sieretfaire.	---|-⌫--⌫-⌫---|-|-----|
De uisa sit outsonafair e	--⌫---|-|-⌫--|--|-----⌫|
Quepourmouuoi r	--|---|------⌫|
sitemprement.	-|----------|
Queilnefaille	--|-|-|-----|
decouuent.	-|-------|
Tres to ute l armeür e prist	----⌫--⌫--||-------⌫|----|
C léom ade ̀set si lafi st	-⌫-----⌫---⌫-|-|-|-|--⌫-|
Metr e ensescoff res bienetb el .	----⌫|-|--|----⌫--|---|-|-⌫--⌫|
Unpalefroiamblant morel	-|-------|------|----|
Fis t p our ueöiretcommandé	---⌫|-⌫---⌫-----|-|--------|
Ac on l am aint	||-||--⌫---|
tout arréé	---|------|
Lecheu a lierà	-|----⌫-⌫---|-|
sonleu e r	--|---⌫-⌫|
Sitost q u iliertpoins demonter	-|---|-⌫|-|---|----|-|-----|
E t cil lefi re ntt out	-⌫|--|-|--⌫--⌫-|-⌫--|
Nelemirent pas enoubli.	-|-|-----|--|-|-----|
Pageu02P056	----------|
Si lefis tDu rbanspouru eöir	-|-|---⌫|--⌫----|-----⌫----|
D eto utquil	-⌫|--⌫-|-|-|
neti ntkaumouuoir.	-|--⌫-||-|-------|
To utsonafaire apa reillier	--⌫-|--|-----|---⌫-------|
quilse uous ist couchier.	-|-|-|----⌫--|--------|
Lorss eco ucha quantpoinsen	---|-⌫|--⌫---|----|----|-|
Qua n t so nafaireot	---⌫-⌫|--⌫|-----|-|
po uru eü.	--⌫---⌫---|
Lendemain ma tinseleu a	--------|--⌫--|-|---⌫|
Durba nset à	-----⌫-|-|-|
Sartan ala	-----|--|
Pren dre cong ié .Lo rs	----⌫--|----⌫---⌫|--⌫-|
se n par ti.	|-⌫|---⌫--|
Ma isprèsq uelicuers	--⌫-|----|-⌫-|-|----|
Sartan quant	-----|----|
ill enuitaler.	-||-|--|----|
A ̀ p ainespotiltant	-⌫|-⌫----|--|-|---|
Quil leü st	-|-||---⌫-|
àDieucom mand e ́	-|---|---⌫----⌫-⌫|
Si auoit le cuera bos m é.	-|----|-|---|-⌫---⌫-⌫--|
Quant Durbans	----|------|
fudel à s eure z.	-|-|-⌫-|-⌫----⌫-|
Iàer t Cléomadè s mo nt ez.	--|--⌫|----------⌫|--⌫--⌫--|
Moult auoitpriiéIseriant	----|----|-----||------|
Quei llisalu ast Sartant	--|-⌫|-|----⌫--|------|
Etles dam es	-|--|---⌫-|
a i nsi leferoit.	-⌫-⌫--|-|------|
Apr es tédemouuoir	---⌫--⌫--|-|------|
Toutcilquial erse n deuo ie nt.	---|--|--|--⌫-||-⌫|----⌫--⌫--|
Le cheualC l éomadès	-|-----|-⌫-⌫--------|
Apa re illi éaumiexquil	---⌫--⌫----⌫-|-|---|-|-|
Endestrele fo nt a mener	-|-----|-|--⌫-|-⌫----|
Soigneu sement le	-------⌫-----|-|
fontgarder.	---|------|
Cl éomade ̀s moult mercia	--⌫-------⌫-|----|-----|
ain siarré él a	---⌫-|-----⌫-|||
EtDurb ansà pointlenrespont.	-|----⌫--|-|----||-|-------|
De làendroit p artise sont.	-|--|------|-⌫---|-|----|
Tanto ntesploitié eter ré	---|-⌫-|---------|-|--⌫--|
QueenT osc anesonten tre ́.	--|-|-⌫---⌫--|---|--⌫---⌫-|
Pageu02 P057	-------⌫---|
ÀCha stel	-|---⌫---|
Nobleuinrentdroit.	----|------|-----|
LiroisCarmans	-|---|------|
lors i est o it.	---||---⌫-⌫--|
Lequartiouraprèscequil	-|----|---|-----|-|-|-|
ÀCha stelNobl eue n uf urent.	-|---⌫---|----⌫|--⌫-⌫|-⌫-----|
Enl auilesous	-|-⌫|---|---|
lechaste l	-|------⌫|
Pr irent osteletbon etbel .	--⌫----|----|-|--|-|---⌫|
Durbantplushonnoroient	------|---|----------|
Cléomadès qu ilne fais oient	----------|-|-|-|----⌫----|
Lor d roitseignou r carcommandé	--|-⌫---|-------⌫|--|--------|
Lor auoitDurb ans	--|----|----⌫--|
Et il dur ementsenpen oient	-|-|---⌫----||-|---⌫----|
Carde iour en	--|-|---|-|
iour plu sl	---|---⌫||
Ca rtantestoitcourtois et dous	--⌫|---|-----|-------|-|---|
faisoitamer àtous.	------|---|-|----|
Delo stel oùiltraitses toient	--|-⌫---|--|-|----||--⌫-----|
Trestoutàplai nueöirpouoient	-------|-|----⌫|-----|-------|
Lechastelet lamais tretour	-|------|-|-|----⌫--|---|
P o uoientu eo ̈irtouten t our	-⌫-⌫-----|-⌫--⌫--|---|--⌫-⌫--|
u ileplushautséoit	-⌫--|---|---|-----|
Unpetitetque	-|------|--|
nefaisoi t	-|------⌫|
Lic hast iausça i oycon ter.	-|-⌫----⌫---|-|-⌫|-|---⌫---|
Cléomad è s s a nsarrester	--------⌫--⌫|-⌫-⌫-|-------|
uersune fenestre	---|--|-------|
L echastelrega rda	-⌫|------|----⌫--|
O ù autr efois a uoiteste ́.	-⌫-|----⌫|---|-⌫---|----⌫-|
parf on tsouzpiré.	----⌫--⌫|---------|
fait ilneuoi ielà	---|-|-|--|-|--|
Leli euoù cel e mo tria	-|--⌫-|--|---⌫||-⌫---|
oùtantauo itbiauté	--|---|---⌫-|------|
E t detous	-⌫|-|---|
bienssigran tplen t é	----|-|----⌫|----⌫-⌫-|
peüstplus auo ir	-----|---|---⌫-|
Hélasco mme n tpuisie	--|--|--⌫---⌫-⌫|---|-|
Lelieulàoùieconque stai	-|---|--|--|-|------⌫---|
Pageu02P058	----------|
Sigrant c hose quantperdu l	-|----|-⌫---|----|----||
Parnicetéetpar folie	--|------|-|--|----|
Hé l ascomment	--|-⌫-|------|
suiieen uie	--|-|-|--|
Qu e nem oruiie celui	--⌫|-|-⌫---|-|----|
Queiepe rdisi	--|-|--⌫--|-|
haute honnou r	----|------⌫|
Grantmerueill ea i co mm en t nefen t	----|--------⌫|-⌫|--⌫--⌫--⌫|-|---⌫|
Mes c uer s d anui etdetormen t.	--|-⌫---⌫||---|-|-|------⌫-|
Iecroiq uenus ne	-|---|-⌫-|--|-|
muer td anui	----⌫||---|
Puiscediqueiemorsn	-------|--|-|---||
Pieçaqueme s cuerspartis	-----|--|--⌫|----|-----|
Car onques c uers	--|-----|-⌫---|
ta ntdanuin ot	--⌫-||---||-|
miensnauoir nepo t.	----||----|-|--⌫-|
Ain siiluecse	---⌫-|----|-|
gaimento it	--------⌫-|
Clé omadès e t regretoi t	----⌫------|-⌫|--------⌫|
Clar mondinep iteusemen t.	----⌫------|-⌫---------⌫-|
Deparfontsouzpiroitsou uent.	-|------|---------|---⌫----|
EtPinchonnèslimenestrés	-|----------|-|---------|
E st àcepo i nt ue rslu ialés.	-⌫-|-|-|--⌫-⌫-|--⌫-|--⌫|-----|
Àlafenes treuinttoutdr oit	-|-|-----⌫--|---|---|--⌫--|
OùCléomadèssapuioit.	--|----------||-------|
EtlorsPincho nnèsleregard e	-|---|------⌫----|-|------⌫|
Q uitantostsedonnabiengarde	-⌫-|------|-|----|---|----|
Quedecue r e stoit tormentez	--|-|---⌫|-⌫----|--------|
Hado ussirefait	-|--⌫-|---|---|
uous nesamblezpase n	---|-|------|--|-⌫|
b o npoi nt .	-⌫-⌫|---⌫--⌫|
Cléomad ès Itoutseu l	--------⌫--||---|---⌫|
Nelirespont.	-|-|-------|
Àsons eigneu rdirelala .	-|--|-⌫------⌫|---||---⌫|
LorsiestDurbans acor us	---||--|------|----⌫-|
À luiest maint enant	-|--|--|-----⌫----|
D ouceme nt le	-⌫------⌫-|-|
reconfor ta.	--------⌫--|
Bie n uoi tque meschiefde cuer a	---⌫|---⌫|--|-------|-|---||
Pageu02 P059	-------⌫---|
uolt pas en quer r e	---|--|--⌫----⌫-⌫|
Pour quoiilauoitcelanui	---|---|-|----|--|---|
desp lairoit	----⌫------|
e nqu erreuouloit	-⌫---⌫---|------|
Dont sesanuisli naistetmuet.	---|--|----|-|----|-|----|
Pour ce e nq uerreneliuuet	---|-|-⌫--⌫----|-|-|---|
Ainsl a entresesII braspris	---|||----|--|-|---|---|
Séésuousfaitil d ous amis	-----|---|---|-|-⌫--|---|
Lai ssieznou sIpoure poser.	---⌫----|---⌫||--|--⌫-----|
Cléomadè sàregard er	----------⌫|-|------⌫-|
LepristIpou sehonto ia	-|----||--|-|-----⌫-|
