mesireno blelilion s	-|---|--⌫--|-|----⌫|
montd esirequasmains let ieigne	---|-⌫----|-|-|----|-|-⌫-----|
ianecuide qu a tensleti eigne	-|-|----|-||---|-|--⌫----|
ain coizq ueilletieigneasmains	---⌫-----⌫-|-|-|------|-|----|
seraplusmalades	---|---|------|
hermelinefu enpeor	--------|-|-|---|
porrenart qui fue nfreor	--|-----|--|-|-⌫|----|
et per cehaie et malebranche	-|---⌫-----|-|----------|
montpar estoitladame	---|--|-----|-|---|
en cr oizs estente n s atesnier e	-|--⌫--||-----|-⌫|-⌫|-------⌫|
po rrenartfet dignep riere	--⌫|-----|--|----|-⌫----|
a damedie uprieetcur e	|-------⌫|---|-|---⌫|
querenartgari sseets acure	--|-----|----⌫--|-|-⌫----|
et demale ngingl escremisse	-|-|--|-⌫----||---------|
quenlabata illeneperis se	-|-|-|----⌫---|-|-----⌫-|
siduif illplorent en	-|--|-⌫--|------|-|
eulzfesoitsoroison	---|-----||------|
por leperequitantlez aime	--|-|---|--|---|--|---|
quant ille z uo itbeausfilzlezcla i me	----|-|--⌫|--⌫-|----|---|--|---⌫-⌫-|
hersan tpriepors onse igno r	------⌫|---|--|-⌫-|--⌫----⌫|
qu e dieus	--⌫|----|
li face tele ennor	-|---|---|----|
queiadelabatail len isse	--|-|-|-|------⌫-||---|
etquere n art	-|--|--⌫-⌫--|
ua increlepuisse	--⌫----|-|-----|
quemon ts oef	--|---⌫|-⌫--|
li fistlac ho se	-|---|-|-⌫--⌫-|
tesniereou ert enclose	-------|-|--|------|
iaporlinesefustcomplai nte	-|--|-|-|-|---|-------⌫--|
mais ysengrin	---|-------|
qu iafai t maint e	--⌫||---⌫|-----⌫|
celifistcomplaindresilip o ise	---|---|----------|-|-|-⌫-⌫--|
mont a en lifauceborioise	---||-|-|----|-------|
tuit sonta	---|---||
cortet poure etrich e	---|-|----|-|----⌫|
ysengrin metra en la	-------|----|-|-|
renart silp uetp arsa	-----||-|-⌫--|-⌫-|-|
n e u au drasesengi nsmaail le	-⌫|-⌫--⌫--|--|----⌫-|-----⌫-|
quantno bleuit sa	----|--⌫--|--|-|
p arcuisa batailleerttenue	-⌫-|--|-|-------|--|----|
briche merfait auantuenir	------⌫--|---|----|----|
porrecorderet por te nir	--|-------|-|--|--⌫--|
l eiugemen tet labata ille	-⌫|-------⌫|-|-|----⌫---|
etpriequeparledroitaille	-|---|--|--|-|----|----|
bri chemerestuenuz	---⌫-----|--|----|
et dit qu ilferason conmant	-|--|-|-|---|--|------|
asoiatret y y	|--|----|-⌫|
desb arons	--|-⌫----|
q ui estoi ent montdeg rans nons	-⌫-|-----⌫--|---|-|-⌫---|---|
li lieparz estoitlipremiers	-|------|-----|-|-------|
quimontestoit estotet fiers	--|---|-----|----|-|----|
etbaucentqui	-|------|--|
agent lec o rs	|---|-|-⌫-⌫-|
si reb ruianzlito rs	--⌫-|-⌫-----|-|--⌫-|
c ilyy sontauant uenuz	-⌫-|-|---|----|----|
porle z plussagessont	--|--⌫|---|----|---|
qu icilior	--⌫|--|--|
fus s entenla place	---⌫-⌫--|-|-|----|
cilquias sezne	--|--|--⌫--|-|
porzzgrant iugementteni r	--|-|----|-------|----⌫|
et porzz grantf ezso ust en i r	-|--|-|----|-⌫-|--⌫---⌫--⌫-⌫|
a zzco nseill	|-|--⌫-----|
distbrichemeri e me	---|--------|-⌫|-|
meruei l l	------⌫-⌫|
que renart os at ce pensser	--|-----|--⌫-|-|------|
dontlauonsoia cuser	---||----|-|-⌫----|
a roou neletatib ert	|----⌫--|-||---⌫--|
l ors quimont noussert	|--|--|---|---|---|
desautrescl amor sia tante s	--|-----|--⌫----⌫|||-----⌫|
sai direquantes	--|---|------|
pinteseplaintet ysen grin	----|-|-----|-|----⌫---|
totcepristsors oitie celin	--|-|----|--|-⌫-|---⌫----|
pourtouz ceulza liu réson gage	---|---|----||---⌫--|--|---|
ysengr in e tli uré ostage	------⌫-|-⌫|--⌫---|-----|
connoistreyyiorsli face	---------|-|---|-|---|
sei lle nie	-|-⌫|-|--|
ennulle pla ce	-|----|---⌫-|
seigne ursquiespoistapeisier	------⌫--|--|-|----|-------|
lemaloste r	-|--|----⌫|
etabe ssier	-|---⌫----|
cefeust bonsenscem estauis	-|----|--|---|-||--|---|
aiiebien ditque uous	-|-|---|--|--|---|
baucent aditbiena uez dit	------||--|---|-⌫--|--|
tuit l otroient sanz contred it	---||-------|---|-------⌫-|
sont uenuzauroy	---|----|-|--|
sil idien ttot enre coi	-|-⌫|----⌫|--|-|--⌫--|
s ireuostrebaronl o ass ent	-⌫--|-----|----|-⌫-⌫---⌫--|
quecil d uibaron sacordassent	--|--|-⌫-|----||----------|
sauue tanoret querele	----||---|-|------|
montten issi onslapesabele	---|---⌫----⌫--|-|--||---|
m ontp lest auroyc equ	-⌫--|-⌫---|-|--|-⌫|-|
il ontdi t	-|--|--⌫|
iaparluineser ont desdit	-|--|--|-|---⌫--|-----|
seign eurfaitilor enparlez	-----⌫--|---|-|-|-|-----|
ysengrinontp remierapelez	-------|--|-⌫-----|-----|
queto ute laquerel e	--|--⌫--|-|------⌫|
a u oustient	|-⌫--|----|
denientuersmoi	-|----|---|--|
nap artien t	|--⌫------⌫|
mi e uxu aut	--⌫-⌫-|-⌫--|
lapesdeu lz	-|--||--⌫-|
que lag ue rre	--|-|-⌫--⌫--|
selapoe z uerseulz conq uerre	-|-|---⌫|---|---|----⌫----|
quant brichemerl	----|--------||
tornezsenest col	-----||-|--|--|
aysengrin distenloreil le	|-------|---|-||-----⌫-|
queliroys forment	--|-|---|------|
semer ueille	-|---⌫-----|
entre u lz yy mettre	---|-⌫-⌫-|-|-----|
nepordonerne	-|--|----|-|
porp ram ettre	--|-⌫---⌫----|
fa cele bienpren gnedr oi ture	--⌫-|-|---|----⌫--|--⌫--⌫---|
de rena rt por	-|----⌫-|--|
laforfai t ure	-|------⌫-⌫--|
et dece queseurelimist	-|-|-|--|----|-|---|
que as a famef orcefis t	--||-⌫|---|-⌫---|---⌫|
dist ysengrinnen p arlezpas	---|-------||-|-⌫----|--|
ieweil lq u enmardeisnel lepas	-|----⌫|-⌫|-||---|-----⌫----|
q u antiea	-⌫-⌫--|-||
luiprend raiacorde	--|-----⌫--|-----|
ne weillquautre foiz s	-|----|-|----|---||
i a cord e	|-⌫----⌫|
afaireh ont eason	|----|-⌫---⌫||--|
ne gesirauecsaconmere	-|----|---|-|------|
ieuerraibie nsiau red roit	-|-----|---⌫|-|--⌫-|-⌫---|
bichemerdit queil	-------|--|--|-|
ch osefu st simenee	--⌫--|--⌫-|-|----|
si deduiteetsiatornee	-|------|-|-|------|
queentreusy yfeus sent amis	--|---|--|-⌫|----⌫---|---|
le testque so ie ntanem is	--⌫|--|--|--⌫--⌫-|----⌫-|
sique chasc unsondro it	----|-----⌫-|--|---⌫-|
queam altornee ne fust	--||-⌫-|-----|-|---|
di tysengrin	--⌫|-------|
ia deusneplace	-|---|-|----|
que iepes n eacortface	--|-|--|-⌫|----|---|
uoieleplus fort	---|-|---|---|
quieus enatort	-----|-||---|
bienmep orratenirpori ure	---|-|-⌫---|----|--|-⌫--|
se i e le n lesp a rtird eliu re	-|-⌫||-⌫|--|-⌫-⌫---|-⌫----⌫-|
dites leroi etsonbarnage	----|-|--|-|--|------|
quece sach ent et folets age	--|-|----⌫--|-|--|-|-⌫--|
quepor nient lapesrequier t	--|--|----|-|--|-------⌫|
iadeci elcham p faiteniert	-|---|-|----⌫|----||---|
chascun diracequil uoudra	------|---|-|-|-|-----|
el ch amp uerrontliquieusuaincra	-|--⌫--|------|-|-----|------|
ditesle royquedroitmetiein gne	----|-|--|--|----|-|-----⌫--|
labataille aim	-|-------|--|
co nmentqu i l p raign e	--⌫------|-⌫|-⌫-----⌫|
quant brichemeroten	----|--------|-|-|
n e trouue rapesue rs	-⌫|------⌫-|--|--⌫-|
auroyadite	-|--||---|
telen ou uel le	---|-⌫--⌫---⌫-|
parqu oy si reli ren ouuelle	--|--⌫-||-⌫-|-|---⌫------|
si refaitil amalentent	--⌫-|---|-||--|-----|
ysengrinsa bataille atent	-------|-|-------|----|
quiln ata len t def aire pes	-|-|||--⌫---⌫|-|-⌫---|--|
honniz soitqui	-----|---|--|
ne acorde se lechampn on	-|-----|-|-|----|-⌫-|
lonab ricon	--||-⌫----|
ple z mon tem piriez	---⌫|---⌫|--⌫-----|
brichemeren estcor rociez	--------|-|--|---⌫-----|
del orgu eillqueyseng rin	-||----⌫---|--|-----⌫--|
quantde p es fair e lesco ndit	----|-|-⌫-|----⌫||----⌫---|
dit brichemerse uousu o lez	--|--------|-|---|-⌫-⌫--|
droitfaire si	----|----|-|
con mesol ez	---⌫-|---⌫-|
si uoustenez	-|---|----|
ladr oiteuoie	-|--⌫---|---|
ceestlimieusqueieuoie	-|--|-|----|--|-|---|
quambed eusle zmetonslafor s	-|-----⌫--|--⌫|-----|-|---⌫|
p ens echascun	-⌫---⌫|------|
d e garder soncorps	-⌫|-----|--|----|
qu ant ilseront	--⌫--|-|-----|
enmila place	---|-|----|
qui mieuxp orrafai resiface	--|----|-⌫---|---⌫-|-|---|
par s ain trichier	--|-⌫---⌫|------|
poruerte uous os affichie r	--|----|---|-|--------⌫|
neprendra ii e	-|-------⌫|-⌫|
pas totl auoi r	--|--||----⌫|
que liplusri che	--|-|---|--⌫--|
puist auoir	----|----|
queie la bataillenenaie	--|-|-|-------||-|--|
iamaisnenaura ideulzmanoi e	-----||-|----⌫||---|-----⌫|
nesaiquealezate ndant	-|--|--|---|---⌫----|
elchamplez metezmain tenant	-|----|--|----|----⌫-----|
quant laparo leont recetee	----|-|----⌫-|--|------|
dela b atailleetreco ntee	-|-|-⌫------|-|----⌫---|
puiz lez ontmisel champensem ble	---|--|--|--|-|----|-----⌫--|
liplus ha rdizdepeortramble	-|---|--⌫---|-|---|------|
luntenoitlautre	|-|-----||----|
parl a main	--|-⌫|---|
no ble a pelazz chapelain	--⌫--|-⌫---|-|--------|
monseig n or	--|----⌫-⌫-|
belinl emouton	----|-⌫|-----|
quisag esestpas nendouton	--|---⌫-|--|--||-|-----|
cilapor tel esaintuair e	--|----⌫-|-⌫|---------⌫|
su rqu oi fis t le	--⌫|--⌫-|---⌫|-|
seirem entfair e	------⌫--|----⌫|
liroisa fait cr ie r sonban	-|---||---|--⌫--⌫|--|--|
quilniait nul	-|-|||--|--|
detelboban	-|--|----|
q uif acenoi seempes setieigne	-⌫-|-⌫--|---⌫-|-|--|-|------|
et com preu donmeseconti eigne	-|--|----⌫----|-|-----⌫----|
montestl iroisdegra ntiostise	---|--|-⌫|---|-|---⌫-|------|
duseireme ntfetla	-|-------⌫-|--|-|
danzbricheme ret brun li ou rs	---|--------⌫|-|---|-|--⌫-|
quelentenoita syy	--|--|-----|-⌫|-|
m e il lo urs	-⌫-⌫--⌫--⌫--|
segneur sfait ilorme scoutés	-------⌫|---|-|-||-⌫-------|
se ie di mals i	-|-|-|--|-⌫|
mamendé s	|-------⌫|
renartiur r apremiere ment	-----|---⌫-⌫|--------⌫---|
e tfe ratotle	-⌫|--⌫-|--|-|
quaysengrin	-||-------|
nen a tort fait	--||---|---|
nea t ibe r t	-||-⌫---⌫-⌫|
chat forfai t	---|------⌫|
natiecelinnal a	||-------|||-⌫|
nearooune lcon mantquiprenge	-||------⌫|---⌫-----||-----|
a lezf a i tesle seirement	-⌫--|-⌫-⌫-⌫--|-|--------|
aysen grinentierement	|----⌫---|----------|
renart s apareilleen	-----||--------|-|
sisagenoulleet	-||--------|-|
deseurl ezsains estant	-----|-⌫-|----|-----|
ila iuré parsaintgerma in	-||----|--|----|-----⌫-|
et pa r le zsainzqu eillecui t	-|--⌫|--⌫|----|--⌫|----|--⌫|
quedeceplettor t	--|-|-|---|---⌫|
lez s ain zbeisep uizsi	--|-⌫---⌫|----|-⌫--|-|
ayseng rindur ementgrieue	|-----⌫--|---⌫----|-----|
cequilafaitcroi re por	-|-|-||---|----⌫-|--|
lamensonge porsonsauoir	-|-------|--|--|-----|
a genou s cest	|-----⌫||--|
at er remis	|-⌫--⌫-|--|
d ist b rich emer oiez	-⌫--|-⌫----⌫---|---|
c iiurerezrenartestfaus	-⌫|------|-----|--|---|
duseirement	-|--------|
q uetuloiaus	-⌫-|-|-----|
dist ys engrin ie l e cr aant	---|--⌫-----|-|-⌫|--⌫---|
bes atotma inten a nt	---⌫|--|--⌫-----⌫-⌫-|
ilc est redrec i ezpuizsen uai t	-||--|------⌫-⌫-|---||-|---⌫|
enm ilecham p	---⌫|-|----⌫|
s or oisonfait	|--⌫----|---|
long u em entaoroisons	----⌫-⌫--⌫--||-------|
grantafflictions	----|----------|
etprie di euquit ots eurm on te	-|---|--⌫-|--|-⌫-|-⌫----⌫--⌫-|
q ue illid ointuengiersah onte	-⌫-|-|-|-⌫---|------|-|-⌫---|
s iquaupart irl	-⌫--|-|----⌫-||
onnorenait	----|-|--|
derenartquiliafaitl ait	-|-----|--|-||---|-⌫--|
beiselaterr esi sedresce	----|-|----⌫|-|-|-----|
sonbaston afa ite	--|-----|---⌫--|
eta dr esce	-|-⌫--⌫---|
enplusourssensli ato rnoie	-|-------|---|||---⌫----|
la corr oie	-|----⌫--|
prentetpuizsemole	----|-|---|-|---|
e n plusourss e ns sonb aston	-⌫|-------|-⌫-⌫-|--|-⌫----|
totentorenc linea lagent	--|----|---⌫---||-|---|
montsededuit etb el etgent	---|-|-----|-|-⌫-|-|---|
e t distrenartque ilsegart	-⌫|---|-----|--|-|-|---|
quinelme tte	-||-||--⌫--|
le ioragat	-|--||--|
quant rena rtl	----|----⌫-||
otdu cu er sospire	-|-|--⌫-|------|
t otcest tenuz motneuot dire	-⌫-||--|----|--|-|--|---|
renartsot lettresens enfa nce	-----|--|------|-||----⌫--|
mon t otoi denigramance	---⌫|-|-|-|---------|
tantot puizent enduail lors	---|-|---|---⌫---|---⌫---|
q ot obli élezmosmei llors	|-|----⌫-|--|--|---⌫----|
sonbaton prentaafaitier	--|----|----||-------|
bie n semblehome qu is oit	---⌫|-----|---|--⌫|-⌫--|
gentemen tlesetasoi	--------⌫|-|--||--|
bienap risdetel affaire	---|--⌫--|-|--|------|
enp lusourssen slae ssaié	-|-⌫------|---⌫|||-⌫-----|
na passemble nt	||--|------⌫-|
donm eesmaié	|---⌫|------|
enses doi z lacorroielace	-|--|---⌫|-|------|---|
p u iz se redr esce	-⌫-⌫-|-|----⌫---|
en lap lace	-|-|-⌫---|
quanti l letintsi fu	----|-⌫|-|---|-|-|
c onmeenc hastelen closdemur s	-⌫---|-|-⌫-----|--⌫---|-|---⌫|
liescremi rliestioiaus	-|-------⌫|-|--|-----|
carbien en setl ezenu iaus	--|---|-|--|-⌫-|---⌫---|
sonescu sorsatestetie nt	--|---|--|-|----|---⌫-|
yse ngrinpresd e	---⌫----|---|-⌫|
li setient	-|-|----|
tielleesc r emieli donra	-----|---⌫-⌫---|-|----|
quag ranthontel itornera	-||-⌫---|----|-⌫|------|
ysengri nest de	-------⌫|--|-|
m o n ttostqueu r tr enartenuair	-⌫-⌫-⌫|---|----⌫-⌫|-⌫----|-----|
renartfaitil	-----|---|-|
ma lesbailliz	--⌫|-|------|
toriorssoieie me sh onniz	------|---|-|--⌫|-⌫----|
meueng demauil tance	-|---|-|-|---⌫----|
quemefeiz par	--|-|---|--|
sorcuida nce	--------⌫--|
quanttuama	----|-||-|
etaforce lapori e us	-||----|-|----⌫-⌫-|
renartr espontsire mald ites	-----|-⌫-----|---|--|-⌫---|
otri ezqueies oie	----⌫-|--|-|-⌫--|
faireuous fer ai granth omage	----|---|---⌫-|----|-⌫----|
auscheua liersde	--|-----⌫----|-|
grantparage	----|-----|
p uiziraiporuousoutremer	-⌫--|---|--|---|----|--|
seme uoule zcuite clame r	-|-|-----⌫|----|-----⌫|
rena rt fait il ne	----⌫-|---|-|-|
tetr aua illles	-|--⌫---⌫-----|
iene croiquetunient u ailles	-|-|---|--|-|----|-⌫-----|
qu antt udem es mains t orn eraz	--⌫--|-⌫|-|-⌫-|----|-⌫---⌫---|
iapuiznemera mpone raz	-|---|-|-|--⌫-----⌫--|
renartrespont ce st deuinail le	-----|------||-⌫-|--------⌫-|
bien uerronsa ladefinaille	---|------||-|---------|
li q uieusque soit plusdeceu	-|-⌫----|--|---|---|----|
distysengrintropaiu esc u	---|-------|---|-|-⌫---⌫|
seceuousneme puizuengier	-|-|---|-|-|---|------|
ce dist renart or oida ngier	-|---|-----|-|-|--⌫----|
qualezt ou teior menacent	-|---|-⌫--⌫-|--|-------|
maisa ssailliez de smaintenant	---|-⌫--------|--⌫|---------|
acem oty sengrin	|-|-⌫-|-⌫------|
renartn atalentq uils	-----|||-----|-⌫|-||
sonescu m et de uant	--|---|-⌫-|--⌫---|
metpieauant	--|--|----|
souuentses gront	------||--⌫----|
mont leua y sengr inh as tant	---|-|-|-⌫-----⌫-|-⌫--⌫---|
enuetbiendesfendant	-|--|---|---------|
ieteetent re yy	---|-|---⌫-|-|
auquel que soitenestli	-|---|--|---|-|--|-|
ain zquils epar tentdela ssaut	---⌫--|-|-⌫|---⌫---|-||-⌫----|
renart fiert	-----|----|
quimienefaut	--|--|-|---|
telcoplezl orei lleli	--|--|--||----⌫--|-|
quet outelatesteliestonne	--|-⌫---|-|----|-|------|
acelassautmallienchiet	|--|-----|--|-|------|
tantchancel leapounechiet	---|-------⌫-||--|-|----|
qua nt sa teste a	---⌫-|-|----||
ueueseignier	---|-------|
desama inseprent	-|-|--⌫-|-|----|
dieu priequi nefa ut	---|---|--|-|--⌫-|
qu ile garded	-||-|----||
af olement	--⌫------|
porsafamec edit	--|-|---|-⌫|--|
longuementfu	---------|-|
qu ilneset qu elziorsi l est	-|-|-|--|--⌫--|---|-⌫|--|
soitiorssoit	---|---|---|
nuisq uel tempsqu iles t	---|-⌫--|----|-|-|--⌫|
porle cop quil areceu	--|-|--|-|-||----|
renart la bienaperceu	-----|||---|------|
n efi stsemblantq uileseut	-⌫|--⌫-|-------|-⌫||-|---|
nequeap erce uleut	-|--|--⌫----⌫||--|
maisdautre parttornasachiere	---||----|---|----|-|-----|
encorse ga rt quilne	----|-|--⌫-|-|-|-|
sil en pueteise	|-|-|---|---|
et leuauoir	-|--|----|
feraasauoir	---||-----|
qu il natalentdeluiatraire	-|-|||-----|-|--|------|
ensus leferade l ui	----|-|---|-|-⌫-|
laira pasaprou c hier	----|--|-----⌫-⌫---|
a ubaston le faitesmochier	-⌫|-----|-|---|--------|
d ant yse ngrind eloingesgarde	-⌫--|---⌫----|-⌫|----|------|
rena rtlidistpourcoise tarde	----⌫-|-|---|---|--|-|----|
qualabataillenereuient	-||-|-------|-|------|
quefa ire lesco uui ent	--|--⌫--|--|--⌫---⌫--|
ysengrin cestmontapenssez	-------||--|---|-------|
queesm aieztrop	--|---⌫---|---|
porpensesoique trop demeure	-------|--|--|---|------|
isnelem e n tli cort	-------⌫-⌫-⌫|-|---|
metpie aua n tgietere treite	--|--|---⌫-⌫|----|--⌫-----|
montdurementren a rtse gueite	---|-------|---⌫-⌫-|-|-----|
ysengringiet epas nareste	-------|----⌫|--||-----|
deson bastonuolela	-|--|-----|---|-|
met piearriere si	--|--|------|-|
renar t qui s etassezdefet	-----⌫|--|-⌫-|----|-|--|
atantd anzys engrin	----|-⌫--|--⌫-----|
d ieuxqui so r toze st	-⌫---|--|--⌫|--|-⌫-|
bon de uin	--|--⌫--|
set bienque l droituersmoy	--|---|---⌫|----|---|--|
ba stonuo us	--⌫---|--⌫-|
fautdontnelsauez	---|---|-||----|
carfesonpesamonseign eu r	--|----|--||--|-----⌫--⌫|
aincoizqueai ez desonneur	---------|--⌫-|--------|
dist ysengrin face	---|-------|---|
m entondre	|-|-----|
nen aipo r uous confondre	|-|-|--⌫|---|--------|
quant assez	----|----|
rampon éce	------⌫-|-|
liduiuassalqui	-|--|-----|--|
ouchamp furent	-|----|-----|
derechiefa ndui	--------|-⌫---|
s entreuienne nt	|-----------⌫-|
montcointemen tlorescu tiennent	---|---------⌫|--|---|-------|
ysengr ingieteetfaitson esme	------⌫-|----|-|---|--|---|
quegeter ueillepar	--|----|-----|--|
deliprendre mont s	-|-|------|---||
entrel e sc u	----||-⌫--⌫|
sonba stonmet	--|--⌫---|--|
enmi lechampso n es culesse	---|-|----|--⌫|--⌫-|----|
renartdeso nbastonr elesse	-----|-|--⌫|-----|-⌫-----|
tel coplidoneainzq uilet ieig ne	--|--|-|---|-----⌫||-|-⌫----⌫-|
ert ior ne	--|--|-|
souu ieigne	----⌫-----|
l ebrassen estreliafret	-⌫|---|---⌫----|-||---|
ora yse ngr in mon t	-||---⌫---⌫-|---⌫|
e nduiontlorescurepris	-⌫---|--|--|---|-----|
enp lusours se u o nttastant	-|-⌫------|-|-⌫-⌫-|------|
longuement fure n t enestant	---------|----⌫-⌫|-|-----|
neue iste s	-|--⌫----⌫|
gens t an tcombatr e	---|-⌫--⌫|-------⌫|
nulzdeu l z neue ut	---||--⌫-⌫|-|--⌫-|
lautreabatre	|----|-----|
ianedoitondece plei dier	-|-|---|-|-|-|----⌫---|
etysengrinne	-|-------|-|
se puet aidier	-|---|-----|
forssoleme nt de son brasd estre	---|------⌫-|-|--|---|-⌫----|
car perduauoitlesene stre	--|----|----|-|----⌫---|
eu ls torn el	--⌫-|----⌫||
autreetretorne	----|-|------|
nulzdesuassaus	---|--|------|
pas ne seiorne	--|-|------|
mo ntt ornent ainzquenulen chiee	--⌫-|-⌫-----|------|--|-|----|
ysengrinseuf fregranthasc hiee	-------|----⌫--|----|----⌫---|
maisden zazzpoi	---|---⌫||-|--|
pl u saguz	--⌫-⌫|---|
querena rt et	--|----⌫-|-|
pluse smoulus	---|-⌫------|
contrerenart	-----|-----|
montseheric e	---|-|-----⌫|
bien li d esc iresape l ice	---|-|-⌫---⌫--|-|--⌫-⌫--|
renart li faitzzto r	-----|-|---|-|--⌫|
mais ysengrin	---|-------|
ne ldout eaincoi s	-||----⌫|------⌫|
ren artlestraint pa sne	---⌫--||-------|--⌫|-|
fetde lil ampaint	--|-|-||------|
a laterrele	|-|----|-|
gieteenuers	----|-----|
renartu intdessusen trauers	-----|-⌫--|-----|-|------|
lezdens lidebriseenlaboc he	--|---|-|------|-|-|---⌫-|
en lachierelic racheet	-|-|-----|-|-⌫----|-|
es y e usli b outeso n baston	-|-⌫-⌫-|-|-⌫---|--⌫|-----|
so uuentlip l oiesonguernon	--⌫----|-|-⌫-⌫--|--|------|
tr airelifaitmont malef in	--⌫---|-|---|---|---|-⌫-|
puizliaditsireysengrin	---|-||--|---|-------|
encuiue rronquidr oit ara	----|--⌫---|--|--⌫--|--|
etquimieusfaire le s ara	-|--|----|----|-|-⌫--|
de uostrefamemacusez	-|-----|---||-----|
certes montesteztresmuez	-----|---|----|-------|
quantuousci pouruo stremoillie r	----|---|-|---|--⌫---|-------⌫|
moi etuousfaiteztraue illier	--|-|---|-----|-----⌫-----|
ysengrinuoit	-------|---|
q uille lesdeng e	-⌫|-|-|-------⌫|
mont estdolenzqu	---|--|-----|-|
ilnesen uenge	-|-||-|----|
linenpuetplusf aire	-||-|---|---|-⌫---|
renartlifaitho nte etcont raire	-----|-|---|--⌫--|-|----⌫----|
de ns m onts ed e m ente	--⌫-|-⌫--|-⌫|-⌫-⌫-⌫---|
etdit fous est qui	-|--|---|--|--|
me tsentente	--⌫||------|
enfa me porrien z qu il	-|--⌫-|--|----⌫|-|-|
poisont de famessanzbo idie	--|---|-|----|---|--⌫---|
moie nec rairai mais	---|-|-⌫-----|---|
parfameestplusgue rre	--|---|--|---|---⌫--|
parfamesont honnima int home	--|---|---|----|--⌫--|---|
le zmauxe stfamesonm e	--⌫|---|-⌫-|---|----⌫|
qu itrop imetsentente	--⌫|---||--||------|
e tysen grinai nssic edeme n te	-⌫|----⌫---|--⌫---|-⌫|----⌫-⌫-|
ain ssise complaintbe lle ment	---⌫--|-|--------|--⌫---⌫---|
renart le fiert	-----|-|----|
ets orlene s etsor laf ace	-|-⌫-|-|--⌫|-|--|-|-⌫--|
ys engri nnesetq ue ilfa ce	--⌫-----⌫|-|--|-⌫-|-|--⌫-|
que bienuoi t	--|---|---⌫|
qu ilestentrape	-|-|--|-|----|
a cemotle ba stonlieschape	|-|--|-|--⌫---|-|------|
querenar ttient	--|-----⌫|----|
c ilqu i n	-⌫-|--⌫||
ot troplecuer	-|---|-|---|
leuer m aisnepuetestr e	----|-⌫--|-|---|----⌫|
q u il n auertu fors desadestre	-⌫|-|||----|---|-|-|-----|
renartli faitdeg ranz	-----|-|---|-|-⌫---|
delapoudr eli	-|-|-----⌫|-|
gie te eseulz	---⌫-|-|---|
ys engrintientpornonpoissant	--⌫-----|----|--|----------|
a umai nsli uet lezieus c e rchan t	-⌫|---⌫-|-|--|--|---|-⌫-⌫-----⌫|
maisparsagrantm esaue nture	---|--|-|----|-⌫-----⌫----|
l iauin t si fort auenture	-⌫|----⌫|-|---|-------|
son do iten l abouche dedens	--|--⌫-|-|-⌫|-----|-----|
chietetc ille	----|-|-⌫-|-|
pre ntasde ns	---⌫-|-|--⌫-|
lachartrencheiusquasos	-|---|------|----|-|-|
sesma ins lac e	--|--⌫--|---⌫|
de tri es sondos	--⌫---⌫-|--|--|
del estraindrepas	-||---------|--|
quentel l e guiseledestrai nt	-|-|---⌫-⌫|----|-|-------⌫-|
ouueulleouno nles tuet des cend re	-|-----|-|--⌫||--⌫---|---⌫----⌫-|
desozlidescen dr e	----|-|------⌫--⌫|
orest re nart enmal	-|--|--⌫---|-|--|
silapo or ne	|-||--⌫-|-|
men merueill	|-|-------|
ysengri n d es genous le serre	-------⌫|-⌫-|-----|-|----|
ren artneuitneciel	---⌫--|-|--|-|---|
iuréauoitfaus sei rement	----|----|---|---⌫-----|
ilyparrapro chainement	-||----|---⌫---------|
comfau celoi	--|---⌫-|--|
hui est u enuz a saiornee	--|--|-⌫---||-|-----|
me rci quiertpor lezsain zd ero nme	--⌫--|-----|--|--|----⌫|-⌫|--⌫--|
maisneli uaut	---|-|-|---|
pas u nep onme	--|-⌫-|-⌫---|
queysengrin lefie rt etmaaille	--|-------|-|---⌫-|-|------|
tan tque renartiaintetbaaille	---⌫---|-----|----|-|------|
ysengrinl efiert	-------|-⌫|----|
enlachiere	-|-|-----|
samain neti entpas	-|---|-|--⌫--|--|
seurli chier e	---|-|-----⌫|
renartnapo oirdedesfandre	-----|||--⌫--|-|--------|
tot li c ouuient soffr ir et prendre	--|-|-⌫------|-----⌫-|-|------|
eustl ennorai llors	---||----|--⌫----|
enest engrantdolors	-|--|-|----|-----|
deuenuz plusfro it	------|---|---⌫-|
qu e gl ace	--⌫|--⌫--|
a inzueutmorircedite n place	-⌫--|---|----|-|--|-⌫|----|
queporlir ecreantseclaint	--|--|-|-⌫------|-|-----|
getézz plaint	----|-|-----|
semblant faitdomequisoit mort	-------|---||--|--|---|---|
caren luin a	--|-|--|||
ysengrin zzpe tit	-------|-|--⌫--|
montle dem orte t montle	---|-|---⌫--|-⌫|---|-|
rena rt n e mue tnepienemai n	----⌫-|-⌫|---⌫|-|--|-|---⌫|
bienfait semblan tnesoit passai n	---|---|-------⌫|-|---|--|---⌫|
ysengri n l	-------⌫||
enz ouchamp	--|-|----|
lalessiépo r m ort	||------|--⌫|-⌫--|
libaronl ontdelide pa rti	-|----||--|-|-|--⌫--⌫--|
ata nt la cortse	---⌫-|-|---|-|
onquesmains n ore nttelle ioie	-----|----||---⌫-|----|---|
quantreceurenthelaine atroie	----|--------|------||----|
com brunliours et ysengr in	--|---|-|---|-|------⌫-|
etchanteclere t tiecelin	-|---------|-⌫|-------|
etdamepintee trooun eaus	-|---|----|-⌫|-----⌫---|
porrenar tquiert	--|-----⌫|--|--|
