pourlanoble ch eualerie	---|-|----|--⌫-------|
alu ideualor ne s apert	|--⌫|-|----|-||----|
nushomde toutebarou n ie	--|--|-|----|-----⌫-⌫-|
porcou que iouorne puis mie	--|--|--|--|-|-|---|--|
recorde r dou	-------⌫|--|
toutsonafaire	---|--|-----|
sipensensquanq uil poroit ple re	-|---|--|-----⌫|-|-----|---⌫-|
aloe nge et	|---⌫--|-|
auoit i cilausi comble ́	----|-⌫--|---|------⌫|
pe uistderi enaioindre	--⌫---|-|--⌫-|-------|
chosequipeu istnel u i poindre	----|--|---⌫--|-|-⌫-⌫|------|
a rie nqui ne fustcouignable	|---⌫|--|-|---|---------|
li quars apre s n efu pasfable	-|----|----⌫|-⌫|-|--|----|
el eaz aru scenosconte	--⌫---⌫---⌫|-|--|----|
li is toi r eque	-|--⌫---⌫-⌫|--|
ioumecenconte	--|--|-|----|
fuapielés n oblesuasaus	-|-------|-⌫----|-----|
hard i s gensetloiaus	----⌫-⌫|---|-|-----|
abaronsessournons estoit	-----|--|-------|-----|
licinquismesbiensai	-|---------|---|--|
noniona thas	--|----⌫---|
sournonapphus	------|-----|
limains nes	-|-----⌫--|
ertmais ases plus	--|---|---|---|
biaute endr oit	-----|----⌫--|
quenusdesaut ressicomcr oi	--|--|--|---⌫--|-|--|--⌫-|
dehard ement	-|----⌫----|
e tdepoece	-⌫|-|----|
porta courounepar	----|-------|--|
n ob l ece	-⌫--⌫-⌫--|
grati eu ssour toute	-----⌫--⌫|---|----|
neli faillice saiiebien	-|-|-----|-|--|-|---|
ch osehas tius est oit	--⌫--|---⌫---|---⌫--|
tresbien liauen oit	---|---|-|----⌫--|
ici stuirent les gr ans d ol ours	---⌫-|-----|--|--⌫--|-⌫--⌫---|
les granst ristecesles gries	--|----|-⌫-------|--|----|
queonfaisoitsor	--|-|------|--|
lalor gent	-|--|---|
parpluisoursfoisetmo ut s ouuent	--|--------|---|-|--⌫-|-⌫-----|
fum atha tias	-|-⌫----⌫---|
mout seclama chaiti se t las	---|-|----|------⌫|-⌫|--|
etlidansiel	-|-|------|
totautresi	--|------|
es toientesb ahi	--⌫-----|---⌫--|
eta ngu isseuset irascus	-|-⌫---⌫-----|-|------|
m athatiasert espierd us	-⌫-------|--|-------⌫-|
e tdi stc om sui or	-⌫|--⌫-|-⌫-|--|-|
me scheans	--⌫------|
lasmoi chaitiscom	--|--|------|--|
t ristres et	-⌫------|-|
ma s et abaubis	--⌫|-|------|
quan tioune sai	----⌫|--|-|--|
nu l egent cu i on tant	--⌫-⌫|---|--⌫|-|---|
laidengebo ute	-------|--⌫--|
firenecace	---|-|---|
comeon fait nose tsansraison	---|-|---|--|-⌫|---|-----|
bi a us tresdous diusle gueredon	--⌫-⌫-|---|---|---|-|-------|
lorrent par coi i lse ch astient	--|---|--|--|-⌫|-|--⌫------|
tantquil entr	-----|-|---|
iau sa unfa is	---⌫||-|--⌫-|
nos nauonsdroit asi	--||----|----||-|
l as moi chaitisques	-⌫-|--|------|-|-|
linospouoirs nostre	-|--|------|-----|
biencroietdoutnostreperece	---|---|-|---|-----|-----|
nous faitauoirteus uilonies	---|---|----|---|-------|
mathati asparplui so rs	-------⌫-|--|----⌫--⌫-|
sedementoitetnuit e t iour	-|--------|-|---|-⌫|---|
mai ntestris t ece s	---⌫---|----⌫-⌫---⌫|
et dol ours	-|---⌫---|
auoitquenesaidire	----|--|-|--|---|
souent sescuersestoit enire	-----|--|----|-----|-|--|
endisantmoutaide d estrece	-|-----|---|-|-|-⌫------|
decouq ueu oi en teldestrece	-|--|-⌫-|-⌫-|-|--|-------|
monp euple etmes amis	--|-⌫----|-|--|---|
tem plequie stor teus	---⌫--|--|-⌫-|-|---|
quecheus horsdenos	--|----|---|-|--|
d ec oitieusuiloun ie nest	-⌫|-⌫-|----|------⌫-|---|
quecunciiésestetordes	--|--------|--|-|----|
hounir le spuist	-----|--⌫|----|
trestosordes	------|----|
siildeco unese recroie nt	-|-|-|--⌫|-|-|-------⌫-|
par coii l	--|--|-⌫|
cou creoient	--|-------|
que nou s faisomes entrenos	--|---⌫|-------|----|--|
lasmoi queie	--|--|--|-|
sui anguissos	--|--------|
des sainsuaissiauset	--|----|--------|-|
des reliques	--|-------|
desc hierespie resq ui eslites	--|-⌫-----|---⌫--|-⌫-|------|
erentdetoutes	----|-|-----|
lespluisours	--|--------|
etma in td iue rsplui sorsators	-|--⌫--⌫|-⌫---⌫-|----⌫---|----|
qui moutfa isoientapr i sier	--|---|--⌫------||--⌫-⌫---|
etencoreioura pri sier	-|-----|--|--⌫---⌫|--|
que n os tre	--|-⌫--⌫--|
i o nebac eler	-⌫-⌫-|---⌫---|
dontio unepuis mon	---|--⌫|-|---|--|
duel celer	---|----|
gisentmortaualcesplaces	-----|---|---|--|-----|
l o r bie les ma ins lorcleres	-⌫-⌫|---⌫--|--⌫--|--|-----|
s ontbien taintes	-⌫--|---|------|
etoscurc ies	-|------⌫--|
liprodomeontbiencunc iies	-|------|--|---|----⌫---|
lorchieres d eslarmesquilpleurent	--|------|-⌫-|-----|-|-|-------|
desiniuresquiso raus queurent	--|------|--|--⌫|--|-------|
etior tempreneta rt	-|--|-----|-|--⌫-|
leslaidengon pentonet	--|------|-|---|-|-|
lesanchiiensetles c he n us	--|--------|-|--|-⌫--⌫-⌫-|
seuance nus	-|----|--|
q uemorsne soitetafolés	-⌫-|---|-|---|-|------|
s il estcontre	|-|--|-----|
lor loytr oués	--|--|--⌫----|
ha diusaoreennulliu	-|---||--|-|--|--|
gentsichaitiuequegiu	---|-|-------|--|--|
nesoientsugitetdr oit	-|-----|----|-|--⌫--|
lasai nteloi	-|---⌫--|--|
quei ou ors erf	--|-⌫-|-|-⌫--|
q ui dameet france ies tresol oit	-⌫-|---|-|-----|---⌫--|---⌫--|
e t la granti oieq u eon ueoit	-⌫|-|----|-⌫--|-⌫-⌫|-|----|
elsainttemple en iherusalem	-|----|-----|-|---------|
est ore pa sseeduntse m	--|--|--⌫---|---|--⌫|
unes emencemoutpiteuse	--|-⌫-----|---|------|
parquoi ieletru isdolereuse	--|---|-|-|---⌫-|--------|
e tmon coragecourecié	-⌫|--|-----|--------|
las moich aitispou rcoi uif gie	--|--|--⌫----|---⌫|--|--|--|
morir uorroie o remon	----|------|-⌫-|--|
dou da magecont uutmioueil	--|--⌫---||--|--|-|----|
dessaintuairesdebiaute	--|----------|-|-----|
et delanostr e gra nt	-|-|-|-----⌫|---⌫-|
qu itornee est en desconfo rt	--⌫|-----|--|-|--------⌫-|
quantli paiien	----|-|-----|
a sif ai t	|-|-⌫--⌫|
onttothoni e t au ilté	--|--|---|-⌫|--⌫----|
laloydiuq uitant	-|--|--|-⌫-|---|
di usc oudis t	--⌫-|-⌫-|---⌫|
lors mathatias	---|--------|
pourcoi uiuonsnoslessi ensdr as	---|--|-----|--|--|--⌫--|--⌫-|
a de sciré s etli	|--⌫------⌫|-|-|
definco uro sfurentsi uil	-|--|--⌫---⌫|-----|-|--|
enlorcourosontpriseshaires	-|--|-----|--|-----|-----|
si la uiestirent acoufaires	-|-|---------||--|-----|
dolouris iremesent	-----|--⌫|-------|
qui lo rentquepluisor l eseuen t	-|-⌫|-⌫---|--|------|-⌫|-----⌫|
po urdiu sign ororm	--⌫-|--|----⌫-|-||
uo u squ iagrantho nor ten dés	--⌫-⌫|--⌫||----|--⌫--|---⌫---|
c omentmat hati a slipreus	-⌫----|---⌫----⌫-⌫|-|----|
li siergans	-|-------|
diu quifufeus	--|--|-|---|
e tbiencreans ferm es en soi	-⌫|---|-----|----⌫-|-|--|
auintque li com ansle roi	----|--|-|---⌫--|-|--|
anthi ocun dont uo s aidit	-----⌫---|---|--⌫|-|--|
p ris tsesmesgesetlor dit	-⌫---⌫|--|-----|-|--|--|
qu ilalai ss ent en	-|-|----⌫--⌫--|-|
l orfuchit é	-⌫-|-|----⌫-|
quetosc iaus qui contreluiier ent	--|--|-⌫---|--|-----|--|---⌫--|
etqui sa uo len tene cuierent	-|--|-|--⌫---⌫-|-|-------|
de u antdit	--⌫-⌫--|--|
soientdeltotm isena sai	-----|--|--|-⌫-|-|-⌫--|
ausacrefisse desp a iiens	-|---------|--|-⌫-⌫----|
raisonsne bien s	------|-|----⌫|
s enui nre ntenlachitedroit	|-|--⌫---⌫-|-|-|----|----|
oui lmoutde grant	-|-⌫|---|-|----|
puleau oit	---|--⌫--|
d isr ael qui bien s acorder ent	|---⌫--|--|---||-------⌫--|
aumantdo u	-|---|--⌫|
ro ietb ien loerent	--⌫|-|-⌫--|------|
alorenfanset alorfemes	|--|-----|-||--|----|
alor amiset	|--|---|-|
aiau smesmes	|---⌫|-----|
queleco mantd ou	--|-|--⌫---|-⌫-|
roi feroie nt	--|------⌫-|
caraut r echosefer n osoien t	--|---⌫-⌫|----|--||------⌫|
lorslimesage	---|-|-----|
ue nu sont	--⌫-|---|
oumout de peules	-|---|-|-----|
c rusles ont	-⌫--|--|--|
et iaussiuirentto utes uo ies	-|---|-------|--⌫---|--⌫--|
p arsamblantlorf aisoientioies	-⌫-|-------|--|-⌫-------|----|
fustdecuer urai ou fausement	---|-|---|---|-|--------|
droite istoire n ement	-----|------|-⌫|---|
amathatia sontuenu	|-------|---|---|
depa r l eroirendents al u	-|--⌫|-⌫|--|------|-⌫--⌫|
a lui etases	|--|-||--|
cu i il fisen tmo u tbiaus sanblans	--⌫|-|-----⌫|--⌫-⌫|----|-------|
lor roil or ont il dit	--|--|-⌫-|--|-|--|
quilnem eiss ent	-|-|-|-⌫----⌫--|
aso ncom antnesque li autre	|--⌫|---⌫--|--|--|-|----|
esté uilainneuiautr e	----|-----|-|------⌫|
aobeirsauolente	|----|-|------|
matha tiaseutgrant dehe	-----⌫---|--|----|---|
etdist iou	-|---|--|
por que leraison	--|---⌫-|-----|
l airoieiou	-⌫-----|--|
lemien ren on	-|---|---⌫-|
denostreloycauonstenue	-|-----|--||----|----|
tre s le tansq u ele	---⌫|-|---|-⌫|--|
amoysem lesa int pro do me	|-----|-|--⌫--|---⌫--⌫-|
pourcui diu sa la	---|--|---⌫||-|
tantbielmiracle aso nuiuant	---|---|------||--⌫|-----|
quebien doit	--|---|---|
a uoiru nseriant	-⌫---|-⌫|------|
ent r eleautre s	---⌫-⌫|-|-----⌫|
contred is	-------⌫-|
fermes seursamaneuis	-----|----|-------|
depour siuiret	-|----⌫----|-|
soides fendre	--|---⌫-----|
e stauc usqu i soicontendre	-⌫-|---⌫-|--⌫|--|--------|
ueilleetiousi leferai	-----|-|--|-|-|----|
loineguerpirai	--|-|--------|
pour lapaor deuos treafaire	---|-|---|-|---⌫--|-----|
habi ausch iers sire si fai re	-|--⌫--|--⌫---|---|-|---⌫-|
distcilqui	---|--|--|
lecui dadeco i ure	-|---⌫-|----⌫-⌫--|
sac hiés se	---⌫----|-|
uosuole ́sr ecoiur e	--|----⌫-|-⌫------⌫|
uouset uostre fil quemes	---|-|-----|--|--|--|
u ospardonra trestotesire	-⌫-|-------|-------||--|
rois etd us	---|-|-⌫-|
conteset signors	-----|-|------|
de totes honors	-|----|-----|
sonorson re g neson	--|-|--|--⌫-⌫-|--|
arésdeltout auotalent	----|--|---||-|-----|
io ustelui sachie ́suou s ser roi s	--⌫---|--|------⌫-|---⌫|---⌫---⌫|
sourtous aut res necu e ns	---|---|---⌫--|-|--⌫-⌫-|
en ue rsu os	--⌫--⌫-|-⌫-|
n ara p oeste	|--|-⌫----|
matat iasl a esgardé	-----⌫--|||-------|
si di stdecueruifi ras cu	-|--⌫-|-|---|--|-⌫---⌫-|
cuidiés ormo ia uoir uaincu	-------|-|--⌫|-⌫---|-----|
portapro messe	--|-|---⌫----|
ne tonp lait	-|--|-⌫---|
i anauingneq uetesrois	-⌫||------|-⌫-|--|---|
pouoirsou rmoinesormesf ius	-----|---⌫|--|-|--|--|-⌫--|
m outfuliprodo m	-⌫--|-|-|-----⌫|
ente ntius	----⌫----|
de soiescuseretdem etre	-|--|------|-|---⌫---|
s inou sraconteorela letre	-⌫|---⌫|------|--|-|----|
que quant ilotisipar l é	--|----|-|-|--|---⌫-⌫-|
u ns i uisdesautori te	-⌫-|-⌫--|-||------⌫-|
seloncla loi asp aiiens	-----|-|--|-|-⌫-----|
uoianttousdont	-----|---|---|
a lasacref iiersorlaute l	-⌫-|------⌫---|--||----⌫|
mathatiasquienotmel	--------|--|-|-|--|
sailli a uante tsilocist	-----|-⌫---|-⌫|-||----|
sico melistoireledist	-|--⌫-||------|-|---|
so u rlautelmimeoci s la	--⌫-⌫||----|---|---⌫|||
iuisquiauoitia	---|--|----|-|
l e d yabl eel	-⌫|-⌫----⌫|-|
corsce poés croire	---|-|----|-----|
apres celuicefula uoire	----|----|-|-|-|----|
mathati as r ocis t	-------⌫-|-⌫----⌫|
quilorslorf ist fer	--|---|--|-⌫--|--|
siha r didont	-|--⌫-⌫-|---|
quiparlast co ntre	--|------|--⌫---|
ancois sescria hautem ent	-----||-----|------⌫--|
mia misoiié sboune men t	-|-⌫-|------⌫|-----⌫---⌫|
enm aidediuslipoissans	-||---|---|-|-------|
noustenserauers mescreans	---|------|---|--------|
atantac el auteldestruit	----||-⌫-|----|-------|
et achascun aco ue struit	-||------||--⌫|-⌫-----|
quequilaloyuorra teni r	--|--|-|--|----|----⌫|
ill i couientt otdeguerpir	-|-⌫|------|-⌫-|--------|
so niretagee t ses maisons	--⌫|------|-⌫|--|------|
s eilneueut	-⌫|-|-|---|
iestr emaishons	-----⌫|---|---|
esdes iers len couienta ler	-|---⌫---|--|------|-⌫--|
pourlaloye ts on c ors	---|-|--|-⌫|-⌫-|-⌫--|
fist li bonprodom	---|-|--|-----|
laissiécomesainshom	-------|---|----|--|
quilest oitet desainte uie	-|-|---⌫--|-|-|-----|--|
neut dontsaciés moutgranteenui e	|--|---|------|---|----|-----⌫|
auoirquecilli	----|--|--|-|
ancoissoncor s etauoir mi st	-----|--|---⌫|-|----|--⌫-|
elsieruicedousouerain	-|-------|--|-------|
ou i lmistcu erauoir	-|-⌫|---|--⌫-|----|
enfuiien sesde sier s	-|---|--⌫|-|--⌫----⌫|
com bon sergans et	--|--|------|-|
adroit siers	-----|----|
modinlaissaetso n ostel	----|-----|-|--⌫|----|
ensiau int dontniotel	---|--⌫--|---|||-|-|
o r nosraconteici listoire	-⌫|--|------|--||------|
qu e li bons mathat iascestlauoire	--⌫|-|---|------⌫--||--|-|----|
iletpluisorde sonlinage	-|-|------|-|--|-----|
semisen ten un	-|-----⌫|-|-|
liusauuag e	--|------⌫|
es desi erset es forsmontai gnes	-|----⌫--|-|-|---|------⌫---|
diuers sauualgesetestrai gnes	-----|--------|-|------⌫---|
et l ais sierentlor ireta ges	-|-⌫---⌫------|--|-----⌫--|
nellaissierent por auanta ges	-||----------|--|------⌫--|
pourbiaus pal aisn ebiausuregie s	---|----|---⌫--|-⌫|----|------⌫|
pourbielec hambres	---|----|-⌫------|
p orsouef gesirnebienboirre	-⌫-|----|----|-|---|-----|
delitce f ulauoire	----|-|-⌫|-|----|
qu em outi otd	--⌫|-⌫--||-||
aucunesdam es	------|---⌫-|
quimius amerentque	--|---|------|--|
fussentdampneesqu e	------|-------|--⌫|
n euissen tsolasetdepors	|-------⌫|----|-|-----|
ma is libonscuersmentir nepuet	--⌫-|-|---|----|-----|-|---|
metalai nsquil puet	--|-|--⌫-|-|-|---|
i lfait cou	-⌫|---|--|
queildo it	--|-|--⌫-|
seuilounie ne l decoit	-|-------|-||-----|
uilo unienediciutpas	----⌫---|-|-----|--|
le prodomemathat ias	-|------|------⌫--|
fiuslesbonsuasaus	---|--|---|-----|
soufr irent pain eetm aus	-----⌫----|----⌫|-|-⌫--|
ancois prisent lefrainas d ens	-----|------|-|----|-|-⌫--|
ets afichierentquelorgens	-||----------|--|--|---|
lorauoi rt enseroient	--|----⌫|-⌫---------|
enuerspaiie nsse	-----|-----⌫-|-|
ilueno ient	-|----⌫---|
don t quantilsefurentlogié	---⌫|----|-|-|-----|-----|
es desie rspar sifait co ngie	-|-----⌫-|--|-|---|--⌫---|
iause t lor femes	---|-⌫|--|----|
l or enfans	-⌫-|-----|
etlor biestes amout de gan s	-|--|------||---|-|---⌫|
asgensleroi	-|---|-|--|
q uierenta moutgrantconroi	-⌫-|----||---|----|-----|
eniherusa lemla ch i te	-|-------⌫--|-|--⌫-⌫-|
f u mout bie nchité	-⌫|---|---⌫|-----|
comentmatatiasauoit	-----|-------|----|
e sploitiécomcasc unssauoit	-⌫--------|--|----⌫--|-----|
lors semise n tamout	---|-|----⌫-⌫||---|
oumoutdeiuiseut	-|---|-|---|--|
etord enerent lorbatailles	-|---⌫------|--|--------|
au sic o m	--⌫-|-⌫-⌫|
par mi lemeta illes	---⌫-|-|----⌫----|
ionesneui el le sneche nus	----|-|--⌫--⌫--⌫|-|---⌫--|
que toutne soitmisa l	--|---|-|---|--|||
e nsilorbatailleord enee	-⌫--|--|-------|---⌫---|
uinr e ntleiour delorsabat	----⌫-⌫-|-|---|-|--|----|
oul i aucunsdeciaussabat	-|-⌫|-----|-|----||---|
silor distde parlorsignor	-|--|---|-|--|--|-----|
qu esil ueulentla g ranthonor	--⌫||-|------|-|-⌫---|----|
rechoiure deparla lor roi	--------|-|--|-|--|--|
q uilguer pissent lor	-⌫|-|----⌫------|--|
ilar ontioieetsigno u rie	-|--⌫--|---|-|-----⌫-⌫--|
partoutlaloy	--|---|-|--|
depaie n ie	-|----⌫-⌫-|
dont res pondir ent	---|---⌫------⌫--|
que de cou ertpriselor	--|-|--|--|----|--|
miusamo ie ntensimorir	---|---⌫--⌫-|---|----|
en lorsimplecesc	-|--|--------||
acu nchiierneiausde coiure	|--⌫------|-|---|--⌫-----|
la lo rsainte	-|--⌫|-----|
loiquiertuoire	--|--|--|----|
pourcoilisains ciuset la	---|--|-|----|---|-|-|
nouspuisttiesmoignierce ste guerr e	---|----|-----------|--⌫--|-----⌫|
quecest a tortcontrenodro i t	--||--||---|-----|-|---⌫-⌫|
queuousnousfaiteso r rendroit	--|---|---|-----|-⌫-⌫-------|
lorsdist c ilisiésuosdont hors	---|---|-⌫-|-----|--|---|---|
p orcascundesfendresonc ors	-⌫-|-----|--------|--|-⌫--|
ou autre men ttout ieste s	-|-----⌫---⌫|---|-----⌫|
morte t destruit sansnul mes pr is	---|-⌫|-------|---|--|---⌫--⌫-|
quenous uosue ll onsdeceuoir	--|---|--|--⌫--⌫--|-------|
lorsfu rent sacié s l epour	---|--⌫---|------⌫|-⌫|---|
ocisetdest ruits ansmencoigne	---|-|----⌫---|-⌫--|--------|
bi enunmilliersauf	--⌫-|-|------|---|
que nus d ogne	--|--|-⌫---|
contred ittantco n adefen se	-------⌫-|---||-⌫||-----⌫-|
alu id esfendrenesentense	|--⌫|-⌫-------|-|-------|
ancoisso n tmortenlors implece	-----|--⌫-⌫|---|-|--|-⌫------|
tormentetades tre ce	------|-||---⌫---⌫-|
enfantetfemes homeetbeste	-----|-|----|---|-|----|
decelegent mal eet	-|---|---|---⌫|-|
mathatiasq uantil cou	--------|-⌫---|-|--|
saciés poruo irmo ut grantduel eut	------|--|--⌫-|--⌫-|----|---|--|
toutautresilorau treami	---|------|--|--⌫--|--|
cascunsdi ausdistm alm i a mi	------||-⌫--|---|-⌫-||||-|
las nousdolantque	--|---|-----|--|
feron s nous	-----⌫|---|
autresifera on de nous	------|---|-|-|---|
se nosn auonsautr e	-|--||----|----⌫|
tou tserou mesoci s etmor t	---⌫|-----⌫--|---⌫|-|---⌫|
a pres iceste	-⌫---|-----|
ma thatias etsibaron	--⌫------|-|-|----|
se misentensambleaconcil l e	-|-----|-------||------⌫-⌫|
de mai ntepluisornoble uille	-|---⌫--|------|----|----|
p rodomes debien esleus	-⌫------|-|---|-----|
deio nesuiellese tchenus	-|--⌫--|------|-⌫|-----|
preuset h ardissageset fran s	----|-|-⌫----|----|-|----⌫|
larges courtoiset conq uer ans	-----|-------|-|----⌫---⌫--|
douneu rdebi e netde proece	|-----⌫|-|--⌫-⌫|-|-|-----|
quineuo rrentpar	--|-|--⌫----|--|
lo r perece	--⌫|-----|
sain s peulesfu s t des truis	----⌫|-----|--⌫-⌫|---⌫----|
anco isfu casc un sa c oue struis	----⌫-|-|----⌫--⌫||-⌫-|-⌫-----|
darmeure s	|-------⌫|
etde cheuaus	-|-|------|
courans hardis	------|-----|
lorsu iserentlor cheualiers	---|-⌫------|--|---------|
d es plushardisetdesplus	-⌫-|---|-----|-|--|---|
silordo ne rent signo rie	-|--|--⌫--⌫---|-----⌫--|
cascun lorsdecheuale ri e	-----|---|-|-------⌫--⌫|
p ourc oiil	-⌫--|-⌫-|-|
peuissen tdesf endre	--------⌫|----⌫----|
iausetlo rcorslorl oyconten dre	---|-|--⌫|---|--|-⌫-|------⌫--|
enuersc iau sdontie uosai	-----|-⌫---⌫|---|-|--|-|
auoit grantne p etit	----|----|-|-⌫---|
quetotne cou enistamo rir	--|--|-|---⌫----||--⌫--|
quan tcilseuo rrentc ontenir	----⌫|--|-|--⌫----|-⌫------|
parlor proeceetpar lorfor ce	--|--|-----|-|--|--|---⌫-|
quill orcouin t mostre rlororce	-|-|-⌫-|-----⌫|------⌫|--|---|
pa r esp eesdefierstrencans	--⌫|---⌫--|-|----|-------|
dont ilsoufrir ent mains aha ns	---|-|-------⌫--|----|---⌫-|
or o isiciapres	--⌫-⌫-|--|----|
s edeloir ieste sengres	-⌫|-||--|-----⌫|-----|
mathatiasfus ouerains	--------|-|-⌫-------|
deces tpeulecefu doumains	-|---⌫|----|-|-|--|----|
do u toit paourdemort	--⌫-⌫---|----|-|---|
ancoi sotcor age si	-----⌫|-|---⌫--|-|
ques esbatailles	--|-⌫-|--------|
as paii ens b atail lemanda	-|----⌫--|-⌫-----⌫-|----|
qui gr ant despitet grantanoi	--|--⌫--|-----|-|----|---|
enorent cascuns en d roi tsoi	-|----|------|--⌫-⌫---⌫|--|
lor gens remisent celepart	--|---|-------|---|---|
moutlor sambl aquillor fu	---|--|-----⌫|-|-|--|-|
c asamblé sefusse ntensam ble	|-------|-|-----⌫-|-----⌫--|
ma thatiascuibon cesamble	--⌫------|--|--|-|-----|
senuin th orsdesdesier suias	|-|---⌫|-⌫--|--|------⌫|---|
deu antsemistli	---⌫--|-|---|-|
preus iu d a s	----|--⌫-⌫-⌫|
qui tantauoiti aporcacié	--|---|----|-⌫|--------|
quesesperesoto troiié	--|--|----|-|-⌫------|
quilaroitpremierlabatal le	-|-|----|------|-|-----⌫-|
cilquineuolt auoirlefalle	--|--|-|---|----|-|----|
cheuaucamout	-------|---|
s errement	-⌫-------|
bienauoitentr oduit sa gen t	---|----|----⌫----|-|---⌫|
uoro i tquilf ei ssent	----⌫-⌫|-|-|-⌫--⌫----|
isi com ild esdesie rs iss e nt	--|--|-|-⌫-|-----⌫-|---⌫-⌫-|
siont ueul oranemis	-|--|--|-⌫-|-----|
esto ientademis	----⌫---|-----|
cheuaucoient si com	-----------|-|--|
so r frain	--⌫|----|
i udasq ui moutauoit	-⌫---|-⌫-|---|----|
de uengier satr es	-|------|-|--⌫-|
gra n t fa mine	---⌫-⌫|--⌫---|
necessa desrernenefine	-|----||----|-|-|---|
tantqu iluint aucheual cobrer	-----|-|---|-|-----|-----|
ente ndentca li	----⌫----|-|-|
ueulentleprisau oi r	------|-|---|--⌫--⌫|
coment iudas	-----|----|
fi staumo uoir	--⌫-|-|--⌫---|
ilregardadeuier sleciel	-|------|------⌫|-|---|
etd istd ius qui nasriensou	-|-⌫--|-⌫--|--||-|---|--|
faiten uainqu etout naitmistere	---|-|---|--⌫|---||--|------|
coret lemonpere	--|-|-|--|---|
t outen osgens etmesamis	-⌫---|-⌫-|---|-|--|---|
atanta so n e ntemis	----||--⌫|-⌫--|--|
dauise rciaus qui pau	|-----⌫|----|--|--|
ledote n t	-|----⌫-⌫|
iluit biencia usq ui	-|--|---|---⌫-|-⌫-|
se desrotent	-|--------|
at antmistlaglaiuea	--⌫--|---|-|-----||
etauisale plus tem p ti u	-|----|-|---|---⌫-⌫--⌫|
etc iausou pus auoitfi e rte	-|-⌫---|-|--|----|--⌫-⌫--|
at antl ediestriera hurté	--⌫--|-⌫|--------||-----|
d emer uill ospooir	-⌫|---⌫----⌫-|----|
pourco iiou uosditot pour	---|--⌫|--|--|-|--|---|
quetouteniausse feri	--|---|-|---|-|---|
comeghierf ausquia choi si	---|------⌫--|--||----⌫-|
gruesougantes	----|-|-----|
co nq uesn ieut	|-⌫--⌫--|||--|
desfe ntion	-----⌫----|
aciau squantuir en tsauigo r	|----⌫|----|---⌫--⌫|-|----⌫|
quemainte nantcel uies t or	--|------⌫---|---⌫-|--⌫-⌫-|
neua inquis t o sa	-|--⌫------⌫||-|
auan tquelor	----⌫---|--|
gens desren gie	---|------⌫--|
fu stdel totnieutpeu	--⌫-|--|--|||--|--|
forsalochir eetaubiersaire	---|||-----⌫|-|-|--------|
misentg rantpece d	-----|-⌫---|---||
que uosdiroieisi ua incu e	--|--|-----|--|--⌫----⌫|
fucelegentdola n teetmale	-|---|---|----⌫-⌫-|-|---|
di sluecendroitl oros sauale	|-⌫----|------|-⌫-|-||----|
p arla ou il	-⌫-|-|-|-|
seure ntpaiie ns	-----⌫-|-----⌫-|
aut resi comontuech iens	---⌫---|--|-|--|--⌫---|
leso chioientsans delai	--|-⌫-------|---|----|
loryd o lesen uilai ntai	--|--⌫-⌫--|-|-----⌫---|
i eto i entsir efont auteus	-⌫---⌫-⌫--|-|-⌫----|-----|
nobles et gens etautre teus	-----|-|---|-|-----⌫---|
commiusdeu antor ent esté	--|---|---⌫--|--⌫--|----|
toutunyuieretuneste	---|-|----|-|-|---|
c hosepor siuie	-⌫---|---⌫----|
l i iuis corentrelenquie	-⌫|---||----|--------|
lalor loisen fuii e rent tout	-|--|--||-|----⌫-⌫---|---|
pa our etlegrantd out	--⌫--|-|-|----|-⌫--|
qu ilauoient delor u ie perdr e	-|-|------|-|--|-⌫-|-----⌫|
as paiiesseuorrent aherdre	-|-----|-|------|------|
gar anti r	---⌫----⌫|
mat hati asfi stcircunc ir	---⌫----⌫-|--⌫-|-------⌫-|
lesenfans sicomonsoloit	--|-----|-|--|-|-----|
siauin tqu e grantioi eauoit	-|----⌫|--⌫|----|---⌫|----|
par lepaiiset	--|-|----|-|
par la terre	--|-|----|
desprodomesquiengrantger e	--|-------|--|-|----|---⌫|
auoient estécom i	------|----|--||
deuantsicomeaués oit	-----|-|---|----|--|
u oirsf us i com ci lliur es	-⌫---|-⌫|-⌫|--|--⌫|----⌫-|
queq uantmathat iassosmist	--|-⌫---|------⌫--|------|
aucunstiranset p lusors	-----|-----|-|-⌫-----|
qu imouta uoientf ai sde strois	--⌫|---|-⌫-----|-⌫--⌫|--⌫-----|
le sa int p euledesus	-|--⌫--|-⌫---|----|
que cil qui s orto s po est e	--|--|--|-⌫-|--⌫|--⌫---⌫|
a le uoltauoir ensapart	|-|---|----|-|-|---|
la mortqui cascundesondart	-|---|--|-----|-|--|---|
fi ert et ac oreleferi	--⌫--|-|--⌫--|-|---|
tantq uilauintsico m	-----⌫|-|----|-|--⌫|
caulitsemistetacouca	|-|--|-|---|-|-----|
d ema intenantsesfiusmanda	-⌫|--⌫-------|--|---|----|
e tlor di st ent endés moi	-⌫|--|--⌫-|---⌫-----|--|
mib i elenfantie nexxx	-|-⌫-⌫-|-----|-|-|--|
deuosdirelaueri te	-|--|---|-|----⌫-|
uos ciie st esor as amblé	--|-|--⌫--⌫-|-|--⌫-----|
amé s uosdetresbon eamor	----⌫|--|-|---|---⌫|---|
portésuo s foi	------|--⌫|--|
et si uosconfortés en uos	-|-|--|---------|-|--|
soiiésprodom eetui ge ros	------|------⌫|-|--⌫--⌫--|
amés l aloydiu	----|-⌫|--|--|
