#META# TextURIP erc e u alKu	-----|------|-⌫---⌫-⌫-⌫---|
#META#DEA Fn od ata	-----|---⌫|-⌫--⌫--|
#M ETA#FEW	--⌫---|--|
#META#ARLIMAhttps/ / www .arlima .net/ad/chretien_de_troyes.html# g r a	-----|-----|------⌫-⌫---⌫-------⌫--------------------------------⌫-⌫-⌫|
#META#AuthorChrétiendeTr o yes	-----|-----|--------|-|--⌫-⌫--|
#META#AuthorBorn	-----|---------|
#ME TA#AuthorBornAmb	---⌫--|------------|
#ME TA#A uthorDied	---⌫--|-⌫--------|
#META#AuthorDie dA mb	-----|---------⌫--⌫-|
#ME TA# Aut horFl1	---⌫--|---⌫-----|
#META#AuthorFl2	-----|--------|
#META# TextTitlePerceual	-----|--------|-------|
#MET A# TextSubtit leLe	----⌫-|----------⌫-|-|
#M ETA# Textuols	--⌫---|-------|
#META# TextSub i rom an c e	-----|-------⌫|---⌫--⌫-⌫|
#M ETA# TextDomlit	--⌫---|------|--|
#M ETA#Tr a nslationf alse	--⌫---|--⌫-⌫-------|-⌫---|
#META#Collection	-----|---------|
#META#Colle ct ionNo	-----|-----⌫--⌫----|
# META#TextDescARL u e rsoctos yllabi ques à	-⌫----|----------|-⌫-⌫-|-----⌫------⌫---|-|
sigrantpainne	-|----|-----|
dourirtaboch e etde	|----|-|----⌫|-|-|
que tune poïsdemander	--|-|-|----|-------|
Etl egraal que tu	-|-⌫|----|--|-|
nede mandasneanqueïs	-|--⌫-----|-|-------|
qu elricheh omelan anseruoit.	--⌫-|----|-⌫--||-|-|-------|
Mou testmaleüreu squi uoit	---⌫|--|---------⌫|--|---|
sibeltansqueplusnecouaigne	-|--|---|--|---|-|-------|
tantqueplusbiax uaigne.	---|--|---|---|------|
C e e stuli	-⌫|-⌫|-|-|
maleüreus	---------|
quiueïs qu	--|----|-|
il futansetl eu s	-|-|---|-|-⌫--⌫|
deparleraluitetaüs	-|-----||--|-|----|
En ma leür folsaneüs	-|--⌫|---|--|--|---|
Enm aleür tant	-|-⌫-|---|---|
t eteüsses	-⌫|-------|
qu e s etu	--⌫|-⌫|-|
demandé eüsses	-------|------|
lir iches roisquisi	-|-⌫----|---|--|-|
fust oresgarizde sapla ie	---|---|----|-|-|---⌫-|
etsiten istsa terrean pes	-|-|---⌫--|-|----|-|--|
dom ilnetanrapointiamés.	--|-|-|----|----|------|
Etseztu q uil	-|--|-|-⌫|-|
anau andr a	-|--⌫----⌫|
del roiqui terre	--|--|--|----|
dese splaies gariz	-|--⌫|-----|----|
Damesan p erdront	----|-|-⌫------|
t erres anserontessilliees	-⌫----|-|-----|---------|
desconselliees	-------------|
qui orfelines	--|--------|
remandront	---------|
etmaint cheual ieranmorront	-|----|------⌫--|-|------|
ettu it aurontle	-|--⌫-|-----|-|
malp ar toi.	--|-⌫-|---|
Puisdis tlada meise leauroi	---|---⌫|-|--⌫-----⌫-|-|--|
Roisiemanu oi s neuos en uit.	---|-||-|-⌫--⌫|-|--|--⌫---|
Ilmecouien tancorenuit	-|-|------⌫|----|----|
(378e.4663)	----------|
monost el p randre loingde	--|---⌫-|-⌫-----|----|-|
u osauezoï	-⌫-|---|--|
del C hastel Org uelleusparler	--|-⌫-----|---⌫------|-----|
mesilm icouient	--|-|||------|
Elchastel cheualier sdepris	-|------|---------⌫|-|---|
sissante et sis	-------|-|--|
etsachiezqui l	-|------|-|-⌫|
aits amie auoequeslui	--||---|-------|--|
gentil dame	-----|---|
cortoiseetbel e.	-------|-|---⌫-|
Porceuosa n d ilanouele	--|-|--|-⌫|-⌫|-|-----|
quelanefautnus	--|-|-|---|--|
quil n itruisse	-|-|||------|
uialt ferecheualerie .	----|---|----------⌫|
Si llarequiert	|-⌫|-|-------|
uo ldr oitlepr isauo ir	--⌫---⌫--|-|--⌫-|---⌫-|
detotle m ontge c ui t sauoi r	-|--|-|-⌫--|-|-⌫--⌫|-----⌫|
lapiec ed eterre	-|----⌫|-⌫|----|
ouil l e p orroit mi alzconquerr e	-|-|-⌫|-⌫-----|--⌫--|--------⌫|
seilestoitquilosastfe re.	-|-|-----|--||----|--⌫--|
Montes clere	------⌫----|
aunedameisele	|--|--------|
mout grantenor aur o itcon qu ise	---|----|---|---⌫-⌫-|---⌫--⌫--|
quilesiege porroitoster	--|-|----|------|----|
etlapucele de liurer.	-|-|-----|--⌫------|
Ilauroit totes les	-|-----|----|--|
asE str anges Range s	-|-⌫---⌫----|-----⌫|
porroitceindretot	------|------|--|
cu i D e xdo nr oitsiboeneür.	--⌫|-⌫-⌫|--⌫--⌫--|-|---|----|
Ladameiseleatantse	-|--------|----|-|
otdi t cequel i pl ot	-|--⌫|-|--|-⌫|--⌫-|
sisan parti	-||-|----|
sanzdir eplu s.	---|---⌫|---⌫-|
EtmessireGauuains sautsus	-|------|-------|---|--|
q uesonpooirfera	-⌫-|--|----|---|
de l i res correetsii r a	-|-⌫|---⌫----|-|-|-⌫-⌫|
etGuiflezlifilzNu tr edit	-|------|-|---|--⌫|-⌫---|
quilira se Dexliaït	-|-|--|-|--|-|---|
deuan tleChastelO rguilleus.	-----⌫|-|------|-⌫---------|
Et gesorle	-|-|--|-|
MontPerilleus	---|--------|
dis tKahedinsmonterir ai	---⌫|-------|-----|--⌫-|
etiusquela	-|-----|-|
nefinerai.	-|-------|
Et Perceuaxred it t o tel	-|-------|---⌫-|-⌫-⌫|-|
qui lnegirraan.i.o st el	-|-⌫|-|----|----|-⌫--⌫-|
.ii.n uiz an trestot	---|-⌫--|-|------|
ne nor ra d	-||--⌫-||
estrangepassage	-------|------|
(378f.4707)	----------|
no uelesque	--⌫----|--|
passer n iaille	-----|||----|
nedecheualier	-|-|--------|
quimialzu ai lle	--|----|-⌫--⌫--|
qu altre scheualier snequedui	-|-----⌫|---------⌫|-|--|--|
q u ilne sailleconbatrea lui	-⌫|-|-||----|-------||--|
tantque ildelgraals aura	---|--|-|--|----|-⌫---|
ansertetqu	-|---|-|-|
lal anceq uisain n e	-|-⌫---|-⌫-|----⌫-⌫|
si q u elaueritezprou e e	-|-⌫-⌫|-|------|----⌫-⌫|
liertditeporqu ele	-|--|---|--|-|--|
ian elle ira pornulepainne.	-|-⌫-|--⌫--|--|---|------|
Ensinqu esbien	-------⌫-|---|
i usqu acinq uante	-⌫---||----⌫----|
leu éetsi cre a nte	---⌫-|-|-|---⌫-⌫--|
liuns alautre ditet iure	-|--|||----|--|-|---|
quebatail leneauanture	--|------⌫-|-|-------|
ne saurontqueilnaillent	-|------|--|-||------|
tantsoitan felenesseterre.	---|---|-|--------|-----|
Etque queil ensiparloient	-|---⌫--|-|---|--------|
at ante zuosqueue nir uoient	--⌫--|-⌫|--|--|--⌫--|-----|
Guinganbresilparmi l aporte	------------|----|-⌫|----|
sa leet siaporte	--⌫-|-|-|-----|
.i. escud o r s otanl escu	--|---||-⌫||-|-||---|
uneb andequi d a zur	--|-⌫---|--||-⌫--|
Guing anbresi lle roic onut	-----⌫-------⌫|-|--|-⌫---|
selsalua siconil dut	--|----|-|--|-|--|
e tGauuain	-⌫|------|
nesalua mie	-|----|--|
ei nzlapele defelenie	--⌫-||----|-|------|
etdi t Gauuainstu	-|--⌫|-------|-|
monpere * ets ilef eri s	--|----⌫|-|-⌫|-|-⌫---⌫|
si c o nquesnel	-||-⌫----|-||
areisonas .	---------⌫|
Hon teet rep r ocheetblasmeen	---⌫-|-|---⌫-⌫---|-|-----|-|
apel detr aïson.	---|-|--⌫------|
Cesachentbien t uitli baron	-|------|---|-⌫--|-|----|
quege n iai	--|-|||-|
d e m ot failli .	-⌫|-⌫-|------⌫|
A cest mot anest antsailli	|---|--|-|---⌫--|-----|
me ssireGauuains toz hon teus	--⌫----|-------|--|---⌫---|
e tAgreuai ns liOrguilleus	-⌫|-------⌫-|-|---------|
se sfrer es	--⌫|----⌫-|
s aute tilletire	-⌫--|-⌫|-|-|---|
Deufetil biau	--|--|-|---|
neh onissiez uos tre lignage.	-|-⌫-------|---⌫--|-------|
De c e stblasmede cest outrage	-|-⌫-⌫-|-----|-|---|------|
quecistcheualierssusuo smet	--|---|---------|--|--⌫|--|
uo s desfandraiceuospromet.	--⌫|---------|-|--|------|
Et il ditSire ianus	-|-|--|---|-|--|
nem andesfandrasege non	-||-|--------|-|-|--|
(3 79a . 4751)	--⌫---⌫-⌫----|
et porcedesfandrem	-|--|-|--------||
n an ape le quemoi.	|-|---⌫-|--|---|
Etsege rie nmesfeteu ̈sse	-|-|-|---⌫|-----|--⌫---|
auch eualier quegeseüsse	-|--⌫------|--|-|------|
moutuolantierspesliqueï sse	---|---------|--|-|-----⌫--|
ettelamandeli feïsse	-|--|-----|-|------|
quetuit siamiet	--|---|-|--|-|
ledeü ssentteni ra bie n.	-|----⌫----|----⌫||---⌫-|
iem andesfant	-||-|------|
uezci monga ge	--|-|--|--⌫-|
ici oula oulu i	--|-|-|-|--⌫|
Et c ildit	-|-⌫-|--|
q uil l anprouera	-⌫|-||-|------|
deuan tleroi d	-----⌫|-|--||
Escau alon	-----⌫---|
qu i estplu sbiaxque Ausalon	--⌫|--|---⌫|---|--|------|
amon san e ta mon auis.	|--|--|-⌫||--|----|
Et gefet Gauuainstepl euis	-|-|--|-------|-|--⌫---|
siurai orandroi t	-----|--------⌫|
et la u errons	-|-|-⌫-----|
quiauradro i t.	--|---|---⌫-⌫-|
Tant ost G uin ganbreisils antor ne	----⌫--|-⌫---⌫---------||-|---⌫-|
et messir e Gauua inss ator ne	-|------⌫|-----⌫--||----⌫-|
d alerapr é ssan z	|---|---⌫--⌫|---⌫|
de m orance.	--⌫-⌫------|
bonela nce	---|--⌫--|
quibonhiaume etboeneespee ot	--|--|-----|-|----|----|-|
pr esantali	--⌫-----|-|
qu ilanportastrien de laut rui.	-|-|--------|---|-||---⌫---|
. u II. escuiers mai nne	-⌫-⌫--|-------|---⌫--|
et.ui i. destriers et.uii*. e scuz .	-----⌫-|--------|-------|-⌫----⌫|
Einzqueil fust	---|--|-|---|
de cort meüz	-|---|----|
otlanporl uimout	-||-|--|-⌫-|---|
gran tduelfe t	----⌫|---|--⌫|
ma in t pizbatumaintcheuoltret	--⌫--⌫|--|---|----|-----|---|
faceesgratinee	---|---------|
luison duelnedemaint.	--|--|---|-|-------|
Po rl uip lore nt	--⌫|-⌫-|-⌫----⌫-|
main tes etmaint	----⌫--|-|----|
etmessireGau uains s anua.	-|------|---⌫----||-|--|
Desauanturesqu	--|--------|-|
morrezuo s pa rler	|----|--⌫|--⌫---|
ma intena nt.	--⌫------⌫--|
Une ro tepremie remant	--|--⌫-|------⌫-----|
aancontree an	|--------|-|
decheualierset si dema nde	-|---------|-|-|----⌫--|
a.i.escuierqu iueno it	---|------|--⌫|----⌫-|
tozseusaprés etsi menoit	--|---|-----|-|-|-----|
andestre.i.c heualespaignol	-|--------|-⌫----|--------|
et ot.i. escu	-|----|---|
( 379 b .4795)	-⌫---⌫-⌫-----|
Escuiersdi m oiqui cilsont	-------|-|-⌫-|--|--|---|
quici passent	--|-|------|
Etilrespont	-|-|------|
SirecestMelianzdeL iz	---||--|------|-|-⌫-|
uns cheu al ie rspreuz	--|----⌫--⌫--⌫-|----|
etha rdiz.	-|--⌫----|
a lui —Sirege no n.	|--||---|-|--⌫-|
TraezdAnezmes sirea	----||---|--|---||
qui neualtmie	--|-|---|--|
deluimains .	-|--|-----⌫|
foifetmess ir e Gauuains	--|--|----⌫--⌫|-------|
Anetconuisgebi e n.	---|-----|-|--⌫-⌫-|
Ouuail Nem anceler	-|-|-|-||-|----|
—Sire a . i.tornoiemen tua	|---|-⌫-⌫-|----------⌫|-|
queMelianz deL iz prisa	--|------|-|-⌫-|---||
con treTiebaut	---⌫--|------|
deTintaguel	-|--------|
e t uos i iroizla mon	-⌫|--||----|-|--|
elchast elcontr ecezde	-|-----⌫-|-----⌫|--|-|
—Dexfetmessire G auuainsl ors	|--|--|------|-⌫------|-⌫--|
dontnefu Melianz de Liz	---|-|-|------|-|--|
a nlameison	-⌫|-|-----|
Tiebautnorriz	------|-----|
—Oi ̈lsire	|--⌫-|---|
seDex m e saut.	-|--|-⌫|----|
S es peresamamoutT ieba ut	-⌫-|----|--|---|-⌫----⌫-|
comeso n homeet tant lecrut	---|--⌫|---|-|---|-|---|
quaulit mortelou	-|-|--|-----|-|
son petitfilli	--|----|--|-|
et il linorri e tgarda	-|-|-|----|-⌫|----|
aupluschierementque il	-|---|---------|--|-|
unesoe fille sot	--|--|----|--|
preieretr eq u err e damor	-----|-|-⌫--⌫-⌫---⌫||---|
e t eleditq uea nul	-⌫|--|--|-⌫-||--|
s amorneliotroiero it	|---|-|-|--------⌫-|
tantqueilcheu aliersseroit.	---|--|-|----⌫-----|------|
Cilquimou tuoloitesplo itier	--|--|---⌫|-----|-----⌫----|
sefist l orsferecheualier	-|---|-⌫--|---|--------|
aprésreuinta saprei ere.	-----|-----||-|----⌫---|
N epuetestrean n ulemeni ere	-⌫|---|----|-|-⌫--|----⌫--|
distlapucelepa r	---|-|-----|--⌫|
iusque u os	-----|-⌫-|
auroizdeuantmoi	-----|-----|--|
ta ntda rme s	--⌫-||-⌫---⌫|
fetettantiosté	--|-|---|-----|
q uemamor uos	-⌫-||---|--|
aurac osté	---|-⌫----|
choses qu an	-----|-|-|
sidolce snesis ades	-|-----⌫|-|-|-⌫---|
come cele sque	---|----⌫|--|
lanconpere.	|-|-------|
Prenez.i.t or noiamonpere	--------|-⌫--⌫--||--|---|
se u osu olezma morauoir	-|-⌫-|-⌫---||-⌫--|----|
que geuue lsanzdotesauo ir	--|-|---⌫|---|---|----⌫-|
(379c.4839)	----------|
se mam o rsseroi t bienasise	-||--⌫-⌫-|-----⌫|---|----|
seie l auo ieor an uosmise.	-|-||---⌫-|-|-|--|----|
Sicom e celedeuisa	-|---⌫|---|-----|
let ornoiem entanpris a	-|-⌫-------⌫--|-----||
quAmorsasi gra ntseignorie	-|----||-|---⌫-|--------|
qua*cez qui sontansab aillie	-|-|--|--|---|-|-|-⌫-----|
q uilnoseroientrienueher	-⌫|-||--------|---|----|
quAmor s l or	-|----⌫|-⌫-|
uols istcomander	----⌫--|-------|
etmout feriezqueneanz	-|---|-----|--|----|
seneuos me teiezdedanz.	-|-|--|--⌫----|------|
Etillidist Am isua	-|-|-|---|--⌫-|-|
siuton seignorsif erassan	--|--|------|-|-⌫---|--|
et sil essece que tudi z.	-|-|-⌫---|-|--|-|--⌫-|
Ma intenantsanest cilpartiz	--⌫-------||-|--|--|-----|
etmessire Gauuains	-|------|-------|
D al eruersle chastelnefin e	|--⌫-|---|-|------|-|---⌫|
queilnepuetaillor spasser.	--|-|-|---|------⌫|------|
Et Tiebauz	-|------|
afetamasser	|--|------|
totsesbaron sets esueisi ns	--|--|-----⌫|-|-⌫-|-----⌫-|
etam andeztozsescosin s	-||-⌫----|--|--|-----⌫|
hauzetbas iuenesetchenuz	---|-|--|-----|-|-----|
etilisonttre st uituenuz.	-|-||---|---⌫--⌫--|-----|
MesTiebauz n amiet roué	--|------|||--|-⌫----|
ansonc hast elconsoilpriué	-|--|-⌫----⌫-|------|-----|
qu iltorne astason	-|-|-----⌫--||--|
queil auo ie nt grantpeor	--|-|---⌫--⌫-|----|---|
queilles uol sist tozdestruire	--|-|--|---⌫---|--|--------|
s a bienfetmure ret anduire	||---|--|----⌫|-|------|
delchastel	--|------|
tot e slesantrees .	---⌫-⌫|--|-------⌫|
Bienfu re ntle spo rtesfer mees	---|--⌫--⌫-|--⌫|--⌫---|---⌫---|
depierredureet d emort ier	-|-----|---|-|-⌫|----⌫--|
otautreportier.	-|----|-------|
Mescunepeti teposterne	--||--|----⌫-|-------|
do n lihuisnestoitpas	--⌫|-|---||-----|--|
liorentles si é	-|----|---⌫--⌫-|
Lihuisfu portoziorzdure r	-|---|-|--|------|----⌫|
fe rmez d unebarre	--⌫---||--|----|
otbienunecharre	-|---|--|-----|
tantc o nun echarreteporte.	---|-⌫-⌫|--⌫|-------|-----|
MessireGauuains uers lapor te	------|-------|---|-|---⌫-|
apr éstotsonhernoisuenoit	---⌫--|--|--|------|-----|
quepar iquilecoue no it	--|--|---|-|----⌫--⌫-|
passero u retornerarriere	-----|-⌫|-------|------|
autr euoienau t re ch arriere	----⌫|---||--⌫-⌫-|--⌫------|
(379d.488 3)	---------⌫-|
iusq u a.uii.iorneesnauoit.	----⌫|-----|------||-----|
Quant lapo stern eferme uoit	----|-|--⌫-----⌫|----|---|
santrean.i. prédesozla t o r	|----|----|---|----|-|-⌫-⌫|
quies toitclos	--|--⌫---|---|
de pex ant or	-|--|---⌫-|
se st soz.i. cha sne desc enduz	|-⌫-|-----|---⌫--|----⌫----|
etse s escuzia panduz	-|--⌫|----|||-----|
que lage ntdel	--|-|--⌫-|--|
chastellesuoient	------|--|-----|
etli plusorgrantioieauoient	-|-|-----|----|---|------|
del torn oi qui reméses toit.	--|----⌫-|--|-----|--⌫----|
Mes.i.uieluauasorauo it	-----|---|------|---⌫-|
elchastelmout do téet sage	-|------|---|--⌫--|-|---|
puiss antdete rreetdel ignage	-----⌫--|-|--⌫--|-|-|-⌫-----|
eti a derie n	-|-⌫|-|---⌫|
coman t qu an lafi nanprei ̈st	-----⌫|-|-|-|--⌫|-|----⌫--|
quei lnan f ust deltot	--|-⌫||-|-⌫--|--|--|
Cezquiuenoient	--|--|-------|
qui llifur ent	-|-⌫|-|---⌫--|
einz quelpalizf us sent antr é	---|-|-|----|-⌫--⌫---|----⌫-|
pa rleraTiebaut	--⌫---||------|
etdistS ireseD ex mesaut	-|---|-⌫--|-|-⌫-|-|---|
ieaimien esciant	-|-|---|------|
des conpa ignonsler oiArtu	--|-----⌫-----|-|-⌫-|---|
.ii .cheual iersqui ici uienent.	---⌫|------⌫---|--|--|-------|
Duiprodomemoutboenleuti enent	--|------|---|---|--|--⌫----|
que n eïs unsua int .i.tornoi.	--|-⌫---|--|--⌫---⌫--|------|
Ie loetcreantandroitmoi	-|-|-|-----|------|--|
queuosa ce	--|--||-|
tornoiemant	----------|
aill ieztrestot seüremant	----⌫--|------|---------|
queuos auez bons c heua li ers	--|--|---|---|-⌫----⌫--⌫--|
etboens serg enzet boen sarch ie rs	-|----|----⌫--|-|----⌫|----⌫--⌫-|
qui lorcheua x	--|--|-----⌫|
lor ocirront .	--|--------⌫|
Etgesa ibienque i lu anron t	-|-|--⌫|---|--|-⌫|-⌫-----⌫|
tornoier deuant cestepo rte .	-------|-----|----|--⌫---⌫|
orguiauz lesiaporte	-------|--||-----|
nos enau romeslegaaing	--|-|--⌫----|-|-----|
laperte etlema aing.	-|----|-|-|--⌫----|
con soilquecildona	---⌫---|--|--|---|
Tiebauz atozabandona	------||--|-------|
quils armassente tsan ississent	-|-||--------|-⌫||-|--------|
trest uitarmé cilqu iuo lsis sent.	-----⌫--|----|--|--⌫|--⌫----⌫----|
Dece ont ioie lic heua lier	-|-|--|---|-|-⌫----⌫---|
asa rm escorentescuier	-|-⌫--⌫-|-----|------|
etascheuaxet	-|-|-----|-|
mestent seles.	------|-----|
Etle sdame s	-|--⌫|----⌫|
(379e.4 92 7)	-------⌫--⌫-|
se uo nt p ar	-|--⌫-|-⌫-|
lesh auzleuss eoir	--|-⌫--|---|-⌫---|
tornoiementueoir	----------|----|
et uirent soz elesaplain	-|-----|--|---||----|
l eh ernois m onseignorGauuain	-⌫|-⌫-----|-⌫--------|------|
sicuidere nt	-|-------⌫-|
biendepr emiers	---|-|--⌫-----|
qu il i eüst .uii.*cheualie rs	-|-||-----⌫-----|--------⌫-|
porce queles.uii.*es cuzuoient	--|-|-|---------|--⌫--|-----|
quia l aubrepandu	--|||----|----|
e s toient .	-⌫-⌫------⌫|
Etdïe nt quantfurentmontees	-|----⌫-|----|-----|------|
lesdamesque	--|----|--|
bu erf u rentnee s	--⌫-|-⌫-⌫---|---⌫|
quec es.uii.* cheualiersuerront	--|-⌫-------|---------|------|
qui deuanteles s	--|-----|---||
arme ront.	----⌫----|
Ensi les un es	---|--|--⌫-|
deu isoient	---⌫------|
et t elesi	-|-⌫---||
otqu i disoient	-|--⌫|-------|
Dexsirei cist cheualiers	--|---|-⌫---|---------|
atanther noisettantdes triers	|---|---⌫---|-|---|---⌫-----|
quea sezaneüs sentdu i	--|-⌫--|-|----⌫---|--⌫|
nilna cheualierauoeclui.	|-|||--------|----|---|
Quefera i l	--|---|-⌫|
d e.ii.escuz	-⌫----|----|
Texc heualiersne	--|-⌫--------|-|
quipo rtast.i i.escu zansanble.	--|--⌫-------⌫-|----⌫|--------|
Porc egranzmer uoil le	--|-⌫|----|---⌫----⌫-|
secil cheualier s quiest seus	-|--|---------⌫|--|--|---|
porte races	-----⌫-|--|
e scuzandeus.	-⌫---|------|
Et licheualie r	-|-|--------⌫|
san issoient	|-|-------|
quequ e cele sen siparlo ient	-----⌫|----⌫|--⌫-|-----⌫---|
etla filleTiebautlainznee	-|-|----|------||------|
fuan latoran h aut montee	-|-|-|--|-|-⌫--|-----|
qu iletorn oiotf et a nprandre.	--⌫|-|----⌫-|-|-⌫-|-⌫--------|
Auoecla inzne e	----||-⌫-----⌫|
fula mandre	-|-|-----|
quisi cointeman tseu est oi t	--|-|---------⌫|-|-⌫---⌫--⌫|
de manch es qu a peleeestoit	-|-----⌫-|-|-⌫----|-----|
la Pucel e	-|-----⌫|
queesbrazles auo itescrites .	--|-|---|--|---⌫-|--------⌫|
Auoecles.ii.filles	----|------|-----|
sonttotes montees anhaut	---|----|------|-|---|
damesetpuce l esan s anble.	----|-|----⌫-⌫-|--⌫-⌫-----|
Etlitorno ieme nz ass anble	-|-|-----⌫----⌫-|---⌫----|
deua ntl echastel	----⌫-|-⌫|------|
maintenant.	----------|
nul siaue nan t	--|-|---⌫---⌫|
conMelianzdeLizestoit	--|------|-|--|-----|
tesmo in s amiequ i disoit	-----⌫-||---|--⌫|-----|
a s damestotanuiron	-⌫|----|--|------|
Dame sain zuoirnem abeli	----⌫|---⌫|---|-||----|
(379f.4971)	----------|
ch e ualiersnusqu ege ueïs se	--⌫-⌫------|--|--⌫|-|-----⌫-|
por coi uosanmantiss e	--|--|--|-|-------⌫|
t antco nfet Melian zdeLiz.	-⌫--|--⌫|--|------⌫|-|---|
Dontn estil solaz etdel iz	---||--|-|----|-|---⌫-|
d esiboenche ualierueoir	-⌫|-|---|---⌫-----|----|
Il doitb ien anseleseoir	-|---|-⌫--|-|---|----|
l ance etlescuporter	-⌫---|-||---|-----|
qui sibelsanset	--|-|--||-|--|
dep orter.	---⌫-----|
qui le z li seoit	--|--⌫|-|----|
lidistqueplus bel i	-|---|--|---|--||
et celes anest correciee	-|---||-|--|--------|
sis est por l iferir	-||--|--|-⌫|----|
drec ie e.	----⌫--⌫-|
Lesdameslatra ient arriers	--|----|-|---⌫---|------|
qui lad elaientuolantiers	--|-|-⌫------|---------|
cele sanade s a	---||-|---⌫-⌫|
dont mout du rementlor pesa.	---|---|--⌫-----|--|----|
E tlito rnoiemenzcomance	-⌫|-|--⌫--------|------|
ouotbrisieemaintelance	-|-|------|-----|----|
etmaint cop d	-|----|--||
etmai ntcheualier	-|---⌫-|--------|
Et sachiez	-|------|
quemo utchie rli cos te	--|--⌫-|----⌫|-|---⌫-|
qui aMelia ntde	--||-----⌫-|-|
nus de uant	--|--⌫---|
salancenedure	-|----|-|---|
que i lneportaterre	--|-⌫|-|---||----|
lanceli peça ie	----|-|-----⌫-|
del espeeg r ant copli paie	-||----|-⌫-⌫--|--|-|---|
silefetm ialz quecilnefont	-|-|--|-⌫---|--|--|-|---|
qui dunepart	--||--|---|
etd autre sont	-||----|---|
sanasi grantioies	|-||-|----|---||
qu e le ne p uetm ü e rnedie	-|-⌫-|-|-⌫--|-⌫--⌫-⌫|-|--|
Da m esdamesueezmeruoille	--⌫-⌫-|----|---|--------|
ein zne ueïstessa paroille	---⌫|-|-------|-|-------|
ueezlemell orbac hele r	---|-|----⌫-|---⌫----⌫|
ueïssiezdeuozia lz.	--------|-|--|--⌫--|
Iles tplusbiax e t	-|--⌫|---|---|-⌫|
siualtmialz	-|---|----|
quetuitcilq ui son t autornoi.	--|---|--|-⌫-|---⌫|-|------|
Et lapetitedistGeuo i	-|-|-----|---|-|--⌫|
plusbel et	---|--|-|
mellorsedeuient.	-----|-|-------|
Etcel emaintenantli uient	-|---⌫|---------|-|----|
et di st con anflamee etcha ude	-|--⌫-|--|-------|-|---⌫--|
uosgarc euos	--|----⌫|--|
fu s te ssibau de	--⌫-⌫--⌫|-|---⌫-|
que paruostre	--|--|-----|
malea uanture	---|-⌫------|
osastes nulecri ature	------|---|---⌫----|
( 380a.5015)	-⌫---------|
b lasmerqueieüsseloee	-⌫-----|--||-----|---|
Si an tenezcest ei o e e	-|-|----|----⌫|-⌫-⌫-⌫|
et uosan g a rdezautrefoiz.	-|--|-|-⌫-⌫---|----|----|
L orslafiertsiquetozles doiz	-⌫--|-|----|-|--|--|--|---|
lia enzel ui sse elez	-||--|-|--⌫|--⌫---|
e tlesdamesqui sont del ez	-⌫|--|----|--|---|---⌫-|
l anb lasmentm outetsi	|-|-⌫------|-⌫--|-|-|
etpu i s apré ssirepar olent	-|--⌫-⌫|-----⌫|-|-----⌫----|
de monse ignorGauuainan treles.	-|-----⌫----|------|--⌫-|----|
Dex fetlun ed es da m eiseles	--|--||--⌫|-⌫-|--⌫-⌫------|
ci lcheual i ers desozce charme	--⌫|------⌫-⌫--|----|-|-----|
queatantil	--|----|-|
Uneaut r e	--|---⌫-⌫|
pu cele main snee	--⌫---|----⌫---|
lidist quilalape s	-|---|-|-||-|--⌫|
et unea u treredit aprés	-|--|-⌫-⌫--|----|-----|
M archeanzes tnelditesmes	-⌫-------|--⌫|--|----|--|
— Einz est	|---|--|
changierresfet la quarte.	----------|--|-|------|
Ilnatal ant queildep arte	-|||---⌫--|--|-|---⌫---|
as pouresch eua lie rs ancui	-|-----|--⌫---⌫---⌫-|----|
cestauoirqueil mainneo lui.	---|----|--|-|-----||---|
N ecuidie zpa squegeuosman te	-⌫|------⌫|--⌫|--|-|--|---⌫-|
ce stmonoieet	|-⌫-|-----|-|
uesselema nte	---------⌫--|
an cesuessiax etan ces	-|--|------|-|-|--|
— uoirmoutauez	|---|---|---|
les le ngues	--|--⌫----|
fetla petitesaue ztort.	--|-|-----||---⌫|----|
Cuidiez uosque	------|--|--|
marcheanz port	--------|---|
s i gros se	-⌫|----⌫-|
la ncecon i l porte	--⌫--|--|-⌫|----|
Cert e smout m an	----⌫-⌫|---||-|
au e zh uimo rte	--⌫-⌫|-⌫-|--⌫--|
quiteldeab lieauezdite.	--|--|----⌫--|---|----|
Foique gedoi	--|--|-|--|
SaintEspe rite	----|----⌫---|
mialztornoieor	----|--------|
quemarcheant	--|--------|
nec hangeor.	-|-⌫-------|
Iles tc heuali erscemesanble .	-|--⌫|-⌫------⌫--|-|-|------⌫|
Etles dameisel es ansanble	-|--|--------⌫-|-------|
lidïentBeledolceami e	-|-----|---|----|---⌫|
si l le sanb le nelestil	|-⌫|-|----⌫-|-||--|-|
m es illese fet resanbler	-⌫-|-|-|-|--|--------|
quai nsiui alt	-|--⌫--|--⌫--|
les costumes	--|-------|
et les passages.	-|--|--------|
Fosests icuide	--|--|-⌫|----|
quede cesanserailpris	--|-|-|--|---|-|---|
conlerresat ainzetrep ris	--|-----|--⌫---|-|---⌫--|
delarrecin	-|-------|
uilainetfol.	-----|-|---|
Ilenaurala	-|-|---|-|
har telcol .	---⌫|-|---⌫|
(380b.5059)	----------|
Mess i reGa uuainscleremant	----⌫-⌫-|--⌫-----|--------|
dames dïentdelui	----|-----|-|--|
a ethontee ten ui	|-|----|-⌫|--⌫-|
mes ilpanseet	--|-|----|-|
q uanlapele de traïson	-⌫|-||----|-|-------|
