formElnondelperee t	---|-|--|--|---|-⌫|
oir s so it	---⌫|--⌫-|
acompl ienene nuitp ointà loir quarsi	------⌫-|-|-|---|-⌫---|-||--|---|-|
auonz ditlondoitg ard eràtr o is	----|--||-|---|-⌫---⌫-|-|--⌫-⌫-|
Il ape rtq uec ilad r oitured e	-|---⌫-|-⌫-|-⌫-||-⌫-⌫-----|-⌫|
testamentnon	--------|--|
pastantsolemantquipu etfairetest a mentmaiz	--|---|-------|--|--⌫-|----|----⌫-⌫---|---|
cilqui pue tpa nre aucunechos edautruitestament	--|--|---⌫|--⌫--|-----|----⌫||-----|--------|
ouaquerreà autreia	-|------|-|----|-|
soit c eque	---|-⌫|--|
ilnepuetpasfaire	-|-|---|--|----|
testament.	--------||
ditlonqueli forcenézetli	--||-|--|-|--------|-|-|
muz et cil quinaist	--|-|--|--|----|
aprésl amort sonpere e tci l	-----|-⌫|---|--|---|-⌫|--⌫|
parolepasenco r eetli	-----|--|----⌫-⌫|-|-|
à autruisersont droit ur edetestament ia soitc e	-|-----|---|--|-----⌫--⌫|-|--------|-|---|-⌫|
que ilnep uissefair e tes tame ntcarilp uetaquerre	--|-|-|-⌫----|----⌫|---⌫----⌫-|--|-|-⌫--|------|
partestamentouàe lzou a ̀a utres.	--|--------|-|-|-⌫-|-|-⌫|-⌫----||
Liestrange	-|-------|
oirontpo oir	--|--|--⌫--|
deconsilliers oi	-|---------|-⌫-|
de r eceuoir l eritageoudere fuser l e.	-|-⌫------||------|-|-|--⌫----|-⌫||
Etsecilqu i biens	-|-|--|--⌫|---||
enpooitc ontenirc esuntmis esbien sde l	-|----|-⌫------|-⌫|---|--|-|----⌫|-||
eritageouunsestran gesà quiil liso i tàc onsillier	------|-|--|------⌫--|-|--|-|----⌫-⌫|-|-⌫--------|
soidereuoirleouderefuser le reçoit	--|-|-----|-|-|-|------|-|------|
ilnapas pui spooirde	-|||--|---⌫|----|-|
laisierles e ilnauoi t	------|-|-⌫|-||----⌫|
mainsde. .xxu.	----|-|-⌫----|
ans quantillereçut.	--|----|-|-|-----||
Car lipre uossecor t	--|-|---⌫--|-----⌫|
ashomes dec estaag equisuntdeceu	-|----|-|-⌫--|---⌫|--|---|----|
e tontres eudama gousherit ageautresiconmeen	-⌫|--|---⌫-|----⌫---|-----⌫--|------|----|-|
a utrescas .	-⌫----|--||
Etlondoitsa uoi r q ueli	-||-|---|--⌫---⌫|-⌫-|-|
sains em perer esAdrianzsecorrut à	----|--⌫-----⌫-|------|-------|-|
unhommequiauoitplus de	-|----|--|----|---|-|
anzporcequemu lt granz	--|--|-|--|--⌫-|----|
detes lifurentdemande esquan ti l	----|-|-----|-------⌫-|----⌫|-⌫|
o t re ceulerita ge de coiilne sauoi trien	-⌫|--⌫--||-----⌫-|-|--|-|-|-----⌫|---|
lere sutmaislisainsempe re res	-|--⌫--|---|-|----|----⌫--⌫--|
Adriansfist c ea ̀ unper especialbenefic eet	------|---|-⌫|-⌫|-|--|-------|-------⌫|-|
lempereres	|--------|
G ordi an s neuot que ce	-⌫----⌫--⌫|-|--|--|-|
se stendefors à cheua lierstant	|-⌫-----|---|-|-----⌫----|---|
solem a nt.	-----⌫-⌫-||
Maisno strebeniu olence e scrit	---|--⌫---|-----⌫-----|-⌫----|
beneficequiest con m unsàtozcelz	-------|--|--|---⌫-⌫--|-|--|---|
q ui suntsoz mis à	-⌫-|---|---⌫--|-|
nos treempire et unestablis sement	---⌫--|-----|-|-|--------⌫-----|
d roiture le t	-⌫-------⌫|-⌫|
noble tel qu ese	----|--|--⌫|-|
gard entillorlira àre ceuoirl eritage	----⌫--|-|--|---|-|--⌫-----||------|
etneseronttenufo rsentantconme	-|-|-----|---|--⌫-|-|---|----|
l eschosez uaud ron t	-⌫-|-----|----⌫---⌫|
queiltroueronten	--|-|--------|-|
leritagesiqueilnelo rsoiten	|------|-|--|-|-|--⌫|---|-|
cestemen ierenus besoinsdecons illiersoi	----|---⌫---|--|------|-|----⌫-----|--|
et sozmetresoiàla ncien g rief .	-|-------|--|-||-⌫----|-⌫---||
Ilapertquel iestr anges oirsqu iest fais	-|----|--|-⌫|----⌫----|---|--⌫|--|---|
testamentouqui es tapel és àle r it agesanztestament	--------|-|--|--⌫|----⌫--|-||-⌫-⌫--⌫--|---|--------|
e stfais oirsquanti lse	-⌫-|---|---|----|-⌫|-|
t i entpor o ir	-⌫-⌫--|--|-⌫-|
ouseilanueuol entéde receuoir leritage	-|-|-||--|---⌫----|-|-------||------|
Il apertqueaucun ssetientporoir	-|----|--|-----⌫|-|----|--|--|
se il u se de s chosesde	-|-|-⌫-|--⌫|-----|-|
l erit ageconme oirsouparuandre lesc hos es	|----⌫--|----|---|-|--|-----|--|-⌫---⌫-|
del eritage	-||------|
oupar cor tiuer les chanzo u enuneautr e	-|--|---⌫----|--|----|-⌫|-|--|----⌫|
maniereseil e sc l airesauolentéde	------|-|-|-⌫--⌫-⌫---|-|-------|-|
receuoirleritage ouparfaitou par	-------||------|-|--|---|-|--|
paroles por quei l sache	------|--|--|-⌫|----|
q u ec ilà	-⌫-⌫|-⌫-|-|
quiils est faizoirssoit	--|-||--|---|---|---|
mo rssanzfairetestament ouque il	--⌫-|---|----|--------|-|--|-|
ait fait t estamentou	--|---|-⌫-------|-|
q ueil soitsesoirs	-⌫-|-|---|--|---|
quart enir s oiporoiret tenir soiporseig neu r	---|-⌫---|-⌫-|--|--|-|----|--|--|----⌫---⌫|
e t lian cien apeloient lesoirs	-⌫|-|--⌫---|--------|--|---|
seigneurs .	--------||
Autresiconmeliestrangesestfaisoirs pa rnue	------|----|-|--------|--|---|---|--⌫|--|
uolentéestil main tenenantmisarrieredeleritage	-------|--|-|----⌫-------|--|------|-||------|
désqueilmonstré queilne	---|--|-|-------|--|-|-|
uuetpasestre oirs.	---|--|----|---||
Nulechose nedesfant quecilquifunésmus	---|----|-|------|--|--|--|-|---|--|
ous orsou qu ipuisest amuisouasordis n e	-|-⌫--|-|--⌫|---|--|----|-|------|-⌫|
s epuiss et enirpor oirouaquerre heritage	-⌫|-----⌫|-⌫---|--|--|-|------|-------|
se ilententce que ilfait	-|-|-----|-|--|-|---|
Cist titr es e st deslais.	---|----⌫-|-⌫-|--|---||
uoio n sa présceschosesdeslais.	----⌫-⌫|-⌫----|--|-----|--|---||
Et ila pertqueceste par tiededroit soitp rise	-|-|-⌫---|--|----|---⌫--|-|----|---|-⌫---|
dem atie retres	-|-⌫----⌫-|---|
poseecar nozparlo ns d	----|--|--|-----⌫-||
i c eles meniere de	-⌫-⌫---|------|-|
droitpar coichoseno z s u nt	----|--|--|----|--⌫|-⌫-⌫-|
a quissezp a r uniue rsit é .	-⌫------|-⌫-⌫|-----⌫----⌫-||
Mai sp orceque	---⌫|-⌫---|--|
noza uonzp arlé	--|-⌫---|-⌫----|
de ste stamenzetdesoirsqu i su ntestablieltestament	--⌫|--⌫------|-|--|---|--⌫|--⌫-|------|-|--------|
ces temanierededr oitpue testret raitieapr ézetne	---⌫-|------|-|--⌫--|---⌫|----|-⌫-----|---⌫--|-|-|
m ies anzca use.	-⌫-|-⌫--|--⌫--||
dontu ndonsqueli morslaisse.	---|-⌫|---|--|-|---|-----||
Mais.iiii.	---|-----|
manieresdela isestoient	-------|-|--⌫-|-------|
iadisetce rtai nnonestoit asené àchascunne	----|-|--⌫----⌫|--|-----|-----|-|--------|
m an ierep ar coi tout es	-⌫--⌫---|-⌫-|--|----⌫-|
lesmanieres de l aisesto ientsene fiés .	--|-------|-|-⌫--|----⌫---|----⌫----||
Maislasolemp nitésdetielzn osest del	---|-|------⌫-----|-|----|-⌫-|--|--|
totosteeparles es tablisse ma ns assainsprinces etnos tr e	--|----|--|--|--⌫--------⌫--⌫-|-|----|------|-|---⌫--⌫|
est ablisseme n zque nozauons faitogr antentente qui uuelt	---⌫---------⌫-⌫|--|--|----|---||--⌫--|------|--|----|
que l es daerrienes uolente ́s	--|-⌫-|---------|-------⌫-|
soient plusfors as	-----|---|---|-|
morsetquin	---|-|--||
os troiepasaspar olesmais asuolentéso r donnaquetuit	--⌫----|--|-|---⌫---|---|-|--------|-⌫-⌫----|--|---|
l ilai a ie ntune natureet par quelz	-⌫|--|-⌫--⌫-|--|-----|-|--|----|
par oles que	---⌫---|--|
lai s soitlaissiésillis eàc eulzà	---⌫|---|--------|-|---⌫|-|-⌫---|-|
quii lest laissiésqueil ensieuent ne	--|-⌫|--|--------|--|-|--------|-|
mietant solemantpar personel acti on	--|---|-------|--|-------|----⌫-|
s eurl acho seetpar ac tion	-⌫--|-⌫|---⌫-|-|--|--⌫---|
dechose oblegie.	-|----|------||
Etlonpuet entendre p arfi temantla ma niere de	-||-|---|-------|-⌫----⌫-----|-|--⌫----|-|
lestablissemantpar	|-------------|--|
lafor mequi	-|---⌫-|--|
E tnozcroio ns queildoieestregardés .	-⌫|--|-----⌫-|--|-|---|----|------||
Etpor cequenozauo nstroué	-|--|-|--|--|---⌫-|-----|
quel iancie n e nt endoientestroitem ent les lai s e tuoloient que	--|-⌫|-----⌫|-⌫--⌫-------|---------⌫--|--|---⌫|-⌫|-------|--|
leschoses eniointesquide s cendentdelauolenté	--|-----|--------|--|--⌫-⌫------|-|-|-------|
as morseussent pluzlarg enatureiln ous s am blaque	-|---|------|---|----⌫|-----|-|-⌫--|-⌫--⌫--|--|
c efu s tn ec essairechos eq uelila isfussent	-⌫|--⌫-⌫|-⌫--⌫------|----⌫|-⌫-|-|--⌫-|------|
oelme aschosesanio intessiqu e il	----|-|-----|----⌫----|-|--⌫|-|
nule disferancema i sceque li fautas	---|---------|--⌫-⌫|-|--|-|---|-|
lais soitraemplidel anature as chos eseniointescroisse	---|---|------|-|-⌫|-----|-|----⌫-|--------|------|
estpluses l ais .	--|---|-|-⌫--||
Maisquen ous ne greuion sles ione sestudieurssenos	---|--|-⌫--|-|-------⌫|--|----⌫|---------|-|--|
tra ins sonsensambledetes chosesenlanouel etédeslois	---⌫---⌫---|-------|-|--|-----|-|-|-----⌫---|--|---|
ilesto it bo nnec ho se que nost raitisons	-|----⌫-|--⌫--|-⌫--⌫-|--|--|-⌫--------|
de c hasc unparsoietpremie rement des laiset	-|-⌫----⌫-|--|--|-|------⌫-----|--|---|-|
puis deschoseseniointezs iqueq uant	---|--|-----|--------|-⌫|--|-⌫---|
la naturedelunet de	-|-----|-||-|-|-|
la utresera conn euelonpuisse pluslegieremant	|-⌫---|---|----⌫--||-|-----|---|----------|
et plu ssoutilmantentendrecequiestdi tde tout	-|---⌫|---------|-------|-|--|--|--⌫|-|---|
ensamble .	-------||
Lach ose àceluiquifaitletest ama ntou	-|--⌫--|-|----|--|---|-|----⌫---⌫-|-|
àsonoirn e puet	-|--|--|-⌫|---|
pas estrelaiss ie ́tantso lom ant	--|----|-----⌫--⌫|---|--⌫---⌫--|
maisl autr u i si	---||----⌫-⌫|-|
co nstr ain s d acheterl aet de	--⌫----⌫---⌫||------|-⌫|-|-|
doner laàceluiàqu iele estlaissieo u	----|-|-|----|-|--⌫|--|--|------|-⌫|
seil ne lap uet	-|-|-|-|-⌫--|
acheterilsoitcons trainsder andr e	------|-|---|----⌫-----|-|-⌫----⌫|
Maisse lachos e	---|-|-|----⌫|
est teledecoi	--|---|-|--|
marchiés nepuiss eestre faizlipris	--------|-|-----⌫|----|---|-|---|
n enestpas deuzsiconm ese	|-|--|--|---|-|----⌫|-|
ci lquifai tle	--⌫|--|---⌫|-|
testamentl aise	--------|-⌫---|
lechamp où l on fai tlesbataill ez	-|----|--||-|---⌫|--|-------⌫-|
ouunechapeleoucho sesquisu ntautempl e	-|--|------|-|---⌫--|--|--⌫-|-|-----⌫|
conmu n usaige	-----⌫|-----|
ci stlaisn est d e	--⌫-|---||--|-⌫|
nule ualor.	---|----||
Cequenoz auonzditque au truichose ne p uet	-|--|--|----|--|--|--⌫---|----|-|-⌫--|
e strela issiedoitestre ainsi s entenduse cil	-⌫---|--⌫----|---|----|-----⌫|------|-|--|
q ui fist letest ament s auoit	-⌫-|---|-|----⌫----|-⌫----|
que elefu staut ruiet n emie	--|--|--⌫-|---⌫--|-|-⌫|--|
ceillefistpar ignorance.	-|-|-|---|--|--------||
Et i eaiditquelilaizuautse	-|-⌫|-|--|--|-|---|---|-|
sauoitque la	-----|--|-|
chosesoit autru iporce quesessenz iest	----|---|-----⌫|--|-|--|--|---||--|
ne ces sairescarparauentureseilseust	--⌫---⌫-----|--|--|-------|-|-|----|
quelac hosefustau trui il ne leu st pas	--|-|-⌫---|---|--⌫---|-|-||--⌫-|--|
Eta insizlescritlisain zempereresPi uz.	-|-⌫----||-----|-|----⌫|--------|--⌫-||
Etiles tuoirs que il	-|-|--⌫|----|--|-|
co uientàceluiquidemandelesla i sprouer	--⌫----|-|----|--|------|--|--⌫-⌫|-----|
queli mor sne sotp a z quelac h ose	--|-|---⌫|-|--|-⌫-⌫|--|-|-⌫-⌫--|
f u stàautrui car cilq ui	-⌫-⌫-|-|-----|--|--|-⌫-|
toziors besoingdep rouer.	------|------|-|-⌫----||
Etseauc unsalaissiéla	-|-|---⌫--||-------|-|
chos equiestoitob legie	----⌫|--|-----|--⌫----|
àse s creanc iersilc ouientqueli oirs	-|--⌫|------⌫---|-|-⌫-----|--|-|---|
la quite t il noz pla ist	-|---|-⌫|-|--|---⌫--|
autre si encestcaz c onmeenla	-----⌫-|-|---|--|-⌫---|-|-|
cho s e qui esta utr uiseest à sauoirqu e	---⌫-⌫|--|--|-⌫---⌫-|-|--|-|-----|--⌫|
il c oueigne quel i	-|-⌫------|--|-⌫|
oirs laquitselimors sauoit	---|-|---|-|-|---|-----|
queele fust	--|--|---|
oblegie etainsisl escr i str ent	------|-|-----||----⌫-⌫---⌫--|
lisaintemper eur	-|----|-----⌫--|
Seuoi retA nto nin s.	-----⌫|-|-⌫---⌫---⌫||
Et seli mors	-|-|-|---|
uot quecil àquiil	--|--|--|-|--|-|
laisa lachose laq uitastuerscel ui àqui	----|-|----|-|-⌫-----|---|---⌫-|-|--|
eleestoitob le gieetil led istli oi rsne	--|-----|--⌫--⌫--|-|-|-|-⌫--|-|--⌫-|-|
la doitpasaquiter.	-|---|--|------||
chose est laissieetci làqui ele	----|--|------|-|--⌫|-|--|--|
est laissi e e ne stfaizsire zpar s onachattan t	--|------⌫|-⌫|-⌫-|---|----⌫|--|-⌫-|----|---⌫|
conmeciluitqui	----|--|--|--|
fi stl et estama nt il puetdemanderàl	--⌫-|-⌫|-⌫------⌫-|-|---|-------|-||
oir parlet estamant	--|--|-|-⌫-------|
lepris que eleuautmais il la	-|---|--|--|---|---|-|||
guaaingsiconmeparcau se dedon oupar aucune	------|-|----|--|---⌫-|-|--|-|--|-----|
te l maniereil	--⌫|------|-|
nen puetpa s p laidier contrel	|-|---|--⌫|-⌫------|-----||
aestéestabli que .i i.	|----|------|--|--⌫-|
causesdeguaaingsiconme d un d on nepuent	-----|-|------|-|----||-|-⌫-|-|----|
pas estreen sambleen unme ism ehomeetd	--|----|--⌫-----|-|-|--⌫---⌫|---|-||
unemeismeschoseet se u ne	--|------|----|-|-|-⌫-|
mesmechoseestdeueà.i.	----|----|--|---|-|--|
h ome par.ii.	-⌫--|--|---|
test amenzi ladisferanc ese	----⌫----|-⌫||---------⌫|-|
il aeudel un	-||-|-||-|
des testamenz	--|--------|
lachosem eismeso u laualeurcar	-|----|-⌫-----|-⌫|-|-----|--|
seilala chose ilnelapuetpa s	-|-||-|----|-|-|-|---|--⌫|
demanderpor c e queil la par	-------|--|-⌫|--|-|||--|
causedeguaingmai s seil	----|-|-----|---⌫|-|-|
a eu leprisilpuetdemande r lachose	|-|-|---|-|---|-------⌫|-|----|
parlautre testament	--||----|--------|
quin est encorepasmaize le serapuetbien	--||--|-----|--|---|-⌫-|---|---|---|
estrelaisies ic onme	----|-----|-⌫|-⌫---|
li fruitq uinaisterontense champou	-|----|-⌫-|---------|-|-|----|-|
cequina isterade celeser ue.	-|--|--⌫-----|-|---|---⌫-||
Seune m eesme	-|--|-⌫----|
choseestlai ssiea ̀..i i.	----|--|---⌫---|-⌫|---⌫-|
oue nsamble ou	-|-⌫------|-|
a chascunparsoi	|------|--|--|
se ili uienentambeduiau	-|-||------|------|-|
dema nde rlelaizil	----⌫---⌫|-|---|-|
es tpartisentre e ulzet	--⌫|-----|----|-⌫--|-|
seliuns s ede fautou porceque	-|-|--|-⌫|--⌫---|-|--|-|--|
cure del laizoupo r	---|--|---|-|--⌫|
ilmoru tains quecil quifistle	-|----⌫|---|--|--|--|---|-|
testamentouparaucuneautr e	--------|-|--|-----|----⌫|
mani erelilaisaper ti en t tousà l autr e.	----⌫--|-|---|----⌫--⌫--⌫|---|-||----⌫||
Laisest laissie ́sà.ii.	---|--|-------⌫-|-|---|
ensamblesico nm e se	-------|-|--⌫--⌫|-|
aucuns ditieléscestserfàT yceetà	-----|--|-|---|---|---|-|-⌫--|-|-|
Seye ti lestlaiss ié zdepartieme nt	--|-⌫|-⌫|--|-----⌫---⌫|----------⌫-|
si conmese ild istie	-|----|-|-|-⌫--|-|
lais cest se r fàTyceou ielelaisà	---|---|--⌫-⌫|-|---|-|-|-|---|-|
E tseil nomeq ue ce	-⌫|-|-|---|-⌫-|-|
soitunsmeismesserslors e n t ent l onqueil	---|--|------|---|---|-⌫-⌫-⌫--||-|--|-|
s oit la issie ́sde partiement	-⌫--|--⌫-----⌫-|--⌫---------|
chanses t laissiés	----|--⌫|--------|
à auc uneti lena chatela	-|---⌫-|-|-⌫|-|-⌫----|-|
proprietésanz lu suaireet liusuai res	---------|---||-⌫-----|-|-|-----⌫--|
u i entpuisà luietil plaide	-⌫-⌫--|---|-|--|-|-|-----|
aprésce p or le	-----|-|-⌫-|-|
testamentI uliens ditqueilenpuet pardroitplaidier	--------|-⌫-----|--|--|-|-|---|--|----|-------|
etdem and er	-|---⌫---⌫-|
lechampcarliusuaires	-|----|--|-|-------|
au l i eulade mand edelseru is eet	-|-⌫-⌫-|-|--⌫----⌫|--|----⌫--⌫|-|
il est conte nu en l osfice au iuge qu e il	-|--|-----⌫-|-||-----|-|---|--⌫|-|
conmentque	------|--|
lau alorsdel pris	-|-⌫----|--|---|
soi trandue sanzlusuaire.	---⌫|-----|---||------||
Se aucunsl aisse	-|-----|-⌫----|
lachosequie stà c elui	-|----|--|-⌫-|-|-⌫---|
à quiilla	-|--|-|-|
lais se lilais	----⌫-|-|---|
neuautrienquarcequ i	-|---|---|---|-|--⌫|
es tsuen proprene	--⌫|---|-----|-|
puet plus estrefait sue netiasoitce	---|---|----|---|---⌫|-|-|---|-|
ill aituandueneporquant il	-||--|-----|-|--|----|-|
nepu etdemanderà l	-|--⌫-|-------|-||
oirne la chosenel auale ur.	--|-|-|----|-|-⌫|----⌫-||
Se aucuns a	-|-----||
laissiésa	-------|-|
chose autresi	----|------|
conme s eele f ustà autruililais	----|-⌫|--|-⌫--|-|-----|-|---|
uautca rpluzuaut	---|--⌫|---|---|
estenue ́ritéquece q uiest	--|-|--⌫-----|--|-|-⌫-|--|
anquid ier .	-|----⌫--||
Et setulaisse s	-|-|-|------⌫|
ce quetu quid esquisoittient	-|--|-|----⌫-|--|---|----|
certa ine c hoseque lilaiz u aut	-----⌫--|-⌫---|--|-|---|-⌫--|
carla uolantésaumort p uetauoirbonnefin.	--|-|--------|-|---|-⌫--|----|----|--||
Secilqui fistson	-|--|--|---|--|
testamental aisie ́sachosee t ill	--------||-⌫-----⌫|-|----|-⌫|-||
aap résuandue Celsu squide	|--⌫---|-----|-----⌫|----|
q ue se ilnelauandit	-⌫-|-|-|-|-|-----|
pa rco ragedetolirl ilai zpo r ce ne	--⌫|--⌫---|-|----|-⌫|---⌫|--⌫|-|-|
remai n tpazque elene so itdeue à	-----⌫-⌫|--|--|--|-|--⌫-|---|-|
cel ui àquieleful aissieetainsisl escri strent	---⌫-|-|--|--|-|-⌫-----|-|-----||-----⌫-----|
lisaint e mper eo rSeuoire tAn toni ns.	-|----|-⌫----⌫--⌫|-----|-⌫|--⌫----⌫-||
Ilmeismeses cr iren t que	-|------|--⌫--⌫----⌫|--|
ilna per tpasque cilqui	-||-⌫---⌫|--|--|--|--|
bailla sez cha nz engaig espuis	-----|--|---⌫-|-|----⌫-|---|
que ilot fait sontestamentaitto lu	--|-|-|---|--|--------|--|--⌫-|
lel aisporce	-|-⌫--|--|-|
puetc ilà qu ii l	---|-⌫-|-|--⌫|-⌫|
furent plaissiépla idiero loirquei laquis t les	-----|--------|---⌫----|||--|--|-⌫|-----⌫|--|
c hanz anuers	-⌫---|-----|
lescreanciers .	--|---------||
Seaucunz auandu eu nepar tiede la	-|-----||-----⌫|-⌫-|---⌫--|-|-|
chosequeila uoitlaissi e lapartiequine fu	----|--|-|-⌫---|------⌫|-|-----|--|-|-|
pasuendueestdeu eentoute mani e resà	--|-----|--|---⌫|-|----|----⌫-⌫--|-|
celui à quiel efula iss ieet	----|-|--|--⌫|-|--⌫---⌫-|-|
celequif uuandue l iestd eue	---|--|-⌫|-----|-⌫|--|-⌫--|
seelen e f u uandueparcausede	-|--|-⌫|-⌫|-----|--|----|-|
sosfraitelelais	--------|-|---|
Se aucu nzalaissiéàsondeteur	-|----⌫-||-------|-|--|-----|
de liurancece	--⌫-------|-|
e st seilaquiteparnonde	-⌫-|-|-|-----|--|--|-|
la iscequeillideuoit lilaiz ua ut	--⌫-|-|--|-|-|-----|-|---|--⌫-|
nelioirsau	-|-|---|-|
puetr ienzdemand er audeteu rneàson	---|-⌫---|------⌫-|-|-----⌫|-|-|--|
oir neautre	--|-|----|
quisoit en l ieud oir.	--|---|-|-⌫--||--||
M a islideterrespuet traireenc a u seloirque	-⌫-⌫-|-|-------|---|-----|-|-⌫-⌫-⌫-||--|--|
illed eliure .	-|-|-⌫-----||
Auc unspuetbie ncon man derà s on	---⌫--|---|---⌫|---⌫---⌫--|-|-⌫-|
oirqueilnedemant à son	--|--|-|-|-----|-|--|
det eurcequeilli	---⌫--|-|--|-|-|
doit deuantau c un termine.	---|-----|--⌫-⌫-|------||
Et encontrecelidet eurlaise àso n	-|-------|-|-|---⌫--|----|-|--⌫|
cre ancier ce	---⌫-----|-|
queill idoi t	--|-|-⌫|---⌫|
lilais neuaut rien se ilne	-|---|-|---|---|-|-|-|
li lait rien	-|---|---|
ceque illi d oitcarlicreanciersne conquiert	-|--|-|-|-⌫--|--|-|---------|-|--------|
rienzpa r cesla is	----|--⌫|--|--⌫-|
Mais s eill ilaisse pur ementce	---|-⌫|-|-⌫|-----|---⌫----|-|
queilli deuoità te rme	--|-|-|-----|-|--⌫--|
o usouz condicionlilaisu autporc e	-⌫|---|--------|-|---|-⌫--|----⌫|
quelad aitees tmaintenantpaié	--|-|-⌫---|--⌫|---------|----|
uienttant conme ciluitquifist le testamentou	----|---|----|--|--|--|---|-|--------|-|
l a condicio n estaccompliePapin ians escrit que	-⌫|--------⌫|--|--------|-----⌫---|-----|--|
po rce neremai ntpas que li	--⌫--|-|-----⌫-|--|--|-|
lai zneuaillequaril u alut unefois	---⌫|-|-----|---|-|-⌫---|--|---|
uoirsne la	----|-|-|
sent e n ceneliplotp as àcelsqui	----⌫-⌫-⌫-|-|-|---|-⌫-|-|---|--|
quido i entq ue	-----⌫-⌫--|-⌫-|
lilaisfust es tainspor ce queilest	-|---|---|--⌫----|--|-|--|-|--|
ue nus enc elecause decoi	--⌫--|-|-⌫--|----|-|--|
ilne puetconmenc ier.	-|-|---|-------⌫--||
Et se limarislaisse à l a fa meson doaire	-|-|-|----|-----|-|-⌫|--⌫-|--|-----|
lilais ua u t	-|---|--⌫-⌫|
por ceq ueli laizest pluzpleniersque l	--|-|-⌫-|-|---|--|---|-------|--||
actions de do aire	------|-|--⌫---|
m ais se ill ia	-⌫--|-|-|-⌫||
laissi édoa ire q ue	------⌫-|---⌫--|-⌫-|
il na pasre ceu	-|||--|--⌫--|
lisaintempereur S euoi r	-|----|-------|-⌫----⌫|
e t Antoninesc ris tren tquese	-⌫|------|---⌫---⌫----⌫|--|-|
illilaisa simp lement lil aisneuautrienmais	-|-|----|----⌫-----|-|-⌫--|-|---|---|---|
secertainnequantitésde deniers ou	-|--------|---------|-|------|-|
certainechose	-------|----|
instrumentd el doai refure nt	---------|-⌫-|----⌫-|----⌫-|
demostre ́aulaisferelila is uaut.	--------⌫|-|---|---|-|--⌫-|---||
Sechosequia estéles siep erit san z lefait	-|----|--||----|---⌫--|-⌫---|---⌫|-|---|
li damagesest	-|------|--|
àcelu i a ̀quielefu laissie	-|----⌫|-⌫|--|--|-|------|
Et se aucunza laissiéautruiserf etile st	-|-|-----||-------|-----|---|-|-|-⌫-|
franchis san zle fait	-------|---⌫|-|---|
oirsniestpa s tenusmaiz	---|||--|--⌫|----|---|
s el i sersà loirfulaissiéze t	-⌫|-⌫|---|-||--|-|--------|-⌫|
il lafranchi Iulians es cristqueil	-|||------|------|--⌫----|--|-|
iesttenusmaisselisers	|--|----|---|-|-|---|
à l oir fu l aisie ́zet	-||--|-|-⌫-----⌫-|-|
ill afra nchi	-|||---⌫---|
Iulien ses crit	------⌫|--⌫---|
queil i est tenus neiln	--|-||--|----|-|-||
apointdedis ferancese ilsotquei l	|----|-|---⌫------|-|-|--|--|-⌫|
fust la issié zou ilnelesot paz.	---|--⌫------⌫|-|-|-|-|--|--||
Et se lioirsa donnéa ̀	-|-|-|---||-----|-⌫|
autresonserfetc ilaqui ill	----|--|---|-|-⌫-||--|-||
laf ranchi	||-⌫-----|
il i est te nus ia	-||--|--⌫--|-|
so itceq uei lne sau oit	--⌫-|-|-⌫-|-⌫|-|---⌫--|
pasqueilfu st	--|--|-|--⌫-|
laissiéz.	--------||
Seaucunsalaissiéserueso	-|-----||-------|-----||
leu r enfa nzse lez	---⌫|----⌫-|-|--|
seruesmuer en tl i	-----|----⌫--⌫|-⌫|
enfantsunta ̀c elui àquililais	-----|---|-⌫|-⌫---|-|--|-|---|
fula issiéz.	-|--⌫------||
Autressie stils e l iser fsunt l aissi éo	-------|-⌫-|-|-⌫|-⌫|---⌫|---|-⌫-----⌫-||
leu ruicaire zquariasoit cequ eli serf	---⌫|-------⌫|---|-|---|-|--⌫|-|---|
muer ent nonporquantlo ruicairesunt àceluià	----⌫--|--|--|----|--⌫|------|---|-|----|-|
quiil sunt la issié.	--|-|---|--⌫-----||
Maizseaucunzsersestlaissié zo	---|-|-----|---|--|--------⌫||
totson chatel se lisersest mo rsou	--|--|-----|-|-|---|--|--⌫-|-|
fra nchis ouu an dus li lais	---⌫----|-|-⌫--⌫--|-|---|
dou c hatelest estains .	--|-⌫----|--|------||
Autr esie st ilse	----⌫--|-⌫-|-|-|
uns chans est laissiéz	--|----|--|--------|
o sesinstrumens qua r	|--|---------|---⌫|
c han s est uandu s	-⌫---⌫|--|-----⌫|
lilai sd esinstrumanz est estainz .	-|---⌫|-⌫-|---------|--|------||
Se unsfousde	-|--|---|-|
bestes est laissiézàaucunetilest aprés	-----|--|--------|-|----|-|-|--|-----|
siape ti siésqueilniama is queune	-|---⌫--⌫----|--|-||||--⌫-|--|--|
be stecequiremaint puetestre	--⌫--|-|--|------|---|----|
chalongié.	---------||
Quantli fouzestlaissiéz Iulie nsditq ue les	----|-|---|--|--------|-----⌫-|--|-⌫-|--|
b estesquiisuntaio stee saprésce	-⌫----|--||---|---⌫----⌫|-----|-|
quel itestamen zest	--|-⌫|--------⌫|--|
faiz su ntàc e luià quili fouz est	---|--⌫-|-|-⌫-⌫--|-|--|-|---|--|
laissie ́ zquar lifous	-------⌫-⌫|---|-|---|
est un ec ho se deplusorsbestezau tresiconme lamais onz	--|--⌫|-⌫--⌫-|-|------|-----|--⌫----|----|-|----⌫--|
estunechosede pluseurspierresquisunt	--|--|----|-|-------|------|--|---|
