#META# Text URI Cliges	-----|----⌫--|-----|
#META#DEAFno data	-----|---|--⌫---|
#ME TA # TL	---⌫--⌫|-|
#ME TA#FEW	---⌫--|--|
#META#A RLIMAhttps/ /www .arlima.net/ad/ chretien_de_troyes.html#cli	-----|-⌫----|------⌫----⌫---------------⌫--------------------------|
#META# Autho rC h rétiend eTroyes	-----|-----⌫|-⌫-⌫------|-⌫|-----|
#META #Autho rBorn	-----⌫|-----⌫----|
#M ETA#AuthorBornAmb	--⌫---|------------|
#MET A#Aut horDied	----⌫-|---⌫------|
#META#Autho rD iedA mb	-----|-----⌫--⌫----⌫-|
#MET A#A uthorFl1	----⌫-|-⌫-------|
#ME T A#AuthorFl2	---⌫-⌫-|--------|
#META #Tex tTitleCli gès	-----⌫|---⌫-----|---⌫---|
#META# TextSub t itle	-----|-------⌫-⌫---|
#M ETA# Textuo ls	--⌫---|------⌫-|
#META#TextSub iromance	-----|-------⌫|------|
#META#TextDom	-----|------|
#META#Translation	-----|----------|
#M ETA#Collection	--⌫---|---------|
#META#Collect i onNo	-----|-------⌫-⌫---|
# ME TA#TextDescA RL uer soctosyllabiquesa ̀	-⌫--⌫--|---------⌫-|---⌫|--------------|-⌫|
Cligéssi l setqueele laint	------||-⌫|--|--|--||---|
grant ioienemai nt	----|---|-|---⌫-|
- Gardercuidesonpucelage	-⌫-----|----|--|-------|
Por lu isauuers onheri t age-	--|--⌫|-----|-⌫-|----⌫-⌫--||
Qu il aucunepitié nen	-|-|-----|-----||-|
Saboe ne na tureretrait	||---⌫-|--⌫---|------|
Etsil est texco mes tredoit.	-||-|--|--|--⌫|--⌫--|----|
La pucelesa mest r ecroit	-|-----|-|----⌫-⌫|----|
lau tre fiancee t iu r e	|--⌫--|-----|-⌫|--⌫-⌫|
Quecistconsauziertsiteü z	--|---|------|---|-|----⌫|
Queia n iertena uantseüz.	--|-||---|-|-⌫---|-----|
Si est laparolefinee	-|--|-|-----|----|
Etq uantuinta	-|-⌫---|---||
l amatin ee	-⌫|-----⌫-|
Lemper eres s afi llemand e .	|-----⌫---|-⌫|--⌫--|----⌫-⌫|
Celeuintquant ill e com ande.	---|---|----|-|-⌫|---⌫----|
Queuosiroi e tot co ntant	--|--|----⌫|--|--⌫----|
Lor af eire u on tapruichant	--|--⌫---|-⌫--⌫|---------|
Liduiempereor ansanble	-|--|-------|-------|
mariage s as anble	-------⌫|--⌫----|
Et la ioie elpa léscoma nc e.	-|-|---|-|--⌫---|----⌫--⌫-|
Me sn iuoelfeire	--⌫|||---|----|
Deparler de chas cunechose	-|-----|-|----⌫---|----|
AT hesa la qu ine repose	|-⌫----⌫-|--⌫|-|-----|
Despoiso ns feire et	--|-----⌫-|----|-|
uoel map arole retorner.	---|-|-⌫----|--------|
T h essa latr anpresapoiso n	-⌫-⌫----⌫-|--⌫----|-|-----⌫|
Espice si meta foison	------⌫||--||-----|
Por adolcir e t a tranprer	--|------|-⌫|-⌫-------|
Bienlesfetbatreetdes tranpr er	---|--|--|----|-|---⌫------⌫-|
Et c olet an tq uetozestclers	-|-⌫--|-⌫--⌫|-⌫-|--|--|----|
Ne rien n i	-|---|||
est a igresnamers	--|-⌫----||----|
Carlesespicesqui i sont	--|--|------|--||---|
Dolcesetde	-----|-|-|
boeneoldor	----|----|
Qant lapois ons	---|-|----⌫--|
Sotlii orz fei te sa	|-|-|-⌫--|---⌫-|-|
Etpor sope r fur ent assis es	-|--|----⌫|---⌫--|-----⌫-|
et lesna pes	-|--|--⌫--|
Meslesoupermetanrespit.	--|-|-----|--|-|------|
Thessal aco uientqueleespit	-------⌫|--⌫----|-|--|----|
Parquele nginparquelmessage	--|---|-⌫---|--|---|------|
Eleanuoieraso nmessage .	--|-------|--⌫|------||
A u mangierfur enttuit	-⌫|------|---⌫--|---|
eüzp lus de d is	---|-⌫--|-|-⌫-|
Et Clygé ssonon cle seru oit.	-|------⌫|--|--⌫--|----⌫---|
The ssalaqui serui rle	---⌫----|--|-----⌫|-|
Pansequ esonserui s e pert	----|--⌫|--|-----⌫-⌫|---|
Quaso ndes er it em antsert	-||--⌫|---⌫--⌫--⌫--⌫--|---|
S il l ene nui emout	|-||-|-⌫---⌫|---|
Puissapanse comecort o ise	---||-----|---|----⌫-⌫--|
Delboi ureseruiranfera	--|---⌫--|-----|-|---|
Celui cuiioieetpreuz sera.	----|--|---|-|----|----|
Por Cligés	--|------|
ma ndeThessala	--⌫--|-------|
Et cilmaintenantiala	-|--|---------||--|
Si liaquis	-|-||---|
et demand é	-|------⌫-|
Por coiThessala l a mandé.	--|--|-------|||------|
eleacestmangi er	--||---|-----⌫-|
uoellempereor	---||-------|
losan gier	-----⌫---|
Dunb o iurequil	|-|-⌫-⌫---|-|-|
aura moutchier	---|---|----|
Siuo s di bie npa r saintRichier	-|--⌫|-|---⌫|--⌫|----|------|
Neuu elq u	-|--⌫-|-⌫|
d autreboiue .	|----|-----⌫|
Ie cuitq u em outam erledoiue	-|---|-⌫-⌫|-⌫--|--⌫-|-|----|
Nen usboiur estant	-|-⌫-|-----⌫-|---|
Etgardezbienieluosacoint	-|-----|---|--|--|-----|
Que nusaut resnanboiuepoint	--|--|---⌫--||-|----|----|
Por cequetropen	--|-|--|---|-|
Etcemeïsmesuosrelo	-|-|-------|--|---|
Q ueianesache dom il uint	-⌫-|-|-|----|--|-|---|
Forsq u e par auentu r e a uint	---|-⌫-⌫|--|------⌫-⌫|-⌫---|
le s presanzletrouas t es	--⌫|------|-|------⌫-⌫-|
ceque uosesprouast es	-|--|--|---------⌫-|
Ets antistes	-|-⌫-------|
auuantdelair	-|---|-||--|
Des boenesespicesle	--|-----|------|-|
Et porceque	-|--|-|--|
cler le ueïstes	---|-|-------|
cou pemei ̈ste s.	---⌫-|---⌫----⌫-|
S e par auanturel	-⌫|--|-------||
Sachiezq ueatantp eisenie rt.	------|-⌫-|----|-⌫--|-|--⌫--|
Mes p orch os equeuosai	--|-⌫-|--⌫--⌫|--|--|-|
Nen aieziamalesouspite	|-|---|-|---|-------|
Car liboiuresest clersetsains	--|-|------|--|----|-|----|
Etdeboenesesp ices pla ins	-|-|-----|---⌫---|---⌫--|
c e lestreanaucuntan s	-⌫-⌫|----|-|----|---⌫|
uosfera lié si conie pans.	--|---|---|-|--|-|----|
Q antcilo t que biensl enuandra	-⌫--|--|-⌫|--|----||-|-----|
Lapoi sonpra nts il e n porta	-|---⌫--|---⌫-|-⌫||-⌫|----|
uerse anlacope decristal	----|-|-|---|-|------|
set q uili aitnulmal	--|-⌫|-||--|--|--|
Deuan t le mpereor	-----⌫||-⌫------|
L empe re realacopeprise	|----⌫--⌫-||-|---|----|
Qui an son neueumout se	--|-|--|----|---|-|
Delapoison.i. granttretboi t	-|-|-----|--|----|---|---⌫|
Et maint enan tlafo rce sant	-|-----⌫----⌫|-|--⌫--|---|
Q u idelchie fel cor slidescent	-⌫-⌫|--|----⌫|-|---⌫|-|------|
Etdelcorsli remonteelch i ef	-|--|---|-|------|-|--⌫-⌫-|
Etle cer che	-|-|---⌫--|
d echie fan	-⌫|----⌫|-|
T otlecerche s anz rieng reu e r.	-⌫-|-|-----|-⌫--|---|-⌫---⌫-⌫-|
Etquantuintas napes	-|----|---|-|----|
em perere stant	--⌫------⌫|---|
Del boiurequiliotpleü	--|-----|--|-|-|----|
Parnuit seraen dorma nt	--|---|---|-|-----⌫-|
Neia mesnan seradel iures	-|-|--||-|---|---⌫----|
Einzlefera	---|-|---|
tant traueill ier	---|--------⌫--|
Quan do rmantlef er aueillier.	-|-|--⌫----|-|-⌫--⌫|--------|
Ore s tlempere resga bez.	-|-⌫-⌫||------⌫--|--⌫---|
Moutoteuesq ues	---|-|-----⌫--|
Aulitseignier etbeneïr.	-|--|-------|-|-------|
Qant ore fud ale r gesir	---|--|-||---⌫|----|
Lempereres	|--------|
si comildut	-|--|-|--|
Lanuitauoecsafame	-|---|----|-|---|
Sicomild ut Ai	-|--|-|-⌫-|-|
Q uilne la b eisa	-⌫|-|-|-|-⌫---|
Me s an.i.li tiurent	--⌫|-|--|--⌫|-----|
ans anble.	---⌫-----|
La pucele depeor tranble	-|-----|-|---|------|
s e dot eet mo ut s esmaie	-⌫|---⌫|-|--⌫-||-----|
Que lapoisons ne so it ueraie.	--|-|------|-|--⌫-|------|
Mes elelasi	--|--|||-|
anch anté	----⌫----|
Queia mesn aurauolanté	--|-|--||---|-------|
autre silned ort	----||-|-|-⌫--|
Etlorsen aurate l	-|---|-|---|--⌫|
Conlan pue t	--||-|---⌫|
ansongentauoir	-|------|----|
Etsitendralesong ea	-|-|-----|-|----⌫||
Neporquantcele leresoingne	---------|---|-|--------|
Premieremantdeluis esloi gne	-----------|-|--||-----⌫--|
Ne cil ap ruichi erne lapuet	-|--|--⌫------⌫-|-|-|---|
Quaraumantdormir	-|-------|-----|
li estu et.	-|----⌫--|
Il dortetsonge et	-|---|-|----|-|
uei lliercuide	---⌫----|----|
grantpoinn e e tan estuide	----|-----⌫|-⌫|-|------|
De lapuc elelosangier.	-|-|---⌫--|---------|
Eteleli feiso i t	-|--|-|-----⌫-⌫|
E t s edesfant	-⌫|-⌫|------|
c omepucele	-⌫--|-----|
Etci lla prieet	-|--⌫|-|---|-|
Moutdolcem antsadolce amie	---|------⌫--|-|----|---|
T e nir l acuidenanti entmie	-⌫-⌫--|-⌫|----||-|--⌫--|--|
Mesdeneantes tag ranteise	--|-|----|--⌫||-⌫---|---|
Car ne ant ti ent etne a ntbeise	--|--⌫--|--⌫--|-|--⌫-⌫-|----|
Neant ti ent a neantpar ole	----|--⌫--||----|---⌫--|
Neantuoitetneant acole	----|---|-|----|----|
tanc eaneant luit e.	----⌫||----|----⌫-|
Moutfulap oison sbi en	---|-|-|-⌫-----⌫|--⌫-|
Quisi letraua ille e t demainne.	--|-|-|-----⌫---|-⌫|--------|
Denea ntestan sigrantpainne	-|---⌫-|--|-|-|----|-----|
Carpo ruoircuid eetsi san	--|--⌫|---|----⌫|-|-||-|
forte re s cepris e	-----⌫--⌫-⌫-|----⌫|
Etd euientlassezetrecroit	-|-⌫-----|-----|-|------|
Einsi lec uide	----|-|-⌫---|
einsi lecroit .	----|-|-----⌫|
Aunefoizuosai t tot	|--|---|--|--⌫|--|
C onques nenot	|-----||-|-|
autredelit.	----|-----|
Ensilestoura demener	---||------|------|
Toziorzmessillen puetmener.	--|---|--||-||-|---|-----|
qua salueté la teigne	-||-------|-|-----|
C riem que granzanco nbriers liueigne	-⌫---|--|----|----⌫------|-|-----|
Ca r qu ant il	--⌫|--⌫--|-|
sanretorner a	|-|--------⌫|
Liduspasneseiornera	-|--|--|-|--------|
fupremerainsdonee.	-|---------|-----|
G rantforce aolu i amenee	-⌫---|----|||--⌫|-----|
Satote slesmarchesgarnies	||----⌫|--|------|------|
la cortson t les esp i es	-|---|---⌫|--|---⌫-⌫-|
Qui li fontsauoir cha s cun ior	--|-|---|-----|---⌫-⌫--|--|
couineettotl	-----|-|--||
E tconbienilseior neront	-⌫|------|-|-----⌫-----|
Etqu a nt ilsanretorn eront	-|--⌫-⌫-|-||-|------⌫----|
Pa r quelleuetpar quel	--⌫|---|--|-|--|---|
L empereresnetarda pas	|--------|-|----|--|
Apréssesnoceslongue mant	-----|--|----|------⌫---|
DeColoigne	-|-------|
partlieemant	---|-------|
Et lem pereresd Alemaingne	-||--⌫------||---------|
Leconduistariche conpaingne	-|-------||----|---------|
mou t cri e ntetressoigne	---⌫|---⌫-⌫-|-|--------|
Lafo r cele ducdeSessoigne.	-|--⌫-⌫-|-|--|-|---------|
Li duiempe reor	-|--|----⌫---|
Tresc ou treReneborccheminent	----|--⌫--|-------|--------|
Et furentparune	-|-----|--|--|
Logié sozDunoeanlap ree.	-----|--|----|-|-|-⌫---|
Li Grezoisfuren t anlort rez	-|------|-----⌫|-|--|-⌫--|
Delez NoireForest e s	----|----|-----|-⌫|
Et d autrep artlo giéestoient	-||----|-⌫--|--⌫---|-------|
LiSess o ignois qui les	-|----⌫-⌫-----|--|--|
gueitoient.	----------|
L i niésled ucenune angarde	-⌫|----|-|-⌫-|-|--|------|
Sanfua lez porprand reg arde	|-|-|-⌫--|--|-----⌫-|-⌫---|
Silpo rroit	|-|--⌫----|
feire n ulguehaing	----|-⌫-|-------|
Sorcesdel a	--|--|-|-⌫|
nenulmeha ing.	-|--|----⌫---|
La ou ile rta ns onesgart	-|-|-|-⌫-|-⌫|-⌫-|-----|
uitClig é s cheualchi er so iquart	--|----⌫--⌫|---------⌫-|--⌫|----|
De ua slez	-|--⌫---|
quisedeporto ient	--|-|-------⌫---|
Et escuzet	-|----|-|
lancesportoient	-----|--------|
Porbehorderetpo rdeduir e.	--|-------|-|--⌫|------⌫-|
Ialo ruo ldr a	-|--⌫|--⌫---⌫|
Li niésle ducsilo nques p uet.	-|----|-|--||-|-⌫----|-⌫---|
A tot.ii . conpaignonss	-⌫--|---⌫|----------||
Sisesont mistotacelee	-|-|---|--|--||----|
L ezlebois enune ual ee	-⌫-|-|---|-|--|---⌫-|
SiconquesliGrezois nesuir ent	-||-----|-|------|--|---⌫--|
Tantquede la ualeeissirent	---|--|-|-|----|-------|
Etque li nie ́sleducsadrece	-|--|-|---⌫-|-|--||-----|
Sifiert Clig é squei lleblece	-|----|----⌫--⌫|--|-⌫|-|----|
.I.p etitet desusleschine.	--|-⌫-----|----||-------|
Cligéssebeisse sis ancline	------|-|-----|-||------|
Si quela lanceoutre s an passe	-|--|-|----|----||-|----|
Ne porquan t.i.pet itle	--⌫-------⌫|--|---⌫-|-|
Qant Cligés sant	---|------|---|
quilest bleciez	-|-|--|------|
uersleuasletsestadreciez	---|-|-----||--|-------|
Seluet ferirdetel	--|--|----|-|--|
Queparmi le corsaband on	--|----|-|---||----⌫-|
Lime tlalancemortleruie.	-|--⌫|-|----|---|-|----|
Lorssem etenttost ala fuie	---|-|-⌫----|---||-|---|
LiSesnequi	-|----|--|
m out lere dotent	-⌫--|-|--⌫-----|
Parmil afo restse	----|-⌫|--⌫---|-|
desr otent.	----⌫-----|
Et Cligé s qui n e	-|------⌫|--|-⌫|
Hardemantet	--------|-|
sesconpaignonss epart	--|----------|-⌫|---|
Silesa nchauce	-|--|-⌫------|
O ula force leducestoit	-⌫|-|----|-|--|-----|
tote lozs aparçoi t	---||-||--------⌫|
De feire asGrexuneanu aïe	-|----|-|---|--|---⌫---|
Toz s e usl eschaces anz aïe	--|-⌫-⌫-|-⌫-|----|-⌫--|---|
uas let tuit e sper du	---⌫--|---|-⌫----⌫-|
seignor qu	------|-|
i lontpe rdu	-⌫|--|--⌫--|
uienentdeuant	------|-----|
leduccorrant	-|--|------|
Siliontcontéanplorant	-|-|--|-----|-|------|
Li du sne l etient	-|--⌫|-|-⌫|----|
Me sDe uet toz le ssainzaniu r e	--⌫|--⌫|-|--|--⌫|----|-|--⌫-⌫|
Queioiene boene a uenture	--|---|-|----|-⌫------|
sa ui e naura	-|--⌫||---|
T a ntco nc eluiuiuan t saura	-⌫-⌫-|--⌫|-⌫---|-----⌫|----|
Quison n eueuliaocis	--|--|-⌫---|-||---|
mo ut iertsesamis	--⌫-|---|--|---|
Etmo utlereconfortera	-|--⌫-|-|-----------|
Qu ile c hieflenaportera.	--⌫|-|-⌫---||-|--------|
unscheualie r su antez	--|--------⌫-⌫|-⌫----|
Queparluili	--|--|--|-|
ier tpresantez	---⌫|--------|
Lic hi é sCligéssil latanttant .	-|-⌫--⌫--⌫|------||-||----|---||
Cligéslesua sl ezchaça	------|--|--⌫--⌫-|-----|
Q ue sus le s	-⌫-|--|--⌫|
S esne ssa n ba ti	-⌫----⌫||-⌫-⌫--⌫-|
Etcilleuoitq ui s anhati	-|--|-|---|-⌫-||-----|
aporterala	-------|-|
Orsenuetque plus	-||-|--|--|---|
niar este.	||--⌫----|
EtCligé ssest elret ormi s	-|------⌫||--|-|---⌫-|--⌫|
Por esloigniersesanemis	--|---------|--|-----|
Sire uint latoz	-|--⌫---|-|--|
O u sesconpaignons otlessiez	-⌫|--|----------|-|------|
Mesn en i a.i.seul	--||-|||--|---|
Qu a st rezs a nf ur entre torné	-|-⌫|-⌫--||-⌫|-⌫--⌫--|--⌫-----|
Porlor auentureconter.	--|--|-------|------|
emperereotfet	-------|-|--|
Tiois comunem ant.	----|-------⌫---|
Par tote l ost isnelemant	--|---||--|---------|
S armentetmontent lib aron.	|-----|-|------|-|-⌫----|
Etci latant	-|--⌫||---|
Tote uoiesCligésc h acié	---|----|------|-⌫-⌫----|
To z armezsonhiaumelacie ́.	--⌫|----|--|-----|-----⌫-|
Qan tCl igésleuoitseul ue nir	---⌫|--⌫----|-|---|---|--⌫--|
Quiainz neuost apartenir	--|---|-|---|--------|
Arecr eantne	|----⌫---|-|
afa i l li	|--⌫-⌫-⌫-|
aa ssailli.	|-⌫-------|
Licheualierspremieremant	-|---------|-----------|
Garço nlape le estou temant	------⌫||---⌫-|-----⌫-----|
puetcelersoncor age.	---|----|--|---⌫---|
Garzfet ilça lei r oizle gage	---|--|-|--|---⌫-⌫--|-|---|
De monseignor	-|---------|
quetuas m or t.	--|-|-|-⌫--⌫-|
S eton c hiefauoecmoin enport	-⌫|--|-⌫---|----|--||-|---|
Donc ne mepris un	---|-|-|---|-|
fausbesant.	---|------|
Au ducenuuel feirepr esant	-|--|-|---|----|--⌫----|
Iaautr egagenenprendrai	-|----⌫|---||-|-------|
neueu t oili	----|-⌫-|-|
S ena ura bieneü leschange.	|-|-⌫--|---|--||--------|
Cligé sotquecilleleida nge	------⌫|-|--|--|-|-----⌫--|
Co mefos e t	--⌫-|--|-⌫|
mal afeitiez.	--|--------|
uasaxfetil	----|--|-|
or uosguei tiez	-|--|----⌫---|
Quema tes teuoschaloing	--|-|---⌫-|--|-------|
Nelauroiz mi e sanzcongié.	-||-----|--⌫|---|-------|
Atantli uns	----|-|--|
lau trerequiert	|--⌫--|-------|
Ci lafaillie t Cligésfiert	--⌫||-----|-⌫|------|----|
S ifor tqu elui et	-⌫|---⌫|--⌫|--|-|
sondestr i er	--|-----⌫-⌫-|
trebu chie r.	-----⌫----⌫-|
Lidest riers c h iet	-|----⌫----|-⌫-⌫--|
sorlui enuers	--|--|-----|
Si roide mant queantr auers	-|-----⌫---|--|-|--⌫----|
Lunedes ianbes li peçoie.	|--|--|-----|-|-------|
Cligéss o rlerbe quiuerdoie	------|-⌫-⌫||---|--|------|
Descenta piélorsle desarme.	------||---|---|-|-------|
Qantdesarmé l ot	---|-------||-|
si s en a rme	-||-|-⌫--|
Et l atesteli a colpee	-|-⌫|----|-||-----|
Del a s o emeïsme espe e .	-|-⌫|-⌫-⌫|------|----⌫-⌫|
Qantlat es telia tr anc hiee	---|-|-⌫--⌫-|-||--⌫---⌫---|
Sila enlalancefich iee	-|||-|-|----|----⌫--|
Etditquilanfe raser uise	-|--|-|-|-|--⌫-|---⌫---|
cuiilauoit pro mise	--|-|----|---⌫---|
Lasoetes t eapresanter	-|--|---⌫-⌫||--------|
S anestorlepuet ancontrer.	|-|----|-|---|---------|
Lors auoi tanson ch iefassis	---|----⌫|-|--|--⌫--|----|
Clig é s l ehi aume e tl escup ri s	----⌫--⌫|-⌫|--⌫---|-⌫||---|-⌫--⌫|
Nonpaslesuenmes le	--|--|-|---|--|-|
Quisestoit	--||-----|
conb atuz a	----⌫---||
Etremon tezestoitlors pri mes	-|-----⌫--|-----|---|---⌫--|
Sorle destriercelui meïs m es	--|-|-------|----|-----⌫-⌫-|
E t leis selesu en	-⌫|----⌫-|-|--⌫-|
e s traier	-⌫-⌫-----|
Por lesG rezois feireesm aier	--|--|-⌫-----|----|---⌫---|
Qantiluitplusdec ent	---|-|--|---|-|-⌫--|
Etbataillesgranzet	-|--------|----|-|
D e Tyoisansanb le et de Grex	-⌫|----|------⌫-|-|-|---|
Mo utfe lenesseset c ruex.	--⌫-|--⌫-------|-|-⌫----|
Lués queCl ige ́suenir le suoit	----|--|--⌫---⌫-|----|--⌫|---|
uer s lesSes nessanuetto tdroit	---⌫|--|---⌫--||-|--|--⌫|----|
luichaciers ango isse nt	--|------||----⌫----⌫-|
Quipor le sarmesnel co noiss ent	--|--|--⌫|----|--|--⌫-----⌫--|
Et sesoncles san de sconforte	-|--|-----||-|--⌫--------|
P or latesteq ueilan porte	-⌫-|-|----|-⌫-|-|-|----|
Ansonsalanceetcu ide	----|-|----|-|--⌫--|
Quelate stesonneueu s oi t	--|-|--⌫--|--|----|-⌫--⌫|
Nest meruoille	|--|--------|
s il en adote.	|-|-||----|
aprésluisarote	-----|--||----|
EtClygéssefettantchacie r	-|------|-|--|---|------⌫|
Porlamesleecomanc ier	--|-|-----|------⌫--|
Qu eliSesne uenirleuoient	--⌫|-|----|----|-|-----|
Mesle sarmestozles	--|--⌫|----|--|--|
desuoie nt	-------⌫-|
Domilestarme zet	--|-|--|----⌫|-|
Gabezles aet	----|--||-|
esch ar niz	----⌫--⌫--|
C arli dusettrestuitliautre	-⌫-|-|--|-|-------|-|----|
Sicomiluient	-|--|-|----|
lances or fautre	----|-⌫-|-----|
DïentNost rec he ua lier s uient	-----|----⌫-|-⌫--⌫--⌫----⌫|----|
Ans onsa lanc equeil	---⌫-|-|----⌫|--|-|
Ap ortelates teClyg és	--⌫---|-|---⌫-|----⌫--|
EtliGreu le chacent aprés.	-|-|---|-|------|------|
Or ascheuaxporluisecorre	-|-|-----|--|--|------|
Lors leis senttuitle s	---|----⌫---|---|--⌫|
ch euaxco rre	--⌫---|--⌫--|
Et C ly gésuers les Sesne s point	-|-⌫--⌫---|---|--|-----⌫|----|
D esozlescuseclot	-⌫---||---|-|---|
Lance droitelat es t eanso n	----|-----|-|-⌫--⌫-⌫|----⌫|
Ne namie c uer deSanson	-|||--|-⌫--|-|-----|
Nestoi tpasplu sd	|-----⌫|--|---⌫||
unautreforz.	-|----|----|
D anbesparzcuid ent quils oi tmorz	|----|---|----⌫--|-|-|-⌫--⌫|---|
E tSesneet Greu et Aleman t	-⌫|----|-|---|-|------⌫|
San s o ntcil liéetcil dolan t.	|-|-⌫-⌫-|--|---|-|--|-----⌫-|
Mesp arta nsier t	--|-⌫-|--⌫-|---⌫|
li uoirsseüz	-|----|----|
CarCligésne sestpast eüz	--|------|-||--|--|-⌫---|
Criants e slesse uers.i.Sesne	-----||-⌫-----|---|--|----|
Sel fiertdune	--|----||--|
lan cede fresne	---⌫-|-|-----|
Atotle chiefenmi	---|-|----|---|
Siq uelesestriésaguerpiz	-|-⌫-|--|-------||------|
Puis sescrieBar onferez	---||-----|---⌫-|----|
IesuiCligés queuos	-|--|------|--|--|
Orçaf ra ncch euali er	-|--|-⌫--⌫-|--⌫-----⌫-|
N en i ait nula coard i	|-||--|--|-⌫-----⌫|
Nostreenestl apremiereiost e	-----|-|--|-⌫|-------|----⌫|
Coarzh om detelmes	----|-⌫-|-|--|--|
Lempereresmout s	|--------|---||
Q antsonneueu	-⌫--|--|----|
Cligés o ï	------|-⌫-|
Qu isi lessemontete norte	--⌫|-|--|-----|-|-⌫----|
Mo utse resbaudist	--⌫-|-|---------|
etconforte	-|-------|
Etlidus est	-|-|--|--|
mou tesbahiz	---⌫|------|
C o r setil bienquilest traïz	|-⌫|--|-|---|-|-|--|-----|
Selasoeforce nestgraindre.	-|-|--|----||--|--------|
Sesgenz fetserreretestraind re	--|---|--|-----|-|--------⌫-|
Et liGreu ser re ́ etrangié	-|-|---|---⌫--⌫|-|------|
estrangié	---------|
Card uremantbroiche nt etpoignent.	--|-⌫------|-------⌫-|-|--------|
Den .ii.parzleslancesanpoignent	|--⌫---|---|--|-----|---------|
Si santracointent etreçoiuent	-||------------|-|---------|
Sicom atelbes oi gnedoiuent.	-|--||--|---⌫--⌫--|-------|
Aspremeri e nesacointances	-|-------⌫-⌫--|----------|
Percent escuz	------|----|
e t froissentl ances	-⌫|--------|-⌫----|
Ronpentcengl es tranchentestriés	------|-----⌫-|--------|-------|
uuizi ontlessiezm ainz	---||--|------|-⌫---|
De ce zqui	-|--⌫|--|
gise nt anlaplace .	----⌫-|-|-|-----⌫|
M e scoma nt quechascunsle face	-⌫-⌫|----⌫-|--|-------|-|---|
Clige ́ set li dussantreuienent	-----⌫-⌫|-|-|--||-----------|
Leslancesesloingn i eestienent	--|-----|--------⌫-⌫--|------|
Etfi er ent de	-|--⌫--⌫--|-|
sigrantuertu	-|----|----|
Liuns lautresorson escu	-|--||----|--|--|---|
Queleslance s uol ent an clices	--|--|-----⌫|---⌫--|-|-----|
Quiforzesto ient et	--|---|----⌫---|-|
Cligése rt elcheual	------|-⌫-|-|-----|
remestt oz	-----|-⌫-|
Q uil n anbrunche ne	-⌫|-||--------|-|
nech ancele.	-|--⌫------|
uuidieelas ele	------|-|-⌫--|
Etma ugrésuenlesestriés uuide.	-|--⌫----|---|--|-------|-----|
Cligéspra ndreetmener	------|---⌫---|-|----|
le n cuide	|-⌫|----|
s antrauai lleet esforce	|-|------⌫--|-|------|
Mes nest miesoe laforce	--||--|--|--|-|----|
Ca rliSes neassanbl entantor	--⌫|-|---⌫-|-------⌫--|----|
Qui li resc o e nt	--|-|----⌫-⌫-⌫-|
Cli gésneporquantsan zmehaing	---⌫---|---------|---⌫|------|
atotguehaing	---|-------|
Car ledes trierau duc	--|-|---⌫----|-|--|
anmain n e	-|----⌫-⌫|
Quiplusertblansque	--|---|--|----|--|
n ulelainne	-⌫--|-----|
Et ualoit aoesunprodome	-|-----||--|-|------|
LauoirOtheuien de Rome	|----|-------|-|---|
Lides triersert arr ab iois.	-|---⌫-----|--|---⌫--⌫----|
Moutan so nt liéGre uetTyois	---|-|--⌫-|---|---⌫|-|----|
QantCligésuo ientsus	---|------|--⌫---|--|
Carlaual oret l ab onté	--|-|---⌫-|-|-⌫|-⌫----|
Del arrabiueu ̈a uoient	-||-----|---⌫|-⌫-----|
Mesdun agaitrien ne s auoient	--||-|----|---|-|-⌫------|
i anesaparc euront	-⌫|-||-----⌫-----|
Tantque grantperte ireceuront.	---|--|----|----||---------|
Uneesp ieest au duc	--|---⌫-|--|-|--|
Don gran t ioieli e stcreüe .	--|----⌫|---|-|-⌫-|------⌫|
Sire dist i l iln a	---|---|-⌫|-|||
AsG rezois.i.	-|-⌫-----|--|
t o tseul re me ́s	-⌫-⌫|---|--⌫--⌫-|
Quise puissenespointde sfa nd re.	--|-|-----|--|----|--⌫---⌫--⌫--|
Orp uezf e irelafilleprandre	-|-⌫--|-⌫-⌫--|-|----|------|
Lemp ereors e	|---⌫----|-⌫|
Tant con l esGrexan t endre	---|--|-⌫-|---|--⌫-⌫----|
alabataille.	|-|--------|
Et detescheuali e r sme baille	-|-|--|-------⌫-⌫-⌫|-|-----|
C ar ielorb aillerai t am ie.	-⌫-|-|--|-⌫-------||--⌫--|
Pa runeuiez uoieenherm ie	--⌫|--|---|---|------⌫-|
Lesconduiraisis alue mant	--|--------|-|-⌫----⌫---|
QuedeTyoisned Alemant	--|-|----|-||------|
Neser o nt	-|---⌫-⌫-|
u eün ancontré	-⌫--||--------|
Tant que lapucel ean sontré	---|--|-|-----⌫|-|--|---|
Porron tprandre et menersiqu it e	------⌫|------|-|----|-|--⌫--⌫|
Queianelo r	--|-|-|--⌫|
iertcont r edite.	---|----⌫-⌫-----|
Decestechose estliezli	-|----|----|--|---|-|
Centcheuali ersse nez e tplus	---|-------⌫--|--⌫--|-⌫|---|
Auueclespieaenuo iez	----||----||----⌫--|
Etcilles as i auoiez	-|--|--||-⌫|-----|
Quelapucele en main nent prise	--|-|-----|-|----⌫---|----|
N ilni ontpa sgrantforcemi se	|-|||--|--⌫|----|----|--⌫-|
Cardelegi ermene rlen po rent.	--|-|----⌫-|----⌫||-|--⌫----|
Qantdestrezes loignieelorent	---|--|---|--⌫-------||----|
