mapo ineme trai et	-|--⌫--|--⌫---|-|
quiuers lopreuostse hericen t	--|---|-|------|-|-------⌫|
souantlomordent	-----|-|------|
etp elic ent	-|-⌫----⌫--|
cos tanz iest uenuz poignant	---⌫---||--|----|-------|
etunecuillier paumoiant	-|--|-------|--------|
quibi enten ist zzm iniaudorg e	--|--⌫-|---⌫--|-|-⌫----||---⌫|
lopreuos t asenee n	-|------⌫|----|-⌫|
chienloren tadanté	----||----⌫|------|
quiialaussient	--|-||-------|
estranglé	---------|
fuientpor l obaston	-----|--|-⌫|-----|
or e ntl ocre p on	--⌫-⌫-|-⌫|---⌫-⌫-|
enplusdeyy leus desc iré	-|---|-|-|---|----⌫---|
lo fo restie rontadanté	-|--⌫------⌫|--|------|
criecost ant aie	---|----⌫--|--|
po rdeul ofi l	--⌫|--|-⌫|--⌫|
saintemari e	-----|----⌫|
neme laissier as	-|-|-------|-|
chiensm angier	-----|-⌫-----|
iamais nete demant deni er	-----|-|-|-----|----⌫-|
dan costanzles g ai gnonsli oste	--|------|--|-⌫--⌫----|-|---|
qui lorent darrier e t e ncoste	--||----|------|-⌫|-⌫-----|
en plusdeyyleus	-|---|-|-|---|
et c il setintabien	-|-⌫-|-|---||---|
qantli chienli furent o sté	---|-|----|-|-----|-⌫---|
f ormantli seignentlico ste	-⌫-----|-|-------|-|--⌫--|
ezuosl esgenz	-|--|-⌫-|---|
quiles engrese	--|--|------|
totela genz	---|-|---|
delaparoise	-|-|------|
laacorent deto tesparz	-|------|-|--⌫--|---|
boisonset paressarz	------|-|--|-----|
plus deloruoisinne senmu rent	---|-|--|-----|-||-|--⌫---|
deuantcequeil	-----|-|--|-|
sen om merent	-|-⌫--⌫-----|
lor maisnieeles	--|-------|--|
enpo rteren t	----⌫------⌫|
atot ladolorqui	---|-|----|-||
s ofrire nt	-⌫------⌫-|
ma isie nesai	--⌫-|-|-|--|
seilg arirent	-|-|-⌫------|
maisi o idire enla c ontree	---||-⌫|---|-|-|-⌫-----|
qu e ladames estoit prouee	--⌫|-|---||-----|-----|
co mmepro def a meet	--⌫--|---⌫-|-⌫-⌫-|-|
tost otconté sa pai e	---|-|-----|-|---⌫|
quipres demoiseuoudro it tre re	--|---|-|--|-|------⌫-|---⌫-|
telfablelmo rroit	--|-----||-⌫----|
sui si entrem i s	--|-|------⌫-⌫|
q autres i	|------⌫|
laienrime mis	|-|-|---|--|
comilauint trestotalign e	--|-|----|------||----⌫|
enzen la uille de conpigne	--|-|-|----|-|-------|
e nla u i lle auo it	-⌫|-|-⌫-⌫--|---⌫-|
quimoltertsageset co rtoi s	--|---|--|----|-|--⌫----⌫|
richeshomdegr antafere	-----|--|-|--⌫--|----|
ententisertaanorfer e	-------|--||---|---⌫|
ausiaupo ure	---|-|--⌫--|
comauric he	--|-|---⌫-|
li borioi s nertauersnechich es	-|------⌫||--|----|-|-----⌫-|
cil borio is auoit bel	--|-----⌫-|----|--|
quimaintdeniermistaessil	--|----|-----|---||----|
i lfuensa iuenece	-⌫|-|-|-|------|
de saualord esa pro ece	-|-|----|-⌫|-|---⌫--|
parloit eniusquenb iauuoisin	------|-|----|-|-⌫--------|
il auoitp oureuoisin	-|----|-⌫---|-----|
quiunefille	--|--|----|
auoitmoltco i nt e	----|---|--⌫-⌫--⌫|
et liuasle sdeli s	-|-|-----⌫|-|-||
silapr ia molt long uement	-|-|--⌫-|---|----⌫-----|
cele l id it ape rte ment	---|-⌫|-⌫-|---⌫---⌫---|
que miausliuendroit rep ose r	--|----|-|-------|---⌫---⌫|
nela uoloitesposer	-|-|-----|------|
mesce luip laisoitquill	--|-|--|-⌫------|-|-||
co mildeust	--⌫|-|----|
deceauroit ele	-|-|-----|--|
aucuerioie	-|---|---|
belefetilse dieusme	---|--|-|-|----|-|
icest echose moltmeplest	-----⌫|----|---|-|----|
atant deliproiers e	----|-|-|-----|-⌫|
repaire e nsa meson	------|-⌫|-|----|
l an uit met	-⌫|-⌫--|--|
sonp erearaison	--|-⌫--||-----|
sili a son aferedit	-|-||--|----|--|
cont re dit	----⌫--⌫--|
qui moltlen blas meetmoltl	--|---||-|----⌫-|-|---||
etditb iau sfi zd eceste chose	-|--|-⌫---⌫|--⌫|-⌫|----|----|
te deu roies tumoltbientere	-|---⌫----|-|---|---|---|
estpas de tonafere	--|--|-|--|----|
nedigne det oidesch a u cier	-|----|-|-⌫-|-----⌫-⌫-⌫---|
iet euoudrem ol t sozhaucier	-|-⌫|-----|-⌫--⌫|---------|
quequeil medoiecoster	--|--|-|-|---|-----|
teuoudraiasanbl er	-|------|------⌫-|
asmello rsgenzdecest p ais	-|-----⌫-|---|-|---|-⌫--|
detafoliem esbahi s	-|-|----||------⌫|
q uitel garceuiausesposer	-⌫-|--|----|----|------|
certeslente deu roit la rder	-----|--|-|---⌫---|--⌫---|
quanttud e	----|-|-⌫|
telchose par role s	--|----|---⌫----⌫|
li uaslesuit q uesesparro l es	-|-----|--|-⌫-|--|-----⌫-⌫-|
sesperesa n oient	--|----||-⌫----|
etlitout sonespousement	-|-|---|--|----------|
yyiorzapr esi ssiauint	-|---|---⌫-|-⌫--|----|
q u en la uillemorirconuint	-⌫|-|-|----|----|------|
l af emeaunautre boriois	-⌫|-⌫--||-|----|------|
mes anco isque passast li mo i s	--|----⌫-|--|------|-|--⌫-⌫|
parleconseld e sesamis	--|-|-----|-⌫|--|---|
alibori oisa raisonmi s	|-|----⌫--||-----|--⌫|
lopere aicele pucele	-|---||----|-----|
qui tant es toit ientisetbe le	--|---|--⌫---|-----|-|--⌫-|
et ditque ille s pos era	-|--|--|-||-⌫-⌫---⌫--|
et li peres	-|-|----|
etmoltli plestetatalente	-|---|-|----|-|-------|
orabien perdue sasente	-||---|-----|-|----|
l i u aslezqui enagranth onte	-⌫|-⌫----|--|-||----|-⌫---|
boriois dontie	------|---|-|
sabeso i gn eau ancie e	-|----⌫-⌫--⌫|--⌫-----⌫|
que la pucelea fianci ee	--|-|-----||------⌫-|
etpuisapres si l es pou sa	-|---|----|-||--⌫---⌫-|
uasletmolten pesa	-----|---|-|---|
ipensoitioret nui t	|------|--|-|---⌫|
ne uoitri en qui nelia nuit	-|---|--⌫-|--|-|-|-⌫---|
mo lthetlo u	--⌫-|--|--⌫|
molthet sonor etson argent	---|--|--|-|-|--|-----|
etla grant richecequila	-|-|----|------|-|-||
et dit b ien quetrops	-|--|-⌫--|--|---||
quilo nqu esc ru tsonp e re	-|-|-⌫---⌫-|-⌫--⌫|--|-⌫-⌫-|
sa grantrichece tropcomp e re	-|----|------|---|----⌫-⌫-|
longue ment fuentelpenser	------⌫---|-|-|--|-----|
quilnes e sauoit ape nser	-|-|-|-⌫|-----|---⌫---|
c ommentil eus t nulconfort	-⌫-----|-|---⌫|--|------|
ilotrobedun	-|-|---||-|
est anfort	---⌫-----|
ta in tee ngrainneet de uert partie	--⌫--⌫-|-⌫|------|-|-|---|-----|
si otfe t c has cun nepar tie	-|-|--⌫|-⌫---⌫---⌫-|---⌫--|
a l ongues coescoer cil	|-⌫-----|---|---|--|
lisorcozfu toza	-|-----|-|--||
forre zdem enuzescuiria us	-----⌫|-|-⌫---|--------⌫-|
moltsiautcil	---|----|--|
estrei anz et b iaus	----|-⌫--|-|-⌫---|
quioralo uistaint	--|-||-|--|----|
zziordesamesonauale	-|--|-|-|----|----|
son chiefafuble	--|----|-----|
du nmantel	|-⌫|-----|
de sduis ant uetpa r lo chastel	--⌫-----⌫--|--|--⌫|-|------|
i l uint deuantlame son	-⌫|---|-----|-|--⌫--|
f u enlasa ison	-⌫|-|-|--⌫---|
que il fetch altcomenaost	--|-|--|--⌫--|--|-|---|
que quil li grietquequil	--|-|-|-|----|--|-|-|
enginuialtque rreetdemander	----|----|---⌫--|-|-------|
qasamiepuisse	|||---|-----|
moltien t ent molt iesgarde	---||--⌫-⌫--|---||------|
a tan tune mesonesgarde	|---⌫|--|----|------|
auneuiellecosturiere	|--|-----|---------|
main ten antpass e l acha rrie re	----⌫---⌫--|----⌫|-⌫|---⌫----⌫-|
s i sestas islezlafenes tre	-⌫||--|--⌫-|--|-|-----⌫--|
c elel ienquiertde sonestre	-⌫--|-⌫|-------|-|--|----|
quide lbaratassez	--|--⌫|----|----|
silidemande quil auoit	-|-|------|-|-|----|
q ui sisoloit e streenuo isiez	-⌫-|-|-----|-⌫---|----⌫----|
etdesa utresli plusp risie z	-|--|-⌫----|-|---|-⌫-----⌫|
lau i e lleauoitnonaube ree	-|-⌫-⌫-⌫--|----|--|----⌫--|
iasinefust	-|-|-|---|
f emeens erree	-⌫--|---⌫----|
q asa corde	||-|----|
nelatraissist	-|-|--------|
etl i uaslez	-|-⌫|-----|
l ezlis as i st	-⌫-|-||--⌫-⌫-|
t otmo ta mot	-⌫-|--⌫||--|
comme ntce le borioise amot	-----⌫-|--⌫-|-------|---|
qu i si estoitpres sa uoisine	--⌫|-|-----|---|-|------|
et sel lenpuetfere saisine	-||-||-|---|---|------|
yyliur e s li	-|----⌫-⌫|-|
celedit ia	---|--|-|
ne la s au ra	-|-|-⌫--⌫-|
bieng arder	---|-⌫----|
puisseregarde r	-----|-------⌫|
partense n tre toietlat erre	--|---|-⌫-⌫--|--|-|-|-⌫---|
oralez tostlesden ier s	-|---|---|--|---⌫---⌫|
e ti epenserai de cesteoeur e	-⌫|-⌫|-------|-|----|----⌫|
enua et unehuche oeu re	-|-|-|--|----|---⌫-|
ou ila uo itde niers assez	-|-|-⌫--⌫-|--⌫----|----|
lesdenierspr entetsi s ent orne	--|------|--⌫--|-|-||-|-⌫---|
chiesd ameauberee retorne	----|-⌫--|------|------|
sili nombra yyliures	-|-|-----|-|-----|
mesiln est mie tozdeliures	--|-||--|--|--|-------|
quencor imetra sonescot	-|----||----|--|----|
ormebailliezuo streso rcot	-|-|-------|--⌫---|--⌫---|
fetlaui ell edeliurement	--|-|--⌫---⌫|----------|
et cilquis on commandement	-|--|--|-⌫-|-----------|
uia ut fere sanznulcontredit	---⌫-|---|---|--|--------|
fe tceque lauie llel id it	--⌫|-|--|-|---⌫--|-⌫|-⌫-|
son d estro it	--|-⌫-----⌫-|
etce lepliebienestroit	-|--⌫-|---|---|------|
l ou sorc ote tmets ozsais elle	-⌫-|----⌫-|-⌫|--|-⌫-||---⌫---|
lieue de n sonsaselle	----||-⌫|--|-|----|
siafublaz z mantelcort	-|-----|-⌫|-----|---|
adonquesla	-------|-|
iord emar chie	--|-⌫|---⌫---|
quelauielleotbienencerchié	--|-|-----|-|---|---------|
que l isi res	--|-⌫|--⌫--|
nertpaslaienz	|--|--|-----|
et d ieusfetelesoi tcaienz	-|-⌫---|--|--|---⌫|-----|
dieus soit	----|---|
ouos ma douced ame	|--|-|----|-⌫--|
etil ait hui mercidel	-|-|--|--|----|-||
a lautredam equiestmorte	||----|---⌫|--|--|----|
don t mescuers molt s edesconf orte	---⌫|--|----|---|-⌫|-------⌫---|
main tiormacaienz anoree	----⌫|--|||-----|-----|
bie nuaignie zuo sdameauberee	---⌫|-------⌫|--⌫|---|------|
dameue nezseoir	---|--⌫--|----|
ie uosuiengue oir	-|--|----|--⌫--|
uosacointier	--|--------|
ie n epassemaisp uis	-|-⌫|----|---|-⌫--|
quelautredamemo r te	--||----|---|--⌫-⌫-|
qui nemefis tonque srefu	--|-|-|---⌫|-----⌫|---|
derienque ieli d emandas se	-|---|--|-|-|-⌫-------⌫-|
cer t esseielicommandasse	---⌫-⌫-|-|-|-|----------|
a f e reune	|-⌫-⌫-|--|
silafeist elparmon chief	-|-|----|-|--|--|----|
samemol t me fist b iens	|--|---⌫|-|---|-⌫---|
dame aubereefautuosr i ens	---|------|---|--|-⌫-⌫--|
ser i ensuosfau t dites	-|-⌫-⌫--|--|---⌫|----|
dame fetelieuien g	---|--|-|-|----⌫|
c u ne gote ama	|-⌫-|---||-|
fil l es flanc	---⌫|-|----|
s iuoloitdeuo s treui n blanc	-⌫|-----|-|--⌫-⌫--|--⌫|----|
etzz seu ldeuospain sfaitiz	-|-|---⌫|-|--|----⌫|-----|
pluspet iz	---|---⌫-|
dieusmerciien s uitrop	----|----||-|-⌫-|---|
me ssim en	--⌫|-||-|
angoisselat ose	-------|-|-⌫--|
lome couientdemander	-|-|------|-------|
onquestruander	-----|-------|
ai nzne m ens oiaid ie rparm	--⌫-|-||-|-⌫-|---⌫--⌫|--||
etuos enauroizfetla dame	-|--|-|-----|--|-|---|
quiertapriuee	--|--||-----|
ertbien ensaignie	--|---|--------|
borioise s asiet	-------||----|
certe sfait ele mout mesiet	-----⌫|---|--|---|-|---|
queioi deuossigra n tbie nd i re	--||-|-|--|-|---⌫-⌫|---⌫|-⌫-⌫-|
commentse contientortessire	------|-|-------|-|--|---|
fet uosilorpointbel e chiere	--|--|-|-|----|---⌫|-----|
hacomiltenoitlau t rechiere	-|--|-|-----||--⌫-⌫-|-----|
tan tele auo it d e	---⌫|--|---⌫-|-⌫|
uolentiersuerroieor	---------|------|-|
siuerroie cer tainnement	-|------|---⌫---------|
setu gisau sirichem ent	-|-|--|--⌫-|------⌫--|
com faisoitsapremierefem e	--|------|-|-------|---⌫|
main tenantse lieue la dame	----⌫-----|-|----|-|---|
dameaubreeuetapres	---|-----|--|----|
la c han bre e stoit ilueq uespr es	-|-⌫---⌫--|-⌫----|-----⌫--|--⌫-|
anbedeusensanbleientrerent	-------|-------||--------|
etdeplu sorschosesparlerent	-|-|---⌫---|-----|--------|
uielle la sertdelobe s	-----|-|---|-|----⌫|
la dame limostre sesrobe s	-|---|-|-----|--|----⌫|
mostr e unegrant c oc he	-----⌫|--|----|-⌫--⌫-|
ici fetlada mesecoche	--|--|-|--⌫-|-|----|
e tiel ezs on	-⌫|-|-⌫-|-⌫-|
fuerr eblanc	-----⌫|----|
ouilot gr ant	-|-|-|--⌫--|
couted eplume	----|-⌫|----|
p orceque len ne si enplume	-⌫-|-|--|--|-|||------|
otdes usunecoutepointe	-|---⌫-|--|----|-----|
laui ell e	-|--⌫---⌫|
otuneagui lle	-|--|----⌫--|
en ce sorcot	-|-|-----|
quedesoz saiss elleportot	--|----||----⌫---|-----|
moltlo utin t pr esde son coste	---|--⌫|---⌫|--⌫-|-|--|----|
ladameato ziorzacosté	-|---||--⌫|---|------|
quimostroitsa besoigneto te	--|-------|-|-------|--⌫-|
etlauiellemaintenant bote	-|-|-----|---------|---|
l ousor c ot des o z lacoute	-⌫-|---⌫-⌫-|---⌫-⌫|-|----|
certes fet	-----|--|
eledespentecoste	--|--|---------|
ne ui gemess irichelit	-|-|-|--|-⌫|----|--|
o t ain claut reb ienmenm enbre	-⌫|---⌫||---⌫-|-⌫--||-|-⌫----|
a tan tsen	|---⌫||-|
issent de la chanb re	-----|-|-|-----⌫-|
etla uiel le toz	-|-|----⌫-|--|
ior zser mone	---⌫|---⌫---|
maintenantladame li	---------|-|---|-|
deuinet u nemiche	-|--|-|-⌫-|----|
etune g ra nt piecedefliche	-|--|-⌫--⌫-|----|-|-----|
et de p oisunegrant potee	-|-|-⌫--|--|----|----|
biene st la borioiseasot ee	---|-⌫-|-|-------|----⌫-|
por la uiellemesnelse t	--|-|-----|--|-||--⌫|
dame au bereeeneslopas	---|--⌫----|--------|
uer s son o steldroits enreuient	---⌫|--|-⌫---|----||-|------|
del bori ois	--|----⌫--|
dire mecouient	---|-|------|
quise usde l auillere pair e	--|--⌫-|-|-⌫|----|--⌫----⌫|
sis enreu ient a	-||-|---⌫---||
sonrepaire	--|------|
etdi tquedor m irseuolo it	-|--⌫|--|---⌫-⌫-|-|----⌫-|
porce qu e licuers lid oloi t	--|-|--⌫|-|----|-|-⌫----⌫|
enlachanbreuasi	-|-|------|-|-|
tant ost com ilfusorla coche	----⌫--|--|-|-|--|-|----|
s isentlou	-⌫|---|--|
sorcot boc oier	-----|---⌫---|
silou comme nc e apoucoier	-|--|-----⌫--⌫||-------|
quant ne se tqu ec estquili gri eue	----|-|--⌫|--⌫||--|--|-|---⌫--|
main tenantlacoutes ozlieue	----⌫-----|-|----|-⌫------|
si enatretlou	-|-||---|--|
sorc otfors	----⌫-|---|
ad onc qui li bo utastou	--⌫--|--|-|--⌫----|-|
zz coutelpard elezloufl anc	-|-----|--|-⌫---|--|--⌫--|
ne nissistilgoutede s an c	|-⌫|-----|-|----|-|-⌫--⌫|
tantfudurementesbahiz	---|-|-------|------|
halas fa it iltan tsuitraiz	-|--|--⌫-|-|---⌫|--|----|
parcele quiainz n e	--|---|--|---|-⌫|
luis silofer ma	|--|-|-|---⌫-|
maint enant alou	-----⌫----||--|
s orcot pris	-⌫----|---|
carialousie	--|-------|
l auoi t pris	|----⌫|---|
qu ipi res estde ma l de	--⌫|--⌫--|--|-|--⌫|-|
deforslouregarde etdeda nz	-----|--|------|-|----⌫-|
q u il sanblec	-⌫|-|-----||
acheter l ouoille	------|-⌫|-----|
niln amenbrequine seduelle	|-|||-----|--|-|-|-----|
tantestpl ainsde corroz	---|--|--⌫---|-|-----|
fe ti lqueporre dire	--⌫|-⌫|--|----|---|
de cestsorcotbien saipar m	-|---|-----|---|--|--||
au l echeor ma feme	-|-⌫-----|-|---|
quisonsolaza inzcons e nti	--|--|----|-⌫--|----⌫-⌫--|
qu eleeust mon	-|--|---|--|
co stese nti	--⌫--|--⌫--|
illoup rist	-|--|-⌫---|
etpenseque	-|----|--|
il po rraf ere	-|--⌫--|-⌫--|
et quantpluspe nsea ce l afaire	-|----|---|--⌫--||--⌫|-----|
li dobleses anuiz	-|----|--|----|
issifutantqueuintlanuiz	---|-|---|--|---|-|---|
q u iluit leshuisclosparla	-⌫|-|--|--|---|---|--|-|
lorspren t safe mesila	---|----⌫|-|--⌫-|-|-|
parmi luis hors delamaison	----||--|---|-|-|-----|
cele quinesetlacho ison	---|--|-|--||----⌫---|
apoudeduelnestacoree	|--|-|---||--|-----|
atantezuo s dame	|---|-|--⌫|---|
quier tdeliengra nt esgart	--|--⌫|-|-|-|---⌫-|-----|
mabellef i lledieusuosg art	-|----|-⌫-⌫--|----|--|-⌫--|
fetla uielle quefez	--|-|-----|--|--|
auberee merci	------|----|
messires estmeslez	--|----|--|-----|
e t si nes ai dir e por coi	-⌫|-|-|-⌫-|---⌫|--|--|
nesai quelenl iaconté	-|--|--|--|-⌫||-----|
ormefaites tant de	-|-|-----|---|-|
q uaue c moiueignie zchies monpere	-⌫|---⌫|--|-------⌫|----|--|---|
auoifetelepa r saint pere	---|--|--|--⌫|----|---|
uoudroitporgran t chos e	-------|--|----⌫|----⌫|
uiaustuque	----|-|--|
t es pereste	-⌫-|----|-|
quiquid eroitqaucunm effet	--|----⌫----||----|-⌫----|
eussesa tonsai gnorfet	-----||--|---⌫---|--|
ouil eniede to ncors	|---⌫---|-|--⌫|---|
ilteustbotee fors	-||---|----|---|
etquilteu stpri se p ro uee	-|-|-||--⌫-|---⌫-|-⌫--⌫--|
et oto nlecheortrouee	-||--⌫|------|-----|
ores t espoirliuilainsiur es	-|--⌫|-----|-|------|---⌫-|
siens era demainde liures	-|-|-⌫--|-----|--⌫-----|
mesiete louenbone foi	--|-|-|--|-|---|--|
quetut en uiegnes auecmo i	--|-||-|------|---|--⌫|
car de genzsont	--|-|---|---|
ces rues uuides	--|---|-----|
miaz enploia squetu	---|-------⌫|--|-|
neq ui des	-|-⌫--⌫--|
lop ainet lo	-|-⌫--|-|-|
uinet le spois	--|-|--⌫|---|
ioteuoilr e ndreto tapo is	-|-|---|-⌫-⌫---|--⌫||--⌫-|
lou guere don	--|-----⌫--|
etlouseruise	-|--|------|
car il iert	--|-|---|
totatadeuise	--||-|-----|
qua nquet u sauras de mande r	---⌫---|-⌫|-----|--⌫-----⌫|
tefau tque	-|---⌫|--|
qu etuserasmolt bie ncelee	--⌫|-|----|---|---⌫|----|
enunecha nbrere celee	-|--|---⌫---|--⌫----|
o iahome ne teuerra	|-|---|-|-|----|
iusqua tant q uetessi reaura	----||---|-⌫-|--|--⌫-|---|
trespassee totes iurece	---------|---||-----|
main tenantlau iell e s	----⌫-----|-|-⌫----⌫||
quil a bo rioiseauec	--|-⌫|--⌫-----|---|
belefet e le une se m ainn e	---|--|-⌫-|--|--⌫-⌫----⌫|
porrezciau ecmoi	-----|-|--⌫-|--|
q ueia nusne	-⌫-|-|--|-|
sauro ittonestre	-----⌫-|--|----|
lors lasemonsedemengier	---|||------|-|------|
etla bor ioiseen	-|-|---⌫----|-|
fetdongi e r	--|-----⌫-⌫|
et ditque iadieun epleust	-|--|--|-|---|-⌫|-----|
qu elmeniast deu ant qu e seust	-|-|------|---⌫--|--⌫|----|
p orquelacestehonteeue	-⌫-|-|-||----|----|--|
dame aub eree sest	---|---⌫---||--|
de lipreechier	-|-|--------|
lors lau o itmeneecochier	---||--⌫-⌫-|----|------|
chanbreil oc dei oste	------|--⌫-|---⌫---|
enbla nsdraset	-|---⌫-|---|-|
enb la nchecoute	-|-⌫--⌫---|----|
moltl ala uiell ebiencouerte	---|||-|-----⌫|---|------|
ne laissapas l achanbreouerte	-|-----|--|-⌫|------|-----|
ainz fermabien l	---|----|---||
uisalaclef	--||-|---|
o stelsenistsoef	-⌫---||-|--|---|
e ts enuet plustost	-⌫||-|--|---|---|
que loupas	--|--|--|
droitau uaslet qui nedort	----|-|-----|--|-|---|
ainz tornee t retorneensonlit	---|----|-⌫|------|-|--|--|
moltcrientque	---|-----|--|
la uiell en o b lit	-|-----⌫||-⌫-⌫--|
otencouen t	-|-|-----⌫|
de lcuer ensos pire soue nt	--⌫|---|-|---⌫---|----⌫-|
et sasiet ensonlitto z	-||----|-|--|--|--⌫|
puisse ue st si	---|-|--⌫-|-|
s enestissuz	|-|--|----|
e tsi seueth orsapo ier	-⌫|-|-|--|-⌫--|---⌫--|
et laui ellequison loie r	-|-|--⌫---|--|--|----⌫|
uialtde c hief	----|-|-⌫---|
etlouuasletagres eruir	-|--|-----||--|-⌫----|
n eguenchist	-⌫|--------|
d estre nesenestr e	-⌫----|-|-------⌫|
lou uaslett rueuea	--|-----|-⌫----||
lafenestre	-|-------|
quili demande queus	--|-|------|----|
ieste dirai faitele	|-|-|----|---|--|
carie aitamieentes laz	--|-|-||---|-|--|--|
quefaireenporrastessolaz	--|----|-|-----|--|----|
iusqa demainaicesteore	---||-----||-----|--|
et liuaslezplusn	-|-|-----|---||
cuilauielleot	--|-|-----|-|
seruien gre	----|-|--|
soefaualelo degre	---|----|-|----|
sis enreuo nt anduiens an bl e	-||-|----⌫-|----|---⌫--⌫--⌫|
nauoit g airess ic om moi s anble	|----|-⌫----|-⌫|-⌫-|--|-⌫----|
quelaboriois e ertend or mie	--|-|-------⌫|--|---⌫--⌫--|
etcilq uidesirr e s amie	-|--|-⌫-|------⌫||---|
se deschauc eetsised espoille	-|--------⌫|-|-|-|-⌫-------|
ilseles orgoille	-||--||-------|
etelcrie queferai gie	-|-|---|--|----|--|
oureruoilparuostrecongi e	----|---|--|-----|-----⌫|
carbienm auezrendu mon	--|---||---|----|--|
ieteconselleraiadroit	-|-|----------||----|
uiellee t site couche	-----|-⌫|-|-|-----|
et seele estuers toi	-|-|--|--|---|--|
etele crieet tu	-|--|---|-|-|
lieuela robe et temet enz	----|-|---|-|-|--|--|
etsitos tcom tesentira	-|-|---⌫|--|-|------|
lab esoi ngne autrementira	-|-⌫----⌫---|--------|--|
maintenantlauerrastaisir	---------|-|-----|-----|
se nporra sf eretonplaisir	|-⌫|-----⌫|-⌫--|--|------|
est a ulit	--|-⌫|--|
lezl a borioise s	--|-⌫|-------||
etmolt s oefali adoi se	-|---|-⌫--||-|----⌫-|
a tant s esuel le la bo rioise	-⌫---||-----⌫-|-|--⌫-----|
etest moltfor mentesma rrie	-|--|---|---⌫---|----⌫---|
a bienpou qu	|---|--|-|
est saillie	--|------|
etcillenbraca	-|--||------|
dametraiezuo s	---|-----|--⌫|
caries ui uostre do uz amis	--|-|-⌫-|-----|--⌫-|---|
queuosauezendo lormis	--|--|---|-|--⌫--|--|
mest antaife t	--|-⌫--|-|--⌫|
la d ieumerci	-|-⌫--|----|
quet otes euleuostienci	--|-⌫--|-⌫---|--|---|-|
dedenz cestec ha nb reenser re e	-----|----|-⌫--⌫--⌫-|-----⌫--⌫|
mol tuos auoi edes ir ree	---⌫|--|----⌫|---⌫--⌫--|
pa r f oifetele rienn eualt	--⌫|-⌫-|--|--|---|-⌫|---|
cariecrierai ias ih alt	--|-|------|-|-⌫|-⌫--|
q uetostseraciacourue	-⌫-|---|---|-|------|
t otela gent	-⌫--|-|---|
deces terue	-|---⌫-|--|
parfoifetilrien neuosmo nte	--|--|--|-|---|-|--|--⌫--|
c i neuo i gefo rs	-⌫|-|--⌫|-|--⌫-|
uost rehon te	----⌫-|---⌫-|
quant l agrant g ente tla m enue	----|-⌫|----|-⌫--|-⌫|-|-⌫---|
uos uerrontlez moito te	--|------|--|--|--⌫-|
qu ilestiapresdemienu i t	-|-|--|-|---|-|-----⌫-⌫|
n iaura zz seu l qui ne cuit	||---|-|---⌫|--|-|---|
q ue iaiefeta grantplente	-⌫-||--|--||----|-----|
deuostrecorsmau olente	-|-----|---|-|-⌫-----|
molt u a ut ormialsquesoitenblee	---|-⌫-⌫-|-|----|--|---|-----|
deforsnost re asanbl ee	-----|----⌫-|------⌫-|
q uenusfor squen osyyl osache	-⌫-|--|---⌫|--|-⌫-|-|-⌫|----|
la bo rioisene setque face	-|--⌫-----|-|--|--|---|
mi aus liuient ilestre arepos	--⌫--|-|----|-|----||----|
q u el porro it acoi llirtellos	-⌫|-|-----⌫-|----⌫---|--|--|
parlesuois ins et	--|--|----⌫--|-|
niau roitsehontenon	||--⌫---|-|----|--|
iaesttorneeen autref o il	-|--|-----|-|----|-⌫-⌫-|
laborioise etto t son orgoi l	-|-------|-|--⌫|--|-----⌫|
moltsasoag eet	---||-----⌫|-|
moltseplese	---|-|----|
li d amois iaussouefla	-|-⌫-----⌫---|----|-|
d e lautrepresse	-⌫||----|---|-|
celelif et mol t	---|-|-⌫-|---⌫|
ieuentetsiifont	-----|-|-||---|
ceporcoiasanbléison t	-|--|--|-------||---⌫|
au matinetquan t	-|------|----⌫|
l aubecr ieue	|---|--⌫---|
dameaubereeto stselieue	---|------|--⌫-|-|----|
