#ME TA# TextURIAigarB	---⌫--|------|-----|
#META# DEAFhttp//www.deaf-p age.de/bi bl/ bib99a .php#AigarB	-----|---|----------------⌫---------⌫---⌫------⌫----------|
#ME TA#FEW	---⌫--|--|
#META#ARLIMAhttps// ww w.arlima.net/ad/aigar_et_maurin . html	-----|-----|-------⌫--⌫-------------------------------⌫-⌫---|
#ME TA#Au thor	---⌫--|--⌫---|
#META#AuthorBorn	-----|---------|
#META# AuthorB ornAmb	-----|-------⌫-----|
#META#Au thorDied	-----|--⌫-------|
#META#AuthorDiedAmb	-----|------------|
#MET A#AuthorFl1	----⌫-|--------|
#MET A# Au tho rFl2	----⌫-|--⌫---⌫---|
#META# TextTitle Aiga ret	-----|--------|----⌫|-|
#META # TextSubtitle	-----⌫|-----------|
# ME TA#T extuols	-⌫--⌫--|-⌫------|
#META# Tex tSubiepic	-----|---⌫----|---|
#META#Text Dom lit	-----|----⌫--|--|
#META #Translati onfalse	-----⌫|---------⌫-|----|
#META#Coll ection	-----|----⌫-----|
#META#CollectionNo	-----|-----------|
# META#TextDescARLuersdécasyl labique s rép artisenlaissesmono rimes	-⌫----|----------|---|--------⌫-------⌫|----⌫----|-|------|----⌫----|
#META#TextDe scuers	-----|------⌫-----|
#META#Te xtDa teARL12e	-----|--⌫----⌫----|--|
#META# TextD ateAdi	-----|-----⌫-----|
#META#TextDateMin1 166	-----|----------|-⌫--|
#M ETA# TextDa teMax	--⌫---|------⌫----|
# META# EdEditor Alfred	-⌫----|-------|-----|
#META#EdP l ac e	-----|---⌫-⌫--⌫|
#META#E dPublisherRomanischeF orschungen	-----|-⌫---------|---------|-⌫---------|
#META#Eduol14	-----|----|-|
#META#EdYear1903	-----|-----|---|
#ME TA#EdPages1 -102	---⌫--|------|-⌫---|
#META#MsBase	-----|-----|
#META#MsOther	-----|------|
#ME TA#MsN u m1	---⌫--|---⌫-⌫||
#META#MsDateARL	-----|--------|
#ME TA# MsDateAdi	---⌫--|--------|
#M ETA# Formu	--⌫---|---||
#META#Complete true	-----|-------|---|
#META# NoWords	-----|------|
#M ETA#NoLines	--⌫---|------|
#META# DialAuthocci tan	-----|-------|----⌫--|
# META # D ia lS cribe	-⌫----⌫|-⌫--⌫--⌫----|
#META #ScanURLhttps//archi u e .org/ d etai ls/romanisc heforsch14franu oft	-----⌫|------|------------⌫-⌫-⌫-----⌫-⌫----⌫-----------⌫---------------⌫--|
#MET A# ScanURIOther	----⌫-|-----------|
# META# ArkID ark/13960/t93 77i81 z	-⌫----|----|-------------⌫-----⌫|
#ME TA#Lccn I D	---⌫--|----⌫-⌫|
#META# Oc lcI D	-----|--⌫---⌫|
#MET A# We bAuth or Dau id	----⌫-|--⌫-----⌫-|---⌫-|
I osephWr isley	-⌫----|--⌫----|
Lo fil sdelreis	-|---⌫|--|--||
en enquetaïrar	-|-----|-----|
Maisnon opoc	---|--||--|
asa guiseme nar	|-|----|--⌫--|
PerDeuMaurinb enl	--|--|-----|-⌫-||
aiauitco ntar	-|---|--⌫---|
Queu o str eorguels nonpoc	--|-⌫-⌫---⌫|------|--|--|
om dep ortar	-|---⌫----|
Orgueil engu erreetorgueil	------|-|--⌫---|-|------|
En totarenuos	-|---|--|--|
faiorguels sorbrar	--|------|------|
Iaeuno n mu i retroseulfaceabaissar	-|-|--⌫|--⌫-⌫-|---|--|---|-------|
Siferai eusiDexo milais	-|----|-|-|--||-|---|
Lofilsdelreiparletc om aïros	-|---|--|--|-----|-⌫-|-----|
PerDeuMaurinbenesgaillarsetpros	--|--|-----|--|-|-------|-|---|
guerree d afar trab illos	-----|||---|----⌫----|
lor ei fel e contralios.	-|-⌫-|--||----------|
uostresfiancesneliualent	------|------|-|-|-----|
Non litengessa igremen tni	--|-|-----|--⌫-------⌫|-|
Si uosper for celifais	-|--|--|---⌫-|-|---|
d unroinedos	|-|----|--|
Be nes de luisegner e cabaillo s	--⌫|-|-|--|-----||--------⌫|
Kar nonuosmenbre	--|--|--|-----|
denAlariclo	-||-----|-|
Kiere com s rixemirauillos	-|--|---⌫|--||---------|
E fupendu skar f utro porgu i llos	|-|-----⌫|--|-⌫|---⌫|----⌫-⌫---|
Efes elreiquanten	|--|-|--|----|-|
fupod eros.	-|---⌫----|
guer ree dardit coboitos	----⌫-|||----|-------|
De caua lcarferseuolen ter o s	-|----⌫---|---||-----⌫---⌫-⌫|
Mai s ans un anuoson	---⌫|--|-|-|--|-|
uirasiblos	---|-|---|
Ken re man d rant ist ass aut	|-|--⌫---⌫-⌫---|--|---⌫--|
pe r ill os	--⌫-⌫---⌫-|
E aPerideser estant	||-----|---⌫-|---|
enco mbr os	----⌫---⌫-|
Keu tenrais iegeenon	|-|-----|-⌫---||--|
seres escos	----|----|
Tros amarceuos	---||----|--|
l i berres an os	-⌫-⌫-----||-⌫-|
suitoze se	--|----⌫||
uos es plusdio s	--|-|---|---⌫|
Es eresmais pesansenouillos.	|-⌫---|---|-----||--------|
—D exdis Maurinsc ompar leb enkis tos	|-⌫-|--|------|-⌫-|---⌫-|-⌫-|--|--|
Cauai ll er foresed	-----⌫--⌫-|---|-||
auollin nonfos.	---|--|--|---|
AitantSicars naduisp er	-----|-----||----|-⌫-|
l aigue ios	|----|--|
Lospr esqu	--|--⌫-|-|
els olueen	-|-⌫---|-|
uint b a teausc oitos.	---|-⌫-⌫----|-⌫-----|
Cellos e nmaine e uais e ntpesan ços	--|--|-⌫|----||--||-⌫-|-----⌫---|
Ele Maur ins no npartent amoros.	-||----⌫--|--⌫|------|------|
Lo filde lrei es	-|--|--⌫|--|-|
tornasasonpai re	-----||--|---⌫-|
L orgueilMaurin li	|------|-----|-|
r e traire	-⌫-⌫-----|
Per ma feis e gn reMaurinse s	--|-|--|-⌫-⌫--⌫-|------|-⌫|
bobenchaire	----------|
Deuostrea noru oscuidetotfors	-|-----|-⌫--|-⌫-|----|--|---|
Edelreiameuoldos parties faire	|--|-----|--|--|------|----|
Keldiu isaz	--|---⌫---|
abla fi l le ton fr aire	-|-|--⌫-⌫-|--|--⌫---|
E Falqueerreis e non	|-----|-|---||--|
targeretgaire	-------|----|
Edeuianeco msBe rnars l	|-|----|--⌫-|--⌫----||
ordubaire.	---------|
cri darebraire	---⌫--||-----|
K irei desfaiqueb en	-⌫|--|-----|--|-⌫-|
esenperaire.	-|---------|
A uostr escomtes	|-----⌫-|-----|
es tausespauentaire	-|---|-----------|
Cornesengl arsentrelebrersa Paire	----|-----⌫--|----|------||----|
E elplu sardi sabluinons	-⌫-|---⌫|----⌫|-|--|--||
auz e t raire	---⌫|-⌫----|
Totsauslos pr ent	--|---|--|--⌫--|
conLonbars son conpaire.	--|------|--|--------|
A uos meeuse s tantFalcgu er roiaire	|--|----|-⌫|---|---|--⌫--⌫------|
K anc nont olguesnicastel	|--|--|-⌫-----|-|-----|
n irepaire	-⌫|------|
Ansuosto it elloLans e tBel	--|--|--⌫-|-|-|---|-⌫|--|
Elportd Eissentelcastel	-|---||------|-|-----|
Perideser aipuisosteiair e	-----|---⌫-|---|--------⌫|
Ke debataille nonm i ercon tr estaire .	-|-|-------|--|-⌫|-|---⌫--⌫-------⌫|
Manda s grant	-----⌫|----|
oste sia sla rsdon air e	--||---⌫|--⌫-|---⌫---⌫|
Eeuseraig uerries e caual ca ire.	|-|----|-⌫------||-----⌫--⌫---|
b la nces iliauenfetuaire	-⌫--⌫--|-⌫|-|---|--|----|
dePan no n	-|--|--⌫|
sie taus ga baire.	--|---|--⌫-----|
Quant aut loreisla soltedeuertat	----|--|-|---|-|----|-|-----|
Moltna locorpesanços	---|||-|--|--------|
Ma is noner iaconogut	--⌫-|--|-|-|------|
uolpe rdredesosc omte s lo grat	--|--⌫---|-|--|-⌫----⌫|-|---|
Perma feifils benaue s	--|-|--|---|--|---⌫|
lorpressontlinost relibrat.	--|---|---|-|----⌫-|------|
EueMaurinauemm olt gue rroiat	-||-----|---|-⌫--|---⌫-----|
Aneparlement	--|--------|
nonu imaisaiostat	--|-⌫|---|------|
Di sm ile homesdelmilsde	--⌫|-⌫--|----|--|---|-|
mon regna t	--|-----⌫|
Erenttuitui u quan td aiço	----|---|--⌫|----⌫||----|
f u mes cla t	-⌫|---⌫---⌫|
Ki puissont mort e	-|---|---|---||
li alt resont nat	-|---⌫-|---|--|
DequeMau r insaauques	-|--|---⌫-⌫--||-----|
lo peçat.	-|------|
MaissiDeu pla speruosser antueniat.	---|-|--|---⌫|--|--|---⌫--|------|
Fai tde mandar lo p rior ela bat	---⌫|--⌫-----|-|-⌫---|||-⌫--|
E ilrepa irentquehuiantrepairat.	|-|----⌫----|--|--|--|--------|
Cascun scaualieun cra smursoiornat	------⌫|------|-|---⌫|--|-------|
girf alconmuda t	----⌫----|----⌫|
Unp ale freia nt de	-|-⌫---⌫---|-⌫-|-|
grudescariat	-----|-----|
Gent s ontuestit esontben	---|-⌫--|-----||---|--|
conr ed a t	----⌫--⌫-⌫|
Bliausdepailecemisedecen dat	-----|-|----|-----|-|---⌫--|
Calces benfetesdontsonestre it ca lça t	-----|--|----|---|--|-----⌫-|--⌫----⌫|
Un mant el grisaccascu nsafubl at.	-|----⌫-|---|-|-----⌫-|-----⌫--|
Den ant loreisontius	---⌫--|-|--|---|--|
iambeaterat.	----|------|
r eisTosuos esautriat	-⌫--|--|--|-|------|
Kanc ka uiasquesutnidemandat	---||-⌫---|-----|-|-------|
KeperMaurinseres quiteclamat.	-|--|-----|----|----|------|
soil s ansenginrecelat	---|-⌫--|----|------|
Dequancqu auesnepleuitneiurat.	-|----|-|---|-|-----|-|-----|
Trais desa borseI.	----|-|-|----|-|
b esant reondat	-⌫----|------|
R ent li perso lte car si	-⌫--|-|--|--⌫--|--|-|
e re ost ai at .	-⌫-|---⌫--⌫--⌫|
Eacu IIcomt esqui auanta utreia t	|-|-⌫-|----⌫-|--|----|-⌫------⌫|
K omue lauentl or	|-|--⌫-----|-⌫-|
adu isen s elat	---⌫-|--⌫-⌫---|
Elouairetd	|-|-----||
Aquillantl	--------||
Lor blansos be rsetlor	--|----|--⌫--⌫-|-|--|
elm es gemat	---⌫-|----|
Lorsun trend utcuiquefuissentdon at	--|---⌫|----⌫-|--|--|-------|---⌫-|
Escus ela nc esaic ̧olor es caniat	----||--⌫--⌫-|---⌫-|--|-|-----|
Altretant bonquenoness ordoiat.	--------|--|--|--|-|-⌫-------|
Eila nduis e	|-|-⌫---|-⌫|
il sarmentsunt a des raisonat	-||-----|---|-⌫--|-------|
reilogrant	--|-|----|
pla itpresentat	---⌫-|--------|
Seu olias estarenmafeltat	-|-⌫----|----|-|-|-----|
Kascun deu osdarie un e	-----|-|-⌫-|----|--⌫|
Ecent castels decui fuissies c asat.	|---|------|-|--|-------|-⌫----|
CedisBeraus Tro piauest ar sat	-|--|-----|---⌫||---|-⌫--⌫--|
Ka ndoiannant estesafianchat	--⌫||-|-----|----|--------|
N augrasbon pl ait senauguissiesparlat.	|-----|--|--⌫--||-|---------|------|
PosperMau rinem	--|--|---⌫--|-|
soiteaquitat	---||------|
D e so ncaptenc	-⌫|--⌫|------|
emfr a n ce ad urat.	-|--⌫-⌫-⌫||--⌫----|
Totn os trealuetnosa uesab aissat	--|-⌫--⌫--|----|--|-⌫--|--⌫-----|
Maissi no s	---|-|--⌫|
uiure podem	----|----|
un anpass at	-|-|----⌫-|
Ianonir esdel gaaig	-|--|--⌫-|--|----|
alma r c hat .	-|--⌫-⌫-⌫---⌫|
— Dexd istloreismol t i	|--|-⌫--|-|---|---⌫||
faig r antfoldat	--|-⌫-⌫--|-----|
n urri s tlobasto ab ques	-⌫----⌫-⌫|-|----|-|---|
Leiorq uem	-|--|-⌫--|
fosrenduspr es eliat	--|-----|--⌫-||---|
uosdeugrasessrealasforces	--|------|----||--|-----|
Maisse ui a mais nauiepo estat	---||-⌫|-⌫|---||---|--⌫----|
Peruos tredanmauriasch ast i at.	--|---⌫--|--||-----|--⌫---⌫-⌫--|
Ai tantmonta re nteua nt s ent	--⌫---|-----⌫--⌫-||--⌫-||--|
sen sconiat	---⌫|-----|
Ae sporons sunt	|-⌫------|---|
a l po nt a u alat.	-⌫|--⌫-|-⌫-⌫----|
Lautreabat	|----|---|
antFrancondeschaenat	--|------|---------|
Etui tlimonge sontforsdeslazietat	|---⌫|-|----|---|---|--|--|----|
Lorboncauauelorosber csafrat	--|--|----||--|-----⌫|-----|
L ors ontr endut maisgr eu	-⌫-|-⌫--|-⌫----|---|--⌫-|
sontaiostat.	---|-------|
At ot s enu antes ontaseürat	|-⌫-||-|-⌫--||-⌫--|-------|
Desc iqu aiLanso ant loport	----⌫|-|-|---||--|-|---|
KantFranquesuitBerautcontr emont a t	---|-------|--|-----|-----⌫-----⌫-⌫|
Sondreit segneresonami priua t	--|----|-----||--|--|-----⌫|
Desce ntapie euenc a	-----⌫-||--||---||
l ui perprat	-⌫-|--|---|
Rent lil a	---|-|-⌫|
croce eacloenc linat	----||-|-|---⌫----|
Iciuosrent t otquantmau esdonat	--|--|---|-⌫-|----||--⌫-|----|
Erentbon gratnon iai	|---|--|---|--||-|
Obe dienceni	---⌫-----|-|
autrea uoluntat	----||-------|
enclaust re t orneraialmanda t	--------⌫-|-⌫------|-|-----⌫|
ARocelauredins le murbatellat.	|--------|---|-|--|--------|
E A uliue rsgorpis on priorat	|-⌫-----⌫-|----|-⌫-|------|
B runsonsegner cui la uiebaillat.	-⌫--|--|-----|--||-⌫--|-------|
Escos lorlibre	----|--|----|
uncalantenionch at	-|-----|-------⌫-|
Enque ilsont	-|--|-|---|
tuiten sen sas s ega t	---|--⌫---⌫|--⌫-⌫---⌫|
Al peidelLanss ontalmura rribat .	-|--|--|---|-⌫--|-|--|-⌫------⌫|
Esc oslosguideen Paigue	---⌫-|--|----|-|-----|
pergrau e r	--|----⌫-⌫|
Etorne senele seumariner	|----||-|-||--|------|
i ntrent p erleborcoste ler	-⌫-----|-⌫-|-|---|----⌫--|
Dedin s l esm ursdelLansenu nuerger	-----⌫|-⌫-|-⌫--|--|---|-|-⌫|-----|
OMaurinspar le ab losonf ilGarner.	|------|---⌫-|-|-|--|-⌫-|------|
Kant uit Berautsonabatdreitur er	---|--|-----|--|---|-------⌫-|
Leuetuers luie ba i se tloprimer	----|---|--||--⌫-⌫--⌫|-|-----|
E puisBrunet ablo	|---|-----|-|-|
t alentleger.	-⌫----|-----|
A sse s lasluie	-⌫---⌫|--|--||
marces lor refer	-----|--|----|
Keancnon forenttraïtor	-|--|--|-----|-------|
N elsplai s delreinonuolgrentescolter.	-⌫--|----⌫|--|--|--|-------|--------|
Pello Francontorne t son co nsïer	----|------|-----⌫|--|--⌫-----|
Abat desf aitPapeletpergaber	---|----⌫--|------|--|----|
Kan tu o sl ai ssastrag in arcellautre r	---⌫|-⌫-⌫|-⌫--⌫---|----⌫--⌫-|---|-----⌫|
Erentsosuos	----|--|--|
talu IIc entcauailler	--|-⌫-|-⌫--|--------|
Ki tuitm ontaue nt	-|---|-⌫------⌫-|
peruostremessager	--|-----|-------|
Hui nonauesnis uns olconpagner	--|--|---|--|-|-⌫-|--------|
Ees gran s de ls daita l gonfan oner	|-|----⌫|--⌫-||----⌫|------⌫---|
Ki lo matinpocmandarunm iller	-|-|----|--|-----|-|-⌫----|
dinonm aiss on	-|--|-⌫--|-⌫-|
Traitso ngant des tre eaFranconprofer	----|--⌫|---|---⌫--|||------|-----|
Menbrant uo s	-------|--⌫|
doig sorbre	---|-----|
laig ue deCler	|---⌫-|-|---|
aute esuntgrantl i	---||---|----|-⌫|
Elp ans eluinselachars	-|-⌫--|-|---||-|----|
Ea to i or sIucentest ager	||-|-⌫--⌫|-|---|---⌫---|
Tuitbonsper	---|---|--|
gu erreedar me spresente r	--⌫---||---⌫--⌫|--------⌫|
uos po r tas co nge mai scilensontsorbrer	--|--⌫-⌫--|--⌫--|---⌫|--|-|---|------|
coches s e fancont ardoble r	-----|-⌫|--|----⌫-|-----⌫|
C entperdos cens semetent	-⌫--|--|--|---|-|-----|
Epar laru e sont	|--|-|--⌫|---|
biendez milea rcer	---|--|---|-⌫---|
Kiserue ntausde boiureede	-|-----⌫-|--|-|-----||-|
E p erlar ber ge lonclariuedemer	|-⌫-||--⌫---⌫-|---|-|---|-|--|
arief ormentnidestorber.	---|-⌫-----|-|---------|
Laitu n tmil	--|--⌫-⌫|--|
braine s e lai	------⌫||--|
Ecent gorrin trestuitsaluageefer	|---|-----|-------|------||--|
Emilpolanqui t uitserantcorser	|--|----|--|-⌫--|-----|-----|
Lai sesolient ana r	--|-|------|---⌫|
miso ldader	-|--⌫-----|
Totuosodon	--|--||--|
quitesans encombr er	----|---|-------⌫-|
Ket ant seruis em auesfa it	-|-⌫--|------⌫||---|--⌫-|
bo netcer.	--⌫|-|---|
—Seigner dis Fr anq ue	|------|--|--⌫---⌫-|
ia m ais oncenonquer	--⌫-⌫--|---|--|---|
Nid alt reaue ir uaill a nt I soldener	-||---⌫-|---⌫-|-----⌫-⌫-||--|----|
Maissolm on co rs e	---|--|-⌫-|--⌫-||
a rmesede strer	-⌫---||--⌫----|
Kobediruue i llanorde	|-----|---⌫-⌫||---|-|
mon mester.	--|------|
L a besl euet	|-⌫--|-⌫---|
d eg en oisenlonbre[r]	-⌫|-⌫--⌫--|-||-------|
Epres l od on	|---|-⌫|-⌫-|
elogant abaurmer.	|-|---|-|--|---|
Franc ondemande pernondebobancer .	-----⌫-|------|--|--|-|--------⌫|
Ced isM auri n Uimas	-|-⌫-|-⌫----⌫|----|
Perlos os tau ssi comesconp aigne r.	--|--|--⌫---⌫|-|--|-|----⌫-----⌫-|
pars laichanten tciliogler	---|--|-------⌫|--|-----|
... di s pe. ..abler.	--|--⌫|-|-⌫-|-----|
. ..delai traslaibruit	-⌫-|-|---⌫---|--|----|
abaratrer.	|--------|
...los dis nia io cfementer	--|--|--||||--⌫|-------|
Tantestreit nissent n icoignutlodesrer	---|------||-----|-⌫|------|-|-----|
Fr aisremasen tlipriuatcons ei ller.	--⌫--|-------⌫|-|-----|----⌫--⌫----|
Eluerdi ̈e r sosu n	-|-----⌫--⌫|--|-⌫|
auliu foillut	----|------|
Parlet Mauri nse so ntabluisoi	-----|-----⌫-||--⌫-|-|--|--|
Seigner dise l	------|--|-⌫|
ben n oses	--|-⌫-|-|
lo rei ue ncu t	-|--|--⌫---⌫|
E gra ntauoirco brateretengut	|---⌫-|----|--⌫---||-------|
Katosiors iermesXXX	||--|---|-----|--|
mileaescut.	---||-----|
Er cauali ema Tubiea s au but	-|------⌫-||----||-⌫--⌫--|
Ans q uelicomte si ent a perchob ut	--|-⌫-|-|----|--⌫--|-⌫-------⌫-|
Podemau eir	----|--⌫--|
uIIIiors si egetengut.	---|---|--⌫--|------|
Com maurias	--||-----|
onrate er o but	----||--⌫-⌫--|
f ortiagut .	-⌫--|-----⌫|
tenrientligrant eli menut	-------|-|----||-|----|
Meipe r puiat e	--|--⌫|----||
l uiper descen dut.	-⌫-|--|------⌫---|
E s eufastantque ens a ter re	||-|--|---|--|-|-⌫|---⌫-|
Laiuenra nttuit	--|-----⌫-|---|
miuenad or barbut	-|-----⌫-|-----|
P erlaforest e scoltareimon	-⌫-|-|-----|-⌫--------|--|
mamortseradi tecr egut.	-|---|---|--⌫||--⌫----|
Kanta Tubi eaurai	---||----⌫|----|
montrapt endut	--|---|-⌫----|
Tuitli repair emi serants e ns rendut	---|-|------⌫|-|-----|-⌫-⌫-|-----|
SiFauc auie M ont roseFeragu t	-|---|---|-⌫---⌫--||------⌫|
Grantpartauri e d elregne conquesut.	----|---|----⌫|-⌫-|----|---------|
P erunbastartdaltreterre u engut	-⌫-|-|------||----|----|-⌫----|
C u idaren t estretuit enpas rema s ut	-⌫-⌫------⌫|----|---|-|--|----⌫-⌫-|
Epersalancequenonantatendut	|--|-|----|--|--|--|------|
Nos lo sdotem maisnon oantua lgut	--|--⌫|----|---|--||--|--⌫---|
auemloLan sper	---|-|---⌫|--|
e lsperdut.	-⌫-|------|
Anceis uerramlo rei si co nf ondut	-----|-----|-|--|-|--⌫--⌫----|
terredunfut.	----|--|---|
T als untparlu i	-⌫-|-⌫--|--|--⌫|
enorgue ile ncregut	-|-----⌫-|-⌫------|
Kip armesmainsen	-|-⌫-|--|----|-|
seron ttuitpendut.	-----⌫|---|------|
Aiquelco nsseilantbientuitenten dut	-----|--⌫-----|--|---|---|-----⌫--|
A uquantlolauden teauquantnestant	-⌫-----|-|------⌫||------||-----|
Mai staus lautriecui seracar uendut .	---⌫|---||-----|--|---|--|------⌫|
Segue nt relui p arletsosfils	-----⌫--⌫-|--|-⌫----|--|---|
Leuet enpez e ten cpleia s se s gans	----|-|--||---⌫|-----⌫|--⌫|---|
Aiquesconsels es proece	-----|------|-|-----|
Ees coragesconques no n	|-|------||-----|--⌫|
fotantg rans	-|---|-⌫---|
ben sap queiag re to s	--|--|--||--⌫-|--⌫|
perdesm ilcaualsalferrans	-----|-⌫-|-----|--------|
Pertot aiçon on	--|--|----|-⌫-|
lai ss a r quen ians	---⌫--⌫-⌫|--|||--|
Kar retraiter	--|------|-|
dui cest io ren	|-|---|--⌫|-|
AlreiAig arte	-|--|---⌫--||
a soseritans	|--|------|
Ke l coms Ma urinspo sf u uilseferr ans	--⌫|---|--⌫----|--⌫|-⌫|---||----⌫--|
Iacsorbrelu ie t int	--|-----|--⌫||-⌫--|
Tuas tos tensguerroiat abengans	-|-|--|---|--------|-|-----|
Efaisencontr eseassausp erillans	|---|-------⌫-||-----|-⌫-------|
M ais ca ualiaires fostanse t gue rrians	-⌫--|--⌫--------|--|---|-⌫|---⌫-----|
K enquer enes u ers t ossensredoltans	|-----|-|-|-⌫--|-⌫-|---|--------|
Edeisbenessrerycbardaichien ans	|---|--|----|--|--||----|--⌫--|
Ke faces oste	-|----|--||
que siugues los man s	--|------|--|---⌫|
E pospausardepaines e dafans.	|--|-----|-|-----|||-----|
homese nebos e enfans	----||----||-----|
Si aTubieposesse r	-||----|--|----⌫|
Kessetiorna dechaiesuergersdauans	|-|--|-----⌫-|---|-|------|-----|
R eisenerFauquesoeutos fils Bertrans	-⌫--|-|-|------||-|--|---|-------|
Elopl us fra ns ner	|-|--⌫-|---⌫-||-|
irasepesans	---||-----|
E l oreiame spertot mira uillans	|-⌫|------⌫|--|--|----⌫------|
E quantor es	|----|--⌫-|
quet rametrasosman s	--|-⌫------|--|---⌫|
Per ai ostar	--|--⌫----|
los Ingleis absNormans	--|------|--|------|
E tutento rnesa Peride	|-||-|--⌫---||-----|
Garnissemnos d e	--------|--|-⌫|
faisetde sanb lans	---|-|-|----⌫---|
sa f orcenossor	-|-⌫---|--|--|
Keelnossegue	-|-|--|----|
ia plus iennondemans	-|---|--|--|-----|
S eldebatailleIIiorsi est	|-|-|-------|-|---||--|
Aiquels conse lsnonser a maista rdans	------|-----⌫-|--|---⌫|---|--⌫----|
Siolconsentl o Baiuers	-|-|------|-⌫|------|
Seguentreparl eRe nelmes	--------|----⌫|--⌫-----|
Maurinsacdittotaiçoq ue mils	------|-|--|--|----|-⌫-|---|
T ropbonconseilsitropgreunon f u pre s.	-⌫--|--|------|-|---|---|--|-⌫|---⌫-|
Anui testamas ostaus	----⌫|----|-|-----|
d esborzeis	-⌫-|------|
matincom entlig raisleespes	----|---⌫--|-|-⌫-----|----|
Eportle[n]se gneAlerantlimarces	|---||------⌫--|------|-|-----|
sientCmessage trames	----||------|-----|
(Elomatincornentli grais le espes	-|-|----|------|-|-----⌫-|----|
le[ n]segneAleran s	|--⌫------|------⌫|
lima r ques	-|--⌫-⌫---|
s ientCm essage tra mes)	-⌫---||-⌫-----|---⌫---|
Per aiostarlas nausdaiquest paies	--|------|--|---||------|----|
EpassentG uir asporsdeMarm on es	|------|-⌫--|-|---|-|----⌫--⌫-|
Earm emn oses prasdelcanp Gresles.	|---⌫-|-⌫-|-|---|--|---|-------|
Aiquiparescequibons	----|------|--|---|
ca uaillers es	--⌫-------|-|
Faceentresain s as	---|---------⌫|-|
dra ssarazines	---⌫|--------|
E corbretures egonfanonsd	|----------||--------||
Kebonsuassausasosa rm e s par es	-|---|------||--|-⌫--⌫-⌫|---⌫-|
E por t cascunsdoes lancesu trei s	|---⌫|------|---|-----||----⌫|
KeIu iorsdurer al itorneis.	-|-|---|-----⌫|-⌫|-------|
Droita Tubienos engu itlo	----||----|--|-|--⌫-|-|
Deso slepor t Garinlo Lan done s	----⌫|-|---⌫|----|-|---⌫----⌫|
S i estloreissie	||--|-|---|--|
tant fo r t	---|--⌫-⌫|
Keneliuaillent ni No rmant niEngl es	-|-|-|-------|-|--⌫----|-|----⌫-|
Keper lapo rte	-|--|-|--⌫--|
intremmai sb enli pe s.	-----|---⌫|-⌫-|-|--⌫-|
Pos herbreie m	--|--------⌫|
esuergersGodafre s	-|------|-------⌫|
mur elualat eldefeis	--|-|----|-|-----|
Ee s temlai Xu iorsuun	|-⌫-⌫--|--|-|---||-|
Equantuirantque	|----|-----|--|
sera ntsorbre pres	----⌫-|------⌫---|
SimanderantlosIriansels Gales	-|--------|--|-----|--|----|
Pernosconbatreque iras	--|--|-------|--|---|
de iauconbatonsnosab eis	-|--|--------|--|-|--|
Ke sansbataillen on	-|---|-------|-⌫-|
uirameco nque s.	-----|--⌫----⌫-|
Seguen tre parle A scelinesliFris	------⌫--|----|-⌫-------|-|---|
Lacaire acb runee acperclarlouis	-|----|-|-⌫---||-|------|-|--|
Grans per e spaules	----|--|-⌫------|
e perra nge	|--|--⌫--|
E acuestitunb lia ut de samis	|-|-----|-|-⌫---⌫-|-|----|
Efun calchasestreit dunp a ilebis	|--|------|------||-|-⌫-⌫--|--|
Eafublasdunti rete	|------||-|--⌫--||
Bon conse ildon eMaurins	--|-----⌫-|---⌫|------|
locomsmarcis	-|---|-----|
Seleseguese i anon	-|-|-----||-⌫|--|
s en p artis	|-|-⌫----|
Mouemdechaiansqu e siemidis	----|-|---|--|--⌫|--|----|
Po scaualcem aT ubie lacis.	--⌫|-------||-⌫---|-|---|
E l tor neissie f or seferseescis	-⌫|---⌫---|--|-⌫--⌫||---||----|
Eaem praspern osesorbrequis.	|---⌫---|--|-⌫-||----------|
Posar breiamalmostersa nEudis	--|--⌫-----|-|-----|--⌫|----|
laienostso rbr el sse tdis	--|-|--|--⌫--|--⌫|--⌫|--|
Deu spuisdepe rde nos	---⌫|---|-|--⌫--|--|
Delre tornar suimol tuo lentadis	--|--⌫-----|--|---⌫|--⌫-------|
r eisesri x	-⌫--|-|--⌫|
homn ominatis	--|-⌫-------|
Ecobra ralag ens	|-----⌫-|-|-⌫--|
deson païs	-|--|----|
E no npoc e ssrequelreis	|--⌫|--|-⌫---|---|---|
iasieassis	-|--|----|
Ans dunostausia for tlaespris	--||-|----|--|---⌫|-|-----|
Erel toste m p suerg oign a se	-|-|--|--⌫-⌫-⌫|----⌫----⌫-⌫||
Diient li autreAs celinbieno	-----|-|----|--⌫----|---||
Seguen trelui	------⌫--|--|
parlet lab esB erar s	-----||--⌫-|-⌫----⌫|
D is so nt a lant con	-⌫-|--⌫|-⌫-⌫---|--|
con g aillars	--|-⌫------|
Ca ualiarposMauri nsmais non o tars	--⌫-----|--|-----⌫-|---|--||---|
Kelasosso ntpartiesperCpars	-|--|-|--⌫-|------|--||---|
Manes tausgeldessi pros ies niausars	----|---|-----|-|---|--|-|-----|
remaignearsn i lanc e	-------|--|-⌫|----⌫|
Kelrei sestosfel	--|---⌫|-|--|--|
er os ega ignars	|-⌫-||--⌫-----|
guerriargransp ar s	-------|----|-⌫--⌫|
S el sert retrais	|-||--|------|
desci aic esLon ba rs	----|---⌫-|---⌫--⌫-|
Kemais afo rce	-|---||--⌫--|
n oncaces ensosi a rs	-⌫-|----|-|--|-⌫-⌫-|
