un e ma nieredes	--⌫|--⌫----|--|
quauch eu alie r tantmezauin t	-|-|--⌫--⌫----⌫|---|-------⌫|
quildist c e	-|-|---|-⌫|
qu e celerd euoit	--⌫|----|-⌫----|
deffenduliauoit	-------|-|----|
etparcestexemple doi ton	-|--|---|------|---⌫|-|
s amo rce lerpar	|---⌫|--⌫--|--|
t ou s iorsen ramembrance	-⌫--⌫|---|-|----------|
quelid escouurirpointnauance	--|-|-⌫--------|----||-----|
m ez licel ers en	-⌫-|-|---⌫--|-|
tousp oi n tuaut	---|-⌫--⌫-⌫|---|
dezf ausfelonse nqu ereors	--|-⌫--|-----|-⌫---⌫-----|
qui e nquier ent	--|-⌫------⌫--|
d autruiamors	|-----|----|
