roi gouern erentl acite	--|------⌫----|-⌫|---|
p r ometite lloier lac h ose	-⌫-⌫---|---⌫|----|-|-⌫-⌫--|
li ten sli	-|---⌫|-|
uoses tessouentlapouer teles	--|--⌫--|-----|-|-----⌫-|--|
granzdespueillesqueuosau rez	----|----------|--|--|--⌫--|
uos doiuentplus	--|------|---|
en no rter quemaparo lege	--⌫--⌫---|--|-|----⌫-|-|
ser aiuost rechies fete s	---⌫-|----⌫-|----|----⌫|
enseignerai ne	----------|-|
mescuer sne	--|----⌫|-|
mescors neuos	--|---|-|--|
degu erpira	----⌫-----|
ge fera iconsele ss eignor sm oi	-|----⌫|-------⌫|-⌫------⌫|-⌫-|
uos neuolez	--|-|----|
mielzestregarcon quedamoisel	----|----|-----|--|-------|
quant c atil inaotissi	----|-⌫----⌫--|-|---|
parle ́cil	-----⌫|--|
qui bien e stoient	--|---|-⌫------|
ental entédemalferelidist rent	-----⌫----|-|--|---|-|----⌫---|
quel lo ierauronsnos et	---|--⌫--|-----|--|-|
quele honorse	----|----|-|
nosmeintenonsen ceste besoig n e	--|---------|-|----|------⌫-⌫|
uiguereusem e ntlor s lor conmenca	-----------⌫-⌫-|---⌫|--|-------|
catilinaapromet re qu eil	-------||------⌫-|--⌫|-|
seroientsenatoret	-------|------|-|
p orteroient tables	-⌫---------|-----|
dorsic o nli	|-|-|-⌫-⌫|-|
sen atorfesoienten senefience que	---⌫---|-------|-|---------|--|
romuluse scrist	------|-⌫-----|
lessenato rs en	--|------⌫-|-|
tablesdo r	-----||-⌫|
q ua nt ilfurentp rimesesleu	-⌫--⌫-|-|-----|-⌫----|----|
promistcati l i na queil	------|----⌫-⌫-⌫-|--|-|
se roientmestre etco m andeo ret	--⌫-----|-----|-|--⌫-⌫-----⌫|-|
prendroienta de street	----------||--⌫---|-|
a senest requanqu elorpler oit	|------⌫-|------⌫|--|----⌫--|
uosueezbie n d ist	--|---|---⌫|-⌫--|
catilin a que pisoest	-------⌫|--|---|--|
esp aigneetpubliussi cius	---⌫----|-|------|--⌫---|
en mauritaine cil	-|---------|--|
conseilli ercil m	---------⌫-|--||
aiderontparto ut et	-------|-----⌫-|-|
forset enz	---|-|--|
g aius a n tonius	-⌫---|-⌫-⌫-----|
doit estre	---|----|
conseles seilleest	-------|-|-|-|--|
ge toutgaaing n ié	-|---|------⌫-⌫--|
cilferaquanquegeuoudr ai	--|---|------|-|-----⌫-|
puiscomenca catil inaaloe run	---|------|-----⌫--||---⌫|-|
tozceusqu i	--|---|--⌫|
esto ientdes asuiteles	----⌫---|-|-⌫|----|--|
autr es prodome s de	----⌫-|-------⌫|-|
romecomenca	---|------|
ablasmeret	|------|-|
re prendrechascundauc unui ce	--⌫------|------||---⌫-|--⌫-|
l endistque	-⌫-|---|--|
quantca tilineot	----|--⌫-----|-|
sa res on fineeeti lu ost	-|---⌫-|----|-|-⌫|-⌫--|
prendre les	------|--|
seremenzde	-------|-|
c h ascuni lotapareillié	-⌫-⌫----|-⌫|-|----------|
domemes léen uinen	|--|---⌫--|-|--|-|
hena set porta toutentor et douna	----⌫|-|----|---|----|-|----|
a boiurea chas cunqueli	|-----||----⌫--|--|-|
uns fustalautre	--|---|||----|
plusfersetplus	---|---|-|---|
loia xetlor e s prime s	----⌫|-|---⌫-⌫|-----⌫|
lor a ourisonplus parfon t	--|-⌫---|--|---|------⌫|
conseilapr esquant	------|---⌫-|----|
furentbien asfermési s ed eparti re n t	-----|---|-------|-|-⌫|-⌫------⌫--⌫-⌫|
quintuscuriusunsnob le s	------|-----|--|---⌫--⌫|
romains fu	------|-|
decel econiuro ison	-|---⌫|-------⌫---|
unshuemplein sde tozuices	--|---|-----⌫|-|--|----|
licensor de	-|-----|-|
rom e l auoient	---⌫||------|
osté dous enatpors on	----|--|-⌫---|--|-⌫-|
mauuescri ha rdiz estoitmes	-----|--|--⌫---|-----|--|
pleins de uani tenene	-----|-|----⌫-|-|-|
sauoit ce lernesoi neautru i	-----|--⌫--|-|--|-|-----⌫|
nelich a loit queildeis t	-|-|--⌫-⌫---|--|-|----⌫|
n e que il	-⌫|--|-|
feis tuneno bledame	----⌫|--|--⌫--|---|
au oitaromefu luia	--⌫--||---|--⌫---|
estoi t ditecelemein ten oitquintus	-----⌫|---|---|----⌫---⌫--|------|
curiu s mes ele	-----⌫|--|--|
li fesoitdangier	-|-----|------|
porcequeil neli	--|-|--|-|-|-|
doner asauolo ntequant	----||-|----⌫--|----|
cestec oniuroisonsfu	----|-⌫----------|-|
confermeequintus	--------|------|
curiusconmen c aa	-----|------⌫-⌫||
prometr ea la	-------⌫||-|
d am eetlesm onzetles	-⌫--⌫|-|--|-⌫--|-|--|
chiefde foizlamane coit	----|-|---|-|----⌫---|
desespee seelen	-||----|-|--||
doutoutobeis s anzalui	--|---|-----⌫-⌫--||--|
derr ien lademenoit	----⌫--|-|-------|
a ssez plu s cr uelme ntque	-⌫---|---⌫|--⌫-----⌫-|--|
sou lo itdontilauintquela	---⌫--⌫-|---|-|----|--|-|
damedes cou ri	---|---⌫---⌫-|
laconi urois on	-|----⌫-----⌫-|
a plusors genztantque	|------|---|------|
lauileenfu	-|---|-|-|
espoenteemes	--------|--|
n esauoi entpaslesn ons des	-⌫|-----⌫--|--|--|-⌫--|--|
c oni urezcar l adam en	-⌫---⌫---|--|-⌫|---⌫||
noumoit pasqueferons	------|--|--|-----|
f er onsdisoit chascuns	-⌫--⌫--|-----|-------|
marcustulliuscy ceronsestoit	-----|------|--⌫-----|-----|
lorsuenu z	---|----⌫|
manoira rome	-----||---|
nauoitp aslonctenset	|----|-⌫-|---|---|-|
porson sensen feistli	--|--|---|-|----|-|
pueples uolentie rsconse l e mes	------|--------⌫-|-----⌫-⌫|--|
li orguel z desauquanz	-|------⌫|--|------|
nel essoi t	-|-⌫-----⌫|
quidisoientque	--|-------|--|
lennedeuo itpas fer e	--|-|----⌫-|--|---⌫|
n eapel era si	-⌫|----⌫-||-|
grantd ignite	----|-⌫-----|
h o menouel et e strangeet	-⌫-⌫-|----|-|-⌫------|-|
lessierl esno bles de	------|-⌫-|--⌫---|-|
lacitem es quantcist	-|---|-⌫-|----|---|
c o uintque l	-⌫-⌫---|--||
enuieetli orguelz cessastcar	----|-|-|------|------|--|
luesque li	------|-|
iorsuintque	---|---|--|
lend euoitles dignitez	--|-⌫----|--|-------|
doner sel onc	----|---⌫--|
cequele nlesr emuoit	-|--|--⌫|--|-⌫-----|
ch ascunanma rcustulliuscycer ons	--⌫----|-|--⌫---|------|-----⌫--|
fucons elescar la citez	-|----⌫---|--|-|----|
a uoitmes tie rde grant	-⌫---|---⌫---⌫|-|----|
conse il en	-----⌫-|-|
te lbes ongne neil nauoit	--⌫|---⌫----|-|-||----|
sis ageh omeen	-|-⌫--|-⌫--|-|
ga iusantoniusfu conseles	--⌫--|-------|-|-------|
auecluicil dont ca tiline	---|--|--|---|--⌫-----|
sestoit uantez que	|-----|-----|--|
i lfe roi tasontalent	-⌫|--⌫---⌫||--|-----|
etpenssoitcatiline	-|-------|-------|
ilpooitfereen aucune	-|----|---|-|-----|
guisequemarcustullius	----|--|-----|------|
cycerons fus t ocisilseroit	-------|---⌫|---|-|-----|
con sele sle napres et	---⌫----⌫||-⌫|----|-|
gaiu santo ni usses con pai nzfero it	----⌫|----⌫--⌫-|--|---⌫---⌫-|----⌫-|
tout sonuoloirme s cy cerons	---|--|-----|--⌫|--⌫-----|
engarda sagementcarluesqueil	-|----|-------|--|------|-|
fuco nseles	-|--⌫-----|
ilparl a priuement	-|----⌫|--------|
acele damequequ intus	|---|---|--|--⌫----|
curius meint enoi tquiprimes	-----|-----⌫----⌫|--|-----|
auoitdesc ouertecele	----|----⌫-----|---|
coniu roison	-----⌫-----|
e tlidonaet prom ist	-⌫|-|---|-|----⌫--|
tantque qui ntuscurius	---|--|---⌫---|-----|
me ismesli	--⌫----|-|
de scour oittoz lesconselz	--⌫-----⌫--|--|--|------|
c at i l ineet ordenacyceronsque	-⌫--⌫-⌫-⌫--|-|-----|-------|--|
gai usantonius	---⌫-|-------|
ses compainz	--|-------|
iroit es prouinces et	----|-|--------|-|
contreesforsderomeet il	-------|---|-|---|-|-|
remand roitporconse illie rlecoumun	------⌫---|--|-----⌫-----⌫|-|-----|
car ilneuoloitpasqu e	--|-|-|-----|--|--⌫|
se sconpain z	--⌫|-------⌫|
gre u ast aucoum u nne	---⌫-⌫--|-|----⌫-⌫|-|
que ilfusten laf orce	--|-|---|-|-|-⌫---|
en l ai de catilineettenoitcyce rons	-||--⌫-|-------|-|-----|----⌫---|
amisetse rianz e nt o r soi	---|-|--⌫----|-⌫--⌫-⌫|--|
quigar doient enrepost	--|---⌫-----|-|-----|
couuert ementqueli	-------⌫----|--|-|
coniuré ne s en perc eus sen t	-------|-||-|----⌫---⌫---⌫|
lo rsfu catili neen	--⌫-|-|------⌫-|-|
engoisseenu oia	-------|---⌫--|
forsde rome	---|-|---|
enplu sors leu s	-|---⌫---|---⌫|
des esc on paignons	-|-⌫-|-⌫--⌫-------|
por assembler	--|--------|
ge nzaarme s menliusala	--⌫-||----⌫|------|--|
afesse les gaius iulius e n	|-----⌫--|----|-----|-⌫|
li autreendiu ers	-|----|-|---⌫--|
leusoucatilinecuidoitque	---|-|-------|------|--|
c hascu nsfe i st	-⌫-----⌫-|--⌫-⌫-|
p reucati l ineremesta rome	-⌫--|----⌫-⌫--|-----||---|
quigaitoitc iceronport oit	--|------|-⌫-----|----⌫--|
dart etespee genz armees	---|-|----|---|-----|
leus esgardoit	---|--------|
il porroitla uilear doir	-|------|-|---|--⌫---|
semonoitl esunsetles	-------|-⌫-|--|-|--|
autresamal fairea	-----||--|----||
a ue illier ch ascune nui t	|--⌫-----|--⌫-----|---⌫|
unsoir assenbla	-|---|-------|
leccaparlecou mandeme nt	----|--|-|---⌫-------⌫-|
tozles plus mestres	--|--|---|------|
desaconpa ingnie	-|-|-----⌫-----|
cati lin eseignorstrop	----⌫---⌫|-------|---|
est es pereceusge ai	---⌫-|-------|-|-|
enuo ie znosconpaig n onspor genz	----⌫--⌫|--|-------⌫-⌫--|--|---|
assembl erend iuersle us ge	-------⌫-|-|-⌫----|--⌫-|-|
uoloie a lerapresenlostmes	-----|-⌫--|----|-||--|--|
ienat enque l a	-||--⌫-|--|-⌫|
cycero n carnostrebesoingnene	------⌫|--|-----|--------|-|
puetestreacheue etantcome il	---|----|------⌫|---|---|-|
uiuesesen gins de piecequanque nos fesons	---|--|--⌫---|--⌫----|------|--|-----|
queque liun estoient espoenté	-----|-|-|-------|--------|
acesparolesetli	|--|------|-|-|
dou toi ent cornilles uns cheualie rsro mai nsetluciu s	---⌫---⌫--|--------|--|--------⌫-|--⌫---⌫-|-|-----⌫|
se nat ors	--⌫---⌫--|
crean tere nt i luecquei l iroi ent	-----⌫----⌫-|-⌫---|--|-⌫|----⌫--|
celenuitmeismesa lameson	---|---|------||-|----|
cyceronsco meporsalue r	-------|--⌫-|--|-----⌫|
ueo irleetauroient h omesarmez	---⌫-|-|-|-------|-⌫---|----|
a pa re illiezqu itantostlocirroient	-⌫--⌫--⌫-----|--⌫|------||---------|
mesquintuscu rius a cui	--|------|--⌫---||--|
cicerons auoitdoné et promisbiax	-------|----|----|-|-----|---|
donslifist lue scestechose	---|-|---|---⌫|----|----|
sauoir fului a celeq ue	-----|-----⌫|---|-⌫-|
qu intuscu riusmeinte noiti ala	--⌫----|--⌫---|------⌫---||--|
tot coiementetgarnile	--|-------|-|----|-|
conselesiqueses po rtesf urent	------|-|--|--|--⌫---|-⌫----|
fermesto tenuitne	-----|--⌫-|---|-|
poren t onquesantr erpornuleachoi so n	-----⌫|-----|----⌫-|--|---|-----⌫--⌫|
oc c irreleuo loient	--⌫-⌫---|-|--⌫-----|
etca tilinedou	-|--⌫-----|--|
forsener et	-------|-|
desconmou oirhomes	|--------⌫--|----|
necessoitcar	-|------|--|
famesmeism e scuidoit il meintechose	----|-----⌫-⌫|------|-|-----|----|
ache uersicome ardoir	----⌫--|-|---|-----|
lauile atrereserianzaconpaignier	-|---|-----|------|-----------|
as o i lor marizouocc irreles	|-⌫-⌫|--|----|-|---⌫---|--|
decesfamesiauo itassezqui	-|--|----||---⌫-|----|--|
a uoi entaunégrantauoirpar	-⌫---⌫--|----|----|----|--|
gaai n gdel o rscors etauoient	----⌫-⌫|-|-⌫-⌫-|---|-|------|
longuementestéenluxu reet	---------|----|-|----⌫-|-|
ga steeia uoientlorio uenteles	--⌫---||-⌫-----|--|--⌫----|--|
senpro niaestoitunede	------⌫--|-----|--|-|
celes fa medegrantlign age	----|--⌫-|-|----|----⌫--|
et demerueill euse biaute et	-|-|--------⌫---|-----|-|
auoitestéauantureuse d eb oen	----|----|----------|-⌫|-⌫--|
biaxanfa nzele	---|----⌫-|--|
sauoitg reuet latinchanter	-----|-⌫--|-|----|------|
bal erioerentout esles	---⌫-|---|-|----⌫-|--|
m an ie resqui	-⌫--⌫--⌫--|--|
puentlux ure auiuer	----|---⌫--|-----|
te xchoses amoit e l emielzque	--⌫|-----|----|-⌫-⌫|----|--|
ho nornech astee ne quebon e	--⌫--|-|--⌫----|-|--|---⌫|
re nomee e leestoitsia rdanz	--⌫----|-⌫-|-----|-|-⌫----|
queelerequeroi tp lu ssouant	--|--|--------⌫|-⌫--⌫|-----|
les ho mesquelih omelui	--|--⌫--|--|-|-⌫--|--|
demeinte sch oses sestoitentre mise	-|------⌫|--⌫---||-----|-----⌫---|
que huemosastapa inefe re	--|---|----||--⌫--|--⌫-|
souent a uoitsafoim entie	-----|-⌫---|-|--|-⌫----|
d e te shomicide s conse ntiz trebuchi é	-⌫-⌫--⌫|--------⌫|-----⌫---|--------⌫-|
enluxureeten po uerte	-|-----|-|-|--⌫----|
ele sa u oi tfer eet	--|--⌫-⌫--⌫|---⌫|-|
mouoir geus parlercome	-----|---|-----|---|
comepucelec ome pute	---|-----|-⌫--|---|
to teslec heriesde mener ceste	--⌫--|---⌫-----|--⌫----|----|
au t resmalesfamesetl arrons	--⌫-⌫--|----|----|-|-⌫-----|
et rob eors auoitcatiline en	-|---⌫---|----|-------|-|
saconiur oi son	-|------⌫--⌫--|
manliu sque i l au oitenuoi é	------⌫|--|-⌫|--⌫--|-----⌫-|
a fesselespor	|-------|--|
ge nta ssembleramas soit	--⌫-|-⌫-------|----⌫---|
a grantpooiret robeorset	|----|----|-|------|-|
larrons etautresmalesgenz s ique	------|-|-----|----|---|-⌫|--|
cyc eronsquantiloi	---⌫----|----|-|-|
lanoue l e	-|----⌫-⌫|
seso ta paineconseilliercar	-|--⌫||----|----------|--|
lesagaizdela cite	--|----|-|-|---|
ne nesauoit congrant	-|-|-----|--|----|
ostzmanlius	---|------|
auoi tdefo rset	----⌫|----⌫-|-|
quecatiline	--|-------|
troubloittote lauiletantque	--------|---|-|---|------|
il assemblalessenators etlor	-|-------|--|-------|-|--|
dis tlachosesiconlen	---⌫|-|----|-|--|--|
laloitdisa nt	|----|----⌫-|
uileen plusors leus lors	---|-|------|---|---|
lisenatorquelic onsele se	-|------|--|-|-⌫-----|-|
porueissent entel	----------|-|--|
manie reque li	-----⌫-|--|-|
alast amal	----||--|
etdonerent cong ieq ue lena pare illa st	-|-------|----⌫-|-⌫-|--|-⌫----⌫----⌫-|
cheualie rsarmezserianzet	--------⌫-|----|------|-|
autresgar niss emen zpor lacite	-----|---⌫----⌫----⌫|--|-|---|
garan ti r carliconselen	-----⌫--⌫|--|-|------||
osoient pas asse nblerostz	------|--|----⌫----|---|
iugemenzsan zle congiedousenat	-------|---⌫|-|-----|--|----|
un petitapr esl uc esun ssenators	-|----|---⌫-|-⌫--⌫-|--⌫|-------|
de rome lutunesletresou	-|---|--|---|-----|-|
s enat quifurentaporteesa	-⌫---|--|-----|-------||
romeetdisoie nt lesletresque	---|-|------⌫-|--|-----|--|
man liu sauoit	---⌫---⌫|----|
prisar m eso	---|--⌫-⌫-||
gra ntmultitudede	---⌫-|--------|-|
gent yyiors	---|-|---|
deuan tleskalendesd en ouenbre	-----⌫|--|-------|-⌫|-⌫------|
diso ient quelen	----⌫---|--|--|
repo rtoitarmeseten	----⌫----|----|-|-|
et en autres	-|-|-----|
leus contrela	---|-----|-|
costumequi	------|--|
lorse stoitcar	---|-⌫----|--|
nusne deuoitport er	--|-|-----|----⌫-|
lecongie dou senatlors	-|-----|--|----|---|
fur ent enuoié par lecomande mentdou	---⌫--|------|--|-|-------⌫---|--|
senatquin tusmar c iusrexa	----|----⌫--|---⌫-⌫--|--||
fessele celepartoumanlius	------|---|---|-|------|
estoita lezde par	-----|-⌫--|-|--|
q uint us creticus enpuil lequintus	-⌫----⌫-|-------|-|----⌫-|------|
pomp eiusrufusacapes e t	----⌫---|----||----|-⌫|
metellus celer enchamppicei n	-------|----|-|----|-----⌫|
cist duiestoientpretorautre	---|--|-------|-----|----|
furent enu oie ́enautresleus	-----|---⌫---⌫|-|-----|---|
etlor fucomandéque	-|--|-|-------|--|
cha s cuns feistsi con m estie rs estoit	---⌫-⌫---|----|-|--|-⌫-----⌫-|-----|
a cel besoing apresiuiali	|--|------|----|---|-|
senazquecilauroitloierqui	----|--|--|-----|----|--|
deco niurois on	-|--⌫-------⌫-|
diroi t ueriteet ens ei gneroit ceus	-----⌫|-----|-|---⌫--⌫------|---|
estoientdou conp lot liser s	-------|--|----⌫--|-|---⌫|
seroitfra nchizlicopables	-----|---⌫----|-|-------|
seroitquitescla m eze t	-----|-----|---⌫-⌫-|-⌫|
lordonr oitlen autr es dons	--|----⌫--|--|----⌫-|---|
co manda lisenazque	--⌫----|-|----|--|
gaitieedei oretdenuitet	------|-|-⌫-|-|-|---|-|
mesniee a s espees	------|-⌫|-----|
fussentenuoiees a cap es	------|-------||---⌫-|
forterecesporg ar der tote la ioie	---------|--|-⌫--⌫--|---|-|---|
de la cite estoit tornee en	-|-|---|-----|-----|-|
t rist ece	-⌫----⌫--|
lo rs uintl u ci uspauluss i	--⌫-|---|-⌫-⌫--⌫-|-----|-⌫|
s emons t cat ilinede par le	-⌫-----⌫|---⌫----|-|--|-|
senat queil seu enistpurgier	----|--|-|-|-⌫----|------|
car len lauoitensosp econ	--|--||----|-|----⌫---|
d ecel econiu roisoncat iline	-⌫|---⌫|-----⌫-----|---⌫----|
uintetfistunechie r e	---|-|---|--|----⌫-⌫|
comes eleneust tencié	---|-⌫|--|---|------|
aluilorsseleua	|--|---|-|---|
cycero nsquiu npo do utoit	------⌫-|--|-⌫|-|--⌫----|
ca t ilineet	--⌫-⌫----|-|
quicorrouciezestoit	--|---------|-----|
porcequelicou muns	--|-|--|-|---⌫---|
estoitenperil etparl a sibien	-----|-|----|-|----⌫|-|---|
cyceronsporle p reu	-------|--|-|-⌫--|
dou c oum unque	--|-⌫---⌫-|--|
totse n merueilleren tetcele p arolemist	--||-⌫|------------⌫|-|---|-⌫----|---|
il puis ene sc rit	-|---|-|-⌫--⌫--|
qu antcy ceronsot	--⌫--|--⌫-----|-|
s a sist catiline quibiensauoit	|-⌫---|-------|--|---|-----|
feindretotes	------|----|
ch osesti nt	--⌫---|--⌫-|
le chiefe ncline t proia	-|----|-⌫----|-⌫|----|
deb ona iremen tle senat qu e	---⌫---⌫------⌫|-|----|--⌫|
ilnecreiss sentfole ment mauue ses	-|-|------⌫---|----⌫---|-----⌫--|
paroles d e lui caril	------|-⌫|--|--|-|
estétoziors enesperancede	----|--|---|-|--------|-|
bi en deslorsqu il estoi t	--⌫-|--|---|-|-|-----⌫|
nes es lignages neli	-|-⌫-|-------|-|-|
pas q ueil	--|-⌫-|-|
m esp r eistrien	-⌫---⌫-⌫---|---|
coum un nesenbloit	----⌫-|-|-------|
pasueritabe lec hose que il beast	--|--------⌫-|-⌫---|--|-|----|
a de struire	|--⌫------|
ceque siparentauoie nt	-|--|-|-----|-----⌫-|
essauciéalor	--------||--|
pooirquipatrice	----|--|------|
auoienteste ́derome biend euo it	------|----⌫|-|---|---|-⌫---⌫-|
garderetam er lec oumun quant	-----|-|--⌫-|-|-⌫----|----|
cyce rons quiestrangeshuen	----⌫---|--|--------|---|
estoit fe soitsemblantdega rder	-----|--⌫---|-------|-|--⌫---|
le autreschos es distcatiline	-|-----|----⌫-|---|-------|
quifu rentco ntre c yce ronmes	--|--⌫---|--⌫---|-⌫---⌫--|--|
q uantlen oiqueil	-⌫---|--|-|--|-|
blasmoit le	-------|-|
c ons e le quipreudom estoit	-⌫---⌫-⌫-|--|------|-----|
tuitse scrie re ntet	---||-⌫-----⌫--⌫-|-|
coumence renta apel ercatilineanemi	--------⌫---||----⌫-|-------|----|
dou coumun et	--|-----|-|
parri cide ce	-----⌫---|-|
estquisonper e ocitet	--|--|--|---⌫|---|-|
catilineaco rrocier mi anemidist	-------||--⌫------|-|----|---|
i lm ec orent	-⌫|-⌫|-⌫----|
es teindraimonmautalentetlor	--⌫-------|--|--------|-|--|
trebuchem entl orsse	---------⌫--|-⌫--|-|
pa rtide lacortet	--⌫--|-|-|---|-|
senalaa sonos tel	|-|--||--|--⌫--|
quant iluit	----|-|--|
quegai toit	--|---⌫---|
sila ui lequeilne la	-|-|--⌫-|--|-|-|-|
pooitardoir nene	----|-----|-|-|
c ons eleocirr e ilsen	-⌫---⌫--|-----⌫|-||-|
nuitderome	---|-|---|
os tqu e manl ius	--⌫|--⌫|----⌫--|
auoitapa reillieepou	----|---⌫-------|--|
decon p a i gn onslesuiuirentcete gus	-|---⌫-⌫-⌫-⌫--⌫--|-|--------|----⌫--|
e t lent uluse t	-⌫|----⌫---|-⌫|
rem estr ente nrom e	---⌫----⌫--|-⌫|---⌫|
coumandem ent catilinequ i lor dist	---------⌫--|-------|--⌫|--|---|
penssezdou bien fere	------|--|---|---|
reuendreauo sco ntrele	-------||--⌫|--⌫---|-|
o tan tdegentco nge	|---⌫|-|---|--⌫|-|
porrai auoi ret uos	-----|----⌫|-|--|
soiez apareillie ́	----|----------⌫|
demetrele feu enla	-|----|-|--|-|-|
uile etd ocirrecyc eronetles	---|-||-----|---⌫---|-|--|
a u tres adestre	-⌫-⌫---||-----|
etasenestre	-||-------|
en treice s	--⌫--|---⌫|
chosesmanl i us	-----|----⌫-⌫-|
e n uoiames s agesafessele s ou	-⌫-⌫---|---⌫-⌫---||-------⌫|-|
qu intu smarciusrex	--⌫----⌫|------|--|
estoitdepar	-----|-|--|
lesenatsico nnosauons	-|----|-|--⌫|--|----|
distet distrentlimess age	---|-|-------|-|----⌫--|
ma nlius uosm andece	--⌫----|--|-⌫---|-|
sachiezdeu oir	------|-|-⌫--|
ilnesicon paigno nnepor tent	-|-|-|---⌫------⌫|-|---⌫---|
armes cont r eromenepo r	----|----⌫-⌫|---|-|--⌫|
an uluimestant seulement	|-⌫---|--|---|--------|
c orsdeffendre	-⌫--|--------|
qui sont essil liéet dechacié	--|---|-----⌫---|-|--------|
par a utruidetesetpar	--|-⌫----|----|-|--|
cruaute de	------|-|
prouoz et de	-----|-|-|
auoientt otperdu neislaseu rte	------|-⌫-|----|---|-|---⌫--|
et lafranchis e d el orscors	-|-|--------⌫|-⌫|-⌫--|---|
nosau onsueu aucunefo iz	--|--⌫--|--|-----|--⌫-|
quelen aq uitoit	--|--|--⌫-----|
lesdetesdou	--|----|--|
menupueple del auoir dou	---|-----|-||----|--|
auonsueuq ue	----|--|-⌫-|
puep lesse depar toit	----⌫--|-|-----⌫---|
par corrozoarmesou pa r	--|-----||----|-|--⌫|
orgueil ouporau oir a ucune	------|-|--|--⌫--|-⌫----|
seignoriem es nosnequerons	--------|-⌫-|--|-|------|
de totce ri e n	-|--|-|--⌫-⌫|
neuolonsq uenos trefra nc hisedeffen dre	-|-----|-⌫-|---⌫--|---⌫--⌫---|------⌫--|
que un sp reudomne	--|--⌫|-⌫-----|-|
pertuolentiers	---|---------|
dusqueau desseurement	-----|-|-----------|
d e lameorterequerons e t	-⌫||--|-|-|--------|-⌫|
toietlesen atq ueu os nos	--|-|-|---⌫-|-⌫-|-⌫-|--|
cons eillieznefe tespas	----⌫------|-|--⌫--|--|
tantnen e menez l a	---|-|-⌫|----|-⌫|
chose aceque	----||-|--|
n oscoui e ngne c ombatreporno stre	-⌫-|----⌫-⌫---|-⌫------|--|--⌫---|
s ancdeffe ndrea cerespondi	-⌫--|-----⌫---||-|-------|
quintus marciusrex seil	------|------|--|-|-|
uoloientrienrequerreaus e nat	-------|---|-------|-|-⌫-⌫--|
m etentles a r mes iuse t	-⌫----|--|-⌫-⌫--|--|-⌫|
augent a rome simplemen t car	-----||---|---------⌫|--|
ladoucors etl ap iti ezdou	-|------|-|-⌫|-⌫---⌫-|--|
senataide toziors au	----|---|--|---|-|
pueple romain ma nliusneli	-----|-----|--⌫----|-|-|
suen nefirent de	---|-|-----|-|
catili nameismesquant	------⌫-|------|----|
oissuz d eromeenuo ioit	-----|-⌫|---|----⌫---|
arrieresasplus	-------|-|---|
lordisoit seig normia nemi	--|-----|----⌫--|-|-⌫---|
montencuséa t or t	|--|------||-⌫--⌫|
etmissus crimesetblasmes	-|--|--|-----|-|------|
etpor ceieme	-|--|-|-|-|
sui aba ndon ezafo rtune a	--|---⌫----⌫-||--⌫----||
ma rsei lle	--⌫----⌫--|
m enuoisenes silnon p as	|-|---|-|--⌫--|--|-⌫-|
po rce queiemesente	--⌫|-|--|-|-|----|
mesne u oi l	--|-|-⌫--⌫|
coumunssoit en	------|---|-|
ba ratepormoi	--⌫---|--|--|
tot iceestoitgui lecar	--|--|-----|---⌫-|--|
quintusca tuluslutune sautres	------|--⌫----|--|---⌫|-----|
letres ou sen a t quecat ilin a	-----|-|---⌫-⌫|--|---⌫----⌫|
l iauo itenuoieese ncestes les dam esdelsiecle	-⌫|---⌫-|-------|-⌫|-----|--|---⌫-|--|-----|
mesilnestpasai nsi	--|-||--|--|--⌫--|
iluoush etetmoi au tresi non miepour	-|---|-⌫-|-|--|--⌫----|--|--|---|
u ostre desertemes	-⌫----|------|--|
ain siplestanostreseignour	---⌫-|----||-----|-------|
damefet mi si re	---|--|-|--⌫-|
trist an de c estehaine	-----⌫-|-|-⌫---|----|
mepoisetropmo rtelment	-|----|---|--⌫-------|
meismementpou r	---------|---⌫|
cesetetnousmeismess auons	-|--|-|---|------|-⌫----|
iluousamer oit seurtouzl escheualiersdelmonde	-|---|----⌫--|---|---|-⌫-|---------|--|----|
seur tout onshorest ille	---|----⌫--|------⌫---|
me ismesmaquit astbie n	--⌫----||-----⌫--|---⌫|
oudousie n	-|--|---⌫|
fil lemes cemaesmeu	---⌫-|--|-|||----|
ueoieen pooir c e u s	----|-|----|-⌫-⌫-⌫|
quinansontpasd igne	--||-|---|--|-⌫---|
etmoigetoitlenarriere	-|--|-----|--|------|
souspeconorte	--------|-|-|
comantgeaureleaurestillema	-----|-|-----|---------|-|
fame quetula	---|--|-|-|
desfendesadieufoieta	--------||---|--|-||
d eio r s apre s	-⌫|--⌫-⌫|----⌫|
cequeces letresfuren t l eues	-|--|--|-----|-----⌫|-⌫---|
catilina senala	-------||-|--|
ostzquem anliusga rdoit	---|--|-⌫-----|--⌫----|
porconmander	--|--------|
etcomeenpere re	-|---|------⌫-|
et a uoitses	-|-⌫---|--|
baniere s et	-------⌫|-|
s es ensaig nes caranc ois au oit	-⌫-|------⌫--|--|---⌫--|--⌫--|
pou demore ́ es chans	--|------⌫|-|----|
de reatinepor	-|------|--|
apereillementd	------------||
armesqu antli senaz oice	----|--⌫--|-|----|-|-|
s iiu gerent	-⌫|--⌫-----|
luesquecatilinaet m anlius	------|-------|-|-⌫-----|
fussent tenu	------|---|
as autresestablir ent	-|-----|--------⌫--|
il dedenz ne	-|-----|-|
guerpis oientle sarmesil	-------⌫----|--⌫|----|-|
