artus li boinsroisdebretag ne	----|-|----|---|-|------⌫-|
aesporon parmilaporte	|------|----|-|----|
de soncasti ellen amené	-|--|-----⌫-||-||----|
etsontlaien sandoie ntré	-|---|-----⌫|----|-⌫----|
hommenefemme	----|-|----|
t r ouuere nt	-⌫-⌫------⌫-|
parlesrues ui lpa s serent	--|--|---||-⌫|--⌫-⌫-----|
etuinrentan doia eslais	-|------|--⌫--||-----|
deuant la portedel	-----|-|----|--|
la p ort e f u	-|-⌫---⌫|-⌫|
mouthaute etlee	---|----|-|--|
otsie stroiteentree	-|-|-⌫------|-----|
quedoihommene doi	--|--|----|-|--|
sansencombrie r nes ansgrant	---|---------⌫|-|-⌫--|----|
n ipooientensambleen trer	||------|-------|--⌫---|
ne doih omme	-|--|-⌫---|
estoitt ou tau ss ifaite	-----|-⌫--⌫|--⌫--⌫|----|
comlarbalestrekiagai te	--||---------|-|----⌫-|
leratquanti l	-|--|----|-⌫|
uientaufourf ait	----|-|-----⌫--|
etlespie est ensonagait	-||----|--|-|--|----|
t r aitet prent	-⌫-⌫--|-|----|
quel le escape lueset	-|--⌫-|-----|---|-|
que nusy adoiss ea la clef	--|--||------⌫||-|---|
ianitoucheratantso uef	-|||-------|---|--⌫--|
ensi do i tr e busiet estoient	---|--⌫|--⌫-⌫-----|-------|
desousl aportela	-----|-⌫|----|-|
por tecour ant	---⌫-|----⌫--|
defie r esmoulueettre ncant	-|---⌫|-------|-|---⌫----|
se riens suscelengien	-|----|--|--|-----|
laported a montdescendoit	-|----||-⌫---|---------|
sestoit priset detr enchiéstous	|-----|---|-|----⌫-------|---|
cuilaport eataingnoit desous	--|-|----⌫|---------|-----|
ettoutenmi adr oit co mpas	-|---|---||--⌫--|--⌫---|
s estoit si estroi s	|-----|-|------⌫|
li trespas	-|------|
c om cou fu stunssentiersbatus	-⌫-|--|--⌫-|--|-------|----|
to utdroitillu ec se stembatus	--⌫-|----|----⌫-||-⌫-|------|
licheualiers	-|---------|
moutsag ement	---|---⌫----|
etmesire yuain s folemen t	-|-|---|-----⌫|-------⌫|
hurte grantaleurea pr i es	----|----|-----|-⌫--⌫-⌫-|
sileui ntatai ngna n tsipr i es	-|-|--⌫-|----⌫----⌫-⌫|-|--⌫-⌫-|
qualar conderri er eletint	-|||--⌫--|-----⌫--⌫|-|---|
etdecoumoutbienliaui nt	-|-|--|---|---|-|---⌫-|
carsilfust zz	--||-|---|-|
poiattendus	--|-------|
tous eust estépourfendus	---|---|----|---------|
auenturene fu st	-------|-|--⌫-|
carsescheuaus marche	--|--|------|-----|
kit enoit laporte	-|-⌫----|-|----|
ensicom dyablesd	---|--|------||
descent la	------|-|
porte etchietaual	----|-|----|---|
sataint lasi e l eetlec heual	|-----|-|--⌫-⌫-⌫|-|-|-⌫----|
derriereet trenchetout	-------|-|------|---|
toucheladieumer chi	-----|-|---|---⌫--|
mon seignouryuain	--|-------|----|
forsquet an t	------|-⌫--⌫|
qu e lesledosliuint ra sant	--⌫|--|-|--|-|---|--⌫---|
si cambesdeus l esesperons	-||--------|-⌫-|-------|
lit r enc haau	-|-⌫-⌫---⌫-|-|
resdes talons	--|--|-----|
etcilcaimout e smaiiés	-|--|--|---|-⌫-------|
quil quida	-|-|----|
est re amort	---⌫-||---|
liescapaentelmani ere	-|-----|-|--|----⌫--|
u netelporteauoitde rr ier e	-⌫-|--|----|----|--⌫--⌫---⌫|
c om celle p ardeua ntestoit	-⌫-|----|-⌫-|----⌫-|-----|
licheualierskisenfui oit	-|---------|-||-|---⌫--|
parcelle port esen	--|----|----⌫||-|
porteapri esluica i	----|----⌫-|--|--⌫|
ensimesireyuainsf upr ins	---|-|---|-----|-⌫|--⌫--|
mo ut ang ou seuseten tr epris	--⌫-|---⌫--⌫---|-|--⌫--⌫----|
rem est dede nsla salee nclos	---⌫--|----⌫-|-|---|-⌫----|
que toute est oitcouuerte aclos	--|----|---⌫--|-------||---|
doréset painteslesmasiere s	-----|-|------|--|-------⌫|
de boin e oeuredec oule u rs chieres	-|----⌫|----|-|-⌫----⌫-⌫-|------|
maisder i ens	---|-|-⌫-⌫--|
duel nauoit	---||----|
comde ch ouqueilnesauo it	--|-|--⌫-|--|-|-|----⌫-|
quelpa rtcil en est oi talés	---|--⌫-|--|-|---⌫--⌫|----|
dunecambreenkideles	|--|-----|---|----|
zzhuisestroi t	-|---|------⌫|
estoitettel d e stroit	-----|-|--|-⌫-⌫-----|
une damoisiele	--|---------|
q ui m o utiertauen ans	-⌫-|-⌫-⌫-|---|----⌫--|
et l uisa pr ieslirefrema	-||--|-⌫--⌫--|-|------|
quantmonseignouryuain	----|--|-------|----|
sisesmaiamoutdu premier	-||-----|---|-|------|
ciertesfait e lleche ualiers	------|---|-⌫--|---⌫------|
mout serésc ha iensmauu enus	---|-----|-⌫--⌫---|----⌫---|
se uousyestesc onseus	-|---||----|-⌫-----|
uous sere ́sia	---|----⌫-|-|
tous de pechiés	---|--⌫-------|
carmesireest	--|-|---|--|
amortpla iiés	|---|---⌫----|
etbien saiqueuous	-|---|--|--|---|
l aués mort	|----|---|
ma da meenf ai t zz doelsifor t	-|--⌫-|-|-⌫--⌫|-|---|-|---⌫|
etsesge nsenuiro nlicrie nt	-|--|--⌫-|------⌫|-|----⌫-|
apoikededoel	|--|-|-|---|
n esocient	-⌫||-----|
siuousseuentilbiencaie ns	-|---|-----|-|---|----⌫-|
mais entreaus estli do essi	---|----|--|--|-|--⌫-|-|
qui lnipu eent	-|-⌫|||--⌫---|
encore entendre	-----|-------|
siluous uoe lentardoirupendre	|-|---|---⌫---|-----||-----|
a chou ne pue ent ilfa llir	|---|-|---⌫--|-|--⌫---|
quantil uous uenronta ss alir	----|-|---|------|-⌫--⌫---|
et me sireyuai nsli	-|-|---|----⌫-|-|
iasedieu plais tnemociront	-|-|---|-----⌫|-||------|
ne iapareaus	-|-|--|---|
prisne serai	---|-|----|
nonfai tel lecar	--|---⌫|--⌫-|--|
ie nf erai	|-⌫|-⌫---|
auoecuousma poissancet o u te	----|---|-|--------|-⌫-⌫-⌫-|
preud on kitropdou te	-----⌫-|-|---|---⌫-|
pourchouquicquepreudomsoiiés	---|---|---|--|------|------|
carniestespas tropesma i iés	--||-----|--|---|----⌫-⌫---|
