Cifenistl aui e sainte	-|-----|-⌫|--⌫|-----|
etcorrouciee	-|---------|
Quanteleueoit au s deablesauoi r si	----|--|----|--⌫|------|----⌫|-|
grantpouoirqueils estoientmisen	----|-----|--|-||-------|--|-|
l ymageetenla formeque	|----|-|-|-|----|--|
Diex otdonneeal umainlingnageilmeisme s	---|-|-----|||----|-------|-|------⌫|
lauoltauoi r	-|---|----⌫|
Orsetraua illelideables	-|-|-----⌫---|-|------|
a ce queill apuissede ce uoir	|-|--|-|-⌫|-----|--⌫--⌫---|
Cenestmiemer u eilles	-||--|--|---⌫-⌫-----|
li p lestcar	-|-⌫---|--|
cel es meism esimages qu e	---⌫-|-----⌫-|-----|--⌫|
nous auonson til	---|----|--⌫|-|
L a precieuse u iergesacli naaterrepour	-⌫|--------|-⌫----||----⌫-||----|---|
ourersi demoura longue menten oroisonsettantidem oura	----|-|------|------⌫---|-|-------|-|---||---⌫---|
Diexentendi sa proiereetta ntost	---|------|-|------|-|--⌫----|
comm eelefudeterre	----⌫|--|-|-|----|
ueüen lair	---|-||--|
es toientdesué z	--⌫-----|------⌫|
Et tui tcil quila estoient oren tapertementueü	-|---⌫|--|--|-|-------|----⌫|---------|---|
quil natou choient n api e ́ namain	-|-||----⌫------|||--⌫-⌫|||---|
naterrenauciel etelel eur	||----||-|---|-|--|-⌫--|
distquilal a sse ntquerre merci za lachapelle saint	---|-|-|--⌫-⌫---⌫-|-----|-----⌫||-|-------|----|
En telmani er eleurdeui salada meet	-|--|----⌫--⌫|---|----⌫-|-|--⌫-|-|
chascunsdisoit queilnepouoit	-------|-----|--|-|-|-----|
nou sestuetauantdeslier	---⌫|-----|----|------|
Nousneporrionsau oir conse ntement	---|-|-------|--⌫--|-----⌫------|
aceq ue nouspe u ssions dicit mouo i r se	|-|-⌫-|---|--⌫-⌫-----||---|----⌫-⌫|-|
u ousneue niéz au oecnous	-⌫--|-|--⌫----|--⌫--|---|
Ilestuet fet eleq ue uousiailliézetuous	-|-----|--|--|-⌫-|---||-------|-|---|
gardiéztr es bien uoz	-------|--⌫-|---|--|
bouchez qu eiln en isseparole	------|--⌫|-||-|---|-----|
nu led euantq u euousm a iézueue	--⌫-|-⌫----|-⌫-⌫|---||-⌫---|---|
A inçoiz s oiézautresintconseuousestiéz	-⌫------|-⌫----|--------|--|-|---|------|
trestouzmuéz	-------|----|
Atants enuont cilquies toi ent	----||-|---|--|--|--⌫---⌫--|
forsenézt outd roit ala c hapelle plu stostqui l	--------|-⌫--|-⌫---||-|-⌫------|---⌫|---|-|-⌫|
ladam ea loitapre ́s por ce qu	-|---⌫|-⌫---|----⌫-|--|-|-|
elel es uoul oitdeschargierdufesselqui	--|-⌫-|----⌫--|----------|-|-----|-||
soustenoi ent	---------⌫--|
Eles est oi t desusl epauement	--||---⌫--⌫|----|-⌫|-------|
acouteesicommençade cueraprier	------|-|--------|-|---||----|
Die uen cui elea mise	---⌫|-|--|--||---|
toutes e sperance	----||-⌫-------|
E leniotmiemout	-⌫-|||-|--|---|
longu ementdemoré	-----⌫----|------|
qu antilcommencierentacriera hauteuoiz	--⌫--|-|------------||----||----|---|
illisaint que sainte	-|-|----|--|-----|
Geneuieue prioi tnousuindrent de liureret secourr e	--------|-----⌫|---|-------|--⌫-----|-|-------⌫|
e tha ide f ere	-⌫|--⌫--|-⌫--|
Einsintcommencierentacrier	------|------------||----|
quanquil porent a hauteuoiz	-----|-|-----||----|---|
Cefu grant merueille quantil s orent	-|-|----|--------|----|-|-⌫----|
lafin deleur del iurancequ	-|--|-|---|---⌫------|-|
ilnestoient pasen	-||-------|--|-|
Dieuparfaizneueritabl esainz parloientp ar lanemi	---|------|-|--------⌫-|---|--------|-⌫-||----|
Ilueoie nt	-|-----⌫-|
ue nir le sapostres etauoec	--⌫--|--⌫|-------|-|----|
euls limartirz ettui tlisaintqu	---|-|------|-|---⌫|-|----|-|
eleprioituenoient aprés aue c	--|-----|-------|-----|---⌫|
etestoitchauscunsapareilliéz	-|-----|--------|-----------|
de luiaidier	-|--|-----|
Lorsfure n t	---|----⌫-⌫|
lideablestuitconcluz et maté	-|------|---|------|-|----|
n eneporen tplusarrest eres corsdes hommes	-⌫|-|-----⌫|---|------⌫-|-|---|--|-----|
Etquantlaui er ge sotquelisai nz	-|----|-|--⌫--⌫-|--|--|-|---⌫-|
uenoi ent pourlu iaidierel e estuenue a	-----⌫--|---|--⌫|-----|--⌫|--|----||
c eul zquiforsene ́ z	-⌫---⌫|--|-------⌫-⌫|
est oientetsiles asai ngniéz	---⌫----|-|-|--||---⌫------|
Le sdeab lesn e pore ntplus	--⌫|----⌫--|-⌫|----⌫-|---|
demourereneulzainçoizissirent	-------|-|---|-------|-------|
horsdescors	---|--|---|
a us forsene ́zsique	-⌫-|-------⌫-|-|--|
toutes l e sgensqu ii luecestoient les uir entissirhors	-----|-⌫-⌫|---|--⌫|-⌫---|-------|--|---⌫--|----|---|
XI I genzet tiex	--⌫|---|-|---|
paours entraescorsdeceu lz	-----|----|-|---|-|---⌫-|
q uila e stoientparunp etit	-⌫-|-|-⌫------|--|-|-⌫---|
qu ilnefurentmort	-|-|-|-----|---|
Ilfurentausicommetui t iure	-|-----|---|----|---⌫|---|
delapaorquil	-|-|---|-|-|
auoient eue	------|--|
L orssoren ti lbienqueli	-⌫--|-----⌫|-⌫|---|--|-|
f orsenézestoien tgueri zetdeliurézdes deab lessi enre ndirent	-⌫-------|-------⌫|-----⌫|-|--------|--|----⌫--|-|-|--⌫------|
lou engesa	---⌫----||
Dieu quiporsainte	---|--|--|-----|
Geneui eue otfette lm ir acle	------⌫--|-|--|--⌫|-⌫--⌫---|
q uiseraretret touziorsmes	-⌫-|---|-----|---|---|--|
Ilauint ch os equela uiergeentraenlacelle	-|----|--⌫--⌫|--|-|-----|----|-|-|----|
l ediemanche deu antla	-⌫|--------|---⌫--|-|
El erendi anos tre	--⌫|----||---⌫--|
Seingn eurgrac esetor oisonset pri eres	------⌫--|----⌫-|-|--⌫-----|-|---⌫---|
sicom elle	-|--|---|
d e uoitetsiuousdique	-⌫-⌫---|-|-|---|-|--|
ele f u ensa celletantcomme laseson	--|-⌫|-|-|----|---|----|-|----|
du ra dela	--⌫-|-|-|
Typhai nneiuques auiuesdiqueno usapelonsle iues di	------⌫--|-----|-|-----|--|--⌫-|------|-|----⌫-|
Iuif quitr ahirent nostre	---|--|--⌫------|-----|
Se ingneurce	--⌫------|-|
sont tol uacesti ourhenneuret	---|---⌫||---|-⌫--|------|-|
franchiseAcelui iourg aaingni erentilm ortet	--------||----|---|-⌫-------⌫----|-|-⌫--|-|
Il orent biend eseru ielamortc arlaleur	-|----|---|-⌫-----⌫-|-|---|-⌫-|-|---|
mo nt ae tcrut et lanostre sir esucita	--⌫--⌫|-⌫|---|-|-|-----|-|-⌫------|
L adamefu ensonhabi taclei usqu	-⌫|---|-|-|--|----⌫----|-⌫---|
auiuesdidela	-|-----|-|-|
dirai un bi aumiracle	----|-|--⌫-|------|
quilauintc ele sem ainnemeism es	-|-|----|-⌫--|---⌫----|-----⌫-|
Unefamequi e stoit plain ne	--|---|--|-⌫----|-----⌫-|
de folou rquinecuidoit pa squelaui erge	-|-----⌫|--|-|------|--⌫|--|-|--⌫---|
f ustplainne	-⌫--|------|
de sig rantbontéliuintatalentque	-|-|-⌫---|-----|-|---||-----|--|
eleiroit la	--|----|-|
oulauierge est o i t ets ie nquarroitde	-|-|-----|---⌫-⌫-⌫|-|-⌫|-⌫--------|-|
soncouine etdeso nestreque	--|-----|-|-|--⌫|----|--|
Diex q ui touz biens e t touzmaxset	---|-⌫-|---|----|-⌫|---|--|--|
e tuoituitbie nquece ste	-⌫|---|--|---⌫|--|--⌫--|
uolt par enginetpar fausetéessa ier	---|--|----|-|--|-------|----⌫--|
Gen euieues amiechiere etbien ueoit quel i	---⌫-----||---|-----|-|---|----|--|-⌫|
dea blesli am onestoitsi	---⌫---|-|--⌫-------|-|
p a rdi laueuedeseseulzainçoisq ue le	-⌫-⌫--|-|---|-|--|---|-------|-⌫|-⌫-|
fust entreede d ensla p ortesi	---|-----|--⌫-⌫--|-|-⌫---|-|
que toute s l e sgenzquilaestoien t	--|-----⌫|-⌫-⌫|---|--|-|-------⌫|
apartement	---------|
Einsintfaitement set	---------------|--|
Di ex uengiersesamis	--⌫-|------|--|---|
Il ue ndichier aceledesloial	-|--⌫--|----||---|-------|
folela mauue stié dontele	---|-|-----⌫----|---|--|
esto it pla inneetcilquidestourne le bienaf ere	----⌫-|---⌫---|-|--|--|--------|-|---||-⌫--|
trebuche enpechiéetenordureen co re	-------|-|------|-|-|-----|--⌫--⌫-|
ne nuoeil lei lpoint	|-⌫|-----⌫-|-⌫|----|
Il nest mieme rueil lesecele quisi	-||--|--|--⌫-----⌫-|-|---|--|-|
malementfuforfaite uers la	-------|-|-------|---|-|
sa inteuie rgese desconfortoit	--⌫---|---⌫--|-|------------|
etesmoiet carsa nz faille eleotpar	-|------|--|--⌫-|-----|--|-|--|
son fetperdu elaue uedes eulz	--|--|-----⌫|-|--⌫-|--|---|
Eleu intmaint enant alasainte	--|-⌫--|-----⌫----||-|-----|
uiergequ erremerci commec ele	-----|--⌫---|----|----|-⌫--|
quinestoit	--||-----|
nen t erre	|-|-⌫---|
Hafe tel e alau ier ge	-|--⌫|--⌫||-|-⌫---⌫-|
Dameie estoietrop	---|-|-----|---|
malementfoleet	-------|---|-|
desmesureequeiene pooiemi ecroi requeu ousfeuss iéz	---------|--|-|-|----|--⌫|----⌫-|--|-⌫--|-----⌫---|
plainned es igra nt bon técomme uousestiéz	------|-⌫|-⌫|---⌫-|---⌫--|----|---|------|
i ebience r t ainnementqueuousestesbonne sanz nuledeceu ance	-⌫|---|--⌫-⌫-⌫--------|--|---|----|----|---|---|-----⌫---|
siuouscri merci enlaneurdecelui	-|---|--|----|-||----|-|----|
qui ens igrant	--|-|-⌫|----|
bonte ́uous maintientque	-----⌫|---|--------|--|
uo usaiézmercide	--⌫-|----|----|-|
mo ien telemanier eq ueuou sm erendéz ma	--⌫|-|---|------⌫|-⌫-|---⌫|-⌫|------|-|
u eue que ie	-⌫--|--|-|
heperdueparmonpech i é	-|-----|--|--|----⌫-⌫-|
Etlau iergequiesto itesp rise desigra nt bont é	-|-|-⌫----|--|----⌫-|---⌫---|-|-|---⌫-|----⌫-|
li mistsa mai nseur son uiaireet fist le	-|---|-|---⌫|---|--|-----|-|---|-|
singned elacro izseur ses	-----|-⌫|-|---⌫-|---|--|
eulzetcel equiparson	---|-|---⌫|--|--|--|
pechiées toitde ceuerecoura saclarté	------|--⌫---|--⌫---|------|-|------|
mai n tenantu oiant touzceulzqui lafurentsi en	---⌫-⌫-----|-⌫----|---|----|--|-|-----|-|-|
rendirentgrac e s anostre	--------|----⌫-⌫||-----|
Ila uintuni our	-|-⌫---|-|-⌫--|
Pa r isot une gr a ntfa minequ e touz li pu eplesi	--⌫-⌫-|-|--|--⌫-⌫-|--⌫---|--⌫|---|-|--⌫----||
moroi tde fain etes toit lasit é si	-----⌫|-|---|-|--⌫---|-|---⌫-|-|
pourequeilna uoient n e pai nn eblé	----|--|-||-⌫-----|-⌫|---⌫|-⌫|---|
Celec hiertéduraX anz neonquesen touzces	---|-⌫------|---||--|-|-----|-|---|--|
Xanzni potnauie uen ir que tan tos t	|--|||--|----|---⌫-|--|---⌫---⌫|
pe riene fust	--⌫--|-|---|
siforzne si	-|---|-|-|
elle neperisist tan t ost commeelefus tau	---|-|-------|---⌫-⌫--|----|--|---⌫|-|
quelenetrebuchasten	-|--|-|---------|-|
Libourg ois	-|-----⌫--|
a quile sg r anzaffere s	|--|--⌫|-⌫-⌫--|------⌫|
delauille apa rten oientsont	-|-|----|---⌫----⌫----|---|
uenuz asainte	----||-----|
Geneuieues iliont trestuitensamble moustrémout	--------|-⌫|-|--|-------|-------|-------|---|
do ucementla	--⌫------|-|
souffr aite etsil i distrentqu ela	------⌫---|-|-|-⌫|-------|--⌫|-|
contree ett ouz lipuep leses toientmalbaillizcarnesn	------|-|-⌫--|-|----⌫--|--⌫-----|---------|--|--||
ipouoient arriuers i	|-------|------|-⌫|
nousest oittouz de fa inmour irsi ena eu	---|---⌫--|---|-|--⌫-|----⌫-|-|-||-|
sigrantpiti é	-|----|----⌫-|
queleleur aloit	-|--|---|----|
querantamangier	------||------|
Elefisttantnagerparn uit	--|---|---|----|--|-⌫--|
etpariourq ue cilqui lan auiemenoie nt a rriuerent	-|--|---|-⌫-|--|--|-|-⌫---|------⌫-|-⌫--------|
d r oita unchastelqui	-⌫-⌫--||-|------|--|
Arsise estoitapeléz	-----|-----|------|
Enc elchasteltrouere nt gran t	-|-⌫-|------|-------⌫-|----⌫|
foison deb le ́ sieno rentem plies	-----|-|-⌫--⌫|-|-|-⌫---|--⌫----|
toutes leur sne s	-----|----⌫|--⌫|
Etquan tilorentl eurbe soingneacompli esisont	-|----⌫|-|----|-⌫--|--⌫------|-------⌫|-|---|
uenuzarrieresagrantioie	----|-------||----|---|
Damedieu les	-------|--|
menoit pourl	-----|---||
am ourde lauier ge et q uantil	--⌫--|-|-|----⌫-|-|-⌫---|-|
sontu enu zi lluec ou	---|-⌫---⌫|-⌫----|-|
lesnes souloie n tuenirsilesfis t	--|--|-------⌫-⌫|----|-|--|---⌫|
ueni rdel autre part	----⌫|-||----|---|
Ilauoitunfust desouz	-|----|-|---|-----|
quiianefeust t ro uézpar nul	--|-|-|----|-⌫--⌫---|--|--|
ho mmene iamés tant com me li mondes	--⌫--|-|-----|---|---⌫-|-|-----|
fustnule na uienia rrestast qui tantost	---|---|--⌫--|||-⌫-------|--|------|
neperis istse	-|-----⌫--|-|
Diex nele ustens eingnée t des co uuertalab eneoite	---|-||-⌫--|---⌫------|-⌫|---⌫--⌫----||-|-⌫------|
Ele commandaquele	--|-------|--|-|
lesfe soit perillier queleue	--|--⌫---|--------|--||--|
auoitc ouertetrepostsoit o stéz	----|-⌫----|-|-----|---|-⌫----|
Les noto nni erssaparei l lierent	--|----⌫---⌫--||------⌫-⌫------|
maintenantdet ra nchierle fust oulideable ssouloi tconuerser	---------|-|-⌫--⌫-----|-|---|-|-|------⌫|------⌫|--------|
etmener ioie por lacité quil apour eoit	-|----|---|--|-|----|-|-|-----⌫---|
Ilsonttuita coureus	-|---|---|-⌫------|
Ain çoiz queil eussent cop	---⌫----|--|-|------|--|
feruarracherent lefustet	---|----------|-|---|-|
souzleuer entparla	---------⌫--|--|-|
prieredesa inte	-----|-|--⌫---|
Geneu ieue	-----⌫---|
Lorssi se n sont maintenant	---|-||-⌫|---|---------|
issuzpetizdeable s quiestoientperzetinde s etsi	----|----|------⌫|--|-------|---|-|----⌫|-|-|
estoie ntautre sintcoulouréc ommeseilfussen ttrestouzdoré z	------⌫-|-----⌫---|--------|-⌫---|-|-|------⌫|-------|-----⌫|
et alissi rqu ilfirent de desouz	-|||----⌫|-|-|-----|-|-----|
le fust enissiune s igrant	-|---|-|---|--|-⌫|----|
puoretsim alequecefu merueillea	---|-|-|-⌫--|--|-|-|--------||
Ilsen issir e n t uoiant tout	-||-|-----⌫-⌫-⌫|-----|---|
lemondeet departirent	-|----|-|----------|
d iluecneo nquespuis le sn ez nip erirent	|----|-|-⌫----|---|--⌫|-⌫-|||-⌫------|
M es la pueurat ou rnasi malement	-⌫-|-|----|--⌫--⌫--|-|-------|
ceulzqui est oie n t la qu	----|--|---⌫---⌫-⌫|-|-|
i lfurenttoutleiourmalades	-⌫|-----|---|-|---|------|
Cistg l orieus miracl esfubiaxet	---|-⌫-⌫-----|------⌫-|-|---|-|
plais anz et deliteusatouzce ulz delacite ́	-----⌫--|-|-------||---|--⌫--|-|-|----⌫|
Chascunpleurepar	------|-----|--|
grant humilite ́e tsouspiraeta houra sa inte	----|--------⌫|-⌫|-------|-|-⌫----|--⌫---|
Unefoizestoit aun chastelqui	--|---|-----||-|------|--|
estoit apelé	-----|-----|
Touzlimondesu eno itdeuant l ui	---|-|-----|-⌫---⌫-|-----|-⌫-|
porlagr antbontédo nt ilsa uo ientqu el e	--|-|--⌫--|-----|--⌫-|-|--⌫--⌫---|-|--⌫|
estoitplain ne	-----|-----⌫-|
Unpreudomu intauoe c	-|------|-⌫--|----⌫|
sesgen zquiauoitgrant douleurasoncue r po r	--|---⌫|--|----|----|------||--|---⌫|--⌫|
n est o it	|---⌫-⌫-|
pass ainne	--|-⌫----|
Elelifesoitmout dedoule ur	--|-|-----|---|-|-----⌫-|
Ele auoitesté	--|----|----|
III ans paralisiesicomme ci l disoie nt	--|--|--------|-|----|--⌫|------⌫-|
quid en fancelaconn oissoie nt	--||--⌫----|-|----⌫-------⌫-|
Iluinta lasainteuierge sili dist	-|---||-|-----|-----|-|-|---|
D ameieuo uspri	-⌫--|-|--⌫-|--|
etrequi erpour le	-|-----⌫-|---|-|
E sp eritqueuousue ingniézauoecmoi	-⌫--⌫---|--|---|--⌫-------|----|--|
enmamesontantqueuou saiézma	-|-|----|---|--|---⌫|----|-|
fameueu equi longu e ment a	---|---⌫|--|-----⌫-⌫---||
esté enlangeur	----|-|------|
D ameaur o i tmesti er priere	-⌫--|---⌫-⌫-⌫|-----⌫-|-----|
ennule manie requ euous	-|---|-----⌫-|--⌫|---|
uenis sié zauoecmoi	-----⌫----⌫|----|--|
Biaxamisfeteleoil	---|---|--|--|--|
ala auoecluita ntostsi	--|----|--|--⌫----|-|
maladede denssonl i t	-----|--⌫---|--|-⌫-⌫|
qu in auoite ste ́ leuee	--⌫||----|-⌫---⌫|----|
IIIanz auoitcarladouleurqu elesentoitestoit	--|--|----|--|-|------|-|--|------|-----|
tr op grant	--⌫-|----|
Ladouceuier gese mist tantost ageno uzsip ria	-|----|----⌫-|-|---|------||----⌫-|-|-⌫--|
de cue rsimpleet	-|---⌫|-----|-|
s umelia a	|-----||
Dam e dieuetlipria	---⌫-⌫---|-|-|---|
e treq uist queil cons entistparsa pi tiéquecele	-⌫|---⌫---|--|-|----⌫-----|--|-|--⌫---|--|---|
famenes ouffristplusdouleurnang o iss e	---|-|-⌫-------|---|------||---⌫-⌫---⌫|
Tant ostdeuintsainnelafamecomme ele o t	----⌫--|-----|-----|-|---|----|--|-⌫|
f etes oroiso nettuit	-⌫--||------⌫|-|---|
cil quioi ent cestmiracledoiuent	--|--|--⌫--|---|------|------|
Dieucroi re e tlouerq uisi	---|----⌫-|-⌫|----|-⌫-|-|
se t f ereaperzmiraclesa	--⌫|-⌫--|----|-------||
la req ueste deses amis	-|---⌫----|-|--|---|
Un eautrefoizau intque unefam e	--⌫|----|---|--⌫--|--|--|---⌫|
o tchangie esau esteureetde uint nonnain	-⌫|-------⌫|-|-⌫------|-|--⌫---|------|
et s enuintde	-||-|---|-|
Eleotchang ié zsez uestemenzmesp or	--|-|-----⌫---⌫|--|--------|--|-⌫-|
ot ele mie chang iél	-|--|--|-----⌫--||
enlacement du monde	---------|-|----|
Liuesteman zneualoientgueres achangier	-|--------⌫|-|-------|-----||-------|
sel e n nedeguerp e sistle	-||-⌫|-|-------⌫-⌫---|-|
C arsicommeu n sage s	-⌫-|-|----|-⌫|----⌫|
honsdi soit	---|--⌫---|
Ilcouuendroitfouirl ort	-|----------|----||--|
mondeetuiureselonclenethabit deuirgineté	----|-|----|-----|-|--|----|-|---------|
etselonc ladoucehumilit é	-|-----|-|----|-------⌫-|
Cest enonnedontie	----⌫|----|---|-|
uousai parle ́	---|-|-----⌫|
nelessapaslemonde ainsicaraprés c eq ue	-|----|--|-|----|----|--|-----|-⌫|-⌫-|
elefu sa cree fuele	--|-|--⌫---|-|--|
uiolee etcorron pue si fausasauirginitéet	-----|-|------⌫--|-|----|-|---------|-|
sachiéz que ele n o tmie de	-------|--|--||-⌫|--|-|
sa plus ha utedignité	-|---|--⌫--|-------|
Quant ciltresors enfu	----|--|------|-|-|
ostézelles en fua lac el leuenueaprés	-----|---||-|-||-|-⌫--⌫-|----|-----|
cequeeleotest écorronpueou	-|--|--|-|---⌫-|--------|-|
Geneuieue demouroitcareles e	--------|--------|--|--|-⌫|
uo u loitdelui aco intier	--⌫-⌫---|-|--|---⌫-----|
Mesneporqu antel eceloit bien	--|-------⌫--|--⌫|-----|---|
etcouuroit soncoura ge	-|-------|--|-----⌫-|
etsafollieetsonpech iéet	-|-|-----|-|--|----⌫--|-|
son f ol pen sé	--|-⌫-|---⌫--|
L auiergelif is t m outbiausa mblant et	-⌫|-----|-|-⌫--⌫|-⌫--|---|--⌫-----|-|
sili tretpa rbeles paro lescareleset bien	-|-|---|--⌫|----|----⌫--|--|--|--|---|
toutsonmehai nget porce n e	---|--|-----⌫-|-|--|-|-⌫|
l otele m ie	|-|--|-⌫-|
engregneurdesdainga inçoizla r e sonnadebo neirem ent et	-|-------|-------|-⌫------|-|-⌫-⌫----|----⌫------⌫--|-|
Sue rditesmoiseuo usestesu eu ue	---⌫|----|--|-|--⌫-|----|-⌫--⌫-|
fameounonne	---|-|----|
N el mec elézuous mie	-⌫-|-|-⌫----|---|--|
ele uo irementsuii enonnain	--|--⌫------|--|-⌫|------|
Iefuilz lesiecl e	-|----|-|-----⌫|
tantcom meiepuis	---|---⌫-|-|---|
Iesui s acreeetbe neoiten e mes cuers	-|--|-⌫----|-|--⌫-----|-⌫|--|----|
n e couuoiteel f ors qu e	-⌫|-------|-|-⌫--|--⌫|
Dieu seruirseulemant	---|-----|--------|
Ic este chose	--⌫---|----|
s imagree c ar iesuis es pouseet	-⌫||----|-⌫-|-|--||--⌫----|-|
Ie sui pucellesiliport efoy etloiauté	-|--|------|-|-|----⌫|--|-|-------|
uous auézdroitfet	---|----|----|--|
lasainteui erge	-|-----|--⌫---|
Dam edi euuous en	---⌫---⌫-|---|-|
prestforc eet	----|----⌫|-|
Mesormedites quice fuquiiut	--|-|-|----|--|-|-|--|--|
auoecuous et u ousuio la et deçut en au outired esloialme nt	----|---|-|-⌫--|---⌫-|-|-----|-|--⌫-----|-⌫---------⌫-|
Iceneme deuézuouspas c el er	--|-|-|-----|---|--|-⌫--⌫-|
M esceuous me	-⌫-|-|---|-|
dites letensc e ne	----|-|---|-⌫|-|
follieai nçoizsera grant s anzou uostre	-----|--⌫-----|---|----|-⌫--|-|-----|
chas teé fu enfrainteetbri sie	----⌫---|-|--------|-|---⌫--|
Sain teuie rge glorieusefetla nonne merci	----⌫-|---⌫--|--------|--|-|----|----|
Dieuuouspricommepecher re sse et forfaite	---|---|--|----|------⌫--⌫--|-|-------|
cardeabl esmeco u chiaetdeçut quantiemeffiz	--|-----⌫-|-|--⌫-⌫---|-|-----|----|-|-----|
enuersmoncreatou r	-----|--|-------⌫|
Iesa ibienque	-|--⌫|---|--|
uouseste ssain tech ose	---|----⌫|----⌫-|--⌫--|
Da medieu uousamous tré mon pech iécommede sloiausqueie	--⌫-----|---||----⌫---|--|----⌫--|----|--⌫------|--|-|
suiet por lamour	--|-|--||----|
deceluiqueuous tan t amézettenéz	-|----|--|---|---⌫|----|-|-----|
chi eruousr equierie merc i	---⌫-|---|-⌫-----|-|----⌫|
po rlessain t ismesnon sa	--⌫|--|----⌫-⌫----|---⌫||
celuiu ersquiuousestes anm oureuse	----|-⌫--|--|---|----|---⌫------|
Ma douceamie fetelemes p ardonsne	-|----|---|--|--|--|-⌫-----|-|
uous porroitgue resualoir	---|------|---⌫--|-----|
uousdeuézauoirfiance en	---|-----|----|-----|-|
Dame di euquiamendeetpardonneles	----⌫--⌫-|--|-----|-|-------|--|
repant anz eten pren tl	------⌫--|-|-|----⌫||
ceulzquim aintiennentleurs	----|--|-⌫----------|----|
pec hiézetne	---⌫----|-|-|
ueulentu enir arepantance	------|-⌫---||---------|
Or uous pri ie quedes	-|---|--|-|--|--|
or enauantsoie ́znete et p ure	-|-|----|----⌫-|---|-|-⌫--|
etchasteet ga r d éz queuousne	-|-----|-|--⌫-⌫-⌫--|--|---|-|
soiézausicommel i	-----|---|----|-⌫|
ypocrites quico uuo ite n tles biensdu mo nde	--------|--|--⌫---⌫---⌫-⌫|--|----|-|--⌫--|
etn efon tnules bo nnesoeures	-|-⌫|---⌫|----|--⌫---|-----|
Sach iézueraiem entque	----⌫---|-------⌫--|--|
Damedi euama m ou tceste saint e a	------⌫-|--|-⌫--⌫|----|-----⌫||
quii lmoustral e fetetleuu r edela	--|-⌫|------|-⌫|--|-||---⌫-⌫|-|-|
nonnain et	------|-|
cou mant elea uoi tmef faituers	---⌫---|--|-⌫---⌫|---⌫---|---|
Cefugra ntmiraclesetaperz	-|-|---⌫-|-------|-|----|
Oruo usseradescouuerzuns	-|--⌫-|---|---------|--|
autr e miracles quiuousd o itbienestre retraizporce	----⌫|-------|--|---|-⌫-⌫-|---|----|------|--|-|
qu ilfuf aiz uoiant	-|-|-|-⌫--|-----|
m aintesgenz	-⌫-----|---|
Ele senala	--||-|--|
D amedieu fistporlui mainte suertuz	-⌫------|---|--|--|------⌫|-----|
Lagr antpre sse desgenz qui estoient	-|--⌫--|---⌫--|--|---|--|-------|
foibl e z etnues sontuen uesen contrelui	-----⌫-⌫|-|---|---|---⌫--|--⌫-----|--|
E lesest oient n u es desantéetpla innes dedouleurs	-⌫--|---⌫----|-⌫-⌫-|-|-----|-|---⌫----|-|-------|
neporcenauo ientsa i nneses té	-|--|-||---⌫---|--⌫-⌫---|--⌫--|
Tant eniotsico n	---|-||-|-|--⌫|
l iliures no usra conte	-⌫|-----|--⌫-|--⌫----|
que li nombresne pot	--|-|------|-|--|
est reseuz	---⌫-|---|
Cel ehauça samainsiles asaingn ie ́ z et	---⌫|-----|-|---|-|--||------⌫--⌫-⌫|-|
fetleseing nacle parqoi lideables	--|-|-----⌫----|--|--|-|------|
fuuainc uz et	-|-----⌫-|-|
nousert escuzcon trelui	---|--|----|---⌫--|--|
Tantostcomme	------|----|
ilfure nts ain gniézil reç urent sicomm ea	-|----⌫-|-⌫---⌫-----|-|----⌫----|-|----⌫||
Damed ieu pl otsan tédeleur	-----⌫--|--⌫-|---⌫--|-|---|
enfermetéz	----------|
a mené un hommequi de	-⌫----|-|----|--|-|
grantt ensna uoitgo uteueu	----|-⌫--||-⌫---|--⌫--|--|
por ceq uilo uuroitau	--|-|-⌫|-|-⌫-----|-|
De lautre part iestoituenue un e	-||----|---||-----|----|--⌫|
pucel e de	-----⌫|-|
quileseulzauoi tluisanzet clersneonquesn	--|--|---|----⌫|------|-|----|-|-----||
auoitueu ̈goutesanz doutanceiour	----|---⌫|----|---|-------|---|
Lauierg equi	-|-----⌫|--|
Dam e di euestoitami e aleuee samain s iles	---⌫-⌫--⌫-|-----|---⌫||----|-|---|-⌫|--|
a ambedeus seingniéz	|-------|---------|
comme elelesotseingnié z i l uirent ambedui si	----|--|--|-|---------⌫|-⌫|-----|------|-|
co mmeiluint	--⌫--|-|---|
Da medi euapla isir	--⌫----⌫-||---⌫---|
Dame dieudonna	----⌫---|----|
alomeet aladamoisellenouele	||--|-||-|---------|-----|
Unautre miracleuousuoeilretre re qui	-|----|------|---|----|-----⌫-|--|
dedenscele citémeismesauintqueunssoudiacresuint	-----|---|----|------|----|--|--|---------|---|
aluip orlesmiracle s	|--|-⌫-|--|-------⌫|
qu el efesoi t	-|--⌫|-----⌫|
petitenfant acui fieureauoit t enutantlonguement	----|-----||--|-----|----|-⌫--|---|---------|
l auoit apressiédemort	|----|--------|-|---|
E lel auoittenuparXmoissili	-⌫-||----|---|--||---|-|-|
auo itto luel auertudu cors	---⌫-|--⌫--|-⌫|----|-|---|
Liperes ap ort alenfantde uan t la uier ge	-|----|--⌫---⌫||-----|--⌫---⌫|-|----⌫-|
comec il quimoutdur ementsedesconfo rtoit	---|-⌫-|--|---|---⌫----|-|--------⌫----|
Damefet ilporl	---|--|-|--||
