quide cueri	--|-|---||
gie nepristoi	--|-|---|--|
quarihesusparlasoe grace	---|-----|--|-|--|----|
a cuigiemoncue ratorné	|--|--|--|---⌫|------|
d etonpoeirm adestorn é	-⌫|--|----|||-------⌫-|
ue i tenens	--⌫||-|--|
ofeu pe rmanable	|--|--⌫-------|
otuetliaut re	|-|-|-|---⌫-|
e mpres lei ordo iugement	-⌫----|-|-⌫-|-|-------|
ardreiz meissens def inement	------|---|---|---⌫------|
amo tgran t	|--⌫|----⌫|
meruei ll e	------⌫--⌫|
queleotet s esmerueille	-|--|-|-||----------|
delabon e foiqu	-|-|---⌫|--|-|
acertesnonagas	|-----|--||--|
c roitetpa rolepar	-⌫---|-|--⌫---|--|
estdegrant crean ce	--|-|----|-----⌫-|
et lare i ne descest	-|-|--⌫-⌫-|--|---|
qu eleuintprimes a	-|--|---|-----||
en ier usalemla cite	-|---⌫-----|-|---|
oioieetohumil ite	|---|-||-----⌫--|
laseinte c roizabiengarde e	-|-----|-⌫---||---|-----⌫|
cen e sest	-|-⌫||--|
pointt ar dee	----|-⌫--⌫--|
quisnelementneface fere	-|---------|-|---|---|
uneigl isederiche a ffere	--|---⌫--|-|----|-⌫----|
croiztroua	----|----|
ices i bie n	--|-⌫|---⌫|
conques por rie ns ne uot	|-----|--|---⌫-|-|--|
q u e nussepeust	-⌫-⌫|--|-|----|
poroff rir	------⌫--|
ariensdosiendoner n e met tre	|----|-|---|----|-⌫|---⌫--|
e t e nsico mnosditlalettr e	-⌫|-⌫--|--⌫|--|--|-|-----⌫|
parque i nossauonscest eest o ire	--|---⌫|--|-----|----⌫|---⌫-⌫--|
iudasco m h om degrant	----|--⌫|-⌫-|-|----|
s ententemettote et	|------|--|---|-|
asauoir l ano streescriture	|-----|-⌫|--⌫---|--------|
loiquenosauon	--|--|--|---|
con nosle sauon	--|--|-|----|
q uan t delaloi futbiena pris	-⌫---⌫|-|-|--|--|---|-⌫---|
leues que s ein t	|----⌫--|-⌫---⌫|
macaire ap r is	------||-⌫-⌫-|
sareceudeluibaptesme	||----|-|--|-------|
c restien te etsaletcr e sme	-⌫-------⌫-|-|--|-|--⌫-⌫--|
et quanquemonte abatestire	-|------|----||--------|
e t de totsoncu ertentettire	-⌫|-|--|--|--⌫-|---|-|---|
a fere ce qu	|---|-|-|
i lcuideetcro it	-⌫|----|-|---⌫-|
qu ed exuu ele	--⌫|-⌫-|--⌫--|
e tquebiallisoit	-⌫|--|---|-|---|
me sentretantqu e	--⌫|-----------⌫|
lagentilzde	-|------|-|
cueret do r ine	---|-||-⌫-⌫--|
en ieru sa le mseio rna	-|----⌫--⌫--⌫|----⌫--|
la morzqui onques seior na	-|---|--|-----|----|||
q uetotne tut parfineenuie	-⌫-|--|-|--|--|---|----|
agetéhors	|----|---|
deceste u ie	-|----|-⌫-|
euesqu eseintm acaire	------⌫|----|-⌫-----|
etlareinedebonaire	-|-|----|--------|
enu n sar queu aplomsacré	-|-⌫|---⌫---||---|-----|
ale cors alseintent erré	|-|---|-|----|---⌫----|
biauq ueferele	---|-⌫-|---|-|
etpeisal plus tostquelep ot	-|---|-|---|---|-|--|-⌫-|
ferea pr iscon s eil	---||--⌫-|---⌫-⌫--|
mesnapasf etg ra n taparei l	--|||--|-⌫-|-⌫--⌫-⌫|------⌫|
negra nt d emoredelesl ire	-|---⌫-|-⌫----|-||---⌫--|
co mleuoltn ostresir e	--⌫|-|---|-⌫----|---⌫|
tan tostcomcil reuenufurent	---⌫---|--|--|-----|-----|
qui a lapost oireal erdurent	--|||-----⌫---|--⌫-|-----|
par le conseilal apostoir e	--|-|------|||--------⌫|
si com nos contecesteestoire	-|--|--|----|----|------|
alareinepr is iud as	|-|----|--⌫-|---⌫-|
c roc eetaneletmitreetdras	-⌫---⌫|-|---|-|----|-|---|
da rceuesqu el iabaillié	|-⌫--------⌫|-⌫||-------|
osieg e aorbien entaillié	|----⌫||-|---|---------|
deierus alemla cite	-|-----⌫---|-|---|
l asistpargran thumili te	|----|--|----⌫|------⌫-|
etlifutlors	-|-|--|---|
changi ezs isnons	------⌫-|-⌫-|---|
connos le t rouons	--|--|-|-⌫-----|
qui ria cus fu t a pelez	---⌫---⌫--|--⌫|-⌫----|
et li altr esnons f utce lez	-|-|----⌫-|---|-⌫-|--⌫--|
atotlesio rdque	|--|--|--⌫-|--|
iluesqui e	-|------⌫|
en leuesq uie	-||-----⌫--|
dede cuer amast	-|-|---|----|
qu efesoit seint quiria cus	--⌫|-----|----|------⌫--|
unior empresgrantpiecea uin t	-|--|-----|----|----|-⌫---⌫|
quela rein ea iudasui n t	--|-|----⌫||----|--⌫-⌫|
quiq uiriacusauoit n on	--|-⌫-------|----|-⌫-|
amis a reson	|--||----|
comuossempre sporr oizentendre	--|--|------⌫|----⌫--|-------|
s ire di st ele moltdoi r endre	-⌫--|--⌫-|--|---|--|-⌫----|
granzmerc izanostreseignor	----|----⌫-||-----|------|
quidemesde sierslegreignor	--|-|--|--⌫----|-|-------|
par sa grace ma acheué	--|-|----|||------|
se intcipresei troue ́	--⌫--|-----|-|-----⌫|
estendue tmi s	------|-⌫|--⌫|
meis enco r	---|----⌫|
sicomilmestuis	-|--|-||--|--|
ne porreipas a uoir grant	-|-----|--|-⌫---|----|
iusque atantqu auoie	-----|----|-|----|
dedosclosquif ich ié li furent	-|--|---|--|-⌫---⌫--|-|-----|
pau m es sico m il	---⌫-⌫-|-|--⌫|-|
e tdotierzq uili f utfichiez	-⌫|-|----|-⌫-|-|-⌫-|------|
dols piezquant affichiez	---|---|----|--------|
futenlacroizo	--|-|-|----||
agra nt tort	|---⌫-|---|
recut por nospechiez la mort	----|--|--|------|-|---|
qe eleauoit	-|--|----|
moltbie n oi	---|---⌫|-|
c unso lc lo au oitnostre sire	|-|--⌫|-⌫-|--⌫--|-----|---|
parmielesdos pi ez e mbatu	-----|--|--|--⌫-|-⌫----|
quantpr is e tlié ebatu	----|--⌫-|-⌫|---||---|
ioifquilestendiren t	---|--||----------⌫|
en l acroi zo ille pendirent	-|-⌫|----⌫||-|-|--------|
li eues queslirespondit	-|----⌫---|-|--------|
damefet s i lnul	---|--||-⌫|--|
n e peismetrea	-⌫|---|----||
cequeuosdites	-|--|--|----|
que simait seinzesperites	--|-||--|----|--------|
monpoo rfereporsauoi r	--|---⌫|---|--|-----⌫|
de uos treuolentele uoir	-|---⌫--|------|-|---|
messicomestdroiz	--|-|--|--|----|
que par o reison s	--|--|-⌫------⌫|
ceste choserequerre	----|----|-------|
celuiquipornosu inten	----|--|--|--|-⌫--|-|
quela force ni ame stier	--|-|----||||--⌫----|
alonsnose n u e rslemost ie r	----|--|-⌫|-⌫-⌫-|-|----⌫--⌫|
quedemostrancenosenfa ce	--|----------|--|-|--⌫-|
dex nost resire par s agr ace	--|----⌫-|---|--|-⌫|--⌫--|
atantsemet e nt ala	----|-|---⌫-⌫-||-|
quialiglis e les	--|||-----⌫|--|
quelareineauoitfa it fer e	--|-|----|----|--⌫-|---⌫|
oleuquilapelentc aluer e	|--|-|-|------|-⌫-----⌫|
et quantalmostieres t uenu z	-|----|-|------|--⌫|----⌫|
lis einz hom nesest	-|-⌫---|--|-||--|
plus tenuz	---|----|
qu il n a ltauleu sanzdemoree	-|-||-⌫-|-|--|---|------|
olaseintecroizhonor ee	|-|-----|----|-----⌫-|
fu ttroue epar tel mani ere	--⌫|-----⌫|--|--|----⌫--|
comlonuosa	--|--|--||
lise inzeuesques et lidolz	-|--⌫--|-------|-|-|---|
poro r ersest mis	--|-⌫-⌫-||--|--|
mei seinsqu il	---⌫|-----|-|
conmencea orer	-------||---|
tendrementc o nmenc ea	---------|-⌫-⌫-----⌫||
edistdexquipa rtadol cor	|---|--|--|--⌫|-|---⌫--|
m asgeté del afoleerro r	|-|----|-|-⌫|---|----⌫|
oi e isi longemen testé	||-⌫|-|--------⌫|----|
siur ai ementc omieme fi	-|--⌫--⌫----|-⌫-|-|-|-|
sir edex enuost repoissanc e	---⌫|--|-|----⌫-|--------⌫|
nosdonez uraiecon noissanc e	--|----|----|---⌫--------⌫|
ceque lar ei ne	-|--|-|-⌫--⌫-|
uosrequier dex com e nter mine	--|------|--|--|-⌫|---⌫---|
enuer suo sdecuer etdecors	-----⌫|--⌫|-|---|-|-|---|
a cestmot nedist pluset	|---|--|-|---|---|-|
unesi granz	--|-|----|
clarte z loruie nt	------⌫|--|---⌫-|
qu e nule graignor ne	--⌫|---|-------|-|
e tliangre sde idescent	-⌫|-|-----⌫|-||------|
uir entplu s decent	---⌫--|---⌫|-|---|
olacroizfut	|-|----|--|
qui tantesfo izfutesprouee	--|-----|--⌫-|--|-------|
aueuliseins	|--|-|----|
homtreisclos	--|----|---|
totdescouer tet adesclos	--|--------⌫|-||------|
siclers consilfussent	-|----|--||-|------|
li mostrecequilquiert	-|-----|-|-|-|-----|
quant ilpar	----|-|--|
boncuerle requiert	--|---|-|-------|
eles baille s enzterme	|--|-----|-⌫--|----|
larei nequimeintelerme	-|---⌫-|--|-----|----|
deioieet ded olco rempl eure	-|---|-|-|-⌫----⌫|-|--⌫---|
pa rfont l enclineet sein sdemu ere	--⌫----||------|-|----⌫|----⌫--|
quantlesmerciz rendues	----|--|-----|------|
alplus b iauquef ere	-|---|-⌫--|--|-⌫--|
o gr antioien onp as	|--⌫--|---|-⌫-|-⌫-|
u ers so npaleises tre perie	-⌫--|--⌫|-----|--⌫|--⌫----|
quan t lar eineot	----⌫|-|-⌫---|-|
espleitié	---------|
quedece qu ot	--|-|-|-|-|
tan tcoueitié	---⌫|--------|
fus eisie e nterin ement	-|-⌫----|-⌫------⌫----|
lun d e s troisclosqu ele auoit p rent	|-|-⌫-⌫|----|---|-|--|----|-⌫---|
si lefi stsicomditlalet re	-|-|--⌫-|-|--|--|-|---⌫-|
dedenzlehi alme son fiz metre	-----|-|--⌫---|--|--|----|
que dexpa rlaf orce delui	--|--|--⌫|-|-⌫---|-|--|
legardast desmeins	-|------|--|----|
quidemalporch acier	--|-|--|-----⌫----|
cest de deable	|--|-|-----|
et desor ine	-|-||--⌫--|
etquedex li	-|--|--|-|
hal troisdegloire	---⌫|---|-|-----|
lio treiastforce	-|-⌫------|----|
encontre tozses enemis	-------|--|--|-----|
lautredes c lo sempresa	|----|--|-⌫--⌫|-----||
l areineofrein d ocheual	-⌫|----||----|-⌫|-----|
queleuuelt	-|--|----|
quedexd etotm al	--|--|-⌫|--|-⌫-|
soitasonfiz	---||--|--|
forceet es cuz	----|-|--⌫--|
neia nepeisse estre	-|-|-|-----|----|
enbatailleneen	-|-------|-|-|
etp or cequenc orner t	-|-⌫-|-|-|---⌫-||--⌫|
aueree la p rophetie	-----|-|-⌫-------|
que diteauoitsaisza carie	--|---|----|---|--⌫----|
quidistqueli iorza uendreit	--|---|--|-|---|-⌫-------|
quecequelicheualstendr eit	--|-|--|-|------|-----⌫--|
en sonfreinseroitsein techose	-|--|----|-----|----⌫-|----|
mesorea pri mesiertesclose	--|--||---⌫--|---|------|
lap rofetiequ	-|-⌫------|-|
lihompl einsdoseintesperite	-|--|--⌫---|-|----|-------|
lareinequi	-|----|--|
bonfustnee	--|---|--|
afetde genz granta unee	|--|-|---|----|-⌫---|
laolacroiz	-||-|----|
futdepartie	--|-------|
a sonfi du negrantpar t ie	|--|--⌫|-⌫-|----|---⌫-⌫-|
laoilestoiten	-||-|-----|-|
eill arecutograntioie	|-|-⌫|----||----|---|
conmela chose o p lus se	----|-|----||-⌫--|-|
degarderso n or e sa u ie	-|-----||-⌫-⌫-||-|-⌫-|
empresdeetempressa	-----|-|-|-----|-|
ete nlacite oi lere	-|-⌫|-|---||-⌫|--|
cestoit aromeen a mot	|-----||---|-||--|
senragra ntp artie	|-|-|---⌫-|-⌫----|
a sacitequ i molt	|-|---|--⌫|---|
qu il a pelentcostentinnob le	-|-|-⌫-----|------------⌫-|
enafet s eeler	-||--|-⌫----|
lemp ereresen unpilier	|---⌫-----|-|-|-----|
otres g et é estoits	|----⌫-⌫--⌫-|-----||
q u illiestuis	-⌫|-|-|--|--|
que nusdomage	--|--|-----|
nepo rroit	-|--⌫----|
lacite auoir	-|---|----|
tantcumsipretios auoir	---|--|-|------|----|
croiz leusten	----||---|-|
doremaign antpoint nes etarde	-|-------⌫--|----|-|-⌫|----|
queiln enpre igne	--|-||-|---⌫---|
son tre sor	--|---⌫--|
agrantplente	|----|-----|
pierresetor	------|-|-|
riches chassesa	-----|------||
com ametre	--||----|
telseintuere	--|--------|
e t altretelfet lareine	-⌫|-------|--|-|----|
deferecroizoquele fust	-|---|----||-|--|---|
porestoierle di gnef ust	--|------|-|--⌫--|-⌫--|
nesei queplus	-|--|--|---|
uosendeis se	--|-|----⌫-|
ne porquei demoreenfeisse	-|--|---|-----|-|-----|
parque iuos fu siezanoié	--|---⌫|--|--⌫---|-----|
molt e napris etenuoié	---|-⌫||---|-|------|
etm oten le tparuerite	-|-⌫-|-|--⌫|--|-----|
enierus alemlacite	-|-----⌫---|-|---|
quassezempo oitdepartir	-|----|-|--⌫--|-------|
m estan t s egie bienqu a l partir	-⌫-|---⌫|-⌫|--|---|-|-⌫|-----|
pri st a sonues delaplus	---⌫-||--|--|-|-|---|
celeq uido sa ncde fu	---|-⌫-|-|--⌫-|-|-|
quiplus presdesa	--|---|---|-|-|
char toch a	---|----⌫|
e t n uanualui tocha	-⌫|-⌫||-||--|----|
biendroiz quegie uosdie	---|----|--|--|--|--|
d eseintquiriacus laui e	-⌫|----|--------|-|--⌫|
c onment enlaf inse	-⌫-----|-|-|-⌫-|-|
dexen l uita nt d ebie ntrou a	--|-|-⌫-|--⌫-|-⌫|---⌫|----⌫|
gracetanti mist	----|---||---|
elibuen seues ques	|-|----⌫|----⌫---|
quensicu mno sditcest eestoir e	-|---|--⌫|--⌫|--|----⌫|------⌫|
atotesgenz	|----|---|
fuenmemoire	-|-|------|
tot fu dit	--|-|--|
lanouel ede	-|-----⌫|-|
detotes p a rzaluiu enoient	-|----|-⌫-⌫-||--|-⌫------|
elesma l adesam enoient	|--|--⌫-⌫---|--⌫------|
edexde lorenfermetez	|--|-|--|---------|
lesena uoitmolt	--|-|-⌫---|---|
tostgit ez	---|---⌫-|
parl apreie redoseint home	--|-⌫|-----⌫-|-|----|---|
des ierusalem i usqua	--|--------|-⌫---||
ceuo speis	-|--⌫|---|
quenostres i re	--|-----|-⌫-⌫-|
amast tan t ne ne lipleseit	----|---⌫|-|-|-|------|
nus altrestan tcomi lfe soit	--|-----|---⌫|--|-⌫|--⌫---|
etlareinel a moittant	-|-|----||-⌫---|---|
porl ebien et po rle semb lant	--|-⌫|---|-|--⌫|-|----⌫---|
leueoite stre	-|----|-⌫---|
qu edelui auo itfe ts on mestre	--⌫|-|--|---⌫-|--⌫|-⌫-|-----|
de fere cequil comandoit	-|---|-|-|-|--------|
eteleadesl idemandoit	-|--|---|-⌫|--------|
c onseilde ses plusgranzafferes	-⌫-----|-|--|---|----|------|
comcelequineuo sis t guer es	--|---|--|-|--⌫---⌫|----⌫-|
ferec hosequeles eust	---|-⌫---|-|--|-⌫---|
s eign ordespleust	-⌫----⌫-|--------|
misenob li	--|-|--⌫-|
quedepuce leses tabli	--|-|----⌫--|--⌫----|
quie ren t en	--|-⌫---⌫|-|
uneseinte religio n	--|-----|-------⌫|
quitozio rzmesdeseruiront	--|--|--⌫-|--|-|--------|
seruis elidiront	------⌫|-|-----|
si bien conlauo ienta pris	-|---|--||---⌫---|-⌫---|
bone reinea pris	---|----||---|
re nte e t auoir agrantlargece	--⌫--|-⌫|----||----|------|
silorestablistet adrece	-|--|--------|-|-----|
pardeuantleuesq ue adeliure	--|-----||-----⌫-||------|
dontatozio rzpe u s se ntuiure	---||--|--⌫-|--⌫-⌫-⌫--⌫-|----|
s i fe soi t pord eu eire m ent	-⌫|--⌫---⌫|--|-⌫|-⌫----⌫-⌫--|
etporlacroizse intee nsement	-|--|-|----|--⌫---|-⌫------|
queledesonpoieruoloi t	-|--|-|--|----|-----⌫|
h onoreren siconsolo it	-⌫-----|--⌫-|--|----⌫-|
etdecerefesoitg rant bi en	-|-|-|-------|-⌫---|--⌫-|
conquesneuo stsoffrir	|-----|-|--⌫-|------|
de suirge s qu ele	--⌫|-----⌫|-|--|
etareligion d onees	-||-------|-⌫----|
qu e lele s	-|-⌫-|--⌫|
eleueasmeinsne l ordonas t	||--|-|----|-|-⌫-|-----⌫|
ensiconserueaceles	---|--|----||----|
quideuanterentsesanceles	--|-----|----|--|------|
sigardoitlec onm andeme nt	-|------|-|-⌫---⌫------⌫-|
apo stre certenement	---⌫---|----------|
qui distquanttumildre ser as	--|---|----|-|-----|---⌫-|
ettuplustume lieras	-|-|---||---⌫-----|
e ns ifesoit labone	-⌫--⌫|-----|-|---|
quiensocuer	--|-|-|---|
ertde laflame	--|-|-|----|
al se int esperit embrasee	-|--⌫--|------|-------|
detozbie ns	-|--|---⌫-|
neelenulehonor gr aingor	-|--|---|----|--⌫-----|
nepooitferea son	-|----|---||--|
quedelagra n thumelite	--|-|-|---⌫-⌫|-------|
oeleierte de	|--|---||-|
merueillea tozu enoit	--------||--|-⌫----|
deliequi ensa	-|--|--|-|-|
meintenoit	---|-----|
la plusgr antpar tie do mond e	-|---|--⌫--|---⌫--|-|----⌫|
si comilclotalar oond e	-|--|-|---||-|-⌫----⌫|
et qui a si halthomeiert	-|--||-|---|---|---|
com eest c ostentin s lemperere	---⌫|--|-⌫--------⌫||-------|
co nme nt telc hosepoeitfere	--⌫---⌫-|--|-⌫---|----|---|
com uosmoezici	--|--||--|--|
quefere n ede igna st alior	--|---|-⌫|--⌫----⌫-|-|--|
descha mbrieresla sordeor	--|---⌫-------|-|------|
meis dex libon sli dolzlifrans	---|--|-|---⌫|-|---|-|----|
toz cial squ i	--|----⌫|-||
uue ltfetbien soffrans	---⌫-|--|---|-------|
detoztr aualzporrendre ap res	-|--|--⌫----|--|-----|--⌫--|
re guer redonquiset depres	--⌫----⌫----|--|--|-|---|
p or unepeine	-⌫-|--|----|
blasmeyylous	-----|-|---|
m ilioiesporunsol	-⌫-|----|--|-|--|
sideuonsbi en decuer or er	-|-----|--⌫-|-|---|--⌫-|
et proierde	-|-----|-|
ior edenuit	--||-|---|
que d e chosequilianuit	--|-⌫|----|--|-|----|
parsagraceetparsa merci	--|-|----|-|--|-|----|
nos gartdex toz aillors etci	--|---|--|--|------|-|-|
ensiestieuosei	---|--|-|--|-|
la r einede	-|-⌫---|-|
grant b onte	----|-⌫---|
qu ipar dre itanom	--⌫|--|---⌫-||--|
seinteh eleine	-----|-⌫-----|
se ruir se	--⌫---|-|
me tem peine	--⌫|-|----|
e t uolt quedoseintismefu st	-⌫|---|--|-|--------|--⌫-|
u nefe st eestabliefust	-⌫-|--⌫--⌫|-------|---|
aliorq ue dex p arsa pui ss ance	-|--|-⌫-|--|-⌫-|-|---⌫--⌫---|
loren fis t uraie	--|-|---⌫|----|
connoissance	-----------|
altierzior en	-|----|--|-|
quip eisaestése ns esmei	--|-⌫--||----|--⌫-|----|
par t otle mondec elebree	--|-⌫-|-|----|-⌫------|
etpo r feredroiteamembree	-|--⌫|---|-----|-------|
futensinoté es salt ie rs	--|---|----|-|----⌫--⌫-|
es l iureseteskalendiers	-|-⌫----|-|-|---------|
c estde l acroizlin uention	|--|-|-⌫|----||--⌫------|
oruosueilferemention	-|--|---|---|------|
dunechosequedist	|--|----|--|---|
l estoi re	|-----⌫-|
quedexpar sa sein t ismegloi re	--|--|--|-|----⌫-⌫---|----⌫-|
uol tquedo siecletrespas sast	---⌫|--|-|-----|-------⌫---|
la b onerei ne etpas sast	-|-⌫--|---⌫-|-|---⌫---|
lass usenlas oem eson	----⌫-|-|-|-⌫-|-⌫---|
doteennuleseison	---|-|---|-----|
n oif n egeleenetem p este	-⌫--|-⌫|----|-|---⌫-⌫---|
neneli puet	-|-|-|---|
feremo l este	---|--⌫-⌫---|
ne re isneemperere	-|--⌫-|-|-------|
ente leagecomeel e	-|--⌫|---|---|--⌫|
qu eplus ot dequatre uinz	--⌫|---|-|-|-----|---|
labonedameseinsahan z	-|---|---|----|----⌫|
nesein ssoff rir	-|----⌫|----⌫--|
gueresdolor	-----|----|
senal aanost reseignor	|-|--⌫||----⌫-|------|
q uilosethonordoit auoi r	-⌫-|--|-|----|---|----⌫|
ice do it bienchascons s auoi r	--|--⌫-|---|-------|-⌫----⌫|
partozlessiecles qui	--|--|--|------|--|
equi iames nefineront	|--|----|-|-------|
f o l e st quialtreme ntle	-⌫-⌫|-⌫-|--|-------⌫-|-|
dites que dexlotreit	----|--|--||-----|
