#META#TextU RI	-----|-----⌫-|
Alex i sOctP	----⌫-⌫----|
q uerplus estpir e	-⌫--|---|--|---⌫|
Page u01P179	----⌫------|
Leretolirqu elescondire .	-|------|--⌫||---------⌫|
Beaufizdontuos	---|--|---|--|
ui ntteldu rec e	--⌫-|--|--⌫---⌫|
Que u o sseueausenma	--|-⌫-⌫|------|-|-|
Nemefeistesnul co nfort	-|-|------|--|--⌫----|
Au meinse inzqueuosfussiezmor t	-|----|-⌫--|--|---------|---⌫|
Queseieusseun	--|-||----|-|
p arlémon esp erit	-⌫----|--|---⌫---|
En fu st mèstozior z	-|--⌫-|---|--|---⌫|
p lus a ese	-⌫--||--|
Mèsiedeibienestreamesese.	---|-|--|---|----||------|
Mes euz or	--|--|-|
de lplorer asez	--⌫|-----|---|
uosseiez tozlassez	--|----|--|-----|
que uosaiezper due	--|--|---|---⌫--|
Etla clartéetlaueue	-|-|------|-|-|---|
C est dreiz querse	|--|----|---|-|
uos eusiez	--|-----|
Sibiencommeuosdeuss iez	-|---|----|--|-----⌫--|
Ale xim onfizauisé	---⌫-|-⌫-|--|-----|
fust iasidesguisé	---|-|-|--------|
Queneleusie zqueneu	--|-||-----⌫|-----|
Ames main sleueretchouc hier	|--|----⌫|----|-|-----⌫---|
Amesma meles aletier.	|--|--⌫----|-------|
Fol io3 8 a	---⌫---⌫-⌫|
f azm esforse npi r e ir	-⌫-|-⌫-|---|-⌫---⌫-⌫-⌫-|
Cestcil qu itorna enmesfl a n s	|--|--|--⌫|----|-|--|--⌫-⌫-⌫|
Parquii aisof ferttantahans	--|--||-|---⌫---|---|----|
Iadis aunestree au norrir	----|-|-----||-|-----|
Maislip lusgriésest au morir	---|-|-⌫--|-----|--|-|----|
Quercelsal eioitespera nce	---|---|--⌫----|------⌫--|
Ornos griéue	-|--|------|
desesperance .	------------⌫|
Alexi beaus	----|----|
fizbeaus amis	--|----|---|
Entelduelauezmo ncuer	-|--|---|---|--⌫|---|
Que i amèsn ul iorquege uiue	--|-⌫----|-⌫-|--|--|-|---|
Nese r aifo rslassechait iue	-|--⌫-⌫-|--⌫-|----|-----⌫--|
uosquisaue zle cuerdemére	--|--|----⌫|-|---|-|----|
Aiez pitie ́en uos trec uer	---|-----⌫|-|---⌫--|-⌫--|
Dema dolor queranul	-|-|----|---||--|
Ne porroitprou	-|------|---|
p it iéauoir	-⌫--⌫--|----|
Cilq ui moncuernep uetsauoir.	--|-⌫-|--|---|-|-⌫--|------|
Iloqu esreuintlesposée	-----⌫-|-----||-------|
Tris te mated esc heuelé e	----⌫-|---|-⌫---⌫-------⌫|
Quilereg r etedurement	--|-|---⌫-⌫--|-------|
la moitu eraie ment.	|-⌫---|-⌫-----⌫----|
Las sechai tiuefetellasse	---⌫-|----⌫---|--|-|----|
On quesnoiderien queiamass e	--⌫---||-|-|---|--||-----⌫|
Ioie solaz	---|----|
n ecompa ignie.	-⌫|-----⌫-----|
usétotemauie	---|---|-|--|
Et de s pe nduem aiou ente	-|--⌫-⌫--⌫---|-⌫|---⌫---|
En esperance et en	-|--------|-|-|
Etoraiie deltotperdu	-|-|-|-|--|--|----|
Ce qu eiai toz i orzatendu.	-|--⌫||-|--|-⌫--|------|
Cestep erte est so r totesp ertes	----|-⌫---|--|--⌫|----|-⌫----|
Ka rorsuii eu ue ue	--⌫|-|--|-⌫|-⌫--⌫-|
adecertes.	---------|
Ai nceisquemi sire smorust	--⌫----|--|-|----⌫|-----|
Aueieieque l p art	----|-|---⌫|-⌫--|
Gra nt h ennordel non	---⌫-|-⌫----|--|--|
QuemmapelotfemmeA lexi	-|-||-----|----|-⌫---|
Mè sorsuiuueuesanz	---⌫|-|--|----|---|
Sanzcest non etsanzcestennor	---|---|--|-|---|---|----|
a i iemèsp oi nt de	-⌫|-|---|-⌫--⌫-|-|
F orsDeua q uiie	-⌫--|--||-⌫-|-|
mecommant.	-|-------|
Certes iesuismout	-----|-|---|---|
corocie ́e	-------⌫-|
isside to t lessiée	---|-|--⌫|-------|
Queril out mamor primereine	---|-|--||---|---------|
illa des ree ine.	-|-|---⌫---⌫---|
Ie ne s ain ulautre	-|-|-⌫-|-⌫-|----|
Queiepuisse aueirdesamort	--|-|-----|----|-|-|---|
Forsqueiamès autrena ura i	---|--|-----|----||-⌫---⌫|
uirgesuiet	----|--|-|
ui rgemorrai.	--⌫--|------|
Mout en estt riste	---|-|--|-⌫----|
etcorocée	-|-------|
Etlereg retentla	-|-|---⌫-----|-|
Etdoucement serepenteient	-|--------|-|----------|
Tuit cilquimeffetli	---|--|--|-----|-|
Touzle plo rent communement	---|-|---⌫---|----------|
Ker aussue ns	--|--|---⌫-|
gran t pitiéen	----⌫|-----|-|
autre e n sont mout	----|-⌫|---|---|
Que d ecorouzque	--|-⌫|-----|--|
acilquinenseit	|--|--||-|---|
Ple inemeson depl ore iz	---⌫--|----|-|--⌫---⌫-|
ueer a celehore.	---||---|----|
C hascunleple intcha s cun le plore.	-⌫-----|-|---⌫--|---⌫-⌫--|-|-----|
Lo rs kemandapape Innocent	--⌫-|------|---|-------|
Quelic ors fustmoutrichem ent	--|-|-⌫--|---|---|------⌫--|
Conreez etenbi éremi s	------|-|-|--⌫---|--⌫|
Plusors s en sunts ientr emi s	------||-|---|-⌫|----⌫---⌫|
Qu eil l ont mo utbiena torné	--⌫|-||--|--⌫-|---|-⌫-----|
At an ts en su nt dil ectorn é	--⌫--⌫||-|--⌫-||--⌫-|----⌫-|
Eten portentdreitaliglise	-|-|------|----|||-----|
Pageu01P180	----------|
Lecorspor fereleseruise.	-|---|--|---|-|-------|
Meseinzceisqueilfussent la	--|-------|--|-|------|-|
Moutg r ant pueples i asembla.	---|-⌫-⌫--|------||-------|
Chascunsepe in ed aprochier	------|-|--⌫--⌫||--------|
biér eeta let ouchier	-----⌫|-||-|-⌫------|
Porreuerenceetporsante ́	--|--------|-|--|-----⌫|
Ettanteniu intgrantpl en té	-|---|-||-⌫--|----|--⌫--⌫--|
Queil ifir ent moutgrant	--|-||---⌫--|---|----|
L unsedrecel	|-|-|----||
autresab esse	----||--⌫---|
L unenpeintlaut reet hurteet	|-|------||---⌫-|-|----|-|
Det este oudespaule	-|-⌫---|-||------|
L unch iet ad enzetlautreenuers	|-|--⌫--|--⌫--|-||----|-----|
Lunde ltort laut redel	|-|--⌫|---||---⌫-|--|
L un uetauantet	|-|--|----|-|
l autre arr i ére	|----|---⌫-⌫---|
Por passe rpardesouz la	--|-----⌫|--|-----|-|
Moutontlesporteo rsla ssez	---|--|--|------⌫-|--⌫---|
Mèsmir a clesiout asez	---|---⌫-⌫---||--|---|
Commedecontrezr edre ci er	----|-|------|-⌫----⌫--⌫-|
Demaladesessanicier	-|------|---------|
Etd erendreoi eetueue	-|-⌫|-----|--⌫|-|---|
A ceusquil aueientperdue .	|---|--||------|------⌫|
Quantli dui enperére u eient	----|-|--|--------|-⌫----|
Lesmirac l es quiaueneient	--|-----⌫-⌫-|--|--------|
Sorlorc ousont	--|--|-⌫--|--|
Si len po rt e ntdreit a	-||-|--⌫--⌫-⌫-|----||
Saint Bonifa ce.Por lapresse	----|------⌫--|--|-|-----|
Departirqui moutle sc ompres se.	-------|--|---|--⌫|-⌫------⌫--|
Fon tse m erdeniersçaetla	---⌫|--⌫-⌫-|------|--|-|-|
Mèsg ue resnelor	---|-⌫--⌫--|-|--|
Car lipuep lesplusuolentiers	--|-|----⌫--|---|---------|
Cortala bi érequ au s deniers	---||-|--⌫---|-|--⌫|------|
Au mostieruiénentagrant peine.	-|------|-------||----|-----|
Lecors ga r dentun e semein e	-|---|--⌫-⌫---|--⌫|------⌫|
Etontfetferedeno uel	-|--|--|---|-|--⌫--|
Un sa r coilmoutri cheetmout	-|--⌫-⌫---|---|--⌫--|-|---|
ou rédoret dargen t	--⌫--||-|-||-----⌫|
Et entallié biensoutilme nt	-|--------|---|--------⌫-|
A florsa pierresprecioses	|----||------|--------|
Biencléresetb ien u ertu o ses.	---|------|-|-⌫--|-⌫----⌫-⌫---|
Ileque s ont	------⌫|--|
le s a int corsmis.	-|-⌫-⌫--|---|---|
IssifetDexde sesa mis.	---|--|--|-|--|-⌫---|
Orp reunDe u deuo tement	-|-⌫---|--⌫|----⌫-----|
totescommunement	----|----------|
Que ilno sdoint p arsa	--|-|--⌫|----|-⌫-|-|
S i espu rgernosde pechié	-⌫|----⌫---|--|-|------|
Etd oreen aua ntuiureissi	-||--|-|---⌫-|----|---|
Quen os ouec	--|-⌫-|---|
saintAlexi	----|----|
Pui ssonestreparsapreiére	---⌫---|----|--|-|-------|
En uieetenioie planié re.	-|--|-|-|---|-------⌫--|
