adam sirefourméteai	---|---|------|-|-|
e stcofable ouprophecie	-⌫-|-|----|-|--------|
q ueestic o	-⌫-|--|--⌫|
quetu asdit	--|-|-|--|
tr uuas letuou est escrit	--⌫---|-|-|-|--|-----|
tuasdormitu lesonias	-|-|----|-|-|-----|
estcoa certes	--|-||-----|
fable ai nz	----|--⌫-|
est t ut uoir	--|-⌫-|---|
or elenus faitesdo nche sue er	--⌫|-|--|-----|--⌫----⌫|--⌫-|
est proph e cie	--|-----⌫-⌫--|
enliureestescrito il	-|----|--|-----|-⌫-|
nel soniai pasainz	-||-----|--|---|
e tucom ent par deu u ertu	|-|---⌫--|--|--|-⌫---|
tumesemble suiel redoté	-|-|------⌫|---|------|
t u as le senstot trubl é	-⌫|-|-|---|--|-----⌫-|
tu mesemblesuielmeur	-|-|------|---|---|
bien garder almiror	---|-----|-|----|
ormegardezen ceste main	-|-|-----|-|----|---|
siiai lecor	-||-|-|--|
mala deo us ai n	----⌫-|-⌫|-⌫--⌫|
d ontne garrasieen tauie	-⌫--|-|-----|-|-|-|--|
doncm alades oil derrur	---|-⌫-----|--||----|
quant engarrai	----|-|-----|
iamesa nulior	-|--||--|--|
o re come nce deta deuinaille	-⌫-|----⌫--|-|-|---------|
coque iodi ni ertpas	-|--|-|-||-⌫--|--|
or nusredita uisio n	-|--|---|-|-----⌫|
estue rgeou baston	--|--⌫--|-|-----|
saflorqu e	-|---|--⌫|
por ranestre	---⌫-|-----|
noste t endrompuispo rmais tre	--|-|-⌫-----|---|--⌫|----⌫--|
e c e stegen eracion	|-⌫-⌫--|---⌫------|
escu te rai puistalec c on	----⌫--⌫--|---|-|---⌫-⌫-|
or escutetzla gr ant	-|-------|-|--⌫--|
merueill e	--------⌫|
si gran tnoima isor eille	-|----⌫||-|--⌫-|--⌫----|
sigrantnen fuonc ma is o i e	-|----|--|-|--|--⌫-|-⌫-⌫|
desquantcome nzacesteuie	--|----|----⌫--|----|--|
presestlitens nestpas loi nteins	---|--|-|---||--|--|---⌫-----|
net arzera i a ests o rmai ns	-|-⌫-----|-⌫|--|-⌫-⌫|---⌫-|
qu e uneuirge con ceuer a	--⌫|--|----|---⌫-----⌫|
eui rgeun filzemf antera	|--⌫--|-|---|---⌫-----|
i l auranon eman uhel	-⌫|---|--|----⌫---|
mess ageenie rtsaintga briel	----⌫--|-|--⌫-|----|--⌫----|
la puceleiertuirgemar ie	-|-----|---|----|---⌫-|
siporter a	-|------⌫|
ihesulenostresaluaor	----|-|-----|------|
quiadam trarra degrantdol or	--|---|-----|-|----|---⌫-|
etre metrae nparais	-|--⌫----|-⌫|-----|
icoqueuusdide deu laiapr is	--|--|--|-|-|--||-|---⌫-|
i erttot acompl ipar ueir	-⌫--|--|------⌫|--|---|
en cedeueztenire spei r	-|-|----|----|-⌫----⌫|
oezuertumerueilleg r an t	--|----|--------|-⌫-⌫--⌫|
ne loit hommequisoit en	-||--|----|--|---|-|
io uidestrais	-|-|--|----|
chi fis m ettre	--|--|-⌫----|
enfocardant	-|--|-----|
lefoucestoit multfiere	-|---|-----|---|---||
ela flambe clere bruiant	|-|-----|---||------|
lestroise mfanzf asoient	--|----|-⌫----|-⌫------|
ioie grant	---|----|
ilfurent al fou cardant	-|-----|-|---⌫|-----|
chanto uentu nuers sibel	------⌫---|-⌫|---|-|--|
sem bloitli anglefuissentd el cie l	---⌫----|-|----|-------|-⌫-|---⌫|
c umiomenregartsi uile quar tz	-⌫-|-||-|-----|-|-|-|----⌫-|
chil or faso i tmultgrantsolaz	--|-⌫-|----⌫-⌫|---|----|----|
leschieresauoie nttan t resplendisant	--|------|-----⌫-|---⌫|------------|
sembloientlefilzdedeupuissant	---------|-|---|-|--|-------|
oiez seignorcommunement	---|------|----------|
d unt no stre s eignor	-⌫--|--⌫---|-⌫-----|
nus repr ent	--|----⌫--|
decoque tote creature	-|-|--|---|-------|
chescunesolo ncs anature	-------|----⌫-|-⌫|-----|
reconuitmi elz n ostresei gn or	-------|--⌫--|-⌫----|---⌫--⌫-|
quehomenefetcest	--|---|-|--||--|
gr antdolor	--⌫--|----|
mes homedeluiseruirsefeint	--|---|-|--|-----|-|----|
dequeinos tr esiresepleint	-|---|---⌫--⌫|---|-|-----|
quen u saime tantbo ne m ent	--|-⌫-⌫|---|---|--⌫--⌫-⌫--|
lefirm ament	-|----⌫----|
nosad doné la	--|-|----|-|
s eign orie	-⌫----⌫---|
me schescun de nus laguerrie	--⌫|------|-|--|-|------|
muesbestescasorzlions	---|-----|--|--|----|
oisea lsserpe nz	-----⌫-|-----⌫-|
mersepess on s	---||----⌫--⌫|
fontq uanquei l deiuen t sanztris tor	---|-⌫-----|-⌫|------⌫|---|----⌫--|
e grac ient	|----⌫---|
tuitlorcriator	---|--|------|
cieletterresoleiletlune	---|-|----|-----|-|---|
nesdes este illesniaune	--|--|----⌫----||||--|
quene facequanque	--|-|---|------|
home quefetq uetoterienueit	---|--|--|-⌫-|---|---|---|
m ultpa r est plaind ecoueitie	-⌫--|--⌫|--|----|-⌫|-------|
quededeun a nulepitie	--|-|--|||---|----|
plu s uole ntier s o rreitchanter	---⌫|----⌫-----⌫|-⌫----|------|
c om er o llantalaiuster	-⌫--⌫|-⌫-⌫----|--|-----|
eoliuer soncompainnon	|-----|--|---------|
quiln e ferrait lap as sion	-|-|-⌫|------|-|-⌫--⌫---|
qu e suffr icr ist a grant	--⌫|-----⌫|--⌫--||----|
porlepecchieque fistadam	--|-|------|--|---|---|
porqueisumes nosorguillus	--|---|----|--|--------|
e l aschaitifsia morrumnus	|-⌫-|-------|-|-----|--|
quier tqui porn osbienfra	--|--⌫|--|--|-⌫-|---|--|
qu antlalmedelcorspartira	--⌫--||---|--|---|------|
oscirea nceis	-----|-⌫----|
nusdeuri om	--|-----⌫-|
q u edamnedeucorisce s om	-⌫-⌫|-------|-------⌫-⌫-|
n o s fes o m	-⌫-⌫|---⌫-⌫|
trestoitquedolent	-------|--|-----|
multenaurom	---|-|----|
gr iefiugem ent	--⌫--|-----⌫--|
necremisse	-|-------|
oudestorbe r dauconmes tier	-|--------⌫||----|---⌫---|
d e squinzes ignes	-⌫-⌫|-----|-⌫----|
einzqueremuerme quesise	------|-----|-|------|
tot e lapureu erite	---⌫|-|---|-⌫----|
seignorsuendreitiluusa gre	-------|-------|-|--||--|
cho sesfinirunt	---⌫--|-------|
nad solzci elho me tan tfelon	|-|---|--⌫-|--⌫-|---⌫|----|
siuersde u aentencion	-|---|--⌫||--------|
si un poime scoteaparler	-|-|--||-⌫----||-----|
ie stuce i aa	|-⌫----|-⌫||
carquantcest sieclefinira	--|----|---|-----|-----|
nostres i resignefra	-----|-⌫-⌫-|----|--|
co nosrecon teiheremie	-|--|-----⌫-|-------|
zorobabel eysaie	--------||----|
eaaronemoy ses	|----||---⌫--|
etoitli altre p roph ete apr es	|---|-|----|-⌫----⌫--|---⌫-|
debabiloine	-|--------|
s ilaf e rmeiezec hiel	-⌫||--⌫-⌫--|-----⌫---|
queun poi deuantle iugemen t	--|-|--|-----|-|-------⌫|
toitlifel onse rron tdolent	---|-|---⌫-|--⌫----⌫|-----|
most era deus sapoeste	----⌫--|---|-|-----|
en terrede	-|----|-|
qui oreuoelt	--|--|----|
oir lamer ueille	--|-|---⌫-----|
enuersqui rienne	-----|--|---|-|
sapareill e	|--------⌫|
sid re sce sun chiefesimes ga rd	-|-⌫--⌫--|--|----||-||--⌫--⌫-|
iolidirra iadequelpard	-|-|----|-|-|---|---|
uendralag rantmesaue nture	-----|-|-⌫---|------⌫----|
q uip asser atotemesure	-⌫-|-⌫-----⌫|---|-----|
or escotezdelaior nee	-|------|-|-|---⌫--|
doitestre redotee	---|----|------|
delciel cherraplui esa nglante	--|---|-----|----⌫|--⌫------|
ne quidezpasque i o	-|-----|--|--|-⌫|
toteterreeniert colore e	---|----|-|---|------⌫|
mul tauraciaspr e	---⌫|---|-|----⌫|
liemfa nt qui nezn eserront	-|----⌫-|--|--|-⌫|------|
dedenzlesuent res	-----|--|----⌫--|
odclereu oi zmulthalt ement	-|----|-⌫--⌫|---|----⌫----|
mer cir ois d eu	---⌫-|-⌫--|-⌫-|
onipote nt	-------⌫-|
ias irenequerrom nestre	-|-⌫--|-|------|-----|
mielzu oldr iumnus ni ent	----|-⌫----⌫--|--|--⌫--|
quenasquisumaicelior	--|--------||---|--|
quetoter ien soeffredolo r	--|---|-⌫--|------|----⌫|
edir ro nttoit ihesu	|---⌫--⌫-|---|----|
li p remie rsio rsie rttot rea ls	-|-⌫-----⌫-|--⌫-|--⌫-|--|---⌫-|
lisecundserra plusmal s	-|-----|----|---|---⌫|
cielc herr ont les estoi les	---|-⌫----⌫--|--|-----⌫--|
coiertunede	-|---|--|-|
sesmerueilles	--|---------|
tant b ien fich i e	---|-⌫--|----⌫-⌫|
ce liord el	--⌫|--|-⌫-|
cie lnechie	---⌫|-|---|
sitos tdesor	-|---⌫|----|
co mef ol dr equant	--⌫-|-⌫--⌫--⌫|----|
eledese rr e	--|----⌫--⌫|
desusces monz i rrontc or ant	----|--|---|-⌫----|-⌫--⌫--|
com e g r antlerme sespand ant	---⌫|-⌫-⌫--|-----⌫|------⌫--|
enequ edent motne	|----⌫----|--|-|
i osque abissmedescenderont	-⌫----|------|-----------|
pard u auerontlorgrantclarte	----⌫|------|--|----|-----|
parquoilu is entla	--|---|--⌫--⌫--|-|
nairesserro ntcomecharbon	-----|-----⌫-|---|------|
e deu xpe renos	|---⌫|--⌫-|--|
qui tot somesenuolup é	--|--|----|-------⌫-|
desgra nt pecch i ezemueni mé	--|---⌫-|-----⌫-⌫-|------⌫--|
li tierzsignesiertmer ueillo s	-|----|-----|---|---⌫------⌫|
pleindedolo re	----|-|----⌫||
quelesole ielque uusuee z	--|-|----⌫--|--|--|---⌫|
qui tant es t	--|---|--⌫|
bie nenluminez	---⌫|--------|
e enlumineto terien	|-------|--⌫-|---|
coluiu eezuouschesc oniorbien	----|-⌫--|---|-----⌫-|--|---|
car il donelumiereal monde	--|-|---|------|-|----|
nusfacedepecche monde	--|---|-|-----|----|
serraplu sna i rqueno l e	----|---⌫|--⌫-⌫|--|-|||
i cone u osfet pa s ataire	-⌫-|-|-⌫-|--|--⌫||----|
car lesoleilen dro i tm iddi	--|-|-----|-|---⌫-⌫|-⌫---|
popletantnerci	----|---|----|
iagotene uerro nt	-|---|-|-----⌫-|
icilquiaceli orserront	---|--||--|-⌫-|------|
ede u xque	|--⌫-⌫|--|
ferrontdoncic il	------|---|--⌫-|
quedes orz pecchezontfet	--|--|--|------|--|--|
ede uxest a ea uscorocié	|--⌫-|--||--⌫-|-------|
aicelior serrontiré	|---|--|------|---|
por ni en tmercilicri e ront	--|--⌫--⌫|----|-|---⌫-⌫---|
quanttantpe cchie	----|---|--⌫----|
pe ni tence couend roit fere	--⌫--⌫----|------⌫---|---|
cel u iquiadeuxuoldra	---⌫-⌫|--||---|-----|
easpour esdo nerdel	|-|----⌫-|--⌫--|--|
preerchescon	----|------|
lamortussent pa rai s	-|---|-----|--⌫---⌫|
bienpr eert otdis	---|--⌫--|-⌫-|--|
li quarts igneser tm ultdot ables	-|----|-⌫----|--⌫|-⌫--|---⌫----|
eun desplus es puntable s	|-|--|---|--⌫--------⌫|
carlalu ne quetantest bele	--|-|--⌫-|--|---|--|---|
alch ief delmoisquan testn ouele	-|--⌫--|--|---|----⌫|--|-⌫----|
enuermeilsanc	-|------|---|
eencol orsemblableafanc	|-|---⌫-|--------||---|
de terre d esce ndra	-|----|-⌫----⌫---|
mesmu ltpoiide morera	--|--⌫-|--||--⌫-----|
c orantuen dra droit a	-⌫----|---⌫--|----||
parf orceuoldr aenz entrer	--|-⌫---|-----⌫|--|-----|
por es c hiuerleiorde ire	--|--⌫-⌫----|-|--|-|--|
que nosiu gera	--|--|--⌫---|
no stresire	--⌫---|---|
ausi le criendronttotegen t	---|-|---------|---|---⌫|
ca rco e rtle	--⌫|-|-⌫-|-|
iord eli ogement	--|-⌫-|-⌫------|
tantser ro nt malbail li	---|---⌫--⌫-|-------⌫-|
n au ramerci	|--⌫-|----|
quipeccheor a uronteste ́	--|-------|-⌫----|----⌫|
trestozles iors	------|--|---|
dello r ee	--|--⌫|-|
liquint serrale plus oribles	-|----|----|-|---|------|
detozicesle plus fern icles	-|--|---|-|---|----⌫----|
cartrest otes lesmues	--|-----⌫---|--|---|
cieltorneron tl orteste s	---|--------⌫|-⌫-|-----⌫|
adeuuoldrontmercicrier	|--|-------|----|----|
mes elesneporrontparler	--|---|-|------|-----|
ces g rantf o ssezirr ont	--|-⌫---|-⌫-⌫---|---⌫--|
porgrant pour	--|----|---|
sificherunt	||--------|
lanegittera gr a ig nor brait	|--|------|--⌫-⌫--⌫--|----|
qui o r enef eroient diseset	--|-⌫-⌫|-|-⌫------|--||--|
molt c riemdro nt	---|-⌫-------⌫-|
anguiseu sement	--------⌫-----|
deli ugeor l auenement	--|-⌫----||--------|
adon cn iauraialeesce	----⌫|||---|-|-----|
tote riense rraen	---|---|--⌫--|-|
t ristesce	-⌫-------|
lisisteiornelarraipas	-|----|--|-|-----|--|
quetot lim ond	--|--|-|-⌫--|
serraen bas	----|-|--|
eencont re crest r ontliual	|------⌫-|-----⌫-⌫--|-|--|
tantque as mo n zserrontegal	------|-|--⌫-⌫|------|---|
aicel tensque iou us di	|---|---|--|-|-⌫-|-|
por uoir seignorleuosafi	--|---|------|-|--|--|
serralepais mué	----|-|---|---|
et ant f ortcroslera la	|-⌫--|-⌫--|-------|-|
nasozc iel sihaute	||--|-⌫--|-|----|
queiusnechieai	--|--|-|---|-|
etdo ncc he rr ont trestuit	-|--⌫-|-⌫--⌫--⌫--|-------|
elipa laisquisuntde m arbr e	|-|--⌫---|--|---|-|-⌫----⌫|
lesettimeserr amultcrue l	-|------|----⌫|---|----⌫|
deuantcestuin enfunul tel	-----|-----||-|-|--|--|
quechau serrunt	--|---|------|
sed res ceruntcontremont	-|-⌫---⌫-----|---------|
amont torne runtlor racine s	----|-----⌫---|--|------⌫|
contreterreserron tles cymes	-----|----|------⌫|--|----|
tantcrollerontpargrantair	---|---------|--|----|--|
totelaterreferr ontfrem ir	---|-|----|----⌫--|----⌫-|
n ulefoillen	-⌫--|-----||
ir emaindra	|-⌫-------|
e leg rosp armi pa rtira	|-|-⌫--|-⌫---|--⌫----|
quedeuen drontlorsuosm aisons	--|-----⌫----|---|--|-⌫-----|
uosb eleshabitacions	--|-⌫---|----------|
toteslesest ouerafa illir	----|--|---⌫----|--⌫----|
tote ri en	---|--⌫-|
couendra morir	-------|----|
edonc c ouendr atotegent	|---|-⌫------⌫|---|---|
mori r amerueillostorment	----⌫||---------|------|
lioctimes serramult dotos	-|------|----|---|----|
sortozices multanguisos	--|--|---|---|-------|
de sonc hanel	-|--|-⌫----|
lam eristera	-|-⌫-|-----|
uold ra fuir	----⌫-|---|
mesneporra	--|-|----|
mult parse n	---|--||-⌫|
istr afirement	----⌫|-------|
tot neira co munaum ent	--|----|--⌫------⌫--|
secil nos faltque nosdist	-|--|--|---|--|--|---|
cestm oyses	|--|-⌫----|
quicestes crist	--|---|--⌫----|
de ciqu aciel irra	--⌫---||---|---|
parforce uo ldra	--|----|--⌫---|
enzentr er	--|----⌫-|
lipesson quidenz su ntenclo s	-|-----|--|---|--⌫-|-----⌫|
fesumsouentgrantlos	----|-----|----|--|
de denz terreferont loru oie	--⌫---|----|-----|--|-⌫--|
e quideront que deusn esuoie	|--------|--|---||-|---|
lor sreuendr ala merar i er e	---⌫|-------⌫|-|--|--⌫-⌫--⌫|
comechose q uimultes tfiere	---|----|-⌫-|---|--⌫|----|
entreraensunes tage	------|-|--|--⌫---|
toteseues enlo r ri uage	----|---|-|--⌫|--⌫---|
li nouimesserramultdiuers	-|------|----|---|-----|
ed e tozs ignesmu l t	|-⌫|--|-⌫----|--⌫-⌫|
cartozlesfluuesparleront	--|--|--|-----|--------|
euoizdomeparl era uero nt	|---||--|----⌫-|-⌫----⌫-|
ioentraiengarant augustin	-|-|---|-|-----|-------|
cessygnes d istlafin	--|-----|-⌫--|-|--|
ed irront toit au	|-⌫-----|---|-|
siremerci por ta	---|----|--|-|
deus q uias pardu rablete	---|-⌫-|-|-----⌫------|
e nosdo nasiu uablete	|--|--⌫--|--⌫------|
t uesdeuset se rr as tot iors	-⌫|-|---|-|--⌫--⌫-|--|---|
par tamercinosd eignasfere	--|-|----|--|-⌫-----|---|
multparauu mfiebler epaire	---|--|---⌫|-----|-⌫-----|
li d is m es	-|-⌫--⌫-⌫-|
serratantfier	----|---|---|
qu iln est nul saintqui ta ntsoit chier	-|-||--|--|----|--|--⌫-|---|----|
elcielempres soncriato r	-|---|-----|--|------⌫|
q uedeces tsignen ai tpour	-⌫-|-|---⌫|----||--⌫|---|
afermesaint grigoi re	-----|----|------⌫-|
elino bles c lers saintyerom e	|-|--⌫---|-⌫---|----|-----⌫|
ido nccros le ra cheru bin	---⌫-|----⌫--⌫-|-----⌫--|
esi tr e mblera	|-|--⌫-⌫-----|
ser a ph in	---⌫-⌫--⌫-|
e d elcieltotes les	|-⌫-|---|----|--|
celior ser ra	--|--|---⌫-|
saint piere	----|----|
iaun solmotnesonera	-|-|--|--|-|-----|
delapour qu il aura	-|-|---|-|-|---|
ca riluerra le cielpartir	--⌫|-|----|-|---|-----|
es ipor ralat erraoir	|-⌫|---⌫-|-|-⌫---|--|
brair e molt an gu iso sement	-----⌫|---|--⌫--⌫---⌫-----|
ecrieraroi s d eusiofent	|-----|---⌫|-⌫--|-|---|
lorsaurontcil demferclar te	---|-----|--||----|----⌫-|
eserronttoite sponté	|------|---|-⌫------|
toitsen istr unt forslid iable	---||-|----⌫--|---|-|-⌫----|
saintpol l edist	----|--|-⌫|---|
nestpa sfable	|--|--⌫|----|
orescutez qu ildirront	-|------|-|-|------|
de la paor quilau ront	-|-|---|-|-|--⌫---|
sireperequinosfeis	---|---|--|--|---|
elcielepui slen ostolis	-|---||---⌫|-|-⌫-|----|
nos l e perdi me sp ar	--|-⌫|-----⌫--⌫|-⌫-|
agrantb osoi nmercite	|----|-⌫----⌫|----|-|
cestedol e ntecreatore	----|---⌫-⌫--|-------|
qui la nguis se	--||-⌫-----⌫-|
de l fuc endure	--⌫|--|-----|
chaitiue estmu lte pl ussed eu t	-------|--|--⌫-||--⌫-|-|-⌫--⌫|
deto im erci a ue rnep uet	-|--⌫|-⌫---|-⌫--⌫|-|-⌫--|
re ntnos nos treher b erge rie	--⌫-|--|---⌫--|---⌫-⌫----⌫--|
ne saiqueluertu l ad saisie	-|--|---|----||-|-----|
lionz imes ert	-|---⌫---|--|
multdespars	---|------|
liu enzuendrontdetote s	-|-⌫--|-------|-|----⌫|
esuffleronttant dorement	|---------|---|-------|
l unco n tre	|-|--⌫-⌫--|
lautrefi ere ment	|----|--⌫---⌫---|
quelaterredepeccherun t	--|-|----|-----------⌫|
d e son si ge	-⌫|--|--⌫-|
lagiteront	-|-------|
lesno uels	--|--⌫---|
morzgiteront fors	---|-------|---|
parl eiremp orteront lescors	--||--|---⌫-------|--|---|
t ozle sferr ont ferirensemble	-⌫-|--⌫|----⌫--|----|-------|
lors descend rad el	---|-------⌫-|-⌫-|
c i el lacengle	-⌫-⌫-|-|-----|
que nosapelu narcdel ciel	--|--|-----⌫|--|--|---|
color au rasembl abl e afiel	----|--⌫-|-----⌫---⌫||---|
entre lesue nzse me s lera	----|--|--⌫-|-|--⌫-⌫---|
aualenz emfe rlesmerra	---|--|----⌫|--|----|
deables botera dedenz	------|-----|-----|
ou ilsuf freru ntles	-|-|---⌫-----⌫-|--|
desfroiz e des	--|----||--|
est reinement dedenzeplors	---⌫--------|-|---||----|
poislor d irra	---|--|-⌫---|
iciuoseste z	--|--|----⌫|
desusterremesne uene z	----|----|--|-|----⌫|
uient queuus	----|--|--|
plente de gent en uos dest rez	-----|-|---|-|--|----⌫--|
lorscom en cerunttoitarire	---|---⌫--⌫-----|---||---|
ede usp eretuqui	|--⌫-|-⌫--|-|--|
decel eioie	-|---⌫|---|
nosdesfent	--|------|
carc ilserrontto itdolent	--|-⌫-|------|--⌫-|-----|
qui serrun t	--|------⌫|
parconierd e luis	--------|-⌫-⌫|--|
dont lidiablee s tpostis	---|-|-----|-⌫-⌫|-----|
li doscimeertdaltre maniere	-|------|--||----|------|
nacreature	||-------|
ta ntfie re	--⌫-|---⌫-|
sebien n enset laueri te	-|---||-|--|-|----⌫-|
n endoieauerle	|-|---|---|-|
cuert rublé	---|-⌫-----|
ed euroitamenders a uie	|-⌫-----|------|-⌫|--|
e seruir de ulefilzmarie	|-----|--⌫|-|---|----|
serra reclosariere	----|-----|-----|
i auranulzqui ne quiere	|---|---|--|-|-----|
lunuers l autre	|-|---||----|
sou entconse il	---⌫--|-----⌫-|
chesc onsdir ra	-----⌫--|---⌫-|
multmemerueil	---|-|------|
comnosp oumici e ster	--|--|-⌫--|--|-⌫---|
quant toterienuenrafiner	----|---|---|----|----|
e crierun tmerciauroi	|-------⌫|----|-|--|
quitotemesure adensoi	--|---|-----|-|-|--|
quant liangl epouraur ont	----|-|----⌫|---|---⌫--|
lipeccheor lasq uefer unt	-|-------|--|-⌫-|---⌫--|
liy yiert trop salualges	-|-⌫|---|---|--------|
car cil qu esorentleslan gages	--|--|--⌫|-----|--|---⌫----|
iafed l efilzthare	----|-⌫|---|----|
eabrah anl efilz chore	|-----⌫-|-⌫|---|----|
nenpuissentlam eitiedi re	--|-------|-|-⌫----|--⌫-|
des grantz	--|-----|
quenostresire mus t rera	--|-----|---|---⌫-⌫---|
quanti cistsigneauendra	----|-⌫---|----|------|
car totes les piere sques u nt	--|----|--|-----⌫|--|-⌫-⌫-|
de soster repartotle	--⌫--|---⌫-|--|--|-|
e desus t erree des u z	|----|-⌫---||---⌫-⌫|
edeciqu a abisme	|-----||-----|
comencerontunebataill e	----------|--|-------⌫|
nequidezpas queiouus f aille	-|-----|--|--|-|--|-⌫----|
e sentreferron tmul tforment	||-----------⌫|---⌫|------|
come foldrequanteledesc ent	---|-----|----|--|----⌫--|
mul tsef e rronta	---⌫|-|-⌫-⌫----||
grantprooche	----|------|
bienserrasem blantde t riste sce	---|----|---⌫----|-|-⌫-----⌫--|
sidu reratot unior	-|--⌫---|--|-|--|
coiert s e mblantdegrant	-|---|-⌫-⌫-----|-|----|
li yy iertm ultmals	-|-|---|-⌫--|---|
atotle mondcom ona ls	|--|-|---|---⌫---⌫-|
d enoi sdegresliz e d orez	-⌫|---⌫|-|------|||---|
de merueillost empestez	-|---------|-⌫-------|
lors uendrontfoldresetesc la ir s	---|-------|------|-|---⌫--⌫--⌫|
trestotent roblera	------|-|-⌫------|
les n uesq ui	--|-⌫--|-⌫-|
corentsito st	-----|-|--⌫-|
d elesferront	|---|------|
unegrantho s t	--|----|--⌫-⌫|
dro italamerirront fuiant	---⌫-||-|--|-----|-----|
fort tempeste demenant	---|-------|-------|
l eiordoteront	-⌫|--|-------|
plustost irrontqu euentdebise	---|---|-----|--⌫|---|-|---|
lamerirrontfuiant	-|--|-----|-----|
te rres a rbre s c onf undant	--⌫---|-⌫----⌫|-⌫---⌫-----|
lo rs serraleuals descouer t	--⌫-|----|-|---|--------⌫|
atote cre atureapert	|---|---⌫----|----|
li yys ignes	-|-|-⌫----|
uusd irrai	--|-⌫----|
car deladolorasezsai	--|-|-|----|---|--|
quel isi r esde lciel	--|-⌫|--⌫-⌫-|--⌫|---|
car icest signeauendra	--|----|----|------|
lenon qu ilaurauusd ir ro m	-|--|-|-|---|--|-⌫--⌫--⌫|
cos erra c onsumacion	-|-⌫---|-⌫---------|
lec iel totar dra	-|-⌫--|--|--⌫--|
nule ch ose n eremaindra	---|--⌫--|-⌫|--------|
lamer quetotle m ond	-|--|--|--|-|-⌫--|
eleseues etotli	|--|---||--|-|
repaireronttotanient	----------|--||----|
si c omfual	-|-⌫-|-|-|
comencement	----------|
lors serrontlesuo izoies	---|------|--|--⌫-|---|
a semblance desymphonies	|--------|-|---------|
quidirront	--|------|
auo sp ec cheors	|--⌫|-⌫--⌫-----|
fuiez tres tutuezci l i ior z	----|----⌫--|--|-|-⌫|---⌫|
totpleindegra nt	--|----|-|---⌫-|
mesauen to re	-------⌫--⌫-|
de usn efist celecreatu re	--⌫-|-⌫|---|---|------⌫-|
sise por pensoitdecesf ais	-|-|---⌫------|-|--|-⌫--|
queiamesen sonc ueraitpais	--|----|-|--|-⌫--|--|---|
idoncsonerontlesb osi nes	----|-------|--|-⌫---⌫--|
dolorserront	----|------|
eres ordrunt	|---⌫------|
trestotli morz	------|-|---|
chescunau ra escrit s ons ort	------|--⌫-|-----|-⌫-|-⌫--|
nostresiredo nc refra	-----|---|--⌫-|----|
ciele terre quedefet	---||----|--|----|
p oisdesc e ndra	-⌫--|----⌫-⌫---|
auiugement	-|-------|
cosachezuosmultcrue lm ent	-|-----|--|---|----⌫--⌫--|
s i nosidoinst il	-⌫|--||-----|-|
queno sseu malsoen ple isir	--|--⌫|---⌫|-|---|---⌫---|
