quipetit semepetitquielt	--|----|---|----|-----|
esifoleme ntlenl eua	|-|------⌫-||---⌫--|
reyneuersa	----|----|
tutleui n donteleestoitpleine	--|-|--⌫|---|--|-----|-----|
c ioutlaidee uileine	-⌫|--|----||------|
quelareyne en	--|-|----|-|
estentre e	--|-----⌫|
de doel e d ire	-|---|||--|
ensachambre ou	-|-|------|-|
ele s occit	--||----|
ne quidp assideum ait	-|---|-⌫-|-|--||--|
quee lepeusse es chaperuiue	--|-⌫-|-----|--⌫-----|---|
l iualeznepriseunec iue	-⌫|----|-|----|--|-⌫--|
quanqueli roisliditec onte	------|-|---|-|--||-⌫---|
son doelnedesahont e	--|---|-|-|-|----⌫|
ne lichautil	-|-|----|-|
fai tesmo i cheualerfaitil	---⌫--|--⌫|-------|---|-|
sirero isqu ealer m	---|--⌫-|--⌫|---||
cli er e riantfur entsioil	---⌫-||----|---⌫--|-|--|
enl ateste al	-|-⌫|----|-|
u aletsaluage	-⌫---|------|
lotneltient asage	|-|-||----||---|
mais t uiticil quili	---|-⌫--|---|--|||
pur belepu r gentlui tenoi ent	--|--||--⌫|---|--|-----⌫--|
amisfa i t liroisdescen dez	---|--⌫-⌫|-|---|------⌫--|
e uostre chaceou rrendez	|-----|-------⌫|-----|
acel u aletq ue ue ez la	|--|-⌫---|-⌫-|--⌫-|-|
esachezquemult bienserra	|-----|--|---|---|----|
tut fait adeu	--|---||--|
enfa zleu ou	-|--⌫|-|-⌫-|
auostrepro u	|-----|---⌫|
liu ale t liadrespondu	-|-⌫---⌫|-|-|-------|
ianestoient pas descendu	-||-------|--|-------|
cilque ieo	--|--|--|
encontr ai en	-------⌫-|-|
l a lan de	-⌫|---⌫-|
euos uol ezqueieo des cende	|--|---⌫-|--|--|---⌫----|
ia parmonchie fne	-|--|--|----⌫|-|
descenderai	----------|
maisfa it estos t sime nir rai	---|--⌫--⌫-|---⌫|-||-⌫|--⌫--|
hafaitliroisbeals	-|---|-|---|----|
amis chiers	---|-----|
ieoleferaimultuol entier s	--|-|----|---|---⌫------⌫|
auostreproueamono u r	|-----|---||||---⌫-⌫|
foique ieo dei al creatour	--|--|--|--|-|-------|
fait li ualet bealsirerois	---|-|----|---|---|---|
neserrai cheualers desm ois	-|-----|--------|--|-⌫--|
sic heu aler suerma ilsn esui	-|-⌫---⌫----⌫|-----⌫--|-⌫|--|
do nezmoilesarmescelui	--⌫--|--|--|----|----|
que ie oencontraideho rsl a	--|--⌫|--------|----⌫-|-⌫|
qui uos trecoupe	--|---⌫--|----|
dor emporte	|-|------|
lisenesch alquifu	-|-------⌫-|--|-|
deceoqu ilotsest corucez	-|--|-|-|-||--|------|
e dist a mis	|---|-⌫--|
uos auezdro it	--|---|---⌫-|
a lez litoliro r eendroit	-⌫--|-|----|-⌫-⌫-------|
lesa rmescareless ontuoz	--|-⌫---|--|---|-⌫--|--|
nefe istesmieq ue	-|--⌫----|--|-⌫-|
q ueuosporceouenistesci	-⌫-|--|--|--|-------|-|
kai faitli reis por	--|---|-|---|--|
tropdites uo lenti ersennui	---|----|--⌫-----⌫--|----|
si ne uo schaut	-|-|--⌫|----|
onquesa qu i	-----||--⌫|
aspr odho mes estce ogrant u ices	-|--⌫----⌫--|--|--⌫|----|-⌫---|
purceosiualetz est nice s	--|--|-|-----|--|----⌫|
espoirilest multgentilshom	-----|-|--|---|------|--|
uientd aprison	----||------|
quil eit esté oduila in m estre	-|-|--|----|-|----⌫-|-⌫----|
oncoreputpruz esagesestre	-----|--|---||----|----|
uilan i eest d omega ber	-----⌫-⌫|--||--|--⌫--|
edeprometresanzd oner	|-|-------|---|-⌫---|
prod homenese	----⌫---|-|-|
deit e n tre mettre	---|-⌫-⌫---⌫-----|
denuler ie nautri	-|---|-⌫--⌫|----|
pr omettre	--⌫------|
qu e donernelipui sse	--⌫|----|-|-|---⌫--|
malgrecelina coille	-----|---||-⌫-----|
que sanzpro mett re estsisamis	--|---|---⌫----⌫-|--|--|---|
e desq uilli ad	|----⌫|-|-|-|
sibee a la pr omesseau oir	-|--||-|--⌫-----|--⌫--|
poezsauoir	---|-----|
queassezmiel z uau droitilueer	--|----|----⌫|---⌫----|-|---|
fa i rebe er	--⌫-⌫-|--⌫-|
uoirdireen uoud reit	---|---|-|----⌫---|
limeisme gabe edeceit	-|-----|---||-----|
quifaitp r ome ss ee ne la	--|---|-⌫-⌫---⌫--⌫||-|-|
lequeorsonamisetolt	-|----|--|--|-|---|
ensiliroisali parlout	---|-|---||-|------|
eli ualetz	|-|-----|
q uisena l out	-⌫-||-|-⌫-⌫--|
ad une p uceleueu e	-|--|-⌫----|---⌫|
gente si lasalue	----|-|-|----|
eenrianttantlidist	|-|----|---|-|---|
ualetzs ituu ifsp ar a ge	-----|-⌫|-|-⌫--|-⌫-|-⌫-|
epensenm oncorage	|---|-|-⌫-|-----|
que entrestutlemond nauera	--|-|------|-|---||----|
neniertne nef u ne	-||---|-|-|-⌫|-|
uncheualer meillourde toi	-|-------|-------|-|--|
ensil e pense sile crei	---|-⌫|---||-|-|---|
cele pucele nauoitris	---|-----||----|--|
a nz auoitplusde	-⌫-|----|---|-|
ele sien h aut	--|-|-|-⌫--|
q u etuitloirente kaisaut	-⌫-⌫|---||-----||--|---|
quilapar olee nnuia m ult	--|-|---⌫--|-⌫----|-⌫--|
silidonaun coup	-|-|---|-|---|
des apalmee nsafacete ndre	-|-⌫|----|-⌫|-|---|--⌫---|
terrelafistestendre	----|-|---|-------|
quantlapucele	----|-|-----|
ensonretourtro ua	-|--|-----|---⌫-|
lez unchemineeen estant	--|-|-------|-|-----|
botaelfeuardant	---|-|--|-----|
delpie parcoru ze	--|--|--|----⌫||
purceoqueli sotsoleit dire	--|--|--|-|--|-----|---|
ceste pucelenerira	----|-----|-|---|
ie squ atantqu eleuerra	--⌫--|------|--|----|
cel iquide cheuale rie	---⌫|--|-|-------⌫--|
aue ratutelaseignorie	---⌫-|---|-|--------|
e nsi cilcrieeceleploere	-⌫--|--|---||---|-----|
eli ual etz	|-|---⌫--|
einz senr etoerne	---||-|-⌫------|
sanzcons eil	---|----⌫--|
c heu a l eruermeil	-⌫---⌫-⌫-⌫-|------|
yonetzquiles	-----|--|--|
dr eizsentiers	--⌫--|-------|
sau oittosteuo le ntiers	---⌫--|---||--⌫--⌫-----|
a po rtoitnoueles a tuit	-⌫--⌫----|------||---|
atuzsescompaig nonss acourt	|--|--|-------⌫---||-----|
p arun uergier de lezla	-⌫-|-|------|--⌫--|-|
e parunepostern eauale	|--|--|-------⌫|----|
tantquilu intalchemindroit	-----|-|-⌫--|-|-----|----|
oulicheualeratte ndroit	-|-|-------|----⌫-----|
cheualeriee auent ure	---------||-----⌫--|
e li ualetzgrantaleure	|-|-----|----|-----|
u intuerslipurses armespr endre	-⌫--|---|-|--|--|----|--⌫----|
elicheu alersp u rattendre	|-|----⌫----|-⌫-⌫|-------|
auoit lacup e	----|-|---⌫|
doriusmise	|-|--|---|
sur unperrond epiere bi se	--|-|-----|-⌫|----|--⌫-|
quant liualetza proché	----|-|-----|-⌫------|
tantqueliunslautreo irpout	------|-|--||----|-⌫-|---|
si licriamett ezlesius	-|-|---|----⌫-|--|--|
lesarme s q uen esportezplus	--|----⌫|-⌫-||-|-----|---|
queliroisarthursl e	--|-|---|------|-⌫|
eli cheuale r li demande	|-|-------⌫|-|------|
ualet oseranulsuenir	----|----|---|----|
purled roitleroi	--|-|-⌫---|-|--|
sinulsiuientne l cele z	-|---||----|-||----⌫|
c ome ntdeable sest	-⌫---⌫-|------⌫|--|
uale t z queu os	----⌫-⌫|--|-⌫-|
queo ncoren	--|-⌫----||
auezmesarm estra i tes	---|--|---⌫-|---⌫-⌫--|
ostez lestostieol euoscoman d	----|--|---|--|-⌫|--|-----⌫|
ual etf aitil ieot e demand	---⌫-|-⌫--|-|--|-⌫|-----|
uientcidep ar tleroi	----|-|-|-⌫--⌫|-|--|
quicomb atr ese uoil leamoi	--|----⌫---⌫|-|----⌫-||--|
danzche ualersca r osteztost	---|---⌫-----|--⌫|----|---|
que ieo nesuosos t	--|--||-|--|--⌫|
queplu s ne	--|---⌫|-|
les uossufferai	--|--|-------|
esachezqu eieo uosferrai	|-----|--⌫|--|--|-----|
siplu sparler	-|---⌫|-----|
licheualiersir rez	-|---------|--⌫--|
si a dla lance	-|-⌫|-|----|
adeusm ainsleue e	|---|-⌫---|----⌫|
esil endonetiele colee	|-||-|---|----|----|
parles espaul esentrauers	--|--|------⌫-|-|------|
est oitp as lif er s	---⌫--|-⌫-|-|-⌫--⌫|
fi st enb runche raual	--⌫-|---⌫------⌫|---|
iesquesur lecol del cheua l	-----|--|-|--|--|-----⌫|
eli ualetz se st	|-|-----||-⌫-|
maltalent irrez	--------|----|
colee quiladpris e	----|-|-|-|----⌫|
e nl oilal mielz	-⌫||--|-|----|
qu ilpout lau ise	-|-|---||--⌫--|
e laisse aler	|-----|---|
siquil n ente nt	-|-|-||----⌫-|
ne ueitne not	-|---|-||-|
si le fiert parm iloile l	-|-|----|----⌫||--|-⌫|
del autrepa rtdel ha tere l	-||----|--⌫-|--|--⌫----⌫|
lisanc selaceru eleespant	-|----⌫||-|----⌫--|-----|
dolurle que orlicrient	----|-|---⌫-|-|-----|
siuers ee c h iet tutestenduz	-|----⌫||-⌫-⌫--|--|-------|
eliuasl etzestdescenduz	|-|----⌫--|--|--------|
e met lalance a	|--|-|----||
e lescudelco llidepart	||---|--|--⌫|-|-----|
mais ne sietuenira c hie f	---|-|---|----||-⌫---⌫|
ele healme quila dsu r le	|-|-----|-|-|-⌫|--⌫|-|
q uilne sietcome nt le preigne	-⌫|-|-|---|----⌫-|-|------|
siadtalent	-|-|-----|
quildesceign e	-|-|--------⌫|
lespee m aisil	|----|-⌫--|-|
nelsietfaire	-||---|----|
nede l forelnela s iettraire	-|--⌫|----|-|-|-⌫--|-----|
einzpr en t le	---|--⌫--⌫|-|
forelesache e tire	----||----||---|
yone t zcomencaarire	----⌫-⌫|------||---|
queleualetui t entrepris	--|-|----|--⌫|--------|
iceoqueest fai tami s	---|--|--|---⌫|---⌫|
quefaites uosieone sai	--|-----|--|--|-|--|
i eoquidoede	-⌫-|-----|-|
quilm eust cesarmesd onees	-|-||---|--|----|-⌫----|
maiseinz aueroi parcar bonees	---|---|-----|--|---⌫-----|
trestut esbra oné le	------|-----⌫---|-|
quenuledes	--|---|--|
a rmese mport	-⌫---|-⌫----|
queeles setienent	--|---|-|------|
q ue ceodedenze	-⌫-|--|-----||
c eodehors	-⌫-|-----|
es ttutunsi	--⌫|--|-|-|
commesemble	--|-|-----|
sise tienen t eles	-|-|------⌫|---|
en s emble	--⌫-⌫----|
oreneuosesmaiezderien	--|-|--|------|-|---|
ieolesen departiraibien	--|--|-|---------|---|
siuos uolezfaityonez	-|--|----|---|----|
ore donque stost fait	--|------⌫|---|---|
silesme d onezsanz ar est	-|--|-|-⌫---|---|--⌫--|
tan tost yo nezl es des uest	---⌫---|--⌫--|-⌫-|---⌫---|
eiesqu alorteilledeschau c e	|----|||-----|-|-------⌫-⌫|
quene remesthaubercsnec hauce	--|-|-----|-------|-|-⌫----|
nihealmeelc h iefnaltrearmeure	-|-----|-|-⌫-⌫--||----|------|
m aisl i ua let zsaue sture	-⌫--|-⌫|--⌫---⌫|-|--⌫----|
neueutlai sserque n epreist	-|---|---⌫---|--|-⌫|-----|
purrienque	--|---|--|
yon etzdeist	---⌫--|----|
une cotemultaisi e	--|---|---|----⌫|
dedrap desoie gambos ie	-|---|-|---|------⌫-|
qu edes uzse sarmesauoit	--⌫|---⌫-|--⌫|----|----|
licheualersq uantuifs	-|--------|-⌫---|---|
ne ost er n e lipout despiez	-|---⌫-|-⌫|-|---|--|---|
les ri uel i nsqu	--|--⌫---⌫-⌫-|-|
iloutchauce z	-|--|------⌫|
deablesestceogab s	------|--|--|---⌫|
qu echange roieie omesdras	--⌫|------⌫---|--⌫|--|---|
qu ema mereme fistl	--⌫|-|---|-|---||
purles dras a cest cheu ale r	--|--|---||---|----⌫---⌫|
ma grossech emise decambre	-|-----|--⌫----|-|-----|
pur c est e queestgresleetendre	--|-⌫---⌫|--|--|-----||-----|
uoudriez uos queieo	-------|--|--|--|
ma cote ou elue	-|---|-|---|
purce sti quin	--|--⌫--|--||
enten droitgute	-|---⌫----|---|
h onies oitsa gorgetute	-⌫---|-⌫--|-|----|---|
quil err aneloignsne pres	--|-⌫---⌫|-|-----|-|---|
ses bonsdraz por au tri malueis	--|---|---|--|--⌫--|------|
moutgri euechose estdefolap rendre	---|---⌫--|----|--|-|--|--⌫-----|
rienforsles arme s neuo utpren dre	---|---|--|----⌫|-|--⌫-|----⌫--|
par pr ierequilliface	--|--⌫---|-|-|-|---|
yonetzles chauceslilace	-----|--|------|-|---|
esur lesriuelinslichauce	|--|--|-------|-|-----|
lesesperonsdesus lac hauce	--|-------|----|-|-⌫----|
e puisliad leh a uberc	|---|-|-|-|-⌫-⌫----|
ytelequeonquesmieldresnefu	----|--|-----|-------|-|-|
esurla coifeliasiet	|--|-|----|-|----|
lehe a lmequimoutbi enlisie t	-|--⌫-⌫--|--|---|--⌫-|-|---⌫|
e del esp eeli e n seigne	|-||---⌫-|-|-⌫-⌫-----|
quipen dant elachelaceigne	-||---⌫---||----|-|-----|
puis le metlepieenl estrier	---|-|--|-|--|-||------|
silef aitm ontereldestrier	-|-|-⌫--|-⌫----|-|-------|
queonquesdestrerue una uoit	--|-----|------|--⌫||-⌫---|
n e desperonri enne sauoit	-⌫||------|--⌫-|-|-----|
fors decillanted ero o rte	---|-|------||-⌫|--⌫-⌫--|
ionetlescu li	----||---|-|
el a la nce sil a libaill e	|-⌫|--⌫--|-|-⌫|-|-----⌫|
e einco isqueyonets	|-----⌫----|----||
li distsi reua letpernez	-|---|--⌫-|--⌫--|-----|
mo nchaceour	--⌫|-------|
silenm ene z	-||---⌫---⌫|
quem ult e stbonse ieoleuosdoin	--|-⌫--|-⌫-|---||--|-|--|---|
que ie on ena imes	--|--⌫||-|-⌫|--|
eportezlacupele	|-----|-|---|-|
sil esalu ez	-|-⌫|----⌫-|
dep artmoi	-|-⌫--|--|
e tantdi tes ala	|---|--⌫--||-|
quikey fer rien	--|--|---⌫-|-|
lamaissele	-|-------|
que s iieo puseinzqueieomoe re	--|-⌫|--|--|------|--|---⌫-|
lequidieo mult bienme ttrecu re	-|---|--|---|---|--⌫---|--⌫-|
quepur uenge ́se te nd ra	--|--|-----⌫|-|--⌫--⌫-|
e cilresp on t q ui l	|--|----⌫--⌫|-⌫|-⌫|
alroisacoupeeson message	-|--|-|----||--|------|
f orniraaloid	-⌫-----||--||
atantdepartentsi sen uont	----|--------|-||-|---|
enla saleoulibar on s ont	-|-|---|-|-|---⌫-|-⌫--|
entreyonetzparmilapo rte	----|-----|----|-|--⌫--|
roi saco upea ppo rte	--|-|--⌫--|-⌫---⌫--|
si lidist sire faites	-|-|---|---|-----|
qu euos tre coupe uose nuoie	--⌫|---⌫--|----|--|-⌫----|
uostr eche ualer quicifu	-----⌫|---⌫----|--|-|-|
de quiel cheuale rmedis tu	-|----|-------⌫|-|--|-|
fai tli rois qui en grantire	---⌫|-|---|--|-|----|--|
estoncore par foi	--|-----|--|--|
beals sire	----|---|
fait yon etde l	---|---⌫-|--⌫|
qui oreen dr eitpartideci	--|-----⌫--⌫--|----|-|-|
tu del ualetgalois	-|--|----|-----|
quime demanda faitli roi s	--|-|------|---|-|---⌫|
lesarmesdesyn opl e teintes	--|----|-|---⌫---⌫|------|
a lcheu alerq uihontesmeintes	-⌫|----⌫---|-⌫-|-----|------|
madfaites solom so npoeir	|-|-----|----|--⌫|----|
deceli uosdii eopur	-|---|--|-|-⌫-|--|
e mac upecoment out	|-|-⌫--|-----|--|
aimel eta nt	---|-⌫|--⌫-|
ouprisecil	-|----|--|
qui ll eitdesongreren due	-|-⌫||--|-|--|--|---⌫--|
si cher uend ue	-|---|----⌫-|
leuale tqu illadoccis	-|----⌫|-|-||-|----|
ceo bea l s amis	--|---⌫-⌫|---|
sirenesaimai sque ieoui	---|-|--|---⌫---|--|-|
quelec heualerleferri	--|-|-⌫------|-|----|
d e salanceefistgr a n tennui	-⌫|-|----||---|--⌫-⌫-⌫|----|
eliualletz referri lui	|-|------|------|--|
dun gauelotparmil oillere	|-|------|----||------|
fi st parderiere	--⌫-|--|------|
le sanc elace ruelees pandre	-|---||-|--⌫----|--⌫-----|
ealaterre morte st end re	||-|----|---|-⌫--⌫---⌫-|
lorsdistl i roi sa lsene s chal	---|---|-⌫|---⌫|-⌫|----⌫-⌫---|
maue zhuif aitmal	|---⌫|--|-⌫--|--|
paruostrelangel an oisouse	--|-----|----||--⌫------|
que a uera	--|-⌫---|
dite meinteo isouse	---|-----|-⌫-----|
m aueztiel c heualer tolu	|---|---|-⌫------|---|
quihui cestiourmadmult	--|--|---|---||-|---|
sir e faityone tzalroi	---⌫|---|----⌫-|-|--|
par mo n chief	--|--⌫|----|
a lapucelel ar eyne	|-|-----|-⌫|-⌫---|
quekey ferripar	--|--|----|--|
pu r maldelie	--⌫|--|-|-||
pu rdespit	--⌫|-----|
u engera siluit	-⌫-----||-|--|
maisquilpeust ueni ren	-----|-|----|----⌫|-|
li fo ls qui si stiuste l efeu	-|--⌫-|--|--⌫-|----|-⌫|--|
otlaparole esalt en piez	-|-|-----||---|-|---|
si uie ntdeuant leroimo utlez	-|---⌫-|-----|-|--|--⌫-|--|
siadtiel eioiequ etrep esalt	-|-|----⌫|---|--⌫|---||---|
e di stdanzrois sideus	|--⌫-|---|---|-|---|
m e s al t	-⌫|-⌫--⌫|
o reapprochentuosauentures	-⌫-|---------|--|--------|
defelonessesed edu r es	-|---------||-⌫|--⌫-⌫-|
enuerrez uenirmo utsouent	-|-----|----|--⌫-|-----|
e siuos biene n	|-|--|---|-⌫|
quekayputestre tut ce rtains	--|--|--|----|--|--⌫-----|
quemarui t sespiez e sesmains	--|--|--⌫|--|---||--|----|
esala nge foleeu ilaine	|-|--⌫--|---||-⌫-----|
ein zqueu nequar antain e	---⌫---|-⌫-|----⌫------⌫|
au eralic heualer uengé	--⌫--|-|-⌫------|-----|
quilme don adel	-|-|-|---⌫|--|
elabuf ereertbienrendue	|-|---⌫|----|---|-----|
ecomperéechieruendue	|-------||----|-----|
quil donaa	-|-|---||
que entrele cost ee	--|----|-|----⌫||
lebr a zdestrel ibrise ra	-|--⌫-⌫|-----|-⌫|-----⌫-|
u n d emian	-⌫|-⌫--|-|
lepor tera	-|---⌫---|
colpendubienle por t	--|----|---|-|---⌫|
n iputfaill iriesq ualamort	||--|-----⌫-|----⌫||-|---|
c es te paroletant gr eua	-⌫--⌫-|-----|---|--⌫--|
k a y quepor poi necreua	-⌫-⌫|--|--|--|-|----|
demaltalen te	-|--------⌫||
qu iln elal ad euant touz	-|-|-⌫||--⌫|-⌫----|---|
tielcoup donerque mor tleust	---|---|----|--|---⌫||---|
pur ceo qu eleroi desp leus t	--|--|--⌫|-|--|----⌫----⌫|
laissa quilnel enuai	-----|-|-|-||----|
e li ro isdisthaihai	|-|--⌫-|---|--|--|
k eyc umauezmalespleité	-⌫-|-⌫-|---|--|--------|
quiasenéeadr escé	--|-----||---⌫----|
as arm es eust	-|---⌫-|---|
si compoiaide rseseust	-|--|--|----⌫|-|----|
edel escue	|-||---||
delalan ce	-|-|---⌫-|
bo ns cheualers serreit	--⌫-|--------|------|
s anzdotanc e	-⌫--|------⌫|
maisilnesietn epoine	---|-|-|---|-⌫|--|-|
darmesned autr e rien	|----|-||----⌫|---|
que neistrairene sauero it	--|---|-----|-|------⌫-|
l esp eesibosoign auo it	|---⌫-|-|------|---⌫-|
or e siet arm ezsurlecheu al	--⌫|---|---⌫-|--|-|----⌫-|
siencontra	-|-------|
alkunuassal	----|-----|
quipu rsoncheual	--|--⌫|--|-----|
neldoteraamahaign er	-||-----||-------⌫-|
to stmortoumah aign éla uera	--⌫-|---|-|---⌫----⌫-||-⌫---|
quedesfend re ne	--|-------⌫-|-|
tan tertn ic ese	---⌫|--|-⌫--⌫-||
b e stials	-⌫-⌫-----|
si aueratostfait sesenuials	-|----|---|---|--|------|
ensi liroisp leinteregrete	---|-|---|-⌫----||------|
leuale t e	-|----⌫||
fai t chieremate	---⌫|-----|---|
maisilniputrienconqu ester	---|-|||--|---|-----⌫----|
si laissela parolees ter	-|-----|-|-----|--⌫--|
eli ualetzsanz nul arest	|-|-----|---|--|----|
uint che uau c hant par	---|---⌫---⌫-⌫---|--|
tantqueas terr e splainesuint	------|-|----⌫-⌫|------|---|
suruneriuie req uetint	--|--|-----⌫-|-⌫-|---|
deleeplusqueunsarblastee	-|--|---|--|--|--------|
esto ittot elel u eentr ee	----⌫-|---⌫||--⌫-⌫|----⌫-|
e re traite	|--⌫-----|
tut e en son dreitconduit	---⌫|-|--|----|------|
uer slar iuie r equibrui t	---⌫|-|-⌫----⌫-⌫|--|----⌫|
sen uaitt ote l a prae rie	|-|---|-⌫--|-⌫|----⌫--|
ma is enleluenentra il	--⌫-|-||---||----|-|
ca releert	--⌫|--|--|
mu ltpa rfunde e noire	--⌫-|--⌫-----||----|
ea ssez plusredd eque	|-⌫---|---|----⌫|--|
s oloml ar iue	-⌫---|-⌫|-⌫--|
uers uneroche grantnaiue	---|--|----|----|----|
quidaltre part delelueesto it	--||----|---|-||---|----⌫-|
siquel elue alp i elibatoit	-|--||---|-|-⌫-⌫|-|-----|
surcelerocheen unpendant	--|---|----|-|-|------|
quiuersmera loitd escen da nt	--|---|--|-⌫---|-⌫-----⌫--⌫-|
out unchastelr iche efort	--|-|------|-⌫---||---|
sicom l elue	-|--||---|
alout a l regor t	----|-⌫|-----⌫|
torna li uale tzalsen estre	----|-|----⌫-|-|---⌫----|
latourde l chastel nest re	-|---|--⌫|------|----⌫-|
queuis lifuque eles	--|--|-|-|--|---|
equ eho rsd elchast el issoient	|--⌫|--⌫-|-⌫-|-----⌫-|-------|
chastele nestant	------|-⌫|-----|
outune tour eforte grant	--|--|---||---||----|
unebarbekane	--|--------|
a uoitt orné ue rsle gor t	-⌫---|-⌫----|--⌫-|-|---⌫|
merseco mbatoit	--|-|--⌫------|
alfron tli	-|----⌫|-|
de squatrep artiesd elmeur	--⌫|-----|-⌫-----|-⌫-|---|
dont liquarel	---|-|-----|
esteientdeur	-------|---|
auoient qua tre bas s estorne les	------|---⌫--|---⌫-⌫-|-----⌫--|
quemoutesteientf ortesebeles	--|---|-------|-⌫----||----|
lichastealsest mo u tbien	-|--------|--|--⌫-⌫|---|
estaisep a rded enz	--|---|-⌫-⌫|---⌫--|
tres deua nt le c hastelr ond	---|----⌫-|-|-⌫-----|-⌫--|
l elue fait un pont	|---|---|-|---|
dep iere dareine	-|-⌫---||-----|
l ep on t e steit mout fort e hau z	-⌫|-⌫--⌫|-⌫----|---|---||---⌫|
alchiefd el pont outu netou r	-|----|-⌫-|---|--|-⌫-|---⌫|
batail leetrest ut e nt our	------⌫--|-----⌫-|-⌫--⌫--|
un po nttorneiz	-|--⌫-|------|
qu iesteitfaitzeestabliz	--⌫|-----|----||-------|
aceoquela dreiture emporte	|--|--|-|-------|------|
leio re st pon telanuit po rte	-|--⌫|-⌫-|---⌫||-|---|--⌫--|
liualetz uerslepo nt	-|-----|---|-|--⌫-|
eunprodhomeenrobe hermine	|-|-------|-|---|------|
ist delchastel igni elment	--|--|------|----⌫-----|
ce liq uiuerslep ontu enoi t	--⌫-|-⌫-|---|-|-⌫--|-⌫----⌫|
le prodhomen samai n tenoit	-|------|-|-|---⌫|-----|
parconte na nceunbastone t	--|-----⌫--⌫--|-|-------⌫|
apre sli f urentli uaslet	----⌫|-|-⌫----|-|-----|
t re stutdes afuble ́ uenu	-⌫--⌫---|---⌫------⌫|---|
liualetzad bien retenu	-|-----|-|---|-----|
ceoquesa mer e liaprist	--|--|-|---⌫|-|-----|
esili sal u a esil i dist	|-|-|---⌫-⌫||-|-⌫|---|
sirece omenseign amame re	---|--⌫||-------⌫|-|--⌫-|
deustebenoiebe alfrere	---|-|-----|--⌫-|----|
fait l i prodhom quilsembl e	---|-⌫|------|-|-|-----⌫|
parolel econu isttost	-----|-⌫|----⌫--|---|
edistbealfre red o nt	|---|---|---⌫-|-⌫-⌫-|
dont delacurtleroiarthu	---|-|-|---|-|--|----|
qui c heua lermiad	--|-⌫----⌫--|||-|
qu i bo ne auent ureait	--⌫|--⌫-|-----⌫--|--|
cheualers sideuioiemedo in t	--------|-|--|---|-|--⌫--⌫|
n equideroiequeaice st point	-⌫|--------|--||---⌫-|----|
detielech oseli sou eni st	-|----|--⌫--|-|---⌫---⌫-|
dee l quidoiequ e	-|-⌫|------|--⌫|
al roi qued e	-|--|--|-⌫|
ch eualerfaire	--⌫-----|----|
oreme difreredebonaire	--|-|-|----|--------|
c esa rmes	-⌫-|-⌫---|
quitebailla	--|-|-----|
l e roisa rthurs lesme do na	-⌫|---|-⌫-----|--|-|--⌫-|
donaco ment	---|--⌫---|
e illico nte	|-|-|--⌫--|
si co m oi auez lecon te	-|--⌫|-|---|-|---⌫-|
quialtr efo izleconter oit	--|----⌫|--⌫-|-|------⌫--|
en nu i eoisouse serroi t	--⌫--⌫||------|------⌫|
que nulscontes deceo name nde	--|---|-----|-|--||---⌫--|
eliprodhomlired emande	|-|------|-|---⌫-----|
q u i l sietfa i re	-⌫|-⌫|---|--⌫-⌫-|
desonch eua l	-|--|--⌫---⌫|
cours bienamon te a ual	----|---|----⌫||-⌫--|
tut autresi	--|------|
cumieocoroie	--|--|-----|
lecha ceor	-|---⌫---|
q uant i eo	-⌫---|-⌫-|
la m aison	-|-⌫----|
ede uosarme sbeal s amis	|-|--|----⌫|----⌫|---|
menredites quens aue zfa ire	|-|------|-|-|-⌫---⌫|--⌫--|
s aibienues t ireretraire	-⌫-|---|---⌫-⌫-||-------|
sicumliua let zmenarma	-|--|-|--⌫---⌫||-|---|
quiueiantmoiendesarma	--|-----|--|-|------|
celique ieoauoiemor t	---|--|--|----|---⌫|
esilegierement les port	|-|----------|--|---|
n emegrieuent derie n	-⌫|-|-------|-|---⌫|
par l alme	--||---|
deuceoprisieobie n	--|--|---|--|---⌫|
fa itl iprodhom emultm esiet	--⌫-|-⌫|------||---|-⌫|---|
o remedit es sin e uos g r iet	-⌫-|-|---⌫-|-|-⌫|--|-⌫-⌫--|
quel bosoigneuos amena ca	---|-------|--|----|-|
siremamere m e n seigna	---|-|---||-⌫-⌫-----|
queuerslespr odhomes alasse	--|---|--|--⌫------|-----|
eque aeus me	|--||--|-|
conseillasse	-----------|
prod hom ne forsconsei lle	----⌫--|-|----------⌫--|
ceusquit ienen t sa compa ignie	---|--|-⌫-----⌫|-|-----⌫----|
sicil croientceoquil d i rroit	-|--|------|--|-|-|-⌫-⌫----|
cilqu il es	--|--⌫|-⌫-|
lipr odhom li respontbealfrere	-|--⌫----|-|------|---|----|
be neit eseit uo str e	--⌫----⌫|---|--⌫---⌫|
q ue eleuosensei gna moutbien	-⌫-|--|--|-----⌫--|---|---|
uos plusdirerien	--|---|---|---|
queita ntno nmes	---|--⌫-|--⌫|--|
queuos meherbergez	--|--|-|--------|
multuolentiers fa itli prodh om	---|---------|--⌫-|-|-----⌫-|
mais q ueuosmedon ez undon	----⌫-⌫-|--|-|---⌫-|-|--|
dontgrantbienuen iruos uerrez	---|----|---|---⌫-|--|-----|
fa itilqueuoscreiez	--⌫-|-|--|--|-----|
leconseiluostremere e	-|------|-----|---||
siref aitileieol	---|-⌫--|-||--||
don cdes cen dezeildesc ent	---⌫|---⌫---⌫--||-|----⌫--|
undesualetzson	-|--|-----|--|
cheualprent	-----|----|
dedeusqui furentuenuz la	-|---|--|-----|----|-|
elialtres le	|-|-----|-|
