la u ctoritenosdituneraisonpor uoir	|-⌫-⌫------|--|--|--|-----|--|---|
to z lesmalue s au oirsqueuos auezeuz	--⌫|--|-----⌫|--⌫---|--|--|---|--|
ier tlennemisha utement de cheuz	---⌫||------|--⌫------|--⌫----|
ke rihe sucristnosdit	--⌫|---⌫-|----|--|--|
ensonconm andement	-|--|----⌫-------|
uiegne aluiseruir si	-----||--|-----|-|
neit emen t	----⌫----⌫|
quil niaitpoin tdo rdure	-|-|||--|----⌫||-⌫----|
n edempeech ement	-⌫||-------⌫----|
etquiluiente n	-|---|----|-⌫|
telpointsirechoithautemen t	--|----|-|------|--------⌫|
entelpointlesoitdex	-|--|----|-|---|--|
hautementrecheuoir	--------|--------|
sest honn iz qui pordieuselet d ont recheuoir	|--|----⌫-|--|--|---|-|--|-⌫--|--------|
liwall etsauoitbienq ue lapostre	-|----⌫-|-----|---|-⌫-||------|
sont to ut	|--|--⌫-|
renduporuo iro rp ierres	----|--|--⌫-|-⌫|-⌫-----|
autre au oi r	----|--⌫--⌫|
oweuc lewangeliste senwo nt li iouenchel	----||----------||-|--⌫-|-|--------|
tout ont rendulauoirniames	---|--|----||----||||--|
nulmonchel	--|------|
alissi er de	||----⌫-|-|
lauille passerent unruis se l	-|----|--------|-|----⌫--⌫|
chatexn eportent qu ecascu nsun fuis sel	-----|-⌫|------|--⌫|-----⌫-|-|----⌫--|
chasc unssorsonfuissel mon tbonements apuie	-----⌫--|--|--|------|---⌫|-------||----|
nedoutentmesorno i fnegresil	-|------|--|-|--⌫-⌫|-|-----|
seint iohanlesgardasenrit	----|----|--|----||-|--|
quilpointn	---|----||
d excheditc	-⌫-|--|--||
on lennemi	-||-----|
lewangel istesu ientlidu ihomm e	|-------⌫---|--⌫---|-|--⌫|----⌫|
e ntel guisse	-⌫|--|-----|
quil ned outent	-|-|-|-⌫-----|
ore went nepluie neb isse	--|---|-|----|-|-⌫---|
enunechiteuindre nt qui	-|--|----|------⌫-|--|
sorm eriertassi sse	--|-⌫-|---|----⌫--|
lafu lor uolentedebienfairer emisse	-|-|--|------|-|---|----|-⌫-----|
lap ostres	|--⌫----||
e nissiporsarmonneras	-⌫|---|--|--------|-|
li conmun s del awillefuouuecluiissanz	-|------⌫|-|-⌫|----|-|----|--|-----|
qu imainthommeests ouuentconoiss anz	--⌫|----|----|--|-⌫-----|-------⌫--|
s e straprochie ́de	|-⌫-|---------⌫|-|
c euzdont fu	-⌫--|---|-|
iacon oissanz	-|---⌫------|
deyyhommes se sontilluecbiengarde pris	-|-|-----|-|---|-----|---|----|---|
uestuzde dras	-----|-|---|
deso ieesourgranzcheuaux	-|--⌫--|---|----|------|
quilsoloient	---|-------|
u esti rpouuresdrapeauxporris	-⌫----⌫|------|-------|-----|
kerenlordeuz	--|-|--|---|
maissonsl es auoientnorris	-------|-⌫-|------|-----|
mo nt sontdolantchildui	--⌫-|---|-----|---|--|
quantillesyy hommesu irent	----|-|--|-|-----|-⌫----|
defin dautre	-|--||----|
parttor nent lor	---|---⌫---|--|
euzetuirent	--|-|-----|
lorgarchon lors seria nzfurentquil	--|------|---|-----⌫-|-----|---|
lesse ruirent	--|--⌫------|
sisesmerueillent tropou telb ie n deser uirent	-||------------|---|-|--|-⌫--⌫|-----⌫-----|
enson cuer alapostr eueue t	-|--|---|||------⌫|--|-⌫|
kelidu iserepente ntetquil	-|-|--⌫|-|-------⌫-|-|-|-|
sontempiré	---|------|
etsontdell ennemisan zem p iré	-|---|--||-----|---⌫|--⌫-⌫---|
etsadedenz	-|||-----|
soncuer tendrementsospiré	--|---|---------|-------|
seignorsfait sei ntiohanbienwoicomment il est	-------|---|---⌫-|----|---|--|------|-|--|
wos newoulezeschielz	--|-|-----|-|-----|
auoirpointde comques t	----|----|-|-------⌫|
ainzcouuoitiez	---|---------|
lauo iretuoslaureztost p rest	|---⌫-|-|--||----|---|-⌫---|
mesihesuscris adoubleuosrenderaporce st prest	--|-----|---||-----|--|------|--|--⌫-|----|
pier resgale s grauele fetaporterdemer	----⌫--|----⌫|------|--|------|-|--|
etfa isse illes deue rgestant quenes ainommer	-|--⌫----⌫----|-|--⌫---|---|--|-|-⌫-|-----|
oi ezquefistlisainzou iln	--⌫-|--|---|-|----|-|-||
porcequilnesepuissentporrien	--|-|-|-|-|-|-------|--|---|
de luigaber	-|--|----|
lespi err ese t le s	--|--⌫---⌫-|-⌫|--⌫|
uergesfettotme itreenum	-----|--|--|--⌫---|-|-|
dedi eu l esconiural edroi tsei gnor d elmont	-|--⌫-|-⌫-|------|-⌫|----⌫|---⌫---|-⌫-|---|
ousontlidui waslet faitilqui	-|---|-|--|-----|---|-|--|
de lor auo ir	-|--|---⌫-|
reprendre silwoll ent l es	--------||-|----⌫--|-⌫-|
honmesa prochentpres	----||-⌫-------|---|
ap ostrelor s	--⌫----|---⌫|
siu oient que	-|-⌫----|--|
l es uerge ss ontde uenue so rs	-⌫-|-----⌫|-⌫--|--⌫-----⌫|-⌫-|
etpierrespr etios e suertuosesetfors	-|------|--⌫-----⌫-⌫|--------|-|---|
lag rauelle cons	-|-⌫------||--|
traistdela merfor s	-----|-|-|--|---⌫|
certesfetso i lipuep les	-----|--|--⌫|-|----⌫--|
cestmiraclen ouele	|--|------|-⌫----|
quiafait or	-|||---|-|
des ue rge set r ub isd eg rauelle	--|--⌫---⌫|-|-⌫--⌫-|-⌫|-⌫------|
cist ne sert	---|-|---|
pas lage ntdegu illenede	--|-|--⌫-|-|--⌫---|-|-|
keli sains	-|-|----|
esperis maintenlui	------|----|-|--|
etreue lle	-|----⌫--|
lid uiwaslet sepensentselauoir reprendro nt	-|-⌫-|-----|-|------|-||----|---------⌫-|
bienuoien t s	---|-----⌫||
il leprennentqu alpr endre	-|-|-------|-|||--⌫----|
mesprendront	-----------|
keriamesenbon eouu renulior nerep rendron t	--|----|-|---⌫|---⌫-|--|--|-|---⌫-------⌫|
nela gloire	-|-|-----|
cele streaa uoirn aprendront	----⌫---||-⌫---||---------|
l auoirontprisetpuis	|----|--|---|-|---|
iusmis etlai s sié	--|--|-|---⌫-⌫---|
ue rs lapostre sen	--⌫-||------||-|
wontanduitout eslaissié	---|----|---|---------|
parfiner epentanchec ascun le col baiss ié	--|---|-⌫---------|-⌫----|-|--|-----⌫--|
decem q uil ontmesprissont dolante t p laissié	-|--|-⌫|-|--|------|---|-----|-⌫|-⌫-------|
sirefont liduihonmena uoncured	---|---|-|--|----||-⌫--|---||
a inz uolonestrepouur e	-⌫--|----|----|-----⌫|
porlamord ieu	--||---|-⌫--|
fait liewan g ellisteuosditesgrant	---|-|----⌫-⌫------|--|----|----|
sel p orroisau	-||-⌫-----|-|
grant iorde	----|--|-|
iuge mentsauoir	----⌫---|-----|
l apostr es e sioistde lo r	|------⌫||-⌫-----|-|--⌫|
be le auenture	--⌫-|-------|
de cenquilsontuenupordieu	-|--|-|-|---|---|--|---|
aloruintetas	||-|---|-|-|
pierr ess es sei gneetr econiu r e	-----⌫-||-|---⌫--|-|-⌫------⌫-⌫|
si quecascune	-|--|------|
c hos e re pai re asanature	-⌫---⌫|--⌫---⌫-||-|-----|
issiauint l apos tre en	---|----||----⌫--|-|
celeg ra ntchite	---|-⌫--⌫-|----|
con i euos ainon chiéet ditet	--|-⌫|--|-|---⌫----|-|--|-|
ettouz c il quil	-|---|-⌫-|---|
lauo ientde deuantdespité	|---⌫---|-|-----|-------|
c on uerti et	-⌫--⌫----|-|
pleurentdepit e	-------|-|---⌫|
sa i n tiohanquipeti t ad ereposetd	--⌫-⌫-⌫|----|--|----⌫||-⌫|----|-||
amontgentconu ertie enlagrant terred	|---|---|----⌫----|-|-|----|----||
mes ornestmie d roizque del	--|-||--|--|-⌫---|--|-||
effantm et aisse	-----|-⌫|-⌫----|
quiluintenlachiteq ui	---|---|-|-|----|-⌫-|
siet s or uneag a isse	---|-⌫-|--|--⌫-⌫---|
de lac hite aconmandécelui	-|-|-⌫---||--------|----|
qui lpuisfista maint	---⌫|---|---||----|
hon me et damageet	---⌫-|-|-----|-|
ker par malua issegar decon otprissede	--|--|-----⌫---|---⌫-||-|-|-----|-|
estdeue nurob ere si	--|----⌫-|---⌫--|-|
nesparnenului	|------|----|
sainti ohansa	----|-⌫----||
montbie n enluisouspechonné	---|---⌫|-|--|------------|
quel e nn emislauoit at r a it	--||-⌫--⌫---||----|--⌫-⌫-⌫-|
ettantauoi t deluimal mis etmac helé	-|---|----⌫|-|--|---⌫--|-|---⌫----|
n atem preaiemal	||---⌫--|--|--|
se uitomqu esn é	-|--|----⌫-|-⌫-|
malseu itomquesse il	--|-|-⌫-|-----|-|-|
na te mpreaie	||--⌫---|--|
ker sonco r s ap erdut oute	--|--|--⌫-⌫||-⌫---|-⌫---|
s ame etsau i e	|--|-|-|-⌫-⌫|
ken u ne forest e ntregrant	|-|-⌫-|-----|-⌫---|----|
es peis seethai e	--⌫----⌫-|-|---⌫|
sestsiresdeslar ron setde	|--|----|--|---⌫---⌫|-|-|
la genthaie	-|---|---|
alenue squeuint enrantle nfantl idemanda	||----⌫---|---|-----||-⌫----|-⌫|------|
keilembonefoiagarde rliconman da	-|-|-|---|--||-----⌫|-|------⌫-|
etcil quil l enf fantmalueissement	-|--|---||---⌫---|------------|
nelisoit queres pondreseint	-|-|---|--|---⌫-----|----|
i ohan regarda	-⌫---|------|
ouest faitille nf fans di st	-|--|---|-||-⌫--⌫---|--⌫-|
lenuesqu e ne	|-------⌫|-|
de luifair e p ro udonme	-|--|----⌫|-⌫--⌫-----|
memis en gran tessai	-|--|-|----⌫|----|
woutfaireclerc	---|----|----|
etilse ref istlai	-|-|-|---⌫--|--|
enla gr antf o restma i nt	-|-|--⌫--|-⌫-⌫---|--⌫-⌫-|
laouie p erdu l	-|-|-|-⌫---||
sirefa it soi lenuesque qui	---|--⌫-|--||-------|--|
entremb lantparla	-|-----⌫---|----|
ilestuoirsqu ilfucl ers	-|--|----|-|-|-|--⌫--|
e tquaaescol e ala	-⌫|--||-----⌫|--|
apris taemblert a ntfiste t	-----⌫||-----|-⌫-⌫-|---|-⌫|
cores tro i des	|-|--⌫|--⌫|--|
larrons elboisou	------|-|---|-|
kantliew angellistesceleparoleent ent	---|-|--⌫----------|---|-----|---⌫--|
sesc heueu x	--|-⌫-----⌫|
etsabarber ont	-|-|----|-⌫--|
etdetiree t d estent	-|-----|-⌫|-⌫-----|
sorun ron chim m ont ac	--|-|---⌫---|-⌫---⌫||
omques plu sniat en t	-----|---⌫|||--⌫--⌫|
ue rslebois asl arr onsco rt etueitetdeste nt	--⌫-|-|---|-|-⌫---⌫--|--⌫-|-|---|-|-----⌫-|
uersleboisa slarro nsplo rant cri ant sen	---|-|---|-⌫|-----⌫-|---⌫---|---⌫--||-|
tant cerchelaforest que il celui tr ouua	---|-----|-|-----|--|-|----|--⌫---|
niches uesques nichem entse	-----|------|------⌫--|-|
kantl iewangeliste s b iengarde rlir ouua	---|-⌫|-----------⌫|-⌫--|-----⌫|-|-⌫---|
sor lesl arro nss	--|--|-⌫----⌫-||
nes en donnoi tgarde	-||-|------⌫|----|
chel uiueuqui	----⌫-|--|--|
ie rtissuzdegarde	--⌫-|----|-|----|
me ssi tost	--⌫|-|---|
conmecillew ange liste es garde	----|--||--⌫----⌫----|--⌫----|
sa wo l e n te maluaissetout enr antli	-|--⌫-⌫-⌫-⌫-|--------|---|---⌫--|||
lilerreu oit lapostre	-|----|-⌫--||------|
soncuerrestraint etdonte	--|---|--------|-|----|
que r or pri m essoitil	---⌫|-|---⌫-⌫-|---|-|
quesamalu estiemon te	--|-|----⌫----|---⌫-|
etli p ec hie mortel	-|-|-⌫--⌫--|-----|
dontomquestintcont e	---|-----|---|----⌫|
sisenf uitpar le bois	-||-|-⌫--|--|-|---|
defindueletdehonte	-|--|---|-|-|----|
de finduele t	-|--|---|-⌫|
dehontes enuait p armilebois	-|----||-|---|-⌫---|-|---|
concilquilmesn equide	--|--|---|--|-⌫|----|
a u oi r poin tde	-⌫-⌫--⌫|----⌫|-|
et liewange llisteslescrieets u it audois	-|-|------⌫------||-----|-|-⌫-⌫-|-|---|
quilplu si e rtdoulzet	---|---⌫|-⌫-⌫-|----|-|
di gnes quenus dechar	--⌫---|--|--|-|---|
lilerre seregard esiatent	-|----|-|------⌫|-|----|
ditbone mentet otroie	--|----⌫---|-|-----|
keila ura merchise il la quiertet	-|-|-⌫--|-----|-|-|-|-----|-|
mes gardequeporriennese deper oimie	--|----|--|--|---|-|-|-----⌫-|--|
hasire fait li lerres sei nshons	-|---|---|-|-----|---⌫-|---|
dignes eth aus	-----|-|-⌫--|
roberre su imordr ierefeultraistr es	------|--⌫|-----⌫---|---|-------⌫-|
quilporroitp ardonner tantpechiez et t a nz maus	---|------|-⌫-------|---|------|-|-⌫-⌫-|---|
etseintdis t lep eres esperitau s	-|----|---⌫|-|-⌫---|---------⌫|
b ea u filzfai tli	-⌫--⌫|---|---⌫|-|
apo strede	---⌫---|-|
tonmal terecroi	--|--|-|-----|
repai read roiteuoied ieua immeet	-----⌫-||-⌫----|---|-⌫--|-⌫---|-|
se rfe t croi	--⌫-|-⌫|---|
et ge prencte s pechiestou zsourm	-|-|----|--⌫|------|---⌫|---||
armeetsorm oi	---|-|--|-⌫-|
si qu algrant iugement e n respondrai	-|-|-|----|-------|-⌫|---------|
kantli le rrel ententdroitas piezlichai	---|-|--⌫--||-----|----|-|---|-|---|
de cen qui l	-|--|-|-⌫|
s eti enttr opat ra i	-⌫|--⌫--|--⌫-||-⌫--⌫|
etsil ainc malamaor	-||-|---|--|--|-|
l a si enhai	||-|----|
kab onesouures fairera	||-⌫---|-----|----|-|
soncuerenuai	--|---|----|
soncuer a rati r édeltouta bienafai re	--|---||----⌫-⌫-|--|---||---||---⌫-|
montsetbien em	---|--|---|-|
plora ntsesgranz	-----⌫-|--|----|
pec hiezdeffai re	---⌫---|------⌫-|
et issi doitcascuns repentansadieu fair e	-|---|---|------|--------||---|----⌫|
kerr epa ntanch etoultuol ente demalfaire	--|-⌫---⌫------⌫|----|---⌫---|-|--|----|
commen testdontcil	------⌫|--|---|--|
quit e ssolporr e pa ntement	----⌫-⌫|--|--|-⌫-⌫--⌫------|
oilque rrep an tanc he garistsi	--|---⌫|---⌫--⌫----⌫-|-----|-|
neite m ent	-----⌫-⌫--|
ke secil nae m	-|-|--|||-⌫|
pense de uiure lo ngu ement	----|-|----|--⌫---⌫----|
sil li pard onne	--|-|----⌫---|
d ex sanznulatendement	-⌫-|---|--|---------|
dontnew aut	---|-|-⌫--|
nulerienssanz bone repentanche	---|----|---|---|----------|
non u oi r q u errepentiratraitla	--|-⌫--⌫|-⌫-⌫-|-------|-----|-|
penitanche	---------|
q uilse re pante t repe nta nt estan che	-⌫--|-|--⌫---|-⌫|----⌫---⌫-|-----⌫--|
lamaleouure delcor s etlagrantmese stanche	-|---|----|--|---⌫|-|-|----|----⌫------|
grant i oie al iapost resdelrepentir c elui	----|-⌫--||-⌫|-----⌫--|--|-------|-⌫---|
q uilna uoitesparniéa	-⌫--||-⌫---|--------||
och irren ull ui	---⌫---|-⌫---⌫-|
a getéli sains f ors deh onteet de nnui	|----|-|----|-⌫--|-|-⌫---|-||-⌫---|
a diexlaconuerti	|---|||-------|
sillenm einn eouec lui	--||-|-⌫----⌫|---|--|
enmen aquant	-|---⌫|----|
loutconuer ti	|--|------⌫-|
li peuplesetlenuesquesdelacit	-|------|-||--------|-|-|--|
sique nia cel u isei nt iohansmont	-|--||||---⌫-⌫|---⌫-|-----|---|
ka nt il la	--⌫-|-|-|
wel t gete r desipoignantmalot	---⌫|----⌫|-|-|-------|----|
de sipoignantmalota	-|-|-------|----||
geteere e e t	----|--⌫|-⌫|
quil so loitestreplein deuenimet	---|--⌫---|----|----|-|----|-|
dont puetper s estrealangre	---|---|---⌫|----|||----|
sein tmichiel	----⌫|------|
p armir aclesou urere t par uooir el ciel	-⌫-|---⌫----|--⌫---|-⌫|--|----|-|---|
lapostre prent co ngieuers eph ese repaire	|------|----|--⌫---|---|---⌫--|------|
que a si haute ouureet	--||-|----|----|-|
sesbie ns f ai zrepa ire	--|---⌫--⌫-⌫--⌫|----⌫--|
mainte cireaostee degent etmainte pere	-----|---||----|-|---|-|-----|---|
forsd es mainslennemiqui sireen iert	---|-⌫-|----||-----|--|---|-|---|
bienlafait lisainzde samairie	---|||---|-|----|-|-|-----|
lage nt a sarm onnéet doucement	-|--⌫-||----⌫----|-|--------|
et ladiuinit e	-|-|-------⌫|
lora siesclairie	--||-|--------|
kertrestoute l aterre	--|--------|-⌫|----|
dieu repairie	---|-------|
cilquitouz te ns fubo nsne	--|--|---|--⌫-|-|--⌫-|-|
mie par ondees	--|--|-----|
yglis e s en yychitesfondees	-----⌫-⌫|-|-|-----|------|
etlenwesque	-||-------|
sa crés etl esge nz e smo nde e s	--⌫----|-|-⌫-|--⌫-|-⌫---⌫---⌫-⌫|
quildepechiez morteuzestoien t	---|-|------|------|-------⌫|
t ouz l esaprisengarde e t adroit	-⌫--|-⌫-||---|-|----|-⌫||----|
pointremis	----|----|
ettouz lors gens pechiez degast ezet remis	-|---|---|---|------|------⌫-|-|----|
e tde lori r re siestouz	-⌫|-|--|-⌫-⌫--⌫---|---|
ostezetdemis	----|-|----|
puis reuint	---|-----|
enepheseentreses douz	-|-----|----|--|---|
enepheseest uenuquanttot	-|-----|--|---|----|--|
ot mis a point	-|--||----|
si que ntoutelaterredemalue stienout	-|-|-⌫|----|-|----|-|-----⌫---||--|
kersifortl es	--|-|---|-⌫-|
a tacheencreanche	-⌫----|-|-------|
qu ecilqu illess outpoin dre	--⌫|--|--⌫-|--|-⌫--|----⌫--|
tou chemesnepoint	---⌫--|--|-|----|
l iescript u ren osmo s tre	-⌫|-------⌫-⌫-|-⌫-|--⌫-⌫--|
quilnestmi eme nt anz	---||--|--⌫|--⌫--⌫--|
kelapostreuesqui	-||------|-----|
p u islamortiesu cris t	-⌫-⌫-|-|---|---|----⌫|
tantq uefulieu	-----⌫-|-|---|
quilpartide	-|-|----|-|
cest siecles iconme iesui	---|-----|-⌫|----|-|--|
sieclepart isic onme i ewoil	-----|----⌫|-|-⌫---|-⌫|---|
si quilmalue s cuerfist	-|---|-----⌫|---|---|
etpl essieretdonter	-|--⌫-----|-|-----|
bien le woult ihesucristde sortozamonte r	---|-|----|----|----|--⌫--|--|------⌫|
kencharete nos le	|-|---|-|-⌫|-|-|
chie lzporter	----⌫-|-----|
kerq uilwoir	--|-⌫--|---|
weult des pondre etconter	----|---⌫-----|-|-----|
etnonchier	-|-------|
aparut u ne foizasonami treschi er	-----|-⌫-|---||--|--|---|---⌫-|
au seintewangeliste qui omquesne	-|----|----------|--|-----|-|
woutpec hier	---|---⌫---|
nesauirginiteromp re	-|-|--------|----⌫-|
n edepechier	-⌫|--------|
io h an f etnostre sire ieta itonter memis	--⌫-⌫-|-⌫-|-----|---|-||-⌫|--|---⌫-|--|
deueniren mon re gne quepiecheaquete	-|----|-|--|--⌫--|--|-----||--|-|
mein gier ou uec tesfreres	----⌫---|--⌫--|--|-----|
e to te s amis	-⌫||--⌫|---|
chisuiuenu	--|--|---|
portoi qua ut re ni aitr amis	--|--|-|-⌫--⌫-|||-|--⌫---|
uenuste suisemondre po rseoir a matable	----|-|--|-------|--⌫|----||-|----|
ouec tesaut res freres elregne de litable	---|--|---⌫--|-----|-|----|--⌫------|
et porcenque ie	-|--|--|--|-|
taitrouu éle pluse stable	|-|-----⌫-|-|---|-⌫-----|
tefe r aitouze tmestre et cone stable	-|--⌫-⌫-|---|-⌫|-----|-|----⌫-----|
graces rentetme rch ili	-----|---|-|--⌫---⌫|-|
sains so ncri at or	----|--⌫|---⌫--⌫-|
d e si h autesemonseetdesondro i ta tor	-⌫|-|-⌫---|------|-|-|--|---⌫-⌫|-⌫--|
fetdextun as respit	--|--|-||-|-----|
forsqueduien cestior	------||-|-|---|--|
moin e w ie nge ssanz pl us lointain	--|-⌫|-⌫--⌫---⌫|---|--⌫-|-------|
nostresiresepartdeson coisin	-----|---|-|---|-|--|-----|
etsidecip le ouecia nen iraimenta nt	-|-|-----⌫-|---|-||-|---|-----⌫-|
deuantlewangeliste reso ntelciel	-----||----------|----⌫-|-|---|
autiersiorfon tlapostrecequeg ir ai	-|----|--|---⌫||------|-|--||--⌫-|
n estdro izdecestee stoi r eseignors queieuos	|--|---⌫-|-|----|-⌫----⌫-⌫|-------|--|-|--|
sam onsefupa rundiemanche	---⌫---|-|--⌫|-|--------|
etl i s ain s quiln a scusiert dedroitesemenche	-|-⌫|-⌫---⌫|---|-⌫-⌫---|---|-|-----|-------|
des lamienuit droitses	--|-|------|----|--|
matinnes commenche	-------|--------|
au m at indist sesourres cenqua	-|-⌫--⌫-|---|--|-----|--|-||
io rap artint	--⌫|--⌫-----|
conchil quil	--|---|---|
s ain teygliseen s annetemain tie nt	-⌫---⌫-|-----|-|-⌫-----|----⌫---⌫-|
lei orchantalamesse etli	-|-⌫-|-----|-|----|-|-|
puep le s iuint	----⌫--⌫||---|
audouzapos tre apresla	-|---|----⌫--|----|-|
messeauient	----|-----|
at résuosai a di eu eta	--⌫---|--|-||--⌫-|-||
creancedr oite	------|--⌫---|
entreuosniereplusqu er lisiresme conuoite	----|--||---|---|--⌫-|-|----|-|-------|
dontie uosai mo n stréfoietcreanche	---|-|--|-|--⌫-⌫----|--|-|-------|
o rpert cascu nsdeuos qu	-⌫|---|-----⌫-|-|--|-|
ien boneour eesploi te	|-|---|---⌫|------⌫-|
estéuos ai compaiget	----|--|-|------|-|
maistre denseignie r	------||---------⌫|
nel a issi ez	-|-⌫-⌫----⌫-|
pa s orgo ildedenzuoscuersbaignier	--⌫|----⌫-|-----|--|----|-------|
qu mili tene puet orgoilacompaignier	|-⌫----⌫-|-|---|-----|-----------|
nedexnehetrie n st an tcomme ilfaitdesdeig nier	-|--|-|--|---⌫-⌫|-⌫--⌫|----|-|---|-------⌫---|
seuosuoloira uoirla	-|--|-----|-⌫---|-|
seignoril hauteche	--------|-------|
gar dezquene demuert enu oscuer s	---⌫--|--|-|------|-|-⌫-|----⌫|
malet eche	---|-⌫---|
etlaissi ez auariceetsi	-|------⌫-|------|-|-|
plaintéslarges che	--------|------⌫--|
et soiezneitetcastecestl agr eignor	-|----|---|-|----||--|-⌫|--⌫-----|
s euos auezouos cou uoitiss e l esch iél le	-⌫|--|---||--|---⌫-------⌫|-⌫----⌫--|-⌫-|
ker couuoitise seulled eff aittoute les chielle	--|---------|-----|-⌫---⌫--|----||--⌫------|
par c onm onteenzescielzetenuie	--||-|-⌫---|--|-|----|-|----|
tout quan tcumilitez radoutastet enniele	---|----⌫-|-------|--------|-|------|
orgoil etcouuoitieet	-----|-|--------|-|
enuieetluxure	----|-|-----|
corsoue la me meneru ie mont	---|--||-⌫-|----|-⌫-|---|
mescuersou ch asteez	--|----|-|--⌫-----|
et h umi lite du re	-|-⌫---⌫---|--⌫-|
nedoute dece s	-|----|-|--⌫|
uicesleue nim ne	----|-|--⌫--|-|
por uostrep reuuosprietpo r dieubonegen t	--|-----|-⌫--|--|--|-|--⌫|---|---|---⌫|
ke uosne couuoi tiezriches ce	-|--|-|------⌫---|------⌫-|
orne argent	-|-|-----|
ne ne so iez felon	-|-|--⌫--|----|
orguellieuznegligent	----------|--------|
deuantdieu bienac e smé etgent	-----|---|---|--⌫-⌫---|-|---|
plusne uossaiquedirepl usnequisdemorer	---|-|--|--|--|---|--⌫-|-|---|------|
pensezdedieus eruird ecuer	-----|-|---|-⌫----|-⌫|---|
ke li fe ilannemisne	-|-|--⌫-|------|-|
uospui s tdeuor er	--|---⌫-⌫|-----⌫-|
et tu itcil qui llasont	-|--⌫-|--|---⌫|-|---|
conmenchentapl orer	----------||--⌫---|
porpitie de lapostretouzettoutes	--|----|-||------|---|-|-----|
plorere nt	-------⌫-|
p arfo ndementle nclinnent do ucheme ntl	-⌫----⌫------||-⌫--------|--⌫------⌫-||
poruoirlamerueilleelmonst ierdemoreren t	--|---|-|--------|-|-----⌫--|---------⌫|
don tmontsemerueillierenttres tuit	---⌫|---||--------------|----⌫---|
cilquillaer ent	--|---|-|--⌫--|
bien tres haut miracle et biendiuer safaire	---|---|---|------|-|---|-----⌫|-----|
pardetriesso n autela	--|------|--⌫|----||
faitsafo ssefaire	---|-|--⌫--|----|
puislafist neiteoie retlaterrefors traire	---|-|---|--------⌫|-|-|----|---|-----|
puisen traparde de n s	---|--⌫--|--|--⌫--⌫-⌫|
si con ie woil	-|--|-|---|
kantentrés fudedenz uoianttozs estcouchiez	---|------|-|-----|-----|--||--|-------|
deriensnese repentc	-|----|-|-|-----||
omque sne fist pechi ez	-----⌫|-|---|-----⌫-|
nomqu esn efuses corsentame zne	|----⌫-|-⌫|-|--|---|------⌫|-|
ne sesdouzcuersloiax	-|--|---|----|----|
de nulmalentechiez	-|--|--|--------|
chilquilsain z enar meet en corset	---|---|----⌫|-|--⌫-|-|-|---|-|
iointses main s u ers l ecielses	----|--|----⌫|-⌫--|-⌫|---|--|
saboucheoure	-|-----|---|
puisdi stpere	---|--⌫-|---|
des cielzuersquinus	--|----|---|--|--|
nes e couur e	-|-⌫|-----⌫|
se puistuersmoi	-|----|---|--|
s ire parqu iestfais et	-⌫--|--|--⌫|--|---|-|
crieztou tli mons	----|---⌫|-|---|
tou treuientenc he ndre	---⌫|------|-|-⌫--⌫---|
q u erteuzennestli mons	-⌫-⌫-|---|--|--|-|---|
uostre l oi ai	-----|-⌫-|-|
monstreeparmozpla insde	-------|--|--|---⌫--|-|
o rsuitout prest d	-⌫|--|---|----||
ouuos ma uezsemons	-|--||-⌫--|-----|
essi a ditlisire squ il	---||--|-|----⌫|--⌫-|
malnapro cha	--||----⌫--|
sesmains io intes uersd ieu esrantseparc ouca	--|----|--⌫----|---|-⌫--|-----|-|----⌫---|
entelma nier eclosts es	-|--|--⌫----⌫|----|-⌫-|
eul zetsabouchea	---⌫|-|-|-----||
pl u sorsdie ntomquesmort	--⌫-⌫---|---⌫-|-----|---|
n eltoucha	-⌫||-----|
si con meli pueple siertentorlui ares tez	-|---⌫-|-|------⌫|---|----|--|----⌫--|
d escentenze lmonst ierune	-⌫-----|--|-⌫|-----⌫--|--|
sigrant clartez	-|----|------|
k ec ascunchietaterr e fo rmentespoientez	-⌫|-⌫----|----||----⌫|--⌫----|---------|
do ntle wan gelist esla susfu es chielz porte z	--⌫-||-⌫---⌫------⌫-|--⌫--|-|-|-----|-----⌫|
es chielzen fupor teztout	-|-----|-|-|---⌫--|---|
lisa in zd ouz	-|--⌫--⌫|-⌫--|
etha uz etdignes s i que bie ndirelos	-|--⌫-|-|-----|-⌫|--|---⌫|---||-|
pa rlecomm andement ih es ucr is tpar so n	--⌫|-|----⌫-------|--⌫--⌫|--⌫--⌫|--|--⌫|
lem por terenta postresetdeschielzlisainz	|-|---⌫-----|-⌫------|-|--|-----|-|----|
par dexqui lli au oitsamere conman dee	--|--|---⌫|-|--⌫--|-|---|------⌫--|
ia droiteraiso n	||-----|-----⌫|
ueueee tesga rdee	----|-⌫|----⌫---|
i liau oit aubesoigconmandee	|-|--⌫--|-|-----|--------|
l enfistissipo rterconmeelefuportee	|-|---|---|--⌫---|----|--|-|-----|
es chielzemfuportez	-|-----|-|-|-----|
en ch aren	-|--⌫-|-|
lisainse wangelistesa usiconme	-|----|-⌫----------|-⌫--|----|
namest ierdesorluidesarqeunede	||----⌫--|----|--|-|-----|-|-|
ker assisesteschielz	--|----|--|-|-----|
sorleplushautescame	--|-|---|---|-----|
laclartezsenrala si conme nosdison	-|------||-|---|-|----|--|----|
et li peuplesue nufude	-|-|------|--⌫-|-|-|
