#ME TA#TextURIErecF	---⌫--|------|----|
#META#DE AFh t tp//www.deaf-page.d e/ fr/bib l/b ib99e. php#ErecF	-----|--⌫-|-⌫-⌫-------------------⌫--⌫------⌫---⌫------⌫--------|
#META#TLErec	-----|-|---|
#MET A#FEW	----⌫-|--|
#META#ARLIMAhttps//www.a r li ma.net/ad/chretien_de_ tr o yes.html#ere	-----|-----|------------⌫-⌫--⌫----------------------⌫--⌫-⌫-----------|
#META# AuthorChrétiende Tr oye s	-----|-----|--------|-|--⌫---⌫|
# META#Author B or n1 130	-⌫----|------⌫-⌫--⌫|-⌫--|
#META#AuthorB ornAmbc	-----|-------⌫-----||
#META# AuthorDied 1180	-----|---------|---|
#META #Auth orDie dA mba	-----⌫|----⌫-----⌫--⌫-||
#META#AuthorFl1	-----|--------|
# META # AuthorFl2	-⌫----⌫|--------|
# META#TextTitle Ericet	-⌫----|--------|---|-|
#META# TextSubtitl e	-----|-----------⌫|
#ME TA#Textuols	---⌫--|-------|
#META# Text S ubi	-----|----⌫-⌫--|
#META #TextDoml it	-----⌫|------|-⌫-|
# META#Translation	-⌫----|----------|
#META#C ollection	-----|-⌫--------|
#M ETA#CollectionNo	--⌫---|-----------|
#META#Text DescARLuersoctosyllabiquesa ̀rim es	-----|----⌫------|---|--------------|-⌫|---⌫-|
#META#TextDescuers 8	-----|-----------||
#META# Tex tDa teARL117 0	-----|---⌫---⌫----|---⌫|
#META# TextDateAdi 1170	-----|----------|---|
#META#TextDateMin	-----|----------|
#META# TextDateMa x	-----|----------⌫|
# META#EdEditorFoerst erWendel in	-⌫----|-------|------⌫-|------⌫-|
#META#EdPlaceHall e	-----|------|----⌫|
#META# EdPub lisher	-----|-----⌫-----|
#META# Eduol	-----|----|
#META# EdYear	-----|-----|
#META# EdPages	-----|------|
#META#MsBaseH[ P8]	-----|-----|--⌫--|
#META # MsOther	-----⌫|------|
#META# MsNu m1 3	-----|----⌫|-⌫|
# META#M s Date ARL	-⌫----|-⌫-⌫----⌫--|
#META#MsDateAdi	-----|--------|
#META#For mu	-----|---⌫||
#META#Com pl ete true	-----|---⌫--⌫--|---|
#META#NoWords39059	-----|------|----|
#META# No Li nes 6 956	-----|--⌫--⌫--|-⌫--|
# META #DialAuth	-⌫----⌫|-------|
#META#Dial S cribe	-----|----⌫-⌫----|
#META #ScanURL	-----⌫|------|
m anp oist.	|-|-⌫----|
uolantiersco ngiéuos	---------|--⌫----|--|
Ladame seoitdeluiloing	-|---|----|-|--|----|
Tantcondeusla nc esontd el onc	---|--|---|--⌫--⌫-|--|-⌫|-⌫--|
E tli cuenssest assi s selonc	-⌫|-|----||--|----⌫|-----|
Delez li sorunbas	----|-|--|-|--|
Deuers l ui	-----|-⌫-|
se tornal adame	-|----|-⌫|---|
estoitsageet	-----|---|-|
cor toi se .	---⌫---⌫--⌫|
Haïf etilco m eilm e	---|-⌫-|-|--⌫-⌫|-|-⌫|
Quant uosale zatel uiltance	----|--|---⌫||--|-------|
Grantduelan	----|---|-|
grantp esance	----|-⌫-----|
Mes secroiremeu oli ie z	--|-|-----|-|-⌫---⌫--⌫|
Enor e t preui auri iez	---|-⌫|---||----⌫--|
Etmoutgranz biens uos anu androi t .	-|---|----|----|--|-|-⌫------⌫-⌫|
Auostrebiaut é	|-----|-----⌫-|
couandr oit	-------⌫--|
Granzenor setgra nz se ignorie.	----|----⌫|-|---⌫-|--⌫-------|
Ie f eroi e	-|-⌫----⌫|
de uosma mie	-|--||-⌫--|
S iluosplei s oitet bel	|-|--|----⌫-⌫--|-|--|
uos ser iiez	--|---⌫---|
mamie c h iere	|---|-⌫-⌫---|
Et dame de totema	-|---|-|---|-|
Quan tie da mor	----⌫|-||-⌫--|
uos daingreq uerre	--|----|---⌫----|
Neman deuezp asescon di re.	-||-|----|-⌫-|-----⌫--⌫--|
Biensai etuo i qu euostre	---|--|-|--⌫|--⌫|-----|
Neuosa im mene ne	-|--|-⌫--⌫-|-|-|
Abuensei gnor u os se roizprise	|---|---⌫---|-⌫-|--⌫---|----|
Seuosauuecmoiremenez.	-|--|----|--|-------|
S iredeneant uospenez	-⌫--|-|----|--|----|
Fet En ideCen e puet	--|--⌫--|-|-⌫|---|
Hemiauzf usseie	-|----|-⌫---|-|
oran est re	-||-⌫---⌫-|
Ou anu nfeudesp ine sars e	-|-|-⌫|--||---⌫---⌫|---⌫|
Sique laçandre	-|--|-|------|
fuste sparse	---|-⌫-----|
Que ieusse der ienfau sse ́	--||----|-|-⌫--|---⌫---⌫|
uersmo n sei gnorn e anpansé	---|--⌫|---⌫---|-⌫|-------|
F eleniene tr aïson .	-⌫-----|-|--⌫------⌫|
Trop auezfet grantmesprison	---|---|--|----|--------|
Quitelcho sem aue zrequise.	--|--|---⌫-||---⌫|-------|
Ienel fe roie	-|--|--⌫---|
annule guise.	-|---|-----|
Li cuen scomancea anflamer	-|----⌫|------||-------|
Ne me dei gneriiezamer	-|-|---⌫-------|---|
Damefeti lTropestes	---|--|-⌫|---|----|
Porlosangenepor proiiere	--|------|-|--|-------|
Nefe riiezrie n que	-|--⌫----|---⌫|--|
Bienestuoirs	---|--|----|
quefames orguelle	--|---||-------|
Quant lanplusla p rie	----||-|---|-|-⌫--|
etlosan g e	-|-----⌫-⌫|
Me s quilahonist e t	--⌫|--|-|-----|-⌫|
Cil latrueuemell orsouant.	--|-|-----|----⌫-|------|
Certesie u os meta ncouan t	-----|-|-⌫-|--|-⌫|-----⌫|
Queseuosmon talantnefeites	--|-|--|--|-----|-|-----|
espee st reites.	-----⌫|-⌫------|
Ocirr eferaiora n droit	-----⌫|----|-|-⌫-⌫----|
Ous oi tatortou soita	-|-⌫--⌫||---|-|---||
uostreseign ordeuantuoz iauz.	-----|-----⌫-|-----|--|----|
He sire feirepo ez miauz	-|---|----|--⌫-|----|
que uosnedites.	--|--|-|-----|
Tro pser iiez	---⌫|---⌫---|
felet traïtes	--|-|-------|
Seuos locïeii ez einsi.	-|--||-------⌫-|-----|
Rap aiiez uo sieuos an	---⌫----|--⌫|-|--|-|
Car ie fer a i uostre pleisi r.	--|-|---⌫-⌫|-----|------⌫-|
P oruostrem e	-⌫-|-----|-⌫|
p oez t enir	-⌫--|-⌫---|
Iesuiuostr eet e strele	-|--|-----⌫|-|-⌫---|-|
Neuos airiend it parorguel	-|--|-|---|-⌫-|--|-----|
Mesporsauoiret esprou er	--|--|-----|-|------⌫-|
Se ie porr oie an	-|-|----⌫--|-|
uostroue r	--|-----⌫|
mamissi e zde	|------⌫-⌫|-|
Mesie ne u oudroi eanulf uer	--|-|-|-⌫------⌫||--|-⌫--|
Queeüssieztraïs onfeite.	--|-------|------⌫-|-----|
Messir euersuosnes e	--|---⌫|---|--|-|-⌫|
Se uoseinsi locïeiiez	-|--|----||--------|
Tropgranttraïsonferii ez	---|----|-------|-----⌫-|
Etian resero ie	-||-|------⌫-|
Tuit diroient par	---|-------|--|
l acontree	-⌫|------|
seroitfetpar mon los.	-----|--|--|--|---|
Iusqu aumat inaiiezr epos	----|-|---⌫-|----|-⌫---|
Quemessi re uoud ral eue r.	--|--|--⌫-|----⌫-|-⌫---⌫-|
Ad oncle po rroizm iauzgreuer	--⌫--|-|--⌫----|-⌫---|-----|
Sanzb lasme	---|-⌫----|
auoiretsanzreproche.	----|-|---|--------|
Elp ansecuersqu eneditboche.	-|-⌫---|----|--⌫|-|--|-----|
eleormecreez	--|-|-|----|
Nesoii ezpassies freez	-|----⌫-|--|-|--⌫----|
Me sdemainan uoii ez ceanz	--⌫|-----|--⌫----⌫-|----|
uozcheu alierset	--|----⌫-----|-|
uoz serianz	--|------|
Si mefeitesa force p randre	-|-|-----||----|-⌫-----|
Mes siremeuou dra deffandre	--|---|-|---⌫--|--------|
Qui mout e st	--|---|-⌫-|
cora geus.	----⌫----|
Ousoit acertes ou	-|---||-----|-|
Feitesl eprandre	-----|-⌫|------|
te stedecoler.	--⌫--|-------|
Tro paimeneecest euie	---⌫|-|----|----⌫|--|
Ienaim mielaconpei gnie	-||--|--|-|------⌫---|
Monseignorien anquier ma ntir.	--|------|-||-|----|--⌫----|
Ieuos u oudroieiasantir	-|--|-⌫------|-|-----|
Anu nlit cert esnu	-|-⌫|--|----⌫-|-|
a nsomesuenu	-⌫|----|---|
Demamoreste s aseür.	-||---|----⌫||-----|
Licuen sr espont Abuen eur	-|----⌫|-⌫-----||---|--|
Dame Cer tesbuer	---|---⌫--|---|
fustes nee	-----|--|
Agrantenor	|----|---|
seroiz ga rdee.	-----|--⌫----|
Sirefet ele	---|--|--|
bienlecroi	---|-|---|
Mesauo ir an uu el	--|---⌫-|-|--⌫-|
uo stre f oi	--⌫---|-⌫-|
Queuosm e tandroizchier emant	--|--|-⌫|-------|-----⌫----|
Neuos a ncrer r oi ea utremant.	-|--|-⌫|----⌫-⌫--⌫|-⌫--------|
L i cuens respontliez	-⌫|----|------|---|
Te ne z mafoi ieuosfianz	--⌫--⌫|-|--|-|--|----|
Dameleaum an tcomec uens	---|-----⌫--⌫|---|-⌫---|
Quei eferai trestozuoz b uens	--|-⌫|----|------|--|-⌫---|
Ia dece ne uos esmai iez	-|-|-|-|--|-----⌫--|
Neuoudroizrien	-|-------|---|
queuosnaiiez.	--|--||-----|
Lorsana celelaf oi	---|-||---|-|-⌫-|
Mes pol an	--|-||-|
estet po l apr ise	--|-|-|-⌫|--⌫--|
Forspors o n	---|--|-⌫-⌫|
seignordeliurer.	------|--------|
Biensetpar	---|--|--|
paroleeniurer	-----|------|
Bric onde squeleimets ant an te.	----⌫-|--⌫|-|--||--||---⌫--⌫--|
Mi auzestas sez queleli	--⌫--|--|--⌫--|-|--|-|
Ques es sirefustdepeciez .	--|-⌫-|---|---|--------⌫|
e s t licuens	-⌫-⌫|-|----|
Silacomande	-|-|------|
a Deuçantfoi z	|--|----|---⌫|
Mesmout liuaud rapola foiz	--|---|-|----⌫-|-|-|---|
Q ue fi ancieeliauoit.	-⌫-|--⌫-----|-|-----|
Erecdec erienne sauoit	---|-|-⌫|---|-|-----|
Quildeüssentsamort	-|-|--------|-|---|
MesDeus li	--|---|-|
porr a bieneidier	----⌫|---|-----|
Et ie cuitques ifera il.	-|-|---|--|-⌫|---|--|
OrestErecangrantper il	-|--|---|-|----|---⌫-|
cui deau oirregar t.	---⌫-|--⌫--|-----⌫-|
M o utestli cuensdem a le	-⌫-⌫-|--|-|----|-|-⌫-⌫-|
Qui safa metolir	--|-|--⌫-|----|
Etluiocirresa nzdeffanse.	-|--|-----|--⌫-|--------|
prantaluicong ié	----||--|----⌫--|
ADeufet il uos c oma nt gié.	|--|--|-|--|-⌫---⌫-|----|
Ere c respont	---⌫|------|
S ireetgié uos.	-⌫--|-|---|---|
Einsidepartent an trausdos.	----|--------|--⌫-|--|---|
Delanuit fug ranzmassealee.	-|-|---|-|-⌫---|----|----|
Anu nechanbre a recele e	-|-⌫-|------||------⌫|
Fure ntdui	----⌫-|--|
litaterrefe t.	--||----|--⌫-|
Erecanluncouchier	---|-||-|-------|
An la utree stEn ide couc hiee	-||-⌫---|-⌫-|--⌫--|----⌫---|
Mo u tdolanteetmout cor r eciee.	--⌫-⌫|------|-|---|---⌫-⌫-----|
Onques lanu i tne pris tsom oil	-----|-|--⌫-⌫|-|----⌫|---⌫--|
Porsonseignor	--|--|------|
fuan es u oi l	-|-|--⌫-⌫--⌫|
Que le c onteo tbienconeü	--|-|-⌫---|-⌫|---|-----|
Detantcome ele	-|---|---|--|
Q ue pl ainsestoitd e	-⌫-|--⌫---|-----|-⌫|
Biensetqueseilabaillie	---|--|--|-|-||------|
s eignornepuet	-⌫-----|-|---|
Queil nelfacemaubaillir	--|-|--|---|---------|
Seürsp uetestredelamor t	-----|-⌫--|----|-|-|---⌫|
De linese tnulrecon fort.	-|-|-|--⌫|--|-----⌫----|
Totelanuit	---|-|---|
uell ierlestuet	----⌫--||-----|
Mesainzleiorse ele	--|---|-|--|-|--|
lauuellecroirre	-|-----|------|
Auront ilatornélo ro irre.	-----|-|------|--⌫|-⌫----|
E REC dormimoutlonguemant	-⌫--|----|---|---------|
Totel an uitseure m ant	---|-⌫|-⌫--|-----⌫-⌫--|
Ta ntque liiorzmoutapro c ha.	--⌫-|--|-|---|---|----⌫-⌫--|
Lors ui t bien En i deetsosc ha	---|--⌫|---|--⌫-⌫-|-|----⌫-|
pooittrop atandre.	----|---|-------|
uer ss onseigno rot	---⌫|-⌫-|------⌫|-|
lecuerta nd re	-|---|--⌫--⌫-|
Comebuenedamee t leaus	---|----|---|-⌫|----|
Sescuer sne	--|----⌫|-|
fud ob liersne faus.	-|-⌫--⌫----|-|----|
Eles elieueet apa roille	--|-⌫|----|-|---⌫-----|
Asonseignor u int	|--|------|-⌫--|
sil esu oille.	-||---⌫-----|
Ha sirefetelemerci	-|---|--|--|----|
Leuezisnelemant deci	----|---------|-|-|
Quetraïz estesan treset	--|-----|----|--⌫-----|
Sanz achoison etsanzfor fet.	---|-------|-|---|---⌫---|
Licu enses ttr a ïtr e prou ez	-|--⌫--|--⌫|--⌫-⌫----⌫|----⌫-|
Secip o ezestret rouez	-|-|-⌫-⌫-|----|-⌫----|
Ia neschaperoiz delaplace	-||----------|-|-|----|
Qu e totdesmanbrer neuos	--⌫|--|---------|-|--|
Auoirme uiautpor ce uoshet .	----|-|----|--|-|--|---⌫|
MesseDeuples tqui toz	--|-|--|----⌫|--|--|
uosn iseroiz	--|||-----|
n em orz nepr is.	-⌫|-⌫--|-|--⌫--|
Des ersoiruoseüst	--|-----|--|----|
S ecr eanténe lieüsse	-⌫|--⌫-----|-|-|-----|
Ques amie e tsafamefusse.	--||---|-⌫|-|---|-----|
Iale uerroiz	-|-|------|
ceanzuenir	----|----|
Prandreme uiautetre teni r	------|-|----|-|--⌫----⌫|
Etuoso cirre s	-|--|-⌫----||
Oro t Erecquebiens e prue ue	-|-⌫|---|--|---|-⌫|----⌫-|
ue rsluisa fame leaumant.	--⌫-|--|-|---|--------|
Damefet ilisnelemant	---|--|-|---------|
Feitesnoz cheuaus	-----|--|------|
Etcoreznostre o steapeler	-|----|-----|-⌫--|-----|
Siliditesquilu aingneç a.	-|-|----|-|-|-⌫-----|--⌫-|
T raïsonscoma nça pieça.	-⌫-------|----⌫---|----|-|
li che ual anselé	-|---⌫--|------|
Etl adam e a l osteapelé.	-|-⌫|---⌫|||---|------|
Erecs estarmezetuestuz .	---||--|----|-|------⌫|
Al uiestse sostes uenuz .	|-⌫-|--|--⌫|----|-----⌫|
Siredist ilquel hasteauez	---|---|-|---|----|---|
Qui a telo reuos leuez	--||--|-⌫-|--|----|
solauz a peire	-----|-⌫----|
Erec res p ont qu	---|---⌫-⌫--|-|
Mout longueu oieetgranti ornee	---|-----|-⌫--|-|----|-⌫----|
Porc ea sauoie	--|-⌫||-|---|
angrantespans	-|----|-----|
EtdistSi rede	-|---|--⌫-|-|
m ondespans	-⌫-|------|
N auez uosancorrie nc onté.	|---|--|----|---⌫|-⌫-----|
Enorm auezfeit e	---||---|----⌫|
Et moutiafiertgranzmerite.	-|---||-----|----|------|
P orset destriersmeclam ez	-⌫-|--|--------|-|----⌫-|
ai ceanzamene z .	-|----|-----⌫-⌫|
Neu oss oitpoçausretenez	-|-⌫-|-⌫--|-|----|------|
Deplusn e uo spuismon	-|---|-⌫|--⌫|---|--|
doncr oistre	--|--⌫-----|
Nes dela monted	--|-|-|----||
uncheuoistre.	-|----------|
Decestdo n fuliboriois liez	-|---|--⌫|-|-|------|---|
Si lananclineius quaspie z	-||-|------|---⌫-|-|---⌫|
Granzmerciz	----|-----|
etgraceslan rant.	-|-----||-|----|
Ere c etcongié prant	---⌫|-|------|----|
Si se reme tentalau oie.	-|-|----⌫---||-|-⌫---|
M out ua chastiantt oteuo ie	-⌫--|-|--------|-⌫--|--⌫-|
Enidesee lerie nuoit	----|-|-⌫-|---⌫|---|
Qu eletanthardie neso it	-|--|---|-----|-|--⌫-|
Q ue elele metea	-⌫-|--|-|---||
Atantantre n t	|---|-----⌫-⌫|
an lameiso n	-|-|-----⌫|
Çantcheualierdarmes garni	----|--------||----|----|
tantfu r ente scharni	---|--⌫-⌫--|-⌫------|
ontpasErec troué .	--|--|---|------⌫|
Lorsa bienlicuens	---||---|-|----|
esprou e ́	------⌫-⌫|
Queladam elot	--|-|---⌫||-|
Lesclodesc heuausa seü	|----|--|-⌫-----||---|
Sisesonttu it misan latrace.	-|-|---|--⌫-|--|-|-|-----|
L icuen sfo rmantErec menac e	-⌫|----⌫|--⌫----|---|-----⌫|
Etditques illepuetat aindre	-|--|--||-|-|---|--⌫-----|
Porrien nulenepuetremai n d re	--|---|---|-|---|-----⌫-⌫-⌫-|
Quemaintenant le chi efna npraingne.	--|---------|-|---⌫-||-⌫|--------|
Ma r iauranu l	--⌫||---|--⌫|
quise f aingne	--|-|-⌫-----|
Fetil deto st esperoner	--|-|-|--⌫-|--------|
Quim epor ral e chief doner	--|-⌫|---⌫-|-⌫|----|----|
Delc heualierqueiet ant	--|-⌫-------|--|-|-⌫--|
bien seruia	---|----||
Lors se sleissent tuit	---||-⌫--------|---|
Demautalant sonte niuré	-|--------|---|-⌫-----|
uersceluiqui	---|----|--|
onquesnesuit	-----|--|--|
Nem alne lorafetnedit.	-|-⌫-|-|--||--|-|---|
Tantc heuauchentq u i l	---|-⌫---------|-⌫|-⌫|
le choi sirent	-|----⌫-----|
An chief duneforestleuir ent	-|----||--|-----|-|---⌫--|
Ainzq u ilpar	---|-⌫|-|--|
fustanfores tez.	---|-------⌫---|
Lors nanest	---||-|--|
uns s eusarestez	--|-⌫--|------|
Par contanc ̧ons eslei ssent tuit.	--|-------⌫--||-----⌫----|----|
En ideotla	--⌫--|-|-|
noiseetl ebruit	----|-|-⌫|----|
Delor armesdelorcheuaus	-|--|----|-|--|------|
E tu oi tqueplainsanestliua us.	-⌫|-⌫--⌫|--|-----|-|--|-|--⌫--|
Desqueelelesu ituenir	--|--|--|--|-⌫-|----|
Depa rlernes epottenir.	-|--⌫---|-|-⌫|--|-----|
Haïsir ef et ele haï	---|---⌫|-⌫-|--|---|
Conuosa c ist cuensanuaï	--|--||-⌫--|----|-----|
uos amainne telost	--|------|--|--|
Sirecarcheu auch iez	---|--|----⌫----⌫--|
Tant qua ncele forest	---|-|-⌫|---|-----|
E spoirtos t eschaperiie ns	-⌫----|---⌫|-----------⌫-|
Carcilsontancor	--|--|---|----|
moutarriere.	---|-------|
Se uosalez antelmeniere	-|--|---|-|--|------|
Nepoez de m ortes ch aper	-|---|-|-⌫--|--⌫--⌫---|
Quenestesmie p e r aper.	--||----|--|-⌫-⌫||---|
Erecrespo n tPome	---|-----⌫-⌫|-|-|
Ma parolemo u tdespisiez.	-|-----|--⌫-⌫|---------|
Ie neuossaitantbel p r i ie r	-|-|--|--|---|--|-⌫-⌫-⌫--⌫|
Que ie uospuisse chast i ie r.	--|-|--|-----|-----⌫-⌫--⌫-|
Mes seDeusetdem oi me r ci	--|-|---|-|-|-⌫-|--⌫-⌫-|
Tan tqueschaper puissedeci	---⌫|-|-------|-----|-|-|
Cest euos iertmout chie ruand ue	----⌫|--|---|---|----⌫|----⌫-|
S e co rages nemerem ue.	-⌫|--⌫----|-|-|---⌫--|
Il ser eto rnem aintena nt	-|-|-⌫---⌫--|-⌫-------⌫-|
sene scha luenan t	----⌫----⌫|-----⌫|
S or un cheual fortet isnel.	-⌫-|-|-----|---|-|-----|
Deu ant aus tozfetunçanbel	---⌫--|--|--|--|-|------|
Letretdequ a trearb a lestees.	-|---|-|--⌫-⌫--|---⌫-⌫-------|
pas sesarmes	--|--|----|
Carm outsanfu b ien	--|-⌫--||-|-|-⌫--|
a ce smez.	-⌫--⌫----|
Erec aç aus	---||--⌫--|
E tuo itquebienania çant.	-⌫|--⌫-|--|---|-|||-----|
C eluiqu i	-⌫---|--⌫|
si leuachaçant	-|-|-|-------|
Panse quaresterliestuet.	----|-|------|-|------|
Liuns cont rel au tr e	-|--|----⌫-||--⌫--⌫|
Etfieren tparmi lesescuz	-|------⌫|----|--|----|
desferstranchanz ag u z.	--|---|--------|--⌫-⌫-|
r oitespiédacier	-⌫--|-----||----|
Lifistparmilecors gla cier	-|---|----|-|---|---⌫---|
N eliescuzn e	-⌫|-|----|-⌫|
liha ubers	-|--⌫----|
Neliua lutunçan dalpers.	-|-|--⌫--|-|----⌫--|----|
A tan tezuospoign antle c o nte	|---⌫|-|--|-----⌫--|-|-⌫-⌫--|
Quisiconlestoirereconte	--|-|--||------|------|
Es toi tcheualier sforz	--⌫---⌫|---------⌫|---|
foslicuens	--|-|----|
ot quelescuetl a lance.	-|--||---|-|-⌫|-----|
Ansa p roesce ot tel fia nce	-|-|-⌫-----|-|--|---⌫--|
Quarmerneseuostautremant.	-|----|-|-|---|---------|
De cefistmout gra nthardemant	-|-|---|---|---⌫-|--------|
Quedeuantt res tot e sses i anz	--|-----|-⌫---⌫---⌫-⌫|--|-⌫--|
S esleissaplusd enuef	|-------|---|-⌫|---|
a rp a nz.	-⌫--⌫-⌫--|
QuantErecleuitf or sde rot e	----|---|-|--|-⌫--⌫|-|---⌫|
A luiganchistcilnel	|--|-------|--|--|
Sis antreuienentfieremant.	-||-----------|---------|
le fiertpremieremant	-|----|-----------|
Parte lu ertude uant le piz	--|--⌫|-⌫---|--⌫---|-|--|
Quelesestrierseüst guerpiz	--|--|-------|----|------|
Seb ienafichie znes efust.	-|-⌫--|-------⌫|-|-⌫|----|
De lescu fet croissir lefust	-||---|--|-------|-|---|
Que dautrepartansaut lifer s.	--||----|---|-|---|-|---⌫-|
Mesmout furicheslihaube rs	--|---|-|-----|-|-----⌫-|
mortle garanti	---|-|------|
Quonquesmaille nandes ro n pi.	-|-----|-----||-|---⌫--⌫-⌫--|
Licuens fuforz	-|----|-|---|
sa lancefroisse	-|----|------|
Erec lefiertpartelan gois s e	---|-|----|--|--|--⌫----⌫-⌫|
Sorl escuq uifu	--||---|-⌫-|-|
t ainzdeiaune	-⌫---|-|----|
Que delala nce plusdun e aune	--|-|-|--⌫--|---||--⌫|---|
Parm ileuuitbulianbat	----⌫|-|---|-|-|----|
Pasme ́ iusde l de strier l	-----⌫|--|--⌫|--⌫-----||
Atan tganchist si s anretorne	|---⌫|-------|-||-|------|
A nlap lac eplusne	-⌫|-|-⌫---⌫|---|-|
Parmilaforestadroiture	----|-|-----||-------|
ue tpoignant grantale üre.	--⌫|-------|----|---⌫----|
E zuosEre c anfor e sté	-⌫|--|---⌫|-----⌫-⌫---|
Et li autr esont	-|-|----⌫|---|
Sorçaus qu ianmile	--|----|--⌫|---|-|
c ha npiurent.	-⌫--⌫-|------|
afichentformantetiure nt	-------|------|-|----⌫-|
Que i llechacer ont einc ̧ois	--|-⌫|-|------⌫--|----⌫---|
deusiorz o u trois	---|---|-⌫|----|
Queilnel prain gnent	--|-|--|-----⌫----|
etoci ̈ent.	-|---⌫----|
antantcequeildï ent	-----|-|--|-|---⌫--|
Quimoutfueluuit	--|---|-|-|---|
bub leciez .	-|-⌫------⌫|
Un pet itsesta	-|---⌫-||--||
mo nt dreciez	--⌫-|------|
un petite toeure.	-|------⌫|-----|
Bienap arçoitque mauueiseoeure	---|--⌫------|--|-------|----|
Auoitancomanciéafeire.	----|----------||-----|
Lescheualiersfetar riers	--|---------|--|--⌫----|
Seignorfetila	------|--|-||
Quilni etunseulsihardi	-|-|||-|-|---|-|----|
Fortn efo iblenehautne bas	---|-⌫|--⌫---|-|---|-|--|
alerauantunpas.	---|----|-|---|
Re t or neztuitisnelemant	--⌫-⌫--⌫--|---|---------|
Es ploitiéaiuilainneman t	--⌫-------|-|-----------⌫|
Demauilenieme p oise.	-|-|------|-|-⌫----|
Mout est preuzetsageet	---|--|----|-|---|-|
Ladamequi deceüm a.	-|---|--|-----||-|
S a biautez damorm aluma	-⌫|------||---||----|
Por ce que ie lade siroie	--|-|--|-|-|--⌫-----|
Sonseignor ocirreuoloie	--|------|-----|-----|
Etliparforceretenir.	-|-|--|----|-------|
Bienmand e uoit	---||-|-⌫-⌫---|
mausauenir	---|-----|
estuenuzlimaus.	--|----|-|----|
f eisoieetd esleaus	-⌫-----|-|-⌫------|
Ettraïtreset	-|--------|-|
Onqu es nefu demer enez	----⌫-|-|-|-|---⌫|--|
Miaudrecheualiersdecestui.	------|---------|-|------|
Ia mes parmoi nauraenui	-|--|--|--||---|---|
Laouiel p uissedestorner.	-|-|--|-⌫----|---------|
T ozuosc o mant aretorner.	-⌫-|--|-⌫-⌫---||--------|
reuontdesconfort é.	-----|----------⌫--|
Lesenescha lanontporté	-|--------⌫|-|--|-----|
lanuersdesonescu.	|-----|-|--|----|
Li c uensapuisas sez uescu	-|-⌫---||---|--⌫--|----|
Quil nef u pasamort	-|-|-|-⌫|--||---|
EinsifuErec del iurez .	----|-|---|---⌫-----⌫|
anuettozesleissiez	-|--|--|---------|
Uneuoieantre deuspl eissiez	--|---|----|---|--⌫------|
Ilet s a famedeua nt	-|-|-⌫|---|----⌫-|
anuontandui.	-|---|-----|
Tanto nterréet	---|-⌫-|----|-|
ch eu auchie ́	--⌫--⌫------⌫|
uindrent a nunpré fauc hié.	-------|-⌫|-|---|----⌫----|
Audesbus chie rdelpleisseïz	-|------⌫----⌫|--|---------|
Tro uerentun p ontt orneïz	---⌫-----|-|-⌫--|-⌫------|
unehaute tor	--|----|--|
esto itde mur antor	----⌫-|-|--|----|
Etde fosséléetp arfont.	-|-|-----|--|-|-⌫------|
Isnele mant p assentl ep ont	------⌫---|-⌫-----|-⌫|-⌫--|
Mes mout orentalépetit	--|---|----|---|----|
amontlesuit	----|--|--|
Cilquide lator	--|--|-|-|--|
estoit sire.	-----|----|
De lui uoss aiue ritéd ir e	-|--|--|-⌫-|--⌫----|-⌫--⌫|
Qu ilestoit mout de	-|-|-----|---|-|
Mes d egran t cuer estoit	--|-⌫|----⌫|---|-----|
Quant ilui tErec trespassant	----|-|--⌫|---|----------|
De latorcontre	-|-|--|-----|
ual d esçant	--|-⌫------|
Etfist sorungrantdestrier sor	-|---|--|-|----|-------|--|
Metreuneseleal ions d	----|--|---||-⌫---||
Puiscomandequa n l i a port	---|------|-|-⌫|-⌫|-⌫---|
Esc uetlanceroide etfort	---⌫|-|----|----|-|---|
Espeeforbi eettranchant	----|-----⌫|-|--------|
Etsonhia umecler etluisant	-|--|---⌫--|---|-|------|
Haub ercblancetchau cestreslices	----⌫--|----|-|----⌫--|--------|
Carue üa deu antsesli ces	--|--⌫-||---⌫--|--|--⌫--|
Uncheualierarmépasser	-|--------|----|-----|
Acuiseuiautdar meslasser	|--|-|----||--⌫--|-----|
Ouci lalu ise las sera	-|--⌫||--⌫|-|---⌫---|
Tantquetozr ecreanz sera.	---|--|--|-⌫------|----|
Cil ontsoncomand emant	--|--|--|------⌫----|
ialec heualfo rstret	-|-|-⌫----|--⌫-|---|
Laselemiseet	-|---|---|-|
L au nsescui i er s a mené	||-⌫-|-----⌫-⌫--⌫|-⌫----|
Uns autre lesarm es aporte.	--|----|--|---⌫-|------|
Licheualierspar milaporte	-|---------|---⌫-|-|----|
est issuz pl ustost	--|----|--⌫-|---|
que conp eignonn	--|----⌫-----||
Ere c sanuet parun	---⌫||-|--|--|-|
Ezuo s leche u alier fan dant	-|--⌫|-|---⌫-⌫----|---⌫---|
Parmilete rtre contreu al	----|-|--⌫---|-----|-⌫-|
Etsist sorun mout	-|---|--|-|---|
fo rt ch eual	--⌫-|--⌫---|
gran tesfroi	----⌫|-----|
Q ue dessozse spiezesgrumoit	-⌫-|-----|--⌫|---|--------|
Lescha i llos plus menu	--|---⌫-⌫---|---|---|
Qu emu elenesquachefrom ant	--⌫|--⌫--||-------|----⌫--|
Et sanuoloientde	-||-|-------|-|
