anceltans quelimostier	-|--|---|--|-|------|
caux tantilses	---|---|-|--|
lazporprandreporcequ il ne	--|--|------|--|-|-|-|-|
uue ltqu e nunsliachape.	---⌫-|--⌫|---|-|-----||
sembleque cilquimetenta non cha lo ir	-----|--|--|--|-----||--|---⌫--⌫-|
lesconm andemenz nostresegnore t lapaour del a poine	--|----⌫-------|-----|-----|-⌫|-|----|-|-⌫|----|
denfe rporseruir	|----⌫|--|-----|
cruelsegnorcommeestlimon deset	----|-----|----|--|-|---⌫--|-|
nule remanbrancenont	---|----------||--|
d elamortnedeschosesquisunt a	-⌫|-|---|-|--|-----|--|---||
a ue nir sont sanbl aub le	-⌫--⌫--|---|-----⌫---⌫-|
a lh o me quid ela	||-⌫-⌫-|--|-⌫|-|
facealuni corne.	---|||---⌫----||
ilauintque unshonsui tl unic orne et s	-|----|--|--|---|--⌫||----⌫---|-||
enfuidedeuantlu iquilnel edeuorast	----|-|-----|--⌫|-|-|-|-⌫|-------|
ilsanfuioit	-||-------|
s i chai enuneparf onde	-⌫|---|-|--|----⌫---|
fos s eetsi commeilchaioit l esmeinsestand u essi	---⌫-⌫|-|-|----|-|------|-⌫-|----|------⌫-⌫-|-|
auintquilse pr ist aunar broise le t	----|-|-|-|--⌫--||-|--⌫------⌫|-⌫|
mists espiezenunecreuacequiestoi t	---|-⌫-|---|-|--|------|--|-----⌫|
enla fos seetile c que ssetintau	-|-|---⌫-|-|---⌫-⌫---⌫|-|---|-|
pl us formant	--⌫-|------|
ensintconm e	-----|----⌫|
iles toiten ceste maniereetre gardoitentor	-|--⌫---|-|----|------|-|--⌫------|----|
lui siuist dues sor iz unebla icheet u ne n oire	--|-|---|---|---⌫-|--|---⌫---|-|-⌫-|-⌫---|
qui sanrepous	--|--|-----|
rongoien tlar acin e de l arbre ouiles toit	--------⌫|-|-⌫----⌫|-||----|-|-|--⌫---|
prise tlauoientia presquecopee .	---|-⌫||------|-|------|----||
apresseregardaiaufo nz de lafosse	----|-|-------|-|--⌫-|-|-|----|
e t uis tzz	-⌫|---⌫|-|
dragon mo n t orri ble quig itoitfeuet	-----|--⌫-⌫|----⌫--|--|-⌫----|--|-|
flame par milesnarilles etbaiotla goulepor lui	----|---⌫-|--|-------|-|----|-|----|--|--|
p uisregarda anco resantorluiet	-⌫--|------|----⌫--|----|--|-|
uitd elacreuace	--|-⌫|-|------|
ouilauoitsespiezis si rle s	-|-|----|--|---|--⌫--⌫|--⌫|
c hie s d e	-⌫---⌫|-⌫|
entreceschose ssire gardaienhau tetuit une	----|--|-----⌫|-|--⌫-----|-|---⌫|-|--|--|
mielqui degoutoitdesbreinchesd e cel	---|--|--------|--|--------|-⌫|--|
atant mistanon	----|---||--|
chalortouz	-----|---|
lesperizdo niles to itauironezde l unicornequ i	--|----|--⌫|-|--⌫--⌫-|-------|-||-------|--⌫|
lagitoitp ar deseurelafo sseetdou dragon	|------|-⌫-|------|-|--⌫--|-|--|-----|
quil atendoit	--||-------|
pardesouzet laracinede	--|-----|-|-|-----|-|
ouilsetenoitquie stoi tpres decope e.	-|-|-|-----|--|-⌫----⌫|---|------⌫||
periz m istil	----|-⌫--|-|
enoblietsaban dona d el tousta	-|---|-||----⌫---|-⌫-|----||
auoirlagoutedel miel .	----|-|----|--|---||
cestesamblanc eq ue iet	----|--------⌫|-⌫-|-||
ai diteapartie n tatouzc auxqui	-|---|-------⌫-⌫||---|-⌫--|--|
a lat raisonde la	|-|-⌫-----|-|-|
presenteui es abandonent.	-------|--⌫||---------||
e xposici onl	-⌫-------⌫-||
unicornese nefiela m ortqui tou iorz	-------|--⌫----|-|-⌫--|--|---⌫---|
chacepor prandr e	----|--|------⌫|
lumen eli gnie	|----⌫|--⌫---|
lafosse se nefiecestmonde qui siestplein sde	-|----|--⌫----|---|----|--|-|--|-----⌫|-|
touz maul s	---|----⌫|
liarbro is siau lqueles	-|-----⌫--⌫----⌫|--|--|
yysorizrungoients enef ielaaiged e	-|----|--------|-⌫----⌫-||----|-⌫|
ch ascunhommequ iamenusepe titetp etitet	--⌫----|----|--⌫|------|--⌫--|-|-⌫---|-|
aproichechascun ior asa fin	-------|------|--||-|--|
li quatre uersenefi entl	-|-----|--|------⌫--||
estaublissementde chascuncorshumen quiestfezde	--------------|-|------|---|----|--|--|--|-|
yysidesestable setsif reillesele m anz	-|-|----------⌫|-|-|-⌫------|---⌫-⌫--|
licruersdragons senefielorribleuentred enfer qui	-|-----|------|------||------|-----||----|--|
couoit ecaux aengl otirquilai sent les bienpardurauble	------⌫|---||----⌫---|--|---⌫---|--|---|----------|
delitdeces terri ennesuanitez	----|-|--|-----⌫----|------|
lagou tedemielsenefi el a	-|---⌫-|-|---|------⌫|-⌫|
pouredouceur	----|------|
desdelizdec estmonde	--|----|-|-⌫--|----|
po rq uoi lideaubles e nging nelesseinzetnelor	--⌫|-⌫--|-|-------|-⌫-----⌫-|--|----|-|-|--|
l aise ueoi r lorpropr esalut .	-⌫---|----⌫|--|-----⌫|----||
quantiosaphatou tc eesco u té	----|-------|--⌫|-⌫|----⌫-⌫--|
sidist il mesemblequeces tech os esoit uoire	-|---|-|-|-----|--|---⌫-|--⌫--⌫|---|----|
essamples .	--------||
p ri que tum e	-⌫-|--|-|-⌫|
dies assezdetesesamb le p ormielz	---|----|-|--|-----⌫-|-⌫-|----|
conoistrelesm aus quecistmondesfait	--------|--|-⌫--|--|---|-----|---|
aca uxquil aimment	|--⌫-|--||------|
et balaam li dista ncoresontcilqu ice	-|-----|-|---|-⌫----|---|--|--⌫|-|
mondeaimm ent et ses f a uzd elizsanbl aublea l	----|----⌫--|-|--|-⌫-⌫-|-⌫---|-----⌫----|||
om e quiou t yyam is doni l	--⌫|--|--⌫|-|--⌫-|--|-⌫|
sidureme ntquesileussen tmestier delui	-|------⌫-|--||-|------⌫|------|-|--|
laissastoccirep oramord elz.	-------|-----|-⌫-|---||--||
mes lou tie rz aminamoistil m i e tant	--|--|---⌫-|--||-----|-|-⌫-⌫|---|
ei nzlauoitendespist ne	--⌫-||----|-|------|-|
nelipor toitenor fors tantseul e mantqu	-|-|---⌫---|---|---|---|----⌫-⌫---|-|
semblantqu	-------|-|
il eu st aluizzpouda mor s .	-|--⌫-||--|-|--||-⌫---⌫||
uniorauint que	-|--|----|--|
li preuostl empereoruindrenta cel	-|------||-------|-------||--|
home et lepristre ntetle	---|-|-|-------⌫-|-|-|
menieren talorseignorporrandrecon te	--------⌫||--|------|--|-----|---⌫-|
de yyta lanz	-|-|--⌫---|
quantc ilfuen teilmaniereprissi sepansai	----|-⌫-|-|-|---|------|---|-|-|-----|
qu ilre querrot se samisquil	-|-|--⌫------|--⌫|---|-|-|
liaides ie ntaconterasonsei gnor.	-|-----⌫--⌫-||-----||--|---⌫---||
a d on cuintacelua miq uilplus	-⌫-⌫--⌫|---||---|-⌫-|-⌫|-|---|
amoit et li	----|-|-|
disth aytresdoul za misdonc	---|-⌫-|---|----⌫|-⌫--|---|
conbieng eta itouziors amée tfait por	------|-⌫||-⌫|---|---|---|-⌫|---|--|
ora igrantmestierdet	-|-⌫|----|------|-||
aydequari l m estisia uenuzqui	---|---|-⌫||--|--|-⌫----|-||
mecouientcont er	-|------|----⌫-|
amon seignor .	|--|------||
ormedicommanttu maideras .	-|-|-|------|-||------||
cil l ire sp ondihome	--|-⌫|--⌫--⌫---|---|
genesuim ietesami s	-|-|--|-⌫-|--|---⌫|
sapqui tues quaria iaut res	--|--|-|-|---||-⌫|---⌫--|
amisquimecouientfestoier	---|-||-|------|-------|
etcil sero ntmiamido sor	-|--|----⌫-|-|--|--⌫|-|
etnequedai n ieteyy	-|--------⌫|-|-|-|
heresaporterauoquestoi la ioutudoiz	----|------|------|--|--⌫|-|-|---|
al er encoresne	--⌫-|------|-|
tefac enteles	-|---⌫--|---|
pointdebien.	----|-|---||
nemedemand erplus	-|-|------⌫-|---|
quarnule autreay dege	---|---|----|--⌫-|-|
nete fer oi e.	-|-|---⌫--⌫||
oicesifutouz	-|-|-|-|---|
desesperezpor l agrant aydequ il cuydo itauoir	---------|--|-⌫|----|---|-|-|-----⌫-|----|
e tau laiau sec ont amietselid istremanbre	-⌫|--⌫--|-|---⌫--|--|-|-|-|-⌫--|-------|
toibiau s a misdela m or	--|----⌫|-⌫--|-||-⌫-⌫-|
queget aifete quari esuis	--|-||-|---|---|-⌫|---|
cheuz engra nttr ibulatio n si aigrantme stiers	----|-|---⌫-|--⌫--------⌫|-|-|----|--⌫-----|
dim oi con bientumeporas a i dier	-|-⌫-|---⌫---|-|-|----|-⌫-⌫---|
cillire sp ondi	--|-|--⌫--⌫---|
huitan taf er equen eporraia	--|---⌫||-⌫--⌫|--|-⌫|-----||
toiente ndreaydierqua r gaiautr e chos ea	--|----⌫---|-----|---⌫||-|----⌫|----⌫||
f aireet nequedamie teconuoieraiune	-⌫---|-|-------|-|-|---------|--|
piec eencore netedoie il	----⌫|-----|-|-|---|-|
neantprofitieretpuis re tornera i en ma m eson	----|--------|-|---|--⌫-------⌫|-|-|-⌫---|
ma besoi gne.	-|-----⌫--||
cilhome senal a iu udemeinset	--|---||-|--⌫-⌫|-⌫--|----|-|
se repantide cequil	-|------|-|-|-|-|
auoitserui	----|----|
foulemantlorsalaiason tier zami de cui	--------|---|---||--|----⌫|--|-|--|
auoitonquesenle	----|-----|-|-|
c uernene lauoit amé	-⌫--|-|-||----|---|
si lidistamis ge nose parle ra	-|-|---|---|-||--|-----⌫||
toi q ua r	--|-⌫--⌫|
ge conoisbie nquege nete fis	-|-----|---⌫|--|-|-|-|--|
onque sbienne nemet ing	-----⌫|---|-|-|-|-⌫--|
a amoruers toi.	|---|---|--||
gesuischauz enadue r siteetgene trui spoint	-|---|----|-|----⌫-⌫---|-|-|-|----⌫|----|
d aydeenmesautres am i s setepri que	|---|-|--|-----|--⌫-⌫|-|-|--|--|
tunepregnesgardea	-|-|------|----||
mignoran ce	|-------⌫-|
tu mefacessilpuetestre	-|-|----||-|---|----|
auscundesecors.	-----|-|-----||
cillirespo n dilie mant	--|-|-----⌫-⌫-|---⌫---|
etdistcertesge terege is	-|---|-----|-|-|----⌫-|
bienquetue smes	---|--|-|-⌫|--|
tr es doul z amiset	--⌫-|----⌫|---|-|
bien saich e squece	---|-----⌫-⌫|--|-|
p oud ebienque tu mes fait iele	-⌫-|-⌫|---|--|-||-|---|-|-|
terandrai a yyd oubles .	-|------||-|-⌫-----||
touzaseurquege iraiauoc toi de uant	---|----|--|-|---|---|--|--⌫---|
lemper eoretpar leraipor toiet	|-----⌫--|-|---⌫----|--|--|-|
ne t e lairaimieliurer	-|-⌫|-----|--|-----|
asmei nsd etesenemis.	-|---⌫-|-⌫|--|-----||
lorsoutcil	---|--|--|
montgran tio ieetd ist asoimeism eslequel	---|----⌫|--⌫-|-|-⌫--||--|-----⌫-|-|---|
pleindrai ge auantoule bienq uegea i	--------|-|----|-|-|---|-⌫-|-|-⌫|
f aita mes fausamiso u le bie nq u e ge	-⌫--||--|---|---|-⌫|-|---⌫|-⌫-⌫|-|
ai lais iéafere parignorance	-|----⌫--||---|--|--------|
acemienbonami	|-|---|--|--|
io saphat quimontou stuelun tiersescou técestex empl eli	--⌫-----|--|---|--⌫-|-----⌫----|-----⌫--|---|--⌫----⌫|-|
priai qu ill	----|-|-||
ende i stl	-|--⌫-⌫-||
expo sition et bal aam lidis tlipr emi ers	----⌫-----|-|---⌫--|-|---⌫|-|--⌫---⌫--|
estla po ssession desriches cesporcui a morlen	--|-|--⌫-------|--|------⌫--|--|--|-⌫--|--|
semeteniou dep eriz en	-|--|-|--|-|-⌫---|-|
cestmo nde.	---|--⌫--||
et quantce	-|----|-|
u i ent au da riende	-⌫-⌫--|-|--⌫---|-|
lamort sen iprantonquezz	-|---|-|||----|-|--|-|
po u dedrap iaxtant commeil apa rtienta	--⌫|-|----⌫--|---|----|-|---⌫-----||
lase p ulture.	-|--⌫-⌫-----||
li secon tamisse sunt	-|-----⌫|---|-|---|
lafamme etl ianf a ntqu	-|----|-|-⌫|---⌫-⌫-|-|
anai a métantence s t	-|-|-⌫--|---|-|--⌫-⌫|
siecl e qu	-----⌫|-|
em hai heu endespis tsoncors	-|--|--|-|------⌫|--|---|
u ienta lamortsinipran t on	-⌫---||-|---|-|||----⌫|-|
autreprofit	----|-----|
forstantqu	---|-----|
ilconu oientle corstresqu eau moustier et r euienentan	-|----⌫----|-|---|------⌫|-|-------|-|-⌫-------|-|
lor me son etente ndent aul orbesoigne s	--|--⌫--|-|----⌫----|-|-⌫-|--------⌫|
enclou senmonumantno nmiele corsmestotela	------⌫|-|-------|--⌫|--|-|---|--|---|-|
remen branceettoutel amorqu il	-----⌫-----|-|----||---|-|-|
auoien t h eu au corstantcommeil	------⌫|-⌫-|-|---|---|----|-|
amis desp izet po u	---|----⌫-|-|--⌫|
prisiezsi est la compaignie	------|-|--|-|---------|
d esuertuzetde sbones	-⌫-|-----|-|--⌫|----|
ouure squela nf et	-----⌫|--|--⌫|-⌫-|
ens auie foizesperance charite z	-|-⌫|--|---|--------|-------⌫|
aum osneet autre	---⌫---|-|----|
biensquamfestq uant	----|-|-|---|-⌫---|
larme est issuehorsde lcors.	|---|--|----|---|--⌫|---||
cist amisuadeuantdeu	---|---|-|-----|--|
etprie porluiet	-|---|--|--|-|
mosttotesapoine ett ou t	---|---|-|----|-|-⌫--⌫|
so npouoir delu ideliurerdesmeins ases ene mis	--⌫|-----|-|--⌫|-------|--|----||--|---⌫--|
cistestlip rofitaublesamisquemn eliferai	---|--|-|-⌫----------|---|-|-|-⌫|-|----|
d e bienquil nelait	-⌫|---|-|-|-||--|
et qu ilnelira nde a	-|-|-|-|-|--⌫--||
cent doble.	---|----||
atantli di t	----|-|--⌫|
ios aphatderechief	---⌫----|--------|
litress aige s des homesbie ns	-|---|-⌫----⌫|--|----|---⌫-|
tepue t auenirde de u nostre	-|---⌫|-----|-|--⌫|-----|
segnorc armont m	-----|-⌫-|---||
asmaui e esleescie.	-|-|--⌫|--------||
p art ote sbo nesparole se ncor teprig e que	-⌫-|-⌫---⌫|--⌫--|------⌫|-⌫---|-|--|-⌫|--|
d escueuresla	-⌫--------|-|
s embl ance delaua n ited e c estsi e gle	-⌫----⌫---|-|-|--⌫-⌫--|-⌫|-⌫--|--⌫-⌫--|
ets enipuetpa sser seintema nt	-||-||---|--⌫---|--------⌫-|
sens enconbrier .	---|---------||
balaamranconmenca isaparoleetdit ia ioi	-----|-----------⌫|-|-----|-|--||-⌫|-|
par lerdune	---⌫--||--|
cite m o ntgrant	---|-⌫-⌫-|----|
etmontriche	-|---|----|
donl icitieinauoie n t teilcostumequilpre gnoi entauscun	--|-⌫|------|-----⌫-⌫|---|------|-|-|---⌫----⌫--|-----|
home estrangequi riens ne	---|-------|--|----|-|
costumesde laciteetl efesoient	-------|-|-|---|-|-⌫|-------|
roidela cite	--|-|-|---|
etlenbailloienttotelasegnor ieet tote	-||-|---------|---|-|------⌫-|-|---|
la poeste tresque aun .	-|-----|------||-||
an et quant ceuenoit au	-|-|----|-|-----|-|
chiefdel an	----|-||-|
que cil uiuoit a	--|--|-----||
grant aiseetengra ntrepous et	----|---|-|-|---⌫-|-----|-|
qui lcu doit	-|-⌫|--⌫---|
e strero isatoziorsmessil epr eg n oien tli	-⌫---|--⌫-||--|---|--|-|-⌫|--⌫--⌫-⌫----⌫|-|
cit ieinetlitol oie n tlacoroneet	---⌫---|-|-|---⌫---⌫-⌫|-|-----|-|
la roiaulestoileet l ou	-|-----|------|-|-⌫-|
tra inoi enttot	---⌫----⌫--|--|
nuip armil acit e	--|-⌫---|-⌫|---⌫|
e tp uislenanuoioien ten	-⌫|-⌫--||-|---------⌫|-|
montloig dilecou i l netro u oitne	---|---||---|-|-⌫|-|---⌫-⌫--|-|
uiandener obe	-----|-|-⌫--|
eins moroitiluecdefeinet d efroit	---|-----|----|-|---|-|-⌫|----|
etdemesai se.	-|-|-----⌫-||
un e f ozauint	--⌫|-⌫-|----|
selonclo rcostumequilfirentzz ro idun	-----|--⌫|------|-|-|-----|-|--⌫||-|
homeestrange si	---|-------|-|
sou lo ient mesilestoie nt	---⌫--⌫---|--|-|------⌫-|
de melorse ng inget de	-|-----|-⌫--⌫--|-|-|
plu scler entend ema ntq ueliaut re qui deuantauoien t	---⌫|---|------⌫---⌫-|-⌫-|-|---⌫-|--|-----|------⌫|
est éet quantiluistq u il	--|-|-|----|-|---|-⌫|-|
sodeinn emantuenuzasigrantenordonilnepregnoit	-------⌫----|----||-|----|---|--|-|-|-------|
ga rde si nes enorguellamiene	--⌫--|-|-||-|-------|--|-|
nesaban donaapares ce	-||----⌫---||-----⌫-|
na tropg rant ai se	||---|-⌫---|--⌫-|
desonc ors .	-|--|-⌫--||
ensintcommeil gouer noiten te ilmani ere	-----|----|-|-----⌫---|-|--⌫-|----⌫--|
sonregnesiap rist	--|----|-|--⌫---|
par uns uensaigeconsoi l lier tot e la maniere	--|-|-⌫--|----|------⌫-⌫---|---⌫|-|------|
de sonissilet commant ilseroitau	-|--|----|-|------|-|-----|-|
anenuoie ́s encel eisle.	-|------⌫-|-|---⌫|---||
etqua n til sou tetconutqu	-|---⌫-⌫|-|---⌫|-|----|-|
ilco uin tqu	-|--⌫---⌫|-|
enteil ma nie re ess il iez	-|---|--⌫---⌫-|---⌫--⌫--|
etqueautrementne	-|--|--------|-|
po uoit aue nirsi fis tourirses	--⌫---|---⌫--|-|---⌫|----|--|
tressorsqui	-------|--|
lorestoientasonco mandemant et	--|-------||--|--⌫--------|-|
e nuoiapor leaus mesa igesen lileou	-⌫----|--|----|----⌫---|-||--|-|
estree ssilie z.	----|-⌫------⌫||
etquantceuint	-|----|-|---|
l ansi uindre nt liciti einet	|-|-|------⌫-|-|----⌫--|-|
pristr entetlenuoie renttot nu isel onc	------⌫--|-||------⌫---|--|--⌫|---⌫--|
lacostume en issil ence le	-|------|-|----|-|--⌫-|
quant il fuuen uzan li slesi trouai	----|-|-|---⌫-|-||-⌫--|-|-----|
ilecles foxroisquideuant luiauoie nt	---|--|--|---|--|-----|--|-----⌫-|
e stéqui s ost enoi enttot e s lesm anie res	-⌫---|--|-⌫---⌫----⌫--|---⌫-⌫|--|-⌫----⌫--|
demesaisesdepouretezet	-|-------|-|-------|-|
ilde moria richeetconble s	-|--⌫----|----|-|------⌫|
eta grantaiseeta	-||----|---|-||
gra ntioietoutesauie	---⌫-|---|----|-|--|
lor s aprime ssapa rcus ti l	---⌫||-----⌫||---⌫----⌫|-⌫|
quilauoi teubon	-|-|----⌫|-|--|
conseil etuerai	------|-|----|
etq uil auo itf ai tque s aiges quant	-|-⌫|-|---⌫-|-⌫--⌫|--|-⌫----|----|
il siestoittenu z	-|||-----|----⌫|
lac i tezsenefi e ce st m ondeuai netd eceuant	-|-⌫-⌫--|------⌫|--⌫-|-⌫---|---⌫|-|-⌫------|
licitieinsisontli	-|------|-|---|-|
prin ceet les	----⌫-|-|--|
poes te zdesdeaubl es	----⌫--⌫|--|------⌫-|
q ui gouern entlestenebresde c est siecleet	-⌫-|------⌫--|--|-------|-|-⌫--|-----|-|
nos amonestent porzzpoude	--|---------|--|-|--|-|
fau sdeli stach en gi erlesbie ns parduraublesausbiens	---⌫|----⌫-||--⌫--⌫--⌫-|--|---⌫-|-----------|--|----|
te rrien saus i	--⌫-----⌫|---⌫|
commes il nosdeuoient touziorzdurer	----||-|--|-------|---|---|----|
etquantilnosont	-|----|-|--|--|
enteilmanie rede ceuz et no s	-|---|-----⌫-|--⌫---|-|--⌫|
cudonsuiure	-----|----|
en grantai sel orsuientsi nos	-|----|--⌫-|-⌫--|----|-|--|
essautetnosl iureesprince sde tenebresauoc	-----|-|--|-⌫---|-|------⌫|-|-------|---|
cu inos auonsnostre tansus é	--⌫|--|----|-----|---|--⌫-|
etquinosmoinent touzn uzenl	-|--|--|------|---|-⌫-|-||
isle d etenebres ouil	---|-⌫|-------|-|-|
ne lumiere ne clarte ne	-|------|-|-----|-|
n ulerie ns	-⌫--|---⌫-|
f or sp o ineet torment	-⌫--⌫|-⌫-⌫--|-|------|
par dura uble.	---⌫----⌫---||
liconsoilliers par cuiliroys f us ibie n c onsoilli ez	-|-----------|--|--|-|---|-⌫|-⌫|---⌫|-⌫--------⌫-|
senefielamoieperit esce qui	------|-|---|-----⌫---|--|
tesuis uenuzmou strerlabon euoiee t ladroite	-|---|----|---⌫----|-|---⌫|---|-⌫|-|-----|
et l a menier eco n man t	-|-⌫|------⌫|--⌫-⌫---⌫|
ilte couientporueoircontre mon essi l .	-|-|------|-------|-----|--|----⌫||
etcommanttutoste rasde	-|------|-||----⌫--|-|
lad esceuance decestmo ndedela	-|-⌫--------|-|---|--⌫--|-|-|
quele gemeisme s	----|-|------⌫|
aiestéaucunefoiz anuirone z	-|----|-----|---|--------⌫|
m eprisgardea	-⌫|---|----||
la fausetedecesteu ieetcomm ant lau i et e rri enne	-|------|-|----|-⌫-|-|----⌫--|-|-⌫-⌫|-⌫-⌫---⌫---|
s echangesouant quar	-⌫|-----|-----|---|
ore fet l omeric heorpoureorelie ore	--|--||--|---⌫-|-|----|--|--|--|
corro cié oresseinores me lades.	-----⌫---|---|---|---|--⌫----||
ensintch a nge cistmon des	-----|--⌫-⌫--|---|---⌫--|
tantpou dec haitiuete commeil	---|--|-|-⌫--------|----|-|
tropgranzmeruoil leconment deaublespuettant enginnierhom e	---|----|-------⌫-|------|-------|---|---|--------|---⌫|
rai son etentend ema nt quilpeu stc est mondeamerquar	---⌫--|-|------⌫---⌫-|-|-|---⌫-|-⌫--|----|---|---|
comma ntcudei lquelib iens	-----⌫-|---|-⌫|--|-|-⌫---|
dec est mondeli durt puisqu il	-|-⌫--|----|-|---|-----|-|
ch angeatozlesautres	--⌫---||--|--|-----|
porquoi l iureilsoncor s et	------|-⌫---|-|--|---⌫|-|
aspar d u raubles	-|---⌫-⌫-⌫------|
dampnemanzpor terrienau oir	---------|--|------|--⌫--|
essa mblerpuisquil	----⌫----|-----|-|
q uioisillessamble	-⌫-|--|-||-------|
il set bien quilmeismes nuseraimie	-|--|---|-|-|------||-----|--|
toutetqui lne nporter ai que	---|-|-|-⌫||-⌫|------⌫-|--|
unehere ou unliciel.	--|---|-|-|-----||
s esienfantl ontq uel profeiti	-⌫|-|-----||--|-⌫--|------||
ilse st liu rezaparduraubletormantpor	-||-⌫-|---⌫--||----------|------|--|
e ssanblerlauoirporc ui suienfentmei smesle	-⌫-------||----|--|-⌫-|--|-----|---⌫---|-|
heentqu e nos	----|--⌫|--|
u eons sou antquelifilzdessire lamort son p ere	-⌫---|---⌫--|--|-|---|------|-|---|--|-⌫--|
pors at erre tenir et	--|-⌫|-⌫---|----|-|
se sesp eresneust point deterreil fust	-|--|-⌫---||---|----|-|----|-|---|
dolanza u mo inspor naturelpit ie.	-----|-⌫|--⌫--|--|------|---⌫-||
et ore lia icouoitisecele	-|--|-|-⌫|--------|---|
pitie tolue etlifetuo lordeson	----|----|-|-|--|--⌫--|-|--|
pere ceques es	---|-|--|-⌫-|
enemis enu oud roit.	-----|-|-⌫---⌫---||
ets iu eons en c oreplusque	-|-⌫|-⌫---|--⌫-⌫--|---|--|
quantlio ns	----|-|-⌫-|
ai to tson	-|--⌫|--|
aaigeusé enpoineporterrienauoiressanbl er	----|---|-|----|--|------|----|-------⌫-|
etilenaiperdul a io ie	-|-|-|-|----|-⌫|--⌫-|
decest e u i e et	-|----⌫|-⌫-⌫|-|
del autreet	-||----|-|
fezhair a deueta u mond e .	--|---||--|-|-⌫|----⌫||
q uant ueintquil	-⌫---|----|-|-|
muertsinel	----|-|-||
ont nesi parantne	--|-|-|-----|-|
ei nzlonts eu mor t eil enemi.	--⌫-||--|-⌫-|---⌫-⌫--|----||
a tou tesces choses	|---⌫--|--|-----|
meprisge ga rdeetobeiaucommandeman t a	-|---|-|--⌫--|-|---|-|-----------⌫||
celuqui distu osqui uosuolez sauuerdes seur ez	---|--|---|-⌫-|--|--|----|-----|---⌫----⌫-|
uosdelaua n itede l monde.	--|-|-|--⌫-⌫--|--⌫|----||
s em and e sseurai de umercietle h ay plus	-⌫||-|-⌫-⌫------|--⌫|----|-|-|-⌫-|---|
quege ne lauoie	--|-|-||----|
etans intte lougequetutendesseu res	-|---⌫--|-|--|-|--|-||-|------⌫--|
etp orl essampledous aigeroy donge t	-|-⌫-||-------|--|-⌫---|--|--|-||
enuoie tont res sorenl isleou tuseraszz	-----|--|-⌫---⌫--|-||---|-|-|----|-|
decesiorzessiliez.	-|--|---|-------||
d is tiosap hat c ommant	-⌫--⌫|-----⌫--|-⌫-----|
enu o ieraigemesrichescesterrien nesoureg n e p ardura u bl eou	---⌫-⌫----|-|--|--------|-------⌫--|-|---⌫-⌫|-⌫------⌫-⌫--⌫|-|
t u dizque g e doi conuoi tier	-⌫|--|--|-⌫|--|------⌫---|
etsitep ri qu e	-|-|-|-⌫-|--⌫|
tum ansegn es en quel	-||------⌫-|-|---|
maniereilme	------|-|-|
couienthayr	------|---|
lesch ose s	--|--⌫---⌫|
deceuaubles et a merlesp ard urau bl es	----------|-|-⌫--|--|-⌫---⌫----⌫--⌫-|
balaamliresponditudoizt es richescesterr i ennesenuoier	-----|-|-------|-|---|-⌫-|--------|----⌫-⌫----|------|
parduraubles parlesmei nsdes	-----------|--|--|---⌫-|--|
bes o ignousquar ensil editdanielli	---⌫-⌫-----|---|---|-⌫|--|-----|-|
propheteauroi de babiloneroycroi mon	-------|-|--|-|-------|--|---|--|
conso ilet	-----⌫-|-|
rac hete tes	---⌫---|--|
pe c hiezparaumosnes	--⌫-⌫---|--|-------|
etparm iseric ordede poures.	-|--|-⌫------⌫---|-|-----||
seneporoiepasco ntercommant	-|-|-----|--|--⌫---|------|
l isauuerresmeismesdelmon de loue aumosne	-⌫|--------|------|--|---⌫-|---|------|
ese uangiles et dis tquec equ	-|-⌫-------|-|---⌫|--|-⌫|-|
en donea u n despetiz	-|---||-⌫|--|----|
pouresq u enloudon elumeismes.	-----|-⌫|-|--|---⌫|-|------||
porce digeque tuli doignes	--|-|-|-|--|-|-|------|
q ua n qu etuasparles	-⌫--⌫-⌫--⌫|-|-|--|--|
pour es quarentei lmanie retoudrastulesrichesces de	----⌫-|---|-|---⌫|-----⌫-|------|-|--|--------|-|
cest mondea ton segn or	---|----||--|----⌫-|
acuitu las	|--|-|--|
ch atis astantseruiet lors	--⌫---|-|---|----|-|---|
acheteras por lesric hescesterrie nnesles	--------|--|--|---⌫-----|------⌫---|--|
r i chesces parduraubles	-⌫-⌫------|-----------|
etlors cono i strastup arla	-|---|----⌫-⌫----|-|-⌫-|-|
uertu dede ulamaul ues tiedou	----|-|--⌫|-|----⌫---⌫--|--|
prandrascongie aluiet	-------|-----||--|-|
uai neglo ire etmetra s t amo r toute en	---⌫-|---⌫--|-|-----⌫||---⌫|----|-|
nostre segnor	-----|-----|
e tprandrasla croiz surtese spaull esetlousueuras	-⌫|-------|-|----|--|--|-⌫------⌫-|-|--|------|
queauoclu isoies glori f iezetfez h o irsdela	--|---|--⌫|----|-----⌫-⌫--|-|--|-⌫-⌫--|-|-|
u ie par d ur auble	-⌫-|---⌫-⌫--⌫----|
atant l iditiosaphat despiret ot es ces	----|-⌫|--|-------|------|-⌫--⌫-|--|
chose sterrienn es et	-----⌫|--------⌫-|-|
enprendre c eledure uiequet uma s deuisee st	--------|-⌫--|---|--|--|-⌫||-⌫|-----|-⌫-|
ceanciains estaubl issemanzd esapostresou	-|-------|-------⌫-------|-⌫-|-------|-|
uo sl auezoren ouel lemantco ntr oue een sint	--⌫||---|--|-⌫----⌫-----|--⌫---⌫---⌫|--⌫---|
commeen eslisantdeyy uoies	----|-|-------|-|-|----|
