quipetitseme petitq uialt	--|----|---|----|-⌫----|
cistro is nefistcheualiero n ques	---|--⌫-|-|---|--------|-⌫-⌫---|
qantlannanpuetparole traire	---|--||-|---|-----|-----|
comantpuet	-----|---|
il cheualierfa ir e	-|--------|--⌫--⌫|
tan tostdelretorn e r sa tor ne	---⌫---|--|------⌫-⌫||-⌫---⌫-|
lechiefdesoncha ceor	-|----|-|--|---⌫---|
me ssipres	--⌫|-|---|
del roi lotme né	--|--||-|--⌫--|
aguise domema lsene	|----||--|--⌫|---|
quedeuantluisanz	--|-----|--|---|
n u le fabl e	-⌫-⌫-|----⌫|
li abati deso rla table	-|----|----⌫|-|----|
delc hi ef unchapel	--|-⌫--⌫-|-|-----|
liroi storneuers leuaslet	-|---⌫|----|---|-|-----|
l echief quei l	-⌫|----|--|-⌫|
tenoitbeiss ié	-----|-----⌫--|
siatotsonpa nse le issié	-||--|--|--⌫--|--⌫-----|
e tdi tbiau sirebienua ign iez	-⌫|--⌫|---|---|---|--⌫---⌫--|
ie uospriqua mal	-|--|--|-||--|
netaigniez	-|-------|
uostre salu	-----|---|
direrespondrene uos poi	|--|--------|-|--|--|
que li pireane misque	--|-|---|---⌫--|--|
quiplusmehetet	--|---|-|--|-|
m ac imate rre	||-⌫|-|--⌫--|
contredite	---------|
estfosque tote q uite	--|--|--|---|-⌫---|
aura ou uuel leoun o n	---|-|----⌫-|-|-⌫-⌫|
li uermauz cheualie rs	-|------|--------⌫-|
del afor e stdequinqueroi	-|-⌫|---⌫-⌫-|-|---------|
etla r eined euan tmoi	-|-|-⌫---|-⌫----⌫|--|
estoi tci uenueseoir	-----⌫|-|----|----|
porconforter et	--|--------|-|
cescheu a liers quisontblecie ́	--|----⌫-⌫----|--|---|------⌫|
eust guerescorre cié	---|-----|-----⌫---|
licheua liersdequanquildist	-|-----⌫----|-|-----|-|---|
mesd euant	--|-⌫----|
moima copepris t	--|-|---|----⌫|
etsifole mantlanleua	-|-|----⌫---||-|---|
q uesorla reineuersa	-⌫-|--|-|----|----|
totleuin dontele	--|-|--|---|--|
estoit plainne	-----|------|
ciothontelaide etuil ainne	-|-|----|----|-|---⌫----|
q uela reine anestan tree	-⌫-|-|----|-|--|--⌫---|
de grantdueletd	-|----|---|-||
ireanfl ame e	--|----⌫---⌫|
ansac hanbre	-|-|-⌫-----|
ouelesocit	-|--||---|
nenecuitpasse dexm	-|-|---|--|-|--||
puis eeschaperuiue	----⌫|-------|---|
li uaslezneprise une ciue	-|-----|-|----|--|---|
qua nq ue liroisliditetconte	---⌫--⌫-|-|---|-|--|-|----|
ne des on duelne	-|-|-⌫-|---|-|
d e la honte	-⌫|-|----|
nelicha util	-|-|---⌫-|-|
feitesmoicheua lie rfetil	-----|--|-----⌫---⌫|--|-|
sirerois car ale rman	---|---|--|---⌫||-|
cl eretriantfurentlioel	--⌫-|-|----|-----|-|--|
an late ste au uaslet	-|-|--⌫--|-|-----|
nus quileuoit ne ltien ta saige	--|--|-|---|-||----⌫||----|
m estre stuitcilqui le	-⌫-|---⌫----|--|--|-|
porbel etporg e nt letenoient	--|--|-|--|-⌫-⌫-|-|-------|
a misfet liroisd esc endez	-⌫--|--|-|---|-⌫---⌫----|
e t uos trechaceorra ndez	-⌫|---⌫--|------|--⌫---|
celuasletsil e gardera	--|-----|-|-⌫|------|
uolantefera	------|---|
fetierta d amedeule ueu	--|---||-⌫-----|-|--|
ama nnoreta uostre preu	||-⌫---|-||-----|---|
etliuaslezarespon du	-|-|-----||------⌫-|
ia ne stoientpasdescendu	-||-⌫------|--|-------|
cilque iancon trai	--|--||-----⌫---|
an l alande	-|-⌫|----|
etu osuole zque	-|-⌫-|----⌫|--|
i edes cende	-⌫|---⌫----|
monchie fn idescendr ai	--|----⌫|||--------⌫-|
to s t sim anirai	--⌫-⌫|-||-|---|
haf etl irois b iax amischie rs	-|-⌫-|-⌫|---|-⌫--|---|----⌫-|
ieleferaim outuolanti ers	-|-|----|-⌫--|-------⌫--|
iedoi le cr iator	-|--|-|--⌫----|
fetliuas lez biaxsire rois	--|-|---⌫--|---|---|---|
ne serai cheualiersdes mois	-|----|---------|--|---|
secheualie rs ue rmauz ne	-|--------⌫-|--⌫----|-|
donez m oiles arme s celui	----|-⌫-|--|----⌫|----|
ancontraide f orsla porte	--------|--⌫-⌫--|-|----|
q uiuostreco ped	-⌫-|-----|--⌫-||
or an por te	-|--⌫---⌫-|
lis enec haxquifubleciez	-|-⌫----⌫--|--|-|------|
dec equilots estcorreciez	-|-⌫|-|-|-||--|--------|
alezlesprandr eo randroi t	---|--|------⌫|-⌫-------⌫|
les armescar	--|----|--|
ele s sontuoz	---⌫|---|--|
nefei st esmiequesoz	-|---⌫--⌫-|--|--|--|
q antporceue nis t esici	-⌫--|--|-|--⌫---⌫-⌫-|--|
kex fetli rois por deu m erci	--|--|-|---|--|--|-⌫---|
tropditesuolantiers	---|----|---------|
si neuoschautonques a cui	-|-|--|----|-----||--|
aprod ome es tcemout lezuices	|----⌫--|--⌫|-|---|--|----|
se li ua sl ez estfosetnices	-|-|--⌫--⌫-|--|--|-|----|
espoirmout gentixhom	-----|---|-----|--|
et sece li uient dapris on	-|-|-|-|----||-----⌫-|
ait esté a	--|----||
uilainmestre	-----|-----|
an corp uetpr euz etsaigesestre	--⌫--|-⌫--|--⌫--|-|-----|----|
uil eni ee std autrui gaber	---⌫---⌫|-⌫-||-----|----|
et deprometre sanzdoner	-|-|-------|---|----|
prodo m nese	-----⌫|-|-|
doit an tremet re	---|--⌫------⌫-|
de n ule rien autruipr ometr e	-|-⌫--|---|-----|--⌫-----⌫|
quedonerne lipuise	--|----|-|-|----|
etuuel l e	-|----⌫-⌫|
que lemaugrece lu i n acuelle	--|-|-----|--⌫--⌫||------|
qu isanzprometree stsesamis	--⌫|---|-------|-⌫-|--|---|
et desquei lliapromis	-|-----|-⌫|-||-----|
sibeealapromesse auoir	-|--||-|-------|----|
etpar cesipoezsa uoir	-|--|-|-|---|--⌫---|
quasezualdroit il mialzu eer	-|---|-------|-|----|-⌫--|
ahomequefere baer	|---|--|---|---|
etquileuoirdirean	-|--|-|---|---|-|
lui meismesgabeetdecoit	--|------|---|-|-----|
pro mes seet nelasolt	---⌫---⌫-|-|-|-|---|
c uer sonami setol t	-⌫--|--|--|-|---⌫|
ensilirois akexparloit	---|-|---||--|------|
etli uasle zqui	-|-|-----⌫|--|
s a n aloit	|-⌫|----|
puceleueue	-----|---|
be leet gen tesilasalue	--⌫-|-|---⌫-|-|-|----|
etcele luietsi lir ist	-|---|--|-|-|-|-⌫--|
etanr ia n t	-|-|-⌫--⌫-⌫|
itant lidist	----|-|---|
uasle zset uuiz par	-----⌫|-|-⌫|--|--|
iepansetcroianmoncor ai g e	-|---|-|---|-|--|---⌫--⌫-⌫|
qu antrestotle m on de n	-|-|------|-|-⌫--⌫-||
nilniertna n	|-|||--||-⌫|
nelisau ra	-|||---⌫-|
nulmei llorcheu ali erdetoi	--|---⌫---|----⌫---⌫-|-|--|
ensi lepanse t	---|-|---|-⌫|
cui t etcroi	---⌫|-|---|
etlapuc elenauoitr is	-|-|---⌫--||----|-⌫-|
passezauoitanzp lusd esi s	-----|----|--|-⌫--|-⌫|--⌫|
et cedis telesianh alt	-|-|---⌫|--|-|-|-⌫--|
oi ent et kexsalt	--⌫--|-|--|---|
cuilapa rolee n uia mout	--|-|--⌫---|-⌫-⌫--|---|
s i li dona	-⌫|-|---|
dela paumeanlafac e ta nd re	-|-|----|-|-|---⌫|--⌫--⌫-|
qui ll afistalat erre estand r e	-|-⌫|-⌫|---||-|-⌫---|------⌫-⌫|
quant lapuce leferueot	----|-|----⌫-|----|-|
ansa u oietrouaun	-|-|-⌫--|----|-|
lezunechemineeest ant	--|--|-------|---⌫--|
sile botaelfeu	-|-|---|-|--|
delpiep ar corr ozet parire	--|--|-⌫-|----⌫-|-|--|--|
porcequelisozsoloit dire	--|-|--|-|--|-----|---|
cestepucele	----|-----|
iu squetantqueeleuerra	--⌫---|------|--|----|
celuiquide	----|--|-|
c he ualer ie	-⌫--⌫-----⌫-|
aur at ote la	---⌫|-⌫--|-|
en sicilcrieetceleplor e	--⌫-|--|---|-|---|----⌫|
etliu aslezpas nede more	-|-|-⌫----|--|-|--⌫---|
einzsan retorne	---||-|------|
sanzco ns oi l	---|--⌫--⌫--⌫|
cheualieruermoi l	--------|------⌫|
yone zquile sdroizsantiers	----⌫|--|--⌫|----|-------|
sauo ittoz et	----⌫-|--|-|
moutuolantiers	---|---------|
aportoitnou elesacort	-------|---⌫---||---|
a tozses conpaignons	|--|--|----------|
parun uergierdeu antlas ale	--|-|------|---⌫--|-|-⌫--|
une posterne	--|-------|
tantquil uintauchemin totdroit	-----|-|---|-|-----|--|----|
oulich eualiers atandoit	-|-|--⌫-------|-------|
cheualerie etaua nture	---------|-|---⌫----|
etliuaslezgra ntaleu re	-|-|-----|---⌫-|----⌫-|
uintuers luipor se sarme s	---|---|--|--|--⌫|----⌫|
et licheu ali ers p oratandre	-|-|----⌫---⌫--|-⌫-|------|
auoit la cope d oriusmise	----|-|---||-|--|---|
so runperronderoche b ise	--⌫|-|-----|-|----|-⌫--|
qa ntli uaslez a p r ochié lot	--⌫-|-|-----|-⌫-⌫-⌫-----||-|
ta nt queli	--⌫--⌫--|-|
aut reoirpot	---⌫-|--|--|
silicr ia metezlesiu s	-|-|--⌫-|----|--|--⌫|
les armes nelesporte zpl us	--|----|-|--|-----⌫|--⌫-|
queli ro is a r tu s leuos man de	--|-|--⌫-|-⌫-⌫--⌫|-|--|---⌫-|
etliche ua liers li	-|-|---⌫--⌫----|-|
uas lez osec anusuenir	---⌫--|--|-⌫|--|----|
porle droitle roimainten ir	--|-|----|-|--|-------⌫-|
se nusi uientn e	-|--||----|-⌫|
lcelerp as	|----|-⌫-|
questcedeableestce	-|--|-|-----|--|-|
danzcheua liersq ue	---|-----⌫----|-⌫-|
u osme faites	-⌫-|-|-----|
queuosnauezmesarm estraites	--|--||---|--|---⌫-|------|
ostez lest ostie luoscom ant	----|--|-⌫--|-||--|---⌫--|
uaslezfet il iete deman t	-----|--|-|-|-|-----⌫|
senus uie ntc adepar	-|--|---⌫-|-⌫|-|--|
quicon batreseuuel le amoi	--|---⌫----|-|----⌫-||--|
d an zcheu alierscar	-⌫--⌫|----⌫-----|--|
o s te ztost	-⌫-⌫--⌫|---|
lesarme sque ie	--|----⌫|--|-|
q ueplusne lesu ossoferroie	-⌫-|---|-|--|-⌫-|--------|
biensac hoizq ueieuosferr oi e	---|---⌫---|-⌫-|-|--|----⌫--⌫|
seplusparl erm a nf eisie z	-|---|----⌫-||-⌫|-⌫-----⌫|
cheualiersiriez	---------|----|
sa la nceaa	-|--⌫--|||
yymains leu ee	-|----|---⌫-|
s ila naferu grantcolee	-⌫||-⌫||---|----|----|
p arles espaulesan tr auers	-⌫-|--|-------|-|--⌫----|
n estoit pasli fers	|-----|--|-|---|
quil lefist anbrunchi eraual	-|-|-|---|---------⌫-|---|
desorlecolde so n ch eual	----|-|--|-|--⌫|--⌫---|
et liu aslez fu c orreciez	-|-|-⌫----|-|-⌫-------|
qantils an tiquil fubleciez	---|-|-⌫--⌫-|-|-|-|------|
c ol e equ	-⌫--⌫-⌫|-|
aumi alzqu	-|--⌫--|-|
ilpuet anl	-|---|-||
uell auise	--||----|
et lesse alerun	-|----|---|-|
il nantan tneu oitneot	-||-----⌫|-|-⌫--|-|-|
lifier tparmil	-|----⌫|----||
uelelceruel	--|-|-----|
que d autrepa r tde l	--||----|--⌫-⌫|--⌫|
le sa n c etl eceru el espant	-|--⌫-⌫|-|-⌫|----⌫-|-----|
de ladolor licu ers limant	-|-|----|-|--⌫--|-|---|
siuerseetchie t tozestanduz	-|----|-|----⌫|--|-------|
etliuas lez estde scenduz	-|-|---⌫--|--|--⌫------|
lance aunep art	----||--|-⌫--|
et lesc u delcollidepart	-||---⌫|--|--|-|-----|
mesiln eset ueni r ac hie f	--|-|-⌫|--|----⌫||-⌫---⌫|
del hiaumequi est	--|-----|--|--|
sorlechief	--|-|----|
nesetco ma ntil	-|--|--⌫--⌫-|-|
l eprai gne	-⌫|----⌫--|
etsata lant qu il li descei gne	-|||--⌫---|-|-|-|------⌫--|
lespee mesilnelsot	|----|--|-|-||--|
nedel fu erren elapuet trere	-|--|--⌫---|-⌫|-|---|----|
einz prant	---|----|
l efue rre etsaiche et tir e	-⌫|---⌫--|-|-----|-|---⌫|
e t yonezcomancea	-⌫|----|------||
qant le uasletuoitantrepris	---|-|-----|---|--------|
ice queest fetil amis	--|--|--|--|-|---|
quefet esuo sie	--|---⌫-|--⌫|-|
iecuid oiedeu ostreroi	-|----⌫--|-|-⌫----|--|
meustcesarmes donees	|---|--|----|-----|
mesei nz aurai par cha rb onees	--|--⌫-|----|--|---⌫--⌫----|
trestotesbra on éle m o rt	------|-----⌫--⌫-|-|-⌫-⌫-|
quenuledesar mesan por t	--|---|--|--⌫--|-|---⌫|
quel essetienent si	-|--⌫-|-|------|-|
quecededanz	--|-|-----|
etce defo r s	-|-|----⌫-⌫|
estt restot unsi	--|-⌫-----|-|-|
c ommoisa n ble	-⌫-|--|--⌫-⌫--|
set ienen t siansanbl e	-|-⌫-----⌫|-|-------⌫|
orneuo schalt de	-|-|--⌫|----|-|
quei esdepartiraimout b i en	--||-|---------|---|-⌫-⌫-|
s e uosuolezfetyonez	-⌫|--|----|--|----|
orfaido nctostditliuasle z	-|--|--⌫-|---|--|-|-----⌫|
ses medone z sa nzplus d	|-|-|----⌫|--⌫-|---||
ta nto st yonez le desu est	--⌫---⌫-|----|-|----⌫--|
e tiusq uanlar toill edeschauce	-⌫|----⌫|-||--⌫---|-⌫|--------|
ni aremeshaub erc ne chauce	|||----|----⌫--|-|-----|
nehiaume el	-|-----|-|
chiefnautr ea rmeure	----||----⌫|-⌫-----|
uaslezsa uest eur e	-----|-|----⌫---⌫|
neuoltl essier	-|---|-⌫-----|
que nepreist	--|-|-----|
porrien quion ez	--|---|-|---⌫-|
u necote mout aeis iee	-⌫-|---|---|----⌫--|
dedrapdesoieganbeis iee	-|---|-|---|-------⌫--|
quedesoz sonha ubercuestoit	--|----|--|--⌫----|------|
li cheualiersquantuis esto it	-|---------|----|--|----⌫-|
nosternelip ooi t	|----|-|-|-⌫---⌫|
lesre uel ins qu	--|--⌫---⌫--|-|
il o tch auciez	-|-⌫|--⌫-----|
einz distdeable estce or	---|---|-----|--|-|-|
queie ch angerai	--|-|--⌫------|
mes bons dras	--|---|---|
que mamerem e fistlautrier	--|-|---|-⌫|---||------|
por lesdra sa	--|--|---⌫||
ces tcheualier	---⌫|--------|
ma gros se chemisede chanure	-|----⌫-|------|-|------|
porlasoequi mout esttanue	--|-|--|--|---|--|----|
uoldriezuosque iel essasse	-------|--|--|-|-⌫------|
macot e le	-|---⌫-⌫-|
ouaigue nepasse	-|----|-|----|
porcel ui qui n antanroitgot e	--|---⌫-|--||-|------|---⌫|
maudite soitla	------|---|-|
gole to te	---|--⌫-|
quic hange ran	--|-⌫-----⌫-||
ses bonsdr as por	--|---|--⌫-|--|
au truimal ue s	--⌫---|---⌫--⌫|
gri efchos e	---⌫-|----⌫|
de fo laprandre	-|--⌫|-------|
r ie n forslesarmesneuoltprandre	-⌫--⌫|---|--|----|-|---|------|
porproiere que lanli	--|------|--|--|-|
yonezleschauces	----|--|------|
hauber c uestu	------⌫|----|
tel conque s nusmiaudres	--||-----⌫|--|-------|
etsorlat este li asiet	-|--|-|-⌫---|-|----|
lehiaumequim outbienlisiet	-|-----|--|-⌫--|---|-|---|
etdelesp eelianseigne	-|-||---⌫-|-|-------|
quelasche ́ t etpand ant l a ceigne	--|------⌫-⌫|-|----⌫--|-⌫|-----|
puisl ime tle pieanl estr ier	---|-⌫|--⌫|-|--|-||----⌫--|
selfetmont ersorle destrier	-||--|----⌫-|--|-|-------|
einz mesestri e ueu	---|--|-----⌫|--|
nedesperonriennesauoit	-||------|---|-|-----|
forsdecinglantouderoorte	---|-|-------|-|-|-----|
yo nezlesc ul ia port e	--⌫--||---⌫|-⌫|-⌫----⌫|
etlalancepuis	-|-|----|---|
silibaille	-|-|-----|
encoisqueyonez san	--------|----||-|
u aslezamisprenez	-⌫----|---|-----|
mon chace orsi l	--|-----⌫-|-||
q uile stmoutbonset ie	-⌫|-|-⌫-|---|---|-|-|
por ce queienan	--|-|--|-||-|
a imessoing	-⌫|--|----|
etportezsa copele roi	-|-----|-|---|-|--|
silesaluezd eparm oi	-|-|-----|-⌫|--|-⌫-|
ettantdirez	-|---|----|
al a pucele	|-⌫|-----|
q ueq uexfe risor lameis sele	-⌫-|-⌫--|--⌫-|--|-|----⌫---|
quese ie puisai nz queiemuire	--|-|-|---|--⌫--⌫--|-|----|
li cuitiemou tbi enmetrecu ire	-|---|-|---⌫|--⌫-|----|--⌫--|
que por uangiee	--|--|------|
s et and r a	-⌫|-⌫---⌫-⌫|
etcilrespontque il randra	-|--|------|--|-|-----|
auroisac ope etsonmessa i ge	-|--|-|-⌫--|-|--|-----⌫-⌫-|
fo rnira ila	--⌫----|-||
loidesaige	--|-|----|
atantdepartentsisan	----|--------|-||-|
an lasaleoulibar o nsont	-|-|---|-|-|---⌫-⌫|---|
antreyonez parmi	----|----|----|
qu iauroi sa c operapo rte	--⌫|-|--|-|-⌫--|----⌫--|
sireor fe tesi oie	---|-|--⌫--|-⌫--|
qu euostrecopeuos anuoie	--⌫|-----|---|--|-----|
u ostrecheualiersquici fu	-⌫----|---------|--|-|-|
delquelcheualier	--|---|--------|
roisquiansagrantire	---|--|-|-|----|--|
est oitancor en o ndeusire	---⌫--|----||-⌫-⌫|--|---|
fe t yonez	--⌫|----|
delua sletdi	--|--⌫---|-|
qu iorandroitpar t i deci	--⌫|--------|---⌫-⌫|-|-|
diztudonc del uaslet galois	--|-|---|--|-----|-----|
quim edemanda fetli	--|-⌫|------|--|-|
lesa rm esdes ino ple tain tes	--|-⌫--⌫-|-|-⌫---⌫--|----⌫--|
aucheualierqui hon tes maintes	-|--------|--|---⌫--|------|
ma fetesselo ncso npooir	||----|----⌫-|--⌫|----|
sirede lu idi gepor	---|-|--⌫|-|-|--|
etmacopecomant	-|-|---|-----|
tant ou prise cil	---|-|----|--|
qu illi ait	-|-|-|--|
desong rerandue	-|--|-⌫-|-----|
encoisli a	-----|-||
moutchierua ndu e	---|----|--⌫---⌫|
li uaslezque il la o cis	-|-----|--|-|||-⌫--|
co ma ntfuc e	--⌫--⌫-|-|-⌫|
si r e nesai mesie le ui	--⌫-⌫|-|--|--|-|-|-|
que licheua li ersleferi	--|-|-----⌫--⌫--|-|---|
desalance e tf istg rantenui	-|-|----|-⌫|-⌫--|-⌫---|---|
etliuaslezreferil ui	-|-|-----|-----|-⌫-|
duni a u elot	|-|-⌫-⌫-⌫---|
parmi loeill iere	----||-----⌫---|
siqueillifistparderri ere	-|--|-|-|---|--|-----⌫--|
l esanc etla	-⌫|---|-|-|
cerueleespandre	------|-------|
etlui parterremortest andre	-|--|--|----|---|---⌫----|
lorsd istlirois	---|-⌫--|-|---|
auseneschal	-|--------|
commaue zhui fetm al	--||---⌫|--|--|-⌫-|
paruostr elengu elanu iose	--|-----⌫|-----⌫||---⌫---|
ditemainteoisose	---|-----|-----|
mauez hu ile uasle t tolu	|---|--⌫|-|-----⌫|---|
quihuic es t ior m am out u alu	--|--|-⌫--⌫|--|||-⌫--|-⌫--|
s ire dist	-⌫--|---|
yonezauroi	----|-|--|
par mo n chief il	--|--⌫|----|-|
ala pucel e lareine	|-|-----⌫|-|----|
quekexferiparahatine	--|--|---|--|------|
p armaldeluietpardespit	-⌫-|--|-|--|-|--|-----|
qu illauangeraseil uit	-|-|-|------|-|-|--|
etsil an pue tuen iranle u	-||-|-|---⌫|---⌫-|-|--⌫|
quifudelezlef eu	--|-|----|-|-⌫-|
otla p arole	-|-|-⌫----|
e tsautan pi ez	-⌫|---|-|--⌫-|
e tuientdeuan t l e	-⌫|----|-----⌫|-⌫|
satelioie qu il tripe	||--|---|-|-|----|
etditdanz r oi sse	-|--|---|-⌫--⌫|-|
oraprochentuozauantur es	-|--------|--|-------⌫-|
de felenesses et	-|---------|-|
anuerroizauenirsouant	-|------|-----|-----|
uos met bienan co uant	--|--|---|-|--⌫---|
puetestretoz cert ains	---|----|--|----⌫---|
quilmaruitses	-|-|--|--|--|
piezetses mai ns	---|-|--|---⌫-|
et sal enguefole	-|-|-⌫----|---|
etuil ainne	-|---⌫----|
q ueainzqu e past	-⌫-|------⌫|---|
un esemainne	--⌫|-------|
aur a lic heualiers uangi é	---⌫|-|-⌫--------|-----⌫-|
lecopquilmedonadel	-|--|-|-|-|---|--|
etlabufeert	-|-|---|--|
moutchieru andue	---|----|-⌫----|
et bien co nparee	-|---|--⌫-----|
qu e ildona alapu cele	--⌫|-|---||-|--⌫---|
queantre lecoteet leissele	--|----|-|---|-||------|
lebrazdestrelibrisera	-|---|-----|-|------|
un demianleportera	-|---|-|-|------|
a ucolpan du et bienliport	-⌫|--|---⌫-|-|---|||---|
puetfaillir plus	---|------|---|
qu ala mo rt	-||-|--⌫-|
celepar oletant gre ua	---|---⌫--|---|---⌫-|
il necreua	-|-|----|
de mautalan tet deco rr oz	-|--------⌫|-|-|--⌫--⌫-|
queilne laladeuan t	--|-|-||--|-----⌫|
telconreerquemortl	--|------|--|---||
porce queau r oidespleust	--|-|--|-|-⌫-|--------|
lessaqueilnelanuai	----|--|-|-||----|
etliroisdi sthaihai	-|-|---|--⌫-|--|--|
kex c ommauezhuicorrecié	--|-⌫-||---|--|--------|
quias ené etadrecié	--|--⌫---|-|-------|
de s ar meseu s t	--⌫|--⌫--|--⌫-⌫|
tantc unpo	----|-|-|
aidiersa nseust	-----||-⌫|----|
et del escuetde lalance	-|-||---|-|-|-|----|
bonscheu aliersf us t sanzdotance	---|----⌫-----|-⌫--⌫|---|------|
mes iln eset nemalnebien	--|-|-⌫|--|-|--|-|---|
d a rmesn e denuleautrerien	|-⌫---|-⌫|-|---|----|---|
que nespas	--|--|--|
t rere ne sauroit	-⌫---|-|------|
l esp eesebesoingauoit	|---⌫-|-|------|----|
or sietar mezsorsoncheual	-|---|--⌫--|--|--|-----|
san contrera	|--⌫-------|
aucunuasal	----|----|
son cheual g aa ignier	--|-----|-⌫--⌫-----|
neldoteraa ma aignier	-||-----||--⌫------|
tostmort ouma hai gnié laura	---|---|-|--⌫---⌫----||---|
quedesfa ndre nese	--|-----⌫---|-|-|
tan testnices etbest iax	---⌫|--|----|-|----⌫--|
tost aurafe z	---|---|--⌫|
roisplaintetre grat e	---|-----|-|--⌫----⌫|
etdeluasl etfetchieremate	-|--|----⌫-|--|-----|---|
me sil n i puet r ienconq uester	--⌫|-|||---|-⌫--|----⌫-----|
siless ela paroleester	-|----⌫|-|-----|----|
etli ua slez san z nularest	-|-|--⌫---|---⌫|--|----|
sanu apo ignant	|-|-⌫|--⌫-----|
par la forest	--|-|-----|
tant queesterre splainnesuint	----⌫--|-|-----⌫|-------|---|
sor une riuie requitint	--|--|-----⌫-|--|---|
deleplusdune a rba le ste e	-|-|---||--|-⌫---⌫--⌫---⌫|
s i sestoittotel eue antree	-⌫||-----|---||--|-----|
etretrete an son	-|------|-|--|
grant conduit	----|------|
uers l a grantriuierequi	---|-⌫|----|------|--|
mesan l e uen	--|-||-⌫-||
an trailmie	--⌫--|-|--|
quil la uitmout	-|-|-|--|---|
parfonde et n oire	-------|-|-⌫---|
etasezpl uscorrant que loi re	-|---|--⌫-|------|--|---⌫-|
sisanua tot seloncla riue	-||-|-|--|-----|-|---|
lez une gr ant	--|--|--⌫--|
roichena iue	-----|--⌫--|
e tdelautre	-⌫|-||----|
partl eueestoit	---||--|-----|
si quel eueau pie li batoit	-|--||--|-|--|-|-----|
sor celerochean	--|---|----|-|
meraloit des cendant	--|----|---⌫------|
chastel mou tri cheetfo rt m	------|---⌫|--⌫--|-|--⌫-||
sicom leuealoitau regort	-|--||--|----|-|-----|
tornaliuaslez a se n es t re	----|-|-----||--⌫-⌫--⌫-⌫-|
etuitles torzdelchaste lne stre	-|--|--|---|--|------⌫|--⌫---|
qu a uisli fu	-|-⌫--|-|-|
quelesnessoient	-|---|--------|
e tque forsdelchast eliss oien t	-⌫|--|---|--|-----⌫-|---⌫----⌫|
en mil e chastel an	--⌫-|-⌫|------|-|
ot un e toret fortet	-|--⌫|--|-|---|-|
u nebarbacane mo utfort	-⌫-|--------|--⌫-|---|
auoit torneeuerslegort	----|-----|---|-|---|
merse conbatoit	--|-|--------|
et lamers au	-|-|---|-|
p ieli b atoit	-⌫-|-|-⌫----|
a yypartiesdel mu r	|-|------|--|--⌫|
donliquar rel	--|-|----⌫--|
estoi entdur	-----⌫--|--|
auoityybass es torneles	----|-|----⌫-|-------|
quimoutestoientforzetbeles	--|---|-------|---|-|----|
lichasti axf u	-|------⌫-|-⌫|
mout bienseanz	---|---|----|
etbie n aeisie zparde da nz	-|---⌫|------⌫|--|--⌫--⌫-|
deuantlecha st eletreont	-----|-|---⌫--⌫---|----|
otsorleue drecié	-|--||--|------|
depi e r re et dareinne et de chauz	-|--⌫-⌫-⌫-|-||------|-|-|----|
liponzest oit	-|---|---⌫--|
etf o rzetha uz	-|-⌫-⌫-|-|--⌫-|
a batailles estoit	|--------|-----|
p ont ot une	-⌫--|-|--|
etdeu antun	-|---⌫--|-|
ponttornei z	---|------⌫|
quiesto i t	--|----⌫-⌫|
fezetestabliz	--|-|-------|
ac equesa droiture aporte	|-⌫|--|-|-------|-----|
leiorertponz etla nu it	-|--|--|---|-|-|--⌫-|
li ua slez uersle po nt ch emine	-|--⌫---|---|-|--⌫-|--⌫----|
uestuzdun erobed ermine	-----||--⌫|---||-----|
saloitunsprodomesba tant	|----|--|-----|----⌫---|
celuiquiuer slepontuenoit	----|--|---⌫|-|---|-----|
liprod omansa main teno it	-|----⌫-|-|-|---|----⌫-|
par contenanceun	--|---------|-|
et a preslui uienent	-|-⌫---|--|------|
duid es afublés o nt u enu	--|-⌫--⌫------|-⌫-⌫-|-⌫--|
cilqui uientabienretenu	--|--|----||---|-----|
ce quesamereli	-|--|-|---|-|
lesalu aetdis t	-|----⌫|-|---⌫|
an seign ama mere	--⌫-----⌫|-|---|
d e x beneietoibiaufr er e	-⌫-⌫|-----|--|---|--⌫--⌫|
fetliprodomqui leuit s ot	--|-|-----|--|-|--|-⌫-|
aup arlerleconutets o t	-|-⌫----|-|----|-|-⌫-⌫|
etditb i axfreredonuie n s tu	-|--|-⌫-⌫-|----|--|---⌫-⌫|-|
dontdelacortleroiartu	---|-|-|---|-|--|---|
qu ifeisch eualiermafait	-||---|--⌫------|||---|
l i rois qui bone au antureait	-⌫|---|--|---|--⌫-----|--|
che ualiers edex bien me doint	---⌫-----|-⌫|--|---|-|----|
necuidoiecor ancestp oint	-|------||-|-|---|-⌫---|
d itelchos e lisouenist	|---|----⌫|-|-------|
cuidoiequilsetenis t	------|-|-|-|-----⌫|
quede cheualierfai r e	--|-|--------|---⌫-⌫|
orme difreredebonai re	-|-|-|----|-------⌫-|
ce s armes	--⌫|----|
quilesteb ai lla	--|--|-|-⌫--⌫--|
lirois f etilles me	-|---|-⌫-|-|--|-|
donacomantetil li conte	---|-----|-|-|-|----|
sicom au ez oielconte	-|--|--⌫-|-|-|----|
qui autre foizle	--|----|---|-|
enuizetoiseuseseroit	----|-|------|-----|
quenus contescenedem ande	--|--|-----|-|-|---⌫---|
e t li pro domli redemande	-⌫|-|---⌫--|-|--------|
qu il se tfer edesoncheual	-|-|--⌫|---⌫|-|--|-----|
ielsaicorrea m ontet aual	-||--|----|-⌫-⌫--|-|---|
to t au tresicomi e	--⌫|--⌫----|--|-⌫|
