map aineme traiet	-|-⌫---|--⌫---|-|
detafoliemesba his	-|-|----||----⌫--|
quit el garceuelsespouser	--|-⌫-|----|---|-------|
certesonte de ur oi t tuer	-----|-|-|--⌫--⌫--⌫|---|
sei amaisi o rmenaparo l	-|-⌫----|-⌫-⌫||-|-----⌫|
liuallezuoitque	-|-----|---|--|
cez paroles	--|------|
li metliper e saunoient	-|--|-|---⌫-⌫|-|-----|
d erienso tro iant	-⌫|----|-⌫---⌫---|
quaramorsqui lessiensiustis e	---|----|--|--|----|------⌫|
le uall ete sprant etatise	-|----⌫-|-⌫-----|-|----|
elcuerlimet unees tincele	-|---|-|--|--|--⌫------|
quilnep ensequa lapucele	-|-|-|-⌫---|-||-|-----|
troisiorsenpresissiau int	----|---|-----|---|--⌫--|
q uanlaui le mo rir couint	-⌫|-|-|--⌫-|--⌫--|-----|
lafem eauricheboriois	-|---⌫|-|----|------|
ma ise ncoisquepassastzz	--⌫-|-⌫----|--|------|-|
puis que la dame	----⌫--|-|---|
l iborgoisquibiensen deporte	-⌫|------|--|---||-|------|
parlecon seilases	--|-|---⌫---||--|
enasonperearaisonmi s	-||--|---||-----|--⌫|
delapucelebeleetgente	-|-|-----|---|-|----|
oucilauoit	-|--|----|
misesenten t e	---||-----⌫-⌫|
amentuienmo n	------|-|--⌫|
et l i borgoisdontg e uos	-|-⌫|------|---|-⌫|--|
a tant labesoigne au ancie	|---|-|-------|--⌫----|
lapuce le a en	-|----⌫-||-|
alendemainlaespousé	||-------|||-------|
uallet nie n tnag ree	-----|---⌫-⌫||--⌫--|
q ui i pen ssoitet ior et nui t	-⌫-||---⌫----|-|--|-|---⌫|
neuoitriensqui ne	-|---|----|--|-|
molthetlesolaz de	---|--|-|----|-|
molthetso nor	---|--|--⌫|-|
et sonarge nt	-|--|----⌫-|
etlagrant ric hec equila	-|-|----|---⌫---⌫|-|-||
etiurequemolt	-|---|--|---|
onquescrust son pere	-----|----|--|---|
sa grant richece	-|----|------|
tostcompere	---|------|
longuementfuentelpensser	---------|-|-|--|------|
quilne s auoitaill orspensser	-|-|-|-⌫----|----⌫--|------|
ileustnulconfort	-|---|--|------|
ilau oitrobe d	-|--⌫--|---||
es tan fort	--⌫---⌫---|
t aint en graine de uer tpartie	-⌫---|-|-----|-|---⌫|-----|
siafaitchascunne	-||---|--------|
alonguesque ue s coer ci l	|------|---⌫--⌫|---|--⌫|
fu toz a po rfil	-|--||--⌫---|
forrezdem e nuz e scureau s	-----|-|-⌫-⌫--|-⌫-------⌫|
moltsoloit estregenze t	---|-----|----|---|-⌫|
qui orea leuis t aint et pal e	--|--||-|--|-⌫---|-|---⌫|
zziordeson ost elaua le	-|--|-|--|---⌫-|---⌫-|
sonchiefafubl ed	--|----|-----⌫||
d ed u isantualez	-⌫--⌫-⌫----|-|--|
tantquiluin tdeuantla	---|-|-|---⌫|-----|-|
sa mie etf u enlasaison	|-⌫--|-|-⌫|-|-|-----|
fa itchalt	--⌫-|----|
g rietque quelicos t	-⌫---|--|--|-|---⌫|
enginglicouientporpensser	-----|-|------|---------|
qu a samiepuisse paller	-|||---|-----|-----|
mo ltsi ententmolts i	--⌫-|||-----|---|||
prantg arde	----|-⌫---|
atantun e maisonesgarde	|---|--⌫|-----|------|
auneuielle cos turie re	|--|-----|---⌫-----⌫-|
maintena ntpasse la ch arriere	--------⌫-|----|-|--⌫------|
siestassissorla fen estre	-|--|----|--|-|---⌫----|
celelienquistdesones tr e	---|-|------|-|--|--⌫--⌫|
quid emaintbarat m oltsauoit	--|-⌫|----|----|-⌫--|-----|
s ilidemande quilauoit	-⌫|-|------|-|-|----|
qui sisol oi t	--|-|---⌫--⌫|
es tre enuoisiez	--⌫--|--------|
etdes autr es	-|--|----⌫-|
p ro isi ez	-⌫--⌫---⌫-|
lauie lleauoitnom aubere e	-|---⌫--|----|--|------⌫|
iasinefus tfemeanserree	-|-|-|---⌫|---|-------|
qua sa corde nel a	-||-|----|-|-⌫|
etli uallez lez	-|-|-----|--|
luisasis t	--||----⌫|
si l ico nte tot motam o t	-|-⌫|--⌫--|--|--||-⌫-⌫|
comment cele borgoiseamot	------|---|-------|---|
quimolte stoitpressa	--|---|-⌫----|---|-|
lenpu etfaire saisine	|-|--⌫-|----|------|
c eleliditia n ifau d ra	-⌫--|-|--|-|||---⌫-⌫-|
ianelasaurasiga r der	-|-|-|----|-|--⌫-⌫--|
quene uosface luipa ller	--|-|--|---|--|--⌫---|
par t en s e ntre luisetl ate rre	--|-⌫--⌫|-⌫---||--|-|-⌫|--⌫--|
alezmoitost	---|--|---|
lesdeniers q uerre	--|------|-⌫----|
etgepe nss eraide	-|-|--⌫---⌫---|-|
cesthue u re	---|---⌫-⌫-|
auneh u ch e etoeure	|--|-⌫-⌫--⌫|-|----|
o u ilauoitdeniers assez	-⌫|-|----|------|----|
quesesperes ot amassez	--|--|----|-|------|
lesdeniers prantet sis	--|------|----|-|-||
c hiesauberee t entost torne	-⌫---|------|-⌫-----|----|
silimonstreyyliures	-|-|------|-|-----|
m aisilnestmietostdeliure s	-⌫--|-||--|--|---|-------⌫|
encorim etra sones cot	----||-⌫---|--|--⌫--|
donez uost re su rcot	----|----⌫-|--⌫---|
fait lauielledeli u rement	---|-|-----|----⌫-⌫-----|
quison co mman dement	--|--|--⌫----⌫-----|
uoltfaire sanznulcontredi t	---|----|---|--|--------⌫|
fistcequ e l auielle	---|-|--⌫|-⌫|-----|
tantla amors	---|||----|
ensondestro it	-|--|------⌫-|
eteleploie moltest roit	-|--|----|---|---⌫---|
le surcot e tmet sozs	-|-----|-⌫|--|--||
et puiss e lie ued esase le	-|---|-⌫|---⌫-|-⌫|-|--⌫-|
et affublezzmantel	-|------|-|-----|
ain siuerslamaisonsencor t	---⌫-|---|-|-----||-|---⌫|
et fu azzior	-|-||-|--|
dema rchie	-|--⌫----|
q uelauielle otb i enaga itie	-⌫-|-|-----|-|-⌫-⌫-|---⌫---|
quelisires	--|-|----|
nertpa slaienz	|--|--⌫|-----|
etdieusfait ele soit	-|----|---|--|---|
dieussoitou os madouc edame	----|---||-⌫-|-|----⌫|---|
aus iai tdieusm erc id e	---⌫|--⌫|----|-⌫---⌫|-⌫|
de l autredamequi estmorte	-||----|---|--|--|----|
dontm oltmes cuers	---|-⌫--|--|----|
se desco nforte	-|-----⌫-----|
maintiorm acai enzhonoree	----|--|||---⌫--|------|
bienui gnoizuosda meau be ree	---|--⌫----|--|--⌫-|--⌫--⌫--|
uosuieg ueoir	--|---|----|
quar deuosacointiermeuueill	---|-|--|--------|-|-----|
g enep assai a incpuiscesuei l	-⌫|-|-⌫----|-⌫--|---|-|----⌫|
qu elautre	--⌫||----|
qui onquesnem efistrefu	--|-----|-|-⌫|---|---|
deriensque gelide mandasse	-|----|--|-|-|--⌫-------|
certes sege li	-----|-|-|-|
comm andasse	----⌫------|
afaire unecho semoltgrief	|----|--|---⌫-|---|----|
eleenfeist encoismesch ief	--|-|----|-----|-----⌫--|
ta nte rtraempliede bie ns	--⌫-|-⌫-|-------|-|---⌫-|
da meauberee	--⌫-|------|
s eriensuosfaut ditesle	-⌫|----|--|---|----|-|
dam efi stelgeuieg	---⌫|--⌫-|-|-|---|
cune go ute	|--|--⌫--|
a mafilleelflanc	|-|----|-|----|
siuoloit deuost reuin blanc	-|-----|-|----⌫-|--|----|
seuldeuozpainsf aitiz	---|-|--|----|-⌫----|
mai squece soi tdespl uspetiz	---⌫|--|-|---⌫|--|--⌫-|----|
d ieusm erci ge suis ihonteuse	-⌫---|-⌫---|-|--|-⌫|-------|
mais ainsimengossela	---|----||------|-|
qu ilemecouie ntdema nder	-||-|-|-----⌫-|----⌫---|
ge ne soi onquestru ander	-|-|--|-----|---⌫----|
aidier parm	-----|--||
enaurezd i t	-|----|-⌫-⌫|
quant giereapri ueemaignie	----||---||---⌫--|------|
cele quiert bien ens eignie	---|--|--|---|---⌫-----|
d e lez la borgoise	-⌫-⌫--|-|-------|
certes fa itelem olt me	-----|--⌫-|--|-⌫--|-|
uos sigrant bien dire	--|-|----|---|---|
comment se contientuostresire	------|-|-------|-----|---|
uos f a it	--|-⌫-⌫-|
debelechie re	-|---|----⌫-|
hac omil auoi tlautre chiere	-|-⌫-|-|----⌫||----|-----|
bie nuorroieue oir	---⌫|------|--⌫--|
se gisiez au sirich ement	-|-----|--⌫-|----⌫----|
comfaisoit l apremier efeme	--|------|-⌫|-------⌫|---|
maintenantse lieue	---------|-|----|
etpuis dame aubereea pre s	-|---|---|------|-⌫---⌫|
qu anunechanbreilueq ues pres	-|-|--|------|-----⌫--|---|
enmed eu sensanbleen	-----⌫--⌫|-------|-|
deplu so r schosesiluece rent	-|---⌫--⌫-⌫|-----|----|-⌫---|
asseziot etu air	----||-|-|-⌫--|
etdras d e	-|---|-⌫|
enpreslim onstre unegrantcosche	-----|-|-⌫-----|--|----|-----|
puisdist lada meci	---|---|-|--⌫-|-|
etgel ezsesflans	-|-|-⌫-|--|----|
lili zsiestdefuerreb lan s	-|--⌫|-|--|-|-----|-⌫---⌫|
sozdesoz uneco utepointe	--|----|--|--⌫--|-----|
lauielleot uneaguil lepo inte	-|-----|-|--|-----⌫-|--⌫---|
ensonser cot	-|--|---⌫--|
que ele desoz sa isseleot	--|--|----||-⌫-----|-|
moltletint pr es de	---|-|---|--⌫-|-|
so nc oste	--⌫|-⌫---|
quequeladame	--|--|-|---|
li monst roitsabesoignetote	-|-----⌫---|-|-------|---|
etla uielleerrau mentboute	-|-|-----|-----⌫---|----|
leserc ot par	-|----⌫-|--|
de sozlacoute	--⌫--|-|----|
cer tes f ai t	---⌫--|-⌫--⌫|
eldespentecoste	-|--|---------|
mais siri chelit	---|-|--⌫--|--|
plus asassezde	---|-|----|-|
conquesn otlautrece	|-----||-||----|-|
atant issirentdela chanbre	|---|-------|-|-|------|
etlauiell etozdis	-|-|-----⌫|--|--|
maint enantla uie ll elido ne	-----⌫----|-|---⌫--⌫|-|--⌫-|
plainpotdeuinet	----|--|-|--|-|
une m iche	--|-⌫---|
etunep iecedune fliche	-|--|-⌫---||--|-----|
et depois unegra ntpotee	-|-|---|--|---⌫-|----|
bienestl abor go is egabee	---|--|-⌫|---⌫--⌫--⌫|----|
par aubereen else t	--|------|-⌫||--⌫|
n e sa guilene	-⌫|-|----|-|
uerssonos tel to st sen	---|--|--⌫--|--⌫-||-|
du borgoisdir emecouient	-|------|---⌫|-|------|
qui seusdelauilerepaire	--|---|-|-|---|------|
si s enuenoit desonaffaire	-||-|-----|-|--|------|
zz petitd ormirse uoloit	-|----|-⌫----|-|-----|
deso zla coutee n	----⌫|-|----|-⌫|
ce l endrot	--⌫|-----|
senti lesurcotbocoier	----|-|-----|------|
lorslecomm enceasozpeser	---|-|----⌫---||-------|
qua r neset	---⌫|-|--|
qu ecestquili grieu e	--⌫||--|--|-|-----⌫|
maintenan t lacoutesozlieue	---------⌫|-|----|-------|
s ie n atr etleso rcot fors	-⌫|-⌫||--⌫-|-|--⌫---|---|
bo utastdeden zle c ors	--⌫----|-----⌫|-|-⌫--|
z zcoutel tres parmileflanc	-⌫|-----|---|----|-|----|
traisis tilgouted es anc	-------⌫|-|----|-⌫|-⌫--|
tant durement fuesbahis	---|-------|-|------|
s uitrahi z	-⌫-|-----⌫|
parcele qui	--|---|--|
ai nzne m enma	--⌫-|-||---|
lors corta	---|---||
luissileferma	|--|-|-|----|
maintenant ale sercotpris	---------||-|-----|---|
qu arialous ie	--⌫-|------⌫-|
qui estpiredemal de denz	--|--|---|-|--|-|---|
dehorsleremire	-----|-|-----|
quil sanb le qu achaterle uu ei lle	-|-|----⌫-|-|------|-|--⌫--⌫--|
amenbrenelidueil le	|-----|-|-|-----⌫-|
ta nt plains estdecorr ozetdire	--⌫-|-----|--|-|----⌫-|-||--|
fait ilquep orraidire	---|-|--|-⌫----|---|
decesu rcotet ditpar	-|-|--⌫---|-|--|--|
q ueilfualamisafeme	-⌫-|-|-|||--|-|---|
quisons olaz	--|--|-⌫---|
ainzconsanti	---|-------|
queele so nco st esaisi	--|--|--⌫|--⌫--⌫|----|
lorslepristet silestoia	---|-|----|-|-||-----|
et puissor lelits apoia	-|---|--|-|--||----|
et pensequeilporrafaire	-|----|--|-|----|----|
maiscom plus pens se	---|--|---|----⌫-|
a t elaffair e	|-⌫-|------⌫|
etp l uslidoublesesennuiz	-|-⌫-⌫-|-|-----|--|-----|
ainsi fu tantqueil f unuiz	----|-|---|--|-|-⌫|---|
le shuisclos	--⌫|---|---|
saf e me et	-|-⌫-⌫-|-|
parzzhuisforsdela mai son	--|-|---|---|-|-|---⌫--|
celequinesaitl ac hoison	---|--|-|---||--⌫-----|
a p oi nestdeduelacoree	|-⌫-||--|-|---|-----|
atan tez uos d ameauberee	|---⌫|-|--|-⌫--|------|
qui de lui	--|-|--|
sedonoi t regart	-|-----⌫|-----|
mabelefille dieustegart	-|---|----|----|-|---|
faitla uielle	---|-|-----|
qu efais tu ci	--⌫|---|-|-|
h adameaub ereemerci	-⌫|---|---⌫---|----|
est mellez	--|-----|
nesaidi re	-|--|--⌫-|
ne saiquelenli	-|--|--|--|-|
f aitestant	-⌫----|---|
quauuec m oiuen ezchiesmonpere	-|----|-⌫-|---⌫-|----|--|---|
a uoifaiteleparseintpere	-⌫--|---|--|--|----|---|
g e nelferoiepor	-⌫|-||-----|--|
grantchose	----|----|
uelstuquetes	---|-|--|--|
sicuideroitaucun mesfait	-|--------|----|------|
q ueussesa	-⌫|-----||
ouuile niedetoncors	-|----⌫--|-|--|---|
ouquil teustgiteefors	-|-|-||---|----|---|
ouquilte ustprise	-|-|-||-⌫--|----|
p r ouue e	-⌫-⌫----⌫|
etotonlecheor	-||--|------|
orestespoir li u ilainsyures	-|--|-----|-|-⌫-----|----|
ilen s era	-|-|-⌫--|
dem aindeliures	---⌫--|-------|
mais getelouen	---|-|-|--|-|
tenuiegnesauue cm oi	|-|------|----⌫|-⌫-|
quardeg enzsontles rues uuide s	---|-|-⌫--|---|--|---|-----⌫|
mielzenplo i asque tune c uides	----|-----⌫-⌫-|--|-|-|-⌫----|
geteuueilrendre	-|-|----|-----|
gete uueilre ndretot	-|-|----|--⌫---|--|
legueredon etle seruise	-|-------|-|-|------|
quetot ertfaitata deuise	--|--|--|---||-|-----|
quanque tusa ura sdemander	------|-|--⌫---⌫|-------|
et ne tefautque	-|-|-|---|--|
commande r	--------⌫|
quetuse rasmolt acele e	--|-|--⌫--|---||----⌫|
enunechanb redestornee	-|--|-----⌫-|--------|
ouiaame ne tesaura	-|-|--|-|-|----|
iusqua tant que	----||---|--|
tes sireaura	--|---|---|
t res passeetoteli u res ce	-⌫---⌫-----|---||-⌫-⌫---⌫-|
main tenantladame sadrece	----⌫-----|-|---||-----|
etla uielleal o st el l	-|-|-----|||-⌫--⌫-||
bele fai teleu nesemaine	---|---⌫|--|-⌫-|------|
porra ssiseuremen t estre	-----⌫|-|--------⌫|----|
queianus ne	--|-|--|-|
saura t onestre	----|-⌫-|----|
a doncs assistren taumengier	-⌫---||---------⌫|-|------|
etlaborg oise enfist dangier	-|-|----⌫---|-|---|------|
que iadieus n epleust	--|-|----|-⌫|-----|
qu ele meni astdesque s eust	-|--|----⌫--|-----|-⌫---|
porquoia cestehonteeue	--|---||----|----|--|
dameauberee s estteue	---|------||--|---|
a cest motde luipreesch ier	|---|--|-|--|-------⌫--|
lor slamenee	---⌫|||----|
porcouchier	--|-------|
enunechanbreiluecde i oste	-|--|------|----|--⌫-⌫---|
sor blan s dr as	--|----⌫|--⌫-|
etsorbo nec oste	-|--|--⌫-|-⌫---|
moltl ab ien	---|||-⌫--|
l auiellecouerte	-⌫|-----|------|
nelaissepas	-|-----|--|
la c hanb re ouuerte	-|-⌫----⌫-|------|
ainzferme bi e nl u is	---|----|--⌫-⌫||-⌫-|
ostelsenistsoef	----||-|--|---|
et senuaitplustost qu elepas	-||-|---|---|---|--⌫|-|--|
auualletquinedormoitpa s	-|-----|--|-|------|--⌫|
a inztor ne etretorn een	-⌫--|---⌫-|-|------⌫|-|
moltcrientquelau ie ll eno ublit	---|-----|--|-|-⌫--⌫--⌫||-⌫----|
ele lio tencouue nt	--|-|-⌫|-|-----⌫-|
du c uersoupired urement	-|-⌫--|------|-⌫------|
et sassiet enson lit	-||-----|-|--|--|
puisestleuezetest uenuz	---|--|----|-|--|----|
fenestrea poier	-------|-⌫----|
e tl auiele qui	-⌫|-⌫|----|--|
uoltdechiefenchie f	---|-|----|-|----⌫|
etleualletagr es eruir	-|-|-----||--⌫|-⌫----|
n eguenchist dest renesenestr e	-⌫|--------|----⌫-|-|-------⌫|
le uall et trueueasa fenestre	-|----⌫-|-----||-|-------|
qui lidemand equel	--|-|------⌫|---|
gesdiraiia bo nesetbeles	|-|----|-|--⌫--|-|----|
quar iaisitamieen meslaz	---||-|-||---|-|--|--|
quauoirenpo r rastess olaz	-|----|-|--⌫-⌫--|--|-⌫---|
iusqua demain enpre scesteure	----||-----|-----⌫|---|---|
uallezplusn idemeure	-----|---|||------|
quelauielle	--|-|-----|
otseruiagr e	-|----||--⌫|
soefa ualeledegre	---|-⌫---|-|----|
et puissenu ont	-|---||-|-⌫--|
andui ens anble	----|---⌫----|
nauo it gairessi	|---⌫-|-----|-|
commoisan ble	--|--|---⌫--|
quela borgo ise er tendormie	--|-|-----⌫--|--⌫|-------|
etc ilquidesi rr e sami e	-|-⌫-|--|----⌫--⌫||---⌫|
sedeschauc e et sed es poill e	-|--------⌫|-|-|-⌫--⌫-----⌫|
dame faitil	---|---|-|
sorgueil le	|-------⌫-|
etsel criequediraige	-||-|---|--|----|-|
ouureru ue il	-----|-⌫--⌫-|
q uarb ien m auezr endumondroit	-⌫--|-⌫--||---|-⌫---|--|----|
conseilleraiadroit	-----------||----|
faitla uielleua site	---|-|-----|-|-|-|
etseelestuerstoi reborse	-|-|-|--|---|--|------|
que elecri eettu yytanz	--|--|---⌫|-|-|-|---|
lieueles dr as	----|--|--⌫-|
s ite boutenz	-⌫|-|---|--|
tantostcomeltesentira	------|--|-|-|------|
labo r goise autrement	-|--⌫-⌫----|--------|
m ain tenant lauerras	-⌫---⌫-----|-|-----|
s enporr asfair eto nplaisir	|-|----⌫-|----⌫|--⌫|------|
liuallezes t	-|-----|--⌫|
e st lezla dame coulez	-⌫-|--|-|---|-----|
etmolt s oefaluiad oise	-|---|-⌫--||--|--⌫---|
atant s esueille l aborgois e	----||-------|-⌫|-------⌫|
qu i dur eme ntert	--⌫|---⌫---⌫-|--|
tra uaillie	---⌫------|
quantelle sentsiest	----|-|-|---|-|--|
for sdulitet	---⌫|-|--|-|
cillenbraca	--||------|
etdistbele traezuosca	-|---|---|----|--|-|
quargesuiuost re	---|-|--|----⌫-|
que uo sauez	--|--⌫|---|
endolormis	-|----|--|
maistant aifetla	---|---|-|--|-|
quetoteseule u os aici	--|---|----|-⌫-|-|-|
dede n zcestechanbr eenserr ee	----⌫-⌫|----|------⌫|------⌫-|
moltuosauoie desirree	---|--|----|-------|
faiteler iensneualt	---|--|-⌫---|-|---|
quegecr ieraiiasihaut	--|-|--⌫----|-|-|---|
q ue tost seraciacorue	-⌫-|---|---|-|-----|
totelagentde c esterue	---|-|---|-|-⌫---|--|
certes f ait ilriensneuos mo nte	-----|-⌫--|-|----|-|--|--⌫--|
seroitfors uostrehonte	-----|---|-----|----|
quantlagrantgentetlamenue	----|-|----|---|-|-|----|
uos uerroit lezm oi to tenue	--|------|--|-⌫-|--⌫-|--|
siestia pre s demienuit	-|--|-|---⌫|-|------|
zzseul qui necuit	-|---|--|-|---|
queiaiefaitmauole nte	--||--|---|-|----⌫--|
de u o strecorsettotmong re	-|-⌫-⌫---|---|-|--|--|-⌫-|
qu e so i tanblee	--⌫|--⌫-⌫|-----|
defo rsnostreassanblee	----⌫-|-----|--------|
forsqu enostroislesaiche	---|--⌫|--|----|-|-----|
atantdeuers l u ilaresai che	----|-----|-⌫-⌫|-|-----⌫--|
silenbrace parmi l esfla ns	-||------|----|-⌫-|---⌫-|
quelauo itdeliezet blans	-|-|---⌫-|-----|-|----|
l abouchelibaise	-⌫|-----|-|----|
la borgoisene setquelface	-|-------|-|--|-|-|---|
mielzliuientestreenrepos	----|-|----|----|-|----|
queelle puet acuell irtel los	--|---|---|------⌫-|--|--|
parl esuois inset telrenom	--|-⌫-|----⌫--|-|--|----|
quel niauroitse	-|-|||-----|-|
h onteno n	-⌫---|--⌫|
moltasoaigemo ltapa ise	---|------|--⌫-|---⌫--|
etliualle z	-|-|-----⌫|
lacolee t baise	|----|-⌫|----|
orsontensanbleetsifon t	-|---|-------|-|-|---⌫|
ceporquoiassanblé	-|--|---|--------|
aumatinquant laubeestcreuee	-|----|----||---|--|-----|
s es t molt tostleuee aube ree	|--⌫|---|---|----|----⌫--|
ch ard eporcet	--⌫-|-⌫|---|-|
chaponsen rost	------|-|---|
atantsontassis	----|---|----|
a umengier	-⌫|------|
quifa cedangier	--|--⌫-|------|
ainzmengie rent	---|------⌫---|
assezetburent	----|-|-----|
etanbeduien	-|------|-|
gr erecurent	--⌫|-------|
leseruisedameauberee	-|------|---|------|
etquantceuinta	-|----|-|---||
quelisolausa sondroittorne	--|-|-----||--|----|----|
dameaubereel orato rne	---|------|-⌫-|---⌫--|
ceq u ele sot	-|-⌫|--|--|
quelorest bon	--|--|--|--|
quitotnestoit	--|--||-----|
cele n uit	---|-⌫--|
ontassezs oulaz	--|----|-⌫----|
am beduiiurent braz ab raz	--⌫----|-----|---||-⌫--|
onquesde ueillierne finerent	-----|-|-------|-|-------|
tant q ueles	---|-⌫-|--|
ma tinessoner ent	--⌫----|-----⌫--|
a saint cornilen labaie	|----|-----|-||----|
tantost comotla	------|--|-|-|
dameau bereesi	---|--⌫----|-|
sesue i lle	|----⌫-⌫--|
etapareille	-|--------|
et uintaul i touci l	-|---|-|-⌫-⌫|-|--⌫|
q uilor amo rentredeuisent	-⌫-|--|---⌫|------------|
fait elebelefille	---|--|---|----|
si enironsasein tcorn i lle	-|-|----||----⌫|----⌫-⌫--|
et toi a umos ti e r	-|--|-⌫|---⌫--⌫-⌫|
desor aur oies	--|-|---⌫---|
que tes sireat ois aco rdast	--|--|---||-⌫-||---⌫----|
liua l lez moltl endes tornast	-|--⌫-⌫--|---||-|---⌫------|
maisil ne l osecontr edire	---|-|-||--|-----⌫----|
etla u i ellel iprantadir e	-|-|-⌫-⌫---|-⌫|----||---⌫|
laimo iamon talent ourer	--|--⌫||--|-----|----|
enco riporrasrecouure r	----⌫||-----|--------⌫|
atondeduit	|--|-----|
auber ee chandoiles	-----⌫-|---------|
don t chascunneot plusd une	---⌫|--------|-|---||--|
entreaube reeetlabor goi se	----|----⌫--|-|-|---⌫---⌫-|
s esont issuesdel	-⌫|---|-----|-||
aumostieruo nt	-|------|--⌫-|
deuantlautel	-----||----|
nost re dameet deuant l ymage	----⌫-|---|-|-----||----|
aubereeq ui	------|-⌫-|
moltfusage	---|-|---|
fait ladamec ouc hier	---|-|---|-⌫---⌫---|
etlid esfentquedesa gerre	-|-|-⌫-----|--|-|-|----|
ne lis oit auaillant	-|-|-⌫--||-------|
la uielleot	-|-----|-|
f aitesyyc roiz	-⌫----|-|-⌫---|
leschandoilesq ueelauoi t	--|---------|-⌫-|-|----⌫|
en unelanpe o ufeuard oit	-|--|----|-⌫|--|---⌫--|
a a lumé dechief e nchief	|-⌫----|-|----|-⌫|----|
descroizli metauchief	--|----|-|--|-|----|
et l autre aspiez etla u tre a destr e	-||----|-|---|-||-⌫-⌫--||-----⌫|
et laquart e	-|-|-----⌫|
m i stasenest re	-⌫-⌫-||------⌫-|
puisuientaluisi l	---|----||--|-||
naiezdepaornulecure	|---|-|---|---|---|
e tgardezcommen tquila uie gne	-⌫|-----|------⌫|-|-|-⌫---⌫--|
neuosmoueztan t	-|--|----|---⌫|
que r eu iegn e	--|-⌫--⌫----⌫|
ainz gisezcien dementier s	---|----|-|--⌫---------⌫|
damediteleuolentiers	---|--|--|---------|
ai nsiladame iluecs	--⌫--|-|---|----||
etl a uielle sa u oietorne	-|-⌫|-----|-|-⌫--|----|
alostelauborgoi stot droit	||----|-|------⌫|--|----|
q uidolenzpor safemeestoit	-⌫-|-----|--|-|---|-----|
siqu i lnesesetconseillier	-|-|-⌫|-|-|--|----------|
etc elepor lui e sueillier	-|-⌫--|--|--|-⌫--------|
uintcelepartethurteet	---|---|---|-|----|-|
et cilqui orei lle ete sco u te	-|--|--|----⌫--|-|-⌫---⌫-⌫-|
q ui molt uo sisttel choseo ir	-⌫-|---|--⌫---|--|----|-⌫-|
do n tilse poist esioi r	--⌫-⌫|-|-|----|-----⌫|
tantost s on hu isourir comma nde	------|-⌫-|--⌫-|----|-----⌫--|
e td ameau b eree	-⌫|-⌫--|--⌫-⌫---|
maintena ntqueleen tralaienz	--------⌫-|-|--|--⌫--|-----|
ouest distelelinoienz	-|--|---|--|-|-----|
li faillizli	-|------|-|
m al ensai gniez	-⌫-|-----⌫----|
dameaubereebienui eg noiz	---|------|---|--⌫--⌫---|
fait ilque uo lezac es teure	---|-|--|--⌫--||-⌫--⌫|---|
celea re spondu ne demeure	---||--⌫-----|-|------|
ge te dirai lasse m on so n ge	-|-|----|----|-⌫-|--⌫-⌫-|
anui t songa i zzmolt	----⌫|-----⌫|-|---|
grief songe	----|----|
qu ed epoormen es ueillai	--⌫|-⌫|---||-|--⌫------|
etaparella i	-|--------⌫|
quedusonge	--|-|----|
fuiesbai e	--|-----⌫|
aumost ierded enzlabeie	-|----⌫--|---⌫--||----|
tres deuan tl	---|-----⌫||
autelno st re dame	----|--⌫--⌫-|---|
iluequesui gesirtafeme	-------|-|----|-|---|
deua ntlauteltotee stan due	----⌫-||----|---|-⌫----⌫--|
tote ena ieste ́esperdue	---|-|-⌫|----⌫|-------|
quargenesai quecepuetestre	---|-|-|--|--|-|---|----|
auchiefa upiedest re ausenestre	-|----|-⌫|--|----⌫-|-|-------|
yy cha ndoiles iluecardant	-|---⌫------|----|-----|
ilu e c u i tafe megisant	---⌫-⌫|-⌫|-|--⌫-|-----|
deuantl autel a	-----||----||
tr ope nasfait grant mesp rison	--⌫-|-⌫|-|---|----|----⌫----|
sien batrasencor	-|-|-----|----|
ideustele estresi seule	|----|--|----|-|----|
feme q ui sibeleformea	---|-⌫-|-|---|----||
del a mein dieuqui	-|-⌫|---|---|--|
sei gnieauberee	---⌫---|------|
g ens ui to te d esesperee	|-|-⌫-|--⌫-|-⌫--------|
sile tiengamoltgra nt merueille	-|-|----||---|---⌫-|--------|
de cesta ffaire	-|---|-⌫-----|
qu ainsint ueill e	-|------|-----⌫|
tendrunqui hierfunee	------|--|---|-|--|
lagrant matinee	-|----|------|
caienzdormirsoz	-----|-----|--|
s ac ortine	-⌫|-⌫-----|
ettul enuoi esas m at ines	-|-||-----⌫-|-|-⌫--⌫---|
as ma tineslassepechable	-|--⌫----|----|-------|
mei ndi eu esperitable	---⌫|--⌫-|----------|
dit el esaignie	--|--⌫|------|
et benoiteetporseignie	-|------|-|---------|
u ielz latu fair e	-⌫---|-|-|----⌫|
malfeuetmale flamme larde	--|--|-|---|-----||---|
qu iiuesn efemeain si enuoie	--⌫|-----⌫|---|---⌫-|-----|
ain sil auielleledesuoie	---⌫-|-⌫|-----|-|------|
dumal pensse rqueses	-|--|------⌫|--|--|
se nefust ce	-|-|---|-|
porle ser cot	--|-|---⌫--|
iani penssa s tmaisse biennon	-|||------⌫-⌫|---|-|---|--|
mais tozio r z ert ensoupec on	---|--|--⌫-⌫|--|-|------⌫-|
faitlib or goisditesuosuoir	---|-|-⌫--⌫---|----|--|---|
leuezsussi	----|--|-|
porrezueoir	-----|----|
fai t la uiellese geuosment	---⌫|-|-----|-|-|--|---|
