or s enuet	-||-|--|
cuidechascuns quilauoitquece	----|-------|--|-|---|--|-|
plushautedamedelm onde.	---|----|---|--|-⌫---||
et quant eleuintdeuantle roisi sache sa	-|----|--|---|-----|-|--|-|----|-|
guinpleh or s de so n c hiefdont ele	------|-⌫--⌫|-|--⌫|-⌫---|---|--|
esto it enc ore enuole pee et	----⌫-|---⌫--|------⌫--|-|
l agetepardesoslialaterre .	-⌫|---|--|----|-||-|----||
etilfuassesqui	-|-|-|----|--|
la recueilli kar ele	-|--------|--|--|
auoitauecli	----|---|-|
grantsieut e	----|-----⌫|
etdesautres.	-|--|-----||
etquant elef ud esuolepe esi sesmerueillenttuitci l	-|----|--|-⌫|-⌫--------⌫|-||------------|---|--⌫|
lagrantbial te	-|----|----⌫-|
quienli estoit e teleparlasi	--|-|-|-----|-⌫|--|----|-|
haut quele	---|-|--|
fudetosent endue et dist	-|-|--|---⌫----|-|---|
moltfierem ent	---|------⌫--|
d iex sautlero i artuet	-⌫--|---|-|--⌫|---|-|
sacompai gniesalu e lo nor etla droit ure ma	-|------⌫---|----⌫||-⌫--|-|-|-----⌫--|-|
damecomecelui quiest lipl uspreudom de lmond e	---|---|----|--|--|-|--⌫-|------|--⌫|----⌫|
senefustune s o lechos e	-|-|---|--|-⌫-⌫-|----⌫|
- dam oi se lefe tliroi squels	|---⌫--⌫--⌫-|--⌫|-|---⌫|----|
qu eiesoie boenauenture uos doinst	--⌫|-|---|---|-------|--|-----|
etl onoretl ad roitu reuos tre	-||---|-|-⌫|-⌫-----⌫-|---⌫--|
dameuueil ie bienqui soit salue	---|----|-|---|--|---|----|
parto tlaouelesera.	--|--⌫|-|-|--|---||
m ais tote suoie suossauro ie	-⌫--|----⌫|----⌫|--|-----⌫-|
iebongreseuo sme disiésla	-|--|--|-|--⌫|-|------|-|
maluaistie quienmoiest porcoi	---------|--|-|--|--|--|--|
estre liplus p reudomdelmo nde.	----|-|---|-⌫-----|--|--⌫--||
aprene ́sdeuo streda mequi eleest	------⌫-|-|--⌫---|--⌫-|--|--|--|
etqueiel i puis auoir me ffetque	-|--|-|-⌫|---|----|--⌫---|--|
uersdame n euersda moiselenecuit i ep as	---|---|-⌫|---|--⌫------|-|---|-⌫|-⌫-|
auoir me sprisne mesprendren	----|--⌫----|-|---------||
iuoldro ie ennuleguise.	|------⌫-|-|---|----||
- rois fet ele	|---|--|--|
seieneuos sauoiemo s trer etladroiturema	-|-|-|--|-----|--⌫-⌫---|-|-|-------|-|
da me etlachoseparcoi	--⌫-|-|-|----|--|--|
uos pe rdéstote s bon tesdontseroieiepor	--|--⌫----|----⌫|---⌫--|---|-----|-|--|
noientuenueenuostre cort.	-----|----|-|-----|---||
maisie n i suipas uenue	---|-|||--|--|----|
no i entqu erreancoisis uiuenuepo r	--⌫-⌫--|--⌫---|-----||-⌫-|----|--⌫|
e s tr a n geauenture	-⌫-⌫--⌫-⌫-⌫-|-------|
etporlaplusmeru eillosequio n ques	-|--|-|---|----⌫------|--|-⌫-⌫---|
au enistenuostr e osteletdont uos etli	--⌫----|-|-----⌫|----|-|---|--|-|-|
uo stre serontplus esbahiquan til	--⌫---|-----|---|-----|----⌫|-|
en sa urontla u eritequedechose	-|--⌫----|-|-⌫----|--|-|----|
quilsoisen tonques.	-|--|-----⌫|-----||
totpremierementuosdi qu e m a damequia	--|-----------|--|-|--⌫|-⌫|---|--||
uosmenuoieanonlaro ine ge ni eu rela	--||-----||--|-|--⌫--|--⌫--⌫--⌫-|-|
fill ele roi	----⌫|-|--|
leodagan .	-------||
mais ancoisque iedescueurequ el droit ur e	---|--------|-|--------|--⌫-|-----⌫--⌫|
e ledoitauoiruosbaill e raiunesletresque ieuo s	-⌫-|---|----|--|-----⌫-⌫--|---|-----|--|-|--⌫|
a portquis ont	-⌫---|--|-⌫--|
sonseeletcouendraquedeuant tot euostre	--|---|-|-------|--|-----|---⌫|-----|
b aronieso ient	-⌫-----|--⌫---|
lo r sseregard el a	--⌫-⌫|-|------⌫|-⌫|
d a mo iseleet un sc h eualierschanu s sau tauant qui molt estoi t	-⌫-⌫--⌫----|-|--⌫|-⌫-⌫-------|-----⌫|---⌫|----|--|---|-----⌫|
de grantaage	-|----|---|
bailleune boistemolt richee nlumineed	-----|--|-----|---|----|-⌫-------||
or apierres pre cio ses.	-||------|---⌫---⌫--||
la damoise l epren tlaboisteetla	-|-------⌫-⌫|----⌫|-|-----|-|-|
defferme si en	-------|-|-|
traitunesletrespendansen	----|---|-----|------|-|
un seeldoret	-|---||-|-|
distsi refetescesletresli re	---|--⌫-|----|--|-----|--⌫-|
ie uosai deui sémaisceser a	-|--|-|----⌫--|---|-|---⌫|
c ou en antque	-⌫--⌫--⌫--|--|
saiensnauradame nedam o iselequi ni	-----||---|---|-|---⌫-⌫----|--|||
soit por o irque	---|--|-⌫-|--|
lesletresdirontk arieleuos requierensipar	--|-----|-----|-⌫-|-|-|--|------|---|--|
etsac hiés q ue letresde s ihaut afere	-|---⌫----|-⌫-|-----|-|-⌫|---|----|
com cestess ontnedoiuen t	--|-----|-⌫--|-|------⌫|
pasestrele ues enrepostai llekar	--|----|--⌫--|-|--------⌫--|--|
greignorcort queuo s onqueseustes	-------|---|--|--⌫|-----|-----|
assambleesin iauroit	--------|-|||-----|
s i hardi quitosne fustesbahis	-⌫|----|--|--|-|---|------|
delescoter.	-||------||
moltcouendroitdonques g rant	---|---------|------|-⌫---|
plentede preudomesa conse illierla	-----|-|--------||-----⌫-----|-|
grantmeruei lle .	----|------⌫--||
l i r o isregardelapuce lequisi fier em e n t	-⌫|-⌫-⌫-|------|-|----⌫-|--|-|----⌫--⌫-⌫-⌫|
parolesi en	-----|-|-|
futosesbahis	-|--|------|
e t tuit cil	-⌫|---|--|
quiauecques	--|-------|
luis ont .	--|-⌫--||
maintenantenuoieque rrelaroin eetlesdames	---------|-----|---⌫--|-|----⌫|-|--|----|
etlesdamoisele squipar	-|--|---------⌫|--|--|
le s cha mbressontetfet	--⌫|---⌫----|---|-|--|
cri erp arlesos tel s	---⌫-|-⌫-|--|--⌫---⌫|
qu il n irema igneneseriant	-|-|||----⌫---|-|------|
n echeualierqui	-⌫|--------|--|
orendroitneuiegneacort	--------|-|-----||---|
porleses trange s no ueles o uir.	--|--|--⌫------⌫|--⌫----|-⌫--||
qua ntilf urentue nu	---⌫-|-|-⌫----|--⌫-|
sicomencela damoiselesa raison etrequiert	-|------|-|--------|-|-----|-|-------|
leroiq uilfacelire l esletr esqu	-|--|-⌫|-|---|---|-⌫-|----⌫-|-|
eleaaportees	--||-------|
eti llesbaillea c elui desesclers	-|-⌫|--|-----||-⌫---|-|--|----|
mie lsparlan tetp lainde gre i gnor sau oir	---⌫-|------⌫|-|-⌫---|-|---⌫-⌫---|---⌫--|
etliclersdespliele p a rchemin	-|-|----|------|-|-⌫-⌫------|
et qu antilotles letr es le uesde chief en	-|--⌫--|-|-|--|----⌫-|--⌫--|-|----|-|
anguoissequeles l ermeslicheen tforsdes iels	--------|--|--|-⌫----|-|-----⌫|---|--|---|
totcon treuallaface	--|---⌫-----|-|---|
desi a lapo itrine .	---||-|--⌫-----||
etli roisqu il	-|-|---|--⌫||
e s g ardes	-⌫-⌫-⌫---||
enmer ueille t rop	-|---⌫-----|-⌫--|
plus quilnefist hui me s	---|-|-|-|---|--|--⌫|
etcilquile uo ienten ont	-|--|--|-|--⌫---|-|--|
ditesfetli	----|--|-|
rois karil me tardeplus	---|--|-|-|----|---|
es o iequehuimes ne	-|-⌫-|--|--|--|-|
e tliclerse sgardela roine q uiesto itapoiesor	-⌫|-|----|-⌫-----|-|----|-⌫-|----⌫-|----|--|
lesp aule monseignorgauuain	|---⌫---|--|------|------|
etqu ant illauit sili	-|--⌫--|-|-|--|-|-|
refroid ist toslicuersd anguoi ss e	-------⌫--|--|-|----||------⌫--⌫|
et l i c uersli serre	-|-⌫|-⌫---|-|----|
el uentre si durement	-|-----|-|-------|
quilnedeist	-|-|-|----|
mot del abochequ i li deust lechi ef co uper	--|-|-⌫|----|--⌫|-|----|-|---⌫-|--⌫---|
si com men ceachancele r .	-|---⌫---⌫-||--------⌫||
e tmesireyuai nquimol t	-⌫|-|---|----⌫|--|---⌫|
estoitg entilx etde bo naire	-----|-⌫-----|-|--⌫--⌫----|
uoitb ien et p e nsequeaucunemesche ance a il	---|-⌫--|-|-⌫-⌫--|--|-----|------⌫---||-|
ueueesl etr esqui estto rneesorl e	---|-|-⌫---⌫-|--|--|--⌫---|--|-⌫|
rois isau tporl ui	--|-⌫|---⌫|--|-⌫-|
ret eniretcilse pa smeentre sesbras	---⌫---|-|--|-|--⌫--|----|--|---|
e t lors estli rois moltesbahi se t	-⌫|---|--|-|---|---|------⌫|-⌫|
molt semerueillequels	---|-|--------|----|
nouelescepueent	------|-|-----|
enuoieporuna utreclerc i snele ment e t libailleles	-----|--|-|-⌫---|----|-⌫-----⌫---|-⌫|-|-----|--|
etquantcilles ot leuessi comence	-|----|--|--|-|----|-|------|
asospirer et a plorermoltduremen tsig e teles	|-------|-||-----|---|-------⌫|-|-⌫-⌫-|--|
l etreselgiro n	-⌫----|-|----⌫|
etsentornet rop	-||-|----|-⌫--|
gra ntduelmenant .	---⌫-|---|-----||
i lpa ssedeu antlaroinesi dist	-⌫|--⌫--|---⌫--|-|----|-|---|
ha dame damecom	-|---|---|--|
dole rose snoueles	----⌫----⌫|------|
atantsefi ertenune	----|-|--⌫--|-|--|
cham b reet f et	----⌫-⌫-|-|-⌫-|
te ldu elquep lus nepuetetl ors	--⌫|--⌫-|--|-⌫--|-|---|-|-⌫--|
est laroinetr opesbahie.	--|-|----|--⌫-|------||
mais lirois ne	---|-|---|-|
s i enuoie querre s onchapelainetquant	-⌫|-----|-----|-⌫-|--------|-|----|
il estdeuant luisi lidistsire	-|--|-----|--|-|-|---|---|
chapelains lisés moi	---------|-----|--|
ce sletres et	--⌫|-----|-|
siu osrequier par la fo ique uos	-|-⌫-|------|--|-|--⌫|--|--|
m edeués etsor lame sse	-⌫|-----|-|--|-|--⌫--|
que u o sa u és huicha ntee	--|-⌫-⌫|-⌫-⌫--|--|---⌫---|
queuosme die isquanqueuositrouerois san s rien	--|--|-|---⌫-|------|--||--------|---⌫|---|
li chapelain sprentlesletres	-|---------⌫|----|--|-----|
et quant i lottot regardési sospiremo l t	-|----|-⌫|-|--|-------|-|------|--⌫-⌫|
durementet dist a lro i	-------|-|---|-⌫|--⌫|
siremecouendrail	---|-|-------|-|
d ire ces letresenoi ance	-⌫--|--|-----|-|--⌫---|
-oilfetlirois	|--|--|-|---|
couien tafe re.	------⌫||--⌫-||
-ce rtesfet lichapela ins	|--⌫---|--|-|-------⌫--|
cepoise moi quan t il	-|----|--|----⌫|-|
mecouendraadire	-|-------||---|
lapa rolequimetraendue let en iretos	-|--⌫---|--|----|-|---⌫|-|-|--|--|
ce lsde uostrecort.	--⌫-|-|-----|---||
pooitestreieuos	----|----|-|--|
re q uerroiepor dieu queuos lesfeissié s	--⌫-⌫------|--|---|--|--|--|--------⌫|
l ire aunautre.	-⌫--||-|----||
maisuos maués	---|--||----|
tantconiuréqueie	---|-------|--|-|
n e me doi escon dire.	-⌫|-|--|-----⌫---||
- siresfet liroisadire	|----|--|-|---||---|
leuos estuet .	-|--|-----||
e tci l dist si ha utquetote	-⌫|--⌫|---|-|--⌫-|--|---|
lacorslotet comm enceen tel maniere	-|---||-|-|----⌫---|-|--|------|
sire laroine genieurelafille alroi	---|-|----|-------|-|----|-|--|
leodag an salue le ro i	------⌫-|----|-|--⌫|
artusicomel e doitettote	---|-|--|--⌫|---|-|---|
saco mpaignie desbaron setdes cheual iers .	-|--⌫-------|--|-----⌫|-|--|------⌫---||
roisartusiemeclaimpremiereme n t	---|----|-|-|----|----------⌫-⌫|
d e t oi mee smes etapres	-⌫|-⌫-|---⌫---|-|----|
detote ta baronieet si uueil quil	-|---|-|------|-|-|----|-|-|
sachenttu itquetu tie sdesloialment m e nése nuers	------|--⌫-|--|-||--⌫|-----------|-⌫-⌫---|-⌫----|
loia lment uers toi.	----⌫----|---|--||
etsi este lsq uet une deu issiés pas	-|-|-|--⌫-|-⌫-|-⌫|-|---⌫------|--|
estre r ois karil	----|-⌫--|--|-|
n apa r tient	|---⌫-⌫----|
pas aroi que	--||--|--|
ilti engnefe me	-|--⌫----|--⌫-|
e nsoin g nantage si com	-⌫|----⌫-⌫------|-|--|
tufes karilestuer itesp roueeque	-|--|--|-|--|---⌫---|-⌫----|--|
iesuiiointeato i	-|--|-----||--⌫|
etassamblee	-|--------|
parlea lmariageenointe et sacreee comeroineetcompaigne	--|---⌫|------|------|-|------|---|----|-|--------|
delro ia lmedelogreselmoste r saintestenne	--|--⌫--⌫--|-|-----|-|-----⌫|----|------|
l e martiren l acit ede log res	-⌫|-----|-|-⌫|---⌫|-|---⌫--|
ch iesde tonroi alme.	--⌫--|-|--|---⌫---||
granthautece	----|------|
medura tropcortementkarien en	-|---|---|--------|--|-||-|
fuidamecunioret une nuitetlo rs	--|---||-|--|-|--|---|-|--⌫-|
fuitolueetfo rstraiteou p ar tonconseil	--|----|-|--⌫-|-----|-|-⌫-|--|------|
ou parautrui	-|--|-----|
miseemmonli eu	---|-|--|--⌫-|
qui estoi t etma	--|-----⌫|-|-|
cha mbriereetmaserue cesticelegenieure qu e	---⌫------|-|-|----||--|----|-------|--⌫|
tutiens por	-|----|--|
es poseet por ro i ne	--⌫---|-|--|--⌫-⌫-|
etel e porchasamamortetmondeseritementsi deus t	-|--⌫|-------|-|---|-|--|-----------|-|----⌫|
eleso ncorsabandonera mortpormoi	--|--⌫|---|--------||---|--|--|
mais diexquinul e	---|---|--|---⌫|
f oisno blie cels	-⌫--||-⌫---|---|
qui satenden ta samercime	--||-------⌫||-|----|-|
gietahorsdeses mainspar	----|---|-|--|----|--|
celsqueie doi plus	---|--|-|--|---|
amerquerienselm onde	---|--|----|-|-⌫---|
et combienqueiaieestéessil ie	-|---------||--|----|-----⌫-|
et deser ite edieumerci or	-|-----⌫---⌫|---|----|-|
suia monore t	--|||---|-⌫|
amoneritage re uenuesiterequierparloialte	|--|------|--⌫----|-|-|------|--|------|
etpordroit ure	-|--|-----⌫--|
quealiugement et alesgartdeta	--|-|-------|-|||-----|-|-|
maison s oitde ceste desloia lte priseuenianc e et cele	-----|-⌫--|-|----|-------⌫--|----|-------⌫|-|---|
quienpechiemortelt a tenusilonguemen t	--|-|-----|-----|||---|-|---------⌫|
soitliur eeamartireet ade stru ctionansintco m	---|----⌫-||------|-||--⌫----⌫----|-----|--⌫|
ele uoltd estruire lemie nc ors .	--|---|-⌫-------|-|---⌫|-⌫--||
itanttenfasoreasauoirpar mesl etr es	----||-|--|--||-----|--|--|-⌫---⌫-|
quea lescr ipture nem e potpasmen br er	--|||----⌫-----|-|-⌫|--|--|---⌫--⌫-|
dechascune chose	-|-------|----|
qui me stie r m eust p orcet ai ieci	--|--⌫----⌫||---|-⌫-|-||-|-|-|
en uoiémo n cuer	--⌫----|--⌫|---|
etma languec e st	-|-|-----||-⌫-|
c osine germainequi ces le treste	-⌫----|-------|--|--|--⌫---|-|
site mant quetul a	-|-|---|--|-|-⌫|
q uanqu elete	-⌫----|--|-|
dira depa r	---|-|--⌫|
moicarcestcelequiset	--|--||--|---|--|--|
ausigran tp artiedemesanuis co me	---|----⌫|-⌫----|-|--|----|--⌫-|
ief as e t si	-|-⌫-|-⌫|-|
lesetcomele	-|--|--|--|
estens aco mpaignietelskimielsfet	--|-|-⌫|--⌫-------|---|-|----|--|
acroirequen tre	|-----|-|--⌫--|
moi et l ine fais on s	--|-|-⌫|-|----⌫--⌫|
c estbertolais li uie ls	|--|--------|-|---⌫-|
liplusespr ouéscheualiersdeson aage	-|---|----⌫----|---------|-|--|---|
quisoi t entote sl es isles	--|---⌫|-|----⌫|-⌫-|----|
at antsetaistli ch apela ins	--⌫--|-|----|-|--⌫-----⌫--|
sibaille auroiles letr es	-|-----|-|--|--|----⌫-|
etsenpartiri és et	-||-|---|---⌫--|-|
etli rois est moltesbahisde c e s	-|-|---|--|---|------|-|-⌫-⌫|
tui tlia u tresontparlaienssiamuiquil	---⌫|-|-⌫-⌫--|---|--|-----|-|---|-|-|
aceluiqui ostmotdire.	|----|--|--|--|---||
etlorses garde liroisladamoisele quideuant lui	-|---|--⌫----|-|---|-|--------|--|-----|--|
e stoitenestant sili distdamoi selei	-⌫----|-|-----|-|-|---|-----⌫---||
o i bie n queu ost redameme mandeetse	-⌫|---⌫|--|-⌫---⌫-|---|-|----|-|-|
lesletresnontestébi enl eu es	--|-----||--|----|--⌫-|-⌫--⌫-|
orpo ésesc larier	-|--⌫--|---⌫-----|
le r emanant	-|-⌫------|
karil mes taui s queuosestescelequi	--|-||--⌫|---⌫|--|--|----|---|--|
lec uere tla	-|-⌫--|-⌫|-|
langueuo stredameportés	-----|--⌫---|---|------|
et le cheualieruoldroi eiebiencon oistrequ i	-|-|--------|-------⌫|-|---|---⌫-----|--⌫|
estpri siésetesproués	--|---⌫----|-|--------|
plusque cheualier sdel	---|--|---------⌫|--|
lorssetraistlada moiselearier eset	---|-|-----|-|--⌫------|-----⌫-|-|
pre n tpar lepoin gl ech eualier quiles	---⌫-⌫|--|-|----⌫|-⌫|--⌫------|--|--|
l etresliotb aill iessile maine deuantle	-⌫----|-|-|-⌫----⌫--|-|-|----|-----|-|
roietl idist	--|-|-⌫|---|
sireuésci	---|---|-|
le che ua l i e r quemada meuo senuoie	-|---⌫--⌫-⌫-⌫-⌫|--|-|--⌫-|--⌫|-----|
portesmoigniere tp or	--|----------|-⌫|-⌫-|
deff endre sa	----⌫----|-|
b esoi n gne.	-⌫----⌫-⌫--||
etliroisesgard ele	-|-|---|------⌫|-|
cheualier silisam ble demoltgran t	--------|-|-|---⌫--|-|---|----⌫|
aagekar ilauo itle poi l ch anu	---|--|-|---⌫-|-|---⌫|--⌫--|
et b lancetleuispa leetfroncié	-|-⌫---|-|-|--|--⌫-|-|-------|
etplain deplaies et	-|----|-|-----|-|
lipoilde laba rbeli	-|---|-|-|--⌫--|-|
gisoie nt aualsorla	------⌫-|---|--|-|
poitr ine sialesbraslons e tles	-----⌫--|-||--|---|---|-⌫|--|
es paulesbienfor mees etes tsibienfes de	--⌫-----|---|---⌫---|-|--⌫|-|---|--|-|
tos men bre sque	--|---⌫---⌫|--|
lp ui ssie ́s deuiser	|-⌫--⌫----⌫-|------|
s iestoi t m erueillesg rans etcor s usetdro i s et es pers	-⌫|-----⌫|-⌫--------|-⌫---|-|---⌫-⌫-|-|---⌫-⌫|-|--⌫---|
enso nestantplus quelen nepeust	-|--⌫|-----|---|--|--|-|----|
cuidierde si uie lhome	------|-|-|---⌫|---|
certes damoisele	-----|--------|
fetl iroi s amer ueille mesamblecist desi	--|-⌫|---⌫||---⌫-----|-|-----|---|-|-|
gra ntaagequil ne deuroitma is choset raire auant	---⌫-|---|-|-|-|------|--⌫-|----|-⌫----|----|
ouileustdesloia l tenefelonie.	-|-|---|-------⌫-⌫-|-|------||
-sirefe t ladamoisele cedirié s uos s e uos	|---|--⌫|-|--------|-|------⌫|--|-⌫|--|
leconissiés	-|---------|
mai s cineli	---⌫|-|-|-|
co uientnul tesmoing desapr oesce car die x	--⌫----|--|-------|-|-|--⌫----|--|---⌫|
set bienqui buens	--|---|--|----|
siuosdiraicedontles letresneparolent	-|--|----|-|---|--|-----|-|-------|
pasquema dame uosmande	--|--|-|---|--|----|
iecuit queuo saués	-|---|--|--⌫|----|
bienent endu quema da me sep la intdeuos	---|---⌫---|--|-|--⌫-|-|-⌫--⌫--|-|--|
comdeceluiqui deuissiésest re ses	--|-|----|--|---------|---⌫-|--|
loialsespouset	-----|-----|-|
uosne lestes pask arbienestchose seue	--|-||----|--|-⌫-|---|--|----|---|
uosfustesrois	--|-----|---|
debre taign ecorone ́ssi uindrent	-|---⌫-----⌫|------⌫-|-|-------|
nouelesdel	------|--|
roileodagan	--|-------|
det arm elidequiest oita	-|-⌫---⌫----|--|---⌫--||
celpoint lip luspreudomdel	--|----|-|-⌫--|------|--|
mo ndequiue squistentoteslesisles	--⌫--|--|--⌫-----|-|----|--|----|
doccidentetquiplusmainten oi ten	|-------|-|--|---|-------⌫--⌫|-|
grant pris eteng rant honorcheualiers	----|---|-|-|-⌫---|----|---------|
g ransfu lilosqui fu	-⌫---|-|-|--|--|-|
faisdemonseignor leroimai st ot	---|-|--|------|-|--|---⌫|-⌫-|
passalagransbialtesetla grantp roesce	----|-|----|------|-|-|----|-⌫-----|
queuosoistesretr airedemadamequisa	--|--|-----|----⌫---|-|-|---|--|-|
fille es toitkarce	----|--⌫---|--|-|
fu ladamoisele	-|-|--------|
plus pr isieeadroi tsortotes autres damoisel ese t	---|--⌫----||----⌫|--|----|-----|--------⌫-|-⌫|
uosdeistesque uos	--|------|--|--|
n efinerié siame s	-⌫|--------⌫|----⌫|
tantque uosueis s iéspor	---|--|--|----⌫-⌫---|--|
coil i roisetsafilleestoientsi	--|-⌫|---|-|-|----|-------|-|
ramenteu entotes te rres .	-------|-|----|--⌫---||
uo sguerpistes uostre	--⌫|---------|-----|
t e rreet meis t es enautruimain et ue ni st e s elroialme	-⌫-⌫--|-|----⌫-⌫-|-|-----|---|-|--⌫--⌫--⌫-⌫|-|------|
de tarmelidea	-|--------||
escuiere ttui tu o strecompaignon a ut resint	------|-⌫|---⌫|-⌫-⌫---|---------|-⌫--⌫-----|
et iluec s eruistes mon seignor leroi	-|----|-⌫-------|--|------|-|--|
deln oeliusquapentecosteet le	--|-⌫--|----||---------|-|-|
iortr enc hastesuoslepoona latabl e	--|--⌫---⌫-----|--|-|---||-|----⌫|
reond e aulosdes cent cinquantecheualiers	-----⌫|-|--|--|---|--------|---------|
quii seoi ent .	--||----⌫--||
fucha s cunsseruisa sontalentet	-|---⌫-⌫---|-----||--|-----|-|
par ce eustesuoslap lusua ill ant	--|-|-----|--|-|-⌫--|--⌫---⌫--|
da mequisoit cefum adamelaroine	--⌫-|--|---|-|-|-⌫|---|-|----|
et uos donamesireli rois	-|--|---|-|---|-|---|
leplushaut donquionques	-|---|---|--|--|-----|
fustdonéenma riage ce ful a	---|----|-|--⌫----|-|-|-⌫|
t ablereondeq ui est honoree d etans preudomes	-⌫---|-----|-⌫-|--|------|-⌫|---|--------|
apr esceuoslenm enastes	---⌫-|-|--||-|-⌫------|
a log res u ostrecite etlafu	|---⌫--|-⌫----|---|-|-|-|
ele esposee si	--|------|-|
com les let res ledeuise nt et lanuit	--|--|---⌫--|-|------⌫-|-|-|---|
geustesaue cli.	------|---⌫|-||
et quant uo s rel euastespor aler	-|----|--⌫|---⌫------|--|---|
a c hambresif u m a d ametraieetdeceu e	|-⌫-----|-|-⌫|-⌫|-⌫--|----|-|-----⌫|
etgeteehors parcels	-|----|---|--|---|
e tpar celesencu iel e	-⌫|--|----|-|--⌫|--⌫|
sefioitpl us .	-|----|--⌫-||
etlo rsfuacompaig niea	-|--⌫-|-|--------⌫--||
uo s celedamequeieuo i	--⌫|---|---|--|-|--⌫|
lasim a lua isementcomecele par	-|-|-⌫-⌫---⌫------|---|---|--|
cuisadamefu traiee t miseen	--|-|---|-|----|-⌫|---|-|
cuidebi encele	----|--⌫-|---|
genieu reque madamefu stocise.	------⌫-|--|-|---|--⌫-|----||
maispor c eque d ieu neplotpas quel a	---|--|-⌫|--|-⌫--|-|---|--|--|-⌫|
traisonfustc e lee liestcestetraisonue nuedeuant	------|---|-⌫-⌫--|-|--|----|------|--⌫--|-----|
karmadamees t	--|-|---|--⌫|
eschapeedelaprisonparla uol ente	-------|-|-|-----|--|-|---⌫---|
dedampned ieuetpar	-|-------⌫--|-|--|
laided ecestcheualierquideuint lerr esporli	|---|-⌫|---|--------|--|-----|----⌫-|--|-|
etsemisten	-|-|---|-|
au enture d emorttantqu i ll a porta as es	--⌫-----|-⌫|---|---|-|-⌫|-⌫|----||-⌫-|
espaulesho rsdelatoragrantperil .	-------|--⌫-|-|-|--||----|----||
madameest élonguementen	-|---|---⌫-|---------|-|
cha i tiuoisonetcilqui	---⌫-⌫-------|-|--|--|
auec liestoienttantquedieumerci orl o nt	---|-|-------|------|---|----|-||-⌫-|
r ecou reesi ba ronetrend uelionts at erre	-⌫----⌫--|-|--⌫--|-|----⌫-|-|--|-⌫|-⌫---|
etso nherit ag e.	-|--⌫|-----⌫--⌫||
etsemadameuol sistele fust ma riee	-|-|-|---|---⌫---|--|---|--⌫---|
bienrichementkar	---|--------|--|
soscie ln a	--|---⌫|||
si hauth ome quiporhonoretporhautece	-|---|-⌫--|--|--|----|-|--|------|
ladeus tref u ser.	-|----⌫|---⌫-⌫--||
enest sescuersatornés que	-|--|--|----|-------|--|
quisesloi al s espous d eu é sestre	--|--|---⌫--⌫|-----|-⌫--⌫--⌫|----|
elequitele	--|----|-|
mariagedes aut resto s karil liseroitauisq u	------|--|---⌫--|--⌫|--|-|-|-----|---|-⌫|
eleneseroitbienempl oieen nului s e enuos	--|-|-----|---|----⌫--|-|----|-⌫|-|--|
nonne uosennule fors	--|-|--|-|---|---|
et seuos estiésensamble	-|-|--|------|-------|
uosseriés ambeduinonperde totes	--|------|------|--|--|-|----|
gensu osliplusuaillansrois	---|-⌫-|-|---|-------|---|
ete lela plusuaillans roi ne.	-|-⌫-|-|---|-------|---⌫-||
etporceuosm andema dame	-|--|-|--|-⌫---|-|---|
queuosreto rnésa laloialte	--|--|----⌫----||-|------|
queuosli crean tas te squantelle fu esp oseeetque	--|--|-|-----⌫---⌫--⌫|----|---|-|---⌫---|-|--|
uos droitureliteigniés decelequitel	--|-------|-|--------|-|---|--|--|
p letli po rchaca	-⌫--|-|--⌫-----|
qu euosauéstenuecon tredieu.	--⌫|--|----|----|---⌫--|---||
e t secene uolé sfer emad ame	-⌫|-|-|-|-----⌫|---⌫|-|-⌫--|
uosdeffentde	--|------|-|
pardieuetdeparli et d e	--|---|-|-|--|-|-|-⌫|
parsesamisqueuosd esoreenauant ne	--|--|---|--|--|-⌫-|--|-|----|-|
teig niésl on or	----⌫----||--⌫-|
queuos preistesen lienmar iage cest	--|--|-------|-|-|-|---⌫---||--|
latable reondemais enuoiés l ia usi	-|----|-----|---|-------|-⌫|-⌫--|
b iengarni e dech eu alierscomuo s la preistes ali	-⌫--|-----⌫|-|--⌫--⌫-----|--|--⌫|-|-------||-|
ne ia puiscegardésne soitla	-|-|---|-|------|-|---|-|
tablereo ndeenuostr eostel	----|---⌫--|-|-----⌫|----|
karcest si hau techos equil	--||--|-|---⌫-|----⌫|-|-|
auoir cune sole	----||--|---|
etuosseignorcheu al i erqui estes apelécomp aignon	-|--|------|----⌫--⌫-⌫-|--|----|-----|----⌫-----|
delatabl e reondeieuos diqu eplusne	-|-|----⌫|-----|-|--|-|--⌫|---|-|
uosfacois apeler par	--|-----|-----|--|
ce l nondesil aquilse ra	--⌫|--|---|-⌫|-|-|--⌫-|
deu isépardroit iu gement qui l ono re n	---⌫---|--|----|--⌫-----|--||---⌫|-⌫|
deu raauo irka rentellieuporriésue nir	---⌫-|---⌫-|--⌫|-|--|---|-------|--⌫--|
queli plu s fiers	--|-|---⌫|----|
le co mperoi t molt chi er ement .	-|--⌫------⌫|---|---⌫--⌫----||
e t uos sirefetele	-⌫|--|---|--|--|
alroise uos neautres de	-|--|-|--|-|-----|-|
uostremais onuol és direquemadam en	-----|----⌫-|---⌫--|---|--|-|---⌫||
ait e nsintestétrahie	--|-⌫----|----|-----|
co muos auésoiconterie suipreste	--⌫|--|----|-|-----|-|--|-----|
qu ei ele face	--⌫|-⌫|-|---|
mostre rou enuostre cort	------⌫|-|-|-----|---|
ouenautruiorendroitou	-|-|-----|--------|-|
