moutparfugente c reature	---|--|-|----|-⌫------|
tren chier tanthiau meluisan t	----⌫----|---|----⌫-|------⌫|
l efontmonter	-⌫|---|-----|
maisain slor estut	---|---⌫|--|----|
a thisuers	-⌫---|---|
gaieteg uenchist	-----|-⌫-------|
resne le saisist	----|-|------|
lors lecomman de aunriche homme	---|-|------⌫-||-|----|----|
menéslam oif ait i l aro mme	-----|-|-⌫-|-⌫--|-⌫||--⌫--|
gardé slabienielauous	------⌫|-|---|-|-|---|
menéslen tost	-----||-|---|
tou t a deli ure	---⌫||----⌫--|
liroisbilasestremontés	-|---|----|--|--------|
soussonescusestregardés	---|--|---||--|--------|
uitgaieteq uen enme noit	--|-----|-⌫|-|-|--⌫---|
celep art court	---|-⌫--|----|
qua ntilleu oit	---⌫-|-|-|-⌫--|
celuiquitint la damoisele	----|--|---|-|--------|
fist as onb r ancuoid ie rlasel e	---||-⌫-|-⌫-⌫--|----⌫--⌫|-|---⌫|
lico rsc hiete n la sablonniere	-|--⌫-|-⌫---|-⌫|-|----------|
ladamo isel e tornearriere	-|----⌫----⌫|----|------|
resne del p alefroi	----|--|-⌫------|
mainepoignantiostesoi	----|-------|----|--|
celeplorequi fudole nte	---|----|--|-|----⌫--|
ah ilasse concourte atente	--⌫|----|--|-----|-----|
e ue dema ioie	-⌫-|-|-|---|
maisnianuldessiens qui	---||||--|--|----|--|
lenmain eisnelement	|-|----⌫|---------|
par derrier	--|------|
letor noiement	-|---⌫-------|
aespe ron uers la marine	|----⌫--|---|-|-----|
gra nt dueildem a inelameschin e	---⌫-|----|---⌫-⌫--|-|-------⌫|
mais uneenc on tre mout	---|--|---⌫--⌫--|---|
trouualir ois unpou	-----|-|-⌫--|-|--|
canorder ommel iproi s iés	----|-|-⌫---|-⌫|----⌫-⌫---|
quienunuals es te nbuchi és	--|-|-|--||--⌫|-⌫------⌫--|
uoitquilen	---|-|-|-|
ma inelam es chine	--⌫--|-|-⌫--⌫----|
moutlenpois ede sa cousine	---||-|----⌫|-|-|------|
car ele estoit niece samere	--|--|-----|----|-|---|
etprocelias n iesson p ere	-|--------|-⌫--|--|-⌫--|
bienestoientprochain parent	---|-------|-------|-----|
montéstos t faitilasagent	------|---⌫|---|-||-|---|
enuait mout	-|---|---|
tostesp loite	---|---⌫----|
qui g aietenousatoloit e	--|-⌫----|---||------⌫|
lenlai ssonsmener	|-|---⌫----|----|
dontsommesnousen finho nni	---|-----|---|-|--|--⌫--|
iln a o soinulch eu al ier	-||||--|--|--⌫--⌫--⌫--|
etn ous so mmesbiendoi mil lier	-|-⌫--|--⌫---|---|--|---⌫---|
soionsdeuan t a c est destrois	-----|-----⌫||-⌫--|-------|
ialorauronsl e splainstolois	-|--|-----|-⌫-⌫|-----|-----|
nauraia forcequil lestiegne	|---|-|----|-|-|--|-----|
tantquedes nosfo rc e nous uiegne	------|--|--|--⌫--⌫|---|-----|
lorsauronsnous si c ontre dite	---|-----|---|-|-⌫-----⌫---|
po rro itb ienprendre gaite	--⌫---⌫-|-⌫--|------|----|
la g entde rommeles	-|-⌫--|-|----|--|
etcilifurentetm outtost	-|--||-----|-|-⌫--|---|
par deuantlor uindrentaupas	--|-----|--|-------|-|--|
c a noraencontrébila s	-⌫-⌫--||--------|----⌫|
sid uremen tanduise	-|-⌫------⌫|----|-|
entra batierent	---|-⌫--------|
chascunssautsus	-------|---|--|
si trait l espee	-|----||----|
la ue is siésmaintecole e	-|--⌫--⌫----|-----|----⌫|
bien sefi e ren tdesbransmolus	---|-|--⌫-⌫---⌫|--|----|----|
de t re nchenthi aumes	--⌫-⌫--⌫-----|--⌫----|
lunscriebile	|--|---|---|
lautreromme	|----|----|
l i roisot ocis maint homme	-⌫|---|-|---|----|----|
po rg aietequantfurescousse	--⌫|-⌫----|----|-|--------|
etsachiés	-|-------|
apar e scos se	|--|-⌫----⌫-|
grant perte ifontd	----|----||---||
fierentde lances et	------|-|-----|-|
leroire scouentbiliain	-|--|--⌫------|------|
c ano rremonte nt	-⌫---⌫|-------⌫-|
li rommain	-|------|
grant domma gelo rf o ntdes	----|-----⌫-|--⌫|-⌫-⌫-|--|
e tlirommainpartentlestor	-⌫|-|------|------||----|
laforc een fu	-|----⌫|-|-|
laasrommains	-|-|-------|
gaieteenmainentp ar le splains	-----|-|------|-⌫-|--⌫|-----|
elefu nor rie	--|-|---⌫--|
s achie ́s q uebilasnenamie	-⌫-----⌫-|-⌫-|----||-||--|
bienpuetcroir equi ll a per due	---|---|-----⌫|-|-⌫|||---⌫--|
mai sele fu	---⌫|--|-|
moutc hie ruendue	---|-⌫---⌫|-----|
no uu eleuintas tres	--⌫--⌫--|---|-|---|
etas herbergesetasn es	-|-|--------|-|-|-⌫-|
qu e bi lass	--⌫|--⌫--||
estmellésar omme	--|------||-⌫---|
ensacom paig ne a mort	-|-|---⌫----⌫-||---|
maint ho mme	----|--⌫--|
quantsamoillierenamenoit	----|-|-------|-|------|
athisd athai neslesgardoit	----||-----⌫--||--------|
entre luiet soncompaignon	----|--|-|--|---------|
ont misbilas atel raison	--|--|----||--|-----|
quesafemme l iontto lue	--|-|----|-⌫|--|--⌫--|
etd esagent otmo ut	-|-⌫|-|---|-|--⌫-|
l orssarmerent parlamar ine	-⌫--||-------|--|-|---⌫--|
laois siésm ainte buisine	-|---⌫----|-⌫----|------|
sonneretmaintcordol ifan t	-----|-|----|--||--⌫----⌫|
tuitmon terent petit	---|---⌫-----|----|
uers lestourui en nent	---||-----|--⌫--⌫---|
tuitserré	---|-----|
et debataille conre é	-|-|-------|-----⌫-|
laoub ilas ert e tcanors	-|-|-⌫---|--|-⌫|-----|
mout itro uuerent desleurmors	---||---⌫------|--|---|---|
deromme les	-|----|--|
requierent	---------|
etdureme n tent r	-|------⌫-⌫|---⌫|
tout erranme n tles	---|-------⌫-⌫|--|
ontp erciés	--|-⌫------|
mouti ot deslordom agi és	---||-|--|--|---⌫---⌫--|
l a gentcanorn elpot soffrir	-⌫|---|----|-⌫||--|------|
duchamples	-|----|--|
couint forsissir	-----|---|----|
trop if urent escharseme nt	---||-⌫----|----------⌫-|
etcilauoientmoutgr ant	-|--|------|---|--⌫--|
ferant lesmainent plu sd elpas	-----|--|------|---⌫|-⌫-|--|
iusqu a lestour procelias	----|||-----|--------|
q ui enlautre ba tail le e stoit	-⌫-|-||----|--⌫----⌫-|-⌫----|
il etathisse combato it	-|-|----|-|-------⌫-|
aceuls d ebiledau t re	|----|-⌫|---||--⌫-⌫-|
de s lor faisoient grantessart	--⌫|--|--------|----|-----|
toutelagent	----|-|---|
bilas ious terent	----|----⌫-----|
etce ulsderomm e sigr euerent	-|--⌫--|-|----⌫|-|--⌫------|
cunegran tpieceles	|--|----⌫|----|--|
res ort ent	---⌫---⌫--|
quantde r omme	----|-|-⌫---|
lesreconforte nt	--|----------⌫-|
milcheual ierq uisontuen u	--|------⌫--|-⌫-|---|---⌫|
qui lordonn erent	--|--|----⌫----|
gran tuert u	----⌫|----⌫|
quif res estoiente tmout preu	--|-⌫--|-------|-⌫|---|---|
etm outlor uind ren t	-|-⌫--|--|----⌫---⌫|
bie nenlieu	---⌫|-|---|
cillo ront bienrendus lescuers	--|--⌫|--|---|-----|--|----|
bienlorest amendés	---|--|--|-------|
a e ul si ousterent	|-⌫--⌫|-⌫--------|
nesa mblepasl	-|--⌫---|--||
estor cem bel	----|---⌫--|
t exyyen o nt a te rremis	-⌫-|-|-|-⌫-||--⌫--|--|
do nt lipluso r en	--⌫-|-|-----⌫|-|
t ouslibeso insestarreste ́s	-⌫--|-|----⌫--|--|-------⌫-|
quiamerueil les fudoutés	--||-------⌫--|-|------|
or p or ralenu e oirhui mais	-|-⌫--⌫-|--|-⌫-⌫--|--|---|
quisofferralegre ignorfa is	--|-------|-|---⌫----|--⌫-|
p ro celiaspointasimon	-⌫--⌫-----|----||----|
onc estruieren e arcon	--|--------|-⌫|----|
nenusconroisnel	-|--|------|-||
potd effendre	--|-⌫-------|
ne lifeist	-|-|----|
laterreprendre	-|----|------|
etathis pointa miadas	-|----|----||-----|
sous la ub erlitren c ha leslas	---||-⌫--⌫-|-|----⌫-⌫-|--|--|
rie n s forslamo rtne le	---⌫-⌫|---|-|--⌫-|-|-|
plai nesalanceius l	----⌫-|-|----|--||
xmfer isado cde bire	-|---⌫|----⌫|-|---|
hauberc rontet dessire	------|---|-|------|
toutabatlui etsoncheual	---|---|--|-|--|-----|
cheoirslifistmout ma l	------|-|---|---|--⌫|
la de streiambe	-|--⌫---|----|
deladestrec e	-|-|-------⌫|
s e p asma	-⌫|-⌫---|
portélenontsoru n	-----||-|--|--|-⌫|
q ueil nauoitpoi nt de	-⌫-|-||----|---⌫-|-|
point enue rsathis	----|----⌫-|----|
qui huilau oi ten terre mis	--|--||--⌫--⌫|-|----|--|
uoiantgaie te	-----|----⌫-|
la i de me nt	--⌫-⌫--⌫--⌫-|
en coren ot l ecuerdolent	--⌫--|-|-|-⌫|---|-----|
nel amoi tm ieensoncorage	-||----⌫|-⌫-|-|--|-----|
carfaitliot h onteet domage	--|---|-|-|-⌫---|-|-----|
tolue liot samoillier	----|-|-|-|-------|
etlu i aba tu deldestrier	-|--⌫|---⌫-|--|-------|
ue rs luipoint mout ireement	--⌫-|--|----|---|-------|
desous la bo u cleaor	-----|-|--⌫-⌫--||-|
li as onfort escupercié	-||-⌫-|---|---|------|
etsonblanc haubercdesmaillié	-|--|----|------|----------|
ill eustmoutelcors	-||---|---|-|---|
ma iscil leras iencontré	--⌫-|--|-|-|-⌫|--------|
quelehaubercdesou slescu	--|-|------|-----⌫||---|
liafaus séetde rompu	-||----⌫--|-|--⌫----|
si que anduiuersent	-|--|----|------|
aured recierueissiésfie r e	-|---⌫-----|--------|---⌫-⌫|
lamelleedes yyuassau s	-|-----|--|-|------⌫|
tr e nchenthiau mes	--⌫-⌫-----|----⌫--|
a sespees qu ilonttrenchan s	-⌫|-----|-|-|--|--------⌫|
s entr edonnentde colps moutgrans	|----⌫-------|-|----|---|----|
hiaume s fontf eu uoler	------⌫|---|-⌫-|----|
etlesescuses quarteler	-|--|----|--⌫--------|
siuolen tiers sentref eroient	-|-----⌫----||------⌫------|
iusqual a mortsecombatroient	----||-⌫|---|-|-----------|
nes e pooi entdepartir	-|-⌫|----⌫--|-------|
quantune eschielef ist sailli r	----|--|-------|-⌫--|------⌫|
lerencou lidui	-|---|-|-|--|
ua ssaleren t	--⌫---|----⌫|
poinstrentles desseurerent	---------|--|-----------|
liroi s b ilasa uoitunfrere	-|---⌫|-⌫---|-⌫---|-|----|
qu i a merueille hardis	--⌫||--------|-----|
mou tpar estoit bonscheua lie rs	---⌫|--|-----|---|-----⌫---⌫-|
asbesoinsi estoitpremiers	-|------||-----|-------|
ue rslesrommainsformentsafiche	--⌫-|--|-------|------||-----|
li sienconroifurent	-|---|-----|-----|
oten lostsibon conroi	-|-||--|-|--|-----|
comeceluine s iadroit	---|----|-|-⌫|-----|
hanste otgrossecome p er che	-----|-|-----|---|-⌫--⌫--|
iointacanorquil es	----||----|--|-⌫-|
rens cerche	---|-----|
pislauberclifausse	--||-----|-|-----|
aucuerli enuoietelsausse	-|---|-|-----|--|-----|
l e f eratoutlahanteg rosse	-⌫|-⌫-|----|-|----|-⌫----|
liaparmilecorsenosse	-||----|-|---|-----|
issirl i fistsouslamam ele	----|-⌫|---|---|-|---⌫--|
l arcon de rriere del asele	|----|--⌫-----|-|-⌫|---|
lip echoiepardesousl	-|-⌫-----|--|-----||
parla croup edu destrier	--|-|-----⌫|-|-------|
lem port ea terreet c il	|--⌫----⌫||----|-|-⌫-|
uertub lasme	----|-⌫----|
etd istqua insmais	-|-⌫--|-|-⌫--|---|
p ar cheualier	-⌫-|--------|
neguerpi selededest rier	-|-----|---|-|----⌫---|
so uue ntsepasme	--⌫---⌫-|-|----|
lesanc p er t	-|---|-⌫--⌫|
seplaie bende	-|----|----|
etlesan ctert	-|-|---⌫|---|
uint au cheual	---|-|-----|
p arlestriermonte	-⌫-||------|----|
quilrec uid euengiersa	-|-|---⌫---⌫|------|-|
mais quan t	---|----⌫|
le cheualpoin dre	-|-----|----⌫--|
nepotuerslu ison	-|--|---|--⌫|--|
escu ioindre	---|------|
chietlisalan ceets ese scus	----|-|-|---⌫-|-|-⌫-|-⌫---|
etliberchiet t ousesperdus	-|-|--|----|-⌫--|-------|
sorlagropese rest pasmés	--|-|----|-|---|------|
etdelangoisser euerss és	-|-||-------|-⌫------⌫--|
pro celiaspointparle renc	---⌫-----|----|--|-|---|
canor quipertles anc	----|--|---|-|-⌫--|
alaterrerestoit c h eois	|-|----|------|-⌫-⌫---|
pasméss estoitp l us de yyfois	------||-----|-⌫-⌫-|-|-|---|
celepartpoi ntetaluiuait	---|---|---⌫-|-||--|---|
sor luis arrestegrant duelfait	--|--||------|----|---|---|
ireem entses m ainsdeto rt	-----⌫--|--|-⌫---|----⌫-|
eta sonoes orela	-||--|--|--|-|
e sbrasleprentet descent	-⌫|---|-|----|-|------|
canorfaitiltantmari fus	----|---|-|---|--||--|
tagr antproescee ttongrantsen s	-|--⌫--|------|-⌫|--|----|---⌫|
moriren poi	----|-|--|
seuousmoréspor	-|---|-----|--|
uostre amour	-----|----|
seramescuersmisentr is to ur	---|--|----|--|-|--⌫--⌫--⌫-|
as resnespri s t ledestri ersor	-|-----|---⌫-⌫|-|------⌫-|--|
entresesb ra smonta canor	----|--|-⌫--⌫|----|----|
sorluiplo ren tmaint cheualier	--|--|---⌫---⌫|----|--------|
qui auoient canormout	--|------|----|---|
droit arommelenfontporter	----||----||-|---|-----|
mout otbonmirepour sauer	---|-|--|---|---|----|
quibien garirentle uassal	--|---|-------|-|-----|
nemorutmie de	-|----|--|-|
athi spar l abataillepo int	----⌫|--|-⌫|-------|--⌫--|
souuen tabat	------⌫|---|
e tsouue ntioint	-⌫|-----⌫-|----|
ioint a sabotdeu al feront	----||----|-|-⌫--⌫-----|
to utelabouclelidesront	--⌫--|-|-----|-|------|
desou sl i tr enchela che m ise	-----⌫|-⌫|--⌫----|-|---⌫-⌫--|
elc orsliasa lanc e mise	-|-⌫--|-||-|----⌫|---|
mortlabatisor une	---||----|--|--|
onquessorlui	-----|--|--|
dyt esdebile	---⌫-|-|---|
fu moutprous	-|---|----|
lepriscui doit auoirde tous	-|---|---⌫---|----|-|---|
e nla presse fiertun rommain	-⌫|-|-----|----|-|------|
lifau sseet leclauain	-|---⌫--|-|-|------|
liconduist	-|-------|
siquille fist	-|-|-|-|---|
paroirdefors	-----|-----|
mo rtletrebucheen	--⌫-|-|-------|-|
rommemou tle pleure	----|---⌫|-|-----|
porlu i plorentma intch e ualier	--|--⌫|------|--⌫--|--⌫-⌫-----|
i reementleuont uengier	-⌫------|-|---|------|
lorsueissi ésromm ains combatre	---|------⌫--|----⌫---|-------|
de ceuls debilemoutab atre	-|----|-|---|---|--⌫---|
p roceliasf umoutiriés	-⌫-------|-⌫|---|-----|
porca no rqui estoi tblec ié s	--|--⌫--⌫|--|-----⌫|----⌫---⌫|
sonanemiuit desoi pres	--|----|--|-|--|---|
ireeme ntferidites	------⌫-|---|----|
celui qu i ot canor	----|--⌫|-|----|
toutson h au berc lia	---|--|-⌫--⌫---|-||
le cuirlitrenchesor le	-|---|-|------|--|-|
quain snelgara ntili	-|---⌫|-||----⌫--|-|
mo rt l abatid euant lero i	--⌫-||----|-⌫----|-|--⌫|
bilasesgardede uant	----|------|--⌫---|
etuoitson fr e requiestmors	-|---|--|--⌫-⌫-|--|--|---|
adonquesfulidieuls m outfors	-------|-|-|-----|-⌫--|---|
l ors ueissie ́sp lourer lagent	-⌫--|-------⌫-|-⌫-----|-|---|
liroi s sepa smemoutsouu en t	-|---⌫|-|--⌫--|---|----⌫--⌫|
euas tusoieslimaudis	---|-|----|-|-----|
moi etmes homm es as trais	--|-|--|----⌫-|-|----|
tume feisenceste terre	-|-|---|-|----|----|
ato iueniretmouuoirg uer re	|--⌫|----|-|------|-⌫---⌫-|
ormen fer asahontei ssir	-||-|---⌫-||----|-⌫---|
etent ourmoima g entmorir	-|---⌫--|--|-|-⌫--|----|
perteniertest oree	----||---|---⌫---|
quinie rtcreueent a contree	--||--⌫-|----|-|-⌫|------|
parfoigaiet emaruous ui	--|--|-----⌫|--|---|-|
l auostream orm ato ut	-⌫|-----|--⌫-|||--⌫-|
et destr uite	-|-----⌫---|
macompaignie	-|---------|
neia deuousnauraiaie	-|-|-|---||----|--|
ma gentetsipertuous	-|---|-|-|---|---|
n est meruei llese	|--|------⌫--|-|
hai di tes biausi re chiers	--|--⌫--|---|--⌫-|-----|
lig rans duels	-|-⌫---|----|
detoies tmo utfiers	-|--|--⌫|--⌫-|----|
quiest entrés	--|--|------|
dedensmon cors	-----|--|---|
q uea nuliou r nenist ra	-⌫-||--|---⌫||-|---⌫-|
sorlu i sepasme	--|--⌫|-|----|
crieet brait	---|-|----|
la gentdebile grantdu elfait	-|---|-|---|----|--⌫-|---|
p orl o rseignor	-⌫-|-⌫-⌫|------|
cis t plaislorui ntad esco nfort	---⌫|----|--|--⌫-||-⌫----⌫----|
agrant merueilleenon t p aou r	|----|--------|-|--⌫|-⌫---⌫|
nen tien ne ntpa ss i bien	|-|----⌫--⌫-|--⌫|-⌫|---|
come il f aisoientde deua nt	---|-|-⌫-------|-|----⌫-|
carmoutseu ontaffebloian t	--|---|-|-⌫--|----------⌫|
cilder om me	--|-|-⌫--⌫-|
furentmoutp reu	-----|---|-⌫--|
mou ttiennenten	---⌫|-------|-|
e tdelfe rirmoutempiriés	-⌫|--|--⌫--|---|--------|
ireementlor cour ent seure	-------|--|----⌫--|----|
moutenocient en poi	---|-|-----|-|--|
cil ni po re ntlestour soffrir	--|||--⌫--⌫-||-----|------|
uir entlesgensuenir	---⌫--|--|---|----|
etlamesa u enturegrant	-|-|----⌫-⌫-----|----|
uo ntsouue nt	--⌫-|-----⌫-|
nelpor entmais	-||---⌫--|---|
plus end urer	---|---⌫---|
lero iontfaitiri émonter	-|--⌫|--|---|---⌫-|-----|
lormortontprisetsisenuo nt	--|---|--|---|-|-||-|--⌫-|
etde lapert e	-|-|-|----⌫|
grantduelfont	----|---|---|
asnessenuontfuiantm out let	-|--||-|---|-----|-⌫--|--|
a p res eulsuet	-⌫-⌫--|---|--|
es nes lesfontpar	-|--|--|---|--|
f orce entrer	-⌫---|-----|
laueiss i éstel	-|-----⌫-⌫--|--|
cop donner	--|-----|
lagentderommeenocistmout	-|---|-|----|-|----|---|
mais cildebilesontestout	---|--|-|---|---|-----|
recoeure ntauertu	--------⌫-||----|
toutle haur e loro nttolu	---|-|----⌫|--|-⌫-|---|
acelepoi nte o ntpris athis	|---|---⌫--|-⌫-|---|----|
qui sestde uant lesautre smi s	--||--|--⌫---|--|-----⌫|--⌫|
moutlo rauoit	---|--⌫|----|
f aitgrant	-⌫--|----|
etdelorgent mortel	-|-|--|---|---|-|
maislirom mainlesescrier ent	---|-|---⌫---|--|-------⌫--|
etius q u as nes	-|---⌫-⌫|-|--|
les remenerent	--|---------|
agrant for c e lesmistrentens	|----|---⌫-⌫|--|-------|--|
moutlorocientde lorgens	---|--|-----|-|--|---|
tous en es toi t	---|-|--⌫---⌫|
sangl anslipors	-----⌫--|-|---|
tantiau oitdebilainsmors	---||--⌫--|-|------|---|
bilassefistdesaancrer	----|-|---|---------|
r et orner	-⌫--⌫----|
pro celiase tlirommain	---⌫-----|-⌫|-|------|
i ssent deport u iennent aup lain	-⌫----|-|---|-⌫------|-|-⌫---|
proceli aspoi ntpar	-------⌫-|---⌫-|--|
a thisso nc ompaignon demande	-⌫---|--⌫|-⌫--------|------|
uoldro italui parler	------⌫-||--|-----|
etde l or estreraconter	-|-|-⌫-|----|-------|
illeuoloitaromme	-|-|-----||----|
pors esnocesqu iluoloitfai re	--|-⌫-|----|-|-|-----|---⌫-|
nelu erram aisprocha inement	-||-⌫---|-⌫--|------⌫------|
eincoisaurason	------|---|--|
c uerd olent	-⌫--|-⌫----|
unsdansiaus pointqu i	--|-------|----|--⌫|
uersluiuait	---|--|---|
t endr em entple ure	-⌫----⌫--⌫--|---⌫--|
sirefait ilathisest pri s	---|---|-|----|--|---⌫|
libil ainl onte nlor	-|---⌫--||--|-⌫|--|
p rocelia slaregardé	-⌫-------⌫|||-------|
sonche u a latost	--|---⌫-⌫-⌫||---|
mue cou loret	--|---⌫--|-|
deuint noirs	-----|----|
d iuaf aitilpuetestreuoir s	-⌫--|-⌫--|-|---|----|----⌫|
quilaient p ris	-|-|----|-⌫--|
monc ompaignon	--|-⌫--------|
sestu seil	--|-|-|-|
e s t uoirs ou	-⌫-⌫|----|-|
cillires pont qu ille uit	--|-|---⌫---|-|-|-|--|
etabilas lorseigno rre ndre	-||----|--|------⌫|--⌫---|
procelia sdedueil	--------⌫|-|----|
so u spire	--⌫-⌫----|
det ortsesp oins s esch eueustire	---⌫--|--|-⌫---|-⌫-|--⌫----|---|
adenscheisorson	|---|---|--|--|
ains q u ilse	----⌫-⌫|-|-|
poistre drecie r	----|--⌫------⌫|
sepasme enunt ena nt	-|----|-|-|-⌫---⌫-|
etde menoitu ndu el	-|--⌫-----|-⌫|--⌫-|
ahia th is bi a usdouscompains	--|-⌫--⌫-|--⌫-⌫-|---|-------|
nestm eruei lleseieuousplai ns	|--|-⌫-----⌫--|-|-|---|----⌫-|
carmaisdeuostreloi aute	--|---|-|-----|---⌫---|
neuihommede	-|-|----|-|
neporroitp as e stretro uué s	-|------|-⌫-|-⌫---|---⌫----⌫|
honsqui eust ta ntesb ontes	---|--|---|--⌫---|-⌫----|
lau ostr eco mpaign ieamo i e	-|-⌫----⌫|--⌫------⌫-|---⌫-⌫|
q ue nioie me ttreuouscuid oie	-⌫|-⌫|---|--⌫---|---|----⌫--|
amis etdo nnermaseror	---|-|--⌫---|-|----|
partir uous uoloiem onnor	-----|---|-----||----|
p oruousl a uoi ee s combatue	-⌫-|---||-⌫---⌫|-⌫-⌫-------|
etabilasle roitolue	-||----|-|--|----|
uous cil uousenmaine	---|--|---|-|----|
qu i uousmetr a	--⌫|---|----⌫|
enmou t grantpa ine	-|---⌫|----|--⌫--|
honterendre	----|-----|
etle damage	-|-|-----|
moutchierue nd re	---|----|--⌫--⌫-|
l edamaged esesbarons	-⌫|-----|-⌫|--|-----|
q uencestpaisfait li	-⌫|-|---|---|---|-|
necuit quemeuerroisiames	-|---|--|-|------|-|--|
so uuents ep asmetout	--⌫----|-⌫|-⌫---|---|
maislirommain leconf or tere nt	---|-|------|-|----⌫--⌫----⌫-|
la citelenmenerent	-|---||-|-------|
a rommeui nt	|----|--⌫-|
proc eli a s	----⌫---⌫-⌫|
deso n duelfaire futouslas	-|--⌫|---|----|-|---|--|
s oncompaig non derienno ublie	-⌫-|-------⌫--|-|---||-⌫----|
moutregretesa co mpa ignie	---|------|-|--⌫---⌫----|
maintes gens pleurentpour l esdeus	------|---|-------|---|-⌫-|---|
halas fait	-|--|---|
nenousuerraon	-|---|----|-|
am isensa mble n e parl er	--⌫-|----⌫---|-⌫|----⌫-|
ne medirasiamaismon bon	-|-|----|-----|--|--|
aussi iamai sdelton	----|-----⌫|--|--|
n ous solionsestre toutun	-⌫--|------|----|---|-|
ordiraon mais achascun	-|---|-|---||------|
achascu ndira o npars oi	|------⌫|---|-⌫|--|-⌫-|
departisommesmoietto i	------|-----|--|-|--⌫|
lors sise pasm ed er echief	---|-|-|----⌫|-⌫--⌫-----|
icil comp lai ntli	---|----⌫---⌫-|-|
sontmou t grief	---|---⌫|----|
enson palaisdescentapie	-|--|-----|------||--|
entorluiotmainthom meirié	----|--|-|----|---⌫-|----|
porluietp or sacompa i gnie	--|--|-|-⌫-|-|-----⌫-⌫---|
repleurem out	-------|-⌫--|
g rantbaronn ie	-⌫---|------⌫-|
gaiete alaparole oie	-----||-|-----|--|
qui porsonfrerele sdi eusprie	--|--|--|----|--⌫|--⌫--|---|
etporathiscommun almen t	-|--|----|------⌫-----⌫|
qui l lesgarissedetorm ent	-|-⌫|--|------|-|----⌫--|
quanteleoi que pris	----|--|-|--|---|
athisetbilasl	----|-|----||
l ié ensacon tree	-⌫--|-|-|---⌫---|
cheipasm ee	---|----⌫-|
sonuisdepiece etbat	--|--|------|-|--|
et de tireses cheueussors	-|--⌫---|--|------|---|
blasme sauieetsaiouue nte	-----|-|--|-|-|-----⌫--|
l assefaite lepoure	-⌫---|---|-⌫-|----|
maleureeq ueferai	-------|-⌫-|----|
ia mai sioiene bienn aurai	--⌫---⌫|---|-|---||----|
athisquanti euousaiperdu	----|----|-⌫|---|-|----|
iltropmesa uenu	-|---|----⌫---|
amisuous mestiés	---|---||------|
or estesdemoidesseurés	-|----|-|--|---------|
couuientadepar tir	-------||-----⌫--|
uou scuidoietenir	---⌫|------|----|
ahiath iscortoi setsages	--|---⌫-|------⌫|-|----|
te shardemens ett es	--⌫|--------|-|-⌫-|
biaute ettaproes ce	-----|-|-|-----⌫-|
amis monc orsengr ant destrece	|--|--|-⌫--|-|--⌫--|-------|
ami spouruous	---⌫|---|---|
ienenpui s	-||-|---⌫|
mieamainsuenir	--||----|----|
moutcon noisbien	---|---⌫---|---|
uostreu alo ur	-----|-⌫---⌫-|
abat reu ousui	----⌫-|-⌫--|-|
enl estour	-||-----|
l eroibil asmout pre sd emoi	-⌫|--|---⌫-|---|---⌫|-⌫|--|
so rlecolde	--⌫|-|--|-|
mon palefr oi	--|------⌫-|
uost reproescelimo ustrastes	----⌫-|------|-|--⌫--------|
uoia nt eulstous m eramen astes	----⌫-|---|---|-⌫|-----⌫----|
lorsfus amblan tqueuou s quei s tes	---|-|-⌫------⌫|--|---⌫|----⌫-⌫--|
etparla resnemep re istes	-|--|-|----|-|-⌫--⌫----|
enenuoi ssois	-|-----⌫----|
mais liconduis mefu	---|-|------|-|-|
l iroisb ilasle	-⌫|---|-⌫---|-|
cuidamenerau po r t	----|----|-|--⌫-⌫|
lor smerescoustcan ors lidux	---⌫|-|-------|---⌫--|-|--|
ne uousu i puisn	-|---|-⌫|---||
endiraiplus	-|----|---|
c epoisemoiie nsuid olente	-⌫|----|--||-⌫|--|-⌫-----|
la uo streioiem	-|--⌫---|---||
esttroplente	--|---|----|
d e duel sepasme mout souuent	-⌫|---|-|----|---|------|
lesmains detortsonpaile	--|----|-----|--|----|
grantpiecefuenpamoison	----|----|-|-|-------|
que onne n pot	--|-||-⌫|--|
auoirraison	----|-----|
liplusdientqu emort e estoit	-|---|----|--⌫|----⌫|-----|
car eleauoit lecors toutfroit	--|--|----|-|---|---|----|
daigue le ui sliar ousere nt	|----|-|--⌫|-|--⌫------⌫-|
etenseantlaredrecerent	-|-|----|-|----------|
maistropdemaine	---|---|------|
grantdolo r	----|----⌫|
athisrestoitengr antpaour	----|------|-|--⌫--|----|
l i roisbil asl enm aineo	-⌫|---|---⌫-||-|-⌫---||
q uile m etra en g ranteffroi	-⌫-|-|-⌫---|-|-⌫---|-----|
deuan tsoi lefist	-----⌫|--|-|---|
puis le commandeadesarmer	---|-|-------||-------|
at hisremes t en sonbliaut	--⌫--|-----⌫|-|--|-----|
haub erc oteu chaut	----⌫--|-|-|----|
mout par fubia us sot l euis fier	---|--|-|---⌫-||-|-⌫|--|---|
etresa mbla biencheualier	-|----⌫---|---|--------|
biaus fuet	----|-|-|
gensetbientailli és	---|-|---|------⌫--|
armes ca moi ssiés	----|--⌫---⌫-----|
bilas lesgardesilapele	----||------|-||----|
iali dira malenouuele	-|-|---|---|------|
ath isfaitilmal uous	---⌫-|---|-|--|---|
uousbastiraitel plait	---|-------|--|----|
qua uo stre auissera	-||--⌫---|---|---|
e tdestruiable s et mortaus	-⌫|-----------⌫|-|------|
pa r u o usmestgrans	--⌫|-⌫-⌫-||--|----|
