chil quices	---|--|--|
u aunboired efont ain e	||-|----|-⌫|----⌫---⌫|
ontpunai se a lain e	--|-----⌫-|-⌫----⌫|
etqueplusontl or uentrep lain	-|--|---|--|-⌫-|-----|-⌫---|
tantal alengueplusgrantfain	---||-⌫|-----|---|----|---|
ensilesmoine glotenie	---|--|----|-------|
lafem ea trophardie	-|---⌫||---|-----|
distfause te quiglotonp rent	---|-----⌫-|--|-----|-⌫---|
et siensuil ie	-|-|-|--|-⌫-|
estpas s ensdist	--|--|-⌫--|---|
u eri tei s	-⌫---⌫---⌫|
selesseuentles	|---|-----|--|
ulihom elesdassembler	|-|--|---||--------|
cis uiscesfaitlesgensembler	--|-----|---|--|---|-----|
po rsostenirlor glotenie	--⌫|-------|--|-------|
sob ret ez n aimepast e l uie	---⌫---⌫-||---|--|-⌫-⌫|--|
sob ret ezest degrantm e sure	---⌫---⌫-|--|-|----|-⌫-⌫---|
so bretezfait	--⌫-----|---|
de totmesure	-|--|-----|
sobreteznaime nulut rage	-------||---|--|--⌫---|
so br etezheit	--⌫--⌫---|---|
autruidamage	-----|-----|
sob ret ezfait les g ens iuner	---⌫---⌫-|---|--|-⌫--|----|
et lelorpartir et	-|-|--|-----|-|
d e lorui an dea zpour e gens	-⌫|--|--⌫--⌫-|-⌫|----⌫|---|
sob reteit tie n ta droitlessens	---⌫-----|---⌫-⌫||----|--|---|
sobr etesfai tauo irsante	----⌫---|---⌫|---⌫-|----|
sobr et esu ientde gra ntbonte	----⌫--⌫-|-⌫---|-|---⌫-|----|
sobretez faito ris onsdir e	-------|---|-⌫---⌫--|---⌫|
sobretesfaitpenseretli re	-------|---|-----|-|--⌫-|
sobretezheit	-------|---|
tropyureitongne	---|----------|
sob retez na nu le grantsongne	---⌫----|||--⌫-|----|-----|
nede boiuren edemangi e r	-|-|-----|-⌫|-|-----⌫-⌫|
n usnestdelipaistr eendang ier	-⌫-||--|-|-|------⌫|-|----⌫--|
sobretezfait	-------|---|
le spech iesuainkre	--⌫|----⌫--|------|
nus sobreshons	--|-----|---|
ne croit son uen tr e	-|----|--|---⌫--⌫|
sobretezewee tpain	-------|--|-⌫|---|
parplusors	--|------|
foisa soifetfa in	---||---|-|--⌫-|
por deu se ru iretp o r pe n a nce	--|--|--⌫--⌫-|-|-⌫-⌫|--⌫-⌫-⌫--|
ettropmangier	-|---|------|
liestgreua nce	-|--|-----⌫--|
sobr et es estioian set lies	----⌫--⌫-|--|-----⌫|-|---|
s il aimentgentde bonne	-⌫||-----|---|-|----|
etmai ntinentporeuzsauer	-|---⌫------|--|--|----|
e tansi f onttotli auer	-⌫|---|-⌫--|--|-|---|
poram asser	--|--⌫----|
e t espargnier	-⌫|---------|
no nporlorsalut	--⌫|--|--|----|
at ez sobres	|-⌫-|-----|
deusf orce	---|-⌫---|
kauariscefait	|-------|---|
fairea fo rce	----||--⌫--|
tezsobretezn e s tden ulpris	--|-------||-⌫-⌫|-|-⌫-|---|
enpuetmonter e n	-|---|-----|-⌫|
mies li uen r oityy fois mangier	---|-|---⌫-⌫--|-|---|------|
i l n enaroit at re lowier	-⌫||-|----|--⌫-|-----|
onle doitlaissierpurement	-|-|---|-------|-------|
p ordeu qu iayy dobles rent	-⌫-|--|--⌫||-|-----|---|
lesbiens cant onles f a it porlui	--|----|---|-|--|-⌫-⌫-|--|--|
sobretez est large aatrui	-------|--|----||----|
estroite a l iceest droi ture	-------||-⌫|-|--|----⌫---|
sobretesfait mo rirlux ur e	-------|---|--⌫--|---⌫--⌫|
etmu ltde uiscesauecli	-|--⌫-|-|-----|---|-|
sobrete ztient	-------⌫|----|
petitdel i	----|-|-⌫|
s obre t ezf aitauo irbonnon	-⌫----⌫-⌫-|-⌫--|---⌫-|--|--|
n usneleheit	-⌫-|-|-|---|
quiest prodons	--|--|------|
uosditesuoi rdist fa usetez	--|----|---⌫|---|--⌫-----|
quitroueroitonquesd etez	--|--------|-----|-⌫|--|
o nletenroitagrant meruelhe	-⌫|-|------||----|-------|
maisliunsdo rtli autreuelhe	---|-|--|--⌫-|-|----|----|
child ormen tqui	---|-⌫-----⌫|--|
font lespechies	---|--|------|
liplusdelmonde	-|---|--|----|
este nte chiés	--|-⌫---⌫-----|
decepechietcondist	-|-|------||-|---|
ice leg ent n ont ded eucur e	---⌫-|-⌫--||--|-|-⌫-|---⌫|
ilaimentmie sun sol so las	-|-----|---⌫|-|--|--⌫--|
q u ilesmeten s	-⌫-⌫|--|--|--⌫|
delanemiquebienafaire	-||----|--|---||----|
luxurefaitmult	-----|---|---|
luxurefaitles fois mentir	-----|---|--|---|-----|
luxure faitlesmaussent ir	-----|---|--|---|----⌫-|
des gen sancho isquilso i en tfais	--|---⌫|-----⌫---|-|--⌫-⌫--⌫|---|
luxureafaitm aintege nslais	-----||---|-⌫----|--⌫-|---|
luxure sece t ot	-----|---|-⌫-|
luxurefait	-----|---|
floib esles fors	-----⌫-|--|---|
luxure fa itdroisles	-----|--⌫-|----|--|
lux urefaitio l i sleslais	---⌫--|---|--⌫-⌫-⌫|--|---|
luxure faitperdrebial te	-----|---|-----|----⌫-|
luxurefaithairbonte	-----|---|---|----|
luxure faitb ialte falhir	-----|---|-⌫----|-----|
lux u refaitlecorspalir	---⌫-⌫-|---|-|---|----|
luxurefait	-----|---|
le s enscangi er	-|-⌫--|-----⌫-|
luxuren ai stdetrop m angier	-----|-⌫--⌫-|-|---|-⌫-----|
luxurefaitsage assoter	-----|---|---|------|
luxure f aitorg uel donter	-----|-⌫--|---⌫--|-----|
luxure faitpoureslesgens	-----|---|-----|--|---|
luxurefaitpasser letens	-----|---|-----|-|---|
apoidedra s	|--|-|---⌫|
engran t froidure	-|----⌫|-------|
lu xur e afai t maintelaidure	--⌫---⌫||---⌫|-----|------|
luxureto utgens	-----|--⌫-|---|
luxureheit et bienet uoir	-----|---|-|---|-|---|
luxuretolt a homebl ame	-----|---||---|--⌫--|
lu xur efaitm ainte gen s blam e	--⌫---⌫|---|-⌫----|---⌫|----⌫|
do nt onsoloitgrantbien s tenir	--⌫-|-|-----|----|----⌫|----|
por ceestmalde lmaintenir	--|-|--|--|-||--------|
lux urefaitles ames perd r e	---⌫--|---|--|---|----⌫-⌫|
luxu re faitles gensa erdr e	----⌫-|---|--|---|-⌫----⌫|
quipouuaut	--|--|---|
celeheurepassetostetfau t	---|----|----|---|-|---⌫|
ets if ai tperdre	-|-⌫|-⌫--⌫|-----|
luxurefait diesanem i s	-----|---|---|----⌫-⌫|
rire etgaberdautre domage	---|-|----||----|-----|
luxu remet	----⌫-|--|
le s g ensen rage	--⌫|-⌫--|-|---|
lu xurefaitles	--⌫---|---|--|
ielz t or bler	---|-⌫--⌫---|
luxu refaitpalesiner	----⌫-|---|--------|
luxurefaitdoner etprendre	-----|---|----|-|------|
luxur ef aitwilhe	-----⌫|-⌫--|----|
ge nsrend re	--⌫-|----⌫-|
les donscon les	--|---||-|--|
s oloit doner	-⌫----|----|
c his uiscesfait	-⌫--|-----|---|
lesge nsamultd autres pechiez	--|--⌫-||---||-----|------|
cestuns des set mortezpe chiez	|--|--|--|--|-----|--⌫----|
don tmainteg en ssontplu s tant é	---⌫|-----|-⌫--⌫|---|---⌫|----⌫-|
ilna enluiautre	-|||-|--|----|
kepar li uientlignie	-|--|-|----|-----|
n usnesenp uetga rd ers ans	-⌫-|-||-|-⌫--|--⌫--⌫-|-⌫--|
la pa ine est bone qu iretrait	-|--⌫--|--|---|--⌫|------|
lomedec e qu	|--|-|-⌫|-|
il moi nnee t tra it	-|---⌫--|-⌫|---⌫-|
afair e les pechiesmortez	|----⌫|--|------|-----|
re ligionsuuetet bontez	--⌫------|---|-|-----|
distuerite zquechasconsso ngne	---|------⌫|--|-------|--⌫---|
conmentilface lab esogne	------|-|---|-|-⌫-----|
de lesperitetpaisdel cors	-||------|-|---|--|---|
li pechi esontmu lt degens	-|-----⌫-|--|--⌫-|-|---|
etmaiementc hildel uxure	-|-------|-⌫--|-|-⌫----|
c e semble lame grant laidu re	-⌫|-----||--|----|-----⌫-|
kelic ors f aitcek	-|-|-⌫--|-⌫--|-||
lameuuetui ur een castee	|--|---|--⌫--⌫|-|-----|
cor suuetsessola squerre	---⌫|---|--|----⌫|-----|
ensine puetnushons	---|-|---|--|---|
castee u int deparadis	-----|-⌫--|-|------|
kilesamesamaineettrait	-|--|---|-----|-|----|
c astee nefait nul laitplait	-⌫----|-|---|--|---|----|
ca s teefait	--⌫-⌫--|---|
lame besongn e	|--|-------⌫|
cast eenedistnete smongn e	----⌫-|-|---|-|--⌫------⌫|
chozequi fac eaautrui	----|--|---⌫||-----|
cast eenesertdereconte	----⌫-|-|---|-|------|
ned el aitgas ceseiton	-|-⌫|-⌫--|--|-|---|-|
cast eedroit ure etbien	----⌫-|-----⌫--|-|---|
cas teeseitlecors do nter	---⌫--|---|-|---|--⌫---|
c astee fa ittot	-⌫----|--⌫-|--|
sor monter	---⌫-----|
l es uicesdece	-⌫-|----|-|-|
ui lai nmonde	--⌫---⌫|----|
castees et ientneteetmo nte	-----|-⌫|-⌫---|---|-|--⌫--|
cast eesen uaneteme nt	----⌫-||-|-|------⌫-|
casteefait d roit iugem ent	-----|---|-⌫---|-----⌫--|
caste euu etdroiturefaire	-----⌫|--⌫-|-------|----|
casteefaitgensdebunaire	-----|---|---|--------|
casteeest cortois e etsa ge	-----|--|-------⌫|-|--⌫-|
casteeneuuetnul	-----|-|---|--|
emprendrepor autruigr euer	--------|--|-----|--⌫---|
casteed oitonbiengarder	-----|-⌫--|-|---|-----|
degranspech iesetd egr ansm aus	-|----|----⌫--|-|-⌫|--⌫--|-⌫--|
casteeso ffre	-----|--⌫---|
multdassaus	---||-----|
cas teenelait gens uant er	---⌫--|-|---|---|----⌫-|
d e loruer tune	-⌫|--|---⌫-|-|
castee fai thumb leme nt rire	-----|---⌫|----⌫----⌫-|---|
et sinelaitde s	-|-|-|---|--⌫|
gensmesdire	---|------|
chilquine lont ti ne nt daut ru i	---|--|-||--|--⌫--⌫-||---⌫--⌫|
chascons dauza en lui	-------||--||-|--|
c a s teea laconscience	-⌫-⌫-⌫--||-|---------|
nete de ceque	---|-|-|--|
unsautre pense	--|----|----|
casteeuintdenosi gn ur	-----|---|-|-|--⌫--⌫-|
l ont petit de si gnu r	|--|----|-|--⌫---⌫|
nededames parsabonte	-|-|----|--|-|----|
b one gen taimecastee	-⌫--|---⌫|---|-----|
qu in ela s	--⌫|-⌫||||
casteefait honorsoue nt	-----|---|----|----⌫-|
castee fait l ongement uiure	-----|---|-⌫-------|----|
cas teenaimenulh omey ure	---⌫--||---|--|-⌫--|-⌫--|
caste z est simple en ses fa is	-----⌫|--|-----|-|--|--⌫-|
castee estuns desset rais	-----|--|--|--|--|---|
don t lameest bel	---⌫||--|--|--|
enlumi nee	------⌫--|
c asteenestain tantmenee	-⌫----||--|--|---|----|
k elene soiten	|--|-|---|-|
b ontalent	-⌫-|-----|
c astee ne seit	-⌫----|-|---|
mal t a lent	--|-⌫-⌫---|
mostrer a chi azqui	------||---⌫-|--|
n ifontforce	||---|----|
nus nepuet	--|-|---|
gard ersansforce	----⌫-|---|----|
ne sens c ombatree ncontre lui	-|---|-⌫------|-⌫------|--|
nu s n ese	--⌫|-⌫|-|
doitfierenlui	---|---|-|--|
mais adesestre sor sagarde	---|---|----|--|-|----|
car chilse	--|---|-|
pe rtk i m a lsega rde	--⌫-|-⌫|-⌫-⌫|-|--⌫--|
leramenbrance dela mort	-|----------|-|-|---|
distueritezfaitgrant confort	---|------|---|----|------|
facemo insd emau s	---|--⌫--|-⌫|---⌫|
k icroits oncorsilh n	-⌫|----|-⌫-|---|--||
iertiasa us	---|-|--⌫-|
se deus ni	-|---|||
faitmisericorde	---|----------|
carelmonn asig ra ntdescorde	--|-|--|||-|-⌫--⌫-|-------|
con del ameencon tre	--|-||--|-----⌫--|
pueta uoira cor s	---|-⌫---|-⌫---⌫|
car li corsuuetsonplaisirfaire	--|-|---|---|--|------|----|
etl ameuuet porterl a	-||--|---|-----|-⌫|
lic ors u uet et boireet	-|-⌫--|-⌫--|-|----|-|
et ce semble al amedangier	-|-|-----|||--|------|
li corsuuetadesle	-|---|---|---|-|
bon b oiur e	--|-⌫----⌫|
etlame heits auurde	-||--|---|-⌫---|-|
c or sleconuoite e taime	-⌫--⌫|-|-------|-⌫|---|
etlam euuet	-||--⌫|---|
traual etpaine	-----|-|----|
etli c orsuuet de lis auoir	-|-|-⌫--|---|--⌫--|----|
etlame naime nulauoir	-||--||---|--|----|
et li corsuuettottrairea lui	-|-|---|---|--|-----||--|
reuuetaautrui	-----||-----|
cequeleuuet quatre	-|-|--|---|-|---|
l i corsbatla gent etmenace	-⌫|---|--|-|---|-|-----|
uuetlepaistra itier	---|-|---|---⌫----|
licorsconuoi tegerroiier	-|---|------⌫-|--------|
l am ec onuoite humilite	|--⌫|-⌫------|-------|
li corsorgue lhetfausete	-|---|-----⌫-|-|------|
am euuet orisonsdire	--⌫|---|------|---|
fabloiieretmesdire	--------|-|------|
lamec onu oiteestreen pais	|--|-⌫---⌫---|----|-|---|
etli corsqiert	-|-|---|----|
noiseset plais	-----|-|----|
etlame uuet mueretlire	-||--|---|---|-|---|
etli cor sd esonplaisi rrire	-|-|---⌫|-⌫|--|------⌫|---|
etl ameuu etli	-||--|--⌫-|-|
et li cor suuetl amedampner	-|-|---⌫|---||--|------|
lame maintie ntle corsenuie	|--|-------⌫-|-|---|-|--|
et l i corsa	-|-⌫|---||
sorlam eenu ie	--||--⌫|---⌫-|
lamenep uetauoirparc ho n	|--|-|-⌫--|----|----⌫--⌫|
contrele corssansgr antte nco n	-----|-|---|---|--⌫--|--⌫---⌫|
uuet ge mi ret plo re r	---|--⌫--⌫|-|---⌫--⌫|
etlicorsuue t ioi emener	-|-|---|---⌫|---⌫|----|
lame conuoitele	|--|-------|-|
bien faire	---|----|
siecle plai re	-----|----⌫-|
am euuetde u sorer	--⌫|---|--⌫-⌫|---|
li cors sepo ine den combrer	-|---|-|--⌫--||--⌫------|
licors uue tet	-|---|---⌫|-|
et l ame uuetpenseepure	-||--|---|-----|---|
li corsnefaitfor ceaxxx	-|---|-|---|---⌫-||--|
ne atrestoscesgri estormens	-||------|--|---⌫-|------|
kelame soffrec eest	-||--|-----|-⌫|--|
i lhhaitie ́s	-⌫-|------⌫-|
mai s il nese t	---⌫|-|-|--⌫|
kib ien l ifait	-|-⌫--|-⌫|---|
chilesthoms	---|--|---|
quisonc orsl ait	--|--|-⌫--|-⌫--|
de totfaireses u olon teiz	-|--|----|--|-⌫----⌫---|
licor sn estonques	-|---⌫||--|-----|
est b oneetloi auzam ie	--|-⌫--|-|---⌫--|--⌫-|
al co rsmais ilhne	-|--⌫-|---|--|-|
si l oi alment con	-|-⌫--⌫-----|--|
ilhdeuroit	--|------|
lic orsualam eamalefoi t	-|-⌫--|-||--⌫||---|---⌫|
uraisamans	----|----|
temongneno romans	-------|-|-----|
cesttotpar moi distfausete z	|--|--|--|--|---|-------⌫|
ilhnelifautnule	--|-|-|---|---|
ne seitparmoi e nort	-|---|--|--|-⌫---|
ienenilais do terlamo r	-|-|-|---|--⌫--|-|--⌫|
ainslip romettota deliure	---|-|-⌫----|--||------|
quil h p ue tencorlongementuiur e	-|--⌫|-⌫--⌫|----|--------|----⌫|
etfairemu lt desesu oloirs	-|----|--⌫-|-|--|-⌫-----|
i elipromesle sgransau oirs	-⌫|-|-----|--⌫|----|--⌫---|
tous tensuiure enpros perite	---|---|----|-|----⌫-----|
licors nepuetaduers ite	-|---|-|---|------⌫--|
so f frirnenu legr ant	--⌫-⌫---|-|--⌫-|--⌫--|
lil ais fairepena nc e	-|-⌫--|----|----⌫--⌫|
desespechies etdesesmaus	-|--|------|-|-|--|---|
iefailecorsuilaine t faus	-|--|-|---|-----|-⌫|---|
ieli fai f airelesp echies	-|-|--|-⌫---|--|-⌫-----|
ilest siparmoient echiés	-|--|-|--|--|---⌫------|
quilcu ideroit	-|-|--⌫------|
bienestremors	---|----|---|
sil nema uoittels	|-|-||-⌫---|---|
estli co r s	--|-|--⌫-⌫|
iefailecors f auserdamu rs	-|--|-|---|-⌫----||---⌫-|
l ame qui lamepar amurs	|--|--||--|--|----|
et selifais	-|-|-|---|
le siecl e	-|-----⌫|
encui ilht rueuetantame r	-|--|--|-⌫----|---|---⌫|
etch ildesert quenusn elaime	-|--⌫-|-----|--|--|-⌫||---|
con amezestet nus nelaim e	--|---|--|-|--|-||---⌫|
cors cor reui ens oramerci	---|--|----⌫--|-||----|
en coraroitdetoimerci	--⌫--|----|-|--|----|
l am eque le es t	|--⌫|-|-⌫-|--⌫|
t ropdebunaire	-⌫--|--------|
cor stuporroisd e	---⌫|-|------|-⌫|
legierfaire	-----|----|
quanquelamedistet conseilhe	------||--|---|-|--------|
mesemblegrantmeruelhe	-|-----|----|-------|
d ist u er itez de	-⌫--|-⌫--⌫---|-|
uodes cord e	-|---⌫----⌫|
uosdeu riéstraire aune corde	--|---⌫----|-----||--|----|
deuospensers	-|--|------|
e tdeuosf ais	-⌫|-|--|-⌫--|
ilnendeuroi ti a estre plais	-||-|------⌫|-⌫|----|----|
maisto tceb re ssefausetez	---|--⌫|-|-⌫--⌫--|-------|
corst une smiebiendo n tez	---|-⌫||-⌫|--|---|--⌫-⌫--|
c anttu nefaisora	-⌫--|-|-|---|-||
kelefaittoiie	|--|---|--|-|
duiseest re aut rement	----|---⌫-|---⌫-----|
sauezsescritturenement	----||---------|-|---|
cors carregarde ato nafa ire	---|--|------||--⌫|---⌫--|
siteret ien	-|-|---⌫--|
de malafair e	-|--||----⌫|
dontt umes tameen	---|-⌫|--||--|-|
grantdol or	----|---⌫-|
co rsatornetoncorse npl or	--⌫-|-----|--|---|-⌫|--⌫-|
desfauses ioiesdecest si ecle	--|-----|----|-|---|--⌫---|
tun e porois deuetlesiecle	-|-⌫|-----|--|-|-|-----|
ense mbl e auoir	----⌫---⌫|----|
onquesnibee	-----|||--|
cor scarretornet a	---⌫|--|------|-⌫|
decescozesq ui arontfin	-|--|----|-⌫-|----|--|
corscorre garde a orguel	---|--|--⌫----||-----|
tupor a suen ir	-|---⌫-⌫|---⌫-|
detes fais	-|--|---|
corstu faisfairetr op deplais	---|-|---|----|--⌫-|-|----|
c equepreun e porte	-⌫|--|---|-⌫|----|
cors lamo r su ientqui	---|-|--⌫-⌫|-⌫---|--|
nului ainsfaittot tra ireafin	----|---|---|--|---⌫--||--|
