ci lkiseuent de	--⌫|-|-----|-|
melzleuultperdrechascun iur	---|-|---|-----|------|--|
d u n ueneur	|-⌫|-----|
q ue unluaueitac ui lli	-⌫-|-|-|----|--⌫--⌫--|
parmiunc hampfui lilus	--|-|-|-⌫---|--|-|--|
u n berchee rseett ut suls	-⌫|-------⌫|---|-⌫-|---|
franc his e l i req uist	-----⌫---⌫|-⌫|---⌫---|
m usc astsi	-⌫---⌫--|-|
aluen eur quilpursiwe it	-|---⌫--|--||-------⌫-|
qu al boisenertalét ut dreit	-|-|---|-|--|---|-⌫-|----|
lipa stordistquilsifra	-|--⌫---|---|-|-|-|--|
fal delemusca	---⌫-|-|----|
li uenereueneitcriant	-|-----|-----|-----|
duresenaltr esdemandant	|---|-|----⌫-|--------|
s ecil au eitlelu	-⌫|--|--⌫--|-|-|
illirespuntnesotu fu	-|-|------|-|--||-|
o dsa mainl iuaitenseinnant	-⌫|-|---|-⌫|---|---------|
quallurs sedeiuealerquera nt	-|-----|-|----|---|-----⌫-|
de mentresquil l i enseinnot	--⌫------|-|-|-⌫|--------|
t uziursesguardot	-⌫-|---|--------|
nepo tses oi lzremuer	-|--⌫|--|--⌫-|-----|
mesnepurquant	--|---------|
lefi st a ler	-|--⌫-|-⌫--|
quantilleui t b iene sluinné	----|-|-|--⌫|-⌫--|-⌫-------|
si distal lu quilot mus ce	-|---|-|-|-|-|-|---⌫-|
s ezt uorebon gre	-⌫-|-⌫|--|--|--|
queieot eaisi d eliuré	--|--|-⌫|-|-|-⌫------|
lilusrespun dic uinte m ent	-|--|------⌫-|-⌫-----⌫-⌫--|
talangeetesmainsueirement	-|----||--|----|--------|
d eiieo fai t	-⌫-|--|---⌫|
ilb ongresaueir	-|-⌫-|--|-----|
mesune rie n di	--|--|---⌫|-|
te ipur ueir	--⌫|--|---|
silalas t ama uolente	|-|----⌫||-|------|
tioilserr ei ent iacr eué	-|--|----⌫--⌫--|-|--⌫---|
tesmains m egarirent	--|----|-⌫|-------|
tioil pur poi medes cuu ri rent	-|--|--|--|-|---⌫---⌫--⌫---|
fud forment ir ez	--|------|--⌫-|
uers sei meimes	---|--|-----|
deceoqu eteluoizn aueit	-|--|--⌫|--|---||----|
cuma lu iceodistau eneit	--||--⌫|--|---|--⌫----|
aladeuesselemustra	|-|------|-|-----|
el ada melidemanda	|-⌫|--⌫-|-|------|
silnotasezen	|-||-|---|-|
du ntelelotsi	--⌫-|--||-|-|
despenn eslaueitplusbel	--|----⌫-||----|---|--|
qui lneue italtreoiseal	-|-⌫|-|--⌫-|----|-----|
lip oundit quil	-|-⌫--|--|-|-|
sec remeit	-|-⌫-----|
oisalsplusuilestei t	-----|---|--|-----⌫|
purceoquiln esot	--|--|-|-|-⌫|--|
bienchanter	---|------|
elel i respunt	--|-⌫|------|
leimei ester	--|--|----|
biente dei tta bealtesuffire	---|-|---⌫|-|-----|------|
nen ilfa itil bien le puisdire	---⌫-|--⌫-|-|---|-|---|---|
q uantli russ ino lpetiz	-⌫---|-|----⌫---⌫|----|
a mei lluruoizieo sui h uniz	|---⌫---|---|--|--|-⌫---|
un empereres	-|--------|
un singequi l forment	-|----|-|-⌫|------|
e li singe biene ntendei t	|-|----|---|-⌫-------⌫|
quan quas humesfei re ueeit	----⌫-|-|----|---⌫-|----|
cumlempere uruitser uir	--||------⌫-|--|---⌫--|
e sesf estesleuit tenir	|--|-⌫----|-|--|----|
le tindrentas einnur	-|-------||-⌫-----|
ala fores t se mistuniur	|-|-----⌫|-|---|-|--|
singes f ist asembler	-----|-⌫--|-------|
peti zegran z quil pottruuer	----⌫||----⌫|-|-|--|-----|
surtuzsefistle uer arei	--|--|-|---|--⌫--||--|
puissisretintensemble odsei	---|-||-----|-------|-|--|
deplusursfis ts es cheualers	-|------|---⌫|-⌫-|--------|
edep lusurs	|-|-⌫-----|
ses cu nsei llers	--|--⌫----⌫----|
e sess ergan zdesamaisun	|--|-⌫-----⌫|-|-|-----|
establichescunpar	------|------|--|
duncpristfemme e oten fa nz	---|----|----||-|--⌫--⌫-|
et intfeste sri ches	|-⌫--|-----⌫|--⌫---|
dui homeer ent alboisalé	--|---|--⌫--|-|---|---|
esteientesguaré	-------|-------|
singecunuer s er ent	----|------⌫-⌫--⌫--|
ultrelur gre	----|--|--|
ultrealerent	----|------|
lauileren t as emblé	-||-|----⌫|--⌫-----|
nelfirent m iede lur gre	-||-----|-⌫-|-|--|--|
liuns fudmultleals	-|--|--|---|----|
lia ltretrich eree fa ls	-|-⌫---|-----⌫--||--⌫-|
quanten lur	----|-|--|
curtfurententrez	---|-----|-----|
d essinges	-⌫-|-----|
suntbien a pelez	---|---|-⌫----|
lilealsho em lesaguarda	-|----|--⌫-|--|------|
li emperere lidemanda	-|-------|-|------|
que lui sembledesam ai sne e	--|--|-----|-|-|-⌫--⌫---⌫|
seele estbele eenseinnee	-|--|--|---||--------|
lilealshoemlires punt	-|----|---|-|---⌫---|
quauisl ier tquesinges su nt	-|---|-⌫|--⌫|--|-----|--⌫-|
demaiedemafemmedi	-|--||-|-|----|-|
edemunfizquetuueizci	|-|--|--|--|-|---|-|
quet en semblene meceler	--||-|-----|-|-|----|
ceoqueme deitf a it ilsembl er	--|--|-|---|-⌫-⌫-|-|-----⌫-|
tu essingeeele sin gesse	-|-|----||--|---⌫----|
hisduse e felun esse	------||-----⌫---|
al tricheursuncunp ai nnun	-|-------|--|----⌫--⌫---|
tutem aismelaraisun	---|-⌫----|-|-----|
demanderentdemot enmo t	----------|-|--|-|--⌫|
ellur di t q ue l is embl ot	-|--|--⌫|-⌫-|-⌫|-⌫----⌫-|
unkesneuitplus beleg ent	----|-|--|---|---|-⌫--|
kesifuissenta sun	-|-|-------||--|
que bienres emblotempereur	--|---|---⌫-----|-------|
d uncluntentralssi	-⌫--||--|---|--|-|
detutesparzli	-|----|---|-|
unt encliné	--|-------|
leleal home quei en t	-|---|---|----⌫--⌫|
siluntdesir éemal	-||--|-----⌫-||--|
oezlee ssa mpledecestcunte	--|-|-⌫---⌫---|-|---|----|
lilea lshoemau eir h o nur	-|---⌫-|---|--⌫--|-⌫-⌫--|
unsliunsfud	--|----|--|
mult tauaillez	---|--------|
ed ecurretutennuiez	|-⌫|----|--|------|
enunegrau efi sts un	-|--|----⌫|--⌫-|-⌫-|
multfu dmala desasun dit	---|--⌫|----⌫--||--|--|
les bes tes fistaseiuenir	--|---⌫--|---||--|----|
dist choisir	---|------|
kimeispeustenbo ischacer	-|---|----|-|--⌫-|-----|
uns eunsl es mandot	--||--|-⌫-|-----|
sisocie it	-||----⌫-|
melz l esuuleitissi manger	---|-⌫-|-----|---|-----|
quapres curee tra uailler	-|----|---||---⌫------|
li gupilzfudodeals alez	-|-----|--|-|---|---|
horsde la graueestarestez	---|-|-|----|--|------|
des nuu eles	--|---⌫---|
ainz quil uuls istauant uenir	---|-|-|----⌫--|----|----|
l iliuns s is tsilesg u arda	-⌫|----|-⌫--⌫|-||---⌫-⌫---|
ireementli de m anda	-------|-|--⌫-⌫---|
purqueineuoltuenirauant	--|---|-|---|----|----|
l i gupillires punt atan t	-⌫|----|-|---⌫---||---⌫|
sirefaitilni hosuenir	---|---|-|||--|----|
car n en ueinuleretur nir	--||-|--|---|-----⌫--|
decurtareiestensement	-|---||--|--|-------|
te ls i entr elegerement	--⌫-||----⌫|---------|
ua ld reitenl usester	--⌫--⌫---|-||-|----|
purlesnuuelesesc ut er	--|--|------|---⌫--⌫-|
ceoditmunta	--|--|----|
chamail silc heual cha	------|-||-⌫-----⌫--|
enune altre cuntree	-|--|----|------|
duncse stla pulce purpensee	---||-⌫-|-|----|--------|
si adm ercie ́ lech am ail	-|-|-⌫-----⌫|-|--⌫--⌫--|
quesuefdedens sun pei l	--|---|-----|--|---⌫|
laueit ensembleodsei portee	|----|-------|-|--|-----|
ia meisp arseinefustalee	-|---|-⌫-|--|-|---|---|
pu rs un trauail li s e ruireit	--⌫|-⌫-|------|-|-⌫-⌫------|
mult uolentersse e le	---|--------|-|-⌫-|
licha mailliadrespundu	-|---⌫---|-|-|-------|
delicharge	-|-|-----|
ne nesot que le furlui	-|-|--|-|-⌫-|--|--|
eleli feist	--|-|----|
iss id ela p ouregent	---⌫|-⌫|-|-⌫---|---|
siasri c hesunt	-|-|--⌫-⌫--|--|
apr isme me n t	---⌫----⌫--⌫-⌫|
forme ntlesquident greuer	-----⌫-|--|------|-----|
damagefai re eennuier	-----|---⌫-||------|
