cefuapasque slafeste	-|-||------⌫|-|----|
ententcele partestalez	-----|---|---|--|---|
onc lefetilpor deu	---⌫-|--|-|--|--|
demaiestez	-|-------|
q u ant parlertoi tozsuire suigorez	-⌫-⌫--|-----||-|--|--|--⌫-------|
ettozli c uers	-|--|-|-⌫---|
e st elcor s	-⌫-|-|---⌫|
biax niesditiluas sa x es tes	---|---|--|-|---⌫--⌫|--⌫--|
uezcidestrieri a	--|-|-------|-⌫|
m eillorneuerrez	-⌫-----|-|-----|
uezcipaiensqui nos ontapres sez	--|-|-----|--|--|--|-----⌫--|
uos se lezmoiuos tenez	--|-|--|--|--|----|
de parti ronla pres se	--⌫-----⌫--|-|----⌫-|
fortsontlich apleetm eru e illex	---|---|-|--⌫---|-|-⌫---⌫-⌫----|
liqu en sbertransesta piedescendu	-|--⌫--⌫|-------|--||--|-------|
et sesoncle s	-|--|-----⌫|
latandi sdeffendu	||-----⌫|-------|
tant quilmontasorlo	----⌫-|-|----|--|-|
destrierq uernu	-------|-⌫----|
de quoig uillaumesot	-|---|-⌫--------|-|
corsuble abatu	-------|----|
de lautreparton t fierestorrendu	-||----|---|--⌫|---|----|----|
qu ens aymeri s a	--⌫--|------⌫||
lafiereue rtu	-|----|--⌫--|
etaymere t	-|----|-⌫|
herna uzlimenbruz	-----⌫-|-|------|
enlapresse desp aiens sont feru	-|-|-----|--|-⌫----|---|---|
laouire ntl	-||----⌫-||
enseigneauroi	-------|-|--|
entorlu i sontsi paien	----|--⌫|---|-|----|
laontfie r ementmaintenu	-|--|---⌫-⌫----|-------|
qu ensaymeris et si hom eetsid ru	--⌫--|------|-|-|---⌫|-|-|-⌫-|
maint sarrazin	----|-------|
ontmortetab atu	--|---|-|--⌫--|
francoisia plusor chau	-------|||-----|---|
li quen sguillaumesiest corantuenu	-|----⌫|---------||--|-----|---|
ol u ibertransalafiere	|-⌫-⌫|-------||-|----|
ils aprestentd eios ter abaudu	-||--------|-⌫|---⌫--||----|
aymerie zi	-------⌫||
estpremier uenu	--|------|---|
li fil lole zqu i bon cheua li er	-|---⌫----⌫|--⌫|--|-----⌫--⌫-|
i la b rochiésonau ferran t	-⌫||-⌫------|--|--⌫------⌫|
mesay mer is l ap arlo	--|--⌫---⌫-|||-⌫-|-|
fra intenu	---⌫-|---|
filluelfetilaquoi	------|--|-||---|
tehastes tu	-|-----|-|
n as senbler	|--⌫------|
celroimes creu	--|--|---⌫---|
entoteespaign ena sibon	-|---|-------⌫|||-|--|
aym eriezen ai uréiesu	---⌫----|-||-⌫---|---|
mel z enuueil estr ep armi	---⌫|-|----|----⌫|-⌫---|
l o corsfe ru	-⌫|---|--⌫-|
deyyespiezoudey y nua	-|-|-----|-|-|-⌫|-||
s achecomestgranz sa	-⌫---|--|--|----|-|
uado ncf illex liquens arespo ndu	-|--⌫-|-⌫----|-|----||-----⌫--|
se ig norquitoziorz est	--⌫--⌫--|--|--|---|--|
lorslesse al erlobond estrie r quernu	---|----|--⌫-|-|--|-⌫------⌫|-----|
l escuenbrace brand i l	|---|------|-----⌫||
fiertlopaien	----|-|----|
amontdesorlescu	----|----||---|
sozlaboclel iafre t	--|-|----|-⌫||---⌫|
e tlohaube rc	-⌫|-|-----⌫-|
desma illié et	-----⌫-----|-|
s etintque nel a	-⌫|---|--|-|||
q uen saymeris	-⌫---⌫|------|
iestpoignant uen u	|--|-------|---⌫|
nerbonealafiereuertu	------||-|----|----|
et aym er et	-|---⌫-|-|
hernaut lo membru	------|-|-----|
yypaiensontmor tetrete nu	-|-----|--|---⌫|-|----⌫-|
bau d u ass aillenta fo rce eta u ertu	---⌫-⌫|---⌫------||--⌫--|-||-⌫---|
et qantliroisa ses p aiens ueu	-|---|-|---||--|-⌫----|--|
qu i e stoi e nt mor t etprisetuaincu	--⌫|-⌫----⌫-⌫-|---⌫|-|---|-|-----|
pointla gaz ele siestdes	----|-|---⌫--|-|--|--|
uint afarfa ign esiestelg ueferu	---||-----⌫---⌫|-|--|-|-⌫-|---|
enpasseniest	-|----|||--|
a rre steu	-⌫---⌫---|
aymeriezpoint apre spar uertu	-------|----|----⌫|--|----|
l o fil lolet a ymerilochenu	-⌫|---⌫----|-⌫----|-|----|
desor orrezconlies tau enu	--|-|----|--|-|--⌫|--⌫--|
queilnestmiebienau droit	--|-||--|--|---|-|----|
gue u e n u	--|-⌫-⌫-⌫|
riuesia granzs auzre ndu	---|-||----|-⌫--|--⌫--|
le son d es cloent	--⌫|--⌫-⌫-|-----|
desor soneaumeagu	----|--|----|--|
il uecperdi etlalan ceetl	--⌫--|----|-|-|---⌫-|-||
quensaymeris en	----|------|-|
reclam aies u	------⌫|---⌫|
glori ox pereparlatoeuertu	-----⌫-|---|--|-|--|----|
aiespitiede ton ho mechan u	---|----|-|--|--⌫-|----⌫|
fil lexn iso it	---⌫--|||--⌫-|
morznep erdu	---|-|-⌫---|
ac ezparolesestsor l	|-⌫-|------|--|--||
etli paiens	-|-|-----|
quialariuefu	--||-|---|-|
lef iertzzcopdes onbrant esmolu	-|-⌫---|-|--|-|-⌫-|----|-----|
p arzzpet itquene	-⌫-|-|---⌫-|--|-|
laporfendu	||-------|
quens aymeris	----|------|
en reclam aiesu	-|------⌫|---|
si repar la toeuertu	--⌫-|--|-|--|----|
n oite ldote	|-|--⌫|---|
depai enmescre u	-|---⌫-|------⌫|
comeieoihu id elfe lonroi	---|-|-|--⌫|-⌫-|--⌫--|--|
q uem onfilluel nocie	-⌫-|-⌫-|------||---|
