uousau és deuantbienoit	---|--⌫--|-----|---|--|
f uocis ad ont nesaip o urke	-⌫|---|--⌫--|-|--|-⌫-⌫-|-|
dewanemerzzfortsiergant	-|------|-|---|-------|
leco ntebaud uin degant	-|--⌫--|----⌫--|-|---|
dontuot hastensdesonsignor	---|--|------|-|--|-----|
arou mefaireempere ou r	|---⌫-|----|------⌫--⌫|
uinrents ientrer e nt	------|-⌫|------⌫-⌫-|
pardeu an tespagn es iglerent	--|---⌫--⌫|------⌫|-⌫-------|
etsi entrerentesdestrois	-|-|--------|-|-------|
a aufriqeanesyyetyy	|------||--|-|-|-|
t ormentecommu ne	-⌫------|-----⌫-|
qui leskacaa	--|--|---||
force alu ne	----||--⌫-|
e nitalela p risentport	-⌫|----|-|-⌫-----|---|
dontilsorentioieetdeport	---|--|----|---|-|-----|
maislune iert	---|---|---|
biendegentgar nie	---|-|---|---⌫--|
quantilscois irentlor nauie	----|--|----⌫----|--|----|
si saparaillierentmoult	-||-------------|----|
adesfendreco m crest iien	|--------|--⌫|-----⌫---|
etp orterentas m urslorarmes	-|-⌫-------|-|-⌫--|--|----|
escusetlance set gis armes	----|-|-----⌫|-|---⌫----|
parquoihastensett ot siome	--|---|------|-|-⌫-|-|--|
quidie re ntbien quecefust	------⌫--⌫-|---|--|-|---|
lors s e fistm aladeshastens	---|-⌫|---|-⌫-----|------|
s i man daacaus d elaiens	-⌫|---⌫-||---|-⌫|-----|
al uesqueauantet puisal conte	-|-----|----|-|---|-|----|
ki lnau roientanui	|-⌫||--⌫-----|---|
maisto rment e lot	---|--⌫-----⌫||-|
af orcede u antleurcite	|-⌫---|--⌫-⌫--|---|---|
en s onpaisraler uo loit	-|-⌫-|---|----|--⌫---|
pais ettri uelordemandoi t	---|-|---⌫-|--|--------⌫|
quarmaladesestoitformen t	---|------|-----|------⌫|
sideprioitameement	-|-------|-------|
al uesquekil lebatisast	-|-----||-|-|-------|
etcr e s tienteli do unas t	-|--⌫-⌫-⌫-----|-|--⌫----⌫|
a inc kilmou rustcome paiens	-⌫--||-|---⌫---|---|-----|
q u ilu o loit i estrecrestiiens	-⌫|-|-⌫-⌫---|-⌫----|---------|
l euesquesenfu	|-------|-|-|
moultio ians	----|--⌫---|
etl iquensde	-|-⌫|----|-|
s i leur donnerent	-⌫|---|--------|
alerets auf uenir	---|-|-⌫--|----|
ensifuhastensbatisiés	---|-|------|--------|
puis s en est as nesrep airiés	---||-|--|-|--|---⌫------|
sisefistm ort	-|-|---|-⌫--|
en celenuit	-|---|---|
ets age ntfise ntgrantdoltui t	-|-⌫|--⌫-|----⌫-|----|--|---⌫|
quarbienquidasa gent menue	---|---|----|-|---|----|
ci ertesfustlamo rsuenu e	--⌫----|---|-|--⌫-|----⌫|
sime ner entsi grant dolou r	-|--⌫---⌫--|-|----|-----⌫|
quetuit ligrantet limenou r	--|---|-|----|-|-|-----⌫|
citepitieen orent	---|----|-|----|
et pour couqu	-|---|--|-|
oun orerleuorent	---⌫---|-|-----|
l aport erentsa nsfausete	|-----⌫----|--⌫-|------|
enlag lise	-|-|-⌫---|
etestoitmis enunebiere	-|-----|--|-|--|----|
qui lorentf aitealor maniere	-|-⌫|----|-⌫---||--|------|
etl e uesquesfureuiestu s	-|-⌫|------|-|--------⌫|
comci lk i	--|--⌫|-⌫|
niertaperceus	|---|-------|
pourlesieruiceacommencier	---|-|-------||---------|
paienpour mious tr ecier	----|---|----|--⌫----|
furentar médesouslorcapes	-----|--⌫--|-----|--|----|
pour leuesqueprendrea	---|-|-----|------||
e t furentuenu elmostier	-⌫|-----|---|-|------|
qu antoncom m enca l emestier	--⌫--|-|---⌫-⌫---|-⌫|------|
ethasten sk iseuothaster	-|------⌫|-⌫|-|--|-----|
s e descouurisans	-⌫|--------|---|
tous armés iscidela biere	---|-----|---|-|-|----|
l orsniacelui kinif iere	-⌫--||||----|-|||-⌫---|
s ocisentleuesque	|------|-|-----|
e tle cont e	-⌫|-|----⌫|
agrantma rtireeta g ran thonte	|----|--⌫----|-||-⌫---⌫|----|
etapriestous cau sdela uile	-|-----|---|---⌫|-|-|---|
pa r gill e	--⌫|----⌫|
furentocis licre s tiien	-----|---|-|---⌫-⌫----|
et s o re ntlacitet paien	-||-⌫--⌫-|-|----|----|
etq uant hastensettoutsi	-|-⌫---|------|-|---|-|
sorentquecen iertmier ome	-----|--|-||---|--|-⌫--|
sifure nt honteus et do le nt	-|----⌫-|------|-|--⌫--⌫-|
quesploitién orenta utrement	-|---------||----|-⌫-------|
mais no se rentauan t	---||-⌫--⌫---|----⌫|
quarroumainoire ntparler	---|------|----⌫-|-----|
q uilorentfaitensi	-⌫|-|----|---|---|
sisefurentcontreaus	-|-|-----|-----|--|
remisthastens enme r	-----|------|-|--⌫|
siuin t en france seiorne r	-|---⌫|-|-----|-------⌫|
mai s po ideceu aliers auoit	---⌫|--⌫|-|---⌫-----|----|
sidouna ha stenc parbonte	-|----|--⌫----|--|----|
cartres e t tout elacite	------|-⌫|----⌫|-|---|
po urpai sauoiret	--⌫-|---⌫|----|-|
ille prist	-|-|----|
etparitant pa is al	-|--|----|--⌫-|-|
n onquespuis alr oine fist giere	|-----|---|-|-⌫-|-|---|----|
puisuo t alerenengletiere	---|--⌫|---|-|---------|
co mmecil quipetit encaut	--⌫--|--|--|----|-|---|
si u otuendrealcont etiebaut	-|-⌫-|-----|-|----⌫|------|
car tres et quank iliauoit	---⌫---|-|----|-||----|
qua ill ors	-|-⌫---⌫--|
ale ruoloit	---⌫|-----|
mai si len pristtiermeen	---⌫|-⌫|-|----|-----|-|
fel iert et c rueu s	--|---|-|-⌫----⌫|
ete n gries	-|-⌫-⌫----|
biers coste fiere e	----|----|-----⌫|
fu ralésensa	-|-----|-|-|
apriesre furent l idanois	-----|--⌫-----|-⌫|-----|
ta n tmontepliiépar lo rlois	--⌫-⌫|----------|--|--⌫|---|
que lorenfansconuin t aler	--|--|-----|------⌫|---|
tiereconquester	----|---------|
sot enceletiere zz	|-|-|---|----|-|
maislestorepasnele	---||-----|--|-|-|
ki si francem enttintlesien	-|-|-------⌫--|---|-|---|
quainch omen en sier ui de r ien	-|---|-⌫--||-|----⌫-|-|-⌫--|
yyfiusauoitrouet	-|---|----|--|-|
q uant liperefutraisafin	-⌫---|-|---|-|----||--|
uotles enfans greuer	--|--|-----|-----|
etd e leur	-|-⌫|---|
fiesdeshireter	---|---------|
pourl eu r	---|-⌫--⌫|
pere kinelsierui	---|-|-||-----|
et mai nte sfo islo tasaill i	-|---⌫---⌫|--⌫-||-⌫|------⌫|
ci ldoifr eremander entg ens	--⌫|--|--⌫--|------⌫--|-⌫--|
pourgara ndir leur tenemens	---|----⌫---|---|-------|
sor en tasses desiouenenciaus	|--⌫--⌫|----|--|-----------|
hardisetc orago usetbiaus	-----|-|-⌫-----⌫-|-|----|
q ui l eu ra uoien t	-⌫-|-⌫--⌫|-⌫-----⌫|
f esh o mmages	-⌫-|-⌫-⌫-----|
pour retenirleuryret ages	---|------|---|----⌫---|
con tre le	---⌫--|-|
etdesy reterles uoloit	-|----⌫----|--|-----|
contre leroisec om batirent	-----|-|--|-|-⌫--⌫-------|
etmaintesfoisledescon firent	-|------|---|-|------⌫-----|
une eu reles ma nda	--|--⌫-|--|--⌫--|
a ausbuenement sacorda	|--|--------||-----|
etleurdonatot	-|---|---|--|
francement	---------|
teni r leleuret quite me nt	----⌫|-|---|-|-----⌫--⌫-|
ausicom auoitfa itle urpere	---|--|----|--⌫-|--⌫-|---|
en sileloerent c ilfrer e	--⌫-|-|------|-⌫-|----⌫|
ettinrentcomme	-|------|----|
leurancisseur	---|--------|
homea ut resilaleur	---|-⌫--⌫---|-|---|
tiere celro i issire nt	----|--|--⌫|------⌫-|
lifr er e et leurgensdepartirent	-|--⌫--⌫|-|---|---|----------|
et lirois kin e samap as	-|-|---|-||-⌫|--|-⌫-|
lesgaitap uis azz	--|----|-⌫--||-|
parzz matin	--|-|----|
deua ntloru ile	----⌫-|--|-⌫--|
comcilqui plain ses toitdegille	--|--|--|-----⌫|--⌫---|-|----|
en zz bosket de sousles carmes	-|-|-----|--⌫---|--|-----|
simonstrerentaliorlor armes	-|----------|-|--|--|----|
et cilissirent de	-|--|-------|-|
sor lorceua usa	--|--|----⌫-||
poi degens	--|-|---|
etceuauci erentlatoutdroit	-|-------⌫----|-|---|----|
uleuragais	|---|----|
bastis estoit	-----|-----|
m ai sli roi s lesla issa pas ser	-⌫--⌫|-|---⌫|--|--⌫---|---⌫--|
d on tsiles pri s ta escrier	-⌫--⌫|-|--|---⌫-⌫||------|
etci l sesen ti rentsoupri s	-|--⌫|-|---⌫--⌫---|------⌫|
si ot mou ltdesl e ur morsetpri s	-|-|---⌫-|--|-⌫-⌫-|---|-|---⌫|
burinsifupris	-----||-|---|
maisrou ses fr ereest	---|--|--|--⌫--|--|
esc apé s	---⌫----⌫|
etli roissaiss i	-|-|---|-----⌫|
leurch ite	---|--⌫--|
etto li tout	-|--⌫-|---|
leurhirete	---|-----|
ro usetraistdeuierslamarin e	--⌫|-|-----|------|-|-----⌫|
yynesoten saissin e	-|--|-|-|-------⌫|
d e sa ge nt ta ntod luimen a	-⌫|-|--⌫-|--⌫-|-|--|---⌫|
q uetoutessesn esorden a	-⌫-|-----|--|-⌫-|-----⌫|
sipa ssaenli sl edeeskance	-|--⌫--|-||-⌫--⌫|-|------|
p lainsdanui et de g rant po isance	-⌫----||---|-|-|-⌫---|--⌫-----|
de sonf rerecon	-|--|-⌫---||-|
l iot mort	-⌫|-|---|
en celislefuplains	-|--|---|-|-----|
lauenoient sihome al ui	-|-------|-|---||-⌫-|
unenui tiert en dor misons	--|---⌫|---|-|---⌫-----|
sili uintuneauissions	-|-|---|--|--------|
quil senaloitpour	-|-||-|----|---|
fairegu ierre	----|--⌫----|
sorlesen glo isenen g l etiere	--|--|--⌫---⌫-|-|--⌫-⌫-⌫-----|
l endem ainquistt outson ator	|-----⌫--|----|-⌫--|--|---|
et sigla yynuiset	-|----|-|---|-|
tan tq uen engletiere a riua	---⌫--⌫|-|---------|-⌫---|
amoultgrantpais iestrei	|----|----|---|-----||
mais liengl ois lesasalirent	---|-|----⌫--|--|--------|
etrouetsa gen tlesuenquiren t	-|--|-|-|---⌫|--|---------⌫|
y yfoisifurentdes con fi	-⌫|---||-----|---⌫---⌫-|
quantrou lesotu encusensi	----|--|--|-|-⌫----|---|
pourpensa qu il feroit	--------|-|-|-----|
uensa ti ere	|-|-|--⌫--|
re pair roit	--⌫----⌫---|
uil c onquerroitengletiere	|-|-⌫---------|---------|
f ranceen ir oit conqu err e	-⌫----|-|--⌫--|-----⌫---⌫|
en celpenses e ndormiro u	-|--|----||-⌫-----|--⌫|
etquan t il	-|----⌫|-|
ot dormi zz pou	-|----|-|--|
sili fuau i ssans	-|-|-|--⌫-⌫|---|
kilertsor zzhaut mont	|-|--|--|-|---|---|
et lasourdoit u nefontainne	-|-|-------|-⌫-|--------|
quinestoitor dene	--||-----|--⌫-|-|
enlafontainne	-|-|--------|
etd ellepre sigu arisso it	-|-⌫-|----|||--⌫------⌫-|
pui s ueoitgrantplen te	---⌫|----|----|----⌫-|
dois i aus	|---⌫-⌫--|
parto t celmontdiuiersetbiaus	--|--⌫|--|---|------|-|----|
mieruelles	---------|
q uar toutese stoi entuiermelles	-⌫--|-----|-⌫----⌫--|---------|
lorsenies treseles uo lables	--|------⌫---|---|--⌫-----|
otdautressanl au les	-||-----|----⌫--⌫--|
uerdes indesi aunes	-----|----|-⌫----|
et p ier ses	-|-⌫---⌫--|
noiresetmou ltd	-----|-|---⌫-||
autresdiuierses	-----|--------|
etuenoient	-|-------|
toutauolant	---|------|
ualo rpiestoutli a uquant	||--⌫|---|---|-|-⌫-----|
si bagnoient	-|--------|
en la fontainne	-|-|--------|
apr iessans faire	---⌫--|---|----|
n ule painne	-⌫--|-----|
ma ng oientensamble par non	--⌫--⌫----|-------|--|--|
fais o ien tdenuiron	----⌫-⌫---⌫||------|
l amontag necascunsso nnit	-⌫|------⌫-|------|--⌫|--|
p arson congie tetp a rs on	-⌫-|--|------⌫|-|-⌫-⌫|-⌫-|
lendemaincestsongeconta	|-------|---|----|----|
et uns englois	-|--|------|
bi enlascot a	--⌫-||-----⌫|
quil tenoi t l acomme prison	-|-|-----⌫|-⌫|----|-----|
silide s ponstsauis sion	-|-|--⌫-⌫----|-|---⌫---|
etdistsirelimonsdefranc e	-|---|---|-|---|-|-----⌫|
sourq uiuousestiés sansdout anc e	---|-⌫-|---|------|---|----⌫---⌫|
cest sai ntegliseu oirement	|--|---⌫--|----|-⌫-------|
decouneuous d outés	-|--|-|---|-⌫-----|
fonta inne cestb atesmes	-----⌫---||--|-⌫------|
c estlioil eset	|--|-|---⌫-|-|
s estlicresmes	|--|-|------|
don tuousiseréspresignie ́s	---⌫|---||-----|---------⌫-|
crestien é setba ptiss ie ́s	--------⌫--⌫|-|--⌫-----⌫--⌫-|
eles deces oiss iaus	---|-|--|----⌫---|
i ueistessibiaus	|------|-|----|
ki lesel esorentdiuierse s	-|--|--⌫-|----|--------⌫|
aseniestrerougeset pierses	|--------|-----|-|------|
i ausnesnoiresindesetblances	-⌫-----|-----|----|-|------|
etdemaintesautressanblances	-|-|------|-----|---------|
sontceualierpreutethonniestre	---|-------|----|-|---------|
quip ortentescus a	--|-⌫-----|----||
senie stre	-----⌫---|
kison tde diu ierseman iere	-|---⌫|-|---⌫----|---⌫---|
et li le s pr escem	-|-|--⌫-⌫--⌫-|-||
es tauiere	--⌫|-----|
cesont lifo ns uuouss erés	-|---|-|--⌫-||---|-⌫----|
quantlebaptesmepris arés	----|-|-------|---|----|
etli oissi elki se bagnoient	-|-|-----⌫-|-|-|--------|
ci l ki tout en samblemangoient	--⌫|-|---|--⌫-----|--------|
cestli grans peules depaiens	|--|-|----|-----|-|-----|
kiparuo us ser a crestii ens	-|--|--⌫-|---⌫|-------⌫--|
di ta ntque lioi ssiel	|-⌫--⌫-|--|-|--⌫----|
faisoien t	--------⌫|
quantlamontagne auironnoient	----|-|-------|-----------|
sont po ur uoir	---|--⌫-|---|
les glisesgastees	--|-----|------|
quiparuousi e rent restoree s	--|--|---|-⌫-⌫---|--------⌫|
et cou qu ilseuontr eposan t	-|--|-|-|-|---|-⌫------⌫|
auoditetauo c oumant	|-|--|-||-|-⌫-----|
sontli home	---|-|---|
parueri te	--|----⌫-|
quidemaint estragneregne	--|-|----|-------|----|
sero ntauous obeis sant	----⌫-||---|-----⌫---|
et sieruir ontdorenauant	-|-------⌫--|---------|
quantrouoilademonstrance	----|--|-|-|-----------|
delsonge et lasenefianc e	--|----|-|-|---------⌫|
lepris o ntotquitec lama	-|----⌫-⌫|--|----|-⌫---|
etpourluiseul si de l iu ra	-|---|--|---|-|--⌫-⌫--⌫-|
il auoitpris	-|----|---|
quar preus	---|----|
bi en apris	--⌫-|----|
lo rs s en alarouuiers durialm e	--⌫-||-|--|--|----|-------⌫|
lasiparlaalroi	-|-|----|-|--|
qui lip roumistfoitetamour	--|-|-⌫------|---|-|----|
soucorse t forc e s ansclamour	------|-⌫|----⌫|-⌫--|------|
ensimisenta	---|-----||
paisl orgierre	---|-⌫-|-----|
rou so uio urnae n engle t i ere	--|--⌫---⌫---|-⌫|-----⌫-⌫-⌫--|
tout liuier etalt a nsdeste	---||----|-|-|-⌫-⌫-||---|
sias ona faire	-||-⌫-|-⌫----|
en mers emistadroite	-|--|-⌫|---||-----|
maiso res leuaett ormente	---|-⌫--|---|-|-⌫------|
si gransetsipiesmeetsi f ors	-|----|-|-|-----|-|-|-⌫--|
kilne pore nt	|-|-|----⌫-|
uen ir aspors	---⌫-|-|---|
ains p erdirentl eurgouuiernaus	---|-⌫-------|-⌫--|----------|
s igieterent f ors	-⌫|--------|-⌫--|
le urceuaus	--⌫-|-----|
loruoiles et lormastrencie rent	--|-----|-|--|--|-------⌫---|
q uantdelatieres eslongiere nt	-⌫---|-|-|----||----------⌫-|
etr om p u furenttotlorkable	-|-⌫--⌫-⌫|-----|--|--|----|
tout cou fais oie ntlideable	---|--|----⌫---⌫-|-|-----|
pourcouke r ou	---|--|-|-⌫-|
et s a mesnie	-|-⌫|-----|
p artoient d eleur compagnie	-⌫-------|-⌫|---|--------|
e t roufist adieu	-⌫|--|---||---|
a usifisentsi	-⌫--|-----|-|
tant ost latorm ent eciesa	----⌫--|-|----⌫---⌫|----|
rou droitenwalcresariua	--|----|-|------|----|
roisantiau mesquant il le sot	---|------⌫--|----|-|-|--|
d engletierecom il ainspot	|---------|--|-|---|--|
lienuoianesetde n ie rs	-|-----|--|-|--⌫-⌫--⌫-|
etuiandes et ceualiers	-|------|-|--------|
maiswalcrois quigentorent pau	---|-------|--|---|----|--|
man deren t lecon teen	---⌫-----⌫|-|---⌫-|-|
renierlon c col	-----|---⌫|--|
toutparde uise	---|--|--⌫---|
etra debot leducde frisse	-|--⌫----|-|--|-|-----|
siesmurr ent uie rsroula	-|------⌫--|---⌫-|--|-|
pourlu ia gieter de latierre	---|--⌫||-----|-|-|-----|
m a is roua	-⌫-⌫-|--||
a us s eco mbati	-⌫-|-⌫|--⌫----|
s i com dieup lo t siles	-⌫|--|---|-⌫--⌫|-|--|
pui sars tla tiere	---⌫|---⌫|-|----|
etexi ll a	-|---⌫--⌫|
et toute frisseleurfoul a	-|----|-----|---|----⌫|
apries parmihainausem ist	-----|----|-----|-|-⌫--|
latier earst etleco nt epr ist	-|----⌫|---|-|-|--⌫--⌫|--⌫--|
comcilquitouta uoirgoulouse	--|--|--|---|-⌫---|-------|
maisc ompagnons iperdi yy	---|-⌫--------||----|-|
que lafemealconte renier	--|-|---|-|----|-----|
l i uott ou s quit es	-⌫|--|-⌫--⌫|----⌫-|
p our sonbarontant se ulement	-⌫--|--|----|---|--⌫------|
maisrouneluot faire nient	---|--|-||--|----|----|
demandato u t p arnon	------|--⌫-⌫|-⌫-|--|
parquitance de	--|-------|-|
desat ie r etout	-|-|-⌫--⌫-⌫|---|
etplus sele pooitenkor	-|---||--|----|----|
uil leferoitpendrealuent	|-|-|-----|-----|-|---|
cele a ma son sig n orforment	---|-⌫-|--|---⌫-⌫-|------|
siliotria son	-|-|----|--|
pourson marit	---|--|----|
quite rauoir	----|-----|
e tquantr ou s ot c iertainnemen t	-⌫|----|-⌫-|-⌫-|-⌫------------⌫|
quecelel amoits i	--|---||----|-⌫|
l e syyparsdesa raencon	-⌫-⌫|-|---|-|-|------|
li clamaquitesen son non	-|----|-----|-|--|--|
la damelefistuolentiers	-|---|-|---|---------|
sifu quites l iquensr en ier	-|-|-----|-⌫|----|-⌫--⌫--|
et sio t rou sescompagnons	-|-|-⌫|--|--|---------|
tousdeliuré s sa ns raencons	---|--------⌫|--⌫-|-------|
etrouser em istala	-|--|-|-⌫--⌫--||-|
onques neciessade	-----|-|-----|-|
ta ntk i l semis t parm er ensainn e	--⌫--|-⌫|-|---⌫|--|-⌫-|-|-----⌫|
n ormend ie misten grant painne	-⌫------⌫-|---|-|----|-----|
agumeg esuin todsa g ent	|-----⌫-|---⌫|-|-|-⌫--|
assesiprist oretargent	----||----|-|-|-----|
e tto ut e la	-⌫|--⌫--⌫|-|
tiereconquist	----|-------|
au tr epa rtla ig ues	--⌫--⌫|--⌫-||-⌫--⌫-||
u n eui rgenesainte	-⌫-⌫|--⌫----|-----|
ki de bretagne	-|-|-------|
kil otguas t eeen sonueni r	|-|-|----⌫-⌫-|-|--|----⌫|
lale fistr ou maitreetguerpir	-|-|---|-⌫-|-----|-|------|
enune capiele	-|--|------|
quilnorentmi emiseaflame	-|-||----|--⌫|---||----|
alaaru emtou tdroit	--||--⌫-|---⌫|----|
a g rant esploit	|-⌫---|------|
moustier aamartin	-------|-|-----|
agrant genteta grant	|----|---|-||----|
ma is larce uesques	--⌫-||----⌫------|
fra nke uint	---⌫--|---|
aluiparpa isetsiretint	|--|--|--⌫-|-|-|-----|
l a citeen sa tens erie	-⌫|---|-|-|----⌫---|
sans fairenulet recerie	---|----|---|-⌫------|
puismontasainneet	---|----|-----|-|
comceualierspreuse t aida ns	--|--------|----|-⌫|----⌫-|
e tlafis tune	-⌫|-|---⌫|--|
mo te faire	--⌫-|----|
u ilpeuistauoi rrepair e	|-|-----|----⌫|------⌫|
quant c harles lisim p le s oi	----|-⌫-----|-|---⌫-⌫--⌫|-|
lanouuielepas	-|-------|--|
pour couq uer ousourlui	---|--|-⌫-|-⌫-|---|--|
mou tce lenouuiele	---⌫|--⌫-|-------|
pai ensotesté	---⌫--|-|----|
qui ilau o ita ssesdouné	--|-|--⌫-⌫-|-⌫---|-----|
poursau oirlor ie stre	---|---⌫--|--|--⌫---|
neque lge ntilpooient	-|---⌫|--⌫-|-|------|
kil uo loient etqu	|-|--⌫-----|-|-|
ilque roien t	-|---⌫-----⌫|
kisa ti ere e nsipo ur prendroient	-|-|--⌫--|-⌫--|--⌫--⌫----------|
hasten si uintsi d emanda	------⌫||---|-|-⌫-----|
tout ensi c onlico umanda	---|---||-|-|--⌫-----|
rou l i distquepa ienestoient	--|-⌫|---|--|--⌫--|-------|
nautre signor	|----|-----|
n auoie nt	|-----⌫-|
et siuoloie ntfrancement	-|-|------⌫-|---------|
aq u erretout	--⌫-⌫---|---|
lo rt eneme nt	--⌫|-⌫-----⌫-|
et hastenslia demand é	-|------|-||------⌫-|
se iluolaitt out p arson	-|-|-----|-⌫--|-⌫-|--|
al roi defranceestresoug is	-|--|-|-----|----|----⌫-|
qui latiere ier tet lipais	--|-|----|---⌫|-|-|---|
rou re sp ondimoult	--|--⌫--⌫---|----|
q ue ianeltenroita usement	-⌫-|-|-||------|-⌫------|
hastens ariereretourna	------|-----|-------|
azzcon terenaus otnon	|-|---⌫-|-----|-|--|
mainto utle roi o n	---|--⌫-|-|---⌫-⌫|
de p a r lero i etsiuenoit	-|-⌫-⌫|-|--⌫|-|-|-----|
aroucombatreseuoloit	|--|-------|-|-----|
motee n e stuen us	---|-⌫|-⌫-|---⌫-|
com bati soisi fu uencus	---⌫---|--|-|-|-----|
unssiergansquirol lansotnon	--|-------|--|---⌫---|-|--|
dedens la mote	-----|-|---|
ena ba n do n	-|-⌫--⌫-⌫--⌫|
semist en tr aus sifu	-|---|--⌫-|--|-|-|
et mou lt d autr esi otmalmis	-|---⌫-||----⌫-||-|-----|
etcilrollansotdita nc o is	-|--|------|-|--|-⌫--⌫-⌫-|
ahastenc toutparson	|------|---|--|--|
queildeslooit labataille	--|-|-------|-|-------|
po urcou queiago upius	--⌫-|--|--|-|--⌫----|
sansf aille	---|-⌫----|
n es eroitprisdautre g oupil	-⌫|-⌫----|---||----|-⌫----|
neleusparleumis a	-|---|--|--|--||
renau sdescomf isenala	-----⌫|-------⌫-|-|--|
ro utoutlepaisexilla	--⌫|---|-|---|-----|
dro it ameu llentlaconsui	---⌫-||---⌫----|||-----|
ren auto cistlebour c saisi	---⌫--|-⌫---|-|----⌫|----|
arue menral aso uiour ner	|---⌫|-|---⌫|--⌫-----⌫--|
etfis tbiens amoteatorner	-|---⌫|---|-⌫|---|------|
eta p riescou petitdetens	-|-⌫-⌫---|--|----|-|---|
siuendic artrescil hastens	-|----|-⌫-----|--|------|
moultd auoir alcontetieba ut	----||----|-|----|-----⌫-|
quis enfist	--||-|---|
moult ioio us etbaut	----|----⌫-|-|---|
io uuosd is	--⌫|--|-⌫-|
orend roit	-----⌫---|
dontpr i mes sisen	---|--⌫-⌫--|-||-|
ha stenspar	--⌫----|--|
me r en e ngletierre	--⌫|-|-⌫---------|
maisilnifistforce ne	---|-|||---|----|-|
et puiss en re u intpa rmifrise	-|---||-|--⌫-⌫--|--⌫--|----|
ulamorsfi stdeluiiustice	|-|---|--⌫-|-|--|------|
roudonquesaruemseio rn a	--|------||---|----⌫--⌫|
toutlepaisi	---|-|---||
etbaioes a pri escon quist	-|-----|-⌫---⌫-|---⌫----|
u nepucielededens prist	-⌫-|------|-----|----|
popeotn on n iotkensi gni er	---|-|-⌫-|||-||----⌫---⌫-|
fil l e ert a lconte biere ngier	---⌫-⌫|--|-⌫|----|-----⌫----|
unefilleet yy fiusenot	--|----|-|-|---|-|-|
guilla ume robiert etgerlot	------⌫--|------|-|-----|
m oultf u biele ce le et moult	-⌫---|-⌫|----|--⌫-|-|----|
apriesas ist	-----|--⌫--|
comilainspot	--|-|---|--|
rouparisetlesasailli	--|----|-|--|------|
etfor cesleurfailli	-|---⌫--|---|-----|
et d e ses homes les	-|-⌫|--|----|--|
plus preus	---|----|
fistrouceuaucieraeureus	---|--|--------||-----|
sidestruisentto ute lagent	-|----------|--⌫--|-|---|
prisentdr asc e uausetargent	------|--⌫-|-⌫-⌫---|-|-----|
lieu esquesebarotnon	-|--⌫-----|---|-|--|
s enescapa pa rsamaisson	|-|-----|--⌫|-|------|
etcil reuinrenta	-|--|--------||
uroulors ireestoit as is	|--|--|-⌫--|-----|--⌫-|
renuoia s esmes ages	------|-⌫-|---⌫---|
liroisantiaume scommesages	-|---|--------⌫|----|----|
d engletiere	|---------|
pourest auoir	---|---⌫----|
quar soucoursen u ol oit auo ir	---|-------|-|-⌫--⌫--|---⌫-|
li engloisqui si home estoient	-|------|--|-|---|-------|
malmené l auoient	-------||------|
r oulaiss a celsiege aparis	-⌫-|-----⌫|--|----||----|
i l etsa gen tsont	-⌫|-|-|---⌫||--|
l eroiantiaumesecouru	-⌫|--|-------|------|
tantquepartoutacordésfu	------|--|---|-------|-|
etli rois quan t sendiutpartir	-|-|---|----⌫||-|---|-----|
son regnemipa r tir	--|----|----⌫-⌫--|
maisrou fupreussinen ot	---|--|-|----|-||-|-|
aincseremi st en auentur e	---|-|----⌫-|-|-------⌫|
aruemparmilamerreuint	|---|----|-|--|-----|
rou li paiense t siegeitint	--|-|-----|-⌫|----||---|
auoi t iarefermee	----⌫|-|-------|
maisalquintiourlifut	---|-|----|---|-|--|
si trami stdesag entpar l o ire	-|-----⌫-|-|-|-⌫--|--|-⌫-⌫--|
toutco nquerreespoire	---|--⌫------|------|
etparmisain n e et par	-|----|----⌫-⌫|-|--|
pourtoutgastera	---|---|-----||
apari sagrantgent	|----⌫||----|---|
roul idanois	--|-⌫|-----|
et sie geitint	-|---⌫-||---|
etpui sala parmibourgogne	-|---⌫|--|----|--------|
pourmious acompl irsa	---|----|------⌫-|-|
amont yone tou tpa rse ns	----|---|---⌫|--⌫|--⌫-|
alerentet pui sasen s	------|-|---⌫||---⌫|
acler m ontasanblerent	|----⌫-⌫--|----------|
la tier eprisentetgasterent	-|----⌫|------|-|--------|
a aa benoitsaseg ierent	|-|-----||----⌫-----|
contremont laigu eselog ierent	---------||----⌫|-|---⌫-----|
ma i srouni	--⌫-⌫|--|||
lais arienf orfaire	----⌫|---|-⌫------|
quarlisa in sert	---|-|--⌫--⌫|--|
dehau t afai re	-|---⌫|----⌫-|
l es prisrou amener	-⌫-|---|---⌫|----|
puissenpartietuint a cartres	---||-|----|-|---||------|
uli dusricar ssei ou rnoit	|-|--|-----⌫|---⌫--⌫----|
etliquenst iebausie sto it	-|-|----|-⌫-----||-⌫---⌫-|
kilues ar ouse comba tirent	-|---||-⌫-|-|-----⌫-----|
dieu plot si lesuenquirent	---|---|-|--|---------|
quarliue squ estot reuestus	---|-|--⌫---⌫-|--|-------|
die usiloantque	---⌫|-|----|--|
neso t plus	-|--⌫|---|
uiersla bataille	----|-|-------|
de la ueraie croiss ansfaille	-|-|-----|----|-⌫--|-----|
et lac emisenostr edame	-|-|-⌫----|-----⌫|---|
senorentlipaien	|-|----|-|----|
qu ilen furent tout	-|-|-|-----|---|
desc on fi	----⌫--⌫-|
et r ou meismesauoec li	-|-⌫-|------|----|-|
s ifu sa g entdestr uite	-⌫|-|-|-⌫--|-----⌫---|
