qui peti tpetitkeut	--|----⌫|----|---|
boncheualierfu sanz dot an ce	--|--------|-|---|---⌫--⌫-|
maisiln esetn epoi	---|-|-⌫|--|-⌫|--|
darmes nedenula ltre rien	|----|-|-|--|-⌫---|---|
queneis teni r nesaurait	--|---|----⌫|-|------|
lesp ee se	|---⌫-|-|
beso ingaueit	----⌫--|----|
armé sorson cheu al	----|--|--|----⌫-|
ilenco ntreaucunuas sal	-|----⌫---|----|---⌫--|
son c h eualgaagnier	--|-⌫-⌫---|-------|
n eld oter aa mehaign ier	-⌫||-⌫----⌫||-------⌫--|
tos tmort ou mehaigni éla ura	---⌫|---|-|--------⌫-||-⌫--|
quedesf endrenes ens aura	--|----⌫----|-||-|-⌫---|
nicesetbaasteals	----|-|--------|
si naur atost	-||---⌫|---|
fait ses aueals	---|--|-----|
eissilir ei s	----|-|-⌫--⌫|
pleint e tregrete	-----|-⌫|------|
leuaslet e tfaitchie rema te	-|-----|-⌫|---|----⌫-|--⌫-|
mai sil n i pot	---⌫|-|||--|
rienconqu ester	---|-----⌫----|
parole ester	-----|----|
etliua slet san z nularest	-|-|--⌫---|---⌫|--|----|
uait cheua lcantpar	---|-----⌫----|--|
tantquas terre spleines	-----|-|-----⌫|------|
soruneriuiereq u i	--|--|------|-⌫-⌫|
de leplusd unearbales tee	-|-|---||--|-------⌫--|
et e steitprest de tote	-|-⌫----|----|-|---|
etr etr aiteensoncon duit	-|-⌫---⌫---|-|--|---⌫---|
enuerslariuierequibruit	-----|-|------|--|----|
senuatote la praerie	|-|-|---|-|------|
maisenleu e nentrailmie	---|-||--⌫||----|-|--|
qu illaueitmout parfo n de	-|-|-|---|---|-----⌫-⌫-|
et plusasse zcorant que leire	-|---|----⌫|-----|--|----|
si senuapar so lonc	-||-|-|--|--⌫---|
lezunegrantrochenaiue	--|--|----|----|----|
loncesteit	---|-----|
sique leue au	-|--||--|-|
pielibateit	--|-|-----|
sorceleroche	--|---|----|
enun pendan t	-|-|------⌫|
quiuersmerdes cendan t	--|---|--|---⌫------⌫|
out unchastel	--|-|------|
moutricheet fo rt	---|----|-|--⌫-|
eue alotaure gort	--|---|-|--⌫---|
tornaleuasleta	----|-|-----||
etuit lesto rs delchastel	-|--|--|--⌫-|--|------|
quaui s li	-|---⌫|-|
fuq uele sna soien t	-|-⌫|---⌫|--⌫-----⌫|
forsdela roch es en	---|-|-|----⌫||-|
enmielechastelen estant	----|-|------|-|-----|
out unetoret	--|--|--|-|
fortetgrant	---|-|----|
unebarbecenemoutf or t	--|--------|---|-⌫--⌫|
aueittorneeue rsle gort	----|-----|--⌫-|-|---|
lamerse c ombate i t	-|--|-|-⌫------⌫-⌫|
aquatre parties de lmur	|-----|------|--⌫|--|
dunli quarel esteientdu r	--|-|-----|-------|--⌫|
a ueitquatre bassestorelles	-⌫---|-----|-----|-------|
quimo u testeientforz etb el es	--|--⌫-⌫|-------|---|-|-⌫--⌫-|
lichastel fumoutbien	-|------|-|---|---|
etmo utaiesie z pardedanz	-|--⌫-|------⌫|--|-----|
deuantle chastelet roont	-----|-|--------|----|
ootsorl eued recié	--|--||--|-⌫-----|
d epireetd	-⌫|---|-||
ateise et de chau z	-----|-|-|----⌫|
li po nteste i tmou tfort	-|--⌫-|----⌫-⌫|---⌫|---|
etbataillié trestozento r	-|---------|------|----⌫|
pont out unetor	---|--|--|--|
e tdeuant un po n ttorneiz	-⌫|-----|-|--⌫-⌫|------|
quiest ei t f aiz et establiz	--|---⌫--⌫|-⌫--|-|-------|
acequeladreitur eaporte	|-|--|-|-------⌫|-----|
leio r est pontetlanuit porte	-|--⌫|--|---|-|-|---|----|
liuaslet u ers lepontchemine	-|-----|-⌫--|-|---|------|
uestu dune r obe d	----||--|-⌫--||
salo tun pro dom esbat ant	|---⌫|-|---⌫--|-----⌫--|
par de s orlepontetsi at ant	--|--⌫-⌫-|-|---|-|-|--⌫--|
celuiquiuersl epont ue neit	----|--|---|-⌫|---|--⌫---|
en samai n teneit	-|-|---⌫|-----|
parconten anceunbastonnet	--|------⌫---|-|--------|
apr es lui furentduiuaslet	---⌫-|--|-----|--|-----|
trestozdeses armesue stuz	------|-|--|----|--⌫---|
cel quiuienta bienret enu	--|--|----||---|---⌫--|
saluaetd is t	----|-|-⌫--⌫|
s irecemen seignam a m ere	-⌫--|-||--⌫-----|-⌫|-⌫--|
dexte be neiebel	--|-|--⌫---|--|
l ipro do m	-⌫|---⌫--⌫|
quinices leset	--|----|-|--|
aup arlerle nt entbieneto t	-|-⌫----||-⌫--⌫--|---|-|-⌫|
et dist bel freredonuie nst u	-|---|--|----|--|---⌫-|-⌫|
donc dela cort	---|-|-|---|
que fei sch eualie r	--|---⌫|--⌫------⌫|
li r ei sq uibo neaue nt ure ait	-|-⌫--⌫|-⌫-|--⌫-|---⌫--⌫--|--|
cheu aliersedeu	----⌫----|-|--|
bienme doi nst	---|-|---⌫--|
ne quidoiequenicestpo int	-|------|-|-|----|--⌫--|
chose li souen is t	----|-|-----⌫--⌫|
delquidoiequ illitenist	|-|------|-|-|-|-----|
alreiqu echeualier	-|--|--⌫|--------|
di frere debonair e	-|----|--------⌫|
cesarmesqui leste	--|----|--|--|-|
li reis fa it illesmedona	-|---|--⌫-|-|--|-|---|
d ona co mment	-⌫--|--⌫----|
et illi conte	-|-|-|----|
sicomoilauezleconte	-|--|-||---|-|----|
quiautrefeizlecontereit	--|----|---|-|--------|
enui z etoi ssosesere it	----⌫|-|--⌫----|----⌫-|
conte deco namande	----|-|-||-----|
e tliprodom	-⌫|-|-----|
liredemande	-|--------|
fairedeson	----|-|--|
ielcor bienamo nt et	-||--|---|---⌫-|-|
totautres i com iocoroie	--|------⌫|--|-|-----|
le chaceor	-|------|
que i eauoie	--|-⌫|----|
q uenlama ison mamerepris	-⌫|-|-|--⌫---|-|---|---|
etdeuoz arme sbelamis	-|-|--|----⌫|--|---|
mered itesqu en	-|---⌫---|-|-|
sauezfaire	----|----|
iensai bien estere tretraire	-||--|---|----|-⌫|-------|
si com li u a sletm en arma	-|--|-|-⌫-⌫---||-|---|
quiueiantmeiendesarma	--|-----|--|-|------|
celui quienauei emor t	----|-||-|----⌫|---⌫|
eissilegierem entles p ort	----|--------⌫--|--|-⌫--|
ne mes grieuentde rien	-|--|-------|-|---|
simaitdexc oprisiobien	-||--|--|-⌫|---|-|---|
faitliprodomet m out	---|-|-----|-|-⌫--|
ormeditessilneuosgriet	-|-|----||-|-|--|----|
quelbe soingu os	---|--⌫----|-⌫-|
sire mameremenseigna	---|-|---||-------|
lesprodomesala s se	--|-------|---⌫-⌫-|
et que aelsmeconsei ll a sse	-|--||--|-|------⌫--⌫-⌫--|
sicreiseco q ue els d ir eient	-|-----|-|-⌫-|--|-⌫--⌫----|
qu er prou iont	--⌫-|---||--|
celsquiles	---|--|--|
etli prodom respo nt	-|-|-----|-----⌫-|
beneit es oituostremere	------⌫|-⌫--|-----|---|
queleuos conseillabien	-|--|--|--------|---|
maisuol ezm oiplusdirerien	---|---⌫-|-⌫-|---|---|---|
o il et queita ntetnen mes	-⌫-|-|---|--⌫-|-|--|--|
queuos meher b ergiezimes	--|--|-|---⌫-⌫-----|---|
moutuol entiersfait lipro dom	---|---⌫------|---|-|---⌫--|
maisuosmotroereizund o n	---|--||--------|-|-⌫-⌫|
dongra ntbienueniruosuerr e z	--|---⌫-|---|----|--|----⌫-⌫|
etquei fait	-|---|---|
il queuoscreez	-|--|--|----|
leconseil uostre mereet mei	-|------|-----|---|-|--|
parfe i faitiletiolotrei	--|--⌫|---|-|-|-||----|
dondes cendezetci ldesc ent	--|---⌫-----|-|--⌫|----⌫--|
unsdes uaslez s onc heual prent	--|--|-----|-⌫-|-⌫----|----|
qui fur ent uenula	--|---⌫--|---|-|
etli autr e	-|-|----⌫|
si rem e sten larobe sote	-|---⌫-⌫-|-|-|---|---|
e sreuelins e tenla coste	-⌫|-------|-⌫|-|-|----|
decerf m alf aite etmaltaillie	-|---|-⌫---⌫---|-|---------|
q u esamerelioutba i llie	-⌫-⌫|-|---|-|--|--⌫-⌫---|
et liprodon sefis t chauc ier	-|-|-----|-|---⌫|-----⌫--|
ses esperonstrenc hantdacier	--|-------|-----⌫---||----|
que leuasletotaportez	--|-|-----|-|------|
siestsorle cheual montét	-|--|--|-|-----|------|
etlescu parla guige pen t	-||---|--|-|----|---⌫|
ason coletlalanceprent	|--|--|-|-|----|----|
et dist a mi sora prenez	-|---|-⌫--⌫|-|-⌫-----|
darmesetgard euos donez	|----|-|----⌫|--|----|
comment l endeit	------|-⌫-|---|
lan ce tenir	---⌫-|----|
son che ual poindreetr etenir	--|---⌫--|------|-|-⌫-----|
lors a des pleiele nseigne	---||---⌫----||-⌫------|
sila prentetl enseigne	-|-|----|-||-------|
comenton deit	-----|-|---|
so nescuprendre	--⌫|---|------|
unpetit lefaitauan tpendre	-|----|-|---|----⌫|-----|
siqualc ol	-|-|-|-⌫-|
de lch euals e iont	--⌫|--⌫---|-⌫|---|
puismetlalanc eelfiltreetpoint	---|--|-|----⌫|-|-----|-|----|
lecheualqui yy	-|-----|--|-|
marsualeit	---|-----|
qu euospl usuolentiers naleit	--⌫|--|--⌫-|---------||----|
plustostne de	---|---|-|-|
meilloruertu	------|----|
l iprodonsotmout de l escu	-⌫|-----|--|---|-||---|
etdel ceualet de la	-|--|----|-|-|-|
queil outcom prisdes esfan ce	--|-|--|---⌫---|--|-----⌫-|
si plot moutaluasletets ist	-|---|---|-|-----|-|-⌫--|
to tquantq ue liprodomefist	--⌫|------⌫-|-|------|---|
quantiloutfaittost	----|-|--|---|---|
deua ntleua sletbien	----⌫-|-|--⌫---|---|
senfugard edonee	|-|-|----⌫|----|
si senreuien t	-||-|------⌫|
lance leuee	----|----|
aluasle tet	-|-----⌫|-|
deman deli	-----⌫-|-|
amissauriez uoseissi	---|------|--|----|
la lancee t lescu	-|----|-⌫||---|
et le cheualpoindree t	-|-|-----|------|-⌫|
etcil dit quetot a deliure	-|--|--|--|--||------|
ne querreitia	-|-------|-|
uniorplus u iure	-|--|---|-⌫---|
neterren eaueirn	-|----|-⌫|----||
maisaltresifaireseust	---|------|----|----|
co q u en setpoetonaprendre	-|-⌫|-|--|---|-|-------|
quiiueltpener	--||---|----|
ee ntend re	|-⌫-----⌫-|
dis tl iprodombiau s	---⌫|-⌫|-----|----⌫|
a mischiers	-⌫--|-----|
ilcouient a	-|------||
trestozmestiers	------|-------|
etcoeretp oine	-|---|-|-⌫---|
parc estyypuetlon s aue ir m ou t	--|-⌫--|-|---|--|-⌫---⌫-|-⌫--⌫|
et quantuo s onques nel feis tes	-|----|--⌫|-----|-||----⌫--|
nealtrefairenelueistes	-|----|----|-||------|
se uosfaire ne	-|--|----|-|
ho nte neb lasmeni auez	--⌫--|-|-⌫----|||---|
lor slifist liprodommonter	---⌫|-|---|-|-----|-----|
siadreitl alanceet	-||----|-⌫|----|-|
comileust tot	--|-|---|--|
encortornoiementne enguere	----|----------|-|-|----|
et alé pa rtrestotet e rres	-|---|--⌫|-------|-⌫-⌫---|
querran t batailleetauenture	-------⌫|-------|-|-------|
queril liueneitdena t ure	---|-|-|-----|-|--⌫-⌫--|
etquant nature l i	-|----|-----|-⌫|
etli coerdel totl ien ten t	-|-|---|--|--|||--⌫---⌫|
neli pot es tre riengreuaine	-|-|--|--⌫--|---|-------|
laounaterreet coeret	-|-|||----|-|---|-|
bienlafait	---|||---|
queaupr odomemoutd es p let	--|-|--⌫----|---|-⌫--⌫-⌫--|
aquil diseit en	|-|-|-----|-|
son corage	--|-----|
il s efusttotsoncoraige	-|-⌫|---|--|--|------|
d armespenezet trauailliez	|----|----|-|----------|
ap ri s ass e z	--⌫--⌫|---⌫-⌫|
quantliuasleta prisson tor	----|-|-----||---|--|--|
deu antliprodomal re tor	---⌫--|-|-----|-|--⌫--|
lance leuee	----|----|
sen repaire	|-|------|
si com ili outueufaire	-|--|-||--|--|----|
e tditsireai i eb ien	-⌫|--|---|-|-⌫|-⌫--|
quidezque iamestier	-----|--|-|------|
peine seia me tr e l iu oil	----|-|-|--⌫--⌫|||-⌫--|
unquesriennenuirentmioil	-----|---||-|-----|-|--|
donciosigrantc riemeeusse	---|-|-|----|-⌫----|----|
moutuoldreie q ue ienseusse	---|-------|-⌫-||-|-----|
autretantcom uosens aura	--------|--|--|-|-⌫---|
faitli pro domuosne sau ez	---|-|---⌫--|--|-|---⌫-|
li prod ompartreisfeizmonta	-|----⌫-|--|----|---|----|
etp a r treisfe izd armeslimostra	-|-⌫-⌫|----|--⌫-||----|-|-----|
quanqueo nquesmestierli	------|-⌫----|------|-|
etquantasezm ostréle not	-|----|---|-⌫-----||-⌫|-|
p a r treisfeizm onter	-⌫-⌫|----|---|-⌫----|
lade srain elid it	-|--⌫-----⌫|-|-⌫-|
a m isseuose ncontriez	-⌫-⌫-|-|--|-⌫--------|
u ncheualierque fer iez	-⌫|--------|--|---⌫--|
sil uoz fereit	|-|--|-----|
ie lr eferroie	-||-⌫-------|
etseuostrelancepec oi e	-|-|-----|----|---⌫--⌫|
ap resce n	--⌫--|-||
i aureitilplus	|-----|-|---|
mai s asponzlicoroie sus	---⌫|-|---|-|-----|--|
am iscen e	--⌫-|-|-⌫|
ferei zuosmie	-----⌫|--|--|
doncparescremie	---|--|-------|
del es peel e deiz requerre	-||--⌫--|-⌫|---|-------|
lorsfichede uant luienterre	---|----|--⌫---|--|-|----|
lala nceenesta nt	-|--⌫--|-|----⌫-|
tote dreite	---|-----|
liprodomquimout le	-|-----|--|---|-|
darmesen s eignieret	|----|--⌫-⌫------|-|
queil sac ebiend esfandre	--|-|---⌫|---|-⌫-------|
del esp eesenl en re quiert	-||---⌫-||-||-|--⌫-----|
etenuai r quant lieus	-|-----⌫|----|----|
puisamaina lespee	---||---|||----|
amisfait ile ni tel	---|---|-|-⌫|-⌫--|
uosdesfendrez sen	--|---------||-|
de cedistil dexme s a lt	-|-|---|-|--|-|-⌫-⌫-|
n esetnushome	-⌫|--|--|---|
asborreau setas	-|-------⌫|-|-|
chiesmamerean apris asez	----|-|---|-|----|---|
tantquesouent en fuilasse z	------|-----|-|--|-----⌫|
doncalon hui mesal ost el	---|---|--|--|||---⌫-|
di stliprodomd onc nia	--⌫-|-|-----|-⌫--||||
et uosau reiz quilquil enuit	-|--|--⌫---|-----|-|----|
ostelsanzuilan iean uit	----|---|-----⌫-|--⌫--|
lor ssen uontand ui costea coste	---⌫||-|---|---⌫-|----||----|
etli uasletdita son	-|-|-----|--||--|
sirem a mer em ens e igna	---|-⌫|---⌫||---⌫-⌫---|
necompaig n ieuluineus se	-|-------⌫-⌫-||--||---⌫-|
grantment queso nn on	--------|--|--⌫|-⌫-|
n eseuss e	-⌫|-----⌫|
ice menseigna asaueir	--||-------||-----|
louostre nonsaueir	-|-----|--|-----|
faitseilparle	---|-|-|--|-|
mi engre uon	--⌫-|---⌫--|
gornemanz degroazaino n	--------|-|----|-|--⌫|
lostel a nd ossenuie nent	|----|-⌫--⌫-||-|---⌫---|
amainan dui setienent	|---|--⌫--|-|------|
alamon teed	|-|---⌫--||
ua slettot desongre	--⌫---|--|-|--|--|
quiapo rtau nman tel c o rt	--|---⌫--|-⌫|---⌫--|-⌫-⌫-|
le uasletafubler	-|-----|------|
qu ap res le	-|--⌫--|-|
chalt ne li	----|-|-|
freid urequimallifeist	-----⌫--|--|--|-|----|
riche maison	----|-----|
etb eletgr ant	-|-⌫-|-|--⌫--|
outlipr odom etbeles	--|-|--⌫---|-|----|
etli maingierf u	-|-|-------|-⌫|
etbiauset bonsfu aprest ez	-|----|-|---|-|------⌫-|
silauerentli	-|-------|-|
puissiasi strenta lmaingie r	---|-|---⌫-----|-⌫|-------⌫|
etlipr odom lezluiasis t	-|-|--⌫---|--|--|----⌫|
l euaslet etmangier lef ist	-⌫|-----|-|------|-|-⌫--|
a ueclui enuneesc uele	-⌫--|--|-|--|---⌫---|
desmesn efaz	--|--|-⌫|--|
alt reno uele	---⌫-|--⌫---|
quant eniot ne	----|-||-|-|
quelsil furent	----|-|-----|
ma is assezma ingi er ent	--⌫-|----|--⌫----⌫--⌫--|
d elm a ingiernefazaltrefab le	-⌫-|-⌫-⌫-----|-|--|----|---⌫-|
quan tleué furent delat able	----⌫|----|-----|-|-|-⌫---|
lipro domqu i mout	-|---⌫--|--⌫|---|
f ucort eis	-⌫|----⌫--|
preiaded emore run meis	----|-|-⌫-----⌫|-|---|
le uaslet quidelezluisist	-|-----|--|----|--|---|
un antotplein seiluo lsi st	-|-|--|----|-|-|--⌫---⌫-|
leretenistil uolentiers	-|-------|-|---------|
si aprei stendementiers	-|-----⌫-|-----------|
t e lschosese il li	-⌫-⌫-|----|-|-|-|
que ostetb esoinglieut	--|--|-|-⌫-----|-|--|
etliuasl etre spon t apres	-|-|----⌫-|--⌫----⌫|----|
sirenesaise	---|-|--|-|
i os uipres	-⌫|-⌫-|---|
delmane ir ouma	--|----⌫-|-|-|
mere m aint	---|-⌫---|
ma isioprideuqu a	--⌫-|-|--|--|-||
lapuisse ueeir	-|-----|----|
quepasm eelau i chaair	--|----⌫-|-|-⌫|-----|
alchiefdelpon td euantla	-|----|--|---⌫|-⌫----|-|
ne sa ise lees t ou uiueo u	-|--⌫||-⌫-|--⌫|-|---|-⌫|
de d oldemeiquila	-|-⌫-|-|--|--|-|
c haipasmeebienlesai	-⌫--|-----|---|-|--|
e tpor iconepoet pasest re	-⌫|--|--|-|---|--|---⌫-|
deuantcoquesace son estre	-----|-|--|---|--|----|
queiofeise lonc	--|-|----|---|
ainzmeniraidemainalior	---||-|---|-----|-|--|
li prosdomot que	-|------|-|--|
rie n neu alt	---⌫|-|-⌫--|
siuont coc h ersanzplusd e	-|---|---⌫-⌫-|---|---|-⌫|
atan tlilit esteien tfait	----⌫|-|--|-------⌫|---|
liprodo me matinl eua	-|-----⌫-|----|-⌫--|
al lit aluaslet	-|--|-|-----|
letro uagesant	-|---⌫-|-----|
sil i fistporter	-|-⌫|---|-----|
che mi seetbraies dechansi l	---⌫--⌫-|-|-----|-|------⌫|
etcha uces teintes enbrasil	-|---⌫---|------|-|-----|
q uifu t e isueetfait e	-⌫-|-|-⌫-⌫---|-|----⌫|
p orcequeuestirlifeist	-⌫-|-|--|-----|-|----|
lie nueiaetsi	-|-⌫----|-|-|
amiscesdrasqueciueez	---|--|---|--|-|---|
uestireizs euosm en creez	--------|-⌫|--||-|----|
etliuasletre spontbelsir e	-|-|-----|--⌫----|--|---⌫|
qu e mamereme f ist	--⌫|-|---|-|-⌫--|
don c ne ualent il	---⌫|-|-----|-|
etuos uo lezquelesueste	-|--|--⌫--|--|--|----|
uasletfeiqu eiedei ma	-----|--|--⌫|-|--|-|
fa itliprodome ai nz ual en tpis	--⌫-|-|------|--⌫-|---⌫--⌫|--|
deistes biaus	------|----|
q ua nt i o uos amenai caenz	-⌫--⌫-|-⌫|--|-----|----|
queuostoz mes commandement	--|--|--|--|-----------|
feriezeti osifer ai	-----|-|-⌫|-|---⌫-|
fait li uasletian enserai	---|-|-----|-||-|----|
encontre u os	-------|-⌫-|
de nule chose	-|---|----|
asdras uestir p l us	-|---|-----|-⌫-⌫-|
si alessa mere	-||--|-|---|
lais s iez	----⌫-⌫--|
etli prod omsestabaissiez	-|-|----⌫-||--|--------|
chau cal e sp e ro ndestre	----⌫-||-⌫--⌫-⌫--⌫|-----|
lacostume soloit teles tre	-|------|-----|--|--⌫--|
quecilq uifai se it	--|--|-⌫-|---⌫--⌫-|
cheua lier	-----⌫---|
li deuo itl esperon	-|----⌫-||------|
daltresuasl ezassez	|-----|----⌫-|----|
ch ascunsquiauenir ipout	--⌫-----|--|-----||---|
a lui ar m eralamain	|--|--⌫-⌫-||-|---|
lip rodom alespeep rise	-|-⌫----|||----|-⌫---|
silicei ntetsilebaissa	-|-|---⌫-|-|-|-|-----|
e t dist quedoneelia	-⌫|---|--|----|-||
le plushautordreouec l	-|---|---|----|---||
qued exaifaite etcomman dé	--|-⌫-|-|----|-|------⌫--|
c estordrede	|--|----|-|
q uidei t estresanz uilanie	-⌫-|---⌫|----|---|------|
e t dis tbelfrereoruos souiengne	-⌫|---⌫|--|----|-|--|--------|
seil aui ent queilu osco uienge	-|-|---⌫--|--|-|-⌫-|--⌫-----|
combatrea acon	-------||---|
cheua lier	-----⌫---|
u osueil dir ee t preie r	-⌫-|---|---⌫|-⌫|-----⌫|
se uos en uen e zeldesus	-|--|-|---⌫-⌫|-|----|
queuersuos	--|---|--|
nesepuise plus	-|-|----|---|
desfendrenecon tret eni r	--------|-|---⌫----⌫---⌫|
ainzlestuecearrieruenir	---||------|-----|----|
gardezquemerci enaiez	-----|--|----|-|---|
etqueissinelociez	-|--|---|-||----|
ne p arlezpastrop	-|-⌫----|--|---|
uolentiers	---------|
carn enpoe t estretropparlier s	--||-|---⌫|----|---|-------⌫|
etlisaige dit	-|-|----|--|
etretr ait	-|----⌫--|
quit ropparole pechie fait	--|-⌫--|-----|-----|---|
porceb el sireuoschasti	--|-|-⌫-|---|--|-----|
pa rleretsi uo spri	--⌫---|-|-|--⌫|--|
seuostr ouezhomene femme	-|--|--⌫---|---|-|----|
ouseitdemoisele oudame	-|---|--------|-|---|
descon sei llied	------⌫---⌫---||
aucuner ie n	-----|-⌫--⌫|
conse illiezl e n	-----⌫-----||-⌫|
sifereizbien	-|-----|---|
un altrechoseu osapr eig	-|----|----|-⌫-|---⌫--|
tornez pas adesdeng	-----|--||------|
desde i gni er	-----⌫-⌫---⌫-|
u o lentiersa lez au most ier	-⌫-⌫-------|-⌫--|-|----⌫--|
preierceluiqui trestotf ait	-----|----|--|------|-⌫--|
q ue d euostre a rmemerci	-⌫-|-⌫|-----|-⌫--|----|
et qu encest si ecl et errien	-|-|-|---|--⌫---⌫|-⌫-----|
uosgart comme	--|---|----|
soncrestien	--|-------|
liuasle t a ditau prodomme	-|-----⌫||--|-|-------|
detoz les apostresd e	-|--|--|-------|-⌫|
beneietb el	------|-⌫-|
ma m ereoialtreteldire	-|-⌫--|-|-------|---|
orne dites i amesbe lfrere	-|-|----|-⌫---|--⌫|----|
fait li pro do mque uostremere	---|-|---⌫--⌫|--|-----|---|
uos aitrienapris se i onon	--|--|---|----|-|-⌫|--|
e tdeco neient	-⌫|-|-|-----|
ne uosblasmon	-|--|------|
seuosl auezditiusqueci	-|--||---|--|-----|-|
maisdeso r m esuostremerci	---|----⌫-⌫-⌫-|-----|----|
uos enchastiez	--|-|-------|
etseu os plusledisiez	-|-|-⌫-|---|-|-----|
porceuosdigard ez	--|-|--|-|----⌫-|
qui cedi re itgabe reitlen	--|-|--⌫--⌫-|----⌫---|--|
et que diraiiodonc	-|--|----|-|---|
liu auasorce	-|-⌫-----|-|
quiu ost reesperon uoscha uca	--|-⌫---⌫-|------|--|---⌫--|
apristetenseig na	-----|-|------⌫-|
etilli ale dondoné	-|-|-||-|--|----|
queiames ne sera	--|----|-|---|
unmot tantcomils erauis	-|--|---|--|-|-⌫--|--|
se delui nonqueil est uis	-|-|--|--|--|-|--|--|
estbienquil	--|---|-|-|
lienseigne	-|-------|
et ilnuleri en n	-|-|---|--⌫-||
endes deigne	-|---⌫-----|
leuee enhalt	----|-|---|
et distbiausired exuossalt	-|---|---|---|-⌫-|--|---|
alezadeuquiuosc onduie	---||--|--|--|-⌫-----|
quer lad emoreuos henuie	---|-|-⌫----|--|-----|
linouelsch e ualier	-|-----|--⌫-⌫-----|
deson os te	-|--|--⌫-|
moutl i e st tart	---|-⌫|-⌫-|---|
queasamereuenir puisse	--||-|---|----|-----|
et que sa mere	-|--|-|---|
uiue truisse	---|------|
sise metesforez sou taines	-|-|--|-|----|---⌫-----|
querassezm ielz ques terres	---|----|-⌫---|-|-|-----|
liualezsereconoi sseit	-|----|-|-------⌫----|
etcheualche	-|--------|
tantque il ueit	------|-|---|
un chastel fort etbi enseia nt	-|------|---|-|--⌫-|----⌫-|
maisforsde s	---|---|--⌫|
mursne uoitn eiant	---|-|---|-⌫----|
fors mereteueet	---|--|-|--|-|
terregaste	----|----|
daleruerslec hast else	|---|---|-|-⌫----⌫-|-|
tantqu ed eu an t laporte	------⌫|-⌫--⌫--⌫|-|----|
mai s un p ontp as ser licoui ent	---⌫|-|-⌫--|-⌫--⌫--|-|----⌫--|
sifeible ainzqu al a por teuiengne	-|-----|-----||-⌫|---⌫-|------|
lesost i enge	-|----⌫-⌫---|
licheua l ie rsorle pontmonte	-|-----⌫-⌫--⌫|--|-|---|----|
p a ssequ emalneho nte	-⌫-⌫--|--⌫|--|-|--⌫--|
ne encombrie rneliauint	-|---------⌫|-|-|----|
iusque deuantla porte uint	-----|-----|-|----|---|
silatroua ferm eedec le f	-|-|----|----⌫-|-|-⌫--⌫|
ilnihurtamie soef	-|||----|--|---|
neniapelemiebas	-|||----|--|--|
tant i feriqueneslepas	---||---|-|--------|
uintaspar lasa le	---|-|--|-|--⌫-|
un epucele ma igre etp ale	--⌫|-----|--⌫---|-|-⌫--|
etdistquie st qui laapel e	-|---|--|-⌫-|--|-|----⌫|
cilregar deuers	--|-----⌫-|---|
la pucel e	-|-----⌫|
u eitet di t b ele amie	-⌫--|-|--⌫|-⌫--|---|
uncheualier suiquiuos prie	-|--------|--|--|--|---|
qu elaainz	--⌫|-----|
mel aissiezen trer	-|-⌫------|--⌫---|
ost e lanuit me faiprester	---⌫-⌫|----|-|--|------|
siredistele	---|---|--|
u osla ureiz	-⌫-||-⌫----|
mais ia gr e ne uosen	---|-|--⌫|-|--|-|
s au r eiz	-⌫--⌫-⌫--|
etneporq uantsiuosfe ro ns	-|------⌫---|-|--|--⌫--⌫-|
sibel ostelcomnosporrons	-|--|----|--|--|------|
lorssest lapuc ele arier	---||--|-|---⌫--|----|
etcilquiala	-|--|--||-|
po rteagaite	--⌫--|-----|
illefacenttropester	-|-|-----|---|----|
lor scomm e nc eaapeler	---⌫|----⌫-⌫--⌫||-----|
tantost yyse rianz ui ndr ent	------|-|--⌫----|--⌫---⌫--|
qui g ranthaces enl orcol	--|-⌫---|----|-|-⌫-|--|
et chascun	-|------|
outceintesespee	--|-----||----|
siont laportedesfermee	-|--|-|----|--------|
silidientuenezauant	-|-|----|----|----|
saaisse fussent	||----|------|
li s erian t	-|-⌫-----⌫|
m outfussentbelsmais ilau oient	-⌫--|------|---|---|-|--⌫----|
mesese tantq u eilesteient	-----|-----⌫-⌫|-|-------|
dei euneretdeueillier	-|-⌫----|-|-|-------|
teusqueen sepeustmerueillier	---|--|-|-|----|----------|
et il eutbiendefors trouee	-|-|--|---|-----|-----|
lat erre nue etdegastee	-|-⌫---|--|-|-------|
dedenz r iens	-----|-⌫---|
neliamenda	-|-|-----|
que parto t laou ilal a	--|--|--⌫|-|-|-|--⌫|
trouadegaste es lesrues	----|-------⌫-|--|---|
etlesmaisonsueitdechaues	-|--|------|---|-------|
quehomene femene	--|---|-|---|-|
dousmostiersenlauil eaueit	---|-------|-|-|---⌫|----|
q ui estei ent desabeies	-⌫-|-----⌫--|--|-----|
liun sdeesbaihies	-|--⌫|-|--------|
lautredemoines esgarez	|----|-|-----|------|
ne troua miebien pare z	-|----|--|---|----⌫|
l esmos t ie rs nebienportenduz	-⌫-|---⌫-⌫--⌫-|-|---|--------|
ainzerentcreuezetfenduz	---|----|-----|-|-----|
lesmu rset les tors	--|--⌫-|-|--|---|
descouertes	----------|
etles me ssons	-|--|--⌫----|
furentouer tes	-----|----⌫--|
auside nui tcomme de ior	---|-|---⌫|----|-|--|
molinn i moltne nequitfor	----|||---|-|-|---|--|
enm illeude totlechaste l	-|-⌫----|-|--|-|------⌫|
nenn i aueitpainne	|-|||----|---|-|
neuita illequifust	-|----⌫---|--|---|
