Tr a ianlempereorquedeables	--⌫-⌫--||-------|--|------|
uiselment siaperç u t unseing	--------|-|------⌫-⌫|-|----|
quesesmari z	--|--|----⌫|
soloit auoira ce	-----|----||-|
lereconut mes ne	-|------|--|-|
sosaaluidescouriresi	|--||--|--------||-|
nese potelemietenirlonguem ent	-|-|--|--|--|----|-------⌫--|
qu eleneli chaïsta spiez e qu	-|--|-|-|------|-⌫|---||-|
elenelid eist	--|-|-|-⌫---|
B e ausire	-⌫-⌫-|---|
n etepois tp or	-⌫|-|----⌫|-⌫-|
Deuse ieparol	--|-|-|----|
atoimes esc oute mo i e	|--|--|---⌫---|--⌫||
si me reconteun poideta uiecar	-|-|------|-|--|-|-|--|--|
iecuitquet u es	-|---|--|-⌫|-|
Placidas le mestre des cheualier s	-------|-|-----|--|---------⌫|
qu ipuisfuapelez	--⌫|---|-|-----|
Eustacesqantli	-------|---|-|
Sauu e rre d el mon deletrest	----⌫-⌫--|-⌫-|---⌫-|-|----|
erapelaasoi par lecerfe	|-----||--|--|-|---||
gitadesamescreantise	---|-|-|-----------|
e quant ilfu chaüzen tempta tion sil	|----|-|-|-----|-|------⌫----⌫|-|
famec efui ie	---|-⌫|--|-|
esesdeusenfanz	|--|---|-----|
Teospitonsi	--------|-|
senalauers	|-|--|---|
Mesq uantnos est io nsen lamerli marini erscruex	--|-⌫---|--|---⌫--⌫-|-|-|--|-|------⌫--|----|
mala fe r eme retintpo rle loierde	--|-⌫--⌫-⌫|-|-----|--⌫|-|----|-|
lane fsi ma men aen	-|--⌫|-||-⌫---⌫|-|
cest paï s e	---|----⌫||
Dexle setquimest bontesmoingq u il	--|-|--|--||--|--|-------|-⌫|-|
nema fet ne il	-|||--|-|-|
neautresius qa uiordui	-|-----|---⌫|-⌫|--||-|
nedeshoneste ́neuilenie	-|----------⌫|-|------|
di tbonesenseigne s	--⌫|----|--------⌫|
se tu l es reconois dile moiiet	-|-|-⌫-|-------|-|-|--|-||
enconiurparla foi	-|-----|--|-|--|
Cri st ton	---⌫-|--|
Eustaces otce oïilla	-------|-|-|--|-|-|
re gardaentrede us	--⌫----|----|--⌫-|
reconutedela grantioie quilo t	------||-|-|----|---|-|-|-⌫|
come nça aploreragrosseslermes	----⌫---||-----||------|-----|
Lors lacorutembraciereb asier eacolere	---|-|----|--------||-⌫----||-----||
m ercierentambeduim ultle	-⌫--------|------|-⌫--|-|
Sauueordelmon dequie ntozle usu alt	------|--|---⌫-|--|-⌫|--|--⌫-|-⌫--|
ea id easesmenistres	|-⌫--⌫||--|--------|
e lesdeliure dedoloredemes estance qui	|--|------|-|----||-|---⌫------|--|
aid iernusn el i puet nuire	---⌫--|--|-⌫|-⌫|---|----|
Lo rsl idistla dame	--⌫-|-⌫|---|-|---|
Bea u si re	---⌫|--⌫-|
o usontnostreenfant	-⌫|---|-----|-----|
D amedistil	-⌫--|---|-|
bestessauuageslesontde uorez	-----|-------|--|--|--⌫----|
Puisli acont a	---|-|-----⌫|
l esau oitper duz	-⌫-|--⌫--|---⌫--|
Ormercion sdistla dame	-|-------⌫|---|-|---|
Cristcart ot ausicomila fet	----|--|-⌫-|---|--|-||--|
p a rsabontéqueli unsdenos	-⌫-⌫|-|-----|--|-|--|-|--|
areco ne ulautretot	|----⌫--⌫||----|--|
ausinosdonrail	---|--|----|-|
par sa gracequenos rec ono ist rons noz enfanz	--|-|----|--|--|---⌫---⌫---⌫---|--|-----|
Lorslidist	---|-|---|
ted i iequebest es sauu agesles	-|-⌫|-|--|----⌫-|----⌫---|--|
ontdeuorez	--|------|
Neu o s esmaiezsire	-|-⌫-⌫|------|---|
qantie meseoieierencel iar din	---|-|-|----|--|-|--|---⌫--|
ieescou ta ideusdamoi seaxqui parlo ient	-|-----⌫--⌫|---|-----⌫---|--|-----⌫---|
de loren fances s i sai	-|--|--⌫-----|-⌫|--|
iebiena cequeioï quil	-|---||-|--||--|-|-|
suntnostre fill	---|-----|---|
Ilmei sme snesauoientpasqu il fus se ntfr ere	-|---⌫---⌫|-|-------|--|-|-|---⌫--⌫-|--⌫--|
forsparles par oles	---|--|--|---⌫---|
augreignorqui	-|-------|--|
endist bonesenseigne sueez ore	-|---|----|--------⌫|---|--|
Siresestd egr antpitié plains e degrant dou çor	----|--|-⌫|--⌫--|-----|-----||-|----|---⌫---|
q uiafetreconoistr el un alautre	-⌫-||--|----------⌫||-|||----|
Sireapelezl ese si	---|-----|-⌫-||-|
lordema ndez	--|----⌫---|
Eustacesapelatan tostlesdeusdamoiseax	-------|----|---⌫---|--|---|--------|
si lorde mandaqui	-|--|--⌫----|--|
ilestoie nt	-|------⌫-|
Illor c onter enttotdechiefenautretoteslor	-|--|-⌫-----⌫--|--|-|----|-|----|----|--|
a uent ur essicome nos	-⌫----⌫--⌫-|-|---|--|
lauons deu antco n té	|----|---⌫--|--⌫-⌫--|
Eustace squiles toient	-------⌫|-|-|--⌫-----|
em bracierelune lautre e	--⌫------|||-|||----||
Am beduise pendoient au coldelorenfanzemercieren t	--⌫----|-|--------|-|--|-|--|-----||---------⌫|
Sei gnore l oerentdes	---⌫---||-⌫-----|--|
lo redetierceius qa mi di por	|-⌫-|-|-----|---⌫||--⌫-|--|
la ioie de	-|---|-|
s i bele auent ureporles trouez e	-⌫|---|-----⌫--|--|--|-----||
L anouel esenalapar tot e lost e	-⌫|-----⌫||-|--|--|---⌫||--||
tuitcild el o stsiassemble rentquil	---|--|-⌫||-⌫-|||--------⌫---|-|-|
lorsembla meruei lleefirentfes tee	--|-----|------⌫--||-----|---⌫-||
ioiegrant quepor celetroueu ̈re queporlauictoi re	---|----|--|--|---|------⌫--|--|--|-|------⌫-|
quila u oiente ue	-|-|-⌫-⌫----|-⌫-|
Lend emain fi re ntilenco regr eignorfeste	----⌫----|--⌫--⌫-|-|----⌫-|--⌫-----|----|
egrei gnor	|----⌫---|
ioi eerendire nt gracesemerciz a	---⌫||-------⌫-|-----||-----||
Se ign orquipar	--⌫---⌫-|--|--|
sagran t pitiéeparsa grant misericor dele sauoit	-|----⌫|-----||--|-|----|---------⌫-|--⌫|----|
feten tretro uer	--|--⌫------⌫--|
Qantil o ren ttotedestruite	---|-|-⌫---⌫|---|--------|
celegentb arbarine e d egastélepai ̈s	---|---|-⌫-------||-⌫------|-|---⌫-|
il senretorner ent agrant	-||-|--------⌫--||----|
ioieeagranthonoreaport er ent despoillesagrant	---|||----|----||-----⌫--⌫--|---------||----|
fois onegranzpr oies	----⌫-||----|--⌫---|
ea menerentcha itis agrantf o ison	|-⌫-------|---⌫---||----|-⌫-⌫---|
Mes ilauintan çoisque	--|-|----|--⌫----|--|
Eustaces fustrepairiezque	-------|---|--------|--|
Tr aiensliem pereres	--⌫----|-|--⌫------|
ala deuieamort e	--|-|--||---||
as sistenunau treenli u	--⌫---|-|-|--⌫--|-|--⌫|
deluiqui ota	-|--|--|-||
Adri anspaie nsc ruelsed e malafere	----⌫--|----⌫-|-⌫----||-⌫|--|----|
epir esassezque	|---⌫-|----|--|
E ustachesfu repa iri ezli emp ereres loralaa	-⌫-------|-|----⌫---⌫-|-|---⌫-----|--|--||
lenco ntre cestla	|----⌫---||--|-|
costume a s	------|-⌫|
Rom ainse fist grantfestee g rantioie	---⌫---||---|----|----||-⌫---|---|
d elauic toirequil	-⌫|-|---⌫----|-|-|
Lim angiersfuappareillie z e lestable s m isesli	-|-⌫------|-|-----------⌫||--|-----⌫|-⌫---|-|
cheuali erassi stre nt eliempereres	-------⌫-|----⌫----⌫-||-|--------|
demando itt otesueiessortable a	-------⌫-|-⌫---|----|--|----||
Eustace coment i l s	------|-----|-⌫||
e stoitco ntenuzen la	-⌫----|--⌫-----|-|-|
guer re ec om entilauoit	----⌫-||-⌫--⌫--|-|----|
troue es afame	-----⌫|-⌫|---|
esesenfanzsi	|--|-----|-|
endura plus longuementli mangiersLe n demain	-|---|---|---------|-|-------||-⌫-⌫-----|
alali emperer es aut emple por feresacrefice	--|-|-------⌫-|-|-⌫----|--|---|--------|
ases ydrese	|--|----||
pormer cier	--|---⌫---|
lesd ame d exde lauictoi re	--|-⌫---⌫-⌫-|-|-|------⌫-|
Liemperere s entraeltemple	-|--------⌫|----|-|-----|
Apollins ondeu mes	------|-⌫-|--|--|
Eustacesnientra pasainz setre st	-------|||----|--|---|-|---⌫-|
ar rieressiremes t def ors	--⌫-----|-|-----⌫|---⌫--|
Liemperer es	-|-------⌫-|
elidemanda por quo iilne	|-|------|--|---⌫|-|-|
feisoi tsacreficeasd exquili	------⌫|--------|-|-⌫-|--|-|
auoient done elauictoireeparcui	------|----⌫|-|-------||--|--|
ilauoit tr oue ́esafame	-|----|--⌫---⌫||-|---|
e se s enf anz	|--⌫|---⌫--|
Eu st acesrespon d it ensia lemper eor	--⌫--⌫---|------⌫-⌫-|---|-⌫|-----⌫--|
sacrefi cese oroisons	-------⌫--||-------|
eproieresaluirentiegracese	|-------||--|---|-|-----||
merci zquil	-----⌫|-|-|
de moi pitie ́emauisité en	-|--|-----⌫||||------|-|
mestribulationse m a	--|-----------||||
rendu mespertes emes domag e s	----|--|-----||--|-----⌫-⌫|
Autredeunecroiie	----|--|-|---|-|
ne ne serfne	-|-|---|-|
naorfor scelui	|--|---⌫|----|
delcie l qui	--|---⌫|--|
mir aclesel esmerueillestexcom	---⌫----||-⌫-|---------|--|--|
Lo r s fuliempereresirieze	--⌫-⌫|-|-|--------|----||
li fistd e scein d re leba udré por	-|---|-⌫-⌫-----⌫-⌫-|-|--⌫----|--|
c equilaloi tcontre laloide	-⌫|-|-|----⌫|-----|-|--|-|
Rome puisl es fist tozqatreesterdeuantlui si	---|---|-⌫-|---|--|----|----|-----|--|-|
lesmenaçaequest ion afo rtmentmesto t ceneli	--|------||-----⌫---⌫|--⌫-----|--|--⌫|-|-|-|
Qant ceuitli	---|-|--|-|
tiranz quilne	-----|-|-|-|
l esporroitescroller	-⌫-|------|--------|
ne giterdelor	-|----|-|--|
creancei l comenda qu ilfus senttuitquatre mené en	------|-⌫|------|-|-|---⌫---|---|-----|----|-|
lareine equ en	|-----||-|-|
lorl e issastcorreun	--|-⌫-⌫-----|----|-|
lionsauuag eLareinne si estoitune	---|------⌫||------|-|-----|--|
multgrant plac een	---|----|----⌫|-|
Ro meouliual letiooientalescre mie e	--⌫-|-|-|---⌫--|------|||-----⌫--||
lesdamo iselesif aisoient lor	--|----⌫-----||-⌫-------|--|
bauzelo rqueroleslidamoisel i	---||--⌫|-------|-|-------||
poignoient lor cheuaxl ichampioni donoie nt lesc ox	---------|--|-----|-⌫|-------||------⌫-|--|-⌫-|
lempereore libacheler	|-------||-|-------|
i iooientalescr emieasborr eauseasta leuaz	|------|||----⌫---|-|----⌫---||-|--⌫----|
portexieusepo rautres s	--|--|---||--⌫|-----||
assemblo ient iluecasfestescil dela cité	--------⌫---|----|-|-----|--|-|-|----|
Licomendemenz l e mpereorfu	-|----------||-⌫------|-|
Eustaces ifu me neze sa fame e	-------||-|--⌫--||-|---||
si enfant puislorleissa lencorrele	-|-----|---|--|-----||-|----|-|
lions auuage	---|-⌫-----|
Me s si tost	--⌫|-|---|
come li lions f upresdesamis	---|-|----|-⌫|---|--|---|
Seignor ilbeissa	------|-|-----|
lechi efsilorencli na	-|---⌫-|-|--|-----⌫-|
eaorapuissen	|---|---||-|
depar ti es	-----⌫-|||
en issi de	-|---|-|
Cetintli empereres agrant meruei l lequelilions	-|---|-|--------||----|------⌫-⌫-|--|-|----|
nesau oittozdeuorez	--|--⌫--|--|------|
Mesonquesporcene l or	--|-----|--|-|-|-⌫-|
chaï sommed e dos caril	----|----|-⌫|--|--|-|
fistfereunrezmerueilleusdontilemb rasatotun	---|---|-|--|----------|---|-|---⌫---|--|-|
bue f darain p uisfistles quatre	---⌫||----|-⌫--|---|--|-----|
Deu a misgiterdedenz	--|-⌫--|----|-----|
Totle pueple cres tien e lipaien	--|-|-----|----⌫---||-|----|
sas emb lere nt por ueoir comen tles metroit encel torment	|--⌫---⌫----⌫-|--|----|-----⌫|--|------|-|--|------|
Mesain zqu	--|---⌫|-|
ilifussent mi sil	-||------|--⌫|-|
proi erenterequistrentmultdouceme nt lormaufei tor squil	----⌫----||----------|---|-------⌫-|--|------⌫---⌫|-|-|
lor donass ent	--|------⌫--|
solemen ttant	-------⌫|---|
derespit quileu ssentfe tlo roro ison	-|-----|-|-|--⌫----|--⌫|--⌫|---⌫---|
L orstendirentillo rmainsiointesue rsle	-⌫--|--------|-|--⌫|----|------|--⌫-|-|
c iel efirent teloroisoncom meie uos	-⌫--||-----|--|------|---⌫-|-|--|
Dexquiast otlep ooir etote	--|--|-|-⌫-|-|-⌫---||---|
la uertu queon quesho mnepot	-|----|--|--⌫---|--⌫|-|--|
ueoi renta d eité e qu enos auonsueue ns i	----⌫|-|-|-⌫----||--⌫|--|----|--|-⌫--⌫|
cometu deuisa s	---|-|------⌫|
a prés nozdolorsenoz tem ptationseapre ́s	-⌫----|--|-----||--|---⌫-------||----⌫-|
nozpert esen ozdomagesnossomesretrou ée	--|----⌫-||-⌫-|------|--|----|------⌫-||
r aüné a ssemb le si receuo nspornozguerr edonslacompaig nie	-⌫-----|-⌫-----⌫-|-|------⌫-|--|--|-----⌫----|-|-------⌫--|
Beau sir e	---|---⌫|
tot ensicomelitroi enf antde	--|---|---|-|---|---⌫--|-|
Bab il oine furentesprouéenla fo rneis ee	---⌫--⌫---|-----|-------|-|-|--⌫-----⌫||
se proueren tsi bienqu	-|--------⌫|-|---|-|
onques neterenoierenten s inos	-----|-|-|---------|--⌫-⌫|--|
esp rueue e ncestees prueueque	---⌫----|-⌫|----|--⌫-----|--|
nossoions si bien	--|-----|-|---|
esprouéquenos terendonsencest t orment nos	-------|--|--|-|------|-|---|-⌫-----|--|
amesnetes eesmereeseque	---|----||-------||--|
n os i fen issons nostreuie	-⌫-||---⌫-----|-----|--|
Sireaient telgr acequetuit	---|----|--|--⌫--|--|---|
ci l q uinosaorer onten memoiree nos requerront d e	--⌫|-⌫-|--|-----⌫--|-|------||--|---------|-⌫|
equ ihonornos porte ront aien tparte compaignieo	|--⌫|----|--|-----⌫---|----⌫|---||---------||
noslassus elciele c ̧a aualenterre	--|-----|-|---||-⌫-|---|-|----|
plan tédet ozbiensSilsunten	----⌫--|-|-⌫-|----||-|---|-|
peri ll demer o d	----⌫-|-|--|||
autreeue e ilter ec laimentde parno sdeliure	----|--||-|-|-⌫--⌫------|-|--|--⌫|------|
lesdetoz perilzSil	--|-|--|-----||-|
chientenpechiezmortexs il enuienent a	-----|-|------|-----||-|-|------||
ueraierepe ntenceaiesmerc idelsea toz	-----|----⌫-----|---|----⌫||--|||--|
honor ront etoi	-----⌫---||--|
glorefierontdonelorsec orseaidea	-----------|---|--|---⌫--||---||
to zlorbesoine si	--⌫|--|-----||-|
Sire qu ec is t fe usard anz d euiegnefine	---|--⌫|-⌫--⌫|--⌫-|---⌫--|-⌫------|---|
roseee qant lesamespartirontde nozc or sque	----||---|--|---|--------|-|--|-⌫--⌫|--|
no ssoion smis ensembleequeli	--⌫|-----⌫|--|-------||--|-|
corsn esoientdeseuré	---|-⌫|-----|-------|
parl oienten siez	----⌫----|--⌫-|-|
uosu neuoizquiliuin tdel ciel	--|-⌫-|---|--|-|---⌫|--|---|
E nsisera ilcom e u os l	-⌫--|---|-|---⌫|-⌫-||
a u ez requis e	-⌫-⌫-|-----||
encor assez plusporceque uos	----|----|---|--|-|--|--|
estesbienesp rouéen temptationse	----|---|---⌫----|-|----------||
espur giezcomeorsen fo r neise	-----⌫---|---|--|-|--⌫-⌫----|
uoschangereiz plorsarisemesesesa de lize	--|---------|----||--||------||--⌫--||
lesdo l ors delsi egle	--|--⌫-⌫--|--|--⌫---|
alaioiede paradis	|-|---|-|------|
Deuamio rent oï	--|--|-⌫---|--|
celenou eles i sefer irent a gra ntioieel	---|---⌫--|-⌫|-|---⌫----||---⌫-|---|-|
buefdaraine tantostli feus deuint douz	---||----||------|-|---|-----|---|
e soefausicome rosee	|---|---|---|----|
eran direntencha ntant een	|---⌫-----|-|---⌫----||-|
De ulo antlor	--⌫|--⌫--|--|
boneureesdamesa	--------||---||
Sipo ïstenueoirilechautesm erueil lesquil	-|--⌫---|-|----|---|-----|-⌫------⌫--|-|-|
gisoientelmi le ud el feuc omeil feissent	-------|-|-|--⌫|-⌫-|--|-⌫--|-|-------|
enunlit deros esnenepa roit ach euo l	-|-|--|-|---⌫-|-|-|--⌫---||--⌫---⌫|
nea robequileussentarsure de	-||---|-|-|------|-----|-|
Tro isior zaprés u int li empereresiluequ ese	---⌫-|---⌫|-----|-⌫--|-|--------|------⌫-||
c oma nd aquen liouris tlebue fd ara in	-⌫---⌫--⌫|-|-|-|-----⌫|-|---⌫||---⌫-|
porueoircommentli	--|----|------|-|
Deu a miestoi entatorn é	--|-⌫-|-----⌫--|-----⌫-|
Qant iluirent	---|-|-----|
les corsilquid eren t quil uesquiss entencores i	--|---|-|----⌫----⌫|-|-|--------⌫--|-----|-⌫|
lestrestrent	--|--------|
fors si lesmistrentsor	---|-|--|-------|--|
Mesdurementfurent esba hi	--|-------|-----|----⌫-|
eagran tmerueillelor	||----⌫|--------|--|
uirentnefil	-----|-|--|
derobenecheuo lmaumisançoi s estoientlicors	-|---|-|-----⌫|-----|------⌫|-------|-|---|
plus blansq ue neis	---|----|-⌫-|---|
negieeeplus resp lan di ssanzque	-----||---|----⌫---⌫--⌫----|--|
lirais d e soleill	-|---|-⌫|------|
L iempere resde	-⌫|------⌫--|-|
lap eor quilot s	-|-⌫--|-|-|-||
enfoïensonpalésetuit cilqu	-|---|-|--|-----||---|--|-|
iluecestoien t ses crier en t a	----|-------⌫||--⌫-----⌫--⌫||
hauteuo iz	----|--⌫-|
Gran zepuissanzest	----⌫||-------|--|
li d e x ascrestiens	-|-⌫-⌫|-|--------|
e iln es tdex fors luiqui tex	|-||--⌫|--|---|--|--|--|
uertuz fetetex miracles	-----|--||--|-------|
qa ntiluelt	--⌫-|-|---|
Li crestien uin drentenrepost querrelescorsde s	-|-------|---⌫----|-|-----|-----|--|---|--⌫|
Seignor si les	------|-|--|
portere nt honor eementen	-------⌫-|-----⌫-----|-|
mult beauleueqanti l	---|---|--||---|-⌫|
uirent leu etensilfirent unoratoi reou il	-----|--||---|-|-----|-|------⌫-|-|-|
lesmistrenta	--|-------||
gr a nth o nor e f irent la fest edesbonaurez	--⌫-⌫-|-⌫-⌫--||-⌫----|-|----⌫|--|-------|
martir se s kalend es	------⌫|-⌫|------⌫-|
de nouembre	-|-------|
T ex estlauieetexestlafi nsde l	-⌫-|--|-|--||--|--|-|--⌫-|--⌫|
bonaure ́saint	-------⌫|----|
Eu stace edes esc ompaignons e	--⌫----||-|-⌫-|-⌫---------||
bi ensachi ezquetu it cil q ui	--⌫-|-----⌫-|--|--⌫-|--|-⌫-|
enmemoire equi les honorero ntenterree	-|------||--|--|--------⌫-|-|----||
lesapeler on t alorbesoingsoit	--|------⌫--⌫||--|------|---|
porperi lldecor ss oitporperill dame	--|----⌫-|-|---⌫|-⌫--|--|-----||--|
ilauronthastifcons eill	-|-----|-----|----⌫---|
eha s tiue aideporqu ilsoi entuer ai	|--⌫-⌫---|---|--|-|-|---⌫--|---⌫-|
repentanteueraiconfes	--------||----|-----|
Carcestdon lidona	--|---|--|-|---|
Siresqui uiuitetregnat per	----|--|----|-|-----|--|
omniaseculasaeculorum	----|-----|---------|
