enlamarchede	-|-|-----|-|
l ies q ua nttrouueia oc oi sonrais ounableparqu oii l puisse	-⌫--|-⌫--⌫-|------||--⌫--⌫--|----⌫------|--|--⌫-|-⌫|-----|
perdrelonourqu illiauoit	-----||----|-|-|-|----|
silide mande quilenfera.	-|-|--⌫----|-|-|-|---||
siref aitil sene sc ax conselli és moiuo u s	---|-⌫--|-|----⌫--⌫-|--------⌫--|--|--⌫-⌫|
meismescar ch is t me	------|--|--⌫--⌫|-|
heitd emortpour uous	---|-⌫|---|---|---|
nonpourautrechosema a pelé	--|---|----|----|||-⌫----|
detrai s on.	-|----⌫-⌫-||
fa itclaudas uouscon sellerai se uou s	--⌫-|------|---|---⌫-------|-|---⌫|
e n sauéssaussiuo us endesfendésseurem ent ca r	-⌫|-----|---|-|--⌫-|-|---------|------⌫--|--⌫|
uous nestes	---||----|
for s ne ma insc orsusdeluin e	---⌫|-|--⌫--|-⌫----|-|--|-⌫|
mainsproisiés da rmes nestes	----|--------||-⌫---||----|
se enquidie ́s estre saus siuousen	-|-|------⌫-|----|---|-|---|-|
desfendés uistement	---------|--------|
car se il mapeloit	--|-|-||------|
autresi c o mila faitu o usdontsoieiehounis	------|-⌫-⌫|-||---|-⌫-⌫-|---|---|-|-----|
ende sfendoi e .	-|--⌫-------⌫||
et s ach iés que uo us	-|-⌫---⌫---|--|--⌫-|
nauésgarde d enulhommequ ede	|----|----|-⌫|--|----|--⌫|-|
soncorsneil denulho mmeforsdeuous	--|---|-|-|-|--|--⌫--|---|-|---|
et seuousn e uous	-|-|---|-⌫|---|
endesfende ́sdo nt samblé s	-|--------⌫-|--⌫-|-------⌫|
u ousbie nhommequ isese ntecou pab ledetra ison	-⌫--|---⌫|----|--⌫|-|--⌫--|---⌫---⌫-|-|---⌫---|
tantlor distclaudasqu e ilont	---|--|---|------|--⌫|-|--|
ambedoidounélor gages ensamain	------|-----|--|----|-|-|---|
ap eleiapre sle sene scale t li dist senescaus	--⌫---|----⌫|-|----⌫---|-⌫|-|---|--------|
ie uousaite nudusqu e s chietqui dié	-|---|-|--⌫-|-----⌫-⌫|--|-|---⌫---|
amoultloi aletli r oi sbansuostresires uous	|----|---⌫-|-|-|-⌫--⌫|---|-----|----|---|
itesmoignoit.	|----------||
ueneis auantet t ené s i euous	-----|----|-|-⌫----⌫|-⌫|---|
reuestdel roiaumedebenoicd esrentesetd es	-----|--|------|-|-----|-⌫-|-----|-|-⌫-|
deq u anquesili	-|-⌫-⌫-----|-||
apentforsseulement	----|---|--------|
des forterechessdon tie nuluir euestiroi e.	--|-----------|---⌫|-|----|-⌫---------⌫||
etse uousdeba ninuous poésueng ieretdesfendre	-|-|---|-|--⌫--|---|----|----⌫--|-|--------|
dechestechoses imeferésma	-|-----|----|-⌫|-|-----|-|
feuteet monhom mage .	----|-|--|---⌫---||
ets e i ldeche uousa taint	-|-⌫|-⌫|-|--|---|-⌫----|
qu iluousmet susie liotroi	-|-|---|--|--|-|-|----|
e t doingla terreeti l e ndeuiegne	-⌫|----|-|----|-|-⌫|-⌫|-------|
meshonsliges .	--|---|----||
ainsiclaudasreu estilesenesc haldel	----|------|---⌫---|-|------⌫--|--|
roia umedebenoichpourcheque pariurerne s e	----⌫--|-|------|---|--|--|-------|-|-⌫|
uoloitmied e l	-----|--|-⌫-⌫|
s airementqueill iauoit faitetbi ensouspechounoit que	-⌫-------|--|-|-⌫|----|---|-|--⌫-|-------------|--|
il n ense r o it	-||-|--⌫-⌫-⌫-|
gaires tenanscartro p	-----|-----|--|---⌫|
sauoitbani nde grantproeche etdelo iaut e	-----|----⌫|-|----|------|-|-|--⌫----⌫|
queuous iroie	--|---|----|
iedeuisant	-|-------|
au quartiourfulabataille	-|----|---|-|-|-------|
en lapraerie	-|-|------|
de benoych entrel o i rre etarsie	-|------|----|-⌫-⌫-⌫--|-|----|
etileuc co pa b aninslatesteausen escal	-|----|--⌫-|-⌫----|-|----|-|---⌫----|
etlorsliof fri clau d astoutela te rrede	-|---|-|--⌫--|----⌫-⌫-|----|-|--⌫--|-|
benoychenf iefeten	------|-|-⌫--|-|-|
iretage et	------|-|
banins lidistsireie	-----|-|---|---|-|
meren dia u ousp a r siqu e	-|---⌫-||-⌫--|-⌫-⌫|-|--⌫|
ie n i reman droie se tantn on	-|||-----⌫----|-|---|-⌫-|
comie uaud r oie	--|-|----⌫-⌫--|
talens estteusqueale rme nuoelsi uous	-----|--|---|--|---⌫||-⌫|---|-|---|
req uieruoian ttousuos baronsatantcongie	---⌫---|-----⌫|---|--|-----|----|-----|
car lad ieu m erchiiaiachieué che	--|-|-⌫--|-⌫----||-|-------|--|
pourquoiieestoi eouousremés .	---|---|-|-----⌫||---|-----||
et biensac h iésqueterrene	-|---|---⌫-⌫---|--|----|-|
pr endr oieienu l ede u ousca r	--⌫----⌫--|-|--⌫-⌫|-|-⌫--|--⌫|
diexn efis ton quess i r iche terr eque	---|-⌫|---⌫|--⌫---|-⌫|-⌫---|----⌫|--|
ieuausissepasauoirsene uou senp euse	-|-------|--|----|-|-|---⌫|-|-⌫---|
cuersnelporoit autrement souffrir aqui	----|--|-----|--------|-------||--|
atantsen parti sen fu claudas mou ltdole ns	----||-|----||-|-|------|---⌫-|----⌫-|
carenluirete nirs	--|-|--|----⌫--||
meisttoutesa pai ne ca r	----|----|-|---⌫-|--⌫|
ilnauoitonquesueu cheualiersi acuer	-||----|-----|--|--------|-||---|
deproe cheetdeloiaute .	-|----⌫--|-|-|------||
maischi endroit nep arolepluslicontes ne de	---|--|------|-|-⌫----|---|-|-----|-|-|
b aninnedeclaudasnedesacompaignie anchois	-⌫---|-|-|------|-|-|-|---------|------|
retourneaur oibandont il	-------|-|-⌫-|--|---|-|
sestlongem ent teus .	|--|------⌫--|---||
ordit chiendr oit	-|--|--|----⌫--|
li contesquequant liroisbansfu	-|-----|--|----|-|---|---|-|
issusdeson c hastelqueil se monta sour	----|-|--|-⌫-----|--|-|-|----|---|
u nmoulthaulttertrepour ueo ir	-⌫|----|----|-----|---|---⌫-|
s onchaste lque tanta moitde	-⌫-|------⌫|--|---|-⌫---|-|
gr antch ierte.	--⌫--|--⌫----||
et liiou rscommenchamoult aesclairier	-|-|---⌫-|--------|----||---------|
etilesgarde	-|-|------|
siuoit lesm urs blancho ier et	-|---|--|-⌫--|-------⌫--|-|
l atourhauteet labailleenuiron .	-⌫|---|----|-|-|-----|------||
mais ilne l otgaires es garde ́qua nt	---|-|-||-|-----|--⌫-----⌫|---⌫-|
iluit elch as tel moultgrant	-|--|-|--⌫--⌫--|----|----|
fu meeet unpoiapres uitpartou t	--⌫--|-|-|--|----|--|--|---⌫|
le chas telflambesalirsiuoiten	-|----⌫--|-----|----|-|---|-|
p oi deure lesrichessales u erseraterre	-⌫-||---|--|-----|----|-⌫----||----|
et fondrel eseglisesetlesmoustierse t le	-|-----|-⌫-|------|-|--|--------|-⌫|-|
f eu uoler d unlieue nl	-⌫-|----||-|---|-⌫||
autre et le fl ambehide useet espoen table quienuers	----|-|-|--⌫---|----⌫--|-|------⌫----|--|-----|
le chielse la nche sien es t	-|----|-|--⌫---|-|-|--⌫|
li airtousrou g esetenbrasés	-|--|---|---⌫-⌫-|-|--------|
et ent o u re nrelusttout e la	-|---⌫-⌫-⌫|-⌫|-----|----⌫|-|
li r ois bansu oitso nch astel ard oirquilamoit	-|-⌫--|---|-⌫--|--⌫|--⌫----|---⌫--|-|-|----|
pl us q uenulch ast elquil	--⌫-|-⌫-|--|--⌫---⌫-|-|-|
eust car parcestuiseulcastelesto it	---|--|--|-----|---|-----|----⌫-|
sespera ncede recouurertoutesat erree t siestoit	|------⌫--|-|--------|----|-|-⌫---|-⌫|-|-----|
toussesconfors .	---|--|------||
etquantiluoitqu	-|----|-|---|-|
per duou toutesafi anche estoit nest	---⌫-|-|----|-|--⌫----|-----||--|
nuleri en elsie c leouil satende mai sde	---|--⌫-|-|---⌫-⌫-|-|-||-----|---⌫|-|
nu ler ien	--⌫-|-⌫--|
carilsesentua inset debris iés.	--|-|-|---|--⌫--|-|------⌫---||
et ses fiex e st	-|--|---|-⌫-|
nelipuetaidier ne secou re	-|-|---|-----|-|-----⌫-|
etsa fe meert moultio ne	-|-|--⌫-|--|----|--⌫-|
dam e etet	---⌫|-|-|
a moult gran t aise	|----|----⌫|---|
n ourie etsihaute dameuersdi euetuers le	-⌫----|-|-|----|---|---|--⌫-|-|---|-|
siecle commeche le	-----|----|---⌫-|
quiest des chenduede la hautelig nie	--|--|---⌫------|-|-|----|---⌫--|
leroidau id	-|--|---⌫-|
siapi t iede	-||--⌫-⌫-|-|
chequilco nuendra sonfilissir de	--|-|-|--⌫------|--|--|----|-|
franceenpourete etend olor et	-----|-|------|-|-|-⌫---|-|
sa femeestree naut rui	-|---|----|-⌫|---⌫--|
dangierque	------|--|
elsien eten auoeriesdemaintesgens	-|---|-|-|-------|-|------|---|
et luimeisme couendra es tre	-|--|-----|-------|--⌫--|
poure etuielg etengrant souf r aiteuser	----|-|----|-|-|----|----⌫-⌫---|---|
sa uie leremenantdeso n eagequi tant	-|--|-|-------|-|--⌫|---|--|---|
do ut é set richese tquit antaam eibelecompaignie	--⌫--⌫--⌫|-|-----|-⌫|--|-⌫--||--⌫-|---|---------|
de gentetioie us emainiee n saionece	-|---|-|----⌫--⌫|-----|-⌫|-|-----|
toute s che s cose s re corde li	-----⌫|---⌫|----⌫|--⌫----|-|
rois ban setmetdeuant s esiexses	---|---⌫|-|--|-----|-⌫-|--|--|
mai nse tlit ouchesi	---⌫-|-⌫|-|-⌫----|-|
grantdolor au cue rq ueles lermes	----|----|-|---⌫|-⌫-|--|-----|
liso nt estoupeeset	-|--⌫-|--------|-|
l i cuers s erréseluentre etsepasme	-⌫|----|-⌫-----|-|-----|-|-|----|
desonpalefr oi	-|--|------⌫-|
s i d urementque pourzz poique	-⌫|-⌫------|--|---|-|--|--|
lico lsnelibrise	-|--⌫-|-|-|----|
sil is aut p armi	-|-⌫|-⌫--|-⌫---|
parmil abouce	----|-⌫|----|
li s ansuermauset	-|-⌫--|------|-|
parmi le sor rellesambesdeus .	----|--⌫|--⌫-----|--------||
grantpi e che aieu	----|--⌫-⌫--||--|
liroi sbans enteilm ani eree t q uantil	-|---⌫|---|-|---|-⌫---⌫--|-⌫|-⌫---|-|
reui nt de paumison siparolesi	----⌫-|-|-------|-|-----|-|
com meilpuet etr egard euersle chieletdist	---⌫-|-|---|-|-⌫-----⌫|---|-|----|-|---|
ahisire die x	--|---|---⌫|
merch igracesuous	-----⌫|-----|---|
rent pe i resdousdeche	---|--⌫-⌫--|---|-|--|
quiluous plai st	-|-|---|----⌫-|
qu eiefenisseenpoure tecaruousuen istes mor t	--⌫|-|------|-|-----⌫-|--|---|---⌫----|---⌫|
s ouf frirenterrecommepourese t	-⌫---⌫---|-|----|----|-----|-⌫|
besoign eus.	-------⌫--||
sir epourchequeie	---⌫|---|--|--|-|
auoire lsiecleplusdemoreesans pechie uousencri	----|-⌫|-----|---|------|---|-----|---|-|--|
ieme rchica r ieuoi bie n e t s aiqueie	-|--⌫---|--⌫|-|--|---⌫|-⌫|-⌫-|--|-|
suia ma finuenus	--||-|--|----|
bi aus peres quideuostr e sa n c meuen istesraca terne	--⌫--|----|--|-|-----⌫|--⌫-⌫|-|---⌫----|----⌫--|-|
perd ésenmo i l	----⌫--|-|--⌫||
espe r itqueuo usi	----⌫-⌫-|--|--⌫-||
meistes maisen ches tda a r ainiouroum a fins	------|---|-|----⌫|--⌫-⌫-⌫--|---|-|-⌫|---|
estaparelliemerecheuésc omme	--|--------|-|--------|-⌫---|
chel ui qui u ousre ieh is l e	----⌫-|--|-⌫--|--⌫---⌫-|-⌫|
car gede mespechi e s sigranset si esp oentablesque	---⌫-|-|--|-----⌫-⌫|-|----|-|-|---⌫--------|--|
ienen puis direlaso m me	-||-|---|---|-|--⌫-⌫-|
mescorsamesfait en terreou	--|---||------|-|----|-|
nus nepuet	--|-|---|
es tre sa nspechi ebiax	--⌫--|--⌫-|-----⌫|---|
sirepr en ése ntlauo streueniance	---|--⌫--⌫--|-⌫-|-|--⌫---|-------|
ent elmaniereque	-|-⌫-|------|--|
c omment que lame	-⌫-----|--||--|
soitt ormenté	---|-⌫-------|
apreslecorsquele soiten	----|-|---|-|--|---|-|
aucuntansacompa ignieac heusquia uront	----|---|------⌫----||-⌫---|--|-⌫----|
lapar dura b leclart edeta	-|---⌫----⌫-⌫-|-----⌫|-|-|
maison et compaigniesansfin.	-----|-|---------|---|--||
biaus p erespiteus prengeuouspites defemeel ene	----|-⌫---|-----|-----|---|----|-|---|--⌫--|
quiestdes chendued elhaut	--|--|---⌫------|-⌫-|---|
lign ag e queuousestablist es	----⌫--⌫|--|---|---------⌫-|
elregne auentureus aessau c hier	-|----|---------||-----⌫-⌫---|
uostren onet	-----|-⌫-|-|
lah autech ede uostrefoi	-|-⌫------⌫|-|-----|--|
etaauoir uosgra nsrepostables qui	-||----|--|---⌫-|----------|--|
de uantlesestraignes	--⌫---|--|---------|
peupleslorauié suicto iredonee sire cons elliés la	------|--|-----⌫|-----⌫--|----|---|----⌫------|-|
desconselli equ i de	-----------⌫|--⌫|-|
cheluiha utlignageestdescen dueet ta nta	-----|--⌫-|------|--|------⌫--|-|--⌫-||
am eeuostre	--⌫-|-----|
cre an ceetu os	---⌫--⌫-|-|-⌫-|
commandemensgard és.	-----------|----⌫--||
cheitiffilsireuousremenbre quiest	------|--|---|---|-------|--|--|
si ion esorphenins car	-|---⌫-|--------|--|
li pooir sonten uos trema inparc oi u ous	-|----|---|-|---⌫--|--⌫-|--|-⌫-|-⌫--|
maintené sles orphenin .	---------⌫|--|-------||
quantlir ois b ansotdit esces paro les	----|-|-⌫--|-⌫--|-|---⌫-|--|----⌫--|
il rega rda	-|----⌫--|
uerslechiel et batis a	---|-|----|-|---|-⌫|
coup e etp lourases pechies deuantl	----⌫|-|-⌫----|--|------|-----||
esg artn ostresi gnour et puiserrachayypausd	---⌫--|-⌫----|--⌫----|-|---|------|-|---||
erbeel nondesai ntetrinite et	---|-|--|-|---⌫--|------|-|
defermec reance	-|----|-⌫-----|
et lorsliserrelic uersd el	-|---|-|----|-|-⌫---|-⌫-|
grant deulqu ila	----|---|-|-||
de sa femeet de	-|-|---|-|-|
sonfilquilen	--|--|-|-|-|
pertlaparo letoute	---|-|----⌫-|----|
etlio ei lli	-|-|-⌫--⌫|-|
tr oublentelchief et	--⌫------|-|----|-|
il sest entsidurementque	-||---⌫--|-|-------|--|
les ua inesdel c uerli	--|--⌫---|--|-⌫--|-|
r ompent .	-⌫-----||
et l i cuer sli	-|-⌫|----⌫|-|
estcreués elu entr e etil gutmorsa	--|------|-|-⌫----⌫|-|-|--|---||
t er rese smains estenduesetleuisencontre	-⌫--⌫-|--⌫|----|--------|-|-|--|-------|
lech iel et lechieft ornéue rsorien t .	-|--⌫--|-|-|----|-⌫----|--⌫-|-----⌫||
sesc heu ax fuesfraiés	--|-⌫---⌫-|-|--------|
delch aiorquil	--|--⌫---|-|-|
af aitlors	|-⌫--|---|
sent ou rna	|-|-⌫--⌫--|
enfuiestoutcontreuall etertreet	-|----|---|--------|-⌫|-----|-|
as a utrescheu axen uint toutd roit .	-|-⌫----|----⌫-|-|---|---|-⌫---||
et qu ant la roinele	-|--⌫--|-|----|-|
uoitsi distau	---|-|---|-|
ua lletquiauoecausest oitqu	--⌫---|--|----|--|---⌫--|-|
illeprenge.	-|-|-----||
chismetl enfan t	---|--||-----⌫|
ater re et courtprendrelecheual	|---⌫-|-|----|------|-|-----|
pu ismontehaut el tertre si treuel eroigis an t	--⌫-|----|---|-|-----|-|----|-⌫|--|---⌫--⌫|
toutfroit morts i	---|----|---|-⌫|
co mm e uousa uésoi.	--⌫--⌫|---|-⌫---|-||
liual lesd esch ent	-|---⌫--|-⌫----⌫--|
qua ntil treuemortle roibans on	---⌫-|-|----|---|-|--|--|-⌫-|
seignour siieteuncrisihautquel aroine	-------|-|---|-|--|-|---|--|-⌫|----|
clers i enest	---|-⌫|-|--|
t an tesba hiequ elelaisesonfi la terre	-⌫--⌫|----⌫--|-|--|----|--|--⌫||----|
deu antlespies des	---⌫--|--|---|--|
cheuax puisse stescourchie si cuerttout	-----|---||-⌫-|---------|-|----|---|
apie c ontremontletertre	|--|-⌫--------|-|-----|
ettreuueleuarletgisants our leroi	-|-----|-|-----|-----|-⌫--|-|--|
et faisoittel deul	-|------|--|---|
q ue nepooitgrign our	-⌫-|-|----|-----⌫--|
etqu a ntele uoits onsi gnou r	-|--⌫-⌫-|--|---|-⌫-|--⌫----⌫|
mo rtsisepasme d esos	--⌫-|-|-|----|-⌫---|
etq uantele reui nt depaumisonsise demente	-|-⌫---|--|----⌫-|-|-------|-|-|------|
etplain t s esgra nsdolours dont ele	-|-----⌫|-⌫-|---⌫-|------|---|--|
si tireses cauexquimoultestoient	-|---|--|----|--|----|-------|
b eletblontetderon tse sdrasetieteen	-⌫-|-|----|-|-----⌫|--⌫|---|-|---|-|
uoieete sgr at in esontendre	---|-|-⌫---⌫--⌫--⌫|--|-----|
uissiquelisans	--|----|-|---|
uermausli couletoutc ont re uallesioessire greteles	------|-|----|---|-⌫---⌫--⌫--|--|---|-|--⌫----|--|
g ra nsproec hess on signouretses	-⌫--⌫-|-----⌫--|-⌫-|------|-|--|
grans deboinarete set	----|-----------⌫|-|
crie sihaut queli tertres	---|-|---|--|-|------|
etliuausettoutela terre e n uironen	-|-|---|-|----|-|----|-⌫-⌫----|-|
ret entisoit.	---⌫-------||
tanta criéq ueplus	---||----|-⌫-|---|
si est las ee	-|--|---⌫-|
etlapa role lifaut pour	-|-|--⌫---|-|---|---|
dueldo nt licuersliestserés	---|--⌫-|-|----|-|--|-----|
pa smesou uentetgramente.	--⌫--|---⌫---|-|-------||
a regreté lesgr ansp roechessonsignour et	|-------|--|--⌫--|-⌫------|--|------|-|
bienploré etplaint sesgransdamages sine	---|-----|-|-----|--|----|------|-|-|
desirenuleriense la mortnon e tmoult le	-----|---|---|-|-|---|--|-⌫|----|-|
blasmeq uetantdemeure.	-----|-⌫-|---|------||
etquantele alongemente stei ensisili	-|----|--||--------|-⌫---|---|-|-|
r emenbredeso n filneiam ais	-⌫------|-|--⌫|--|-|---⌫--|
ne u eute s trec onforteepar autre riens	-|-⌫--|-⌫-⌫--|-⌫-------|--|----|----|
etpourle grant	-|---|-|----|
paourqueleaqu e	----|-|--||--⌫|
licheualne l aientm ortdeuantquiele	-|-----|-||----|-⌫--|-----|--|--|
la isiési ieteun cri mou ltgrantet	--⌫----|-|---|-|--|---⌫-|----|-|
lor ssautsusag uise	---⌫|---|--||-⌫---|
de feme forseneesic ort laouele	-|---|-------|-|-⌫--|-|-|--|
auoits on fi llaisié.	----|-⌫-|--⌫|------||
maistan tled estraint	---|---⌫|-|-⌫-------|
le grantpaours quel eaqu il n e	-|----|-----|-|--⌫||-|-|-⌫|
s oitmors quel echi et	-⌫--|---|-|--⌫|---⌫-|
pasme ea ter re ainsqu el esoituenue al aualer	-----⌫||---⌫-|-----|--⌫|---|----|||-----|
aureuenirdepaumisonsse	-|------|-|--------|-|
plai nt et gramentemoult	----⌫-|-|-------|----|
durement puis saut suset aualel e montaig ne granscou rs	-------|---|---|--|-|----|-⌫|-------⌫-|----|---⌫-|
aua lsi est esc a u elee etde schire e.	---⌫|-|--|---⌫-⌫-⌫---|-|--⌫------⌫||
et qua nteleapr ochedes	-|---⌫-|--|---⌫---|--|
che uaxqui	---⌫--|--|
estoien tdesuslelach	-------⌫|----|-|---|
si uoi tson fil	-|---⌫|--|--|
hor delbercheultoutdesliiéetuo itun edamoisele qui	--|--|-------|---|-------|-|--⌫-|--⌫|--------|--|
le tenoittou t nuen s ongironetle straint	-|-----|---⌫|-|-|-⌫-|----|-||-⌫------|
et ser re moultdure mente ntrese sm ameles	-|---⌫-|----|----⌫---|-⌫---|--⌫|-⌫-----|
et l ibai se lesie xetlabo uce	-|-⌫|---⌫-|--|--⌫|-|-|--⌫--|
n auoi t mie	|----⌫|--|
tor tc arch ees toi tli plusbiaus	---⌫|-⌫-|--⌫|--⌫---⌫|-|---|----|
enfes d etoutlem on de.	----|-⌫|---|-|-⌫--⌫-||
lamatine e	-|------⌫|
fufroideet	-|-----|-|
tantost estoitai orné .	------|-----|--⌫----||
e tlaroinedista	-⌫|-|----|---||
l a damoiselebeledouceamie pour d ieulaisiés	-⌫|--------|---|----|---|---|-⌫--|-------|
lenfant cardes	|-----|--|--|
ore enauant auraassesmesaise	--|-|----|---|----|------|
etdu el carensi gra n de orfeninetees thuikeus	-|--⌫-|--|-|-|---⌫-⌫-|---------|--⌫|--|---|
commechilquia perdus tout eioie	----|---|--||-----|----⌫|---|
carsespeiresest o r endroi tmorsetsi	--|--|-----|--|-⌫-⌫------⌫|---|-|-|
as ater r e pe rdueq ui	|-⌫|---⌫-⌫|--⌫---|-⌫-|
nestoit mi epetitese die x	|-----|--⌫|-----|-|---⌫|
l al ieust gardee si comme	-⌫|-⌫|---|-----|-|----|
ille de ust	-|-|--⌫--|
achosequela	|----|--|-|
dame dieladamoiselene respont	---|--|-|--------|-|------|
etquant e le leuoit apr ochier si	-|----|-⌫-|-|---|---⌫-----|-|
selieueatoutlenfant qu ele tenoitentre	-|----|----||-----|-|--|-----|----|
ses b raset si	--|-⌫--|-|-|
reua i tdurementa ulacsii o inte t	----⌫-⌫|-------|-⌫|--|-|-⌫-⌫--|-⌫|
qu a ntlar oineuo itson	--⌫-⌫-|-|-⌫---|--⌫-|--|
fil d edensle lacsi s epasme	--|-⌫----|-|--|-|-⌫|----|
etquant e le estreuenue de	-|----|-⌫-|--|------|-|
paumisonssi	--------|-|
neuo it nel	-|--⌫-|-||
e nfantneladamois e.	-⌫----|-|-|------⌫||
e tlorscomm encha afaire	-⌫|---|----⌫----||----|
z zduels igrant q uenepustfa ire	-⌫|---|-⌫|----|-⌫-|-|---|--⌫--|
grig noretfustsailliededensl elacse	----⌫--|-|---|------|-----|-⌫|--|-|
liuarlesnel eusttenueq u ile roiauo i t	-|-----|-||---|----|-⌫-⌫|-|--|---⌫-⌫|
laissi étenlamont aign e	------⌫--|-|-|----⌫----⌫|
si esto it	-|----⌫-|
uenuslar oi neconfo rter pour la grant paou r qu	----|-|-⌫--⌫-|-----⌫---|---|-|----|----⌫|-|
ilauoitqu elene	-|----|-|--|-|
se des esperast .	-|---⌫-------||
deldu el quelaroinefait ne	--|--⌫-|--|-|----|---|-|
uousporroitnusdir e lasomme.	---|------|--|---⌫|-|----||
etendementiers quelese gramen toit si	-|-----------|-|--|-|------⌫---|-|
estauenue chosequeuneabeesse trespa sso it	--|-----|----|--|--|------|------⌫---⌫-|
par i leucso i tierce de nounains etauoec lui	--|-⌫---|--⌫|-----|-|-------|-|----|--|
es toi ts escape lainset unsrendus	--⌫---⌫|-⌫-|----⌫----|-|--|-----|
etdoi escuier san s pl usdegrant	-|--|------|---⌫|--⌫-|-|----|
eleoiled uelque	--|-|-|-⌫--|--|
la ro i nedemenoit silenprist	-|--⌫-⌫-|-------|-||-|----|
moult gran tpi tesettou rna chelepartsi	----|----⌫|--⌫--|-|---⌫--|----|---|-|
distla roinediex uous doinstioie	---|-|----|---|---|-----|---|
chertesdamefaitl a roine il m	------|---|---|-⌫|----|-||
enseroitmoultgrantmestiercar iesui	-|-----|----|----|------|--|-|--|
desconsellie femese roitdel	-----------|---|--⌫---|--|
mondecar ie aip erdueenche stiourde	----|--|-|-|-⌫----|-|---⌫-|---|-|
hui toutehonoret toute ioie dont i ai	--|----|----|-|----|---|---||-|
asseseu parmaintes	----|-|--|------|
a damefai t	|---|---⌫|
l a beessequimoultle	|-⌫-----|--|----|-|
uitde gran tbi aute senefustlegr ant duel	--|-|----⌫|--⌫---|-|-|---|-|--⌫--|---|
quelea uoit	-|--|-⌫---|
et lid istquiestesuous	-|-|-⌫--|--|----|---|
diexdamef aitla roine moine puet	---|---|-⌫--|-|----|--|-|---|
gairescaloir o rendroit	-----|-----|-⌫-------|
quiie soie	--|-|---|
f o rsde che que ie uiftrop.	-⌫-⌫-|-|--|--|-|--|---||
regarde l icapelain setdist alabeesse dame	------|-⌫|--------⌫|-|---|||------|---|
d ieuiamaisne	-⌫--|-----|-|
mecreésseche	-|-----|-|--|
n e st madame laroinele	|-⌫-|-|---|-|----|-|
f e me au roiban.	-⌫-⌫-|-|--|--||
ab eesse cheuitsi	--⌫----|--|--|-|
commencha aplorerm ou ltdurement si	--------||-----|-⌫--⌫-|-------|-|
li distdame	-|---|---|
pourdieuit antn ous dites siuouses t es madame	---|---|--⌫--|-⌫--|----|-|---|--⌫-⌫-|-|---|
la ro ine .	-|--⌫--||
etch ele se	-|--⌫--|-|
pa smetantostet	--⌫--|------|-|
q uante le	-⌫---|-⌫-|
reuint de paumiso n	-----|-|-------⌫|
siliredistlabeesse pou rdie udame neuous	-|-|-----||------|---⌫|---⌫|---|-|---|
chelésmi euersmoicar	------|--⌫|---|--|--|
iesaibie nqueuou s es tes madamela roine	-|--|---⌫|--|---⌫|--⌫--|-|---|-|----|
la roi ne lirespontadonquesmait d iex uoirem entsui	-|---⌫-|-|------|-------||--|-⌫--|------⌫--|--|
i elaro ine a s	-⌫|-|--⌫--|-⌫|
gransdolo rs.	----|----⌫-||
pou r c hestnon	---⌫|-⌫---|--|
queles e mistest apele ́s chis	-|--|-⌫|---|--|-----⌫-|---|
contes elco mmenc hement li conte s	-----|-|--⌫-----⌫-----|-|-----⌫|
roineasgr ans	----|-|--⌫--|
et eledistal	-|--|---|||
abeessedamepour	------|---|---|
die uquique ie soiefait es m oinounainc arie	---⌫|--|--|-|---|----⌫-|-⌫-|------|-⌫-|-|
ne desirer ient ant.	-|-----|-⌫--|-⌫--||
chertesdame faitlab eesse moult	------|---|---||--⌫----|----|
uole ntiersmais pourd ieudites nous	----⌫-----|---|---|-⌫--|----|---|
uo strem esestanc hecar moul ten suiamala ise.	--⌫---|-⌫--------⌫-|--|----⌫|-|--||----⌫--||
et l aroi neli	-|-⌫|---⌫-|-|
contesamescheancede chie fen chie fde	----|-|---------|-|----⌫|-|----⌫|-|
saterrequelea p er due etde s on	-|----|-|--||-⌫--⌫--|-|-|-⌫-|
signo urqui	-----⌫-|--|
estm orssourle tert r eetde sonfil	--|-⌫--|---|-|----⌫-⌫|-|-|--|--|
queenporte	--|------|
uns dyabl es en guise d u nedamoi sele.	--|-----⌫-|-|----||-⌫-|-----⌫---||
lorslidem and elabeessecomment lirois a uo itesté	---|-|---⌫---⌫||------|------|-|---|-⌫--⌫-|----|
mor smais e le ne liseit	---⌫|---|-⌫-|-|-|---|
damefaitele espoirchestpourleduel de	---|---|--|-----|-|--|---|-|---|-|
trebequiest ars.	----|--|--|--||
fait l abbe esse estildont ar s	---||----⌫---|--|-|---|--⌫|
oiluoirdameet siquidoie qu euous le	--|---|---|-|-|------|--⌫|---|-|
seusiés bien .	-------|---||
maitdiexdame faitelen o n s auoiemaisor	|--|---|---|---|--|-⌫-⌫|-⌫----|---|-|
queautre dolor	--|----|----|
nela mortdo uneenedeso re	-|||---|--⌫---|-|--|-⌫-|
en a uant quel pensequei	-|-⌫---|---|----|--||
aieieneuo e lplusausi ecledem orer .	--|-|-|--⌫-⌫|---|-|--⌫---|---⌫---||
mespo urdieu dame	--|--⌫-|---|---|
faitesprendr ecestgrant auoirqui ch iestd or	-----|------⌫|---|----|----|--|--⌫|--||-|
de uaselemen te etdeio i aus	-|---------⌫-|-|-|--⌫-⌫--|
si enf ai tesenfaiteschifa ire un	-|-|-⌫--⌫--|-|-----|--|--⌫--|-|
p etit m oustierou	-⌫---|-⌫------|-|
onchanter ae tproierapourlarme	-|-------⌫|-⌫|------|---||---|
