messirenobles li	--|---|-----|-|
e nsam ai ntenoitp s al t ier	-⌫|-|-⌫--⌫|-----|-⌫-⌫--⌫-⌫--|
qua tre cha pons	---⌫--|---⌫---|
toussouranés	---|--------|
l e urauoit bour geois donnés	-⌫-⌫-|----|----⌫----|------|
quimoultestoitman ans etr iche	--|----|-----|---⌫--|-|-⌫---|
uersauxnefu auers n e chichez	---|--|-|-|----|-⌫|------|
ren artle s	---⌫--|--⌫|
a apperceus	|--------|
il biendecheus	-|---|------|
seiln enfaits es gr enons	-|-||-|---|-⌫-|--⌫----|
ensauerabiende duire	-|-----|---|--⌫----|
p arfoyfaiti l nemappar ti en t	-⌫-|--|---|-⌫|-||-----⌫--⌫--⌫|
cilzqui de	---|--|-|
charm e ngiersetient	---|-⌫-⌫----|-|----|
naipasfaitueude	|-|--|---|--|-|
mengier char	------|---|
trop metenroi e poureschar	---|-|------⌫|---|-----|
q uid etel ueu faire meferoi t	-⌫-|-⌫|--|--|----|-|-----⌫|
moultdur eme nt	----|---⌫---⌫-|
me meffe roit	-|-----⌫---|
quedecha r nemepuistenir	--|-|---⌫|-|-|---|----|
lieupuisaduenir	---|---|------|
iemous terraiquei e ferai	-|----⌫-----|--|-⌫|----|
a magoulelesme ngerai	|-|----|--|--⌫-----|
tre spa sse liiors uient	---⌫---⌫--|-|---|----|
r e na rc uideschaponssouu ient	-⌫-⌫--⌫|-⌫-|--|------|----⌫---|
ne lespoustmettreen obl iance	-|--|----|-----|-|---⌫----|
etnuitetiou radesypense	-|---|-|---⌫|---||----|
chapon sl un endero uche	------⌫||-|-|----⌫---|
lunenmengue a ucuerl ito uche	|-|-|-----|-⌫|---|-⌫|--⌫---|
les autres	--|-----|
dr ois a mis en ter re	--⌫--||--|-|---⌫-|
lendem ainlesuerrareq uerre	|-----⌫--|--|----|---⌫----|
si lesa co uuersdou terrei r	-|--||--⌫----|--|------⌫|
etpuis serestaléscouchier	-|---|-|---|----|-------|
nulsne sceit r iendeson	---|-|----|-⌫--|-|--|
ned oularrecinqu l hafait	-|-⌫-|-------|-||-|---|
silich ei p ara uent ure	-|-|--⌫-|-⌫-|-⌫----⌫--|
b i enretraict	-⌫-⌫-|-------|
asano urrit ure	|-|--⌫-----⌫--|
l endemainapreslesmatines	|-------|----|--|------|
r enarquitantaimme gelines	-⌫---|--|---|----|------|
de lundiceuxs es td esgeunés	-||-||----||--⌫|-⌫--------|
p uisen cloistreret ournés	-⌫--|-|-------|---⌫------|
letiersmen geaquenulsne	-|----|---⌫--|--|---|-|
auquartmeng ierque	-|----|----⌫--|--|
plus nyous t	---|||---⌫|
freresquipar lapa ssoit	-----|--|--|-|--⌫----|
r enart choisit etapperchoi t	-⌫----|------|-|---------⌫|
maintenant ledist auc ouuent	---------|-|---|-|-⌫-----|
renare nousthontemoult grant	----|-⌫|---|----|----|----|
r enarleur en uoloitdroitfaire	-⌫---|---|-|-----|----|----|
mais adantabb enepoust	---||---|---⌫|-|----|
quilauoit mengié u n	-|-|----|------|-⌫|
sin e l enestoit mieorbel	-|-⌫||-|-----|--|-|--|
arena rt onttolules drap s	|----⌫-|--|---|--|----⌫|
tan toustmengie ́ que tousfugras	---⌫|---|------⌫|--|---|-|---|
ne demandoitne plusnem ai ns	-|--------|-|---|-|-⌫--⌫-|
maisqu il fustmish ors	---|-|-|---|--|-⌫--|
delor mains	-|--|----|
moult durementioie a fait	----|-------|---||---|
carliordres point	--|-|-----|----|
ne li plaist	-|-|-----|
tourn éssenesttout	-----⌫--||-|--|---|
ancorg reuera	----|-⌫-----|
lon tmisenlauoie	|--⌫|--|-|-|---|
touss oulzsenuanulz nel connoie	---|-⌫---||-|-|---|-||------|
moultmenach es es anemis	----|------⌫|-⌫-|-----|
et parparolesetp ardis	-|--|------|-|-⌫-|--|
sa testei ureetsacoronne	-|----|-⌫--|-|-|------|
et lebersainct	-|-|--|-----|
p erederomme	-⌫--|-|----|
belleda mehon oree	----|--⌫-|---⌫---|
q ueia c esteniert	-⌫-|-|-⌫---||---|
pardonn ee	-------⌫-|
aysen grin n eathiebert	|----⌫---|-⌫||-------|
tantma lsoffert	---|--⌫|------|
roo nnelest enmi lauoie	---⌫---|--|---|-|---|
qua ntilleuo it	---⌫-|-|-|--⌫-|
mo ults enesmaie	--⌫--||-|-----|
lorssescrie	---||-----|
uéslerend us	---|-|----⌫-|
que nonsde uien sa u oir pendu	--|---|--⌫----⌫|-⌫-⌫--|----|
len firent issir	|-|-----|----|
limoine nelpueentsoffrir	-|----|-||-----|------|
ilnata lent deramprosner	-|||--⌫---|-|---------|
ai nssereprist	--⌫-|-|------|
droit est uenus	----|--|----|
a sataisniere	|-|--------|
siatrouuésa	-||------|-|
femechiere	---|-----|
quantelleuoitgra nt i oieenha	----|-|-|---|---⌫-|-⌫--|-|-|
ses y ybrasau	--|-⌫|---|-|
coul ligitta	---|-|----|
maismo ult	---|--⌫--|
gr a ntduelauoite hu	--⌫-⌫-|---|----|-⌫-|
dece quysengrin loustuaincu	-|-|-|-------||---|-----|
l ienfant ontio iemoult grant	-⌫|-----|--|--⌫-|----|----|
pereuoient uiua n t	---|-----|----⌫-⌫|
puisqu eilestsains r epairi és	---|--⌫|-|--|----|-⌫------⌫--|
ch acunsenest ioi anset lies	--⌫----|-|--|---⌫--|-|---|
moultf ub ienacesme ́s li	----|-⌫|-⌫--|------⌫-|-|
r enarq ui fu	-⌫---|-⌫-|-|
reiscommeprebstes	---|----|-------|
oustmoul t granttalent demengier	---|----⌫|----|-----|-|------|
l eauecom mencaahuchier	|---|---⌫----||------|
et on liatostapportee	-|-|-||---|-------|
et s i ontlatable posee	-|-⌫|--|-|----|----|
renarsmengea	-----|-----|
moul t uole nti ers	----⌫|----⌫---⌫--|
aplent e oust	|-----⌫|---|
debonsm engie rs	-|---|-⌫-----⌫-|
orest renarm oultbienetaai se	-|--|----|-⌫---|---|-|---⌫-|
an cor metteraa malaise	--⌫--|------||------|
mo nse igneury sengrin le l eu	--⌫|--⌫-----|-⌫------|-|-⌫-|
bienen fait	---|-|---|
uouadamedeu	--||------|
o r se gart thiebert	-⌫|-|---|-------|
roobr unset thiecelin	--|--⌫--|-|--------|
renarl eurf era que	----|-⌫--|-⌫--|--|
qu iltarde	-|-|----|
tels au tdontnese pr en nentgarde	--|-⌫--⌫|---|-|-|--⌫--⌫---|----|
