cilfabla or	--|-----⌫-|
amors et pidiezetnature	----|-|-----|-|-----|
lorfaitguerpir lornorri ture	--|---|------|--|-----⌫---|
a lormeresen	|--|---||-|
u on tl ifiz	-⌫--⌫|-⌫|--|
celilaisentque s	---|------|-|-⌫|
atresili deable s f ait	-----|-|------⌫|-⌫--|
quan t lescreatu r esfor trai t	----⌫|--|------⌫-⌫-|---⌫----⌫|
e t enble anos tre	-⌫|----||---⌫--|
quantsuntenauc uneerror	----|---|-|---⌫--|----|
desceu oirlessetet trahir	------⌫--|--|--|-|-----|
lorcriatorlorfaitgue rpir	--|------|--|---|---⌫---|
tolle nt sa c reature	-----⌫-|-|-⌫------|
maisquantilauientau e ntu re	---|----|-|-----|--⌫-⌫---⌫-|
queiloient bonX XX	--|-|----|--|-⌫-|
do nc senreuonta l ors eignor	--⌫-||-|-----||-⌫-|-⌫-----|
cristlorp ropre	----|--|-⌫----|
et a sein tee g lise lor	-||----⌫-|-⌫-⌫---|--|
dex nostre pe reesperi tab les	--|-----|--⌫-|------⌫---⌫--|
nosgart desenginsesdeables	--|---|--|-----|-|------|
u n a utre o isel	-⌫|-⌫---|-⌫---|
po etlon tro uer	--⌫-|--|---⌫--|
quiestte xquine	--|--|--⌫|-||-|
pue t uoler	---⌫|----|
cil oiseausale b e c	--|------||-|-⌫-⌫|
a pie z come	|---⌫|---|
est chamoiapele z	--|-----|-----⌫|
a utensque florissen tl iblez	-⌫|---|--|---------⌫|-⌫|---|
aparissentunesestoile s	---------|---|-------⌫|
quiplussunt	--|---|---|
cleresque c hand oiles	-----|--|-⌫----⌫----|
ciloiseaus eniceltens pont	--|------|-|---|---|---|
ets e sues	-|-⌫-⌫|--|
o usa blon	-⌫|--⌫---|
as es toilesprent	-|--⌫-----|----|
bien icuideuenirtoz dis	---||----|----|--|--|
en partetuapasturer	-|---|-|-|-------|
alui nes epuet resann er	|--|-|-⌫|---|------⌫-|
multest dolanz etcorrocié	---|--|-----|-|--------|
que s estpornien ttr aua illé	--||--|--|----⌫|--⌫---⌫----|
totape rdue sa	--||--⌫---|-|
quan teschaufé	----⌫|--------|
suntou sablon	---|-|-----|
dedenzsunt enclos	-----|---|-----|
couue nttantqueilsuntesclos	-----⌫-|------|-|---|-----|
lioiseldedenz senorriss ent	-|----|-----|-|-------⌫--|
poentsi seni s sent	----|-||-|-⌫-⌫---|
icil ois eausesto bliou s	---|---⌫---|--|-⌫-----⌫|
a utres i sumesnos	-⌫-----⌫|----|--|
quilesrichecescouoiton s	--|--|-------|--------⌫|
tant que damideuoblions	----⌫--|------|------|
nosdeuonspl usqueri en amer	--|-----|--⌫-|--|--⌫-|---|
c eluiqui nos doig n aform er	-⌫---|--|--|----⌫-⌫|----⌫-|
card amide x maimesdist	--|-⌫-----⌫|-----|---|
etleuangelisteslescrit	-||-----------||-----|
honsquiplus aime	---|--|---|---|
demoifaitdex nesue rne	-|--|---|--|-|---⌫|-|
nefil ne fill e n e	-|--|-|----⌫|-⌫|
nes t p asdignedauoirmon	|--⌫|-⌫-|----||----|--|
nos trouonsenlaloiescri t	--|------|-|-|--|-----⌫|
qued amidexmaimesdist	--|-⌫-----|-----|---|
doizhonorerto npere	---|------|--⌫|---|
de tottonpooir et ta	-|--|--|----|-|-|
hupec estunspetiz	---||--|--|----|
l escript ured it quilestbeaus	|-------⌫--|-⌫-|-|-|--|----|
c hascunan ses oi seaus	-⌫-----|-|--|--⌫----|
laupequanteleenueillist	-|--|----|--|---------|
lioel l i troblent etespoissent	-|--|-⌫|-------|-|---------|
toil es desuslicroissent	----⌫-|----|-|--------|
ettantqueelene	-|------|--|-|
qu ant perdua s aclar tetote	--⌫--|----||-⌫|----⌫-|---|
dontenont grant	---|-|--|----|
pidi el ifiz	----⌫|-⌫|--|
si soefnor ri z	-|---|---⌫--⌫|
sel iuontleseauz lechier	-|-⌫|---|--|---|------|
qucuidentles	-|------|--|
toilesp ercier	-----|-⌫-----|
l acouue etno rrist	-⌫|----|-|--⌫----|
et tantquereioue nis t	-|------|------⌫---⌫|
cesoiseausensegre deuons	--|------|------|-----|
qua nta seinteegl i seuenon s	---⌫-||-----|---⌫-⌫-|-----⌫|
honoronsc e xqui nosnorr i rent	-------|-⌫-⌫|--|--|----⌫-⌫---|
rendons lorle	------|--|-|
bien quiln os firent	---|-|-|-⌫-|-----|
et pereet me r eho norons	-|---|-|--⌫-⌫|--⌫-----|
per droithonorerdeu ons	--|----|------|---⌫--|
unsoisea u x estphen ix a non	--|-----⌫-⌫|--|----⌫-||--|
enseintee scrituretrouon	-|-----|-⌫-------|-----|
qu eciloiseausn estpascom mun	--⌫|--|------||--|--|---⌫--|
ilnenfuonquesquezz	-||-|-|-----|--|-|
sicomnosd itlapro phecie	-|--|--|-⌫-|-|---⌫-----|
iciloiseaus	---|------|
c ri st se nefie	-⌫--⌫-|--⌫----|
quedex e nleuang eli dit	--|--|-⌫||-----⌫--|--|
sicom e nos trouons escrit	-|---⌫|--|------|-----|
poonsentendre	----|-------|
ie puismarmelaisierouprendre	-|---||---|------|-|------|
per cesparolespasfable	--|--|------|--|----|
suntlifelon iuisco rpable	---|-|----|---|--⌫-----|
liois iea que stphe nixn ommez	-|---⌫--|-|-⌫-|---⌫--|-⌫----|
desersdeindetroue z	-----|-|---|-----⌫|
ciloisea us bi en chantanz	--|-----⌫-|--⌫-|-------|
q u anti lauescu	-⌫-⌫--|-⌫||----|
un au brequiert n en dot	-|--⌫--|-----||-|--|
quiestapelezlibanu s	--|--|-----|------⌫|
illuectr ueu echiersoignemenz	-----|--⌫---⌫|-----|--------|
aromatis emenz	--------⌫----|
sachi ezquetozchar g iez s enu ait	-----⌫-|--|--|----⌫-⌫--||-|-⌫--|
etsien fai tzzg rantat rahit	-|-|-|---⌫|-|-⌫---|--⌫----|
espi cesquiert mul tu ertuouses	----⌫--|-----|---⌫|-⌫--------|
etbones p ierresprecious es	-|----|-⌫-----|--------⌫-|
mul te nat rait	---⌫|-⌫|--⌫---|
deplisorsparz	-|------|---|
cesteauneefait il	----|----|---|-|
ceschoses auneen z z lue	--|-----|---|-|-⌫|--|
des pierresfait	--|------|---|
sa illirle fue	--⌫----|-|--|
a sesales prentau en ter	|--|---|----||-⌫--⌫--|
tantqu ill efait	-----|-|-⌫|---|
bi en a lumer	--⌫-|-⌫----|
dedenzlefuechao ir senuait	-----|-|--|----⌫-||-|---|
et dedenz ardoirtozselait	-|-----|-----|--|-|---|
l eprem ieriorpoez	-⌫|----⌫--|--|---|
en t endre	--⌫-⌫----|
zz ue rs desuient	-|--⌫-|-------|
auseconiortciluermoiseaus	-|----|---|--|----------|
redes ui entzz petizo iseaus	-----⌫--⌫--|-|----|-⌫-----|
etautierziortes t r efor m ez	-|-|----|---|--⌫|-⌫----⌫-⌫-|
phen ixettozrenou ele z	----⌫-|-|--|-----⌫---⌫|
ici loiseaus	---⌫|------|
cristsenefie	----|------|
qu eau tierzior	--⌫|-|----|--|
uintde mortauie	---|-|---||--|
e n escriptu r e l e	-⌫|--------⌫-⌫|-⌫|
etperlesele s entendons	-|--|--|---⌫|--------|
de laloiles com andemen z	-|-|--|--|---⌫-------⌫|
que lontroeue es yyt estemenz	--|--|-----|-|-|-⌫-------|
el cen tesim e psa lmedit	-|---⌫-----⌫|---⌫--|--|
d auidquilepsautier esc rit	-⌫---|--|-|-------|---⌫--|
l ice rsdes irrelaf o ntaine	-⌫|--⌫-|---⌫---|-|-⌫-⌫-----|
eueclere et saine	--|----|-|----|
maistel natu rehalidragons	---|--|----⌫-|-|-|------|
quiloc itau cersesfeons	-|-|--⌫-|-|--|--|----|
quantilpuete nsaf osseentrer	----|-|---|-⌫|-|-⌫---|-----|
q uantli cerslerepuettr o uer	-⌫---|-|---|-|-----|--⌫-⌫--|
os aloinelen	||-----||-|
faitsa illir	---|--⌫----|
lidragons nelapuetsoff rir	-|------|-|-|---|----⌫--|
le despieceetdesuoure	-|-------|-|-------|
so s sespiezlocitetacor e	--⌫|--|---||---|-|----⌫|
lice rsp orlenueri me ure	-|--⌫-|-⌫-||------⌫--⌫--|
uaitaiqu equerre	---|----⌫|-----|
clereetpure	----|-|---|
enla fontaine	-|-|-------|
ua it uomir	--⌫-|----|
quilnepue t leu e rin soffr ir	-|-|-|---⌫|-|-⌫-⌫--|-----⌫-|
porleuerinporl enf leur e	--|-|----|--||---⌫----⌫|
li chient cornes	-|-----|-----|
adroi ture	|----⌫---|
sesungleset se speau slimu ent	--|-----|-|--⌫|----⌫|-|--⌫--|
trestuitsim enb re litressuent	-------|-|-⌫---⌫-|-|--------|
quantilsest	----|-||--|
baignie zsi	-------⌫|-|
tozlicors lire iouenist	--|-|---|-|--⌫-------|
l icerssi ha signifia nc e	-⌫|---|-|-|--------⌫--⌫|
d omequifait sapeni tence	|--|--|---|-|----⌫----|
quan tl i hons sesen t enpechie	----⌫|-⌫|---|-|---⌫|-|-----|
que deableslaacroch ié	--|------|||------⌫--|
do nt ledoitdentorsoi ch acier	--⌫-|-|---||----|--|--⌫----|
p erieuneretper ueillier	-⌫-|-----|-|--|-------|
a seinte eglise doit uenir	|-----|-----|---|----|
etsond oitreieir	-|--|-⌫--|-----|
p enersedoitettrau i lli er	-⌫---|-|---|-|----⌫-⌫---⌫-|
etl or gueldesa char	-||--⌫---|-|-|---|
aumonesfai r eet	------|---⌫-⌫|-|
ieunesetaffl i ctions	-----|-|----⌫-⌫-----|
t ortre estoiseaus	-⌫----|--|------|
detelna tu re	-|--|--⌫--⌫-|
ceno srecontelescripture	-|--⌫|------||---------|
loiautememeruoil	------|-|------|
quan telehaperdu son paroil	----⌫|--|-|----|--|-----|
seuue taut re acobler	-|---⌫|---⌫-|------|
ainzs euue tcas tementgarder	---|-⌫|---⌫|---⌫-----|-----|
etatentque sesmale suieigne	-|----|--|--|----⌫|------|
secudebienqueon	-|---|---|--|-|
l e ti egne	-⌫|--⌫---|
enceleen tente e stse s	-|---|--⌫----|-⌫-|--⌫|
castesetient iusqu	----|-|----|----|
petito iselet	----|-⌫-----|
quisagesest siseti ent net	--|----|--|-|-|--⌫--|--|
etas onmale port e foi	-||-⌫-|---|----⌫|--|
no squideu ons tenirl al oi	--⌫|--|---⌫--|----|-⌫|-⌫-|
d euriensdesguerpirluxure	-⌫------|---------|-----|
car c o estla grenor s	--|-⌫|--|-|------⌫|
et que enho meplushabunde	-|--|-|--⌫-|---|------|
e t qui pluscongielemond e	-⌫|--|---|-----|-|----⌫|
deden zlamerezzoiseax	-----⌫|-|---|-|-----|
quiu neslongues p ennes h a	--|-⌫--|------|-⌫----|-⌫|
latestehacopeeet crestie	-|----|-|----|-|------|
etl a couele e	-|-⌫|---|--⌫|
et charpie	-|------|
sarce lape le le sc ri pture	----||---⌫-||-⌫--⌫--⌫----|
q uanteleuoitp erauent ure	-⌫---|--|---|-⌫-|-----⌫--|
nefcorrecontr elese stoiles	--|----|-----⌫|--|-⌫------|
encontremonttraitesles uoiles	-----------|------|--|-----|
meintenant uerslanef	---------|---|-|--|
ses alesestentco m etref	--|---|-----|--⌫-⌫|---|
desoicuidefareunenef	-|--|----|---|--|--|
quant eleatantensiestee	----|--||---|---|----|
qu eleestt rauaillieet	-|--|--|-⌫--------|-|
pl usce m aain soffrir	--⌫-|-|-⌫---|------|
dont lestuetaulureuerti r	---||-----|-|-|-------⌫|
partit prem ie rement	-----|----⌫--⌫-----|
b i e n se	-⌫-⌫-⌫|-|
trauaille por	--------|--|
mer quensi estperfonde	--|-|---|--|-------|
poonsbienent endre lemond e	----|---|---⌫----|-|----⌫|
l i apos trequideu seruire nt	-⌫|----⌫--|--|--|-------⌫-|
etqui porsamormortsofrirent	-|--|--||---|---|--------|
e tlacreance	-⌫|-|------|
sun t delanefsig nifiance	---⌫|-|-|--|---⌫-------|
ent endrepoons	---⌫----|----|
cesquiu untes	--|--|-⌫--|-|
relig ions	-----⌫---|
pu isuoientatenir a	--⌫-|-----||----||
obe di enc eetXXX	---⌫--⌫---⌫|-|--|
puisreuienent al aluxure	---|--------||-⌫|-----|
ala uuterealor du r e	||-⌫-----|||--⌫--⌫-⌫|
nes epoentabie ntenir	-|-⌫|----||---⌫|----|
a mal l es coui entreuenir	|--|-⌫-|----⌫--|------|
peti tebest eestlabelete	----⌫-|----⌫|--|-|-----|
laloi ditquelenes t	-|--|--|-|--||--⌫|
por ce doitunpasmengi er	--|-|---|-|--|-----⌫-|
queanc oisq u el e	--|---⌫----⌫|--⌫|
doi eempreni er	---⌫|-------⌫-|
etses ma ulesali	-|--|--⌫---||-|
senger menrecoitensab oche	--|---⌫--|-----|-|-|-⌫---|
et encorfai tgren or me ruoille	-|----|---⌫|----⌫-|--⌫------|
queelefeone perloroille	--|--|----|--||------|
perla best eente ndre poons	--|-|----⌫|----⌫---|----|
c es quiuuntesrelig ions	-⌫-|--|---|-|-----⌫---|
uo luntiers etqui l eXX X	--⌫-------|-|--|-⌫|--⌫|
recoiuentadeuocion	--------||-------|
puismetent totenobliance	---|-----|--|-|-------|
nesunt miee n creanc e	-|---|--|-⌫|------⌫|
aspisest a us er p entsenbl able	----|--|-⌫|-⌫--⌫-⌫--|-----⌫---|
ma ismul tests age e tporueable	--⌫-|---⌫|--|-⌫--|-⌫|--------|
u n ea utre bestees ttricheresse	-⌫-⌫|-⌫---|----|--⌫|----------|
desceuableet	---------|-|
traiteresse	----------|
aspidemhet e tl o cirr oit	------|--|-⌫||-⌫----⌫--|
multuolont iers seil pooit	---|------⌫---|-|-|----|
ri ens neseporr oitsaole r	--⌫--|-|-|----⌫--|-----⌫|
de celebesteoi rchanter	-|---|----|--⌫|------|
autres be steslauu ntsiuan t	-----|--⌫---|-|--⌫-|-----⌫|
p ore scout ersonc h ant	-⌫-|-⌫-----⌫-|--|-⌫-⌫--|
alafoss e ouasp isre paire	|-|----⌫|-|---⌫-|--⌫----|
uait chanterqui	---|------|--|
l encudetrair e	|-|---|-----⌫|
quantasp islotbienap ercoit	----|---⌫-||-|---|--⌫-----|
quecelebesteledescoit	--|---|----|-|------|
oezcumilfaitgrand meruoill e	--|--|-|---|----|--------⌫|
sorla terre couches oroille	--|-|----|-----||------|
e ten lautr esacoe bote	-⌫|-||----⌫|-|--|---|
si qu elenepuet oir g ote	-|-|--|-|---|--|-⌫--|
totaut re sifait	--|---⌫--⌫-|---|
ch ascun h ome	--⌫----|-⌫--|
enri c heteco	-|--⌫-⌫---|-|
e stlasome	-⌫-|-|---|
metgr an t part iede	--|--⌫--⌫|----⌫-|-|
l autre en pechieeten luxure	|----|-|-----|-|-|-----|
luxurela some etes l ord e	-----||-⌫---|-|--⌫-⌫---⌫|
et la couoitiselessorbe	-|-|--------||------|
quineuuet p ointde prec hemen t	--|-|---|-⌫---|-|----⌫-----⌫|
de deu neson ensoigne me nt	-|--|-|--|--------⌫--⌫-|
unsoise ausestibisano n	--|----⌫--|--|---||--⌫|
mutperes tde belefa con	--|--|--⌫|-|---|--⌫--|
de tozoisea u zest	-|--|-----⌫-⌫|--|
liplus orz	-|---|--|
nemeniuueforspoi sonsmorz	-|------|---|---⌫---|---|
etcharoignesd autremeniere	-|---------||----|------|
toteshoresestsorriuiere	----|----|--|--|------|
illuecatantetesbo ote	-----|----|-|----⌫--|
lacharoigneque la	-|--------|--|-|
etn ose dedeinzl	-||--|------||
aiueen trer	---|--⌫---|
porce queelene se tn uer	--|-|--|--|-|--⌫|-⌫--|
nene setneneuuet	-|-|--|-|-|---|
l esp oisonsmorzlicou ientprendre	-⌫-|-⌫-----|---|-|---⌫---|------|
n elen o s e entrerperfont	|--||-⌫-⌫|-----|------|
il lue co u libonpo isonsunt	--⌫---⌫|-⌫|-|--|--⌫---|---|
l esperfon des eues	-⌫-|------⌫--|---|
e t se tie nt	-⌫|-|---⌫-|
lonsquireceu	|--|--|----|
qu iregene rezde crisme	--⌫|------⌫--|-|-----|
et d eu ed ou se int	-||--⌫|-⌫-|--⌫--|
uiande que dexdit	-----|--|--|--|
que xest cele ui and e	---⌫|--|---|--⌫---⌫|
donla lo iuiuren oscomande	--|-|--⌫|----|-⌫-|------|
cestsimpleceetch aritez	|--|-------|-|--⌫-----|
bont ezet i oie et XXX	----⌫-|-|-⌫--|-|--|
etpa is et foiset pac ien ce	-|--⌫-|-|---|-|---⌫---⌫-|
pidiezetd ouce obedience	-----|-|-⌫---|--------|
coestl uiande	-|--||-----|
donli loiuiure no scomande	--|-|--|----|--⌫|------|
lacharau tr e uiand equiert	-|---|--⌫--⌫|-----⌫|-----|
etsanat ure lerequiert	-|-|---⌫--|-|-------|
u olezoirdequelmeniere	-⌫---|--|-|---|------|
c estordureetauutere	|--|-----|-|------|
fornicationsetluxure	-----------|-|-----|
i ure ceglo toni eusure	-⌫---⌫-|---⌫----⌫|----|
et auarice	-|------|
et fel o nie	-|---⌫-⌫--|
trai sonscouoitiseenuie	----⌫---|--------|----|
quide tex uiandessera	--|-|--|------|---|
saol ez iltrabuch era	----⌫-|-|-------⌫--|
ou p uisda nfer ouplusperfont	-|-⌫--||-⌫---|-|---|------|
iapuisnereso rdra	-|---|-|----⌫---|
te x uiandesnesuntpas saines	--⌫|------|-|---|--|-----|
d ontlesar me ssoffrenttexpoines	-⌫--|--|--⌫--⌫|-------|--|-----|
hons quar apren	---|---|----|
cistmon de sn estf ors queune mer	---|---⌫--⌫||--|-⌫--|--|--|--|
per c elemerp oonsnagier	--|-⌫--|--|-⌫---|-----|
chascunsiazz	-------|||-|
meri n ier	----⌫-⌫--|
lhome estunenef	|---|--|--|--|
ets auertu si	-|-⌫|----|-|
li merinie rsceseuent tui t	-|-------⌫-|-|-----|---⌫|
cest larm equ i leco rsco nduit	|--||---⌫|--⌫|-|--⌫-|--⌫----|
uo lontiersalastd roiteuoie	--⌫-------|----|-⌫----|---|
mais enemi s l ecor s	---|-----⌫|-⌫|---⌫|
larmeestriuecontre lecors	|---|------|-----|-|---|
mutli esttartqueeleensoit fors	--|-|--|---|--|--|-|---|---|
letensauenir desi rrons	-|---||----|----⌫----|
tozdisdenosfin saprochons	--|--|-|--|---⌫|--------|
c efaitlarmequide	-⌫|---||---|--|-|
uuue tissiretde porriture	----⌫|----|-|-|--------|
uersdeucu i de	---|--|--⌫-⌫-|
mercitr ou er	----|--⌫--⌫-|
hons tudeuroies porpenser	---|-|-------|--------|
quec hastoi e	--|-⌫------⌫|
etlaitregniersesen emis	-|---|------|--|--⌫---|
m utuou droitilquilsesmendassent	-⌫-|---⌫----|-|-|-||-----------|
etlorf oliesi l aisassen t	-|--|-⌫---|-|-⌫--------⌫|
de totpechi ehal	-|--|-----⌫|-||
perueraieconfession	--|-----|---------|
en deuta creance	-|--|-|------|
en confe ssion esperance	-|-----⌫----|--------|
garde nete desesperer	----|-|-|---------|
la rges de perdon er	--⌫---|-|------⌫-|
dexestm iser icordiou s	--|--|-⌫----⌫--------⌫|
ettudoizestre	-|-|---|----|
deploreretde	-|-----|-|-|
si c ome tu fus delpe chier	-|-⌫--|-|--|--|--⌫----|
enperdonaie stacre ance	-|-----|---⌫|-|---⌫---|
doizdoterlaueni ance	---|----|-|----⌫---|
asp rementu engie r	---⌫-----|-⌫-----⌫|
pao ursgardeho medeXXX	---⌫--|----|--⌫-|-|--|
t udoizenferteengreprendr e	-⌫|---|------|-|--|------⌫|
eta deue n	-||--|-⌫|
doi z g racesrendre	---⌫|-⌫----|-----|
s itescorss offrea uersitez	-⌫|--|---|-⌫----|-⌫-------|
co estala rme	-|--|||-⌫--|
riches et sains	-----|-|----|
iamar percet e ergoli ra s	-|--|--|-|-⌫|------⌫--⌫|
perdonecequ i maltefait	------|-|--⌫|--|-|---|
dex teper donraton mes fa it	--|-|---⌫----|--|---⌫--⌫-|
b one uertu	-⌫--|----|
en t oi au roies	-|-⌫-|--⌫----|
setupormallebienrendoies	-|-|--|--|-|---|-------|
ne n air cesqu ite	-||--|--|--⌫|-|
damidexperdonasamort	------|------|-|---|
closeest d ep ar adis la porte	----|--|-⌫|-⌫--⌫---|-|----|
a cel uiq u i aineporte	|---⌫-|-⌫-⌫|---|----|
nesoiesmiedesp isan z	-|----|--|----⌫----⌫|
nemalpa rl iers n e estriuanz	-|--|--⌫--⌫---|-⌫|--------|
t oziorzdoizen	-⌫-|---|---|-|
cherit emain dre	------⌫|----⌫--|
dedeu seruirne te deizfeindre	-|--|-----|-|-|---|------|
icifenistl ibestiair e s	--|-----|-⌫|--------⌫-⌫|
plus nenauoitenl ess e nplare	---||-|----|-||---⌫-⌫-----|
et dementir seroitfolie	-|-|-----|-----|----|
qu i plusensetplu s uosendie	--⌫|---|-|--|---⌫|--|-|--|
geruaises quile	--------|--|-|
plusne trouane plus ne n dit	---|-|----|-|---||-⌫|--|
