s eig nors preueire	-⌫---⌫---|-------|
deableede deaprosmernos	-----||-|-|-------|--|
d euomdo nquescestesprocessions	-⌫---|--⌫----|-----|----------|
faire auplazer	----|-|-----|
ded equesi nosauom	-|-⌫|--|-|--|---|
c aie narreresesté enm a u	-⌫-|-⌫|------|----|-|-⌫-⌫|
laissomnosoue fesomlobien trespassom	------|--|-||----|-|---|---------|
maluaiste ensaintetedorguilenhumilitede	--------|-|-------||-----|-|-------|-|
ha ineencharited elux ur een chast e ted e c oueitise	--⌫--|-|------|-⌫|---⌫--⌫|-|-----⌫-⌫-|-⌫|-⌫-------|
en lar g escetrepassomdemau	-|---⌫-⌫---|--------|-|--|
ben enmei lz e	--|-|---⌫-||
entendom a d eu amere aseruir	-------||-⌫-|---|||-----|
tantquenosp uisso mparuenira	------|--|-⌫-----⌫|-------||
la gloired urabl e	-|-----|-⌫-----⌫|
c est la pro ces sionsquedex	|--|-|---⌫---⌫----|--|--|
aim eeq ui	---⌫||-⌫-|
bones genz	----|---|
o r e stletempsde benfairee qui	-⌫|-⌫-|-|----|-|--|----||--|
amonesteq u elomsamentquarsiuos	-------|-⌫-⌫|--||----|---|-|--|
c ai enarrerese npeche	-⌫-|-|------|-⌫|----|
e liédauslieinsaude able	|---|---|-----|-|--⌫---|
oruosendeue z issire desenconbrereoster o r	-|--|-|----⌫|----||-----------||----|-⌫|
o iezcomme nt oufaitlideablesli deab l es	-⌫--|-----⌫-|-|---|-|------|-|----⌫-⌫-|
autresico melimarcheanzqui uait p ar	------|--⌫-|-|--------|--|---|-⌫-|
le s ciptez	--⌫|-----|
parleschas teaus	--|--|----⌫----|
parlesfeires parles marchez	--|--|-----|--|--|------|
achate les merzde diuersesm anerese	-----|--|---|-|-------|-⌫-----||
cum ilha achaptélesesmerz e l esr ichesce ssi	--|-|-|-------|--|-----||-⌫-|-⌫-------⌫|-|
endiuers fa rdeauss a marche ander ieenzzl o	-|-----|--⌫-----|-⌫|------⌫-----⌫-|-|-|-⌫|
enautrelogris en zzlesch az enautre	-|----|-|---|-|-|--|--⌫-|-|----|
les conilz	--|-----|
e nzzlolinge	-⌫|-|-|----|
en au tre lolangeenzz	-|--⌫--|-|----|-|-|
les ce n b elins	--|--⌫-⌫-⌫----|
eena utrelesescarl at esen aut r e les fustaine s	|-|-⌫---|--|------⌫--⌫-|-|---⌫-⌫|--|--------⌫|
d ediuerssenblanz mes quant ila trosse ́ e lié	-⌫|-----|-------|--|----|-||------⌫||---|
fardeausei llesenm eine e ndi ue rsesterres	-------||-⌫|--|---⌫---|-⌫|--⌫--⌫---|-----|
parl ongesueie s puisuie ntuers sacipte	--|-⌫----|----⌫|---|---⌫-|---|-|----|
ouila po rposéameruei lloseioie	-|-||--⌫-----||------⌫----|---|
porceu quil	--|--|-|-|
atent motaga ignerensonachatsi liauien t	----|--||--⌫----|-|--|----|-|-|-----⌫|
or ee stuneauenture	--⌫|-⌫-|--|-------|
motfir e e to t	--|---⌫||--⌫|
a utremen tquil	-⌫-------⌫|-|-|
necuidotquar i lestagaitez de robeorsen	-|-----|---|-⌫|--|------|-|------|-|
ueieou enaucun destreitouenaucunmalpas	---|-|-|----|-------|-|-|----|--|--|
ouenaucu nbo is	-|-|----⌫|--⌫-|
si estderobez de totes ses richeces	-|--|------|-|----|--|-------|
equ antilcuide a	|--⌫--|-|----||
so nostauueni rioious ele z	--⌫|----|----⌫|-----||--⌫|
siuentp ourese	-|---|-⌫----||
doleirous autresiest	--------|------|--|
del deable	--|-----|
eaut resili	|---⌫---|-|
de mercili deables est	-|----|-|------|--|
marche an z lideable s uaitenuiron le	------⌫--⌫|-|------⌫|---|------|-|
mu ndepa rl es	--⌫--|--⌫|-⌫-|
citez pa rles c hasteauspa r	----|--⌫|--|-⌫-------|--⌫|
lesborcs par	--|----|--|
sidone aus c lers etauslais as riches	-|---|--|-⌫---|-|--|---|-|-----|
eau spoures	|--⌫|-----|
lasoechose	-|--|----|
quiestmotmaluaisecesuntlidelitde	--|--|--|-------|-|---|-|----|-|
ce stsecle e	--⌫-|----||
lam aluaiselei seissiachapte	-|-⌫------|---⌫||---|------|
lesmaluaizcrest ie n se toz ceaus et to t es	--|------|-----⌫--⌫-⌫||--|----|-|--⌫-⌫-|
cel es qu i	---⌫-|--⌫|
consent entas es	-------⌫--||-⌫-|
comand emenzsi lesmet esi	------⌫----|-|--|--||-|
endiuersfar deaus	-|-----|---⌫----|
lesmetendiuer s pechez	--|--|-|-----⌫|-----|
apreslesmai n eue rssac ip te	----|--|---⌫-⌫|--⌫-|-|-⌫--⌫-|
c estenuersen fe ra	|--|-----|--⌫--⌫||
grantespleitmasil uendra	----|------|--|-|-----|
a maupertu s	|--|-----⌫|
ilse radesrob ez e faitpoures	-|--⌫-|------⌫-||---|-----|
cest esemain e pennouse	----⌫|------⌫|-------|
q ui est apelee pe nnous eporceuque	-⌫-|--|-----|--⌫-----⌫|--|--|--|
licresti en	-|------⌫-|
i espenissent	|----------|
lor pechezplu squenautre	--|-----|---⌫|-|-|----|
ou porceu e st	-|--|--|-⌫-|
apel e e p ennouse quenost re	----⌫-⌫|-⌫------|--|----⌫-|
s ire sifut pene z	-⌫---⌫||--|----⌫|
etr auaillez	|--⌫-------|
adon ces tiluenuz a	----⌫|--⌫|-|----||
maupert us detotorailgrant	--|----⌫-|-|--|-||-|----|
ango isseorcrei mtil	----⌫---|-|----⌫-|-|
perdresifera ilsi	-----|-|---|-|-|
dex plaist	--|-----|
qu aror lassaildrontli	--⌫-|-||----------|-|
b onguerr eo rn ostre seignor	-⌫-|-----⌫--⌫|-⌫----|------|
cesuntlibonpreueire qu isunte s t ablipar	-|---|-|--|-------|--⌫|---|-⌫-⌫-⌫---|--|
le siglese s	--⌫|------⌫|
silito dront s ona uerson	-|-|--⌫----|-⌫-|-⌫--|--|
u airsongrisesonriche	-⌫--|--|---||--|----|
es merz ce	--⌫---|-|
suntlesarmes quisuntfaites	---|--|----|--|---|-----|
aym age e a	|--⌫--|||
senblancede nostrese i gno rquar	--------|-|-----|--⌫-⌫---⌫|---|
oreamonestentli	--|---------|-|
preuei re lespecheorsqu ilsamendent	------⌫-|--|-------|-|-||-------|
a confession	|---------|
silesa bsoudronte lesosteront	-|--|-⌫--------||--|-------|
da us lieinsedausf ardeaus	--⌫-|-----||---|-⌫------|
audeableelesrendront	-|-----||--|-------|
adeseignors	|-|-------|
la parol edameredeoiauez	-|-----⌫|-------|-|---|
cum lomdeit faireproces sionequelon	--|--|---|----|------⌫---||--|--|
deit issir	---|----|
aleron bene d e benenmeil z	---|-|--||-⌫|--|-|----⌫|
esgardezoreenuos meismes	-------|--|-|--|------|
si uos o u auezfait	-|--|-⌫|---|---|
ouauezfait	-|---|---|
dontsache z	---|-----⌫|
faiteproce ssio nquedexai me e q uia	----|-----⌫----⌫|--|--|--⌫-||-⌫-||
dep l aist	-|-⌫-⌫---|
ouauez faitissip orpensezuosea mende z	-|---|---|---|-⌫-------|--||-⌫-----⌫|
uostrespassezdau mal on bene	--|---------|--|--|-|--||
siuosappar eillez	-|--|-----⌫-----|
encestesema inequiesta	-|----|----⌫--|--|--||
tau man ere	--|---⌫--|
que dig nementpuissezuenir auiordau	--|---⌫-----|------|----|-|--|--|
iuyse a lagrant processionquant	----||-|----|---------|----|
to tesainteig lese	--⌫-|-----|--⌫---|
trespassera decest	----------|-|---|
secl eal a ioiedausc eausque	----⌫||-⌫|---|---|-⌫---|--|
u ospuissezensemble oblessons	-⌫-|------|-------|-|--|---|
eslizpo r teruoz	----|--⌫-⌫--|--|
bon es ouresen u ozm ains que parcesrains	---⌫-|----|-|-⌫-|-⌫---|--|--|--|----|
uos portez oresunt	--|-----|--|---|
si gnifieesaentrer	--⌫-------||-----|
ensa g loi re	-|-|-⌫---⌫-|
lab on e gen tqui	-|-⌫--⌫|---⌫|--|
suntfildesainteigle s e	---|--|-|-----|----⌫-⌫|
font remenbran cedela pass ionauiord	---|---------⌫-|-|-|----⌫--|-|--||
nonp asporce u quilsoffristm ort	--|-⌫-|--|--⌫|-|-|-------|-⌫--|
a ita uior	|---⌫|--|
mas porce u que yy	--|--|--⌫|--|-|
iorz auant lapasq uedausiues	---|----|-|----⌫-|---|---|
fut for mezlicon sei lz e	--|---⌫--|-|---⌫---⌫-||
latrai sons q uill osci reient	-|----⌫---|-⌫|-||----⌫-----|
e l oliurer eie nt	|-⌫|------⌫---⌫-|
amort ornosli	|---|-|--|-|
gran tessam ple deplorere de	----⌫|-----⌫--|-|-----||-|
duel fair e quant nos	---|----⌫|----|--|
recor dom co mentno stresiresfutpene zeuilment	-----⌫--|--⌫---|--⌫---|----|--|----⌫||------|
trainezpor nozpecheznon	------|--|--|-----|--|
pasp or lessonsmas	--|-⌫-|--|---|--|
m ot sen ble con treraiso n	-⌫-|---⌫--|---⌫--|-----⌫|
quenosdeiomestre dolant	--|--|----|----|-----|
mortquarp arsamortontli	---|---|-⌫-|-|---|--|-|
trouéremmissiond e l orpechez p a r	-----|---------|-⌫|-⌫-|-----|-⌫-⌫|
samort ci l	-|---|--⌫|
qui es teientense ruitageded eableont	--|--⌫-----|-|--⌫------|-|-⌫----|--|
recourélor	-------|--|
fr anchiseparsamortcil qui esteie nten	--⌫------|--|-|---|--|--|------⌫-|-|
perditionsunt misenu e ie desalu ede	--------|---|--|-|-⌫-⌫-|-|---||-|
quip uetdonque sestredolanz	--|-⌫--|------⌫|----|-----|
ben ede sa	--||-|-|
ioie si nosfesomf es tes	---|-|--|----|-⌫--⌫--|
eioieau iordunmartir	|---|-|--||-|-----|
oud unapostre ou	-||-|------|-|
d unaut re saintamic n os tre	|-|---⌫-|----|---|-⌫--⌫--|
se ignorqui	--⌫----|--|
pasnesoffritmor t	--|-|------|---⌫|
p ornosn e s au ua	-⌫-|--|-⌫|-⌫--⌫-|
lo mundemotdeussom	-|----|--|------|
estreplu sl e	----|---⌫|-⌫|
ce mese mbleauiorde	-|-|--⌫---|-|--|-|
lamortpar qu e	-|---|--|--⌫|
tozlimun d esrec e guitla	--|-|---⌫-⌫-|---⌫-⌫---|-|
uie durable m assibieni	--|------|-⌫-|-|---||
uolom esgardernostrouomgrant rais on parque	----|-------|--|-----|----|----⌫-|--|--|
nosdeu omest rele	--|---⌫-|---⌫-|-|
auior de lamortdausami cs	-|--|-|-|---|---|---⌫-|
d elautre partpar	-⌫||----|---|--|
deuomestr ed ol ant	----|----⌫|-⌫--⌫--|
auior delamortihesucrist quarli	-|--|-|-|---|----|----|---|-|
a mic nostreseignor pa rlormort t respasserent	-⌫--|-----|------|--⌫|--|---|-⌫-----------|
cestmo ndeenlasainteconpai gnie dausangrese	---|--⌫--|-|-|-----|------⌫---|---|-----||
d eladole ntetedecesteui e aiceleg loire	-⌫|-|----⌫----|-|----|--⌫||----|-⌫----|
est sanzfine san z ter mebienest	--|---|--||---⌫|---⌫-|---|--|
raisonsque	------|--|
nosfacomfeste	--|----|----|
seiom l eobeaus por	----|-⌫|-|---|--|
ceuquil parlamort	--|-|-|--|-|---|
tem pora usuntuenguaicele	---⌫----⌫|---|----||----|
gloirequil	-----|-|-|
tantam oient edesiroient	---|--⌫----||---------|
encesteuie	-|----|--|
mas nostr esiresihesu crizqua nti luin t	--|-----⌫|----|----|---|---⌫-|-⌫|---⌫|
dec e l en	-|-⌫-⌫|-|
terreiluint der ichece a	----|-|---|-|-⌫-----||
pou re te iluint de	---⌫--⌫-|-|---|-|
e nireeen dolentet etan tquil	-⌫|--||-|--------⌫|---⌫--|-|
sof f rit efa imesei	---⌫-⌫--||--⌫-||--|
echautefreit eautresmesaises ea	|----||----||-----|-------|||
laparfinfut	-|-----|--|
mi sencroiz porpecheors	--⌫|-|----|--|-------|
sauu erbiendeuomdonq ues	----⌫-|---|----|----⌫--|
auer pitedenostreseignor qui	---|---|-|-----|------|--|
de sigr ant	-|-|--⌫--|
hau tece edesigr an tpoistete	---⌫---||-|-|--⌫--⌫|-------|
de uenguitissihumbles	--⌫------|---|------|
tantpo uresqu ilenceste	---|--⌫---|-|-|-|----|
ot tantansement ouilpoguist	-|---|-------|-|-|------|
son chefrecliner	--|---|-------|
mei sme sd ist	---⌫---⌫|-⌫--|
ceditquele sbestes	-|--|--|--⌫|-----|
ontlorfoss es e li oisea ulor nizou	--|--|----⌫-||-|-----⌫|--|--|-|
ilserepose nt	-|-|------⌫-|
maslifilzde lagl orio seuirge n	--|-|---|-|-|--⌫----⌫-|----||
ou ilpui sse	-|-|---⌫--|
sonchefrepo serc e rtes	--|---|----⌫--|-⌫-⌫---|
m otparestded urc o rage	-⌫-|--|--|-|-⌫-|-⌫-⌫---|
qu iencesteremenbrance delamortn esm uet	--⌫|-|----|----------|-|-|---||---⌫--|
soncuera ben	--|---||--|
faire quar desamortsesentirent	----|---|-|-|---|-|--------|
lesperescum elesfend ir entd esa m ort se	--|----|--|---|----⌫--⌫--|-⌫|-|-⌫--|-|
sentir ent	------⌫--|
lieleme ntlisolailz en	-|-----⌫-|-|------|-|
perdit saclarte ela	-----|-|-----||-|
lunede samortse sentilienf ers quant	---|-|-|---|-|----|-|---⌫--|----|
il r endit	-|-⌫----|
teneiten prison a pei nes	-----|-|-----||---⌫--|
p uetnu s hom	-⌫--|--⌫|--|
pecheres que	-------|--|
silue r aiement record e le smerue illes	|-|--⌫-⌫------|------⌫|--⌫|-----⌫----|
faitesporluicum ilprimesnasquit	-----|--|--|--|-|-----|------|
porhomme cumilenfutliez	--|----|--|-|-|--|---|
coronez despines	------||------|
misen lacroiz e	--|-|-|----||
fer iz de lalancee tot cefist	---⌫-|-|-|----||--|-|---|
ilporhommesauue rqu iln amentsa	-|--|----|-----⌫|-|-||----|-|
uieen ator t	--|||----⌫|
s oncuerd amersonbonseignor	-⌫-|---||---|--|--|------|
quitantha fait	--|---|-|---|
porlui quarlaremenbrance	--|--|---|-|----------|
de lapassi onn ostre	-|-|-----⌫-|-⌫----|
seignorestautresi au pecheorcum lifucs	------|--|------|-|------|--|-|---|
ro ille ́cumliferz est roilleze	--⌫----⌫|--|-|---|--|------||
i l ap erdusa b eaute	-⌫||-⌫---|-|-⌫----|
quilomet en	--|-|--|-|
la bresebenardantde la ch alor	-|----|--|-----|-|-|--⌫---|
t raitdaufuc	-⌫---|--|--|
sa mal uais eteerecoure	-|---⌫----⌫--||------|
beaute ensem en tl i p echeres cum il se porpen se	-----|-----⌫--⌫|-⌫|-⌫------|--|-|-|------⌫-|
dausour e sde dam erede edela dolorqu i l	---|---⌫-⌫|-|---⌫----||-|-|----|-|-⌫|
sau uerrentgrac es e	---⌫--|---|----⌫-||
merciza son sauueor	-----||--|------|
deuentardenz ee scha ufezcum lifers	-----|-----||-⌫----⌫---|--|-|---|
enl amor de	-||---|-|
nostre seignor qui primesesto it de	-----|------|--|-----|----⌫-|-|
peche osc urs eroille zmotest boneces teuie	----|---⌫--||------⌫|--|--|---|---⌫-|--|
chalor qui to rnelecue r dommea de amer	-----|--|--⌫--|-|---⌫||---||-|---|
a iceu quela chal orsdelamort	|---|--|-|----⌫--|-|-|---|
nostre seignor seit	-----|------|---|
durablee maint enueconuentquele seit aui ee	------||-----⌫---|------|-|--|---|---⌫-|
par bonesouresnorrie sicum	--|----|----|-----|-|--|
ueezquel i f a ur es	---|--|-⌫|-⌫-⌫--⌫-|
cum il a sa	--|-||-|
breseardantdauantseisiprentson	----|-----|-----|--|-|----|--|
git eorsilarosenonpasporest eindre	---⌫--|-||----|--|--|--|---⌫-----|
au iere pormeil z fa ire arder	--⌫--||--|----⌫|--⌫--|----|
e nseme ntdeit faire	-⌫-----⌫-|---|----|
chascunsbonshome chascuneb one	-------|---|--||-------|-⌫--|
femmequisent	----|--|---|
la mordenostreseignoren son corage	|-⌫--|-|-----|------|-|--|-----|
deit seporpenser	---|-|--------|
de sesmeffaizco mentil est aucune fez	-|--|------|--⌫---|-|--|-----|--|
de deparaucunesm a leso bressi	-|-|--|------|-⌫-⌫--|-⌫---|-|
deita menders a uie	---|-⌫-----|-⌫|--|
eplorersespecheze	|-----|--|-----||
da us le r mesdepenitance quartantc um sispechez	--⌫-|--⌫-⌫--|-|--------|---|---|-⌫-|--|-----|
p luslides plaist tantd euent ilplusardenz	-⌫--|-|---⌫-----|---|-⌫----|-|---|-----|
de no streseignormotes t bonec esteourequisi	-|--⌫---|------|--|--⌫|---|-⌫---|---|--|-|
norri tlamor denostr e	-----⌫||---|-|-----⌫|
se ignoren cuer	--⌫----|-|---|
motlaconu ent a toz t ens aauei re	--|-|----⌫--||--|-⌫--||----⌫||
plus encest	---|-|---|
tens quenaut requep arlaremenbrance de	---|-|-|---⌫-|--|-⌫-|-|----------|-|
q uenos fesomore queparla	-⌫-|--|----|--|--|--|-|
sainte qu arent aine	-----|--⌫-----⌫---|
d euomren drean ostres eign or	-⌫---|---⌫--||-⌫----|-⌫----⌫-|
enpenitanc ee en	-|--------⌫||-|
e n amendementde	-⌫|---------|-|
nostreuiequar cist quarantei or	-----|--|---|---|-------|-⌫-|
cedientles	-|----|--|
escr ipt u ressunt la dis me	----⌫---⌫-⌫--|---|-|---⌫-|
d elanquesainteiglese	-⌫||-|--|-----|-----|
a comm andéa g arderenieunes	|----⌫----||-⌫----|-|-----|
enoreisons een	-|-------||-|
aumosnescoment	-------|-----|
dismede yye yy	----|-|-||-|
io rs qu isunten l	--⌫-|--⌫|---|-||
an pe rn eztoziorsd e yy si	-|--⌫--⌫-|--|---|-⌫|-|-|
trou erez de	----⌫---|-|
iors masporceuque	---|--|--|--|--|
moysesquif ut amics ieu nayyior sonpoi	-----|--|-⌫-|----|---⌫-|-|---⌫|-|--|
desynen ostre siresmeismes ieunay y	-|---|-⌫----|----|------|----|-⌫|
iorsondesert	---|-|-----|
sicumd itli euangi les po rceu	-|--|-⌫-|-|------⌫--|--⌫|--|
siaiosto m yy	-|------⌫|-|
iors oblesy ysi fe somlaq uarenta in e	---|-|--|-⌫|-|--⌫--|-|-⌫-------⌫--⌫|
e al asem blance denostre seignormo t	||-⌫|---⌫-----|-|-----|------|--⌫|
cel edismesaintementep arfitementr en dre meilz	---⌫|----|---------||-⌫---------|-⌫--⌫--|----|
quautrequarlesautresdismescumde bl e e	-|----|---|--|-----|-----|--|-|--⌫||
uine dausautreschoses qu e receiuen tli ministre	--||---|-----|-----|--⌫|--------⌫|-|-------|
da meredecesuntli cl e rc limo in e quiseruent	--⌫-----|-|---|-|--⌫-⌫-|-|--⌫--⌫|--|------|
sainteigl eseladismedauiorsreceitn ostre	-----|---⌫--|-|----|--|---|-----|-⌫----|
meismesesiensuntga rde	------||-|-|---|--⌫--|
do ncc onuent	--⌫-|-⌫-----|
qu elicors domme seitbienlauez	--⌫|-|---||---|---|---|----|
d elaiguede	-⌫||----|-|
peni tancee	----⌫----||
d e confessi ondesespechez e	-⌫|--------⌫-|-|--|-----||
part seit bienabeure zde	---|---|---|------⌫|-|
laig uedeuertuedebon es	|---⌫-|-|----||-|---⌫-|
ouresicestes	----|------|
yyou reson tmestera tothomme	-|--⌫--|--⌫|-----||--|----|
en cest euieueaut	-|----⌫|--|----|
uo lunte nostreseignor	--⌫----|-----|------|
lapremer e ouredepenita nce est lirege isse menz	-|------⌫|---|-|------⌫--|--|-|----⌫----⌫---|
lasecond e e s td euertue debones	-|------⌫|-⌫-⌫|-⌫|----||-|----|
oureslapremere	----|-|------|
oure siest	---|-|--|
co melafontai n equi sor tdaus u eines	--⌫-|-|------⌫-⌫|--|---⌫|---|-⌫----|
deterre enco ntre lopoi	-|----|----⌫---|-|--|
lasecon de est comela	-|-----⌫-|--|---|-|
plu i e quide scent	---⌫-⌫|--|--⌫----|
dau snu esdamontenlaterre	---⌫|--⌫-||----|-|-|----|
qua rl i pecheresquimets	---⌫|-⌫|-------|--|--||
ententeenmaufairee	------|-|--|----||
auso bres terrienesnenad recet soncorag eue rs	--|-⌫---|--------|-||--⌫----|--|-----⌫|--⌫-|
por fairesauolunt eestau tre si com eterre	--|----|-|------⌫|--|--⌫---⌫-|---⌫|----|
d e later resort laigue c ontre p oicu m	-⌫|-|---⌫-|---||----|-⌫----|-⌫-|--⌫|
ilseporp ense	-|-|----⌫---|
de sesme ffaize	-|--|--⌫----||
ilpl ore se s	-|--⌫--|--⌫|
pecheze i l	-----||-⌫|
apres ceste	----|----|
pen ita nce	---⌫---⌫--|
lia m otg rant	-||-⌫-|-⌫---|
mester d e laigue quidescent	-----|-⌫||----|--|------|
da us nuesen	--⌫-|---|-|
late rreha dexqui	-|--⌫--|-|--|--|
s u ntceznues	-⌫-⌫-|--|---|
e nsement cumnos	-⌫------|--|--|
di somque lipecheor suntterre	--⌫--|--|-|------|---|----|
porceuquilsunt e ntenti	--|--|-|-|---|-⌫-----|
ausobre sterrienese	--|----⌫|--------||
a usfoliesd ausecleausisunt	-⌫-|-----|-⌫-|----|---|---|
lia mic n ues	-|-⌫--|-⌫--|
p orce u qu ilsuntenh aut	-⌫-|--⌫|-|-|---|-|-⌫--|
leuépar uertuepar	----|--|----||--|
bone sourese	----⌫|----||
par la grantmeritequilontde	--|-|----|-----|-|-|--|-|
do nques estl	--⌫----|--||
aiguequ idesce n tdausnues	----|--⌫|-----⌫-⌫|---|---|
a terreess anp lede uer tuedebone	|----|---⌫---⌫-|-|---⌫-||-|---|
ourequi uient	---|--|----|
dau ssainzamicsaus	---⌫|----|----|--|
pec heorspord oner	---⌫----|--|-⌫---|
essanpledeboneuiequa rmotfa it grantbenau	-------|-|---|--|---⌫|--|--⌫-|----|--|-|
pecheorcumil	------|--|-|
otparler dela saintete m arie	-|-----|-|-|-------|-⌫---|
ma gdela ine qu itan tfu	--⌫-----⌫--|--⌫|---⌫|-|
pec h eressemotfai tgrant	---⌫-⌫-----|--|---⌫|----|
bena pech eorcum	--||----⌫--|--|
ilotparlerd e	-|-|-----|-⌫|
mon seignor s aint	--|------|-⌫---|
perequitantfupecheres	---|--|---|-|-------|
quil ren ea	-|-|---⌫-|
nost reseignoreaprespar sa g ra n tm erite	----⌫-|------||----|--|-|-⌫--⌫-⌫|-⌫----|
princes dausapost resmi ssiressain z	------|---|-----⌫--|--⌫|----|----⌫|
pousquitant	---|--|---|
fist ma u asainteigleseeapres futfaiz	---|--⌫||-----|-----||----|--|---|
m es assezuei tauenir quemainte s	-⌫-|----|---⌫|-----|--|------⌫|
repentance e plorent	---------||------|
lorpechezquinont mie la	--|-----|--||--|--|-|
repentance n elesuertuzn eles bonesouresquar	---------|-⌫|--|-----|-⌫|--|----|----|---|
cumildeiuentes p u rgerlor pechez pari eunes	--|-|------|--⌫-⌫-⌫---|--|-----|--|-⌫----|
a umosnes par	-⌫------|--|
oreison se parbonesouressempres	-------⌫||--|----|----|------|
sunt uencuparlormaluai seco stum e	---|----|--|--|------⌫-|--⌫----⌫|
qu ilontap ri se	-|-|--|--⌫--⌫-|
retornentalorpremeresoures s iluont	--------||--|-------|----||-|---|
auseruicenostreseigno r n isuntpa ssi	-|------|-----|------⌫|||---|--⌫|-|
cumildeureient	--|-|--------|
q uarilontles	-⌫--|-|--|--|
cuersaillorssi	----|------|-|
lor e sttart	--|-⌫-|---|
partiau mosnesnedonen tau s	----|--⌫-----|-|-----⌫|--⌫|
pouresnene herbergent lespelerin snen euistentles	-----|-|-|---------|--|-------⌫|-|-⌫|------|--|
n uz ne ne cochentles	-⌫-|-|-|------|--|
maladessic umilde ure ie n t	------|-|-⌫-|-|--⌫---⌫--⌫-⌫|
fair e si ilueraiepen itancede l or pechez	----⌫|-|-|-----|---⌫-----|-|-⌫-|-----|
feseient ne	-------|-|
ge me nt passipure men t cum li sainz temps	--⌫--⌫-|--|-|----⌫---⌫|--|-|----|----|
requiert ec um damere dex comandetquaril ieunent	-------||-⌫-|------⌫--|-------|---|-|------|
n emanguentqunefezloior	-⌫|-------||--|--|-|--|
ilenf ra ignent	-|---⌫--⌫-----|
lo rieuneenpl usorsa utresmaner e sou p orc eu	--⌫|----|-|--⌫----|-⌫----|-----⌫-⌫|-|-⌫-|-⌫-|
m engu entplus	-⌫----⌫--|---|
quilnedeur eient	-|-|-|----⌫----|
qu i l suntplu sentent is e	-|-⌫|---|---⌫|------⌫-||
plu scur iosde lor	---⌫|---⌫--|-|--|
conreerquilne deure ientou porcequil	------|-|-|-|-----⌫---|-|--|-|-|-|
lau iand e	-|-⌫----⌫|
eplus se del itent que	|---|-|---⌫----|--|
raisons nerequert	------|-|------|
queil suntunesgenz	--|-|---|---|---|
cum il deuentieu nerqui	--|-|-----|---⌫--|--|
comandent lortable ametreaore	--------|--|----||----||--|
sunt at ableiusqua o renone ou	---||-⌫---|----||-⌫-|---|-|
uesprequa r iluolent	-----|---⌫|-|-----|
menger aleisir	-----||-----|
n estp ascis t ieunestausqui lpla cea	|--|-⌫-|---⌫|-----|---|-|-⌫|---⌫-||
nost reseig n or	----⌫-|----⌫-⌫-|
qua rsil nelfo ntpar	---⌫||-|-||--⌫-|--|
grantbesoigou par	----|-----|-|--|
enfer me tene mespernentgairem einzques ilmenio ient	-----⌫--⌫-|-|---------|----|-⌫---|--||-|-----⌫---|
yy f ezloiorouyy	-|-⌫-|-|--|-|-|
ore suntli	--|---|-|
autrequipar	----|--|--|
tropmeng e r perden tlogair ed on	---|----⌫-⌫|------⌫|-|----⌫--⌫-|
d elor ieune	-⌫|--|----|
silontfo rs de quaresmezz mes	|-|--|--⌫-|-|-------|-|--|
uolentauei renqu aresme	-----|----⌫|-|--⌫-----|
y y ouyye p lusmeniuent	-⌫|-|-||-⌫--|-------|
aun efezqu il	|--⌫|--|-|-|
yyf ors de	-|-⌫--|-|
cistieunesn agreetpas a	---|-----||-----|--||
d aut res en	|---⌫--|-|
perdent l or ieun epo rceu	------|-⌫-|----⌫|--⌫|--|
tropcuri o sde	---|----⌫-⌫|-|
lor uiandeconr eer quari lfontl es	--|-----|----⌫--|---|-⌫|---|-⌫-|
sausespeit euines	-----|----⌫-----|
les sausesaig ues le ssauses	--|-----|---⌫--|--⌫|-----|
lorestau is	--|--||-⌫-|
quil nepue nttrouerartne engin	-|-|-|---⌫-|-----|--|-|----|
par queiilpuissent	--|---|-|-------|
lauiandedestruire	-|-----|--------|
ne cist i eunes neplaistpas	-|---|-⌫----|-|-----|--|
a eensementueom nosdaus a ut res quiperdent	|--------|---|--|---|-⌫--⌫--|--|------|
la merit ede lorieunepor ce u	-|-----⌫|-|--|----|--|--⌫|
quil sunt trop	-|-|---|---|
coueitousetrop	--------||---|
se de litent en	-|--⌫-----|-|
lormengerdontnos	--|-----|---|--|
t rouom onsescri ptures de yyfreres	-⌫----|--|-----⌫-----|-|-|-----|
d ontli a inznez	-⌫--|-|-⌫-----|
otno nesaue	-|--⌫|---||
limend res iacob queliain znez	-|----⌫--|----|--|-|---⌫---|
u e nditauplus	-⌫-⌫---|-|---|
meitedunme ngerquecil	----||-|--⌫---|--|--|
aueitapare illé	----|-----⌫----|
deceudit l	-|--|--||
escriptureq ue cil qui	---------|-⌫-|--|--|
uenditsa seignorie	-----|-|--------|
fi stpeche mor taunon	--⌫-|----|---⌫--|--|
le mengerquibonsesteit	-|-----|--|---|-----|
masporla co ueitise	--|--|-|--⌫------|
enotquarausipuetlompecher p ar	-|-|---|---|---|--|-----|-⌫-|
co ueitisea	--⌫------||
menge run eescuelee de	-----⌫|--⌫|-------|-|
feuescum p or zzluzdeyy	----|--|-⌫-|-|--|-|-|
conuentdon ques	------|---⌫---|
aceuqueliieunesplaceta	|--|--|-|-----|-----||
quilseit en	-|-|---|-|
seiam esurezesanz forfait	--|--⌫-----||---|------|
conu entdelau trep artqu ils eit	----⌫--|-||--⌫--|-⌫--|-|-|-⌫--|
profitables a	----------||
