etmo utgrantnoise demen oient	-|--⌫-|----|----|-----⌫----|
et pa runepo sterneauale	-|--⌫|--|--⌫-----|----|
tantalaqueiluin t to u t droit	---|--|--|-|---⌫|--⌫-⌫|----|
ou lecheu alier	-|-|----⌫----|
ou batailleou	-|-------|-|
e t leuallet gr antaleure	-⌫|-|-----|--⌫--|-----|
uintu ers luiporlesarmesprendre	---|-⌫--|--|--|--|----|------|
etlecheua lierpour atendre	-|-|-----⌫---|---|------|
auoitlacoupe doriusmise	----|-|----||-|--|---|
sus zzp erron de marb r eass ise	--|-|-⌫----|-|----⌫-⌫|---⌫--|
quant l egal ois apro chié lot	----|-⌫|---⌫--|----⌫----||-|
t antque l i uns lautreoir pot	-⌫-----|-⌫|--||----|--|--|
sili esc riem etezius	-|-|---⌫--|-⌫---|--|
l es ar mesne	-⌫-|--⌫--|-|
les p ortezplu s	--|-⌫----|---⌫|
que leroyartu sle uo usmande	--|-|--|----⌫|-|--⌫-|----|
etlecheualierli	-|-|--------|-|
ua ll et ose s	--⌫--⌫-|---⌫|
tu caueni r	-|-|----⌫|
por ledroitartus ma intenir	--|-|----|----|--⌫------|
setuy u ienznel	-|-||-⌫---|-||
comme nt d eab leest c eorgas	-----⌫-|-⌫---⌫-|--|-⌫|-|--|
da n tche ualier queu ousm efe t es	--⌫-⌫|---⌫-----|--|-⌫--|-⌫|--⌫-⌫-|
qu enco rnauez	-|----⌫||---|
lesar me stretes	--|--⌫--⌫|-----|
o stés lestostgel uouscom man t	-⌫----|--|---|-||---|---⌫---⌫|
u alle tfet	-⌫----⌫|--|
ilg e te demant	-|-⌫|-|-----|
tenuoie ca	|-----|-|
artu s le roy	----⌫|-|--|
com batreencontremoy	---⌫----|-------|--|
dantcheualier quar osteztost	---|--------|---|----|---|
lesarmesque gen	--|----|--|-||
le s uous souf e rro ie	--⌫|---|----⌫-⌫---⌫-|
bi ensa chiez que geuousferroi e	--⌫-|--⌫----|--|-|---|------⌫|
sepluspa rl ermenfesiez	-|---|--⌫--⌫-||-|-----|
lorsfulech eualierir iez	---|-|-|--⌫------|--⌫--|
s a lance ayymains	-⌫|----||-|----|
si len dona	-||-|---|
m outgra ntcolee	-⌫--|---⌫-|----|
pa r lesespaulles e ntrauers	--⌫|--|--------|-⌫|------|
del bou tou	--|---⌫|-|
pas lifers	--|-|---|
qu ille f ist embr onchier aua l	-|-|-|-⌫--|----⌫------|---⌫|
suslesespaullesdu cheua l	--|--|--------|-|-----⌫|
l e uallet fumout courouciez	-⌫|-----|-|---|---------|
dec equil ot	-|-⌫|-|-|-|
est ébleciez	---⌫-|------|
delacoleequilot prise	-|-|----|-|-|-|----|
al ainzquil pot moutb ienla uise	--⌫-----|-|--|---|-⌫--||-⌫---|
s iles seal er leiauelot	-⌫|---⌫-|--⌫-|-|------|
si queilnentendine	-|--|-||------|-|
lefiertpa rmile	-|----|--⌫--|-|
siquetres pa rmileceruel	-|--|---|--⌫--|-|-----|
lacerueleespant	-|------|-----|
de ladouleurle	-|-|------|-|
cuer liment	---|-|---|
a terrechiettout	|----|----|---|
et le uallet	-|-|-----|
y estcouru	|--|----|
lanc eaunepa rt	----⌫||--|--⌫-|
e tles cudecollidepart	-⌫||--⌫-|-|--|-|-----|
m esilnensetuenir achief	-⌫-|-||-|--|----||----|
delhiaume qu i l ot	--|-----|-|-⌫|-|
en son chief	-|--|----|
ets a talent qu i l lid es cein gne	-|||-----|-|-⌫|-|-⌫--⌫----⌫--|
setcommentla preingne	--|------|-|-------|
mes i l nelse t fe re	--|-⌫|-||--⌫|--⌫-|
nedufuerre nelaset t rere	-|-|-----|-|-|--|-⌫---|
ainz pre nt	---|---⌫-|
sache etti r e	----|-|--⌫-⌫|
et y on et	-|-⌫--⌫-|
conmencearire	-------||---|
quileualle tu i t e ntrepris	--|-|-----⌫|-⌫-⌫|-⌫-------|
icequo ie st fet ilamis	--|---⌫|-⌫-|--|-|---|
uou sgenesaiquo i	---⌫|-|-|--|---⌫|
ge c uidoiede	-|-⌫-----|-|
uostre roy	-----|--|
armesdonees	----|-----|
mes ainzauraiparcharbonees	--|---|----|--|---------|
trestoutesbraonélemort	-------|--------|-|---|
quenulesdes armesemport	--|----|--|----|-----|
tienent siaucors	------|-|-|---|
que ceded en z et ce	--|-|---⌫--⌫|-|-|
esttr e stout zz sicom moisemble	--|--⌫-⌫----|-|-|--|--|-----|
queles setiennent toutense m ble	-|---|-|-------|---|----⌫-⌫--|
orne uousesmai ez	-|-|---|-----⌫-|
quar g esdepart ir	---||-|------⌫-|
seuousuo ule z fet	-|---|--⌫---⌫|--|
fetesdonttos tf etleua ll et	----|---|---⌫|-⌫-|-|--⌫--⌫-|
s esmedonezsa nznul arrest	|-|-|----|--⌫-|--|-----|
yonettan tost lede suest	----|---⌫---|-|--⌫----|
a lor teill	||--⌫----|
l e de scau ce	-⌫|--⌫----⌫-|
neliremesth auberc nechauce	-|-|-----|-⌫-----|-|-----|
neh iaum ene	-|-⌫----⌫|-|
autrearme ure	----|----⌫--|
mesle uallet saueste ure	--|-|-----|-|-----⌫--|
neu oltlessi ernenep reist	-|-⌫--|-----⌫-|-|-|-⌫----|
pourr iensque yu onnetdeist	---|-⌫---|--|--⌫----|----|
uneco temout	--|--⌫-|---|
dundrapdes oieiamboisie	|-|---|-|-⌫--|--------|
quedesouzson ha ubercuestoit	--|-----|--|--⌫----|------|
lec heualie rqua ntuises toit	-|-⌫-------⌫|---⌫-|--|--⌫---|
n osterneli pooitdes	|----|-|-|----|--|
l e sr iueli nsquilotchauciez	-⌫-⌫|-⌫-----⌫-|-|-|-|-------|
etdistdeableest orc egas	-|---|-----|--|-|-⌫|--|
que ie lessassemesbonsd ras	--|-|-------|--|---|-⌫--|
que ma mere mefistlautrier	--|-|---|-|---||------|
por les dra s	--|--|---⌫|
a cecheualier	|-|--------|
uoudrie zuousque ie le ssasse	-------⌫|---|--|-|--⌫-----|
mac oteou point	-|-⌫--|-|----|
p ourcestequin entendroit goute	-⌫--|----|--||-|-------|----|
honnie soitlagorgetoute	-----|---|-|----|----|
qu i changera n eloimne pres	--⌫|-------|-⌫|---|-|---|
ses bon s draspor autresm a lue s	--|---⌫|---|--|-----|-⌫-⌫---⌫|
grieue choseest	-----|----|--|
defolapren dre	-|--|-----⌫--|
riensfors l esarmesn euotprendre	----|---|-⌫-|----|-⌫|--|------|
pour proierequecislif a ce	---|------|--|--|-|-⌫-⌫-|
yuone sleschauce s lilace	-----⌫|--|------⌫|-|---|
e tsusles ri ueli ns lichauce	-⌫|--|--|--⌫----⌫-|-|-----|
lesperonpardesus ala	|------|--|----||-|
puis liale haube r cuest u	---|-||-|-----⌫-⌫|----⌫|
t elq ueonquesmeillornefu	-⌫-|-⌫-|-----|------|-|-|
desusla coiffe l i	----|-|-----|-⌫|
leheaumequimout bien lisi st	-|-----|--|---|---|-|--⌫-|
et delespeeli	-|-||----|-|
en se igne	--⌫--⌫---|
quasonsenestr elez	-||--|-------⌫|--|
la ce i gne	-|--⌫-⌫--|
selfet mont er susle destrier	-||--|----⌫-|--|-|-------|
onques destrierueunauoit	-----|-------|--||----|
ne desperon	-||------|
riens nesauoit	----|-|-----|
forsdu cinglierde la	---|-|-------|-|-|
yuo n netlesculi ap ort e	---⌫-⌫--||---|-|--⌫---⌫|
e tlalan ce	-⌫|-|---⌫-|
enssement lib aille	--------|-|-⌫----|
ancoisqueyonetsenaille	--------|----||-|----|
d istleuallet amisprenez	-⌫--|-|-----|---|-----|
monchaceorsi len men ez	--|------|-||--⌫---⌫-|
qued eluinaimessoing	--|-⌫|--||-|--|----|
ilest moutbon ieleuousdoi ng	-|--|---|--|-|-|---|---⌫-|
etportez la	-|-----|-|
silesaluez de	-|-|-----|-|
e tsidireza lapucele	-⌫|-|----||-|-----|
que keux f erienlam aissele	--|---|-⌫--|-|-|-⌫------|
quese ie puisa ncoisque muire	--|-|-|---|-⌫-------|----|
mestresibiennuire	-----|-|---|----|
quep ouruengiesetendra	--|-⌫--|-----|-|-----|
et cil lidist	-|--|-|---|
queilrendr a	--|-|-----⌫|
auroylacoupeet	-|--|-|----|-|
son message	--|------|
furnirailal oy	------|-||-⌫-|
atantdepartentsi sen uont	----|--------|-||-|---|
oulibaronsont	-|-|----|---|
entre yonet p armi laporte	----|----|-⌫---|-|----|
qui aur oysa coupe	--|-|-⌫-|-|----|
s i li distsire orfe tesioie	-⌫|-|---|---|-|--⌫--|---|
qua r uo strecoupeuousrenuoie	---⌫|--⌫---|----|---|------|
uos tre cheu alier quici fu	---⌫--|----⌫----|--|-|-|
de lquelcheualierm e d iztu	--⌫|---|--------|-⌫|-⌫-|-|
fetle roy qui en sa	--|-|--|--|-|-|
e stoitenq uor e	-⌫----|---⌫--||
nond ieu sire	--|-⌫--|---|
fetyu onetdugal oisdi	--|--⌫---|-|---⌫--|-|
qui orendroitpartideci	--|--------|----|-|-|
medistud u ualle tgal oi s	-|--|-|-⌫|-----⌫|---⌫--⌫|
demandafetlirois	------|--|-|---|
les arm es	--|---⌫-|
desynopletai ntes	-|------|---⌫---|
du cheua lierqui hontes main tes	-|-----⌫---|--|-----|----⌫--|
m a fetseloncle sie n po oir	||--|-----|-|---⌫|--⌫--|
s iredelui digepouruoir	-⌫--|-|--|-|-|---|---|
coupe c omme n t lotil	----|-⌫----⌫-⌫||-|-|
aimeletant	---|-|---|
et prisecil	-|----|--|
li ait deso ngrer endue	-|--|-|--⌫|--|-⌫----|
sire ainzliamou tchi eruen due	---|---|-||---⌫|---⌫-|---⌫--|
leuallet quaril l a	-|-----|---|-|||
et c ommentfuce	-|-⌫-----|-|-|
s i rene sai me squ e	-⌫-⌫-|-|--|--⌫---⌫|
quele cheualierle	--|-|--------|-|
l anceetfistgra ntennui	-⌫---|-|---|---⌫-|----|
etle uallet le	-|-|-----|-|
duiauelo tp armi loilliere	-|------⌫|-⌫---||-------|
si queilenfist	-|--|-|-|---|
par derriere	--|-------|
l e sanc etlaceruel eespandre	-⌫|---|-|-|------⌫|-------|
et luiaterremort estendre	-|--||----|---|-------|
lors dist le	---|---|-|
royausene schal	--|-|----⌫----|
akex c omauezhu ifet	|--|-⌫-|---|--⌫|--|
paru ostrela n gue	--|-⌫----|--⌫-⌫--|
l ennuieuse	|--------|
quiauradite	--|---|---|
mainteoiseuse	-----|------|
telche u aliermaueztolu	--|---⌫-⌫----||---|---|
qu i enc estiourma moutual u	--⌫|-|-⌫--|---|||---|---⌫|
sir efetyuo nnetauroy	---⌫|--|---⌫---|-|--|
encor e mandeilparmoy	-----⌫|----|-|--|--|
ala pucelela	|-|-----|-|
quekeuferi	--|--|---|
par aas tin e	--|---⌫---⌫|
parmal del ui	--|--|-|-⌫-|
etpardespit	-|--|-----|
que i llauengera sil	--|-⌫|-|------||-|
s iilempuetuenire nle u	-⌫|-|-|---|----|-⌫|--⌫|
etle fo lquisi stl ezle f eu	-|-|--⌫|--|--⌫-|-⌫-|-|-⌫-|
oitla parole	--|-|-----|
etuientdeuant leroymou ltliez	-|----|-----|-|--|---⌫-|---|
quiltr epeetsaut	-|-|--⌫--|-|---|
et dist dant	-|---|---|
diexmesaut	---|-|---|
oraprochent	-|--------|
uosauentures	--|--------|
ass ezmeruei lleu ses etdures	---⌫-|------⌫----⌫--|-|----|
lesuerroiza uenir souuent	--|------|-⌫----|------|
etsiu ousmet bien e ncouuent	-|-|-⌫--|--|---|-⌫|------|
quekeuxpuetes tretoutcertains	--|---|---|--⌫--|---|-------|
quemar uitsespi ez	--|--|--|--|--⌫-|
etsesmains	-|--|----|
et sa languefole	-|-|-----|---|
quancoisque pa stlaka rantaine	-|--------|--⌫-|-|--⌫-------|
aurale cheualier	---|-|--------|
l e copq u	-⌫|--|-⌫|
feri du pie	---|-|--|
etlabuffe mout chieru endue	-|-|----|---|----|-⌫----|
etcompereezbienrendue	-|--------|---|-----|
q ueildonaa la puce le	-⌫-|-|---||-|----⌫-|
quarentrel e	---|----|-⌫|
coute etles sele	----|-||--⌫---|
l ebra zd estrelibris era	-⌫|---⌫|-⌫----|-|----⌫--|
anleportera	-|-|------|
aucolpenduet bi enle port	-|--|----|-|--⌫-|-|---|
ni puet plusf ai l l irqu	||---|---|-⌫--⌫-⌫-⌫-|-|
cele parole	---|-----|
tant greua	---|----|
keuxquabien poi	---|-||---|--|
quilnecreua	-|-|-|----|
dem autalentet	-|-⌫-------|-|
quantilnepoo it deu ant	----|-|-|---⌫-|---⌫--|
tel cop ruer	--|--|---|
quemo rtleust	--|--⌫-||---|
pou rcequ au ro y	---⌫|-|-|-|--⌫|
nedespleust	-|--------|
quilnelenua y	-|-|-||----⌫|
et lero y distahi a hy	-|-|--⌫|---|--|-⌫-|
k euc omtu	-⌫-|-⌫-|-|
ma shui couroucie ́	|-⌫|--|---------⌫|
qui ense igniéet adrecié	--|----⌫-----|-|-------|
le ua lle t desarmes	-|--⌫---⌫|--|----|
tantqu ebie na idiers enseust	------⌫|---⌫|-⌫----||-|----|
etd elescu etd ela lance	-|-⌫||---|-|-⌫|-|----|
b onc heualie r fust	-⌫-|-⌫-------⌫|---|
sanzdoutance	---|-------|
mesil nesetnepoine b ien	--|-|-|--|-|--|-|-⌫--|
darmes certesne	|----|-----|-|
dautrerie n	|----|---⌫|
neis tre re	---|---⌫-|
sespeesem e stierenauoit	|----|-|-⌫-⌫----|-|----|
orestarm ésus sonch eual	-|--|---⌫-|--|--|--⌫---|
sencontrerraaucunuassal	|----------|----|-----|
qu ip or lecheualgaaig nier	--⌫|-⌫-|-|-----|-----⌫---|
n e l dou ter aa	-⌫||---⌫---⌫||
mehaignier	---------|
quantmortoumehaigniél	----|---|-|---------||
quedeff endren e se saura	--|----⌫----|-⌫|-|----|
tantestnice setbestia ux	---|--|----⌫|-|------⌫-|
fi nez sesenuiaux	--⌫--|--|------|
ainssintli	-------|-|
rois plaintetregrete	---|-----|-|------|
celuialachi ere nicete	----||-|---⌫--|-----|
ni puetrienscon quester	||---|----|---⌫------|
le plete nontlessiéester	-|---|-⌫|--|------|----|
et perce ualsans arrester	-|-----⌫--|---|-------|
p ensse form entde chemin er	-⌫----|----⌫--|-|------⌫-|
isnelement parlafores t	---------|--|-|-----⌫|
e tcheua uchesanz	-⌫|-----⌫---|---|
tan tqualapl aine terreui nt	---⌫--||-|--⌫---|----|--⌫-|
lezunn eriuierequitint	--|---⌫|------|--|---|
delep lusdunearbalestee	-|-|-⌫--||--|---------|
siestoi t toutele aueentree	-|-----⌫|----||-⌫--|-----|
e tretreteenzensonconduit	-⌫|------|--|-|--|------|
grantriui ere quibruit	----|----⌫--|--|----|
toute unepraerie	----|--|------|
mes e n leue	--|-⌫||--|
nentr ail mie	|----⌫|-|--|
quilla uittrop	-|-|-|--|---|
parfondeetnoire	-------|-|----|
et plus cour an tass ezqu e loir e	-|---|----⌫--⌫|---⌫-|--⌫|----⌫|
etsenuettout selonc la	-||-|--|---|-----|-|
delezunerochenai ue	----|--|----|---⌫-|
quida utre p artla riu e estoit	--||-⌫---|-⌫--|-|---⌫|-----|
et d usqu es	-|-⌫----⌫-|
aupiel ibatoit	-|--|-⌫|-----|
sus uner o che	--|--|-⌫-⌫--|
enzzpendant	-|-|------|
meraloitdescendant	--|----|---------|
otzz chastelmout	-|-|------|---|
b e l e tf ort	-⌫-⌫|-⌫|-⌫--|
sicomleauealoita ugort	-|--||---|----|-⌫|---|
to rnaleualle t asenestre	--⌫--|-|-----⌫||-------|
siuitlestours	-|--|--|----|
d uc hastel nestre	-⌫|-⌫-----|-----|
nessoien t	--------⌫|
ho r sdela roc he issoient	--⌫-⌫|-|-|---⌫-|-------|
enmi lechastelenes tant	---|-|------|-|--⌫---|
o u unetour	-⌫|--|---|
moutforte etg rant	---|----|-|-⌫---|
et une barbakan efort	-|--|--------⌫|---|
au oit tournee uersleg ort	--⌫--|------|---|-|-⌫--|
qui alamersecombatoit	--||-|--|-|--------|
que l ameraupie	--|-⌫|--|-|--|
lib atoi t	-|-⌫----⌫|
a syyp arties	-⌫|-|-⌫-----|
dont liquar rel estoientdu r	---|-|----⌫--|-------|--⌫|
auoitunesbasses tou rneles	----|---|-----|---⌫-----|
quimo uti erentfortesetbeles	--|--⌫-|-⌫----|-----|-|----|
etlec has tel fubienseant	-|-|-⌫---⌫--|-|---|----|
et bienaai siépardeuant	-|---|---⌫---|--|-----|
et de uantle chastelroo nt	-|--⌫---|-|------|---⌫-|
eue fermézzpont	--|-----|-|---|
depi erred araineetde c ha u z	-|--⌫---||-----|-|-|-⌫--⌫-⌫|
estoit etbiauset hauz	-----|-|----|-|---|
en mi lepontotunetour	--⌫-|-|---|-|--|---|
bataillie trestout entour	--------|-------|-----|
etdeuantzzponttournei s	-|-----|-|---|-------⌫|
quiestoitfetetestablis	--|-----|--|-|-------|
a c equeladroitu reaport e	|-⌫|--|-|------⌫-|-----⌫|
iert ponte t	---|---|-⌫|
lanuit porte	-|---|----|
perceualuerslepon tc hemine	-------|---|-|---⌫|-⌫-----|
etuestudune	-|----||--|
rob ee rmine	---⌫|-⌫----|
z zpreudome esbatant	-⌫|-------|-------|
d esuslepont et atenda nt	-⌫---|-|---|-|------⌫-|
celui qui sus	----|--|--|
le pontuenoit	-|---|-----|
lipreudonsen s amai ntenoit	-|-------|-|-⌫|---⌫|-----|
parcontenance zzbas tonnet	--|---------|-|---⌫-----|
auoecluiierent	----|--|-----|
du iua llet	--⌫|--⌫---|
tre stou zdesafuble zuenu	---⌫----⌫|---------⌫|---|
cequ e sa me re	-|--⌫|-|--⌫-|
le saluaet d ist	-|----|-|-⌫--|
sire c emenseig namamere	---|-⌫||------⌫-|-|---|
di ex be neie toibiaufrere	--⌫-|--⌫---|--|---|----|
au parler leconu ttantos t	-|-----|-|----⌫|------⌫|
f rere dontuienz t u	-⌫---|---|----|-⌫|
dont dela court auroyartu	---|-|-|----|-|--|---|
qui cheualier nouu elmafet	--|--------|----⌫-|||--|
leroyquiboneauentureet	-|--|--|---|-------|-|
necuidoi ese diexme doin t	-|------⌫|-|---|-|----⌫|
i oie quorendr oi t encest point	-⌫--|-|------⌫--⌫|-|---|----|
chosel i souuenist	----|-⌫|--------|
necuidoiequil liten ist	-|------|-|-|-|---⌫--|
mainten antde cheualierfe re	-------⌫--|-|--------|--⌫-|
f reredebonnere	-⌫---|--------|
quilesteba illa	--|--|-|--⌫---|
le royartuslesme d on a	-|--|----|--|-|-⌫--⌫|
don acomment etil	---⌫|------|-|-|
li c o nte	-|-⌫-⌫--|
au ezoylec onte	--⌫-|-|-|-⌫---|
qu iau tre	--⌫|--⌫--|
foizleconteroit	---|-|--------|
uneoiseuse et	--|------|-|
e nnuyseroit	-⌫---|-----|
quenu lcontedecenamande	--|--⌫|----|-|-||-----|
etlepreudoml iredemande	-|-|------|-⌫|--------|
quilset fered e	-|-|--|---|-⌫|
s oncheu al	-⌫-|----⌫-|
g e l que urbienamonteta ual	-⌫||---⌫-|---|----|-|-⌫--|
toutautressic o mie	---|-------|-⌫-⌫|-|
monchaceorquant iel auo ie	--|------|----|-||---⌫-|
qu enlameson	-|-|-|----|
mamerepris	-|---|---|
e tdeuosar mesbiaxamis	-⌫|-|--|--⌫--|---|---|
sauezuousfere	----|---|---|
ge ssaibien uestir	|-⌫|--|---|-----|
sicommeliu allezm arma	-|----|-|-⌫----||---|
quide uant moi	--|--⌫---|--|
end esarma	-|-⌫-----|
celu i quegea uo ie mort	----⌫|--|-|-⌫--⌫-|---|
etsileg i erem entle s port	-|-|---⌫-⌫----⌫--|--⌫|---|
quelesnemegr ieuentd e rie n	-|---|-|-|--⌫-----|-⌫|---⌫|
foyqued oi dieuce	--|--|-⌫-|---|-|
pris ieb i en	---|-|-⌫-⌫-|
fet lepreud omet simesie t	--|-|-----⌫-|-|-|-|---⌫|
m esorditessine	-⌫-|-|----|-|-|
qu el besoiguous amena ca	--⌫-|-----|---|----|-|
sirema m erem en seigna	---|-|-⌫--||--⌫-----|
quaueclespreudomesala sse	-|---|--|--------|---⌫--|
et quea eulsme conseillas se	-|--||---|-|----------⌫-|
sicreusse cequild iroient	-|------|-|-|-|-⌫------|
quar preu y ont ceusquile scroient	---|---||--|---|--|--⌫|------|
et lipreudons	-|-|-------|
lidi stbiaufrere	-|--⌫-|---|----|
beneoite soituostremere	-------|---|-----|---|
q u ele uousconsseil lam outbien	-⌫|--|---|--------⌫-|-⌫--|---|
mesuoulezuousplus direrien	--|-----|---|---|---|---|
oil ta ntsan z pl usetquoimes	--|--⌫-|---⌫|--⌫-|-|---|--|
que uous me	--|---|-|
herbe rgiezhui mes	-----⌫----|--|--|
uolentierscedistli preudom	---------|-|---|-|------|
mes queuou s medonezz zdon	---⌫--|---⌫|-|----|-⌫|--|
dont moutgrant b ienueni ruerrez	---|---|----|-⌫--|----⌫|-----|
q uestcefet il queuous cre ez	-⌫|--|-|--|-|--|---|---⌫-|
leconsseilluostreme r eet moi	-|--------|-----|--⌫-⌫|-|--|
par f oy fet i letgelo t roi	--|-⌫-|--|-⌫|-|-||-⌫-⌫--|
dontdesc ende zetildescent	---|----⌫----⌫|-|-|------|
des uallezsoncheua lpren t	--|-----|--|-----⌫|----⌫|
d es yyquiier entuenus	-⌫-|-|--|---⌫--|----|
e tliaut rele	-⌫|-|---⌫-|-|
siremestenlarobesote	-|-----|-|-|---|---|
riuelinset enlacote	-------|-|-|-|---|
de cerfmalfeteet malt a illie	-|---|------|-|----⌫-⌫----|
quesamere li otba illie	--|-|---|-|-|--⌫----|
preudo mse fist	------⌫|-|---|
les esperon strenchan zd acier	--|-------⌫|--------⌫||----|
que le galois	--|-|-----|
o taportez	-⌫|------|
sie stsuslech eual montez	-|-⌫-|--|-|--⌫---|-----|
lorsdis t ami s orapr enez	---|---⌫|---⌫|-|---⌫---|
d armesetgardeuousprenez	|----|-|----|---|-----|
con mentlen doit lanc e teni r	---⌫---|--|---|----⌫|----⌫|
soncheual poindreet retenir	--|-----|------|-|------|
lorsa desploielensei gne	---||-------||-----⌫--|
si l iapren t et l i	-|-⌫|-----⌫|-|-⌫|
commentildoitson escu prendre	------|-|---|--|---|------|
zzpeti t auant lefetpendre	-|----⌫|----|-|--|-----|
col du cheualata int	--|-|-----|---⌫--|
puisme tla lanceel fau tr e	---|--⌫|-|----|-|---⌫--⌫|
leche ual quice nt ma rs ua loit	-|---⌫--|--|--⌫-|--⌫-|--⌫---|
plusuole ntiersna loit	---|----⌫-----||-⌫---|
plu stostnedegreignor ue rtu	---⌫|---|-|-|-------|--⌫--|
lepre udom sot	-|---⌫---|--|
moutdelescu	---|-||---|
etdu cheu alet	-|-|----⌫-|-|
delalan ce	-|-|---⌫-|
quilenot a prisensen fance	-|-|-|-|-⌫---|-||--⌫----|
s iplot mout auualletetsist	-⌫|---|---|-|-----|-|---|
tou tquanqu e le pre udom	---⌫|------⌫|-|---⌫---|
quant ilotfettout soncembel	----|-|-|--|---|--|-----|
deu ant perceualuintisnel	---⌫--|-------|---|----|
poi nt eesgardee	---⌫--⌫|-------|
reu int lancel euee	---⌫--|----|-⌫---|
au ua ll et et demanda li	-|--⌫--⌫-|-|------|-|
amissau ezuousfereainss i	---|---⌫-|---|---|-----⌫|
escue tlan ce dem ener	---|-⌫|---⌫-|---⌫---|
et le ch eu alpoindreet mener	-|-|--⌫--⌫-|------|-|----|
et cillidisttouta	-|--|-|---|---||
nequerroie	-|-------|
i our u iure	-⌫--|-⌫---|
neterreneauoir n	-|----|-|----||
mesque aussi fe reseusse	-----|----|--⌫-|-----|
puetlen aprend r e	---|--|------⌫-⌫|
quiyueutde bon	--||---|-|--|
c uerente nd r e	-⌫--|----⌫--⌫-⌫|
di stli preudonsbiaxamischiers	--⌫-|-|-------|---|---|-----|
ilcou ient a	-|---⌫---||
tresto uz me stiers	------⌫-|--⌫-----|
e tpai neetcu e r etus	-⌫|---⌫-|-|--⌫-⌫|-|-|
par cesyypuetlentout	--|--|-|---|--|---|
etquantuous onquesne lfeistes	-|----|---|-----|-||------|
naautruifere nel	||-----|---|-||
se uousferen el esaue z	-|---|---|-⌫|-⌫|----⌫|
hontene blasmeniauez	----|-|-----|||---|
lors lefistle preudommontrer	---|-|---|-|------|------|
etc ilconmenca	-|-⌫-|-------|
lal anceetl escu	-|-⌫---|-||---|
comsil eus ttouzio ursuescu	--||-|---⌫|---|--⌫--|----|
en tou rno iemens et eng uerres	-|---⌫---⌫-----|-|-|-⌫-----|
etfustal e zpartou tester r es	-|---|--⌫-⌫|--|---⌫--|---⌫-⌫-|
q uerant b atailleetauenture	-⌫-----|-⌫------|-|-------|
quaril liuen oitde natur e	---|-|-|---⌫--|-|-----⌫|
et q u an tnatureliap r ent	-|-⌫-⌫--⌫|-----|-|--⌫-⌫--|
duto u t yentent	-|--⌫-⌫||-----|
ne lipue trie nse stregreuaine	-|-|---⌫|---⌫-|-⌫---|-------|
la ou natureetc uerlem ai ne	-|-|-----|-|-⌫--|-|-⌫--⌫-|
par cesy y choses	--|--|-⌫|-----|
le fes o it	-|---⌫-⌫-|
s i quauuauas seu r moutplesoit	-⌫|-|-|-----⌫---⌫|---|------|
etsidisoitens on	-|-|-----|-|-⌫-|
ques il eustt out s onaa ge	--||-|---|-⌫--|-⌫-|--⌫-|
et darmessefust entremis	-||----|-|---|-------|
sen auoiti lassez	|-|----|-⌫|----|
quant perc eual otfet son tour	----|----⌫---|-|--|--|---|
deu ant le preudomeauretour	---⌫--|-|-------|-|-----|
lanc eleuee s e nrepere	----⌫|----||-⌫|-----|
sic om illio t ueu fere	-|-⌫-|-|-|-⌫|--|---|
etli distsir eai	-|-|---|---⌫|-|
ge bienfait	-|---|---|
cui dezuousque i amest iermait	---⌫--|---|--|-⌫|----⌫--||--|
paineseiemetreliuuell	----|-|-|----|||----|
onquesrie ns	-----|---⌫-|
ne uirentm iuei ll	-|-----|-⌫|---⌫-|
grant doutance euss e	----|-------|----⌫|
siuoudroieque g enseu sse	-|-------|--||-|---⌫--|
au tantcomme	--⌫---|----|
uousensauez	---|-|----|
f e tl e preudom uousen saurez	-⌫-⌫|-⌫|------|---|-|-----|
leuauasseurtroisfoizmonta	-|--------|----|---|----|
pa r yy f oizd armes	--⌫|-|-⌫--||----|
li m ostra	-|-⌫----|
ta ntqu e ass ezaprisl en ot	--⌫----⌫|---⌫-|----||-|-|
tantlenmoustracom il e n sot	---||-|------|--|-|-⌫|--|
et pa ryyfois	-|--⌫|-|---|
monte rl efi st	-----⌫|-⌫|--⌫-|
la d errenierefoiz li	-|-⌫--------|---|-|
amisseuousenc ontr iez	---|-|---|---⌫----⌫--|
zzc heualie rqueferiez	-|-⌫-------⌫|--|-----|
si lmefer oi tgelreferroie	|-⌫|-|---⌫--⌫|-||--------|
etseu ostre la nce pecoi e	-|-|-⌫----|--⌫--|-----⌫|
apresceniauroi til plus	----|-|||-----⌫|-|---|
forsq uaspoinzlicourroiesu s	-----⌫|-|----|-|-------|--⌫|
amis ceneferiez mie	---|-|-|-----|--|
ancoi slife rezescrem ie	-----⌫|-|--⌫--|------⌫-|
alespeele doizrequerre	||----|-|---|-------|
lorsa fichielalance	---|-⌫-----|-|----|
deua ntlu ien estantet d roite	----⌫-|--⌫|-|-----|-|-⌫----|
l epreud ome qui	-⌫|-----⌫--|--|
moutl e couuoite	---|-⌫|-------|
d a rmesenseignie retaprendre	|-⌫---|---------⌫|-|-------|
s iqu ilsesache bien deffendre	-⌫|-|-|-|----|---|--------|
se nle requ iert	|-⌫|-|----⌫---|
etauoitquantlil i exeniert	-|----|----|-|-⌫-⌫-|-|---|
es peeensa	--⌫--|-|-|
main prise	---|----|
amisfe t i lencestegui se	---|--⌫|-⌫|-|----|---⌫-|
uousd eff endrezson	---|-⌫---⌫-----||-|
uousassaut	---|-----|
