cefu eltans carbre	-|-|-|---||----|
encor puetpreus et sages estre	----|---|----|-|----|----|
u ilonie es tdautruigaber	-⌫-----|--⌫||-----|----|
etdepro metres ansdoner	-|-|---⌫----|-⌫--|----|
preudomnese doitentre metre	------|-|-|---|-----⌫----|
d e riennule	-⌫|---|---|
autruip rometre	-----|-⌫------|
que donn e rne	--|----⌫-⌫|-|
lepu isseetu oelle	-|--⌫---|-|-⌫----|
quelem aug rec eluin aqueuelle	--|-|-⌫---⌫-|-⌫---||--------|
ques ansprome treest sesamis	--|-⌫--|-----⌫--|--|--|---|
et desqueilli aitproumis	-|-----|-|-|--|------|
sibeea l a	-|--||-⌫|
etsiuo sdisans dec euoir	-|-|--⌫|-|---|---⌫----|
qu eassesue nroitmi us	--⌫|----|--⌫----|--⌫-|
ahomequ afame	|---|-||---|
carkilecuer direuo r roi t	--|-|-|---|---|--⌫-⌫---⌫|
lui me ismegaber de u roi t	--|--⌫---|----|--⌫-⌫---⌫|
q ui fai tpromesse etnela	-⌫-|---⌫|-------|-|-|-|
licuerde sona mi s entolt	-|---|-|--|-⌫-||-|---|
issi li rois	---|-|---|
par lo i t	---⌫--⌫-⌫|
et li uarl eskisenal oit	-|-|----⌫-|-||-|--⌫--|
aune puc hieleueue	|--|---⌫----|---|
biele etgentesile sa lue	----|-|----|-|-|--⌫--|
etcelle luietse lirist	-|----|--|-|-|-|---|
ettrestou tenriantli dist	-|-------⌫|-|----|-|---|
uarlet se tu	-----|-|-|
u i sparage	-⌫-⌫|--|--|
iepensetcroi enmo ncorage	-|---|-|---|-|--⌫|-----|
e t saceske il aue ndra	-⌫|----|-|-|---⌫---|
quen trestoutle mond e n	-|-|-------|-|----⌫||
y y mellours	-⌫|-------|
cheualier s d e	---------⌫|-⌫|
ensilepensensile croi	---|-|---|---|-|---|
etlapuciele nauoit ris	-|-|------||----|--|
pas sétauoitans	---⌫---|----|--|
c ele pa roledist	-⌫--|--⌫---|---|
quetoutl oirentetkeus	--|---||-----|-|---|
cui laparole anu iamou t	--|-|-----|---⌫-|---⌫|
si li donecope siest out	-|-|---|--||-|---⌫--|
de sapaum een lafacetenre	-|-|----⌫|-|-|---|----|
quil lefista lat iere e stendre	-|-|-|---||-|-⌫---|-⌫------|
q uantlapucel e releuot	-⌫---|-|-----⌫|------|
e nson r eto r tr ouazzsot	-⌫|--|-⌫---⌫|--⌫--|-|--|
les unecemin eeestant	--|--|-----⌫-|-----|
siliboutaelfua rdant	-|-|----|-|-|-⌫----|
delpie pa rcourouset	--|--|--⌫|------|-|
sossoloit dire	--|-----|---|
cestepucielenerir ra	----|------|-|---⌫-|
ius quesat antque le u erra	---⌫---|--⌫----|-⌫-|-⌫---|
celui kid echeualerie	----|-|-⌫|---------|
aur a toute lasignorie	---⌫|----|-|-------|
crieetcelepleure	---|-|---|-----|
etliuarlesplu sned emeure	-|-|-----|---⌫|-|-⌫-----|
ains s enr etorne sansconsel	---||-|-⌫-----|---|-----|
che ual i er uermel	---⌫---⌫-⌫-|-----|
yones l e ssen tierssauoit	----|-⌫-⌫|---⌫----|-----|
etmou tu olenti ersaportoit	-|---⌫|-⌫------⌫--|-------|
nouelesasesco mpagnons	------||--|--⌫-------|
t outcoiementet aesc on s	-⌫--|-------|-||---⌫--⌫|
zz uergier dela sale	-|------|-|-|---|
posterne auale	-------|----|
t antqu il uint alcemin totdro it	-⌫----|-|---|-|----|--|---⌫-|
ulic heualiersatend oit	|-|-⌫--------|-----⌫--|
cheualerieet auenture	---------|-|-------|
e tliuallesgr ant ale ure	-⌫|-|-----|--⌫--|---⌫--|
uin tuiers	---⌫|----|
luisesarmes	--|--|----|
ch eualierspora tendr e	--⌫-------|--|-⌫-----⌫|
auoit la co uped oriusmise	----|-|--⌫--||-|--|---|
sourzzperronderocebi se	---|-|-----|-|---|--⌫-|
q uantliuallesaprociél ot	-⌫---|-|-----|-------||-|
tantkeliunslautreoirpot	-----|-|--||----|--|--|
si licria metés	-|-|---|-----|
les armesn	--|----||
espor te résplus	-|---⌫--⌫---|---|
que li rois artusle uosmand e	--|-|---|----|-|--|----⌫|
e tlicheualierslidemande	-⌫|-|---------|-|------|
uarle tose nus	-----⌫|--|--|
droitle roima intenir	----|-|--|--⌫------|
lcelé spas	|-----⌫|--|
co ment dyablee st c eorg as	--⌫---|-----|-⌫-|-⌫|-|-⌫-|
danscheualiersqueuos	---|---------|--|--|
quencorn aue ́smesarbrestrai tes	-|----||---⌫-|--|-----|----⌫--|
ost ésles tost	---⌫--|--|---|
uos coman c	--|-----⌫|
uarletfaitil iou te demanc	-----|---|-|--|-|-----|
senusui entca	-|--|--⌫--|-|
deparle roi	-|--|-|--|
q uicombatre	-⌫-|-------|
seuoelle amoi	-|-----||--|
danscheualierscarostés	---|---------|--|-----|
les armesqueie ne s uos	--|----|--|-||-⌫|--|
que plusienel e	--|---|-|-|-⌫|
s ouferoie	-⌫-------|
biensa ciés	---|--⌫----|
uosferroie	--|------|
se pluspa rlerm en fe sissiés	-|---|--⌫---||-|--⌫-------|
lorsfuli cheualie rsiriés	---|-|-|--------⌫-|-----|
sa lan ce aayy m a insle uee	-|---⌫-|||-|-⌫-⌫--|--⌫--|
sile na doné t elc o lee	-||-⌫||----|-⌫-|-⌫-⌫--|
parlesespaulles	--|--|--------|
en tr auers	-|--⌫----|
dela u n estoit paslifiers	-|-|||-----|--|-|----|
qu illatoutem b ronciéaua l	-|-|||---|--⌫-⌫------|---⌫|
ius ques sorlec ol	---⌫---|--|-|-⌫-|
e tli ua rles sest coureci é s	-⌫|-|--⌫---||--|-------⌫--⌫|
ilfu bleciés	-|-|-------|
del acoleequil	-|-⌫|----|-|-|
uelau mius	--|-|---|
quilpotlauise	-|-|--||----|
etletale rlegauerlot	-|--|---⌫|-|-------|
si quil n ententne uo it	-|-|-||-----|-|--⌫-|
fiertparmi l uel el ceruel	----|----||--|-|-----|
lehat e rel	-|---⌫-⌫--|
lesance t la ceruel lees pant	-|---|-⌫|-|------⌫-|--⌫---|
de ladolorli cue rs l imant	-|-|----|-|---⌫-|-⌫|---|
si uie rseetcietto usest endus	-|---⌫--|-|---|--⌫-|---⌫----|
et li ua r l es descendii us	-|-|--⌫-⌫-⌫-|-------|-⌫-|
si metla lance aune pa rt	-|--|-|----||--|--⌫-|
e tlesc udelcol lidepart	-⌫||---⌫|--|--|-|-----|
m aisilnes etueniracief	-⌫--|-|-|-⌫-|----||---|
delh iaume	--|-⌫----|
quilasorsoncief	-|-||--|--|---|
ne se t comentil le pragne	-|--⌫|-----|-|-|-----|
ets atale nt qu il	-|||----⌫-|-|-|
lidescagne	-|-------|
mais il nelsetfaire	---|-|-||--|----|
nedel fu e r enelepuet	-|--|--⌫-⌫-⌫|-|-|---|
a inspr entlefuere etsace ettir e	-⌫--|--⌫--|-|----|-|---|-|---⌫|
y onesencomencearire	-⌫---|-|------||---|
carleuarle t uoit	--|-|-----⌫|---|
ice queestfa it ilamis	--|--|--|--⌫-|-|---|
que faitesuousienesai co i	--|-----|---|-|-|--|--⌫|
ie qui doie	-|---⌫---|
deuostreroi	-|-----|--|
quil me ust ces	-|-||-⌫--|--|
armesdonees	----|-----|
ainsauroie	---|-----|
parca rb onees	--|--⌫--⌫----|
trestout escarbe l lié le	-------|-------⌫-⌫---|-|
desarme sen port	--|----⌫|--⌫---|
q uelessetienentsi au	-⌫|---|-|------|-|-|
queco udedens etcou de fors	--|--⌫|-----|-|--|--⌫---|
es ttrestout z zsicommoisamb le	--⌫|-------|-⌫|-|--|--|----⌫-|
setienentsi ens ambl e	-|------|-|---⌫----⌫|
esmai ésderie n	-----⌫--|-|---⌫|
quelesdepartiraimout bien	--|--|---------|---|---|
seuousuole ́sfaityones	-|---|----⌫-|---|----|
f ait es dontto sfaitliua rles	-⌫---⌫-|---|--⌫|---|-|--⌫---|
sesmedonéssansnul arriest	|-|-|-----|---|--|------|
tanto stionesl endesuest	-----⌫-|----||-|------|
ius quesen l ortel lendescauce	---⌫---|-||----||-|-------|
laissahaubersne	-----|------|-|
nehia u me elcie fnautrearm eure	-|---⌫-⌫-|-|---⌫||----|---⌫---|
maisliu arle s sa	---|-|-⌫----⌫|-|
neuot laissierqu enepr eist	-|--|-------|--⌫|-|--⌫---|
porquankyoneslideist	--|----|----|-|----|
un e cot e m outaaisie	--⌫|---⌫|-⌫--|-----|
d e dras desoiegambisie	-⌫|---|-|---|-------|
quedesoussonhauber cu est oit	--|-----|--|------⌫|-⌫---⌫--|
licheualiersquantuisestoit	-|---------|----|--|-----|
nosterneli p ooitde s	|----|-|-|-⌫---|--⌫|
lesre uelins qu il	--|--⌫-----|-|-|
otcaucié s	-|-------⌫|
et dis t dya bleestceorgas	-|---⌫|---⌫--|--|-|-|--|
qu ecan geroi e m es	--⌫|---⌫-----⌫|-⌫-|
q uemamere mefist	-⌫-|-|---|-|---|
pou r lesdrasacel ch eualier	---⌫|--|---||--|--⌫------|
ma grossecemise dek enue	-|-----|-----|-|-⌫---|
por la soieque st	--|-|---|-|-⌫-|
uorriés u ous	-------|-⌫--|
laissas ce	-------⌫-|
macote u eiuene passe	-|---||---|-|----|
porce s tekinentenroi t gote	--|--⌫-⌫-|-||-|------⌫|---|
h onn ieso itla g org e toute	-⌫---⌫-|--⌫-|-|-⌫---⌫|----|
quicekerroit	--|-|------|
ses bonsd ras doin stp or z zmauues	--|---|-⌫--|----⌫-|-⌫-|-⌫|-----|
mon t griefcosee stdefol	---⌫|----|---|-⌫-|-|--|
riens forslesarmes	----|---|--|----|
ne uotprendre	-|--|------|
porproi ereque onl iface	--|----⌫--|--|-|-⌫|---|
y ones l es	-⌫---|-⌫-|
cauc esl il ace	----⌫-|-⌫|-⌫--|
e t sorlesreuelinsl i	-⌫|--|--|-------|-⌫|
lesesp oronsdesor la	--|---⌫----|----|-|
puis l ia lehaubiersuest u	---|-⌫||-|-------|----⌫|
telconquesnusmiudres	--||-----|--|------|
ets ourl acoiffeliassiet	-|-⌫--|-⌫|-----|-|-----|
le hiaumequimoutbienli siet	-|-----|--|---|---|-|---|
esp eeliensagne	---⌫-|-|------|
quelaskeetp endant lec agne	--|----|-|-⌫-----|-|-⌫---|
metle pieten lestrier	--|-|---|-||------|
selfaitmo nt er s or ledestrier	-||---|--⌫--⌫-|-⌫-|-|-------|
ains maisestrierueu nauoit	---|---|------|--||----|
ned esporonsueun auoi t	-||-------|--||----⌫|
fors d e c ilandeuder o ote	---|-⌫|-⌫-----||-|-⌫-⌫--|
yonesl esculiaporte	----||---|-|-----|
etla la nceetpuis	-|-|--⌫--|-|---|
anco isqueyonessenalle	----⌫----|----||-|---|
distliuarl es	---|-|----⌫-|
amis pr endés	---|--⌫-----|
mon ca ceourseuos uolés	--|--⌫----|-|--|-----|
quile stm outb onseti e	-|-|-⌫-|-⌫--|-⌫--|-|-⌫|
luos doing	|--|----|
pourcouq ue iounen	---|--|-⌫-|--||-|
ai besoing	-|------|
etp ortés sacoup e leroi	-|-⌫-----|-|----⌫|-|--|
sile sa luésdeparmoi	-|-|--⌫----|-|--|--|
e t tant dites a	-⌫|---|----||
qu e kexf e r isor	--⌫|--|-⌫-⌫-⌫|--|
queseiep u i sainsqu eiemuire	--|-|-|-⌫-⌫-⌫|------⌫|-|----|
liqui ciousibien met r e cuir e	-|---⌫|--|-|---|---⌫-⌫|----⌫|
cilrespontqueillidira	--|------|--|-|-|---|
r oisa coupe ren dra	-⌫-|-|----|---⌫--|
bi enf urnirale sien mes sage	--⌫-|-⌫-----|-|---|---⌫---|
s ilo nqu espuet aloide s age	|-|-⌫---⌫-|---||--|-|-⌫--|
ata n t departen t sis en uont	---⌫-⌫|--------⌫|-||-|---|
saleoulibaron	---|-|-|----|
entrey o ne s	----|-⌫-⌫--⌫|
parmi la po rte	----|-|--⌫--|
qui au r o isa coupe	--|-|-⌫-⌫|-|----|
siredistil orfaites ioie	---|---|-|-|-----|---|
caruo strecoupeuosreuo ie	--|--⌫---|----|--|----⌫-|
uostre cheu aliers	-----|----⌫-----|
douque lcheualier	--|---⌫|--------|
faitliroiskien sagrantire	---|-|---|-|-|-|----|--|
estoit encoren	-----|----|-|
fa i tyonesdel uarletdi	--⌫-⌫|----|--|-----|-|
quiorend roitpa rt i de	--|-----⌫---|--⌫--⌫|-|
distudontdeluarlet	--|-|---|--|-----|
q u ime demanda	-⌫-⌫|-|------|
fa i t lirois	--⌫-⌫|-|---|
desino pletaintes	-|----⌫--|------|
auch eual ierkihontemaintes	-|--⌫----⌫--|-|----|------|
mafaitess elonc sonpooir	||-----|-⌫----|--|----|
sirede lui	---|-|--|
di gepor uoir	-|-|--|---|
etmacoupeco mentotil	-|-|----|--⌫---|-|-|
ai me letantu prisechil	--⌫-|-|---||----|---|
quilli ait	-|-|-|--|
d e son gre rendue	-⌫|--|--|-----|
ancoi s li a sicie r u endue	-----⌫|-||-|---⌫|-⌫----|
liua rlesqu ei llahocis	-|--⌫---|--⌫|-⌫|||----|
et comen tfu cebiausamis	-|-----⌫|-|-|----|---|
sirenesaimaisqueieui	---|-|--|------|-|-|
queliche ualiersle	--|-|---⌫------|-|
de sala nce et	-|-|--⌫--|-|
fistgrantanui	---|----|---|
etliu arlesreferilui	-|-|-⌫----|-----|--|
d unga uer lot parmiluell iere	|-|--⌫---⌫--|----||----⌫---|
siquelifist	-|--|-|---|
pardederr ier e	--|-|----⌫---⌫|
le sance tlaceruel leespandre	-|---|-⌫|-|------⌫-|-------|
etluip art ieremort	-|--|-⌫-|-⌫---|---|
lors distli rois a usenescal	---|---|-|---|-⌫|-------|
ha k ex m outm aués hui	-|-⌫-|-⌫--||----|--|
paruostre langelanuiouse	--|-----|----||-------|
quiauradittemain techoise	--|---|----|----⌫-|-----|
mauést elche uali ertolu	|----|-⌫-|---⌫----⌫-|---|
sirefai tyonesa uroi	---|---⌫|----|-⌫|--|
parmon cief ilmandeparmo i	--|--|---|-|----|--|--⌫|
puc hiele la roine	---⌫----|-|----|
quek exfe risor	--|-⌫-|--⌫-|--|
lapoitrine	-|-------|
pormaldeluietpordespit	--|--|-|--|-|--|-----|
qu illeu engerase	-|-|-|-⌫-----|-|
maisquilen pu istuen irenleu	-----|-|-|--⌫--|---⌫-|-|--|
lisoskisi stiouste lefeu	-|--|-|--⌫-|-----|-|--|
otlaparole ets aut enpies	-|-|-----|-|-⌫--|-|---|
deuan tleroimoutlies	-----⌫|-|--|---|---|
sateli oi equ iltrepeetsau t	||--|-⌫--⌫|-|-|----|-|---⌫|
etdistdan s	-|---|---⌫|
ro isse d ex	--⌫-|-|-⌫-|
oraprocen t uos	-|-------⌫|--|
a uentures	-⌫-------|
d efelenesq ues et	-⌫|--------⌫--|-|
en uer rés auenir souent	-|---⌫---|-----|-----|
etsiuo smecbi enencouent	-|-|--⌫|--|--⌫-|-|-----|
quekexpuet es tr e	--|--|---|--⌫--⌫|
touscertains	---|-------|
quemalu itses pie s	--|--|-⌫-|--|---⌫|
etsalangue fole	-|-|-----|---|
et uilaine	-|------|
queainske pastla	--|-----|---|-|
qua rent aine	---⌫----⌫---|
auralich euali er suengié	---|-|--⌫-----⌫--⌫|------|
lecop q u ilme	-|--|-⌫|-|-|
donadelpie	---|--|--|
etla b ufeert	-|-|-⌫--|--|
etc omp ereeetbienferu e	-|-⌫---⌫---|-|---|----⌫|
queildonaalapuciele	--|-|---||-|------|
quee ntrele keusteet las siele	--|-⌫---|-|-----|-||--⌫----|
le brasdiestreli bri sera	-|---|------|-|---⌫---|
ainsdemia n le	---|---|-⌫|-|
a co l pen d uet bien leport	|--⌫|---⌫-⌫|-|---|-|---|
nipuetfa l irnescala m ort	||---|--⌫-⌫-|---||-|-⌫--|
cesteparol e t ant greua	----|-----⌫|-⌫--|----|
ke xkeporpoiq u i lne	--⌫|-|--|--|-⌫|-⌫|-|
demau tal entet decourous	-|---⌫---⌫--|-|-|------|
poinaq uilneladeuant tous	--|||-⌫|-|-|||-----|---|
telconree ́tque mort	--|------⌫-|--|---|
porce queau r oidesple ust	--|-|--|-|-⌫-|------⌫--|
laissaqueil nele	-----|--|-|-|-|
etli rois dist	-|-|---|---|
kexconmauésh uicoreciét	--|--||----|-⌫-|--------|
quiassenétetadreciét	--|-------|-|--------|
leuarleta armes eust	-|-----||----|---|
t ant que poiaidier senseust	-⌫---⌫--|--|-----||-|----|
etde l escu e t dela	-|-||---|-⌫|-|-|
bonscheualiersf ust	---|---------|-⌫--|
sansd otance	---|-⌫-----|
ma isil ne set	--⌫-|-|-|--|
nepoinebien	-|--|-|---|
darmesn e denuleaut rerien	|----|-⌫|-|---|---⌫-|---|
quenes t ra ire	--|--|-⌫--⌫--|
nesaueroit	-|-------|
lespeesemestierauoit	|----|-|------|----|
orsietarm e ́sso ur sonce ua l	-|---|---⌫-⌫-|--⌫-|--|--⌫--⌫|
sencon te r raauc unuassal	|-----⌫--⌫-⌫-|---⌫-|-----|
qui porsesarmes	--|--|--|----|
neldouteraa	-||------||
tos tmortetme hagnié l aura	---⌫|---|-|--⌫------||---|
card esfend re	--|-⌫------⌫-|
tant es tniceset bestiaus	---|--⌫|----|-|-------|
s ara tostfait	|--|---|---|
s es enuiaus	-⌫-|------|
issi l irois	---|-⌫|---|
pleureetregrate	-----|-|------|
le u arl et etfait ciere mate	-|-⌫---⌫-|-|---|----|---|
nipuetrien sconquester	||---|----⌫|---------|
s ilaisselapa role ester	-⌫|-----|-|--⌫---|----|
etli uarlessans nul	-|-|-----|---|--|
sen ua poi ngnant parlaf oriest	|-|-|---⌫-----|--|-|-⌫-----|
tantquea plainetiereuint	------||-----|----|---|
ri uierequit int	--⌫----|--|-⌫--|
dunearbalestree	|--|----------|
restoit le uwe entree	------||-⌫--|-----|
arriereensondroit	------|-|--|----|
grantbruiere quibruit	----|------|--|----|
senuatout e une praerie	|-|-|----⌫|--|------|
leuwen entra	|---||----|
leuitmoutparfondeetnoire	-|--|---|-------|-|----|
etassesplus couransque	-|----|---|------|--|
sisenuatoutselonc l ar iue	-||-|-|---|-----|-⌫|-⌫--|
grant r ocenaiue	----|-⌫--|----|
au trepartlariueest oit	--⌫--|---|-|---|---⌫--|
si queleue	-|--||--|
aupie l i batoit	-|--|-⌫|-----|
sor cel e roceenzz p enda nt	--|---⌫|---|-|-|-⌫----⌫-|
quiuiersmer a loitdescendan t	--|----|--|-⌫---|---------⌫|
castiel mout ric eet	------|---|---⌫|-|
sicon lenal oit enr eg o r t	-|--|--|--⌫--|-|-⌫--⌫-⌫-⌫|
tornali ua rles	----|-|--⌫---|
a senestre	|-------|
etuit le s tours ducasteln estr e	-|--|--⌫|----|-|-----|-⌫----⌫|
lif uk elesnaissoient	-|-⌫||---|---------|
etk ef orsde	-|-⌫|-⌫--|-|
laroceissoient	-|---|-------|
en mile ca stielen estant	--⌫-|-|--⌫----|-|-----|
otunetor etf orteet grant	-|--|--|-|-⌫---|-|----|
unebarb acane	--|----⌫----|
auoitt o rn ee	----|-⌫-⌫--⌫-|
uersle gort	---|-|---|
quia la mersecom ba toit	--||-|--|-|---⌫--⌫---|
etlamers au pielibato it	-|-|---|-|--|-|----⌫-|
aqu artepa rtiedel	|--⌫---|--⌫---|--|
dontl iquarie l estoient du r	---|-⌫|------⌫|-------|--⌫|
basse s tourieles	-----⌫|--------|
q uimo ut es to ient forset bieles	-⌫-|--⌫-|--⌫--⌫---|---|-|-----|
li castiausfumout	-|-------|-|---|
bienassi s	---|----⌫|
a asiés pardeuis	-⌫-----|--|----|
d euantlec astiel otzz pont	-⌫----|-|-⌫-----|-|-|---|
desorleuwedreciéreont	----||---|------|----|
depi ere daraineet de	-|--⌫--||-----|-|-|
li pons es toitb ien faisethaus	-|---|--⌫---|-⌫--|---|-|---|
abatalles e stoi tentour	|-------|-⌫----⌫|-----|
emmilepontotu net our	---|-|---|-|-⌫-|-⌫--|
et deuantzz	-|-----|-|
pon ttorneis	---⌫|------|
q uiestoi tfais etesta blis	-⌫-|-----⌫|---|-|----⌫---|
ac e quela droitur eestoit	|-⌫|--|-|-------⌫|-----|
leiorert po nte tla nuit po rte	-|--|--|--⌫-|-⌫|-|---|--⌫--|
liu a rl esuersle pontcemine	-|-⌫-⌫--⌫-|---|-|---|-----|
uiestus dune reubedermi ne	------||--|----||----⌫-|
s aloitzz preud omesbatant	|----|-|-----⌫-|-------|
par suslepont etsi	--|--|-|---|-|-|
celuiki uersl epontuenoit	----|-|---|-⌫|---|-----|
li p r eudomen samainte noit	-|-⌫-⌫----|-|-|---|--⌫---|
po rconten a ncezzbastonce l	--⌫|------⌫-⌫--|-|--------⌫|
et apr ie slui furentdansel	-|---⌫--⌫|--|-----|-----|
doitoutdesa fub lécr enu	--|---|----⌫---⌫--|--⌫--|
cilkiuien abien retenu	--|-|---||---|-----|
couquesa merel iaprist	--|--|-|---|-⌫|-----|
c arille saluaetdist	-⌫-|-|-|----|-|---|
m en segnamamere	|--⌫----|-|---|
diexbeneie toi biausfrere	---|-----|--|----|----|
fa itlipreudomki ni c e lot	--⌫-|-|------|-|--⌫-⌫||-|
au parlerleconutet sot	-|-----|-|----|-|--|
et dis tbiaus amisdontuienstu	-|---⌫|----|---|---|----|-|
do ntdelacourtleroi artu	--⌫-|-|-|----|-|--|---|
quinouelch eu al ierma fait	--|----|--⌫--⌫--⌫--|||---|
lirois ki bone auentur e ait	-|---|-|---|-------⌫|--|
cheualier se dex	--------|-|--|
bi enme doins t	--⌫-|-|-----⌫|
nequidoi e kenicestpoint	-|------⌫||-|----|----|
de telcoselisouuenist	-|--|---|-|--------|
d elquidoiequeilte nist	|-|------|--|-|--⌫---|
aur oiq ued echeualier fai re	-|-⌫-|-⌫-|-⌫|--------|---⌫-|
orme d if rer edeb onaire	-|-|-⌫|-⌫---⌫|---⌫-----|
cesarmeskiletes	--|----|-|-|--|
liroi sfait il	-|---⌫|---|-|
les medona	--|-|---|
dona co mentetil	---|--⌫---|-|-|
sicon oiaue ́s elconte	-|--|-|---⌫-|-|----|
quiautrefoi s leconteroit	--|----|---⌫|-|--------|
anuisetwiseuseseroit	----|-|------|-----|
que nuscon tes de	--|--|---⌫--|-|
celamand e	--|-----⌫|
etli p r eud om l irede mande	-|-|-⌫-⌫---⌫-|-⌫|----⌫----|
quilsetfa iredesonc eua l	-|-|--|--⌫--|-|--|-⌫---⌫|
ielceursbienamontetaual	-||----|---|----|-|---|
tot autresi	--|------|
coniecouroie	--|-|------|
mon caceourqua ntie	--|------|---⌫-|-|
quenlamaisonmamerepri s	-|-|-|-----|-|---|---⌫|
et de uo sar mesbia usamis	-|-|--⌫|--⌫--|---⌫-|---|
mere ditesque nsauésfaire	-|--⌫----|-|-⌫|-----|----|
i essaibienu estir	|-|--|---|-⌫----|
etretraire	-|-------|
si conl iua rles men	-|--|-⌫|--⌫---||-|
kideuantmoi	-|-----|--|
celuiqueiou	----|--|--|
auoie mo rt	----|--⌫-|
etsilegierementles	-|-|----------|--|
ne megrieuentde rien	-|-|-------|-|---|
par l arme dieuce	--||---|---|-|
pr is iebie n	--⌫-|-|---⌫|
preudom etmoutmesiet	------|-|---|-|---|
quem ed itessi neuous	--|-⌫|-⌫---|-|-|---|
quelbeso ingneuo samena	---|----⌫----|--⌫|----|
sirema merem	---|-|---||
queuers le s preudomes	--|---|--⌫|--------|
enquelliu queiel es trouasse	-|---|--|--|-|-⌫-|-------|
sicreiscecouquediroi ent	-|------|--|--|-----⌫--|
quepreuiontcil k ile s croient	--|---||--|--|-⌫|--⌫|------|
etlipreudomre spo nt	-|-|------|--⌫---⌫-|
biausfrere	----|----|
beneoite soit	-------|---|
uostre mere	-----|---|
quel euousensegna	-|--⌫|---|------|
maisuolésuous plus dire rien	---|-----|---|---|---|---|
oiletque tan t me	--|-|--|---⌫|-|
doi ngni és	---⌫----⌫--|
queuoush uimaisme	--|---|-⌫-|---|-|
herb egiés	----⌫-----|
mo ut uolentiers faitlipreudom	--⌫-|---------|---|-|------|
maiske uousmotroiés zz don	-----|---||-------|-|--|
do nt gra nt bi enuenir uos	--⌫-|---⌫-|--⌫-|----|--|
f aitilqueuouske rrois	-⌫--|-|--|---|--⌫----|
le c onseluostremereet	-|-⌫----|-----|---|-|
par foifait i let	--|--|---|-⌫|-|
ioul otroi	--||----|
dontdescendés	---|---------|
uns des uarlesle ceual prent	--|--|-----|-|----|----|
de s yyk i furent uenu	--⌫|-|-⌫|-----|---|
etliautresl e desarma	-|-|-----|-⌫|------|
siremest en la seule	-|-----|-|-|----|
esreuelins	-|-------|
qu e ilenporte	--⌫|-|------|
si e rtlacotemauball ie	-|-⌫-|-|---|-------⌫-|
mereliot ballie	---|-|-|-----|
preudoms efist caucier	------|-⌫|---|------|
lesesporons	--|-------|
trenc ansda c ier	-----⌫--||-⌫-⌫--|
uarles otaportés	-----|-|-------|
s i est so r so nceual	-⌫|--|--⌫|--⌫|----|
esc ue tlalanceprent	---⌫|-⌫|-|----|----|
ason colla mis	|--|--|||--|
etdis tamisoraprendés	-|---⌫|---|-|--------|
darmesetgardeuosdonés	|----|-|----|--|-----|
doit l ancete nir	---|-⌫---|--⌫--|
etcheual poindre	-|-----|------|
etr et enir	-|-⌫--⌫---|
lo r s a des ploie len s agnie	--⌫-⌫||---⌫----||--⌫-⌫----|
si leprentetseliensa gne	-|-|----|-|-|-|----⌫--|
coment o n	-----|-⌫|
do i t sonescu pr e n dre	--⌫-⌫|--|---|--⌫-⌫-⌫--|
le f ai t auantpendre	-|-⌫--⌫|----|-----|
coldelceualle go int	--|--|----|-|--⌫--|
puismet lalance elfautre	---|--|-|----|-|-----|
ki yymarsualoit	-|-|---|-----|
q u e nusplus	-⌫-⌫|--|---|
uolen t iersnalo it	-----⌫-⌫---||---⌫-|
plusfor t n e degregnor uertu	---|---⌫|-⌫|-|------|----|
li preu domsetmo utdelescu	-|----⌫--|--|--⌫-|-||---|
et del cheualet dela l a nce	-|--|-----|-|-|-|-⌫-⌫--|
otaprisdess enfance	-|----|--||------|
siplot mou tau uarletetsist	-|---|---⌫|-|-----|-|---|
trestout qua nque l i	-------|---⌫---|-⌫|
preud om fist	-----⌫-|---|
quant ilot fetto tson c embel	----|-|-|--|--⌫|--|-⌫----|
deuantleuarletbie n et bel	-----|-|-----|---⌫|-|--|
qui b i ense notgardedonee	--|-⌫-⌫-||-⌫|-|----|----|
sis en r euintla n ce leue e	-||-|-⌫----|--⌫-⌫-|----⌫|
au uar letetdemande li	-|---⌫--|-|------|-|
a missarriésuo sf aire	-⌫--|-------|--⌫|-⌫---|
lalanc eet	-|----⌫|-|
lescutdemener	|----|------|
etle cheualpoindreettorner	-|-|-----|------|-|-----|
etcillidistt outa	-|--|-|---|-⌫--||
n equerroi eia iorplus uiure	-⌫|-------⌫|-|--|---|----|
ne tiereneauoir neust	-|----|-|----||---|
nemaiskensi faireseust	-|----|---|----|----|
cec on ne setpuetonaprendre	-||-|-|--|---|-|-------|
quiiuoetpeneret entendr e	--||---|----|-|-------⌫|
faitlipreudombiausa misciers	---|-|------|----|-⌫--|----|
il cou ientatous lesmestiers	-|---⌫---||---|--|-------|
e tcueretpaine	-⌫|---|-|----|
etus a uoir	-|-|-⌫---|
parcesfaispue tontotsa uoir	--|--|---|---⌫|-|--|--⌫---|
etqua n t uousonques nel	-|---⌫-⌫|---|-----|-||
ne autruifai rene l	-|-----|---⌫-|-||
seu ousfaire	-|-⌫--|----|
ne lesaués	-|-|-----|
honteneblasmen iar és	----|-|-----|||--⌫--|
lorsl efistli preudommonte r	---|-⌫|---|-|------|-----⌫|
etil c ommencaaporter	-|-|-⌫------||-----|
sidroite lalanceetl	-|-----|-|----|-||
comsileusttos	--||-|---|--|
entournoiemensetenguerre	-|-----------|-|-|-----|
et alét par	-|----|--|
to ute laterre	--⌫--|-|----|
