Quel par tque	---|---⌫|--|
Merueilluscopliadduné	---------|--|-|-|----|
Desesp allesluc hieflirest	--|---⌫----|-|-⌫---|-|---|
Lichiefschaïlib u csremest	-|-----|----|-|-⌫-⌫-|-----|
Arth ure asesdiz	----⌫-|||--|--|
Romeins enua ïzE	------|----⌫--||
Romeinenc untresanguissent	-----|---⌫----||---------|
Espeestraient l a nces	-----|------|-⌫-⌫---|
f ruissent	-⌫-------|
Br etunsgrantdamage funt	--⌫----|----|-----|---|
Cuntrelur forceaforceestu nt	-----|--|----||----|----⌫-|
A rthurles uitm ultli	-⌫----|--|--|-⌫--|-|
Calibuern egranzcopsmeistLempe r ere	---------⌫|----|---|----||----⌫-⌫--|
Arthurocit a ur ne	-----|---||--⌫-|
Nese poënten tr enc untrer	-|-|-----|--⌫-|---⌫-----|
Ne lu n sne	-||-⌫-⌫|-|
puetlautre ade ser	---||----|---⌫--|
Tant parestgranz entrelsl a presse	---|--|--|----|---|--|-⌫|-----|
E la bataillesiengre sse	|-|-------|-|-----⌫--|
Bien fi erentci s tbien	---|--⌫----|--⌫-⌫|---|
fierentcil	------|--|
Tos t enueïssiezmurir mil	---⌫|-|--------|----|--|
F iereme ntse nt rec umbateien tEfierement sentrocieientN	-⌫------⌫-||-⌫--⌫---⌫---------⌫||--------||---|-------||
iertmieaparant ki ue in treit	---|--|------|-|--⌫--⌫----|
Nekiu enc uzne	-|-|-⌫---⌫-|-|
mort serreit	---|------|
M oruiduintodsa	-⌫----|---|-|-|
cu mpain e	--⌫-----⌫|
Kiert e l bois en lamuntaineU	-|--|-⌫|---|-|-|-------||
Arthurrecuurerdeueit	-----|-------|-----|
Side sagen tli meschaeit	-|-|-|---⌫|-|--------|
Sis milesis	--|--||--|
cenzcheualiersE seisantesis	---|---------||-------|--|
od destrier s	-|--------⌫|
Odcl ers he alme s odblancshal bers	-|--⌫--|--⌫----⌫|-|-----|---⌫---|
Lancesdreitesamunt	-----|------|----|
De lam untaine de scendirent	-|-|-⌫------|--⌫---------|
n enui rent	|-|--⌫---|
Detriés luruind rent sis ferir ent	-------|--|----⌫---|--|-----⌫--|
Lurb atai llepa r mifendirent	--|-⌫----⌫--|--⌫|-|--------|
Lesunsde saltres dep artire ntE	--|--|--⌫|-----|---⌫------⌫-||
telsi otquil	---||-|-|-|
ab atirent	--⌫------|
Ascheuals l es uuntdefulant E asespees	-|------|-⌫-|---|-------||-|-----|
i por entpuis	|---⌫--|---|
Rom einester	---⌫--|----|
Ne ne porent puis recu urerAgranz turbesse n	-|-|-----|---|----⌫---||----|-----||-⌫|
uuntfu iant	---|--⌫---|
Lesun slesaltresabatantLemp ererefud abatuz	--|--⌫|--|-----|------||---⌫----|--|-----|
E l co rsdunel ance	-⌫|--⌫-||--|-⌫---|
Nes ai dire kilabati	-|-⌫-|---|-||----|
Nenesai dire kilferi	-|-|--|---|--|---|
Enla p resse	-|-|-⌫----|
fudentreprisEenlapressefu d	--|--------||-|-|-----|--⌫|
morzfu d mo rtt rouez	---|--⌫|--⌫-|-⌫----|
Elcorsdunelance nafrez	-|---||--|----|-----|
Romeec ildorient E li	---||-⌫-||-----||-|
a ltrecomuneme ntAquanqu il p oënt	-⌫---|--------⌫-||-----|-|-⌫----|
delchampfui ent	--|----|---⌫--|
Br etunlesc hacent	--⌫---|--|-⌫-----|
edes truient	|---⌫------|
Ta nten oci enttuits en lassent	--⌫-|-|---⌫--|---||-|------|
Par desuslesocistresp a sse nt	--|----|--|---|-----⌫-⌫---⌫-|
Sancueïssiezcurr e a ru isselsE ocisgisira	---|--------|----⌫||--⌫-----||---|----||
Bels palefreiz ebuens de striers	---|--------||----|--⌫------|
Par leschamps ale restraiers	--|--|-----|---⌫|--------|
Arthursefi st	-----|-|--⌫-|
io iuse lié	--⌫--||---|
R omeotple issié	-⌫--|-|---⌫-----|
G racesr endial	-⌫----|-⌫---|-|
Reide glorie	--|-|-----|
Cerchier adfaittuzlesocis	-------|-|---|--|--|---|
Se sh umespren dreeses	--⌫|-⌫---|----⌫--||--|
Lesuns fis tilocenterrer	--|--|---⌫|---|-------|
Lesuns enlur t e rres p orter	--|--|-|--|-⌫-⌫---|-⌫----|
Par lacun t reeasabeï es	--|-|---⌫-⌫--|-|-----⌫-|
Enfis tenterrergranzpar ties	-|---⌫|-------|----|---⌫---|
L ecors fist	-⌫|---|---|
delem pereür	-||--⌫------|
Prendre egu a rderagrant	------||--⌫-⌫---||----|
R omeenbie relenueiaEacelsde	-⌫--|-|---⌫-||-----|||---|-|
Bretain equ ilteneit	-------⌫|-|-|-----|
Alt retreü nelurdeueitEquitre üli requerr e it	---⌫-|----|-|--|-----||--|---⌫-|-|-------⌫-⌫-|
Al tretellienueereit	--⌫-----|-|--------|
Keyfud kierta mort nafrez A	--|--|-|--||---|-----||
Chyno ns u nc hastel portez	-----⌫|-⌫-⌫|-⌫-----|-----|
Keycumpassa e	--|-------||
Chynon Ede	-----||-|
Kyno n ces tnun	----⌫|---⌫|--|
N euesquimielung ement	-⌫|-----|--|----⌫----|
A sez muru thastiueme nt	-⌫--|----⌫|---------⌫-|
Enterrezfud e n unb oscage	-------|--|-⌫|-|-⌫-----|
Kynonen unhermitageA	----|-|-|--------||
No rm en die	--⌫--⌫--⌫--|
D un ti laueitla	-⌫--⌫|-⌫|----|-|
s eignurie	-⌫-------|
Bedu erens eueli	----⌫-|---⌫----|
porteuersm idi	----|---|-⌫--|
Flandresfud	-------|--|
Holdinpor tezEen	-----|---⌫--||-|
Terrüeneenterrez	--------|-------|
Lygiers fudportez en	------|--|-----|-|
Ar thurk ir em esten	--⌫---|-⌫|-⌫--⌫--|-|
Tut liuernilocsu iorna	--||----|---|--⌫----|
Lescit ez priste	--|---⌫-|----||
Eneste ́uol t	-|----⌫|---⌫|
MungyeupasserEa	------|-----|||
Rome uo leit aler	---|--⌫---|---|
Modredlen adretu rné	-----||-|-|----⌫---|
Deus quelhun te	---|---|---⌫-|
Deus queluilte ́	---|---|-----⌫|
S isni ez fi z	-⌫-|--⌫-|--⌫|
sa sorur esteitEen guarde sun	-|----|-----||-|-----|--|
reg neaueit	---⌫-|----|
T utsunregne li o tli uré Een	-⌫-|--|----|-|-⌫|--⌫---||-|
guardetutcumandé	-----|--|-------|
Modredliuolt tut tolir	-----|-|---|--|----|
E asunu és tutretenir	||--|-⌫--|--|------|
Detuz le s	-|--|--⌫|
ba ru ns pristhu mage s	--⌫--⌫-|----|--⌫----⌫|
Ede tuz lescha stel s hostages	|-|--|--|---⌫----⌫|-------|
Empréscestegr antfelunie	------|----|--⌫--|------|
Modredal treuilainie	-----|--⌫--|-------|
K arcuntrecris tïen e lei	-⌫-|-----|----⌫-----⌫|--|
Prista sun	----||--|
lit femmelurei	--|----|-|--|
Femmes un uncl e	----|-⌫-|----⌫|
Pr istag uisede traïtur	--⌫--||-⌫---|-|-------|
A rthuroi ̈	-⌫----|--⌫|
edeueirs ot	|-|---|-⌫-|
Mod redfei nelipor tot	---⌫--|--|-|-|---⌫--|
femme otprise	----|-|----|
Neli sotgrédetelseruise	-|-|--|---|-|--|------|
Sagentt utea	-|---|-⌫--||
B urgui nelig uerpi	-⌫-----⌫-|-|-⌫----|
Si lirouaqu e tu tguardastE que	-|-|---|--⌫|--⌫|-------||--|
p artutpais afermast	-⌫-|--|---|-------|
Bre ta inereturnereit	---⌫--⌫--|----------|
Celsdesidles o ds eimer r e it	---|--|----|-⌫|-⌫-|---⌫-⌫-⌫-|
Mo dreds euengereit	--⌫---|-⌫|--------|
Kisafem meeson ur	-|-|---⌫-|||--⌫-|
Tutsunc u nquestpo iprei sere i t	--|--|-⌫-⌫-----|--⌫|----⌫----⌫-⌫|
B retainesunfieuperdeit	-⌫------|--|---|------|
Mi el zu oltla is sie r	--⌫--⌫|-⌫--|--⌫--⌫---⌫|
Rom eacunquerre	---⌫||--------|
Queperdre sa demein e	--|-----|-|------⌫|
brieftermerepairereitEa	----|----|----------|||
di st irreit	--⌫-|-----|
Del pa riur ie	--|--⌫----⌫-|
Mo d red pleinant	--⌫-⌫--|-------|
Ki turn él ot degrantcun quest	-|----⌫-||-|-|----|---⌫----|
S unnauieota	-⌫-|----|-||
Witsa ndprest	-----⌫-|----|
Modred so t d	-----|--⌫||
Arthurle repaire	-----|-|------|
n enedeigna	-⌫|-|-----|
Che ldric d e	---⌫----|-⌫|
Seisuineot mandé	-------|-|-----|
Und uc quiliotamené	-|-⌫-|--|-|-|-----|
nefs bienaparaillies	---|---|----------|
Tu tesdech eu alierscharg ies E	--⌫--|-|--⌫--⌫-----|-----⌫--||
Modredlurotg raanté	-----|--|-|-⌫------|
E en eritaged uné	|-|------|-⌫---|
Pu r lu r aïe	--⌫|--⌫|---|
e purlur fo rce	|--|--|--⌫--|
Humb retut desquen	----⌫-|--|--|-|-|
EscoceEçoqueot	-----||--|--|-|
uo rtigersaf illepr ist	--⌫-----|-|-⌫---|--⌫--|
Grantf ud e	----|-⌫-||
belel asemble e	---||-------⌫|
Entrelage ntki f ud	----|-|--⌫-|-|-⌫-|
kifudcristïene	-|--|---------|
Ot odhalberseod destriers	-|-|------||-|--------|
Seisante mileche ualiers	-------|---|---⌫------|
Ase ürq uide	---⌫--|-⌫---|
Arth uratendre	----⌫-|------|
Lesp o rzliquidetu z d efendre	--|-⌫-⌫-|-|----|--⌫|-⌫------|
Nel i uo l t	-|-⌫|--⌫-⌫|
passun d r eitg ue rp ir	--|--|-⌫-⌫--|-⌫--⌫--⌫-|
Nequ erre peis	-|--⌫---|---|
nerepenti rEilse set tantacul pable	-|-------⌫||-|-|--|---||---⌫----|
Que depaisquerre	--|-|---|-----|
se rreitfab le	--⌫----|---⌫-|
Arth urfistses	----⌫-|---|--|
ne fseschiper	--⌫-|-------|
Ta nt mena	--⌫-|---|
gentnessai n umbrerA	---|--|--|-⌫-----||
Rome nel uolt	----⌫--|---|
ariuer Ela roua sesn efstu rner	-----||-|---|--|-⌫--|--⌫---|
M es ainzquilfusta terre issuz	-⌫-|---|-|-|---||----|----|
Mo dredencu ntr e uenuz	--⌫---|----⌫---⌫|----|
Odses humesdeliurement	-|--|----|----------|
sunt parserrem ent	---|--|------⌫--|
Cildesnefs	--|--|---|
d ariuer s	|-----||
Cil de late rrelurdeforcent	--|-|-|--⌫--|--|--------|
Mult sessai entd eambes parz	---||-----⌫--|-⌫|----|---|
Traien t s a et eslancentdarz	------⌫|-⌫-⌫--⌫-|------|---|
Pances e piz e testes percentEcrieu ent oilzs	-----||--||-----|------||-----⌫--|---||
il iadercent	-||-------|
Celsde snefse stuettante nten dre	---|--⌫|---|-⌫----|---|-⌫----⌫--|
Asn efscundui reat erreprendre	-|-⌫--|------⌫-||-⌫---|------|
Ferirnecuurir ne	----|-|-----|-|
Parla mermultde morzen	--|-|--|---|-|---|-|
S uuentcheentsuuentchancelent	-⌫----|-----|-----|---------|
Traïtursces	--------|--|
de forsapel ent	--⌫---|----⌫--|
As nefs deschargierel	-|---|----------|-|
Arth urd umesgrantdamage	----⌫-||---|----|-----|
Multiotbucscolpezec h iés	---||-|---|-----||-⌫-⌫---|
L a fud ocis	-⌫|--|---|
Walweinsis niés	------|--|----|
Arthurot de luidu elmu l t grant	-----|-|-|--|--⌫-|--⌫-⌫|----|
Kariln amotnulhumetant	--|-||---|--|---|---|
A uguissel fudodluiocis	-⌫-------|--|-|--|---|
Escocë ertpoës tis	------|--|-----⌫--|
Des altresiotoc ismaint	--|-----||-|--⌫-|----|
Quelirei s	--|-|---⌫|
mult r egrette e pl aint	---|-⌫------||--⌫---|
Tantcu milfurentel sab lun	---|--⌫|-|-----|-|---⌫--|
Arthursipe rdre	-----|-|--⌫---|
Mespui squilfurent alterre in	--|---⌫|-|-|-----|-|-----⌫-|
Eparegalfurentelplein	|--|---|-----|-|----|
Modredaue rd uree	-----|---⌫|-⌫---|
grantgentquil	----|---|-|-|
Modred othumes	-----|-|----|
co nc ult is	--⌫--⌫---⌫-|
repos nurriz	----|-----|
Ne sesorentpas	-|-|-----|--|
Nesi tu rner nesiferir	-|-|--⌫---|-|-|----|
Cume la ge nt	---|-|--⌫-|
Arthur saueit	-----|-----|
Ki enguerrenu rrie est eit	-|-|-----|--⌫---|---⌫--|
ArthurelisuenifereientEd esesp ees	-----||-|---||-------||-⌫-|---⌫--|
lesseru e ient A	--|----⌫-⌫---||
uint eace nt lesocistrent	---|||--⌫-|--|--------|
Multentue r ent multenpri strent	---|-|---⌫-⌫--|---|-|---⌫-----|
Grantfu dlocise	----|--⌫||----|
eplusgrantfust	|---|----|---|
Seliuespres ne lurneü st	-|-|------|-|--|----⌫-|
Li ior zfa illie	-|---⌫|--⌫---||
la nuituint	-|---|---|
Arthur s estutsagentre tint	-----||----|-|---|--⌫---|
M o dre dsestmis e enf uie	-⌫-⌫---⌫||--|---⌫|-|-⌫--|
Qui d ezquel un sl	---⌫-⌫-|--||--⌫||
a utrecund uie	-⌫---|----⌫--|
Nulsniperneitdaltrecunrei	---|||------||----|-----|
Ch ascunpensot deguarir	--⌫----|-----|-|-----|
Modred s en	-----||-|
fuï tutenu it	---|---|--⌫-|
Qu era ntrecetuil	--⌫---⌫-|----||-|
Lundresqui daremane ir	------|---⌫-|------⌫-|
Mes cilneluoldr entrec eueir	--|--|--|-----⌫--|---⌫----|
Lundrestrespassa	------|--------|
Wincestre nefina	--------|-|---|
Enlacit é	-|-|---⌫-|
seherbe ria	-|-----⌫--|
S esgenze sesamis manda	-⌫-|---||--|---|----|
Descith eeinsp ristfeelté E humagesestre lur	--|----⌫----|-⌫---|------||------|----|--|
Qua lurpoeir	-||--|----|
l emeint endruntEpais e feili port erunt	-⌫|-----⌫------||---||--|-|----⌫----|
Arthu rn otcurede su i or	-----⌫||-|---|-|--⌫-⌫-|
Modred otgranthaürD	-----|-|----|----||
Auguisselot	--------|-|
grantdoeleü	----|---|--|
Walweinquilotperdu	------|-|-|-|----|
Grantf udlidols desunn euou	----|-⌫-|-|---|-|--|-⌫---|
fistme ttrene sa iu	---|--⌫---|-|--⌫||
Sun maltalentturn ae s	--|--------|----⌫|||
Modredsilpoeit ocire A	-----|--|----|----||
Wincestr eleuint sie want	--------⌫|-|---|---⌫---|
Detutesparz gentsumuna nt	-|----|---|---|------⌫-|
Lacitéuoltfaireasieg ie r	-|----|---|----|-----⌫--⌫|
E sagent enturalogier	|-|---|----|------|
Modr eduit	----⌫-|--|
Ar t hurel	--⌫-⌫--|||
Ki lacite ́enu irunclost	-|-|----⌫|---⌫---|----|
Semblantfi stqui l secumbat reitE que c umba t r ese	-------|--⌫-|-|-⌫|-|------⌫---||--|-⌫----⌫-⌫-⌫|-|
Karse illungesertasisN	--|-|-|-----|--|---||
en turner eitquil	-|------⌫--|-|-|
ne fus tprisEse ilprisestr e	-|---⌫|---||-|-|---|----⌫|
Arth ur uifneschap er eit	----⌫-|--||------⌫--⌫--|
Tuzseshumesfist as emble r	--|--|----|---|--⌫-----⌫|
Pre ndre lurarmes e	---⌫---|--|----||
Parcunr eiz les	--|----⌫--|--|
fist establ ir Eacum batre f or s issir	---|------⌫-|||---⌫----|-⌫--⌫|----|
Desquecilfurent fors issu	--|--|--|-----|---|---|
Tui t c il delost	---⌫|-⌫-|-||--|
sunt l acuru	---|-⌫|---|
Se mpres iotmaintc opd uné	--⌫----||-|----|-⌫-|-⌫---|
ocis emai ntnaf réA	---||---⌫-|---⌫--||
Modred pr istameschaei r	-----|--⌫--||--------⌫|
Ne potsa gentfuisunaueir	-|--|-|---|-----|----|
M es ilpens a deguarirse i	-⌫-|-|----⌫|-|-----|--⌫|
Mesfait otmultsicr iens t	------|-|---|-|--⌫----⌫|
Tuzsespriuez	--|--|-----|
e sesnurr izEcelsqu	|--|----⌫-||---|-|
Arthurotplushaïz	-----|-|---|----|
Asemblatutpri ueem ent	------|--|---⌫----⌫--|
Cumbatrelaissa lautregent	-------|-----||----|---|
Hamtuneprist	------|----|
unsen tier	-|---⌫---|
Uncnepr ist	--|-|--⌫--|
fin des qual g rauier	--|--|-|-|-⌫-----|
Esti erm ans prist e mari niers	----⌫---⌫--|----||----⌫----|
Parpramess ese parlui ers	--|-------⌫-||--|---⌫--|
Enmersefistodel senpeindre	-|--|-|---|-|--⌫|--------|
Que nelpeüst	--|--|-----|
Arthurateindre	-----|-------|
Cornuailleluntcundu it	---------||--|-----⌫-|
Arthur cri entuolent iers senfuit	-----|---⌫--|------⌫---||-|---|
Wincestre a sist	--------|-⌫---|
Lagent uenquilacit e ́prist A	-|---|-----|-|---⌫-⌫|----||
Ewe in lef iz	---⌫-|-|-⌫-|
Ki delac urtesteit mult	-|-|-|-⌫--|-----|---|
Es co ceen er itageE	--⌫--⌫-|-|--⌫----||
Ew ein lenadfait humage	--⌫--||-|-|---|-----|
Auguisselaueit es té	--------|----|--⌫--|
Siclamo tdre it enlerité	-|-----⌫|---⌫-|-||-----|
a ueitnefiznefemme	-⌫---|-|--|-|----|
Ewe in preïst l uregne	---⌫-|------|-⌫|----|
Eweinfud mul t degrantualur	----|--|---⌫|-|----|----|
Mul totgrant p rise grant	---⌫|-|----|-⌫--||----|
Dela me dlee ede laguer re	-|-|--⌫---||-|-|----⌫-|
Mod redmist en	---⌫--|---|-|
Engleter re	--------⌫-|
L a reïne s o te	-⌫|-----|-⌫-⌫||
Modredtantes feizfuï	-----|-----|---|---|
Nesep oei td	-|-|-⌫---⌫||
Arth urd efendre	----⌫-|-⌫------|
Ne n elosot	-|-⌫||---|
en champatendreA	-|----|------||
Eu erw ic iertasu ior	--⌫---⌫-|---||--⌫--|
fudeentristur	--||-|------|
Membralu idela ui lainie	-----|--⌫|-|-|--⌫-----|
M o d redses teit	-⌫-⌫-⌫--||--⌫---|
aueitue rgunde ́Esun neuou	----|--⌫------⌫||--|----|
Modredamé	-----|---|
Cuntrelei l aueitespu s ee	-----|--||----|----⌫-⌫-|
S ienesteit mult aui l ee	-⌫|-|-----|---|---⌫-⌫-|
Mielz uolsistm orteestreq ueuiue	----|------|-⌫---|----|-⌫-|---|
Multfud triste mul t fu dpensiue A	---|--|-----|---⌫|--⌫|------||
Karliunsenest fuï e	------||-|--|----⌫|
L aentra enuneabeïe	-⌫|----|-|--|-----|
Nunedeuintilocuele e	---|-----|---|----⌫|
Enlabbeïe fud celee	-||------|--|----|
oïe ne ue üeN i fudtroueene	---|-|--⌫--|||--|-----|-|
Pur la uer guinedel me sfaitEdelpechi équ	--|-|---⌫----|--|--⌫----||--|-----⌫-|-|
el eaue it fa it	--⌫|---⌫-|--⌫-|
C orne w ai llead	-⌫----⌫-⌫--⌫--|-|
Modredtenue Lautreter re a d tuteperdue	-----|----||----|---⌫-|-⌫|---|-----|
Parm ereparterre enuea	--|-⌫-||--|----|----|
Paensecri stïensman da	----||---⌫------|---⌫-|
Yrei smanda	----⌫|----|
Seissunsmanda	-------|----|
Manda ce s que	----|--⌫|--|
Arthur haeient E qui	-----|------||--|
sun s eruise cre meient	--|-⌫-----|---⌫-----|
Manda cesquiterrena ueient	----|--|--|----||-⌫-----|
K ipur terre seruiruolei ent	-⌫|--|----|-----|-----⌫--|
Dunaepra mist epreia	---||---⌫---||----|
Cumëhuemfait kibus u ina	----|---|---|-|---⌫-⌫-||
Ar thu r fuddolenze iriez	--⌫---⌫|--|-----||----|
Mod redn ef ud ue ngiez	---⌫--|-⌫|-⌫-|--⌫----|
Multli peise	---|-|----|
del t raïtur	--|-⌫------|
Que desa t erre	--|-|-|-⌫---|
adnisun dur A	-|----|--||
Cornuail lead gentia	--------⌫-|-|---|-|
traitE sepeinequep l us en ait	----||-|----|--|-⌫-⌫-|-|--|
Tenir cele	----|---|
eplus prendre enteise	|---|------|------|
Arthu r lese tfor mentlenpe ise	-----⌫|-|--⌫|---⌫---||-|--⌫--|
Tutesostmandade s	---||--|----|--⌫|
Grand f utli pueplesnen	----|-⌫-|-|------||-|
Grantfudlagentque li reisot	----|--|-|---|--|-|---|-|
Mo dredu ille	--⌫---||-|-|
Ocirreuoleitedestru ire	-----|-----||------⌫--|
Suntraïture	--|-------||
sunpariu ire	--|-----⌫--|
Modredneno tdefui ̈rcure	-----|--|-⌫|-|---⌫-|---|
Mielz seuoltmettr een	----|-|---|-----⌫|-|
aue ntureE en aband undemurir	---⌫----||-|-----⌫-|-|----|
Quetantesfeizde	--|-----|---|-|
champ fu ï r	----|--⌫--⌫|
Camblefud la bataill e	-----|--|-|-------⌫|
Enlate rred e	-|-|--⌫--|-⌫|
C orn uaille	-⌫---⌫-----|
ir efudasemblee Epar grantiref ud iustee	--⌫|--|-------||--|----|--|-⌫-|-----|
Pargr an tire f u dloure enprise	--|--⌫--⌫|--|-⌫-⌫||---|------|
Grant fut la	----|--|-|
gen tgran tfu l	---⌫|----⌫|-||
Nesaidirekimielz lefist	-|--|---|-|----|-|---|
Nequi perdi	-|--|----|
nequi cunquist	-|--|-------|
Ne quichai ̈ n e quies tut	-|--|----⌫|-⌫|--|--⌫--|
Nequiocistne qui murut	-|--|----|-|--|----|
par zlapert e	---⌫|-|----⌫|
Laplainefud desmorzcuuer teEdels an cd es	-|-----|--|--|---|-----⌫-||--|-⌫--⌫|-⌫-|
muranz sanglent e	-----|--------⌫|
D unc perila belei u uen te	-⌫--|---|-|---|-⌫-⌫---⌫-|
Arthura ueitgrantnurrieE deplusursterre s	-----|-⌫---|----|-----||-|------|-----⌫|
cuillie E cilde	------||--|-|
Dunttellos ertpar tut lem unde	---|--|--|--|--|--|-|-⌫---|
Mo drede n l esturE	--⌫---|-⌫||----||
de sagenttutli plusurEd e	-|-|---|--|-|-----||-⌫|
ArthurlaflurEliplusfor te	-----|-|---||-|---|---⌫||
li me illur	-|--⌫----|
Arthur si lagestenement	-----|-|-|----|-|---|
Fudelco rsnafrezmortelmen t	--|-|--⌫-|-----|---------⌫|
Aualon sefist po rter	-----|-|---|--⌫---|
Pu r se splaiesm ediciner	--⌫|--⌫|-----|-⌫-------|
Enc or ei est	---⌫--⌫||--|
Br etun l a tendent	--⌫---||-⌫------|
Sicum ildien t eente ndent	-|--|-|----⌫||----⌫----|
De lauendraencorpu etui ur e	-|-|-----|----|--⌫-|--⌫--⌫|
Wace kifi stcestliure	---|-|--⌫-|---|----|
Neuoltplu sd iredesa fin	-|---|---⌫|-⌫--|-|-|--|
Qu en distlip rophete s	-|-|---|-|-⌫-------⌫|
Me rli nd istd	--⌫---⌫|-⌫--||
Arthur s iot	-----|-⌫|-|
Quesamortdut uses erre i t	--|-|---|---⌫--|-⌫----⌫-⌫|
Li pro phe tes distuerité	-|---⌫---⌫--|---|------|
en adlumpui sdutéEd uteraço	-|-||-|---⌫|----||-⌫----|--|
Seilest morz	-|-|--|---|
uil est uis	|-|--|--|
Po rtersefisten	--⌫---|-|---|-|
Pur u eirpuis	--|-⌫--|---|
Incarnatiun	----------|
Cincc enzequara nted ou s anz	---|-⌫--||-----⌫--|-⌫--⌫|--|
Damage fud quilnotenfanz	-----|--|-|-||-|-----|
Co stent in	--⌫-----⌫-|
C ornua i l les uncusin	-⌫-----⌫-⌫-⌫-|-⌫-|----|
Liurasun regne silidi st	----|--|----|-|-|--⌫-|
Qu ilfustreistant qu il reuenis t	-|-|---|---|---|-|-|-------⌫|
Modr edau eit d o us fizb iengr anz	----⌫-|--⌫--|-⌫-⌫-|--|-⌫--|--⌫--|
B ieno rgui llusebien prei sanz	-⌫--|-⌫----⌫---||---|----⌫---|
C iluiren t tuzlesbaru nsmorz	-⌫-|-----⌫|--|--|----⌫-|---|
uire n tperilégranze sforz	----⌫-⌫|---|--|----|-⌫----|
Arthurlesluin ement	-----||------⌫----|
uirentlureifaitnouelment	-----|-|--|---|--------|
Saisnes kio d	------|-|-⌫|
Modreder ent	-----|--⌫--|
K idelaba taille esch aperent	-⌫|-|-|--⌫-----|----⌫------|
Untensemb leodels	--|------⌫-|-|--|
Tantlesuntblandize pr eiez	---|--|--|------||--⌫---|
R et e nule suntasoldees	-⌫--⌫-⌫-|--⌫|--||------|
untgranzt erres dunees	--|----|-⌫----|-----|
Lemielz delpaïs untsaisi Lunsdels	-|----|--|----|--|----||--||--|
Lundressenbati	------||-----|
Li altres uolttenir	-|-----|---|----|
W incestr e	-⌫-------⌫|
I s siquid erent	-⌫-⌫-|----⌫----|
sei gnur estre	---⌫---|----|
Costentin lesuin tsie wa nt	--------|--|---⌫|---⌫--⌫-|
ueint r esemiste n grantL	-----⌫-⌫|-|---|-⌫|----||
unfrer een	-|----⌫|-|
Wincestre t roua	--------|-⌫---|
En unm us tier l edecola	-|-|-⌫--⌫---|-⌫|-----|
Deuant lautiel	-----||-----|
Gardezsilfistpechiéemal	-----||-|---|------||--|
Puis ad l aut refr er es iewi	---|-||---⌫-|--⌫--⌫|-⌫---|
Cilsotsauenuee	--|--|-|----||
En unmustiersa lamucier	-|-|------||-⌫-|-----|
Mesne lipota uer	--|-|-|--|-⌫--|
Lalefistli reisdecoler	-|-|---|-|---|------|
Le chiefli fistdelbu c	-|----|-|---|--|--⌫|
Treisanzreg napu isfud	----|--|---⌫-|--⌫-|--|
ocisÇofudgrant	---|--|--|----|
doel asesamis	---||--|---|
Estanh enges fudportezEagrantenur enterrez	------⌫----|--|-----|||----|---|-------|
Cunans is niésenprés reg na	----|-⌫-|----|------|---⌫-|
Orguillus f ud multsep r ei sa	--------|-⌫-|---|-|-⌫-⌫--⌫-|
Pais nesot faire	---|-|--|----|
Sesgenz laissotentremedler	--|---|------|----------|
Parlescitezs entremed loentElibarun	--|--|----||--------⌫----||-|----|
seguerrioent	-|---------|
meïsme esagent	------||-|---|
A u eit gran t discorde	-⌫-⌫--|----⌫|-------|
Sun u nclegu ereiaep rist	--|-⌫---|--⌫----||-⌫---|
E lesd ous	|--|-⌫--|
fiz s ununc leocist	--|-⌫-|---⌫-|----|
quilesteien t dreiteir	-|-|-------⌫|----|--|
S i deüssentlu	-⌫|--------|-|
regne aueir	----|----|
Quat reanzfud rei sepetit	----⌫-|--|--|---⌫||----|
Enprésregna	------|----|
uortyporus	---------|
En sun tens	-|--|---|
Saidnereuelerent	-----|---------|
tute auerquidere nt	---|---|-------⌫-|
Asgenz fi rent mainte	-|---|--⌫---|-----|
Deus cunfu nde tute lurgeste	---|-----⌫--|---|--|----|
Bi en lurestutalcumenç ail	--⌫-|--|----|-|-------⌫--|
Alreifirent maintgranttrauail Alapa rfin s	-|--|-----|----|----|------||-|--⌫---||
So ldeierspristgenzaüna	--⌫------|----|---|----|
Ne l aissa anul dels manage	-|-⌫----||--||--|-----|
Du nt iln eneüstbo nhost age	--⌫-|-||-|----|--⌫|----⌫--|
P uistintpais	-⌫--|---|---|
iesqua sun	----||--|
Malgo s isnie ́s fu d	----|-⌫-|---⌫-|--⌫|
reisap r és	---|--⌫-⌫--|
Kiamamu ltc heuale rie E mu lt lusatute	-|--|--⌫-|-⌫------⌫--||--⌫-||--|---|
L e sidles en uiruncunquistEleshumages	-⌫-⌫|----|--⌫----|-------||--|------|
desreisprist	--|---|----|
De bealtée de bonesmurs	-|------||-|----|---|
Su rmunt atu z	--⌫-----⌫|--⌫|
sesancei surs	--|-----⌫---|
Formen tfudbels	------⌫|--|---|
formentfudgenz	------|--|---|
Forment ama	------|--|
tuzs espare nz	--|-⌫-|----⌫-|
Larges fudm ultadesmes ure	-----|--|-⌫--||------⌫--|
Un quesd a ueirten irnotcure	--⌫---||-⌫---|---⌫-||-|---|
Malgosetintaeschar niA deshonure ́ ahuni	----|-|---||------⌫-||---------⌫||---|
Queilleior	--|-|-|--|
Duntquiqueseit	---|--|--|---|
lis eüstgré	-|-⌫----|---|
Une suletecheauei tmale	--|---|----|----⌫|---|
Sodomitesuntpale	-------|---|---|
le men lui altreui ce	|-⌫|-|--|----|--⌫-|
