ceoauint al quinzimean	--|----|-|-------|-|
saciezqu egr antpoouret	-----|--⌫|--⌫--|----|-|
grantmerueilleenauunsofert e	----|--------|-|---|------⌫|
ainzqueeuss unparlé ouos.	------|----⌫-|-----||--||
maisornosditesc umme nt uosen	---|-|--|----|-⌫----⌫-|--|-|
fustesde liuré.respundi	-----|--⌫-----||-------|
iosepetdis t quantuosm	----|-|---⌫|----|--||
prisetmisenla chartre	---|-|--|-|-|------|
ento rmienuit sesleua l a	----⌫|------||-----|-⌫|
quatreangele s siui	-----|------⌫|-|-|
c ummefoudre	-⌫---|-----|
delumiere.et dela	-|------||-|-|-|
pooursichaiaterr e	----|-|---||----⌫|
eti lprist	-|-⌫|----|
m amai nsimeleuade	-⌫|---⌫|-|-|---|-|
arosa munu is p uissimeterst	----|--|-⌫-|-⌫--|-|-|----|
et baisaetdis tios epnaies	-|----|-|---⌫|---⌫-||---|
po o ur reg ardeceosui	--⌫-⌫-|---⌫---|--|--|
l e sgard aisi	|-⌫-----⌫-|-|
dismaistre	--|------|
helyasetilmedist ieone	-----|-|-|-|---|--|-|
einzsu i ie su	---|--⌫|--⌫-|
quicorsuose ns euelistes.etioli	--|---|--|-⌫--⌫--------||-|-|-|
most ré smei le	----⌫---⌫|--|-|
monumento uieuos	-------|-⌫|-|--|
mis . etilpristma	--||-|-|----|-|
mainsim amenael	---|-||----|-|
lieuo uieo lenseueli si	---|-⌫|--||-------|-|
mostrale drapouiel	-----|-|---|-|-||
enuol ep ai	-----⌫--⌫-|
etlesua ire de sun c hief .	-|-|---⌫--|-|--|-⌫---||
iobienqueco fuiesusi	-|---|--|-|-|---|-|
l aouraie tdis	|-----|-⌫|--|
beneits eit	-----|-⌫--|
qui uin tel nunnostrese ignor.	--|---⌫|-|--|-----|--⌫----||
p u is simamenapa r	-⌫-⌫-|-||----|--⌫|
lama in ama	-|--⌫-||-|
m aisun en	-⌫----|-|
pu issi m e distp aisseito	--⌫-|-|-⌫|---|-⌫--|---||
ned euantqu aranteiors n	-|-⌫----|--⌫-----|---||
pasdeta mais unet ieom	--|-|-|----⌫-|-|--||
mesdeciple s. etsi	--|-------⌫||-|-|
cummelesprincesdes gieusoirent	----|--|------|--|----|-----|
cespar oles sich a irent	--|---⌫---|-|--⌫-⌫----|
enterrecummemortsus	-|----|----|---|--|
lors faces	---|----|
criantdi st re nt	-----|--⌫--⌫--⌫-|
de usq uele	--⌫-|-⌫---|
auentureestau enueen	-------|--|--⌫---|-|
lepereetlamere iesu .	-|---|-|-|---|---||
leuaunbonhomm e	---|-|--|----⌫|
s i dist ieoconuidel lignage iesu	-⌫|---|--|----|--|------|---|
cels qui crienst rentdeu	---|--|-------⌫---|--|
eto ores u nsaportouen t altemple	-||----⌫-⌫-|---------⌫|-|-----|
o blaciunsald e ude	-⌫-------|-|-⌫-⌫|-|
etquantle souerain	-|----|-|-------|
prouair el e	-------⌫|-⌫|
droituriersymeonlerecut	---------|-----|-|----|
ensesmainssidistore	-|--|----|-|---|--|
laisses tu	------|-|
belsiretun	--|---|--|
pa issoluncta parole .et	--⌫-|-----|-|-----||-|
sam eremariee tdi s t	-|-⌫--|----|-⌫|--⌫-⌫|
io te dide c es t	-|-|-|-|-⌫--⌫|
enf antilierta	---⌫--|-|---||
mulzdeisraelares urre ctiun	---|-|-----||---⌫----⌫----|
a treb uch ementetmulzle	|----⌫---⌫----|-|---|-|
cuntredirunt.et	-----------||-|
mortpasseracummeespe etun	---|------|----|----⌫|--|
q ueret les	-⌫--|-|--|
m ulzq uersserun tdesc o uers.	-⌫--|-⌫---|-----⌫|----⌫-⌫---||
duncdistrentli	---|-------|-|
gieuen ue iun	---|--⌫--⌫--|
p orle s treis bar unsqui	-⌫-|--⌫|----|---⌫--|--|
distr entk	-----⌫--||
iluirentiesuel	-|-----|---|-|
muntdoliuete osesdecip les.	---||------||--|-----⌫--||
cummeilfurent u enuzsilor	----|-|-----|-⌫---|-|--|
demanderentueistes uos	----------|------|--|
iesu e tilrespundirent parledeu	---|-⌫|-|-----------|--|-|--|
deisraelno s l e	-|-----|--⌫|-⌫|
ueismes munte rel ciel.dunc	------|-----⌫|-|---||---|
anna et kayfassi	---|-|-----|-|
partirentetaches cunpar se i	--------|-||----⌫--|--|--⌫|
demanderen ts ileussent	----------⌫||-|------|
ueuiesu. etches cuniurak	--|---||-|----⌫--|---||
aueit ueumunter.elc iel	----|--|-----||-|-⌫--|
duncdistre nt	---|------⌫-|
annaetkaiphas	---|-|------|
nostre leidi tque le	-----|--|--⌫|--|-|
testemoigne d edeus	----------|-⌫|---|
o udet reis	-⌫|-|-⌫---|
est ue rai. ma is que	--|--⌫--||--⌫-|--|
nos dun n eplout enoca	--|--|-⌫|----|---||
rauipa rlaparole deu	---|--⌫|-|-----|--|
delase pulturemoysesnep uet	-|-|--⌫------|-----|-|-⌫--|
estr e troué ne lamort	----⌫|-----|-|-|---|
helye leproph ete.	----|-|-----⌫--||
etie sus fu li uré	-|--⌫--|-|--⌫---|
apilateet flael éet escop i	|-----|-|-----⌫-|-|-----⌫|
etd espin escoronéetferude la	-||-----⌫-|------|-|---|-|-|
crucefiéalfustmo rt	--------|-|---|--⌫-|
etenseueli.etiosep. lonorable	-|-------||-|----|||-------|
ditque ille	--|--|-|-|
uit uif et	--|--|-|
t reis bar unsdistrentque	-⌫---|---⌫--|-------|--|
uirent elmuntdoli uete ose s	-----|-|---||---⌫---||--⌫|
et munterelciel.	-|-----|-|---||
duncdistio sepa annaet ka yfasne	---|---|--⌫--||---|-|--⌫---|-|
sole mentesm erueillierquiluif	----⌫---|---⌫---------|-|-|--|
mu n ta el cielmaisplusdeuez	--⌫-⌫-|-|---|---|---|----|
e s me rueiller quilre suscitade	-⌫-⌫--⌫-------|-|-|--⌫------|-|
mortetmulzaltres	---|-|---|-----|
fistr esuscite rolui etd e cel s	---|-⌫--------⌫||--|-|-⌫|---⌫|
sunt mul zuenuzen ie rusalem .	---|---⌫|----|-|--⌫------||
ett uitsauunbie nque	-|-⌫--|----|---⌫|--|
b e neu rezsi meonle haltpr oueirele	-⌫-⌫---⌫--|--⌫---|-|---|--⌫-----|-|
recutosesmains a l templeet	----||--|----|-⌫|-----|-|
outdeusgermains	--|---|-------|
e tnos tozfusmes alorm ort et	-⌫|--|--|-----||--|-⌫--|-|
lorsepulc re.oreal ezueer	--|------⌫-||--|--⌫-|---|
amonu m enz. ils untouert et	|----⌫-⌫--||-|-⌫--|----|-|
sunt r esuscit éet il su nt	---|-⌫-------⌫-|-|-|--⌫-|
enarimathiemaciteo uil uiuent en	-|--------|-|---|-⌫|-|-----|-|
or eisuns .iloc	--⌫-----||---|
crianz et onulhomm eparlant.	-----|-||--|----⌫|------||
aluna euset o	---||--|-||
grantam or	----|--⌫-|
lesfais mesueniranos	--|----⌫--|----||--|
etsi sconiurunquilnos	-|-||-------|-|-|--|
di ent alcu nechosede	--⌫--|----⌫-|----|-|
resurr ectiun iesu	------⌫-----|---|
.et cu m i loir ent	|-|--⌫|-⌫|---⌫--|
cespa roles sis	--|--⌫----|-||
esm erueiller ent	---⌫---------⌫--|
to z .sialerentannae tkayfas	--⌫||-|------|---|-⌫|-----|
etnico dem uset io sepet g amal ielet	-|----⌫---⌫-|-|--⌫--|-|-⌫----⌫--|-|
nestrouerent pas	|-|--------|--|
sep ulcres.dunc si alerent ala	---⌫-----||---|-|------||-|
dea rimathie .iloc les	-|-⌫-------||---|--|
trouerent eno re isunsogenoiz	--------|-|-⌫--⌫----||-----|
ssal uerentogrant	|---⌫-----||----|
reue ren ce puis sis baissierentsi s	----⌫---⌫-|---|-||----------|-||
meneren toelsen	-------⌫||--|-|
ierus alemen lors ynagog e.p uissi	-----⌫---|-|--|-⌫------⌫||-⌫--|-|
clostrent les porteset	--------|--|-----|-|
pristr entlaleinos t reseignorsis	------⌫--|-|--|---⌫-⌫-|------|-||
cuniurer entpar le deu	--------⌫--|--|-|--|
adonayet parle deui srael	-----|-|--|-|--|-⌫----|
leiet parlesprophetes	--|-|--|--|--------|
par laan ospere sse ceoest	---⌫-||-⌫-|----⌫|-|--|--|
iesuquiuosresuscitadem o rte t	---|--|--|--------|-|-⌫-⌫-|-⌫|
cumm entil uo s res uscita.cu mm eil	----⌫--|-|--⌫|---⌫-----||--⌫--⌫|-|
oirent cestec oniur e isun	-----|----|-⌫-----⌫-⌫---|
ca rinusetleuciussitrenb lerent	--⌫----|-|------|-|-----⌫-----|
des cors etgienstrentdes	--|---|-|---------|--|
cuerssiesgarde rentuers	----|-|-------⌫---|---|
lec iel et	-|-⌫--|-|
firentseignacle de lacroiz	-----|--------|-|-|----|
enlors langes.etsi distren t	-|---|-----||-|-|-------⌫|
ensembl edonez achascun	-------⌫|----||------|
foildeparcheminq uenos	---|-|--------|-⌫-|--|
puissunescrire ceo	------|------|--|
nos oismes	--|-----|
etu eisme s.	-|-⌫-----⌫||
donerent.et ilsistrent	-------||-|-|-------|
par seisiescristrent	--|--|-|----------|
dis tr entbelsireiesucrist	---⌫--⌫--|--|---|---|----|
resuscitered esmorze tueireuie	----------|-⌫-|---|-⌫|----|--|
otriezquenos puissuns	-----|--|--|-------|
racu nt erles	----⌫--⌫-|--|
secree soura ignesd euostre	------⌫|----⌫----|-⌫|-----|
croizc arnos summesp a rtei	----|-⌫-|--|-----|-⌫-⌫|--|
c uniuré . uoscummandas tes	-⌫------||--|---------⌫--|
anosuos serfs	|--|--|----|
deussunpas racu nt erlessec re zde	------|--|----⌫--⌫-|--|---⌫--⌫|-|
u ostremaiestequeuos	-⌫----|------|--|--|
cummenos fusmese nenfer onospere s	----|--|-----|-⌫|----||--|----⌫|
enl a pro fundesc e	-|-⌫|---⌫-------⌫|
destenebreshast i uechalor delsoleil	--|-------|----⌫-⌫-|-----|--|-----|
or ui etla re allumi ere	--⌫-|-|-|--⌫-|----⌫--|
sespand isu zno sane ire. le	|------⌫|--⌫|--⌫|-|-⌫--||-|
dehumeinelignie adam	-|------|-----|---|
oto zlespatriarcheset oles	|--⌫|--|----------|-||--|
prophete ss eesl eecaet dist	--------⌫|-⌫|---⌫---|-|---|
cest e lu miereestlefaitordela	----⌫|--⌫----|--|-|-----|-|-|
pardurablelumiere	---------|------|
n ospramistaenuoi erla	-⌫-|------||-----⌫-|-|
pardurable	---------|
lumiere.dunc se s cr ia	------||---||-⌫-⌫--⌫-|
ysaiasleprophetesi di stceo	-----|-|-------|-|--⌫-|--|
estlalumi ered elfiz	--|-|----⌫--|-⌫-|--|
lepere sicu mmeio dis quantieo	-|---|-|--⌫--|-|--|----|--|
ereuifenterre	--|--|-|----|
um b reel r egnedemort	--⌫-⌫-|-|-⌫---|-|---|
u eragra ntlumiere et	-⌫--|---⌫-|------|-|
el e resplendirasusels	--⌫|----------|--|--|
est uen ue laresplendis o rsus	--|---⌫-|-|----------⌫-⌫|--|
seanz enmo rt. et	----|-|--⌫-||-|
cummenoseu smes	----|--|--⌫---|
grantioiedelalumi ere	----|---|-|-|----⌫--|
q ui r esplen d ise itsu snosnostre	-⌫-|-⌫------⌫-⌫---⌫-|--⌫|--|-----|
peresy me on es ioiss antdist	---|--⌫--⌫-|--⌫-----⌫--|---|
atozg lorefiezcri stnostre	|--|-⌫-------|---⌫-|-----|
seignorlefiz	------|-|--|
d eucarie l	-⌫-|--|-||
m esmainsel templeetpa r	-⌫-|----|-|-----|-|--⌫|
le saint sil i	-|----|-|-⌫|
dis oreuire nt mi oilbel sire	--|--|----⌫-|-|--|--|---|
latouesalu	-|---|---|
q ueuo sapa reill aste s	-⌫-|--⌫|---⌫-----⌫----⌫|
d etotpopl e . quant ce o oila	-⌫|--|----⌫||----|--⌫|-|-|
cumpaigniedessainssise	---------|--|----|-|-|
du ncse scriaiohansidist	--⌫-||-⌫----|----|-|---|
ieosuiio hanuoi zet	--|--|--⌫--|---⌫|-|
deu letr essa intisme.io	--|-|--⌫-|--⌫------||-|
a lai deuantlui	-⌫--|-----|--|
p orapar eil l er sa	-⌫-|----⌫---⌫-⌫-|-|
uai eet pordonerscience	---⌫|-|--|----|------|
salu.etquand	---||-|----|
iel uisidis	-||-|-|--|
ueizcileig nel	---|-||---⌫--|
deu quitot	--|--|--|
le spechiesdelmund. e tie l	--⌫|------|--|---||-⌫|-||
ba pti zaiel flun iordan	--⌫---⌫--|-|---|-----|
saintes peritdescendre sus lu i	----|--⌫----|--------|--|--⌫|
decol um. et ieo	-|---⌫-||-|--|
lauoizdel ciel	-|---|--|---|
qu idisticis t	--⌫|---|----⌫|
es tmischiers fizquimult	--⌫|--|-----|--|--|---|
ploutamei.ores uiieouenuz	----||--||--|-⌫-|--|----|
d euantsa faceetca suidescen du a	-⌫----|-|---|-|-|--|------⌫-||
uosporanuncier uosqu iluisitera	--|--|-------|--|-|-|-------|
no s qui seunentene breseten	--⌫|--|---|-|----⌫---|-|-|
umbre dem ort. e tcumme nostre	----|-|-⌫--||-⌫|----|-----|
oiquilfu baptisie ́e lflun	-|-|-|-|--------⌫|-⌫|---|
iordansidistasunfiz seth	-----|-|---||--|--|---|
atezfiz as patriarchesetasproph etes	|--|--|-|----------|-|-|-----⌫---|
ceoquesaintmichi el	--|--|----|-----⌫-|
te distquanti o t	-|---|----|-⌫||
en ue aiasportes	--⌫--⌫-|-|-----|
deparaispo r d eprier	-|-----|--⌫|-⌫-----|
nostreseignor	-----|------|
ki lmen ueiast	|-⌫||--⌫-----|
angrequi medonastoile	----|--|-|-----|---|
d emisericordepo roindremoncors	-⌫|----------|--⌫|-----|--|---|
qu an t ieo fuimalade.	--⌫--⌫|--|--|-----||
duncsiaprocaset haspatriaches	---|||-----|---⌫|-|---------|
etasproph etessidist	-|-|-----⌫---|-|---|
c umio fuias por te sde parais	-⌫-|-|--|-|---⌫--⌫|-|-----|
priantdeu d uncuin t s a int	-----|--|-⌫--|---⌫|-⌫-⌫--|
m ichiel langresi	-⌫-----||----|-|
sui enuoie ́atei d eparde u	--|------⌫||--|-⌫|--|--⌫|
quisuiestablisus leshommes	--|--|------|--|--|-----|
estuet pasl aboreren	-----|--|-⌫-----|-|
ploran tpor prierloilede	------⌫|--|----||---|-|
misericorde	----------|
aoindreadantun	|-----|---|--|
pere po rlenferted esuncorsc a ren	---|--⌫||------|-⌫|--|---|-⌫-⌫|-|
nulema n ierenelapora s	---|--⌫-⌫---|-|-|----⌫|
aueirdeuant les deereins tens	----|-----|--|-------|---|
se runta cumplizdesl e	--⌫---|-⌫------|--|-⌫|
cumme ncementdel	-----⌫------|--|
mun detresquesal	---⌫-|-------|||
incarnaciundecrist	----------|-|----|
cin cm ilci nccenz an z. dunc	---⌫|-⌫-|--⌫-|---|--⌫||---|
uendraen terreletressaintisme	-----|-|----|-|---|--------|
fiz iesucrist	--|---|----|
porresu sciterle	--|----⌫-----|-|
cors a dametd esalt r es	---|-⌫--|-|-⌫-|---⌫-⌫-|
morz.etilserabap ti zi ezel	---||-|-|---|---⌫--⌫--⌫-|-|
fluniordan. dunc sioi ndra d e	---|-----||---|-|--⌫---|-⌫|
d em ise r icordetoz ceus q ui	-⌫|-⌫---⌫-⌫-----|--|---|-⌫-|
crerun ten lui etqui serunt	------⌫|-|--|-|--|-----|
aregenererdeleueet delsaint	|--------|-||--|-|--|----|
esperit en	------|-|
uie parma nable.	--|-----⌫----||
duncdesce ndraa	---|-----⌫---||
en fer letresfi z	--⌫--|-|---|--⌫|
deuiesucrist	--|---|----|
mera adam tun pere alabre de	---|---|--|---|||---|-|
miseri corde.q ua ntceo	------⌫----||-⌫--⌫-|--|
oirentlespat ri acheset	-----|--|---⌫--⌫----|-|
prophetessis eesio irentmult.	--------|-|-⌫|----⌫----|---||
etsic umme i l	-|-|-⌫---|-⌫|
sesioirent	|--------|
uintsathanle p rinceetle	---|-----|-|-⌫----|-|-|
duitredemort si d istaenf er	-----|-|---|-|-⌫--||---⌫-|
apa reilletei d ereceiure	---⌫-----|--|-⌫|-------|
ies ucristlefi z	---⌫|----|-|--⌫|
deu qui ses t	--|--||--⌫|
glorefie ́ .homm efu cremantmort	--------⌫||----⌫|-|------|---|
quant ildistmalmeesttriste	----|-|---||---|--|-----|
t resquesala m o rt.	-⌫------||-|-⌫-⌫-||
ceoest c eluiquim atoleit	--|--|-⌫---|--|||-----|
c elsqu eieo aueiefait cieus	-⌫--|--⌫|--|----|---|----|
et c lop setcuruésetlepreus	-|-⌫---⌫|-|------|-|------|
etilpar parol e	-|-|--|-----⌫|
les sana .et	--|---||-|
morzq ueieotamenaiilles	---|-⌫-|--||-----|-|--|
tr aist uifs de	--⌫---|---|-|
enferetdist asat h anleprince	----|-|---||---⌫-⌫-|-|-----|
en f eretqui estcest	--⌫-⌫-|-|--|--|---|
puiss an t	-----⌫--⌫|
ho mmecr em ant	--⌫--|--⌫--⌫--|
mo r ttozle s	--⌫-⌫|--|--⌫|
puissan zde	-------⌫|-|
terresu nt sub iez	----|--⌫-|---⌫--|
mapo este quet u m ameines p arta	-|--⌫---|--|-⌫||------|-⌫-|-|
poeste. niest u duncsi	-----|||--|-⌫|---|-|
p uisantcumme celhomme ie su	-⌫-----|----|--|----|--⌫-|
cr ientmortet est encun tre	--⌫---|---|-|--|-----⌫--|
se i l e s ttel	-|-⌫|-⌫-⌫|--|
puis santen humaniteduncte	----⌫---|-|-------|---|-|
quil esttotpuissan t	-|-|--|--|-------⌫|
soue p u issance	---|-⌫-⌫------|
puetcuntr ester.ceo	---|-----⌫----||--|
ilcr ient mort parceote	-|--⌫---|---|--|--|-|
ueut dec ei ure etce oluiierta	---|---⌫--⌫--|-|--⌫|--|---||
pardurable glo i re . r esp undi	---------|---⌫-⌫-||-⌫---⌫---|
satha na enferet	-----⌫||----|-|
d istque do tes	-⌫--|--|--⌫--|
tuareceiureies umun	-||-------|---⌫|--|
a uersaireetle	-⌫-------|-|-|
ieotemté etmunancienpople	--|-----|-|--|-----|----|
desgieus aiie ocu mmeupar ire	--|----|-|--⌫|--⌫---|--|--|
enuers lui s i ai	-----|--|-⌫|-|
aguisieporl ui	------|--|-⌫-|
mai slé le fieletlaissil	---⌫---|-|---|-||-----|
po r do ner	--⌫|--⌫--|
baiu reet si aiapar eillé	----⌫-|-|-|-|----⌫-----|
le fustpo rlu icr ucefie ret	-|---|--⌫|--⌫|--⌫------⌫|-|
cl oufichiere t procei nementsi	--⌫--------|-⌫|------⌫-----|-|
mor aetio lamairai	---⌫|-|-||------|
sogetame ie t atei	----||--⌫|-⌫||--|
. respundi	|-------|
enfer sidist tu med iz quil	----|-|---|-|-|-⌫-|-|-|
meil esmorz et mulz	--|-⌫-|---|-|---|
untestém orz	--|----|-⌫--|
qui s unt de	--|-⌫--|-|
trait par prieresdes sai nshommes. et	----|--|------|--|---⌫-|-----||-|
deuom nipot entlesme	--|--⌫-----⌫--|--|-|
toli.etqu i estcest ies u	---||-|--⌫|--|---|---⌫|
lesmor z atra it demei ne mie	--|---⌫||---⌫-|-|--|-|--|
prieresfor s solparparolepuet	------|---⌫|--|--|-----|---|
ceestre co est celui qui	-|----|-|--|----|--|
resu scital azarumquete neie	----⌫----|-⌫-----|--|--⌫---|
mo rt puantd e	--⌫-|----|-⌫|
quatreiors .et	-----|---||-|
illeli uraauiepar lafo rce	-|-|--⌫--||--|--|-|--⌫--|
pa r ole.e t r espun disathan	--⌫-⌫--||-⌫|-⌫-----⌫-|-----|
si d ist ceoest	-|-⌫--|--|--|
c elie sus.quant	-⌫-|--⌫--||----|
ceooienfe rsi	--|-|----⌫|-|
tecuniurpar les	-|-----|--|--|
toues uertuze t	----|-----|-⌫|
parlesm aie sque tupasne	--|--|-⌫---⌫|--|-|--|-|
l ame ingesamei carquant ieo	|---⌫----||--|--|----|--|
oila parolede	-|-|-----|-|
su ncumm andement	--⌫|----⌫-------|
ieotrenblaitotesbahi de po our	--|-------|--|-----|-|--⌫--|
ettotesme s felunn esses	-|----|--⌫|------⌫----|
ouraignessunttroble es omeine	--------|---|------⌫-||--|-|
nepeusmespasrete nir	-|------|--|----⌫--|
lazaru mmai s il	------⌫|---⌫|-|
sesc ost cumme	|---⌫--|----|
aisglesis ailliignelementde	-----|-|-⌫----|---------|-|
no s.etce leterre	--⌫||-|--⌫-|----|
qu i teneitle	--⌫|-----|-|
delazareen eirele	-|-----|-|---|-|
ren diuif.etporceosaiieo	---⌫-|--||-|--|--|--|--|
q uecelhommequiceopuet	-⌫-|--|----|--|--|---|
est fort deupuissant e nhumanite	--|---|--|-------|-⌫|-------|
e t par lui sera saluee	-⌫|--|--|---|-----|
humain elig nee.et cummesathanet	------⌫|---⌫--||-|----|-----|-|
enf erp arlouentissi	---⌫-|-⌫-------|---|
en tre els	--⌫--|--|
sioirentu ne uoiz cum m e	-|-----|-⌫-|---|---⌫-⌫|
tonairee te spe rit e l cri	------|-⌫|-⌫---⌫---⌫-⌫|--|
disan t ourez uos	-----⌫|----|--|
p ortes princesd	-⌫----|------||
enfersi entrerale rei	----|-|------|-|--|
degl o ire e t cum	-|--⌫-⌫--|-⌫|--|
ceooienf er s i	--|-|---⌫-|-⌫|
distasathandepar t	---||-----|-----⌫|
teidemeisiten	--|-|--|-||-|
isforsdemes	-|---|-|--|
sieges. se tuesmaes	-----||-|-|-|---|
cumbateorcumment porra scumbatre	--------|------|-----⌫|-------|
o iesupuis	|---|---|
si l chaca	-||----|
sid ista sesmaessesour aignes	-|-⌫--||--|------|---⌫-----|
cloez uosportes d a raim	----|--|-----||-⌫---|
meté s uoss e reures deferet	-----⌫|--|-⌫-⌫-----|-|--|-|
cuntrest ezforment quene	--------⌫-|------|--|-|
soiun priso nostrepree	----|---||-----|---|
t enun.cumm e	-⌫---||----⌫|
cump aigniedessai nz si escria	----⌫-----|--|---⌫-|-|-----|
disto iuretesport es	---|-⌫---|--|----⌫-|
etlaisseentr erleroide gloire	-|-----|----⌫-|-|--|-|-----|
dunc escri adaui	---|-----⌫|---|
le prophete	-|-------|
sidistquantieo	-|---|----|--|
l e smise ricordesnostr eseigno r	-⌫-⌫|----⌫-------|-----⌫|------⌫|
regeiss entaluietses	-------⌫--||--|-|--|
merueillesas fiz des	---------|-|--|--|
homm escar	----⌫-|--|
destr uistle s porte sdar aim	-----⌫---|--⌫|-----⌫||--⌫--|
etlescl osturesdenfe rdepecaet	-|--|--⌫------||----⌫|-----|-|
sis d eliurade la uaiedelor	-||-⌫-----|-|-|---|-|--|
felunnie. et enapre s distyzaieat oz	-------||-|-|----⌫|---|----||-⌫-|
lessainzdunne uosdis	--|----|--|-|--|--|
ieo quantieere uifen	--|----|-|--|--|-|
limor t quisuntes	-|---⌫|--|---|-|
releueru nt etceu s q uisunt	--------⌫-|-|---⌫|-⌫-|---|
en terres esioi run tcarla	-|----||-----⌫---⌫|--|-|
ro s eenostre seignorestlor	--⌫-⌫-|-----|------|--|--|
etaltrefieedis mor t	-|----|---|--|---⌫|
tunaguilunouestoreta	--|------|-|--|--|-|
uictoirequant	-------|----|
oirent li saint de	-----|-|----|-|
d istrent aenfertu uencu oure	-⌫------||----|-|----|---|
tesportescardesore seras	--|-----|--|--|--|----|
puissant .etaltrefeiz	-------||-|----|---|
cumme toneireetd istrent	----|------|-|-⌫------|
ourezuosp ortesprinces	----|--|-⌫----|------|
deenfer sientrera	-|----|-|------|
glo ir equantenferoiqu	---⌫--⌫|----|----|-|-|
e urentdeus feis criésicumne	-⌫----|---|---|----|-|--|-|
distqu iest	---|--⌫|--|
celrei degloire et	--|--|-|-----|-|
e nfer ic estcriet icest e uo iz	-⌫---|--⌫--|--|-|-----⌫|--⌫-|
co noisieobien	--⌫---|--|---|
carceo est le	--|--|--|-|
fortse ignor etlepuissant	---|--⌫----|-|-|-------|
batail le.etil estrei	------⌫-||-|-|--|--|
degloireet	-|-----|-|
illisiresdelciel e sgardaen	-|-|----|--|---|-⌫-----|-|
terre poroirl esgemissemenzdes	----|--|--|-⌫-|----------|--|
enpechiezet qu il deslias t	--------|-|-|-|-------⌫|
lesf iz de smescha tez.et tu tres	--|-⌫-|--⌫|------⌫--||-|-|---|
et trespullentenfer oure	-|---|------|----|---|
po r tessie ntrera	--⌫-⌫--|-|-⌫-----|
etcummedaui	-|----|---|
diseitcesp arole sa	-----|--|-⌫-----⌫||
enfe r etesuos si	----⌫|---|--|-|
sorui ntlereidegl oi r e deude	-----⌫-|-|--|-|--⌫--⌫-⌫|--|-|
maieste enform edome	------|-|----⌫||--|
quilespardur ablestenebres	--|--|------⌫----|-------|
enluminaet lesnientdesnoabl es	-------|-|--|----|--------⌫-|
n osdesfist	-⌫-|------|
parlaiedesanient	--||--|-|-|----|
uencuef or ceetnosse anzes	-----|-⌫--⌫-|-|--|--⌫--|-|
tene bres des d eliz u isita.etcom	----⌫---|--|-⌫---|-⌫----||-|--|
o ienfe retmor t o lors	-⌫|----⌫|-|---⌫||---|
felenessesouraignes e t	---------|--------|-⌫|
olorsc ruels	|---|-⌫----|
menistressis e spoen terent	--------|-||-⌫-----⌫-----|
en propresr ealtezcumme	-|------|-⌫-----|----|
la lumieredesi gra nt	-|------|-|-|---⌫-|
e tquant iluir entcri st sod ainem ent	-⌫|----|-|---⌫--|---⌫-|---⌫-----⌫--|
seeren lor ssiege ssi	---|-|---⌫|-----⌫|-|
esc rierent e t d istr ent nos	---⌫------|-⌫|-⌫----⌫--|--|
su mmesdetesu encuz.quie s	--⌫---|-|--|-⌫----||--|-⌫|
mostrez anost res eignornostre	------||----⌫-|-⌫-----|-----|
cunfusiun q uies tu	--------|-⌫-|-|-|
quisenz corupciundemaieste	--|---|--------|-|------|
destruisnostre	-------|-----|
p oestequi	-⌫----|--|
e stu si grantetsipetit	-⌫|-|-|----|-|-|----|
sibaset si	-|--|-|-|
h alt cheualier	-⌫--|--------|
etenpereoretenfo rmedeserf	-|-------|-|-|--⌫--|-|---|
meruei llous guerie retre ide gl oire	------⌫----|------⌫|-|--⌫|-|--⌫---|
mor z etuisquel a c roizporta	---⌫|-|--|--|-⌫|-⌫---|----|
oci smortieustezel sepulcreet	---⌫|---|------|-|-------|-|
desc end istesa	----⌫---⌫----||
nos . ete n la	--||-|-⌫|-|
creatu retren bla	------⌫-|----⌫--|
ettoteslesesteilesfur ent	-|----|--|-------|---⌫--|
cummeues. e toree stuentre les	-------||-⌫|--|-⌫|-|----|--|
morz francssitrobl es noscump agnes.	---|-----|-|-----⌫-|--|----⌫----||
quiestu qui	--|-|-|--|
c el squi furent l ie zparle	-⌫--⌫|--|-----|-⌫--⌫|--|-|
pr emer ainpecheets esrema ines	--⌫----⌫--|----|-||-|----⌫---|
lancienefranchisequies t uqui	|------|--------|--|-|-⌫|--|
enlum inesc e us	-----⌫---|-⌫-⌫-|
quifuren t	--|-----⌫|
faiscieu sparte n ebres depechie	---|----⌫|--|--⌫-⌫----|-|-----|
ensementtotes l escu mpaignes	-------|----|-⌫-|--⌫-------|
des deablestroble zdepoour s	--|------|------⌫|-|----||
es crierentpoo rosement	--⌫-------|---⌫-------|
sid istr e ntdunces tu	-|-⌫----⌫-⌫-|---|-|-|
hommesiresplendisant	----|-|------------|
demaiestesi clersen z tach e si	-|------|-|---|---⌫|----⌫|-|
n et senzc rimesel	-⌫-|---|-⌫----|-|
mundterrienquitoteuaies nosfu	---|------|--|--------|--|-|
suietdes ia or equinos soleit	----|---⌫||--⌫|--|--|-----|
seruirnenosenuoia unques tel	-----|-|--|-----|-----|--|
m orthommene unqu esmais	-⌫--|----|-|----⌫-|---|
aenfer tielsdons .qui	|----|----|---||--|
es tuquin ien ttrenb lablement	-|-|--|-⌫---⌫|-----⌫--------|
entres ennoscuntreeset	-----|-|--|-------|-|
den oztormenzainz	-|-⌫-|------|---|
tefforcezde	|-------|-|
tolir nosce usque	----|--|--⌫-|--|
