laiieperdue	|-|-|-----|
enplusdeyy	-|---|-|-|
mil eplaces	---⌫|-----|
n estesta b le	|--|----⌫-⌫-|
con mefo loianz et mouable	---⌫-|--⌫-----|-|------|
a certeinehabitac ion	|-------|-------⌫--|
lasamansion	-|-|------|
qu iq uantelueutestrehono ree	--⌫|-⌫---|-|---|----|----⌫--|
tret enlapartdoree	---|-|-|---|----|
mesonet lase i or ne	----|-|-|--⌫-⌫--⌫-|
soncors e t	--|---|-⌫|
etseuest conmeunereine	-|-|---|----|--|----|
degrantr obequ i l i	-|----|-⌫--|--⌫|-⌫|
de toutedi uers es xxx	-|----|--⌫----⌫-|--|
de m out desguis eesxxx	-|-⌫--|-------⌫--|--|
quisu nt essaies	--|--⌫-|-|----|
eteslaines	-|-|-----|
selonclesherbese t l esgraines	-----|--|-----|-⌫|-⌫-|------|
au tre main t es	--⌫--|----⌫-⌫-|
don les draper ies sunttaintes	--|--|------⌫--|---|------|
do ntoutesr iches genzseu estent	--⌫|-----|-⌫----|---|-|-⌫-----|
honeur sauoir saprestent	------⌫|----||--------|
a i nsin cfortune s edesg uise	-⌫-⌫----⌫|------|-⌫|----⌫---|
mesbientediqu ele n e prise	--|---|-|-|-|--|-⌫|----|
t reto uzcels du mo ndeun	-⌫----⌫-|---|-|--⌫--|-|
quantuo it son cors	----|--⌫-|--|---|
ainsinc uestu	------|----|
ainzesttanto rgueilleus e et	---|--|---|-⌫----------⌫|-|
orguieuzqui siaffiere	-------|--|||------|
car qu anteluoitses granz	--|--⌫--|-|---|--|----|
sesgranzhoneur ssesg r anznob leces	--|----|------⌫|--|-⌫-⌫--|---⌫----|
de sitresgrant	-|-|---|----|
foli ehabunde	----⌫|------|
quelne c roi tpa s quil aitu	-|-|-|-⌫---⌫|--⌫|-|-|--||
homenef ame quilauail le	---|-|-⌫--|--|-|----⌫-|
conmen t que lach oseamp res aill e	------⌫-⌫--|-|--⌫--|---⌫--|----⌫|
puisua tantroan tparsa	---|-|---|----⌫|--|-|
quelentreen la	-|-|----|-|-|
partiesale	-----|---|
foibledecreueee tcrolant	-----|-------|-⌫|------|
oto ut esaroeuolant	|--⌫--⌫|-|--|-----|
co upantet	--⌫----|-|
iussebout e	--|-|----⌫|
a us incconsel	-⌫--⌫--|--||-|
n iueist goute	||----|----|
et quantiluecse uoi t	-|----|----|-|---⌫|
sachi e r eetsonhabit remue	-|---⌫-⌫-⌫|-|--|----|----|
se desnueetdesrobe	-|-----|-|------|
quelest orfelinederobe	-|-|--|-------|-|---|
etsemblequel n ait riensuaillant	-|-----|-|-||--|----|-------|
t a ntli uonttuitbie ndefai llant	-⌫-⌫-|-|---|---|---⌫|-----⌫----|
etquant elu o itlames chaance	-|----|-|-⌫-⌫-|-|---⌫------|
si quierthont euse cheuichance	-|-----|----⌫---|----------|
ue t a ubord el cropir	--⌫|-⌫|----⌫-|-----|
pl einededeuletdesopir	--⌫---|-|---|-|-|----|
la pleurealermes espandues	-|-----||-----|--------|
les granzh one urs qu elaperdue s	--|----|-⌫---⌫--|-|-||------⌫|
etles ou eleestoit	-|--|-|--|-----|
qua ntdesg ranzrobesse	---⌫-|--|-⌫---|----|-|
etporce quelestsiperuerse	-|--|-|-|-|--|-|-------|
queles bonsen	--|--|---|-|
laboeuers e	-|--|----⌫|
etlesdeshoneur e	-|--|---------⌫|
etlesgrieue	-|--|-----|
etle smauuesenhauteslie ue	-|--⌫|-----|-|---|-----⌫-|
etle urd onea	-|--⌫-|-⌫--||
granzha bo ndances	----|--⌫--⌫------|
dignetezh oneursetpu issances	-------|-⌫-----|-|--⌫-------|
p uisquant	-⌫--|----|
li plest leurtost ouemble	-|----|---|---|-|----|
nelneset que l se	|-|-|--|-|-⌫|-|
ueutce se mble	---|-|--⌫---|
porceli oillbendé	--|-|-|---|-----|
des anciens	--|------|
quilac onnurent	--|-|-⌫-------|
fortuneainsincleface	------|------|-|---|
queles bonsauile	--|--|---|----|
etl esmau uesenhoneur tiegne	-|-⌫-|---⌫--|-|-----|-----|
wellque b ien t	---|--|-⌫--||
ensouiegne	-|-------|
i ase itcequedeua ntdit taie	-⌫|--⌫-|-|--|----⌫-|--||--|
desocratesque ta ntamai e	-|-------|--|--⌫-|----⌫|
et liuai llanzhomta ntmamoit	-|-|---⌫----|--|--⌫-||----|
q uen touzs es fez me	-⌫|-|---|-⌫-|--|-|
recla moit	-----⌫---|
mainzexa mples enpuistrouer	----|---⌫----|-|---|-----|
etcepeutlen tantost prouer	-|-|---|--|------|-----|
etparseneque etpar	-|--|------|-|--|
pa roletostleron	--⌫---|---|----|
porlalongue ur d e lamatire	--|-|------⌫-|-⌫|-|-----|
carmetroie tropadire	--|------|---||---|
lesfezneronlecruelhome	--|--|----|-|----|---|
conmentilmist	------|-|---|
les feusarome	--|---||---|
etfistlessenat eursoccierre	-|---|--|-----⌫---|-------|
sir otbien queurplus durqu epierre	-|-⌫-|---|----|---|--|--⌫|-----|
quantilfistoccierresonfrere	----|-|---|-------|--|----|
q uan tilfistde smembrer sa	-⌫---⌫|-|---|--⌫-------|-|
que p a rlui	--|-⌫-⌫|--|
fust ue uz	---|--⌫-|
li leus oui l fuconceuz	-|---|-|-⌫|-|------|
illau itdesmenbree	-|-|-⌫-|---------|
sel onc lest oireremenbre e	---⌫--||---⌫---|--------⌫|
labe aute desmenb res iu ia	-|--⌫---|--|----⌫--|--⌫-|
hadiexconcifeloniuiea	-|---|--|-|----|---||
noncdel oill lerm enen issi	|--|-||---|----⌫||-|---|
carlesto ire leditissi	--||----⌫--|-|--|---|
m es siconiliuigeitd e s menbres	-⌫-|-|--|-|------|-⌫-⌫|------|
conme n dail q ue	-----⌫-⌫-|-|-⌫-|
de seschambr es	-|--|------⌫-|
li feistlenuinaporte r	-|----|--|--|------⌫|
etbut porsoncor sdeporter	-|--|--|--|---⌫|-------|
me s il lot ainceis conn eue	--⌫|-||-|------|----⌫--|
saseror rauoit	-|----|-----|
etbaillasoi meismea home	-|-----|--|-----||---|
cildesloialqueie ci nome	--|-------|--|-|-|---|
senequemistil	------|---|-|
sonbonmestreetli fist esli re	--|--|-----|-|-|---|----⌫-|
dequel mor t m orir	-|---|---⌫|-⌫---|
i l uorroit	-⌫|------|
ciluitqu eschaperne porroit	--|--|-|-------|-|------|
tantier epuis sanzli maufe z	---|---⌫|----⌫---|-|-----⌫|
doncsoitd iti l	---|---|-⌫-|-⌫|
uns b ainz chaufez	--|-⌫---|------|
pui sq uedeschaper	---⌫--⌫-||-------|
et mefetes seign ierleanz	-|-|----|-----⌫--|----|
tantqueiem uireen l	------|-|-⌫---|-||
et qu emameioie useet	-|--⌫||--|----⌫--|-|
laformase tend e	-|----|-|----⌫|
quidautretor men zladef fend e	--||----|---⌫---⌫|-|---⌫----⌫|
enpres c emot	-----|-⌫|--|
sanzarester	---|------|
fi stnero nle bai ng aprester	--⌫-|----⌫|-|---⌫-|-------|
enzleprodome met re	--|-|------|---⌫-|
seignie rcedit la letre	-------⌫|-|--|-|----|
tantquilliconuintlame	-----|-|-|------||--|
tantl i f ist cil	---|-⌫|-⌫--|--|
dusa ncespandre	-|--⌫-|-------|
nenuleachesonnisauoit	-|---|------|||-----|
forstantquede coustum e auoit	---|------|-|-------⌫|----|
neronquetouriorzdes senfance	----|--|-------|--||------|
lisoloitporterreuerance	-|-----|-----|--------|
sicond ec iple sason m estre	-|--|-⌫--⌫----⌫||--|-⌫----|
mes cenedoitditil	--|-|-|---|--|-|
p ase st re	-⌫-|-⌫--⌫-|
n en estpasb elennule place	-⌫||--|--|-⌫-|-|---|----|
q u ereu eranceahomeface	-⌫-⌫|---⌫-----||---|---|
nu s hompui squilestenp ereres	--⌫|--|---⌫--|-|--|---⌫-----|
tan t seitses	---⌫|---|--|
me st res neses pere s	--⌫--⌫--|-|--|----⌫|
etpor cequet ro pligreuoit	-|--|-|--|-⌫--⌫|-|------|
quant encontrelu ise le uoit	----|-------|--⌫|-|--⌫---|
quantsonmes treuoait u e nir	----|--|---⌫--|----|-⌫-⌫--|
nilnesepoai tpastenir	|-|-|-|----⌫|--|----|
port ast reue ra nce	----⌫--|----⌫--⌫--|
par lafo rcedecous tu mance	--|-|--⌫--|-|----⌫--⌫----|
fistildestruir e	---|-|--------⌫|
lepreu d ome	-|----⌫-⌫--|
sitint illen pi r e	-|---|-||--⌫--⌫-⌫|
cildesloiaus	--|--------|
et doriantetdemidi	-||-----|-|-|---|
d occide ntde	|------⌫-|-|
s e ptentrion	-⌫-⌫--------|
tintil laiuridicion	---|-|-|---------|
etse tu m esezbienentendre	-|-|-|-⌫|--|---|-------|
pa rcespar oles	--⌫|--|---⌫---|
pe uza prendr e	--⌫-|-⌫------⌫|
querichecesetreuerances	--|-------|-|---------|
dignetezhoneursetpuissance s	-------|------|-|---------⌫|
nenul egraces d efortune	-|---⌫|-----|-⌫|------|
carie n enexcepte	--|-||-|------|
de sigrant	-|-|----|
force pasnesunt	----|--|-|---|
qu el fa cebons ceusquilesont	-|-|--⌫-|---|---|--|--|--|
nedignes d au oirlesric hece s	-|-----||--⌫--|--|---⌫----⌫|
ne le s hon eur sneleshau teces	-|--⌫|---⌫---⌫|-|--|---⌫----|
messil onten e us	--||-|--|-|-⌫-|
engresti ez	--------⌫-|
orgueuzou quelquesmauuestiez	------|-|-------|---------|
ligrantestatou il sencroent	-|----|----|-|-||-------|
pl u stostlesmoutrent et	--⌫-⌫|---|--|-------|-|
de sc loent	--⌫--⌫----|
quesepe tit	--|-|--⌫--|
estateussent	----|------|
parquois i nu ire ne peussent	--|---|-⌫|--⌫--|-|-------|
carq u antdele ur puissancesus ent	--|-⌫-⌫--|-|--⌫-|---------|--⌫--|
lif etlesuo lentez	-|-⌫-|--|--⌫-----|
quidemoutr ancefontetsigne	--|-------⌫---|---|-|----|
nesuntpa sbon	-|---|--⌫|--|
desr icheces	--|-⌫------|
desdignet ez	--|------⌫-|
desh oneursned es	--|-⌫-----|-|-⌫-|
et siditle nune parole	-|-|--|--⌫|--|-----|
conm u nementq uimoute stfole	----⌫-⌫-----|-⌫-|---|-⌫-|---|
silatienenttui t	-|-|------|---⌫|
poruer oie	--|---⌫--|
par leur fol senquiles desuoie	--|---|--|--|--|--|------|
quelesho ne u rsle smeursrem uen t	--|--|--⌫--⌫-⌫-|--⌫|----|---⌫---⌫|
mescis t mauuese m enta rguent	--|---⌫|-------⌫-⌫--|-⌫-----|
c arhoneurs	-⌫-|------|
ni fo ntpasmua nce	||--⌫-|--|---⌫--|
mesil fo nts igneetdemoutrance	--|-|--⌫-|-⌫---|-|----------|
quel sme ursenels auant auo ie nt	----⌫|--⌫--|-|--|----|---⌫--⌫-|
quant esp etiz estaz	----|-|-⌫---|----|
e stoi ent	-⌫----⌫--|
cil quiontlescheminstenu z	--|--|--|--|------|----⌫|
parq uoi s untaus hon eurs uenuz	--|-⌫--|-⌫--|--|---⌫---|----|
sun tfeletorgue ill eus	---⌫|--|-|-----⌫---⌫--|
despiteusmausemil leus	--------|--------⌫---|
puisqu iluontho neursrece u an t	-----|-|---|--⌫----|----⌫-⌫--⌫|
saches tex erent	-----|--|----|
con tulespeuzap re suoair	--|-|--|---|--⌫--⌫|----|
en euss e ntlo rspoair	-|----⌫-⌫-|--⌫-|----|
sinapeleie	-||----|-|
paspuissance	--|--------|
poairmalne desordenance	----|--|-|-----------|
car lescritured it e bien	--||--------|-⌫-||---|
quetoutepoissance	--|----|--------|
est debien	--|-|---|
nenusabien ferenefaut	-|--||---|---|-|---|
forp arfeb leceetpard efaut	--|-⌫-|---⌫---|-|--|-⌫----|
etq u i seroitbi en cler	-|-⌫-⌫|-----|--⌫-|---|
iluer roitquemal estnoian z	-|---⌫---|--|--|--|-----⌫|
ca rainsincleditlescriture	--⌫|------|-|--||--------|
aucto ri teznascure	-----⌫--⌫--||-|---|
cartuneueuz	--|-|-|---|
espoir pascroire	-----|--|-----|
q uetoute auctoritezsoituoire	-⌫-|----|---------|---|----|
pres tesu i	----⌫-|--⌫|
quereson i truisse	--|----||------|
cariln est riensqu ediex	--|-||--|----|--⌫|---|
mesquileuoi ren ueutretrere	--|--|-|---⌫|-|---|------|
desnapoissancede	--|||--------|-|
e tsetuiesbien conno is sanz	-⌫|-|-|--|---|-----⌫--⌫---|
quedie xest tou tpoiss anz	--|---⌫|--|---⌫------⌫--|
quidemal fere n	--|-|--|---||
d oncpe uztu clerementuo air	-⌫--|--⌫-|-|--------|--⌫--|
q uequilestre des chosesnumbre	-⌫-|--||----|--|-----|-----|
mal ne met nule chose	--|-|--|---|----|
mes si conli omb resne	--|-|--|-|---⌫--|-|
airoccurcinulechose	--|------|---|----|
forsdeffa i l lance del umiere	---|-----⌫-⌫-⌫----|-|-⌫-----|
tretout enaute lmani ere	------|-|----⌫|----⌫--|
en crea t u reoub ien defaut	-|----⌫-⌫-⌫-|-|-⌫--|-----|
malnimetriensforspur defau t	--|||--|----|---|--|-----⌫|
de bo n teriens plus n	-|--⌫-⌫-|----|---||
i peutmetre	|---|----|
etdi t en coreplusl a	-|--⌫|--⌫---|---|-⌫|
qu idesma uues co np rent las om e	--⌫|--|--⌫---|--⌫--⌫---|-|-⌫--⌫|
ma uue sne suntpas	--⌫---⌫|-|---|--|
etuiuesreson si ame ine	-|----|-----⌫||---⌫--|
mesneueill or	--|-|----|-|
pasmetre peine	--|----|----|
atoutquanqueie	|---|------|-|
qua nen escr itle	---⌫|-|----⌫-|-|
p euztrouer	-⌫--|-----|
etneporquantsi net e	-|---------|||-|-⌫|
bi entepuis par parolebrieue	--⌫-|-|---|--|-----|-----|
d eresons ameneraucune	-⌫|-----|-----|-----|
cestqu illessent	|--|-|-|------|
la finconmune	-|--|------|
tendentettend redoiuent	------|-|----⌫-|------|
lesc hosesqu i e stre recoiue nt	--|-⌫----|--⌫|-⌫---|-------⌫-|
c estde tou z	|--|-|---⌫|
biensle souerain	----|-|-------|
quenosa pe lon s p r umerai n	--|--|-⌫--⌫---⌫|-⌫-⌫------⌫|
autr ere son i rabeau	----⌫|--⌫--||-|---|
por qu oil i	--|--⌫-|-⌫|
mauuesnontpas estre	-----||--|--|----|
quibien en tentlaconsequance	--|---|--⌫---|-|----------|
nesunt pas enordenance	-|---|--|-|--------|
en quoitouzleur	-|---|---|---|
estresmisont	-----|--|--|
treto utesle s chosesquisunt	-----⌫---|--⌫|-----|--|---|
sensuitacleruo iant	|-----||---|--⌫---|
queli mauuo issuntpor noiant	--|-|-----⌫-|---|--|-----|
oruoiz conmentfort unesert	-|---|------|----⌫--|---|
caiusencemun dainde sert	-|--|-|-|---⌫---|--⌫---|
e tco nmentel	-⌫|--⌫----|-|
fetadespire	--||------|
qui des mauuesesl utlepire	--|--|-----|---⌫-|-|---|
et seur touzhomesle fist	-|---|---|----|-|---|
decest mondeseig neure tmest re	-|---|----|----⌫---|-⌫|----⌫-|
etfistsenequea insincd es truire	-|---|------|-⌫-----|-⌫--⌫-----|
fetbien d onqu es sa grace	--|---|-⌫----⌫-|-|----|
qu ant n u sta nt soit debo neur	--⌫--|-⌫-⌫|--⌫-|---|-|--⌫|--|
nelape u ttenirass eur	-|-|--⌫-⌫|----|---⌫--|
por c eueullque	--|-⌫|----|--|
tu ladespis e s	-|-|------⌫-⌫|
et q ue se sgraces riensn e prise s	-|-⌫-|--⌫|-----|----|-⌫|-----⌫|
c laudiens ne is s en so loit	-⌫-------|--⌫-||-|--⌫---|
merueillier etbl a meruol oit	----------|-|--⌫-⌫--|---⌫--|
de ce q ui lcon sentoie nt	-|-|-⌫|-⌫|---⌫-------⌫-|
queli m auuesa i nsinc mon toient	--|-|-⌫----|-⌫-⌫----|---⌫-----|
es granzhoneursesgra nzhauste ces	-|----|------|-|---⌫-|------⌫--|
esgranzpoairses	-|----|-----|-|
granz richeces	----|-------|
m esilmeis mesre spo nt	-⌫-|-|----⌫--|--⌫---⌫-|
etl a cause	-|-⌫|----|
nos enespo nt	--|-|----⌫-|
b ien deresonuse	-⌫--|-|----|--|
e t lesd iex assoltet escuse	-⌫|--|-⌫--|-----|-|-----|
et dit q ue	-|--|-⌫-|
porcele conse n te nt	--|-|-|-----⌫-⌫--⌫-|
queplusenpresles	--|---|-----|--|
ento rmentent	-|--⌫-------|
porestre plus formentgreuez	--|----|---|------|-----|
ca rporcesunten hautleu ez	--⌫|--|-|---|-|---|---⌫-|
quel en le spuis seapresuoa i r	--|-⌫-|--⌫|----⌫-|----|---⌫-⌫|
deplu s h auttrebuchierc hoair	-|---⌫|-⌫--|---------|-⌫----|
ets etum e fez	-|-⌫|-|-⌫|--|
queiecit enioing	--|-|-||------|
iamesnuli orne trou e ras	----|--|-⌫-|-|----⌫-⌫--|
plus richehomequet useras	---|----|---|--|-⌫|----|
neiamesneserasi riez	-|----|-|----|-⌫---|
tesest azenpir iez	--|---⌫-|-----⌫--|
de corsne damisned	-|---|-||---|-||
ainz uodras pacienceauoir	---|-----|-------|----|
e ttantostauoirla	-⌫|------|----|-|
amise st reuorras	---|-⌫--⌫-|-----|
porquoid onc en triteur	--|---|-⌫--|-|------|
d e meure s	-⌫-⌫-----⌫|
ieuoi maintesfoizquetu pleu res	-|--|------|---|--|-|----⌫--|
c onmealamb it	-⌫---|-----⌫-|
seur alutel	---|-----|
lent e deu roit enunputel	--|-⌫|---⌫---|-|-|----|
toullierc onme un uiez panufle	-------|-⌫---|-|---|------|
ce rtesie tendroie ag rant	--⌫---|-|-------||-⌫---|
quidiro itquetufusseshom	--|----⌫-|--|-|-----|--|
quonquesh om e n	-|-----|-⌫-|-⌫|
por quilusastd ente ndement	--|-|-|----||----⌫------|
n emena deu lnema rrement	-⌫|---|---⌫|-|--⌫------|
l iuifdeablelimaufe	-⌫|--|-----|-|----|
t o nt xme s chaufé	|-⌫-|-|-⌫-⌫------|
quisifettes	--|-|--|--|
ie uzlermoier	--⌫-|-------|
quide nuleri ensesmoier	--|-|---|--⌫--|------|
quit auenistnete deu sse s	--||------|-|-|---⌫---⌫|
sep oint dentendementeusses	-|-⌫---||----------|-----|
cefetlidi ex qui citamis	-|--|-|--⌫-|--|-|||--|
tes bo nsmestrestesb onsamis	--|--⌫-|------|--|-⌫--|---|
cestamor quisoffleetatise	|--|---|--|-----|-|----|
labresequilt aau	-|----|-|-|||-|
queu rmise	----⌫|---|
lesl ermesrendre	--|-⌫----|-----|
chierte u eu ts aquointance ue ndre	----|-|-⌫--⌫||----------|--⌫---|
carcenaferi stpasahome	--|-||-----⌫-|--||---|
que sens etproec erenom e	--|---|-|-----⌫|-----⌫|
certesmalem ent te ndiffames	-----|-----⌫--||-⌫|-------|
lessep lore renfanzetfame s	----|-⌫----⌫|-----|-|----⌫|
bestes foi bleset uaria bles	-----|---⌫---|-|-----⌫---|
et tusaies forz	-|-|----|---|
e testables	-⌫|-------|
quantfortune uerrasuenir	----|------|-----|----|
ueuztusaroe rete nir	---|-|-|--|----⌫--|
quine peut estreret en ue	--|-|---|----|---⌫--⌫-|
nepargrantgentnepar menue	-|--|----|---|-|--|----|
cilg rantempereres meismes	--|-⌫---|--------|------|
ner ondonl	---⌫-|--||
exa nplemeis mes	---⌫---|----⌫--|
le mond esires	-|----⌫|----|
tantsesten doitloign sesenpires	---||-----⌫---|----|--|------|
o nque ares ter	-⌫---|----⌫--|
tantpeu st honeurconque ste r	---|---⌫-|-----|------⌫---⌫|
selest oi rene	-||---⌫--⌫-|-|
r ecutp uis mortmauuesement	-⌫---|-⌫--|---|----------|
detoutsonpe u pleain cei s	-|---|--|--⌫-⌫--|---⌫---⌫|
donilcremoitestre	--|-|------|----|
s i mandases	-⌫|----|--|
priuez ami s	-----|---⌫|
me s li mesagetramis	--⌫|-|-----|-----|
netrouerent quequildeiss ent	-|--------|----|-|-----⌫--|
nusdausqui	--||--|--|
leurhuisleurourissent	---|---|---|--------|
adonciuin tpriuee ment	----||---⌫|------⌫---|
neron mout pooreusement	----|---|-----------|
ethurta d es es propre s	-|----|-⌫|-⌫-|------⌫|
n oncnelenfire nt plus	|--|-||-|----⌫-|---|
car quantpluscha scunape l a	--|----|---|---⌫---|---⌫-⌫|
chascunsplussenc loste tcela	-------|---||---⌫---|-⌫|---|
ne nus neli uo stmot	-|--|-|-|--⌫-|--|
r es p o ndre	-⌫--⌫-⌫-⌫---|
c ouuintaler repon dre	-⌫-----|---|-----⌫--|
mi stporsoiherb ergier	--⌫-|--|--|----⌫-----|
oyysiens ser sen unuergier	|-|----|---⌫|-|-|------|
car ia pl us eurpartout c oroient	--|-|--⌫--⌫--|--|---|-⌫------|
quiporoccie r rele	--|--|-----⌫-⌫-|-|
queroi ent	------⌫--|
etcrioient	-|-------|
n eron nero n	-⌫---|----⌫|
quileuito ulet roueron	--|-|--|-⌫|-|-⌫------|
ilneisbienlesoait	-|---|---|--|---|
mesconseill	--|-------|
si s ests iforment	-||--|-⌫|------|
qu ilmeismes	-|-|------|
etquantilse uit encep oint	-|----|-|-|--|-|-|-⌫---|
n otmesdesperancepoint	|-|--||--------|----|
aussers pr iaquille	--|---|--⌫-|-|-|-|
ouqua soituerl	-|-||--|---||
eidasse nt	-------⌫-|
si soc ist mes ain z	-||--⌫--|--|---⌫|
fi strequeste	--⌫-|-------|
queianu sne	--|-|--⌫|-|
trouas tsa	------⌫|-|
porce qu il ne fustqueneuz	--|-|-|-|-|---|------|
se ses cor s	-|--|---⌫|
fustenpres u euz	---|-----|-⌫--|
et priaq ue lec orsar disse nt	-|---|-⌫-|-|-⌫--|--⌫-----⌫-|
si tostconardoir le poissent	-|---|--|-----|-|-------|
etd i t l iliuresanciens	-|-⌫-⌫|-⌫|-----|------|
yyces ariens	-|---⌫-----|
ousamort trouons	-|-|---|------|
en escr it	-|----⌫-|
siconsu ctoniuslescrit	-|--|--⌫------||-----|
c re stien eapel e	-⌫--⌫-----⌫|----⌫|
fausere ligionnouele	----|--⌫-----|-----|
e tmalf esantai nsintl an ome	-⌫|----⌫----|--⌫----|-⌫|-⌫--|
uezcimot dedesloial home	--|-|--|-|-------|---|
que enneronfu definee	--|-|----|-|------|
descesarie nsla l ign ee	--|-------⌫-|-|-⌫---⌫-|
cist p arsesfez	---|-⌫-|--|--|
ta ntporc haca	--⌫-|----⌫---|
q uetout sonli gnage	-⌫-|---|--|--⌫----|
neporquantta nt	---------|--⌫-|
fucoustumiers	-|----------|
ferees yy anzpr umiers	---|-|-|--|--⌫-----|
quoncsi bien ne go uern at erre	-|--|-|---|-|--⌫----⌫|-⌫---|
nusprinces quel ense ust querre	--|------|--|-⌫-|--⌫--|-----|
t an tsembla	-⌫--⌫|-----|
uaillanz etpiteus	-------|-|-----|
lidesloiauslid espiteus	-|--------|-|-⌫-------|
enaud ie ncearome	-|---⌫--⌫--||---|
q uant ilporcondampnerunh ome	-⌫---|-|--|---------|-|-⌫--|
furequisdela m ort es crire	-|-----|-|-|-⌫--|--⌫----|
neno t pas	-||-⌫|--|
hon ted e cedire	---⌫-|-⌫|-|---|
quiluos is tmieu z nons auoir	-|-|---⌫--⌫|----⌫|--|-⌫----|
quesa mainpor es crire i	--|-|---|--|--⌫----||
sitintce uuetli	-|---|-|---|-|
liuresdi re	-----|--⌫-|
entoryyanz	----|-|--|
ety ydura sauie	-|-⌫|---|-|--|
m e ss esorguieuzsa	-⌫-⌫|-⌫-|-------|-|
siform ent l orent enu ai	-|----⌫--||----|---⌫-|
quede sihaut si	--|-|-|---|-|
asoiraco nter	-|-|----⌫---|
ta ntlotfetf ortun emonter	--⌫-||-|--|-⌫-----⌫|-----|
quitantlefistenpresdescendre	--|---|-|---|-----|--------|
con t upeuzoiret	--|-⌫|---|--|-|
nonc nelapottenir	|--|-|-|--|----|
qu iln outornast etiu se sus	-|-||-|------|-|--⌫||--|
quirefurois	--|---|---|
deto ute lide	-|--⌫--|---|
p uis limistl e nauco l	-⌫--|-|---|-⌫-⌫|-|--⌫|
etfupor ardrea u feu liurez	-|-|--|----|-⌫|--|-----|
qu antparla pluie	--⌫--|--|-|----|
estdeli ure z	--|----⌫---⌫|
grantfeu fisttoute stain dre	----|--|---|---|-⌫-----⌫--|
nosanus la	|--|--|-|
remaind re	-------⌫-|
tuits enfouire nt porlap luie	---||--------⌫-|--|-|-⌫---|
cresus semisttantost enfuie	-----|-|---|------|-|---|
quant il se uit	----|-|-|--|
seulenl a place	---|-|-⌫|----|
sanzenconb remen tetsa nz	---|------⌫-----⌫|-|--⌫-|
puisrefusiresde sa terre	---|---|----|-|-|----|
et p u is resmut noue leguerre	-|-⌫-⌫-|-----|----⌫-|-----|
p ui s refu	-⌫--⌫|---|
puispenduz	---|-----|
q uantl is ongeslifu renduz	-⌫---|-⌫|-⌫----|-|-|-----|
des yy d ex qui liapp aroient	--|-|-⌫-|--|-|---⌫------|
qui seurlarbre enhau tleseruoient	--|---||----|-|---⌫|-|--------|
iupi ter ce distlelauoit	----⌫--|-|---|-|-----|
etphebusla toaille auoit	-|-----|-|------|----|
pe n oitde l	--⌫-⌫--|-||
song eapu ier	----⌫|---⌫--|
don sigrantfianc e	--|-|----|-----⌫|
qu il conmef olss	-|-|----|-⌫--||
enorgue il li	-|-----⌫--⌫-|
distphaniesafille	---|-----|-|----|
qui tantestoitsage	--|---|-----|---|
et soutill e	-|-------⌫|
qu e lsauoit	-|-⌫|-----|
lessongesespondre	--|-----|-------|
et sanzflater liuos t res p ondre	-|---|-----|-|---⌫|---⌫-⌫----|
biau p eredistladamoisele	---|-⌫--|---|-|--------|
doulereusenou ele	---------|---⌫--|
uost re orgu ieuzneu aut une	----⌫-|----⌫---|-|-⌫--|--|
sachie z q uefortu ne	------⌫|-⌫-|-----⌫-|
songepoez e ntendre	----|---|-⌫------|
u os u eustfere augibet	-⌫-|-⌫---|---|-|----|
etq uant serez pend uzauuent	-|-⌫---|----|----⌫-|-|---|
sanz co uerture	---|--⌫------|
et sanz auuent	-|---|-----|
se u ruos pleuura	--⌫-⌫|--|------|
bi ausiresra is	--⌫-|----|--⌫-|
etli biaus	-|-|----|
soleuzdes esrais	-----|-|-⌫-|---|
uosessuier acorset face	--|-------⌫|---|-|---|
fortun ea cest efin uoschace	------⌫||----⌫|--|--|----|
quito stet done	--|--⌫-|-|---|
leshoneurs	--|------|
etfets oue nt degranzmeneu rs	-|--|-⌫---⌫-|-|----|-----⌫-|
etdesmeneursrefetgreign eur s	-|--|------|----|------⌫---⌫|
etseigneurssusles sei gneurs	-|--------|--|--|---⌫-----|
iroiieflatant	---|-|------|
fortun eau gibet	------⌫|-|----|
uos at a nt	--|--⌫-⌫-|
et quan taugibetu ostendra	-|----⌫|-|----|-⌫-|-----|
lah art aucolelrependra	-|-⌫--|-|--|-|-------|
labelecor onedoree	-|---|---⌫--|----|
donuostretesteacoronee	--|-----|----||------|
uns autres coronez	--|-----|------|
decui garde neuo sdonez	-|--|----|-|--⌫|----|
etporcequei e	-|--|-|--|-⌫|
uos espoigne	--|-------|
plus espertementlabesoigne	---|----------|-|-------|
iupiterqui leu e	------|--||--⌫|
lia irsqu ipluetet	-|-⌫--|--⌫|----|-|
e tphebus qui tientlatoaille	-⌫|-----|--|----|-|------|
c est lisoleuzsanz	|--|-|-----|---|
nulefaille	---|-----|
larbrepar legibet uos	|----|--|-|----|--|
ienipu is ent endr e	-|||--⌫-|---⌫----⌫|
autre chose	----|----|
passeru os coui en tceste planche	-----|-⌫-|----⌫--⌫|----|------|
fortuneainsinc	------|------|
lepeupleuanche	-|-----|-----|
q ueuosdemenez	-⌫-|--|------|
conorgueilleusetfor sene z	--|----------|-|---⌫----⌫|
sid estruitelemaint preudome	-|-⌫------|--|----|-------|
qu el ne prise pas u ne	-|-|-|----|--|-⌫-|
tricherien el ea ute	--------|-⌫|-⌫--⌫--|
ne uilsest atne reaute	-|---|---⌫-|-|-----|
