puisquececi feniauons	------|---|---|----|
etb ien late rresai n ct euirent	-|-⌫--|-|--⌫--|---⌫-⌫--⌫|-----|
n ipota uoi r	||--|-⌫---⌫|
lipe uplesde	-|--⌫----|-|
lagentebr ee	-|---|---⌫-|
entrauoyreme n t	----|-------⌫-⌫|
ne mes que	-|--|--|
duitantsollement	--|---|--------|
cefu calephetios u e	-|-|-----|-|---⌫-⌫|
seson t tantpené	-|---⌫|---|----|
qu eenlaterr e desus	--⌫|-|-|----⌫|----|
aueccom peignie	---|---⌫------|
ce conte l ila tins	-|----|-⌫|--⌫---|
maintiorpuis yabiterent	----|--|---||--------|
ace faisonssimilitude	|-|------|---------|
quar de gen ttresgrant multitude	---|-|---⌫|---|----|--------|
pa rlemondebapti zéso nt	--⌫|-|----|-----⌫--|--⌫-|
mes poest de ceux quiporront	--|-|--|-|---|--|------|
l ai oyeauoirdepar adis	-⌫|-⌫--|----|-|---⌫---|
quisenzfaillirdur ra toz dis	--|---|------|---⌫-|--|--|
qui orent ent ree	--|----|---⌫--|
enla terrebene huree	-|-|----|----⌫----|
senefientlauieactiue	--------|-|--|-----|
aue cqueslac ontemplatiue	---⌫----|-|-⌫-----------|
e tce liaetra chel sone nt	-⌫|-|--|-|--⌫---|----⌫-|
etl uneet l	-||--|-||
autre sa lutdone nt	----|--⌫--|----⌫-|
encepeuple	-|-|-----|
quel i latin ssafaat	--|-⌫|-----⌫|-----|
ci s safa atyyfillesot	--⌫|----⌫-|-|-----|-|
meso nczz fil auoirnepot	--|-⌫-|-|--|----|-|--|
mesf reresotplu sors	--|-⌫----|-|---⌫---|
siauintqu edesozsa	-|----|--⌫|----|-|
le mistla mortquides onconte	-|---|-|---|--|-|-⌫-|----|
negieteroyneducne conte	-|----|--|-|--|-|----|
aussitostcom ilfumors	--------|--|-|-|---|
entre seshers so rdi	----|--|---|--⌫--|
qu ar cil qu isifrereestaint	--⌫-|--|--⌫|-|----|------|
setrestrentauantet disaint	-|--------|----|-|------|
que lerit a geauo yrdeuoint	--||----⌫-⌫-|---⌫-|------|
delorfrereet	-|--|----|-|
q uenepo ai nt	-⌫-|-|--⌫--⌫-|
l esfille s	-⌫-|-----⌫|
l er itage auoir	|--⌫----|----|
quarfi lle s nestiaintpas air	---|--⌫---⌫||-------|--|--|
le sfi llesencontredi s aint	--⌫|--⌫---|-------|--⌫-⌫---|
que delorpere hairestaint	--|-|--|---|---|------|
enssitlespartiesse	-----|--|------|-|
tantquedeuan tmoyses uienne nt	------|-----⌫|-----|------⌫-|
quiltiennentasou er ainiuge	-|-|-------||---⌫--⌫--|---|
etlirequierentquil en iug e	-|-|---------|-|-|-|---⌫|
mes moysesd ecetantost	--|-----|-⌫|-|------|
iugement p a s fere nen u ost	-------|-⌫-⌫|---||-|-⌫--|
consoila dieu	------||---|
etdiex t a ntostli	-|---|-⌫-⌫----|-|
co mm enda	--⌫--⌫---|
queille s filleshoi rsfeist	--|-|--⌫|-----|---⌫-|----|
desheritagesaleur pere	--|--------||---|---|
quar rie ns niontpardro it	---|---⌫-|||--|--|---⌫-|
etil lorssenzdilaci on	-|-|---|---|------⌫-|
enlaposses sio n	-|-|------⌫---⌫|
pa rcesfilles	--⌫|--|-----|
entensetuoy	-----|-|--|
aucunsquidelauuilleloy	-----|--|-|-|-----|--|
sontapel é	---|----⌫-|
alano uell e	|-|--⌫----⌫|
q uileritag elor ra pelle	-⌫-||------⌫|--|--⌫----|
aprescemoysesmonta	----|-|-----|----|
en lamon tai g neou mont h a	-|-|---⌫---⌫-⌫-|-|---|-⌫|
au ec no str eseignorparlé	--⌫-|--⌫---⌫|------|-----|
por cete fait	--|-|||---|
diexapelé	---|-----|
quecom men de raucu neschoses	--|---⌫---⌫--⌫|----⌫--|-----|
teuoiletce est	-|---|-|-|--|
que tuposes	--|-|----|
tantost i osuetonsergent	------|-⌫---|--|------|
enleud eroy desusta g ent	-|--|-⌫|--|----|-|-⌫--|
e t l i ens eigne stotesuoye s	-⌫|-⌫|---⌫-----⌫|----|----⌫|
cequedemo yapris	-|--|-|--⌫|----|
moy ses p lusni atendi	---⌫--|-⌫--|||-----|
d elamontaignedescendi	-⌫|-|--------|-------|
aupeupl euintqu antil	-|-----⌫|---|--⌫--|-|
iosuetantostapela	----|------|----|
deuant luiettot ce li	-----|--|-|--|-|-|
que die xl i comme ndae t dist	--|---⌫|-⌫|-----⌫--|-⌫|---|
ensaignal ice	-------|-⌫|-|
qu ilsauoit	-|-|-----|
sicomdiexa pr isli auoit	-|--|---|-⌫--⌫-|-|----|
etmeismes queleoffrende	-|------|----|-------|
liro is des r ois ueaut quen	-|--⌫-|--|-⌫--|----|-|-|
parcete ch os e entend redo i	--|---|--⌫--⌫|------⌫-|--⌫|
q uegrac euint apreslaloy	-⌫-|----⌫|---|----|-|--|
ceteloyaco mplistlachouse	---|--|---⌫-----|-|-----|
to t equelaloyuuille pose	--⌫-⌫|--|-|--|-----|---|
apres c ommenssauneguearr e	----|-⌫-------|--|------⌫|
contr eles roi s de	-----⌫|--|---⌫|-|
celleterre	----|----|
quinomeeestoit madien	--|----|-----|-----|
ille cfutocisbalaam	----⌫|--|---|-----|
puisontfaitesen treux deuis es	---|--|-----|--⌫-|--|-----⌫-|
despr oi es	--|--⌫--⌫-|
auientprises	-----|-----|
en labat aill ed esus	-|-|---⌫----⌫|-⌫---|
a malechauons d es cripte	-⌫-----|----|-⌫--⌫-----|
s enfuadieu	|-|-||---|
gran tpartoff erte	----⌫|---|---⌫---|
qua r gardez l e s auoitdepert e	---⌫|-----|-⌫-⌫|----|-|----⌫|
etqua nttot esles compaignies	-|---⌫-|---⌫-|--|----------|
detot esles	-|---⌫-|--|
yy lignies	-|------|
quid e iac obs o ntdescendues	--|-⌫|---⌫-|-⌫-⌫-|---------|
furentauf lun iord ai n	-----|-|-⌫--|----⌫--⌫|
n eufetde miesou strepasserent	-⌫--|-|--⌫---|--⌫---|--------|
l esautresde la demor erent	-⌫-|-----|-|-|-----⌫----|
ce furentl esyyet dem ie	-|-----|-⌫-|-|-|---⌫-|
quilefleuu enepasserentmie	--|-|-----⌫|-|--------|--|
quar gadetrubencet esdeux	---|--|-|----|---⌫-|---|
d esaleflunpristrent le u rleu x	-⌫|-|-|---|--------|--⌫-⌫|---⌫|
etla de mie	-|-|--⌫--|
cistnesontpas o st r e pa ssé	---|-|---|--|-⌫--⌫-⌫|--⌫---|
qu aronquesneuodrentauoir	--⌫-|-----|-|------|----|
oustr elefl undo nni auoyr	-----⌫|-|--⌫-|--⌫|-|----|
nieritagee nnullegu is e	-|------|-⌫|----|--⌫--⌫|
enl aterrededieupromi se	-|-⌫|----|-|---|-----⌫-|
la sene fi enceon t	-|----⌫--⌫---|--⌫|
d e ceuxquitan tay m ent l emont	-⌫|---|--|---⌫|--⌫-⌫--|-⌫|---|
q u eilnontnu ldesir	-⌫-⌫|-||--|--⌫|----|
do u regn e	--⌫|----⌫|
ace luiquisus les	|--⌫--|--|--|--|
ceauxregne	----|----|
puisfistdiexz z	---|---|---|-⌫|
commendemen t	-----------⌫|
queostee s ou treement	--|-----⌫|--⌫-------|
fussent trestoteslesydoles	------|--------|--|-----|
q uea orient les gens	-⌫-|-⌫-----|--|---|
ettu it cil qui	-|--⌫-|--|--|
leshonoraint	--|--------|
nedepriaintne cre iaint	-|--------|-|---⌫----|
orcetecho sedoiz	-|---|---⌫-|---|
quiconque zueautbaptoy mepr endre	---------⌫|----|------⌫-|--⌫----|
que iames por cho se	--|-|--|--|---⌫-|
ydolenu lle necoi stiu e	----|--⌫--|-|---⌫----⌫|
pui slamort aaro nauint	---⌫|-|---|----⌫|----|
quid auesque le seg e tint	--||------|-|---⌫|---|
qui omicideestint	--|------|-----|
habitéauoint	------|-----|
commun ementou lesiuis	------⌫----|-|--|---|
senalerentenlorpais	|-|------|-|--|---|
toutautrecili	---|------|-|
a preslamortdousauueour	-⌫---|-|---|--|-------|
retorner entaparadis	--------⌫--||------|
et lorfu rendu ea tozdis	-|--|-|-----⌫||--|--|
la te rre quin om eement	-|--⌫--|--|-⌫--⌫-----|
decortdela itet	-----|-|--⌫-|-|
li quinzliuresici com m e nc e	-|----|-----|--|---⌫-⌫-⌫--⌫|
c est desp ar olesla s emence	|--|--|-⌫--⌫---|-|-⌫-----|
quemoyses iadi ssema	--|-----|----⌫|---|
oupeupleque ilmoutam a	-|-----|--|-|---|--⌫|
et sachez que	-|-----|--|
lilat insnome	-|---⌫--|---|
ce tuil iuredeuter onome	--⌫--|-⌫---|------⌫----|
direseconde	---|------|
que cisliuresrepete	--|--|-----|-----|
ceque lia utrequatreontdit	-|--|-|-⌫---|-----|--|--|
loytot descrit	--|--|------|
e n yyiorsescris tces tliur e	-⌫|-|---|------⌫|---⌫|----⌫|
nestmies en zs enef ience	|--|--|-⌫--⌫|-⌫----⌫----|
a gra ntintellige nce	|---⌫-|---------⌫--|
quarcis n o mbresqui	---|--|-⌫-⌫----|--|
yysormonte	-|-------|
de siuisla onte	--⌫|---|-|---|
etr epassentadesho neur	|--⌫-------||-----⌫---|
les commen zde nostreseignour	--|------⌫|-|-----|-------|
etporcequil neles	-|--|-|-|-|-|--|
quatrefoizy yan z d emorerent	-----|---|-⌫|--⌫|-⌫--------|
enp oyne enlabo r entristec e	-|-⌫---|-|----⌫|-|-------⌫|
senzauoy r ioy ene	---|----⌫|---⌫|-|
me soncpor	--⌫|--|--|
c ele uruestehure	-⌫|--⌫-|--------|
n enu iulli	|---⌫----|
nelorchau cehure	-|--|----⌫-----|
enz fure nttuit sen z depecier	--|----⌫-|---|---⌫|-------|
aussifroycom au c om menc ier	----|---|--|-|-⌫--⌫----⌫--|
sauons senefienc eautele	|----|---------⌫|-----|
char quies tm ortelle	---|--|--⌫|-⌫------|
lauie pardurable	-|--|---------|
ne le ira e strecorrump able	-|--⌫--|-⌫---|-------⌫---|
m esor retoramamat ere	-⌫-|-|----||-|---⌫--|
moyse s en it el manere	-----⌫|-|--⌫-|-----|
lep eupl eaui u is enseigna	-|-⌫----⌫|-|-⌫-⌫-|-------|
ettiexcommendemenz	-|---|-----------|
io stelautiern eplante ras	--⌫--||-----|-⌫|------⌫--|
boisquediexne le ue autpas	---|--|---|-|-|--⌫--|--|
li arbre desbois uerdoront	-|----|--|---|-----|--|
fruit n ul	----|-⌫-|
li p lusor sont	-|-⌫----|---|
planterlesheslit	------|--|-----|
pour auoira seseauxdelit	---|----||--|---|----|
encesont lipeandescrit	-|-|---|-|---|------|
quio ntproposé maint esc rit	--|-⌫-|-------|----|---⌫--|
quei lennos or oilles sounen t	--|-⌫|-|--|--⌫-----|------⌫|
et parollesdoreesdonen t	-|-------|-----|-----⌫|
q uarleurmot	-⌫--|---|--|
sont ueu fuillir	---|--|------|
nulfruit cuillir	--|----|------|
et e smouent moutfierement	-|-⌫------|---|--------|
lapensee desimplegent	-|-----|-|-----|---|
mes litemplesdiemie	--|-|------|--|--|
d e tiexfables meslesref use	-⌫|---|-----|--|--|---⌫--|
mes en lafoyq uenous auons	--|-|-|--|-⌫-|---|----|
s impleparo leauoyrdeuons	-⌫----|----⌫-|----|-----|
quarcro yre deuon sferm emen t	---|---⌫--|-----⌫|----⌫----⌫|
et regei rtots implement	-|-----⌫|--|-⌫--------|
or oezque commendeapres	-|--|--|-------|----|
li debonaires moyses	-|---------|-----|
i edifeti laz z	-⌫|-|--|-⌫||-⌫|
gecommenzatozencommun	-|------||--|-|-----|
ge comma nztotpr em ereme nt	-|-----⌫-|--|--⌫--⌫-----⌫-|
fe t mo ises estr o item ent	--⌫|--⌫---|----⌫-⌫----⌫--|
qu et unelesses	--⌫|-⌫|-|-----|
a nul four	|--|---|
qu edieu naimesdet out toncour	--⌫|---||----|-|-⌫--|--|---|
et detrestotetap ensee	-|-|-------|-|-⌫----|
cesoit larie ns	-|---|-|---⌫-|
quipluste see	--|---|-|--|
queamerle sou uerainroy	--|---|-|---⌫-----|--|
ettonprochensicomm e	-|--|------|-|----⌫|
lamord ece saches tu	|---|-⌫|-|-----|-|
por teettelue rtu	---⌫-|-|--|--⌫--|
que lamordeton	--||---|-|--|
frereenge ndre	----|----⌫---|
seautlautreamorrendr e	----||----|---|-----⌫|
qu arcest c eque diexcommenda	--⌫-||--|-⌫|--|---|-------|
auousparmoyl emenda	|---|--|--|-⌫|----|
enssitpo rrezuousconquerre	-----|--⌫---|---|--------|
quil doignepluieauostreterre	-|-|-----|----||-----|----|
quibien uous	--|---|---|
seraconu enable	---|----⌫-----|
puislauousdonrasaluab le	---|-|---|----|------⌫-|
conuenablelad onnala	---------|-|-⌫---|-|
oulaprem er el o y bailla	-|-|----⌫--⌫|-⌫-⌫|-----|
salu ablela donail	----⌫---|-|---|-|
al o ur squilenuoya so nf il	--⌫-⌫--⌫--|-|-----|--⌫|-⌫-|
quant de se s paroles dore es	----|-|--⌫|------|----⌫-|
furentle s terre sarouse es	-----|--⌫|-----⌫|------⌫-|
apres uou scomm ans	----|---⌫|----⌫--|
senz ret raire	---|---⌫----|
ci rconcisionenuous fere	--⌫---------|-|---|---|
cisf aitbien ci rconcision	--|-⌫--|---|--⌫---------|
quisostraits enzdilacion	--|-------|-⌫--|-------|
supe rfluite desu slui	----⌫------|----⌫|--|
queasa charn eface	--||-|---|-⌫|---|
q uear erne face s	-⌫-|--⌫-|-|----⌫|
boufpremerniennull esplaces	---|-----|-|-|----⌫-|-----|
etsic ommans qu e	-|-|-⌫-----|--⌫|
lestoisons	--|------|
desoyllesne desmotons	--|-----|-|--|-----|
q uiauront p remi erenescense	-⌫-|-----|-⌫----⌫--|-------|
ent on preu nay entacrescense	-|-⌫-|---||--⌫--|---------|
e tnet aideen nulleguise	-⌫|-||---|-|----|----|
delachouseadieu promi se	-|-|-----||---|-----⌫-|
quar bienestuo irs que ainzné	---|---|--|--⌫--|--|---|--|
son t adieu	---⌫||---|
promiset doné	-----|-|----|
etla c hosequiest donne e	-|-|-⌫---|--|--|-----⌫|
adieuestbien sai nctifiee	|---|--|---|---⌫-------|
a pres soyesiciueanz	-⌫---|----|--|----|
qu etune taperes	--⌫|-|-||-----|
enle sgartdenostr esey gnor	-||-⌫----|-|-----⌫|---⌫---|
cui tu do iz seruiseethono r	--|-|--⌫-|------|-|----⌫|
c il ap ert uoenz senzdeslit	-⌫-|--⌫--|----|---|-----|
deuentdieuqu ine	-----|---|--⌫|-|
pe nseou dit	--⌫--|-|--|
ou fai tchosequiso itplaysens	-|---⌫|----|--|--⌫-|-------|
aur oy qui	-|-⌫-|--|
surto zestpoyssans	--|--⌫|--|-------|
a pres ten i oignquemetes	-⌫---||--⌫-⌫---|--|----|
enameretfe redroitur e	-|---|-|--⌫-|-------⌫|
qu arlidroitur iersaime e tfe t	--⌫-|-|-------⌫---|---|-⌫|--⌫|
esgardenslacau sedo ufait	--------|-|---⌫-|--⌫|---|
me tpoyneet	--⌫|----|-|
a iugierla s elonc droiture	|-----|-|-⌫----|-------|
p oramordelargent	-⌫-|---|-||-----|
amor d ie usollement	---|-⌫--⌫|--------|
seaucunsasembl eem ent	-|-----|------⌫---⌫--|
auec sonamisimpl em ent	---|--|--|-----⌫--⌫--|
forestporboyscoper	-----|--|---|----|
e t dou manchepuiss e e schaper	-⌫|--|-----|-----⌫|-⌫------|
et l autref erir	-||----|-⌫---|
ens sit q ui l	---⌫--|-⌫|-⌫|
lestuissem orir	|-------|-⌫---|
celui qu ilaura	----|--⌫||---|
occisqu aup lus tostqui l po rra	----|-|-|-⌫--|---|-|-⌫|--⌫--|
aylle al u nedescitez	----|||-⌫-|--|----|
plusprochene tozescitez	---|-------|--|------|
porce que aucu ns dou lignage	--|-|--|----⌫-|--|------|
doumortneso itde telcorage	--|---|-|--⌫-|-|--|-----|
outant sed uilledelam ort	-|---|-|-⌫----|-|-|-⌫--|
queilau ramor t	--|-|--⌫-|---⌫|
quesusmaintenant nelic ore	--|--|---------|-|-|-⌫--|
et n eloci ese nz demore	-|-⌫||---⌫|--⌫-|-----|
tu t rench eslebois simplemen t	-|-⌫-----⌫-|-|---|---------⌫|
quanttu retr anchesasprem e nt	----|-|----⌫-----|------⌫-⌫-|
aton c ompoygn onlespechez	|--|-⌫-------⌫-|--|-----|
dont us ezqui l estent echez	--|-⌫|-⌫-|-|-⌫|--|---⌫----|
lacoi gn ietr anchans	-|---⌫--⌫-|--⌫------|
se nz do ute	--⌫-|--⌫--|
correpciondelenguenoute	---------|-|-----|----|
lifersdo umanche sautet	-|---|--⌫|-----|---|-|
quant dou cha stiant i stparole	----|--|---⌫-----|-⌫-|-----|
aspre etmont	----|-|---|
durequireprent	---|--|------|
etblasmeceluiqu ime spr ent	-|-----|----|--⌫|--⌫---⌫--|
et liprochains	-|-|--------|
ala uie nt	|-|---⌫-|
quan tles parolesapres craint	----⌫|--|------|----|-----|
q uiprent pas encourbenigne	-⌫-|----|--|-|---|------|
l orsconceit	-⌫--|------|
ensonc ouraigne	-|--|-⌫--|----|
aign eest morssenzdesdit	----⌫|--|---|---|-----|
selonc lescript u requidit	-----||-------⌫-⌫-|--|--|
cisomicide s diz	--|-------⌫|--|
quiai g neasonf rerea	--|--⌫-⌫-||--|-⌫---||
m as cilqu i	-⌫-|--|--⌫|
ocitentranchant	---|-|--------|
leboisoucoi gn ietranchant	-|---|-|---⌫--⌫-|--------|
so n u esinatroisci tez	--⌫|-⌫---||----|--⌫--|
icesen efie s enz fail le	--|---⌫---|-⌫--|----⌫-|
qu e nlu iaitsenznulle	-|-⌫|--⌫|--|---|----|
ch arite foy esperence	--⌫----|--|--------|
qua ri lporr atota deliure	---⌫|-⌫|----⌫|--||------|
seila cestroi su ertuzuiure	-|-||--|----⌫|-⌫----|----|
nare de boef et dasne ensemble	|--|-|---|-||---|-------|
l i b eux lessages me rese mb le	-⌫|-⌫--|--|----|-|----⌫--⌫-|
lasne lesfousentens	|---|--|---|-----|
lisagesned oit ennultens	-|----|-|-⌫--|-|--|---|
au ecf olmeslersespar olles	--⌫-|-⌫-|-----|--|---⌫----|
nede str uiseetrendefo les	-|--⌫---⌫---|-|----|--⌫--|
ou ure setles faiz	--⌫---⌫|-|--|---|
queil com sa g es	--|-|--|--⌫-⌫-|
naiesia ro beuestu e	|---|-|--⌫-|-----⌫|
delinet deloineti ssue	-|--|-|-|----|--⌫---|
cete robenoussenef ie	---|---|---|-----⌫-|
totproprementypocrisie	--|---------|--------|
quesi mpleestdeforz apparenz	--|--⌫---|--|-----|-------|
maz la tricherieestde dan z	--|-|--------|--|--⌫---⌫|
lil insmontgresles	-|-⌫--|---|------|
gr osselaine tenuz	--⌫---|----|----|
etlasi mplete dou	-|-|--⌫-----|--|
couurel etrich eourcorage	-----|-⌫|-----⌫---|-----|
seaucuns p arlui a liger	-|-----|-⌫-|--|-⌫----|
uoudra le suenuentreespurger	-----|-|---|-----|-------|
sico m nat ureseautrequerre	-|--⌫|---⌫--|----|-------|
f ac edunpauzz c roten	-⌫--⌫||-|--|-|-⌫--|-|
sonesp urgement	--|---⌫-------|
et puis lecouure i gnellement	-|---|-|-----|-⌫---------|
ceestque componcion couure	-|--|--|---------|-----|
ala semb lancedo upaul euure	|-|----⌫----|--⌫|--||----|
conc h ie equeta pense e	----⌫-⌫--⌫|--|-|-----⌫|
aurafollem ent	---|------⌫--|
porpen see	------⌫--|
situuesparaucunesuoyes	-|-|--|--|------|----|
ettuillectrouues	-|-|----|------|
n idoyseausenherbreou	-⌫||------|-|-----|-|
me re puisses co nquerr e	--⌫-|------|--⌫------⌫|
a uecquessespul lon s pre ndre	-⌫------|--|---⌫---⌫|---⌫---|
tuned o iz	-|-|-⌫-⌫-|
mie acetendre	--||-|-----|
que tutozlesuoilles tenir	--|-|--|--|------|----|
mesl espullons peuzrete n ir	--|-⌫-|------|---|----⌫-⌫-|
et l ameree nlayrasaler	-|-⌫|---|-⌫|-----|---|
quelque partqueluoille uo ler	------|---|-|-|-----|--⌫--|
ai nssiteuien drabi en	--⌫---|-|----⌫--|--⌫-|
et siuiur as	-|-|----⌫-|
apreslonctens	----|---|---|
ceteuoyeque ieci nome	---|---|--|-|-|---|
uiedemortelhome	--|-|-----|---|
linizdo yseauxqui estenterre	-|--||-⌫-----|--|--|-|----|
o uquenp ueten	-⌫|-|-|-⌫--|-|
herbre requerre	-----|-------|
l es toyre	|--⌫----|
senefie et sone	------|-|---|
q uideu xcommandemans nous d onne	-⌫-|---⌫|-----------|---|-⌫---|
linizenlaterrec osch ez	-|--|-|-|----|-⌫----⌫-|
e stuie astiuece sachez	-⌫-|--|-----|-|-----|
nizquien larbrepen t	--|--|-||----|---⌫|
lacomprent	-|-------|
lame requi pullons	-|--⌫-|--|------|
simpleletr equen list	-----|----⌫|-|-|---|
porte zz dr oittel	----|-|--⌫--|--|
force dece nesperit el	----|-|--⌫|-------⌫-|
sespullo n snorris tuoyrement	--|-----⌫-⌫|------⌫|--------|
quant elle parl eplaine ment	----|---|----⌫|------⌫---|
et se soes	-|--⌫|--|
coese n zdotance	--|--⌫-⌫|------|
q u ant e llep arle enesperence	-⌫-⌫--|-⌫--|-⌫---|-|--------|
lespullonstieg neetlest	--|------|----⌫-|-|---|
quec es t sene fienc ecliere	--||--⌫|----⌫-----⌫|-----|
quelon do itla le tr egourpir	--|--|--⌫-|-|--⌫--⌫|------|
souen tet misteretenir	-----⌫|-|------|----|
etcequedesiuislison	-|-|--|--|---|----|
qua ntilissi rentde priso n	---⌫-|-|----⌫---|-|-----⌫|
degip teque il desp oillerent	|----⌫-|--|-|----⌫--------|
etdece quil enaporterent	-|-|-|-|-|-|---------|
etoretargente tues sea ux	-|-|-|-----|-⌫|---⌫---⌫-|
etioyaux mai nz riches	-|-----|---⌫-|-----|
decestnid paroledoit	-|---|-||-----|---|
lamere estre ostee par	-|---|----|----|--|
et sidoit estreret enue	-|-|---|----|---⌫---|
de s p ullons la	--⌫|-⌫-----|-|
lignied rue	-----|-⌫--|
senefieetnote	------|-|---|
leslengues desm e stress en zdote	--|------|--|-⌫-⌫----|-⌫--⌫|---|
doctrinemonstrentliuessel	-------|--------|-|-----|
dorfinet precieuxe t bel	|-|--|-|-------|-⌫|--|
liuessea ux prese nte	-|------⌫-|-----⌫--|
ostez lesd egiptepresente	----|--||-----|-------|
quar sien toybonesmors as	---|-|-|--|----|---|-|
longuement ce	---------|-|
sachesuiuras	-----|-----|
quar lisenz doumist ere fin	---|-|---|--|----⌫--|--|
te don ra la ioyesenzfin	-|---⌫-|-|---|---|--|
siaucun saurafame	-|-----⌫|---|---|
en mesf aitl ait puisre prise	-|----⌫--||--|---|--⌫----|
totla itt enuelong uement	--||-⌫-|-⌫---|----⌫-----|
li pe ue tfere	-|--⌫--⌫|---|
ref usement	---⌫------|
et silueauttant ostlifera	-||-|----|----⌫--|-|---|
ettotenssila lesser a	-|--|----|-|------⌫|
aussilem o nde h onsdespi ra	----|-|-⌫-⌫--|-⌫--|-----⌫-|
quan t les ho r s	----⌫|--|--⌫-⌫|
faizdelui uerra	---|-|--|----|
etto t aussi co mmeli hom	-|--⌫|----|--⌫--|-|--|
sa fameost ede sameson	-|---|---⌫|-|-|----|
totaussideso ncourli sages	--|----|-|--⌫|---|-|----|
chaceam orde mauu esus ages	----|--⌫-|-|----⌫-|--⌫---|
sifoysbiena sauoyr a	-|---|---||-----||
quemoulle desusnedesoz	--|-----|----|-|----|
porga gier ene prei gnemie	--|--⌫----⌫|-|----⌫--|--|
oroez que c e s enefie	-|--|--|-⌫|-⌫-----|
gagesenefi on	---|------⌫-|
pardroitnostre	--|----|-----|
conf essio n	----⌫-----⌫|
etla muelledes usp o see	-|-|-----|---⌫-|-⌫-⌫--|
estesperance	--|--------|
lamuelle desozmise	-|-----|----|---|
entendue etprise	-------|-|----|
qua r quirege i s tsespechez	---⌫|--|----⌫-⌫-⌫|--|-----|
aupreuoyr ebienlesachez	-|-------⌫|---|-|-----|
dep ardona bo ne e spere nce	-|-⌫----||--⌫-|-⌫-----⌫--|
etde droiture gran t cre ance	-|-|-------|----⌫|---⌫---|
etfrereetfame	-|----|-|---|
et queso n	-|--|--⌫|
cors se par telame	---|-|---⌫-||--|
etquenu lenfentn	-|--|--⌫|-----||
i remeygne	|-------|
lifrere scellefam epreigne	-|-----⌫|----|---⌫|------|
etseilpuetauoyrl aface	-|-|-|---|----|-⌫|---|
queala fam eenfant face	--||-|---⌫|-----|---|
leger me resusc itera	-|---⌫-|------⌫----|
deso nf re re qui morssera	-|--⌫|-⌫--⌫-|--|---|---|
si lafamerefuserueaut	-|-|---|------|----|
etlafame de riens en	-|-|---|-|---||-|
enzou uis liescupera	--|-|--|-|-------|
etun pi elideschau cera	-|-|--⌫|-|-------⌫---|
etde slor sen auant	-|--⌫|---⌫|-|----|
lamens sionouildemorra	-|----⌫---|-|-|------|
maysonnomeeaudesc hauc ié	-----|----|-|----⌫----⌫--|
etceserapar totno ncié	-|-|---|--|--|--⌫----|
lif reres quen	-|-⌫----|-|-|
ap elemort	--⌫--|---|
cestihesuc rit quisouffri mort	|--|------⌫--|--|------|---|
quen ouspoonsapeler frere	--|-⌫--|----|-----|----|
de die uno str e	-|---⌫|--⌫---⌫|
enlacroi z	-|-|----⌫|
aussicomme	----|----|
senzf r ere	---|-⌫-⌫--|
quencornestoi tnumbrespl enier s	-|----||-----⌫|------|--⌫-----⌫|
a ce lui iorde	|--⌫--|--|-|
droituriers	----------|
chascunsmestresq u i	-------|------|-⌫-⌫|
prentlacure	----|-|---|
desain cteygliseestpa rdroiture	-|----⌫--|-----|--|--⌫|-------|
deihes ufreres uo yrement	-|----⌫|-----|--⌫------|
porquo y il oureiustement	--|---⌫|-|---|--------|
quarcilqui neueautne nepr ise	---|--|--|-|----|-|-|--⌫--|
enfanzengendr erdeliglise	-----|-------⌫-|-||-----|
bien estree scu pez	---|----|-⌫---⌫--|
deligli se et	-||----⌫-|-|
uis ethupez	--|-|----|
et cequeliuns de ses piez	-|-|--|-|--|-|--|---|
liest nuezetdeschauciez	-|--|---|-|----------|
ce est adir equil necur e	-|--||---⌫|-|-|-|---⌫|
deprendredeson frerecure	-|------|-|--|----|---|
et quinelicha utne neprent	-|--|-|-|---⌫-|-|-|----|
cure fo rsde	---|--⌫-|-|
luisollement	--|--------|
cia p re sen ces t liureauons	-|-⌫-⌫--⌫|-|---⌫|----|----|
uncha ntounous	-|---⌫-|-|---|
esc rit trouons	---⌫--|------|
quedi exlepeuple	--|--⌫-|-|-----|
ac equeiltr air e	|-⌫|--|-|--⌫---⌫|
mielethoil ledeperredure	---|-|----⌫-|-|----|---|
etce senef ieet fi gur e	-|-|-----⌫-|-|--⌫---⌫|
queihesusqui	--|-----|--|
est diexet hom	--|---|-|--|
siest la perrep ar rayson	-|--|-|----|-⌫-|-----|
et limiracle quilfai soit	-|-|------|-|-|---⌫---|
sontape lé miel don s p ardroit	---|---⌫--|---|---⌫|-⌫-|----|
uille nousest escriz	----|---|--|-----|
droi tementlisainz esp eriz	----⌫-----|-|----|---⌫---|
lapierelemielnousdon a	-|----|-|---|---|---⌫|
quantihe suc rizenlum ina	----|---⌫---⌫--|-----⌫--|
lemondeenplusoursleux	-|----|-|-------|---|
de signe s	-|-----⌫|
e tdesessarmon ssainz e tdignes	-⌫|-|--|------⌫|----|-⌫|-----|
etla p errehuillegita	-|-|-⌫---|-----|---|
quan til de	----⌫|-|-|
mortre suscita	---|--⌫------|
etpuisnou sd on aenpardo ns	-|---|---⌫|-⌫--⌫|-|-----⌫-|
dousaintesper i t lesgransdons	--|----|-----⌫-⌫|--|----|---|
cet eca ntiquee ncorco ntient	---⌫|--⌫-----|-⌫---|--⌫-----|
laparolle qui apres	-|------|--|----|
quarcidemonstre nostresire	---|-|--------|-----|---|
