#META#TextURIAlexisP13	-----|------|--------|
#META #DEAF http//www.de a f -pag e.d e/fr/bibl/bib99 a.php #AlexisP	-----⌫|---|------------⌫-⌫-⌫----⌫---⌫---------------⌫-----⌫-------|
#META #T L A lex.Alex .S.	-----⌫|-⌫|-⌫---|----⌫|-|
#META# ARLIMA	-----|-----|
Etdepec iéspurghi eretesl auer	-|-|---⌫---|------⌫-|-|---⌫---|
K elidiable	-⌫|-|-----|
nesacen tk e	-|-----⌫|-⌫|
Orsed espoi llepor	-|-|-⌫-----⌫--|--|
luiat api ner	--|--⌫---⌫--|
Si uaita Romeas enpér e parl er.	-|---||---||-⌫-|----⌫|----⌫--|
Tres oreirasesaumo sne s user	---|--|--|--|----⌫---⌫|---|
Cardesautruineseueutencomb re r.	--|--|-----|-|-|---|------⌫--⌫-|
SainsAl exissen	----|--⌫---||-|
uaitaaban don	---||----⌫--|
Rom eapoiant dunbordon.	---⌫|------||-|------|
Or plot a Diukiuint	-|---||--|-|---|
sienpér e	---|----⌫|
encontreli fr anshon	-------|-|--⌫--|--|
Etpuissemére par	-|---|-|----|--|
deuantl o r dog non	-----|-⌫-⌫|---⌫--|
Doumost ier uiénent saint Pié reelpretNoiron	--|----⌫--|-------|----|----⌫-|-|---|-----|
enfant sontenmout gra nt	-----|---|-|---|---⌫-|
I luint auantsi senclinaparfont	-⌫|---|----|-||------|------|
Eufem ienescouteme	-----⌫--|------|-|
HerbierghequierporDiu	---------|----|--|--|
E t portenfilAlex isle	-⌫|--|--|--|----⌫-|-|
Pageu01P299	----------|
Ke Da mediu skiwar itLasaron	-|--⌫-----⌫|-|---⌫-|------|
EtMoysantdelemainPhar aon	-|------|-|-|---|----⌫--|
Terenge encoreten	-|----|-----|--|
fi lente maison	--⌫|-|-|-----|
Kantot lipéredesenfil Al exis	---|-|-|----|-|--|--|--⌫---|
Tantformentplored esbi ausieus dese n	---|------|----|-⌫-|--⌫--|---|-|--⌫|
Ketosenfutmo illie ́sli cier ssamis	-|--|-|--|--⌫-----⌫-|-|----⌫|----|
E tlesgransguelesdou	-⌫|--|----|-----|--|
bon p elichongris	--|-⌫------|---|
uiersluisen	----|--||-|
araisonmis	|-----|--|
Hostelarasbia u sfr érepele rins	-----|---|---⌫-⌫|--⌫---|----⌫---|
Totpor len f ant cui iousoef	--|--||--⌫-⌫--|--|--|---|
Ne tefauranepai ns	-|-|----|-|---⌫-|
n e cars neuins.	-⌫|---|-|----|
K eDius lemi retos ch i aus	-⌫|---|-|--⌫-|--|--⌫-⌫--|
depar adis	-|---⌫---|
Kileherbi ergh e n t par estrangep ais	-|-|-----⌫----⌫-⌫-⌫|--|-------|-⌫--|
Or ae stetd isetsieta n scaitis	-||-⌫---|-⌫-|-|---|-⌫-⌫|-----|
Dolenspe ciér enesaisestmorso u uis.	-----|--⌫-----⌫|-|--||--|---|-⌫|---|
Esuosiluecdant	-|--|----|---|
C ostentinu e nant	-⌫-------|-⌫-⌫---|
ui er slui	--⌫--⌫|--|
s ap roc es e	|--⌫---⌫|-⌫|
li u aitconsillant	-|-⌫--|---------|
Biausp elerinson kesnalés	----|-⌫------|--⌫--||----|
O dmo i herbi ergheporamorDiu	-⌫|--⌫|-----⌫----|--|---|--|
N etefa u raie ntrestotmenuiuant.	-⌫|-|--⌫-⌫--|-⌫|------|--|------|
SainsAlex i sli respontmaintenant	----|----⌫-⌫|-|------|---------|
S iredist il nos le trouonlisan t	-⌫--|---|-|--|-|-----|-----⌫|
K ep èlerins kiuait partiere errant	-⌫|-⌫-------|-|---|--|----|-----|
EtDame diuetsessainsreq uierant	-|----⌫--|-|--|----|---⌫------|
doitp ashostelalercang ant	---|-⌫-|-----|---|----⌫--|
Etsil herb i e rghea ho ste l mendian t	-||-|----⌫-⌫-⌫---||--⌫---⌫|-------⌫|
Ne lewerp irporhostel	-|-|----⌫-|--|-----|
i l lefai tmout seuait foliant	-⌫|-|---⌫|---|-|---|------|
Nepue tpris ierto tese	-|---⌫|----⌫--|--⌫-|-|
u ie un w ant.	-⌫-|-|-⌫---|
O ruoit limér e	-⌫|---|-|----⌫|
ke chiusliue uttolir	-|----|-|--⌫-|----|
Tantestdolentekelene puet sofrir.	---|--|------||--|-|---|------|
Aiointesmain slecorit r esaillir	|------|----⌫|-|----|-⌫-------|
Sire f aitele tu nosueus malbaillir	---|-⌫--|--|-|--|---|--|------|
Pag e u01 P300	---⌫-⌫---⌫---|
Kantpor l enfantkei ou	---|--||-----|-|-⌫-|
tantd oicierir	---|-⌫-|-----|
Taiher bie rgh ietetormeueus	|-|---⌫---⌫---⌫--|-|-|-|---|
I afer a ii outrestot	-⌫|---⌫-⌫|-⌫-|------|
mald ont tesacewar ir.	--|-⌫--|-|---|---⌫--|
Damed istil	---|-⌫--|-|
ioune l uospuismer ir	--|-||--|---|---⌫-|
Diusherbier tt	---|-------⌫||
a r mequ an td eue ras f enir	-⌫-⌫-|--⌫--⌫|-⌫---⌫--|-⌫---|
chel uiki t a a m ainburnir	----⌫-|-||||-⌫--------|
Etalenfant	-|||-----|
porcuimeueus sier uir	--|--|-|---|----⌫--|
Doinstte lco r aigek	-----|--⌫|--⌫-⌫---||
at oi puistreuen ir.	|-⌫-|----|-----⌫--|
mére si gieta unso spir.	----|-|----|-|--⌫----|
SainsAlexissewaitemout	----|-----|-|----|---|
Lesien cierpe ́rerapide bie leme nt	-|---|---|--⌫--|-----|---⌫----⌫-|
Sir edistilunpetitet	---⌫|---|-|-|------|
Iouteproiai	--|-|-----|
trestot prem ierement	------|----⌫-------|
P or lamor Diulepér eomnip otent	-⌫-||---|--|-|----⌫|-----⌫----|
Et por lenfant do nt io uteu oi dolent	-|--||-----|--⌫-|--⌫|-|-⌫-|-----|
Sim e priestas ch i er tesmoutbo nement.	-|-⌫|-------|--⌫-⌫--⌫--|---|--⌫------|
Maladessu ietenf ersd ur ement	------|--⌫|-|---⌫--|-⌫--⌫----|
Sine p ui smie monterelpauement	-|-|-⌫--⌫|--|-----|-|-------|
Mais or mefai un	---|-|-|--|-|
poi dhabitement	--||---------|
Sos ledegre t	--|-|-----⌫|
palai sd eschent	-----⌫|-⌫------|
Ouioume pu is seg esi rpaisiblement	-|--|-|--⌫--⌫-|-⌫---⌫|-----------|
mepais dechel menutframent	-|---|-|---|----|------|
Kidou manghie rrema intdeua ntt e	-|--|-------⌫|----⌫--|----⌫-|-⌫|
KeDamedi uspar sen comandement	-|------⌫-|--|--|----------|
Terenge en co re l	-|----|--⌫--⌫-||
e nfantent en comant	-⌫----|-|-⌫-|-----|
Donttuas sil ecuer	---|-|-|-|-⌫|---|
Kant s otlipérede lfilaraison e r	---||-|-|----|--⌫|--|-------⌫-⌫|
De sesbiaus ieus recomenchea p lorer	-|--|----|---|---------||-⌫----|
Boinshondi st	----|--|--⌫-|
ilDi u ste p uist respass er	-|--⌫-⌫|-|-⌫---|-------⌫-|
Totpor lenfant por cui le ueusrouer	--|--||-----|--|--|-|---|----|
Tropt eferai et	---|-⌫|----|-|
Etunbonliten	-|-|--|--|-|
c hel ang lee storer	-⌫--|---⌫-|-⌫-----|
Pageu01P301	----------|
KeDiu sle puist tot	-|---⌫|-|----|--|
chiaus werredoner	-----|---------|
Kibienlifont	-|---|-|---|
a lh ore doud isner	||-⌫--|--|-⌫----|
Etal enuit dou	-||-⌫|---|--|
lit e t dou soper	--|-⌫|--|----|
N est miesaus kineueutre to rner.	|--|--|---|-|-|---|--⌫--⌫----|
Otlelidames icomenche	-|-|-|---|-⌫|-------|
a pasme r.	|-----⌫-|
Limérepasme troisfoisenunten an t	-|----|----|----|---|-|-|---⌫--⌫|
Lipé reua sises mainsd etorgant	-|---⌫-|-|-|--|----|-⌫-------|
Kealeti erelensont	-||-|--⌫--||-|---|
keut liwa nt	---|-|--⌫-|
Sai nsAlexis lirendit ma intenant.	---⌫-|-----|-|-----|--⌫--------|
Kantil lesuitsialersospirant	---|-|--|--|-|---|--------|
Irie ̀sen estma isnen fait nul	----⌫-|-|--|--⌫-||-|---|--|
Caril c remi tkil n eleconoissan t	--|-|-⌫----⌫||-|-⌫|-|---------⌫|
De tot en totaaDiusen	-|--|-|--|||--|--|
Iesusdistilki mainsenOriant	----|---|-|-|----|-|-----|
Késamis tie ́sestde mére a	---|----⌫---⌫-|--|-|----||
Chis trésgransduesk	---|----|----|---||
por m oi menant	--|-⌫-|-----|
Or mestleg ier s	-||--|---⌫---⌫|
silt rouera ipesant	-||-⌫------⌫|-----|
i uiseme re uenradeu ant.	-⌫---|-|--⌫----|---⌫---|
Aiue Diusco n ensontdesirant	---|---|--⌫|-|---|-------|
Sormeuoloiefaire aiausconoissant	|-|-|-----|----||---|---------|
Telgoiearoien t onkesno r e n tsig ran t.	--|---|------⌫|----||-⌫-⌫-⌫-⌫|-|-⌫---⌫-|
Di usdis tli péreseiauoie un si ergant	--⌫-|---⌫|-|----|-||----|-|--⌫-----|
Ki me warda stch el pelerinerr ant	-|-|-----⌫-|--⌫-|------|---⌫--|
Ioulfr anciroie trestot	--||--⌫-------|------|
demaintenant .	-|----------⌫|
Une ni aki s	-|-⌫|||-||
enprese nte auant	-|-----⌫--|----|
Ioul warde r ai sirepartentalant	--||-----⌫-⌫-|---|--|--|-----|
Maisnelfer aichiertesaepoi	---|--|---⌫-|-------|-|--|
Por lefrancise ke meuaispresentant	--|-|-------|-|-|---|---------|
Mais p orlamora utien	---|-⌫-||---|-⌫|---|
g e ntil enf ant	-⌫-⌫---|---⌫--|
Lesieru iraiat r estotmen	-|-----⌫---||-⌫-⌫----|--|
At anten estl iric es honalés	--⌫--|-|--|-⌫|---⌫-|--|----|
Sen asefemmeets es	|-||-|----|-|-⌫-|
baronsmenés	-----|-----|
Alexis es t	-----|--⌫|
pla cheari estés.	---⌫--|---⌫------|
Libons siergan scui	-|---|-------⌫|--|
il fut deliurés	-|--|--------|
Pageu01P30 2	----------⌫|
Lenadiestradroi tdesosles degrés	|-|-------|----⌫|----|--|------|
iauecaudeliase spi éslaués	---|----|-||--⌫|--⌫--|-----|
Etses drapiausescosetesgratés .	-|--|-------|----|-|---------⌫|
Siredist ilunpetitmat e ndés	---|---|-|-|----||--⌫-⌫----|
Tantkeuns lis s oitich i aportés	---|-|--|--|-⌫--|---⌫|-------|
lincheuskimoutsoit blanc	-------|-|---|---|----|
DistlisainshonAmisne	---|-|----|--|---|-|
u ospenés .	-⌫-|------⌫|
Iamais s orlitnegirame s	-|---|-⌫-|--|-|---|--⌫|
Maisune natesiluo s pla i tm e	---|--|---||-|--⌫|---⌫-⌫|-⌫|
qu ie rés.	--⌫--⌫----|
uol entiers sire kantuosle	---⌫------|---|---|--|-|
comandés.	---------|
Il lui aquisesi s en	-|--||----|-||-|
Detotentot li	-|--|-|--|-|
faitsesuolentés	---|--|--------|
uierssensignor	----|--|-----|
nenu eutiestrec oupés	|-|-⌫--|-----|-⌫-----|
Neen uiersDiuc oupables	-|--⌫----|--|-⌫-------|
ne damn és.	-|----⌫---|
Bueruitleiorke li	---|--|-|--|-|-|
futc oma ndés	--|-⌫---⌫----|
Car ilenie rteng lore cor one ́s.	--|-|-|--⌫-|-|-⌫---|---⌫---⌫--|
Puisalipe ́reso uent senfil ueut	---||-|--⌫--|--⌫---|--|--|---|
Et chele méreencu icost etiliut	-|----|----|-|--⌫|----⌫-|-|--|
puchielekitantl	-------|-|---||
otatendu t	-|------⌫|
Keonkes nusde	-|----|--|-|
rie n nelreconut	---⌫|-||------|
Neneliontdemandet nenquesut	-|-|-|--|-------||-------|
K éshonil	-⌫--|--|-|
ertne dekeltiere fu t	--|-|-|--|----|--⌫|
Et le c orssaint uoiremen tn eca lu t	-|-|-⌫--|----|--------⌫|-⌫|--⌫--⌫|
Sen pér euoit moutsouentirascut	--|----⌫|---|---|-----|------|
Etenle salesou e nt	-|-|-|---|---⌫-⌫-|
gra nt duel es mut	---⌫-|---|--⌫--|
Trestot por l ui kilonten si pi erdut	------|--|-⌫-||-|--|--⌫-|--⌫----|
II leseswarde et s i	-|--|------|-|-⌫|
senfait simu t	|-|---|-|--⌫|
lauo itaun grantpelbatu t	|---⌫-||-|----|--|----⌫|
ADiuset ientpa ritéleuiertut	|--|-|-⌫---|--⌫|-----|------|
Ke luine caut	-|--|-|---|
deparen t nededrut.	-|-----⌫|-|-|----|
Sig normoutf ait ch iss a inscors	---⌫--|---|-⌫--|--⌫-|-⌫-⌫--|---|
KitoteRomeauoi taiu stichie r	-|---|---|----⌫||--⌫-------⌫|
peust mener t antceua lier	----|----|-⌫--|----⌫---|
Pageu01P303	----------|
Etcon uierserods e gente	-|---⌫------|-|-⌫|----|
Et s isalaporlaraorDiucoucier	-|-⌫||--|--||----|--|------|
S ossesdegrés awise	-⌫-|--|------||---|
dau mosnier.	|--⌫-------|
Kiuos uauroit	-|--|------|
tot sensiécleanonchie r	--|--|------|--------⌫|
Iauosp oroitmo utformentan u iier.	-|--|-⌫----|--⌫-|------|--⌫-⌫----|
Kantl isiergantkeilot a baillier	---|-⌫|-------|-|-|-||-------|
Liaportoientlegrantrel ief en tier.	-|---------|-|----|---⌫--|--⌫----|
Un poien prentporsefain a paier	-|--|-|----|--|-|---|-⌫----|
Etl autr erentac hiauski nontmesti er	-||----⌫|---||-⌫----|-||--|-----⌫-|
Nen fait musgotporsen cor sencraissier.	|-|---|-----|--|--|---⌫|-----------|
C ascunefiestese faitco muniier	-⌫-----|-----|-|---|--⌫------|
T ots ic onseilrepaire ntausautier	-⌫-|-⌫|-⌫-----|-------⌫-|-|------|
DouDiu sieruiche kileraue efforchier.	--|--|--------|-|-|---|----------|
Etli sainsh on ne s enueut	-|-|----|-⌫-|-||-|---|
ata rghier	---⌫-----|
Ainsen fait t a ntc onsenpuet	---|-|---|-⌫-⌫-||-||-|---|
meruillier.	----------|
SainsAlexisuitde sosle degret.	----|-----|--|--⌫--|-|------|
Sefrance mérela	-|-----|----|||
so uentre uisdet	--⌫---|--⌫-----|
Et debienfaire senconsei l	-|-|---|----|--|------⌫|
dema ndet.	----⌫----|
Mais uoi rem ent necuidene	---|---⌫---⌫--|-|----|-|
Ke c hesoitch ilketanta regretet .	-|-⌫-|---|--⌫-|-|---||--------⌫|
Lifelonsierf	-|----|----|
li f ontma int e uilt et	-|-⌫--|--⌫---⌫|----⌫-|
Ilprendentliau ek an til ontparlau et	-|-------||---⌫|-⌫--⌫|-|--|------⌫-|
reuiersentchelui sur	---------|-----|--|
Cuisierfil sontpardroitenait et	--|----|-|---|--|-----|----⌫-|
Maislisirealecuersi	---|-|---||-|---|-|
Kele rechoit	-|-|------|
trestot parcaritet	------|--|------|
Iesuen proiepar bon eu olentet	---|-|----|--|---⌫|-⌫------|
K el or pardoinstpar l esiue b on tet	-⌫|-⌫-|--------|--|-⌫|---|-⌫--⌫--|
Tuitlescarn issent si l	---||------⌫-----|-||
tiénent por	-------|--|
Deslaueuresli	--|-------|-|
m oillentsenpl ichon	-⌫------|--|--⌫----|
EtliDiusierssenc ouce	-|-|--|----||-|-⌫---|
SenproieDiupar boneentenchion	|-|----|--|--|---|---------|
Kil l or enf acheetmierchit etpardon.	|-|-⌫-|-|-⌫---|-|-------|-|------|
Parunefiestede sa inte roui son	--|--|-----|-|--⌫---|----⌫--|
Deschentli	-------|-|
pére cha i u s	----|--|-⌫-⌫|
Pageu01P304	----------|
filkigist el	--|-|---|-|
C helepartuint silamis	-⌫---|---|---|-|||--|
Biauscr estiensnesauomes t ennon.	----|--⌫------|-|------|-⌫-|---|
Faut toi conroiskisoite nmem a is on	---|--|------|-|---|-⌫|-|-⌫-⌫--⌫-|
Ch ie rtesbiaus sire Crestieuaianon	--⌫--⌫---|----|---|-------|-||--|
Et tutichilki	-|--|----|-|
aDi uparuerront.	|--⌫|----------|
Kib ienle wardese n	-|-⌫--|-|----||-⌫|
agrantwerredon	|----|-------|
E tchil kilpiertm a r	-⌫|---|-||----|-⌫-⌫|
uito nkesle non	--|-⌫---|-|--|
Carsarmeeniert en	--||---|-|---|-|
infier leparfont.	-----|-|-------|
Chiertesbiaussi re biena	-------|----|--⌫-|---||
Crestien ssui uoi re m ent apiel és	--------⌫|--|---⌫--⌫-⌫--|-----⌫--|
Seta ntsuiboins kep armoisoit wardés	-|--⌫-|--|----|-|-⌫-|--|---|------|
Ensaintbatesmemefutchisnons	-|----|------|-|--|---|---|
Mais ioulcrie npierdre parmes	---|--||----⌫|------|--|--|
gr ansordeés.	--⌫--|-------|
Tropaiconroit cliisens oit honorés	---|-|------|----|-|-⌫--|-------|
Porcui amorilm est siapri esté s	--|--|---|-||--|-|----⌫-----⌫|
Etil uosrengel	-|-|--|----||
e n f antke tantamés.	-⌫-⌫-⌫--|-|---|-----|
Boinshondistil	----|--|---|-|
kemeramen teués	-|-|-----⌫-----|
Ne stmieuis kantilnestr etornés.	|-⌫-|--|--|---|-||--|-⌫--------|
uait sen tli	---||--⌫|-|
pe ́ redo le nset effra és	--⌫-⌫-|--⌫--⌫-|-|-----⌫--|
estre mésso slesdegrés.	--|--⌫---|--⌫|--|-------|
Es uoss e méreforsdele	-|--|-⌫|----|---|-|-|
Et les degr és contreual des chendue	-|--|----⌫--|--------|---⌫------|
Odlilespo sekisiest ir ascue	-|-||----⌫-|-|-|--|--⌫----|
Ka in cpuischel ehore ne futengiu	|-⌫--⌫|---|----⌫|---|-|--|-|--|
N e decierpail eued ermineuiestue	-⌫|-|---|----⌫|-||-----|------|
Keleenleca mb refu	|--|-|-|--⌫--⌫-|-|
soleremansue.	---|--------|
Kantillesuoi l to s li sanslirem ue	---|-|--|---⌫|--⌫|-|---|-|---⌫-|
Crientke semé renesoit	-----|-|-|---⌫-|-|---|
Etparpec iet ne	-|--|---⌫--|-|
lconoi ssese	|-----⌫--|-|
De l e paork ilen	-|-⌫|---||-|-|
Tr estotliuisetli	--⌫----|-|--|-|-|
corslitressu e.	---|-|------⌫-|
Souentles uoitetuenir et aler	-----|--|---|-|----|-|---|
Et delorieu s moutte n rement plorer	-|-|--|---⌫|---|--⌫-⌫-----|-----|
Pageu01P3 05	---------⌫-|
Tre stotporluik ene pueenttrouer	---⌫---|--|--|-⌫|-|-----|-----|
N esttan t hardis	|--|---⌫|-----|
quesos ta raisoner	-|-|--⌫|-⌫-------|
Keauromancne lpuis sen t r auiser	-|-|-----|-||----⌫---⌫|-⌫-----|
Etne lefac hentdousi éclerenco mbrer.	-|-|-|---⌫---|--|--⌫----|-----⌫-----|
Lidame prentlesposeaapieler	-|---|----||-----||------|
Chiertespuchiel e mo utf ort medoi t pe ser	-------|-------⌫|--⌫-|-⌫--|-|---⌫|--⌫--|
namieenuiersmoi	||--|-|----|--|
lecuer cler	-|---|---|
Tantne meuoit	---|-|-|---|
par dalésluipasser	--|-----|--|-----|
Ki lmeuausistnule coserouer	|-⌫|-|------|---|---|----|
E tlecolordouu isaige mostrer.	-⌫|-|----|--|-⌫-----|-------|
Car lifaisomes ses drapiausrelauer.	--|-|-------|--|-------|-------|
Di st lipuchieleA lon alui parle r	--⌫-|-|-------|-⌫--||--|-----⌫|
E tdes en nonenquierre	-⌫|-|-⌫-|--|--------|
e tdemande r .	-⌫|-------⌫-⌫|
S orlelais so mese ntrenos	|-|-|----⌫--⌫--|-⌫---|--|
Etparsennon ne lsauomes nomer	-|--|--|--|-||------|----|
siècl esnos	------⌫-|--|
enporab lasmer .	-|---|-⌫------⌫|
Chiertes p uchieleioui	-------|-⌫------|--||
uoismoutenui s	---|---|----⌫|
Quantio ule uoi moisoui entd	----|--⌫|-|--|--|----⌫--||
Por un pet itne	--|-|---⌫-|-|
Li duesd eli m	-|---|-⌫|-||
ochi raains	----⌫-|---|
Pas saa uantsil aaraison	---⌫-|-⌫---|-||||-----|
Conau ésnon	--|--⌫--|--|
biaus f rér epe lerin s	----|-⌫----⌫|--⌫-----⌫|
Crestiens dameparfoi t le	--------|---|--|---⌫|-|
uos pleuis ...	--|------⌫--|
Tant sesforchake lepie tlia p r i s	---||-------|-|-|---⌫|-||-⌫-⌫-⌫|
Silicria mierchitliDiu	-|-|---|-------|-|--|
Sired is teledec oi m	---|-⌫--⌫|--|-|-⌫-||
alésproiant	----|------|
lferai entendant	|----|--------|
Kant ioupremiersui ncen te corterrant	---|--|-------|--⌫-|-|-|---|-----|
SiteproiailhostelporDiul egr ant	-|-|-----||-----|--|--|-⌫|--⌫--|
Et porlamor Al existen	-|--||---|--⌫---|--|
Aincpuischeldineus le cuer goiant	---|---|---|-||--|-|---|-----|
Ne neue nispardeuantmoi	-|-|--⌫--|--|-----|--|
Semeu eisses nenal ass esp lor ant.	-|-|-⌫-----||-|--⌫---⌫-|-⌫---⌫---|
Pageu01P306	----------|
Douruist e due l keuoisrament euant	--|-----⌫|---⌫|-|---|------⌫----|
Me ffa is ensuiioulsaiaeschiant.	--⌫---⌫-|-|--|--||--||--------|
Pries es t mefinscarmou t	----|--⌫|-|---|--|---⌫|
uoi s a greua nt	---⌫|-⌫-----⌫-|
Silmepardone porl amorDiule	-||-|------|--||---|--|-|
Tantalisire	---||-|---|
etproiie tet ploret	-|------⌫|-|-----|
Keles liont werp i tet pard onet	|---|-|--|----⌫-⌫|-|----⌫---|
Ir eetdescorde e t maleuolentet .	--⌫|-|-------|-⌫|---|--------⌫|
Atantsentor nentke	----||-|---⌫---|-|
Etil remestto ssos	-|-|-----|--⌫|--|
sosle deg ret.	--|-|---⌫---|
Disetsiet ansi a	--|-|---|--|||
sic onuierset	-|-⌫--------|
Etautre t ant enAlislechitet	-|-----⌫-⌫--|-|---|-|-----|
deuinnedec ar	-|--|-|-|-⌫-|
Nonkesnus hon	|----|--|--|
ned euitsebontet.	-|-⌫---|-|------|
Oruintl itiermes a	-|---|-⌫|------||
chelb oneuret	---|-⌫------|
Kesit rauailliiérentpresentet	-|-|-⌫-----|-|------|--------|
re g neIe suwerr edonet.	--⌫-⌫-|--⌫-|----⌫------|
Priesest se	----|--|-|
finssique trésbienle	---|-|--|----|---|-|
Senbonsierganta aluiapielet.	--|--|-------|||--|-------|
Frére fait	-----|---|
ilio u morrai	-|--⌫|-----|
Ne telai ra ineargen tne	-|-|---⌫--⌫|-|-----⌫|-|
nenaifo rske	--|-|--⌫-|-|
chelsoltap in.	---|--|---⌫--|
MaisDamediuskiamasai nt M a rti n	---|-------|-|--|---⌫-|-⌫-⌫---⌫|
Porlemantielkildonaa u frarin	--|-|------||-|---|-⌫|-----|
IIl e te mireauiorde tendefin	-|-⌫|-|---|-|--|-|--|----|
Or mequier fréreet encre e t parcemin	-|-|----|-----|-|----|-⌫|-------|
Si escrir aiunp etitde	-|------⌫-|-|-⌫---|-|
uolentierschi er t esbelfrérepelerin.	---------|---⌫--⌫-⌫-|--|-----|-------|
Libon s siergans............ .....	-|---⌫|--------------------⌫----|
Kantil ententkedoit alerde uie	---|-|-----|-|---|---|-|--|
pierdras esaintecompa ignie	------|-⌫|-----|-----⌫----|
T r esicheleh oreke lprist	-⌫-⌫-|-----|-⌫--|-||----|
enmainburnie	-|---------|
bienseuolent etemplie	---|-|------⌫-|-----|
Onk esni olmautalentne	---⌫-|||-|--------|-|
P ageu0 1P307	-⌫-----⌫----|
Neale mortne l	-||-|---|-||
ueu t corechier	---⌫|--------|
Lenc rel ia destrempéeetboulie.	|---⌫-|-⌫||----------|-|------|
lecar tremout tost	-|---⌫--|---|---|
Etlisainshon	-|-|----|--|
si escristens seuie	-|------|--|-|--|
enle siuebaillie	-|-|---|------|
Ke nep uistie str eue u e neoie	-|-|-⌫---|--⌫---⌫|--⌫-⌫|-|--|
Tr ueskeliarme soitdoucorsdep artie.	--⌫----|-|---|---|--|---|---⌫-----|
Kan totlisireescrit etembreuet	---⌫|-|-|---|-----|-|-------|
Tre sto tles iéc leke	---⌫---⌫|-|-⌫----⌫-|-|
ila d emenet	-||-⌫-----|
Et coupe dit e	-|----|---⌫|
etsenpecietploret	-|--|-----|-----|
Etpris le corsdont n os somes	-|---|-|---|---|-⌫-|----|
Don t l i tramist	---⌫|-⌫|------|
liroisdemaistet	-|---|-|------|
Le u oisdouc hiel	-|-⌫--|--|-⌫---|
con forte t.	---⌫-----⌫-|
Choudist l iu o isachelbon euret	---|---|-⌫|-⌫-⌫-||---|---⌫----|
uienent cier fréren os ire ta mande t	---|--|---|-----|-⌫|-⌫--|||-----⌫|
Porcui tuast en	--|--|-|-|-⌫-|
gentc orssip enet	---|-⌫--|-|-⌫---|
si erui tseloncseuolente t	--⌫----⌫|-----|-|-------⌫|
K enpa radisatenlit estoret .	|-|--⌫----||--|--|-------⌫|
Puisireuintuneautre uoiscantant	---||-----|--|----|---|------|
Ke totoirent lipet it etli	-|--|-----|-|---⌫-|-|-|
Kiacheliora Rom eerent uiuant	-||---|--||---⌫|----|-----|
Ch o udis tliuoisPeceor	--⌫-⌫|---⌫|-|---|-----|
n onsaçant	-⌫--------|
Ca r alésquierre	--⌫|----|------|
leDamediu sier gant	-|------|----⌫---|
aRom eentr e	|---⌫|----⌫|
uosl anguissant	--|-⌫---------|
Kidoittransirdeche l	-|---|------|-|---⌫|
siécl edolant	------⌫|-----|
odl esa ngelescantant	-|-⌫-|-⌫-----|------|
Lasus elchielel	-|--|-|----|-|
regnedemanant.	----|--------|
S osuns degr és letrouer ésg isant	-⌫-|--|----⌫--|-|------⌫--|-⌫----|
Sor unena tea	--|--|--⌫-||
loidem endian t	--|-|-⌫------⌫|
Seliproiiésa	-|-|-------||
Dame diule	----⌫--|-|
uossoit aida n s de	--|---|----⌫-⌫|-|
che l ioren auant	---⌫|--|-|----|
uos war isse d ou	--|---⌫---|-⌫-|
dragon so duiant	-----|--⌫-----|
uostra ieeninfie rlepuant.	--|---⌫-|-|-----⌫|-|-----|
Chilki l entendenten uontmout sospirant	---|-||--------|-|---|---|--------|
al autreachierte sdemandant	||----|--------⌫|--------|
P ageu01 P308	-⌫------⌫---|
sainscorspuetiest re c hele ́s tan t	----|---|---|----⌫-|-⌫----⌫-|---⌫|
Dontli uois Diu uait parRome	---|-|---|--|---|--|---|
cr i a nt.	--⌫-⌫-⌫--|
Sai ns I nnochensesto itdoncapos t oles	---⌫-|-⌫-------|----⌫-|---|----⌫-⌫---|
Ac aireset	--⌫----|-|
lis iensfréreHono r es	-|-⌫---|-----|----⌫-⌫-|
Estoien troi ad on ca chel	-------⌫|--|--⌫--⌫||---|
S i ont mand etdeRometos	-⌫|--|----⌫-|-|---|--|
lesordenes	--|------|
Ettotle p uele les mauuaiset	-|--|-|-⌫---|--|------|-|
Silorrequièrentconseil de chesteco se.	-|--|----------|------|-|-----|--⌫--|
Sains Innoche nsestmo utespoentés	----|-------⌫-|--|--⌫-|---------|
Odsenclergietestale	-|--|-------|--||-|
t iere alé s	-⌫---|----⌫|
Dientlo rsau messi	----|--⌫|---⌫--|-|
ontl orcansl eués.	--|-⌫-|---|-⌫-----|
Etl idoi roikeiouuosai	-|-⌫|--|--|-|--|--|-|
Ettos li p ueleski la est asemblés	-|--|-|-⌫----|-|-|--|--------|
Pr oié rentD iupa r gra ns humilité s	--⌫----⌫---|-⌫-|--⌫|---⌫-|---------⌫|
Ki l l ordem ostre parles	|-⌫|-⌫-|---⌫----|--|--|
siues bontés	----|------|
Ou chissai ns	-|---|---⌫-|
honporaiestre troués.	--|---|-----|-------|
Iluec onttantde granssospirsgieté s	----|--|---|-|----|------|------⌫|
Kenostre sireparle ssiue s bo ntés	-|-----|---|--|--⌫|----⌫|--⌫----|
L esatrésb ien pars euois	-⌫-||----|-⌫--|--|-⌫|---|
con fortés.	---⌫-------|
C houdis t l i	-⌫--|---⌫|-⌫|
uois Tropi estés	---|---||-----|
S empresserali co rssains	-⌫-----|---|-|--⌫-|----|
Ale maison Euf emienlot dro it.	|-|-----|---⌫----|--|---⌫--|
