qui mul tdolenz en	--|---⌫|-----|-|
esto ite ntré en liai nsis	----⌫-|-⌫----|-|-|--⌫--||
repair aladamo isele g arieetse nee	------⌫|-|----⌫----|-⌫---|-|--⌫--|
etdeliureede lennemiet de	-|-------|-||-----|-|-|
l enm orau	|---⌫-|-|
pa r q u eleauoit est émalm enee	--⌫|-⌫|--|----|---⌫-|----⌫---|
biens a chi ezque l i	---|-⌫-⌫---⌫-|--|-⌫|
s ainz hom dont	-⌫---|--|---|
uo soez l a	--⌫|--|-⌫|
uienestoitmie	--||-----|--|
queneuztant so lementen la terrede	------|---|--⌫-----|-|-|----|-|
p alestine neescitez	-⌫-------|-|-|----|
desyr e ned	-|---⌫|-||
egypte p ar	-----|-⌫-|
sesmiraclesmeses	--|-------|--|-|
lontaines contreesertausi	--------|-------|--|---|
espandul a bonereno meeetcogneue	------|-⌫|---|----⌫--|-|------|
uncheualiersestoit adonc	-|---------|-----|----|
tens d ecorsmult	---|-⌫|---|---|
etde men bres siestoitdela	-|-|---⌫---|-|-----|-|-|
con pa ignieetdelamaisnie lempereo r	---⌫--⌫----|-|-|-|------||-------⌫|
costanciea ce l	--------||--⌫|
ch eualierestoitli	--⌫------|-----|-|
deables entrez el corstres	------|-----|-|---|---|
s anf ancequ i parnuit	|---⌫---|--⌫|--|---|
lofaissoit	-|-------|
ulerendorman tet	---|-|------⌫|-|
etplaindreetles denz en semble	-|-------|-|--|---|--⌫-----|
est ra indre etdeme nertrop	---⌫--⌫----|-|----⌫--|---|
mal e uiecil uint alemperaorsi li	---⌫|--|--|---|||-------|-|-|
requist congie	------|-----|
en lat erredes yreet	-|-|-⌫---|-|-⌫--|-|
l i mostra l	-⌫|-----||
ocois on p ar qui liempereres	-----⌫-|-⌫-|--|-|--------|
lio troiaetli	-|-⌫----|-|-|
cheuali ers pris t	-------⌫--|----⌫|
lesletresd el	--|-----|-⌫||
empereorau	-------|-|
conte depa lestineque s il auoit	----|-|--⌫------|--||-|----|
mestierdaie	------||--|
nede conseil	-|-|------|
ne da utre c hoseen	-||-⌫---|-⌫---|-|
la co n tre eq uilne	-|--⌫-⌫---⌫|-⌫|-|-|
li faillistmieetlo rs	-|-------|--|-|--⌫-|
mut licheualiersa granthonor et	--|-|---------||----|----|-|
agrant c onpaignieet ala	|----|-⌫--------|-|--|
tant p arsesi orne esqu	---|-⌫-|--|-⌫----⌫-|-|
ilu inten la	-|-⌫--|-|-|
c itede ga se	-⌫--|-|--⌫-|
q uan tilfuuenuzet	-⌫---⌫|-|-|----|-|
dema nda a	----⌫--||
uil ea usaint	---⌫|-⌫|----|
moin es abitoit cil	----⌫-|------|--|
delacite fur ent t uit	-|-|---|---⌫--|-⌫--|
esp oant e zqua r	---⌫----⌫-⌫|---⌫|
ilcuider entque l	-|------⌫--|--||
emp ereres leust enuoi épo r ce	---⌫-----||---|-----⌫-|--⌫|-|
fustco rrociezd	---|--⌫------||
aucune cho se	-----|---⌫-|
home s i sen alerent	---|-⌫||-|------|
alabaie por seruir locheualier	||----|--|-----|-|--------|
tantquesilestoitcorrociez	------||-|-----|--------|
rienquillo rapaiassent li	---|-|-|-|----------|-|
s ainzhomaloit adonttot	-⌫---|--|----|----|--|
u nse ntie r se loncl a marine disan t ses	-⌫|--⌫----⌫|--⌫---|-⌫|-----|-----⌫|--|
psalmeset s esoroiso ns	------|-|-⌫-|------⌫-|
quanti l uitsi	----|-⌫|--|-|
gran t torbe sde	----⌫|-----⌫|-|
ge nt uenircontre	--⌫-|----|-----|
s a restaetci llo saluerent	|-⌫----|-|--⌫|-|--------|
etil lorfist	-|-|--|---|
apres commanda atozce us qu ila	----|-------||--|--⌫-|--⌫|-|
estoientuenu	-------|---|
alass en t e tloche ualieretsa	-----⌫--⌫|-⌫|-|---⌫-----|-|-|
maisniee con me nda il que a	-------|---⌫--⌫--|-|--||
demorerquartantostcomillo	------|---|------|--|-|-|
sot illocoison desa	--|-||------|-|-|
maintena ntq ue l i	--------⌫---⌫-|-⌫|
sain zh omliot	----⌫|-⌫-|-|-|
deman de ́ don t	-----⌫--⌫|---⌫|
iluenoitfu	-|-----|-|
pen d uz en l air	---⌫-⌫-|-||--|
athocha stdespiez	-------⌫-|--|---|
a terree tsi	|----|-⌫|-|
con me ncamult	---⌫--⌫--|---|
d urement amuire et	-⌫------||----|-|
respondi ensy rienlangage	-------|-|--⌫---|------|
dontdontlis a inz hom	---|---|-|-⌫-⌫--|--|
aparlélor suehis soitmeruoill eis	------|---⌫|-----⌫---|--------⌫--|
qu arlaboche qui	--⌫-|-|----|--|
nesauoit si	-|-----|-|
francoisnonetl at in parloit	-------|--|-|-⌫--⌫-|------|
pu rement siryenparolequerien	--⌫-----|-----|-----|--|---|
fai llo itetque	---⌫---⌫-|-|--|
encellangage que ceert lidiables	-|--|------|--|-|--|-|------|
regeissoit	---------|
p arquel man iereiliest oitel	-⌫-|---|---⌫---|-||---⌫--|-|
cors de l cheualie r et qan t	---|--⌫|--------⌫|-|---⌫|
totce racontéensyrien langagel i	--|-|-------|-|-----|------|-⌫|
sai nz ho mlifistreclireen gre u	---⌫-|--⌫|-|---|------|-|---⌫|
por cequ ecilqu i	--|-|--⌫|--|--⌫|
estoituen ue tgr ieusauoientet	-----|---⌫|-⌫|--⌫--|-------|-|
enten dissentqu a nt	-----⌫------|--⌫-⌫-|
il o t mult	-|-⌫|---|
par léentele menieredeparole et	---⌫--|-|---|------|-|-----|-|
sesars demos treeet	--|--|-----⌫---|-|
dites plusors	----|------|
meniereslisainz homlidist	-------|-|----|--|-|---|
ien aicureconmen t	-||-|---|------⌫|
entrassesmesiet econmant	--------|--|-|-⌫|------|
elnom deih esu	-|--|-|--⌫--|
cristquetuen	----|--|-|-|
i sses maintenantesi li	-⌫---|---------|--|-|
delcheualierqueplus	--|--------|--|---|
licheualiers	-|---------|
de mena multgrant	--⌫---|---|----|
s a maisniea usi	-⌫|------|-⌫--|
liuresdorau	-----||-|-|
sai nthom e	---⌫-|---⌫|
nenuoltnoient r ecoiure	|-|---|-----|-⌫------|
l ich eua lierliproiaqueli	-⌫|--⌫---⌫---|-|----|--|-|
donast desauiandetele com	-----|-|-|-----|---|--|
mainioi t etl is ainzhom	-------⌫|-|-⌫|-⌫---|--|
aporter unpaind	------|-|---||
org e etsi	---⌫|-|-|
lidistquecil q uide teleuiande	-|---|--|--|-⌫-|-|---|-----|
uiuoientnauoientplu s	-------||------|---⌫|
cured or ned	---||-|-||
argentqueldebien	-----|---|-|---|
terrequantlis ainz	----|----|-|-⌫---|
ditsipristleche ualier	--|-|----|-|---⌫-----|
congiealuietrep airaensa	-----||--|-|---⌫---|-|-|
uosaieditunpoides	--|--|--|-|--|--|
mirac les que lisainz hom	-----⌫--|--|-|----|--|
fis t a shomeset a u famesapresuos	---⌫|-⌫|----|-|-⌫|----|----|--|
conteraiquen otresir efist	-------|--|-⌫---|---⌫|---|
por luiasbestes	--|--|-|-----|
forseneesesto ient chac unior	--------|----⌫---|----⌫-|--|
ameneesausainthomeporcequela	------|-|----|---|--|-|--|-|
grant misericordeetlagrant	----|----------|-|-|----|
de nostreseignori f ustpar	-|-----|------||-⌫--|--|
demost reeadoncauintque plusde	------⌫--|----|----|--|---|-|
yyh omesiamenoient	-|-⌫---||--------|
zzchame lmult	-|-----⌫|---|
grantcuili diables estoit	----|--|-|------|-----|
entrez elcors et	-----|-|---|-|
ertde sigr ant	--|-|-|--⌫--|
de suerieplai n squa	--⌫-----|----⌫-⌫|-||
por roit lon	---⌫---|--|
cont er nedirecil	----⌫-|-|---|--|
ame neren tlauo ien tl ié	---⌫-----⌫||---⌫---⌫|-⌫--|
cordeslich amelsertgran t et	-----|-|--⌫----|--|----⌫|-|
espoantable setlesi auzli	-----------⌫|-|--|-⌫--|-|
est oient uermoil conme	---⌫----|------|----|
ardant etgitoitesc umeparla	-----|-|-----|---⌫--|--|-|
goleets i mu oit et braioit	---|-|-⌫|--⌫--|-|------|
orri blementtantostcomil	----⌫------|------|--|-|
ame nezdeua n t	---⌫--|----⌫-⌫|
sainty l arienetillo	----|-⌫-⌫----|-|-|-|
uitsi con mandaque	--|-|---⌫----|--|
quil o tenoientlodeslias s ent	--|-⌫|-------|-|-------⌫-⌫--|
etlolaissassentalercil	-|-|----------|---|--|
so nconmandement ettantosttornent	--⌫|-----------|-|------|------|
tuite n fuiequ il n i	---|-⌫|---|-|-|||
oserent a re ster	------|-⌫--⌫---|
sainzhylariens	----|--------|
ala encontretoz	--|-------|--|
lidist ensyri en langage	-|---|-|----⌫-|------|
di ablesqu i	--⌫----|--⌫|
esentrezensigranz	-|-----|-|-|----|
co rs d e beste s achiezb ien quepar	--⌫-|-⌫|----|-⌫-----|-⌫--|--|--|
luinemeespoante rastu mie	--|-|-|--------⌫--|-|--|
quariesai bienquenie ntautres	---|-|--|---|--|---⌫-|-----|
chamel elne	------⌫-|-|
ni asplu sde f orceque	||-|---⌫|-|-⌫---|--|
tuauerois enu ne petite	-|------|-|-⌫-|-----|
bestelete endementiersq uildiso it	--------|-------------⌫|-|----⌫-|
ceau oitiltendueslesma ins	-|--⌫--|-|------|--|--⌫--|
cont relabeste	----⌫-|-|----|
lui ue noit	--|--⌫---|
to t ausicoms i lledeust	--⌫|---|--||-⌫|-|----|
ma intenantdeuorer	--⌫-------|------|
etquanteleparui nt	-|----|--|-----⌫-|
chai ate rre	---||--⌫--|
etfuausi paisib l eetausisoef	-|-|---|------⌫-⌫|-|---|---|
comeleauoit estédeua nt	--|--|----|----|----⌫-|
derueelorsdistlisai nz homa	-----|---|---|-|---⌫-|--||
laestoi en tq ue	-|-----⌫--⌫|-⌫-|
te usestoitli	--⌫-|-----|-|
agaizdeldiable	----|--|-----|
et qu ilohaioittantetde si	-|--⌫|-|-----|---|-|-|-|
grantard or	----|---⌫-|
qu ilneuol oi t m i e tant	-|-|-|---⌫--⌫|-⌫-⌫|---|
sol lementausocire meslesbestes	---⌫-----|--|----|--|--|-----|
etlesc hosesquia eusestoient	-|--|-⌫----|--||--|-------|
ens enmentetsi lormostroitbel	---⌫-----|-|-|--|-------|--|
q ue ainc oisquen ostr esireli	-⌫-|----⌫-----|-⌫----⌫|---|-|
laissastiop	-------|--|
son serf tempte rot	--|---|------⌫|-|
iltotesses	-|----|--|
betesoccisese t ses	----|------|-⌫|--|
sustancesdestruit eset sesautres	--------|--------⌫-|-|--|-----|
richoi ses etq ue bien	------⌫--|-|-⌫-|---|
souenirdece que parlo	------|-|-|--|--|-|
coman d ement nostreseign or	-----⌫-⌫----|-----|-----⌫-|
siconme la	-|----|-|
deuineescri turetesmoig ne	-----|-----⌫---|-------⌫-|
a uoie nt lideab l eyymile po rs	-⌫----⌫-|-|----⌫-⌫|-|---|--⌫-|
il entrées toient	-|-----|--⌫-----|
bien sa chie zseignorsq ui	---|--⌫----⌫|-------|-⌫-|
escout ezetent e ndez la uie	------⌫-|-|---⌫-⌫---|-|--|
saintylarienqueaincoisme	----|------|--|------|-|
faudr oitelcorslauie	-----⌫--|-|---|-|--|
nesesmiracles araconter	-|--|-------||-------|
uoloiedi ree t or er	-----|--⌫-|-⌫|--⌫-|
il estoitparn o stre	-|-----|--|-⌫-⌫---|
se ignorsi	--⌫----|-|
elleuez engrantgloiree t ensi grant	------|-|----|-----|-⌫|-|-|----|
r enomeequesainzanthoin esqui encor	-⌫-----|--|----|-------⌫-|--|----|
adonciue noitet	----||--⌫---|-|
saintesouresoitpar leret	------|----|--|---⌫--|-|
boneuie l ienuoiot seslet r e s	---|--|-⌫|------|--|---⌫-⌫-⌫|
beni gnemen t etr ec euoi taus iles	----⌫------⌫|-|-⌫--⌫----⌫|---⌫|--|
soesetceer td e grant am or	---|-|-|--⌫|-⌫|----|--⌫-|
se nefia nceet	--⌫-----⌫--|-|
qua nt parau enture	---⌫-|--|--⌫-----|
uenoi ent a	-----⌫--||
antho ines d esdar raines partie sde	-----⌫---|-⌫-|---⌫-----|------⌫|-|
syre illo rdisoitpor quoi	---|-|--⌫|-----|--|---|
u osies tesuosdesiloig	-⌫-||--⌫--|--|-|-|---|
trauail lié dont n e stoit	-------⌫---|---||-⌫----|
enu o stre	-|-⌫-⌫---|
parexempledesaintylari en	--|------|-|----|-----⌫-|
co nmencale n aasto rne r plusors	--⌫-----|--⌫||----⌫---⌫|------|
cite depalestineettuit li	---|-|--------|-|---|-|
moineuenoien ta luide	----|-------⌫||--|-|
multes partiesl isainz ho men	-----|------|-⌫|----|--⌫|-|
looit nostre seignoretrendoit	----|-----|------|-|------|
graiceset siles enortoit tozde	------|-|-|--|-------|--|-|
fa ire lesoures	--⌫--|--|----|
qui fus sent	--|---⌫---|
etasalu d elo r ames	-||---|-⌫|--⌫|---|
lordisoitque	--|-----|--|
tostestoit	---|-----|
l a f i guredecest monde	-⌫|-⌫-⌫---|-|---|----|
tresp aseeet	-----⌫---|-|
quenla parmenablegloi re	-|-|-|---------|----⌫-|
estoitlaue rai e uiequiiane	-----|-|--⌫---⌫|--|--|-|-|
p renroitfinets i	-⌫------|--|-|-⌫|
esemp le domilit eetdeseru i ce	-----⌫-||------⌫|-|-|----⌫-⌫-|
reteni s sent et	------⌫-⌫---|-|
feis sent quan tilseroit	----⌫---|----⌫|-|-----|
cesteuietrespassez	----|--|---------|
chacunanaloitlis ai nz	-----|-|----|-|-⌫--⌫-|
uisetertotesles	------|----|--|
ce lles quien	--⌫---|--|-|
syre est oienten	---|---⌫----|-|
iors qui a ce faire	---|--||-|----|
esto ien tass iset de uisé	----⌫---⌫|---⌫-|-|--⌫----|
quantl ifrereconurentceste	----|-⌫|----|-------|----|
c os tume il uindrenta l uitotes	-⌫--⌫---|-|-------||-⌫-|----|
par zetaloient	---⌫|-|------|
ens embleluipar	---⌫----|--|--|
tot esl esaba ies et portoient	---⌫-|-⌫-|---⌫--|-|--------|
toteslor uiandesa au ec eusc omil	----|--|------||--⌫-|--|-⌫-|-|
auoient acostumeesauser	------|---------||---|
quar il erentensembletelhore	---|-|----|-------|--|---|
estoit pr es yymile mes	-----|--⌫-|-|---|--|
apres cequeli	----|-|--|-|
tensemield raet l a	---|------⌫-|-|-⌫|
loin ostreseign orc rut et	--|-⌫----|-----⌫-|-⌫--|-|
chacuneu i l equi	------|-⌫-⌫-⌫|--|
estoit abeie	-----|----|
a bitoient lor	-⌫-------|--|
apo rtere nt uiand esasezquant	---⌫-----⌫-|-----⌫-|---|----|
ylariensetsaconpai gnieiuenoit	-------|-|-|------⌫---||-----|
trespassoitunqu es	----------|----⌫-|
frere quil	----|-|-|
menastuiesolitaire	-----|--|--------|
hunles nepou resquilnele	-----|-|---⌫--|-|-|-|-|
uisetas ten bienetbonedoctrineet	-------⌫|-|---|-|---|-------|-|
tantqu ila uint unefoizqu	-----|-|-⌫---|--|---|-|
eldes ertporzzde ses	-|---⌫--|--|-|-|--|
di scip lesuiseter e t d on t	--⌫----⌫--|------|-⌫|-⌫--⌫|
paruintil alagra n t conpaign ieen	------|-||-|---⌫-⌫|--------⌫-|-|
uilequicluse estoit	---|--|----|-----|
apeleeen un ior quetuitcildel	-----|-|-|--|--|---|--|--|
chas t el faisoientgrant	----⌫-⌫-|--------|----|
deuss equil	-----⌫|-|-|
ao roientquantcilde	--⌫-----|----|--|-|
oiren tet sorentquesa int	-----⌫|-|-----|--|--⌫--|
ylariensqui maintsarrazin auoit	-------|--|----|-------|----|
deliurédeldiabletrespass oit	-------|--|-----|--------⌫--|
p ar iluequesilissire nttui t	-⌫-|-------|-|------⌫-|---⌫|
ensembl ehomes e t famesetanfa nz	-------⌫|----|-⌫|----|-|----⌫-|
fors encontrel uietq uant il lo	---|-------|-⌫-|-|-⌫---|-|-|
ui renti lconmenc ierent	--⌫---|-⌫|-------⌫-----|
chief aabaissiereta hauteuoz	----||--------|-||----|--|
et diree nsyr i enlangageceest	-|---|-⌫|---⌫-⌫-|------|-|--|
direb eneiconlisainz	---|-⌫------|-|----|
lorotroiabenigne m ent	--|-----|-------⌫-⌫--|
conmen caa proier etamostrerqu	------⌫-||-----|-||------|-|
ilao rassent nost rese ign o re t	-|--⌫------|----⌫-|--⌫---⌫-⌫|-⌫|
laissassentlor	----------|--|
f ausesydeles oui l	-⌫----|-----|-|-⌫|
f aissoientsacrefi cessiconi l lor	-⌫--------|-------⌫--|-|--|-⌫|--|
dis oitce et amone stoit	---⌫--|-|-|-----⌫----|
i lregar doi t uers loci el t ot en	-⌫|-----⌫---⌫|---|-|--⌫-|-⌫-|-|
plorantetsilorauoit en co uant	------|-|-|--|----|-|--⌫---|
quesile n i hesu crist cre oientil	--||-|-⌫|-⌫---|----|---⌫----|-|
uendroit mult souenta	-------|---|-----||
or p orr oi t oirmeruoilleset grant	-|-⌫---⌫--⌫|--|---------|-|----|
gracedenostre seignorquiel	----|-|-----|------|--|-|
sainthonme	----|----|
estoitq uarunquesnele	-----|-⌫--|-----|-|-|
laissierentissir del cha stel	----------|----|--|---⌫---|
iusqua tantquil ot renduela l igneet	----|-⌫-----|-|-|-----|-|-⌫---|-|
deuiseelamenieredune	------|-|------||--|
s aint e iglisefai re etmist	-⌫----⌫|-----|---⌫-|-|---|
prest r es	-----⌫-⌫-|
quiiluec demoroientp or	--|----|---------|-⌫-|
fairel oseruisede nostres e ignoret	----|-⌫|------|-|-----|-⌫-⌫----|-|
e si gnier ace ls	-⌫--⌫----||--⌫-|
la l o iihesu	-|-⌫-⌫|----|
cristquinientne sauoientquant	----|--|----|-|-------|----|
t otce futfaiteto rdene ́ li	-⌫-|-|--|---|-|-⌫-----⌫|-|
s ainz h om	-⌫---|-⌫-|
se parti delaet	-|----|-|-|-|
a la la uo iequ il auoit	-⌫-|-|--⌫-|-|-|----|
e ntr e pri sse	-⌫---⌫-⌫---⌫--|
enunautret ensap resce	-|-|----|-⌫--|--⌫--|-|
sainzylari ensse remistala	----|-----⌫--|-|-----||-|
u oie p oraleruiseterl esabai essicom	-⌫--|-⌫-|---|------|-⌫-|----⌫-|-|--|
ieuosa dit	-|--||--|
deuant quil	-----|-|-|
so loitfairemultent e ntiument	--⌫---|----|---|---⌫-⌫-------|
deuisaasesfreresens embl eles	-----||--|-----|---⌫----⌫|--|
queusilare steroitplus	----|-|---⌫------|---|
longueme ntporlagranttor besdes	--------⌫-|--|-|----|---⌫--|--|
gensqi siueoientsacompaignieli	---|-|--------|-|---------|-|
fr ereli distrentq uilalas t	--⌫--|-|-------|-⌫|-|----⌫|
herbergieraueczzmoinequ ien lauoie	---------|---|-|----|--⌫|-|-|---|
estoitquaril n auoit	-----|---|-||----|
unquesestéason ostel si	-----|----||--|----|-|
cuidoientcilmoines si ert	--------|--|-----|-|--|
mul teschars	---⌫|------|
degrantmeniereet por	-|----|------|-|--|
cepri oiet lifrer e	-|---⌫---|-|----⌫|
sainzylarienq ui l ialast	----|------|-⌫|-⌫||----|
sain z hom	----⌫|--|
ialat emp rast	-||--⌫---⌫---|
de cemauuaisuice	-|-|------|---|
qui enl uiestoit	--|-|-⌫-|-----|
si lorrespondiporqu oiuo lez	-|--|-------|--|--⌫-|--⌫--|
u os faire c ho sequine	-⌫-|----|-⌫--⌫-|--|-|
miepl aissantet qui	--|--⌫------|-|--|
ouuo s n e	-|--⌫|-⌫|
uol ezfa ire	---⌫-|--⌫--|
nuissable lefreredecui il	--------|-|----|-|--|-|
parolentesto itenla	-------|----⌫-|-|-|
conpaignie	---------|
ensembleles	-------|--|
autres qu ant i l oi	-----|--⌫--|-⌫|-|
issipar lerlo	---|---⌫--|-|
s aintho me s i	-⌫---|--⌫-|-⌫|
enr ougiet	-|-⌫---|-|
o t grant honte	-⌫|----|----|
nonporq ua ntproia	-------⌫--⌫-|----|
iltantparlaie	-|---|--||--|
autresquelisainz	-----|--|-|----|
m ult a enuuiz qu il iroi t a	-⌫--||-----|-|-|----⌫||
sabaieapres	|----|----|
ceuindrent ilala	-|-------|-||-|
mai soncel uiaudisime	---⌫--|---⌫-|-|-----|
tu itensemblecilmoineauoient	--⌫-|-------|--|----|------|
uneuingne enq u el i	--|-----|-|-⌫-⌫-||
mistgar desausi	---|---⌫--|---|
conmeauneuile po r	----||--|---|--⌫|
lesfrere s quilaest oientue nu	--|-----⌫|--|-|---⌫----|--⌫-|
laui engn eestoit	-|--⌫----⌫|-----|
tote meure	---|----|
siconmeoute ns de	-|----|-|--⌫-|-|
uendengesla nu itiutlasai nz	--------|-|--⌫-|--|-|---⌫-|
ylariens ensem bles agra nt con pagni e	-------|-----⌫--|-⌫|---⌫-|---⌫-----⌫|
etse nul d esfreresuoloitaler	-|-|--|-⌫-|-----|-----|---|
alauingn e por d es	|-|-----⌫|--|-⌫-|
roisinsmengierlesgardes l o	------|------|--|-----|-⌫|
desfendoie nteta chailous	----------⌫-|-||-------|
e t a rochesdont ille s	-⌫||-----|---|-|--⌫|
espoanto ien t	--------⌫---⌫|
lamati ne esen	-|----⌫--⌫||-|
alerent t uit	------|-⌫--|
sancz cequedesresin zeusent goste ́	----|-|--|--|-----⌫|-----|-----⌫|
sa inz ylar iens en sour istet si	--⌫--|----⌫---|-|----⌫--|-|-|
f ist sembla ntquede totcene	-⌫--|------⌫-|--|-|--|-|-|
se ustrien	--⌫--|---|
apresherbegiere nt	----|----------⌫-|
nuitchies unautremoinequi mult les	---|----|-|----|----|--|---|--|
re cu ta iemablemen tsaba s	--⌫--⌫|-⌫----------⌫|----⌫|
estoita pelez porce	-----|-⌫----|--|-|
omdoitlonond e	-|---|-|--|-⌫|
l ar ge ho meamentour e e	-⌫--⌫-|--⌫-|--------⌫-⌫|
et lenonde	-|-|--|-|
es charsdoitlentair e	--⌫----|---|--|----⌫|
quaresch ar	---|----⌫-|
hom q ui aa uoir ne	--|-⌫-||-⌫---|-|
doitnul leloange	---|---⌫-|-----|
descharsete uientauariceque	|---------|----|------|--|
deusheitplus	---|---|---|
quen uleuice	--|-⌫--|---|
siconm e tozseuent uer aieme n tce	-|----⌫|--|-----|---⌫-----⌫-⌫|-|
uosuoiltre spasser	--|---|---⌫------|
briementquar nestorsleus	-------|---||--|--|---|
c edescrire queliauer	-⌫|-------|--|-|---|
nena nie ntir equartostce	|-||---⌫-|--⌫|---|---|-|
ena ir roi entquant lor	-|-⌫--⌫---⌫--|----|--|
chatiue te uerrontet	-------⌫-|------|-|
lesdolor squi	--|-----⌫|--|
les aten tsi li escriture	--|----⌫|-|-|--------|
nementd iimenchesestoitl o	-|---|-⌫--------|-----|-⌫|
ior quesainzylariensuint	--|--|----|-------|---|
alostell o moine qui si	||----|-⌫|----|--|-|
largeme nte t	-------⌫-|-⌫|
sibenignemen tloherberia	-|----------⌫|-|-------|
porce distlim o ineas	--|-|---|-|-⌫-⌫--|-|
f rere squi	-⌫----⌫|--|
u e n uz e sto ientenla	-⌫-⌫-⌫-|-⌫---⌫---|-|-|
conpaignie	---------|
dos ainthome	-|-⌫---|---|
quil ala ssenten sa	-|-|---⌫----|-|-|
ui gnequi t ote	--⌫--|--|-⌫--|
sime niassentdes ro isinset	-|--⌫-------|--|--⌫----|-|
repossassent	-----------|
q uantsainzylariensl oiissi	-⌫---|----|-------||-|---|
parleri llidist	-----|-⌫|-|---|
maleizquipremier squiert	-----|--|-------⌫|-----|
refectionde lcorsque	--------|--⌫|---|--|
d arme mesfaisons no zoroi sonssi	|---|--|------|--⌫|----⌫---|-|
dis omesnozores	---⌫---|--|---|
etr endons adie ce que nosli	-|-⌫-----||--|-|--|--|-|
deuon setapre sirez	-----⌫|-|----⌫|---|
e nlauingnetuit li frerefirent	-⌫|-|-----|---|-|----|-----|
locon mendementdelor	-|---⌫--------|-|--|
saint pe re quantil	----|--⌫-|----|-|
l orent finé	|----|----|
lorofficesainz ylaries be nei	--|-----|----|------|--⌫--|
l a uigneetpuissidi sto ripuent	-⌫|----|-|---|-|--⌫-|-⌫||----|
bie nalers iuoelent	---⌫|---|-⌫|------|
et ilsifir ent	-|-|-|---⌫--|
b iensachiezqu	-⌫--|------|-|
ile stoie nt ensemb leatout	-|-⌫-----⌫-|------⌫-||---|
pre sde yy milequituit	---⌫|-|-|---|--|---|
furen tenlauig neet desroisins	-----⌫|-|-|---⌫-|-|--|------|
mengi erent asez	-----⌫----|---|
et d euantce quilentrassent en la	-|-⌫----|-|-|-|---------|-|-|
uignepoo itlenbien	----|---⌫-|--|---|
a ffiner louin	-⌫-----|-|--|
q uiestot as paranz	-⌫-|----|--⌫-----|
mesureusteu scom ilauoit	-------|---⌫|--|-|----|
adonten lacontree yyiorsapr es	----|-|-|------|-|---|---⌫-|
ilor entesté	-|--⌫--|----|
uingneuendengie s eni	-----|--------||-||
recoillitlen yyc enzm uis neunque s	--------|--|-|-⌫--|-⌫--|-|-----⌫|
enn nau oiteletantpor téa	--||--⌫--|--|---|---⌫--||
foi zl iautresfre resqui	---⌫|-⌫|-----|---⌫--|--|
escha rsuendenia sauign e dont	-----⌫-|-------|-|----⌫|---|
il n auoi t laissiégos te la	-||----⌫|-------|---⌫-|-|
ma iniedo s a int hom esien	--⌫---|-|-⌫-⌫--|---⌫|-|-|
asezqu ilnauoitunques	---|-|-||----|-----|
eudeuant etc e quil ennot deuin t	-|-----|-|-⌫|-|-|--|-|-----⌫|
aisilsiconquesnenpoit	----|-||-----||-|---|
boiureetceste ch oses di s tsaint	-----|-|----|--⌫---|--⌫-⌫|----|
ylariesa ses frere s	------||--|-----⌫|
quele issi	-|--|---|
a uenroitdeuantcequ	-⌫------|-----|-|-|
lisainzhom	-|----|--|
es conmen ioitmult les	--⌫------⌫---|---|--|
moinesq uigardoie ntlor chose s	-----|-⌫-|-------⌫-|--|-----⌫|
parcouoitissee tqui metoi entlor	--|---------|-⌫|--|-----⌫--|--|
d ili genceetlorcureendespens	-⌫---⌫----|-|--|---|-|------|
ouen uesteures ou enautres chose s	-|-|--------|-|-|-----|-----⌫|
uainesqu itosts unt tresp assee	-----|--⌫|---|-⌫--|-----⌫----|
apr es cea uintc unsfr eres	---⌫-|-|-⌫---||--|--⌫---|
ac hataz z petitcorte l de denie rs	--⌫---|-⌫|----|-----⌫|-|-----⌫-|
il auoitie ne	-|----|-|-|
sai en que	--|-|--|
me niere il iest oientuenunepar	--⌫----|-||---⌫----|---|-|--|
queloureli sainz hom	---|---|-|----|--|
l ennau oit	|--|--⌫--|
contecu erne	-------⌫-|-|
neuoloit miequil	-|-----|--|-|-|
deuantluiuenist porce quil	-----|--|-----|--|-|-|-|
auoit fa i tecelechoseetsi	----|--⌫-⌫-|---|----|-|-|
l ifreres asez	-⌫|-----|---|
uenoitmultsouenta fr eres saint	-----|---|-----||--⌫---|----|
ylariesetparloit a	------|-|------||
eu slset a	--⌫--|-||
heseciumausi q ui	-------|---|-⌫-|
plusestoit	---|-----|
famili ersdelsainthomequenus	------⌫--|--|----|---|--|--|
des autressiparloit	--|-----|-|------|
a euslspor	|----|--|
ceq u ill or	-|-⌫|-|-⌫-|
rec ordassentetreconci liassent	---⌫--------|-|-------⌫-------|
ylarien un iorau intquecilfrer es	------|-|--|--⌫--|--|--|----⌫-|
aportaun fa isdechi ches	-----|-|--⌫-|-|---⌫---|
uerzpormengieraus	---|--|------|--|
freresquant	-----|----|
uin ta uespres	---⌫||------|
hesicius lesm ista l atable d eu ant	-------|--|-⌫--||-⌫|----|-⌫--⌫--|
sa intylarienetd euant	--⌫--|------|-|-⌫----|
les autresfrerestantostdist	--|-----|-----|------|---|
h omqu ilsentoit	-⌫-|-|-|------|
puor quilnelapooit	---|-|-|-|-|----|
soff rir s ideman dadont	----⌫--|-⌫|-----⌫-|---|
es toient uenueshesecius	--⌫-----|-----|-------|
resp ondiq unsfr eres les	----⌫---||--|--⌫---|--|
aporteesausfreres de laienz	-------|--|-----|-|-----|
