#META #Text URI BenTro ieC	-----⌫|----⌫--|------⌫--|
#M ETA#DEAFhttp//ww w.deaf-page.de/bibl/bib99b.php#BenTroieC	--⌫---|---|--------⌫---------------------------------------|
#META#TLTroie	-----|-|----|
#META# FEWBenSMaure	-----|--|--------|
#META#ARLIMAhttps//www.arlima. net/ad/ benoit_ de_sainte-m aure.html#tro	-----|-----|------------------⌫-------⌫-------⌫-----------⌫------------|
#META#AuthorBenoît	-----|-----|------|
des doni on s	--|----⌫--⌫|
Enuizsereitde l	----|-----|-||
es c outer	--⌫-⌫----|
Pa geu01P161	--⌫--------|
graindre delreconter.	-------|--|--------|
Ço est lafinnushom	--|--|-|--|--|--|
Ne uit s i	-|--|-⌫|
richesnesi granz.	-----|-|-|-----|
Q uantYlio nfuach euez	-⌫---|----⌫|-|---⌫---|
E Troielari ch e	|----|-|--⌫--⌫|
Grant ioie orent moutf ure nt lié	----|---|----|---|-⌫---⌫-|---|
sa crefi ie ́.	--⌫-----⌫--⌫-|
Gie us establiren t	---⌫-|----------⌫|
etrouerent	|--------|
Ou mainte feizsedep orter ent	-|-----|---|-|---⌫-----⌫--|
Onq ue s nefu	---⌫--⌫|-|-|
rich emaistrie	----⌫|-------|
Nafa ite menz	|---⌫---⌫---|
necorteis ie	-|-------⌫-|
D o nt lomeü s tde lit neioie	-⌫-⌫-||-|---⌫-⌫|--⌫--|-|---|
Que net rouass entcildeTroie	--|-|-⌫------⌫--|--|-|----|
Eschecetables	-----||-----|
I furent çosacheiz	|-----|--|------|
Em aintea utre	|-⌫----|-⌫---|
ueuredeportable	----|---------|
Pageu01P162	----------|
R iche euaillant	-⌫---||-------|
e delitab le.	|-------⌫--|
reis Prianzotçofait	---|-----|-|--|---|
Edesesueuresachief trait	|-|--|-----||----|----|
Sa cité u it	-|----|-⌫-|
f ort e enti ere	-⌫--||----⌫--|
Esaterrericheepleniere	|-|----|----||-------|
e li e usçoli	|--⌫-⌫-|--|-|
De requerresesenemis	-|-------|--|-----|
Ne potobli ërpo r	-|--|----⌫--|--⌫|
nu l plait	--⌫|----|
Le damage qui l li ont	-|-----|-|-⌫|-|--|
De sonpereedesa l igniee	-|--|---||-|-|-⌫-----|
Quilore n t morte e	-|-|---⌫-⌫|----||
ei ssilliee.	--⌫--------|
Iora asi s	--||---⌫|
deparlement	-|--------|
L e m i euz i	-⌫|-⌫-⌫--||
mandade sa gent.	----|-|-|----|
furen t tuit forsun	-----⌫|---|---|-|
Bon cheualierote n c hascun.	--|--------|-|-⌫|-⌫------|
Hecto rottramis senzes soine	-----⌫|-|-----|---|--⌫----|
Esgra nzparties de Pannoin e	-|---⌫-|------|-|-------⌫|
afaire porchacier	-----|---------|
Eae us leregneale i e r.	||-⌫-|-|----|---⌫-⌫-⌫-|
Oles autres qu otassemblé	|--|-----|-|-|--------|
Quisagefurente s ené	--|---|-----||-⌫---|
Pa geu 01P1 1 3	--⌫---⌫----⌫-⌫|
Seco nseill aco me	-|--⌫------⌫|--⌫-|
ild ut faire.	-|-⌫-|-----|
Oë zquil lorpristaretrai re	---⌫|-|-|--|----||------⌫-|
Seignorfait	------|---|
ilentend ez me i	-|------⌫-|--⌫|
uosquimamez	--|--||---|
pardreite fei.	--|-----|---|
Biensa ue z la	---|--⌫--⌫|-|
mesauenture	----------|
Elalaidedescon fitur e	|-|----|------⌫-----⌫|
Quel i Grez ei s	--|-⌫|----⌫--⌫|
parl oroutrage	--|-⌫-|------|
Firentden o str ebon	-----|-|-⌫-⌫---⌫|--|
Monp er eocistrentparnulfuer	--|-⌫--⌫|--------|--|--|---|
Ne menistreit	-||-|------|
Ne ne fera	-|-|---|
puis p rendr eretor.	---|-⌫-----⌫|-----|
u assau s a asoig nan tee	-⌫-----⌫||-----⌫---⌫--|
N elad eigneprendre amoillier	-⌫|-|-⌫----|------||-------|
en de itee nuier.	-|--⌫-||-⌫-----|
T ropes tgrantho nte elait	-⌫--|--⌫|----|--⌫--||---|
Quefill eareiest	--|----⌫||--|--|
enseru ag e	-|----⌫--⌫|
Io i aihont egran t elait.	-||-|----⌫|----⌫||----|
QuendireieTantnoso nt fait	-|-|-----|---|--|-⌫-|---|
Page u 01P164	----⌫-⌫-----|
Ianedeuons grantio ie aueir	-|-|-----|----|--⌫-|----|
Desc ique D eusnoslaistuee ir	----⌫|--|-⌫--|--|----|---⌫-|
Leiorquelorpoissiens	-|--|--|--|--------|
Çodonttantlesdeuonshaïr.	--|---|---|--|-----|-----|
Fortuileauons ebienguarnie	---|---|----||---|------|
Edeplusorsparzb oneaïe.	|-|------|---|-⌫--|----|
Moutfust bientensdeg uerreier	---|---|---|---|-|-⌫-------|
Ia n el loasse aporl oignier	-|-⌫-|-----||----⌫------|
Nefust porma s oro rraueir.	-|---|--|-|-⌫---⌫|------|
Ma i s primes	--⌫-⌫|-----|
noscouie ntsa ueir	--|-----⌫-|--⌫---|
nu lplaitlanosrendront	--⌫|----|-|--|-------|
C ar mout mepeise	-⌫-|---|-|----|
q ue il lont.	-⌫-|-||---|
Manderai lo rqu	-------|--⌫|-|
illa merenden t	-|-|-|------⌫|
Epui saprès s	|---⌫|-----||
il la contendent	-|-|---------|
Auostrestoz	|--|------|
ea m esfiz	||-⌫-|--|
Quenese iedeltothoniz	--|-|--⌫-|--|--|----|
Prendraiconseild elguer reier	-------|------|-⌫-|----⌫----|
Odelhaster o deltargier .	|--|-----||--|-------⌫|
lereie sifee il	-|--||-|---⌫-|
Tindrentamoutbuen cestconseil	-------||---|---|---|------|
Pag eu0 1P 165	---⌫---⌫--⌫--|
Nus neporreit meillor doner.	--|-|------|------|-----|
Li reis en a faitapeler	-|---|-||---|-----|
Unsuenconterichebaron	-|---|----|----|----|
Moutde gra n ts en edegran t	---|-|---⌫-⌫|-⌫-||-|----⌫|
C ointeser t richese	-⌫-----|--⌫|-----||
Antenor estei tape lez	------|-----⌫|---⌫--|
Moutsot deplait	---|--|-|----|
mo utsotdeleis.	--⌫-|--|-|----|
Moutbone mentli	---|----⌫---|-|
di stli r eis	--⌫-|-|-⌫--|
Quela l enes toueit aler	--|-||-|--⌫-----|---|
Sa sororque r re edema nder.	-|----|---⌫-⌫-||----⌫----|
Nesai faitil cuienu eiasse	-|--|---|-|--|---⌫-----|
SireAntenor seuoslaissas se	---|------|-|--|-------⌫-|
meillorenueier.	------|-------|
Orepe nsez de lespleitier.	--|--⌫---|-||----------|
A ce usditesqui furent ça	|--⌫-|----|--|-----|--|
Silmer en dent	|-|-|-⌫--⌫---|
Ian emorront puis	-|-⌫||-----|---|
tenirc onte	----|-⌫---|
Dellaitdeltortnedelahonte	--|---|--|---|-|-|-|----|
firentd o c iremonpere	-----||-⌫-⌫--|--|---|
Demes s orors ne dema	-|--|-⌫----|-|-|-|
Lisolequ ierio ede mant	-|---|--⌫--|-||--⌫---|
P a g eu01P166	-⌫-⌫-⌫-------|
quon la ti entasoigna nt.	-|-|-|--⌫--||------⌫--|
Metez iornor meepoe ̈ir	----||-|---⌫-||---⌫--|
Come nt nos lapoissiensaueir	----⌫-|--|-|--------|----|
Mout enserai	---|-|----|
lieze ioios	---||----|
lenpoëzou os.	|-|----||-⌫--|
FaitAntenorCo sacheizb ien	---|------|-|------|-⌫--|
Pormessa geniper dreizrien	--|-----⌫-|||---⌫----|---|
Dèsque io lae ndei	---|--|-|-|-⌫|--|
targier ne	------|-|
Laparoleest rem ese	-|-----|--|---⌫--|
Lesoirquantui nta	-|---|----|--⌫-||
lanu itant	|---⌫----|
F ula nef bie n	-⌫|-|--|---⌫|
apareill iee	--------⌫--|
Q ue tost fu	-⌫-|---|-|
delpo rtess aiuie e.	--|--⌫-|---⌫-----⌫-|
Aespleit siglaalalu ne	|------|----||-|--⌫-|
Bon uentlia	--|---|-||
don éFortune.	---⌫-|-------|
Sigléontensilasemain e	-----|--|---|-|------⌫|
Onc nisofri rentmal nepeine.	--|||-----⌫---|--|-|-----|
AManese pristre nt port	|-----|-------⌫-|---|
OuP eleüslireis esteit	-|-⌫-----|-|---|-----|
Pag eu 0 1 P167	---⌫--⌫-⌫-⌫---|
Lacitéfu soë demeine.	-|----|-|---|-------|
DanzAntenoro ceusqu il	---|------||---|-|-|
ui ndrent a	--⌫-----||
luiquisher ber ia	--|---|---⌫---⌫-|
Etreisiorzbienles	|----|---|---|--|
Tant qu i l	---|-|-⌫|
seprist amerueillier	-|----||----------|
Sau eirque ueneite spiier	---⌫--|--|-----|-⌫-----|
Ante n or qu imotneli sone	----⌫-⌫-|--⌫|--|-|-|---|
Nedeneientnelar eisone.	-|-|-----|-||--⌫------|
merueillequila quis	--------|-|-||---|
Enlaterreneelpaïs.	-|-|----|-|-|-----|
uersT roïensn ot nule pais	---|-⌫------||-|---|---|
Ne nec u idot	-|-|-⌫-⌫---|
au eiriamai s	--⌫--|-|---⌫|
Demanda liqu ilue neitquerre	------|-|-|-|--⌫---|-----|
En lacontree ne n la	-|-|------||-⌫|-|
FaitAntenorCo	---|------|-|
estbiendreiz	--|---|----|
Queiolu osdie	--|--|-⌫-|--|
e que l sacheiz.	|---⌫|-------|
C ̧ouosmande Prian zlireis	-⌫-|--|----|-----⌫|-|---|
Pageu01P168	----------|
Ateiea s autresGrezeis	|--||-⌫|-----|------|
Quemoutli estestu itmesfait	--|---|-|----|--⌫-|------|
Granttortegranthonteegrantlait	----|---||----|----||----|---|
Feïstesde	-------|-|
sonper eoc ire	--|---⌫|--⌫--|
a ma leamar tire	|--⌫|||---⌫---|
Liurastestotel a contree.	--------|---|-⌫|-------|
Qua nt leu ̈s tes	---⌫-||--⌫--⌫--|
arseerobee	---||----|
Sin amenastes	--|--------|
Qui esta tropgran t deshonor.	-||--||---|----⌫|--------|
E n so ignantagela tient cil	-⌫|--⌫--------|-|----|--|
Qui lenamenaeneissi l	--||-|----|-|-----⌫|
G ranthontee nfai t Prian t	-⌫---|----|-⌫|---⌫|-----⌫|
Orsitem ande edi t	-|-|-|-⌫---||--⌫|
Ques asoror	--|-⌫|----|
aueirli fac es	----|-|---⌫-|
IIn ete f aitautresmanace s	-|-⌫|-|-⌫--|-----|------⌫|
Mais quienpais	---|--|-|---|
lalirendra	-|-|-----|
paisla rec eura.	---|-|---⌫----|
t alent deldem ander	-⌫----||-|---⌫----|
Iane lo rreizd e plus pa rle r.	-|-||-⌫----|-⌫|---|--⌫---⌫-|
ue rsuoseü stmoutare querre	--⌫-|--|---⌫-|---||--⌫-----|
Pageu01P169	----------|
Mais ia par luinensordraguerre	---|-|--|--||-|-----|-----|
Noisenetençonne	----|-|------|-|
Se sa sue rliesta quitee.	-|-|---⌫|-|--|-⌫------|
L apar oleen tentP eleüs	-⌫|---⌫--|--⌫---|-⌫-----|
S ifu iri ezquilne	-⌫|-|---⌫-|-|-|-|
Porço qu auque s	--|--|-|-----⌫|
uerslui pendei t	---|--|------⌫|
Lar equestequecilfais eit	-|-⌫------|--|--|----⌫--|
queç o seüsti l bien	--|--⌫|-----|-⌫|---|
Pa rluin espleite re it il	--⌫|--||--------⌫--⌫-|-|
aif aitilde	-|-⌫--|-|-|
çoquefaire	--|--|----|
Por poiqueneuosfazdesfaire.	--|--|--|-|--|--|--------|
SedanzPrianzcu itiensarei	-|---|-----|--⌫|----||--|
Enenueiotiamais uersmei	-|------|-|---|---|--|
Estrangementl ecompar reit	-----------|-⌫|------⌫---|
T ozlipremie r s qui iue n dreit.	-⌫-|-|------⌫-⌫|--||--⌫-⌫-----|
Oruosmetezt ostala ue ie	-|--|----|-⌫--||-|--⌫-|
Siguardeziamais	-|------|-|---|
terreplus n	----|---||
Guardez mais niseiez	------|---|||----|
Pageu01P1 70	---------⌫-|
Simedo i n tDeushonor eioie	-|-|--⌫-⌫-⌫|---|----||---|
Iamaisne reue r riëz Troie.	-|---|-|----⌫-⌫----|-----|
fist plus d emore	---|---|-⌫----|
uintenmoutpoidore	---|-|---|--||--|
Laueiletraientsor	-|----|------|--|
Mouts e sioïrentcildedenz	---||-⌫--------|--|-----|
sefuf eruzli	-|-|-⌫---|-|
furents eürdemort	-----|-⌫---|-|---|
Tantqu e sloigniéfurent delport	---|-|-⌫--------|-----|--|---|
Lezle riuage de Boëce	--|-|-----|-|-----|
Quis iet espartiesde Grece	--|-⌫--|-|------|-|----|
Se npasserentun b i enmat in	|-⌫|--------|-|-⌫-⌫-|---⌫-|
O ncnep rist rent	-⌫-|-|-⌫----⌫---|
cessenefin	----|-|--|
Desci quas	----|-|-|
porzdeS alem ine.	---|-|-⌫----⌫---|
Sorleriuageen	--|-|-----|-|
lam arin e	-|-⌫----⌫|
Seneissirent defors al plain	|-|--------|-----|-|----|
Lanuit suefr en tiusqualdemain.	-|---|-----⌫--⌫|----|-|------|
Demandé ore nt e enquis	-------|---⌫-||-----|
Pag eu01 P171	---⌫----⌫---|
SeTelamon er tel	-|------|--⌫|-|
Eomlordistqu en lacité	|-|--|---|-|-|-|----|
Auei tgrantpie cedem ore ́	----⌫|----|---⌫-|---⌫---⌫|
Quibesoinga	--|------||
dolui parler	||--|-----|
E nla uile lepuettrouer.	-⌫|-|---|-|---|------|
A ntenorge nt s apareilla	-⌫-----|--⌫-||--------|
A mer ueilles bel satorna	|---⌫------|--||-----|
Mout riche m entson corsuest i	---|-----⌫-⌫--|--|---|----⌫|
E sicompai gn onautresi.	|-|------⌫--⌫-|-------|
Puissontes	---|---|-|
palefreizmont é.	--------|----⌫--|
Nefurentpas tropesfr eé	-|-----|--|---|----⌫--|
celtensreguartn eüst	--|---|------||----|
Nus mess agesquiq ue	--|----⌫---|--|-⌫-|
Parmi lauile ch euauchierent	--|-|-|---|--⌫-----------|
Lambleüretant esp leitierent	|--------|---|---⌫---------|
Etantqu i st rented em andere nt	|---|--⌫-⌫--⌫---||-⌫--⌫------⌫-|
ReiTelamonqu	--|------|-|
illetr oue rent.	-|-|--⌫---⌫----|
Delezlasale	----|-|---|
e n unherbier	-⌫|-|------|
Desoz l ombred un o liuier	----||----||-|-⌫-----|
D e scen direntcil	-⌫-⌫----⌫-----|--|
queuosdi .	--|--|--⌫|
Pag eu01P172	---⌫-------|
bienpre ̀ s de mid i	---|---⌫-⌫|-|---⌫|
tor enunsuergiez	--|-|--|------|
LorfuTel amon	--|-|---⌫---|
enseigniez	---------|
Par unguichetles imenere nt	--|-|------|--||------⌫-|
Tre i che uali er qu eil tro uerent.	---⌫|---⌫----⌫-|--⌫|-|---⌫------|
Sorunfeutredunpail l eb is	--|-|-----||-|----⌫-⌫|-⌫-|
I ut en l ombredun	-⌫-|-||----||-|
Ne n ertpas	--⌫|--|--|
sous cele f eiee	---|---|-⌫---|
Cent cheualie rsdesamaisniee	---|--------⌫-|-|-|-------|
Aue ito luiri ches ebeaus	---⌫-||--|--⌫---||----|
De luitenei entl orchasteaus.	-|--|-----⌫--|-⌫-|---------|
A ntenorfusagesparliers	-⌫-----|-|----|-------|
som e sme s s agie r s.	---⌫-⌫|--⌫-⌫-⌫----⌫-⌫-|
Pa rmernos a a t ei tramis	--⌫|--|--|||-⌫-|-----|
Prianz li rei sen cestpaïs.	-----|-|---⌫|-|---|-----|
Nellaiss eraique n eltedie	--|-----⌫---|--|-⌫-|-|--|
Parmei te mandemoute	--|--|-|----|---||
Pageu01P173	----------|
Quetulirendess aso ro r	--|-|-|-----|-⌫|--⌫--⌫|
Qu easiatenuemaintior.	--⌫|-|-|----|----|---|
Fille a rei estdegrant	----||--|--|-|----|
Nel adeisplus ensoignant age	-|-⌫|---|---|-|--------⌫--|
aue irquar trope s tlait.	---⌫-|---|---|-⌫-⌫|----|
Rentlisiaurasmoutbienfait	---|-|-|----|---|---|---|
Ancorsereitbien mar i ee	----|-----|---|---⌫-⌫-|
S illa raueit	|-|-|-----|
ensacontree.	-|-|-------|
Telamon arteesprentdire	------|--||------||--|
D emautalent pristasozrire	-⌫|--------|----||------|
uassausfait ilouos trerei	------|---|-||---⌫--|--|
N airienafai re	|-|---||---⌫-|
Ne saiquil	-|--|-|-|
estoncnelc onu i	--|--|--|-⌫---⌫|
N eri en nef ereie por	-⌫|--⌫-|-|-⌫----|--|
Çosai iobienquaTroie	--|--|-|---|-||----|
Por un tortfaitque	--|-|-------|--|
nos ueniames	--|-------|
Porço queiientraipremier	--|--|--|||-----|------|
Merendirentitelloi er	-|--------|---|---⌫-|
Une pucelefille al rei	--|-----|----|-|--|
Iceleenamenai	----|-|-----|
ai te nirla uueil	-|--⌫--|-|----|
Pageu01P 174	--------⌫--|
Quarmout est franche senz orgueil.	---|---|--|------|---|-------|
Amerla deie tenir	---|-|--||----|
Belee stesagea gra nt	---|-⌫-||---||---⌫-|
uictoireestguerredon	-------|--|--------|
Quensile uoustrent	-|---|-|--------|
Par grantpr oëcela	--|----|--⌫----|-|
Deço ai b ienmonconseil	-|--|-|-⌫--|--|------|
Que ianul ior ne larendrai	--|-|--|--|-|-|------|
Tantcom io	---|--|-|
sain seuis serai.	----⌫||--|-----|
Demauictoirefu	-|-|-------|-|
Ianese raipuischeual ier s	-|-|--⌫--|---|------⌫---⌫|
neautre lenmene iz.	-|----||-|----⌫--|
enueitil pas autre feiz	-----|-|--|----|---|
to st le comparreit	--⌫-|-|---------|
premiers qu i iuendreit.	-------|--⌫||--------|
Auo s mei ̈ sm ediio	|--⌫|---⌫-⌫--⌫|-|-|
Q u euos guardeizsortote ri en	-⌫-⌫|--|-------|--|---|--⌫-|
Quee ncestpaï s naresteiz	--|-⌫|---|----⌫||-------|
Isnelem entuosenrailleiz	-------⌫--|--|-|-------|
Pageu01P175	----------|
P eserameid oreen auant	-⌫----|--||--|-|----|
Seiouosi t ruissoiorn an t.	-|-|--||-⌫---|------⌫--⌫-|
Antenoresicompaignon	------||-|---------|
Nef irent mieloncsermon	-|-⌫----|--|---|-----|
Dreit a lornefs	----||--|--||
enrepairierent	-|-----------|
Enmerparfon dese sloignierent.	-|--|------⌫-||-⌫------------|
Dreitu entorentebon o ré	----|-⌫--|----||--|-⌫--|
De llonc delamerontsiglé	--⌫|---|-|-|--|--|-----|
Dreit enAch aie	----|-|---⌫--|
Iluecpr i strentporte salu.	----|--⌫-⌫-----|---||----|
Conreer entsei	-------⌫--|--|
ge nte me nt	--⌫---⌫--⌫-|
Ese nzaut re	|--⌫-|---⌫-|
porloi gnement	------⌫------|
Ont Castor	--|-----|
ePoll ustant quis	|----⌫-|---|---|
trouerentel	--------|-|
Antenorloradittres bien	------|--||--|---|---|
Son messa gen ilai ssa	--|-----⌫-|||---⌫--|
Seign orfaitil Prianzuo s mande	-----⌫-|---|-|-----|--⌫|----|
E pa rmeiuosditecomande	|--⌫|--|--|--||------|
Quesasororlifac eizrendre	--|-|----|-|---⌫--|-----|
E semis sire uueu t d reitprendre	|-|--|---|----⌫|-⌫---|------|
Pageu01P176	----------|
Deuo s sienseit un siorzp ris	-|--⌫|-|-|---|--⌫|---|-⌫--|
Trop auez estée nemis.	---|---|----|-⌫-----|
Buen ee ns ereit la benestanee	----⌫|-⌫|-⌫----|-|---------|
Tropaduréla ma uuo illance.	---||----|-|--⌫---⌫-------|
CastorePoll usrespon dirent	-----||----⌫-|------⌫-----|
Qu onquesaPria nt	-|-----||----⌫-|
tort ne fir ent	---|-|---⌫--|
Maisc oset omcer t a inemen t	---|-⌫|--|-|---⌫-⌫-⌫------⌫|
Qu e sisperepremier ement	--⌫|--|---|-------⌫----|
Forfistu e rsnoseuers	------|-⌫-⌫-|--||---|
Dont damages ui n tpuisasuoz.	---|------|--⌫-⌫|---|-|---|
Laomedonlecomen c ̧a	-------|-|-----⌫-⌫-|
Qui laidement	--|--------|
l ecom para	-⌫|---⌫---|
E quide rien no sen	|--|-|---|--⌫|-|
Ne nospuetaporter	-|--|---|------|
Dontmein s nosseit.No snepreison	---|----⌫|--|----|--⌫|-|------|
CeusdeTroie sepetitnon	---|-|----|-|----|--|
Mieuz amonsnoslor mauuoi llance	----|----|--|--|------⌫-----|
Qu eestreo	--⌫|----||
ben estanee	---⌫------|
Equiçauosen	|--|--|--|-|
amo r uosama.	---⌫|--|---|
P ageu01P1 77	-⌫--------⌫-|
les no znesontune	--|--⌫|-|---|--|
Nensemble n	|-------||
ontnulecomune.	--|---|------|
Ne uolo ns que c ̧a	-|----⌫-|--|-⌫-|
nus enuienge	--|-|-----|
I ço quechascu n saço tienge.	-⌫--|--|------⌫-⌫||--|------|
Metez uosortostelrepair e	----|--|-|---|-|------⌫|
Quarto te honteetot	---|--⌫-|----||--|
uosfereitlo mço	--|-----||-⌫|--|
sach eizuos	----⌫--|--|
sereitp arle ́ onos.	-----|-⌫----⌫||---|
Equantuo sçapre i ̈stesport	|----|--⌫|--|---⌫-⌫----|---|
Moutdotastespe tit	---|-------|--⌫--|
A ntenorente n tl e respons	-⌫-----|----⌫-⌫|-⌫|------|
Q ui neli f u	-⌫-|-|-|-⌫|
nebe ausne	-|--⌫--|-|
Moutlie s t tartquil seit arie re	---|-|-⌫-⌫|---|-|-|---|----⌫-|
li f ontcil	-|-⌫--|--|
laide chiere.	----|------|
Senz congiépr endre	---|------|--⌫----|
senret orne	|-|---⌫---|
I rieechierefaitemorne.	-⌫---|-----|---||-----|
nefentre nt	--|-----⌫-|
si senuont	-||-|---|
Odreit ebisec ui	|-----⌫|---|-⌫-|
Pageu01P 178	--------⌫--|
nagiéetants iglé	-----||---|-⌫----|
Qu e aPilesont a riu e ́.	--⌫||---|---|-⌫---⌫-⌫-|
Lidu sNestorenesteit sire	-|--⌫|-----|-|-----|---|
Quimoutertfele d e	--|---|--|--||-⌫|
gr ant i r e	--⌫--|-⌫-⌫|
Deses armesesteit	-|--|----|-----|
plusu ail l anzdetoz.	---|-⌫---⌫-⌫--|-|---|
bien de sa terre sire	---|-|-|----|---|
Poiliesteitdunhom e	--|-|-----||-|---⌫|
M aintenauei t o sesmainsmo rt	-⌫---|-|----⌫||--|----|--⌫-|
Quine lifaiseien tnul tort.	--|-|-|--------⌫|--|----|
Moutert en gre ̀sedeputaire	---|--|--⌫---⌫-||-|--|---|
E moutl iert poidemalf a ire.	|---|-⌫|--|--|-|--|-⌫-⌫---|
Antenoratant dite	------||---|--||
S on messageliaretra it	-⌫-|------|-||-----⌫-|
Totmota motrien	--|--||--|---|
Qu ebienn elirecon tedi e	--⌫|---|-⌫|-|-----⌫||--⌫|
Ço q ue Pr ianz li enc haria	--|-⌫-|--⌫---|-|---⌫----|
Onquespo rpaornel laissa.	-----|--⌫|---|--|------|
Nestorl ereguard e ent rauers	-----|-⌫|-------⌫|-|-⌫-----|
Diredeuint palese per s	|--|-----|----||---⌫|
Pageu01P179	----------|
Fiza puta i nfaitilbastarz	--||----⌫-⌫|---|-|------|
Porpoides ie u z	--|--|--|--⌫-⌫|
neuosdesf az.	-|--|----⌫--|
Parcui congi éparc ui	--|--|-----⌫-|--|-⌫-|
uososast esmetresorme i	--|-----⌫-|----|--|--⌫|
Por poii o ne u osfaz desfaire	--|--|-⌫|-|-⌫-|--|-------|
O uilmentacheuausdetraire.	|------||------|--------|
uersu ostre reih ontosm auuais	---|-⌫----|--|-⌫----|-⌫-----|
Nequerrai i a ioraue irpais.	-|------|-⌫|--|---⌫-|----|
S is per elichaitis dolenz	-⌫-|---⌫|-|------|-----|
A mout granttortlaidino z genz	|---|----|---|----|--⌫|---|
Qu i rien mesfa itne liaueien t	--⌫|---|-----⌫-|-|-|------⌫|
terr en eforfaiseient	----⌫|-⌫|-----------|
Ecuide reitoruostre si re	|-----⌫---|-|-----|--⌫-|
uengierlamortel e	------|-|---||-⌫|
Quenosfeïmesd es c haitis	--|--|------|-⌫-|-⌫-----|
Quant destruisimes	----|-----------|
Cuid ereit nosilfaireacr eir e	----⌫----|--|-|----|---⌫---⌫|
Quamor ne paisnostenist	-|---|-|---|--|-----|
Dahé ait huila so ëam o r	----|--|--|-|--⌫-|--⌫-⌫|
Pageu 01P 18 0	-----⌫---⌫--⌫|
sifieranulior	||----|--|--|
De grantfolie	-|----|----|
seporp ense	-|----⌫---|
pasl a ueirneladespense	--||-⌫---|-|-|-------|
Dontu ersno spui sse forceier	---|-⌫--|--⌫|---⌫--|-------|
Nedousmeisdel	-|---|---|-||
an guerre ier.	-|------⌫---|
To tquant quil a ourée fai t	--⌫|----|-|-||----||---⌫|
Silneseg uardedefolplait	|-|-|-|-⌫----|-|--|----|
Liauronstost	-|-----|---|
arse guas té.	--||----⌫---|
Guar dezqueneseiez troué	----⌫--|--|-|----|-----|
Demainenla citédeP ile	-----|-|-|----|-|-⌫--|
Eissez uos ent ost	-----|--|-|-⌫--|
Quaril nestgen z c uiiotanth ee	---|-||--|---⌫|-⌫-|-|---|-⌫-|
Comceusdelauostre contree.	--|---|-|-|-----|-------|
D ahé ai tqui	-⌫---|--⌫|--|
Ne qui iaoeuspaisaura	-|--|-||--|---|---|
A nt enornesteitpasseürs	-⌫--⌫---||-----|--|-----|
Moutuousistestref orsdesmu rs.	---|------|----|-⌫--|--|--⌫--|
Bienueitqu iluait quer ant	---|---|-|-|---|----⌫--|
sorluinest reu ertie.	--|--||--|---⌫-----|
Alanefui ntplus	|-|--|--⌫-|---|
tostquepot	---|--|--|
Pageu 01P181	-----⌫-----|
Oitel uen tcomei liot	|---|---⌫|---|-⌫||-|
tostde laterre e sloigni e z	---|-|-|----|-⌫-------⌫-⌫|
Oruoudroitestrerepairiez.	-|-------|----|---------|
Ia neprendr amaisport so ngré	-|-|------⌫|---|---|--⌫|---|
Desciqu acel seitariué	----|-||--|---|-----|
Dont i l m ut.	---|-⌫|-⌫--|
B ientr eisior zentiers	-⌫--|--⌫--|---⌫|------|
dure ́unsgra nz tempiers	----⌫|--|---⌫-|-------|
merne ireehisdose	--|--⌫--||------|
Oscu reelaideetenebrose.	----⌫-||----||---------|
Grantp a or otmoutsedemente	----|-⌫-⌫-|-|---|-|------|
Antenor por la	------|--|-|
granttormente	----|-------|
Liu enzelamer le	-|-⌫--||-|--|-|
esperance de sa uie .	--------|-|-|---⌫|
Cildelanefgisent adenz	--|-|-|--|-----||---|
claime chascunsdol enz	-----|-------|---⌫--|
Ia nencuidauns	-||-|----|--|
eschap er.	------⌫--|
Pageu01P182	----------|
Moutl orfu f orta en du rer	---|-⌫-|-|-⌫--||--⌫--⌫--|
Ag rantdoloreagrantpeine	|-⌫---|----|||----|----|
Ainzquetrespassast la	---|--|----------|-|
Ariuerentenlor	--------|-|--|
Grantioie enfua loramis	----|---|-|-||--|---|
L ireiseli bar ondeT roie	-⌫|---||-|---⌫-|-|-⌫---|
Lesreçurent	--|--------|
gr antioie.	--⌫--|----|
Par lestemplesAntenorua	--|--|------|------|-|
Moutdoucementles	---|--------|--|
Unsacre fisel oro fri	-|-----⌫---|-⌫-|-⌫--|
Porçoquedemort l	--|--|--|-|---||
ont guari.	--|-----|
Apr èsestelpalaisue nuz.	---⌫--|--|-|-----|--⌫---|
Ne sefistpastaisanzne muz	-|-|---|--|------|-|--|
Oiant lereio ian t ses	----|-|--|-⌫---⌫|--|
Oiantcentcheualier sesliz	----|---|---------⌫|----|
Ato tcontéetot	|--⌫|-----||--|
Comf ait ementil	--|-⌫---⌫----|-|
au eitfait	--⌫--|---|
Edist Por po i	|---|--|--⌫|
que cistmessages	--|---|-------|
Ne m est t o rnez a granzdamages.	-||--|-⌫-⌫---||----|-------|
Tantparnos heentcilde	---|--|--|----|--|-|
nam erontceus	|--⌫----|---|
Pageu01P183	----------|
APeleüs ala i premie r	|------|---⌫|------⌫|
C uimouttroua i enrieuree fier.	-⌫-|---|-----⌫|-------||----|
Sacheizmouten failli pet it	------|---|-|-----|---⌫-|
Qua ntm onm essage li oidit	---⌫-|-⌫-|-⌫-----|-|-|--|
Quil n emefi stdeshonorer.	-|-|-⌫|-|--⌫-|----------|
C omençameia congeër	-⌫------|--||-------|
