o ezseignurs pur deuuuspri	-⌫-|-------|--|--|--|--|
a lid escendree n la forere	|-|-⌫-------|-⌫|-|-----|
silidist amiec here	-|-|---|---|-⌫---|
neuus dutezkarcistp echer e	-|--|----|--|---|-⌫-----⌫|
p ar u usserruntamen dez	-⌫-|-⌫-|------|----⌫--|
eliplusurspar	|-|------|--|
uuss aluez	--|-⌫----|
od mei uus uen e z	-|--|--|---⌫-⌫|
e gluuenant e n men ez	|--------|-⌫|---⌫-|
anduisuntraui a tant	----|---|---|-⌫---|
modewenneegluuenant	--------||--------|
lia nglequis uaitcunduant	-|-⌫---|--||---|-------|
lespei nesd	--|---⌫--||
enfe rnluruait mu str ant	----⌫-|--|---|--⌫---⌫--|
lagr ant pei ne ela grant dolur	-|--⌫--|---⌫-||-|----|----|
quesus tenentli	--|---⌫-----|-|
quefinn auer un tanul iur	--|--||----⌫--⌫||--|--|
pur lurfolieelu r errur	--|--|----||--⌫|----|
ealtres peinesl ursuntmust rees	|-----|-----|-⌫-|---|----⌫---|
nep oentacuntee s	-|-⌫---|-------⌫|
nunpur uei rnenisc untees	--|--|---⌫|-|--|-⌫-----|
ques un ta	--|-⌫--⌫||
perduz aprestees	-----|--------|
puis ace ilslesad mené	---||--⌫--|--|-|----|
tutela ioielurad mustree	---|-|---|--|-|------|
gluuenantadregardé	--------|-|-------|
siueitun se gede gr a ntclar te	-|---|-|--⌫-|-|--⌫-⌫-|----⌫-|
da me faitilenqu e rre z	--⌫-|---|-|----⌫-⌫---⌫|
cel seegelaqueu us	--|----|-|--|-⌫-|
a quios seitaprestez	|--|-|---|-------|
quipar est degrantclartez	--|--|--|-|----|------|
saprierelad ame	-|-----|-|-⌫--|
l anglenepeitmie	|----|-|---|--|
cel siege la	--|----|-|
nusreflambie	--|--------|
quilauerafaisil	--||----|---|-|
unseuesqu e keima dn un	--|------⌫|---|-⌫|-⌫-|
suweestlamans i un	---|--|-|----⌫-⌫-|
addonéle dun	-|----|-|--|
pursagran t religi un	--|-|----⌫|------⌫-|
iciserrun tli deu ami	--|------⌫|-|--|--|
quan tdelc orsse rru ntp arti	----⌫|--|-⌫--|--⌫---⌫-|-⌫---|
lalurserrabienmerci	-|--|----|---|----|
quanquequ ilauerunt pur	------|-|-|------|--|
deu guerpi	--|-----|
mais enenfe rnenlapuur	---|-|----⌫-|-|-|---|
la serr unt li pecheur	-|----⌫--|-|------|
lile che re	-|--⌫---⌫-|
lirob eu r	-|---⌫--⌫|
quiuncu ersdeu norentamur	--|--|-⌫--|--||----|---|
puislessumuntdelr epairer	---|--|-----|--|-⌫------|
karnipo e nt	--|||--⌫-⌫-|
plustar ger	---|---⌫--|
delparti rfu nt	--|-----⌫|--⌫-|
neuusde uez esmeruil ler	-|--|--⌫--|--------⌫--|
maispuissanz demuree	---|---|---|------|
ladames esente sueillee	-|---|-⌫|---|-⌫-------|
e n estant s en estdrescee	-⌫|-----||-|--|------|
de latereuert cuchee	-|-|---||--|-----|
seignursfaiteleoruusleuez	-------|---|--|-|--|----|
ka leters ditest ia p assez	-|-|---|--|--|-|-⌫----|
que uu sicidorm ia uez	--|--⌫|--|----⌫|-⌫--|
treisf e izlurdit leuezleuez	----|-⌫-⌫-|--|--|----|----|
atan t se sunttuitesueillé	----⌫|-|---|---|--------|
del l u ngsumeiluuntesté	--|-⌫-⌫-|-----||--|----|
aul treregardé	---⌫--|-------|
c umg entquesuntdesens	-⌫-|-⌫--|--|---|-|---|
q uantse purpens egluue nant	-⌫---|-|-------⌫|-----⌫---|
deceoqu e uiten sun	-|--|--⌫|--|-|--|
maintenant	---------|
alésene sttu itenp lur ant	---||-|-⌫-|--⌫-|-|-⌫---⌫--|
qu anta ladame	--⌫--||-|---|
aspiez liest	-|---|-|--|
tanttostchau	-------|---|
damefai tilpuriesu	---|---⌫|-|--|---|
aiezmerc ide	---|----⌫|-|
merci uuscri merciaiez	----|--|--|----|---|
deces t che itisqueuu sueez	-|---⌫|---⌫---|--|--⌫|---|
quemisneseie pu r	--|--|-|---|--⌫|
en pui den fer nod	-|--||--⌫---⌫|-|
les dampnez	--|------|
la dameatant lui respundi	-|---|----|--|-------|
n aezpourle m en	|--|---|-|-⌫-|
kar iesucri stlam ort	--|---|---⌫-|-|-⌫--|
p urte l egent	-⌫-|--⌫-⌫|---|
sic um i o qui	-|-⌫-|-⌫|--|
parlewang irep oezsaue r	--||-----⌫--|-⌫--|----⌫|
queiesuuintpur ape ler	--|---|---|--|---⌫--|
le spech eurse	--⌫|----⌫---||
pursal uer	--|---⌫--|
purceonedeisdeseperer	--|--|-|---|--------|
e ntre les aul tresotun m eschin	-⌫---|--|---⌫---|-|-|-⌫-----|
preuzebeausd emul t	----||----|-⌫|---⌫|
sinunsesteitnuméafin	-|---|-----|----|---|
s iesteit germe incusin	-⌫|-----|-----⌫-|----|
a gluuenantli	|--------|-|
maisquantciluitleg ra nt	---|----|--|--|-|-⌫--⌫-|
que cil mena e latristur	--|--|---||-|------|
piteze nadegranttendrur	----|-⌫|-||----|------|
puis s enleu eignele men t	---||-|---⌫|------⌫---⌫|
deu a nt ladamesun	---⌫-⌫-|-|---|--|
cor s estent	---⌫|-----|
des oilzplurepitusement	--|---|----|---------|
e ditdameu ers	|--|---|-⌫--|
glouenant queieoueici	--------|--|--|--|-|
paruus se mende si cum	--|--||-⌫----|-|--|
eiodesoreseruisee	|-|--|--|------||
p rametadeuandreitdemei	-⌫----||--|------|-|--|
deluinep uis pur rienpa rtir	-|--|-|-⌫--|--|---|--⌫---|
mis unclesest neluoilg uerpir	--|-----|--|-||---|-⌫-----|
deuuol drai odl u iser u i r	--|---⌫---|-|-⌫-⌫|---⌫-⌫-⌫|
e lafeipar tuittenir	|-|--|--|---|----|
ne gu e rpirailacu mp ainnie	-|--⌫-⌫-----|-|--⌫--⌫-----|
d eg l uu e n a ntiaenmauie	-⌫|-⌫-⌫--⌫-⌫-⌫-⌫-|-|-|-|--|
ladamesenestmult	-|---||-|--|---|
edampne deu dequeormercie	|------⌫--|-|----|-----|
pu is fa it lescorstuzasembler	--⌫-|--⌫-|--|---|--|-------|
demart yrse auner	-|----⌫--||----|
alabbeielesfaitpor t er	||-----|--|---|---⌫-⌫-|
p urenseue l i re	-⌫-|------⌫-⌫-⌫||
cesdous la run sduntai cunte ́	--|---|--⌫---⌫|---|-|-----⌫|
od la damesensun t	-|-|---||-|---⌫|
pussunten pris	--|---|-|---|
tanthalt munte ́	---|---|-----⌫|
eu e squessunt	--⌫-⌫----|---|
liautre laruns sensu ntal ez	-|----|-----||-|--⌫-|--⌫-|
enlur paisdu n t ere ntnez	-|--|---|--⌫-⌫|---⌫-|--|
de lursun tchastie z	-|--|---⌫|-------⌫|
par l a bbessee	--||-⌫-----||
diten reprou i er	--|-|------⌫-⌫-|
s uuentennuebeau chanter	-⌫----|----|---|------|
p urc eo m uncunteuoiltermin er	-⌫-|-⌫-|-⌫-|----|---|------⌫-|
quenulsnenu st munlu n gparle r	--|---|-|--⌫-|--|--⌫-⌫|-----⌫|
neldipurce o	-||-|--|--⌫|
que s e itf ini	--|-⌫-⌫-|-⌫--|
cestmiracle	---|------|
a inz laipurceo	-⌫--||-|--|--|
endouspa r ti	-|---|--⌫-⌫-|
pu rledunt iouusdi	--⌫|-|---|-|--|-|
uns euesqueest ei t ia dis	--|------|---⌫--⌫|--⌫--|
dequ imemoriea uan tdis	-|--⌫|------|-⌫---⌫|--|
a quicel sege fud	|--|--|---|--|
que gluuenan tuite n	--|--------⌫|--|-⌫|
sisnunsesteit kenunumé	--|---|-----|---|----|
tantparert degrant bunte	---|--|--|-|----|----|
ketui ta dpurdeulaissé	-|---⌫|-⌫|--|--|------|
legran tho nur	-|----⌫|--⌫--|
dun euesque	|-|------|
richescehonur nemana ntie	-------|----|-|----⌫---|
lesm alueisde s treint	--|-⌫-----|--⌫-⌫-----|
nequ anque il ueit encesteu ie	-|--⌫----|-|---|-|----|-⌫-|
ne prisepas	-|----|--|
g u erpipurdeu amur	-⌫-⌫---|--|--|---|
l aueine glorie e la flur	-⌫|----|-----||-|---|
del mundmal ueisuli pecheur	--|---|---⌫---||-|------|
suntten uparlurerrur	---|---⌫|--|--|----|
cist seinthomedu ntfazmemorie	---|----|---|--⌫-|--|------|
pureschiureueineglorie	--|-------|----|-----|
s est misenun hermitorie	|--|--|-|-|---------|
cu m l a lettre	--⌫|-⌫|-----|
di tdel e stor i e	--⌫|-||-⌫----⌫-⌫|
setanzu esqui en la gas ti ne	--|--|-⌫----|-|-|---⌫--⌫-|
agrantdo lur a	|----|--⌫--||
gr antfamine	--⌫--|-----|
ne t roueenl agaud ine	-|-⌫---|-|-⌫|----⌫--|
forsherbecrue e	---|----|---||
tant par meinedu re	---|--|----|--⌫-|
queli diab leenadenuie	--|-|----⌫-|-|-|----|
mes oezo repar quelue isdi e	--|--|-⌫-|--|---|--⌫----⌫|
lad trubuc hé	|-|------⌫--|
engrantfol ie	-|----|---⌫-|
li traitreparun matin	-|------|--|-|----|
enl a se mblancedu npe l erin	-|-⌫|--⌫------||-⌫|--⌫-⌫---|
descendant u ie ntparl e ch emin	---------|-⌫--⌫-|--|-⌫|--⌫---|
uersla ce lleseintk eim	---|-|--⌫--|----|-⌫--|
keim regardesursenes tre	---|------|--|-----⌫--|
upardestre u parsenestre	|--|-----||--|-------|
siueituenirle	-|---|----|-|
danzde mest re	---|-|----⌫-|
ensemblaced unueil	-|-------||-|---|
admultbel acuilli	-|---|--|------|
di uafai til limein ami	--⌫-|---⌫|-|-|---|--|
dun tuenstucil respundi	---⌫|---|-|--|-------|
delabbeieduntuypa r ti	-||-----|---|-|--⌫-⌫-|
ueinst udu ncde l abbeie	----|-⌫|--⌫-|-||-----|
sireoilfaitilparma uie	---|--|---|-|--|-|--|
modewenne la deuamie	--------|-|--|---|
cumentlefait cuments eguie	-----|-|---|-----|-⌫|---|
cum entfaitilne s tot	---⌫--|---|-||-⌫-⌫--|
asez lepoez partenssauer	---|-|---|--|---|----|
parauenture deuantleseir	--|-------|-----|-|---|
sauerpurrastuit leueir	----|-----|---|-|---|
a t a nt li	-⌫-⌫-⌫-|-|
t rait readpluré	-⌫----⌫-|-|-----|
keiml eueitsiad p ite	---|-⌫|---|-|-|-⌫--|
tu faitilneseit	-|---|-|-|---|
c un u ismeitutela uer ite	-⌫--⌫-⌫-|--|---|-|---⌫--|
sa uer uo lezpurquei ioplur	--⌫--|--⌫--|--|---|-|---|
certesfait il purl adolur	-----|---|-|--|-⌫|----|
queuusmeneznuite	--|--|----|---||
i ames retur	-⌫---|----|
uostre trauailp erdu	-----|------|-⌫---|
etrestuitenuein	|-------|-|---|
las dolent	--|-----|
marf uste z nez	--|-⌫----⌫|--|
quantcineaillursben n aurez	----|-|-|------|--||----|
keimrespui ntlenemi	---|------⌫-||----|
sid euplestnier t pasissi	-|-⌫-|----||---⌫|--|---|
siiotrauailai euici	-|-|------|-|-|--|
bienme se r ra d ceo	---|-|--⌫-⌫--⌫|--|
litrai trerespunt atant	-|----⌫--|------|----|
quesunq ue oruait suzduia nt	--|--|-⌫--⌫-|---|-------⌫-|
rien nefui ssezfisil perdan t	---|-|---⌫---|--|-|------⌫|
ne fust afine gluuena nt	-|---|---||-------⌫-|
karmo dewennelurad	--|--⌫------|--|-|
tunlui elci elod	--|--|-|--⌫-|-|
mai spuskesoila ueri te	---⌫|----|--|-|----⌫-|
uncp us dequeorne fu	--|-⌫-|-|----|-|-|
siuusdecest rie n	-|--|-|---|---⌫|
al abbeieenueez	||-----|-----|
e silesla runs	|-|--|--⌫---|
iame s pu is neme creez	----⌫|--⌫-|-|-|----|
eleles faitsisuefnurrir	--|--|---|-|---|-----|
e apleisi r	||------⌫|
chas cun iurle sfaitseruir	----⌫--|--|--⌫|---|-----|
puruuscunfund r ee	--|--|-------⌫-⌫||
uus di tuitasperdu	--|-|---|-|----|
letrau ailque aseu	-|----⌫--|--|-|-|
quant cille	----|--|-|
mot a dentendu	--|-⌫|------|
purpoinest delsenis su	--|--||--|--|--|--⌫-|
il enueitun mess ager	-|-----|-|----⌫---|
al abe iepurencercher	||---⌫-|--|--------|
sau e rmun si lp oe ttruuer	---⌫-⌫|--||-⌫|-⌫--⌫|-----|
les larruns	--|------|
dunt otparl er	---|-|----⌫-|
le messager s	-|-------||
ed iluectost return é	||----|---|------⌫-|
asunseignu r	|--|------⌫|
a d bien cu nté	-⌫|---|--⌫---|
quel eslarru nsiad	--|-⌫-|-----⌫-||-|
li eue sque	-|---⌫---|
p urpo idedul sunq uorne	-⌫-|--⌫|-|--|--|-⌫--|-|
lid iableplus	-|-⌫----|---|
sil iditue rsmeientent	-|-⌫|--|--⌫-|--|-----|
certesk a imor eschaitis	-----|-⌫-⌫-|-|-|------|
quan t per duas enparais	----⌫|---⌫-|-|-|-----|
lesieg equeuu sfu dpramis	-|----⌫|--|--⌫|--⌫|-----|
pardouslarrun sf u itis	--|---|------⌫|-⌫-⌫---|
seoreeusezicelhonur	-|--|----|---|----|
q ueguerpistes purdeuamu r	-⌫-|---------|--|--|---⌫|
uenger pui ss ez ledeshonur	-----|---⌫--⌫-|-|-------|
que fait uusun tlirobbeur	--|---|--|--⌫|-|------|
alezqu erecunpaignie	---|--⌫--|---------|
siabraseza bbeie	-|------|-⌫----|
puisprenlesbensde ce steuie	---|---|--|---|-|--⌫--|--|
queperdu as	--|----|-|
pa r ta folie	--⌫|-|----|
qua ntuusde la au e z faill i	---⌫-|--|-|-|--⌫-⌫|-----⌫|
p er ne z les b ens	-⌫--⌫--⌫|--|-⌫--|
eilsifaitt uita utresi	|-|-|---|-⌫--|-⌫-----|
de lher mitorie sendeparti	-||---⌫------||-|------|
quant gen t ass ezad essemblé	----|---⌫|---⌫-|-|--------|
uersl abbeiesenest turné	---||-----||-|--|-----|
sile s larrunsisu nt tru ue ́	-|--⌫|------||--⌫-|---⌫--⌫|
iliurebie nquil ert	-|---|---⌫|-|-|--|
icestechosenes t	-----|----||--⌫|
angl eestnunci é	----⌫|--|-----⌫-|
amodewenne	|--------|
que degraceertalumee	--|-|----|--|-----|
lauele iuitenze lmustier	-||--|---|--|-⌫|------|
e n oreisuns	-⌫|-------|
deua ntlauter	----⌫-||----|
deusli tr ametu n messager	---|-|--⌫---|-⌫|-------|
pur g arnirlaec unseil ler	--|-⌫----|-||-⌫------⌫--|
agrantclart elimesdescent	|----|-----⌫|-|--|------|
dequi lumerele liu resplent	-|--|-----|-|--|-------|
ditmultd uc e ment	--|---|-⌫--⌫-⌫---|
amiedeu uersm eientent	---|--|---|-⌫-|-----|
san zdemureuusenalez	---⌫|-----|--|-|---|
as plei nscahors u uus uerrez	-|----⌫-|-|---||--|-----|
keimleuesquequ eueuauez	---||------|--⌫|--|---|
quid e diablees tenbrasez	--|-⌫|-----|--⌫|-------|
uatostnaezpour	-|---||--|---|
ka cel uipurqui a mur	-|---⌫-|--|--|-⌫--|
delmundguerpis lefo lerrur	--|---|------|-|--⌫|----|
teserrap urueirguiu r	-|----|-⌫-|---|----⌫|
l adameata ntse n	-⌫|---|---⌫-||-⌫|
es tpartie	--⌫|-----|
me s n estpasluindelabbeie	--⌫||--|--|---|-||-----|
qu eleneueit la	-|--|-|---|-|
g entha ie	-⌫--|--⌫-|
k icil meine encumpaignie	|---|----|-|---------|
kei m cheualcheelfrunt prime r	---⌫|--------|-|----|-----⌫|
le ssons e nortedel	--⌫|---|-⌫----|-||
sundo luol drace o	--|--⌫|---⌫--|--⌫|
d itu enger	-⌫-|-⌫----|
purnulerienne	--|---|---|-|
p oet laisser	-⌫--|------|
il cheua lche a	-|-----⌫---||
alpele suit	-|-|-|---|
un neir gar c un	-|---|---⌫-⌫-|
adlaidel afacu n	-|----|-⌫|----⌫|
uncplus lai dne uith um	--|---|---⌫|-|--|-⌫-|
laideesteneira	----|--||---||
multad hid usesafaiture	---|-|---⌫--|-|------|
unc plusoriblecr eature	--|---|-----|--⌫-----|
ne fudf u rmé	-|--|-⌫-⌫---|
sulumnatu re	----|----⌫-|
ce ofudd iablesmesnelueitm ie	--⌫|--|-⌫-----|--|-||---|-⌫-|
mes la dam eque ert	--|-|---⌫|--|--|
delesperitde	-||------|-|
propheci e	--------⌫|
bie nladueu	---⌫||-|--|
sis escri e	-||-----⌫|
es teezkeimiouuscomant	--⌫---|---|-|--|-----|
ennun iesulerei poant	-|--|---|-|--|----|
neuus mouez d elliuau ant	-|--|----|-⌫-|--|--⌫--|
tantquedie mun talent	------|--|--|-----|
ahibeu frereemunami	--|--|----||--|--|
quedeitqueassi to stguer p i	--|---|--|-|-|--⌫-|----⌫-⌫|
l e liu u astant deuserui	-⌫|--||-|---|--|----|
par folcun s eil de l	--|--|---⌫-⌫--|-||
u fudtunquor	|--|--|---|
eta pens ee	|-|----⌫-|
quant ent eidunasent ree	----|-|-⌫-|----|---⌫--|
al diableparquim elle e	-|-----|--|--|-⌫----⌫|
adam peri odsa l ignee	---|---|-|-|-⌫----|
seignet unq uor	-----|-⌫-|-⌫--|
etun curage	|--|-----|
si teremembredetun prestrage	-|-|-------|-|--|--------|
alas tunquort ropfuduol age	|--|--|---|-⌫--|--|---⌫--|
quantenpreis itel	----|------|---|
tuqui da sceo m est auis	-|---⌫--⌫|--||--|---|
tunliuperdre en	--|--|-----|-|
quite fud p o s apram is	--|-|--|-⌫-⌫||----⌫-|
par gluuenant	--|--------|
simespresis	-|--------|
tropfud grantla	---|--|----|-|
qua nt de ceoeu s	---⌫-|-|--|--⌫|
quelipecheurreuinten uie	--|-|------|-----|-|--|
demortq uelotensabaillie	-|---|-⌫-||-|-|-|------|
duntnesuff riiesula mort	---|-|----⌫-|---|-|---|
purl es pecheurssalu erdemort	--|-⌫-|-------|----⌫-|-|---|
si fistpurueirtrestut ato rt	-|---|--|---|------||--⌫-|
liliure a unacort	-|----||-|----|
que estesuusen ceo perdant	--|----|--|-|--|------|
sisalué s unt	-|-----|-⌫--|
limescreant	-|--------|
duntnestdeuas ezpoan t	---||--|--|--⌫-|----⌫|
elecie le stlargeegrant	|-|---⌫|-⌫-|----||----|
siest puruei rli m enami	-|--|--|---⌫|-|-⌫-|--|
maisdiableadtunquo rtrahi	---|-----|-|--|---⌫|----|
purc eole reide l	--|-⌫-|-|--|--⌫|
cie l de pri	---⌫|--⌫--|
quipurpecheurlamort s uff ri	--|--|------|-|---|-⌫---⌫-|
quilte doinst	-|-|-|-----|
parsabunt e	--|-|----⌫|
ce lui ueerque tad gabbé	--⌫--|---|--||-|-----|
pren cunseilneseitlaissé	---|------|-|---|------|
or eregar deuerst un	--⌫|-----⌫-|---|-⌫-|
e il regarde si ad	|-|------|-|-|
lidiable qui l	-|-----|--||
d e lapoura deu	-⌫|-|---|-⌫|-|
purpoi nen est	--|--|--|--|
hisdusleu ei ts i adpour	-----|-|-⌫--⌫|-⌫|-|---|
a tere cheta gran tdolur	|---|---||----⌫|----|
da m e fait il	--⌫-⌫|---|-|
purd eu amur	--|-⌫-|---|
merciaiezdecest pecheur	----|---|-|---|------|
q ue neseie a	-⌫-|-|---||
mort liuré	---|-----|
pardiablequema d	--|-----|--||-⌫|
aie zmadamepu rdeu pite	---⌫|-|---|--⌫|--|---|
oreu eitla d ame eentent	--|-⌫--|-|-⌫--||-----|
ke lieu esque	-|-|--⌫----|
uersluiseplie esus	---|--|-|---||--|
del atereu ils	-|-⌫|---||-||
decel signaclel adpuisgarni	-|--|-------||-|---|----|
u iesucristleb r az tendi	|---|----|-|-⌫-⌫-|----|
la croiz uilsuf f ri	-|----||-|---⌫-⌫-|
la mortpurnusfudtrahi	-|---|--|--|--|----|
maisli diable quideceu	---|-|-----|--|----|
aueit kei m or e	----|---⌫|--⌫|
pa rlaforc ee la uer tu	--⌫|-|----⌫||-|---⌫-|
de la croizad ueu	-|-|----|-|--|
q uantladla damesideli uré	-⌫---||-|-|---|-|----⌫---|
cum auant l e	--|----|-⌫|
u us aicunté	-⌫-|-|-----|
deldiablequil ot	--|-----|--||-|
l ad m e né	|-|-⌫-⌫--|
luie s a cumpai g nie	--||-⌫|------⌫-⌫--|
ladame meinea l a bb eie	-|---|----|||-⌫--⌫--|
maisq ua ntleeureesteit oie	---|-⌫--⌫-|-|---|-----|--|
que sibelfud acumpli e	--|-|--|--|-------⌫|
tutesles damescummunement	----|--|----|----------|
loentdeu deuotement	----|--|---------|
egluue nant	|-----⌫---|
deioieuersdeus les paumestent	-|---|---|---|--|-----|---|
quantces t o u reest	----|---⌫|-⌫-⌫-|--|
cu m eleuus esticimustr ee	--⌫|--|--|--|--|-----⌫-|
labessesestpurpense e	|-----||--|--------⌫|
ke dedeuert	-|-|--|--|
quemelzles uo ldrac unfermer	--|---|--|--⌫---|-⌫-------|
nepuis sent re c hauie r	-|----⌫---|--⌫-⌫-----⌫|
puis les menelungdelmust e r	---|--|---|---|--|----⌫-⌫|
pa r unbatuantif	--⌫|-|---|----|
parc ele ueiekemu ltest pleine	--|-⌫--|---|-|--⌫-|--|-----|
l abb esselesame ine	|---⌫---|--|---⌫--|
desu zlemuntalafuntaine	----⌫|-|---||-|-------|
duntcl eree freideestlaueine	---|--⌫--||-----|--|-|----|
u elesoltlanuitd yue r	|--|---|-|---||---⌫|
des quelesespalles nueester	---⌫--|--|-------|--|----|
desqueleeust le saute r	----|--|---|-|-----⌫|
tuitterminéai n z le c h ucher	---|-------|--⌫-⌫|-|-⌫-⌫----|
qu antdesquela esteit	--⌫--|-----|-|-----|
ala tere esttost chau e	|-|---|--|---|----⌫|
enoreisuns	-|-------|
ad tantieue	-|---|---|
pardeu bi en e ntendue	--|--|--⌫-|-⌫------|
que s apriere	--|-⌫|-----|
este itoie	----⌫-|--|
atant selieu eladeu	----|-|----⌫|-|--|
a lafuntai nequeest eit serrie	|-|------⌫-|--|---⌫--|-----|
oant t uzen	---|-⌫-|-|
h altlescrie	-⌫--||-----|
sursefaiteleiouuscoman t	----|---|--|-|--|-----⌫|
depar tdeu	-|---⌫|--|
le t uitpo ant	-|-⌫-----⌫--|
qu efist e nmer peisun	--⌫|---|-⌫|--|-----|
eent ereo is eiluol ant	|-|-⌫--|-⌫--⌫--|---⌫--|
kisendonaasa lemun	-|--|---||--⌫----|
ue rt u eforce alber	--⌫--⌫||----|-|--|
kiionasgarnidel	-|----|----|--|
delfel leun	--|--|---|
lessezla ueiedeu erslap la igne	-----|-|---|---⌫--|-|-⌫--⌫---|
siuusuenez enlamuntaine	-|--|----|-|-|-------|
i o uoilk ekaimibaign e	-⌫|---|-⌫|---||-----⌫|
sunbastunprent	--|-----|----|
e pusseigne	|--|-----|
fi niesapriere	--⌫--|-|-----|
lewele ssesabeisere	|--|--⌫--|-|------|
oreoiez enquelmanere	--|---|-|---|-----|
lirus sels	-|---⌫---|
recur tareire	-----⌫|-----|
ladame a dpuisle	-|---|-⌫|---|-|
oiezm erueil leeuerit e	---|-⌫------⌫-||-----⌫|
karlirusselsquiadlessé	--|-|------|--|-|-----|
s undre it chane llasuitalpe	-⌫-|---⌫-|-----⌫|-|---|-|-|
el et rainesu nbastun	--⌫|-⌫----|--⌫|-----|
e lafuntaineun adraisun	|-|-------|||-|-----|
a gr antbruit	|--⌫--|----|
e ara nd un	||--⌫--⌫-|
lasuuttu zdre it al talun	-|---|--⌫|---⌫-|-|----|
alsumetlad	-|----||-|
dela roche ke fudcauee	-|-|----|-|--|----|
cumparenginfud o ueree	--|--|----|--|-⌫----|
eaceloesainz	||--|--|---|
ap rest ee	--⌫----⌫-|
entreenzal cr oiser	----|--|-|--⌫----|
quefudcauéenc elrocher	--|--|----|-|-⌫-|-----|
puisifaitleuesqueentrer	---||---||------|-----|
quisuncorside it baigner	--|--|---||--⌫-|------|
cilqua ntotlesdrasosté	--|---⌫-|-|--|---|----|
enz el baingest tostentre ́	--|-|----|--|---|-----⌫|
maischaud l e	---|----|-⌫|
troueeatempr é	----||------⌫-|
cum sifa itlifustde	--|-|--⌫-|-|---|-|
lamerueilleestmultgra nt	-|--------|--|---|---⌫-|
de cestm iracle	-|---|-⌫-----|
q u eu oiscunt ant	-⌫-⌫|-⌫--|----⌫--|
qu elezel emenzuunt ch angant	--⌫|--|--⌫----|---|--⌫-----|
a suncuma nt	|--|----⌫-|
karla funtaine que parna tu re	--|-|-------|--|--|--⌫--⌫-|
esteit f reidead esme sure	-----|-⌫----||-⌫----⌫---|
enla roch en aiue e dur e	-|-|----⌫|-⌫---||---⌫|
deue in tchaudes anz	----⌫--⌫|-----|-⌫--|
eschau fure	------⌫---|
mesq uiseuol tb ien purpen ser	--|-⌫-|-|---⌫|-⌫--|------⌫--|
nesedeit e smerueiller	-|-|---|-⌫----------|
pur l uichanger	--|-⌫-|------|
les elemenze r euerser	--|------||-⌫------|
kardeu pramet	--|--|-----|
ceo m esta uis	--||--|-⌫--|
par lawa ngir easesa mis	--||---⌫----⌫||--|-⌫--|
qui enla fe i n auera	--|-|-|--⌫||----|
deuertufaire a	-|----|----||
e seintpollapostr e d ist	|----|--||------⌫|-⌫--|
sulumc eoquetroisescr it	----|-⌫-|--|----|----⌫-|
qu i chastement	--⌫|---------|
p urdeuseuit	-⌫-|--|-|--|
enluiaue ra lese int esperit	-|--|---⌫-|-|--⌫--|------|
neuitcestebienchastement	-|--|----|---|---------|
ke gu erpi ad cestmund p re sent	-|--⌫---|-|---|---|-⌫--⌫---|
cunfort de amiedeparent	------|-|--||-|-----|
purdeu seruiratalent	--|--|-----||-----|
o rguilhe te	-⌫----|--⌫||
uncsachar ne fudblesmie	--|-|---|-|--|------|
deumbl es ce estgarnie	-|----⌫--⌫-|--|-----|
purce one memerueilieo mi e	--|--⌫|-|-|------|--|--⌫|
sideul ia d ledun	-|--|-⌫|-⌫|-|--|
quienli se st he rb ergé	--|-|-||-⌫-|--⌫--⌫----|
duntle pople	---|-|----|
seita mendé	---|-⌫-----|
eilmeismesplushonuré	|-|------|---|------|
atantse met	----|-|--|
ladam eauan t	-|---⌫|----⌫|
deuant k eimtuitenestant	-----|-⌫--|---|-|-----|
si refaite lerei tuitpoant	--⌫-|---|-⌫-|--|--------|
acesteuesques eezgarant	|---|------|-⌫--|-----|
quediablepar saueisdie	--|-----|--|-|------|
iu rs add e bonsenuie	--⌫-|-|-⌫|---|----|
ue rslu i nait mes	--⌫-|--⌫||--|--|
cumpaignie	---------|
be udu zsireicomotrie	--⌫|--⌫|---|--||----|
puis l ads us	---||-|-⌫-|
delbai ngle ué	--|---⌫-|--⌫--|
ui lsuncorsaueit laué	|-⌫|--|---|----|----|
eparlaforce ela bun t e	|--|-|----||-|---⌫-⌫|
deceste dameses	-|----|---|--|
malsleisé	---|-----|
unc orefaitdeuu ertu	---⌫--|---|--|-⌫---|
en icelliupursaducur	-|---|--|--|-|----|
karlebaingel achalur	--|-|----||-⌫|-----|
uncoreduredesquac est iur	-----|---|----||-⌫--|--|
parla mer itee lesbuntez	--|-|---⌫--||--|-----|
dameduntuu s oiez	---|---|--⌫|---|
det restutezenferm etez	-|-⌫-------|------⌫---|
i seinentgentqu e suntbain gnez	|------|---|--⌫|---|----⌫---|
uncoreestl eliunumé	-----|--|-⌫|--|----|
le ba igkeim pur u erite	-|--⌫-|---|--|-⌫----|
ata ntleuesque pr entcungi e	---⌫-||------|--⌫--|-----⌫|
s is enes tiousalé	-⌫||-|--⌫|---|---|
a lhermit orie dunt	||------⌫---|---|
quantlidi abl e l ottra hi	----|-|--⌫---⌫||-|---⌫-|
elab besse tuitaut r esi	||--⌫----|---|---⌫-⌫--|
a la b e iesen r euerti	||-⌫-⌫-⌫-||-|-⌫-----|
oreme uo il icireposer	--|-|--⌫-|--|------|
ecest miracletermin er	|---|------|------⌫-|
pu rrezrec ourer	--⌫---|---⌫----|
