cicomenceli	-|------|-|
e t qanti luit	-⌫|---|-⌫|--|
s on fre re	-⌫-|---⌫-|
sonau o i r	--|--⌫-⌫-⌫|
illestalezbaisier	-||--|---|------|
selre cut bonemen t	-||--⌫--|-------⌫|
rec euaiacobsesfr erescom amis	---⌫-||----|--|--⌫---|--|---|
otroialipartie e n trestout som pais	-----|-|-----|-⌫|-------|--|---|
iacob iutor ach elsiengendr azzfiz	----|--||-⌫---⌫-|-|-------⌫|-|--|
c efui osephlisagesli prex	-⌫|-|-⌫----|-|----|-|---|
etligent is	-|-|----⌫-|
c e stcilquif uuenduz	|-⌫-|--|--|-⌫|-----|
en laterred egyps	-|-|----||----|
sontlesgrange s et licel i er	---|--|------⌫|-|-|---⌫-⌫-|
fereenegyp te pa rplusorli us	---|-|----⌫-|--⌫|-----|--⌫-|
cefuicil iosep	-|-|---|----|
queiacobt anta m a	--|----|-⌫--|-⌫-⌫|
il leuapar mat ina	-|---|--|---⌫-||
som pereco nta	--|---|--⌫--|
entenper e sdi fiz ettes	----|---⌫-⌫|-|--|-|--|
pereslorra	----||---|
un chamui d e bonblet ne	-|---|-|-⌫|--|---|-|
saiqu i lesema	--|--⌫|-|---|
e nicelb lemeurchascunsdeno santra	-⌫|---|-⌫-|---|-------|-|--⌫|----|
etch ascu ns demesfreressoiager b eet	-|--⌫----⌫-|-|--|-----|---|---⌫-⌫|-|
ieetuos e tma mer eet c hascunssabei ssa	-|-|--|-⌫|-|---⌫|-|-⌫------||----⌫--|
desger besuerslamoiech ascune senclina	--|---⌫--|---|-|---|--⌫-----||------|
qant sifrereloirentsiorent	---|-|----||-----|-|----|
granttristor	----|------|
ent rausenontparlécommefausboiseor	---⌫|--|-|--|-----|----|---|------|
iacobli nostrepe rescroit trop	----|-|-----|--⌫--|----|---|
ces ts ongeor	---⌫|-⌫-----|
seilpuet esploitie ril	-|-|---|---------⌫|-|
enferasignor	-|---|-----|
adenoscu re	|-|--|--⌫-|
il nos tol d ra l o nor	-|--|---⌫-⌫-||-⌫--|
ancont rermorz soita	------⌫--|---|---||
orc ons aut	-|-⌫---⌫--|
diexiosephparsasaintedoucor	---|-----|--|-|-----|-----|
soniazz au tre songesom per elaconté	----|-|--⌫--|----|--|---⌫|||-----|
liso l ausetlal unebiausperespar uerte	-|--⌫-⌫--|-|-|-⌫--|----|----|--|----|
lesest oilesperdirentlorclarte	--|---⌫----|--------|--|-----|
e tqantgirega rdaitoutfuenl uminé	-⌫|---|||----⌫---|---|-|---⌫-----|
pa rfo i cedist	--⌫|--⌫|-|---|
l ip ere snostresiresse rez	-⌫|-⌫---⌫|-----|----|--⌫--|
so rmoietsoruo z	--⌫|--|-|--|--⌫|
freressi refizre gnerez	-----|--⌫-|--|--⌫-----|
etre spondirent lifrere ia cel iorneuerrez	-|--⌫---------|-|----|-|--|--|-|-----|
qant entendili pe res	---|------|-|--⌫--|
uont correcant	---|--------|
ilsai llisuzempieznel	-|---⌫--|--|-|---|-||
distpas enoiant	---|--|-|----|
ce q entre uosalezsimurmurant	-||----|--|---|-|--------|
fuiez e nsu zde mo im enezl a rma ille	----|-⌫---⌫|-|--⌫|-⌫---||-⌫---⌫---|
le uerents uz etontfait son commant	--⌫-----|-⌫-|-|--|---|--|------|
etresp ondi	-|----⌫---|
io sephilnira miea tant	--⌫---|-||--|--|-⌫---|
pere iluosonthoni caril	---|-|--|--|---|--|-|
so nt malenfant	--⌫-|--|-----|
m alementonterréd un e uostresoig nant	-⌫------|--|----||--⌫|-----|----⌫---|
oliont tui t geuse n	|-|--|---⌫|--||-⌫|
s ontempech iegrant	-⌫--|-|----⌫-|----|
liperesforment	-|----|------|
doupechiequilont fe tforment lianuia	--|-----|-|-|--|--⌫|------|-|----|
o rsetquilso nt	-⌫|--|-|-|--⌫-|
en criemee t diexsenue nge ra	-|-----|-⌫|---||-|--⌫---⌫-|
misen o ubliet lit enstrep a ssa	--|-|-⌫---|-|-|-⌫--|----⌫-⌫--|
ne reu indrentsi fil que	-|---⌫------|-|--|--|
nes unsd axnosa	---⌫--||-||--|
dolan ziosephenapela	-----⌫|-----|-|----|
uato st siquie rte s frere set	-|--⌫-|-|----⌫|--⌫|-----⌫|-|
illi otroia	-|-|-----|
uatos tsiquier te s fre resporte loram angier	-|---⌫|-|----|--⌫|---⌫--|----|--||-⌫-----|
i l s o ntespoanté	-⌫|-⌫-⌫-|--------|
ie nelesuidesier	-|-|--|-|--|--|
etou lestr o ueraidroitasicanlesquier	-|-|--|--⌫-⌫----|----||----|--|----|
etc il i uata nt ost qu iln	-|-⌫-||-|--⌫--⌫--|-|-||
icr ientancombrier	|--⌫---|---------|
qan t iluin ta sicanasonc ol	---⌫|-|---⌫||----||--|-⌫-|
neni anultroué not	|-|||--|-----||-|
en l uiqair ier	-|-⌫-||---⌫--|
h omliad itq u	-⌫-|-||-⌫-|-⌫|
iln ifurent	-|||-----|
sezm e tuou il sontdile moibacheler	--|-⌫|-|-|-|---|-|-|--|-------|
am isadotam ilesenui	--⌫-||-----⌫|--|-|-|
et chamausetbrebizui d eu a ntaus mener	-|------|-|-----|-|-⌫--⌫-⌫-|--|----|
sachesmonesci entla	-----|--|----⌫--|-|
le sporras tro ue r	--⌫|-----|---⌫--⌫|
io s ephosonmangiern	--⌫-⌫--||--|------||
iuost plus	|---|---|
ue rs dotamisen	--⌫-|-----||-|
uaquene uostarrester	-|--|-|---|-------|
qa ntl euirent ue n ir si pristrenta	--⌫-|-⌫|-----|--⌫-⌫-|-|--------||
songeoret carl alons	------|-|--||----|
nouferons dist r uban il n estrapasocis	|-|-----|---|-⌫---|-||----|--|---|
iacertesde nozmai nsniaur asanc malmis	-|-----|-|--|---⌫-|||---⌫|---|-----|
nos trefr eresn est pasnos treanemi s	---⌫--|--⌫---||--|--|---⌫--|-----⌫|
iesai unecisternesisoit	-|--|--|-------|-|---|
ladedanzmis	-|-----|--|
ilue cremain gnetantqu e ilisoi tporriz	----⌫|------⌫--|------⌫|-||---⌫|-----|
illedisoit po rce	-|-|-----|--⌫|-|
uoetquilsoit gari z	---|-|-|---|----⌫|
e tqu eilleuo loi t	-⌫|--⌫|-|-|--⌫---⌫|
aup ererendreuif	-|-⌫--|-----|--|
ne dem orac u mpouest e uos	-|---⌫--||-⌫|--|---⌫|--|
ma rcheanz	--⌫------|
quiuers egyptealoien t totlorcheminerranz	--|---|-----|------⌫|--|--|-----|-----|
al a l oide la	|-⌫|-⌫-|-|-|
terre salue ntl esa nfanz	----|-----⌫-|-⌫-|-⌫----|
ios eph lor ont uendusol por y ybesan z	---⌫--|--|--|----|--|--|-⌫|-----⌫|
et q antleuoitrub an molt	-|-⌫--|-|---|---⌫-|---|
end eui nt dolanz	-|-⌫---⌫-|-----|
conseil pristrente nt rax quin	------|--------|-⌫--⌫|-|--||
e stpasauenanz	-⌫-|--|------|
ontpris eu n ecote	--|----⌫|-⌫-⌫|---|
toutelont dessiree	----||--|-------|
dousanc dune	--|---||--|
o ntbi ena nsanglantee	-⌫-|--⌫-|-⌫----------|
alorpere etsi	|--|---|-|-|
li ontdonnee	-|--|-----|
etdientqueuns	-|----|--|--|
leus asachar deuo ree	---||-|---|----⌫--|
qa ntiacob l entendilacoulor	--⌫-|----||------|-|-----|
l iauedouc uerliesten	|---|--|-⌫--|-|--|-|
sesbiaxiex mont ee	--|---|--|----⌫-|
etcontreuals ab arbemenurecercelee	-|--------|-⌫|-⌫---|---|---------|
lasoie uesteurea	-|---|-------||
toutedessiree	----|-------|
oi e zsign or	--⌫-⌫|----⌫-|
fait ilcommale destin ee	---|-|--|---|------⌫-|
lachar s de mo nbel filquiestamal	-|----⌫|-|--⌫|--|--|--|--||--|
d e traitsabarbeblanche durement	-⌫-⌫----|-|----|------|-------|
qant ui n tde pasmi son lacoteregar da	---|--⌫-⌫|-|-----⌫--|-|---|-----⌫-|
toz ses prochainsuoisinsdeuant	--|--|--------|------|-----|
la cotedolerose	-|---|-------|
fillo rmostra	--|--⌫|-----|
sig norqenditesuoscist	---⌫--||-|----|--|---|
dolanzquefera	-----|--|---|
morz est mes	---|--|--|
fizi o s epdiex quime le	--|-⌫-⌫-⌫-|---|--|-|-|
f izi osep ht es peresqu e dira	-⌫-|-⌫----⌫|-⌫-|----|--⌫|---|
helas dola nspe chierres porqoi	-|--|----⌫-|--⌫-------|--|--|
lia nuoiai	||-⌫-----|
que nial au nsau tresaincne	--|||--⌫|-⌫-|--⌫---|---|-|
me napensai	|-⌫|------|
hediex carmerespondi	-|---|--|-|-----|-|
moisemais l aurai	--|-|---||----|
la s com sui	--⌫|--|--|
angoissexia maisne leu errai	--------|--⌫---|-|-|-⌫----|
si re quimainzlassuzdip or qoi lengendrai	--⌫-|--|----|-----|-|-⌫-|--||--------|
po r qoi la iienorriqantiss iperdu	--⌫|--||-⌫|-|----|---|---⌫|----|
con silli ezm oisignorcertes ouie morrai	---⌫-----⌫-|-⌫-|-----|-----|-|-|-----|
moltmestmal	---||--|--|
aueréqued elui proposai	-----|--|-⌫|--|-------|
biausper e car me nsaingneo uquer rai	----|---⌫|--||-⌫-------|-⌫|----⌫--|
mona nfant	--|-⌫----|
t usezbien biaudozsirequeie	-⌫|--|---|---|--|---|--|-|
l amoiet ant	|----|-⌫--|
sauua g e diextedoint hontegrant	-----⌫-⌫|---|-|----|----|----|
quiasoc is i osephetas beu	--|-|--⌫-|-⌫----|-|-|--|
tendre asd euoréouchamp	-----|-|-⌫-----|-|----|
biauu i sbelefaitu re	---|-⌫-⌫|---|-----⌫-|
c om auoi escuerfranc	-⌫-|----⌫-|---|----|
por qoifeistant	--|--|---|---|
be le cria ture	--⌫-|----⌫---|
eusfaitporqoi n	--|---|--|--||
enpr eis c ure	-|--⌫--|-⌫--|
h aiiosephma ruiuostrebelef aiture	-⌫-|-----|--⌫|-|-----|---|-⌫-----|
ne naistraapiece homde latoieestature	-|------||----|--|-|-|---|-------|
ueritaxestiesc e est ueritezp u re	------|-----|-⌫|--|------|-⌫-⌫-|
adontrec hietpasmezdessorla	----|---⌫---|-----|-----|-|
d erache lpas	-⌫|-----⌫|--|
en lamaisonentra dolante escheuel ee	-|-|-----|----|------|--------⌫-|
uitp a smé	--|-⌫-⌫---|
sonsigno raterrechietp asm ee	--|-----⌫||----|----|-⌫---⌫-|
q ant uintdepasm ison lacoteaesg arde e	-⌫--|---|-|----⌫---|-|---||---⌫----⌫|
eleerttou tesanglanteet tou tede ss ir ee	--|--|---⌫-|--------|-|---⌫-|--⌫--⌫--⌫-|
elegetaz z	--|---|-⌫|
cr i c ome	--⌫|-⌫--|
f emeforsenee	-⌫--|-------|
i cesachie z	-⌫-|------⌫|
p oruoirseb ien	-⌫-|---|-|-⌫--|
fuste scoute e	---|-⌫------⌫|
qu elauoiz fust oiebienloi n z dela	--⌫|-|---|---|--|---|---⌫-⌫|-|-|
finésoncri molt tendrementpl ora	----|--|--|---|---------|--⌫--|
ioseph sonch ieranfant	-----|--|--⌫--|-----|
docementregret a	-------|------⌫|
b iausdo zfizdist	-⌫---|--⌫|--|---|
ra cheltamere que	--⌫---|-|---|--|
moltfuiioiouseet	---|--|------|-|
lieqant iacob tengen dra	--|---|----||-----⌫--|
e tqa ntfus nezen terre	-⌫|--⌫-|--|--|-|----|
gra ntioi edemena	---⌫-|---⌫|-----|
m oltsoef tenorrin us n ete	-⌫--|---|-|----|-⌫-|-⌫|-|
orestesmo rzbiausfi zuost remere morra	-|----|--⌫-|----|--⌫|----⌫-|---|----|
ausiferauozperesbiensai	---|---|--|----|---|--|
i anen u iu ra	-⌫||-|-⌫--⌫-|
hailassedolan tecomsui	--|----|-----⌫-|--|--|
descon silliee	------⌫------|
ioseph mesbiausami sco m	-----|--|----|---⌫|--⌫|
suipor uosirie	--|--|--|---|
com estoiedeuospen eeettrauillie	--|-----|-|--|---⌫-|-|--------|
haibe s tesa luagecomp ar	--|--⌫-⌫-|--⌫----|--|-⌫-|
f usenragie	-⌫-|------|
mo nbi aufiz	--⌫|--⌫-|--|
porqoila s t umangie	--|--||-⌫|-⌫|-----|
lassedolant efe me que n i fui anuoie	----|------⌫|--⌫-|--|||--|-----|
fustorpas morz	---|-|--|---|
s acharsfust e spargn ie	-⌫|----|---|-⌫------⌫-|
i acobdeso rtendrons dolerosemaisn ie	-⌫---|--|-⌫|-------|-------|-----⌫-|
leeceiamais ne	----|-----|-|
dei oseph le	-|-⌫----|-|
beneoitanfa nt	------|----⌫-|
enegyptel enmain nent	-|-----||-|----⌫---|
o auslimarchant	|--|-|-------|
lirois laach eté	-|---|||---⌫---|
sen afaits oncommant	|-||---|-⌫-|------|
ouper tr in ou trauailsof frigrant	-|---⌫--⌫-|-|------|---⌫--|----|
p uissesdespens iers auquesala auant	-⌫--|--|-------⌫---|-----|--|----|
etpuissesseneschaussi comtrouon slisan t	-|---|--|---------|-|--|------⌫|-----⌫|
et otpuisensa garde	-|-|---|-|-|----|
toute e gyptela	----|-⌫----|-|
il fubiausbache lerset plains degrant	-|-|----|-----⌫---|-|-----|-|----|
e tsine fu pas fie rs	-⌫|-|-|-|--|---⌫-|
pl ainsfu du mil ite	--⌫---|-||-⌫---⌫--|
mo ltpar fu charit able smo lt	--⌫-|--|-|------⌫----⌫|--⌫-|
amoituerite	----|-----|
pas l uxur iexainzere enchastee	--|-⌫----⌫--|---|--|-|------|
ai n cparluinefuhomatort deserité	--⌫-⌫|--|--|-|-|--||---|--------|
etliroisfaraonsletint	-|-|---|------|-|---|
e n telchie r t e	-⌫|--|----⌫-⌫-⌫|
regnedeg ypteli atout	----||--⌫---|-||---|
i osephestoit moltsages bels er uiso n signor	-⌫----|-----|---|----|--|-⌫--⌫-|--⌫|-----|
qantliroisle	---|-|---|-|
fran chi mo lt lifist grant hon or	----⌫--|--⌫-|-|---|----|---⌫-|
sor t ou tescriaturesamailsonsignor	--|-⌫--⌫--|--------|--|-|--|-----|
certes et tuit	-----|-|---|
l amoientligrant etli	|------|-|----|-|-|
tuitdisoie nt	---|------⌫-|
a ntrax f i ze r t d empere or	-⌫--|-|-⌫-⌫|-⌫-⌫||------⌫-|
aincne fuhom	---|-|-|--|
en terretanthaistt raitor	-|----|---|----|-⌫-----|
ne hom e de laterrequilseust	-|---⌫|-|-|----|-|-|----|
neain c ason conse ilna n ma ancuse or	-|---⌫||--|-----⌫-||-⌫-⌫-|------⌫-|
ios e ph estoit molt biaus et	---⌫-⌫-|-----|---|----|-|
otsageparole	-|---|-----|
tantlamal aroineque	---||--|-⌫|----|--|
tout een deuintfo le	----⌫|-|-----|--⌫-|
parfoiceestda ma ges qant tentat ele e scole	--|--|-|--|--⌫--⌫--|---|---||-⌫--|-⌫----|
la roineertmoltbe le etauoitla char	-|----|--|---|--⌫-|-|----|-|---|
qant iosep h	---|-----⌫|
pu ettenirsi lebese	--⌫-|----|-|-|---|
dolanz enfuioseph qant ui t lafole amor	-----|-|-|-----|---|--⌫|-|---|---|
mo lt creietamaf araon	--⌫-|---|-|--|-⌫----|
biensoutque la roine	---|---|--|-|----|
queroit sadeshonor	------|-|-------|
bien sen ga rd aioseph tantqueuint a zzior	---||-|--⌫--⌫|-----|------|---||-|--|
queli roistint sa	--|-|---|---|-|
cort en som palais	---|-|--|-----|
fu re ntcont ebaro neta umacor	--⌫--⌫-|----⌫|----⌫|-|-⌫-----|
dontrotentet uie l entharpentciliougleor	---|-----|-|---⌫-⌫--|------|--|-------|
iosep hfuseneschaus	-----⌫|-|---------|
auantfuapel ez	----|-|----⌫-|
aditlirois am is	|--|-|---|--⌫-|
au ant u en ez	--⌫--|-⌫--⌫-|
alezporlar oine	---|--|-|-⌫---|
casuzlam amenez	-|--|-||-----|
u olentiersdi stioseph	-⌫--------|--⌫-|-----|
puisquelecom mandez	------|-|---⌫-----|
dou palaisest	--|-----|--|
issuz ete nlacha m bre antrez	----|-|-⌫|-|---⌫-⌫--|-----|
dameli roisu osmande	---|-|---|-⌫-|----|
moipa rlez	--|--⌫---|
ios ep h saisis tla dam e	---⌫--⌫|------⌫|-|---⌫|
et lidistc iseez	-|-|---|-⌫|---|
s aurez amoi afer e dame mais n e n	|----||--||---⌫|---|---||-⌫|
miex uoldro ie estre	---|------⌫-|----|
morzet enzz	---|-|-|-|
qant s aparcoitladame	---||-------|-|---|
queios ep hnel	--|---⌫--⌫|-||
et ques auolantemienaco mplira	-|--|-⌫|------|--||---⌫-----|
sia pri s som	-||---⌫|--|
menteletdou collisac h a	-----|-|--|--|-|---⌫-⌫|
haut esuoiz com	----⌫-|---|--|
deables cria	------|---|
lirois oilauoiz forments	-|---|-|-|---|------||
enmeruilla	-|-------|
ilcoruenla	-|---|-|-|
ch ambrelaroine troua	--⌫----|-|----|----|
trest o uteesch euele edeme ndeli	-----⌫-⌫--|----⌫-----⌫|----⌫--|-|
iosephlemeuo st fereson ment e li la issa	-----|-|-|--⌫-|---|--|----⌫-⌫||--⌫---|
liro isqantoicesac hiezmoltfu	-|--⌫-|---|-|-|---⌫---|---|-|
issuze st de l a chambre el	----|-⌫-|-|-⌫|------|-|
palai sest	-----⌫|--|
adoncases ba rons ant orlui	----||--|--⌫---|---⌫-|--|
signormibonamizzconseilmedone z	-----|-|--|--|-|------|-|----⌫|
que f eraienchartre	--|-⌫---|-|------|
bienense rezuen gie z secroire	---|-|--⌫--|---⌫---⌫|-|-----|
demain sera	-----|---|
panduz etauuen tencroez	-----|-|-|---⌫|------|
hai do lanzpe chablesporquen donnaid en ier	--|--⌫---|--⌫------|--|-|-|-----|-⌫--⌫--|
ned edansmono stelp orqoimotilmestier	-|-⌫----|--|-⌫---|-⌫-|--||-|-|------|
de cefis ie que	-|-|--|-|--|
fols qantg enfisdes pensier	---|---||-|--|---⌫------|
puisenfi s	---|-|--⌫|
senes chal po rhonirmamoillier	-----⌫---|--⌫|----|-|-------|
uo irced is t li ui la insp arfoi	--⌫-|-|-⌫--⌫|-|--⌫--⌫--|-⌫-|--|
enr e prouier	-|-⌫-⌫------|
tosto utar tserepantqalieuepautonnier	---|-⌫|---⌫|-|-----||-----|---------|
a il forfaitie l auoietan tch ier	|-|------|-||----|---⌫|--⌫--|
i een fisseneschal d egrezet uolentier s	-⌫|-|--|--------|-⌫|---|-|---------⌫|
otplusqu e d ire	-|---|--⌫|-⌫--|
tantostfuenchartrez	------|-|---------|
sachiez quelaidement	------|--|--------|
iosephiete z	-----|----⌫|
la deda n zenlachartrea	-|----⌫-⌫|-|-|------||
l eior i furentmis	-⌫|--||-----|--|
et leiorancusez	-|-|--|------|
andui furent auroi	----|-----|-|--|
sergentmolthonorez	------|---|------|
boutilli ersfuliuns de la	--------⌫--|-|-|--|-|-|
lautresestdouprestinri che s	|-----|--|--|------|--⌫---⌫|
et assasez	-|------|
sign orencele chartre auoitmolt d eser pans	----⌫-|-|---|------|----|---|-⌫|---⌫---|
eleestoitmolt pullant e etoscurede dans	--|-----|---|-------⌫|-|-----|--⌫---|
mol torentgrantso ffraiteice sa c hiezl onctans	---⌫|----|----|--⌫------|--|--⌫-⌫---|-⌫--|---|
nes al auisete rneamisne	|-|--⌫|------⌫|-|---|-|
ferailonc conte molt esto ientdol ant	----|---|----|---|----⌫---|---⌫--|
tuit furentoublié daus	---|-----|------||--|
nestoitnus	|-----|--|
maisnes u ostoubl ierlirois	---||-|-⌫--|----⌫--|-|---|
o mnipoten s	-⌫--------⌫|
sedormire ntm ais	-|-------⌫-|-⌫--|
danz iosephuilla	---|-----|----|
lasfurent etdolantc hascuns son ge son ia	--|-----|-|-----|-⌫------|---⌫-|---⌫-|
ilses uillerent chasc un slesienconta	-||--⌫--------|-----⌫--⌫|-|---|----|
iosephpasnedormimaism oltbienescouta	-----|--|-|----|---|-⌫--|---|------|
i e s oniaidistliu nsor entenamo i ca	-⌫|-⌫----|---|-|-⌫-|-|----||--⌫|-|
quelir o is farao ns o u pretrinm	--|-|-⌫-⌫-|-----⌫-|-⌫|------||
qaport asseferine	|-----⌫---|-----|
liroismecomme nda	-|---|-|-----⌫--|
sifis ie s or	-|--|-|-⌫-|
monchiefmaisliuenzlenosta	--|----|---|-|---||-|---|
unscorbiausmaco rbeille	--|-------|-|--⌫------|
detraite t de peca	------|-⌫|--⌫---|
par foicedistiosephic istdemain pandra	--|--|-|---|-----|--⌫--|-----|-----|
iap a rhome	-|-⌫-⌫|---|
dontrespondi comsag e sp ar foi	---|-------|--|---⌫-⌫|-⌫-|--|
liboutillier s	-|----------⌫|
nemed o ipas	-|-|-⌫-⌫|--|
hasterneestrebob ancier s	-----|-|----|---⌫------⌫|
iceq ue iai songié	--|-⌫-||-|------|
dieulediie premiers	---|-|-|-|-------|
luiledi et	--|-|-|-|
sesanglesbonsme so it	--|-----|---|-|--⌫-|
et no n gr ies	-|--⌫|--⌫--|
iesonioienuitges toiebout illiers	-|------|---||--⌫---|----⌫------|
etq u ea moltgrantioiemertrenduz	-|-⌫-⌫||---|----|---||--|-----|
mes m estiers	--|-⌫------|
si seruoiea cheu al	-|------||----⌫-|
combachele rs	--|-------⌫-|
trestuitm i	-------|||
honoroient sene stoie	---------||-|-⌫----|
mo ltli ez	--⌫-|--⌫-|
par ma foi distio se phne	--|-|--|---|--⌫--⌫-|-|
uosi ert esloingniez	--|-⌫--|----------|
ami scedistiosephpa rfoibi en gariras	---⌫|-|---|-----|--⌫|--|--⌫-|------|
pu isdi st	--⌫-|--⌫-|
aupri ste oramistu periras	-|---⌫---⌫-|---|-|------|
ainzqueuai ngnele uespr edem ainpandus seras	------|---⌫---|-|-----⌫|---⌫--|-----|----|
boutillie rsbiaus amislors	---------⌫-|----|---|---|
d e moipenseras	-⌫|--|-------|
certe s iusqa	-----⌫|---||
t ie rziorto nmestierrauer as	-⌫--⌫-|--|--⌫|------|-----⌫-|
queco rtois se	--|--⌫----|-|
demoimercias	-|--|----|-|
qantenaucunegu isede	---|-|-----|--⌫--|-|
mo ipar le ror ras	--⌫|---⌫--⌫|--⌫--|
amis moltuolentiers netou blieraipas	---|---|---------|-||--⌫------|--|
lipretissieresf u droitas	-|-----------|-⌫|----|-|
forc hesmenez	----⌫--|----|
pandu zfuuoir emen tses songeest auerez	-----⌫|-|----⌫----⌫|--|----|--|-----|
bout il lie rs fudelachartre iete z	----⌫--⌫---⌫-|-|-|-|------|----⌫|
etiosep hlidolan ziest to z	-|-----⌫|-|-----⌫||--|--⌫|
asseziots offretestozi	----||-|-⌫-------|--||
fu oubliez	-|------|
entre sque azziorqueuosoirporrez	-----⌫---||-|--|--|--|--|-----|
queliroisfaraon s comsages etse n e z	--|-|---|------⌫|--|----|-|--⌫-⌫-⌫|
se couchaenzzlitousestoit	-|-----|-|-|--|-||-----|
liroissomillatantqueil fuando rmi z	-|---|------|------|-|-|----⌫---⌫|
roiscelsoir	---|--|---|
ueoityy e spiz	----|-|-⌫---|
lesy yc har giezdeble	--|-⌫|-⌫---⌫---|-|--|
lesyyuuizetfailliz	--|-|---|-|------|
enzzchamplesueoi tice lifu a uis	-|-|----|--|----⌫|--|-|-||--|
re gardadautre	--⌫----||----|
par tuitherbe	---⌫|--|----|
enzzlarr i z	-|-|----⌫-⌫|
he rbe iau oi t molt	--⌫--||--⌫--⌫|---|
pre zert fl oriz	---⌫|--|--⌫---|
enmicel p reyy	---|--|-⌫-|-|
grasses uaches	------|-----|
onlesardistia sain s n	-|--|-----|-|----⌫||
en issi st	-|----⌫-|
dou songeq	--|----||
aueuliroissenesperist	|--|-|---||-|-------|
donc amandezses	---||-----|--|
tou tione setui e ls	---⌫|----⌫|-|--⌫-⌫-|
manda tozs esbarons	----|--|-⌫-|-----|
ettozs esconsilliers	-|--|-⌫-|----------|
doncui enentliu ilainapr esles	---|--⌫----|-|-⌫----|---⌫-|--|
c h eualiers	-⌫-⌫-------|
depar tout sonr oiaum e	-|--|---|--|-⌫-----⌫|
aanuoiezses bries	|------|--|----|
que nirema in gnenustant	--|||----⌫--⌫--|--|---|
so i tneprexnefier s	--⌫-⌫|-|---|-|----⌫|
e tquitost n	-⌫|--|---||
iuen raalam ort	|---⌫-||-|-⌫--|
iertiugiez	---|-----|
s ontuenunusne sen esttargiez	-⌫--|---|--|-||-|--|------|
liroislora	-|---|--||
sonsong eet ditetdeuisé	--|----⌫|-|--|-|------|
mai silni anuldausq	---⌫|-||||--||--||
ensacheuerite	-|----|-----|
ez uos le boutillierl er o ia a pelé	-|--|-|---------|-⌫|-⌫-⌫||-⌫----|
sireiesai zz	---|-|--|-|
h ome q endirau erite	-⌫--||-|---|-⌫----|
qui est ildi stlirois	--|--|-|--⌫-|-|---|
sire nelosno merporqoi nemest	---|-||-|--⌫--|--|--|-||--|
a iluer s moi	|-|---⌫|--|
m effaitoil	-⌫-----|--|
paruer i te	--|---⌫-⌫-|
nelnomeraitout li soitpardoné	-||------|---|-|---|-------|
amiso r le menonme c	---|-⌫|-|-|----||
estiosephl	--|-----||
anchartré	---------|
cauien parolea	-|---|-----||
moibiau sireuolent i er s	--|---|---|------⌫-⌫--⌫|
ga rden el mecelerniestu mes	--⌫--|-⌫||-|----||--|-|--|
b outilliers	-⌫---------|
oilsi re po r uoi r ma i s net os	--|--⌫-|--⌫|---⌫|--⌫-⌫|-||-|
correc ie r	------⌫--⌫|
ameilriensme ff ai toildeta moill ier	|-|-|----|--⌫--⌫--⌫|--|-|-|-----⌫--|
est ceiosep h li sersquifumonaumosnier	--|-|-----⌫|-|---|--|-|--|--------|
u a moitost	-⌫|--|---|
alachart re failouaparillier	|-|-----⌫-|--|--|---------|
etc ilicorulor squi lefis t uole nt iers	-|-⌫-||---|---⌫|--|-|---⌫|----⌫--⌫---|
droitauroi lamena	----|-|--||----|
c heualiers	-⌫--------|
signorioseph est oit fo rmentd escolor e z	-----|-----|---⌫--|--⌫----|-⌫-------⌫-⌫|
quedenulcheualiernies toit ui setez	--|-|--|--------|||--⌫---|--⌫----|
molts eso nt	---|-⌫|--⌫-|
mer uilli é qa ntil	---⌫-----⌫-|--⌫-|-|
etplusqant au co nseil futexhom	-|---|---|-|--⌫----|-|--|--|
pu isl a peleli roisamis	--⌫-||-⌫---|-|---|---|
auan t uenez	----⌫|----|
semon son geme ditescer tesetesponn ez	-|--|---⌫-|-|----|---⌫--|-|------⌫-|
ie nesa i que	-|-|--⌫|--|
i edietoutema grace aur ez	-⌫|--|----|-|----|---⌫-|
o rditesdonc	-⌫|----|---|
sempres mesprouerez	------||---------|
orp aro le biausire	-|-⌫---⌫-|---|---|
eti etesse rsl	-|-⌫|--|--⌫-||
pa rm afoiuolentiersiosep h	--⌫|-⌫|--|---------|-----⌫|
ieltedirai	-||-|----|
l a utresoir	|-⌫---|---|
d o rmant soniai	-⌫-⌫----|-----|
q ue g es toie enzzpre toutflorile	-⌫-||--⌫---|-|-|--|---|----|-|
herbeiotetau mailleyy	----||-|-|--⌫-----|-|
en icel epaisture mais moltme rui llai	-|----⌫|-------|---|---|--⌫---⌫---|
que grasses	--|------|
ui les plus	-|--|---|
m enaprochai	|-|-------|
lesau tre suimol tma igre sadonc	--|--⌫---⌫|-|---⌫|--⌫----⌫|----|
si men tornai	-||-|-----|
don claissai	---⌫|------|
ce l aumailleantraienzzsenti er	--⌫|-------|-----|-|-|-----⌫-|
ad on ctrouai	--⌫--⌫|-----|
z z cha mptrestoutp r estde soier	-⌫|---⌫-|-------|-⌫-⌫--|-|----|
lareuiyyespizi osephm entirn	-|---|-|----|-⌫----|-⌫----||
les yychargiezd eblet	--|-|-------|-⌫|---|
les uuizet	--|---|-|
neporqantuerdi oientprismen	--------|-----⌫----|---||-|
a meruill ier	|-------⌫--|
diras ioseps eme sez	----|----|-⌫|-|--|
cons illier	----⌫-----|
secestsongesme dizsirauraston mestier	-|---|-----|-|--|-|-----|--|------|
