multay usécum pechere	---|-|---|--|------|
kantleiuruaite sclarisant	---|-|--|---|-⌫---------|
trestuzaprestezd emalfe re	------|-------|-⌫|-----⌫-|
lienemyliad uersai re	-|----|-|--⌫------⌫-|
duncsedesrenge ntede r eien t	---|-|--------⌫-||--⌫-⌫----⌫|
ardentrobenteprei e nt	-----|-----||----⌫-⌫-|
enlizoccie n tlesd orman z	-|--|-----⌫-⌫|--|-⌫-----⌫|
etu tdes trenchentlesueilanz	|--⌫|---⌫--------|--|------|
nulnepoei t au ergarisun	--|-|----⌫|--⌫-|------|
nedesau ieranc i un	-|-|-|-⌫-|----⌫-⌫-|
ketutnes eit	-|--|-|-⌫--|
a mo rt e liueré	|--⌫--⌫|------|
kanq u e ateintunt	----⌫-⌫|-----|--|
eenco ntr é	|----⌫---⌫-|
ci l kideyngarpoei t	--⌫|-|-|----|----⌫|
esc h aper	---⌫-⌫---|
n ado ufu er forsuer slamer	|-|-⌫|--⌫-|---|---⌫|-|--|
a lenco ntrernepu et	-⌫|----⌫----|-|--⌫-|
d ehubbequ il	-⌫|----|-|-|
nestuet morir	|-----|----|
neauei entgarisunneados	-|----⌫--|------|-|---|
delm ortele p o eplequil	--|-⌫---|-|-⌫-⌫---|-|-|
untencl os	--|----⌫-|
delurdeush os tes e d e l urgent	-|--|---|-⌫--⌫--||-⌫|-⌫-|---|
ke occ isne seientaturment	-|---⌫-|-|-----||------|
quantce legrant pr eiuntconquise	----|--⌫-|----|--⌫-|--|-------|
efet aue ientlagrant occise	|--|---⌫---|-|----|-----|
yn gar l ifeluezierlere	--⌫--|-⌫|--|-----|---|
pristconseila hubbesonfrere	----|------||----|--|----|
k illeraitla lie	|-|-----|-|-||
deuersorient	-----|-----|
lameytedel hosti menereit	-|----|--|---||-------|
elautr e meytelilerreit	||----⌫|----|-|------|
kan tc eofupurparlée	---⌫|-⌫-|-|--------||
e n mer semettesis enuet	-⌫|--|-|----|-||-|--|
odgra nt esto ire od	-|---⌫-|----⌫--|-|
grantnauie	----|----|
odm erueyl u se compaynie	-|-⌫------⌫-⌫-|--------|
s e mis t renten	-⌫|---⌫-⌫---|-|
uncne finerentd esigler	--|-|-------|-⌫|-----|
tanqu iluin dre nta unpo rt	----|-|---⌫---⌫-||-|--⌫-|
kelagentc laymentorefort	-|-|---|-⌫------|------|
ertunegrantcite	--|--|----|---|
an cienedeantiquite	--⌫----|-|--------|
deuant leportl oinz en	-----|-|---|-⌫---|-|
leissie rentsiglesaualer	-------⌫---|-----|-----|
de tutes parzancré	-|----|---|-----|
desqu elanu te at t enduunt	-----⌫|-|--⌫-|--⌫-⌫---|--|
e q uant il	|-⌫---|-|
ueient ala nuitant	-----||-|------|
quilu irent lef lotmuntant	-|-|-⌫----|-|-⌫--|------|
mult tost sesuntdesaancré	---|---|-|---|---------|
eenzleport sunttu z entré	|--|-|---|---|--⌫|-----|
tuitalaruncum g o pil z	---||----|--|-⌫-⌫---⌫|
quiparnut ecerche le s cortil z	--|--|---⌫|-----|--⌫|------⌫|
p ur les gelinsle uilain	-⌫-|--|-----|-|-----|
d untuolt auersonuen tre p alin	-⌫--|---|---|--|---⌫--|-⌫---|
ecumlou felemaldiz	|--|--|--||-----|
quientre en	--|----|-|
lafald easberbiz	-|----⌫|-|-----|
en dormile	--⌫----|-|
yngar letreyt o ur	----|-|-----⌫-⌫-|
ter e de est angleis	---⌫|-|--|------|
uy ntcumbeste	--⌫-|--|----|
mu nt eneis	--⌫--⌫----|
kant lesgenzfurent	---|--|---|-----|
e nlu rl i z	-⌫|--⌫|-⌫-⌫|
e le spoeplesfurentendormiz	|--⌫|------|-----|-------|
enla citesubde ynement	-|-|---|-----⌫------|
entrai letutesa	----|-⌫||---|-|
quant ueitque	----|---|--|
lesa dsisupris	--|-⌫|-|-----|
dekat re pa rz untlefeumis	-|---⌫-|--⌫-|--|-|--|--|
dunc p ristrentt utcomunalmen	---|-⌫-------|-⌫-|---------|
leauerlesdrasle or	-|---|--|---|-|-|
el e argent	|-⌫|-----|
laci temistrentencar b un	-|--⌫-|-------|-|---⌫-⌫-|
pu isfeseie nttel occi siun	--⌫-|------⌫-|--|----⌫---|
del a chei tiuegentkierent	-|-⌫|----⌫---|---|-|----|
quigarde delsnesedonerent	--|----||--|-|-|-------|
b ouchedehommen e	-⌫----|-|----|-⌫|
leocciseela grantmartire	-|-----||-|----|------|
de s che ytiuesedes cheytifs	--⌫|---⌫-----||--|-------|
nul ne poe t del s esturtreuifs	--|-|---⌫||--⌫|-------|---|
quilenl ur	-|-|-|-⌫-|
gla yme enchei sent	---⌫--|------⌫---|
equ eori blemor t	|--⌫|---⌫--|---⌫|
n esuffris ent	-⌫|-------⌫--|
e f eseientluriniquite	|-⌫------|--|-------|
era u irent lachastete	|--⌫-⌫----|-|-------|
deespuses ede	-|------||-|
deueduesede damiseles	-|-----||-|--------|
agrantdolurlesd emenerent	|----|----|--|-⌫--------|
e huntusementuergunderen t	|----------|-----------⌫|
epuis ap resa morte	|---|--⌫--||----|
lesmistren t	--|-------⌫|
edetrenc hier e nteoc cistre nt	|-------⌫----⌫-⌫-||--⌫------⌫-|
lesbaruns ueanz lur m uliers	--|-----|----|--|-⌫-----|
deglagierentlesauersiers	-----------|--|--------|
e lesmuliers tut e nsement	|--|------|--|-⌫------|
mi strenta mortee aturment	--⌫-----||----|||------|
ioefneseuielz petizegra nz	------||----|----||---⌫-|
ele senfanzalaitanz	|--⌫|-----|-------|
det r enchieren tees buelerent	---⌫-⌫---------⌫||--⌫--------|
occ istr en teamorteg etterent	---⌫----⌫--⌫|||----|-⌫-------|
kantlureschec u nti locfeit	---|--|-----|-⌫-|-⌫--|---|
amunte nlepais sesunttreit	----|-⌫|-|---|-|---|----|
tutautretelfu ntles tiranz	--|-------|--⌫-|--|-----|
desgayneurs despaisanz	--|-------|--|------|
morte o ccis	---||-⌫---|
auerrobé epris	---|----||---|
forslachey tiueuilan aile	---|-|----⌫---|-----⌫---|
lapoureg entelarascayle	-|----|-⌫--||-|-------|
quilded egnerent	-|-|---⌫-------|
elurb ra nz	|--|-⌫--⌫-|
enels besordi er	-|--|-------⌫-|
acelsparle	|---|----|
yngare dist	----||---|
uifs uusa y	---|--|-⌫|
leessépardes pist	------|--|---⌫---|
que n uostre	-|-⌫|-----|
sa nc neuoile	--⌫-|-|----|
mesbelesarmes	--|----|----|
u usuolezuieauer	-⌫-|----|--|---|
tostl eueir	---|-⌫|---|
dee d muntlere i decest	-|-⌫-⌫---|-|--⌫|-|---|
ouhanteouest	-|----|-|--|
celsaueient	---|------|
pourde morir	---|-|----|
n elos entcelernecoueri r	-⌫||--⌫--|----|-|------⌫|
ay n zrespounen tahailes dun	--⌫-⌫|---------⌫||------⌫--|
ceodithom m e	--|--|---⌫-⌫|
y ngar lefeldieu enemis	-⌫---|-|--|---|-----|
demales ar z	-|----|--⌫|
cointeapris	----||----|
ententiu ementlequ ereit	--------⌫----|-|--⌫----|
kant souent	---|-----|
direoyaueit	---|-|----|
ke edm un d leseintglor iusrey	-|---⌫--⌫|-|----|----⌫--|--|
bonesteches ensey	----|-----|-|--|
quilert i o efnesdentu rtrent	-|-|--|-⌫-⌫----||----⌫|----|
pruz bachel er fort e ua lianz	---|------⌫-|---||--⌫----|
enbatai leh ardief iers	-|-----⌫-|-⌫---||-⌫---|
purceose hastali auersers	--|--|-|----|-|-------|
de tuzoccire e tuer	-|--|-----||---|
kanq ueen laterepoeit trouer	----⌫-|-|-|---|----|-----|
kel ireissucursnen oust	-|-⌫|---|-----|--|---|
duntildefe ndre sepoust	---|-|----⌫---|-|----|
purceo se hastayngarsa nzfable	--|--|-|----|----|--⌫-|----|
lifellime nbréal d iabl e	-|--|-|--⌫----|-|-⌫----⌫|
detosterrer de to stocc ire	-|---|----|-|--⌫-|---⌫--|
qu anquilpouttrouerenlempire	--⌫---|-|---|-----|-||-----|
quelireisneaueit	--|-|---|-|----|
defenseougarir se	------|-|----|-|
enhai lesdon	-|---⌫-----|
encel hamel	-|--|----|
ke ertloi nzd eburce dechastel	-|--|---⌫-|-⌫|---||-|------|
lehamle boisle	-|--|-|---|-|
tut esthai lle sdunape ll e ́	--|--|---⌫---⌫---|---⌫--⌫-⌫|
oulichiualer cristihe su	-|-|-------|----|---⌫-|
seintedmu ndacel ou refu	----|----⌫-||--|--⌫-|-|
yngarliachemeni e n	----|-|--------⌫-⌫|
kiunkesoure	-|----|---|
d err erse haste ese desreie	|---⌫-|-|----||-|------|
agr antespleit	|--⌫--|------|
tein t sauei e	----⌫|-|---⌫|
tanqu il mesmesuenusunt	----|-|-----|---|---|
a la uile ouert	|-|---|-|--|
seinte dmund	----|-⌫----|
dunc ad pr isu ns onchiualer	---|-|--⌫-|-⌫|-⌫-|-------|
fets onmessag er	--|-⌫-|------⌫-|
uat ostfetile tost	-|-⌫--|--|-||---|
alrey edmundsilidib ien	-|--|-----|-|-|-|-⌫--|
rendeedemeiteinge	----||-|--|-----|
sonregneemon hommedeui ennge	--|----||--|----|----⌫----|
esimedoune	|-|-|----|
tutsontresor	--|--|-----|
sonauer son	--|---|--|
argent sonor	-----|--|-|
ren de che scunan	---⌫-|---⌫---|-|
del regnequ a ntaorramon ba n	--|----|--⌫-⌫-|----|--|--⌫|
e enmesdieusou m eaffitant	|-|--|----|-|-⌫|---|---|
cre ieelesse it ob eisant	---⌫-||--|--⌫-|--⌫-----|
s iil issiuersmei	-⌫|-|---|---|--|
se hum ilie	-|---⌫---|
asez tostlilerra ilauie	---|---|-|-----⌫|-|--|
siameinese uoult o beir	-||--|-|-|----|-⌫---|
e stuet morir	-⌫----|----|
e trestutesa	|-------|-|
d itesseurement	-⌫---|--------|
n eaezianul pour	-⌫|--|-|--|---|
nus serrum pres atun retour	--|-----|---||--|-----|
l i me ssagersi s	-⌫|--⌫-----|-||
edreit ahailesdun	|----||--------|
ele p orter lidem anda	|-|-⌫----|-|---⌫---|
cild i tie osuun	--|-⌫-⌫|--⌫|-|-|
messagie rs	--------⌫-|
parl eruoldraioduostre	----⌫-|------|-|-----|
ditattendezmey	--|-------|--|
i eo irr aya	-⌫-|---⌫-||
li sil enquere i	-|-||-------⌫|
quilu oldrasiuusdirrei	-|-|-⌫----|-|--|-----|
le porteruaal rei	-|-----|-|-|--|
qu ea lapor te ad u nmess ager	--⌫||-|---⌫-|-|-⌫|----⌫---|
e siuoldreitauusp arler	|-|-------||--|-⌫----|
li reisrespo ntlesse lentre r	-|---|-----⌫-|----||-----⌫|
l imessa ge rest u enu auant	-⌫|-----⌫--⌫|--|-⌫--|----|
oyan tseint edmundmaintenant	----⌫|----|-----|---------|
eoyanttrestute s agent	|----|-------|-⌫|---|
distsonme ssagehardiement	---|--|--⌫----|---------|
ilentend e z amey	-|------⌫-⌫||--|
etuzcelsautrequeciuey	|--|---|----|--|-|--|
yngarquemultfet a	----|--|---|--||
lesie cleentere e nm er	-|---⌫--|-|---|-⌫|-⌫-|
kiu nkesio uruencu nefu	-|-⌫---|--⌫-|----|-|-|
neiames ne	-|----|-|
serrau encu	----|-⌫---|
kiestnostre lig esir e	-|--|-----|---⌫|---⌫|
finablementuusm an de a	----------|--|-⌫--⌫-||
queuerscest	--|---|---|
c onq u is	-⌫---⌫-⌫-|
pl u sursteres plusurspai s	--⌫-⌫---|----|------|---⌫|
duntt utli poeple est enc lin	---|-⌫-|-|-----|--|---⌫--|
as oncomandementenfin	|-⌫-|----------|-|--|
orees t en cest	--|--⌫|-|---|
regneariué	----|-----|
quilmult pa ra d	-|-|---|--⌫--⌫|
odgrantestoir e od grant nau ie	-|----|------⌫|-|----|---⌫-|
auerenu oltlasegn urie	---|-|-⌫--|-|----⌫---|
eencestpais	|-|---|---|
uo ltester	--⌫-|----|
tutcestyueresuiou rne r	--|---|---||-----⌫---⌫|
siuus mand eke ali ue nez	-|--|----⌫|-||-|--⌫--|
etostsonhommede uenez	|---|--|----|--⌫----|
liti engez	-|--⌫----|
uostre hon our	-----|---⌫--|
uostre chiefsegnour	-----|----|------|
chescu nantre uli rendez	------⌫|-|---⌫|-|-----|
tant ostcumuusson ba n	----⌫--|--|--|--|--⌫|
e sili do nezerraum ent	|-|-|--⌫--|------⌫--|
tutuostreaueror	--|-----|---|-|
ek ensacreancecreez	||-|-|------|----|
e cres tienteren eiez	|----⌫-----|---⌫---|
feit esceoc eouus	----⌫-|--|-⌫-|--|
ma ndeilbien	--⌫--|-|---|
es iuus uusretreiezderien	|-⌫|--|--|-------|-|---|
u usperderez multtost	-⌫-|-------|---|---|
elasegnurie	|-|-------|
grantt ur mentuuse stue tsufrir	----|-⌫--⌫---|--|-⌫----⌫|-----|
dehori blem ort emorir	-|----⌫--|-⌫---⌫|----|
reys responez sanzdelay	---|-------|---|----|
amonsegnurlenuncera y	|--|-----|-|-------⌫|
quant li seintim rey	----|-|------|--|
deparfunt quo rge mistefrem i	-|------|---⌫|--⌫---||----⌫|
e suspiraod gra ntdolu r	|------|-|---⌫-|----⌫|
eodgrant i re	|-|----|-⌫-|
e odt rist ur	|-|-⌫----⌫-|
e unsoneu esqueapella	|-|--|--⌫----|-----|
pri ueesidemanda	---⌫--|-|------|
quelconseil auerenpurreit	---|------|---|-|------|
eque surceolires pundereit	|--|--|--|-|---⌫--------|
ecillicons e ilae d ist	|--|-|----⌫-⌫--||-⌫--|
eloab i enquil feist	|--|-⌫-⌫-|-|-|----|
k anque yngarl ia u eitm a ndé	-⌫----|----|-⌫|-⌫-⌫--|-⌫-⌫---|
uie esaluete	--||------|
prendr e purreit	------⌫|------|
con fessiun	---⌫------|
quantalésenfutli felun	----|---||-|--|-|----|
kantlireislout siagarde a	---|-|---||--|-|------⌫|
tere unpoysenb run cha	---|-|--||---⌫---⌫--|
aualesgardasi	---|------|-|
qu ant un e piecepencé	--⌫--|--⌫|----|-----|
cuntre muntadson chiefle ué	-----|---|-|--|----|--⌫--|
dit eparlé	--||-----|
euesque dieusduntsursttut bien	------|----|---|----|--|---|
kiiustisestde tutrien	-|-----|--|-|--|---|
ilseitt esmoynedemey	-|---|-⌫------|-|--|
ke emperurprincenere y	-|------|-----|-|--⌫|
nenulhomm e queseitné enmund	-|--|----⌫|--|---|--|-|---|
nedepartir a meyedmu nd	-|--------⌫|--|----⌫-|
mor tn euifde la	---⌫|-⌫|--|-|-|
ihesu cristqu encr oicefup e ne ́	----|----|-|-|--⌫---|-|-⌫-⌫--⌫|
kianel defeyieoay	-|---|-|--|--|-|
alfunz kantieobapticéfu	-|---|---|--|-------|-|
oud eniaye	-|-⌫----||
del tutsatahna slenemi	--|--|-------⌫||----|
esesour es	|--|---⌫-|
ese s pomp ees	|--⌫|----⌫--|
lesmalesle s de smes uree s	--|----|--⌫|--⌫----⌫----⌫|
du nc distlise intreisdreitur er	--⌫-|---|-|--⌫--|---|-------⌫-|
esiparlaalmessagier	|-|----|-|--------|
digne fuss ezd e	----|----⌫-|-⌫|
auerlamorte	---|-|----|
de maynes desmyens	-|-----|--|----|
mei sieor ecorde	---⌫|--|-⌫-----|
nostre salueur	-----|------|
pu r nussuffrit morteedol ur	--⌫|--|------|----||---⌫-|
purceo neteuo il	--|--|-|-|--⌫-|
neme m ai n s entey maculer	-|-|-⌫--⌫-⌫|-|--|------|
enl enoundieuuoil e	-|-⌫|---|---|----⌫|
la morte sufr ir	-|----|----⌫-|
m ielz queauostre reiobeir	-⌫---|--||-----|--|----|
uaten multtostesi	-||-|---|---||-|
cest respons que ascioi	---|------|--|-|-|-|
apayne aueitc esmoz pardiz	|----|----|-⌫-|--|-----|
li sei ntimreise	-|---⌫---|---||
a p ayneauei tturn e ́sonoyl	|-⌫---|----⌫|----⌫-⌫|--|--|
elimessageraueit	|-|-------|----|
pas sélesoil	---⌫--|-|---|
enc unt relefricun	---⌫---⌫-|-|-----|
yngarliengresfelun	----|-|-----|----|
almessagi erd it pardesre y	-|-------⌫-|-⌫-|--|-----⌫|
dimeit ostles	-|--|-⌫--|--|
respons le rey	------|-|--|
ecillidistd em ot	|--|-|---|-⌫|-⌫-|
c um lireis respo ndu	-⌫-|-|---|-----⌫--|
elit ir ant kant leente n di	|-|-⌫--⌫--|---|-|----⌫-⌫-|
sic om andatoste bani	-|-⌫--⌫---|---||---|
ketutesagent	-|---|-|---|
s espandisent	|----------|
etu a ssenteocceissent	|--⌫-⌫----||---------|
ede querremu l tles somun t	|-|-----|--⌫-⌫|--|-----⌫|
nomement l e re i edmunt	-------|-⌫|--⌫|-----|
ki dede gneses l eisteni r	-|----⌫--|--|-⌫--|----⌫|
ease s pre ceptesobeir	||--⌫|---⌫-----|----|
ce lsse sp andent amunt	--⌫-||-⌫--⌫-----|----|
coueiteren t lemal	----------⌫|-|--|
tro uerent detrenchie ren t	---⌫-----|----------⌫---⌫|
eoccistrent e deglagierent	|---------||-----------|
enlauilede ha ile sdun	-|-|---|-|--⌫---⌫---|
tutpristrent li	--|--------|-|
co luertlaru n	--⌫----|----⌫|
lea uer keenla	-|-⌫--|-|-|-|
uile trouerent	---|--------|
n a uei tme i sun qu il	|-⌫---⌫|--⌫-⌫--|-|-|
nepelfrerent	-|---------|
dunc suntd r eitalpalei s uenue	---|---|-⌫-⌫--|-|-----⌫|----|
o ule amydieuseint	-⌫|-|--|---|----|
cuml e m embreihesucr ist	--|-⌫|-⌫----|----|--⌫--|
tr estutsou len sonpa leis sist	--⌫----|---⌫|-|--|--⌫---|---|
kantchoisilunt m ult to stfupris	---|-----||--|-⌫--|--⌫-|-|---|
l untgettée mis	|--|-----||--|
ep uis apres li untliez	|-⌫--|----|-|--|---|
estreiteme n te mainsepiez	----------⌫-⌫||----||---|
duncluntlesfelunstrei n é	---||--|--|-----|----⌫-⌫-|
epar deu antyngaramené	|--|---⌫--|----|-----|
li colue rtd uc de	-|-----⌫-|-⌫-|-|
mal e sclate	--|-⌫-----|
cum ihesufu deuantpil ate	--|----|-|-----|---⌫--|
deuantlili seint r ei	-----|-|-|----|-⌫-|
armé decre ance edefei	----|-|---⌫---||-|--|
kicou eitee nsiw re	-|---⌫---|-⌫----⌫-|
de ihe s u c ristquipa r sa grace	-|---⌫-⌫|-⌫---|--|--⌫|-|----|
suffrit emortep assiun	------||---||-⌫-----|
purnu se pur nostreraanc e un	--|--⌫||--|-----|-----⌫-⌫-|
s eintedmund t ienent fermelié	-⌫---|-----|-⌫-----|----|---|
deuant l etiranten rag é	-----|-⌫|-----|--⌫---⌫-|
de meint emaneregab é	-|-----⌫|-----|---⌫-|
lun t elaidiebuffe te ́	|--⌫||----||-----⌫--⌫|
puis luntmené demeintenant	---||--|----|-----------|
lesministresaltira nt	--|--------|-|----⌫-|
ee nme nan tl	|-⌫|--⌫---⌫||
u ntsi batu	-⌫-|-|---|
pur poiquemort	--|--|--|---|
edunc l untmenétutdreit	|---||--|----|--|----|
a una rbreque presesteit	|-|-⌫---|--|---|-----|
apresleunt la	----|-|--|-|
m alueisegent	-⌫------|---|
l iéfermeme nt	-⌫--|-------⌫-|
epuisformentleturmenter ent	|---|------|-|---------⌫--|
ebatirenteflaelierent	|-------||----------|
edescurgiezedeuergeanz	|---------||-|-------|
e de bastu nsp ui nals	|-|-----⌫-|-⌫--⌫---|
mult granz	---|----|
u nkesh omme	-⌫---|-⌫---|
ki tantmort eldol ur suff r it	-|---|----⌫-|---⌫-|----⌫-⌫-|
unkespur ceo uencu n e fu	----|--|--|----|-⌫|-|
kil n e apellastlenounihesu	|-|-⌫|-------|-|---|----|
ki purnusfum isen lacroice	-|--|--|-|-⌫-|-|-|-----|
plurant od mul tpitu se uoice	------|-|---⌫|----⌫-|----|
kantlesturme n tursceoueient	---|--|-----⌫-⌫---|--|-----|
kepar tantuei ndre nelp ureient	-|--|---|---⌫---|-||-⌫------|
enragezsuntde ireenbrasez	------|---|-|--|-------|
purpoi quiln e	--|--|-|-|-⌫|
sunt f orsenez	---|-⌫------|
tuzaun bru it lesenem is	--||-|---⌫-|--|----⌫-|
lur s eiteslurarcsuntpris	--|-⌫----|--|---|--|---|
lurpilezelur darz aguz	--|----||--|---|---|
e lurgauelokeses moluz	|--|--------|--⌫----|
unp oise esloignentdelseint rei	-|-⌫-|-|---------|--|----|--|
edunct raistrentpargrant	|---|-⌫--------|--|----|
tr e stuz al	--⌫-⌫---|-|
corsdel seintm ar tir	---|--|----|-⌫--⌫--|
ensemble parsigrant air	-------|--|-|----|--|
quele sbr az liunt estr oez	--|--⌫|--⌫-|-|--|----⌫--|
qu isesegeambe s e	--⌫---||------⌫||
parmiledosparmi lentraile	----|-|--|----||-------|
eparmilamestre cor ai le	|----|-|-----|---⌫--⌫-|
parmilech ie f	----|-|--⌫--⌫|
el aceruele	|-⌫|------|
uentree laboele	-----||-|----|
lunttre sperci édetutes par z	|--|---⌫------⌫-|-|----|---⌫|
seetesga uelosedarz	-----|--⌫----||---|
tanttr eite tantlancié	---|--⌫--||---|------|
a lcorsdelsei n tmartiredm und	-⌫|---|--|---⌫-⌫|-----|---⌫--|
tantitreistrentespe ssement	---||---------|----⌫------|
epilez edarzenseme nt	|----||---|------⌫-|
kelunepla ye	-||--|---⌫-|
kant lasaite liu	---|-|----|--|
etant espesseisunt li	|---|------||---|-|
kantille straientcelepart	---|-|--⌫|------|---|---|
ke l u neescoc helau t ree nco rs	-||-⌫-|-----⌫-||--⌫-⌫-|-⌫|--⌫-|
ou de au trepa rte	-|-|--⌫--|--⌫--|
leboutehors	-|----|---|
t antioutdes	-⌫--||--|--|
darz grantfui sun	---|----|---⌫--|
en lecorsdelseyntimbarun	-|-|---|--|------|----|
pel deher iciun	--|-|---⌫----|
rese mb la	----⌫--⌫-|
o utelfuisu n despines a	-⌫|--|-----⌫||------||
ilnoutnebr az ne poing ne pie	-||--|-|--⌫-|-|----|-|--|
quepleinn efutdedarz	--|----|-⌫|--|-|---|
sei t es ed e darz	---⌫-⌫-||-⌫|---|
tanz enout	---|-|--|
entutesp arz	-|----|-⌫--|
ke nul ne putde	-|--|-|--|-|
oil cho isir	--|---⌫---|
lachar delsein t im	-|---|--|----⌫-⌫-|
cruel ynga r ueit	----|----⌫|---|
nepoeitennul endreit	-|----|-|--|------|
fere seint edmundle	---|----|-----|-|
asescoma ndem enzobeir	|--|----⌫----⌫--|----|
neobeira sescomanz	-|----||--|-----|
duncc omandali	---|-⌫-----|-|
asturmentours quii erent	-|----------|--||----|
ke cruelementleto rmentere n t	-|---------|-|--⌫--------⌫-⌫|
kelates te tost	-|-|---⌫-|---|
licolp asent	-|----⌫----|
eignelement decolassent	|---------|----------|
lidecoleur ui ent auant	-|-------|--⌫--|----|
al sei ntmartir	-|---⌫-|-----|
d ieure clamant	-⌫--|--⌫------|
ihesucristodpit euse	----|----|-|---⌫---|
poutmul tr eclama	---|---⌫|-⌫-----|
ihesuc r i st esouent noma	----|-⌫-⌫-⌫-||-----|---|
tanqueleseintmartir	-----|-|----|-----|
langemotfu rnir	----|--|--⌫---|
si fuate int quilnepoutplus	-|-|---⌫--|-|-|-|---|---|
ledecoleurfistson	-|-------|---|--|
leseintmartir	-|----|-----|
laddeslié	|-|------|
sangl ant lad s aché	-----⌫--||-|-⌫----|
enber s éf udetu tes parz	-----⌫-⌫-|-⌫|-|--⌫--|---|
e de seitesede da rz	|-|-----||-|--⌫-|
ken ledur efustenserréesteien t	|-|-|---⌫|---|-------|-------⌫|
als acher enle	-|-⌫----|-|-|
f us tremanei ent	-⌫--⌫|-------⌫--|
eparmile corsseconduistrent	|----|-|---|-|-----------|
elesfieres plaies remistrent	|--|-----|-----|---------|
t antespessementenle	-⌫--|----------|-|-|
kepuint denter nepiertdehors	-|----||----|-|----|-|---|
pointtuchas td unpointe l	----|------⌫||-|------⌫|
queblesmié	--|-------|
ne fustl apel	-|---|-⌫|--|
delseintmartirdelbonb arun	--|----|-----|--|--|-⌫---|
mult suffritp eyn e epassiun	---|------|-⌫---⌫||------|
apeyneencors libateit	|----|-|---|-|-----|
turm entéeste it	----⌫----|----⌫-|
pout estersurpiez	---|----|--|---|
lidecol eursifu	-|-----⌫--|-|-|
silico mandam aint e nant	-|-|--⌫----|-⌫----⌫-⌫---|
chiefes tendit	----|--⌫-----|
quei a soleitest re	--|-⌫|-----|---⌫-|
ederea lcorune	|-|---⌫|-----|
limartirdieu	-|-----|---|
nos tr e segnour	---⌫--⌫|------|
s es tutdeua ntl e turmentour	|--⌫--|----⌫-|-⌫|---------|
sicumlimutunquiestesliz	----|-|----|--|--|----|
detrestu te lafaudedeberbiz	-|------⌫-|-|----|-|-----|
kimorteesacrifiseate nt	-|----||--------|---⌫-|
sifistliseint ho mme ensement	-|---|-|----|--⌫--|-------|
ki uol tsa	-|---⌫|-|
uieteriene	--|------|
chang ierpurlace lest iene	-----⌫--|--|-|--⌫----⌫---|
en te ntifendi eube nefice	--⌫--⌫---|-|--⌫-|--⌫-----|
atent deseylesacrifice	----|-|--|-|--------|
rep le nizdebone manere	---⌫--⌫--|-|---|-----|
del a pardurablelumere	-|-⌫|---------|-----|
q u eleen cestbatai le	-⌫-⌫--|-|---|-----⌫-|
uoltestre res aziez	---|----|---⌫----|
entrelesurisuns	----|--|------|
uersson salueu rihesucrist	---|--|------⌫|----|----|
lidecole urad desespee	-|------⌫-|-|-||----|
test copee	---|----|
issidepartitde ces t mund	---|-------|-|---⌫|---|
del seintmartiredmund	--|----|-----|-----|
issi otreaasuff rir	---|----||----⌫--|
d ieusedmundson cher martir	-⌫---|-----|--|---|-----|
son sei ntimnou n	--|---⌫---|---⌫|
mar t ire morte	---⌫-⌫-||----|
epa ssiu n	|--⌫----⌫|
uiepristamendes	--|----|------|
enl etens del duzi mekalende s	-|-⌫|---|--|----⌫-|-------⌫|
dedec embrec eo	-|---⌫----|-⌫-|
d it l est oir e	-⌫-||---⌫---⌫|
kedieus l eresceut	-|----|-⌫|------|
ensagloire	-|-|-----|
eq uilsuffritlesacrefice	|-⌫|-|------|-|--------|
seinte glise	----|-⌫----|
enla fi n desa	-|-|--⌫|-|-|
resc eutte leespurg aciu n	----⌫--|--⌫-|------⌫----⌫|
kep lus f upurge ́eprouee	-|-⌫--|-⌫|-----⌫||-----|
finoresmeré	--|-|------|
uic to ire queoutconqu ise	---⌫--⌫--|--|--|-----⌫--|
lacorunedeiustise	-|-----|-|------|
entraen pardur ableben	----|-|------⌫---|--|
ens eint senéce l es tien	-|-⌫---|----|--⌫-⌫--⌫---|
par tel eeis sueuer eyment	--|---⌫|---⌫--|---⌫-----|
demo rt edecruc iement	-|--⌫-||-|----⌫-----|
qu iloutd esoncorssuff ert	-|-|--|-⌫|--|---|----⌫--|
parlurmalnientpa r sa desert	--|--|--|----|--⌫|-|-----|
o utens uwilatrace	-⌫-|---⌫--|-|----|
deihesuc ris tqui	-|----|-⌫---⌫|--|
par sa grace	--|-|----|
mortee passiun	----||------|
pur nus eno s t reraanciun	--|--||--⌫-⌫-⌫-|-------|
cildi eus purs ane r nusen cesteuie	--|--⌫--|--|-⌫---⌫|--|-|----|--|
d epechiedemaldefolie	-⌫|-----|-|--|-|----|
ala columpn e	|-|-------⌫|
ne paspu rs ey sonsancespandie	-|--|--⌫|-⌫-|--|---|-------|
meis pur nusil leissa ensegne s	---|--|--|-|-----|-------⌫|
de sbateu resdese ngre ines	--⌫|-----⌫--|--|-⌫----⌫---|
quil suffrit p u rnussal uer	-|-|------|-⌫-⌫|--|---⌫--|
e purnus hors den f er	|--|--|---||--⌫-⌫-|
ecistpurlagloi reconquere	|---|--|-|----⌫-|-------|
keu nkesnefaltsuffri	-|-⌫---|-|---|-----|
futsan gla nttelepeyne	--|---⌫---⌫-|---|----|
p url amurihesucrist de meyne	-⌫-||---|----|----|--⌫----|
cil dieu se homme enti e renuie	--|----⌫||----|----⌫-⌫|-|--|
