mapainewelm etreetmacure	-|----|--|-⌫---|-|-|---|
si ot reubedunestainf ort	-|-|----||-|-------⌫--|
t aintengr ainede u ert pa rti e	-⌫---|-|--⌫---|-|-⌫--|--⌫---⌫|
un e partie	--⌫|-----|
e ntai lluresfaitessouti s	-⌫----⌫-----|-----|-----⌫|
etlisor cosfua	-|-|---⌫--|-||
menus esquir i aus	----|------⌫-⌫--|
il soloi te s tregense t bi a us	-|-----⌫|-⌫-⌫--|---|-⌫|--⌫-⌫-|
taintetpa le	----|-|--⌫-|
desamaison auale	-|-|-----|----|
s onciefafubledunmantiel	-⌫-|---|-----||-|------|
deduituaitparleca stiel	-----|---|--|-|--⌫----|
tantquiluintd euan t	---|-|-|---|-⌫----⌫|
la mai son	-|---⌫--|
s amieetfu	|---|-|-|
e n la saison	-⌫|-|-----|
quilf aitcaut gr an tenawost	-|-|-⌫--|---|--⌫--⌫|-|----|
i l griete tquillico ust	-⌫|----|-⌫|-|-|-|--⌫--|
en gien wetquerre et	--⌫---|--|-----|-|
quasamiepuisse	-|||---|-----|
uierslem anoir	----|-|-⌫----|
souentr e g arde	-----|-⌫-⌫-⌫---|
atantu nemaisonesgarde	|---|-⌫-|-----|------|
aune uiellecousturi e re	|--|-----|--------⌫-⌫-|
maintena ntpassa l acharier e	--------⌫-|----|-⌫|-------⌫|
s isest a ssissorla fenes tre	-⌫||--|-⌫---|--|-|-----⌫--|
emquiertdesonest re	-------|-|--|---⌫-|
kide baratasses sauo it	-|-|----|----|----⌫-|
se lid ema n dequil	-|-|-⌫---⌫-⌫-|-|-|
kisi sol oite stre en uoi siés	-|-|---⌫--|-⌫---|--⌫---⌫----|
et d esautr es	-|-⌫-|----⌫-|
liplus pr i siés	-|---|--⌫-⌫----|
la ui elle auoit	-|--⌫---|----|
a nonaubree	|--|-----|
i a sinefus tfe meensier ee	-⌫|-|-|---⌫|--⌫-|------⌫-|
quasa co rdene latraisist	-||-|--⌫--|-|-|-------|
et sauol entenen fesist	-|-|---⌫---||-|-----|
contét mot	------|--|
etcomment laborgoiseamot	-|------|-|-------|---|
etsi es toit	-|-|--⌫---|
pries sauo isine	----|-|--⌫----|
ellen puet	-||-|---|
faire s ais ine	----|-⌫---⌫--|
yyliuresl endon rés	-|-----||-|---⌫---|
celedistianelesaura	---|---|-|-|-|----|
liuila ins si t r es	-|----⌫--|-|-⌫-⌫-|
biengar der	---|---⌫--|
q ue nelepuissiéses garde r	-⌫-|-|-|--------|--⌫-----⌫|
partansassess an s	--|---|----|-⌫--⌫|
alerqu err e	---|--⌫---⌫|
mai sormaléstostles	---⌫|-||----|---|--|
deni ersquerre	----⌫--|-----|
et i oupenseradece s te	-|-⌫-|------|-|--⌫-⌫-|
senua uneh uge oeure	|-|-|--|-⌫--|----|
d eniers amassés	-⌫-----|-------|
quesesp eres iotasses	--|--|-⌫---||-|----|
lesd eniersprent	--|-⌫-----|----|
et si se ntorne	-|-||-⌫|----|
cie sd a me	---⌫|-⌫-⌫-|
aubreere torn e	-----|--⌫----⌫|
conte yy liures	----|-|-----|
ma isil nest	--⌫-|-||--|
miet eus deliu res	--|-⌫--|-----⌫--|
queencorhesonesco t	--|----|-|--|----⌫|
or baill i éschau ostres orcot	-|-----⌫-⌫--|--|-⌫----|-⌫----|
faitla ui el le deliu rement	---|-|--⌫--⌫-|-----⌫-----|
e tcilkisoncommandem en t	-⌫|--|-|--|---------⌫--⌫|
ui e ltfairesansnulcontredit	--⌫-⌫-|----|---|--|--------|
fairechouke	----|---|-|
la uiell edi st	-|-----⌫|--⌫-|
moutlaamo renso n destoit	---|||---⌫|-|--⌫|------|
ploiemo ut e stroit	----|--⌫-|-⌫-----|
lesorcotet	-|-----|-|
si afublaun mantielcort	-|-----|-|------|---|
ad o nq ueslauiellesentor t	--⌫-⌫--⌫--|-|-----||-|---⌫|
etfuauniordemarkiet	-|-||-|--|-|------|
quelauelleotbien	--|-|----|-|---|
hedi eusfaitsoi tch aiens	-|--⌫--|---|---⌫|--⌫----|
etiluous g artma	-|-|---|-⌫--|-|
d oucedame	-⌫---|---|
et siaitm erchi	-|-|--|-⌫----|
alautr edamek iestmo rte	||----⌫|---|-⌫|--|--⌫--|
dont mescuers molts edesconforte	---|--|----|---|-⌫|----------|
maintior m achaie ns honoree	----|--|||-----⌫-|------|
bi enueg niés	--⌫-|---⌫----|
uousdameaubree	---|---|-----|
dameuené s	---|-----⌫|
dameieuousuien g	---|-|---|----⌫|
qu edeu ousacointier me	--⌫|-|-⌫--|--------|-|
ienepassaiainsp uislesuel	-|-|-----|---|-⌫--|-|---|
quel autredame mortefu	--||----|---|----|-|
qui onques ne me fi st refus	--|-----|-|-|--⌫-|----|
derien ke iouli de manda sse	-|---|-|--|-|--⌫-----⌫--|
cierte sseiou li comman dasse	------⌫|-|--|-|------⌫----|
uneco se molt grief	--|--⌫-|---|----|
fesist elep armon c i ef	-----|--|-⌫-|--|-⌫-⌫-|
s ame q ue moltfis tbiens	|--|-⌫-|---|---⌫|----|
dame a ubr ee fautiluousriens	---|-⌫---⌫-|---|-|---|----|
seriensuous	-|----|---|
faut dites	---|----|
damefai teleie	---|---⌫|--|-|
ui enga uous	--⌫--||---|
gouteamafil le	----||-|---⌫-|
siuol oitde uo s treuinblanc	-|---⌫--|-|--⌫-⌫--|--|----|
et un poideuo	-|-|--|-|-|
painf a itic	---|-⌫-⌫---|
maisquecesoit l iplus	---|--|-|---|-⌫|---|
die us me rchitrop en suihonteuse	---⌫-|--⌫---|---|-|--|-------|
maismafi lleestsi	---|-|--⌫--|--|-|
conui entdemander	-----⌫--|-------|
ieneseuco nquestruander	-|-|---|-⌫----|-------|
aincne mensocaidie r parm ame	---|-||-|--|-----⌫|--||--|
en are ́s faitladame	-|---⌫-|---|-|---|
quiertap riueemaisnie	--|--||-⌫----|------|
celequ i fubienen sa ignie	---|--⌫|-|---|--⌫--⌫----|
dalesleborgois e	----|-|-------⌫|
certesfaitelemolt	-----|---|--|---|
qu ei oi de uoussi	--⌫||-|-|---|-|
comme nt se	-----⌫-|-|
fa itil uous	--⌫-|-|---|
die uscomil	---⌫-|--|-|
uo le ntiers	--⌫--⌫-----|
o nques no tla utrebienme	-⌫----||-⌫||-⌫---|---|-|
atant s en	|---||-|
iss entde lac ambre	---⌫--|-|-|-⌫----|
etlauie lletou siourssermone	-|-|---⌫--|---⌫|----|------|
ladame mai ntenantli	-|---|---⌫------|-|
plain potdeuinetune	----|--|-|--|-|--|
etune petite	-|--|-----|
etdepo is unegr a ntpotee	-|-|--⌫-|--|--⌫-⌫-|----|
bien estlaborgoi se asotee	---|--|-|------⌫-|-----|
parlauie llemaisne se tpas	--|-|---⌫--|---|-|--⌫|--|
dame a ubr ee	---|-⌫---⌫-|
eneslepa s	--------⌫|
a son host el dr oitsen reuient	|--|----⌫-|--⌫--||-|------|
del bo rgois di rem econuient	--|--⌫----|--⌫-|-⌫|-------|
qu idela uiles	--⌫|-|-|---||
re uinten son repaire	--⌫---|-|--|------|
etdistqu edo rmir se uoloit	-|---|--⌫|--⌫---|-|-----|
porchoukelichiesl idouloit	--|---|-|-|----|-⌫|------|
enla camb reuai tsisechouche	-|-|----⌫-|---⌫|-|-|------|
qantilfu en tr ésenlacouche	---|-|-|--⌫--⌫--|-|-|-----|
sisent lesorcotboch oier	-|---|-|-----|----⌫---|
silecommen cea	-|-|------⌫-||
portastier	---------|
carilnese tk isi	--|-|-|--⌫|-⌫|-|
maintenan tl ekieut esoulieue	---------⌫|-⌫|-----⌫|-------|
si ena trait l es o rcot	-|-||----|-⌫|-⌫-⌫---|
adontkilip o tastelcors	----|-|-|-⌫-⌫---|-|---|
zzcoutieltresparmile f lanc	-|------|---|----|-|-⌫---|
nenissist il	|-|-----|-|
goutede sanc	----|-|---|
tantfu du rementesba his	---|-|--⌫-----|----⌫--|
helasfaitilie sui	-|--|---|-|-|--|
par celi kionquesne	--|---|-|-----|-|
a l u i s uintsile	||-⌫-⌫|---|-|-|
mai n tenant a lesorco t p ris	---⌫-⌫-----||-|-----⌫|-⌫--|
carialousie	--|-------|
lotsoupris	|-|------|
k iest pi requema us	-⌫|--|--⌫-|--|--⌫-|
dehorslemireetdede ns	-----|-|---|-|----⌫-|
bien s anleq uacat er le	---|-⌫---|-⌫|----⌫-|-|
i l namenbrekinelid uelle	-⌫|||-----|-|-|-|-⌫----|
tantestplain s decorousetdire	---|--|-----⌫|-|-----|-||--|
he lasf a i ti lke	-|--|-⌫-⌫-⌫|-⌫|-|
deces t sercotb iensaiparmame	-|---⌫|-----|-⌫--|--|--||--|
qu il estau leceorma dame	-|-|--|-|-----|-|---|
uolentec on senti	------|-⌫--⌫----|
elem eu istamar i	--||--⌫--||---⌫|
slepristetsilemuc ha	|-|----|-|-|-|---⌫-|
po rafaire	--⌫-|----|
a cel af aire	|--|--⌫---|
uisclosp arla ru e	--|---|-⌫-|-|--⌫|
etsile rue	-|-|-|--|
p a rmiluis hors	-⌫-⌫--||--|---|
de sa maison	-|-|-----|
nisoto coison	||--|-⌫-----|
apoi qu elenestderuee	|--|-|--||--|-----|
atantesuousda me	|---|-|---|--⌫-|
e ngran tes gart	-⌫|----⌫|--⌫---|
ma b ielefille dieus te	-|-⌫---|----|----|-|
faistlauie l leque faistuchi	----|-|---⌫-⌫-|--|---|-|--|
dameaubree	---|-----|
pordiumerchi	--|--|-----|
messi ress estme llé a mo i	--|--⌫--||--|--⌫---||--⌫|
sinesaiadire por	-|-|--||---|--|
nesaique o n lia	-|--|--|-⌫|-||
ormefait es ta nt de bonte	-|-|----⌫-|--⌫-|-|----|
kawec moiueg niéscies	|---|--|---⌫----|---|
mo n p ere	--⌫|-⌫--|
auoif ai t ele	---|-⌫--⌫|--|
pars aintpere	--|-⌫---|---|
ienelu auroiep orgrant	-|-||-⌫-----|-⌫-|----|
ketesperesseusttel	-|--|----|----|--|
quilcuideroitqau cun meffait	-|-|--------||--⌫--|------|
eus sesaton	---⌫--||--|
signorf ait	-----|-⌫--|
uilt euist priseprouee	|-||----|----|-----|
et odtonleceortro uee	-|-|--|-----|---⌫--|
orestespoirliuilains	-|--|-----|-|------|
s ienseradem aindeliures	-⌫|-|---|---⌫--|-------|
te loeenbonefoi	-|--|-|---|--|
quetuenuegnesawe cmoi	--|-|-|-----|---⌫|--|
qued egen ssont les	--|-⌫|---⌫|---|--|
rues wides	---|----|
mi eusemploias	--⌫--|-------|
ketunecuides	-|-|-|-----|
lep ain le uin lecar	-|-⌫--|-|--|-|--|
ie lete renderaiap ois	-|-|-|-------||-⌫--|
leg uerre d onet	-|-⌫-----⌫-⌫-|-|
lese ru iche	-|--⌫--⌫---|
carilesttout a ta deuis e	--|-|--|---||-|-----⌫|
qan que tus aras de m and er	---⌫--|-|-⌫---|--⌫-⌫---⌫-|
ilnetefautfor s deuiser	-|-|-|---|---⌫|------|
que t u s erasmol t bien celee	--|-⌫|-⌫---|---⌫|---|----|
cambrebien c ele e	-----|---|-⌫---⌫|
amene te saura	--|-|-|----|
tant kete s	---|-|--⌫|
siresau era	----|--⌫--|
trespassee tote	---------|---|
mai ntenantlauielles adreche	---⌫------|-|-----||------|
quila mescineod li emmainne	--|-|------|-|-|-------|
biele faitele unesemainne	----|---|--|--|-------|
poro isichiawe cmo i	----⌫-|---|---⌫|--⌫|
nus n isara ton estre	--|||---|--|----|
semo nss ede	----⌫---⌫|-|
ma is labor goisse	--⌫-|-|---⌫-----|
enfait dangier	-|---|------|
e tdi stque	-⌫|--⌫-|--|
ia dieunepleu ist	-|---|-|----⌫--|
quelemang ast	-|--|----⌫--|
nenebeuist	-|-|-----|
t antquee le	-⌫--|--|-⌫-|
porcoiacestehonteeu	--|--||----|----|-|
dame aubree s estteu e	---|-----||--|---⌫|
acest mo t	|---|--⌫|
deliprech i er	-|-|-----⌫-⌫-|
lorslau oit	---||--⌫--|
m eneechoucier	-⌫---|-------|
enune cambreilluec	-|--|-----|-----|
enblansdra setsorb lan che kieute	-|----|---⌫|-|--|-⌫---⌫--|-----|
uiellebienco uer te	-----|---|--⌫---⌫-|
nelaissapas lacam breouuerte	-|-----|--|-|---⌫--|------|
ains ferme	---|----|
l uiset alec lef	|--|-||-|-⌫--|
deson ostels en uasoef	-|--|----||-|-|---|
dameau b reeeneslepas	---|--⌫-⌫--|--------|
droi tauuarl et ki	----⌫|-|----⌫-|-|
ne dortpas	-|---|--|
ainsdorneet retorne ensonlit	---|----|-|------|-|--|--|
m outcrientquela uiell enoblit	-⌫--|-----|--|-|-----⌫||----|
chou qu eleli o tenc onu ena nt	---|-|--|-|-⌫|-|-⌫---⌫---⌫-|
lo rssest assisenson	--⌫-||--|----|-|--|
p uisseuest	-⌫--|-|---|
sis enes t r euenu s	-||-|--⌫|-⌫-----⌫|
aune fenest re tousnus	|--|------⌫-|---|--|
si se commenc ea	-|-|-------⌫||
uiellequi s onlo i er	-----|--|-⌫-|--⌫-⌫-|
uieutd ecie fe ncie f deseruir	----|-⌫|---⌫|-⌫|---⌫|-------|
etleuar le ta greseruir	-|-|---⌫--⌫||--|-----|
neuaade st rena senestre	-|-||--⌫--⌫-|||-------|
leuarlettr ueue	-|-----|--⌫---|
ala fenes tre	|-|-----⌫--|
qui lidemand edesnouielles	--|-|------⌫|--|--------|
ietediraifait e leb ieles	-|-|----|---|-⌫-|-⌫----|
amieentrem es l as	---|----|-⌫-|-⌫-|
etfairee mporastonsolas	-|----|-⌫|----|--|----|
i usq uesademainaceste eure	-⌫---⌫--||-----||----|---|
uarlesplusnidemoure	-----|---|||------|
quelaui elleot serui agre	--|-|--⌫---|-|----||--|
soef au ale le d egre	---|--⌫--|-|-⌫---|
si s e nreuont endui	-||-⌫|-----|----|
nauoitgaires sicommoisa mble	|----|-----|-|--|--|--⌫---|
quelaborgoi se erte ndornie	--|-|------⌫-|--|-⌫------|
et ci lquidesires	-|--⌫|--|-----||
sisede sc auche etse des poulle	-|-|--⌫--⌫----|-|-|---⌫-----|
damedist il	---|---|-|
se lesesue ll e	|-⌫-||----⌫--⌫|
ete le criequ eferai ge	-|-⌫-|---|--⌫|----|-|
f ait la uielle	-⌫--|-|-----|
uasitecouche	-|-|-|-----|
et seeleestuer toiirouse	-|-|--|--|--|--|-----|
etele crieet	-|--|---|-|
l ieuel arobe si	-⌫---|-⌫|---|-|
entr e ens	----⌫|--|
tant ost q uele te s entirai	----⌫--|-⌫|--|-|-⌫------|
autrementlab esoign e ira	--------|-|-⌫------⌫|--|
sil e uerrastantost taisir	-|-⌫|-----|------|-----|
sen porasfair e to n plaisir	|-|----|----⌫|--⌫|------|
li uarlesestaulitalés	-|-----|--|-|--|----|
leslabo r goisess estco lés	--|-|--⌫-⌫-----||--|--⌫---|
etmo ut soefal iadoise	-|--⌫-|---||-⌫|-----|
adontse suellelaborgoise	----||-⌫-----|-|-------|
et mout dur ementsesttressalie	-|---|---⌫----||--|--------|
abien poiquelen est	|---|--|-|--||--|
hors dellitetc illenbrac ha	---|--|--|-|-⌫-||------⌫-|
s elidistbieletraiés u ouscha	-⌫|-|---|----|------|-⌫--|--|
c ariesuiuostr edousamis	-⌫-|-|--|-----⌫|---|---|
queuousaué s e ndolor	--|---|----⌫|-⌫|----|
mai stant aifa it ladieumerchi	---⌫|---|-|--⌫-|-|---|-----|
que toute nue	--|----|--|
uoustieng chi	---|----|--|
certesfait elerien sne uaut	-----|---|--|----⌫|-|---|
car iecrieraiiasi	--|-|------|-|-|
quetostseront chi aco rue	--|---|-----|--|---⌫--|
t outela gensd ecesteru e	-⌫---|-|---|-⌫|----|--⌫|
certesfa i tilriens	-----|--⌫-⌫|-|----|
n euousmonte	-⌫|---|----|
c hineuoiioufor s uostre	-⌫-|-|--|--|---⌫|-----|
qantla grans gensetlimenue	---|-|----|---|-|-|----|
uousue rrontle smoitoutenue	---|--⌫----|--⌫|--|----|--|
esti a pre sdemienu it	--|-⌫|---⌫|-|-----⌫-|
niarazzseulqui	||--|-|---|--|
queiai e fait agrantplen te	--||--⌫|---||----|----⌫-|
deuostre corsmauolente	-|-----|---|-|------|
moutu ient or mieusque soitc elee	---|-⌫---|-|----|--|---|-⌫---|
achiaus d eho rs n ostre assamblee	|-----|-⌫---⌫-|-⌫----|--------|
q uenus fo rsquenous trois	-⌫-|--|--⌫-|--|---|----|
la borg oi se	-|----⌫--⌫-|
nesetkefache	-|--|-|----|
mout li uient	---|-|----|
mieusestre e nrepos	----|----|-⌫|----|
bienporoit	---|-----|
acuellirtellos	-------|--|--|
p ar lesuoisinset	-⌫-|--|------|-|
q u en i ar oitse honte non	-⌫-⌫|||--⌫--|-|----|--|
orest tor n eeenautre	-|--|---⌫-⌫-|-|----|
laborgoiseatoutsonorguel	-|-------|----|--|-----|
m outsasouage etmout sacoise	-⌫--||------|-|---||-----|
etli ua rless ouentle bai se	-|-|--⌫---|-⌫----|-|---⌫-|
de duisentparamor	--⌫------|--|---|
trestouten uitde	--------|-⌫--|-|
c hi a uior	-⌫-|-⌫|--|
au matinetqant l	-|------|---||
aube cr ieue	---|--⌫---|
etda me aubre e seli eue	-|--⌫-|-----⌫|-|--⌫--|
p uis uie nt aul i tla	-⌫--|---⌫-|-|-⌫-⌫|-|
u ilgisent	|-|-----|
delora mor s e ntreduisent	-|--|-⌫--||-⌫----------|
orsus faiteledouceamie	-|--|---|--|----|---|
si en i ronsa saint cornille	-|-|-⌫---||----|-------|
queiaestouuiersli mo stiers	--|-|--|------|-|--⌫-----|
tuauroiesb i enmes tier	-|------|-⌫-⌫-|---⌫---|
siresat oi	----||-⌫-|
sa cordast	|-⌫------|
li uarl esmoltsendescorda	-|----⌫-|---||-|-------|
maisilne l o s e con t redi re	---|-|-||-⌫-⌫|---⌫-⌫----⌫-|
l auiel le l i	-⌫|----⌫-|-⌫|
com menche a	---⌫-----||
montalentourer	--|-----|----|
tuporas asse s recourer	-|----|----⌫|-------|
a t aioieetaton	|-⌫|---|-||--|
laui elleauoitcandoille syy	-|--⌫---|----|---------⌫|-|
dont cascuneot	---|------|-|
entre laui ellee t laborgoise	----|-|--⌫---|-⌫|-|-------|
isuesd e lostel	----|-⌫||----|
aumous tier uontdeuantlautel	-|----⌫---|---|-----||----|
deua ntnostr edamelimage	----⌫-|-----⌫|---||----|
etlauiell eki moltfusage	-|-|-----⌫|-|---|-|---|
fait la d ame iesir	---|-|-⌫--|----|
se l iprieque de	-|-⌫|---|--|-|
sonmarineli s oityy	--|---|-|-|-⌫--|-|
l auielleotf aitesyyc rois	-⌫|-----|-|-⌫----|-|-⌫---|
decamdellesqueeleauo it	-|--------|--|--|---⌫-|
en unelam peufeuauo it	-|--|---⌫-||--|---⌫-|
les a luma deciefen cief	--|-⌫---|-|---|-|---|
l unedescroisli mi stau cief	|--|--|----|-|--⌫-|-|---|
e tl autre as pieset l	-⌫||----|-|---|-||
etla quartefuasenes tre	-|-|-----|-||-----⌫--|
pui suinta lisilaseure	---⌫|---||-|-||-----|
etdistsoiést ou teseure	-|---|-----|-⌫--⌫-|----|
gardéscom mentquiluousauien gne	------|---⌫---|-|-|---|-----⌫--|
neuo usmouéstantquereuiengne	-|--⌫-|-----|---|--|--------|
siuousg isié s	-|---|-⌫-----⌫|
en dementiers	--⌫---------|
dame fait eleuo lentiers	---|---|--|--⌫-------|
chies le bo rgoisuint ethurteetbote	----|-|--⌫----|---|-|----|-|---|
et cilorelle etsiescute	-|--|-----|-|-|-----|
q ue bienuausist telcoseoir	-⌫-|---|------|--|---|--|
dontilsepe uistesioir	---|-|-|--⌫---|-----|
tan to stqu a bree ent r alaiens	---⌫--⌫-|-|-⌫---|---⌫-⌫|-----|
uest fa iteleli recreans	|--|--⌫-|--|-|-------|
li cha itis	-|---⌫---|
dameaub reebienueigniés	---|---⌫--|---|--------|
fai t ilki uousmai nne	---⌫|-|-|---|---⌫--|
acest eeure	|----⌫|---|
cele a re s pondren edemeure	---||--⌫-⌫-----|-⌫|------|
i ele uousdirai	-⌫|-|---|----|
sa nsmencoingne	--⌫-|---------|
en nu i tsonia iunm ol tfier songe	--⌫--⌫-⌫|-----⌫|-|-⌫--⌫|---|----|
men esuillai	|-|-------|
uest i mo i etaparellai	----⌫|--⌫|-|--------|
quelsongefuiesb ahie	-|-|----|--|---⌫---|
iemenalaial	-||-|---|||
dro itdeuantlaute l nos tre	---⌫-|-----||----⌫|---⌫--|
iesir tafeme	----|-|---|
autelenoris on	----|-|----⌫-|
tropasfaiteg rant m esp rison	---|-|----|-⌫---|-⌫---⌫----|
que iouenefe meens ienuoie	--|-----|--⌫-|---⌫|-----|
ensilauielleledesuoie	---|-|-----|-|------|
delmalu a ispenserqueilot	--|----⌫-⌫-|-----|--|-|-|
quese n efustporle	--|-|-⌫|---|--|-|
ia n i p ensast mai sse biennon	-|||-⌫-----|---⌫|-|---|--|
dame por diuetpor son non	---|--|--|-|--|--|--|
faitlib orgo isditesuous	---|-|-⌫----⌫-|----|---|
s us selpues	-⌫-|-||---|
fai tlauiellese	---⌫|-|-----|-|
etilselieueuiste ment	-|-|-|----|-----⌫---|
qui na t alent	--|||-⌫----|
ors enuont anduialesglise	-||-|---|----|||------|
quede dem o reniotpo int	--|-|---⌫-⌫-|||-|--⌫--|
ciltroua sa	--|----|-|
feme e nte l point	---|-⌫|--⌫|----|
uielleli otretrait	-----|-|-|------|
etlaborg oisesisedrece	-|-|----⌫---|-|-|----|
parle bracco ntremont	--|-|---|--⌫-------|
le tr ai t	-|--⌫--⌫|
lib orgois li	-|-⌫-----|-|
d istpariurece	-⌫--|--|-----|
faite telme sproison	----|--|--⌫-------|
sisenreuont enlormaison	-||-|-----|-|--|-----|
couchierent d er e cief	----------|-⌫--⌫-⌫---|
laborg o isecouris on	-|----⌫-⌫--|----|-⌫-|
dormiotg ranttalent	----|-|-⌫---|-----|
moltli est	---|-|--|
malta lent	-----⌫---|
uers s onsigneu	---|-⌫-|-----|
qant ilnapl usles o ireu	---|-|||--⌫-|-|-⌫-⌫-|-|
etli bo rgois	-|-|--⌫----|
d a utre partcu ide	|-⌫---|---|--⌫--|
q uesafeme	-⌫-|-|---|
aitlet estwide	--|-|-⌫--|---|
de uellieretdeiuner	-|------|-|-|----|
etque puisnef inas t d orer	-|--|---|-|-⌫----⌫||---|
auteletnu ite t ior	----|-|--⌫-|-⌫|--|
corous deson signor	-----|-|--|-----|
q antl isol ausau mai n se hauce	-⌫--|-⌫|---⌫--|-|---⌫|-|----|
etliborgoisseuestet chau ce	-|-|------|-|---|-|----⌫-|
etsain eson u is etsoncors	-|----⌫|--|-⌫-|-|--|---|
etdamea ubree saut ho r s	-|---|-⌫----|---|--⌫-⌫|
sisescriaa hauteuois	-||-----||----|---|
porlauraiecrois	--|-|----|----|
yy dolereusechaitiu e	-|--------|-------⌫|
orme poise queiesui	-|-|----|--|-|--|
or uauro ieb ienestr ear s e	-|-----⌫-|-⌫--|----⌫|--⌫-⌫|
yysousdolereus e la s se	-|---|--------⌫|--⌫-⌫-|
car ilm est trop mes auenu	--|-||--|---|---⌫----|
euousleborgois la	|---|-|------|-|
quilide mande	--|-|--⌫----|
etele co rt	-|--|--⌫-|
et cha etla	-|--|-|-|
quedecri er	--|-|---⌫-|
pointn es elasse	----|-⌫|-⌫|----|
yy sousdolereu selasse	-|---|-------⌫-|----|
carmediorsedieus t	--|-|-|-|-|----||
bo rgoiskiseba his t	--⌫----|-||---⌫---⌫|
porchoifais tu s i	--|---|---|-|-⌫|
tres grant duel	---|----|---|
or le me d icar	-|-|-|-⌫|--|
i eleu ous dirai	-⌫|-|-⌫--|----|
queianeuousenmentir ai	--|-|-|---|-|------⌫-|
zz uarlesm enuoia	-|-----||-----|
porreceudreet por	--|-------|-|--|
mot enuoiét	|-|-------|
un sien sorcot	-|---|-----|
quer ompe ́ot azze sco t	--|-⌫----⌫|-||-|-⌫---⌫|
nesai lestrausu tr ois uyy	-|--|--|----||--⌫--||-|
iele prissimalaies batre	-|-|---|-||---|--⌫----|
atoutcesorco t recousant	----|-|-----⌫|--------|
ensiat oute	---|--⌫---|
macou sture	-|---⌫----|
parmesau ent ure	--|-----⌫---⌫--|
celuiiorhorsde	----|--|---|-|
mon hostel	--|-----|
mesqueumest de	------||--|-|
n es a ipasuie fu i	-⌫|-⌫-⌫|--||-|--⌫|
queferaiiesenem	--|----|-|-|-||
sonle me uient	|-|-|-|----|
ensiloi er	---|---⌫-|
f erai escumenie r	-⌫---|---------⌫|
diemenceatou slesmostiers	-------||---⌫|--|-------|
ilnestore mi emestiers	-||--|--|--⌫|-------|
sedi eu s me	-|--⌫--⌫|-|
laistueoir noel	----|----|---|
iou i laissaipendant mon	--||------|------|--|
awecmaguilleencest	---||------|-|---|
don t iesui lasseakier escot	---⌫|-|--|----||---|----|
qantli borgo is otles nouelles	---|-|-----⌫-|-|--|-------|
mo utlifurentplaisansetbieles	--⌫-|-|-----|-------|-|-----|
m olt lisontuenues	-⌫--|-|---|-----|
not telioie	|-|--|---|
puis qu il	---|-|-|
a tantuerssonhostelsen u ait	|---|---|--|-----||-|-⌫--|
a sahugeuient si	|-|---|----|-|
lesorcotki liotmu chié	-|-----||-⌫||-|--⌫----|
qantilitrouaat achié	---|-||----|--⌫-----|
ledeel a toute lag u ille	-|---||----||--⌫-⌫---|
li donnast t restoutepulle	-|------|-⌫-------|----|
n e uisti lpasioieg rignor	|-⌫---|-⌫|--|---|-⌫-----|
pardieu faitillecr eator	--|---|---|-|-|--⌫----|
bient o turaiement	---|-⌫-⌫|--------|
quelauielled e riennement	--|-|-----|-⌫|---|-|---|
aitrouee sacoust ure	-|-----|-|-----⌫--|
ensi fulies des auenture	---|-|---|-||-------|
li borgoiset biel se	-|------|-|---|-|
adame aubree raporte	|---|-----|------|
le sorchot e tse liba illa	-|------|-⌫|-|-|--⌫---|
e ns ilauiell ed eli ura	-⌫--⌫|-|-----⌫|-⌫---⌫--|
leborgoisdeson	-|------|-|--|
mal pen se r	--|---⌫--⌫|
que plus ne lipl otapenser	--|---|-|-|--⌫-|------|
d ece sor chotsifudeli u res	-⌫|-|---⌫---|-|-|----⌫-⌫--|
uielleot yyliure s	-----|-|-|-----⌫|
parcestfabliel	--|---|------|
uouswelprouer	---|--|-----|
connepue t enf eme tr oue r	|-|-|---⌫|-|-⌫--|--⌫---⌫|
qui de son	--|-|--|
cors fa ch emeffait	---|--⌫--⌫|------|
se p ara utrefemene lfait	-|-⌫-|-⌫---|---|-||---|
tele uahorsde droite	---|-|---|-|-----|
se femeni ertki le	-|---||-⌫--|-|-|
quiseroitboneetpureet f ine	--|-----|---|-|---|-|-⌫--|
ichi nostr efab liausd efine	---|-----⌫|---⌫----|-⌫----|
