XXLilaron ont lesmoine[s]	-|-|----|--|--|-------|
perdrasia la	------|-|-|
testealbra nc d	----|-|---⌫-||
acierNe t eng a[ri]roithonqui	----|-||-|-⌫--------|--|--|
sousielQu antie uoiqueproiere niamesti er.	------|--⌫--|-|--|--|------||||-----⌫--|
asachiéd elfeure	|------|-⌫-|----|
grantdemipiet. Quantliglous	----|---|----|----|-|----|
uitlebranc	--|-|----|
reflamboier A l po oir que	----------|-⌫|--⌫--|--|
ilots estredre chie ́s S	-|-||--|-----⌫----⌫-||
sans atar gier. Q uantilotleue r eila lui	---|----⌫----|-⌫---|-|-|-|--⌫-⌫--||--|
sac hiéDel flaieldeleporte lifiert elcief	---⌫---|--|-----|-|-|----|-|----|-|---|
e nuerslefist prè s tr esbuchi erM ais a incne	-⌫----|-|---|----⌫|--⌫-------⌫-|-⌫--|-⌫--|-|
ensenti lich eualier s Carlibers	-|----|-|--⌫-------⌫|--|-|--||
enissoitmo l t	-|-----|--⌫-⌫|
uolentiers.Liglous u aita	----------|-|----|-⌫--||
lo ste lsis	|-⌫---⌫|-||
estc ouchiés	--|-⌫-------|
N e nlietilm aisdes	|-⌫|---|-|-⌫--|--|
moisA iol nench ietEt Aiol[s] s en	---|-⌫--||-|--⌫--|-|------||-|
issisorsondest rie r. Or le	---|--|--|----⌫---⌫-|-|-|
garise Deusliuoir [s]d elciel	-----|---|-|----⌫--|-⌫-|---|
Q uilniso itmorsnepris	-⌫|-|||--⌫-|---|-|---|
ne uergong iésEtDe xdoinsta	-|-------⌫---|-|--⌫|-----||
touscheusmalenco mbrierQ uitantlo nt	---|----|--|----⌫-----|-⌫-|---||-⌫-|
ranpr on é et	-----⌫--⌫-|-|
laidengiéHé	---------|--|
Dieus che distA iol[s]partapitié	----|--|-----⌫-----|--|-|-----|
Tantmaronthuig abéet laid eng ié Et ilser oit	---||----|--|-⌫---|-|----⌫---⌫--|-|-|---⌫--|
moltgransmestie rsQ u e	---|----|------⌫-|-⌫-⌫|
fesi ssete lcose uersche ualier [s]	----⌫--|--⌫|---|---|---⌫------⌫--|
Dont ief u isehonorésetessauchiés.Or	---|-|-⌫-⌫--|-------|-|-----------|-|
ne lair ai	-|----⌫-|
home [nul]	---|----|
deso si elQuene uois efe rirtout	----⌫--⌫-|--|-|----⌫|--⌫--|---|
Des.i i ii.r obeorssansp lus ta rgier.Se nespuis	--|--⌫-⌫--|-⌫-----|---|-⌫--|--⌫-----|-|--|---|
a rmesb ieniusticier Se	-⌫---|-⌫--|--------|-|
le lairaie sterdonts	-|-----|-⌫---|---||
il me siet	-|-|---|
Nencaucherai maishome[ nul] des ou s ielCar	|----------|---|---|-⌫---|---⌫--⌫-⌫--|--|
apris ne ensengie ́s.Damesainte Mariefaitilaidiés	----|-|--------⌫--|---|-----|----|---|-|------|
Dor eenauant	|--⌫|-|----|
uoilestreuosc heualiers	---|----|--|-⌫--------|
robeorrepairenttout a	-----|--------|---||
bandon Tout droit a lor agait arier	-----|---|----||--|----|----|
enuont Les lancesportentdroit esencontremontEt ont	-|---|--|-----|------|-----⌫-|-------|---|-|--|
al uentdestor s	-|---|------⌫|
les conf anons.De Loey ss	--|----⌫-----|-|----⌫||
engabent lef il	-|-----|-|-⌫-|
Charlo nEtb ienl ont escriédesorle	------⌫|-|-⌫--||--|------|----|-|
issir de sesb ar onsQu i	----|-|--|-⌫--⌫--|--⌫|
sen alastcombat re uerslesglotons.	|-|----|------⌫-|---|--|-------|
Maisançoi s quesolaustraieae scons Lorconuenraparler	---|------⌫|--|-----|----||-⌫----|--|-------|-----|
autreraison	----|-----|
Liplusardis des .iiii.quelc em bel	-|---|----|--|-----|-|-|-⌫--⌫--|
iuausi s t es tre nepor Sois on[s]N e	|-----⌫-⌫|--⌫--|-|--|----⌫----|-⌫|
leroiaumealr oi	-|------|-|-⌫-|
CharlonCar Aiols	------|--|----|
estmontésli	--|------|-|
gentieus hon Pa rdesor	-------|--|--⌫|----|
Marchegaiaesperon. Issu s estdelaport e tou ta	--------||-------|----⌫|--|-|-|----⌫|---⌫||
aiad e Loi repassélepontO	|-|-⌫|---⌫-|-----|-|---||
maineperne	----|--|-|
com p aigno n.Dameldé reclamapa r sonsaintn o n En treses	---⌫-⌫-----⌫-|-------|------|--⌫|--|----|-⌫-⌫|--⌫--|--|
de nsco mm en cheun e orisonAhig lorieus sire	--⌫-|--⌫--⌫--⌫--|--⌫|-----|--|-⌫------|---|
distl ifrans	---|-⌫|----|
pr esise n lauie rge anoncion	--⌫---|-⌫|-|---⌫--|-------|
Et tufusde	-|-|--|-|
luinésbi enlesai t honS	--|---|--⌫-|-|---⌫|--||
enfist liclere esto ile	-|---|-|----|----⌫--|
pa rition Li troiro ilecoisire ntdeleurroionAdo nt	--⌫-----|-|---|--⌫|-|-------⌫-|-|---|----|---⌫-|
s esmutc ascuns de	|----|-⌫-----|-|
s amaison.Tous.ii i.le sassemblastes	-⌫|------|---|---⌫-|--⌫|-----------|
sansmespros o n	---|-------⌫-⌫|
I luinre ntaEro de	-⌫|-----⌫-||---⌫-|
le roifelonIl	-|--|----|-|
de ma n daq uilquisr ent	--⌫--⌫-⌫-|-⌫|-|-----⌫--|
irontO nque s ne	----|-⌫----⌫|-|
liche lerent	-|---⌫-----|
liont Quen ésestlipro fetes	-|--|--|-⌫--|--|-|---⌫----|
querr antleuo nt	-----⌫--|-|--⌫-|
Quiser aro isetsires detout le	--|---⌫|--⌫-|-|----|-|---|-|
mont. Deul en	----|---|-|
gr antirealceurfelonQuil niuoloit	--⌫--|--|-|---|----|-|-|||-----|
si g nornuls e lui	--⌫-⌫--|--|-⌫|--|
nonBienquido ite strer oi sde	--|---|-----⌫-|-⌫---|-⌫--⌫|-|
toutlemon t.Soncorage	---|-|---⌫-|--|-----|
lorch ele partraisonAlé s	--|--⌫--|--|------|----⌫|
le donquesquerresignorba r on	-|------|-----|-----|--⌫-⌫-|
Puis repa iriésparmoi	---|----⌫-----|--|--|
leusabandonI el	---||-----|-⌫||
aou rersereses hon.Li troiroi	---⌫--||--|--|---|-|---|--|
respon dirent quainsi	------⌫-----|-|----|
fero nt Maisneconnoisen tmie	----⌫-|---|-|---------⌫|--|
lamesp risonNel efelon	-|----⌫----|-|-⌫|----|
corage delma lgloton	-----|--|--⌫|-----|
lesquidoitpartraiso n.	--|------|--|------⌫-|
Saueme ntl esguiastesperedelmont Tant	------⌫-|-⌫-|-------|---|--|---|---|
uosquisent li	--|------|-|
roitro u é uos	--|---⌫-⌫-|--|
Tr oisoffran desporterentpardeuisonO ret	--⌫--|------⌫--|--------|--|------|-⌫|-|
encensporchou lefontQueparce s .ii i.ofra n des	-----|--|---|-|---|--|--|--⌫|---⌫-|----⌫-⌫--|
co nnistronsS e st e srois	--⌫--------||-⌫--⌫-⌫|---|
terien sloru o s don r ont	------⌫||-|-⌫-⌫|---⌫-⌫--|
Lencentsest es	|-----||---⌫-|
prouoiresiconnistront.... .Le corage	-------|-|---------------⌫|-|-----|
seustesdes	------|--|
.iii.baronsCarue rs uo usnese	----|-----|--|--⌫-|--⌫-|-|-|
peutc helernus	---|-⌫----|--|
hons Touteslesreq uellis tessansmesproisonDes	---|-----|--|---⌫------⌫--|---|---------|--|
offrande[s]ontilgentguered on Sau ementles	----------|--|-|---|------⌫-|---⌫----|--|
guiastesp er e	-------|-⌫--⌫|
delmontDE rodeles gardastes	--|---||-⌫---|--|--------|
leroifelonQui les	-|--|----|--|--|
quidoittuer partra ison.	------|---|--|---⌫----|
Etquantcheuitli fel	-|----|--|--|-|--|
son t Par luinere p airi er e nt	---⌫|--|--|-|--⌫-⌫----⌫--⌫-⌫-|
escarnil on tDe ul en	------||--⌫|--⌫-|-|
grantiree l ceur	----|--|-⌫|---|
felonTousles e nfansfistque rrede	----|---|--|-⌫----|---|---⌫--|-|
sonr oionMana ntcommunalment	--|-⌫---|----⌫-|-----------|
etprèset loinS en	-|----|-|---||-|
fisttr est ous eslire l esual eton[s ]	---|--⌫---⌫--|-----|-⌫-|---⌫------⌫|
De .ii.ans etdemique	-|---|--|-|---|--|
plusnenontPu is lesfist dec olerinocent sont	---||-|--|--⌫-|--|---|---⌫---|------|---|
uoirementuoirsDexconchecreons	--------|----|--|--|--|-----|
Que rois es tes	--|---|--⌫--|
de to utlemontGarisiemehuide mor tet	-|--⌫-|-|---|--------|--|-|---⌫|-|
de prisonEt	-|-----|-|
donésaue ntureparu o saint	-----|---⌫----|--|-⌫|----|
nonQuesecore monpere ason	--|--|-----|--|---||--|
besoin Etm amere la ge nte elgautpa rfont .	-----|-|-⌫|---|-|--⌫--|-|---|--⌫-----⌫|
aront huigabé to utchigl oto nEts iont	----|--|----|--⌫-|--|--⌫---⌫|-|-⌫|--|
fait lorgasde mon	---|--|--|-|--|
bl ason Se ne	--⌫---|-|-|
combacas.iiii.qu i chien uont	-----|-|-----|--⌫|--|-|---|
pr isioumonco rs .i .esperon.L XXuQuantAiol[s] fu	--⌫-|--|--|--⌫-|--⌫|-------|-⌫--|----|------|-|
OrliensissusNa pas	------|----|||--|
gai resaléq uant aueus	---⌫--|---|-⌫---||---|
Les.ii i i .robeors adestre	--|---⌫-⌫-⌫|------||-----|
en s us .EtquantAiolslesuit ses	-|-⌫--⌫|-|----|----|--|--|--|
n estoit cou arsneesperd usAins d essentdel	|-----|---⌫--|-|------⌫-|---|-⌫-----|--|
cheual ate reius	-----||--⌫-|--|
E stroitement leçaintpargransuertus.	-⌫----------|-|-----|--|----|------|
. C. cheualie rl	-⌫-|--------⌫||
esgardentiouen eetkenuEt dame set	--------|-----⌫|-|---|-|----⌫|-|
quison tas mursEt	--|---⌫|-|---|-|
un sal autr eOrlaiueu	--⌫|||----⌫|-||-|--|
Labatailleestremesse	-|-------|--|------|
nenueré[s] pl usLibachelerses t	|-|-------|--⌫-|-|--------|--⌫|
iures tropabeu.Sireuenés uos e n tal	----|---||---|---|-----|--|-⌫-⌫|-|
Laisiéslesent	-------|--|--|
alernes t ouchiésp lusD	---|--|-⌫-------|-⌫--||
om e ochire est	--⌫|-----|--|
pichié sgranset id(e)us.O n qu es	-------⌫|----|-|-------|-⌫-⌫--⌫-|
mieudres uasa usdeuosnefu	-------|----⌫-|-|--|-|-|
uo usarésuos saudeesderiere luis Ac hest e Pentecoste	--⌫-|----|--|------|------||--||-⌫----⌫|---------|
ser és ue s tusDepelic ̧ onh ermineet d	---⌫--|--⌫-⌫--|-|-----⌫-⌫-|-⌫-----|-||
ors pelus.Che	--|-----|--|
par te uresdetex	---⌫--⌫---|-|--|
nestpl usA qui	|--|--⌫-||--|
fai llesoie ́sseurs.Quant l entendi Aiol[s]do la ns en fu	---⌫--|----⌫-|-----|----||------|------|--⌫--⌫-|-|-|
Parfond em entre claime	-------⌫--⌫--|--⌫-----|
leroiIesuAhigl orieus sirequi	-|--|---|--|--⌫-----|---|--|
mainslasusEtuenistes entere por	----|-|--|-|-------|-|---|--|
n ouschaius	-⌫--|--|--|
f ustesmisencroiset est endusEtferusdela	-⌫----|--|-|----|-|---⌫----|-|----|-|-|
lancepa r mi	----|--⌫|-|
b u(s)Quelis anse tliaigue encoulaius	-⌫---|--|-|-⌫--|-⌫|-|----|-|----|--|
t(r )ertsesieussiaueu( s)	---⌫---|--|---|-||----⌫-|
Et sibatisa	-|-|---|-|
c oupeue ri tés	-⌫---|--⌫--⌫---|
f uEtuo u s	-⌫|-|--⌫-⌫|
lipardonas tesp e reIesuMal gueredon	-|--------⌫--|-⌫-⌫-|---|--|-------|
on tlimescreuEninfere n	--⌫|-|------|-|----|-⌫|
girontelparfon tbuSi	-----|-|------⌫|-|-|
uoir eme nt dousDie us comche uoirs	----⌫---⌫-|---|---⌫-|--|--|----|
f u Auousm ecom ma[ n]c	-⌫||---|-⌫|---⌫---⌫--|
i ounie[n]t aautrui.	-⌫-|------||------|
Les cons ausde so npe re	--|----⌫--|-|--⌫|--⌫-|
ret en usQueiaquile kerr an ert c onfondus.	---⌫--⌫-|--|-|--|-|----⌫||--|-⌫--------|
a c ourcha la guichedeson escuE t	-⌫-⌫-----|-|-----|-|--|---|-⌫|
atoutessesa rmestrait	|-----|--|-⌫---|----|
enuerslui .	-----|---⌫|
Pl usbelc or nenot onquesne	--⌫-|--|-⌫-|--|-|-----|-|
quensne dus Etiur e	----|-|--|-|---⌫|
Damelde ́ e tsauertuMieuxuauroitestre mors	-------⌫|-⌫|-|----|----|------|----|---|
et confondu[ s]	-|---------⌫-|
Qu ei lnenfie re.i .ua utre	--⌫|-⌫||-|---⌫-|--⌫||-⌫---|
lui. LXXuIAiols fu	---|----|----|-|
r emonte ́ssorMa r chegaiUn[s] lechiereslicrie par	-⌫------⌫-|--|--⌫-⌫-----|----|--------|-|---|--|
Am ischeualie rsireau	--⌫-|--------⌫|---|-|
c heualbai Ass ésauezale itrés	-⌫----|--|---⌫--|---|---⌫|----|
bienlesaiCarmebailliéscesar mes	---|-|--|--|-|--------|--|--⌫--|
siiost e ra i	-|----⌫-⌫--⌫|
Ches tepremi[e]reioustepouruosfer ai .E tA iols rec l ama	----⌫-|---------|-----|---|--|---⌫--⌫|-⌫|-⌫---|---⌫-⌫--|
saint NicolaiSiuoireme nt biausirema c reanceai	----|------|-|-------⌫-|---|---|-|-⌫-----|-|
Les puc hele ssa luastesdelu ilainplaitLes	--|---⌫----⌫|--⌫------|--|-⌫----|----|--|
.iii.clers	----|----|
sussitastesporuoirlesa i Donés moia uenture desiré l	----------|--|---|-|--⌫|-----|--|-⌫------|------||
aiQ uesecoremonpe requ elbos	-|-⌫-|-----|--|--⌫-|-|-|--|
lai ssaiEtAuisse ma	---⌫---|-|-----|-|
mere als[l.al] corsue raiQui se	---|--------|---|--⌫--|--|-|
pasma po rmoiqu ant deseurai.	----|--⌫|--|--⌫--|--------|
Cilborgoism escarnisent[trop]bienle saiPor	--|------||----------|-----|---|-|--|--|
garn[i]mentquenaportai Mai s seDi e u(s)plaist	----------|--||------|---⌫|-|--⌫-⌫---|-----|
degloire u	-|-----||
creanceaiIa neueron t	------|-|-|-|-----⌫|
passerlemoisdemai [Que] teus	-----|-|---|-|--|----|---|
mescarnistore dontmeue ngr a i Cilborg ois mepor sieuent	|--------|--|---|-|--⌫---⌫-⌫|--|----⌫--|-|---⌫------|
esgardeilai.LX Xu IILirobeorrepai rentt o ut	-------||--|--⌫--⌫-|-|-----|-----⌫---|-⌫-⌫-|
es closuoientlenf antAiolquessie utaudos	--⌫---|-----||---⌫--|---|---|---⌫-|-|--|
l e s encauche tou s	-⌫-⌫|-------|---⌫|
l esgalosNe se uau t	-⌫-|----|-|-|---⌫|
pasaster cartrés	--|----|--|----|
biensot Quil feroit ch eual ier	---|--|-|-|-----|--⌫----⌫--|
parsone sforsSigno r	--|--|-⌫----|-----⌫|
chedit Niua r ses tés. i.poiCis	--|--|----⌫-⌫|--⌫---|-⌫-|--|--|
bo rgoisnouspor sieutsi	--⌫----|---|---⌫----|-|
lescuue uquila alcolIo	|---|--⌫|-|-||-|--|-|
auraileceual quisiu ienttost	----|-|----|--|-|-⌫---|---|
Et Sanse se npr endrale scu d e lcol.-	-|-----⌫|-⌫|--⌫----||-⌫--|-⌫-⌫|---||
E tiechedit	-⌫|-|--|--|
Aleau meslaub erc	-----⌫--||---⌫--|
del dos. -	--|---||
Etieauraidist Fou ke sl	-|-|----|---|---⌫--⌫||
el mesansorSei lse uieutdes fendre i a	--⌫-|---|-|-|-⌫|-|----|---⌫-----|-⌫|
l auraimor t	|----|---⌫|
Cui chauts enche fosséremaintli	--|----||-|--|-----|------|-|
cors LXXuIII	---|------|
Niua rstor neleresneuerslemescinMais	----⌫-|---⌫-|-|----|---|-|-----|---|
Aiol [s]pointet	----⌫--|----|-|
broce sel uaitferir Desor l a	----|--|---|----|----|-⌫|
boucledo rquiluit luisir	-----||-⌫|-|-|--|-----|
Perc hiéli a laubercetmolt	----⌫---|-|||-----|-|---|
malmisP a rmilegros	--|--|-⌫-⌫|-|-|---|
delceurlespiell imist	--|---||-----|-⌫|---|
Toute plainesalanche mortl	----|-----|-|-----|---||
abati . .C.	-----⌫|--|
cheualierlesgard entgr ant	--------||------⌫--|--⌫--|
et pe titEt dames	-|--⌫--|-|----|
etpuce lesascorsienti sQui trestoutlegabo ientgehui	-|----⌫--|-|---|-----⌫|--|-------|-|----⌫---|----|
Etsifontil encore n	-|-|---|-|-----||
enprendent	-|-------|
Dieusliqués	----|-|----|
fuch e qui orche iE nc or(e)	-|--⌫|--|-|---⌫|-⌫--⌫----|
uoitoutentier uostreescu	--|---|-----|-----|---|
ses. iiii.piésle bai r onchi. Lusiane l a belesot	--|-⌫----|----|-|--|-⌫-----|------|-⌫|---|--|
bienet u itQue	---|-|-⌫-|--|
Aiolslienfes quiiusl	----|-|----|--|--||
Dam eldér eclamade paradisSire perepropisses	---⌫----|-⌫-----|-|------|---|---|--------|
fesisuospu issiés	----|--|--⌫------|
huicestiorauoi rmerchiDel	--|---|--|----⌫|-----|-||
en fant dautretere quiestmendisQuil n	--⌫---||----|---|--|--|-----|-|-||
ter e parent nam iSainetsauf le ramainepar	---⌫|-----||--⌫|---|-|---|-|------|--|
tonplai sir	--|----⌫--|
Qu eilrepuiste ncoreparlera m i Car	--⌫|-|------|-⌫----|-----||-⌫|--|
plu slaim que nul	---⌫||--|--|--|
hom e queDexfeis tNeia se	---⌫|--|--|----⌫|-|-|-|
ienelain ar aimari .	-|-||-||--⌫-|----⌫|
LXXIXFoucarsenapelases compaignons	----|------|-|----|--|----------|
Estés u npoi	-----|-⌫|--|
ichi signor b aron	---|-----|-⌫---|
Che mesamblegra n[t] honte(s)	--|-|-----|---⌫---|-------|
glou t onQu ino us a mort	----⌫-⌫-|--⌫|--⌫-||---|
compaign onMi eus	--------⌫-|--⌫--|
uaur oieestre	----⌫--|----|
mortque nel	---|--|--|
u engo n s.	-⌫----⌫-⌫-|
Ilb roche le destrier desesperonsEt	-|-⌫----|-|-------|--|-------|-|
uait ferirAi ol	---|----|--⌫-|
toutabandonLés l	---||-----|---||
s el eprès de	-⌫--⌫|----|-|
Que sa lancheil [l.li]mist	--|-|-----|--⌫--|--|---|
braonParmiliu del a	----|--|----|-|-⌫|
quisse.i.poiamo ntDautrepartli	-----|--|--|---⌫-||----|---|-|
fis tfendre	---⌫|-----|
giron Durement	----|-------|
e stna uré sligentiex homLi	-⌫-|--⌫----⌫|-|------|--|-|
uermausli coule sorle spe ronMais	------|-|----|--||-⌫---⌫--|---|
Aiolrefiertluidetel	---|------|--|-|--|
randonQu illi ronpilauber cetlauqueton	-----|--⌫-|-|----||-----⌫|-||-------|
po mon Selitre ncha leceur	--⌫--|-|-|---⌫---|-|---|
toutabando n	---||-----⌫|
l aa b at uiusdesarchons.Loeysest asestres	||-⌫-⌫--⌫|--|--|-------|----|--|-|-----|
fiexCharlonSus el palai s pl en ier ensond ongon	---|------|--|-|-----⌫|--⌫--⌫--|-|--|-⌫----|
escrieaseshome s	-----||--|----⌫|
uoiésb aronD elpourecheualier que	-----|-⌫---|-⌫-|----|--------|--|
gabio nParsa int Denis de	-----⌫|--|--⌫--|----|-|
Franche il es tp reudon. Alés	------|-|--⌫|-⌫------|----|
uousadoubers elseco ronsN e uoilpasq u i l	---|------|-⌫-|----⌫---|-⌫|---|--|-⌫|-⌫|
i mu irepa r	|--⌫--|--⌫|
mes prison Mieusamero iea	---⌫-----|----|-----⌫-||
perdreRains etSoison[s] Que	-----|----|-|--------|--|
s i b oi n	-⌫|-⌫--⌫|
cheualier iperdison.François corent as armesetas	--------||--------|--------|-----|-|----|-|-|
adousMeismesl enpereres a rmale ior .Anquiuaur a	----|------||-------||-⌫--|-|---⌫|----|----⌫|
ueirdeprèsAiol.L XXXLi cenbiausfurenduset	---|-|----|----|-⌫--|-|-------|-|-----|-|
torno is Françoiscorentasarmes	-----⌫-|--------|-----|-|----|
totdemanois Meismes	--|-------|------|
Loeys sarma li roisAn quiuaura Aiol depr ès	----||---|-|---|--⌫--|----|---|-|--⌫--|
Maisi lnesaramiequ e	---|-⌫|-|---|--|--⌫|
sesnié ssoit. [Et]Sanses	--|----⌫|----|---|-----|
etAliaumes	-|-------|
sontal estroitIlencau che nt Aiolagrantesfroi	---|||------|-|-----⌫---⌫-|---||----|-----|
desa lan chemie rauoirI l a t raite lespee	-|-|---⌫--|--|-----|-⌫||-⌫----||----|
deman oisEt	-----⌫--|-|
es crie Mo nioie ahaute uoisFila	--⌫---|--⌫----||----|---|--||
pu t aintraitre(s)felonreuoi( s)	--⌫-⌫--|---------|----|------⌫-|
uosgastésc est eterr eniaué sdr o it.Huiest	--|------|-⌫---⌫|----⌫|||----⌫|--⌫-⌫--|--|--|
quelcomperois. - Sanses	---|---------||-----|
[ ce]dis t Aliau mes uien	-⌫--|---⌫|-----⌫--|---|
entie uois Maleoitsoit	--|-|---|------|---|
texen feset	--|--⌫--|-|
se sbufois	--⌫|-----|
Dieusquel[s]c heualiersnou sa toloisAl onnous	----|------|-⌫--------|---⌫||-----|--⌫-|---|
ent fuia nt	--|----⌫-|
tantcomn osloist.L XXXI [uont] Sanses	---|--|-⌫-|-----|-⌫---|-----|-----|
etAliaumes	-|-------|
tornantlesd osEtAi o l[s] lesenc au che	------|--|-⌫-|-|--⌫-⌫---|--|---⌫--⌫--|
tous les galosSa	---|--|----|-|
lanchearecoureeen.i.	-----||-------|-|--|
Onblam o itMa rchegaimais	-|----⌫-⌫-|--⌫------|---|
t ostIl otmaigrelecrupeetlons	-⌫--|-|-|-----|-|----|-|---|
.iiii.pi és coupés bien faisetgros	-----|--⌫--|------|---|---|-|---|
Ai o ls lelaisecorepar	--⌫-⌫-|-|----|---|--|
grantesfors. Desor	----|------|----|
lescuSanson feritelcopQu e	|---|-----|---|--|--|--⌫|
a perchié lauberc deldos	|-------||-----|--|--|
anste limi stparmile	----|-|--⌫-|--|-|-|
cors Deuantl ui a la ter e	---|-----|-⌫-||-|---⌫|
l abatimort.Ali a umes	|----|----|---⌫-⌫---|
enfuidessialbosEtLoe yslen cauchea son	----|----|-|--|-|---⌫-||--⌫-----||--|
. uII . cen set.iii i.xx.etquinsei otDe	-⌫---⌫|---⌫|-|----⌫----|-|-----||-|-|
noble[s]cheualie rs	-------|--------⌫-|
ase scu[s]	-|-⌫-----|
for sEtpuis	---⌫|-|---|
la gentapiéquilsieutau d os.	-|---||---|---|----|-|-⌫--|
LXXXIIAliaumess en	-----|-------||-|
reuaitel bos	-----|-|--|
e nenca ucheespe r on a nt.Il tientnue lespeequifu	-⌫|----⌫---|----⌫-⌫--⌫-⌫--|-|----|--||----|--|-|
Etua itf erir	-|--⌫-|-⌫---|
Aliau m eenataignan t Telcoupli	-----⌫-⌫|-|--------⌫|--|---|-|
ado ne ́ en	|--⌫--⌫|-|
tr espa ssantLatesteenfistuolere n mil e	--⌫----⌫----|-|----|-|---|----|-⌫|-|-⌫|
camp.A tant	----||---|
esperonn antLes Beruierstrouaelualgiss ant .	--------⌫--|--|-------|----|-|--|----⌫---⌫|
Demaisniesousprisene n	-|------|--------||-⌫|
s ainiant Fr ançoislesuo nt ferir	-⌫-|----|--⌫------|--|--⌫-|----|
demainte na ntDesl ancesquis ontroides asfers	-|------⌫--⌫-|--|-⌫----|--|-⌫--|-----|-|---|
trencha ns.	-------⌫--|
L au eissiés tant sor ettan t ba uchantFuirpa rle	-⌫|-⌫-------|---|--|-|---⌫|--⌫-----|---|--⌫|-|
c ampaignef r ai nst rainant	-⌫-------|-⌫-⌫--⌫-|-⌫------|
boin[s]cheua lier[s] mors	------|-----⌫------|---|
etsanglans Quiremessent gissantparmilescans . E	-|-------|--|--------|------|--|-|--|----⌫||
commenchaill e por.I.enfant Nedoit	------------⌫|--|--|-----|-|---|
estre gab é s	----|---⌫--⌫|
d or een aua ntMaisricheme nt seruisason	|--⌫|-|---⌫-|---|-------⌫-|-----||--|
LXXXIIIM oltfu grans lab a taille etli	------|-⌫--|-|----|-|-⌫-⌫-----|-|-|
estris.Qua ntli	------|---⌫-|-|
BoorgesuitLoeysEt sa	------|--|----|-|-|
g en temaisnie ui t entrepris	-⌫--⌫-|------|--⌫|--------|
Orpoé s d ire	-|----⌫|-⌫--|
etcroire qu ilfumar is.Signorchis	-|-----|-|-|-|---⌫--|-----|---|
gentiex que ns queieuos	------|---⌫-|--|-|--|
sauésquil fu	-----|-|-|-|
il uint.Poiest de iougle or[s] quil uousdesis tIl	-|----|--|--|-|------⌫----|---|---|-----⌫|-|
se uentle stoirene	--⌫---||-⌫-----|-|
n onta pris Dechousont	|--|-⌫---|-|---|---|
liauquant molt	-|------|---|
esc arniEtliplussorsen fontpor	---⌫---|-|-|------||-|---|--|
folteni r Quan t le	--|----⌫|----⌫|-|
uerai [e]est oiren e nont co isiHonquir aison	-----⌫--|---⌫---||-⌫|--|--⌫--|--|--|-⌫----|
commench eiel	--------⌫|--|
i l alda[e]ra inn en seti ssir	-⌫|-|-------⌫-||-|--|-⌫---|
fol etpormusar ts enfaittenir.	--|-|--|-----⌫||-|---|-----|
Mais ieuos diraibiendo nt	---|-|--|----|---|--⌫-|
liquensuintEt	-|----|---|-|
de conf aite	-|--|-⌫---|
gentielai apris.	---|-||-|-----|
che niésEli eleducg entilQuia tortfu	--|----|---⌫|-|--|-⌫----|--||---|-|
cachiés d esonpais	-------|-⌫|--|---|
Fieus M arsentsa s erorole cl er	----|-⌫-----|-|-⌫---||-|--⌫-|
uisCo usi n[s]	--|--⌫---⌫---|
germain[s] A iol dontieuos di . Po rchouguer[ e]oitil	---------|-⌫--|---|-|--|--⌫|--⌫|---|-----⌫----|-|
Loe ys Qu ilencacha sononclef orsdel	---⌫-|-|-|------|--|----|-⌫--|--|
pais.Aiol [s] nel	----|----⌫--|--|
c onnissoi tnaincmaisnel uit Cars i le	-⌫--------⌫||---|---|--|--|--|-⌫|-|
conneustne li	-------|-|-|
nuisistAinsli a idast sa guerre a esbaudir.	------|---|-|-⌫----|-|-----||--------|
quensuitseshomes morsetoc hisOr	----|--|--|----|---|-|--⌫--|-|
po e ́sdireetcroire molt	--⌫-⌫-|---|-|-----|---|
Ilesc ria se s homesc iau squison tuifGarissiésuos	-|---⌫--|--⌫|----|-⌫---⌫|--|---⌫|--|---------|--|
sig no rquipeust fui rCarie ne	---⌫--⌫|--|----|---⌫|--|-|-|
uospuiso replus	--|---|-⌫-|---|
main tenir Neuos	----⌫----|-|--|
puisa id iernegarantir. Pa r	---|-⌫--⌫--|-|--------|--⌫|
lapress e fuia nts	-|-----⌫|----⌫-||
Onquesni otFranc ̧ oisne	-----|||-|-----⌫-⌫--|-|
PoiteuinNe Norm antneM ansel neAn geuin Qui un	-------|-|----⌫--|-|-⌫----|-|--⌫----|--|-|
oss astauantsuirTantpar	---⌫--|----|---|---|--|
seuentlecomte preu e tar d i	-----|-|----|---|-⌫|--⌫-⌫|
Fors seulementAio ldontie uos di.	---|--------|---⌫|---|-|--|--|
Quantilenuit le	----|-|-|--|-|
comte tout seulfuirIlbr oc heMarchegaiaprèsses t	----|---|---|---|-|--⌫--⌫-|--------|-----||--⌫|
Il leuintataingant e n	-|-|---|--------|-⌫|
. i.lair isSeliaes crié Ne r t	-⌫-|----⌫-|-|-||--⌫----||-⌫-⌫|
ensis Bienuoique s teslimaistr esa	----|---|--|-|-⌫-⌫--|-|------⌫-||
lesbaudi r	|-------⌫|
uousm e l ai r és ostages a l	---|-⌫|-⌫--⌫-⌫--|------|-⌫|
dep artirQuantu ousmescaper és	---⌫----|----|-⌫--||-------⌫--|
biensere ́fisIamaisneferésguerre	---|----⌫|--|-----|-|-----|-----|
roiLoeys. Q uant	--|-----|-⌫---|
entendil iquensnepot	------|-⌫|----|-|--|
