quant limundesfuestabliz	----|-|-----|-|-------|
mucech ascunsdeus erebont	---|--⌫-----||--||-----|
cedeulorque	-|--|--|--|
portern en	-----||-|
ice laissen t ice en fuent	--|-------⌫|--|--⌫----|
eissidexen ait	----|--|-|--|
lesm erciz	--|-⌫----|
suntdeus e s chap ez	---||--|-⌫-⌫----⌫-|
m aislipaienq uant ilconuren t	-⌫--|-|----|-⌫---|-|-------⌫|
eil sorente	|-|-----||
apercu rent	------⌫---|
que isilorertlilieus ge rpiz	-|-⌫--|--|--|-|----|--⌫---|
ireze nfurent em arriz	---|-⌫|-----||-⌫----|
dum si lor erent eschap é	--|-|--|----|------⌫-|
liglisede la	|-----|-|-|
ed esai ntper elobaron	|-⌫|---⌫-|---⌫|-|----|
mistrenta f eu ea	-------||-⌫-|||
totma umistrente	--|--⌫--------||
trebucherent	-----------|
uncrien enestant ni	--|---|-|-----|||
sousedeserz fulil ieuspuis	---||-----|-|-|-⌫---|---|
p lusdetrentean z si	-⌫--|-|-----|--⌫|-|
comiet rui s	--|-|-⌫---⌫|
des truiemenz fu fa iz	---⌫--------|-|--⌫-|
e isidol eros e	-⌫--|---⌫---||
deuleu quitantaueit esté	--|--|--|---|----|----|
lonctens degrant auto rite	---|---|-|----|----⌫---|
s ousfu apr eseenermiz	-⌫--|-|---⌫-||------|
gastéloncten s edegerpiz	-----|---|---⌫||-------|
n irepairoct sibestesnon	||--------|-|-----|--|
gran ticresseientli	----⌫||---------|-|
espinesdr uesecoudreiz	------|--⌫--||-------|
mocticrei seitgranzli	---||----⌫---|----|-|
co ertpid ieede lorsg ranz	-|--|---⌫-||--⌫---|-⌫---|
eissi poctbien du rertre nteanz	----|---|---|--⌫--|---⌫--|--|
amunt s eig nesanzd emore e	----|-⌫---⌫-|---|-⌫-----⌫|
poial a ienz desmesuree	---|-⌫|---|---------|
iusq u arouem cele arstrentsi	----⌫||----|---|-------|-|
riensnulen	----|---||
lipople s fu a deoll iurez	-|-----⌫|-||---|-⌫----|
quiifuateinzne trouez	--||-|-----|-|-----|
simale fi n l or	-|---|--⌫|-⌫-|
fir en tfaire	---⌫--⌫|----|
qu or ri blechose	-|--⌫--⌫--|----|
estare traire	--||--⌫-----|
noctborc nechastel eu	|--|---|-|------|-|
nu ldesorliens ius qu aparis	--⌫|--|------|---⌫-||----|
neblene u innecharnefruit	-|--|-|-⌫-|-|---|-|----|
fustars pri s e destruit	---|--|---⌫||-------|
d onc e nuairentnormendie	-⌫--|-⌫-------|--------|
quiap elee ertn eustrie	--|--⌫---|--|-⌫------|
eissitresdoloro sement	----|---|------⌫-----|
qua rie n nifuntesparnem ent	-||---⌫|||---|--------⌫--|
sempresmaneis	------|-----|
les cheu alers	--|----⌫----|
enu airenttres toz premers	---⌫-----|----⌫--|------|
qui uassaumentsedesfende ient	--|---------|-|--------⌫---|
maisennulle u	---|-|--|--⌫|
nese tenei ent	-|-|-----⌫--|
cheualeri eetot lesforz	---------⌫||--||-----|
quepoeie nt aueirl esnoz	--|-----⌫-|----|-⌫-|--|
uoleien tq uas ser e abatre	-------⌫|-⌫---⌫--||-----|
nes osast uerseuscombatre	-||----|---|--|-------|
sifirent ilpartot	-|-----|-|--|--|
un cpuisgrant contenznitroue rent	--⌫|---|----|------|||-----⌫---|
asaint florenzdesoz	|----|------|----|
comsiln e fu ssent passegur	--||-|-⌫|--⌫----|--|----|
desfension	---------|
grant for teleceegrant	----|---⌫-----||----|
enuneisleso z labeie	-|--|---|--⌫||----|
traistren tensemblelornauie	---------⌫|-------|--|----|
to torden eeenroondece	--⌫|-----⌫-|-|-------|
esin firen tgrantfortelece	|-||-----⌫|----|--------|
l imas tdum nonb re s nertpet iz	-⌫|---⌫|--|----⌫--⌫||--|---⌫-|
neresembl oct mas	-|-------⌫--|--|
auisesteitq uefustunsbr uiz	---|-----|-⌫-|---|--|--⌫--|
l as comg r ant hontee quexorguiz	-⌫-|--|-⌫-⌫--|----||---|-----|
b ors resembloctgrant e u ilage	-⌫--|---------|----||-⌫----|
auauleiretotleriua ge	---|----|--|-|----⌫-|
oi ez porq u eleente ntion	--⌫-|--|-⌫-⌫--|----⌫----|
s eclostrent apres	-⌫|--------|----|
por les genzp rises	--|--|---|-⌫----|
chaanees eenbuiee s	-------||-------⌫|
ilocques ten ireg arder	-------|---⌫-||-⌫----|
e por lesaueirs a masser	|--|--|-----|-⌫-----|
eceusdes lor	|---|--|--|
lestr auaillez	--|--⌫-------|
elesnasfreze les	|--|------||--|
ilocrepreissent seio r	---|----------|----⌫|
que rmoctsofreientgrantlabor	---⌫|---|--------|----|----|
iloc er tlor	---|--⌫|--|
recriemenz	---------|
ecilli eusertdesfend emenz	|--|--⌫--|--|-------⌫----|
euersce us ensemble te nir	|---|--⌫-|-------|--⌫--|
quis iuoud reient enuair	--|||----⌫-----|-----|
ep orlescorsplusrenfor cer	|-⌫-|--|---|---|------⌫--|
asrennes dentoressiller	-|-----||----|-------|
dilocmoue ntnossai	|---|----⌫-||-|--|
mais q u e	---|-⌫-⌫|
totliur ent amartire	--|----⌫--||------|
duncacheualsouent apie	---||-----|-----||--|
souentres unt e s nexuoillié	-----|---⌫--|-⌫|--|-------|
iusqua nantesse d eua lerent	----||-----|-|-⌫---⌫-----|
siri checomil	-|--⌫--|--|-|
latrouerent	-|--------|
luntars ea	|--|---⌫||
feuecr auent ee	--||--⌫-----⌫-|
ap resdest ruistrent lacontree	--⌫--|----⌫--------|-|------|
r euindre ntaa niers	-⌫-------⌫-||-⌫----|
nesalenemostiers	-|---|-|-------|
nilais se rent tot n e fus tars	||----⌫--⌫---|--|-⌫|---⌫|--|
deuis epart i	----||----⌫|
porle paisdestru ire	--|-|---|------⌫--|
epor legrantaueira duire	|--|-|----|----|-⌫----|
e mp eitouneremestch aste l	-⌫|-⌫----|-|-----|--⌫----⌫|
neuileneborc rich ene be l	-|---|-|---|----⌫|-|--⌫|
detantcomlame r slauironne	-|---|--|-|--⌫-⌫||-------|
de ciqu enleu e	--⌫-|-|-||--⌫|
degaronn e	-|------⌫|
quinefu stafla mbe	--|-|--⌫-||---⌫--|
el ipoplesamortliu rez	|-⌫|-----||---|---⌫--|
ahont ea g laiue	|----⌫||-⌫----|
uncapeitiersnoctsi	--||-------||--|-|
nesiforz murss arrazine is	-|-|---|---|-⌫--------⌫-|
qua rsne fu ssent	-|-⌫-|-|--⌫----|
afeu grezeis	|--|------|
aueirpri squidedenzfu	----|---⌫|--|-----|-|
l epoplemort econfond u	-⌫|----|---||-------⌫|
trestozpe itouli plent eis	------|--⌫---|-|-----⌫--|
li richese	-|-----||
estsiaglaiue r eu ertiz	--|-||-----|-⌫--⌫----|
estmaisplusseruiz	--|---|---|-----|
fa itdeol daquitaine	--⌫-|---||--------|
nusniamaisri ensu endomaine	--||||---|--⌫-|--⌫-|------|
te rre norr icep ar	--⌫--|----⌫--|-⌫-|
decheualersproz e uaillan z	-|--------|---||-------⌫|
sibataillos desi	-|--------|-|-|
quior nenuntdesfension	--|-||-|--|---------|
comortemues	--|-|-|---|
or techa nges	-|-|---⌫---|
nesuntm aspreie	-|---|-⌫-|----|
a gent estrang es	|---|-------⌫-|
ceusqui e nteierentn orriz	---|--|-⌫|--|----|-⌫----|
de no blesperes niesefiz	-|--⌫---|----|---||--|
la clo t locean	|-⌫---⌫||----|
tre stotle ter me d icelan	---⌫---|-|---⌫-||---|-|
gast er enttotsanzautre	----⌫--⌫--|--|---|----|
c etruislisan tius que n	-⌫|----|-----⌫|---⌫-|-⌫|
ensaint ungena perreg ues	-|-----⌫---|||------⌫--|
narien e ntie rne sainremes	||---|-⌫----⌫|-|---|----|
icerefirentil	--|-------|-|
delemoges edengol esme	-|------|||-----⌫---|
est equ iuer sen part	---⌫|-|---||-|---|
l ors refu	-⌫--|---|
desieretart	-----||---|
qui lrentrassentenlo rn aui e	-|-⌫|----------|-|--⌫|-⌫---⌫|
adonc ro nt lor	----|--⌫-|--|
ueieacoi llie	---|----⌫---|
un cnefine rentciquator s	--⌫|-|----⌫---|-|-||---⌫|
nusneretraireitladolors	--|-|---------|-|-----|
dam agequeil	---⌫--|--|-|
lesancqu ilespandirent	-|---|-|-|----------|
tot arstren tetot	--|-------⌫||--|
trebucherent	-----------|
e tote la terre	|---|-|----|
essillerent	----------|
autr esile s	----⌫--|--⌫|
cu uersl eschiens	--⌫---|-⌫-|-----|
refi rent il	----⌫---|-|
puisa orli ens	---||----⌫--|
orenorentqu ilnelarsi ssent	-|-|----|-|-|-||----⌫----|
eque il nela destrui sis se nt	|--|-|-|-|-------⌫---⌫--⌫-|
termine l ala isiere nt	------|-⌫|--⌫------⌫-|
maispuisa presi	---|---|-⌫---||
repairrierent	------------|
arstrent lotot ce uos di bien	-------|-|--|-|--|-|---|
ei ssicom ni laisse rentrien	--⌫--|--|||------⌫---|---|
equos p uet	|-|-|-⌫--|
londef ra n cedire	--|-|-⌫--⌫-⌫-|---|
nedeurennenede lempire	-|--|----|-|-||-----|
nedeparisquide bei aute	-|-|----|--|-|---⌫---|
ede richece e	|-|------||
de ple nte	-|---⌫--|
soleit s orautr e sre sple ndir	-----|-⌫-|----⌫-⌫|--⌫----⌫---|
or nesipuetriens esioir	-|-|||---|----|-----|
aterrea plaindredole rose	|----||-------|----⌫---|
sor a u tresrich e	--|-⌫-⌫---|----⌫|
paisib leequitee honnore e	------⌫-||----||-------⌫|
estes ade olliure e	----||--⌫-|-----⌫|
cuidez qu i r emassistb eauues	-----|-||-⌫-------|-⌫-----|
nautrescitezenf ra nceades	|-----|----|-|-⌫--⌫--|---|
tot faiseientu ertirencen d re	--|--------|-⌫----|-|---⌫-⌫-|
nert lidamagesd erienmendre	|--|-|------|-⌫|---|-----|
sach ez quag ra nt e nuiz	----⌫-|-||-⌫--⌫-|-⌫---|
ientru is equ eiensa i	|-|---⌫-||--⌫||-|--⌫|
desabeies desco uenz	--|-----|--|--⌫---|
outant aueitde sainteienz	-|---|----|-|-----|---|
quisi uicment furentt raitees	--|-|------|-----|-⌫------|
arssesfon duesebr ui ssee s	-----|---⌫---||--⌫--⌫----⌫|
quosd ire itlondenormendie	-|-|-⌫---⌫-|--|-|--------|
ni octciteni oct	||--|---|||--|
outant neust	-|---||---|
deolecontr aire	---||-----⌫---|
quene uuospuis demire traire	--|-||--|---|---|--⌫-----|
tantertmais	---|--|---|
ci mausengroissez	-|---|---------|
e tantp a r ert multep leiez	|---|-⌫-⌫|--|------⌫----|
qu eun aueitioieen	-|-||----|---|-|
n egunl ieu	-⌫---|-⌫--|
poii au eitterrene fieu	--||--⌫--|----|-|---|
dum r enteuenistaseignor	--|-⌫---|-----||------|
remesesteientli labo r	----|-------|-|----⌫|
et ozgu erpizligaai g niers	|-⌫-|--⌫----|-|----⌫-⌫----|
la ouoctuingnesou	-|-|--|------|-|
fr omenzouautre s	--⌫----|-|-----⌫|
beiauses sarz	-----|--⌫---|
creis seit buissons detotesparz	-----⌫---|-------|-|----|---|
nus n osoct a lerpar	--||----|-⌫--|--|
nem arche antne peler in	-|-⌫-----⌫--|-|-----⌫-|
portelerentsienermi	--|--|----|-|-----|
sipoi err ési r elenqui	-|--|---⌫-|-|-⌫------|
que sol n ertmais apareissan t	--|--||--|---|----------⌫|
la ouorentestéplusgrant	-|-|----|----|---|----|
nusde co nfort n aueitfiance	--|-|--⌫----||----|-----|
nede salubuen esperance	-|-|---|---|--------|
partotaloentli da neis	--|--|-----|-|--⌫---|
e des normanze d esfranc eis	|--|------||-⌫-|-----⌫--|
esteitlicombatresremes	-----|-|--------|----|
ueistlon alor nes	----|--||--|--|
g entish ommespriseliez	-⌫----|-⌫----|---||---|
delorcontre esessilli ez	-|--|------⌫-|-------⌫-|
etant e dame	|----⌫|---|
encha stiuee	-----⌫-----|
e tantepucele honnoree	|----|-----|-------|
plo rerdan goisse egr antdeol	---⌫--||--⌫-----||--⌫--|---|
saureitlo quartr etra ire	------|-|----|-⌫----⌫--|
de sgranzaueirsdesme surez	--⌫|----|-----|-----⌫----|
comsigranz maisnefuiostez	--|-|----|---|-|-|-----|
t antenuntpris pa rle s contree s	-⌫--|-|--|---|--⌫|--⌫|-------⌫|
to tes lor ne x enuntrase es	--⌫--|--|--⌫|-|--|----⌫-|
lasse ́ d occises	-----⌫||------|
e da rsons	||-⌫----|
ededestruire regions	|-|--------|------|
se su nt asne x ensembl e trait	-|--⌫-|-|--⌫|-------⌫|----|
e dien ttui tqueientloruait	|----⌫|---⌫|--|---|--|---|
lor uol on tezuntacomplies	--|---⌫--⌫--|--|--------|
sestsauseentiers	|--|---||------|
lorn a uies	--|-⌫-⌫---|
elorme snees elor	|--|--⌫----||--|
entreusuntprisun parlemen t	---|--|--|---|-|--------⌫|
pe tite granttuitiioster e nt	--⌫--||----|---||------⌫-⌫-|
or siorreiz de q u il parlerent	-|-|-----|-|-⌫|-|--------|
hasten c lireneiezli fie us	------⌫|-|------|-|---⌫-|
sene schal mestre ep r inced	----⌫----|-----||-⌫-⌫---||
d edesleia umalice pleins	-⌫|-------⌫|-----|-----|
pa rlaau ant	--⌫--|--⌫--|
toz premera ins	--|-------⌫--|
seignorsfait ilmostreruosuoil	-------|---|-|------|--|---|
quedeu mond e	--|--|----⌫|
lemaireorguil	-|----|-----|
meillorcheualerie	------|---------|
quifu stseue neoie	--|--⌫-|---|-|--|
auezsiue ncueem atee	---|-|--⌫---||-⌫---|
quarmen est maisuer s	-|---||--|---|---⌫|
uospo rtee	--|--⌫---|
francenormendieebret aig ne	-----|--------||----⌫---⌫-|
eiusqu euersle s	|-----⌫|---|--⌫|
porz desp aigne	---||---⌫----|
auezco nquistotuasaument	---|--⌫----|--|--------|
riensne uosim etmaiscontent	----|-|--||-⌫-|---|------|
par tot auezfaituosaueaus	--|--|---|---|--|-----|
les gran z	--|----⌫|
cit ez les forzchast ea u s	---⌫-|--|---|-----⌫--⌫-⌫|
auezcrauenteze	---|--------||
e lespoples	|--|-----|
morzeuencuz	---||-----|
so scelnestaueir de litos	--⌫|--||--|----|--⌫----|
beia usner ichenep re cio s	----⌫-|-|-⌫---|-|-⌫--⌫---⌫|
s eiumreple ni	-⌫---|-----⌫-|
c om blée sienmananti	-⌫--⌫---||-|--------|
quenenporron	--||-|-----|
l etierz p orter	-⌫|----|-⌫----|
or sinosb esoignee sgarder	-|-|--|-⌫------|-⌫------|
conf aitementno s c onten dron	----⌫-------|--⌫|-⌫-----⌫---|
auantou seiorron	----|-|-------|
ousaisi ron u nd es	-|-----⌫--|-⌫|-⌫-|
quiseitricheseplent eis	--|---|-----||-----⌫--|
ti enionmaisqu itement	--⌫----|---|--⌫------|
edes fendondetote ient	|---⌫-----|-|---|---|
en fin alosanz	-|--|--|---|
se ignorage	--⌫-------|
equiorse r a proz esa ige	|--|-|--⌫-⌫|---||--⌫--|
sineseitci taisantne muz	-|-|---|-|------|-|--|
maisd ieeseit bienent enduz	---|-⌫-||---|---|---⌫----|
totson esgar te	--|--|-----⌫||
s amani ere	-⌫|----⌫--|
kerloure est atozparco nere	--||---|--||--|-----⌫---|
ideitnuschosetaire	|---|--|----|----|
qu il quitque	-|-|---|--|
bu enafaire	--⌫-||----|
assez iparlad es plussages	----||----|-⌫-|---|----|
maismo ctsuntdiue r sdeco ra ges	---|--⌫-|---|----⌫-⌫|-|--⌫--⌫--|
sonque chas cu ns en	--|--|----⌫--⌫-|-|
ue ctesent	--⌫-||---|
lo el ourediuersement	--⌫||---|----------|
cequel uns uec t l autredesdit	-|--||--|---⌫||----|-----|
tan t q uel ig ra ntelipetit	---⌫|-⌫-|-⌫|-⌫--⌫-||-|----|
e liplusricheeliplus	|-|---|----||-|---|
lontmissorhastenc	|--|--|--|------|
ild ira ic eferont	-|-⌫--|--⌫|-----|
eissiqueianeu desdiro nt	----|--|-|-||-------⌫-|
b iercoste deferlagree	-⌫--|----|-|--||----|
quant lachose fu graante e	----|-|----|-|-------⌫|
has tencparla hautenoiance	---⌫---|----|---|-|-----|
biensauezfait ilsanz dotance	---|----|---|-|---|------|
queme rueill es m e sui penez	--|--⌫------⌫-|-⌫|--|----|
com h autfu ssoneenor ez	--|-⌫--|--⌫---||----⌫-|
par c en suntcentmilhomme mor z	--||-|---|---|--|----|---⌫|
orsau umquexest	-|---⌫-|---|--|
nostreesforz	-----|-----|
equaureitennos	|-|-----|-|--|
a u besoing	-⌫|------|
dedem o re rci	-|---⌫-⌫--⌫|-|
uictez nos s erei t ehontaige	-----|--|-⌫----⌫||-------|
defai re ci plus lonc estage	-|---⌫-|-|---|---|-----|
mostronauant noz granz	------|----|--|----|
forc esenoz ualors	----⌫-||--|-----|
oidir echef	-|---⌫|---|
edescitez tot e squisunt	|--|----|---⌫-⌫|--|---|
laest tot le	-|--|--|-|
secl eapendant	----⌫|-------|
nulesirichenes igran t	---|-|----|-|-⌫|----⌫|
ne n f u unc fa iteneniert mai s	|-⌫|-⌫|--|--⌫--|-||---|---⌫|
orprequeuos me tezafais	-|--|--|--|--⌫--||---|
de l iconqu errea force e	-|-⌫|-----⌫---||----||
b iensaiso siuole zentendre	-⌫--|--||-⌫||----⌫|-------|
q ueiau ers nosnaura	-⌫-|-|-⌫--|--||---|
de sfen se	--⌫----⌫-|
moctauumuitaille edespense	---|---|-------||-------|
forz ienzsumm es deteuualor	---|---|----⌫-|-|--|----|
quenenos amestierseior	--|-|--||------|----|
siconqu erre no neualei r	-|-----⌫---|--⌫||-----⌫|
e pluspoeirep lusaueir	|---|----||-⌫--|----|
arommeloqu enosauion	|----|-|--⌫|--|----|
e si no sensei gno risson	|-|--⌫|-----⌫---⌫-----|
desi faitehonnor	-|-|----|-----|
qu au sieclenestnule	-|-|-----||--|---|
sis erabiercoronnez	-|-⌫--|---|-------|
no stre si ren ostreauoe z	--⌫---|--⌫-|-⌫----|----⌫|
ertdignedelempire	--|----|-||-----|
icesttra u ailnoses tremi r e	----|---⌫-⌫--|--|--⌫|----⌫-⌫|
ods ol itantau ron tot fait	-|-⌫-|----|--⌫--|--|---|
q uant ennozterresertretrait	-⌫---|-|--|-----|--|------|
s e ron gl orifié	-⌫-⌫--|--⌫------|
si nospoonceuacheue r	-|--|---|--|------⌫|
parto tlemontporron ale r	--|--⌫|-|---|-----|---⌫|
sanzdotepuise sanz cont ent	---|---|---||---|----⌫--|
orniaitquisdelai ement	-|||--|---|-----⌫----|
nete rmeatendu z ne trepas	-|--⌫--|------⌫|-|-----|
maisdreicon l es	---|------|-⌫-|
u eilles esmas	-⌫-----|-|--|
esi s igl onla idre itement	|-|-⌫---⌫-|--⌫|---⌫------|
querloreestbuen elouen t	---||--|--|---||-|---⌫|
de la p arole sesioirent	-|-|-⌫----||--------|
c onseilq ue	-⌫-----|-⌫-|
tuiten semb le conmunaument	---|--⌫----⌫-|-----------|
u nques dum	-⌫----||-|
octcontent	--|------|
moct p la ist abier e	---|-⌫--⌫--||---||
moctsestioistd ecel ealee	---||-------|-⌫|---⌫|---|
lanuitfirentlorapare il	-|---|-----|--|-----⌫-|
maisainzq ueleu a stlesolei l	---|-----⌫-|---⌫-⌫-|-|-----⌫|
furent il esnes	-----|-|-|--|
par ma tin	--|--⌫--|
mais ainz fi rent maintorf eli n	---|---|--⌫---|----|---⌫---⌫|
quan tlesnessu nt enmeruoillees	----⌫|--|--|--⌫-|-|--|-------|
e les ueillesfurentdreicees	|--|------|-----|-------|
odl e uentsiglen tquei lu nt	-|-⌫|---|------⌫|--|-⌫|-⌫-|
f rancegerp iss ent	-⌫----|----⌫---⌫--|
si sen uunt	-||-|---|
nessor bis tmersalee	|-|---⌫---⌫|--|----|
b retaigne unt t oteauir onnee	-⌫-------|--|-⌫--|----⌫----|
lesmerssenuuntlezles costeres	--|---||-|---|--|--|-------|
mai sesric hes terres	---⌫|-|---⌫--|-----|
saillentsouentpo rles aueirs	-------|-----|--⌫|--|-----|
quilpre nnenttoza lor uoleirs	-|-|---⌫----|--||--|------|
tantun tsiglié etant	---|--⌫|------||---|
porz pr is	---|--⌫-|
lunxuindrent cemest au is	---|-------|-||--|--⌫-|
unec ite de lon bar die	--|-⌫--|-|---⌫---⌫--|
t euni oct fai te nebastie	-⌫-|||--|---⌫-|-|-----|
de lalunedeufirmament	-|-|---|--|--------|
quisir eclarzisteresplent	--|-|-⌫--------||-------|
esteitel elunxapel e e	-----|--⌫|---|----⌫-⌫|
eporl a lunelunxnonm ee	|--|-⌫|---|---|----⌫-|
moct er trichemoctertuaillanz	---|--⌫|----|---|--|-------|
eple nteiueegran z	|---⌫-----||----⌫|
de ue ircuide re ntc e st la sonme	-|--⌫-|-----⌫--⌫-||-⌫-|-|----|
quecefus tlacite	--|-|---⌫|-|---|
sofert aueientgrantto rment	-----|------|----|--⌫----|
maisanoelt otd r eit ement	---||---|-⌫-|-⌫-⌫---⌫----|
la u i gireleseir da uant	-|-⌫-⌫---|-|---|--⌫---|
iprist r entport enlanuitant	|-----⌫-⌫--|---|-||-------|
soefqueriensne s	---|--|----|-||
ene s ueil le	-|-⌫-⌫----⌫-|
mais oroiez unemerueille	---|-|---|--|--------|
asm atinesdel eu esquie	-|-⌫-----|-||--⌫-----|
fua ioste ́to tle clergi e	-|-⌫-----⌫|--⌫|-|------⌫|
e li po plesdela ci t e	|-|--⌫---|-|-|--⌫-⌫|
comasi g rantsol l empnite	--||-|-⌫---|---⌫-⌫------|
eisic om iaila chose oie	---|-⌫-||-|-|----|--|
prem ere pr ofecie	----⌫--|--⌫-----|
quedeuei tlir e li	--|-----⌫|---⌫|-|
quiprisauei tbeneicon	--|---|----⌫|-------|
de leuesqu e demeinement	-||------⌫|----------|
dist par treisfeiz	---|--|----|---|
tantsolement	---|-------|
cent nexa rri ua	---|--|-⌫---⌫-|
ce mestu is	-||--|-⌫-|
au port deueneris	-|---|-|------|
celuttre i sfeizodtantse toct	-|--|---⌫-⌫|---|-|---|-|---|
mee s meslutne so ct	---⌫-⌫--|--|-|--⌫-|
moct le tindrent	---|-|-------|
agrantmerueille	|----|--------|
lunsdeu sal	|--||--⌫|||
autrese consei l le	----|-|------⌫-⌫-|
quescequespeia ut quesenef ie	-|-|-|-|------⌫-|--|-----⌫-|
leuesque ala	|------||-|
meruei lleo ie	------⌫--|-⌫-|
tozenfu enfinesbahiz	--|-|-|-|--|------|
est re certains e	---⌫-|-------||
enue ieauport eala mer	----⌫-|-|---|||-|--|
por sifaite	--|-|----|
choseesprouer	----|-------|
ciluirentla	--|-----|-|
floteauriuage	----|-|-----|
e tantenefetante	|----|--||----|
dum moctfur entespoentez	--|---|---⌫--|--------|
tost su nta rrereretornez	---|--⌫-|-⌫----|-------|
l a choseunttost fai tesauei r	-⌫|----|--|---|---⌫-|-----⌫|
adoncsorent	----|-----|
octditueir	--|--|---|
liclerzonsmai tenantsaillirent	-|-------|---⌫-----|---------|
eeuselor citegarn irent	|--||--|---|----⌫----|
grantno iseisorste	----|--⌫--||----||
grantesfrei	----|-----|
chasc unsi octpaor de sei	-----⌫--||--|---|-|--|
li q uensliprince	-|-⌫---|-|-----|
detre stotelaregion	-|---⌫----|-|-----|
e liesuesqueeliclerg iez	|-|-------||-|-----⌫--|
suntadesf endreapar eill ez	---||----⌫----|----⌫----⌫-|
ma nd entcheualerse seria nz	--⌫--⌫--|--------||-----⌫-|
enpoidetensen	-|--|-|---|-|
orent tanz	----|---|
ne fu ssent	-|--⌫----|
apar eillié sunt deus atendre	----⌫------|---||--|------|
hastencesgardelacite	------|------|-|---|
gran tnobilite	----⌫|-------|
co nlifosseisuntparfu nt	--⌫|-|----||---|-----⌫-|
li t errerr oistecontremunt	-|-⌫----|-⌫----|---------|
e l ihau tmurd es usassis	|-⌫|---⌫|--|-⌫--⌫-|----|
od lesportaus de	-|--|------|-|
comles torsi	--|--|---||
sun t bataille es	---⌫|--------⌫-|
desfendreapa reill ees	--------|---⌫-----⌫--|
ueitla grant genz quidedenzes t	---|-|----|---|--|-----|--⌫|
qui de combat re	--|-|------⌫-|
sun ttu it prest	---⌫|--⌫-|----|
set pararmesniferontrien	--|--|----|||-----|---|
totap erceit econoistbien	--|--⌫-----||------|---|
perd repoent	----⌫-|----|
a l a seier	||-⌫----|
asse zplustostquegaaigner	----⌫|---|---|--|-------|
conse il mortauedeceuant	-----⌫-|-----||-------|
pes meeorribleesoduiant	---⌫-||------||-------|
aprisdelaciteaue ir	|---|-|-|---|---⌫-|
ian orre iz maisamenteueir	-||----⌫-|---|---------|
n e niertiusq u ala	-⌫||---|----⌫||-|
fi nretrait	--⌫|------|
qu e isitres	-|-⌫--|---|
g ra ntdeslei	-⌫--⌫-|-----|
lesmessagesalich ienspris	--|-------||-|--⌫---|---|
d emal enseigniezeap ris	-⌫|--|---------||--⌫--|
dreit aleuesquel es tremet	----|||------|-⌫-|-----|
e aucontes i	|-|----|-⌫|
que cefera que	--|-|---|--|
illorma nde	-|--|--⌫--|
ainzque lacho se p lusses p an de	------|-|---⌫-|-⌫--||--⌫-⌫--⌫-|
sunt ue nudreitenlacite	---|--⌫-|----|-|-|---|
quan tlis e ignorfurentiosté	----⌫|-|-⌫-⌫----|-----|-----|
su ntcilconm enciélormessage	|-⌫-|--|----⌫-----|--|------|
comahautseignore	--||---|------||
uos ma n dehastenclecorteis	--|--⌫-⌫-|------|-|------|
quimaistreeprinc eest des dan eis	--|------||-----⌫|--|--|---⌫--|
saluzs ubiec tionsdamors	----|-⌫-----⌫----||----|
eseruig esmai nzepluso rs	|------⌫-|---⌫-||-----⌫-|
etot es sesienz	|---⌫-|--|---|
od leiauscuersparfitement	-|-----|----|----------|
qui o dluifurentessillié	--|-⌫|--|-----|--------|
e forsdelat e rreen ueié	|---|-|-|-⌫-⌫--|--⌫----|
lesgar d em ent	|-----⌫-⌫--⌫--|
quen dacetiennentno stre	-|-|---|-------|--⌫---|
o iauezbienlesau um	-⌫|---|---|-|---⌫-|
co mcil denostreregion	--⌫|--|-|-----|-----|
n osess illeren tpar	-⌫-|---⌫-------⌫|--|
dumce nt milhommeun testé mo rt	--|--⌫-|--|----|--⌫|----|--⌫-|
f uitifcongeé e chaci é	-⌫----|------||-----⌫-|
e p armainteme r perill ié	|-⌫-|-----|--⌫|------⌫--|
em ainte gra ntdolor	|-⌫----|---⌫-|----|
e mai nt trauail e mainteperte	|---⌫-|------||-----|----|
a rriuasm es odgrantdotance	-⌫-------⌫-|-|----|------|
to t dr eit	--⌫|--⌫--|
espar ties	-|---⌫---|
de fran ce	-|----⌫-|
lirennes nos esteit pramis	-|-----|--|-----|-----|
decerioncertains e	-||----|-------||
quel ideleconsentire ien t	--|-⌫|-|-|----------⌫---⌫|
ei ssi que	--⌫--|--|
ianeude suoudrei ent	-|-||--⌫--------⌫--|
q uelaterreconquerrion	-⌫-|-|----|----------|
eq uano sl a sosmetrion	|-⌫||--⌫|-⌫|---------|
parisifaiz sorziuenis m e s	--|--|---|---||-----⌫-⌫-⌫|
epar telotr ez lenuaismes	|--|--|---⌫-||--------|
troue ́iauumgranzcontenz	-----⌫||---|----|------|
e granzdesfensionde	|----|---------|-|
euencu ese endurees	|-----⌫-||-------|
for zbatail lesefran z me sle es	---⌫|------⌫--||----⌫|--⌫---⌫-|
orgoillos tro uam esfranceis	--------|---⌫---⌫-|-------|
mais toteueiessorlorpeis	---|--------|--|--|---|
auumuencu alaparfin	---|----||-|-----|
l e reiaumet ot enterin	-⌫|------|-⌫-|------|
au umsosmis	--⌫-|-----|
nostreseign o r	-----|-----⌫-⌫|
force e par uigor	----||--|----|
orguiln aium	-----||---|
p les sié	-⌫---⌫---|
efa it uenir iusqua son pie	|--⌫-|----|----||--|--|
quanttoteume sacheftr ait	----|--|----⌫||---|--⌫--|
ei si comuos	--⌫-|--|--|
a uum retrait	-⌫--|------|
