quantmene laus ottroieasise	----|----⌫---|-|----|----|
unhomequil	-|---|-|-|
orenttro ue ́	----|---⌫--⌫|
to tn u liésor lefosse	--⌫|-⌫|---|--|-|----|
ilu eclorentli	---⌫-||----|-|
gre ulaissié	---⌫|-------|
p arcel ui fumesanginié	-⌫-|---⌫-|----|-------|
li roi spremierslaraiso na	-|---⌫|-------||------⌫-|
totan ord rel i demand a	--|-|---⌫-|-⌫|------⌫|
co mauoitn on	--⌫|----|-⌫-|
quiil e stoit	--|-|-⌫----|
qui lau oit eu ande stroit	-|-⌫|--⌫--|-|-|--⌫-----|
nosfume stui tuers luib aif	--|----⌫|---⌫|---|--|-⌫--|
etas paro lles antantif	-|-|----⌫---|-------|
m oltlo hastame sdepa rle r	-⌫--|-|-------⌫|-|--⌫---⌫|
et il fi st sa nblant	-|-|--⌫-|--⌫-----|
des a uienot	-|-⌫|--||-|
gaires cure	-----|---|
q uant se mist	-⌫---|-|---|
an tel auanture	-|--|-------|
etanaban dondem orir	-|-|----⌫--|-|-⌫---|
pornos anginier et trair	--|--|-------|-|----|
grantestoltiean	----|-------|-|
p ris tensoi	-⌫---⌫|-|--|
an sospirant ia	-|--------|-|
dist alr oi	---|-|-⌫-|
sirefaitil	---|---|-|
maismoltme t orneaen ui	---|---|-|-⌫---||--⌫-|
queneprene z dem oiuaniance	--|-|-----⌫|-|-⌫-|-------|
car deu ienaies peranc e	--|-|-⌫-||-|--⌫------⌫|
biensaiq ue	---|--|-⌫-|
d emafinsuipre s	-⌫|-|--|--|---⌫|
iceuoldr oitmol t ulixe s	--|-----⌫--|---⌫|-----⌫|
quimol t ma coilli en	--|---⌫|||-----|-|
et mol tmam al emant	-|---⌫|||-⌫--⌫----|
la idangié m aa mo ltgran t tort	--⌫-------||||--⌫-|----⌫|---|
p orunmienon clequ il ma	-⌫-|-|---|--⌫--|-|-|||
m e mesla i	-⌫|-----⌫|
o luis elidi s	|--|-⌫|-|--⌫|
uenoi e anmonp ais	-----⌫|-|--|-⌫--|
qu ebiennerepos	--⌫|---|-|----|
desi la que uangiélauroie	---|-|--|------||-----|
il fu f orz homsemefist prendre	-|-|-⌫--|--|-|-|---|------|
onc parple gen eme	--|--|---⌫-|-⌫|-|
uolt ran dre	---|---⌫--|
long uesma tenuan	----⌫--|||---|-|
etan moltgrantdest rucion	-|-|---|----|----⌫-----|
de silautri erqueilauint	--⌫-||-----⌫-|--|-|----|
queme nel ausconc ile tint	--|--⌫---⌫--|----⌫--|---|
compl eint soiqueilligreuoit	-----⌫---|--|--|-|-|------|
quean grece	--|-|----|
nesen aloi t	-||-|----⌫|
tro p i a uoi t	---⌫||-⌫---⌫|
f etloncestage	-⌫-|---|-----|
mais nepooit	---|-|----|
auoirorage	----|----|
ue nt nesau oit ua nter	--⌫-|-|---⌫--|--⌫---|
qui s peust angrece	--||----|-|----|
desq u il uoloit antreresnes	----⌫|-|-----|-----|-|--|
anesl ore nefu st reme s	-----⌫--|-|--⌫-|----⌫|
ialauoitdis foizessaié	-||----|--|---|------|
toz tansli on tli	--|---|||--⌫|-|
uan tboisié	---⌫|------|
quisa con soil	---||---⌫---|
quilporroi t	-|-|------⌫|
quisi li sont	--|-|-|---|
cont raire	----⌫----|
eti lloer en t tuitalroi	-|-⌫|----⌫--⌫|---|-|--|
quepar lo mestr e dela loi	--|--|-|-----⌫|-|-|--|
feistato zlosdesanquerre	----||--⌫|--|--|-------|
comilsanr irontanlorterre	--|-||-|-⌫----|-|--|----|
atantfu c alcasdeman dez	----|-|-⌫----|-----⌫--|
unsprofit esmoltenorez	--|------⌫-|---|-----|
mi selapa rol le	--⌫-|-|--⌫---⌫-|
ilanprist sac roce ets	-|-|----|-|-⌫---|-||
as des fistungrant sacrefise	-|--|---|-|----|--------|
puisala cho sebienanquise	---||-|---⌫-|---|------|
e tlideu e n	-⌫|-|--|-⌫|
ont demostré	--|--------|
totean ordre lau erite	---|-|----|-|-⌫----|
quant uint	----|---|
eld emain almatin	-|-⌫----|-|----|
siral erent tuital	-|---⌫----|---|-|
etd emandentquel laf eront	-|-⌫-------|---|-|-⌫----|
deusrespo nt	---|-----⌫-|
qued elorale re rtnoi an z	--|-⌫|--|---⌫|-⌫-|---⌫--⌫|
seoleusli deusdesua nz	-|----|-|---|--|--⌫-|
primes apa iez	-----|---⌫--|
quun sgr euslifustsacrefiez	-|--⌫|--⌫--|-|---|--------|
