nob leslil ions	---⌫--|-|-⌫---|
po rl orpereq uita ntlesaim e	--⌫|-⌫-|---|-⌫-|--⌫-|--|---⌫|
qantilles uoit biaus f iuz	---|-|--|---|----|-⌫--|
les clai me	--|----⌫-|
hersantprieporsonsai ngnor	------|---|--|--|---⌫----|
qu edieusli facete lehon or	--⌫|----|-|---|--⌫-|---⌫-|
q ueia delaba taillenisse	-⌫-|-|-|-|--⌫-----||---|
et querenartuain trele puisse	-|--|-----|----⌫--|-|-----|
que molts oue f li	--|---|-⌫---⌫|-|
fistlachose	---|-|----|
enlate sniereou iertenclose	-|-|--⌫-----|-|---|------|
i a par luinenissistcon plainte	-⌫|--|--||-|-----|---⌫------|
maisysengrinqui afa itmainte	---|-------|--||--⌫-|-----|
en fis t conp laintece m epoise	-|---⌫|----⌫-----|-|-⌫|----|
m olt aenlui franche bor ioi se	-⌫--||-|--|------|---⌫---⌫-|
t uitsonta cortetpo ure etriche	-⌫--|---||---|-|--⌫--|-|----|
y sengrinmetraenla briche	-⌫------|----|-|-|-----|
renartsilp uetenla	-----||-|-⌫--|-|-|
uaudra s onengi ngma aille	-----|-⌫-|----⌫-|--⌫----|
qan tli roisui ts age nt ue nue	---⌫|-|---|--⌫|-⌫|--⌫-|--⌫--|
la o ula batai lleesttenue	-|-⌫|-|-----⌫--|--|----|
brichemerfist aua nt u e nir	--------|---|---⌫-|-⌫-⌫--|
p orrecorderetret e nir	-⌫-|-------|-|---⌫-⌫--|
le i ugementdela	-|-⌫------|-|-|
sili priepar	-|-|---|--|
deuant aille	-----|----|
bricheme rs est uenuzau ant	--------⌫-|--|----|--⌫--|
et d istqu	-|-⌫--|-|
il fera son co nment	-|---|--|--⌫----|
a soiatretyyde sbarons	|--||---|-|--⌫|-----|
quifurentdesplusha uzbarons	--|-----|--|---|--⌫-|-----|
lil ieparz	-|-⌫-----|
ifuli premi ers	|-|-|-----⌫--|
qui molt i ertorgeilleus et fier s	--|---|-⌫--|---------|-|----⌫|
et bau ce n t qui ot le co r s	-|---⌫--⌫-⌫|--|-|-|--⌫-⌫|
etmes siresbruienzlito rs	-|--|----|------|-|--⌫-|
cilyy sont auantuenu	--|-|---|----|---|
tozles plus sages sonttenuz	--|--|---|----|---|----|
q ue celiorfurenten	-⌫-|--|--|-----|-|
nia celuiqui biennelface	|||----|--|---|-||---|
porzz granti ugeme nttenir	--|-|----|-⌫-----⌫-|----|
lorsconm encaa consantir	---|----⌫---||--------|
cil yyuonta zzconseil	--|-|---||-|------|
dis t brichemers moltmemeruoil	---⌫|---------|---|-|------|
serenartosastce panser	-|-----|----|-|-----|
dontnosl oimesescuser	---|--||----|------|
areoeneleta tiber t	|------|-||-----⌫|
etabrun lorsquimoltnossert	-||---||--|--|---|--|---|
des autrescl amors	--|-----|--⌫----|
en saiad irequentes	-|--||-⌫--|------|
pinteseplaintet tiecelins	----|-|-----|-|--------|
tot apressorlui y sengrins	--|----|--|--|-⌫-------|
et porcezad onéson	-|--|--||-⌫---|--|
liuréostage	-----|-----|
queilreconnoist re	--|-|----------⌫-|
se ille nieenmi	-|-|-|--|---|
se igno rqu ipoist abaissi er	--⌫----⌫|--⌫|----|-------⌫-|
lemalos t eretapaissier	-|--|--⌫-⌫-|-|--------|
b ienesteroit cemestauis	-⌫--|-------|-||--|---|
escebienqueie	-|-|---|--|-|
baucent respontbienauez d is t	------|------|---|---|-⌫--⌫|
tuitlostroient san zcontredist	---||--------|---⌫|---------|
tuityyen sontuenuau	---|-|-|---|---|-|
etsili ontdi st e n	-|-|-|--|--⌫-|-⌫|
s ire uostrebar on	-⌫--|-----|---⌫-|
quecist prodomesaco rdassent	--|---|------||---⌫-------|
sauueuost reonort oteauant	----|----⌫-|---|-⌫--|----|
eti lduifure nt bienuaillant	-|-⌫|--|----⌫-|-----------|
molt plaistauroicequil on t	---|-----|-|--|-|-|-|--⌫|
iaparmoinenau re z despi t	-|--|--||-|--⌫--⌫|-----⌫|
seignorfaitil or	------|---|-|-|
ysengrinprimesap el ez	-------|-----|--⌫--⌫-|
l aq uerelealu itient	-⌫|-⌫-----||--⌫|----|
neantnenapart ient	----||-|-----⌫---|
f orsseulementde droittenir	-⌫--|--------|-|----|----|
dousorplus uos	--|------|--|
laisc oueni r	---|-⌫-----⌫|
neme poise	-|-|----|
s acordent	|-------|
neuoilqu eporm oisedescordent	-|---|--⌫|--|-⌫-|-|---------|
qant b richemersla entend u	---|-⌫--------|||------⌫|
enestcolestandu	-|--|--|------|
ays eng rindisten loroille	|--⌫---⌫--|---|-||------|
queliro isform e nt se meuoille	--|-|--⌫-|----⌫-⌫-|-|-------|
q u ennepu etpes entre uosme stre	-⌫|-|-|--⌫-|--|----|--|--⌫---|
nepo rdoner	-|--⌫|----|
ne p or promestre	-|-⌫-|--------|
bie npre ingne	---⌫|---⌫----|
ser enartporsaforfait ure	-|-⌫----|--|-|-------⌫--|
etp or cequeils orlimist	-|-⌫-|-|--|-|-⌫-|-|---|
que asafameforce fist	--||-|---|----|---|
distyse ngrinn	---|---⌫----||
enparlezpa s	-|-----|--⌫|
i ele uosdienn elepas	-⌫|-|--|-|---⌫-----|
lui prandraiacorde	--|-------|-----|
n euoilautre	-⌫|---|----|
f oizsiamorde	-⌫--|||-----|
neferahon tea son	-|---|---⌫-||--|
lau angenc een se raamere	-|-⌫------⌫|-|--⌫-|----|
ieu erraisonmefe radroit	-|-⌫----||-|-|--⌫-|----|
brichemer distqueiluo droit	--------|---|--|-|--⌫----|
quela chose fus tsi menee	--|-|----|---⌫|-|----|
s i ded uitee tsiatornee	-⌫|---⌫---|-⌫|-|------|
qu entraus yyfus ent	-|---|--|-|---⌫--|
laizes tque	---|--⌫|--|
soient ennemi	-----|-----|
etchascunsson droit e ust	-|-------|--|----|-⌫--|
etqua mo rt tor ne ́nel or fust	-|-||--⌫-|---⌫--⌫|-|-⌫-|---|
distysengrin iadieu	---|-------|-|---|
q ue ie ia	-⌫-|-|-|
acor da nce fa ce	----⌫--⌫--|--⌫-|
uoielep lus fort	---|-|-⌫--|---|
etconsache qui aur ator t	-||-|----|--|---⌫|---⌫|
b ienmepor ratenirpori ure	-⌫--|-|---⌫-|----|--|-⌫--|
seiel enlaispartir	-|-||-|---|-----|
ditesleroietso n barnage	----|-|--|-|--⌫|------|
queces a c hentetfolet	--|-|-⌫-⌫-⌫---|-|--|-|
quepornientlap esr e quiert	--|--|----|-|-⌫-|-⌫-⌫-----|
iadecestchamp faisteneniert	-|-|---|----|-----||-|---|
chascun sdiraceque iluodra	-------⌫|---|-|--|-|----|
ue rronsquimiauzuaudra	--⌫----|--|----|-----|
dites le r oiq uedroitm e	----|-|-⌫-|-⌫-|----|-⌫|
bat a illeauraco nmentquau aingne	---⌫-⌫---|---|--⌫------|--⌫-----|
qan tbriche mersuite nlafin	---⌫|------⌫---|--|-⌫|-|--|
netrueuepai saisen grin	-|-----|---⌫||----⌫---|
adist telenouele	|---|---|-----|
de coisiresi	-|--||--|-|
sire faiti la m oi ente nt	---|---|-⌫||-⌫-|----⌫-|
ysengrinsabatail le atan t	-------|-|------⌫-|----⌫|
il nac ure	-|||-⌫--|
defairepa is	-|----|--⌫-|
honizsoit quienfera mais	----|---|--|-|---|---|
nulec hoseselechanp n on	---|-⌫---|-|-|----|-⌫-|
ouenten ra lunabrico n	-|-|---⌫-||-||-----⌫|
ore stl iplaizmolt e npir iez	-|-⌫-|-⌫|----|---|-⌫----⌫--|
q ueliroissestoit	-⌫-|-|---||-----|
delogo il qu	-||---⌫-|-|
i sen g rinadi st	-⌫---⌫-⌫--||--⌫-|
qui de pe s	--|-|--⌫|
fai reses condit	---⌫-||--⌫-----|
dist bric h emers seuosuo lez	---|----⌫-⌫----|-|--|--⌫--|
droitfaire sico nuos uolez	----|----|-|--⌫|--|----|
auant naillentne	----||------|-|
seuost enez la	-|--|-⌫---|-|
dr oite uoie	--⌫---|---|
les metez lafors	--|----|-|---|
si gardeb ienchascu nsonc ors	-|----|-⌫--|------⌫|--|-⌫--|
qa nti lserontemila pla ce	--⌫-|-⌫|-----|--|-|---⌫-|
qui miauzporr a fairesiface	--|----|----⌫|----|-|---|
et distliro is	-|---|-|--⌫-|
por ueritepuisafichier	--|-----|---|-------|
n en panroie pasto tlauoir	|-|------|--|--⌫||----|
plusrichespuistauoir	---|-----|----|----|
que ielabataillenenaie	--|-|-|-------||-|--|
que iamesnena uraimenaie	--|----||-|-⌫---|-----|
qalastonata rgant	|----|-|---⌫----|
oucha mples metommain tenant	-|---⌫-|--|----|----⌫-----|
parol e ontrecité	-----⌫|--|------|
delab atai lle etr acontee	-|-|-⌫----⌫--|-|-⌫------|
siles ont misyyens anble	-|--|--|--|-|---⌫----|
liplushardizdep aortranble	-|---|-----|-|-⌫--|------|
luns tenoit lautre par la main	|--|-----||----|--|-|---|
li roi sapelezz chapelain	-|---⌫|----|-|--------|
monsain gnorbelinle mos t on	--|----⌫---|----|-|---⌫-⌫-|
mol t e st sagespasn eldist on	---⌫|-⌫-|----|--|-⌫||---|-|
ci laportelesain tuaire	--⌫|-----|-|----⌫-----|
sor co iduren tsairement	--|--⌫|-----⌫|--------|
liroisafai tc ri ers on ban	-|---||---⌫|-⌫--⌫-|-⌫-|--|
quil n iaitnul	-|-|||--|--|
detelboban	-|--|----|
qu if acentnoise enpesse tienent	-||-⌫----|----|-|--|-|------|
co nmeprodomesecont aingnent	--⌫--|------|-|----⌫-------|
m ol t estli ro is degrant iu st i se	-⌫--⌫|--|-|--⌫-|-|----|--⌫--⌫-⌫-|
dou sair ementfaitladeuise	--|----⌫----|---|-|-----|
d an tbriche merset	-⌫--⌫|------⌫---|-|
dantbrunlors	---|---||--|
qu el entenoit ayy meillors	--⌫||-|-----||-|-------|
deui serent le sairement	----⌫-----|-|--------|
de uanttrestozapertemen t	--⌫---|------|---------⌫|
s e ignorfa itilor mentende z	-⌫-⌫----|--⌫-|-|-||-------⌫|
seiedim alsim andez	-|-|-|-⌫-|-|-⌫----|
rena rtiurapremie re ment	----⌫-|---|------⌫--⌫---|
et simistenso nsairement	-|-|---|-|--⌫|--------|
qua ysengrinnen atortfait	-||-------||-||---|---|
nadant tibert	||---|-----|
le chatmesfait	-|---|------|
t iecelinn alamesa nge	-⌫------|||-|----⌫--|
n a reonelconmentq uil praingne	||-----|--------⌫|-|-------|
renartfaites lesauuement	-----|-----|-|--------|
cioient nosapertement	-|----|--|---------|
renarts agen oille enla	-----||----⌫----|-|-|
mol tsaparaille et	---⌫||--------|-|
se rebrace	-|------|
desus les sain z la m ain est ant	----|--|----⌫|-|-⌫--|---⌫--|
parsa iremant	--|--⌫------|
re li quesqu	--⌫--⌫---|-|
plaitnul torn	----|--|--||
lessainzbai ssapuis	--|----|---⌫--|---|
a yse ngrindurem e n tgri eue	|---⌫----|-----⌫-⌫-⌫|---⌫--|
queil f a it	--|-|-⌫-⌫-|
en ten dre por uoir	--⌫---⌫--|--|---|
la mancongepor lesa uoir	-|-------|--|-|--⌫---|
a t ant seres tagenouzmis	-⌫-⌫--|-|---⌫||-----|--|
di stbricheme rs biausduz amis	--⌫-|--------⌫-|----|--|---|
uosiurezquerenartes t faus	--|----|--|-----|--⌫|---|
dousairem entet u os	--|------⌫--|-|-⌫-|
dist yseng r i niele crean t	---|-----⌫-⌫-⌫|-|-|-----⌫|
lessainzbaissesili eueatant	--|----|-----|-|--⌫--|----|
parmilechamp faitoris son s	----|-|----|---|----⌫---⌫|
etfuengra nz	-|-|-|---⌫-|
etp r ie dieuquetot	-|-⌫-⌫-|---|--|--|
que illil aist uangier sahont e	--|-|-|-⌫---|------|-|----⌫|
qui li afaitla it	--|-||---|--⌫-|
que aupa rtirhono r en ait	--|-|--⌫---|----⌫|-|--|
baisselatestesisedre s ce	-----|-|----|-|-|---⌫-⌫-|
sonbastonafai te	--|-----|----⌫-|
enplussors sansleretornoie	-|-------|---|-|--------|
ensesdoi z	-|--|---⌫|
laco rroie	-|--⌫----|
puis prantson bastonsi	---|----|--|-----|-|
em plusors	-|------|
leu ssonbast oncrole	---⌫|--|----⌫-|----|
tot e ntor encline a lagent	--|-⌫---|------||-|---|
etmoltsededuist sa gement	-|---|-|------|--⌫-----|
arenartdist	|-----|---|
queilse hast	--|-|-|---|
meste lei o r	----|-|-⌫-⌫|
qant renart l otdu	---|-----||-|-|
cuersoupire	---|------|
totest teuznosemot	--|--|---||--|--|
renartsotletr esensenfance	-----|--|----⌫-|-||------|
mo lt o toi de nigr omence	--⌫-|-⌫|-|-|----⌫-----|
m aispuisenten d ita ntail lor s	-⌫--|---|-----⌫-⌫|--⌫-|---⌫---⌫|
quilo ubliadesmozmeillors	-|-|-⌫----|--|--|-------|
renartnefu pasesmaiez	-----|-|-|--|------|
s on baston prantconm eafa istiez	-⌫-|-----|----|----⌫|---⌫-----|
ge ntementle so tasoitrai re	--⌫------|-|--⌫||--|----⌫-|
b ienfuapris detel afaire	-⌫--|-|----|-|--|-----|
emp lusors	-|-⌫-----|
leusla esaié	---|||-----|
napas samblantdome esmaié	||--|-------||--|------|
doitlacor ro ielace	---|-|---⌫--⌫-|---|
ap r essel ieuedela	--⌫-⌫-|-|-⌫---|-|-|
son escu pr antsifu seurs	--|---|--⌫--|-|-|----|
con un chastel	--|-|------|
enclo sdemurs	-----⌫|-|---|
liescremirsliestioiaus	-|--------|-|--|-----|
quilen sett ozlese nuiaus	-|-|-|--|-⌫-|--|-⌫-----|
sonescusor	--|---|--|
sate ste tient	-|--⌫--|----|
seysen g rin presdelui	-|----⌫-⌫--|---|-|--|
te le e scremielirandra	--⌫-|-⌫------|-|-----|
queagranthontelitorra	--||----|----|-|----|
ys engrinest	--⌫-----|--|
degrantair	-|----|--|
ren ar te s t a lezenuair	---⌫--⌫|-⌫-⌫|-⌫--|-----|
s on escum etdeuantsonfront	-⌫-|---|-⌫-|-----|--|----|
mestpieauantpuis si s	---|--|----|---|-||
moltleuayseng rin h as tant	---|-|-|-----⌫--|-⌫--⌫---|
renart seua biend e sf a nd ant	-----|-|-|---|-⌫-⌫--⌫-⌫--⌫--|
einz queysengrinpartde	---|--|-------|---|-|
r enar tquepas ne f aut	-⌫----⌫|--|--|-|-⌫--|
telcopl ez lo roille lidone	--|--|-⌫-||-⌫-----|-|---|
teste liestone	----|-|-----|
acel asaut moltb ienlichiet	|--|----|---|-⌫--|-|----|
si chancelequ a poi	-|-------|-||--|
qant satesteau eue	---|-|----||-⌫--|
asamainsepristasaingnier	|-|---|-|----||--------|
dieu prieq ui nefaut nement	---|---|-⌫-|-|---|-|---|
q ue ill e gar td	-⌫-|-|-⌫|---⌫||
afolem ent	------⌫--|
pars afameestcedisttra iz	--|-⌫|---|--|-|---|---⌫-|
longementfusiesbahiz	--------|-|-|------|
q uilne so tqu eziorz	-⌫|-|-|--⌫|--⌫-|---|
ile stoi t	-|-⌫----⌫|
s oit iorzou nuizqueltens	-⌫--|---|-|---|---|---|
queo treceu	--|-⌫|----|
ren artlot bien aparceu	---⌫--||-|---|------|
nef aitsenblantqu il	-|-⌫--|-------|-|-|
nequeapa rceu	-|--|---⌫---|
mais dau tre parttorne sachiere	---||--⌫--|---|----|-|-----|
orser egart que ilnel fiere	-|-|-⌫----|--|-|-||----|
que na talant delui atr aire	--|||-----|-|--|---⌫---|
ensu sdeluil e	----⌫|-|--|-⌫|
feratraire	---|-----|
ne lilai ssariens	-|-|---⌫--|----|
esmochie r	--------⌫|
aubatons e se tesm ouchier	-|----|-⌫|--⌫|---⌫------|
qa ntysengrinde loin g	--⌫-|-------|-|----⌫|
distporcoii l	---|--|--|-⌫|
qu a l abataillene r euient	-||-⌫|-------|-|-⌫-----|
cara re uenir lescouient	--||--⌫----|--|------|
ysengrinse rest porpansez	-------|-|---|--------|
que tropaestére posez	--|---||----|--⌫----|
au is liestqu e	--⌫-|-|--|--⌫|
tropd emeure	---|-⌫-----|
isnelem entlicorut	-------⌫--|-|----|
maitpie auantgieteet	---|--|----|----|-|
mais renartdurement s e g ait e	---|-----|-------|-⌫|-⌫---⌫|
ysen gringietepasnar este	----⌫---|----|--||--⌫---|
de s onbaston uo leu ne areste	-|-⌫-|-----|--⌫-|-⌫-|-----|
mestpieater re	---|--||---⌫-|
renartq uiseta ssezde	-----|-⌫-|--|-⌫---|-|
li auo itd istsireyseng rin	-|---⌫-|-⌫--|---|-----⌫--|
d ieus quisortoz es tuoirdeuin	-⌫---|--|--|--|--⌫|---|----|
qu eldroi tauez	--⌫-|----⌫|---|
ba s to n uosfauts el	--⌫-⌫--⌫|--|---|-⌫||
carf ais onspais amon	--|-⌫---⌫--|---||--|
ainzque uos	------|--|
tortadeshonor	---||-------|
dis t ysen grinfaites	---⌫|----⌫---|-----|
sase zn ena ipor	|---⌫||-|-⌫|--|
uosconfondre	--|--------|
qan tassez remponé	---⌫|----|-------|
liduibar onoucha np	-|--|---⌫-|-|---⌫-|
derechi efandui sereuienent	-------⌫-|----|-|--------|
lo r escuzmoltcointementtienent	--⌫|----|---|---------|------|
ysengrin gie te etfaitso ne sme	-------|---⌫-|-|---|--⌫|-⌫--|
q ue giter uoil leparmeesme	-⌫-|----|----⌫-|--|-----|
e ntreescu etbaton	-⌫---|---|-|----|
deluiprandremolt	-|--|------|---|
s en trem est	|--⌫----⌫--|
enmi lechamp	---|-|----|
so nesculais se	--⌫|---|----⌫-|
sonbaston eslaisse	--|-----|-------|
telcoplidoneainzqu	--|--|-|---|-----|
iamesni erti ornel esouaing ne	----||-⌫--|-⌫-|-|-⌫|-------⌫-|
lebraz senestrelia frait	-|---|-------|-||----|
ysengrin mauesplai t	-------|----|----⌫|
andu i on t lesescuz guerpiz	----⌫|--⌫|--|----|------|
si sae r dentpa rmilespi z	-||--⌫-⌫---|--⌫--|--|--⌫|
l o ngemen tfuren ten	-⌫-⌫------⌫|-----⌫|-|
enplusorssansseuont	-|------|---|-|---|
n e u eistes	-⌫|-⌫-----|
genz siconba t re	---|-|-----⌫-⌫-|
liunsnepooit l	-|--|-|----||
autreabatre	----|-----|
mai snusnes endoi t mer uoillier	---⌫|--|-||-|---⌫|---⌫-------|
qu isengri n	-|-------⌫|
nesep uetaidier	-|-|-⌫--|-----|
fo rssolemen t d eson bra zdest re	--⌫-|-------⌫|-⌫|--|---⌫|----⌫-|
que perdua uoit lesen estre	--|----|-⌫---|-|---⌫----|
li unstornelautret resto rn e	-|--|----||----|-⌫-----⌫--⌫|
a utrenesoiorne	-⌫---|-|------|
molttornenta inzquenuse nchie e	---|------|-⌫-----|--|-⌫|----⌫|
y se ngrinsuefregr anthachie	-⌫--⌫----|-----|--⌫--|-----|
lesdan za zz poiplusag ues	--|---⌫||-|--|---|--⌫--|
querenartetplusesmolu es	--|-----|-|---|------⌫-|
contrer en artmolt	-----|-⌫--⌫--|---|
bien li d esci resa pelice	---|-|-⌫----⌫-|-|-----|
renartli faitzztorfrancois	-----|-|---|-|--|-------|
y sengri nne ldoteaincois	-⌫------⌫|-||---|------|
renart lestr aint	-----||----⌫---|
pasnesefaint	--|-|-|----|
ianbet lifaitdesoil enpaint	-----|-|---|-|--||------|
a la terreiuttoz enuers	|-|----|--|--|-----|
rena rtiut sus toten	----⌫-|--|--|--|-|
le sdan zl ibrisaenlabouc he	--⌫|---⌫|-⌫|----|-|-|----⌫-|
chiereli crache	-----|-|-----|
esiaus liboute lebaston	-|---|-|----|-|-----|
etpoileas onglesle	-|----|-|-----|-|
trairelifaitmol tmale fin	-----|-|---|---⌫|---|--|
distdantysengrin	---|---|-------|
en quisauronsqui dr oit aura	--⌫--|------|--|--⌫--|---|
etqui miauzfairelesau ra	-|--|----|----|-|---⌫-|
deuostre famemaqusez	-|-----|---||-----|
certes molt	-----|---|
estes amusez	----|-----|
que antuosci por uostremoillie r	---⌫--|--|-|--|-----|-------⌫|
moi et uosfairetrauoilli er	--|-|--|----|---------⌫-|
yse ngrinuoitqu	---⌫----|---|-|
il leles dange	-|-|---⌫----|
molt estd olenz qui l nesenuange	---|--|-⌫----|-|-⌫|-||-|----|
renar tlifait	-----⌫|-|---|
detotsonmieu l z	-|--|--|----⌫-⌫|
del a p oudreuol ereseuz	-|-⌫|-⌫----|---⌫-|-|--|
renart lifait honteet contraire	-----|-|---|----|-|--------|
c epoise linen puetplusfai re	-⌫|----|-||-|---|---|---⌫-|
mais entresesdenz s e	---|----|--|---|-⌫|
etdist fou xest	-|---|---⌫|--|
qu imet sent ente	--⌫|--||---⌫---|
ne n riens qu ele die	|-⌫|----|-|--|--|
poiestdefames	--|--|-|----|
qui uoi rdie	--|---⌫|--|
pa rfameestplusnoise	--⌫|---|--|---|----|
ia la moi enequerrai	-|-|---⌫|-|------|
fam efaithairpere etmere	---⌫|---|---|---|-|---|
f amefaittuer son co npere	-⌫--|---|---|--|--⌫----|
par famesont oci sy yho me	--|---|---|---⌫|-⌫|--⌫-|
fame estdetozmausla	---|--|-|--|---|-|
fousestquitr op i	---|--|--|--⌫-||
met sente nte	--||----⌫--|
ysengr inensi se	------⌫-|---|-|
en s isecom plaints ole me nt	--⌫-⌫|-|---⌫-----|-⌫---⌫--⌫-|
rena rtle f iertmenuement	----⌫-|-|-⌫---|--------|
etsor lesiau zet sor laface	-|--|--|---⌫|-|--|-|---|
en cor l i priequepaisfac e	--⌫--|-⌫|---|--|---|---⌫|
bienuoit qu il estprisa	---|---|-|-|--|---||
a cest motl ebastoneschape	|---|--|-⌫|-----|------|
querenar t	--|-----⌫|
auoit ensamain	----|-|-|---|
cilquil ecuer	--|--|-⌫|---|
auo itt o tsain	---⌫-|-⌫-⌫|---|
seuostle uer mes ne p uetestre	-|---|--⌫--|--|-|-⌫--|----|
qu i lnauertuforsdo ubrazdestre	-|-⌫|||----|---|--⌫|---|-----|
ren art l ifaithon teetanui	---⌫--|-⌫|---|---⌫-|-|---|
sou frirl estuetcepois e li	---⌫---||-----|-|----⌫|-|
ys eng rintient pornon sachant	--⌫---⌫--|----|--|--|------|
liualesiauzcer c hant	-|-|--|---|---⌫-⌫---|
sagrantmesauant ure	-|----|--------⌫--|
liau i nttelmale aua nture	-|--⌫-⌫-|--|---|---⌫----|
sesd oitenlabochededa nz	--|-⌫--|-|-|----|----⌫-|
lichi etet	-|---⌫-|-|
cille pr ant asdenz	--|-|--⌫--|-|---|
lacharli t ranche iusqualous	-|---|-|-⌫-----|----|||--|
sonbrazlig itesusle dos	--|---|-|-⌫--|--|-|--|
delestraindre pasn ese f ain t	-||---------|--|-⌫|-|-⌫---⌫|
etentelguiseledestraint	-|-|--|----|-|--------|
queuoilleounon	--|-----|-|--|
desc andre	----⌫----|
etdesozluile	-|----|--|-|
faitestand re	---|------⌫-|
orest renart enteltrapel	-|--|-----|-|--|-----|
silapa orn emem eruoil	|-||--⌫-|-⌫|-|-⌫-----|
ys engri ndesgenouzleserre	--⌫-----⌫|--|-----|-|----|
renart neuitne	-----|-|--|-|
cielneterre	---|-|----|
iuréauoit fau s	----|----|---⌫|
si lipa rra	-|-|--⌫--|
pr ochainement	--⌫----------|
confauseloi	--|----|--|
uen ue saior ne e	---⌫-|-|---⌫--⌫|
quiertporles sai nzderome	-----|--|--|---⌫-|-|---|
mais neliuautm ie une pom e	---|-|-|---|-⌫-|--|---⌫|
qar ysengri nle fiertet	--|-------⌫|-|----|-|
sigientetb aai lle	-|----|-|-⌫---⌫--|
ys engrinlefi ert	--⌫-----|-|--⌫--|
en la chiere	-|-|-----|
p assa mainuerslu ich iere	-⌫-|-|---|---|--⌫|--⌫---|
a p ooirdeldesfandr e	|-⌫---|--|--------⌫|
couientsoufrire t penre	------|------|-⌫|----|
orena mo lt lenoaill or	-|-||--⌫-|-|------⌫-|
molt estsescors engrantdo lor	---|--|--|---|-|----|--⌫--|
de ue nuze stplusfroiz	--⌫--⌫--|-⌫-|---|----|
cedist miauzueut moriren	-|---|----|---|----|-|
queporl u irecreant	--|--|-⌫-⌫|-------|
ace stmot a	|--⌫-|--||
gité zzpla int	----|-|---⌫--|
sa mblantfait d ome quisoitmo rz	--⌫-----|---||--|--|---|--⌫-|
lu i nau oitpointd	--⌫||--⌫--|----||
yseng rin zzpetitle	-----⌫--|-|----|-|
moltledesciree tdesa che	---|-|------|-⌫|----⌫--|
renartne muetne pi ez	-----|-|---|-|--⌫-|
bie n faitsam blant	---⌫|---|---⌫----|
ysengrin l a batut a ntfort	-------|||---|-⌫-⌫-|---|
queouchamp le laissepormort	--|-|----|-|-----|--|---|
libaron s ontdol liup arti	-|----|-⌫--|--|--|-⌫---|
ata ntl acorz sedepa r ti	---⌫-|-⌫|---|-|----⌫-⌫-|
einztroien	---|-----|
q a nt recurentalaineatroie	-⌫-⌫-|-------|-----||----|
combru ns etli	--|---⌫-|-|-|
ors et tiecelins	--|-|--------|
et chantecl erse t ys a ngrins	-|--------⌫--|-⌫|--⌫-⌫-----|
tiebertlichaz etr ooigniaus	------|-|---|-|-⌫--------|
et li d aims m ess iresplatiau s	-|-|-⌫---|-⌫-|-⌫---|-------⌫|
forsde rena rtnu sne	---|-|----⌫-|--⌫|-|
deriretenirsepoist	-|---|----|-|----|
liparantr enart ontg rant hon te	-|-----|-⌫----|--|-⌫---|---⌫-|
nobl esnenuiau toirnulco nte	----⌫-||-|----⌫|--|--|--⌫--|
ain z commen dequeonle pande	---⌫|------⌫-|--|-|-|----|
tibertli chazlesiauzlib ande	-----|-|---|--|---|-|-⌫---|
etroe iniauslesmainslilie	-|---⌫-----|--|----|-|--|
bienon t renart enlorbaillie	---|--⌫|-----|-|--|------|
d e pau mo isons	-⌫|---⌫--⌫----|
e st re uenuz	-⌫-|--⌫----|
bienfu le ior	---|-|-|--|
por folte nuz	--|--|--⌫--|
sedelo r mainspooist	-|-|--⌫|----|-----|
iamesniroit hometra i r	----||----|---|---⌫-⌫|
mol tsehastent delui destraire	---⌫|-|------|-|--|--------|
to telacort oissiez b r aire	--⌫-|-|---|------|-⌫-⌫---|
renartporsa uietens er	-----|--|-|--|----⌫-|
proieconlel aist confesser	----||-|-|-⌫---|--------|
rege hirlicouient	----⌫--|-|------|
despechi e zdont illi	--|-----⌫-⌫|---|-|-|
lorsli fire ntuen irbel in	---|-|----⌫-|---⌫-|---⌫-|
par lapriere	--|-|-----|
letaissonm onsaingnor grinbert	-|------|-⌫-|-------|-------|
degran t duel ale cue rcouert	-|----⌫|---||-|---⌫|-----|
re na rtsefist a luiconfes	--⌫--⌫-|-|---||--|-----|
etcil l e nachargiéson	-|--||-⌫||-------|--|
se lonclespe ch iezqu ilai faiz	--⌫---|--|--⌫--⌫--|-|-|-|---|
a enue rsdieumesfa iz	|----⌫-|---|-----⌫-|
sicon lenconfaiso it	-|--|--|--------⌫-|
atantesu osfrerebernar t	----|-|-⌫-|----|------⌫|
degrantmontileucrepa irié	-|----|---|----|----⌫----|
gri nberttrou a moltcorrocié	---⌫----|----⌫|---|--------|
d erenartliademande ́	-⌫|-----|-||-------⌫|
que li r ois	--|-|-⌫--|
en a conmand é	-||-------⌫-|
b iau sire q ueto tlepandez	-⌫--|---|-⌫-|--⌫|-|-----|
nesoit destornez	-|---|--------|
qa nt li frereotque illid i st	--⌫-|-|----|-|--|-|-|-⌫-⌫-|
n el em pesa	-⌫||-|---|
quil ie rt	-|-|--⌫-|
franchiseplains	--------|-----|
etuoitque pasn est oituilains	-|---|--|--||---⌫--|------|
renartlabien	-----|||---|
augrantduelqu ilen	-|----|---|-|-|-|
quemaine grinbertlitaissons	--|----|-------|-|-------|
etespina rzli hericons	-|------⌫-|-|-------|
la ouuit no ble	-|-|--|--⌫--|
be lemen t	--⌫-----⌫|
le saluecor toi se me nt	-|----|---⌫---⌫--⌫--⌫-|
nobles sestleuezen	-----||--|----|-|
ne setfr erequei laint tant	-|--|--⌫--|--|-⌫|---|---|
