s etle sarsda mours	-⌫-|--⌫|--||-⌫----|
que n ustenir neseporoit	--|-⌫-|----|-|-|-----|
quiuostr ebiaut ecounistroit	--|-----⌫|-----⌫|----------|
si c onie facne uous amast	-|-⌫-|-|--|-|---|----|
cuersneuos	----|-|--|
labiauten euei sse	-|-----|-⌫|---⌫--|
ne moncueren uousnemei s s e	-|--|---|-|---|-|---⌫-⌫-⌫|
lesro ines	--|--⌫---|
e t lesautresdames proie on	-⌫|--|-----|----|----|-|
conmentsen	------||-|
poroittenir ho n	-----|----|--⌫|
qui uerroitsitresgrantbia u te	--|------|-|---|----|---⌫-⌫-|
que ne lenpr es istuolente	--|-||-|--⌫--⌫--|------|
uostre oelestf ait	-----|--|--|-⌫--|
porcuerembler	--|---|-----|
uostrebiautes me fait	-----|------|-|---|
que maruic se mierci n itruis	--|--|--|-|-----|||----|
amer uoir medestruis	---|---|-|-------|
uoussaués bienque	---|-----|---|--|
lesmillors	--|------|
aim eonpartoutc i et	---⌫|-|------|-⌫|-|
seieuos uieng da morproie r	-|-|--|----||-⌫--|-----⌫|
ne de uésdonkesmer ui llier	-|--⌫---||----|---⌫--⌫----|
forced amorlemefa it	----||---|-|-|--⌫-|
qu ene me l aist	--⌫|-|-|-⌫---|
damorsretrair e	|----|-------⌫|
pordiu sien	--|--|-|-|
a ie ́smierci	-⌫--⌫-|-----|
ou por uousmorrai toutdefi	-|--|---|-----|---|-|-|
bientescondir a	---||--------⌫|
e tmultbielementtedira	-⌫|---|--------|-|---|
sireunbon conse l	---|-|--|-----⌫|
uosd on ro ie	--|-⌫--⌫--⌫-|
e t aciertes uous	-⌫||------|---|
i amaisdeceneparlissi e ́s	-⌫----|-|-|-|--------⌫-⌫-|
car uostre t ans iperderiés	--|-----|-⌫--||---------|
eto n nedoitmiemuser	-|-⌫|-|---|--|----|
laonnepuetriens conquester	-|-|-|---|----|---------|
ena utrel eu	-|-⌫---|-⌫-|
alés p orcacieruostrepreu	----|-⌫-------|-----|---|
neuoslocqueuousentendés	-|--|--|--|---|--------|
dontuou ssoiés greués	---|---⌫|-----|------|
lisageensite re spondra	-|---|---|-|--⌫------|
ma isporcoune tesmai e	--⌫-|--|--|-||-----⌫|
plu stostaime se dexmesau t	---⌫|---|---|-|--|-|---⌫|
l isagequanthomquileuau t	-⌫|---|----|--|--|-|---⌫|
lerequier tcaparlerseprent	-|-------⌫|||-----|-|----|
etlisagetoutens ement	-|-|---|---|---⌫----|
sepre ntet mettoute	-|---⌫-|-|--|----|
quantproiesdamede	----|-----|---|-|
carlisensetlacort oisie	--|-|---|-|-|----⌫----|
lagrans ua lorsla druerie	-|----|--⌫---|-|------|
k elle itru euelefaita mer	|---||---⌫--|-|---|-⌫--|
u non t out sansfauser	|--|-⌫--|---|-----|
mais lisos nesgarde raia	---|-|--||-------⌫-|-|
ucor toisi en esen sa	|---⌫-----⌫|-⌫|---⌫||
nelaso tetout	-|-|--⌫-|---|
ma islauloruient	--⌫-|-||--|----|
a t a lent	|-⌫-⌫---|
porcouned oitonaquellir	--|--|-|-⌫--|-|-------|
nesotne sote m ais	-|--|-|---|-⌫--|
uaillan ce	-------⌫-|
enten d ement ne	-----⌫-⌫----|-|
con nissance	---⌫-------|
conmentsara gue rred ouner	------|---|---⌫----⌫----|
neb ien merirne	-|-⌫--|----|-|
soiga rder	--|--⌫---|
ilauient queill efont	-|-----|--|-|-⌫|---|
i a bienneb ielneleferont	-⌫|---|-|-⌫--|-|-|-----|
etamors quiuientde sot ie	-|----|--|----|-|---⌫-|
ennule honornem o nteplie	-|---|----|-|-⌫-⌫------|
maisamo r sasis seenhautece	---|---⌫-⌫|----⌫-|-|------|
debi endounor	-|--⌫-||----|
et denoblece	-|-|------|
m o nteplie adies enhonor	-⌫-⌫------|----|-|----|
enioieen sensetenbaudor	-|---|-|---|-|-|-----|
lau t re dirabiaussi r eciers	|--⌫-⌫-|---|----|--⌫-⌫|----|
ienesaini e nt detes mestiers	-|-|--|--⌫-⌫-|-|--|-------|
pordiusi relaissiés	--|--|--⌫-|--------|
enquier plusoirpar ler	-|----|---|--|---⌫--|
queienesaiacoic emon te	--|-|-|--||--|-⌫|---⌫-|
tr opdou cle si ecl eet trop	--⌫-|---⌫|-|--⌫---⌫|-|---|
douc h o nte	---|-⌫-⌫--|
et seuoushoun iemauiés	-|-|---|----⌫-||-----|
quelbienetq ue lpris en ar iés	---|---|-|-⌫--⌫|---|-|--⌫---|
par cortoisie	--|--------|
n euoelliés quesoie	-⌫|--------|--|---|
sai maisuoir u ie	--|---|---||-|
cep oisemoicains uo sconnui	-|-⌫---|--||---|--⌫|-----|
etnuit etiouruqueie s oie	-|---|-|---||--|-|-⌫--|
mesa nle queadiesuousuoi e	-|--⌫--|--|----|---|---⌫|
ce llequite re spont ensi	--⌫--|--|-|--⌫----|---|
uencueiete di	-----|-|-|-|
ilniaforsdel	-||||---|-||
embraci er	-------⌫-|
deliacoler	-|-|-----|
etb aissie r	-|-⌫------⌫|
ellees t entreeeldeceuoir	---|--⌫|-----|-|-------|
auoirenpue st out	----|-|---⌫|-⌫--|
apreuissier to ut douce ment	----------|--⌫-|-----⌫---|
enba issan t l edois	-|--⌫-----⌫|-⌫|---|
carquantlaurasbienembracie	--|----||----|---|-------|
deu sfoisuestro it	---⌫|---||-----⌫-|
detoi pluspr iue e	-|--|---|--⌫---⌫|
quant e nsi larase scauffe e	----|-⌫--||---|-⌫-------⌫|
ap r eme rainste doutera	|-⌫-⌫---⌫----|-|------|
por couquetelgiu	--|--|--|--|--|
senaespoir honte et	|-||-----|----|-|
e spoirdecousangoisse	-⌫----|-|--||-------|
c onques mai salineiuas	|-----|---⌫||-|-||--|
etporcou direlideu ras	-|--|--|---|-|---⌫--|
m ultdo ucementets ans	-⌫--|--⌫------|-|-⌫--|
biellenaiés	-----||----|
paourd em o i	----|-⌫|-⌫-⌫|
pointd edou tance ne desmai	----|-⌫|---⌫----|-||----|
s ima itdexi e neferai	-⌫||-⌫-|--|-⌫|-|----|
cosequiuos	---|--|--|
g rietanul f ue r	-⌫---||--|-⌫--⌫|
ia uosaim iou miex quemen cuer	-|--|--|--|---|--|--|---|
cariesu iuoir	--|-|--⌫|---|
etseuousa uésuocuermis	-|-|---|-⌫---|-|---|--|
enmo in eu o s doit ano ier	-|--⌫|-⌫|-⌫-⌫|---|---⌫--|
racolerled oiset baissier	------|-|-⌫--|-|-------|
en sibiellapreui s eras	--⌫-|---||------⌫-⌫---|
ettout ensilescaufferas	-|---|---||----------|
ta ntq uel aurasatonp laisir	--⌫-|-⌫-||----||--|-⌫-----|
delsourplu s meconuienttaisir	--|-------⌫|-|-------|-----|
caris su ss uidema ma tere	--|--⌫--⌫|-⌫-|-|-|--⌫---|
etreto rnermenuo ela rriere	-|----⌫---||-|--⌫-|-⌫-----|
plus large ment	---|-----⌫---|
uose nd irai	--|-⌫|-⌫---|
quantdess ecresuou sparlera i	----|--|-⌫----|---⌫|-------⌫|
maisqua nttapro iereas faite	---|---⌫-|-|---⌫---|-|----|
por esco nditn ete deha ite	--|----⌫---|-⌫|-|----⌫--|
queon te fa cene	--|-|-|--⌫-|-|
nenen maine iamaleuie	-||-|----|-|---|--|
qui sueffrebienconmenciéa	--|------|---|---------||
plusquedemiesploitiéa	---|--|---|---------||
maintienbientonconmencement	-------|---|--|-----------|
et lemaintiengh ard ieme n t	-|-|--------|-⌫---⌫----⌫-⌫|
carleha rdisouuentaye	--|-|--⌫--|------|--|
auenture ie n en	-------|-||-|
car aciefde fo isietedi	--||---|-|--⌫-|-|-|-|
doitonfairele	---|-|----|-|
c onaquie rtbien tost grant pris	|-|-----⌫-|---|---|----|---|
par folhard ementce mest	--|--|----⌫----|-||--|
cap ointlemain eeta	||-⌫---|-|----⌫|-||
m ais ce uait molte nauentu r e	-⌫--|-|---|---|-⌫|------⌫-⌫|
parau entureconq uiert on	--|--⌫-----|----⌫----|-|
haute ho norsouuentsans	----|--⌫--|------|---|
pour counedoit r e soignie r	---|--|-|---|-⌫-⌫-------⌫|
h a ute nebasse	-⌫-⌫--|-|----|
quant tuastad a m eproi e	----|-|-|-|-⌫-⌫-⌫|----⌫|
tabesoingne asbien auancie	-|--------|-|---|------|
lues conmenceraapen ser	---|---------||---⌫--|
t esparollesa	-⌫-|-------||
et quantpluse lle i penser a	-|----|---|-⌫--||------⌫|
plu slisou uenra	---⌫|-|---⌫----|
lipenserset	-|------|-|
lira menbra nce	-|--⌫------⌫--|
leferoi tentrer	-|-----⌫|-----|
alerpuesensamaiso n	---|---|-|-|-----⌫|
tousior sle	---|---⌫|-|
koiteetlesem on	----|-|-|---⌫-|
t ost lehonteuseespoir fera	-⌫--|-|-------|-----|---|
u laitsam bl anttenmousterra	|---|---⌫--⌫--||-|--------|
etneteuaura	-|-|-|----|
etpuetcouiestre	-|---|--|-----|
atoipar ler	|--|---⌫--|
telete feragr a ntdangi er	---|-|---|--⌫-⌫-|-----⌫-|
desgarde r et atoi	|-------⌫|-||--|
k e plusip e nseen	-⌫|---||-⌫-⌫--|-|
kelleni moust reen	|---|-|-----⌫-|-|
s on uisage	-⌫-|-----|
et bielliestde	-|---|-|--|-|
encortemoust rielaid eciere	----|-|-----⌫--|----⌫|----|
porcouesmaiernete	--|--|------|-|-|
lautrenesepo ra	|----|-|-|--⌫-|
d etoie sg ardersa nsmentir	-⌫|--|-⌫--⌫----|--⌫-|-----|
laute uaurraeskiuer	-||-|-----|------|
ets epa roll e	-|-⌫|--⌫----⌫|
ens i ueer	---⌫|---|
sauoirporas aso n	-----|----||--⌫|
se lletaime	|-⌫--||---|
neta nt ne	-|--⌫-|-|
t esg ardeet	|---⌫---|-|
sa cesquell eestdamorsna uree	--⌫--|-|---⌫|--||----|--⌫---|
lorsenauantn ete soitgrief	---|-|----|-⌫|-|---|----|
pr oiederecief	--⌫--|-------|
senipue sun osesaler	-|||---⌫|||---|---|
ua lapuiste sgar der	-|-|----|-⌫----⌫--|
uso itdepres	|--⌫-|-|---|
diex ude l ciefl encline	|--||--⌫|---||------|
encoebie nteloeroie	----|---⌫|-|------|
tesmainsli	--|----|-|
ioin gmaisconn el	----⌫|---||-|-⌫||
au sicomenpria ntmierci	--⌫-|--|-|----⌫-|-----|
et q ue muir esdamorspor li	-|-⌫-|----⌫-||----|--|-|
etfaiqueteuoieplo u rer	-|--|--|-|---|---⌫-⌫--|
tenrement etfortsou spir e r	--------|-|---|---⌫----⌫-⌫|
t e uxcozesmoltbien	-⌫-⌫-|----|---|---|
am olir etl esmouueront	--⌫---|-||----------|
el l eait mie rci	--⌫-⌫|--|---⌫--|
etsi te loc enbonn e foi	-|-|-|--|-|----⌫|--|
que li e nuoiesdesescris	--|-|-⌫-----|--|-----|
desca ncounet e s desbias	--|--⌫-------⌫-⌫|--|---|
carcelepuet mult esmouuoir	--|-|-|---|---|--------|
uoloitreceuoir	-----|-------|
aucunefois	-----|---|
ies c rira	|--⌫-⌫---|
uelleespoir	|---|-----|
etserien s	-|-|----⌫|
tereueu tmander	-|-----⌫|-----|
le rescrirene lais	-|-------|-|---|
pornull erienquetuiuoies	--|----⌫|---|--|-||----|
ca litesescrisn erenu oie s	||-|--|-----|-⌫|----⌫---⌫|
aucune fois te respondra	-----|---|-|--------|
maltemand era	--|-|----⌫--|
et selonc cou quet uorras	-|-----|--|--|-⌫|----|
a tad a me re manderas	|-|-⌫-⌫-|--⌫-------|
setusesqueuoelle ioiaus	-|-|--|--|-----|-----|
enuoieliet	-----|-|-|
carpuisquel l euioltdel tien	--|-----|--⌫-⌫|----|--|---|
se urementipues	--⌫------||---|
k e ll el e bee	|-⌫--⌫|-⌫|--|
adesieruir	|--------|
seghillerneueut ettrair	-|------|-|---|-|----|
ma isla d amequi coufer oit	--⌫-|-|-⌫--|--|--|---⌫--|
tro p laidementmesprender oit	---⌫|--------|----------⌫--|
maisia dameuoirn el	---|-|---|---|-⌫||
et ho unour	-|--⌫----|
couteuoel castoi er	--|-|---|------⌫-|
c aucuneset	|-----|--|
d ecemestier	-⌫|-|------|
quesetu pues to u tsansdo u n er	--|-|-|---|--⌫-⌫|---|--⌫-⌫-⌫-|
pensetonafai re	----|--|----⌫-|
maisl eprometrete	---|-⌫|-------|-|
proumetasesetric ema nt	------|---|-|---⌫---⌫-|
quecilestfols	--|--|--|---|
quipo rproumetr e	--|--⌫|--------⌫|
laisse se b eso igne acief met re	-----|-|-⌫---⌫---||---|---⌫-|
mo nuoelneseraiat rais	--⌫|---|-|---|-|-⌫---|
nus finsaman sneescarnis	--|---|----⌫|-|-------|
p orpouresamans ens egnier	-⌫-|-----|----|---⌫-----|
fai iouce stli ureet adreci er	--|--|--⌫-|--⌫--|-|------⌫-|
mes cons aus	--|----⌫--|
lepuetfaire	-|---|----|
sansdo u nerfaire son	---|--⌫-⌫--|----|--|
q uin aque	-⌫-|||--|
doune rnekeprendre	-----⌫|-|-|------|
bien se doit garde rdemesprendre	---|-|---|-----⌫|-|---------|
sa gement aleret uenir	--⌫-----|---|-|----|
a ler etreuenir	-⌫--|-|------|
s il faitsa	|-|---|-|
damealuii r ier	---||--|-⌫-⌫--|
nadecoilepuist apayer	||-|--|-|----|-----|
endan gieriestre li conuien t	-|---⌫---|-----|-|-------⌫|
tantques abesoig neap o int uient	---|--|-⌫|------⌫-||-⌫-⌫--|----|
maiscilki puet ass es doune r	---|--|-|---|---⌫-|-----⌫|
name stierde	||--⌫----|-|
poi ntescouter	---⌫-|-------|
qui porte deniers atel	--|----|------||--|
multtostsabesoigne i a	---|---|-|-------|||
entelliuilporoit proier	-|--|--|-|-----|-----|
conni aimeforsledenier	|-|||---|---|-|-----|
maisdame sageetentendans	---|---|---|-|--------|
aco un eseraiabaans	|--⌫|-⌫|---|-|----|
tost met s amor etli otroie	---|--||---|-|-|-----|
quef airedemounoie	--|-⌫---|-|------|
d ame qui setet	-⌫--|--|--|-|
puet et uaut	---|-|---|
etacui null eriensne	-||--|----⌫|----|-|
esgarderdoitsi	-------|---|-|
mener sondeduit	----|--|-----|
bien et bie l et	---|-|---⌫|-|
cel eement	---⌫-----|
unpo inte stconmunalment	-|--⌫--|-⌫-|-----------|
e t ric eetpoureet base thaut	-⌫|---⌫|-|----|-|--|-⌫|---|
catelmestier s ed e xmesaut	||--|------|-⌫|-⌫-⌫|-|---|
quer ike ce nep or te	--|-⌫---⌫-|-|-⌫--⌫-|
ne pouretesne c autsauour	-|-------|-|-⌫--|-----|
kenamornapoint	|-|---|||----|
souuentaue nirleuoi ton	------|---⌫--|-|---⌫|-|
setamie faitton	-||---|---|--|
ueu sdesamorio ir	---⌫|-||---|--⌫-|
faitousiors caies	--|---|---||---|
so n bong re	--⌫|--|-⌫-|
si l arasatauolen te	-||---||-|-----⌫-|
sellede mande sil idoune	|---|--⌫----|-|-⌫|----|
nes tpasamisquice	|--⌫|--|---|--|-|
setuueu siestrebiencort ois	-|-|---⌫|-----|---|----⌫--|
sansdemanderdouner lidois	---|-------|-----|-|---|
uoisquelleen ait	---|-|---|-|--|
en a uras tellouier	-|-⌫---|--|-----|
kelle molt miextenamera	|---|---|---||-|----|
etmillorgret	-|-----|--||
tou s iorsa	---⌫|---||
t auolente	-⌫|------|
et selle i trueu eescarsete	-||---||-----⌫|--------|
siquideraiestretraie	-|------|-----|----|
eta usique ne l aimes	-|-⌫--|--|-||----|
senkiero ittosten	|-|-----⌫-|---|-|
te lpenser	--⌫|-----|
don tenc orteporapeser	---⌫|---⌫-|-|---|----|
etdont grantduelauoir	-|---|----|---|----|
porcou telocquecortoissoies	--|--|-|--|--|------|----|
quepar consel	--|--|-----|
tu i a ui erst amie	-|-⌫|--⌫--||---|
dam ecas onamise	---⌫|||-⌫-|--|-|
co rtoiseme ntet abandou ne	--⌫--------⌫-|-|-------⌫-|
sansdemand e rsans prendrerien	---|------⌫-⌫|---|------|---|
s ieruirled oisetbielet bien	-⌫-----|-|-⌫--|-|---|-|---|
et s il au ientque t u letrueu es	-||-|--⌫---|--|-⌫|-|-----⌫-|
seulaseu lga rdeque t	---||---⌫|--⌫--|--||
espru eu es	-----⌫--⌫-|
acol e re t baissier	----⌫-⌫|-⌫|-------|
lesourplusarasdelegier	-|-------|---|-|-----|
puisqu etan t enueutconsentir	------⌫|---⌫|-|---|--------|
m a ispeutrouu erassansment ir	-⌫-⌫-|--|-----⌫---|---|----⌫-|
qu ideson gretletot ro it	--⌫|-|--|---|-||--⌫--⌫-|
lauellese d esfendra	-||---|-|-⌫-------|
et fer asamblantdec ourcie r	-|---⌫|-------|-|-⌫------⌫|
uoir esforc i er	---|------⌫-⌫-|
l a uell es est ordera	-⌫||---⌫||---⌫-----|
l enf orc em e nt	|---⌫---⌫--⌫-⌫-|
mo lt amera	--⌫-|----|
h o n teusessuntde l	-⌫-⌫-⌫-----|---|-||
por coules	--|--|--|
doiton efforc ier	---|-|------⌫--|
seul aseulpuiscot oi senba t	---||---|---|||-⌫-||----⌫|
outreeueuts oitsans	-----|---|-⌫--|---|
et telleia qui	-|----|||--|
totro ierasauolente	|----⌫---|-|------|
ua uraco rt oisie	--⌫--|--⌫--⌫----|
f airenaime mie	-⌫---||---|--|
mai sdure men tsedesfendroi t	---⌫|----⌫---⌫|-|----------⌫|
cou treson grel en f orce roit	|--⌫--|--|--||-|-⌫----⌫---|
sedet elafaireleu o i s	-|-|-⌫-|-----|-|-⌫-⌫-⌫|
a tendredois	-⌫-----|---|
etlipr ies	-|-|--⌫--|
moltdoucement	---|--------|
que souffriruoelletontalent	--|-------|-----|--|-----|
s elene se ua	|--|-|-|-|
desfendant	---------|
debat nimetne	----|||--|-|
tantne qu an t	---|-|--⌫--⌫|
n e laissene	-⌫|-----|-|
soitou tree	---|--⌫---|
p uisk illiplaiste tliagree	-⌫---|-|-|-----|-⌫|-|----|
etseneteueutconsentir	-|-|-|-|---|--------|
taforce i met et faisentir	-|----||--|-|--|-----|
m iexua utc	-⌫--|--⌫-||
aforceso i to utree	|----|--⌫-⌫|-⌫----|
qu ediluec pu ist	--⌫||----|--⌫--|
i estre escape e	-⌫----|------⌫|
et sedilluecpuetescape r	-|-||-----|---|------⌫|
sa n s liuain tr e sa ns	--⌫-⌫|-|----⌫--⌫|--⌫-|
i embatera	|-------|
pl usni u en ra	--⌫-|||-⌫--⌫-|
laulepuisses	-||-|------|
aum ainsten feragrant	-|-⌫---||-|---|----|
de reuenirune autrefois	-|------|--|----|---|
porcou e sforcieradiesle dois	--|--|-⌫-------|----|-|---|
c arpuiscunefoi s	-⌫-|----|--|---⌫|
tiert outree	|---|-----|
plustens era	---||-|-⌫--|
abandounee	---------|
d i lluecenaua ntsansdangi er	|-⌫----|-|---⌫-|---|-----⌫-|
uenra otoi por dosnoyer	----||--|--|-------|
nesoiesmieadies	-|----|--|----|
q uant ueras queb oin s	-⌫---|----|--|-⌫---⌫|
ertlileu s	--|-|---⌫|
maiskeurtli	---|----|-|
suscon esragi és	--|--|------⌫--|
kelles tien enta	|----|----⌫--||
mauuestie s	---------⌫|
quantescap e r	----|-----⌫-⌫|
les laisseon	--|-----|-|
atousi orsmais	|---|-⌫--|---|
tostlespi erton	---|--|--⌫--|-|
la umoust re quee lle	-||-----⌫-|--|-⌫--|
s en estell e espoir	|-|--|---⌫|-----|
et apries sisen uo nt	-|-----|-||-|--⌫-|
etle gent uont escarni ssant	-|-|---|---|-------⌫----|
etpource lesdoito noutrer	-|---|-|--|---|-⌫|-----|
enpuiss ent gaber	-|-----⌫--|----|
maissaforceenas	---|||----|-|-|
p orcoumainsnel	-⌫-|--|----|-||
enpriseras	-|-------|
enfai piour sam blant	-|--|----|---⌫----|
ainsl i ua	---|-⌫|-|
gr antioiemenant	--⌫--|---|-----|
e t baiss el es iex	-⌫|-----⌫|-⌫-|--|
carlaforce estuns g r ans	--|-|----|--|--|-⌫-⌫--|
apriesla forc e lera paies	-----|-|----⌫|-|--⌫----|
porc o u quesonbon	--|-⌫-⌫|--|--|--|
die x s estoie	---⌫||-----|
enitel point	-|---|----|
ca m amiem	|||---||
eusseioi nt	----|---⌫-|
et ioularm oierleueoie	-|--|----⌫---|-|----|
c onio ians li	-⌫-|--⌫---|-|
demalangue tres doucement	-|-|-----|---|--------|
e t dema bouce b ielement	-⌫|-|-|----|-⌫-------|
sesiex s es	--|--|-⌫-|
l armeset saface	-⌫----|-|-|---|
senostresire sbienmeface	-|-----|----⌫|---|-|---|
molt t resdoucement	---|-⌫--|--------|
li diro ie	-|----⌫-|
bi e llet res do uc esimple c oie	--⌫-⌫--|-⌫--|--⌫--⌫|-----|-⌫--|
pordiuuos proine ploure ́smie	--|--|--|---|-|------⌫-|--|
madam eet m amie	-|---⌫|-||---|
siferaiquanquesuousuaurés	-|----|-------|---|------|
orsuide uo us asseur és	-|--|-|--⌫-|------⌫--|
or ne m est uetdo uter iamais	-|-||---⌫--|--⌫---|-----|
c autrui amés	|-----|----|
p ornul dela is	-⌫-|--|----⌫-|
or est affremeel am ors	-|--|-------||--⌫--|
s i quenai maispaorde uous	-⌫|--||-|---|---|-|---|
oruousaimce nt	-|---|--|--⌫-|
tansplusases	---|---|---|
ke deuant s aciés	-|-----|-⌫-----|
parure tes	--|---⌫--|
a tousiorsmais	|---|---|---|
iesui u ostr esloia us amis	-|--|-⌫----⌫-|----⌫-|---|
i a maisneuousoublie rai	-⌫-⌫---|-|---|------⌫--|
foiains uosserurai	--|---|--|------|
t out ensirapaie rle dois	-⌫--|---|------⌫|-|---|
quanttu p lourer ta mieuois	----|-|-⌫-----||-⌫--|---|
et derekiefle	-|-------|-|
doisbaissier	---|-------|
e ttresdou c eme ntembra cie r	-⌫|---|---⌫-⌫---⌫-|-----⌫---⌫|
ortaiap ri set	-||-|--⌫--⌫|-|
e nsegn iét	-⌫-----⌫---|
t ant quetu as tout	-⌫--|--|-|-|---|
espl o itie ́t	----⌫-⌫----⌫-|
apointton afaire	|----|--|-----|
a ut reconmant fair e	-⌫--⌫-|------|----⌫|
conmentsamorgarderdeuras	------||---|-----|-----|
siqueioie adies ena u ras	-|--|---|----|-|-⌫-⌫--|
parmon art	--|--|--|
l astr ouuee et q u ise	|-|--⌫----|-|-⌫-⌫--|
et parm onsens lastuc on quise	-|--|-⌫-|---||-|-|-⌫--⌫----|
grant eng ienet grant sensaffie rt	----|---⌫--|-|----|---|-----⌫-|
agardercouque	|-----|--|--|
onconquiert	-|--------|
sides fen tq ue tucure n aies	-|---⌫---⌫|-⌫-|-|---||---|
d amordesfen drep arcaraies	|---|------⌫--|-⌫-|------|
s amo ru eus tenir	|---⌫|-⌫--|----|
teu ssoiesconte	---⌫|----||-|-|
doi e a mer	---⌫|-⌫--|
enta bi au tepasn et efie	-|-|--⌫--⌫-|--|-⌫|-⌫|--|
porauoiramouret	--|----|----|-|
carc epet itua loir tedoit	--|-⌫|---⌫-|--⌫---|-|---|
sent onc ors autre biennauo it	|-|-⌫-|-⌫--|----|---||---⌫-|
sagessoiesetbie nc ourtoi s	----|----|-|---⌫|-⌫------⌫|
s e n uaurasmiex entos endro i s	|-⌫|-----|---|-|--|-----⌫-⌫|
ulixesmie bia usn	-----|--|---⌫-||
mai ssagese tcortois	---⌫|----|-⌫|------|
biausparlie rsfuensorquetout	----|------⌫-|-|-----------|
fistson uolo irpart out	---|--|----⌫-|----⌫--|
biautes uaitmolttost adeclin	------|---|---|---||-----|
maissens remai nt i usk e n	---|---|-----⌫-|-⌫--|-⌫|
biaus parli erssoiesuie rstamie	----|-----⌫--|----|---⌫-||---|
s aiesentoi senscourtoisie	|---|-|--|---|---------|
ne i auiers tami ene	-|-⌫|----||---⌫|-|
c ar cest aamantlaidecose	-⌫-||--||----|----|---|
ma isporteliboine sn ouielle s	--⌫-|----|-|-----⌫|-⌫-------⌫|
quili s oientplaisanset biel les	--|-|-⌫----|-------|-|----⌫--|
siamera tonrepairier	-|----|--|--------|
etsouff eratondosnoye r	-|-----⌫--|--|-------⌫|
uiensnefail i rous	----|-|--||-⌫---|
le folparliernelenui ous	-|--|------|-||----⌫--|
maissoies li e setenuoisiés	---|----|--⌫-⌫|-|---------|
setuestoie sbie niriés	-|-|------⌫|---⌫|-----|
doi s t ufairenul samblant	---⌫|-⌫|----|--|-------|
tuuie nspor faireioiegra nt	-|---⌫-|--|----|---|---⌫-|
de ta dametamieciere	-|-|---||---|----|
dontdoistufaireliec iere	---|---|-|----|--|-⌫---|
limes ne coses ne conbates	-|--|-|----|-|-------|
nenelafieres nene bates	-|-|-|-----|-|-|----|
c aru ousniestes pas ensamb le	-⌫-|-⌫--||-----|--|------⌫-|
parmariagece me	--|------|-|-|
porcousisenporapartir	--|--|-||-|---|-----|
q ua ntilli ue nraa	-⌫--⌫-|-|-|--⌫--||
m aisacelu iquit e nu iroit	-⌫--||----⌫|--|-⌫|--⌫----|
doistu nuis ira grant e sploit	---|-|----⌫-||----|-⌫-----|
ui erstesanemis doiss an sfaille	--⌫--|--|-----|---|-⌫--⌫|-----|
esmouu oir t enco net	------⌫--|-⌫----⌫|-|
t amie s impleetcoie	|---|-⌫----|-|---|
doi stumenersolas e tioie	---⌫|-|----|----|-⌫|---|
por qua nt s imest	--|---⌫-|-⌫||--|
aucune foisqueiai feru	-----|---|--||-|---|
grantbuffe	----|----|
etpar lestr ec es traine e	-|--|--|--⌫--⌫-|------⌫|
u i elac olaidurement	|-⌫||--⌫---|-------|
trestoutde	-------|-|
laumoltpetitmesfaisoit	-||---|----|---------|
for squet antquantelliualoit	---⌫|--|-⌫--|----|-|--|----|
u parl oitt r opparauenture	|----⌫--|-⌫-⌫-|--|-------|
quilmes toi tlaitetpar	-|-||--⌫---⌫|---|-|--|
nemalni auoittantne quant	-|--|||----|---|-|----|
fais oiea ensia nt	----⌫--||-----⌫-|
etsie nf ais o i eli r ous	-|-|-⌫|-⌫---⌫-⌫-⌫||-⌫-⌫--|
lefoursenéetleia lous	-|--------|-|-|--⌫---|
etlebatoieet leferoie	-|-|-----|-|-|-----|
mautalent lidiso ie	--------|-|----⌫-|
porcoial as tes	--|--|--⌫--⌫--|
quantancoisam oi nenparlastes	----|-----||-⌫-||-|--------|
por d iu trouu eraoni amais	--|-⌫-|-----⌫--|-|-⌫----|
ia setien gneenpais	-|-|----⌫--|-|---|
uonse p uistcroire et	|-|-|-⌫---|-----|-|
quant tu le u erasmie x	----|-|-|-⌫---|---⌫|
pou rco uque tul	---⌫|--⌫|--|-||
ulai dement	|---⌫-----|
espoirb atue	-----|-⌫---|
etellemolttemau dir a	-|---|---|-|---⌫---⌫|
et lefourseneefera	-|-|--------|---|
e rrantasde ns sellepooit	-⌫----|-|--⌫-||---|----|
ettu l o ras	-|-||-⌫--|
mo ltdementer	--⌫-|-------|
en pl o urant ha utementcri er	-|--⌫-⌫----|--⌫------|---⌫-|
ensus de linetenua mie	----|-|-|-||-|-|--|
mais assietoidales	---|----|--|----|
souspir efortfa iledolant	-------⌫|---|--⌫|-|-----|
mo ltlaidemant	--⌫-|--------|
t res deuantli siquelle	-⌫--|-----|-|-|-|---|
quaciertessoit	-||------|---|
e tk ellet oie	-⌫||---||--|
d exquem estil	-⌫-|--||--|-|
que iai hui bienmon	--||-|--|---|--|
fait grant dyabli e	---|----|------⌫|
grantoutra geetgrandefolie	----|-----⌫-|-|-----|----|
he las caitis maleure s	--⌫--|-----|-------⌫|
eu reief ui	--⌫-|-|-⌫-|
c es tg r ansdo lors	|--⌫|-⌫-⌫--|--⌫---|
queie ui ftant	--|-|--⌫|---|
dyablespo rtésm enterrant	------|--⌫----||--|-----|
ca rie laitre sbien	--⌫|-||-|---⌫|---|
cest iordiu	---|--|--|
malaiournéui	--|-------|-|
porle cuerdi u porcoi ferue	--|-|---|--⌫|--||-|----|
